[66] ADD,ugupCCzmJf,71168.47 
[15749] SET_SELL_TRIGGER,ugupCCzmJf,VZB,152.27 
[15892] ADD,ugupCCzmJf,78409.72 
[15946] SET_BUY_TRIGGER,ugupCCzmJf,OXV,117.46 
[16142] CANCEL_SET_SELL,ugupCCzmJf,CTI 
[16199] ADD,ugupCCzmJf,76261.17 
[16290] SET_BUY_TRIGGER,ugupCCzmJf,YLZ,104.62 
[16481] ADD,ugupCCzmJf,70447.28 
[16800] BUY,ugupCCzmJf,ZOW,193.39 
[16822] COMMIT_BUY,ugupCCzmJf 
[16945] DISPLAY_SUMMARY,ugupCCzmJf 
[17025] SET_BUY_TRIGGER,ugupCCzmJf,BCQ,176.73 
[17165] ADD,ugupCCzmJf,80199.42 
[17171] QUOTE,ugupCCzmJf,SON 
[17230] BUY,ugupCCzmJf,NJB,579.09 
[17236] COMMIT_BUY,ugupCCzmJf 
[17746] CANCEL_SET_BUY,ugupCCzmJf,ZNW 
[17789] QUOTE,ugupCCzmJf,NHG 
[17814] BUY,ugupCCzmJf,PCK,269.81 
[17826] COMMIT_BUY,ugupCCzmJf 
[17861] DISPLAY_SUMMARY,ugupCCzmJf 
[17890] ADD,ugupCCzmJf,77347.83 
[17923] BUY,ugupCCzmJf,QPX,566.15 
[18045] DISPLAY_SUMMARY,ugupCCzmJf 
[18298] DISPLAY_SUMMARY,ugupCCzmJf 
[18304] ADD,ugupCCzmJf,75809.70 
[18478] QUOTE,ugupCCzmJf,GZQ 
[18668] QUOTE,ugupCCzmJf,JSM 
[18756] BUY,ugupCCzmJf,MDZ,330.95 
[18771] COMMIT_BUY,ugupCCzmJf 
[18880] ADD,ugupCCzmJf,84416.49 
[18949] QUOTE,ugupCCzmJf,IFI 
[19069] QUOTE,ugupCCzmJf,BDX 
[19131] QUOTE,ugupCCzmJf,FVA 
[19139] BUY,ugupCCzmJf,ZGC,555.44 
[19226] CANCEL_SET_BUY,ugupCCzmJf,CTI 
[19320] SET_BUY_AMOUNT,ugupCCzmJf,QJZ,515.94 
[19380] CANCEL_SET_BUY,ugupCCzmJf,MXN 
[19423] QUOTE,ugupCCzmJf,LJY 
[19694] BUY,ugupCCzmJf,AJX,697.31 
[19745] COMMIT_BUY,ugupCCzmJf 
[19764] ADD,ugupCCzmJf,108217.77 
[19770] QUOTE,ugupCCzmJf,XOP 
[19987] QUOTE,ugupCCzmJf,LJZ 
[20002] QUOTE,ugupCCzmJf,LPS 
[20033] BUY,ugupCCzmJf,AQO,164.85 
[20090] SELL,ugupCCzmJf,QAX,141.03 
[20185] COMMIT_BUY,ugupCCzmJf 
[20192] SET_BUY_TRIGGER,ugupCCzmJf,PXS,155.18 
[20234] BUY,ugupCCzmJf,WQE,392.28 
[20597] COMMIT_BUY,ugupCCzmJf 
[20785] COMMIT_BUY,ugupCCzmJf 
[20838] SET_BUY_AMOUNT,ugupCCzmJf,QAX,214.37 
[20973] DISPLAY_SUMMARY,ugupCCzmJf 
[21266] QUOTE,ugupCCzmJf,RNK 
[21267] BUY,ugupCCzmJf,SKC,211.69 
[21406] COMMIT_BUY,ugupCCzmJf 
[21448] ADD,ugupCCzmJf,78324.76 
[21527] CANCEL_BUY,ugupCCzmJf 
[21541] BUY,ugupCCzmJf,IHA,726.36 
[21555] COMMIT_BUY,ugupCCzmJf 
[21631] SET_SELL_AMOUNT,ugupCCzmJf,QJZ,592.94 
[21651] SET_SELL_TRIGGER,ugupCCzmJf,QJZ,241.65 
[21765] SELL,ugupCCzmJf,GYF,589.77 
[21822] COMMIT_SELL,ugupCCzmJf 
[22015] SET_SELL_TRIGGER,ugupCCzmJf,GTN,158.96 
[22045] SET_BUY_TRIGGER,ugupCCzmJf,XPX,34.33 
[22059] SET_BUY_TRIGGER,ugupCCzmJf,IFU,2.92 
[22130] SET_SELL_AMOUNT,ugupCCzmJf,OEY,52.46 
[22168] SET_SELL_TRIGGER,ugupCCzmJf,OEY,20.94 
[22198] BUY,ugupCCzmJf,BUL,643.02 
[22342] COMMIT_BUY,ugupCCzmJf 
[22468] CANCEL_BUY,ugupCCzmJf 
[22529] DISPLAY_SUMMARY,ugupCCzmJf 
[22768] QUOTE,ugupCCzmJf,ZFJ 
[22790] SELL,ugupCCzmJf,RUN,397.37 
[22851] COMMIT_SELL,ugupCCzmJf 
[22886] ADD,ugupCCzmJf,71459.71 
[23022] CANCEL_SELL,ugupCCzmJf 
[23042] BUY,ugupCCzmJf,OTI,656.94 
[23076] CANCEL_BUY,ugupCCzmJf 
[23174] DISPLAY_SUMMARY,ugupCCzmJf 
[23196] SET_SELL_TRIGGER,ugupCCzmJf,QAX,140.84 
[23202] SET_BUY_AMOUNT,ugupCCzmJf,UTV,127.86 
[23357] SET_BUY_TRIGGER,ugupCCzmJf,AXK,74.21 
[23418] SELL,ugupCCzmJf,OEY,546.13 
[23547] BUY,ugupCCzmJf,NUV,313.17 
[23592] COMMIT_BUY,ugupCCzmJf 
[23726] BUY,ugupCCzmJf,GGY,600.34 
[23812] COMMIT_BUY,ugupCCzmJf 
[23830] DISPLAY_SUMMARY,ugupCCzmJf 
[23841] ADD,ugupCCzmJf,68103.69 
[23945] BUY,ugupCCzmJf,ZDB,433.23 
[24225] COMMIT_BUY,ugupCCzmJf 
[24376] SET_SELL_TRIGGER,ugupCCzmJf,ZPD,186.04 
[24513] DISPLAY_SUMMARY,ugupCCzmJf 
[24616] SET_SELL_AMOUNT,ugupCCzmJf,GYF,472.26 
[24718] SELL,ugupCCzmJf,JVT,57.81 
[24778] CANCEL_SET_SELL,ugupCCzmJf,GYF 
[24796] ADD,ugupCCzmJf,67202.21 
[24970] QUOTE,ugupCCzmJf,SPP 
[25013] SET_SELL_AMOUNT,ugupCCzmJf,JRJ,187.24 
[25063] CANCEL_SET_SELL,ugupCCzmJf,JRJ 
[25234] SET_SELL_TRIGGER,ugupCCzmJf,ZMK,87.43 
[25301] BUY,ugupCCzmJf,RGM,353.01 
[25336] CANCEL_BUY,ugupCCzmJf 
[25535] BUY,ugupCCzmJf,ALM,502.00 
[25778] COMMIT_BUY,ugupCCzmJf 
[25972] BUY,ugupCCzmJf,QGE,100.09 
[26142] QUOTE,ugupCCzmJf,YPL 
[26235] BUY,ugupCCzmJf,FGF,277.68 
[26316] QUOTE,ugupCCzmJf,SBT 
[26500] CANCEL_BUY,ugupCCzmJf 
[26511] SET_SELL_TRIGGER,ugupCCzmJf,YXK,43.49 
[26782] QUOTE,ugupCCzmJf,NGH 
[26836] QUOTE,ugupCCzmJf,KRX 
[26918] QUOTE,ugupCCzmJf,HEJ 
[26927] CANCEL_SET_BUY,ugupCCzmJf,JOJ 
[26987] SET_BUY_TRIGGER,ugupCCzmJf,JFJ,174.31 
[27169] QUOTE,ugupCCzmJf,XLK 
[27224] ADD,ugupCCzmJf,53204.37 
[27345] CANCEL_BUY,ugupCCzmJf 
[27678] ADD,ugupCCzmJf,46436.90 
[27757] BUY,ugupCCzmJf,HVE,747.07 
[27762] ADD,ugupCCzmJf,25701.30 
[27860] SET_SELL_AMOUNT,ugupCCzmJf,DFE,349.88 
[27965] BUY,ugupCCzmJf,IUN,114.14 
[28146] SET_SELL_TRIGGER,ugupCCzmJf,DFE,241.32 
[28149] SET_SELL_TRIGGER,ugupCCzmJf,KBP,188.05 
[28158] ADD,ugupCCzmJf,87569.61 
[28412] BUY,ugupCCzmJf,HFI,289.99 
[28452] COMMIT_BUY,ugupCCzmJf 
[28483] SET_BUY_AMOUNT,ugupCCzmJf,OEY,645.99 
[28663] SET_BUY_TRIGGER,ugupCCzmJf,YOQ,61.04 
[28807] DISPLAY_SUMMARY,ugupCCzmJf 
[28965] SET_BUY_TRIGGER,ugupCCzmJf,KGA,192.60 
[29207] DISPLAY_SUMMARY,ugupCCzmJf 
[29309] SET_SELL_TRIGGER,ugupCCzmJf,FYA,25.85 
[29312] QUOTE,ugupCCzmJf,SYU 
[29315] BUY,ugupCCzmJf,NTT,654.80 
[29384] QUOTE,ugupCCzmJf,PHE 
[29627] BUY,ugupCCzmJf,JMX,699.06 
[29671] CANCEL_BUY,ugupCCzmJf 
[29700] COMMIT_BUY,ugupCCzmJf 
[29747] QUOTE,ugupCCzmJf,MLT 
[29854] CANCEL_SET_BUY,ugupCCzmJf,FQP 
[30182] SET_BUY_TRIGGER,ugupCCzmJf,XQC,59.26 
[30254] QUOTE,ugupCCzmJf,QAA 
[30431] SET_SELL_AMOUNT,ugupCCzmJf,CSZ,319.86 
[30595] SET_SELL_TRIGGER,ugupCCzmJf,CSZ,99.89 
[30600] SELL,ugupCCzmJf,ZAN,456.21 
[30657] BUY,ugupCCzmJf,VKB,57.98 
[30799] QUOTE,ugupCCzmJf,BUL 
[30869] BUY,ugupCCzmJf,DVU,104.16 
[30903] COMMIT_BUY,ugupCCzmJf 
[31071] ADD,ugupCCzmJf,78312.17 
[31103] COMMIT_SELL,ugupCCzmJf 
[31257] QUOTE,ugupCCzmJf,AVH 
[31282] BUY,ugupCCzmJf,QJZ,462.46 
[31384] COMMIT_BUY,ugupCCzmJf 
[31413] SELL,ugupCCzmJf,KES,578.69 
[31435] SET_SELL_TRIGGER,ugupCCzmJf,NUV,167.59 
[31559] SET_SELL_TRIGGER,ugupCCzmJf,DNJ,132.61 
[31576] QUOTE,ugupCCzmJf,SXB 
[31675] QUOTE,ugupCCzmJf,CVV 
[31926] ADD,ugupCCzmJf,57470.14 
[32058] SET_SELL_TRIGGER,ugupCCzmJf,NXU,66.55 
[32069] CANCEL_SET_BUY,ugupCCzmJf,RQL 
[32166] ADD,ugupCCzmJf,54853.74 
[32345] BUY,ugupCCzmJf,IPH,176.59 
[32405] COMMIT_BUY,ugupCCzmJf 
[32429] ADD,ugupCCzmJf,60897.42 
[32442] QUOTE,ugupCCzmJf,PVH 
[32611] QUOTE,ugupCCzmJf,SPP 
[32702] DISPLAY_SUMMARY,ugupCCzmJf 
[32892] SELL,ugupCCzmJf,YJK,293.35 
[32898] CANCEL_SELL,ugupCCzmJf 
[32914] SET_SELL_AMOUNT,ugupCCzmJf,PTP,18.16 
[32974] SET_SELL_TRIGGER,ugupCCzmJf,PTP,16.72 
[33032] DISPLAY_SUMMARY,ugupCCzmJf 
[33247] ADD,ugupCCzmJf,58046.80 
[33453] COMMIT_BUY,ugupCCzmJf 
[33555] BUY,ugupCCzmJf,SPP,63.33 
[33609] COMMIT_BUY,ugupCCzmJf 
[33646] SET_SELL_TRIGGER,ugupCCzmJf,PXS,96.21 
[33661] SET_SELL_TRIGGER,ugupCCzmJf,OBR,98.79 
[33717] ADD,ugupCCzmJf,70290.34 
[33790] QUOTE,ugupCCzmJf,FZB 
[34086] SET_SELL_TRIGGER,ugupCCzmJf,JTX,197.90 
[34205] ADD,ugupCCzmJf,85356.71 
[34417] QUOTE,ugupCCzmJf,YNH 
[34578] CANCEL_BUY,ugupCCzmJf 
[34751] SET_BUY_AMOUNT,ugupCCzmJf,ZAN,179.01 
[34772] SET_BUY_TRIGGER,ugupCCzmJf,OGB,167.03 
[34804] BUY,ugupCCzmJf,ELQ,116.48 
[34915] COMMIT_BUY,ugupCCzmJf 
[35185] DISPLAY_SUMMARY,ugupCCzmJf 
[35225] DISPLAY_SUMMARY,ugupCCzmJf 
[35232] SET_BUY_TRIGGER,ugupCCzmJf,IPH,164.04 
[35242] ADD,ugupCCzmJf,38687.56 
[35379] QUOTE,ugupCCzmJf,FQP 
[35384] BUY,ugupCCzmJf,BUL,158.00 
[35418] CANCEL_BUY,ugupCCzmJf 
[35643] ADD,ugupCCzmJf,68534.54 
[35761] SET_BUY_TRIGGER,ugupCCzmJf,OXK,119.81 
[35795] SELL,ugupCCzmJf,OEY,239.17 
[36225] COMMIT_SELL,ugupCCzmJf 
[36250] ADD,ugupCCzmJf,59506.33 
[36260] BUY,ugupCCzmJf,EEG,16.25 
[36403] CANCEL_BUY,ugupCCzmJf 
[36559] QUOTE,ugupCCzmJf,XQC 
[36639] SET_SELL_TRIGGER,ugupCCzmJf,QPZ,94.23 
[36818] QUOTE,ugupCCzmJf,JDW 
[37002] BUY,ugupCCzmJf,HCN,673.26 
[37011] DISPLAY_SUMMARY,ugupCCzmJf 
[37215] CANCEL_BUY,ugupCCzmJf 
[37220] SET_SELL_TRIGGER,ugupCCzmJf,BHP,0.52 
[37258] QUOTE,ugupCCzmJf,PFK 
[37306] SELL,ugupCCzmJf,ZTI,510.94 
[37318] COMMIT_SELL,ugupCCzmJf 
[37380] QUOTE,ugupCCzmJf,NLT 
[37384] QUOTE,ugupCCzmJf,QTH 
[37645] BUY,ugupCCzmJf,YLZ,200.15 
[37703] CANCEL_SELL,ugupCCzmJf 
[37704] DISPLAY_SUMMARY,ugupCCzmJf 
[37709] ADD,ugupCCzmJf,85815.77 
[37735] BUY,ugupCCzmJf,DHA,238.21 
[37914] COMMIT_BUY,ugupCCzmJf 
[37960] SET_SELL_AMOUNT,ugupCCzmJf,LFU,460.13 
[37988] SET_SELL_TRIGGER,ugupCCzmJf,LFU,374.68 
[38057] SET_BUY_TRIGGER,ugupCCzmJf,GPW,77.82 
[38071] SET_SELL_TRIGGER,ugupCCzmJf,MFY,82.73 
[38173] SELL,ugupCCzmJf,KES,736.13 
[38179] CANCEL_SET_SELL,ugupCCzmJf,CBQ 
[38228] ADD,ugupCCzmJf,91847.26 
[38589] BUY,ugupCCzmJf,MXN,58.19 
[38591] COMMIT_BUY,ugupCCzmJf 
[38646] ADD,ugupCCzmJf,86324.72 
[38746] QUOTE,ugupCCzmJf,PRJ 
[38970] SET_BUY_TRIGGER,ugupCCzmJf,LJY,154.61 
[39040] BUY,ugupCCzmJf,NZS,72.99 
[39071] DISPLAY_SUMMARY,ugupCCzmJf 
[39116] SET_BUY_AMOUNT,ugupCCzmJf,QAX,47.71 
[39234] SET_BUY_TRIGGER,ugupCCzmJf,NVX,9.76 
[39305] SET_SELL_TRIGGER,ugupCCzmJf,INB,7.21 
[39336] QUOTE,ugupCCzmJf,VKB 
[39374] QUOTE,ugupCCzmJf,COE 
[39401] BUY,ugupCCzmJf,YZH,713.12 
[39505] SET_BUY_AMOUNT,ugupCCzmJf,QJZ,747.69 
[39577] SELL,ugupCCzmJf,XLK,323.58 
[39593] COMMIT_SELL,ugupCCzmJf 
[39609] ADD,ugupCCzmJf,71859.21 
[39635] QUOTE,ugupCCzmJf,CTI 
[39643] ADD,ugupCCzmJf,40872.73 
[39751] BUY,ugupCCzmJf,IBT,53.23 
[39994] BUY,ugupCCzmJf,WKL,138.78 
[40340] COMMIT_BUY,ugupCCzmJf 
[40591] SET_BUY_TRIGGER,ugupCCzmJf,APU,606.13 
[40779] SET_BUY_AMOUNT,ugupCCzmJf,CUZ,456.82 
[40934] CANCEL_SET_BUY,ugupCCzmJf,SPL 
[40935] ADD,ugupCCzmJf,61078.42 
[41065] BUY,ugupCCzmJf,FTB,194.78 
[41301] COMMIT_BUY,ugupCCzmJf 
[41491] SET_SELL_TRIGGER,ugupCCzmJf,QOQ,154.72 
[41540] ADD,ugupCCzmJf,64440.20 
[41556] QUOTE,ugupCCzmJf,TUO 
[41735] BUY,ugupCCzmJf,MIY,31.32 
[41870] COMMIT_BUY,ugupCCzmJf 
[41885] COMMIT_SELL,ugupCCzmJf 
[41920] BUY,ugupCCzmJf,PHU,202.39 
[42054] SET_BUY_AMOUNT,ugupCCzmJf,VTY,368.01 
[42090] SET_BUY_TRIGGER,ugupCCzmJf,PDX,64.65 
[42097] SET_BUY_AMOUNT,ugupCCzmJf,OPN,704.29 
[42385] DISPLAY_SUMMARY,ugupCCzmJf 
[42616] BUY,ugupCCzmJf,PUC,376.54 
[42620] CANCEL_SET_SELL,ugupCCzmJf,CLP 
[42634] SELL,ugupCCzmJf,UBJ,321.69 
[42681] CANCEL_SELL,ugupCCzmJf 
[42710] BUY,ugupCCzmJf,RRE,43.47 
[42777] COMMIT_BUY,ugupCCzmJf 
[42801] DISPLAY_SUMMARY,ugupCCzmJf 
[42940] QUOTE,ugupCCzmJf,HBF 
[42946] QUOTE,ugupCCzmJf,MOM 
[43154] CANCEL_BUY,ugupCCzmJf 
[43291] DISPLAY_SUMMARY,ugupCCzmJf 
[43676] QUOTE,ugupCCzmJf,GSW 
[43691] CANCEL_SELL,ugupCCzmJf 
[43770] BUY,ugupCCzmJf,YPL,505.33 
[43903] CANCEL_SET_BUY,ugupCCzmJf,JUN 
[44036] ADD,ugupCCzmJf,94119.12 
[44401] BUY,ugupCCzmJf,UFX,64.31 
[44555] SET_BUY_TRIGGER,ugupCCzmJf,EOS,51.54 
[44569] QUOTE,ugupCCzmJf,KAR 
[44591] DISPLAY_SUMMARY,ugupCCzmJf 
[44748] SET_BUY_AMOUNT,ugupCCzmJf,RNK,12.94 
[44754] SET_BUY_TRIGGER,ugupCCzmJf,MJU,3.52 
[44801] ADD,ugupCCzmJf,81327.58 
[44892] SET_SELL_AMOUNT,ugupCCzmJf,XLK,354.00 
[44928] SET_SELL_TRIGGER,ugupCCzmJf,XLK,26.02 
[45169] SELL,ugupCCzmJf,NHG,216.24 
[45264] CANCEL_SELL,ugupCCzmJf 
[45391] QUOTE,ugupCCzmJf,HFI 
[45568] SET_BUY_TRIGGER,ugupCCzmJf,JJW,10.15 
[45591] SET_SELL_TRIGGER,ugupCCzmJf,PXY,54.30 
[45670] SELL,ugupCCzmJf,SUS,374.75 
[45728] COMMIT_SELL,ugupCCzmJf 
[45739] SET_BUY_TRIGGER,ugupCCzmJf,WJB,43.53 
[45960] COMMIT_SELL,ugupCCzmJf 
[46005] ADD,ugupCCzmJf,81092.41 
[46172] QUOTE,ugupCCzmJf,PIC 
[46230] BUY,ugupCCzmJf,WLT,5.62 
[46402] BUY,ugupCCzmJf,WKG,607.16 
[46578] SET_SELL_TRIGGER,ugupCCzmJf,AOH,143.99 
[46985] BUY,ugupCCzmJf,OIV,347.19 
[47096] SET_BUY_AMOUNT,ugupCCzmJf,PTP,405.34 
[47117] SET_BUY_TRIGGER,ugupCCzmJf,URY,147.79 
[47144] DISPLAY_SUMMARY,ugupCCzmJf 
[47200] SET_SELL_TRIGGER,ugupCCzmJf,YRO,15.55 
[47223] SET_SELL_TRIGGER,ugupCCzmJf,NLT,75.10 
[47376] ADD,ugupCCzmJf,65196.46 
[47652] QUOTE,ugupCCzmJf,AHO 
[47699] ADD,ugupCCzmJf,53609.79 
[47786] BUY,ugupCCzmJf,SAR,618.91 
[47816] COMMIT_BUY,ugupCCzmJf 
[47919] SET_BUY_AMOUNT,ugupCCzmJf,PTP,360.23 
[48020] SET_BUY_TRIGGER,ugupCCzmJf,VND,298.01 
[48169] ADD,ugupCCzmJf,98331.74 
[48234] QUOTE,ugupCCzmJf,FTJ 
[48347] SET_BUY_TRIGGER,ugupCCzmJf,SUS,180.50 
[48442] SET_BUY_TRIGGER,ugupCCzmJf,BRT,1.87 
[48465] BUY,ugupCCzmJf,QGL,215.48 
[48492] DISPLAY_SUMMARY,ugupCCzmJf 
[48517] SET_BUY_TRIGGER,ugupCCzmJf,EEG,119.77 
[48706] ADD,ugupCCzmJf,78764.02 
[48753] BUY,ugupCCzmJf,GYF,106.65 
[48894] SET_SELL_TRIGGER,ugupCCzmJf,MIR,95.06 
[48937] DISPLAY_SUMMARY,ugupCCzmJf 
[48938] DISPLAY_SUMMARY,ugupCCzmJf 
[48952] DISPLAY_SUMMARY,ugupCCzmJf 
[49069] ADD,ugupCCzmJf,65626.64 
[49118] QUOTE,ugupCCzmJf,BBD 
[49263] BUY,ugupCCzmJf,THH,671.48 
[49296] COMMIT_BUY,ugupCCzmJf 
[49629] SELL,ugupCCzmJf,JRJ,188.62 
[49861] CANCEL_SELL,ugupCCzmJf 
