[36] ADD,LtO7mQU2OX,64705.92 
[12093] ADD,LtO7mQU2OX,69662.16 
[12227] QUOTE,LtO7mQU2OX,YBB 
[12290] ADD,LtO7mQU2OX,74454.56 
[12395] QUOTE,LtO7mQU2OX,RFC 
[12400] SET_BUY_TRIGGER,LtO7mQU2OX,ULL,109.08 
[12570] BUY,LtO7mQU2OX,RNK,699.91 
[12571] COMMIT_BUY,LtO7mQU2OX 
[12717] SET_BUY_TRIGGER,LtO7mQU2OX,VJB,100.63 
[12732] SET_SELL_TRIGGER,LtO7mQU2OX,KES,48.53 
[12800] SET_SELL_TRIGGER,LtO7mQU2OX,VQA,134.46 
[12877] QUOTE,LtO7mQU2OX,GIK 
[13085] DISPLAY_SUMMARY,LtO7mQU2OX 
[13092] ADD,LtO7mQU2OX,57134.44 
[13097] QUOTE,LtO7mQU2OX,RXB 
[13103] ADD,LtO7mQU2OX,46347.38 
[13120] QUOTE,LtO7mQU2OX,WAO 
[13349] QUOTE,LtO7mQU2OX,XFA 
[13600] DISPLAY_SUMMARY,LtO7mQU2OX 
[13703] ADD,LtO7mQU2OX,60705.26 
[13799] CANCEL_SET_SELL,LtO7mQU2OX,PXY 
[13878] BUY,LtO7mQU2OX,VNO,658.37 
[13976] BUY,LtO7mQU2OX,GLJ,682.69 
[13984] SELL,LtO7mQU2OX,KDA,375.93 
[14020] QUOTE,LtO7mQU2OX,NSW 
[14168] BUY,LtO7mQU2OX,XLV,253.25 
[14551] COMMIT_BUY,LtO7mQU2OX 
[14611] BUY,LtO7mQU2OX,NKC,9.59 
[14714] COMMIT_BUY,LtO7mQU2OX 
[14772] ADD,LtO7mQU2OX,65629.51 
[14901] DISPLAY_SUMMARY,LtO7mQU2OX 
[14937] SET_BUY_TRIGGER,LtO7mQU2OX,YAV,144.91 
[14940] DISPLAY_SUMMARY,LtO7mQU2OX 
[15396] QUOTE,LtO7mQU2OX,LMO 
[15472] BUY,LtO7mQU2OX,EVR,209.69 
[15605] CANCEL_BUY,LtO7mQU2OX 
[15659] ADD,LtO7mQU2OX,78974.74 
[15702] BUY,LtO7mQU2OX,CMD,499.73 
[15988] SET_SELL_AMOUNT,LtO7mQU2OX,JVT,548.85 
[16152] SET_SELL_TRIGGER,LtO7mQU2OX,JVT,274.30 
[16243] SET_BUY_AMOUNT,LtO7mQU2OX,OEY,507.04 
[16352] SET_BUY_TRIGGER,LtO7mQU2OX,GMF,457.44 
[16430] DISPLAY_SUMMARY,LtO7mQU2OX 
[16560] BUY,LtO7mQU2OX,JFJ,744.42 
[16753] COMMIT_BUY,LtO7mQU2OX 
[16849] SET_SELL_TRIGGER,LtO7mQU2OX,BXH,143.17 
[16866] DISPLAY_SUMMARY,LtO7mQU2OX 
[17036] ADD,LtO7mQU2OX,77323.76 
[17085] BUY,LtO7mQU2OX,ISQ,197.83 
[17216] ADD,LtO7mQU2OX,81999.13 
[17233] BUY,LtO7mQU2OX,NSN,716.72 
[17340] COMMIT_BUY,LtO7mQU2OX 
[17514] ADD,LtO7mQU2OX,90575.44 
[17756] BUY,LtO7mQU2OX,FIW,721.17 
[17915] SET_SELL_AMOUNT,LtO7mQU2OX,NHG,141.99 
[17943] SET_SELL_TRIGGER,LtO7mQU2OX,NHG,108.13 
[17976] DISPLAY_SUMMARY,LtO7mQU2OX 
[18198] ADD,LtO7mQU2OX,45999.14 
[18457] QUOTE,LtO7mQU2OX,ZOZ 
[18459] SET_BUY_TRIGGER,LtO7mQU2OX,QPE,64.95 
[18502] COMMIT_BUY,LtO7mQU2OX 
[18637] BUY,LtO7mQU2OX,BSZ,92.17 
[19183] COMMIT_BUY,LtO7mQU2OX 
[19197] SET_SELL_AMOUNT,LtO7mQU2OX,JRJ,362.14 
[19311] SET_SELL_TRIGGER,LtO7mQU2OX,JRJ,251.46 
[19389] BUY,LtO7mQU2OX,FQG,404.08 
[19593] CANCEL_BUY,LtO7mQU2OX 
[19647] SET_BUY_AMOUNT,LtO7mQU2OX,GYF,665.41 
[19649] SET_BUY_TRIGGER,LtO7mQU2OX,TQE,631.15 
[19854] ADD,LtO7mQU2OX,67755.22 
[19990] SET_SELL_AMOUNT,LtO7mQU2OX,KDA,336.29 
[20111] SET_SELL_TRIGGER,LtO7mQU2OX,KDA,178.36 
[20178] QUOTE,LtO7mQU2OX,ONI 
[20264] BUY,LtO7mQU2OX,PPY,675.72 
[20346] CANCEL_BUY,LtO7mQU2OX 
[20440] SET_SELL_TRIGGER,LtO7mQU2OX,SKV,12.50 
[20715] SET_SELL_TRIGGER,LtO7mQU2OX,WNU,178.18 
[20733] BUY,LtO7mQU2OX,XER,328.58 
[20762] SET_SELL_TRIGGER,LtO7mQU2OX,ZDB,9.12 
[21256] QUOTE,LtO7mQU2OX,RFI 
[21320] SET_BUY_AMOUNT,LtO7mQU2OX,LFU,474.91 
[21526] SET_BUY_TRIGGER,LtO7mQU2OX,CMA,219.14 
[21540] SET_SELL_AMOUNT,LtO7mQU2OX,JCQ,470.44 
[21748] SET_SELL_TRIGGER,LtO7mQU2OX,JCQ,237.28 
[21758] SELL,LtO7mQU2OX,LFU,68.03 
[21816] COMMIT_SELL,LtO7mQU2OX 
[21826] SET_BUY_AMOUNT,LtO7mQU2OX,NHG,384.85 
[21886] SET_BUY_TRIGGER,LtO7mQU2OX,QWC,311.92 
[21938] SELL,LtO7mQU2OX,OEY,346.74 
[21962] COMMIT_SELL,LtO7mQU2OX 
[22063] SET_SELL_AMOUNT,LtO7mQU2OX,OEY,255.00 
[22197] SET_SELL_TRIGGER,LtO7mQU2OX,OEY,237.19 
[22237] SET_BUY_AMOUNT,LtO7mQU2OX,OEY,527.86 
[22353] SET_BUY_TRIGGER,LtO7mQU2OX,XCL,414.94 
[22423] CANCEL_SET_SELL,LtO7mQU2OX,WXV 
[22571] DISPLAY_SUMMARY,LtO7mQU2OX 
[22637] ADD,LtO7mQU2OX,72360.33 
[22667] BUY,LtO7mQU2OX,CVK,557.78 
[22823] COMMIT_BUY,LtO7mQU2OX 
[22976] CANCEL_SET_SELL,LtO7mQU2OX,WLT 
[22984] SET_BUY_TRIGGER,LtO7mQU2OX,KLY,23.92 
[23117] SET_SELL_TRIGGER,LtO7mQU2OX,AVI,135.65 
[23390] BUY,LtO7mQU2OX,NVN,66.88 
[23506] SELL,LtO7mQU2OX,UTV,518.25 
[23510] CANCEL_SELL,LtO7mQU2OX 
[23727] ADD,LtO7mQU2OX,69115.18 
[23763] QUOTE,LtO7mQU2OX,XQG 
[23826] CANCEL_BUY,LtO7mQU2OX 
[23829] SET_SELL_AMOUNT,LtO7mQU2OX,UTV,118.15 
[23882] SET_SELL_TRIGGER,LtO7mQU2OX,UTV,63.00 
[23947] ADD,LtO7mQU2OX,93950.66 
[24062] BUY,LtO7mQU2OX,CUQ,719.64 
[24104] BUY,LtO7mQU2OX,MOS,596.86 
[24109] COMMIT_BUY,LtO7mQU2OX 
[24308] SET_BUY_TRIGGER,LtO7mQU2OX,IBT,127.67 
[24439] ADD,LtO7mQU2OX,90391.03 
[24488] BUY,LtO7mQU2OX,VEE,422.22 
[24604] CANCEL_SET_SELL,LtO7mQU2OX,NGG 
[24698] SET_SELL_AMOUNT,LtO7mQU2OX,GYF,72.19 
[24893] SET_SELL_TRIGGER,LtO7mQU2OX,GYF,15.41 
[24922] ADD,LtO7mQU2OX,68064.39 
[24936] QUOTE,LtO7mQU2OX,RQS 
[24946] DISPLAY_SUMMARY,LtO7mQU2OX 
[25119] SET_BUY_AMOUNT,LtO7mQU2OX,BYA,237.44 
[25133] SET_BUY_TRIGGER,LtO7mQU2OX,KVK,29.11 
[25272] SET_BUY_TRIGGER,LtO7mQU2OX,CBV,72.06 
[25460] QUOTE,LtO7mQU2OX,VMT 
[25470] BUY,LtO7mQU2OX,RXB,711.17 
[25856] SET_SELL_TRIGGER,LtO7mQU2OX,TCP,189.41 
[26182] ADD,LtO7mQU2OX,53733.13 
[26195] QUOTE,LtO7mQU2OX,ALG 
[26445] BUY,LtO7mQU2OX,OWH,197.83 
[26453] COMMIT_BUY,LtO7mQU2OX 
[26461] SET_BUY_TRIGGER,LtO7mQU2OX,XLK,122.65 
[26654] ADD,LtO7mQU2OX,52094.55 
[26672] BUY,LtO7mQU2OX,RNE,417.04 
[27051] COMMIT_BUY,LtO7mQU2OX 
[27161] ADD,LtO7mQU2OX,50300.42 
[27380] BUY,LtO7mQU2OX,SBT,362.60 
[27399] COMMIT_BUY,LtO7mQU2OX 
[27431] ADD,LtO7mQU2OX,69289.06 
[27463] SET_BUY_AMOUNT,LtO7mQU2OX,JVT,86.09 
[27502] QUOTE,LtO7mQU2OX,DES 
[27595] SELL,LtO7mQU2OX,FQP,567.96 
[27695] COMMIT_SELL,LtO7mQU2OX 
[27753] DISPLAY_SUMMARY,LtO7mQU2OX 
[27771] BUY,LtO7mQU2OX,STO,137.90 
[27772] CANCEL_SET_BUY,LtO7mQU2OX,MWJ 
[27876] SELL,LtO7mQU2OX,ZAN,197.92 
[28048] COMMIT_SELL,LtO7mQU2OX 
[28113] SET_SELL_AMOUNT,LtO7mQU2OX,BYA,596.50 
[28150] SET_SELL_TRIGGER,LtO7mQU2OX,BYA,415.86 
[28202] SET_SELL_TRIGGER,LtO7mQU2OX,XFA,187.29 
[28273] ADD,LtO7mQU2OX,55278.15 
[28301] QUOTE,LtO7mQU2OX,HCN 
[28581] QUOTE,LtO7mQU2OX,IPH 
[28612] SET_BUY_TRIGGER,LtO7mQU2OX,RYU,84.85 
[28618] ADD,LtO7mQU2OX,49707.36 
[28694] BUY,LtO7mQU2OX,ZAV,638.02 
[28771] COMMIT_BUY,LtO7mQU2OX 
[28776] DISPLAY_SUMMARY,LtO7mQU2OX 
[28881] ADD,LtO7mQU2OX,60405.24 
[28996] BUY,LtO7mQU2OX,IPH,389.80 
[29085] COMMIT_BUY,LtO7mQU2OX 
[29095] ADD,LtO7mQU2OX,54830.93 
[29133] CANCEL_SET_SELL,LtO7mQU2OX,PCK 
[29227] ADD,LtO7mQU2OX,49436.59 
[29242] BUY,LtO7mQU2OX,KKI,188.80 
[29257] COMMIT_BUY,LtO7mQU2OX 
[29273] SET_SELL_TRIGGER,LtO7mQU2OX,ZUV,6.80 
[29551] CANCEL_SET_SELL,LtO7mQU2OX,HTD 
[29609] ADD,LtO7mQU2OX,57398.30 
[29652] BUY,LtO7mQU2OX,EVR,723.36 
[29759] CANCEL_SELL,LtO7mQU2OX 
[29979] SET_SELL_AMOUNT,LtO7mQU2OX,KDA,636.27 
[30065] SET_SELL_TRIGGER,LtO7mQU2OX,KDA,42.11 
[30112] DISPLAY_SUMMARY,LtO7mQU2OX 
[30328] SET_BUY_AMOUNT,LtO7mQU2OX,CUZ,40.35 
[30385] SET_BUY_TRIGGER,LtO7mQU2OX,BFU,10.92 
[30401] SELL,LtO7mQU2OX,FQP,265.84 
[30651] SET_BUY_AMOUNT,LtO7mQU2OX,CUZ,466.59 
[30715] SET_BUY_TRIGGER,LtO7mQU2OX,OLH,308.22 
[30791] SELL,LtO7mQU2OX,BCQ,511.76 
[30873] SET_BUY_TRIGGER,LtO7mQU2OX,SAR,155.63 
[30975] QUOTE,LtO7mQU2OX,YOQ 
[31082] BUY,LtO7mQU2OX,VWU,138.52 
[31262] SET_SELL_TRIGGER,LtO7mQU2OX,JOJ,22.90 
[31361] SELL,LtO7mQU2OX,JVT,421.32 
[31391] CANCEL_SELL,LtO7mQU2OX 
[31520] SET_SELL_TRIGGER,LtO7mQU2OX,POI,40.10 
[31637] SET_BUY_AMOUNT,LtO7mQU2OX,KDA,543.87 
[31809] SET_BUY_TRIGGER,LtO7mQU2OX,NDO,382.52 
[31987] SELL,LtO7mQU2OX,BYA,53.60 
[32000] COMMIT_SELL,LtO7mQU2OX 
[32095] SET_BUY_AMOUNT,LtO7mQU2OX,CUZ,187.15 
[32398] SET_BUY_TRIGGER,LtO7mQU2OX,WSR,42.29 
[32436] SET_SELL_TRIGGER,LtO7mQU2OX,KJM,129.85 
[32857] CANCEL_SET_SELL,LtO7mQU2OX,TFZ 
[32867] SET_BUY_TRIGGER,LtO7mQU2OX,YNY,194.10 
[32886] DISPLAY_SUMMARY,LtO7mQU2OX 
[32913] SET_BUY_AMOUNT,LtO7mQU2OX,KDA,720.31 
[32992] SET_BUY_TRIGGER,LtO7mQU2OX,NGZ,60.37 
[33045] DISPLAY_SUMMARY,LtO7mQU2OX 
[33058] SELL,LtO7mQU2OX,XXQ,541.80 
[33413] ADD,LtO7mQU2OX,70698.87 
[33554] QUOTE,LtO7mQU2OX,ZFK 
[33566] SET_SELL_TRIGGER,LtO7mQU2OX,ZPD,70.51 
[33791] DISPLAY_SUMMARY,LtO7mQU2OX 
[33824] SELL,LtO7mQU2OX,GYF,100.57 
[33907] COMMIT_SELL,LtO7mQU2OX 
[33925] BUY,LtO7mQU2OX,PDX,223.91 
[34050] COMMIT_BUY,LtO7mQU2OX 
[34140] SET_BUY_AMOUNT,LtO7mQU2OX,QAX,617.05 
[34326] SET_BUY_TRIGGER,LtO7mQU2OX,GKD,153.30 
[34598] DISPLAY_SUMMARY,LtO7mQU2OX 
[34671] DISPLAY_SUMMARY,LtO7mQU2OX 
[34820] SET_BUY_AMOUNT,LtO7mQU2OX,YJK,136.48 
[34851] SET_BUY_TRIGGER,LtO7mQU2OX,MOF,89.11 
[34908] ADD,LtO7mQU2OX,64719.52 
[35001] BUY,LtO7mQU2OX,KCT,487.28 
[35027] COMMIT_BUY,LtO7mQU2OX 
[35109] CANCEL_SET_SELL,LtO7mQU2OX,IDX 
[35161] SET_SELL_TRIGGER,LtO7mQU2OX,OXV,23.64 
[35179] ADD,LtO7mQU2OX,41453.57 
[35481] BUY,LtO7mQU2OX,BMW,150.12 
[35598] CANCEL_BUY,LtO7mQU2OX 
[35682] SET_BUY_TRIGGER,LtO7mQU2OX,USW,83.76 
[35735] SET_BUY_TRIGGER,LtO7mQU2OX,FIY,55.94 
[35770] DISPLAY_SUMMARY,LtO7mQU2OX 
[36105] DISPLAY_SUMMARY,LtO7mQU2OX 
[36313] SET_BUY_TRIGGER,LtO7mQU2OX,SVV,16.34 
[36700] DISPLAY_SUMMARY,LtO7mQU2OX 
[36845] COMMIT_BUY,LtO7mQU2OX 
[36922] ADD,LtO7mQU2OX,92060.03 
[36960] BUY,LtO7mQU2OX,NJI,141.44 
[36985] COMMIT_BUY,LtO7mQU2OX 
[37010] CANCEL_SELL,LtO7mQU2OX 
[37170] QUOTE,LtO7mQU2OX,MXN 
[37291] BUY,LtO7mQU2OX,OXK,2.89 
[37400] SET_SELL_TRIGGER,LtO7mQU2OX,CBV,126.48 
[37484] SELL,LtO7mQU2OX,PTP,526.34 
[37485] QUOTE,LtO7mQU2OX,TJL 
[37503] BUY,LtO7mQU2OX,XFH,248.03 
[37558] COMMIT_BUY,LtO7mQU2OX 
[37635] ADD,LtO7mQU2OX,80471.87 
[37677] BUY,LtO7mQU2OX,JMX,547.37 
[37776] COMMIT_BUY,LtO7mQU2OX 
[37784] SET_SELL_TRIGGER,LtO7mQU2OX,NHB,8.13 
[37819] DISPLAY_SUMMARY,LtO7mQU2OX 
[37882] SET_SELL_AMOUNT,LtO7mQU2OX,JCQ,669.07 
[37926] SET_SELL_TRIGGER,LtO7mQU2OX,JCQ,21.91 
[37987] BUY,LtO7mQU2OX,JIO,283.94 
[38149] COMMIT_BUY,LtO7mQU2OX 
[38278] SELL,LtO7mQU2OX,LFU,605.75 
[38342] COMMIT_SELL,LtO7mQU2OX 
[38430] SET_BUY_TRIGGER,LtO7mQU2OX,NEV,121.91 
[38585] CANCEL_SET_BUY,LtO7mQU2OX,QID 
[38653] SELL,LtO7mQU2OX,QJZ,421.18 
[38847] COMMIT_SELL,LtO7mQU2OX 
[38948] SET_SELL_AMOUNT,LtO7mQU2OX,UTV,111.35 
[39002] SET_SELL_TRIGGER,LtO7mQU2OX,UTV,71.84 
[39045] BUY,LtO7mQU2OX,WHR,2.96 
[39050] COMMIT_BUY,LtO7mQU2OX 
[39149] ADD,LtO7mQU2OX,69773.92 
[39176] COMMIT_SELL,LtO7mQU2OX 
[39254] DISPLAY_SUMMARY,LtO7mQU2OX 
[39286] ADD,LtO7mQU2OX,77124.72 
[39452] QUOTE,LtO7mQU2OX,WZM 
[39469] SET_BUY_TRIGGER,LtO7mQU2OX,BFB,148.10 
[39548] QUOTE,LtO7mQU2OX,DIX 
[39552] QUOTE,LtO7mQU2OX,PVZ 
[39601] ADD,LtO7mQU2OX,48567.16 
[39657] BUY,LtO7mQU2OX,UDM,328.94 
[39731] CANCEL_BUY,LtO7mQU2OX 
[39778] SET_BUY_TRIGGER,LtO7mQU2OX,EIH,193.31 
[39830] ADD,LtO7mQU2OX,83297.74 
[39862] QUOTE,LtO7mQU2OX,ZNL 
[39881] BUY,LtO7mQU2OX,IKK,228.31 
[40019] COMMIT_BUY,LtO7mQU2OX 
[40151] DISPLAY_SUMMARY,LtO7mQU2OX 
[40251] SET_BUY_TRIGGER,LtO7mQU2OX,JMX,161.67 
[40347] SET_BUY_AMOUNT,LtO7mQU2OX,DFE,732.05 
[40402] QUOTE,LtO7mQU2OX,YZC 
[40405] BUY,LtO7mQU2OX,VEN,707.02 
[40504] CANCEL_BUY,LtO7mQU2OX 
[40605] SELL,LtO7mQU2OX,JCQ,569.78 
[40778] COMMIT_SELL,LtO7mQU2OX 
[40804] SET_SELL_AMOUNT,LtO7mQU2OX,XLK,261.37 
[40867] SET_SELL_TRIGGER,LtO7mQU2OX,XLK,182.26 
[40927] SELL,LtO7mQU2OX,ZYR,32.30 
[40971] COMMIT_SELL,LtO7mQU2OX 
[40972] QUOTE,LtO7mQU2OX,MOM 
[41265] CANCEL_SET_SELL,LtO7mQU2OX,JUV 
[41278] QUOTE,LtO7mQU2OX,EGX 
[41327] SET_SELL_AMOUNT,LtO7mQU2OX,YJK,692.03 
[41367] SET_SELL_TRIGGER,LtO7mQU2OX,YJK,98.87 
[41459] QUOTE,LtO7mQU2OX,XWZ 
[41488] CANCEL_SELL,LtO7mQU2OX 
[41921] SET_BUY_AMOUNT,LtO7mQU2OX,JRJ,416.65 
[41979] SET_BUY_TRIGGER,LtO7mQU2OX,KWP,0.09 
[42056] ADD,LtO7mQU2OX,68624.27 
[42072] QUOTE,LtO7mQU2OX,EJW 
[42144] ADD,LtO7mQU2OX,72232.55 
[42155] BUY,LtO7mQU2OX,VOU,668.16 
[42208] COMMIT_BUY,LtO7mQU2OX 
[42335] SET_SELL_AMOUNT,LtO7mQU2OX,OEY,20.93 
[42619] QUOTE,LtO7mQU2OX,HGG 
[42708] SET_BUY_AMOUNT,LtO7mQU2OX,FDI,356.30 
[42889] QUOTE,LtO7mQU2OX,WAO 
[42948] ADD,LtO7mQU2OX,78874.25 
[43001] QUOTE,LtO7mQU2OX,NQU 
[43091] ADD,LtO7mQU2OX,70593.04 
[43202] BUY,LtO7mQU2OX,BFU,243.42 
[43206] COMMIT_BUY,LtO7mQU2OX 
[43240] DISPLAY_SUMMARY,LtO7mQU2OX 
[43363] ADD,LtO7mQU2OX,59047.23 
[43390] BUY,LtO7mQU2OX,IZU,51.82 
[43447] SET_BUY_AMOUNT,LtO7mQU2OX,RUN,393.22 
[43601] SET_BUY_TRIGGER,LtO7mQU2OX,BPE,161.52 
[43614] SELL,LtO7mQU2OX,JCQ,541.79 
[43727] COMMIT_SELL,LtO7mQU2OX 
[43751] DISPLAY_SUMMARY,LtO7mQU2OX 
[43963] SET_SELL_TRIGGER,LtO7mQU2OX,OEY,17.19 
[43979] SET_BUY_TRIGGER,LtO7mQU2OX,GHL,52.28 
[44034] BUY,LtO7mQU2OX,WAI,357.78 
[44050] COMMIT_BUY,LtO7mQU2OX 
[44583] DISPLAY_SUMMARY,LtO7mQU2OX 
[44782] QUOTE,LtO7mQU2OX,JEO 
[44789] SET_SELL_AMOUNT,LtO7mQU2OX,JQO,452.51 
[44900] SET_SELL_TRIGGER,LtO7mQU2OX,JQO,141.39 
[44916] ADD,LtO7mQU2OX,74261.25 
[44933] QUOTE,LtO7mQU2OX,YTT 
[45162] BUY,LtO7mQU2OX,PLA,395.09 
[45189] COMMIT_BUY,LtO7mQU2OX 
[45260] SET_BUY_TRIGGER,LtO7mQU2OX,IZJ,3.34 
[45332] SET_BUY_AMOUNT,LtO7mQU2OX,RNK,101.34 
[45395] SET_BUY_TRIGGER,LtO7mQU2OX,XER,61.47 
[45475] SELL,LtO7mQU2OX,PTP,74.95 
[45572] COMMIT_SELL,LtO7mQU2OX 
[45635] ADD,LtO7mQU2OX,86839.99 
[45785] QUOTE,LtO7mQU2OX,WQE 
[45837] QUOTE,LtO7mQU2OX,BTP 
[45923] BUY,LtO7mQU2OX,YBP,424.68 
[46041] CANCEL_SET_BUY,LtO7mQU2OX,AVH 
