[5] ADD,9RCeWXbzj9,96894.37 
[23766] SET_BUY_TRIGGER,9RCeWXbzj9,SMS,348.30 
[23849] BUY,9RCeWXbzj9,GJQ,448.14 
[23926] COMMIT_BUY,9RCeWXbzj9 
[23968] QUOTE,9RCeWXbzj9,KPU 
[24242] SET_BUY_AMOUNT,9RCeWXbzj9,RUN,430.86 
[24275] SET_BUY_TRIGGER,9RCeWXbzj9,WUL,395.45 
[24345] DISPLAY_SUMMARY,9RCeWXbzj9 
[24527] BUY,9RCeWXbzj9,BZX,363.66 
[24558] COMMIT_BUY,9RCeWXbzj9 
[24640] SELL,9RCeWXbzj9,QJZ,173.26 
[24998] COMMIT_SELL,9RCeWXbzj9 
[25001] ADD,9RCeWXbzj9,60012.34 
[25152] BUY,9RCeWXbzj9,GWF,491.35 
[25170] COMMIT_BUY,9RCeWXbzj9 
[25187] BUY,9RCeWXbzj9,JIC,208.40 
[25214] COMMIT_BUY,9RCeWXbzj9 
[25236] BUY,9RCeWXbzj9,WNU,257.33 
[25344] CANCEL_BUY,9RCeWXbzj9 
[25665] ADD,9RCeWXbzj9,106453.33 
[25753] BUY,9RCeWXbzj9,KES,84.47 
[25843] COMMIT_BUY,9RCeWXbzj9 
[26058] DISPLAY_SUMMARY,9RCeWXbzj9 
[26089] SELL,9RCeWXbzj9,QAX,540.31 
[26137] COMMIT_SELL,9RCeWXbzj9 
[26255] SET_SELL_TRIGGER,9RCeWXbzj9,EBS,14.90 
[26309] SET_BUY_TRIGGER,9RCeWXbzj9,CGW,68.84 
[26437] DISPLAY_SUMMARY,9RCeWXbzj9 
[26440] SELL,9RCeWXbzj9,JVT,468.56 
[26522] SET_SELL_AMOUNT,9RCeWXbzj9,UTV,399.73 
[26580] CANCEL_SET_SELL,9RCeWXbzj9,UTV 
[26611] DISPLAY_SUMMARY,9RCeWXbzj9 
[26614] SET_BUY_AMOUNT,9RCeWXbzj9,GYF,43.00 
[26721] SET_BUY_TRIGGER,9RCeWXbzj9,MVY,2.32 
[26777] SET_SELL_TRIGGER,9RCeWXbzj9,MWB,62.17 
[26858] BUY,9RCeWXbzj9,ZJB,30.06 
[26898] CANCEL_SET_BUY,9RCeWXbzj9,NDD 
[26958] DISPLAY_SUMMARY,9RCeWXbzj9 
[27236] DISPLAY_SUMMARY,9RCeWXbzj9 
[27617] BUY,9RCeWXbzj9,WYO,697.41 
[27722] COMMIT_BUY,9RCeWXbzj9 
[27781] DISPLAY_SUMMARY,9RCeWXbzj9 
[27924] SET_SELL_TRIGGER,9RCeWXbzj9,ZJB,102.21 
[28030] ADD,9RCeWXbzj9,50000.12 
[28062] BUY,9RCeWXbzj9,QXW,337.81 
[28089] SET_BUY_TRIGGER,9RCeWXbzj9,TTY,111.75 
[28109] ADD,9RCeWXbzj9,87711.45 
[28160] CANCEL_SELL,9RCeWXbzj9 
[28177] SET_SELL_AMOUNT,9RCeWXbzj9,KDA,193.15 
[28233] QUOTE,9RCeWXbzj9,GGY 
[28321] SELL,9RCeWXbzj9,BYA,313.46 
[28343] CANCEL_SELL,9RCeWXbzj9 
[28824] SET_BUY_AMOUNT,9RCeWXbzj9,QAX,182.31 
[28995] SET_BUY_TRIGGER,9RCeWXbzj9,PFK,0.33 
[29409] SELL,9RCeWXbzj9,GYF,366.54 
[29601] COMMIT_SELL,9RCeWXbzj9 
[29667] SET_BUY_TRIGGER,9RCeWXbzj9,WYD,118.78 
[29714] SELL,9RCeWXbzj9,KES,117.42 
[29754] COMMIT_SELL,9RCeWXbzj9 
[29858] DISPLAY_SUMMARY,9RCeWXbzj9 
[30175] SET_SELL_AMOUNT,9RCeWXbzj9,BYA,737.50 
[30187] SET_SELL_TRIGGER,9RCeWXbzj9,BYA,131.68 
[30217] SET_BUY_AMOUNT,9RCeWXbzj9,GYF,654.55 
[30295] SET_BUY_TRIGGER,9RCeWXbzj9,ZAM,173.34 
[30371] BUY,9RCeWXbzj9,OGR,504.60 
[30692] COMMIT_BUY,9RCeWXbzj9 
[30833] SET_BUY_TRIGGER,9RCeWXbzj9,XFW,197.02 
[30969] QUOTE,9RCeWXbzj9,MMF 
[31254] CANCEL_BUY,9RCeWXbzj9 
[31294] DISPLAY_SUMMARY,9RCeWXbzj9 
[31304] ADD,9RCeWXbzj9,54914.47 
[31420] BUY,9RCeWXbzj9,GSW,610.79 
[31447] CANCEL_BUY,9RCeWXbzj9 
[31501] SET_BUY_AMOUNT,9RCeWXbzj9,UTV,470.19 
[31574] SET_BUY_TRIGGER,9RCeWXbzj9,WTD,41.66 
[31878] COMMIT_SELL,9RCeWXbzj9 
[31996] QUOTE,9RCeWXbzj9,SQS 
[32054] BUY,9RCeWXbzj9,PUC,590.68 
[32199] SET_SELL_TRIGGER,9RCeWXbzj9,QBD,186.29 
[32323] SET_BUY_TRIGGER,9RCeWXbzj9,YOQ,151.20 
[32331] SET_BUY_AMOUNT,9RCeWXbzj9,LFU,324.99 
[32339] CANCEL_SET_BUY,9RCeWXbzj9,FZU 
[32409] SET_SELL_AMOUNT,9RCeWXbzj9,QAX,78.84 
[32454] SET_SELL_TRIGGER,9RCeWXbzj9,QAX,70.75 
[32474] DISPLAY_SUMMARY,9RCeWXbzj9 
[32763] SELL,9RCeWXbzj9,LFU,90.00 
[32830] CANCEL_SELL,9RCeWXbzj9 
[32848] ADD,9RCeWXbzj9,88908.76 
[32968] DISPLAY_SUMMARY,9RCeWXbzj9 
[32988] COMMIT_BUY,9RCeWXbzj9 
[33084] ADD,9RCeWXbzj9,66782.13 
[33229] BUY,9RCeWXbzj9,QQI,584.64 
[33373] BUY,9RCeWXbzj9,QUT,77.84 
[33543] CANCEL_SET_BUY,9RCeWXbzj9,PZE 
[33626] ADD,9RCeWXbzj9,56225.56 
[33709] SELL,9RCeWXbzj9,ZTI,651.14 
[33724] SET_SELL_TRIGGER,9RCeWXbzj9,DXL,9.25 
[33758] SET_SELL_TRIGGER,9RCeWXbzj9,AVH,46.96 
[33853] SET_SELL_AMOUNT,9RCeWXbzj9,JQO,582.03 
[33962] SET_SELL_TRIGGER,9RCeWXbzj9,JQO,304.79 
[34033] SELL,9RCeWXbzj9,LFU,638.24 
[34162] COMMIT_SELL,9RCeWXbzj9 
[34194] QUOTE,9RCeWXbzj9,ERF 
[34316] QUOTE,9RCeWXbzj9,BBC 
[34390] BUY,9RCeWXbzj9,URD,576.99 
[34447] COMMIT_BUY,9RCeWXbzj9 
[34689] SELL,9RCeWXbzj9,LFU,607.60 
[34843] SELL,9RCeWXbzj9,JCQ,723.85 
[34962] COMMIT_SELL,9RCeWXbzj9 
[35030] CANCEL_SET_SELL,9RCeWXbzj9,WAI 
[35036] QUOTE,9RCeWXbzj9,QSS 
[35168] COMMIT_BUY,9RCeWXbzj9 
[35342] SELL,9RCeWXbzj9,BYA,2.02 
[35442] SET_BUY_TRIGGER,9RCeWXbzj9,QXW,2.32 
[35512] ADD,9RCeWXbzj9,87245.46 
[35587] BUY,9RCeWXbzj9,NUV,734.04 
[35610] CANCEL_SET_BUY,9RCeWXbzj9,GHE 
[36148] ADD,9RCeWXbzj9,60369.27 
[36354] BUY,9RCeWXbzj9,EVR,175.84 
[36413] COMMIT_BUY,9RCeWXbzj9 
[36450] DISPLAY_SUMMARY,9RCeWXbzj9 
[36624] COMMIT_SELL,9RCeWXbzj9 
[36630] QUOTE,9RCeWXbzj9,KJD 
[36663] QUOTE,9RCeWXbzj9,JNO 
[36820] SELL,9RCeWXbzj9,RNK,471.07 
[36917] BUY,9RCeWXbzj9,MQX,118.26 
[36953] CANCEL_BUY,9RCeWXbzj9 
[37037] CANCEL_SET_SELL,9RCeWXbzj9,YQC 
[37279] SELL,9RCeWXbzj9,QJZ,604.17 
[37300] DISPLAY_SUMMARY,9RCeWXbzj9 
[37335] QUOTE,9RCeWXbzj9,CVP 
[37725] BUY,9RCeWXbzj9,SEI,205.45 
[37759] COMMIT_BUY,9RCeWXbzj9 
[37763] SET_SELL_TRIGGER,9RCeWXbzj9,AJL,141.47 
[37818] SELL,9RCeWXbzj9,RGH,173.53 
[37832] QUOTE,9RCeWXbzj9,PXX 
[37939] COMMIT_BUY,9RCeWXbzj9 
[37965] QUOTE,9RCeWXbzj9,ZNL 
[38040] BUY,9RCeWXbzj9,AJL,119.53 
[38119] QUOTE,9RCeWXbzj9,ROW 
[38280] QUOTE,9RCeWXbzj9,PXY 
[38286] ADD,9RCeWXbzj9,64406.90 
[38327] QUOTE,9RCeWXbzj9,MXD 
[38339] QUOTE,9RCeWXbzj9,GWS 
[38393] QUOTE,9RCeWXbzj9,WAO 
[38439] SET_BUY_AMOUNT,9RCeWXbzj9,FQP,444.98 
[38727] SET_BUY_TRIGGER,9RCeWXbzj9,XQC,420.59 
[38740] SET_BUY_AMOUNT,9RCeWXbzj9,RGH,511.01 
[39014] CANCEL_SET_BUY,9RCeWXbzj9,LBC 
[39094] SET_SELL_AMOUNT,9RCeWXbzj9,UTV,677.00 
[39237] SET_SELL_TRIGGER,9RCeWXbzj9,UTV,415.60 
[39318] QUOTE,9RCeWXbzj9,WOJ 
[39332] SET_BUY_AMOUNT,9RCeWXbzj9,QJZ,417.51 
[39393] CANCEL_SET_BUY,9RCeWXbzj9,KZC 
[39961] SET_SELL_AMOUNT,9RCeWXbzj9,RUN,644.35 
[39974] SET_SELL_TRIGGER,9RCeWXbzj9,RUN,12.69 
[40005] DISPLAY_SUMMARY,9RCeWXbzj9 
[40008] CANCEL_SET_BUY,9RCeWXbzj9,ZQS 
[40082] SET_BUY_TRIGGER,9RCeWXbzj9,NEV,78.34 
[40136] ADD,9RCeWXbzj9,72766.52 
[40226] COMMIT_BUY,9RCeWXbzj9 
[40245] ADD,9RCeWXbzj9,87651.62 
[40618] BUY,9RCeWXbzj9,GXT,374.43 
[40634] SET_BUY_TRIGGER,9RCeWXbzj9,SKY,159.50 
[40694] SELL,9RCeWXbzj9,FQP,534.29 
[40777] SET_BUY_TRIGGER,9RCeWXbzj9,KAS,69.48 
[41101] SET_SELL_TRIGGER,9RCeWXbzj9,JII,142.81 
[41145] ADD,9RCeWXbzj9,66437.91 
[41264] SELL,9RCeWXbzj9,RGH,83.67 
[41494] BUY,9RCeWXbzj9,EOS,274.80 
[41557] COMMIT_BUY,9RCeWXbzj9 
[41682] BUY,9RCeWXbzj9,JOJ,710.41 
[41718] COMMIT_BUY,9RCeWXbzj9 
[41763] SET_SELL_AMOUNT,9RCeWXbzj9,EBS,273.89 
[41781] SET_SELL_TRIGGER,9RCeWXbzj9,EBS,48.25 
[41878] SELL,9RCeWXbzj9,RGH,730.46 
[41961] CANCEL_SELL,9RCeWXbzj9 
[42261] SELL,9RCeWXbzj9,UTV,447.76 
[42356] COMMIT_SELL,9RCeWXbzj9 
[42405] BUY,9RCeWXbzj9,LMO,621.92 
[42453] CANCEL_SET_SELL,9RCeWXbzj9,YMG 
[42662] ADD,9RCeWXbzj9,55817.17 
[42678] BUY,9RCeWXbzj9,OTD,359.08 
[42921] COMMIT_BUY,9RCeWXbzj9 
[43004] SET_BUY_TRIGGER,9RCeWXbzj9,ZDB,99.33 
[43032] SELL,9RCeWXbzj9,XXQ,179.61 
[43176] CANCEL_SELL,9RCeWXbzj9 
[43258] ADD,9RCeWXbzj9,50504.95 
[43265] CANCEL_BUY,9RCeWXbzj9 
[43606] ADD,9RCeWXbzj9,60282.38 
[43885] COMMIT_BUY,9RCeWXbzj9 
[43886] QUOTE,9RCeWXbzj9,WTD 
[43929] SELL,9RCeWXbzj9,UTV,612.43 
[44204] COMMIT_SELL,9RCeWXbzj9 
[44346] SET_SELL_TRIGGER,9RCeWXbzj9,SNU,87.41 
[44495] ADD,9RCeWXbzj9,66734.15 
[44573] BUY,9RCeWXbzj9,VOU,177.76 
[44632] CANCEL_BUY,9RCeWXbzj9 
[44657] SELL,9RCeWXbzj9,CUZ,645.91 
[44811] QUOTE,9RCeWXbzj9,SAR 
[45034] SET_SELL_AMOUNT,9RCeWXbzj9,FQP,632.87 
[45273] QUOTE,9RCeWXbzj9,MWJ 
[45295] SELL,9RCeWXbzj9,RUN,224.82 
[45351] COMMIT_SELL,9RCeWXbzj9 
[45362] SELL,9RCeWXbzj9,QJZ,425.69 
[45420] SET_SELL_TRIGGER,9RCeWXbzj9,FQP,386.15 
[45477] ADD,9RCeWXbzj9,80199.60 
[45505] BUY,9RCeWXbzj9,CAX,728.96 
[45509] COMMIT_BUY,9RCeWXbzj9 
[45555] BUY,9RCeWXbzj9,LLO,642.07 
[45747] COMMIT_BUY,9RCeWXbzj9 
[45839] BUY,9RCeWXbzj9,CTS,517.16 
[45887] BUY,9RCeWXbzj9,STO,557.17 
[45925] COMMIT_BUY,9RCeWXbzj9 
[45948] CANCEL_BUY,9RCeWXbzj9 
[46190] SELL,9RCeWXbzj9,NHG,42.37 
[46265] SELL,9RCeWXbzj9,JVT,493.41 
[46660] COMMIT_SELL,9RCeWXbzj9 
[46706] SET_BUY_AMOUNT,9RCeWXbzj9,RNK,66.35 
[46769] SET_BUY_TRIGGER,9RCeWXbzj9,FRB,52.21 
[46810] BUY,9RCeWXbzj9,TOZ,576.39 
[46951] SET_BUY_AMOUNT,9RCeWXbzj9,ZTI,298.46 
[47220] CANCEL_SET_BUY,9RCeWXbzj9,TSF 
