[40] ADD,ZVyQqBS4Yw,77042.62 
[7869] BUY,ZVyQqBS4Yw,JRY,171.94 
[7976] COMMIT_BUY,ZVyQqBS4Yw 
[8041] COMMIT_BUY,ZVyQqBS4Yw 
[8054] SET_BUY_AMOUNT,ZVyQqBS4Yw,QJZ,372.65 
[8132] SET_BUY_TRIGGER,ZVyQqBS4Yw,QEO,365.12 
[8393] CANCEL_SET_SELL,ZVyQqBS4Yw,DBT 
[8442] BUY,ZVyQqBS4Yw,TKV,181.36 
[8535] ADD,ZVyQqBS4Yw,59159.51 
[8536] BUY,ZVyQqBS4Yw,XOA,339.87 
[8690] SET_BUY_AMOUNT,ZVyQqBS4Yw,GYF,321.17 
[8692] SET_BUY_TRIGGER,ZVyQqBS4Yw,OOR,51.21 
[8876] ADD,ZVyQqBS4Yw,87097.04 
[8911] COMMIT_SELL,ZVyQqBS4Yw 
[9003] SELL,ZVyQqBS4Yw,KDA,593.46 
[9098] CANCEL_SET_SELL,ZVyQqBS4Yw,AED 
[9123] ADD,ZVyQqBS4Yw,70352.87 
[9296] BUY,ZVyQqBS4Yw,XAB,311.80 
[9337] BUY,ZVyQqBS4Yw,VND,574.70 
[9483] COMMIT_SELL,ZVyQqBS4Yw 
[9493] SET_SELL_AMOUNT,ZVyQqBS4Yw,KES,640.03 
[9515] SET_SELL_TRIGGER,ZVyQqBS4Yw,KES,255.75 
[9529] ADD,ZVyQqBS4Yw,73462.66 
[9746] BUY,ZVyQqBS4Yw,CBQ,350.46 
[9822] ADD,ZVyQqBS4Yw,90331.72 
[9827] QUOTE,ZVyQqBS4Yw,NHG 
[9908] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[9915] SET_SELL_TRIGGER,ZVyQqBS4Yw,JXR,159.22 
[10189] ADD,ZVyQqBS4Yw,90710.47 
[10203] BUY,ZVyQqBS4Yw,VVO,271.06 
[10254] SET_BUY_TRIGGER,ZVyQqBS4Yw,HIN,38.40 
[10281] SELL,ZVyQqBS4Yw,GYF,118.23 
[10291] COMMIT_SELL,ZVyQqBS4Yw 
[10450] CANCEL_SET_BUY,ZVyQqBS4Yw,RRE 
[10821] SET_SELL_AMOUNT,ZVyQqBS4Yw,GYF,410.35 
[10828] CANCEL_SET_SELL,ZVyQqBS4Yw,GYF 
[11003] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[11015] SET_BUY_TRIGGER,ZVyQqBS4Yw,VEX,171.09 
[11084] QUOTE,ZVyQqBS4Yw,VMK 
[11111] BUY,ZVyQqBS4Yw,PJJ,321.78 
[11524] SET_SELL_AMOUNT,ZVyQqBS4Yw,OEY,618.82 
[11563] SET_SELL_TRIGGER,ZVyQqBS4Yw,OEY,122.11 
[11576] QUOTE,ZVyQqBS4Yw,QPR 
[11831] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[11939] SET_BUY_AMOUNT,ZVyQqBS4Yw,GYF,239.18 
[11957] CANCEL_SET_BUY,ZVyQqBS4Yw,YTY 
[11969] SET_BUY_AMOUNT,ZVyQqBS4Yw,QJZ,538.49 
[11993] SET_BUY_TRIGGER,ZVyQqBS4Yw,ETJ,99.47 
[12121] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[12166] SET_SELL_AMOUNT,ZVyQqBS4Yw,QJZ,235.77 
[12221] SET_SELL_TRIGGER,ZVyQqBS4Yw,QJZ,94.41 
[12489] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[12531] SET_SELL_TRIGGER,ZVyQqBS4Yw,RQT,52.14 
[12671] ADD,ZVyQqBS4Yw,96591.85 
[12682] QUOTE,ZVyQqBS4Yw,VDP 
[12849] BUY,ZVyQqBS4Yw,VGW,396.30 
[13100] COMMIT_BUY,ZVyQqBS4Yw 
[13106] QUOTE,ZVyQqBS4Yw,AJR 
[13107] BUY,ZVyQqBS4Yw,OIV,682.55 
[13190] COMMIT_BUY,ZVyQqBS4Yw 
[13330] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[13458] SET_SELL_AMOUNT,ZVyQqBS4Yw,KDA,620.98 
[13482] SELL,ZVyQqBS4Yw,KES,351.85 
[13532] COMMIT_SELL,ZVyQqBS4Yw 
[13553] SET_SELL_AMOUNT,ZVyQqBS4Yw,JCQ,141.04 
[13768] SET_SELL_TRIGGER,ZVyQqBS4Yw,JCQ,95.01 
[13782] SET_BUY_TRIGGER,ZVyQqBS4Yw,BBD,189.55 
[13871] SET_SELL_TRIGGER,ZVyQqBS4Yw,IRQ,38.97 
[14221] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[14237] ADD,ZVyQqBS4Yw,57179.54 
[14370] SET_SELL_TRIGGER,ZVyQqBS4Yw,ZCQ,115.31 
[14384] QUOTE,ZVyQqBS4Yw,BBC 
[14556] CANCEL_SELL,ZVyQqBS4Yw 
[14570] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[14762] SET_SELL_TRIGGER,ZVyQqBS4Yw,PMX,191.75 
[14927] SET_SELL_AMOUNT,ZVyQqBS4Yw,EBS,526.27 
[14952] SET_SELL_TRIGGER,ZVyQqBS4Yw,EBS,5.66 
[15128] ADD,ZVyQqBS4Yw,69549.37 
[15417] QUOTE,ZVyQqBS4Yw,ZWC 
[15478] CANCEL_SELL,ZVyQqBS4Yw 
[15535] CANCEL_SET_BUY,ZVyQqBS4Yw,IFC 
[15631] BUY,ZVyQqBS4Yw,GQV,334.73 
[15727] COMMIT_BUY,ZVyQqBS4Yw 
[15910] QUOTE,ZVyQqBS4Yw,DFE 
[16014] ADD,ZVyQqBS4Yw,77776.44 
[16180] BUY,ZVyQqBS4Yw,OBO,219.36 
[16410] COMMIT_BUY,ZVyQqBS4Yw 
[16542] ADD,ZVyQqBS4Yw,58294.75 
[16614] QUOTE,ZVyQqBS4Yw,GKD 
[16656] SET_SELL_AMOUNT,ZVyQqBS4Yw,QAX,407.62 
[16677] SET_SELL_TRIGGER,ZVyQqBS4Yw,QAX,213.31 
[16698] BUY,ZVyQqBS4Yw,QOD,546.24 
[17006] COMMIT_BUY,ZVyQqBS4Yw 
[17035] ADD,ZVyQqBS4Yw,73271.71 
[17119] BUY,ZVyQqBS4Yw,SYN,702.14 
[17123] SET_BUY_AMOUNT,ZVyQqBS4Yw,EBS,30.67 
[17178] SET_BUY_TRIGGER,ZVyQqBS4Yw,YOQ,29.03 
[17200] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[17352] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[17491] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[17538] ADD,ZVyQqBS4Yw,77873.65 
[17547] BUY,ZVyQqBS4Yw,NDJ,482.96 
[17910] COMMIT_BUY,ZVyQqBS4Yw 
[18107] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[18228] CANCEL_SET_BUY,ZVyQqBS4Yw,HPN 
[18277] SET_SELL_AMOUNT,ZVyQqBS4Yw,GYF,608.50 
[18527] SET_SELL_TRIGGER,ZVyQqBS4Yw,GYF,370.15 
[18851] QUOTE,ZVyQqBS4Yw,NZS 
[18856] SET_BUY_AMOUNT,ZVyQqBS4Yw,JQO,380.95 
[18937] CANCEL_SET_BUY,ZVyQqBS4Yw,JUV 
[19097] QUOTE,ZVyQqBS4Yw,SKW 
[19188] SET_SELL_AMOUNT,ZVyQqBS4Yw,JVT,702.19 
[19196] SET_SELL_TRIGGER,ZVyQqBS4Yw,JVT,54.96 
[19233] ADD,ZVyQqBS4Yw,81232.43 
[19292] BUY,ZVyQqBS4Yw,QGL,170.01 
[19351] SET_SELL_TRIGGER,ZVyQqBS4Yw,JKX,29.28 
[19465] SET_SELL_TRIGGER,ZVyQqBS4Yw,FPP,164.83 
[19499] QUOTE,ZVyQqBS4Yw,MXD 
[19554] CANCEL_SELL,ZVyQqBS4Yw 
[19594] ADD,ZVyQqBS4Yw,77999.61 
[19660] BUY,ZVyQqBS4Yw,SOA,268.44 
[19688] COMMIT_BUY,ZVyQqBS4Yw 
[19780] ADD,ZVyQqBS4Yw,52958.39 
[20184] QUOTE,ZVyQqBS4Yw,MUN 
[20245] QUOTE,ZVyQqBS4Yw,QTU 
[20249] SELL,ZVyQqBS4Yw,OEY,193.67 
[20332] COMMIT_SELL,ZVyQqBS4Yw 
[20476] SET_BUY_TRIGGER,ZVyQqBS4Yw,VGW,66.97 
[20555] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[20558] SET_BUY_AMOUNT,ZVyQqBS4Yw,UTV,508.24 
[20595] SET_BUY_TRIGGER,ZVyQqBS4Yw,WNH,102.39 
[20683] SET_BUY_AMOUNT,ZVyQqBS4Yw,EBS,371.67 
[20844] SET_BUY_TRIGGER,ZVyQqBS4Yw,JHY,336.35 
[20998] ADD,ZVyQqBS4Yw,83371.59 
[21020] BUY,ZVyQqBS4Yw,XNZ,274.09 
[21219] CANCEL_BUY,ZVyQqBS4Yw 
[21229] SELL,ZVyQqBS4Yw,UTV,84.21 
[21253] COMMIT_SELL,ZVyQqBS4Yw 
[21709] ADD,ZVyQqBS4Yw,63651.73 
[21760] SET_BUY_TRIGGER,ZVyQqBS4Yw,TCP,142.72 
[21766] QUOTE,ZVyQqBS4Yw,FWW 
[21857] QUOTE,ZVyQqBS4Yw,OGB 
[21877] BUY,ZVyQqBS4Yw,UHO,411.05 
[21991] COMMIT_BUY,ZVyQqBS4Yw 
[22456] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[22663] SET_SELL_TRIGGER,ZVyQqBS4Yw,FVZ,55.34 
[22668] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[22702] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[22766] ADD,ZVyQqBS4Yw,66973.79 
[22933] QUOTE,ZVyQqBS4Yw,BWR 
[22946] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[23048] COMMIT_BUY,ZVyQqBS4Yw 
[23148] SET_SELL_TRIGGER,ZVyQqBS4Yw,YPW,176.13 
[23294] SET_SELL_TRIGGER,ZVyQqBS4Yw,EIK,69.83 
[23324] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[23333] QUOTE,ZVyQqBS4Yw,RVU 
[23367] SET_BUY_AMOUNT,ZVyQqBS4Yw,FQP,546.76 
[23409] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[23493] QUOTE,ZVyQqBS4Yw,SSF 
[23566] SET_BUY_TRIGGER,ZVyQqBS4Yw,DMS,5.57 
[23615] SET_SELL_AMOUNT,ZVyQqBS4Yw,UTV,546.25 
[23764] SET_SELL_TRIGGER,ZVyQqBS4Yw,UTV,384.82 
[23976] BUY,ZVyQqBS4Yw,MOM,160.20 
[24121] COMMIT_SELL,ZVyQqBS4Yw 
[24125] ADD,ZVyQqBS4Yw,76209.87 
[24270] QUOTE,ZVyQqBS4Yw,QHF 
[24382] BUY,ZVyQqBS4Yw,JYV,536.85 
[24443] COMMIT_BUY,ZVyQqBS4Yw 
[24597] SET_SELL_AMOUNT,ZVyQqBS4Yw,KDA,63.94 
[24687] CANCEL_SET_SELL,ZVyQqBS4Yw,KDA 
[24693] SET_BUY_TRIGGER,ZVyQqBS4Yw,VEN,186.63 
[24701] SET_SELL_TRIGGER,ZVyQqBS4Yw,NDO,95.72 
[24751] BUY,ZVyQqBS4Yw,KAR,192.50 
[25041] COMMIT_BUY,ZVyQqBS4Yw 
[25194] ADD,ZVyQqBS4Yw,38253.24 
[25411] QUOTE,ZVyQqBS4Yw,HCN 
[25432] BUY,ZVyQqBS4Yw,NEV,421.38 
[25474] COMMIT_BUY,ZVyQqBS4Yw 
[25609] SELL,ZVyQqBS4Yw,QJZ,249.20 
[25622] SET_SELL_TRIGGER,ZVyQqBS4Yw,UTL,12.37 
[25925] SELL,ZVyQqBS4Yw,FQP,209.06 
[26061] SET_BUY_TRIGGER,ZVyQqBS4Yw,QPZ,185.34 
[26098] SELL,ZVyQqBS4Yw,ZAN,191.11 
[26130] SET_BUY_TRIGGER,ZVyQqBS4Yw,ZMA,54.96 
[26344] ADD,ZVyQqBS4Yw,68451.70 
[26361] BUY,ZVyQqBS4Yw,XEA,553.87 
[26448] COMMIT_BUY,ZVyQqBS4Yw 
[26533] ADD,ZVyQqBS4Yw,61656.03 
[26674] QUOTE,ZVyQqBS4Yw,NDD 
[26788] CANCEL_SET_BUY,ZVyQqBS4Yw,ZGN 
[26806] SET_SELL_TRIGGER,ZVyQqBS4Yw,ZYF,38.98 
[26900] SET_BUY_AMOUNT,ZVyQqBS4Yw,EBS,93.93 
[26922] BUY,ZVyQqBS4Yw,WKD,547.96 
[26977] COMMIT_BUY,ZVyQqBS4Yw 
[27103] QUOTE,ZVyQqBS4Yw,LLF 
[27144] SET_BUY_TRIGGER,ZVyQqBS4Yw,QPX,36.56 
[27205] ADD,ZVyQqBS4Yw,97346.66 
[27311] QUOTE,ZVyQqBS4Yw,URA 
[27343] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[27580] SET_BUY_AMOUNT,ZVyQqBS4Yw,OEY,226.62 
[27587] SET_BUY_TRIGGER,ZVyQqBS4Yw,JRY,214.94 
[27633] SET_SELL_AMOUNT,ZVyQqBS4Yw,JVT,473.61 
[27702] SET_SELL_TRIGGER,ZVyQqBS4Yw,JVT,170.84 
[27967] QUOTE,ZVyQqBS4Yw,CAX 
[27971] QUOTE,ZVyQqBS4Yw,BFL 
[28011] QUOTE,ZVyQqBS4Yw,JJW 
[28028] QUOTE,ZVyQqBS4Yw,OPN 
[28065] CANCEL_SELL,ZVyQqBS4Yw 
[28182] SELL,ZVyQqBS4Yw,JQO,508.61 
[28283] SET_SELL_TRIGGER,ZVyQqBS4Yw,UMV,178.76 
[28313] SELL,ZVyQqBS4Yw,JCQ,465.97 
[28360] COMMIT_SELL,ZVyQqBS4Yw 
[28534] ADD,ZVyQqBS4Yw,68733.57 
[28539] QUOTE,ZVyQqBS4Yw,NLP 
[28550] BUY,ZVyQqBS4Yw,FSD,119.33 
[28623] CANCEL_SET_BUY,ZVyQqBS4Yw,VFH 
[28661] SELL,ZVyQqBS4Yw,KES,92.22 
[28860] CANCEL_BUY,ZVyQqBS4Yw 
[28864] SET_BUY_TRIGGER,ZVyQqBS4Yw,OOR,148.18 
[28990] SET_SELL_AMOUNT,ZVyQqBS4Yw,JVT,394.57 
[29002] SET_SELL_TRIGGER,ZVyQqBS4Yw,JVT,133.37 
[29008] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[29081] BUY,ZVyQqBS4Yw,ZWC,191.25 
[29165] CANCEL_SET_BUY,ZVyQqBS4Yw,ZNW 
[29448] BUY,ZVyQqBS4Yw,ULL,708.77 
[29510] CANCEL_SET_SELL,ZVyQqBS4Yw,ZCQ 
[29561] ADD,ZVyQqBS4Yw,59227.85 
[29585] BUY,ZVyQqBS4Yw,IZS,265.81 
[29687] COMMIT_BUY,ZVyQqBS4Yw 
[29742] SET_BUY_TRIGGER,ZVyQqBS4Yw,FOV,84.97 
[29860] QUOTE,ZVyQqBS4Yw,ATE 
[29917] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[29936] SET_BUY_TRIGGER,ZVyQqBS4Yw,VQA,184.75 
[29969] SET_SELL_TRIGGER,ZVyQqBS4Yw,TVX,97.90 
[29981] SELL,ZVyQqBS4Yw,NHG,157.28 
[30147] COMMIT_SELL,ZVyQqBS4Yw 
[30244] CANCEL_SET_SELL,ZVyQqBS4Yw,MDZ 
[30284] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[30304] CANCEL_SELL,ZVyQqBS4Yw 
[30350] SELL,ZVyQqBS4Yw,BYA,509.86 
[30372] CANCEL_SELL,ZVyQqBS4Yw 
[30899] QUOTE,ZVyQqBS4Yw,BSZ 
[30974] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[31007] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[31220] SET_SELL_AMOUNT,ZVyQqBS4Yw,UTV,384.19 
[31477] SET_SELL_TRIGGER,ZVyQqBS4Yw,UTV,214.59 
[31594] SELL,ZVyQqBS4Yw,KDA,272.83 
[31636] CANCEL_SELL,ZVyQqBS4Yw 
[32200] ADD,ZVyQqBS4Yw,86484.31 
[32235] QUOTE,ZVyQqBS4Yw,DBT 
[32277] SET_BUY_AMOUNT,ZVyQqBS4Yw,JQO,121.31 
[32359] QUOTE,ZVyQqBS4Yw,CMD 
[32394] QUOTE,ZVyQqBS4Yw,LZB 
[32682] COMMIT_BUY,ZVyQqBS4Yw 
[32745] QUOTE,ZVyQqBS4Yw,CDF 
[32989] SET_BUY_TRIGGER,ZVyQqBS4Yw,EED,43.52 
[33286] SET_SELL_TRIGGER,ZVyQqBS4Yw,EIK,180.22 
[33371] SET_BUY_AMOUNT,ZVyQqBS4Yw,OEY,222.31 
[33420] SET_BUY_TRIGGER,ZVyQqBS4Yw,VIK,168.12 
[33522] QUOTE,ZVyQqBS4Yw,MQF 
[33588] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[33762] SET_BUY_AMOUNT,ZVyQqBS4Yw,KDA,350.73 
[33827] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[33948] SELL,ZVyQqBS4Yw,ZAN,384.40 
[34049] SET_SELL_TRIGGER,ZVyQqBS4Yw,TCP,69.63 
[34103] SET_BUY_TRIGGER,ZVyQqBS4Yw,WOJ,165.70 
[34138] SET_SELL_AMOUNT,ZVyQqBS4Yw,KDA,233.38 
[34183] SELL,ZVyQqBS4Yw,EBS,326.93 
[34291] COMMIT_SELL,ZVyQqBS4Yw 
[34414] ADD,ZVyQqBS4Yw,71430.65 
[34513] QUOTE,ZVyQqBS4Yw,WJS 
[34589] BUY,ZVyQqBS4Yw,RFC,724.11 
[34631] COMMIT_BUY,ZVyQqBS4Yw 
[34634] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[34746] SELL,ZVyQqBS4Yw,GYF,49.07 
[34783] BUY,ZVyQqBS4Yw,SJZ,464.32 
[34944] SET_SELL_AMOUNT,ZVyQqBS4Yw,FQP,686.40 
[35010] SET_SELL_TRIGGER,ZVyQqBS4Yw,FQP,442.18 
[35191] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[35477] SET_BUY_AMOUNT,ZVyQqBS4Yw,FQP,658.12 
[35526] SELL,ZVyQqBS4Yw,KDA,534.11 
[35597] CANCEL_SET_SELL,ZVyQqBS4Yw,KPU 
[35659] ADD,ZVyQqBS4Yw,63368.27 
[35771] QUOTE,ZVyQqBS4Yw,LVV 
[35794] SET_BUY_TRIGGER,ZVyQqBS4Yw,HTN,185.10 
[35883] CANCEL_SET_BUY,ZVyQqBS4Yw,RGH 
[35889] SET_SELL_AMOUNT,ZVyQqBS4Yw,JCQ,68.20 
[35958] CANCEL_SET_SELL,ZVyQqBS4Yw,JCQ 
[36151] ADD,ZVyQqBS4Yw,62774.87 
[36157] BUY,ZVyQqBS4Yw,AOC,379.46 
[36241] CANCEL_SELL,ZVyQqBS4Yw 
[36397] SET_BUY_TRIGGER,ZVyQqBS4Yw,TJL,28.96 
[36407] QUOTE,ZVyQqBS4Yw,FQU 
[36546] SET_BUY_AMOUNT,ZVyQqBS4Yw,LFU,484.89 
[36673] QUOTE,ZVyQqBS4Yw,BBC 
[36815] SET_BUY_AMOUNT,ZVyQqBS4Yw,UTV,238.59 
[36846] BUY,ZVyQqBS4Yw,EAK,599.57 
[36855] CANCEL_SELL,ZVyQqBS4Yw 
[36977] SELL,ZVyQqBS4Yw,GYF,375.27 
[37520] COMMIT_SELL,ZVyQqBS4Yw 
[37657] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[37667] ADD,ZVyQqBS4Yw,52762.04 
[37671] QUOTE,ZVyQqBS4Yw,JRJ 
[37686] BUY,ZVyQqBS4Yw,DRO,118.65 
[37861] COMMIT_BUY,ZVyQqBS4Yw 
[37895] SET_BUY_TRIGGER,ZVyQqBS4Yw,KDA,41.21 
[37929] SELL,ZVyQqBS4Yw,JRJ,675.70 
[38197] CANCEL_SELL,ZVyQqBS4Yw 
[38298] SET_SELL_TRIGGER,ZVyQqBS4Yw,GIX,145.30 
[38316] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[38403] SET_SELL_AMOUNT,ZVyQqBS4Yw,KES,549.46 
[38416] CANCEL_SET_SELL,ZVyQqBS4Yw,KES 
[38660] CANCEL_BUY,ZVyQqBS4Yw 
[38672] BUY,ZVyQqBS4Yw,ZHB,680.57 
[38683] COMMIT_BUY,ZVyQqBS4Yw 
[38710] SET_SELL_AMOUNT,ZVyQqBS4Yw,NHG,135.48 
[38866] SET_SELL_TRIGGER,ZVyQqBS4Yw,NHG,84.76 
[38884] QUOTE,ZVyQqBS4Yw,CWA 
[38930] ADD,ZVyQqBS4Yw,58067.92 
[39011] CANCEL_SELL,ZVyQqBS4Yw 
[39170] BUY,ZVyQqBS4Yw,KEO,41.07 
[39258] COMMIT_BUY,ZVyQqBS4Yw 
[39356] BUY,ZVyQqBS4Yw,YDS,221.54 
[39491] CANCEL_SET_BUY,ZVyQqBS4Yw,BTD 
[39729] QUOTE,ZVyQqBS4Yw,RXO 
[39753] BUY,ZVyQqBS4Yw,QXE,176.12 
[40085] SELL,ZVyQqBS4Yw,BCQ,85.09 
[40512] SELL,ZVyQqBS4Yw,RUN,15.76 
[40824] COMMIT_SELL,ZVyQqBS4Yw 
[40919] SET_BUY_AMOUNT,ZVyQqBS4Yw,ZTI,582.63 
[40937] SET_BUY_TRIGGER,ZVyQqBS4Yw,BMQ,538.51 
[41005] SET_SELL_TRIGGER,ZVyQqBS4Yw,HTD,86.35 
[41113] SET_SELL_AMOUNT,ZVyQqBS4Yw,KDA,369.99 
[41451] SET_SELL_TRIGGER,ZVyQqBS4Yw,KDA,309.91 
[41476] SELL,ZVyQqBS4Yw,LFU,725.07 
[41537] CANCEL_SET_BUY,ZVyQqBS4Yw,FCM 
[41844] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[41884] CANCEL_BUY,ZVyQqBS4Yw 
[41991] QUOTE,ZVyQqBS4Yw,NTT 
[42025] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[42154] SELL,ZVyQqBS4Yw,JCQ,663.31 
[42245] SELL,ZVyQqBS4Yw,ZYR,601.09 
[42454] COMMIT_SELL,ZVyQqBS4Yw 
[42494] SET_SELL_TRIGGER,ZVyQqBS4Yw,IQJ,122.89 
[42654] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[42705] ADD,ZVyQqBS4Yw,54671.34 
[43013] QUOTE,ZVyQqBS4Yw,CBV 
[43083] QUOTE,ZVyQqBS4Yw,KPU 
[43090] SELL,ZVyQqBS4Yw,XXQ,452.64 
[43137] COMMIT_SELL,ZVyQqBS4Yw 
[43230] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[43516] ADD,ZVyQqBS4Yw,66790.94 
[43526] SET_BUY_AMOUNT,ZVyQqBS4Yw,FQP,620.50 
[43527] SET_BUY_TRIGGER,ZVyQqBS4Yw,OSA,428.59 
[43615] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[43636] ADD,ZVyQqBS4Yw,72312.53 
[43690] QUOTE,ZVyQqBS4Yw,VJB 
