[84] ADD,vmBnGlfW5S,37500.32 
[17353] QUOTE,vmBnGlfW5S,AHO 
[17783] BUY,vmBnGlfW5S,WRJ,655.80 
[17902] SELL,vmBnGlfW5S,KES,494.04 
[18054] SELL,vmBnGlfW5S,JCQ,528.90 
[18106] CANCEL_SET_SELL,vmBnGlfW5S,CTS 
[18122] BUY,vmBnGlfW5S,JGO,224.55 
[18231] COMMIT_BUY,vmBnGlfW5S 
[18599] BUY,vmBnGlfW5S,QGL,264.76 
[18606] COMMIT_BUY,vmBnGlfW5S 
[18630] SET_SELL_AMOUNT,vmBnGlfW5S,EBS,172.00 
[18665] SET_SELL_TRIGGER,vmBnGlfW5S,EBS,145.54 
[18697] ADD,vmBnGlfW5S,90736.24 
[18878] QUOTE,vmBnGlfW5S,MVY 
[18979] CANCEL_SET_SELL,vmBnGlfW5S,KWP 
[19045] SELL,vmBnGlfW5S,OEY,220.30 
[19220] DISPLAY_SUMMARY,vmBnGlfW5S 
[19249] ADD,vmBnGlfW5S,74732.40 
[19285] QUOTE,vmBnGlfW5S,NTB 
[19355] BUY,vmBnGlfW5S,DWK,34.46 
[19363] CANCEL_SELL,vmBnGlfW5S 
[19395] SELL,vmBnGlfW5S,QAX,244.77 
[19446] COMMIT_SELL,vmBnGlfW5S 
[19682] ADD,vmBnGlfW5S,67079.62 
[19697] QUOTE,vmBnGlfW5S,FTB 
[19794] ADD,vmBnGlfW5S,42876.40 
[19825] BUY,vmBnGlfW5S,DWF,22.59 
[19841] QUOTE,vmBnGlfW5S,LJM 
[19920] SET_BUY_AMOUNT,vmBnGlfW5S,KDA,326.47 
[20074] DISPLAY_SUMMARY,vmBnGlfW5S 
[20120] SET_BUY_AMOUNT,vmBnGlfW5S,OEY,427.72 
[20363] SET_BUY_TRIGGER,vmBnGlfW5S,PPY,247.54 
[20612] DISPLAY_SUMMARY,vmBnGlfW5S 
[20845] SET_SELL_TRIGGER,vmBnGlfW5S,QGE,160.24 
[20858] QUOTE,vmBnGlfW5S,FQR 
[20859] BUY,vmBnGlfW5S,XPX,235.19 
[20882] COMMIT_SELL,vmBnGlfW5S 
[20990] DISPLAY_SUMMARY,vmBnGlfW5S 
[21008] QUOTE,vmBnGlfW5S,NGH 
[21028] DISPLAY_SUMMARY,vmBnGlfW5S 
[21098] QUOTE,vmBnGlfW5S,FIC 
[21156] QUOTE,vmBnGlfW5S,BSZ 
[21162] BUY,vmBnGlfW5S,YBB,246.22 
[21504] QUOTE,vmBnGlfW5S,PJJ 
[21507] QUOTE,vmBnGlfW5S,IPH 
[21515] SET_SELL_TRIGGER,vmBnGlfW5S,YIU,31.08 
[21539] QUOTE,vmBnGlfW5S,OTQ 
[21666] BUY,vmBnGlfW5S,SZI,166.11 
[21783] COMMIT_BUY,vmBnGlfW5S 
[21935] ADD,vmBnGlfW5S,57606.59 
[22006] QUOTE,vmBnGlfW5S,SNU 
[22035] QUOTE,vmBnGlfW5S,BPE 
[22098] BUY,vmBnGlfW5S,JII,177.24 
[22099] COMMIT_BUY,vmBnGlfW5S 
[22153] ADD,vmBnGlfW5S,78255.62 
[22179] BUY,vmBnGlfW5S,YWK,332.33 
[22682] CANCEL_SET_SELL,vmBnGlfW5S,YBO 
[22877] BUY,vmBnGlfW5S,CXC,556.19 
[22987] CANCEL_SET_SELL,vmBnGlfW5S,OBO 
[23045] SELL,vmBnGlfW5S,GYF,24.82 
[23141] CANCEL_SET_SELL,vmBnGlfW5S,TXB 
[23154] SET_BUY_AMOUNT,vmBnGlfW5S,GYF,159.68 
[23189] SET_BUY_TRIGGER,vmBnGlfW5S,OXK,29.09 
[23197] DISPLAY_SUMMARY,vmBnGlfW5S 
[23212] QUOTE,vmBnGlfW5S,FVA 
[23227] SET_BUY_TRIGGER,vmBnGlfW5S,KAS,132.60 
[23235] SET_SELL_AMOUNT,vmBnGlfW5S,KDA,698.68 
[23349] BUY,vmBnGlfW5S,QXW,718.76 
[23489] SET_SELL_TRIGGER,vmBnGlfW5S,KDA,134.42 
[23672] ADD,vmBnGlfW5S,68342.11 
[23791] BUY,vmBnGlfW5S,AOU,519.81 
[23868] SELL,vmBnGlfW5S,JQO,718.60 
[23917] CANCEL_SET_SELL,vmBnGlfW5S,BTD 
[23959] SET_SELL_AMOUNT,vmBnGlfW5S,OEY,677.05 
[24043] SET_SELL_TRIGGER,vmBnGlfW5S,OEY,161.67 
[24147] ADD,vmBnGlfW5S,56129.47 
[24165] QUOTE,vmBnGlfW5S,EDM 
[24517] BUY,vmBnGlfW5S,PNP,138.27 
[24556] CANCEL_SELL,vmBnGlfW5S 
[24631] SELL,vmBnGlfW5S,UTV,651.91 
[24749] COMMIT_SELL,vmBnGlfW5S 
[24820] CANCEL_BUY,vmBnGlfW5S 
[24902] DISPLAY_SUMMARY,vmBnGlfW5S 
[24995] QUOTE,vmBnGlfW5S,LKK 
[25035] QUOTE,vmBnGlfW5S,GKD 
[25055] DISPLAY_SUMMARY,vmBnGlfW5S 
[25081] BUY,vmBnGlfW5S,BUL,13.97 
[25131] CANCEL_SET_SELL,vmBnGlfW5S,TTV 
[25144] ADD,vmBnGlfW5S,87388.55 
[25165] QUOTE,vmBnGlfW5S,GZQ 
[25224] SET_BUY_AMOUNT,vmBnGlfW5S,JVT,257.71 
[25229] SET_BUY_TRIGGER,vmBnGlfW5S,BTD,204.78 
[25316] SELL,vmBnGlfW5S,KDA,134.44 
[25468] SET_SELL_TRIGGER,vmBnGlfW5S,SYE,93.68 
[25505] SET_SELL_TRIGGER,vmBnGlfW5S,EYY,124.78 
[25536] COMMIT_SELL,vmBnGlfW5S 
[25634] SET_SELL_AMOUNT,vmBnGlfW5S,QJZ,197.36 
[25645] QUOTE,vmBnGlfW5S,XAN 
[25779] QUOTE,vmBnGlfW5S,FPV 
[25944] COMMIT_BUY,vmBnGlfW5S 
[26011] SET_BUY_AMOUNT,vmBnGlfW5S,UTV,333.13 
[26155] SET_BUY_TRIGGER,vmBnGlfW5S,OZO,186.40 
[26191] SET_BUY_TRIGGER,vmBnGlfW5S,HDR,146.18 
[26201] SET_BUY_AMOUNT,vmBnGlfW5S,JCQ,16.44 
[26204] SET_BUY_TRIGGER,vmBnGlfW5S,PBX,9.11 
[26206] ADD,vmBnGlfW5S,67017.34 
[26228] DISPLAY_SUMMARY,vmBnGlfW5S 
[26234] SET_BUY_AMOUNT,vmBnGlfW5S,UTV,586.53 
[26265] SET_BUY_TRIGGER,vmBnGlfW5S,RGM,343.73 
[26413] DISPLAY_SUMMARY,vmBnGlfW5S 
[26595] QUOTE,vmBnGlfW5S,VNN 
[26629] SET_BUY_TRIGGER,vmBnGlfW5S,AJL,97.98 
[26673] SELL,vmBnGlfW5S,EBS,573.56 
[26799] CANCEL_SELL,vmBnGlfW5S 
[26877] SELL,vmBnGlfW5S,GYF,218.56 
[26916] BUY,vmBnGlfW5S,FFI,351.58 
[26923] SET_BUY_TRIGGER,vmBnGlfW5S,OLI,160.68 
[27138] SET_BUY_AMOUNT,vmBnGlfW5S,JCQ,292.26 
[27269] SET_BUY_TRIGGER,vmBnGlfW5S,SFR,12.20 
[27355] QUOTE,vmBnGlfW5S,DBS 
[27519] CANCEL_SET_SELL,vmBnGlfW5S,QJZ 
[27582] CANCEL_BUY,vmBnGlfW5S 
[27589] SET_SELL_TRIGGER,vmBnGlfW5S,SIK,106.34 
[27709] ADD,vmBnGlfW5S,61028.10 
[27838] SET_SELL_AMOUNT,vmBnGlfW5S,KES,686.88 
[28092] SET_SELL_TRIGGER,vmBnGlfW5S,KES,271.90 
[28274] SELL,vmBnGlfW5S,QJZ,523.26 
[28346] BUY,vmBnGlfW5S,PIC,741.30 
[28422] COMMIT_BUY,vmBnGlfW5S 
[28433] SELL,vmBnGlfW5S,LFU,210.63 
[28491] COMMIT_SELL,vmBnGlfW5S 
[28920] SELL,vmBnGlfW5S,KES,262.28 
[29272] COMMIT_BUY,vmBnGlfW5S 
[29515] SET_SELL_TRIGGER,vmBnGlfW5S,HHG,34.60 
[29619] SELL,vmBnGlfW5S,OEY,190.22 
[29716] CANCEL_SET_BUY,vmBnGlfW5S,SKY 
[29744] ADD,vmBnGlfW5S,49320.09 
[29903] BUY,vmBnGlfW5S,FYA,718.22 
[30262] SET_BUY_AMOUNT,vmBnGlfW5S,NHG,271.74 
[30335] SET_BUY_TRIGGER,vmBnGlfW5S,DBC,123.34 
[30453] CANCEL_BUY,vmBnGlfW5S 
[30472] DISPLAY_SUMMARY,vmBnGlfW5S 
[30716] ADD,vmBnGlfW5S,72409.14 
[30970] QUOTE,vmBnGlfW5S,WUF 
[31111] BUY,vmBnGlfW5S,UCG,86.63 
[31203] COMMIT_BUY,vmBnGlfW5S 
[31299] SET_BUY_TRIGGER,vmBnGlfW5S,AOU,120.84 
[31422] SET_BUY_TRIGGER,vmBnGlfW5S,GRM,52.78 
[31644] SET_BUY_TRIGGER,vmBnGlfW5S,FUR,114.34 
[31776] SET_BUY_AMOUNT,vmBnGlfW5S,JCQ,658.81 
[31988] SET_BUY_TRIGGER,vmBnGlfW5S,AJL,217.45 
[32045] QUOTE,vmBnGlfW5S,PTP 
[32080] BUY,vmBnGlfW5S,KLE,390.66 
[32251] ADD,vmBnGlfW5S,87355.54 
[32275] QUOTE,vmBnGlfW5S,EEG 
[32329] SET_SELL_AMOUNT,vmBnGlfW5S,GYF,640.60 
[32417] SET_SELL_TRIGGER,vmBnGlfW5S,GYF,14.14 
[32455] ADD,vmBnGlfW5S,52219.73 
[32512] QUOTE,vmBnGlfW5S,BUL 
[32592] SET_BUY_AMOUNT,vmBnGlfW5S,FQP,250.29 
[32704] BUY,vmBnGlfW5S,LCP,155.60 
[32876] COMMIT_BUY,vmBnGlfW5S 
[32922] DISPLAY_SUMMARY,vmBnGlfW5S 
[33148] SET_SELL_TRIGGER,vmBnGlfW5S,NNW,82.57 
[33182] ADD,vmBnGlfW5S,39551.67 
[33230] SET_SELL_TRIGGER,vmBnGlfW5S,JKX,31.74 
[33273] SET_BUY_TRIGGER,vmBnGlfW5S,LHC,147.69 
[33317] SET_SELL_AMOUNT,vmBnGlfW5S,CUZ,703.21 
[33319] CANCEL_SET_SELL,vmBnGlfW5S,CUZ 
[33428] ADD,vmBnGlfW5S,84320.96 
[33474] BUY,vmBnGlfW5S,YBP,199.43 
[33485] SET_BUY_TRIGGER,vmBnGlfW5S,DJD,154.95 
[33493] QUOTE,vmBnGlfW5S,BHQ 
[33545] CANCEL_SET_BUY,vmBnGlfW5S,JIO 
[33993] DISPLAY_SUMMARY,vmBnGlfW5S 
[34318] DISPLAY_SUMMARY,vmBnGlfW5S 
[34398] BUY,vmBnGlfW5S,EGX,77.41 
[34493] COMMIT_BUY,vmBnGlfW5S 
[34506] ADD,vmBnGlfW5S,59719.41 
[34530] DISPLAY_SUMMARY,vmBnGlfW5S 
[34565] SET_SELL_TRIGGER,vmBnGlfW5S,OPN,175.84 
[34604] SELL,vmBnGlfW5S,KDA,318.79 
[34889] COMMIT_SELL,vmBnGlfW5S 
[34914] ADD,vmBnGlfW5S,83706.56 
[34969] DISPLAY_SUMMARY,vmBnGlfW5S 
[35106] QUOTE,vmBnGlfW5S,JNO 
[35360] ADD,vmBnGlfW5S,93037.68 
[35487] QUOTE,vmBnGlfW5S,ILT 
[35578] CANCEL_BUY,vmBnGlfW5S 
[35618] SET_BUY_TRIGGER,vmBnGlfW5S,DNJ,113.59 
[35649] CANCEL_SET_BUY,vmBnGlfW5S,CUQ 
[35650] QUOTE,vmBnGlfW5S,QLM 
[35762] SET_BUY_TRIGGER,vmBnGlfW5S,PIE,113.56 
[35968] ADD,vmBnGlfW5S,90518.65 
[36035] BUY,vmBnGlfW5S,MER,510.14 
[36480] SELL,vmBnGlfW5S,OEY,15.18 
[36645] COMMIT_SELL,vmBnGlfW5S 
[36715] SET_SELL_TRIGGER,vmBnGlfW5S,GLJ,103.13 
[36800] QUOTE,vmBnGlfW5S,YPL 
[36869] BUY,vmBnGlfW5S,PHE,699.05 
[36939] ADD,vmBnGlfW5S,91838.53 
[36951] QUOTE,vmBnGlfW5S,RXO 
[36971] DISPLAY_SUMMARY,vmBnGlfW5S 
[37062] SET_SELL_TRIGGER,vmBnGlfW5S,UDQ,162.48 
[37114] ADD,vmBnGlfW5S,84899.31 
[37452] QUOTE,vmBnGlfW5S,LNJ 
[37476] SELL,vmBnGlfW5S,QAX,592.00 
[37486] CANCEL_SELL,vmBnGlfW5S 
[37532] DISPLAY_SUMMARY,vmBnGlfW5S 
[37653] SET_BUY_TRIGGER,vmBnGlfW5S,PHJ,37.41 
[37749] QUOTE,vmBnGlfW5S,SYE 
[37930] SET_SELL_AMOUNT,vmBnGlfW5S,KDA,97.57 
[37934] SET_SELL_TRIGGER,vmBnGlfW5S,KDA,56.67 
[38096] BUY,vmBnGlfW5S,KWP,588.52 
[38204] COMMIT_BUY,vmBnGlfW5S 
[38484] QUOTE,vmBnGlfW5S,HMR 
[38550] DISPLAY_SUMMARY,vmBnGlfW5S 
[38565] SELL,vmBnGlfW5S,ZAN,694.01 
[38576] CANCEL_SELL,vmBnGlfW5S 
[38602] SET_BUY_TRIGGER,vmBnGlfW5S,WSG,20.81 
[38687] ADD,vmBnGlfW5S,52777.13 
[38738] DISPLAY_SUMMARY,vmBnGlfW5S 
[38775] DISPLAY_SUMMARY,vmBnGlfW5S 
[38812] QUOTE,vmBnGlfW5S,EAK 
[38965] COMMIT_SELL,vmBnGlfW5S 
[39072] SELL,vmBnGlfW5S,RUN,532.02 
[39105] COMMIT_SELL,vmBnGlfW5S 
[39301] SET_SELL_AMOUNT,vmBnGlfW5S,JRJ,592.95 
[39707] BUY,vmBnGlfW5S,FOV,528.01 
[39800] QUOTE,vmBnGlfW5S,JFF 
[39803] SET_SELL_TRIGGER,vmBnGlfW5S,JRJ,489.93 
[39816] SELL,vmBnGlfW5S,ZAN,563.15 
[39917] COMMIT_SELL,vmBnGlfW5S 
[40129] SELL,vmBnGlfW5S,GYF,444.77 
[40158] QUOTE,vmBnGlfW5S,AJL 
[40288] BUY,vmBnGlfW5S,GZU,178.18 
[40367] COMMIT_BUY,vmBnGlfW5S 
[40384] BUY,vmBnGlfW5S,FVA,664.13 
[40459] COMMIT_BUY,vmBnGlfW5S 
[40551] SET_SELL_AMOUNT,vmBnGlfW5S,BYA,461.33 
[40675] SET_SELL_TRIGGER,vmBnGlfW5S,BYA,406.73 
[40803] BUY,vmBnGlfW5S,SBT,663.42 
[40827] COMMIT_BUY,vmBnGlfW5S 
[40829] COMMIT_BUY,vmBnGlfW5S 
[40889] SET_SELL_AMOUNT,vmBnGlfW5S,XXQ,439.58 
[41014] SET_SELL_TRIGGER,vmBnGlfW5S,XXQ,32.39 
[41015] ADD,vmBnGlfW5S,56318.87 
[41143] QUOTE,vmBnGlfW5S,PMX 
[41175] BUY,vmBnGlfW5S,CVP,202.28 
[41239] SET_SELL_TRIGGER,vmBnGlfW5S,LPR,81.35 
[41256] DISPLAY_SUMMARY,vmBnGlfW5S 
[41437] DISPLAY_SUMMARY,vmBnGlfW5S 
[41496] SET_SELL_TRIGGER,vmBnGlfW5S,RDN,186.14 
[41666] QUOTE,vmBnGlfW5S,BLC 
[41673] SET_SELL_TRIGGER,vmBnGlfW5S,VXY,77.84 
[41707] DISPLAY_SUMMARY,vmBnGlfW5S 
[41860] SET_BUY_AMOUNT,vmBnGlfW5S,UTV,66.57 
[41887] SET_BUY_TRIGGER,vmBnGlfW5S,MQP,17.36 
[41974] SET_BUY_TRIGGER,vmBnGlfW5S,NSW,17.52 
[42093] QUOTE,vmBnGlfW5S,QUT 
[42178] QUOTE,vmBnGlfW5S,KLY 
[42573] SET_BUY_AMOUNT,vmBnGlfW5S,XXQ,256.75 
[42577] SET_BUY_TRIGGER,vmBnGlfW5S,MWM,212.42 
[42628] SET_BUY_AMOUNT,vmBnGlfW5S,BCQ,468.71 
[42671] SET_BUY_TRIGGER,vmBnGlfW5S,UTD,52.62 
[42755] ADD,vmBnGlfW5S,58974.89 
[42891] BUY,vmBnGlfW5S,BMQ,601.32 
[43320] CANCEL_BUY,vmBnGlfW5S 
[43405] CANCEL_SELL,vmBnGlfW5S 
[43451] DISPLAY_SUMMARY,vmBnGlfW5S 
[43481] BUY,vmBnGlfW5S,OAS,290.72 
[43509] QUOTE,vmBnGlfW5S,UTD 
[43550] COMMIT_SELL,vmBnGlfW5S 
[43725] BUY,vmBnGlfW5S,BTD,182.31 
[43750] QUOTE,vmBnGlfW5S,KGA 
[43798] QUOTE,vmBnGlfW5S,VQA 
[44108] BUY,vmBnGlfW5S,OEN,467.17 
[44414] COMMIT_BUY,vmBnGlfW5S 
[44490] ADD,vmBnGlfW5S,45821.25 
[44524] CANCEL_SELL,vmBnGlfW5S 
[44556] SET_BUY_AMOUNT,vmBnGlfW5S,CUZ,244.08 
[44564] SET_BUY_TRIGGER,vmBnGlfW5S,STO,56.32 
[44570] DISPLAY_SUMMARY,vmBnGlfW5S 
[44586] COMMIT_SELL,vmBnGlfW5S 
[44854] QUOTE,vmBnGlfW5S,XVK 
[44877] BUY,vmBnGlfW5S,PCK,617.59 
