[129] ADD,akVcdarOA3,55139.92 
[7931] COMMIT_BUY,akVcdarOA3 
[8005] QUOTE,akVcdarOA3,SNU 
[8159] SELL,akVcdarOA3,FQP,42.42 
[8389] COMMIT_SELL,akVcdarOA3 
[8461] SET_SELL_AMOUNT,akVcdarOA3,KES,615.47 
[8605] SELL,akVcdarOA3,KES,59.18 
[8609] CANCEL_SET_BUY,akVcdarOA3,WKE 
[8634] QUOTE,akVcdarOA3,ZFJ 
[8800] BUY,akVcdarOA3,SVV,403.76 
[8878] COMMIT_BUY,akVcdarOA3 
[9083] SET_BUY_TRIGGER,akVcdarOA3,HQU,5.18 
[9117] ADD,akVcdarOA3,65101.02 
[9144] BUY,akVcdarOA3,SQO,63.81 
[9241] SET_BUY_TRIGGER,akVcdarOA3,FKX,17.82 
[9295] SELL,akVcdarOA3,JVT,367.98 
[9806] BUY,akVcdarOA3,SON,43.18 
[9839] COMMIT_BUY,akVcdarOA3 
[10030] ADD,akVcdarOA3,67014.77 
[10037] BUY,akVcdarOA3,CTI,209.76 
[10087] COMMIT_BUY,akVcdarOA3 
[10094] ADD,akVcdarOA3,66086.55 
[10239] BUY,akVcdarOA3,YUR,521.62 
[10429] COMMIT_BUY,akVcdarOA3 
[10533] QUOTE,akVcdarOA3,RRE 
[10564] DISPLAY_SUMMARY,akVcdarOA3 
[10565] SET_BUY_AMOUNT,akVcdarOA3,GYF,646.85 
[10803] DISPLAY_SUMMARY,akVcdarOA3 
[10813] DISPLAY_SUMMARY,akVcdarOA3 
[10975] BUY,akVcdarOA3,IFQ,377.97 
[10987] COMMIT_BUY,akVcdarOA3 
[11018] SET_SELL_AMOUNT,akVcdarOA3,KDA,121.03 
[11107] SET_SELL_TRIGGER,akVcdarOA3,KDA,45.16 
[11234] ADD,akVcdarOA3,80298.42 
[11365] QUOTE,akVcdarOA3,SCK 
[11538] COMMIT_BUY,akVcdarOA3 
[11546] ADD,akVcdarOA3,94052.23 
[11602] BUY,akVcdarOA3,KYX,125.43 
[11741] ADD,akVcdarOA3,96720.52 
[11846] BUY,akVcdarOA3,JXR,696.37 
[11897] COMMIT_BUY,akVcdarOA3 
[11908] DISPLAY_SUMMARY,akVcdarOA3 
[11996] CANCEL_SET_SELL,akVcdarOA3,ZCO 
[11997] DISPLAY_SUMMARY,akVcdarOA3 
[12147] ADD,akVcdarOA3,76766.34 
[12191] BUY,akVcdarOA3,ALV,134.32 
[12519] COMMIT_BUY,akVcdarOA3 
[12602] CANCEL_SET_SELL,akVcdarOA3,POI 
[12807] ADD,akVcdarOA3,66226.83 
[12829] BUY,akVcdarOA3,AUX,711.47 
[12842] COMMIT_BUY,akVcdarOA3 
[12853] SET_BUY_AMOUNT,akVcdarOA3,QAX,279.82 
[13142] SET_BUY_TRIGGER,akVcdarOA3,OOR,214.88 
[13202] QUOTE,akVcdarOA3,NUV 
[13222] SET_BUY_TRIGGER,akVcdarOA3,WGV,89.20 
[13434] DISPLAY_SUMMARY,akVcdarOA3 
[13564] DISPLAY_SUMMARY,akVcdarOA3 
[13602] ADD,akVcdarOA3,74211.73 
[13637] BUY,akVcdarOA3,URI,625.98 
[13664] COMMIT_BUY,akVcdarOA3 
[13684] BUY,akVcdarOA3,FFN,323.43 
[13882] COMMIT_BUY,akVcdarOA3 
[13915] BUY,akVcdarOA3,NXF,27.93 
[13924] CANCEL_SET_BUY,akVcdarOA3,AHO 
[14297] SELL,akVcdarOA3,OEY,630.00 
[14303] CANCEL_SET_SELL,akVcdarOA3,SDW 
[14388] SELL,akVcdarOA3,JVT,407.96 
[14740] COMMIT_SELL,akVcdarOA3 
[14919] ADD,akVcdarOA3,56434.36 
[14933] BUY,akVcdarOA3,BFL,155.32 
[15109] COMMIT_BUY,akVcdarOA3 
[15184] SELL,akVcdarOA3,OEY,219.03 
[15186] QUOTE,akVcdarOA3,BPK 
[15433] QUOTE,akVcdarOA3,CGW 
[15774] SET_BUY_TRIGGER,akVcdarOA3,GPW,120.52 
[15862] ADD,akVcdarOA3,74761.62 
[16319] QUOTE,akVcdarOA3,YWC 
[16747] COMMIT_SELL,akVcdarOA3 
[16751] ADD,akVcdarOA3,41021.91 
[16916] BUY,akVcdarOA3,MSV,374.03 
[17250] SET_SELL_AMOUNT,akVcdarOA3,QAX,466.42 
[17299] SET_SELL_TRIGGER,akVcdarOA3,QAX,220.88 
[17314] SET_SELL_AMOUNT,akVcdarOA3,UTV,701.66 
[17323] SET_SELL_TRIGGER,akVcdarOA3,UTV,669.19 
[17351] SET_BUY_AMOUNT,akVcdarOA3,JRJ,390.97 
[17368] SET_BUY_TRIGGER,akVcdarOA3,ZMS,116.11 
[17451] CANCEL_SET_SELL,akVcdarOA3,MIY 
[17463] QUOTE,akVcdarOA3,PBX 
[17518] ADD,akVcdarOA3,87302.56 
[17660] QUOTE,akVcdarOA3,DED 
[17666] CANCEL_SET_SELL,akVcdarOA3,MOS 
[17722] SET_SELL_TRIGGER,akVcdarOA3,UUJ,112.23 
[17769] DISPLAY_SUMMARY,akVcdarOA3 
[17985] ADD,akVcdarOA3,63011.40 
[18026] BUY,akVcdarOA3,WRJ,248.42 
[18048] SET_BUY_TRIGGER,akVcdarOA3,YVS,148.55 
[18249] SET_BUY_TRIGGER,akVcdarOA3,UMN,150.24 
[18301] SELL,akVcdarOA3,KES,74.84 
[18319] QUOTE,akVcdarOA3,PFN 
[18344] QUOTE,akVcdarOA3,OZW 
[18382] QUOTE,akVcdarOA3,LAM 
[18397] ADD,akVcdarOA3,92982.79 
[18416] QUOTE,akVcdarOA3,BPK 
[18574] CANCEL_BUY,akVcdarOA3 
[18663] SELL,akVcdarOA3,JRJ,415.13 
[18899] CANCEL_SELL,akVcdarOA3 
[19014] COMMIT_SELL,akVcdarOA3 
[19162] SET_BUY_AMOUNT,akVcdarOA3,QAX,412.98 
[19192] SET_BUY_TRIGGER,akVcdarOA3,GNY,330.62 
[19375] ADD,akVcdarOA3,60661.70 
[19384] BUY,akVcdarOA3,TUO,206.68 
[19394] CANCEL_SELL,akVcdarOA3 
[19434] BUY,akVcdarOA3,RNK,374.55 
[19453] COMMIT_BUY,akVcdarOA3 
[19500] BUY,akVcdarOA3,WJB,328.20 
[19585] COMMIT_BUY,akVcdarOA3 
[19684] DISPLAY_SUMMARY,akVcdarOA3 
[19828] ADD,akVcdarOA3,45636.61 
[20107] BUY,akVcdarOA3,RKQ,659.35 
[20285] COMMIT_BUY,akVcdarOA3 
[20542] SET_SELL_TRIGGER,akVcdarOA3,FCH,157.60 
[20589] SET_SELL_AMOUNT,akVcdarOA3,EBS,513.36 
[20613] SET_SELL_TRIGGER,akVcdarOA3,EBS,301.56 
[20642] SET_BUY_AMOUNT,akVcdarOA3,KDA,387.66 
[20854] BUY,akVcdarOA3,KPE,305.10 
[20908] COMMIT_BUY,akVcdarOA3 
[21327] ADD,akVcdarOA3,78990.08 
[21589] SELL,akVcdarOA3,JRJ,554.76 
[21658] SET_SELL_TRIGGER,akVcdarOA3,EOY,24.22 
[21660] DISPLAY_SUMMARY,akVcdarOA3 
[21790] SET_BUY_AMOUNT,akVcdarOA3,JQO,404.79 
[21833] SET_BUY_TRIGGER,akVcdarOA3,OWH,268.57 
[21835] SELL,akVcdarOA3,QJZ,696.61 
[22514] COMMIT_SELL,akVcdarOA3 
[22584] DISPLAY_SUMMARY,akVcdarOA3 
[22662] QUOTE,akVcdarOA3,OAS 
[22787] BUY,akVcdarOA3,GSW,291.92 
[22799] COMMIT_BUY,akVcdarOA3 
[22812] ADD,akVcdarOA3,45646.80 
[23072] QUOTE,akVcdarOA3,JDW 
[23215] BUY,akVcdarOA3,QTU,239.82 
[23254] CANCEL_BUY,akVcdarOA3 
[23302] SELL,akVcdarOA3,BYA,689.22 
[23346] COMMIT_SELL,akVcdarOA3 
[23420] ADD,akVcdarOA3,88237.20 
[23569] QUOTE,akVcdarOA3,HFI 
[23790] BUY,akVcdarOA3,NOP,407.07 
[24022] CANCEL_BUY,akVcdarOA3 
[24066] ADD,akVcdarOA3,68364.48 
[24076] BUY,akVcdarOA3,AXK,200.61 
[24106] QUOTE,akVcdarOA3,GPC 
[24141] BUY,akVcdarOA3,JQO,140.32 
[24279] CANCEL_BUY,akVcdarOA3 
[24420] SET_SELL_TRIGGER,akVcdarOA3,YRO,69.23 
[24430] DISPLAY_SUMMARY,akVcdarOA3 
[24534] SET_SELL_AMOUNT,akVcdarOA3,JCQ,293.00 
[24605] SELL,akVcdarOA3,RUN,634.27 
[24633] CANCEL_BUY,akVcdarOA3 
[24638] SET_SELL_AMOUNT,akVcdarOA3,ZAN,651.86 
[24702] BUY,akVcdarOA3,FDI,43.33 
[24724] COMMIT_BUY,akVcdarOA3 
[24731] ADD,akVcdarOA3,54573.48 
[24817] QUOTE,akVcdarOA3,WQC 
[24899] DISPLAY_SUMMARY,akVcdarOA3 
[25099] DISPLAY_SUMMARY,akVcdarOA3 
[25121] BUY,akVcdarOA3,EOS,149.15 
[25185] SET_BUY_TRIGGER,akVcdarOA3,RUN,17.93 
[25196] SELL,akVcdarOA3,FQP,551.27 
[25237] SET_SELL_TRIGGER,akVcdarOA3,ZAN,251.89 
[25250] ADD,akVcdarOA3,74346.63 
[25314] QUOTE,akVcdarOA3,ZJG 
[25404] SELL,akVcdarOA3,NHG,428.31 
[25511] COMMIT_SELL,akVcdarOA3 
[25684] SET_SELL_AMOUNT,akVcdarOA3,OEY,575.50 
[25726] SELL,akVcdarOA3,EBS,643.46 
[25768] SELL,akVcdarOA3,QJZ,426.44 
[25841] COMMIT_SELL,akVcdarOA3 
[25997] DISPLAY_SUMMARY,akVcdarOA3 
[26385] BUY,akVcdarOA3,MQX,367.71 
[26646] COMMIT_BUY,akVcdarOA3 
[26752] BUY,akVcdarOA3,KZQ,746.12 
[26966] COMMIT_BUY,akVcdarOA3 
[26998] SELL,akVcdarOA3,YJK,189.27 
[27079] CANCEL_SELL,akVcdarOA3 
[27209] BUY,akVcdarOA3,WBX,231.49 
[27213] SELL,akVcdarOA3,KDA,494.07 
[27300] COMMIT_SELL,akVcdarOA3 
[27449] CANCEL_SET_SELL,akVcdarOA3,OEY 
[27655] SET_BUY_TRIGGER,akVcdarOA3,ZQW,153.59 
[27798] CANCEL_SET_SELL,akVcdarOA3,ZMA 
[27846] SELL,akVcdarOA3,RUN,573.78 
[28210] QUOTE,akVcdarOA3,RKQ 
[28608] SELL,akVcdarOA3,LFU,148.69 
[28613] CANCEL_SET_BUY,akVcdarOA3,ZCG 
[28725] ADD,akVcdarOA3,65636.98 
[28831] QUOTE,akVcdarOA3,TOL 
[28859] SET_BUY_AMOUNT,akVcdarOA3,FQP,685.52 
[28883] SET_BUY_TRIGGER,akVcdarOA3,VMK,668.01 
[29032] DISPLAY_SUMMARY,akVcdarOA3 
[29161] SELL,akVcdarOA3,OEY,25.10 
[29181] COMMIT_SELL,akVcdarOA3 
[29241] ADD,akVcdarOA3,72095.08 
[29295] CANCEL_SET_BUY,akVcdarOA3,SVV 
[29318] SELL,akVcdarOA3,NHG,278.86 
[29354] CANCEL_SET_SELL,akVcdarOA3,PIC 
[29417] ADD,akVcdarOA3,67042.08 
[29461] QUOTE,akVcdarOA3,JFJ 
[29499] BUY,akVcdarOA3,GZU,407.65 
[29531] BUY,akVcdarOA3,SQO,365.74 
[29664] COMMIT_BUY,akVcdarOA3 
[29703] SET_BUY_AMOUNT,akVcdarOA3,LFU,261.10 
[29835] SET_BUY_TRIGGER,akVcdarOA3,FKX,250.91 
[29842] BUY,akVcdarOA3,JNO,193.56 
[30082] COMMIT_SELL,akVcdarOA3 
[30083] BUY,akVcdarOA3,EIK,692.71 
[30157] CANCEL_BUY,akVcdarOA3 
[30324] SET_SELL_TRIGGER,akVcdarOA3,LLZ,113.53 
[30333] ADD,akVcdarOA3,31558.96 
[30358] CANCEL_SET_BUY,akVcdarOA3,YZH 
[30443] SET_SELL_AMOUNT,akVcdarOA3,JVT,687.60 
[30807] SET_SELL_TRIGGER,akVcdarOA3,JVT,316.27 
[30842] SELL,akVcdarOA3,JQO,470.84 
[30878] COMMIT_SELL,akVcdarOA3 
[30904] SET_BUY_AMOUNT,akVcdarOA3,UTV,412.57 
[30917] BUY,akVcdarOA3,EUM,33.91 
[31244] CANCEL_BUY,akVcdarOA3 
[31356] QUOTE,akVcdarOA3,OXV 
[31438] SET_SELL_TRIGGER,akVcdarOA3,ZEG,66.38 
[31545] ADD,akVcdarOA3,55478.63 
[31590] BUY,akVcdarOA3,QGE,348.17 
[31627] COMMIT_BUY,akVcdarOA3 
[31648] ADD,akVcdarOA3,89969.40 
[31685] BUY,akVcdarOA3,MJU,697.00 
[31710] CANCEL_BUY,akVcdarOA3 
[31927] DISPLAY_SUMMARY,akVcdarOA3 
[32175] SET_SELL_AMOUNT,akVcdarOA3,CUZ,97.40 
[32177] CANCEL_SET_SELL,akVcdarOA3,CUZ 
[32238] SET_SELL_AMOUNT,akVcdarOA3,UTV,355.02 
[32351] SET_SELL_TRIGGER,akVcdarOA3,UTV,160.83 
[32692] DISPLAY_SUMMARY,akVcdarOA3 
[32762] SELL,akVcdarOA3,XXQ,193.29 
[32767] SET_SELL_AMOUNT,akVcdarOA3,JRJ,40.43 
[32987] QUOTE,akVcdarOA3,UZZ 
[33086] BUY,akVcdarOA3,WXV,366.48 
[33244] COMMIT_BUY,akVcdarOA3 
[33252] BUY,akVcdarOA3,GFN,636.59 
[33455] SET_BUY_AMOUNT,akVcdarOA3,ZTI,744.06 
[33510] SELL,akVcdarOA3,NHG,494.73 
[33516] COMMIT_SELL,akVcdarOA3 
[33738] COMMIT_BUY,akVcdarOA3 
[33750] ADD,akVcdarOA3,68655.66 
[33879] QUOTE,akVcdarOA3,QJC 
[33895] DISPLAY_SUMMARY,akVcdarOA3 
[33917] SET_BUY_TRIGGER,akVcdarOA3,ZOZ,548.70 
[33919] SET_BUY_AMOUNT,akVcdarOA3,OEY,689.50 
[34304] CANCEL_SET_BUY,akVcdarOA3,DMS 
[34421] ADD,akVcdarOA3,48139.21 
[34455] CANCEL_SELL,akVcdarOA3 
[34467] BUY,akVcdarOA3,RFI,725.25 
[34519] CANCEL_SELL,akVcdarOA3 
[34561] SELL,akVcdarOA3,ZYR,605.52 
[34741] CANCEL_SELL,akVcdarOA3 
[34884] SELL,akVcdarOA3,OEY,577.66 
[34910] COMMIT_SELL,akVcdarOA3 
[34965] SET_SELL_AMOUNT,akVcdarOA3,RNK,405.99 
[34966] SET_SELL_TRIGGER,akVcdarOA3,RNK,223.85 
[34982] SET_SELL_AMOUNT,akVcdarOA3,JCQ,149.65 
[35243] BUY,akVcdarOA3,QAX,733.61 
[35355] QUOTE,akVcdarOA3,VZB 
[35365] ADD,akVcdarOA3,64418.60 
[35380] BUY,akVcdarOA3,JOJ,495.12 
[35493] COMMIT_BUY,akVcdarOA3 
[35601] SELL,akVcdarOA3,YJK,727.71 
[35607] COMMIT_SELL,akVcdarOA3 
[35629] CANCEL_SET_SELL,akVcdarOA3,JCQ 
[36011] SET_BUY_AMOUNT,akVcdarOA3,RGH,670.57 
[36252] SET_BUY_TRIGGER,akVcdarOA3,OQZ,4.30 
[36308] CANCEL_SELL,akVcdarOA3 
[36571] SET_SELL_TRIGGER,akVcdarOA3,ZFK,6.36 
[36691] SET_SELL_TRIGGER,akVcdarOA3,DFE,180.77 
[36774] ADD,akVcdarOA3,92155.60 
[36879] BUY,akVcdarOA3,HEJ,190.33 
[37168] COMMIT_BUY,akVcdarOA3 
[37312] SET_SELL_AMOUNT,akVcdarOA3,DFE,406.65 
[37319] SET_SELL_TRIGGER,akVcdarOA3,DFE,279.65 
[37399] CANCEL_SET_SELL,akVcdarOA3,FVS 
[37500] ADD,akVcdarOA3,68148.29 
[37648] BUY,akVcdarOA3,BBD,314.86 
[37665] COMMIT_BUY,akVcdarOA3 
[37715] SET_SELL_TRIGGER,akVcdarOA3,FTP,184.23 
[37802] BUY,akVcdarOA3,JQG,375.52 
[38001] BUY,akVcdarOA3,GWF,673.29 
[38354] COMMIT_BUY,akVcdarOA3 
[38615] DISPLAY_SUMMARY,akVcdarOA3 
[38659] SET_SELL_TRIGGER,akVcdarOA3,OLI,16.13 
[38959] DISPLAY_SUMMARY,akVcdarOA3 
[38988] SELL,akVcdarOA3,GYF,708.63 
[38997] CANCEL_SET_SELL,akVcdarOA3,KWP 
[39009] SET_BUY_TRIGGER,akVcdarOA3,BUL,108.76 
[39127] BUY,akVcdarOA3,VJB,267.17 
[39131] SET_SELL_AMOUNT,akVcdarOA3,QAX,33.89 
[39137] SET_SELL_TRIGGER,akVcdarOA3,QAX,18.56 
[39233] BUY,akVcdarOA3,XQC,388.70 
[39358] SET_SELL_TRIGGER,akVcdarOA3,BYM,99.32 
[39460] QUOTE,akVcdarOA3,WZY 
[39560] SET_BUY_TRIGGER,akVcdarOA3,NVX,40.10 
[39569] DISPLAY_SUMMARY,akVcdarOA3 
[39590] SET_SELL_AMOUNT,akVcdarOA3,RGH,600.52 
[39728] SET_SELL_TRIGGER,akVcdarOA3,RGH,174.86 
[39761] SET_BUY_AMOUNT,akVcdarOA3,DFE,136.52 
[39903] SET_BUY_TRIGGER,akVcdarOA3,HHC,121.98 
[40009] DISPLAY_SUMMARY,akVcdarOA3 
[40071] SET_SELL_AMOUNT,akVcdarOA3,XXQ,534.11 
[40239] SELL,akVcdarOA3,XXQ,348.91 
[40286] COMMIT_SELL,akVcdarOA3 
[40320] SELL,akVcdarOA3,KES,467.70 
[40427] SET_SELL_AMOUNT,akVcdarOA3,NHG,367.72 
[40477] QUOTE,akVcdarOA3,CBX 
[40495] SET_BUY_AMOUNT,akVcdarOA3,QAX,17.79 
[40537] SET_BUY_TRIGGER,akVcdarOA3,RFC,12.40 
[40859] SET_BUY_AMOUNT,akVcdarOA3,RGH,379.57 
[41023] SET_BUY_TRIGGER,akVcdarOA3,DWC,369.73 
[41141] SET_BUY_TRIGGER,akVcdarOA3,XVK,151.95 
[41300] DISPLAY_SUMMARY,akVcdarOA3 
[41600] SET_BUY_AMOUNT,akVcdarOA3,ZTI,699.86 
[41699] SET_BUY_TRIGGER,akVcdarOA3,AJL,425.71 
[41901] SET_SELL_AMOUNT,akVcdarOA3,ZYR,137.20 
[42013] SET_SELL_TRIGGER,akVcdarOA3,ZYR,108.67 
[42364] QUOTE,akVcdarOA3,AAC 
[42462] SET_BUY_AMOUNT,akVcdarOA3,JZJ,170.13 
[42514] SET_BUY_TRIGGER,akVcdarOA3,FYR,86.46 
[42649] DISPLAY_SUMMARY,akVcdarOA3 
[42652] SELL,akVcdarOA3,GYF,608.99 
[42658] COMMIT_SELL,akVcdarOA3 
[42679] SET_BUY_TRIGGER,akVcdarOA3,EUM,81.19 
[42684] SET_BUY_TRIGGER,akVcdarOA3,NTB,21.23 
[42751] ADD,akVcdarOA3,98058.46 
[42848] QUOTE,akVcdarOA3,WPG 
[42901] DISPLAY_SUMMARY,akVcdarOA3 
[43067] ADD,akVcdarOA3,93257.12 
[43104] QUOTE,akVcdarOA3,PPY 
[43207] SET_BUY_AMOUNT,akVcdarOA3,JCQ,378.34 
[43233] SET_BUY_TRIGGER,akVcdarOA3,SQS,232.57 
[43260] SET_SELL_TRIGGER,akVcdarOA3,KXF,49.37 
[43315] SET_BUY_TRIGGER,akVcdarOA3,WYA,21.41 
[43368] SELL,akVcdarOA3,QJZ,410.37 
[43524] COMMIT_SELL,akVcdarOA3 
[43624] SET_SELL_TRIGGER,akVcdarOA3,RYU,117.53 
[43627] BUY,akVcdarOA3,OLI,156.53 
[43648] CANCEL_SELL,akVcdarOA3 
[43717] DISPLAY_SUMMARY,akVcdarOA3 
[43762] SET_SELL_TRIGGER,akVcdarOA3,IQZ,159.89 
[44023] SET_SELL_AMOUNT,akVcdarOA3,BYA,660.28 
[44047] SET_SELL_TRIGGER,akVcdarOA3,BYA,429.25 
[44095] SET_SELL_AMOUNT,akVcdarOA3,DFE,231.72 
[44326] SET_SELL_TRIGGER,akVcdarOA3,DFE,62.15 
[44371] SET_BUY_AMOUNT,akVcdarOA3,PTP,500.80 
[44423] SET_BUY_TRIGGER,akVcdarOA3,CXN,264.93 
[44434] DISPLAY_SUMMARY,akVcdarOA3 
[44515] SET_BUY_TRIGGER,akVcdarOA3,SAN,60.25 
[44582] SELL,akVcdarOA3,JCQ,516.42 
[44627] COMMIT_SELL,akVcdarOA3 
[44804] CANCEL_SET_BUY,akVcdarOA3,BFB 
[44987] BUY,akVcdarOA3,PUC,528.86 
[45065] DISPLAY_SUMMARY,akVcdarOA3 
[45164] SET_BUY_AMOUNT,akVcdarOA3,KDA,744.50 
[45171] QUOTE,akVcdarOA3,SAN 
[45281] BUY,akVcdarOA3,KCS,301.13 
[45322] SET_SELL_TRIGGER,akVcdarOA3,TSS,19.11 
[45330] ADD,akVcdarOA3,62508.52 
[45456] BUY,akVcdarOA3,PSJ,167.04 
[45596] CANCEL_SELL,akVcdarOA3 
[45702] ADD,akVcdarOA3,91778.07 
[45743] BUY,akVcdarOA3,GCL,733.36 
[45882] DISPLAY_SUMMARY,akVcdarOA3 
[45917] SELL,akVcdarOA3,RNK,248.88 
[46092] COMMIT_BUY,akVcdarOA3 
[46438] BUY,akVcdarOA3,HEJ,41.59 
[46524] QUOTE,akVcdarOA3,YNY 
[46619] ADD,akVcdarOA3,58635.41 
[46784] QUOTE,akVcdarOA3,FLY 
[46846] BUY,akVcdarOA3,LPS,676.47 
[46861] DISPLAY_SUMMARY,akVcdarOA3 
[46896] SET_SELL_TRIGGER,akVcdarOA3,ZEU,193.51 
[46950] QUOTE,akVcdarOA3,VKB 
[46955] QUOTE,akVcdarOA3,OLH 
[47066] COMMIT_BUY,akVcdarOA3 
[47308] CANCEL_SELL,akVcdarOA3 
[47359] SET_BUY_AMOUNT,akVcdarOA3,GYF,570.65 
[47522] SELL,akVcdarOA3,CSZ,426.75 
[47597] COMMIT_SELL,akVcdarOA3 
[47726] ADD,akVcdarOA3,67455.91 
[47903] BUY,akVcdarOA3,OHG,433.23 
[48006] CANCEL_SET_SELL,akVcdarOA3,YNH 
[48033] SET_SELL_AMOUNT,akVcdarOA3,BCQ,96.50 
[48036] SET_SELL_TRIGGER,akVcdarOA3,BCQ,77.25 
[48110] SET_SELL_AMOUNT,akVcdarOA3,CSZ,243.43 
[48400] SET_SELL_TRIGGER,akVcdarOA3,CSZ,61.23 
[48419] DISPLAY_SUMMARY,akVcdarOA3 
[48546] BUY,akVcdarOA3,GHL,263.32 
[48611] SET_SELL_TRIGGER,akVcdarOA3,FKI,158.03 
[48679] QUOTE,akVcdarOA3,LQN 
[48803] DISPLAY_SUMMARY,akVcdarOA3 
[48859] ADD,akVcdarOA3,58861.20 
[48893] QUOTE,akVcdarOA3,ZER 
[48941] QUOTE,akVcdarOA3,KYT 
[49050] SET_BUY_TRIGGER,akVcdarOA3,JOJ,421.61 
[49070] QUOTE,akVcdarOA3,HZP 
[49148] SELL,akVcdarOA3,JZJ,265.32 
[49299] COMMIT_SELL,akVcdarOA3 
[49351] SET_SELL_AMOUNT,akVcdarOA3,BYA,9.96 
[49565] SET_SELL_TRIGGER,akVcdarOA3,BYA,8.38 
[49770] CANCEL_SET_SELL,akVcdarOA3,BWL 
[49792] ADD,akVcdarOA3,71514.83 
[50054] BUY,akVcdarOA3,AQO,14.21 
[50152] BUY,akVcdarOA3,JVE,34.91 
[50294] COMMIT_BUY,akVcdarOA3 
[50395] DISPLAY_SUMMARY,akVcdarOA3 
[50554] CANCEL_SET_BUY,akVcdarOA3,DWK 
[50576] SET_BUY_TRIGGER,akVcdarOA3,RNK,15.49 
[50671] DISPLAY_SUMMARY,akVcdarOA3 
[50709] SELL,akVcdarOA3,OEY,480.87 
[50799] SET_BUY_TRIGGER,akVcdarOA3,FCH,60.17 
[50835] SET_BUY_AMOUNT,akVcdarOA3,ZYR,261.41 
[51153] SET_BUY_TRIGGER,akVcdarOA3,LKV,223.05 
[51215] QUOTE,akVcdarOA3,HTN 
[51605] CANCEL_SET_SELL,akVcdarOA3,QAA 
[51621] SET_BUY_TRIGGER,akVcdarOA3,BYA,121.75 
[51871] SET_SELL_TRIGGER,akVcdarOA3,TVX,9.03 
[51899] ADD,akVcdarOA3,66367.05 
[52001] QUOTE,akVcdarOA3,GYT 
[52208] SELL,akVcdarOA3,JCQ,329.01 
[52424] CANCEL_SELL,akVcdarOA3 
[52431] QUOTE,akVcdarOA3,NTT 
[52442] BUY,akVcdarOA3,PPY,190.12 
[52475] DISPLAY_SUMMARY,akVcdarOA3 
[52513] ADD,akVcdarOA3,67797.56 
[52799] QUOTE,akVcdarOA3,CDF 
[52967] QUOTE,akVcdarOA3,YBP 
[53045] QUOTE,akVcdarOA3,MLI 
[53278] BUY,akVcdarOA3,ARP,61.04 
[53295] COMMIT_BUY,akVcdarOA3 
[53297] ADD,akVcdarOA3,76115.78 
[53438] QUOTE,akVcdarOA3,PFN 
[53470] BUY,akVcdarOA3,DJD,64.14 
[53531] ADD,akVcdarOA3,44270.32 
[53671] QUOTE,akVcdarOA3,NAW 
