[54] ADD,e6JAmPjBmb,64837.51 
[18466] SET_BUY_TRIGGER,e6JAmPjBmb,OHG,163.06 
[18468] ADD,e6JAmPjBmb,70358.44 
[18615] QUOTE,e6JAmPjBmb,LJM 
[18730] DISPLAY_SUMMARY,e6JAmPjBmb 
[18759] QUOTE,e6JAmPjBmb,PDB 
[18888] BUY,e6JAmPjBmb,RQT,536.96 
[18939] CANCEL_BUY,e6JAmPjBmb 
[18981] SELL,e6JAmPjBmb,KDA,44.61 
[19027] SELL,e6JAmPjBmb,KDA,343.72 
[19056] COMMIT_SELL,e6JAmPjBmb 
[19225] BUY,e6JAmPjBmb,SDL,496.12 
[19245] COMMIT_BUY,e6JAmPjBmb 
[19259] ADD,e6JAmPjBmb,74842.07 
[19478] BUY,e6JAmPjBmb,MVQ,161.96 
[19709] CANCEL_SET_SELL,e6JAmPjBmb,KMV 
[19723] ADD,e6JAmPjBmb,41408.18 
[19755] QUOTE,e6JAmPjBmb,MER 
[19860] BUY,e6JAmPjBmb,YTY,274.77 
[20050] COMMIT_BUY,e6JAmPjBmb 
[20073] ADD,e6JAmPjBmb,43730.64 
[20168] BUY,e6JAmPjBmb,VJV,350.11 
[20444] COMMIT_BUY,e6JAmPjBmb 
[20495] CANCEL_SET_SELL,e6JAmPjBmb,LAM 
[20549] DISPLAY_SUMMARY,e6JAmPjBmb 
[20593] ADD,e6JAmPjBmb,61616.61 
[20781] SET_SELL_AMOUNT,e6JAmPjBmb,OEY,702.21 
[20923] SET_SELL_TRIGGER,e6JAmPjBmb,OEY,384.15 
[21004] ADD,e6JAmPjBmb,100098.44 
[21164] BUY,e6JAmPjBmb,NHG,574.33 
[21243] SET_BUY_TRIGGER,e6JAmPjBmb,JDW,14.23 
[21305] DISPLAY_SUMMARY,e6JAmPjBmb 
[21362] COMMIT_BUY,e6JAmPjBmb 
[21625] DISPLAY_SUMMARY,e6JAmPjBmb 
[21984] BUY,e6JAmPjBmb,JEA,1.37 
[22203] SET_SELL_AMOUNT,e6JAmPjBmb,UTV,685.33 
[22228] SET_SELL_TRIGGER,e6JAmPjBmb,UTV,160.87 
[22270] CANCEL_SET_SELL,e6JAmPjBmb,GHE 
[22422] ADD,e6JAmPjBmb,55670.57 
[22527] BUY,e6JAmPjBmb,KKI,3.44 
[22566] COMMIT_BUY,e6JAmPjBmb 
[22653] ADD,e6JAmPjBmb,75574.56 
[22756] BUY,e6JAmPjBmb,IFQ,486.04 
[22890] CANCEL_SET_BUY,e6JAmPjBmb,ZNW 
[22966] SET_BUY_TRIGGER,e6JAmPjBmb,UJC,120.89 
[23001] SET_BUY_AMOUNT,e6JAmPjBmb,JRJ,698.99 
[23112] SET_BUY_TRIGGER,e6JAmPjBmb,XBL,168.77 
[23210] ADD,e6JAmPjBmb,58776.56 
[23248] QUOTE,e6JAmPjBmb,OOR 
[23252] QUOTE,e6JAmPjBmb,GQV 
[23272] SET_SELL_AMOUNT,e6JAmPjBmb,FQP,718.70 
[23393] CANCEL_SET_SELL,e6JAmPjBmb,FQP 
[23455] SELL,e6JAmPjBmb,NHG,433.63 
[23487] COMMIT_SELL,e6JAmPjBmb 
[23523] ADD,e6JAmPjBmb,86856.73 
[23558] BUY,e6JAmPjBmb,XOA,541.92 
[23747] COMMIT_SELL,e6JAmPjBmb 
[23767] ADD,e6JAmPjBmb,57512.71 
[23793] QUOTE,e6JAmPjBmb,CLP 
[23809] BUY,e6JAmPjBmb,GMS,611.89 
[23872] COMMIT_BUY,e6JAmPjBmb 
[23936] ADD,e6JAmPjBmb,81996.20 
[24155] QUOTE,e6JAmPjBmb,GDO 
[24204] CANCEL_SET_BUY,e6JAmPjBmb,LGL 
[24474] SET_BUY_AMOUNT,e6JAmPjBmb,OEY,44.42 
[24666] SET_BUY_TRIGGER,e6JAmPjBmb,TOL,14.55 
[24720] ADD,e6JAmPjBmb,78264.37 
[24856] QUOTE,e6JAmPjBmb,WYD 
[24905] ADD,e6JAmPjBmb,37605.71 
[25100] SET_BUY_AMOUNT,e6JAmPjBmb,KDA,470.57 
[25138] SET_BUY_TRIGGER,e6JAmPjBmb,LEA,224.38 
[25167] DISPLAY_SUMMARY,e6JAmPjBmb 
[25178] ADD,e6JAmPjBmb,63335.50 
[25333] QUOTE,e6JAmPjBmb,LJY 
[25416] QUOTE,e6JAmPjBmb,GUB 
[25587] SET_BUY_AMOUNT,e6JAmPjBmb,ZAN,205.47 
[25829] SET_BUY_TRIGGER,e6JAmPjBmb,ZNW,46.86 
[25859] QUOTE,e6JAmPjBmb,HDR 
[25879] BUY,e6JAmPjBmb,EAK,659.68 
[25911] COMMIT_BUY,e6JAmPjBmb 
[25995] ADD,e6JAmPjBmb,81338.65 
[26041] BUY,e6JAmPjBmb,YBP,129.07 
[26077] CANCEL_BUY,e6JAmPjBmb 
[26144] DISPLAY_SUMMARY,e6JAmPjBmb 
[26210] SELL,e6JAmPjBmb,JRJ,692.50 
[26360] COMMIT_BUY,e6JAmPjBmb 
[26618] ADD,e6JAmPjBmb,82462.34 
[26679] QUOTE,e6JAmPjBmb,BFU 
[26703] BUY,e6JAmPjBmb,JXR,306.20 
[26785] CANCEL_SET_BUY,e6JAmPjBmb,JDW 
[26847] SELL,e6JAmPjBmb,BYA,102.30 
[26901] QUOTE,e6JAmPjBmb,JOJ 
[27005] SET_BUY_AMOUNT,e6JAmPjBmb,EBS,384.36 
[27037] BUY,e6JAmPjBmb,ZQC,617.89 
[27062] COMMIT_BUY,e6JAmPjBmb 
[27272] QUOTE,e6JAmPjBmb,MRH 
[27346] ADD,e6JAmPjBmb,76941.37 
[27387] QUOTE,e6JAmPjBmb,ZMK 
[27427] QUOTE,e6JAmPjBmb,WQE 
[27467] CANCEL_SET_SELL,e6JAmPjBmb,SHP 
[27512] DISPLAY_SUMMARY,e6JAmPjBmb 
[27652] SET_BUY_TRIGGER,e6JAmPjBmb,OLI,54.94 
[27782] SELL,e6JAmPjBmb,RUN,61.54 
[27851] SET_BUY_AMOUNT,e6JAmPjBmb,QAX,676.60 
[28094] CANCEL_SET_BUY,e6JAmPjBmb,GAV 
[28130] BUY,e6JAmPjBmb,NAW,72.45 
[28138] DISPLAY_SUMMARY,e6JAmPjBmb 
[28189] SET_BUY_TRIGGER,e6JAmPjBmb,AQO,132.82 
[28219] DISPLAY_SUMMARY,e6JAmPjBmb 
[28502] ADD,e6JAmPjBmb,69543.62 
[28564] BUY,e6JAmPjBmb,ZNL,690.26 
[28589] COMMIT_BUY,e6JAmPjBmb 
[28669] SET_SELL_AMOUNT,e6JAmPjBmb,JVT,383.64 
[28673] SET_SELL_TRIGGER,e6JAmPjBmb,JVT,77.20 
[28762] SET_BUY_TRIGGER,e6JAmPjBmb,XPX,68.45 
[28772] QUOTE,e6JAmPjBmb,IGT 
[28779] CANCEL_SET_BUY,e6JAmPjBmb,QHF 
[29105] QUOTE,e6JAmPjBmb,SBT 
[29182] BUY,e6JAmPjBmb,RVU,220.38 
[29214] CANCEL_BUY,e6JAmPjBmb 
[29278] SELL,e6JAmPjBmb,RUN,404.31 
[29330] SET_SELL_TRIGGER,e6JAmPjBmb,ZNZ,94.42 
[29375] DISPLAY_SUMMARY,e6JAmPjBmb 
[29411] ADD,e6JAmPjBmb,86718.28 
[29556] QUOTE,e6JAmPjBmb,KPE 
[29624] BUY,e6JAmPjBmb,SYU,192.37 
[29809] QUOTE,e6JAmPjBmb,QNW 
[29827] QUOTE,e6JAmPjBmb,ZCQ 
[30067] DISPLAY_SUMMARY,e6JAmPjBmb 
[30128] COMMIT_SELL,e6JAmPjBmb 
[30144] BUY,e6JAmPjBmb,VJV,306.70 
[30280] COMMIT_BUY,e6JAmPjBmb 
[30388] QUOTE,e6JAmPjBmb,RVU 
[30435] BUY,e6JAmPjBmb,URI,48.02 
[30603] COMMIT_BUY,e6JAmPjBmb 
[30759] BUY,e6JAmPjBmb,WDC,519.20 
[30767] QUOTE,e6JAmPjBmb,TYV 
[30981] COMMIT_SELL,e6JAmPjBmb 
[31052] SET_BUY_AMOUNT,e6JAmPjBmb,JCQ,156.49 
[31063] CANCEL_SET_BUY,e6JAmPjBmb,DRP 
[31188] SELL,e6JAmPjBmb,JRJ,523.65 
[31514] CANCEL_SET_SELL,e6JAmPjBmb,VXY 
[31631] DISPLAY_SUMMARY,e6JAmPjBmb 
[31791] SELL,e6JAmPjBmb,NHG,492.13 
[32154] COMMIT_SELL,e6JAmPjBmb 
[32248] DISPLAY_SUMMARY,e6JAmPjBmb 
[32332] DISPLAY_SUMMARY,e6JAmPjBmb 
[32363] BUY,e6JAmPjBmb,ZFT,607.05 
[32513] COMMIT_BUY,e6JAmPjBmb 
[32520] SET_BUY_AMOUNT,e6JAmPjBmb,GYF,7.04 
[32587] SET_BUY_TRIGGER,e6JAmPjBmb,KPP,5.86 
[32594] ADD,e6JAmPjBmb,65249.18 
[32864] QUOTE,e6JAmPjBmb,NGH 
[33406] ADD,e6JAmPjBmb,31554.69 
[33478] DISPLAY_SUMMARY,e6JAmPjBmb 
[33524] ADD,e6JAmPjBmb,67959.51 
[33674] BUY,e6JAmPjBmb,NXF,638.79 
[33677] COMMIT_BUY,e6JAmPjBmb 
[33714] SET_SELL_AMOUNT,e6JAmPjBmb,BCQ,72.79 
[33843] CANCEL_SET_SELL,e6JAmPjBmb,BCQ 
[33999] ADD,e6JAmPjBmb,67700.88 
[34055] QUOTE,e6JAmPjBmb,QPR 
[34209] QUOTE,e6JAmPjBmb,OSA 
[34630] CANCEL_SET_SELL,e6JAmPjBmb,HYX 
[34826] SELL,e6JAmPjBmb,JQO,442.39 
[34853] COMMIT_SELL,e6JAmPjBmb 
[35201] QUOTE,e6JAmPjBmb,YVS 
[35338] BUY,e6JAmPjBmb,OGR,430.34 
[35368] COMMIT_BUY,e6JAmPjBmb 
[35516] ADD,e6JAmPjBmb,72892.40 
[35585] CANCEL_SET_BUY,e6JAmPjBmb,SOT 
[35718] SET_BUY_TRIGGER,e6JAmPjBmb,IGI,14.41 
[35751] BUY,e6JAmPjBmb,SKV,402.80 
[35836] CANCEL_SELL,e6JAmPjBmb 
[35871] DISPLAY_SUMMARY,e6JAmPjBmb 
[36024] DISPLAY_SUMMARY,e6JAmPjBmb 
[36117] QUOTE,e6JAmPjBmb,BTA 
[36130] SET_BUY_TRIGGER,e6JAmPjBmb,CBQ,104.29 
[36207] SET_BUY_TRIGGER,e6JAmPjBmb,ARP,170.10 
[36364] ADD,e6JAmPjBmb,62934.76 
[36453] QUOTE,e6JAmPjBmb,VNF 
[36459] BUY,e6JAmPjBmb,GRD,350.90 
[36979] COMMIT_BUY,e6JAmPjBmb 
[36993] DISPLAY_SUMMARY,e6JAmPjBmb 
[37164] SET_SELL_AMOUNT,e6JAmPjBmb,ZAN,488.08 
[37515] SET_SELL_TRIGGER,e6JAmPjBmb,ZAN,353.76 
[37536] ADD,e6JAmPjBmb,60974.39 
[37698] QUOTE,e6JAmPjBmb,OOV 
[37801] ADD,e6JAmPjBmb,56815.69 
[38129] QUOTE,e6JAmPjBmb,ZQC 
[38154] BUY,e6JAmPjBmb,VYQ,378.38 
[38190] COMMIT_BUY,e6JAmPjBmb 
[38201] QUOTE,e6JAmPjBmb,JII 
[38206] BUY,e6JAmPjBmb,LSG,2.30 
[38275] ADD,e6JAmPjBmb,52787.50 
[38337] QUOTE,e6JAmPjBmb,SYL 
[38438] CANCEL_SET_BUY,e6JAmPjBmb,HYX 
[38450] BUY,e6JAmPjBmb,GZQ,33.17 
[38519] CANCEL_SET_SELL,e6JAmPjBmb,DLQ 
[38623] ADD,e6JAmPjBmb,73776.95 
[38700] BUY,e6JAmPjBmb,AUX,404.30 
[38832] COMMIT_BUY,e6JAmPjBmb 
[38923] ADD,e6JAmPjBmb,69162.06 
[38925] SELL,e6JAmPjBmb,BYA,629.91 
[38976] COMMIT_SELL,e6JAmPjBmb 
[38983] SET_BUY_TRIGGER,e6JAmPjBmb,OPN,177.57 
[39079] SELL,e6JAmPjBmb,KDA,463.86 
[39120] COMMIT_SELL,e6JAmPjBmb 
[39154] SET_SELL_TRIGGER,e6JAmPjBmb,FMJ,166.67 
[39246] CANCEL_BUY,e6JAmPjBmb 
[39346] DISPLAY_SUMMARY,e6JAmPjBmb 
[39434] SELL,e6JAmPjBmb,CUZ,417.45 
[39447] SET_BUY_TRIGGER,e6JAmPjBmb,IBT,22.31 
[39487] CANCEL_SET_SELL,e6JAmPjBmb,IHW 
[39631] COMMIT_SELL,e6JAmPjBmb 
[39704] SET_SELL_AMOUNT,e6JAmPjBmb,KDA,413.89 
[39772] SELL,e6JAmPjBmb,ZYR,397.58 
[39784] COMMIT_SELL,e6JAmPjBmb 
[40164] DISPLAY_SUMMARY,e6JAmPjBmb 
[40356] BUY,e6JAmPjBmb,KBN,269.20 
[40465] COMMIT_BUY,e6JAmPjBmb 
[40598] ADD,e6JAmPjBmb,48335.90 
[40623] BUY,e6JAmPjBmb,LSW,685.68 
[40651] CANCEL_BUY,e6JAmPjBmb 
[40695] ADD,e6JAmPjBmb,83152.97 
[40716] BUY,e6JAmPjBmb,KWP,324.13 
[40723] COMMIT_BUY,e6JAmPjBmb 
[40758] SET_BUY_AMOUNT,e6JAmPjBmb,GYF,307.21 
[40871] SET_BUY_TRIGGER,e6JAmPjBmb,TVI,75.87 
[41021] ADD,e6JAmPjBmb,86518.31 
[41037] CANCEL_BUY,e6JAmPjBmb 
[41324] CANCEL_SET_SELL,e6JAmPjBmb,KDA 
[41450] ADD,e6JAmPjBmb,90965.89 
[41539] QUOTE,e6JAmPjBmb,URD 
[41856] SET_BUY_TRIGGER,e6JAmPjBmb,MSV,44.55 
[41944] BUY,e6JAmPjBmb,OEY,731.30 
[42003] CANCEL_SELL,e6JAmPjBmb 
[42077] ADD,e6JAmPjBmb,99342.52 
[42278] QUOTE,e6JAmPjBmb,NGB 
[42333] SET_BUY_TRIGGER,e6JAmPjBmb,OSC,80.62 
[42339] SET_BUY_AMOUNT,e6JAmPjBmb,CUZ,646.96 
[42458] SET_BUY_TRIGGER,e6JAmPjBmb,AVX,108.43 
[42469] QUOTE,e6JAmPjBmb,LZB 
[42624] ADD,e6JAmPjBmb,76355.02 
[42740] BUY,e6JAmPjBmb,LSM,521.73 
[42854] COMMIT_BUY,e6JAmPjBmb 
[43131] QUOTE,e6JAmPjBmb,VVV 
[43153] BUY,e6JAmPjBmb,QQI,295.25 
[43204] COMMIT_BUY,e6JAmPjBmb 
[43373] DISPLAY_SUMMARY,e6JAmPjBmb 
[43424] ADD,e6JAmPjBmb,78619.38 
[43438] SELL,e6JAmPjBmb,JVT,732.12 
[43741] SELL,e6JAmPjBmb,CUZ,601.24 
[43869] COMMIT_SELL,e6JAmPjBmb 
[43879] ADD,e6JAmPjBmb,84362.30 
[43908] BUY,e6JAmPjBmb,NUL,174.10 
[44080] CANCEL_SET_SELL,e6JAmPjBmb,JII 
[44081] QUOTE,e6JAmPjBmb,UDM 
[44124] DISPLAY_SUMMARY,e6JAmPjBmb 
[44160] DISPLAY_SUMMARY,e6JAmPjBmb 
[44314] DISPLAY_SUMMARY,e6JAmPjBmb 
[44397] CANCEL_SELL,e6JAmPjBmb 
[44773] SELL,e6JAmPjBmb,OEY,689.97 
[44827] CANCEL_SELL,e6JAmPjBmb 
[44921] SET_BUY_AMOUNT,e6JAmPjBmb,ZAN,29.97 
[45001] CANCEL_SET_BUY,e6JAmPjBmb,XYV 
[45151] CANCEL_SET_SELL,e6JAmPjBmb,VBO 
[45186] BUY,e6JAmPjBmb,NRY,479.21 
[45222] SELL,e6JAmPjBmb,JQO,239.81 
[45297] SET_SELL_TRIGGER,e6JAmPjBmb,XXN,199.48 
[45343] DISPLAY_SUMMARY,e6JAmPjBmb 
[45359] ADD,e6JAmPjBmb,92952.49 
[45519] SELL,e6JAmPjBmb,ZTI,253.51 
[45651] CANCEL_BUY,e6JAmPjBmb 
[45700] SET_SELL_AMOUNT,e6JAmPjBmb,KDA,474.02 
