[163] ADD,D6zA2CRl22,84102.17 
[6537] SET_SELL_TRIGGER,D6zA2CRl22,AAC,160.94 
[6568] SELL,D6zA2CRl22,FQP,620.33 
[6583] COMMIT_SELL,D6zA2CRl22 
[6706] DISPLAY_SUMMARY,D6zA2CRl22 
[6772] DISPLAY_SUMMARY,D6zA2CRl22 
[7312] BUY,D6zA2CRl22,WXV,729.51 
[7380] COMMIT_BUY,D6zA2CRl22 
[7436] SET_BUY_TRIGGER,D6zA2CRl22,RWM,176.05 
[7439] SELL,D6zA2CRl22,QJZ,350.00 
[7490] COMMIT_SELL,D6zA2CRl22 
[7649] DISPLAY_SUMMARY,D6zA2CRl22 
[7783] ADD,D6zA2CRl22,87035.94 
[7895] QUOTE,D6zA2CRl22,APU 
[8154] CANCEL_BUY,D6zA2CRl22 
[8672] SET_SELL_TRIGGER,D6zA2CRl22,JNO,58.93 
[8694] BUY,D6zA2CRl22,WTD,215.28 
[9237] BUY,D6zA2CRl22,UBJ,567.67 
[9356] COMMIT_BUY,D6zA2CRl22 
[9568] SET_SELL_AMOUNT,D6zA2CRl22,QJZ,480.82 
[9651] SET_SELL_TRIGGER,D6zA2CRl22,QJZ,191.81 
[9711] ADD,D6zA2CRl22,40358.52 
[9714] BUY,D6zA2CRl22,CVK,626.85 
[9802] DISPLAY_SUMMARY,D6zA2CRl22 
[9832] SELL,D6zA2CRl22,GYF,330.88 
[9852] COMMIT_SELL,D6zA2CRl22 
[9989] QUOTE,D6zA2CRl22,AMI 
[10088] SET_BUY_TRIGGER,D6zA2CRl22,YXK,135.18 
[10175] ADD,D6zA2CRl22,81864.81 
[10255] BUY,D6zA2CRl22,NGB,291.30 
[10342] COMMIT_BUY,D6zA2CRl22 
[10354] SELL,D6zA2CRl22,FQP,220.90 
[10355] SET_BUY_AMOUNT,D6zA2CRl22,JVT,658.72 
[10383] SET_BUY_TRIGGER,D6zA2CRl22,STO,591.61 
[10457] DISPLAY_SUMMARY,D6zA2CRl22 
[10465] QUOTE,D6zA2CRl22,OQW 
[10486] CANCEL_SELL,D6zA2CRl22 
[10490] SELL,D6zA2CRl22,FQP,242.51 
[10607] COMMIT_SELL,D6zA2CRl22 
[10634] DISPLAY_SUMMARY,D6zA2CRl22 
[10823] SET_BUY_AMOUNT,D6zA2CRl22,JCQ,389.40 
[10888] SET_BUY_TRIGGER,D6zA2CRl22,WZM,187.59 
[11252] SET_BUY_TRIGGER,D6zA2CRl22,DPG,126.33 
[11298] ADD,D6zA2CRl22,78097.73 
[11396] QUOTE,D6zA2CRl22,RLS 
[11540] BUY,D6zA2CRl22,BBD,310.36 
[11653] COMMIT_SELL,D6zA2CRl22 
[11827] BUY,D6zA2CRl22,BZX,696.09 
[11973] COMMIT_BUY,D6zA2CRl22 
[12303] SELL,D6zA2CRl22,KDA,621.66 
[12428] COMMIT_SELL,D6zA2CRl22 
[12457] DISPLAY_SUMMARY,D6zA2CRl22 
[12507] CANCEL_SELL,D6zA2CRl22 
[12515] ADD,D6zA2CRl22,64680.26 
[12684] BUY,D6zA2CRl22,ZGN,169.17 
[12826] COMMIT_BUY,D6zA2CRl22 
[12837] SELL,D6zA2CRl22,EBS,479.34 
[12957] ADD,D6zA2CRl22,69166.76 
[13494] QUOTE,D6zA2CRl22,FFN 
[13605] SET_BUY_TRIGGER,D6zA2CRl22,FNY,185.54 
[13606] COMMIT_SELL,D6zA2CRl22 
[13931] SELL,D6zA2CRl22,QJZ,288.52 
[13967] CANCEL_SELL,D6zA2CRl22 
[13977] CANCEL_SET_SELL,D6zA2CRl22,TSU 
[14206] QUOTE,D6zA2CRl22,XMA 
[14261] QUOTE,D6zA2CRl22,LJZ 
[14322] BUY,D6zA2CRl22,PHU,430.74 
[14390] SET_BUY_TRIGGER,D6zA2CRl22,HEJ,131.76 
[14393] SET_BUY_AMOUNT,D6zA2CRl22,KDA,522.65 
[14421] SELL,D6zA2CRl22,QJZ,618.68 
[14693] COMMIT_SELL,D6zA2CRl22 
[14736] ADD,D6zA2CRl22,63872.75 
[14749] QUOTE,D6zA2CRl22,WLT 
[14784] BUY,D6zA2CRl22,VIK,443.64 
[14830] COMMIT_BUY,D6zA2CRl22 
[14987] ADD,D6zA2CRl22,83100.34 
[15135] QUOTE,D6zA2CRl22,WTL 
[15149] DISPLAY_SUMMARY,D6zA2CRl22 
[15162] SET_BUY_AMOUNT,D6zA2CRl22,QJZ,264.22 
[15212] SET_BUY_TRIGGER,D6zA2CRl22,JUE,87.86 
[15398] SET_BUY_TRIGGER,D6zA2CRl22,DDH,32.48 
[15423] SELL,D6zA2CRl22,KDA,256.36 
[15440] CANCEL_SELL,D6zA2CRl22 
[15446] COMMIT_BUY,D6zA2CRl22 
[15479] BUY,D6zA2CRl22,GJQ,271.91 
[15594] SELL,D6zA2CRl22,JCQ,391.11 
[15633] COMMIT_SELL,D6zA2CRl22 
[15661] QUOTE,D6zA2CRl22,WAO 
[15672] SET_BUY_TRIGGER,D6zA2CRl22,GIK,192.41 
[15699] DISPLAY_SUMMARY,D6zA2CRl22 
[15767] QUOTE,D6zA2CRl22,VEE 
[15805] CANCEL_BUY,D6zA2CRl22 
[16108] SET_BUY_TRIGGER,D6zA2CRl22,YAZ,12.96 
[16138] QUOTE,D6zA2CRl22,PCR 
[16394] SELL,D6zA2CRl22,JRJ,13.61 
[16435] COMMIT_SELL,D6zA2CRl22 
[16465] ADD,D6zA2CRl22,98452.23 
[16468] QUOTE,D6zA2CRl22,KRX 
[16491] BUY,D6zA2CRl22,XFW,485.65 
[16585] COMMIT_BUY,D6zA2CRl22 
[16623] SET_SELL_AMOUNT,D6zA2CRl22,JVT,456.76 
[16769] SET_SELL_TRIGGER,D6zA2CRl22,JVT,306.05 
[16805] SET_SELL_TRIGGER,D6zA2CRl22,APU,26.14 
[16874] SET_BUY_AMOUNT,D6zA2CRl22,UTV,513.35 
[16944] SET_BUY_TRIGGER,D6zA2CRl22,KJH,331.48 
[16981] SELL,D6zA2CRl22,GYF,96.63 
[17192] QUOTE,D6zA2CRl22,XWZ 
[17431] SET_BUY_AMOUNT,D6zA2CRl22,KES,157.29 
[17462] SET_BUY_TRIGGER,D6zA2CRl22,CBO,118.69 
[17508] DISPLAY_SUMMARY,D6zA2CRl22 
[17610] BUY,D6zA2CRl22,DLQ,202.82 
[18031] COMMIT_BUY,D6zA2CRl22 
[18035] SET_BUY_TRIGGER,D6zA2CRl22,NBX,176.36 
[18135] SELL,D6zA2CRl22,FQP,323.11 
[18161] CANCEL_SET_SELL,D6zA2CRl22,OYS 
[18211] SET_BUY_AMOUNT,D6zA2CRl22,JCQ,540.84 
[18498] SET_BUY_TRIGGER,D6zA2CRl22,ECX,493.58 
[18556] SELL,D6zA2CRl22,JVT,272.06 
[18750] COMMIT_BUY,D6zA2CRl22 
[18847] SET_BUY_TRIGGER,D6zA2CRl22,FQP,30.26 
[18954] CANCEL_SET_BUY,D6zA2CRl22,LZV 
[19082] SET_BUY_TRIGGER,D6zA2CRl22,YGK,47.06 
[19110] SET_SELL_AMOUNT,D6zA2CRl22,JRJ,546.12 
[19148] SET_SELL_TRIGGER,D6zA2CRl22,JRJ,225.89 
[19316] QUOTE,D6zA2CRl22,LPR 
[19332] SET_BUY_TRIGGER,D6zA2CRl22,DTG,124.36 
[19340] ADD,D6zA2CRl22,72666.40 
[19344] QUOTE,D6zA2CRl22,SKY 
[19513] BUY,D6zA2CRl22,AJX,740.89 
[19589] CANCEL_BUY,D6zA2CRl22 
[19722] QUOTE,D6zA2CRl22,NDD 
[19735] QUOTE,D6zA2CRl22,OOV 
[20210] CANCEL_SET_SELL,D6zA2CRl22,SAJ 
[20289] BUY,D6zA2CRl22,PBX,691.36 
[20340] COMMIT_BUY,D6zA2CRl22 
[20794] SET_SELL_TRIGGER,D6zA2CRl22,ZEU,6.72 
[20889] ADD,D6zA2CRl22,70297.38 
[21190] QUOTE,D6zA2CRl22,AVH 
[21336] QUOTE,D6zA2CRl22,IRQ 
[21392] BUY,D6zA2CRl22,ZEG,22.95 
[21493] CANCEL_BUY,D6zA2CRl22 
[21512] CANCEL_BUY,D6zA2CRl22 
[21798] ADD,D6zA2CRl22,52915.31 
[21820] QUOTE,D6zA2CRl22,XZN 
[21850] QUOTE,D6zA2CRl22,SYT 
[21899] SET_BUY_AMOUNT,D6zA2CRl22,OEY,704.10 
[22208] SET_BUY_TRIGGER,D6zA2CRl22,MDZ,568.46 
[22214] SELL,D6zA2CRl22,KDA,256.17 
[22413] CANCEL_SET_BUY,D6zA2CRl22,YBO 
[22441] SELL,D6zA2CRl22,GYF,425.76 
[22452] COMMIT_SELL,D6zA2CRl22 
[22464] DISPLAY_SUMMARY,D6zA2CRl22 
[22515] SET_BUY_AMOUNT,D6zA2CRl22,JQO,699.88 
[22531] SET_BUY_TRIGGER,D6zA2CRl22,EVR,184.17 
[22598] QUOTE,D6zA2CRl22,GJR 
[22952] ADD,D6zA2CRl22,70670.64 
[23044] QUOTE,D6zA2CRl22,ZNW 
[23147] CANCEL_SELL,D6zA2CRl22 
[23237] DISPLAY_SUMMARY,D6zA2CRl22 
[23300] QUOTE,D6zA2CRl22,KGV 
[23415] BUY,D6zA2CRl22,MWB,46.85 
[23530] SELL,D6zA2CRl22,JVT,384.20 
[23676] COMMIT_SELL,D6zA2CRl22 
[23683] BUY,D6zA2CRl22,JLK,530.89 
[23943] COMMIT_BUY,D6zA2CRl22 
[23988] DISPLAY_SUMMARY,D6zA2CRl22 
[24111] CANCEL_SELL,D6zA2CRl22 
[24609] COMMIT_SELL,D6zA2CRl22 
[24885] SELL,D6zA2CRl22,KDA,380.21 
[24974] COMMIT_SELL,D6zA2CRl22 
[25014] ADD,D6zA2CRl22,80631.47 
[25079] BUY,D6zA2CRl22,FZB,530.43 
[25097] BUY,D6zA2CRl22,JUG,72.89 
[25197] BUY,D6zA2CRl22,TKM,212.85 
[25356] DISPLAY_SUMMARY,D6zA2CRl22 
[25443] SET_BUY_TRIGGER,D6zA2CRl22,BTP,52.76 
[25589] SET_BUY_AMOUNT,D6zA2CRl22,LFU,295.79 
[25632] SELL,D6zA2CRl22,FQP,515.15 
[25796] SET_BUY_TRIGGER,D6zA2CRl22,KJH,75.96 
[25823] ADD,D6zA2CRl22,72922.41 
[25864] QUOTE,D6zA2CRl22,MQP 
[25920] SET_BUY_TRIGGER,D6zA2CRl22,UJC,2.86 
[26218] DISPLAY_SUMMARY,D6zA2CRl22 
[26313] DISPLAY_SUMMARY,D6zA2CRl22 
[26372] SET_BUY_AMOUNT,D6zA2CRl22,GYF,28.39 
[26397] SET_BUY_TRIGGER,D6zA2CRl22,VYQ,6.01 
[26491] QUOTE,D6zA2CRl22,LKV 
[26529] QUOTE,D6zA2CRl22,QOQ 
[26639] DISPLAY_SUMMARY,D6zA2CRl22 
[26681] BUY,D6zA2CRl22,HBF,366.20 
[26807] COMMIT_BUY,D6zA2CRl22 
[26887] BUY,D6zA2CRl22,LEA,253.04 
[26951] COMMIT_BUY,D6zA2CRl22 
[27458] ADD,D6zA2CRl22,82862.76 
[27733] BUY,D6zA2CRl22,JDO,91.52 
[27954] COMMIT_BUY,D6zA2CRl22 
[27985] ADD,D6zA2CRl22,74275.01 
[28203] CANCEL_BUY,D6zA2CRl22 
[28287] ADD,D6zA2CRl22,47889.61 
[28352] BUY,D6zA2CRl22,ZQW,253.85 
[28512] CANCEL_BUY,D6zA2CRl22 
[28708] BUY,D6zA2CRl22,XCL,567.65 
[28796] SET_BUY_TRIGGER,D6zA2CRl22,NQU,185.82 
[28820] SET_BUY_AMOUNT,D6zA2CRl22,JQO,743.10 
[28861] SET_BUY_TRIGGER,D6zA2CRl22,MHQ,705.87 
[28901] SET_SELL_TRIGGER,D6zA2CRl22,MWM,155.71 
[29122] ADD,D6zA2CRl22,78329.74 
[29300] QUOTE,D6zA2CRl22,LUT 
[29445] SET_BUY_TRIGGER,D6zA2CRl22,SKY,123.05 
[29541] DISPLAY_SUMMARY,D6zA2CRl22 
[29694] SET_SELL_TRIGGER,D6zA2CRl22,NTB,84.68 
[29721] BUY,D6zA2CRl22,POE,63.50 
[29801] SET_SELL_AMOUNT,D6zA2CRl22,GYF,230.92 
[29810] SET_SELL_TRIGGER,D6zA2CRl22,GYF,86.11 
[29870] SELL,D6zA2CRl22,CUZ,303.76 
[30044] QUOTE,D6zA2CRl22,BVN 
[30153] DISPLAY_SUMMARY,D6zA2CRl22 
[30192] SELL,D6zA2CRl22,JRJ,144.97 
[30283] COMMIT_SELL,D6zA2CRl22 
[30298] QUOTE,D6zA2CRl22,ZHB 
[30336] QUOTE,D6zA2CRl22,OEN 
[30683] SET_BUY_TRIGGER,D6zA2CRl22,CBO,64.88 
[30722] ADD,D6zA2CRl22,60527.17 
[30729] QUOTE,D6zA2CRl22,EDW 
[30809] BUY,D6zA2CRl22,RQL,647.12 
[30959] COMMIT_BUY,D6zA2CRl22 
[30967] CANCEL_SET_SELL,D6zA2CRl22,YVX 
[31000] SET_SELL_TRIGGER,D6zA2CRl22,BXH,123.48 
[31024] CANCEL_BUY,D6zA2CRl22 
[31030] QUOTE,D6zA2CRl22,YZC 
[31074] QUOTE,D6zA2CRl22,RGM 
[31093] BUY,D6zA2CRl22,JMG,735.67 
[31192] CANCEL_SET_SELL,D6zA2CRl22,DMW 
[31225] SET_SELL_TRIGGER,D6zA2CRl22,RXB,126.37 
[31317] DISPLAY_SUMMARY,D6zA2CRl22 
[31417] QUOTE,D6zA2CRl22,WRN 
[31455] COMMIT_BUY,D6zA2CRl22 
[31698] SET_BUY_TRIGGER,D6zA2CRl22,ZCQ,163.80 
[31780] DISPLAY_SUMMARY,D6zA2CRl22 
[31818] ADD,D6zA2CRl22,87568.48 
[31939] BUY,D6zA2CRl22,IFN,571.39 
[31982] COMMIT_BUY,D6zA2CRl22 
[32066] SET_BUY_TRIGGER,D6zA2CRl22,WJB,51.54 
[32279] ADD,D6zA2CRl22,77129.12 
[32286] COMMIT_SELL,D6zA2CRl22 
[32326] SET_SELL_TRIGGER,D6zA2CRl22,TYV,154.30 
[32403] ADD,D6zA2CRl22,52777.73 
[32553] QUOTE,D6zA2CRl22,EAK 
[32599] CANCEL_SELL,D6zA2CRl22 
[32837] DISPLAY_SUMMARY,D6zA2CRl22 
[32874] SET_BUY_AMOUNT,D6zA2CRl22,ZAN,367.15 
[32904] SET_BUY_TRIGGER,D6zA2CRl22,ZOW,319.62 
[32994] COMMIT_SELL,D6zA2CRl22 
[33006] QUOTE,D6zA2CRl22,CBV 
[33009] BUY,D6zA2CRl22,QPE,745.51 
[33171] CANCEL_BUY,D6zA2CRl22 
[33429] SELL,D6zA2CRl22,RUN,647.26 
[33466] ADD,D6zA2CRl22,76366.77 
[33469] QUOTE,D6zA2CRl22,XLK 
[33531] QUOTE,D6zA2CRl22,IVV 
[33553] QUOTE,D6zA2CRl22,SSL 
[33839] DISPLAY_SUMMARY,D6zA2CRl22 
[34215] ADD,D6zA2CRl22,57073.38 
[34330] QUOTE,D6zA2CRl22,VGW 
[34344] QUOTE,D6zA2CRl22,EGX 
[34364] BUY,D6zA2CRl22,GJQ,143.66 
[34641] COMMIT_BUY,D6zA2CRl22 
[34691] DISPLAY_SUMMARY,D6zA2CRl22 
[34791] SET_BUY_TRIGGER,D6zA2CRl22,VUS,103.05 
[34792] CANCEL_BUY,D6zA2CRl22 
[34796] SET_SELL_TRIGGER,D6zA2CRl22,FUR,182.00 
[34830] SET_SELL_TRIGGER,D6zA2CRl22,POE,99.00 
[34837] SET_SELL_TRIGGER,D6zA2CRl22,BZH,180.76 
[34990] SET_BUY_AMOUNT,D6zA2CRl22,QAX,13.27 
[35032] SET_BUY_TRIGGER,D6zA2CRl22,SWJ,11.59 
[35178] SET_BUY_AMOUNT,D6zA2CRl22,DFE,576.72 
[35373] SET_BUY_TRIGGER,D6zA2CRl22,GCW,372.62 
[35422] SET_SELL_AMOUNT,D6zA2CRl22,JCQ,691.16 
[35458] SET_SELL_TRIGGER,D6zA2CRl22,JCQ,629.80 
[35709] ADD,D6zA2CRl22,72030.64 
[35851] CANCEL_SET_SELL,D6zA2CRl22,WAI 
[35852] COMMIT_BUY,D6zA2CRl22 
[35922] DISPLAY_SUMMARY,D6zA2CRl22 
[36286] DISPLAY_SUMMARY,D6zA2CRl22 
[36328] SET_BUY_AMOUNT,D6zA2CRl22,RUN,432.97 
[36437] SET_BUY_TRIGGER,D6zA2CRl22,RWM,364.11 
[36499] BUY,D6zA2CRl22,SFR,142.65 
[36565] COMMIT_BUY,D6zA2CRl22 
[36603] ADD,D6zA2CRl22,84219.65 
[36671] CANCEL_SET_BUY,D6zA2CRl22,IBT 
[37020] SET_SELL_AMOUNT,D6zA2CRl22,QJZ,42.89 
[37087] SET_SELL_TRIGGER,D6zA2CRl22,QJZ,41.48 
[37160] SET_BUY_TRIGGER,D6zA2CRl22,FKI,66.70 
[37188] SELL,D6zA2CRl22,LFU,104.44 
[37201] COMMIT_SELL,D6zA2CRl22 
[37247] SELL,D6zA2CRl22,BYA,348.61 
[37341] CANCEL_SELL,D6zA2CRl22 
[37465] SET_BUY_TRIGGER,D6zA2CRl22,PCR,189.26 
[37540] COMMIT_SELL,D6zA2CRl22 
[37606] SET_BUY_TRIGGER,D6zA2CRl22,JQG,136.83 
[37688] SET_SELL_TRIGGER,D6zA2CRl22,BXH,53.53 
[37737] SET_BUY_AMOUNT,D6zA2CRl22,RUN,32.45 
[37764] BUY,D6zA2CRl22,DLX,42.30 
[37777] COMMIT_BUY,D6zA2CRl22 
[37959] SELL,D6zA2CRl22,JQO,351.58 
[38059] COMMIT_SELL,D6zA2CRl22 
[38289] SET_SELL_TRIGGER,D6zA2CRl22,XNZ,30.62 
[38407] COMMIT_SELL,D6zA2CRl22 
[38421] DISPLAY_SUMMARY,D6zA2CRl22 
[38556] DISPLAY_SUMMARY,D6zA2CRl22 
[38568] QUOTE,D6zA2CRl22,NJB 
[38604] BUY,D6zA2CRl22,MHI,268.06 
[38680] COMMIT_BUY,D6zA2CRl22 
[38697] BUY,D6zA2CRl22,IOY,456.70 
[38825] SET_BUY_AMOUNT,D6zA2CRl22,UTV,624.92 
[39230] SET_BUY_TRIGGER,D6zA2CRl22,HDR,83.51 
[39270] BUY,D6zA2CRl22,CCH,58.47 
[39287] COMMIT_BUY,D6zA2CRl22 
[39296] CANCEL_SELL,D6zA2CRl22 
[39425] SET_SELL_TRIGGER,D6zA2CRl22,TJL,18.37 
[39437] ADD,D6zA2CRl22,75847.18 
[39550] ADD,D6zA2CRl22,85596.92 
[39566] BUY,D6zA2CRl22,KHD,312.75 
[39993] COMMIT_BUY,D6zA2CRl22 
[40112] DISPLAY_SUMMARY,D6zA2CRl22 
[40114] SET_BUY_AMOUNT,D6zA2CRl22,ZAN,427.44 
[40244] SET_BUY_TRIGGER,D6zA2CRl22,CWA,43.12 
[40317] CANCEL_SET_SELL,D6zA2CRl22,XTH 
[40443] SET_BUY_TRIGGER,D6zA2CRl22,MMF,11.29 
[40482] BUY,D6zA2CRl22,JHY,471.28 
[40721] CANCEL_BUY,D6zA2CRl22 
[40955] SET_SELL_AMOUNT,D6zA2CRl22,JVT,294.57 
[41027] SET_SELL_TRIGGER,D6zA2CRl22,JVT,200.74 
[41094] ADD,D6zA2CRl22,66089.90 
[41136] QUOTE,D6zA2CRl22,ECL 
[41183] SET_BUY_AMOUNT,D6zA2CRl22,RGH,142.38 
[41229] SET_BUY_TRIGGER,D6zA2CRl22,QPE,138.21 
[41291] QUOTE,D6zA2CRl22,JDO 
[41308] SET_SELL_AMOUNT,D6zA2CRl22,ZAN,188.94 
[41360] SET_SELL_TRIGGER,D6zA2CRl22,ZAN,95.13 
[41482] QUOTE,D6zA2CRl22,SSW 
[41599] SET_BUY_AMOUNT,D6zA2CRl22,JQO,174.69 
[41768] SET_BUY_TRIGGER,D6zA2CRl22,OSA,43.80 
[41857] SELL,D6zA2CRl22,JRJ,404.96 
[42052] COMMIT_SELL,D6zA2CRl22 
[42061] ADD,D6zA2CRl22,96336.91 
[42262] QUOTE,D6zA2CRl22,EGB 
[42277] QUOTE,D6zA2CRl22,OAS 
[42388] BUY,D6zA2CRl22,OEX,266.39 
[42495] COMMIT_BUY,D6zA2CRl22 
[42571] SELL,D6zA2CRl22,JVT,452.36 
[43519] COMMIT_BUY,D6zA2CRl22 
[43671] BUY,D6zA2CRl22,LLE,150.79 
[43863] CANCEL_SET_SELL,D6zA2CRl22,EGB 
[43915] SET_BUY_TRIGGER,D6zA2CRl22,TVP,187.48 
[43937] DISPLAY_SUMMARY,D6zA2CRl22 
[43975] QUOTE,D6zA2CRl22,WRN 
[44013] QUOTE,D6zA2CRl22,ZRH 
[44088] QUOTE,D6zA2CRl22,LMO 
[44157] DISPLAY_SUMMARY,D6zA2CRl22 
[44209] SET_SELL_TRIGGER,D6zA2CRl22,ECL,131.55 
[44255] CANCEL_SELL,D6zA2CRl22 
[44456] SET_BUY_TRIGGER,D6zA2CRl22,MFY,174.86 
[44590] CANCEL_SELL,D6zA2CRl22 
[44655] ADD,D6zA2CRl22,47292.07 
[44663] BUY,D6zA2CRl22,DTG,2.51 
[44715] COMMIT_BUY,D6zA2CRl22 
[44911] QUOTE,D6zA2CRl22,QPX 
[45240] ADD,D6zA2CRl22,92423.28 
[45261] BUY,D6zA2CRl22,MWB,214.03 
[45339] CANCEL_BUY,D6zA2CRl22 
[45397] SELL,D6zA2CRl22,FQP,157.00 
[45441] COMMIT_SELL,D6zA2CRl22 
[45446] CANCEL_SET_SELL,D6zA2CRl22,ULL 
[45667] BUY,D6zA2CRl22,AJR,379.77 
[45693] DISPLAY_SUMMARY,D6zA2CRl22 
[45736] SET_SELL_AMOUNT,D6zA2CRl22,PTP,336.99 
[45755] SET_SELL_TRIGGER,D6zA2CRl22,PTP,87.22 
[45879] SET_BUY_AMOUNT,D6zA2CRl22,PTP,630.58 
[46042] SET_BUY_TRIGGER,D6zA2CRl22,YUL,57.11 
[46049] DISPLAY_SUMMARY,D6zA2CRl22 
[46079] DISPLAY_SUMMARY,D6zA2CRl22 
[46101] DISPLAY_SUMMARY,D6zA2CRl22 
[46247] DISPLAY_SUMMARY,D6zA2CRl22 
[46388] BUY,D6zA2CRl22,NDO,92.36 
[46565] COMMIT_BUY,D6zA2CRl22 
[46609] ADD,D6zA2CRl22,99610.99 
[47012] QUOTE,D6zA2CRl22,LCP 
[47280] QUOTE,D6zA2CRl22,RKQ 
[47363] QUOTE,D6zA2CRl22,VFH 
[47398] ADD,D6zA2CRl22,73041.13 
[47480] CANCEL_SET_SELL,D6zA2CRl22,YNY 
[47674] QUOTE,D6zA2CRl22,MOM 
[47756] CANCEL_BUY,D6zA2CRl22 
[47843] ADD,D6zA2CRl22,42928.79 
[47908] BUY,D6zA2CRl22,LKV,340.33 
[47917] CANCEL_BUY,D6zA2CRl22 
[48017] SET_BUY_AMOUNT,D6zA2CRl22,KES,78.98 
[48115] SET_BUY_TRIGGER,D6zA2CRl22,BPK,6.54 
[48162] QUOTE,D6zA2CRl22,YPW 
[48186] BUY,D6zA2CRl22,XLV,581.19 
[48296] CANCEL_SELL,D6zA2CRl22 
[48338] DISPLAY_SUMMARY,D6zA2CRl22 
[48353] ADD,D6zA2CRl22,76214.30 
[48435] QUOTE,D6zA2CRl22,QGE 
[48443] SET_BUY_TRIGGER,D6zA2CRl22,WAO,84.51 
[48463] ADD,D6zA2CRl22,82349.57 
[48657] BUY,D6zA2CRl22,PHJ,485.37 
[48694] COMMIT_BUY,D6zA2CRl22 
[48796] SET_BUY_AMOUNT,D6zA2CRl22,ZYR,420.55 
[48896] CANCEL_SET_BUY,D6zA2CRl22,ALG 
[49079] SET_BUY_AMOUNT,D6zA2CRl22,BYA,38.08 
[49116] SET_BUY_TRIGGER,D6zA2CRl22,SWD,16.61 
[49536] BUY,D6zA2CRl22,LJZ,447.00 
[49553] COMMIT_BUY,D6zA2CRl22 
[49974] SET_BUY_TRIGGER,D6zA2CRl22,OYX,100.79 
[50173] SET_SELL_AMOUNT,D6zA2CRl22,LFU,625.85 
