[100] ADD,28VL4WCD6l,58625.14 
[15707] COMMIT_SELL,28VL4WCD6l 
[15747] DISPLAY_SUMMARY,28VL4WCD6l 
[15999] BUY,28VL4WCD6l,ZQW,389.76 
[16029] CANCEL_BUY,28VL4WCD6l 
[16067] BUY,28VL4WCD6l,KVK,259.17 
[16148] QUOTE,28VL4WCD6l,GLO 
[16190] ADD,28VL4WCD6l,73193.96 
[16303] BUY,28VL4WCD6l,IZU,429.90 
[16316] QUOTE,28VL4WCD6l,QGE 
[16448] BUY,28VL4WCD6l,WYR,699.87 
[16488] COMMIT_BUY,28VL4WCD6l 
[16567] SET_BUY_TRIGGER,28VL4WCD6l,DWU,53.86 
[16608] ADD,28VL4WCD6l,51671.40 
[16670] QUOTE,28VL4WCD6l,VVV 
[17063] QUOTE,28VL4WCD6l,OIV 
[17156] BUY,28VL4WCD6l,BHJ,17.46 
[17158] COMMIT_BUY,28VL4WCD6l 
[17273] CANCEL_SET_SELL,28VL4WCD6l,URD 
[17425] BUY,28VL4WCD6l,MQX,178.44 
[17448] COMMIT_BUY,28VL4WCD6l 
[17485] ADD,28VL4WCD6l,79095.60 
[17555] BUY,28VL4WCD6l,MIU,98.85 
[17682] CANCEL_SELL,28VL4WCD6l 
[17802] ADD,28VL4WCD6l,74558.58 
[17863] BUY,28VL4WCD6l,PUN,285.53 
[17911] COMMIT_BUY,28VL4WCD6l 
[18110] ADD,28VL4WCD6l,93966.36 
[18669] QUOTE,28VL4WCD6l,GLO 
[18705] SET_BUY_AMOUNT,28VL4WCD6l,UTV,392.39 
[18754] SET_BUY_TRIGGER,28VL4WCD6l,AJX,211.17 
[18755] CANCEL_SET_BUY,28VL4WCD6l,SAJ 
[18802] COMMIT_BUY,28VL4WCD6l 
[18885] SET_BUY_TRIGGER,28VL4WCD6l,YBP,49.56 
[18971] ADD,28VL4WCD6l,63584.93 
[18978] QUOTE,28VL4WCD6l,TXB 
[19046] QUOTE,28VL4WCD6l,VND 
[19081] SELL,28VL4WCD6l,JRJ,605.26 
[19168] SET_BUY_AMOUNT,28VL4WCD6l,GYF,330.04 
[19175] SET_BUY_TRIGGER,28VL4WCD6l,MAX,235.11 
[19228] BUY,28VL4WCD6l,OTD,468.51 
[19253] CANCEL_SET_SELL,28VL4WCD6l,SJZ 
[19365] SET_BUY_TRIGGER,28VL4WCD6l,EOS,66.50 
[19473] BUY,28VL4WCD6l,JXR,398.68 
[19484] COMMIT_BUY,28VL4WCD6l 
[19654] SET_BUY_TRIGGER,28VL4WCD6l,ZGC,179.44 
[19664] DISPLAY_SUMMARY,28VL4WCD6l 
[19749] ADD,28VL4WCD6l,61600.23 
[19765] SELL,28VL4WCD6l,FQP,50.55 
[19856] COMMIT_SELL,28VL4WCD6l 
[19997] ADD,28VL4WCD6l,61440.57 
[20010] BUY,28VL4WCD6l,CTI,100.58 
[20152] SELL,28VL4WCD6l,QJZ,321.00 
[20175] COMMIT_SELL,28VL4WCD6l 
[20221] CANCEL_SET_SELL,28VL4WCD6l,HDR 
[20229] QUOTE,28VL4WCD6l,HVE 
[20246] SELL,28VL4WCD6l,OEY,491.26 
[20319] COMMIT_SELL,28VL4WCD6l 
[20563] DISPLAY_SUMMARY,28VL4WCD6l 
[20574] SET_SELL_TRIGGER,28VL4WCD6l,FKI,87.67 
[20601] SET_SELL_AMOUNT,28VL4WCD6l,JVT,291.08 
[20604] QUOTE,28VL4WCD6l,MHQ 
[20660] SET_BUY_TRIGGER,28VL4WCD6l,SJG,48.77 
[20779] SET_BUY_AMOUNT,28VL4WCD6l,JRJ,281.52 
[20799] SELL,28VL4WCD6l,KDA,227.65 
[20944] SELL,28VL4WCD6l,KDA,715.73 
[20955] COMMIT_SELL,28VL4WCD6l 
[21016] SET_BUY_AMOUNT,28VL4WCD6l,GYF,544.33 
[21114] SET_BUY_TRIGGER,28VL4WCD6l,UTL,152.69 
[21311] ADD,28VL4WCD6l,64446.05 
[21312] BUY,28VL4WCD6l,XMA,501.99 
[21469] QUOTE,28VL4WCD6l,YTT 
[21573] QUOTE,28VL4WCD6l,JSM 
[21646] BUY,28VL4WCD6l,JOJ,436.11 
[21661] COMMIT_BUY,28VL4WCD6l 
[21684] SELL,28VL4WCD6l,ZAN,356.21 
[21885] SET_SELL_AMOUNT,28VL4WCD6l,UTV,299.08 
[22016] SELL,28VL4WCD6l,BYA,457.78 
[22089] CANCEL_SELL,28VL4WCD6l 
[22169] COMMIT_SELL,28VL4WCD6l 
[22309] BUY,28VL4WCD6l,YWK,662.07 
[22473] SET_BUY_TRIGGER,28VL4WCD6l,AOU,67.48 
[22532] CANCEL_BUY,28VL4WCD6l 
[22554] BUY,28VL4WCD6l,VYQ,128.21 
[22579] ADD,28VL4WCD6l,73831.25 
[22719] BUY,28VL4WCD6l,WRJ,4.05 
[22732] CANCEL_SET_SELL,28VL4WCD6l,UTV 
[22816] BUY,28VL4WCD6l,QPE,696.73 
[22857] QUOTE,28VL4WCD6l,IEQ 
[22884] COMMIT_BUY,28VL4WCD6l 
[22903] SET_BUY_TRIGGER,28VL4WCD6l,GCW,126.89 
[22944] QUOTE,28VL4WCD6l,GRM 
[22945] BUY,28VL4WCD6l,NHG,21.05 
[23365] CANCEL_SET_SELL,28VL4WCD6l,YRO 
[23432] SET_SELL_AMOUNT,28VL4WCD6l,EBS,254.09 
[23545] QUOTE,28VL4WCD6l,AEM 
[23671] BUY,28VL4WCD6l,WLT,551.89 
[23698] SELL,28VL4WCD6l,UTV,469.78 
[23714] COMMIT_SELL,28VL4WCD6l 
[23903] SELL,28VL4WCD6l,KDA,270.66 
[24096] COMMIT_SELL,28VL4WCD6l 
[24118] DISPLAY_SUMMARY,28VL4WCD6l 
[24194] SELL,28VL4WCD6l,QAX,600.71 
[24237] COMMIT_SELL,28VL4WCD6l 
[24283] QUOTE,28VL4WCD6l,MGK 
[24371] SET_BUY_TRIGGER,28VL4WCD6l,ADY,129.88 
[24390] QUOTE,28VL4WCD6l,RDK 
[24651] SET_BUY_TRIGGER,28VL4WCD6l,SQI,197.44 
[24652] DISPLAY_SUMMARY,28VL4WCD6l 
[25091] SET_BUY_TRIGGER,28VL4WCD6l,RRZ,117.59 
[25191] DISPLAY_SUMMARY,28VL4WCD6l 
[25225] ADD,28VL4WCD6l,75664.12 
[25281] SET_SELL_AMOUNT,28VL4WCD6l,JCQ,399.15 
[25383] SET_SELL_TRIGGER,28VL4WCD6l,JCQ,252.10 
[25537] DISPLAY_SUMMARY,28VL4WCD6l 
[25541] DISPLAY_SUMMARY,28VL4WCD6l 
[25604] SET_SELL_AMOUNT,28VL4WCD6l,OEY,661.08 
[25642] SET_SELL_TRIGGER,28VL4WCD6l,OEY,319.14 
[25891] BUY,28VL4WCD6l,MVI,652.13 
[26019] CANCEL_SET_SELL,28VL4WCD6l,MOS 
[26114] SELL,28VL4WCD6l,QAX,108.64 
[26196] COMMIT_SELL,28VL4WCD6l 
[26300] DISPLAY_SUMMARY,28VL4WCD6l 
[26307] SELL,28VL4WCD6l,JVT,234.50 
[26393] SET_SELL_AMOUNT,28VL4WCD6l,CUZ,626.63 
[26594] SET_SELL_TRIGGER,28VL4WCD6l,CUZ,335.18 
[26641] SET_BUY_TRIGGER,28VL4WCD6l,SSL,188.64 
[26786] ADD,28VL4WCD6l,57019.42 
[27045] QUOTE,28VL4WCD6l,SKC 
[27073] QUOTE,28VL4WCD6l,PHU 
[27335] SET_BUY_TRIGGER,28VL4WCD6l,WZM,187.92 
[27464] CANCEL_SET_BUY,28VL4WCD6l,JPD 
[27482] SELL,28VL4WCD6l,JRJ,241.32 
[27562] COMMIT_SELL,28VL4WCD6l 
[27970] ADD,28VL4WCD6l,89617.89 
[28159] QUOTE,28VL4WCD6l,TOL 
[28406] ADD,28VL4WCD6l,80405.09 
[28435] QUOTE,28VL4WCD6l,AHO 
[28923] CANCEL_BUY,28VL4WCD6l 
[29201] SET_SELL_AMOUNT,28VL4WCD6l,FQP,12.61 
[29256] SET_SELL_TRIGGER,28VL4WCD6l,FQP,11.99 
[29288] SET_BUY_AMOUNT,28VL4WCD6l,JQO,686.93 
[29369] SET_BUY_TRIGGER,28VL4WCD6l,OXV,231.95 
[29382] BUY,28VL4WCD6l,HDR,502.03 
[29432] COMMIT_BUY,28VL4WCD6l 
[29576] CANCEL_SET_BUY,28VL4WCD6l,SAN 
[29602] SELL,28VL4WCD6l,RUN,617.00 
[29603] QUOTE,28VL4WCD6l,DLX 
[29607] BUY,28VL4WCD6l,FFI,213.08 
[29656] CANCEL_SELL,28VL4WCD6l 
[29661] CANCEL_SET_SELL,28VL4WCD6l,BTP 
[29704] QUOTE,28VL4WCD6l,DWU 
[29815] BUY,28VL4WCD6l,SPL,650.22 
[29848] COMMIT_SELL,28VL4WCD6l 
[30089] ADD,28VL4WCD6l,78392.12 
[30279] BUY,28VL4WCD6l,OBO,635.55 
[30445] COMMIT_BUY,28VL4WCD6l 
[30570] CANCEL_BUY,28VL4WCD6l 
[30656] SET_BUY_TRIGGER,28VL4WCD6l,YDD,38.79 
[30784] CANCEL_SET_BUY,28VL4WCD6l,WYO 
[30945] ADD,28VL4WCD6l,68782.68 
[31019] QUOTE,28VL4WCD6l,BDX 
[31086] BUY,28VL4WCD6l,XLI,47.30 
[31150] CANCEL_BUY,28VL4WCD6l 
[31312] ADD,28VL4WCD6l,63373.74 
[31388] BUY,28VL4WCD6l,KLY,617.76 
[31412] ADD,28VL4WCD6l,85484.17 
[31414] BUY,28VL4WCD6l,GAN,370.96 
[31444] COMMIT_BUY,28VL4WCD6l 
[31566] BUY,28VL4WCD6l,FSD,526.51 
[31742] ADD,28VL4WCD6l,55395.34 
[31902] BUY,28VL4WCD6l,IPH,304.32 
[32151] COMMIT_SELL,28VL4WCD6l 
[32281] SELL,28VL4WCD6l,KDA,362.01 
[32283] SET_BUY_AMOUNT,28VL4WCD6l,JQO,408.15 
[32291] QUOTE,28VL4WCD6l,CTS 
[32453] QUOTE,28VL4WCD6l,DHA 
[32478] QUOTE,28VL4WCD6l,XXT 
[32509] CANCEL_BUY,28VL4WCD6l 
[32514] CANCEL_SELL,28VL4WCD6l 
[32522] SET_SELL_AMOUNT,28VL4WCD6l,KES,554.93 
[32715] SET_SELL_TRIGGER,28VL4WCD6l,KES,499.29 
[32950] SET_SELL_AMOUNT,28VL4WCD6l,EBS,195.48 
[32998] CANCEL_SET_SELL,28VL4WCD6l,EBS 
[33015] SELL,28VL4WCD6l,OEY,339.55 
[33228] COMMIT_BUY,28VL4WCD6l 
[33312] SET_SELL_TRIGGER,28VL4WCD6l,WKG,140.68 
[33742] DISPLAY_SUMMARY,28VL4WCD6l 
[33814] SET_SELL_AMOUNT,28VL4WCD6l,JCQ,342.77 
[33913] CANCEL_SET_SELL,28VL4WCD6l,JCQ 
[34026] SELL,28VL4WCD6l,QJZ,454.73 
[34031] COMMIT_SELL,28VL4WCD6l 
[34039] BUY,28VL4WCD6l,OEY,566.44 
[34108] CANCEL_BUY,28VL4WCD6l 
[34126] SELL,28VL4WCD6l,NHG,618.40 
[34129] COMMIT_SELL,28VL4WCD6l 
[34315] DISPLAY_SUMMARY,28VL4WCD6l 
[34356] SELL,28VL4WCD6l,DFE,326.21 
[34368] SET_BUY_TRIGGER,28VL4WCD6l,CXB,214.82 
[34512] CANCEL_BUY,28VL4WCD6l 
[34682] SET_SELL_TRIGGER,28VL4WCD6l,OSA,1.24 
[34957] SELL,28VL4WCD6l,FQP,10.32 
[35013] SET_SELL_TRIGGER,28VL4WCD6l,VSE,63.55 
[35110] SELL,28VL4WCD6l,DFE,436.95 
[35138] COMMIT_SELL,28VL4WCD6l 
[35147] ADD,28VL4WCD6l,74848.53 
[35371] BUY,28VL4WCD6l,GNY,577.71 
[35723] COMMIT_BUY,28VL4WCD6l 
[35984] DISPLAY_SUMMARY,28VL4WCD6l 
[36018] BUY,28VL4WCD6l,IBT,250.81 
[36054] CANCEL_SET_SELL,28VL4WCD6l,LJZ 
[36147] SET_SELL_AMOUNT,28VL4WCD6l,QJZ,285.47 
[36167] CANCEL_SET_SELL,28VL4WCD6l,QJZ 
[36361] ADD,28VL4WCD6l,83322.84 
[36476] COMMIT_BUY,28VL4WCD6l 
[36488] ADD,28VL4WCD6l,74869.39 
[36727] BUY,28VL4WCD6l,MFX,643.22 
[36755] COMMIT_BUY,28VL4WCD6l 
[36798] SET_BUY_AMOUNT,28VL4WCD6l,ZTI,277.84 
[36930] SET_BUY_TRIGGER,28VL4WCD6l,OPN,129.70 
[36950] BUY,28VL4WCD6l,JDO,17.19 
[36957] COMMIT_BUY,28VL4WCD6l 
[36968] QUOTE,28VL4WCD6l,MQX 
[37007] SELL,28VL4WCD6l,LFU,707.57 
[37036] COMMIT_SELL,28VL4WCD6l 
[37053] SET_BUY_AMOUNT,28VL4WCD6l,BCQ,55.76 
[37077] SET_BUY_TRIGGER,28VL4WCD6l,DVA,32.61 
[37221] ADD,28VL4WCD6l,80225.51 
[37324] QUOTE,28VL4WCD6l,GLO 
[37331] SET_BUY_AMOUNT,28VL4WCD6l,BYA,498.02 
[37890] SET_BUY_TRIGGER,28VL4WCD6l,STQ,216.41 
[37891] ADD,28VL4WCD6l,70323.86 
[37902] BUY,28VL4WCD6l,NJI,159.61 
[37972] COMMIT_BUY,28VL4WCD6l 
[37999] DISPLAY_SUMMARY,28VL4WCD6l 
[38109] ADD,28VL4WCD6l,38129.20 
[38323] BUY,28VL4WCD6l,DMS,668.54 
[38502] COMMIT_BUY,28VL4WCD6l 
[38545] QUOTE,28VL4WCD6l,STQ 
[38608] BUY,28VL4WCD6l,IFU,208.60 
[38639] QUOTE,28VL4WCD6l,JUJ 
[38692] SET_BUY_AMOUNT,28VL4WCD6l,GYF,352.17 
[38768] SET_BUY_TRIGGER,28VL4WCD6l,OWH,244.88 
[38789] BUY,28VL4WCD6l,MVI,267.95 
[38793] SET_SELL_TRIGGER,28VL4WCD6l,VUS,36.68 
[38856] DISPLAY_SUMMARY,28VL4WCD6l 
[38938] ADD,28VL4WCD6l,65033.65 
[38969] QUOTE,28VL4WCD6l,HGG 
[39125] ADD,28VL4WCD6l,78357.68 
[39174] BUY,28VL4WCD6l,LSM,126.50 
[39509] COMMIT_BUY,28VL4WCD6l 
[39535] SET_BUY_AMOUNT,28VL4WCD6l,BYA,355.24 
[39538] CANCEL_SET_BUY,28VL4WCD6l,BBD 
[39743] BUY,28VL4WCD6l,XAN,647.70 
[39760] COMMIT_BUY,28VL4WCD6l 
[39791] SET_BUY_TRIGGER,28VL4WCD6l,STT,80.46 
[39864] CANCEL_SELL,28VL4WCD6l 
[40017] SET_SELL_AMOUNT,28VL4WCD6l,RNK,48.57 
[40134] SET_SELL_TRIGGER,28VL4WCD6l,RNK,31.97 
[40229] CANCEL_BUY,28VL4WCD6l 
[40553] ADD,28VL4WCD6l,78593.43 
[40572] BUY,28VL4WCD6l,XOM,346.11 
[40671] CANCEL_BUY,28VL4WCD6l 
[40845] ADD,28VL4WCD6l,76682.01 
[40856] QUOTE,28VL4WCD6l,JHY 
[40890] QUOTE,28VL4WCD6l,YZC 
[40959] CANCEL_SET_SELL,28VL4WCD6l,PUO 
[41096] ADD,28VL4WCD6l,85535.28 
[41144] DISPLAY_SUMMARY,28VL4WCD6l 
[41200] BUY,28VL4WCD6l,MXN,538.73 
[41241] COMMIT_BUY,28VL4WCD6l 
[41289] BUY,28VL4WCD6l,QPE,423.01 
[41436] COMMIT_BUY,28VL4WCD6l 
[41603] COMMIT_BUY,28VL4WCD6l 
[41700] BUY,28VL4WCD6l,WUF,161.81 
[41727] COMMIT_BUY,28VL4WCD6l 
[41816] SET_BUY_TRIGGER,28VL4WCD6l,GAL,164.48 
[41940] QUOTE,28VL4WCD6l,JYV 
[42050] ADD,28VL4WCD6l,91942.09 
[42183] BUY,28VL4WCD6l,BXH,466.46 
[42251] COMMIT_BUY,28VL4WCD6l 
[42311] SET_BUY_TRIGGER,28VL4WCD6l,MWB,190.57 
[42437] SET_SELL_AMOUNT,28VL4WCD6l,ZYR,574.65 
[42483] SET_SELL_TRIGGER,28VL4WCD6l,ZYR,38.22 
[42690] SET_BUY_AMOUNT,28VL4WCD6l,KES,216.44 
[42752] SET_BUY_TRIGGER,28VL4WCD6l,PBV,170.11 
[42886] SELL,28VL4WCD6l,JZJ,70.89 
[43135] CANCEL_SELL,28VL4WCD6l 
[43139] ADD,28VL4WCD6l,73168.47 
[43272] DISPLAY_SUMMARY,28VL4WCD6l 
[43322] ADD,28VL4WCD6l,69602.00 
[43377] BUY,28VL4WCD6l,PST,207.09 
[43461] CANCEL_BUY,28VL4WCD6l 
[43491] ADD,28VL4WCD6l,87432.94 
[43543] QUOTE,28VL4WCD6l,ETJ 
[43620] SET_BUY_AMOUNT,28VL4WCD6l,FDI,728.98 
[43699] SET_BUY_TRIGGER,28VL4WCD6l,PYB,109.60 
[44127] SET_BUY_TRIGGER,28VL4WCD6l,ZCG,22.82 
[44240] SELL,28VL4WCD6l,EBS,377.66 
[44242] CANCEL_SET_SELL,28VL4WCD6l,AJR 
[44245] SET_SELL_AMOUNT,28VL4WCD6l,YJK,630.11 
[44296] SET_SELL_TRIGGER,28VL4WCD6l,YJK,89.44 
[44337] SET_BUY_TRIGGER,28VL4WCD6l,BPK,130.42 
[44378] ADD,28VL4WCD6l,80742.42 
[44621] BUY,28VL4WCD6l,DHA,711.20 
[44651] COMMIT_BUY,28VL4WCD6l 
[44668] SELL,28VL4WCD6l,NHG,345.76 
[44671] SET_BUY_AMOUNT,28VL4WCD6l,SUS,65.72 
[44696] DISPLAY_SUMMARY,28VL4WCD6l 
[44751] SET_BUY_AMOUNT,28VL4WCD6l,FDI,479.93 
[44763] CANCEL_SET_BUY,28VL4WCD6l,GWS 
[44820] SET_BUY_AMOUNT,28VL4WCD6l,JRJ,367.95 
[44831] CANCEL_SET_BUY,28VL4WCD6l,VNF 
[44861] CANCEL_SET_SELL,28VL4WCD6l,CUZ 
[44867] BUY,28VL4WCD6l,NJB,215.61 
[44927] QUOTE,28VL4WCD6l,FKI 
[44996] QUOTE,28VL4WCD6l,OOV 
[45084] QUOTE,28VL4WCD6l,WBX 
[45096] SET_SELL_AMOUNT,28VL4WCD6l,EBS,427.58 
[45194] DISPLAY_SUMMARY,28VL4WCD6l 
[45228] SET_BUY_TRIGGER,28VL4WCD6l,FXT,142.78 
