[104] ADD,xRR8b3q6bp,39668.61 
[12459] ADD,xRR8b3q6bp,45965.37 
[12484] BUY,xRR8b3q6bp,JKX,732.65 
[12551] COMMIT_SELL,xRR8b3q6bp 
[12649] QUOTE,xRR8b3q6bp,SWD 
[12689] BUY,xRR8b3q6bp,KRX,235.84 
[12912] COMMIT_BUY,xRR8b3q6bp 
[13027] QUOTE,xRR8b3q6bp,EHF 
[13121] BUY,xRR8b3q6bp,YBP,686.12 
[13138] COMMIT_BUY,xRR8b3q6bp 
[13230] SET_BUY_TRIGGER,xRR8b3q6bp,CVP,32.25 
[13254] SET_BUY_TRIGGER,xRR8b3q6bp,MZT,43.96 
[13331] BUY,xRR8b3q6bp,NJF,371.96 
[13435] COMMIT_BUY,xRR8b3q6bp 
[13556] DISPLAY_SUMMARY,xRR8b3q6bp 
[13591] BUY,xRR8b3q6bp,YNH,280.94 
[13636] COMMIT_BUY,xRR8b3q6bp 
[13877] ADD,xRR8b3q6bp,78798.48 
[14259] SELL,xRR8b3q6bp,JRJ,295.53 
[14519] SET_SELL_TRIGGER,xRR8b3q6bp,IZU,103.28 
[14575] SET_SELL_AMOUNT,xRR8b3q6bp,KDA,39.26 
[14608] SET_SELL_TRIGGER,xRR8b3q6bp,KDA,12.73 
[14625] BUY,xRR8b3q6bp,JTX,744.84 
[14654] COMMIT_BUY,xRR8b3q6bp 
[14658] SELL,xRR8b3q6bp,KES,573.42 
[14820] COMMIT_SELL,xRR8b3q6bp 
[14876] ADD,xRR8b3q6bp,73253.66 
[14932] COMMIT_BUY,xRR8b3q6bp 
[15026] SELL,xRR8b3q6bp,EBS,255.11 
[15030] DISPLAY_SUMMARY,xRR8b3q6bp 
[15032] SET_SELL_AMOUNT,xRR8b3q6bp,JQO,609.45 
[15077] SET_SELL_TRIGGER,xRR8b3q6bp,JQO,97.29 
[15096] SET_BUY_TRIGGER,xRR8b3q6bp,DRP,40.59 
[15155] DISPLAY_SUMMARY,xRR8b3q6bp 
[15251] BUY,xRR8b3q6bp,YEW,602.02 
[15289] CANCEL_BUY,xRR8b3q6bp 
[15299] CANCEL_SELL,xRR8b3q6bp 
[15314] SET_BUY_TRIGGER,xRR8b3q6bp,WRJ,142.39 
[15566] BUY,xRR8b3q6bp,WRJ,176.36 
[15586] CANCEL_SELL,xRR8b3q6bp 
[15854] SELL,xRR8b3q6bp,GYF,293.56 
[15887] COMMIT_SELL,xRR8b3q6bp 
[15966] QUOTE,xRR8b3q6bp,ZWC 
[16144] SET_SELL_AMOUNT,xRR8b3q6bp,UTV,333.25 
[16247] SET_SELL_TRIGGER,xRR8b3q6bp,UTV,136.86 
[16375] SELL,xRR8b3q6bp,UTV,609.17 
[16431] QUOTE,xRR8b3q6bp,EHF 
[16561] QUOTE,xRR8b3q6bp,KAO 
[16688] ADD,xRR8b3q6bp,64581.90 
[16712] BUY,xRR8b3q6bp,MER,205.03 
[16786] CANCEL_BUY,xRR8b3q6bp 
[16791] SELL,xRR8b3q6bp,OEY,175.02 
[16930] COMMIT_SELL,xRR8b3q6bp 
[16970] ADD,xRR8b3q6bp,88903.34 
[17004] BUY,xRR8b3q6bp,VKB,619.15 
[17070] DISPLAY_SUMMARY,xRR8b3q6bp 
[17129] SET_BUY_AMOUNT,xRR8b3q6bp,EBS,72.70 
[17138] SET_BUY_TRIGGER,xRR8b3q6bp,BLC,71.41 
[17204] SET_BUY_TRIGGER,xRR8b3q6bp,DJD,91.62 
[17256] SELL,xRR8b3q6bp,GYF,140.48 
[17271] CANCEL_SET_SELL,xRR8b3q6bp,ZFJ 
[17291] SET_SELL_TRIGGER,xRR8b3q6bp,OWH,133.95 
[17298] SET_SELL_AMOUNT,xRR8b3q6bp,JVT,125.14 
[17360] SET_SELL_TRIGGER,xRR8b3q6bp,JVT,108.88 
[17493] BUY,xRR8b3q6bp,RJG,492.61 
[17551] COMMIT_BUY,xRR8b3q6bp 
[17564] ADD,xRR8b3q6bp,71660.99 
[17749] CANCEL_BUY,xRR8b3q6bp 
[17786] ADD,xRR8b3q6bp,39981.66 
[18053] BUY,xRR8b3q6bp,NSW,156.54 
[18066] COMMIT_BUY,xRR8b3q6bp 
[18074] SET_BUY_AMOUNT,xRR8b3q6bp,JRJ,563.68 
[18146] SET_BUY_TRIGGER,xRR8b3q6bp,ZGR,415.03 
[18444] ADD,xRR8b3q6bp,70632.70 
[18496] QUOTE,xRR8b3q6bp,ISQ 
[18509] CANCEL_BUY,xRR8b3q6bp 
[18653] SELL,xRR8b3q6bp,KES,454.93 
[18700] CANCEL_SET_BUY,xRR8b3q6bp,IOY 
[18717] SET_SELL_AMOUNT,xRR8b3q6bp,GYF,157.62 
[18862] SET_SELL_TRIGGER,xRR8b3q6bp,GYF,103.14 
[18890] QUOTE,xRR8b3q6bp,GRM 
[18893] ADD,xRR8b3q6bp,86456.92 
[19112] QUOTE,xRR8b3q6bp,SVV 
[19171] ADD,xRR8b3q6bp,84746.83 
[19202] SET_SELL_TRIGGER,xRR8b3q6bp,WOJ,53.02 
[19287] SET_SELL_TRIGGER,xRR8b3q6bp,OSC,92.77 
[19353] ADD,xRR8b3q6bp,64995.45 
[19561] BUY,xRR8b3q6bp,HSH,18.37 
[19568] COMMIT_BUY,xRR8b3q6bp 
[19609] SELL,xRR8b3q6bp,KDA,196.08 
[19851] CANCEL_SET_SELL,xRR8b3q6bp,CMA 
[19895] DISPLAY_SUMMARY,xRR8b3q6bp 
[20183] SET_BUY_TRIGGER,xRR8b3q6bp,KAR,77.36 
[20242] DISPLAY_SUMMARY,xRR8b3q6bp 
[20279] ADD,xRR8b3q6bp,51189.73 
[20561] BUY,xRR8b3q6bp,QPX,470.74 
[20596] COMMIT_BUY,xRR8b3q6bp 
[20647] BUY,xRR8b3q6bp,BTA,165.04 
[20707] SET_SELL_AMOUNT,xRR8b3q6bp,CUZ,103.71 
[20717] SET_SELL_TRIGGER,xRR8b3q6bp,CUZ,8.28 
[20719] SET_SELL_AMOUNT,xRR8b3q6bp,UTV,532.77 
[20758] SET_SELL_TRIGGER,xRR8b3q6bp,UTV,283.09 
[20826] SELL,xRR8b3q6bp,ZAN,674.45 
[20946] SELL,xRR8b3q6bp,QJZ,744.38 
[21031] CANCEL_SELL,xRR8b3q6bp 
[21134] ADD,xRR8b3q6bp,89309.01 
[21140] QUOTE,xRR8b3q6bp,CIP 
[21173] QUOTE,xRR8b3q6bp,PHJ 
[21192] QUOTE,xRR8b3q6bp,JJW 
[21202] BUY,xRR8b3q6bp,KPE,390.95 
[21269] COMMIT_BUY,xRR8b3q6bp 
[21376] SET_SELL_TRIGGER,xRR8b3q6bp,MGO,72.43 
[21380] COMMIT_SELL,xRR8b3q6bp 
[21403] DISPLAY_SUMMARY,xRR8b3q6bp 
[21491] SELL,xRR8b3q6bp,JQO,214.60 
[21744] COMMIT_SELL,xRR8b3q6bp 
[21781] SET_BUY_TRIGGER,xRR8b3q6bp,EHF,128.20 
[22192] DISPLAY_SUMMARY,xRR8b3q6bp 
[22269] ADD,xRR8b3q6bp,30014.70 
[22371] BUY,xRR8b3q6bp,URI,338.60 
[22426] COMMIT_BUY,xRR8b3q6bp 
[22431] ADD,xRR8b3q6bp,50976.11 
[22596] QUOTE,xRR8b3q6bp,IPH 
[22629] CANCEL_SET_SELL,xRR8b3q6bp,KTU 
[22681] ADD,xRR8b3q6bp,67634.57 
[22783] SET_SELL_AMOUNT,xRR8b3q6bp,KES,392.91 
[22793] CANCEL_SET_SELL,xRR8b3q6bp,KES 
[22803] SET_BUY_AMOUNT,xRR8b3q6bp,FQP,170.76 
[22888] CANCEL_SET_BUY,xRR8b3q6bp,TSF 
[23058] SET_BUY_TRIGGER,xRR8b3q6bp,LAW,80.20 
[23104] SET_SELL_AMOUNT,xRR8b3q6bp,QJZ,340.52 
[23176] SET_SELL_TRIGGER,xRR8b3q6bp,QJZ,120.43 
[23326] SET_SELL_TRIGGER,xRR8b3q6bp,BHJ,130.82 
[23394] BUY,xRR8b3q6bp,SEW,121.22 
[23468] COMMIT_BUY,xRR8b3q6bp 
[23624] DISPLAY_SUMMARY,xRR8b3q6bp 
[23650] QUOTE,xRR8b3q6bp,GTB 
[23755] COMMIT_SELL,xRR8b3q6bp 
[23871] DISPLAY_SUMMARY,xRR8b3q6bp 
[24025] BUY,xRR8b3q6bp,FFI,429.57 
[24162] BUY,xRR8b3q6bp,KYX,169.81 
[24169] SET_SELL_AMOUNT,xRR8b3q6bp,XXQ,405.38 
[24228] SET_SELL_TRIGGER,xRR8b3q6bp,XXQ,292.89 
[24259] ADD,xRR8b3q6bp,89270.58 
[24332] SET_SELL_TRIGGER,xRR8b3q6bp,DDA,167.10 
[24554] SET_BUY_TRIGGER,xRR8b3q6bp,LPS,66.88 
[24741] QUOTE,xRR8b3q6bp,DTG 
[24853] ADD,xRR8b3q6bp,74463.35 
[24875] BUY,xRR8b3q6bp,NFV,714.72 
[24938] CANCEL_BUY,xRR8b3q6bp 
[24969] SELL,xRR8b3q6bp,RUN,556.74 
[25034] COMMIT_SELL,xRR8b3q6bp 
[25050] SET_BUY_AMOUNT,xRR8b3q6bp,KES,280.05 
[25122] SET_BUY_TRIGGER,xRR8b3q6bp,BHQ,225.18 
[25202] DISPLAY_SUMMARY,xRR8b3q6bp 
[25299] SET_SELL_TRIGGER,xRR8b3q6bp,WNH,0.65 
[25309] SET_SELL_TRIGGER,xRR8b3q6bp,UEC,137.91 
[25348] SELL,xRR8b3q6bp,EBS,196.33 
[25493] COMMIT_SELL,xRR8b3q6bp 
[25553] SET_BUY_TRIGGER,xRR8b3q6bp,UGG,157.98 
[25669] QUOTE,xRR8b3q6bp,WJS 
[26051] COMMIT_SELL,xRR8b3q6bp 
[26073] CANCEL_SET_SELL,xRR8b3q6bp,VCN 
[26473] DISPLAY_SUMMARY,xRR8b3q6bp 
[26550] BUY,xRR8b3q6bp,SEW,523.82 
[26706] COMMIT_BUY,xRR8b3q6bp 
[26828] QUOTE,xRR8b3q6bp,QHF 
[27134] QUOTE,xRR8b3q6bp,CIP 
[27198] QUOTE,xRR8b3q6bp,DMW 
[27381] CANCEL_BUY,xRR8b3q6bp 
[27405] ADD,xRR8b3q6bp,93415.65 
[27435] BUY,xRR8b3q6bp,NFV,548.59 
[27569] SET_SELL_TRIGGER,xRR8b3q6bp,BPK,113.30 
[27636] ADD,xRR8b3q6bp,88825.91 
[27668] QUOTE,xRR8b3q6bp,SAJ 
[27715] CANCEL_SET_SELL,xRR8b3q6bp,YBP 
[27937] SET_SELL_TRIGGER,xRR8b3q6bp,KGA,165.05 
[28023] SELL,xRR8b3q6bp,KES,591.63 
[28024] COMMIT_SELL,xRR8b3q6bp 
[28060] DISPLAY_SUMMARY,xRR8b3q6bp 
[28220] SET_SELL_AMOUNT,xRR8b3q6bp,GYF,185.64 
[28251] SET_SELL_TRIGGER,xRR8b3q6bp,GYF,153.60 
[28529] QUOTE,xRR8b3q6bp,MWV 
[28774] BUY,xRR8b3q6bp,UTL,552.03 
[28857] QUOTE,xRR8b3q6bp,HMR 
[28938] BUY,xRR8b3q6bp,CXN,614.60 
[29117] COMMIT_BUY,xRR8b3q6bp 
[29198] BUY,xRR8b3q6bp,EAK,292.06 
[29226] CANCEL_BUY,xRR8b3q6bp 
[29437] ADD,xRR8b3q6bp,55601.31 
[29472] DISPLAY_SUMMARY,xRR8b3q6bp 
[29522] SET_SELL_AMOUNT,xRR8b3q6bp,FQP,393.58 
[29553] SET_SELL_TRIGGER,xRR8b3q6bp,FQP,153.25 
[29959] SET_BUY_AMOUNT,xRR8b3q6bp,XXQ,296.84 
[30142] SET_BUY_TRIGGER,xRR8b3q6bp,ZLY,81.20 
[30319] CANCEL_SET_BUY,xRR8b3q6bp,YZH 
[30368] SELL,xRR8b3q6bp,JVT,362.82 
[30415] COMMIT_SELL,xRR8b3q6bp 
[30424] CANCEL_SELL,xRR8b3q6bp 
[30459] ADD,xRR8b3q6bp,100041.89 
[30466] BUY,xRR8b3q6bp,YMG,455.20 
[30966] CANCEL_SET_SELL,xRR8b3q6bp,LPS 
[31011] DISPLAY_SUMMARY,xRR8b3q6bp 
[31077] DISPLAY_SUMMARY,xRR8b3q6bp 
[31118] SET_SELL_TRIGGER,xRR8b3q6bp,VQA,37.03 
[31268] DISPLAY_SUMMARY,xRR8b3q6bp 
[31475] DISPLAY_SUMMARY,xRR8b3q6bp 
[31669] COMMIT_SELL,xRR8b3q6bp 
[31948] CANCEL_SET_SELL,xRR8b3q6bp,CSZ 
[32062] BUY,xRR8b3q6bp,SQI,429.97 
[32198] CANCEL_BUY,xRR8b3q6bp 
[32214] SET_BUY_TRIGGER,xRR8b3q6bp,JTY,20.15 
[32298] ADD,xRR8b3q6bp,94641.43 
[32330] SET_BUY_TRIGGER,xRR8b3q6bp,WLT,51.20 
[32404] QUOTE,xRR8b3q6bp,KCA 
[32544] BUY,xRR8b3q6bp,SSF,400.57 
[32921] ADD,xRR8b3q6bp,70063.32 
[32981] QUOTE,xRR8b3q6bp,NJI 
[33284] BUY,xRR8b3q6bp,RKY,239.10 
[33352] COMMIT_BUY,xRR8b3q6bp 
[33436] QUOTE,xRR8b3q6bp,FRB 
[33502] BUY,xRR8b3q6bp,AVH,644.59 
[33610] COMMIT_BUY,xRR8b3q6bp 
[33612] CANCEL_SELL,xRR8b3q6bp 
[33720] ADD,xRR8b3q6bp,54316.92 
[33753] BUY,xRR8b3q6bp,HRJ,370.08 
[33757] CANCEL_SELL,xRR8b3q6bp 
[33833] DISPLAY_SUMMARY,xRR8b3q6bp 
[33864] CANCEL_SET_SELL,xRR8b3q6bp,FTB 
[33872] DISPLAY_SUMMARY,xRR8b3q6bp 
[33980] SET_SELL_AMOUNT,xRR8b3q6bp,JVT,48.78 
[34009] SET_SELL_TRIGGER,xRR8b3q6bp,JVT,5.83 
[34247] DISPLAY_SUMMARY,xRR8b3q6bp 
[34301] QUOTE,xRR8b3q6bp,ATE 
[34523] BUY,xRR8b3q6bp,DFE,223.13 
[34533] COMMIT_BUY,xRR8b3q6bp 
[34697] DISPLAY_SUMMARY,xRR8b3q6bp 
[34836] SET_SELL_AMOUNT,xRR8b3q6bp,KES,276.86 
[34923] SET_SELL_TRIGGER,xRR8b3q6bp,KES,197.32 
[34931] QUOTE,xRR8b3q6bp,HTN 
[35046] QUOTE,xRR8b3q6bp,ROW 
[35253] BUY,xRR8b3q6bp,BEG,243.22 
[35256] COMMIT_BUY,xRR8b3q6bp 
[35407] ADD,xRR8b3q6bp,75456.50 
[35763] BUY,xRR8b3q6bp,DWX,94.74 
[35798] CANCEL_SET_SELL,xRR8b3q6bp,CTS 
[35893] ADD,xRR8b3q6bp,53798.07 
[35912] BUY,xRR8b3q6bp,EED,393.61 
[35971] CANCEL_SET_BUY,xRR8b3q6bp,GMF 
[36109] CANCEL_SET_SELL,xRR8b3q6bp,ASJ 
[36119] SET_SELL_AMOUNT,xRR8b3q6bp,JQO,34.63 
[36227] SET_SELL_TRIGGER,xRR8b3q6bp,JQO,10.57 
[37248] QUOTE,xRR8b3q6bp,HIW 
[37260] BUY,xRR8b3q6bp,XTH,19.81 
[37288] CANCEL_SET_BUY,xRR8b3q6bp,KLY 
[37302] SET_SELL_AMOUNT,xRR8b3q6bp,KDA,5.92 
[37368] SET_SELL_TRIGGER,xRR8b3q6bp,KDA,2.36 
[37410] COMMIT_SELL,xRR8b3q6bp 
[37753] DISPLAY_SUMMARY,xRR8b3q6bp 
[37848] DISPLAY_SUMMARY,xRR8b3q6bp 
[38049] DISPLAY_SUMMARY,xRR8b3q6bp 
[38217] SELL,xRR8b3q6bp,FQP,306.09 
[38220] COMMIT_SELL,xRR8b3q6bp 
[38270] SET_BUY_AMOUNT,xRR8b3q6bp,DFE,353.81 
[38309] SET_BUY_TRIGGER,xRR8b3q6bp,ZCG,131.59 
[38388] SET_BUY_TRIGGER,xRR8b3q6bp,ZMS,7.68 
[38654] SELL,xRR8b3q6bp,JQO,631.99 
[38669] COMMIT_SELL,xRR8b3q6bp 
[38670] ADD,xRR8b3q6bp,75187.45 
[38987] BUY,xRR8b3q6bp,XAB,24.33 
[39000] SET_BUY_AMOUNT,xRR8b3q6bp,CUZ,213.39 
[39075] BUY,xRR8b3q6bp,FCH,79.23 
[39241] COMMIT_BUY,xRR8b3q6bp 
[39308] SELL,xRR8b3q6bp,KDA,688.30 
[39446] CANCEL_SELL,xRR8b3q6bp 
[39956] SET_SELL_AMOUNT,xRR8b3q6bp,EBS,435.14 
[40081] CANCEL_SET_SELL,xRR8b3q6bp,EBS 
[40462] DISPLAY_SUMMARY,xRR8b3q6bp 
[40518] QUOTE,xRR8b3q6bp,ZZN 
[40539] BUY,xRR8b3q6bp,LJZ,237.43 
[40546] QUOTE,xRR8b3q6bp,ZRH 
[40735] SET_BUY_TRIGGER,xRR8b3q6bp,MGK,19.87 
[40793] SET_SELL_TRIGGER,xRR8b3q6bp,WRJ,83.45 
[40796] SET_SELL_AMOUNT,xRR8b3q6bp,XXQ,298.58 
[40861] SET_SELL_TRIGGER,xRR8b3q6bp,XXQ,294.59 
[40881] COMMIT_BUY,xRR8b3q6bp 
[40926] ADD,xRR8b3q6bp,76189.28 
[41302] QUOTE,xRR8b3q6bp,KJD 
[41330] ADD,xRR8b3q6bp,79167.70 
[41356] QUOTE,xRR8b3q6bp,GED 
[41374] ADD,xRR8b3q6bp,84044.97 
[41606] SET_SELL_AMOUNT,xRR8b3q6bp,RGH,277.36 
[41632] SET_SELL_TRIGGER,xRR8b3q6bp,RGH,72.93 
[41690] QUOTE,xRR8b3q6bp,FVD 
[41881] BUY,xRR8b3q6bp,SQI,17.45 
[41959] COMMIT_BUY,xRR8b3q6bp 
[42000] SET_SELL_AMOUNT,xRR8b3q6bp,KDA,374.26 
[42053] SET_SELL_TRIGGER,xRR8b3q6bp,KDA,349.26 
[42123] SET_SELL_AMOUNT,xRR8b3q6bp,GYF,699.47 
[42290] SET_SELL_TRIGGER,xRR8b3q6bp,GYF,309.71 
[42292] CANCEL_SET_BUY,xRR8b3q6bp,MQF 
[42321] SET_SELL_AMOUNT,xRR8b3q6bp,KES,249.44 
[42673] SET_SELL_TRIGGER,xRR8b3q6bp,KES,82.68 
[42775] SET_SELL_TRIGGER,xRR8b3q6bp,AUX,158.24 
[42810] COMMIT_SELL,xRR8b3q6bp 
[43053] QUOTE,xRR8b3q6bp,SSL 
[43228] SET_BUY_AMOUNT,xRR8b3q6bp,ZAN,168.47 
[43236] SET_BUY_TRIGGER,xRR8b3q6bp,PZE,2.74 
[43270] SET_BUY_TRIGGER,xRR8b3q6bp,FLD,171.06 
[43357] SELL,xRR8b3q6bp,FQP,278.76 
[43810] BUY,xRR8b3q6bp,JGY,517.58 
[44134] DISPLAY_SUMMARY,xRR8b3q6bp 
[44319] SET_SELL_TRIGGER,xRR8b3q6bp,TAR,174.13 
[44324] SET_BUY_AMOUNT,xRR8b3q6bp,CUZ,733.08 
[44503] SET_BUY_TRIGGER,xRR8b3q6bp,NHG,287.17 
[44579] SET_BUY_TRIGGER,xRR8b3q6bp,XME,52.86 
[44658] DISPLAY_SUMMARY,xRR8b3q6bp 
[44765] QUOTE,xRR8b3q6bp,XME 
[44858] SET_BUY_AMOUNT,xRR8b3q6bp,JQO,248.72 
[44935] CANCEL_SET_BUY,xRR8b3q6bp,ZAO 
[45003] DISPLAY_SUMMARY,xRR8b3q6bp 
[45133] SET_BUY_AMOUNT,xRR8b3q6bp,KDA,586.62 
[45304] QUOTE,xRR8b3q6bp,BFL 
[45453] BUY,xRR8b3q6bp,QPE,564.60 
[45669] CANCEL_BUY,xRR8b3q6bp 
[45753] COMMIT_BUY,xRR8b3q6bp 
[45754] DISPLAY_SUMMARY,xRR8b3q6bp 
[45818] SET_BUY_TRIGGER,xRR8b3q6bp,FQR,360.42 
[45880] QUOTE,xRR8b3q6bp,ARP 
[45942] SET_BUY_AMOUNT,xRR8b3q6bp,OPN,597.12 
[46052] DISPLAY_SUMMARY,xRR8b3q6bp 
[46260] ADD,xRR8b3q6bp,74455.73 
[46455] QUOTE,xRR8b3q6bp,KZZ 
[46457] DISPLAY_SUMMARY,xRR8b3q6bp 
[46481] SET_SELL_TRIGGER,xRR8b3q6bp,JUE,160.73 
[46511] SET_BUY_TRIGGER,xRR8b3q6bp,ZOT,515.46 
[46641] SET_BUY_TRIGGER,xRR8b3q6bp,RDK,107.51 
[46653] SET_BUY_TRIGGER,xRR8b3q6bp,BDX,17.95 
[46662] SET_SELL_AMOUNT,xRR8b3q6bp,ZAN,559.44 
[46775] SET_SELL_TRIGGER,xRR8b3q6bp,ZAN,294.02 
[46856] ADD,xRR8b3q6bp,62057.77 
[46973] CANCEL_SELL,xRR8b3q6bp 
[46983] DISPLAY_SUMMARY,xRR8b3q6bp 
[47045] QUOTE,xRR8b3q6bp,VJV 
[47081] SET_BUY_AMOUNT,xRR8b3q6bp,NHG,601.39 
