[295] ADD,k5RWRveCOY,68893.49 
[6115] QUOTE,k5RWRveCOY,TVI 
[6190] CANCEL_SET_SELL,k5RWRveCOY,YZC 
[6207] SET_BUY_TRIGGER,k5RWRveCOY,MVQ,174.48 
[6231] ADD,k5RWRveCOY,56634.51 
[6288] QUOTE,k5RWRveCOY,TSS 
[6579] BUY,k5RWRveCOY,BBC,18.45 
[6733] CANCEL_SET_BUY,k5RWRveCOY,DDA 
[6808] BUY,k5RWRveCOY,HFS,632.88 
[6913] CANCEL_SELL,k5RWRveCOY 
[6992] BUY,k5RWRveCOY,PJW,341.14 
[7059] SELL,k5RWRveCOY,FQP,310.67 
[7067] ADD,k5RWRveCOY,76593.01 
[7106] QUOTE,k5RWRveCOY,IUN 
[7108] BUY,k5RWRveCOY,SEI,699.07 
[7499] SET_SELL_AMOUNT,k5RWRveCOY,FQP,617.04 
[7611] SET_SELL_TRIGGER,k5RWRveCOY,FQP,383.65 
[7634] DISPLAY_SUMMARY,k5RWRveCOY 
[7810] SET_BUY_TRIGGER,k5RWRveCOY,HNW,173.37 
[7954] SET_BUY_TRIGGER,k5RWRveCOY,FTJ,120.05 
[7990] SET_SELL_TRIGGER,k5RWRveCOY,EJW,81.12 
[8017] SELL,k5RWRveCOY,KES,123.52 
[8199] ADD,k5RWRveCOY,65593.39 
[8417] BUY,k5RWRveCOY,VQA,136.11 
[8473] CANCEL_SELL,k5RWRveCOY 
[8491] SET_SELL_TRIGGER,k5RWRveCOY,GSW,86.03 
[8614] DISPLAY_SUMMARY,k5RWRveCOY 
[8819] ADD,k5RWRveCOY,62992.84 
[8845] QUOTE,k5RWRveCOY,VNF 
[8863] SELL,k5RWRveCOY,KES,5.40 
[8895] COMMIT_SELL,k5RWRveCOY 
[8936] SELL,k5RWRveCOY,KES,96.52 
[9678] CANCEL_BUY,k5RWRveCOY 
[9699] ADD,k5RWRveCOY,71343.99 
[10023] QUOTE,k5RWRveCOY,FQP 
[10081] BUY,k5RWRveCOY,XWZ,182.28 
[10121] CANCEL_SET_SELL,k5RWRveCOY,BPP 
[10228] SET_SELL_AMOUNT,k5RWRveCOY,QJZ,578.68 
[10353] SET_SELL_TRIGGER,k5RWRveCOY,QJZ,273.79 
[10483] SELL,k5RWRveCOY,KDA,481.14 
[10561] COMMIT_SELL,k5RWRveCOY 
[10606] DISPLAY_SUMMARY,k5RWRveCOY 
[10779] DISPLAY_SUMMARY,k5RWRveCOY 
[10957] SET_BUY_AMOUNT,k5RWRveCOY,KES,157.47 
[11141] SELL,k5RWRveCOY,KES,195.98 
[11187] COMMIT_SELL,k5RWRveCOY 
[11315] ADD,k5RWRveCOY,74772.97 
[11329] SET_BUY_TRIGGER,k5RWRveCOY,QGE,152.61 
[11355] SET_SELL_TRIGGER,k5RWRveCOY,DWF,94.55 
[11372] ADD,k5RWRveCOY,42656.29 
[11639] BUY,k5RWRveCOY,TAR,630.62 
[11857] CANCEL_SET_BUY,k5RWRveCOY,ZER 
[11943] QUOTE,k5RWRveCOY,QPX 
[12048] BUY,k5RWRveCOY,GPL,609.25 
[12120] CANCEL_SET_SELL,k5RWRveCOY,WQE 
[12136] SET_BUY_AMOUNT,k5RWRveCOY,QJZ,526.44 
[12149] SET_BUY_TRIGGER,k5RWRveCOY,IFQ,155.03 
[12255] QUOTE,k5RWRveCOY,CBY 
[12330] QUOTE,k5RWRveCOY,KKI 
[12449] CANCEL_SET_SELL,k5RWRveCOY,YOG 
[12497] SET_SELL_TRIGGER,k5RWRveCOY,OGB,57.36 
[12589] SELL,k5RWRveCOY,KES,113.57 
[12595] COMMIT_SELL,k5RWRveCOY 
[12615] SET_BUY_TRIGGER,k5RWRveCOY,IDX,21.99 
[12787] SELL,k5RWRveCOY,FQP,165.57 
[12834] COMMIT_SELL,k5RWRveCOY 
[12929] SELL,k5RWRveCOY,QJZ,514.95 
[13179] COMMIT_SELL,k5RWRveCOY 
[13234] BUY,k5RWRveCOY,NDJ,664.26 
[13285] COMMIT_BUY,k5RWRveCOY 
[13640] ADD,k5RWRveCOY,84623.83 
[13724] CANCEL_SET_SELL,k5RWRveCOY,IZJ 
[13801] DISPLAY_SUMMARY,k5RWRveCOY 
[14039] QUOTE,k5RWRveCOY,SAN 
[14076] SET_BUY_AMOUNT,k5RWRveCOY,FQP,563.74 
[14091] CANCEL_SET_BUY,k5RWRveCOY,XOP 
[14275] ADD,k5RWRveCOY,55531.00 
[14317] SET_SELL_TRIGGER,k5RWRveCOY,MVQ,66.21 
[14469] BUY,k5RWRveCOY,UDQ,533.24 
[14644] COMMIT_SELL,k5RWRveCOY 
[14753] COMMIT_SELL,k5RWRveCOY 
[14763] ADD,k5RWRveCOY,86281.53 
[14764] BUY,k5RWRveCOY,FXT,45.55 
[14777] COMMIT_BUY,k5RWRveCOY 
[14871] ADD,k5RWRveCOY,56002.56 
[14982] BUY,k5RWRveCOY,HVE,106.11 
[15019] COMMIT_BUY,k5RWRveCOY 
[15190] ADD,k5RWRveCOY,62365.42 
[15286] DISPLAY_SUMMARY,k5RWRveCOY 
[15660] DISPLAY_SUMMARY,k5RWRveCOY 
[15662] SELL,k5RWRveCOY,FQP,9.97 
[15664] CANCEL_SET_BUY,k5RWRveCOY,VXY 
[15896] ADD,k5RWRveCOY,81671.98 
[16054] BUY,k5RWRveCOY,JEO,359.10 
[16131] COMMIT_BUY,k5RWRveCOY 
[16231] SELL,k5RWRveCOY,JVT,338.22 
[16248] COMMIT_SELL,k5RWRveCOY 
[16269] DISPLAY_SUMMARY,k5RWRveCOY 
[16275] SET_BUY_AMOUNT,k5RWRveCOY,QJZ,179.07 
[16475] SET_BUY_TRIGGER,k5RWRveCOY,EUM,82.93 
[16574] DISPLAY_SUMMARY,k5RWRveCOY 
[16578] CANCEL_SET_SELL,k5RWRveCOY,VNO 
[16586] QUOTE,k5RWRveCOY,OBO 
[16655] QUOTE,k5RWRveCOY,BFB 
[16742] SELL,k5RWRveCOY,JVT,282.34 
[16755] CANCEL_SET_BUY,k5RWRveCOY,NFO 
[16962] BUY,k5RWRveCOY,QUT,139.04 
[17055] COMMIT_BUY,k5RWRveCOY 
[17232] SET_BUY_AMOUNT,k5RWRveCOY,KDA,79.30 
[17252] SET_BUY_TRIGGER,k5RWRveCOY,IFQ,36.06 
[17597] QUOTE,k5RWRveCOY,LVT 
[17741] BUY,k5RWRveCOY,OSC,203.30 
[17856] COMMIT_BUY,k5RWRveCOY 
[17900] BUY,k5RWRveCOY,XEA,481.51 
[18204] CANCEL_SELL,k5RWRveCOY 
[18339] SET_SELL_AMOUNT,k5RWRveCOY,JCQ,484.85 
[18541] SET_SELL_TRIGGER,k5RWRveCOY,JCQ,71.82 
[18790] ADD,k5RWRveCOY,71787.56 
[18792] QUOTE,k5RWRveCOY,WBL 
[19186] DISPLAY_SUMMARY,k5RWRveCOY 
[19322] SELL,k5RWRveCOY,JRJ,398.49 
[19406] SELL,k5RWRveCOY,EBS,341.71 
[19672] DISPLAY_SUMMARY,k5RWRveCOY 
[19721] ADD,k5RWRveCOY,79575.02 
[20006] BUY,k5RWRveCOY,BBD,622.55 
[20939] COMMIT_BUY,k5RWRveCOY 
[20953] SET_SELL_TRIGGER,k5RWRveCOY,KYT,120.33 
[21143] SET_BUY_AMOUNT,k5RWRveCOY,EBS,306.79 
[21188] CANCEL_SET_BUY,k5RWRveCOY,ECX 
[21210] DISPLAY_SUMMARY,k5RWRveCOY 
[21231] DISPLAY_SUMMARY,k5RWRveCOY 
[21265] BUY,k5RWRveCOY,KRY,487.92 
[21436] SET_SELL_TRIGGER,k5RWRveCOY,SXB,158.67 
[21456] ADD,k5RWRveCOY,67154.84 
[21743] QUOTE,k5RWRveCOY,PMX 
[21958] ADD,k5RWRveCOY,54106.71 
[22055] BUY,k5RWRveCOY,XOA,84.83 
[22073] SET_SELL_AMOUNT,k5RWRveCOY,JRJ,271.92 
[22091] SET_SELL_TRIGGER,k5RWRveCOY,JRJ,70.01 
[22109] DISPLAY_SUMMARY,k5RWRveCOY 
[22246] CANCEL_SET_BUY,k5RWRveCOY,OHS 
[22510] DISPLAY_SUMMARY,k5RWRveCOY 
[22555] QUOTE,k5RWRveCOY,ZMA 
[22599] QUOTE,k5RWRveCOY,JFJ 
[22686] COMMIT_BUY,k5RWRveCOY 
[22692] SET_SELL_AMOUNT,k5RWRveCOY,UTV,685.70 
[22873] SET_SELL_TRIGGER,k5RWRveCOY,UTV,242.29 
[23102] COMMIT_SELL,k5RWRveCOY 
[23220] BUY,k5RWRveCOY,VYQ,459.97 
[23348] SET_BUY_TRIGGER,k5RWRveCOY,AVI,37.33 
[23368] ADD,k5RWRveCOY,72293.30 
[23384] CANCEL_SET_SELL,k5RWRveCOY,PDX 
[23502] SET_SELL_TRIGGER,k5RWRveCOY,JHY,1.09 
[23691] SET_SELL_TRIGGER,k5RWRveCOY,GNY,127.03 
[23916] CANCEL_SET_BUY,k5RWRveCOY,XPX 
[23934] QUOTE,k5RWRveCOY,FZU 
[24057] COMMIT_SELL,k5RWRveCOY 
[24142] QUOTE,k5RWRveCOY,MUN 
[24188] BUY,k5RWRveCOY,VUS,19.99 
[24277] COMMIT_BUY,k5RWRveCOY 
[24316] DISPLAY_SUMMARY,k5RWRveCOY 
[24389] SELL,k5RWRveCOY,JVT,253.94 
[24676] COMMIT_SELL,k5RWRveCOY 
[24910] SET_BUY_TRIGGER,k5RWRveCOY,MOM,22.64 
[25037] DISPLAY_SUMMARY,k5RWRveCOY 
[25142] SET_BUY_AMOUNT,k5RWRveCOY,KES,486.87 
[25233] CANCEL_SET_BUY,k5RWRveCOY,KQZ 
[25268] SET_BUY_TRIGGER,k5RWRveCOY,XBL,149.81 
[25328] SELL,k5RWRveCOY,JVT,237.01 
[25339] COMMIT_SELL,k5RWRveCOY 
[25515] QUOTE,k5RWRveCOY,OGR 
[25595] SET_BUY_AMOUNT,k5RWRveCOY,JRJ,35.93 
[25662] SET_BUY_TRIGGER,k5RWRveCOY,LJY,12.13 
[25691] CANCEL_SET_SELL,k5RWRveCOY,ZCG 
[25722] SELL,k5RWRveCOY,JRJ,696.18 
[25759] COMMIT_SELL,k5RWRveCOY 
[25819] SELL,k5RWRveCOY,QAX,453.01 
[25835] COMMIT_SELL,k5RWRveCOY 
[25905] DISPLAY_SUMMARY,k5RWRveCOY 
[26321] COMMIT_SELL,k5RWRveCOY 
[26370] SELL,k5RWRveCOY,KDA,265.70 
[26527] SELL,k5RWRveCOY,GYF,712.91 
[26556] COMMIT_SELL,k5RWRveCOY 
[26789] SET_SELL_AMOUNT,k5RWRveCOY,KES,245.28 
[26843] SET_SELL_TRIGGER,k5RWRveCOY,KES,176.77 
[26856] DISPLAY_SUMMARY,k5RWRveCOY 
[26943] SELL,k5RWRveCOY,QJZ,237.39 
[26973] COMMIT_SELL,k5RWRveCOY 
[27053] DISPLAY_SUMMARY,k5RWRveCOY 
[27113] SET_BUY_AMOUNT,k5RWRveCOY,QJZ,477.19 
[27176] SET_BUY_TRIGGER,k5RWRveCOY,IHW,130.35 
[27248] BUY,k5RWRveCOY,QSS,158.25 
[27273] COMMIT_BUY,k5RWRveCOY 
[27309] DISPLAY_SUMMARY,k5RWRveCOY 
[27649] SET_SELL_AMOUNT,k5RWRveCOY,GYF,656.03 
[27703] SET_SELL_TRIGGER,k5RWRveCOY,GYF,247.94 
[27765] DISPLAY_SUMMARY,k5RWRveCOY 
[27847] CANCEL_BUY,k5RWRveCOY 
[27880] ADD,k5RWRveCOY,77269.79 
[27902] QUOTE,k5RWRveCOY,ETB 
[28066] BUY,k5RWRveCOY,XYV,107.76 
[28100] CANCEL_SET_SELL,k5RWRveCOY,JIO 
[28147] COMMIT_BUY,k5RWRveCOY 
[28259] SET_BUY_AMOUNT,k5RWRveCOY,JRJ,253.28 
[28578] QUOTE,k5RWRveCOY,MKE 
[28582] QUOTE,k5RWRveCOY,SYT 
[28599] SET_SELL_AMOUNT,k5RWRveCOY,NHG,398.96 
[28702] CANCEL_SET_SELL,k5RWRveCOY,NHG 
[28795] ADD,k5RWRveCOY,69984.56 
[28941] BUY,k5RWRveCOY,ZQW,53.55 
[29139] CANCEL_BUY,k5RWRveCOY 
[29158] DISPLAY_SUMMARY,k5RWRveCOY 
[29179] QUOTE,k5RWRveCOY,PFK 
[29310] BUY,k5RWRveCOY,TTY,80.99 
[29347] COMMIT_SELL,k5RWRveCOY 
[29368] BUY,k5RWRveCOY,QHF,127.94 
[29481] CANCEL_BUY,k5RWRveCOY 
[29542] DISPLAY_SUMMARY,k5RWRveCOY 
[29560] SET_SELL_AMOUNT,k5RWRveCOY,OEY,371.60 
[29771] SET_SELL_TRIGGER,k5RWRveCOY,OEY,142.31 
[29834] SET_SELL_TRIGGER,k5RWRveCOY,BHP,70.61 
[29926] SET_BUY_TRIGGER,k5RWRveCOY,FKX,232.56 
[30099] SET_BUY_AMOUNT,k5RWRveCOY,OEY,595.53 
[30165] QUOTE,k5RWRveCOY,VUS 
[30186] BUY,k5RWRveCOY,IFC,330.41 
[30308] COMMIT_BUY,k5RWRveCOY 
[30456] ADD,k5RWRveCOY,44023.33 
[30835] DISPLAY_SUMMARY,k5RWRveCOY 
[30864] DISPLAY_SUMMARY,k5RWRveCOY 
[31291] SET_SELL_TRIGGER,k5RWRveCOY,BFL,115.99 
[31344] SELL,k5RWRveCOY,LFU,193.43 
[31399] SET_SELL_TRIGGER,k5RWRveCOY,IQJ,36.16 
[31697] CANCEL_SET_SELL,k5RWRveCOY,DJD 
[31792] ADD,k5RWRveCOY,88363.65 
[32032] QUOTE,k5RWRveCOY,SXB 
[32237] SET_BUY_TRIGGER,k5RWRveCOY,IQZ,260.05 
[32598] BUY,k5RWRveCOY,WGP,206.07 
[32721] CANCEL_BUY,k5RWRveCOY 
[32961] ADD,k5RWRveCOY,43728.57 
[32991] BUY,k5RWRveCOY,ETJ,495.34 
[33019] SELL,k5RWRveCOY,NHG,575.48 
[33139] COMMIT_SELL,k5RWRveCOY 
[33304] SET_BUY_TRIGGER,k5RWRveCOY,TZJ,44.18 
[33318] ADD,k5RWRveCOY,61370.85 
[33341] BUY,k5RWRveCOY,FKX,253.35 
[33498] CANCEL_BUY,k5RWRveCOY 
[33589] SELL,k5RWRveCOY,NHG,436.03 
[33759] CANCEL_SELL,k5RWRveCOY 
[33811] SET_BUY_TRIGGER,k5RWRveCOY,VKB,30.51 
[33830] SELL,k5RWRveCOY,QAX,135.59 
[33918] COMMIT_SELL,k5RWRveCOY 
[33933] DISPLAY_SUMMARY,k5RWRveCOY 
[34019] BUY,k5RWRveCOY,SAR,258.29 
[34028] COMMIT_BUY,k5RWRveCOY 
[34040] CANCEL_SET_SELL,k5RWRveCOY,YTY 
[34076] ADD,k5RWRveCOY,59014.50 
[34333] QUOTE,k5RWRveCOY,FIY 
[34405] QUOTE,k5RWRveCOY,WGV 
[34442] COMMIT_SELL,k5RWRveCOY 
[34528] DISPLAY_SUMMARY,k5RWRveCOY 
[34667] DISPLAY_SUMMARY,k5RWRveCOY 
[34693] CANCEL_SET_SELL,k5RWRveCOY,TVX 
[34873] SET_BUY_AMOUNT,k5RWRveCOY,JRJ,333.75 
[34916] SET_BUY_TRIGGER,k5RWRveCOY,DOI,106.16 
[35007] ADD,k5RWRveCOY,56464.11 
[35060] BUY,k5RWRveCOY,OFP,589.07 
[35248] COMMIT_BUY,k5RWRveCOY 
[35274] SET_BUY_TRIGGER,k5RWRveCOY,CAX,89.13 
[35297] SET_SELL_TRIGGER,k5RWRveCOY,ZNW,12.84 
[35328] SET_BUY_TRIGGER,k5RWRveCOY,ZKV,21.82 
[35349] SET_SELL_TRIGGER,k5RWRveCOY,MAX,123.84 
[35480] SELL,k5RWRveCOY,ZAN,720.09 
[35569] COMMIT_SELL,k5RWRveCOY 
[35582] ADD,k5RWRveCOY,75620.31 
[35644] BUY,k5RWRveCOY,ZJG,668.41 
[35666] COMMIT_BUY,k5RWRveCOY 
[35708] SELL,k5RWRveCOY,KES,86.99 
[35736] COMMIT_SELL,k5RWRveCOY 
[35785] SET_SELL_AMOUNT,k5RWRveCOY,EBS,680.30 
[35845] SET_SELL_TRIGGER,k5RWRveCOY,EBS,621.20 
[35861] SET_BUY_TRIGGER,k5RWRveCOY,XPX,186.74 
[35951] SELL,k5RWRveCOY,JCQ,17.01 
[36008] CANCEL_SELL,k5RWRveCOY 
[36108] DISPLAY_SUMMARY,k5RWRveCOY 
[36294] ADD,k5RWRveCOY,74196.26 
[36416] QUOTE,k5RWRveCOY,ZMS 
[36420] DISPLAY_SUMMARY,k5RWRveCOY 
[36449] QUOTE,k5RWRveCOY,FQG 
[36590] BUY,k5RWRveCOY,YAZ,512.65 
[36619] QUOTE,k5RWRveCOY,HSH 
[36628] ADD,k5RWRveCOY,50155.66 
[36668] QUOTE,k5RWRveCOY,SFO 
[36946] DISPLAY_SUMMARY,k5RWRveCOY 
[36962] SET_BUY_AMOUNT,k5RWRveCOY,UTV,715.52 
[37016] SET_BUY_TRIGGER,k5RWRveCOY,MLI,2.59 
[37019] QUOTE,k5RWRveCOY,WOJ 
[37022] BUY,k5RWRveCOY,DWU,141.21 
[37069] COMMIT_BUY,k5RWRveCOY 
[37076] SET_SELL_TRIGGER,k5RWRveCOY,CBV,195.56 
[37281] ADD,k5RWRveCOY,42518.15 
[37296] BUY,k5RWRveCOY,VIG,152.98 
[37508] COMMIT_BUY,k5RWRveCOY 
[37514] DISPLAY_SUMMARY,k5RWRveCOY 
[37607] SET_BUY_TRIGGER,k5RWRveCOY,JSM,103.13 
[37689] SET_BUY_TRIGGER,k5RWRveCOY,MIQ,187.13 
[37706] QUOTE,k5RWRveCOY,PRJ 
[37791] BUY,k5RWRveCOY,NNW,44.69 
[38167] COMMIT_BUY,k5RWRveCOY 
[38191] DISPLAY_SUMMARY,k5RWRveCOY 
[38199] COMMIT_BUY,k5RWRveCOY 
[38274] DISPLAY_SUMMARY,k5RWRveCOY 
[38370] DISPLAY_SUMMARY,k5RWRveCOY 
[38397] ADD,k5RWRveCOY,84446.42 
[38427] BUY,k5RWRveCOY,HEJ,637.52 
[38455] COMMIT_BUY,k5RWRveCOY 
[38870] SET_SELL_AMOUNT,k5RWRveCOY,OEY,142.68 
[39331] SET_SELL_TRIGGER,k5RWRveCOY,OEY,55.93 
[39493] SET_SELL_AMOUNT,k5RWRveCOY,JRJ,241.05 
[39527] CANCEL_SET_SELL,k5RWRveCOY,JRJ 
[39528] CANCEL_BUY,k5RWRveCOY 
[39596] DISPLAY_SUMMARY,k5RWRveCOY 
[39629] ADD,k5RWRveCOY,82770.45 
[39924] CANCEL_SET_BUY,k5RWRveCOY,STQ 
[39933] BUY,k5RWRveCOY,KAH,651.90 
[39990] COMMIT_BUY,k5RWRveCOY 
[40007] ADD,k5RWRveCOY,87253.77 
[40140] BUY,k5RWRveCOY,PDB,8.38 
[40209] COMMIT_BUY,k5RWRveCOY 
[40278] ADD,k5RWRveCOY,66389.02 
[40332] BUY,k5RWRveCOY,JQG,397.66 
[40370] COMMIT_BUY,k5RWRveCOY 
[40520] SET_BUY_TRIGGER,k5RWRveCOY,OGR,86.09 
[40635] SET_SELL_TRIGGER,k5RWRveCOY,WRJ,100.90 
[40662] ADD,k5RWRveCOY,100713.94 
[40799] QUOTE,k5RWRveCOY,UEC 
[40801] BUY,k5RWRveCOY,FRB,208.47 
[40815] SET_BUY_AMOUNT,k5RWRveCOY,JRJ,323.53 
[40882] SET_BUY_TRIGGER,k5RWRveCOY,YDS,90.80 
[41028] ADD,k5RWRveCOY,76734.52 
[41179] QUOTE,k5RWRveCOY,IZJ 
[41429] QUOTE,k5RWRveCOY,KYT 
[41430] BUY,k5RWRveCOY,MHQ,191.88 
[41484] SET_SELL_AMOUNT,k5RWRveCOY,JQO,696.74 
[41576] SET_SELL_TRIGGER,k5RWRveCOY,JQO,349.19 
[41684] SELL,k5RWRveCOY,GYF,717.31 
[41802] CANCEL_SELL,k5RWRveCOY 
[41813] DISPLAY_SUMMARY,k5RWRveCOY 
[42034] SET_BUY_TRIGGER,k5RWRveCOY,WTL,90.49 
[42147] SET_SELL_TRIGGER,k5RWRveCOY,XZN,45.40 
[42220] BUY,k5RWRveCOY,VND,402.92 
[42526] SELL,k5RWRveCOY,JQO,125.51 
[42544] SET_BUY_AMOUNT,k5RWRveCOY,YJK,323.39 
[42597] SET_BUY_TRIGGER,k5RWRveCOY,OEM,53.72 
[42842] SET_SELL_AMOUNT,k5RWRveCOY,ZTI,11.83 
[42860] SET_SELL_TRIGGER,k5RWRveCOY,ZTI,10.05 
[42916] SELL,k5RWRveCOY,GYF,671.26 
[43147] CANCEL_BUY,k5RWRveCOY 
[43223] SET_BUY_AMOUNT,k5RWRveCOY,UTV,43.04 
[43283] SET_BUY_TRIGGER,k5RWRveCOY,STT,0.77 
[43372] SET_BUY_TRIGGER,k5RWRveCOY,FZU,199.37 
[43445] ADD,k5RWRveCOY,57997.71 
[43570] CANCEL_SET_BUY,k5RWRveCOY,ZYR 
[43677] SET_BUY_TRIGGER,k5RWRveCOY,PTP,28.08 
[43817] SELL,k5RWRveCOY,JVT,68.92 
[43962] CANCEL_SET_SELL,k5RWRveCOY,WHR 
[44067] DISPLAY_SUMMARY,k5RWRveCOY 
[44208] SET_BUY_AMOUNT,k5RWRveCOY,ZYR,238.29 
[44239] SET_BUY_TRIGGER,k5RWRveCOY,FRB,4.49 
[44266] SET_SELL_AMOUNT,k5RWRveCOY,OEY,425.51 
[44306] SET_SELL_TRIGGER,k5RWRveCOY,OEY,224.70 
[44347] BUY,k5RWRveCOY,FPI,664.33 
[44469] COMMIT_BUY,k5RWRveCOY 
[44473] BUY,k5RWRveCOY,EOY,666.54 
[44478] COMMIT_BUY,k5RWRveCOY 
[44500] DISPLAY_SUMMARY,k5RWRveCOY 
[44611] DISPLAY_SUMMARY,k5RWRveCOY 
[44647] ADD,k5RWRveCOY,50484.78 
[44750] BUY,k5RWRveCOY,QQW,676.82 
[44923] COMMIT_BUY,k5RWRveCOY 
[44986] SET_BUY_TRIGGER,k5RWRveCOY,NUV,72.79 
[45010] SET_BUY_AMOUNT,k5RWRveCOY,OEY,466.66 
[45061] SET_BUY_TRIGGER,k5RWRveCOY,ZTR,226.65 
[45220] SELL,k5RWRveCOY,NHG,238.33 
[45284] SET_SELL_TRIGGER,k5RWRveCOY,KZZ,178.10 
[45292] BUY,k5RWRveCOY,PTC,438.34 
[45363] COMMIT_BUY,k5RWRveCOY 
[45455] SELL,k5RWRveCOY,DFE,73.73 
[45464] COMMIT_SELL,k5RWRveCOY 
[45564] SET_SELL_TRIGGER,k5RWRveCOY,EYY,174.63 
[45657] BUY,k5RWRveCOY,OSC,689.52 
[45663] COMMIT_SELL,k5RWRveCOY 
[45804] ADD,k5RWRveCOY,68484.17 
[45959] CANCEL_SELL,k5RWRveCOY 
[46087] SET_SELL_TRIGGER,k5RWRveCOY,XFH,124.46 
[46166] SET_SELL_AMOUNT,k5RWRveCOY,CSZ,180.06 
[46233] SET_SELL_TRIGGER,k5RWRveCOY,CSZ,95.81 
[46296] SELL,k5RWRveCOY,QJZ,672.86 
[46308] COMMIT_SELL,k5RWRveCOY 
[46317] ADD,k5RWRveCOY,84940.79 
[46401] SET_BUY_TRIGGER,k5RWRveCOY,WKG,100.25 
[46495] SET_BUY_AMOUNT,k5RWRveCOY,QAX,62.94 
[46509] SET_BUY_TRIGGER,k5RWRveCOY,WZM,21.00 
[46574] ADD,k5RWRveCOY,68851.29 
[46592] CANCEL_SET_SELL,k5RWRveCOY,YCH 
[46816] SET_BUY_TRIGGER,k5RWRveCOY,TVX,109.00 
[46836] DISPLAY_SUMMARY,k5RWRveCOY 
[46948] SET_BUY_TRIGGER,k5RWRveCOY,PPY,24.38 
[47010] ADD,k5RWRveCOY,37087.25 
[47011] CANCEL_SET_SELL,k5RWRveCOY,ZYR 
[47393] DISPLAY_SUMMARY,k5RWRveCOY 
[47518] QUOTE,k5RWRveCOY,DGA 
[47587] QUOTE,k5RWRveCOY,UDQ 
[47664] COMMIT_SELL,k5RWRveCOY 
[47668] BUY,k5RWRveCOY,VSE,499.72 
[47679] CANCEL_BUY,k5RWRveCOY 
[47710] BUY,k5RWRveCOY,XMA,215.15 
[47851] COMMIT_BUY,k5RWRveCOY 
[48326] ADD,k5RWRveCOY,76384.08 
[48337] QUOTE,k5RWRveCOY,DXL 
[48415] SET_SELL_AMOUNT,k5RWRveCOY,JQO,678.11 
[48491] SET_SELL_TRIGGER,k5RWRveCOY,JQO,351.08 
[48507] SELL,k5RWRveCOY,OEY,492.16 
[48700] COMMIT_SELL,k5RWRveCOY 
[48732] SET_BUY_TRIGGER,k5RWRveCOY,TVX,6.76 
[48740] SELL,k5RWRveCOY,EBS,119.93 
[48916] SELL,k5RWRveCOY,YJK,601.66 
[48998] CANCEL_SELL,k5RWRveCOY 
[49059] SET_SELL_TRIGGER,k5RWRveCOY,WJS,139.05 
[49252] SET_BUY_AMOUNT,k5RWRveCOY,LFU,635.04 
[49311] SET_BUY_TRIGGER,k5RWRveCOY,WRJ,236.39 
