[93] ADD,uzApK6tlMI,71463.80 
[5390] DISPLAY_SUMMARY,uzApK6tlMI 
[5403] ADD,uzApK6tlMI,84304.91 
[5581] BUY,uzApK6tlMI,YQC,254.77 
[5624] SET_SELL_TRIGGER,uzApK6tlMI,RJG,55.29 
[5720] SELL,uzApK6tlMI,FQP,539.78 
[5932] SET_SELL_AMOUNT,uzApK6tlMI,QJZ,17.58 
[6073] QUOTE,uzApK6tlMI,MIU 
[6186] BUY,uzApK6tlMI,LJM,748.07 
[6200] COMMIT_BUY,uzApK6tlMI 
[6204] DISPLAY_SUMMARY,uzApK6tlMI 
[6221] DISPLAY_SUMMARY,uzApK6tlMI 
[6412] ADD,uzApK6tlMI,83728.45 
[6444] QUOTE,uzApK6tlMI,FNY 
[6460] QUOTE,uzApK6tlMI,KGV 
[6854] BUY,uzApK6tlMI,GYF,439.54 
[6918] CANCEL_BUY,uzApK6tlMI 
[6927] SELL,uzApK6tlMI,JVT,401.36 
[6984] COMMIT_SELL,uzApK6tlMI 
[7152] SELL,uzApK6tlMI,FQP,103.08 
[7394] COMMIT_SELL,uzApK6tlMI 
[7565] SET_BUY_AMOUNT,uzApK6tlMI,QJZ,390.48 
[7575] BUY,uzApK6tlMI,UFX,602.24 
[7677] COMMIT_BUY,uzApK6tlMI 
[7890] CANCEL_SET_SELL,uzApK6tlMI,QJZ 
[7956] DISPLAY_SUMMARY,uzApK6tlMI 
[8043] BUY,uzApK6tlMI,JGO,224.85 
[8247] COMMIT_BUY,uzApK6tlMI 
[8500] ADD,uzApK6tlMI,72557.39 
[8680] BUY,uzApK6tlMI,EGX,543.66 
[8734] COMMIT_BUY,uzApK6tlMI 
[8903] DISPLAY_SUMMARY,uzApK6tlMI 
[9134] SET_BUY_AMOUNT,uzApK6tlMI,JVT,236.87 
[9271] SET_BUY_TRIGGER,uzApK6tlMI,JUV,197.55 
[9315] BUY,uzApK6tlMI,WKE,180.85 
[9409] BUY,uzApK6tlMI,YUR,711.68 
[9503] CANCEL_BUY,uzApK6tlMI 
[9570] SET_SELL_AMOUNT,uzApK6tlMI,FQP,493.66 
[9623] SET_SELL_TRIGGER,uzApK6tlMI,FQP,271.22 
[9725] QUOTE,uzApK6tlMI,XOL 
[10001] SET_BUY_AMOUNT,uzApK6tlMI,FQP,72.75 
[10181] SET_BUY_TRIGGER,uzApK6tlMI,BTA,61.55 
[10294] SET_BUY_AMOUNT,uzApK6tlMI,FQP,725.64 
[10384] SET_BUY_TRIGGER,uzApK6tlMI,BDX,538.72 
[10498] ADD,uzApK6tlMI,47558.39 
[10503] QUOTE,uzApK6tlMI,CLQ 
[10690] CANCEL_SET_BUY,uzApK6tlMI,CLQ 
[10765] BUY,uzApK6tlMI,AHO,630.65 
[10768] SET_SELL_TRIGGER,uzApK6tlMI,KRX,173.00 
[11037] SET_SELL_TRIGGER,uzApK6tlMI,YIU,31.87 
[11244] ADD,uzApK6tlMI,77871.35 
[11363] BUY,uzApK6tlMI,NUL,238.06 
[11403] CANCEL_BUY,uzApK6tlMI 
[11470] CANCEL_SET_BUY,uzApK6tlMI,IWL 
[11476] QUOTE,uzApK6tlMI,FGF 
[11552] SET_BUY_TRIGGER,uzApK6tlMI,KJH,103.42 
[11798] BUY,uzApK6tlMI,ETJ,267.96 
[11961] SET_BUY_AMOUNT,uzApK6tlMI,GYF,401.98 
[12056] CANCEL_SET_BUY,uzApK6tlMI,WCY 
[12082] SELL,uzApK6tlMI,JCQ,170.50 
[12284] CANCEL_SELL,uzApK6tlMI 
[12340] QUOTE,uzApK6tlMI,QGN 
[12393] BUY,uzApK6tlMI,EHF,663.02 
[12627] COMMIT_BUY,uzApK6tlMI 
[12722] ADD,uzApK6tlMI,49227.59 
[12740] QUOTE,uzApK6tlMI,XDN 
[12747] COMMIT_SELL,uzApK6tlMI 
[12764] SELL,uzApK6tlMI,FQP,107.09 
[12972] CANCEL_SELL,uzApK6tlMI 
[13017] QUOTE,uzApK6tlMI,TOZ 
[13361] ADD,uzApK6tlMI,66722.65 
[13430] BUY,uzApK6tlMI,FIY,74.37 
[13546] COMMIT_BUY,uzApK6tlMI 
[13618] SET_SELL_TRIGGER,uzApK6tlMI,SWJ,144.53 
[13638] SELL,uzApK6tlMI,QJZ,227.32 
[13639] COMMIT_SELL,uzApK6tlMI 
[13704] BUY,uzApK6tlMI,CVV,6.84 
[13734] ADD,uzApK6tlMI,55367.90 
[13821] BUY,uzApK6tlMI,LSK,207.17 
[14085] COMMIT_BUY,uzApK6tlMI 
[14245] DISPLAY_SUMMARY,uzApK6tlMI 
[14280] SET_BUY_TRIGGER,uzApK6tlMI,TXB,138.11 
[14352] SELL,uzApK6tlMI,KES,647.13 
[14489] COMMIT_SELL,uzApK6tlMI 
[14508] ADD,uzApK6tlMI,49106.60 
[14721] BUY,uzApK6tlMI,OEY,422.23 
[14856] BUY,uzApK6tlMI,TUO,685.33 
[15010] DISPLAY_SUMMARY,uzApK6tlMI 
[15185] ADD,uzApK6tlMI,89414.49 
[15265] BUY,uzApK6tlMI,GPW,747.75 
[15319] CANCEL_SET_SELL,uzApK6tlMI,WHR 
[15325] BUY,uzApK6tlMI,YIU,706.14 
[15447] COMMIT_BUY,uzApK6tlMI 
[15759] SET_BUY_TRIGGER,uzApK6tlMI,SWD,173.21 
[15800] SELL,uzApK6tlMI,JVT,603.51 
[15836] COMMIT_SELL,uzApK6tlMI 
[15913] DISPLAY_SUMMARY,uzApK6tlMI 
[15956] SET_SELL_AMOUNT,uzApK6tlMI,KES,544.43 
[16176] CANCEL_SET_SELL,uzApK6tlMI,KES 
[16388] SET_BUY_AMOUNT,uzApK6tlMI,KES,520.27 
[16445] SET_BUY_TRIGGER,uzApK6tlMI,NDJ,315.95 
[16523] DISPLAY_SUMMARY,uzApK6tlMI 
[16579] QUOTE,uzApK6tlMI,TGY 
[16593] DISPLAY_SUMMARY,uzApK6tlMI 
[16691] QUOTE,uzApK6tlMI,FLD 
[16809] BUY,uzApK6tlMI,RQT,554.95 
[16821] COMMIT_SELL,uzApK6tlMI 
[16963] SET_BUY_AMOUNT,uzApK6tlMI,KDA,516.28 
[17167] SET_BUY_TRIGGER,uzApK6tlMI,NLP,274.32 
[17259] SET_SELL_AMOUNT,uzApK6tlMI,UTV,163.02 
[17287] SET_SELL_TRIGGER,uzApK6tlMI,UTV,13.55 
[17460] BUY,uzApK6tlMI,AZN,528.44 
[17638] SET_BUY_TRIGGER,uzApK6tlMI,VMD,15.40 
[17993] BUY,uzApK6tlMI,NJF,594.33 
[18000] CANCEL_SELL,uzApK6tlMI 
[18030] BUY,uzApK6tlMI,GZU,211.56 
[18126] COMMIT_BUY,uzApK6tlMI 
[18212] DISPLAY_SUMMARY,uzApK6tlMI 
[18242] DISPLAY_SUMMARY,uzApK6tlMI 
[18250] SET_BUY_AMOUNT,uzApK6tlMI,GYF,536.50 
[18491] SET_BUY_TRIGGER,uzApK6tlMI,ZOZ,415.65 
[18497] ADD,uzApK6tlMI,81749.72 
[18597] QUOTE,uzApK6tlMI,OXV 
[18867] COMMIT_SELL,uzApK6tlMI 
[18902] CANCEL_SET_SELL,uzApK6tlMI,VWU 
[18992] SELL,uzApK6tlMI,FQP,66.54 
[18993] SET_BUY_AMOUNT,uzApK6tlMI,KES,235.00 
[19087] QUOTE,uzApK6tlMI,QLM 
[19089] SET_BUY_TRIGGER,uzApK6tlMI,JCL,221.09 
[19100] DISPLAY_SUMMARY,uzApK6tlMI 
[19146] SELL,uzApK6tlMI,KDA,690.07 
[19165] COMMIT_SELL,uzApK6tlMI 
[19178] DISPLAY_SUMMARY,uzApK6tlMI 
[19221] SET_SELL_AMOUNT,uzApK6tlMI,UTV,690.45 
[19222] SET_SELL_TRIGGER,uzApK6tlMI,UTV,472.06 
[19270] QUOTE,uzApK6tlMI,NAR 
[19290] CANCEL_BUY,uzApK6tlMI 
[19436] DISPLAY_SUMMARY,uzApK6tlMI 
[19452] SET_SELL_AMOUNT,uzApK6tlMI,QJZ,557.33 
[19487] SET_SELL_TRIGGER,uzApK6tlMI,QJZ,324.51 
[19644] ADD,uzApK6tlMI,67773.47 
[19864] BUY,uzApK6tlMI,AOH,232.91 
[19919] CANCEL_SET_BUY,uzApK6tlMI,KCA 
[20106] ADD,uzApK6tlMI,78231.11 
[20439] QUOTE,uzApK6tlMI,RQL 
[20463] COMMIT_BUY,uzApK6tlMI 
[20467] SET_SELL_AMOUNT,uzApK6tlMI,JQO,649.13 
[20513] SET_SELL_TRIGGER,uzApK6tlMI,JQO,436.68 
[20539] DISPLAY_SUMMARY,uzApK6tlMI 
[20540] ADD,uzApK6tlMI,86144.43 
[20694] QUOTE,uzApK6tlMI,SSL 
[20735] ADD,uzApK6tlMI,48787.03 
[20786] CANCEL_SET_SELL,uzApK6tlMI,QXW 
[20962] SET_BUY_TRIGGER,uzApK6tlMI,PIC,58.50 
[21001] SET_SELL_AMOUNT,uzApK6tlMI,QJZ,48.15 
[21212] SET_SELL_TRIGGER,uzApK6tlMI,QJZ,34.63 
[21223] SELL,uzApK6tlMI,KDA,21.31 
[21276] BUY,uzApK6tlMI,VJB,285.00 
[21626] COMMIT_BUY,uzApK6tlMI 
[21864] SET_BUY_TRIGGER,uzApK6tlMI,KCS,76.81 
[21904] SET_BUY_AMOUNT,uzApK6tlMI,QJZ,599.16 
[21911] QUOTE,uzApK6tlMI,HZA 
[22076] BUY,uzApK6tlMI,TGY,213.89 
[22163] CANCEL_SET_BUY,uzApK6tlMI,YIU 
[22310] SELL,uzApK6tlMI,KDA,236.94 
[22373] COMMIT_SELL,uzApK6tlMI 
[22401] SET_BUY_AMOUNT,uzApK6tlMI,LFU,558.09 
[22545] QUOTE,uzApK6tlMI,POI 
[22659] CANCEL_SET_SELL,uzApK6tlMI,HGG 
[22676] SET_SELL_TRIGGER,uzApK6tlMI,WKL,64.97 
[22740] SELL,uzApK6tlMI,QAX,649.33 
[22776] SET_SELL_TRIGGER,uzApK6tlMI,CCH,146.88 
[22897] ADD,uzApK6tlMI,65829.26 
[22993] QUOTE,uzApK6tlMI,JUG 
[23012] BUY,uzApK6tlMI,WQC,343.78 
[23029] SELL,uzApK6tlMI,FQP,417.38 
[23032] DISPLAY_SUMMARY,uzApK6tlMI 
[23201] SET_SELL_TRIGGER,uzApK6tlMI,JTY,114.45 
[23241] SET_BUY_TRIGGER,uzApK6tlMI,KXF,315.34 
[23606] ADD,uzApK6tlMI,78305.20 
[23848] QUOTE,uzApK6tlMI,JKX 
[23888] SELL,uzApK6tlMI,GYF,439.69 
[23898] DISPLAY_SUMMARY,uzApK6tlMI 
[24110] SET_BUY_AMOUNT,uzApK6tlMI,JRJ,367.17 
[24115] SET_BUY_TRIGGER,uzApK6tlMI,RVZ,141.23 
[24274] SELL,uzApK6tlMI,JVT,618.24 
[24298] CANCEL_SET_BUY,uzApK6tlMI,FQR 
[24394] SELL,uzApK6tlMI,KDA,486.01 
[24699] CANCEL_BUY,uzApK6tlMI 
[24830] QUOTE,uzApK6tlMI,JUN 
[24918] BUY,uzApK6tlMI,USW,21.39 
[24928] COMMIT_BUY,uzApK6tlMI 
[24949] SET_SELL_TRIGGER,uzApK6tlMI,CXB,106.43 
[24963] SET_SELL_AMOUNT,uzApK6tlMI,LFU,290.57 
[24967] SET_SELL_TRIGGER,uzApK6tlMI,LFU,285.24 
[25241] DISPLAY_SUMMARY,uzApK6tlMI 
[25247] BUY,uzApK6tlMI,MOS,51.44 
[25265] COMMIT_BUY,uzApK6tlMI 
[25408] SELL,uzApK6tlMI,JCQ,598.67 
[25736] CANCEL_SELL,uzApK6tlMI 
[25803] SELL,uzApK6tlMI,JRJ,114.81 
[25809] DISPLAY_SUMMARY,uzApK6tlMI 
[25893] SELL,uzApK6tlMI,QAX,547.53 
[25928] COMMIT_SELL,uzApK6tlMI 
[26013] DISPLAY_SUMMARY,uzApK6tlMI 
[26056] SET_BUY_TRIGGER,uzApK6tlMI,RQL,181.66 
[26083] DISPLAY_SUMMARY,uzApK6tlMI 
[26145] BUY,uzApK6tlMI,OTD,306.96 
[26346] COMMIT_BUY,uzApK6tlMI 
[26386] SET_SELL_AMOUNT,uzApK6tlMI,UTV,53.61 
[26512] SET_SELL_TRIGGER,uzApK6tlMI,UTV,47.70 
[26671] DISPLAY_SUMMARY,uzApK6tlMI 
[26818] DISPLAY_SUMMARY,uzApK6tlMI 
[26959] SET_BUY_TRIGGER,uzApK6tlMI,ATW,109.37 
[26962] DISPLAY_SUMMARY,uzApK6tlMI 
[27003] DISPLAY_SUMMARY,uzApK6tlMI 
[27086] SET_SELL_AMOUNT,uzApK6tlMI,UTV,380.91 
[27114] SET_SELL_TRIGGER,uzApK6tlMI,UTV,343.68 
[27264] SET_BUY_TRIGGER,uzApK6tlMI,SKY,189.20 
[27299] SET_BUY_TRIGGER,uzApK6tlMI,JVE,19.24 
[27484] CANCEL_SET_SELL,uzApK6tlMI,FPI 
[27530] ADD,uzApK6tlMI,56061.18 
[27544] QUOTE,uzApK6tlMI,PVZ 
[27555] BUY,uzApK6tlMI,SAN,656.07 
[27601] CANCEL_BUY,uzApK6tlMI 
[27792] COMMIT_SELL,uzApK6tlMI 
[27809] SET_BUY_AMOUNT,uzApK6tlMI,OEY,266.74 
[27823] SET_BUY_TRIGGER,uzApK6tlMI,UXP,116.49 
[27885] BUY,uzApK6tlMI,MRH,145.95 
[27982] SET_SELL_AMOUNT,uzApK6tlMI,JQO,741.12 
[28058] SET_SELL_TRIGGER,uzApK6tlMI,JQO,319.39 
[28213] DISPLAY_SUMMARY,uzApK6tlMI 
[28244] QUOTE,uzApK6tlMI,DBC 
[28285] CANCEL_SET_BUY,uzApK6tlMI,NRY 
[28299] ADD,uzApK6tlMI,66207.04 
[28302] QUOTE,uzApK6tlMI,FCH 
[28438] QUOTE,uzApK6tlMI,ZHB 
[28574] ADD,uzApK6tlMI,58495.78 
[28588] BUY,uzApK6tlMI,WRN,297.93 
[28604] DISPLAY_SUMMARY,uzApK6tlMI 
[28634] DISPLAY_SUMMARY,uzApK6tlMI 
[28662] QUOTE,uzApK6tlMI,GYF 
[28706] BUY,uzApK6tlMI,YDD,600.52 
[28766] ADD,uzApK6tlMI,77059.17 
[28821] QUOTE,uzApK6tlMI,KKI 
[28875] ADD,uzApK6tlMI,74620.12 
[29004] QUOTE,uzApK6tlMI,LHC 
[29136] CANCEL_BUY,uzApK6tlMI 
[29435] COMMIT_BUY,uzApK6tlMI 
[29597] SELL,uzApK6tlMI,GYF,596.24 
[29634] SET_BUY_TRIGGER,uzApK6tlMI,OOR,12.16 
[29786] ADD,uzApK6tlMI,79545.01 
[29873] SET_SELL_AMOUNT,uzApK6tlMI,FQP,34.45 
[29907] SET_SELL_TRIGGER,uzApK6tlMI,FQP,21.08 
[30022] BUY,uzApK6tlMI,CNN,156.59 
[30034] CANCEL_BUY,uzApK6tlMI 
[30143] QUOTE,uzApK6tlMI,CXB 
[30174] ADD,uzApK6tlMI,75511.63 
[30471] BUY,uzApK6tlMI,BMQ,484.45 
[30894] SET_SELL_TRIGGER,uzApK6tlMI,XBL,41.50 
[30921] SET_SELL_TRIGGER,uzApK6tlMI,WNH,175.81 
[30958] DISPLAY_SUMMARY,uzApK6tlMI 
[31091] SET_SELL_AMOUNT,uzApK6tlMI,KES,301.80 
[31098] CANCEL_SET_SELL,uzApK6tlMI,KES 
[31168] BUY,uzApK6tlMI,KGV,311.25 
[31173] COMMIT_BUY,uzApK6tlMI 
[31174] SET_BUY_TRIGGER,uzApK6tlMI,CXB,151.28 
[31215] BUY,uzApK6tlMI,ZYR,729.58 
[31552] CANCEL_BUY,uzApK6tlMI 
[31603] ADD,uzApK6tlMI,60844.90 
[31615] COMMIT_SELL,uzApK6tlMI 
[31690] SET_BUY_TRIGGER,uzApK6tlMI,DDH,195.25 
[31851] SET_SELL_AMOUNT,uzApK6tlMI,BYA,522.38 
[32395] SET_SELL_TRIGGER,uzApK6tlMI,BYA,41.26 
[32482] ADD,uzApK6tlMI,74100.54 
[32546] BUY,uzApK6tlMI,UEC,748.06 
[32605] CANCEL_SET_SELL,uzApK6tlMI,BTD 
[32622] CANCEL_SELL,uzApK6tlMI 
[32655] QUOTE,uzApK6tlMI,GAL 
[32727] CANCEL_SELL,uzApK6tlMI 
[32831] QUOTE,uzApK6tlMI,TVP 
[32919] QUOTE,uzApK6tlMI,UGT 
[32966] QUOTE,uzApK6tlMI,BYA 
[33278] QUOTE,uzApK6tlMI,GTX 
[33302] CANCEL_SET_SELL,uzApK6tlMI,WHR 
[33395] ADD,uzApK6tlMI,63794.52 
[33457] COMMIT_BUY,uzApK6tlMI 
[33515] QUOTE,uzApK6tlMI,NVX 
[33569] ADD,uzApK6tlMI,77385.72 
[33596] QUOTE,uzApK6tlMI,HYX 
[33691] SET_BUY_TRIGGER,uzApK6tlMI,TZJ,50.55 
[33793] ADD,uzApK6tlMI,68588.66 
[33821] QUOTE,uzApK6tlMI,ZAN 
[33823] QUOTE,uzApK6tlMI,JCL 
[33956] CANCEL_SET_SELL,uzApK6tlMI,RRT 
[34350] DISPLAY_SUMMARY,uzApK6tlMI 
[34503] BUY,uzApK6tlMI,ZWC,400.29 
[34511] COMMIT_BUY,uzApK6tlMI 
[34605] QUOTE,uzApK6tlMI,ZEU 
[34612] SET_BUY_AMOUNT,uzApK6tlMI,LFU,692.93 
[34638] SET_BUY_TRIGGER,uzApK6tlMI,QAX,247.35 
[34657] QUOTE,uzApK6tlMI,LSW 
[35077] CANCEL_SET_BUY,uzApK6tlMI,SZI 
[35114] SET_SELL_AMOUNT,uzApK6tlMI,LFU,596.45 
[35155] SET_SELL_TRIGGER,uzApK6tlMI,LFU,5.19 
[35241] ADD,uzApK6tlMI,61755.59 
[35570] COMMIT_BUY,uzApK6tlMI 
[35638] SET_BUY_AMOUNT,uzApK6tlMI,KES,135.85 
[35639] DISPLAY_SUMMARY,uzApK6tlMI 
[35827] DISPLAY_SUMMARY,uzApK6tlMI 
[35890] SELL,uzApK6tlMI,DFE,268.18 
[35974] COMMIT_SELL,uzApK6tlMI 
[36038] QUOTE,uzApK6tlMI,KBI 
[36145] QUOTE,uzApK6tlMI,QPE 
[36270] QUOTE,uzApK6tlMI,FQU 
[36289] QUOTE,uzApK6tlMI,RNE 
[36438] QUOTE,uzApK6tlMI,GYT 
[36513] QUOTE,uzApK6tlMI,DXQ 
[36533] CANCEL_BUY,uzApK6tlMI 
[36733] ADD,uzApK6tlMI,55082.00 
[36890] SET_SELL_TRIGGER,uzApK6tlMI,MPP,84.66 
[37050] SET_BUY_AMOUNT,uzApK6tlMI,KES,464.48 
[37297] QUOTE,uzApK6tlMI,OXK 
[37336] BUY,uzApK6tlMI,VMT,75.27 
[37370] COMMIT_BUY,uzApK6tlMI 
[37377] ADD,uzApK6tlMI,64342.93 
[37438] BUY,uzApK6tlMI,SJZ,49.87 
[37541] COMMIT_BUY,uzApK6tlMI 
[37685] BUY,uzApK6tlMI,WTL,186.57 
[37794] COMMIT_BUY,uzApK6tlMI 
[37945] DISPLAY_SUMMARY,uzApK6tlMI 
[37958] ADD,uzApK6tlMI,85561.39 
[38132] QUOTE,uzApK6tlMI,JIO 
[38161] SET_SELL_AMOUNT,uzApK6tlMI,KES,197.39 
[38233] SET_SELL_TRIGGER,uzApK6tlMI,KES,70.10 
[38312] BUY,uzApK6tlMI,BDX,187.92 
[38408] COMMIT_BUY,uzApK6tlMI 
[38429] DISPLAY_SUMMARY,uzApK6tlMI 
[38512] ADD,uzApK6tlMI,82132.45 
[38600] COMMIT_BUY,uzApK6tlMI 
[38625] DISPLAY_SUMMARY,uzApK6tlMI 
[38643] CANCEL_BUY,uzApK6tlMI 
[38658] QUOTE,uzApK6tlMI,NHB 
[38702] QUOTE,uzApK6tlMI,BRT 
[38772] BUY,uzApK6tlMI,OIY,556.10 
[38831] COMMIT_BUY,uzApK6tlMI 
[38891] DISPLAY_SUMMARY,uzApK6tlMI 
[39016] SET_BUY_TRIGGER,uzApK6tlMI,FVA,5.20 
[39190] BUY,uzApK6tlMI,NNW,116.72 
[39423] SET_SELL_TRIGGER,uzApK6tlMI,YLZ,120.55 
[39456] SET_SELL_AMOUNT,uzApK6tlMI,QAX,489.54 
[39457] DISPLAY_SUMMARY,uzApK6tlMI 
[39502] DISPLAY_SUMMARY,uzApK6tlMI 
[39504] ADD,uzApK6tlMI,72032.50 
[39613] BUY,uzApK6tlMI,SJZ,96.34 
[39755] CANCEL_BUY,uzApK6tlMI 
[39757] ADD,uzApK6tlMI,55547.90 
[39768] BUY,uzApK6tlMI,DMW,310.33 
[39786] COMMIT_BUY,uzApK6tlMI 
[39806] BUY,uzApK6tlMI,BHH,238.79 
[40583] COMMIT_BUY,uzApK6tlMI 
[40855] SET_BUY_AMOUNT,uzApK6tlMI,QJZ,346.05 
[40958] SET_BUY_TRIGGER,uzApK6tlMI,STO,237.51 
[40986] BUY,uzApK6tlMI,AXK,215.72 
[41207] COMMIT_BUY,uzApK6tlMI 
[41238] SELL,uzApK6tlMI,RUN,483.25 
[41280] COMMIT_SELL,uzApK6tlMI 
[41370] DISPLAY_SUMMARY,uzApK6tlMI 
[41400] ADD,uzApK6tlMI,74833.53 
[41571] QUOTE,uzApK6tlMI,KCS 
[41750] DISPLAY_SUMMARY,uzApK6tlMI 
[41845] BUY,uzApK6tlMI,YVS,567.64 
[42005] COMMIT_BUY,uzApK6tlMI 
[42033] DISPLAY_SUMMARY,uzApK6tlMI 
[42146] ADD,uzApK6tlMI,59389.28 
[42197] BUY,uzApK6tlMI,RVZ,644.60 
[42271] CANCEL_SELL,uzApK6tlMI 
[42322] DISPLAY_SUMMARY,uzApK6tlMI 
[42502] DISPLAY_SUMMARY,uzApK6tlMI 
[42615] DISPLAY_SUMMARY,uzApK6tlMI 
[42670] CANCEL_SET_SELL,uzApK6tlMI,QAX 
[42711] SET_SELL_TRIGGER,uzApK6tlMI,HTN,34.41 
[42766] DISPLAY_SUMMARY,uzApK6tlMI 
[43133] SET_BUY_AMOUNT,uzApK6tlMI,FQP,498.03 
[43274] SET_BUY_TRIGGER,uzApK6tlMI,BZX,53.95 
[43339] SELL,uzApK6tlMI,JRJ,721.96 
[43515] BUY,uzApK6tlMI,WKE,136.29 
[43679] COMMIT_BUY,uzApK6tlMI 
[43749] SET_BUY_TRIGGER,uzApK6tlMI,QNK,76.96 
[43766] BUY,uzApK6tlMI,OXV,235.51 
[43814] COMMIT_BUY,uzApK6tlMI 
[43836] SET_BUY_TRIGGER,uzApK6tlMI,CVK,150.45 
[43995] SET_BUY_TRIGGER,uzApK6tlMI,ZZD,198.62 
[44061] ADD,uzApK6tlMI,35996.18 
[44445] QUOTE,uzApK6tlMI,OQW 
[44506] BUY,uzApK6tlMI,YNY,577.92 
[44528] COMMIT_BUY,uzApK6tlMI 
[44624] ADD,uzApK6tlMI,53826.03 
[45025] SELL,uzApK6tlMI,OPN,421.26 
[45027] SELL,uzApK6tlMI,GYF,704.30 
[45172] CANCEL_SET_BUY,uzApK6tlMI,MWM 
[45229] ADD,uzApK6tlMI,81381.13 
[45445] QUOTE,uzApK6tlMI,YRL 
[45496] BUY,uzApK6tlMI,RDK,153.21 
[45910] QUOTE,uzApK6tlMI,SDL 
[45995] COMMIT_SELL,uzApK6tlMI 
[46016] SELL,uzApK6tlMI,FDI,281.89 
[46078] SET_SELL_TRIGGER,uzApK6tlMI,JII,193.20 
[46305] QUOTE,uzApK6tlMI,WUL 
[46351] QUOTE,uzApK6tlMI,QNK 
[46393] BUY,uzApK6tlMI,FKI,475.47 
[46579] CANCEL_SET_SELL,uzApK6tlMI,VWU 
[46600] SET_SELL_TRIGGER,uzApK6tlMI,LLD,120.56 
[46892] SELL,uzApK6tlMI,JCQ,191.53 
[46917] COMMIT_SELL,uzApK6tlMI 
[46918] SET_SELL_AMOUNT,uzApK6tlMI,GYF,122.37 
[47163] SET_SELL_TRIGGER,uzApK6tlMI,GYF,82.36 
[47196] SET_SELL_AMOUNT,uzApK6tlMI,ZAN,635.71 
[47212] SET_SELL_TRIGGER,uzApK6tlMI,ZAN,35.17 
[47237] SET_SELL_AMOUNT,uzApK6tlMI,DFE,153.17 
[47379] DISPLAY_SUMMARY,uzApK6tlMI 
[47439] QUOTE,uzApK6tlMI,FVA 
[47591] COMMIT_SELL,uzApK6tlMI 
[47636] ADD,uzApK6tlMI,86045.84 
[47762] BUY,uzApK6tlMI,GRD,578.19 
[47985] SET_SELL_TRIGGER,uzApK6tlMI,DFE,92.82 
[48046] SELL,uzApK6tlMI,JRJ,351.61 
[48134] COMMIT_SELL,uzApK6tlMI 
[48462] QUOTE,uzApK6tlMI,KTU 
