[134] ADD,UUcfl1X3U9,80539.46 
[8647] ADD,UUcfl1X3U9,47918.98 
[8652] QUOTE,UUcfl1X3U9,AJX 
[8760] QUOTE,UUcfl1X3U9,ZJG 
[8870] SET_SELL_AMOUNT,UUcfl1X3U9,QJZ,32.65 
[8918] SET_SELL_TRIGGER,UUcfl1X3U9,QJZ,20.22 
[9191] SET_BUY_TRIGGER,UUcfl1X3U9,FOV,125.37 
[9262] SELL,UUcfl1X3U9,FQP,89.85 
[9270] SET_SELL_TRIGGER,UUcfl1X3U9,OZW,34.15 
[9398] ADD,UUcfl1X3U9,80827.54 
[9497] BUY,UUcfl1X3U9,WDJ,408.88 
[9580] CANCEL_BUY,UUcfl1X3U9 
[9615] CANCEL_SELL,UUcfl1X3U9 
[9942] SET_SELL_AMOUNT,UUcfl1X3U9,FQP,47.43 
[9947] BUY,UUcfl1X3U9,ERF,630.34 
[10205] BUY,UUcfl1X3U9,KLE,347.36 
[10480] SET_SELL_AMOUNT,UUcfl1X3U9,QJZ,109.00 
[10517] SET_SELL_TRIGGER,UUcfl1X3U9,QJZ,103.56 
[10600] SET_BUY_AMOUNT,UUcfl1X3U9,QJZ,348.27 
[10731] BUY,UUcfl1X3U9,CUQ,389.39 
[10833] COMMIT_BUY,UUcfl1X3U9 
[10995] ADD,UUcfl1X3U9,50559.22 
[11050] SET_BUY_AMOUNT,UUcfl1X3U9,KDA,715.22 
[11113] SET_BUY_TRIGGER,UUcfl1X3U9,YIU,360.98 
[11139] SET_SELL_AMOUNT,UUcfl1X3U9,QJZ,281.53 
[11179] CANCEL_SET_SELL,UUcfl1X3U9,QJZ 
[11446] SET_BUY_AMOUNT,UUcfl1X3U9,KDA,261.37 
[11449] SET_BUY_TRIGGER,UUcfl1X3U9,RJG,29.20 
[11472] QUOTE,UUcfl1X3U9,VUS 
[11550] QUOTE,UUcfl1X3U9,QEO 
[11626] QUOTE,UUcfl1X3U9,XXQ 
[11868] BUY,UUcfl1X3U9,JUV,362.32 
[12022] SET_BUY_TRIGGER,UUcfl1X3U9,YIQ,127.40 
[12133] DISPLAY_SUMMARY,UUcfl1X3U9 
[12613] SET_SELL_AMOUNT,UUcfl1X3U9,KDA,155.26 
[12622] SET_SELL_TRIGGER,UUcfl1X3U9,KDA,146.33 
[12672] COMMIT_SELL,UUcfl1X3U9 
[12809] SET_BUY_AMOUNT,UUcfl1X3U9,QJZ,393.11 
[12902] SET_BUY_TRIGGER,UUcfl1X3U9,ZRJ,293.86 
[13205] BUY,UUcfl1X3U9,PRJ,10.02 
[13236] COMMIT_BUY,UUcfl1X3U9 
[13262] QUOTE,UUcfl1X3U9,OXV 
[13308] QUOTE,UUcfl1X3U9,QUT 
[13334] SET_BUY_AMOUNT,UUcfl1X3U9,KES,87.70 
[13571] QUOTE,UUcfl1X3U9,ECI 
[13607] BUY,UUcfl1X3U9,WYO,500.36 
[13619] COMMIT_BUY,UUcfl1X3U9 
[13710] SELL,UUcfl1X3U9,FQP,70.24 
[13776] COMMIT_BUY,UUcfl1X3U9 
[13907] QUOTE,UUcfl1X3U9,MIR 
[14139] SET_BUY_AMOUNT,UUcfl1X3U9,KES,551.65 
[14202] SET_BUY_TRIGGER,UUcfl1X3U9,VTY,44.80 
[14218] ADD,UUcfl1X3U9,88249.73 
[14219] BUY,UUcfl1X3U9,NGZ,514.53 
[14344] CANCEL_SET_SELL,UUcfl1X3U9,VNO 
[14350] ADD,UUcfl1X3U9,72115.78 
[14712] BUY,UUcfl1X3U9,AEM,299.27 
[14879] SET_SELL_AMOUNT,UUcfl1X3U9,KES,697.23 
[14907] SET_SELL_TRIGGER,UUcfl1X3U9,KES,559.53 
[15060] QUOTE,UUcfl1X3U9,WQC 
[15095] BUY,UUcfl1X3U9,ECI,689.32 
[15278] QUOTE,UUcfl1X3U9,YIU 
[15295] QUOTE,UUcfl1X3U9,MVY 
[15436] DISPLAY_SUMMARY,UUcfl1X3U9 
[15441] QUOTE,UUcfl1X3U9,VEN 
[15448] SET_BUY_TRIGGER,UUcfl1X3U9,LQN,147.15 
[15461] SET_SELL_TRIGGER,UUcfl1X3U9,LNJ,158.13 
[15565] ADD,UUcfl1X3U9,42887.55 
[15658] QUOTE,UUcfl1X3U9,QAX 
[15734] QUOTE,UUcfl1X3U9,NJF 
[15933] BUY,UUcfl1X3U9,FTB,714.48 
[16007] COMMIT_SELL,UUcfl1X3U9 
[16057] DISPLAY_SUMMARY,UUcfl1X3U9 
[16073] SET_SELL_TRIGGER,UUcfl1X3U9,FFZ,14.26 
[16147] CANCEL_SET_BUY,UUcfl1X3U9,NAW 
[16198] QUOTE,UUcfl1X3U9,RNE 
[16249] QUOTE,UUcfl1X3U9,OSA 
[16373] BUY,UUcfl1X3U9,SVV,380.56 
[16469] COMMIT_BUY,UUcfl1X3U9 
[16513] SET_SELL_TRIGGER,UUcfl1X3U9,YUR,111.59 
[16706] SET_SELL_TRIGGER,UUcfl1X3U9,MSV,54.76 
[16757] SET_BUY_AMOUNT,UUcfl1X3U9,KDA,187.27 
[16771] SET_BUY_TRIGGER,UUcfl1X3U9,JMX,127.38 
[16880] DISPLAY_SUMMARY,UUcfl1X3U9 
[17029] SELL,UUcfl1X3U9,OEY,326.18 
[17168] SET_SELL_AMOUNT,UUcfl1X3U9,QJZ,244.02 
[17279] CANCEL_SET_SELL,UUcfl1X3U9,QJZ 
[17375] CANCEL_SET_SELL,UUcfl1X3U9,IFU 
[17495] QUOTE,UUcfl1X3U9,WBX 
[17534] BUY,UUcfl1X3U9,LPR,399.08 
[17576] COMMIT_BUY,UUcfl1X3U9 
[17616] QUOTE,UUcfl1X3U9,HFS 
[17692] BUY,UUcfl1X3U9,BDX,164.59 
[17759] COMMIT_BUY,UUcfl1X3U9 
[17827] ADD,UUcfl1X3U9,89713.68 
[17932] QUOTE,UUcfl1X3U9,FVA 
[17964] BUY,UUcfl1X3U9,OTQ,167.11 
[18173] CANCEL_SELL,UUcfl1X3U9 
[18239] COMMIT_SELL,UUcfl1X3U9 
[18268] DISPLAY_SUMMARY,UUcfl1X3U9 
[18313] ADD,UUcfl1X3U9,88250.62 
[18508] SET_SELL_AMOUNT,UUcfl1X3U9,JVT,215.38 
[18568] QUOTE,UUcfl1X3U9,AUT 
[18588] ADD,UUcfl1X3U9,63965.50 
[18618] QUOTE,UUcfl1X3U9,ZCQ 
[18657] SELL,UUcfl1X3U9,JVT,723.09 
[18782] SET_SELL_AMOUNT,UUcfl1X3U9,JVT,179.91 
[18791] BUY,UUcfl1X3U9,VKP,422.82 
[18811] COMMIT_BUY,UUcfl1X3U9 
[18941] SELL,UUcfl1X3U9,FQP,689.48 
[18989] CANCEL_BUY,UUcfl1X3U9 
[19134] DISPLAY_SUMMARY,UUcfl1X3U9 
[19256] DISPLAY_SUMMARY,UUcfl1X3U9 
[19368] SET_BUY_TRIGGER,UUcfl1X3U9,QOD,50.55 
[19397] SELL,UUcfl1X3U9,JVT,747.72 
[19410] SET_SELL_AMOUNT,UUcfl1X3U9,FQP,748.24 
[19623] SET_SELL_TRIGGER,UUcfl1X3U9,FQP,503.85 
[19738] ADD,UUcfl1X3U9,63247.01 
[19906] BUY,UUcfl1X3U9,TSF,735.21 
[20257] DISPLAY_SUMMARY,UUcfl1X3U9 
[20318] SELL,UUcfl1X3U9,QJZ,47.80 
[20348] COMMIT_SELL,UUcfl1X3U9 
[20358] ADD,UUcfl1X3U9,73128.49 
[20852] COMMIT_BUY,UUcfl1X3U9 
[21015] SET_SELL_AMOUNT,UUcfl1X3U9,FQP,450.67 
[21026] BUY,UUcfl1X3U9,NJI,50.28 
[21079] SET_SELL_TRIGGER,UUcfl1X3U9,FQP,435.04 
[21295] SET_SELL_TRIGGER,UUcfl1X3U9,FCH,54.55 
[21438] DISPLAY_SUMMARY,UUcfl1X3U9 
[21489] SET_SELL_AMOUNT,UUcfl1X3U9,KDA,301.59 
[21578] SET_SELL_TRIGGER,UUcfl1X3U9,KDA,267.60 
[21785] CANCEL_SET_SELL,UUcfl1X3U9,UUJ 
[21839] ADD,UUcfl1X3U9,56467.41 
[21961] BUY,UUcfl1X3U9,UEC,12.73 
[22068] SET_SELL_TRIGGER,UUcfl1X3U9,VVO,149.55 
[22174] DISPLAY_SUMMARY,UUcfl1X3U9 
[22458] SELL,UUcfl1X3U9,JRJ,600.08 
[22585] COMMIT_SELL,UUcfl1X3U9 
[22758] ADD,UUcfl1X3U9,78741.81 
[22778] BUY,UUcfl1X3U9,QID,584.91 
[22798] CANCEL_SET_BUY,UUcfl1X3U9,LKK 
[22990] DISPLAY_SUMMARY,UUcfl1X3U9 
[23119] SET_BUY_TRIGGER,UUcfl1X3U9,GNY,156.43 
[23208] BUY,UUcfl1X3U9,SJG,668.06 
[23240] SET_SELL_TRIGGER,UUcfl1X3U9,FKZ,100.26 
[23340] SET_BUY_AMOUNT,UUcfl1X3U9,JRJ,138.91 
[23354] SET_BUY_TRIGGER,UUcfl1X3U9,UMN,121.04 
[23527] ADD,UUcfl1X3U9,74803.67 
[24164] QUOTE,UUcfl1X3U9,WYO 
[24236] BUY,UUcfl1X3U9,UZZ,717.34 
[24300] COMMIT_BUY,UUcfl1X3U9 
[24529] QUOTE,UUcfl1X3U9,ECL 
[24645] SET_BUY_TRIGGER,UUcfl1X3U9,WKE,141.55 
[24864] ADD,UUcfl1X3U9,94633.31 
[24927] BUY,UUcfl1X3U9,JKX,529.87 
[25104] CANCEL_BUY,UUcfl1X3U9 
[25135] SET_SELL_AMOUNT,UUcfl1X3U9,KDA,370.18 
[25147] QUOTE,UUcfl1X3U9,YQC 
[25183] CANCEL_SET_BUY,UUcfl1X3U9,KAH 
[25243] ADD,UUcfl1X3U9,98785.37 
[25304] BUY,UUcfl1X3U9,UEC,515.80 
[25312] COMMIT_BUY,UUcfl1X3U9 
[25361] COMMIT_BUY,UUcfl1X3U9 
[25368] ADD,UUcfl1X3U9,69809.20 
[25464] QUOTE,UUcfl1X3U9,RRE 
[25590] COMMIT_BUY,UUcfl1X3U9 
[25688] DISPLAY_SUMMARY,UUcfl1X3U9 
[25698] CANCEL_SET_SELL,UUcfl1X3U9,KDA 
[25710] DISPLAY_SUMMARY,UUcfl1X3U9 
[25858] SELL,UUcfl1X3U9,GYF,36.32 
[26005] COMMIT_SELL,UUcfl1X3U9 
[26010] SET_BUY_TRIGGER,UUcfl1X3U9,XME,56.81 
[26189] ADD,UUcfl1X3U9,58421.61 
[26415] BUY,UUcfl1X3U9,LJZ,297.71 
[26462] QUOTE,UUcfl1X3U9,VGW 
[26496] BUY,UUcfl1X3U9,RNE,53.19 
[26498] COMMIT_BUY,UUcfl1X3U9 
[26583] SET_BUY_AMOUNT,UUcfl1X3U9,EBS,462.63 
[26603] QUOTE,UUcfl1X3U9,KAS 
[26640] SET_SELL_AMOUNT,UUcfl1X3U9,UTV,399.03 
[26892] CANCEL_SET_SELL,UUcfl1X3U9,UTV 
[27012] BUY,UUcfl1X3U9,IOM,684.45 
[27330] SET_BUY_TRIGGER,UUcfl1X3U9,PUN,74.26 
[27397] COMMIT_BUY,UUcfl1X3U9 
[28082] QUOTE,UUcfl1X3U9,NZS 
[28101] BUY,UUcfl1X3U9,CDF,722.98 
[28253] COMMIT_BUY,UUcfl1X3U9 
[28494] DISPLAY_SUMMARY,UUcfl1X3U9 
[28498] SELL,UUcfl1X3U9,UTV,153.15 
[28558] COMMIT_SELL,UUcfl1X3U9 
[28563] DISPLAY_SUMMARY,UUcfl1X3U9 
[28572] SELL,UUcfl1X3U9,JCQ,144.90 
[28687] COMMIT_SELL,UUcfl1X3U9 
[28729] SET_SELL_TRIGGER,UUcfl1X3U9,VDP,10.67 
[28890] BUY,UUcfl1X3U9,BRT,163.89 
[28954] SELL,UUcfl1X3U9,UTV,294.90 
[28993] CANCEL_SET_BUY,UUcfl1X3U9,TZJ 
[29013] SELL,UUcfl1X3U9,GYF,460.93 
[29015] COMMIT_SELL,UUcfl1X3U9 
[29045] DISPLAY_SUMMARY,UUcfl1X3U9 
[29142] CANCEL_SET_SELL,UUcfl1X3U9,XTH 
[29178] ADD,UUcfl1X3U9,71288.80 
[29361] QUOTE,UUcfl1X3U9,ZYF 
[29625] QUOTE,UUcfl1X3U9,IFN 
[29732] CANCEL_BUY,UUcfl1X3U9 
[29791] DISPLAY_SUMMARY,UUcfl1X3U9 
[29851] SET_BUY_TRIGGER,UUcfl1X3U9,CUZ,124.86 
[30076] ADD,UUcfl1X3U9,75827.98 
[30251] BUY,UUcfl1X3U9,SYT,92.87 
[30378] COMMIT_BUY,UUcfl1X3U9 
[30464] SET_BUY_AMOUNT,UUcfl1X3U9,LFU,556.84 
[30468] DISPLAY_SUMMARY,UUcfl1X3U9 
[30527] ADD,UUcfl1X3U9,70868.62 
[30629] QUOTE,UUcfl1X3U9,WBL 
[30663] QUOTE,UUcfl1X3U9,WGP 
[30910] QUOTE,UUcfl1X3U9,LKV 
[30912] SET_SELL_AMOUNT,UUcfl1X3U9,KDA,30.59 
[31003] CANCEL_SET_SELL,UUcfl1X3U9,KDA 
[31004] DISPLAY_SUMMARY,UUcfl1X3U9 
[31006] ADD,UUcfl1X3U9,83270.17 
[31048] BUY,UUcfl1X3U9,VTY,419.96 
[31177] COMMIT_BUY,UUcfl1X3U9 
[31373] COMMIT_SELL,UUcfl1X3U9 
[31424] SET_BUY_AMOUNT,UUcfl1X3U9,QJZ,659.74 
[31507] SET_BUY_TRIGGER,UUcfl1X3U9,NOP,123.12 
[31572] SET_BUY_TRIGGER,UUcfl1X3U9,RDK,108.72 
[31628] SELL,UUcfl1X3U9,QJZ,282.98 
[31652] COMMIT_SELL,UUcfl1X3U9 
[31816] DISPLAY_SUMMARY,UUcfl1X3U9 
[31949] ADD,UUcfl1X3U9,85148.13 
[32016] SET_SELL_TRIGGER,UUcfl1X3U9,WNH,155.97 
[32033] SELL,UUcfl1X3U9,CUZ,337.30 
[32060] CANCEL_SET_SELL,UUcfl1X3U9,XDN 
[32357] SET_BUY_TRIGGER,UUcfl1X3U9,BHH,55.38 
[32457] SET_SELL_TRIGGER,UUcfl1X3U9,WLT,10.43 
[32563] ADD,UUcfl1X3U9,68591.58 
[32569] SET_SELL_AMOUNT,UUcfl1X3U9,JRJ,375.56 
[32573] CANCEL_SET_SELL,UUcfl1X3U9,JRJ 
[32741] CANCEL_SET_BUY,UUcfl1X3U9,KLY 
[32815] DISPLAY_SUMMARY,UUcfl1X3U9 
[32816] QUOTE,UUcfl1X3U9,JGF 
[32915] SET_BUY_AMOUNT,UUcfl1X3U9,QJZ,249.00 
[33001] SET_BUY_TRIGGER,UUcfl1X3U9,URA,15.58 
[33187] SET_SELL_TRIGGER,UUcfl1X3U9,MGO,136.86 
[33231] SET_SELL_TRIGGER,UUcfl1X3U9,UCG,129.11 
[33264] SELL,UUcfl1X3U9,OEY,224.74 
[33268] COMMIT_SELL,UUcfl1X3U9 
[33414] BUY,UUcfl1X3U9,ZHB,8.72 
[33805] CANCEL_BUY,UUcfl1X3U9 
[33905] SELL,UUcfl1X3U9,JQO,467.23 
[33940] COMMIT_SELL,UUcfl1X3U9 
[34006] ADD,UUcfl1X3U9,60483.64 
[34119] BUY,UUcfl1X3U9,ECX,540.82 
[34192] COMMIT_BUY,UUcfl1X3U9 
[34295] QUOTE,UUcfl1X3U9,LNJ 
[34557] SET_SELL_TRIGGER,UUcfl1X3U9,XAN,117.70 
[34576] BUY,UUcfl1X3U9,KBI,684.79 
[34775] COMMIT_BUY,UUcfl1X3U9 
[34896] BUY,UUcfl1X3U9,JEA,366.44 
[34900] COMMIT_BUY,UUcfl1X3U9 
[34960] SELL,UUcfl1X3U9,OEY,620.51 
[35000] COMMIT_SELL,UUcfl1X3U9 
[35004] CANCEL_SELL,UUcfl1X3U9 
[35061] DISPLAY_SUMMARY,UUcfl1X3U9 
[35101] QUOTE,UUcfl1X3U9,NKC 
[35153] SET_BUY_TRIGGER,UUcfl1X3U9,GWS,63.72 
[35314] DISPLAY_SUMMARY,UUcfl1X3U9 
[35455] DISPLAY_SUMMARY,UUcfl1X3U9 
[35611] DISPLAY_SUMMARY,UUcfl1X3U9 
[35738] ADD,UUcfl1X3U9,45953.38 
[35750] BUY,UUcfl1X3U9,CSZ,610.27 
[35820] COMMIT_BUY,UUcfl1X3U9 
[35896] DISPLAY_SUMMARY,UUcfl1X3U9 
[35949] BUY,UUcfl1X3U9,RNE,359.06 
[35956] COMMIT_SELL,UUcfl1X3U9 
[36179] ADD,UUcfl1X3U9,62004.67 
[36264] SELL,UUcfl1X3U9,EBS,398.01 
[36537] ADD,UUcfl1X3U9,72441.30 
[36552] BUY,UUcfl1X3U9,WQE,716.61 
[36721] COMMIT_BUY,UUcfl1X3U9 
[36782] ADD,UUcfl1X3U9,71553.23 
[37056] SET_SELL_AMOUNT,UUcfl1X3U9,KDA,366.68 
[37065] SET_SELL_TRIGGER,UUcfl1X3U9,KDA,154.65 
[37211] SET_SELL_TRIGGER,UUcfl1X3U9,KVK,32.48 
[37232] ADD,UUcfl1X3U9,83621.75 
[37249] BUY,UUcfl1X3U9,KRX,390.67 
[37271] COMMIT_BUY,UUcfl1X3U9 
[37304] SELL,UUcfl1X3U9,ZAN,468.93 
[37409] COMMIT_SELL,UUcfl1X3U9 
[37466] ADD,UUcfl1X3U9,71546.91 
[37499] BUY,UUcfl1X3U9,NVX,25.43 
[37572] CANCEL_SET_BUY,UUcfl1X3U9,DXL 
[37729] SET_BUY_TRIGGER,UUcfl1X3U9,NHB,23.95 
[37730] BUY,UUcfl1X3U9,PXF,613.25 
[37817] CANCEL_SET_SELL,UUcfl1X3U9,DWK 
[37834] DISPLAY_SUMMARY,UUcfl1X3U9 
[37907] SET_BUY_AMOUNT,UUcfl1X3U9,EBS,575.78 
[37980] SET_BUY_TRIGGER,UUcfl1X3U9,WYA,255.45 
[38210] SET_BUY_AMOUNT,UUcfl1X3U9,FQP,90.81 
[38255] SET_BUY_TRIGGER,UUcfl1X3U9,BWL,10.52 
[38445] SET_BUY_AMOUNT,UUcfl1X3U9,CUZ,99.21 
[38781] SET_BUY_TRIGGER,UUcfl1X3U9,JXR,86.88 
[38790] CANCEL_SET_BUY,UUcfl1X3U9,AJR 
[38811] QUOTE,UUcfl1X3U9,TTY 
[38838] BUY,UUcfl1X3U9,KEV,350.41 
[38874] CANCEL_BUY,UUcfl1X3U9 
[38932] DISPLAY_SUMMARY,UUcfl1X3U9 
[39006] ADD,UUcfl1X3U9,55570.48 
[39118] QUOTE,UUcfl1X3U9,COE 
[39220] BUY,UUcfl1X3U9,IOY,117.04 
[39292] CANCEL_BUY,UUcfl1X3U9 
[39299] SET_BUY_AMOUNT,UUcfl1X3U9,NHG,234.80 
[39395] SET_BUY_TRIGGER,UUcfl1X3U9,HMR,209.82 
[39767] ADD,UUcfl1X3U9,33002.44 
[39935] DISPLAY_SUMMARY,UUcfl1X3U9 
[40032] DISPLAY_SUMMARY,UUcfl1X3U9 
[40091] BUY,UUcfl1X3U9,FTB,611.86 
[40107] COMMIT_BUY,UUcfl1X3U9 
[40154] SELL,UUcfl1X3U9,DFE,549.29 
[40240] COMMIT_SELL,UUcfl1X3U9 
[40536] ADD,UUcfl1X3U9,63534.17 
[40543] SET_SELL_TRIGGER,UUcfl1X3U9,RNE,133.97 
[40660] ADD,UUcfl1X3U9,70902.70 
[40677] SET_BUY_AMOUNT,UUcfl1X3U9,OEY,335.66 
[40689] DISPLAY_SUMMARY,UUcfl1X3U9 
[40818] CANCEL_SELL,UUcfl1X3U9 
[40893] SET_BUY_TRIGGER,UUcfl1X3U9,OFP,212.60 
[41017] ADD,UUcfl1X3U9,68388.10 
[41126] QUOTE,UUcfl1X3U9,OEX 
[41338] SET_SELL_AMOUNT,UUcfl1X3U9,JCQ,72.67 
[41550] BUY,UUcfl1X3U9,KLE,410.62 
[41592] COMMIT_BUY,UUcfl1X3U9 
[41610] DISPLAY_SUMMARY,UUcfl1X3U9 
[41760] SET_BUY_AMOUNT,UUcfl1X3U9,JVT,575.47 
[41893] SET_BUY_TRIGGER,UUcfl1X3U9,QAX,46.74 
[41894] ADD,UUcfl1X3U9,64303.30 
[41969] BUY,UUcfl1X3U9,JJW,82.32 
[42020] COMMIT_BUY,UUcfl1X3U9 
[42320] SET_BUY_AMOUNT,UUcfl1X3U9,JCQ,295.32 
[42476] QUOTE,UUcfl1X3U9,PHZ 
[42505] BUY,UUcfl1X3U9,GGY,528.83 
[42722] CANCEL_BUY,UUcfl1X3U9 
[42745] SET_SELL_AMOUNT,UUcfl1X3U9,BCQ,361.62 
[42829] SET_SELL_TRIGGER,UUcfl1X3U9,BCQ,133.71 
[42911] DISPLAY_SUMMARY,UUcfl1X3U9 
[42919] ADD,UUcfl1X3U9,73995.07 
[42925] BUY,UUcfl1X3U9,AOU,633.00 
[42952] COMMIT_BUY,UUcfl1X3U9 
[42957] SET_SELL_TRIGGER,UUcfl1X3U9,WBL,127.80 
[42965] SELL,UUcfl1X3U9,CUZ,636.50 
[43098] QUOTE,UUcfl1X3U9,RDK 
[43264] CANCEL_BUY,UUcfl1X3U9 
[43310] QUOTE,UUcfl1X3U9,OFP 
[43367] BUY,UUcfl1X3U9,ZJG,593.21 
[43437] COMMIT_BUY,UUcfl1X3U9 
[43565] BUY,UUcfl1X3U9,OEY,165.32 
[43778] COMMIT_BUY,UUcfl1X3U9 
[43844] ADD,UUcfl1X3U9,65473.18 
[43890] BUY,UUcfl1X3U9,SAJ,246.20 
[43891] QUOTE,UUcfl1X3U9,VGW 
[43905] ADD,UUcfl1X3U9,67969.56 
[44065] BUY,UUcfl1X3U9,MRH,514.55 
[44074] SET_SELL_TRIGGER,UUcfl1X3U9,KNM,153.50 
[44090] SET_SELL_AMOUNT,UUcfl1X3U9,JVT,726.54 
[44147] SET_SELL_TRIGGER,UUcfl1X3U9,JVT,318.53 
[44152] ADD,UUcfl1X3U9,70072.90 
[44408] QUOTE,UUcfl1X3U9,BFB 
[44542] BUY,UUcfl1X3U9,CSZ,422.84 
[44603] SET_BUY_TRIGGER,UUcfl1X3U9,QGL,90.57 
[44650] SET_SELL_TRIGGER,UUcfl1X3U9,CBX,67.21 
[44661] SET_BUY_TRIGGER,UUcfl1X3U9,KJH,76.24 
[44704] ADD,UUcfl1X3U9,88367.25 
[44719] QUOTE,UUcfl1X3U9,SBT 
[44957] COMMIT_SELL,UUcfl1X3U9 
[45136] CANCEL_SELL,UUcfl1X3U9 
[45235] DISPLAY_SUMMARY,UUcfl1X3U9 
[45369] QUOTE,UUcfl1X3U9,QEO 
