[304] ADD,hQaIWhluU7,70082.66 
[5693] DISPLAY_SUMMARY,hQaIWhluU7 
[5746] SELL,hQaIWhluU7,KDA,476.56 
[6056] CANCEL_SELL,hQaIWhluU7 
[6205] DISPLAY_SUMMARY,hQaIWhluU7 
[6328] SET_SELL_TRIGGER,hQaIWhluU7,YZC,190.81 
[6472] COMMIT_BUY,hQaIWhluU7 
[6613] QUOTE,hQaIWhluU7,JQO 
[6637] SET_SELL_AMOUNT,hQaIWhluU7,FQP,338.86 
[6650] QUOTE,hQaIWhluU7,JTY 
[6707] CANCEL_SET_SELL,hQaIWhluU7,FQP 
[6824] BUY,hQaIWhluU7,VEX,73.83 
[6870] CANCEL_SELL,hQaIWhluU7 
[6991] SELL,hQaIWhluU7,KDA,574.81 
[7164] COMMIT_SELL,hQaIWhluU7 
[7256] SET_BUY_TRIGGER,hQaIWhluU7,KRY,175.80 
[7404] SET_SELL_AMOUNT,hQaIWhluU7,KDA,284.34 
[7574] CANCEL_SET_SELL,hQaIWhluU7,KDA 
[7622] ADD,hQaIWhluU7,93660.18 
[7685] QUOTE,hQaIWhluU7,YEW 
[7718] BUY,hQaIWhluU7,DPG,63.05 
[7794] CANCEL_SET_BUY,hQaIWhluU7,XLV 
[7807] SET_BUY_AMOUNT,hQaIWhluU7,FQP,384.84 
[7838] SET_BUY_TRIGGER,hQaIWhluU7,ZFV,81.98 
[8089] SELL,hQaIWhluU7,FQP,143.33 
[8304] COMMIT_SELL,hQaIWhluU7 
[8331] BUY,hQaIWhluU7,PTC,433.04 
[8359] COMMIT_BUY,hQaIWhluU7 
[8468] SELL,hQaIWhluU7,QJZ,284.43 
[8484] CANCEL_SELL,hQaIWhluU7 
[8709] DISPLAY_SUMMARY,hQaIWhluU7 
[8781] SET_BUY_TRIGGER,hQaIWhluU7,XZN,108.97 
[8784] ADD,hQaIWhluU7,92240.65 
[8901] COMMIT_SELL,hQaIWhluU7 
[9033] ADD,hQaIWhluU7,79299.94 
[9090] QUOTE,hQaIWhluU7,TVP 
[9092] QUOTE,hQaIWhluU7,RUN 
[9463] CANCEL_SET_SELL,hQaIWhluU7,UTV 
[9608] ADD,hQaIWhluU7,80733.38 
[9685] BUY,hQaIWhluU7,MGO,640.01 
[10111] COMMIT_BUY,hQaIWhluU7 
[10192] DISPLAY_SUMMARY,hQaIWhluU7 
[10276] SET_SELL_AMOUNT,hQaIWhluU7,KES,225.95 
[10434] SET_SELL_TRIGGER,hQaIWhluU7,KES,131.93 
[10436] SELL,hQaIWhluU7,QJZ,590.25 
[10440] COMMIT_BUY,hQaIWhluU7 
[10446] BUY,hQaIWhluU7,JZJ,110.79 
[10722] COMMIT_BUY,hQaIWhluU7 
[11191] SET_BUY_AMOUNT,hQaIWhluU7,QJZ,15.75 
[11201] SET_BUY_TRIGGER,hQaIWhluU7,FMJ,0.84 
[11238] SET_BUY_AMOUNT,hQaIWhluU7,KES,514.54 
[11263] SET_BUY_TRIGGER,hQaIWhluU7,FQP,459.52 
[11307] SET_SELL_AMOUNT,hQaIWhluU7,JVT,269.35 
[11378] SET_SELL_TRIGGER,hQaIWhluU7,JVT,50.47 
[11402] SET_SELL_TRIGGER,hQaIWhluU7,TSU,103.16 
[11719] SELL,hQaIWhluU7,JVT,234.24 
[11737] CANCEL_SET_BUY,hQaIWhluU7,PYB 
[11742] ADD,hQaIWhluU7,60931.49 
[11753] QUOTE,hQaIWhluU7,ERF 
[11880] BUY,hQaIWhluU7,BWR,77.11 
[11896] CANCEL_BUY,hQaIWhluU7 
[11902] SET_BUY_AMOUNT,hQaIWhluU7,KES,218.63 
[11954] SELL,hQaIWhluU7,FQP,179.84 
[12018] COMMIT_SELL,hQaIWhluU7 
[12201] BUY,hQaIWhluU7,GPM,88.37 
[12212] SET_SELL_TRIGGER,hQaIWhluU7,DRO,120.31 
[12652] CANCEL_SET_SELL,hQaIWhluU7,YJK 
[12713] SELL,hQaIWhluU7,OEY,444.94 
[12799] DISPLAY_SUMMARY,hQaIWhluU7 
[12851] ADD,hQaIWhluU7,93425.32 
[12869] SET_BUY_TRIGGER,hQaIWhluU7,XXT,58.98 
[12872] QUOTE,hQaIWhluU7,ILT 
[12960] BUY,hQaIWhluU7,FQU,233.06 
[13180] COMMIT_BUY,hQaIWhluU7 
[13392] DISPLAY_SUMMARY,hQaIWhluU7 
[13399] SELL,hQaIWhluU7,OEY,569.53 
[13402] COMMIT_SELL,hQaIWhluU7 
[13409] QUOTE,hQaIWhluU7,YOG 
[13589] BUY,hQaIWhluU7,ZRH,732.20 
[13772] SET_SELL_AMOUNT,hQaIWhluU7,GYF,488.17 
[13773] SET_SELL_TRIGGER,hQaIWhluU7,GYF,67.59 
[13806] ADD,hQaIWhluU7,95796.44 
[13964] QUOTE,hQaIWhluU7,QPE 
[14022] SET_BUY_AMOUNT,hQaIWhluU7,KDA,258.70 
[14113] SET_BUY_TRIGGER,hQaIWhluU7,XME,202.05 
[14425] DISPLAY_SUMMARY,hQaIWhluU7 
[14795] ADD,hQaIWhluU7,78510.73 
[14855] CANCEL_SELL,hQaIWhluU7 
[14865] SELL,hQaIWhluU7,GYF,84.81 
[14914] COMMIT_SELL,hQaIWhluU7 
[15061] SELL,hQaIWhluU7,KDA,568.45 
[15205] COMMIT_SELL,hQaIWhluU7 
[15243] DISPLAY_SUMMARY,hQaIWhluU7 
[15349] SET_SELL_AMOUNT,hQaIWhluU7,KDA,593.17 
[15372] SET_SELL_TRIGGER,hQaIWhluU7,KDA,87.30 
[15525] BUY,hQaIWhluU7,PUC,255.31 
[15554] COMMIT_BUY,hQaIWhluU7 
[15611] SELL,hQaIWhluU7,JVT,4.61 
[15612] CANCEL_SET_SELL,hQaIWhluU7,KKI 
[15809] DISPLAY_SUMMARY,hQaIWhluU7 
[15834] SET_BUY_TRIGGER,hQaIWhluU7,JRJ,67.15 
[15842] SET_SELL_AMOUNT,hQaIWhluU7,OEY,107.53 
[15916] SET_SELL_TRIGGER,hQaIWhluU7,OEY,106.61 
[16037] SET_BUY_TRIGGER,hQaIWhluU7,XQG,186.78 
[16181] ADD,hQaIWhluU7,64118.88 
[16222] QUOTE,hQaIWhluU7,SKV 
[16276] ADD,hQaIWhluU7,78808.08 
[16312] DISPLAY_SUMMARY,hQaIWhluU7 
[16391] DISPLAY_SUMMARY,hQaIWhluU7 
[16492] SET_BUY_AMOUNT,hQaIWhluU7,GYF,54.25 
[16568] SET_BUY_TRIGGER,hQaIWhluU7,DMW,9.45 
[16588] CANCEL_BUY,hQaIWhluU7 
[16658] BUY,hQaIWhluU7,SJG,169.82 
[16905] QUOTE,hQaIWhluU7,CMD 
[16982] CANCEL_BUY,hQaIWhluU7 
[17121] ADD,hQaIWhluU7,40266.75 
[17317] QUOTE,hQaIWhluU7,JZJ 
[17359] ADD,hQaIWhluU7,81744.09 
[17594] BUY,hQaIWhluU7,IPJ,667.81 
[17644] SET_SELL_TRIGGER,hQaIWhluU7,FSD,66.87 
[17696] ADD,hQaIWhluU7,78361.16 
[17784] SET_SELL_AMOUNT,hQaIWhluU7,KDA,379.62 
[17821] SELL,hQaIWhluU7,KES,702.13 
[17896] COMMIT_SELL,hQaIWhluU7 
[17903] BUY,hQaIWhluU7,OQZ,13.66 
[17955] SET_SELL_AMOUNT,hQaIWhluU7,KDA,564.49 
[18062] SET_SELL_TRIGGER,hQaIWhluU7,KDA,12.13 
[18132] ADD,hQaIWhluU7,51430.79 
[18144] BUY,hQaIWhluU7,YZC,248.80 
[18223] QUOTE,hQaIWhluU7,HNW 
[18237] SELL,hQaIWhluU7,QJZ,302.14 
[18521] CANCEL_BUY,hQaIWhluU7 
[18713] ADD,hQaIWhluU7,44707.04 
[18858] QUOTE,hQaIWhluU7,MQF 
[19084] DISPLAY_SUMMARY,hQaIWhluU7 
[19085] SELL,hQaIWhluU7,JVT,208.40 
[19229] BUY,hQaIWhluU7,MRK,633.47 
[19427] DISPLAY_SUMMARY,hQaIWhluU7 
[19432] BUY,hQaIWhluU7,NRY,311.03 
[19938] QUOTE,hQaIWhluU7,AOH 
[19944] BUY,hQaIWhluU7,MLU,77.65 
[20071] SET_SELL_AMOUNT,hQaIWhluU7,JVT,113.09 
[20174] DISPLAY_SUMMARY,hQaIWhluU7 
[20254] SET_SELL_AMOUNT,hQaIWhluU7,JVT,691.48 
[20270] QUOTE,hQaIWhluU7,JIO 
[20451] BUY,hQaIWhluU7,OPN,505.12 
[20669] CANCEL_SELL,hQaIWhluU7 
[20935] DISPLAY_SUMMARY,hQaIWhluU7 
[20991] SET_BUY_AMOUNT,hQaIWhluU7,JCQ,388.18 
[21047] SET_BUY_TRIGGER,hQaIWhluU7,WNU,17.22 
[21053] ADD,hQaIWhluU7,87772.18 
[21094] QUOTE,hQaIWhluU7,HFI 
[21286] QUOTE,hQaIWhluU7,ONI 
[21352] SET_BUY_AMOUNT,hQaIWhluU7,GYF,668.29 
[21377] SET_BUY_TRIGGER,hQaIWhluU7,CXW,95.89 
[21387] DISPLAY_SUMMARY,hQaIWhluU7 
[21443] SET_SELL_AMOUNT,hQaIWhluU7,KES,313.37 
[21622] SET_SELL_TRIGGER,hQaIWhluU7,KES,16.51 
[21774] DISPLAY_SUMMARY,hQaIWhluU7 
[21800] BUY,hQaIWhluU7,GMF,559.52 
[21915] QUOTE,hQaIWhluU7,OQW 
[21936] SET_BUY_TRIGGER,hQaIWhluU7,SOA,48.05 
[21952] BUY,hQaIWhluU7,VOY,22.14 
[22012] SET_BUY_TRIGGER,hQaIWhluU7,MOM,15.86 
[22030] BUY,hQaIWhluU7,HIN,60.71 
[22162] COMMIT_BUY,hQaIWhluU7 
[22296] SELL,hQaIWhluU7,JVT,678.07 
[22471] COMMIT_SELL,hQaIWhluU7 
[22534] ADD,hQaIWhluU7,100149.64 
[22537] QUOTE,hQaIWhluU7,KBI 
[22611] SET_BUY_TRIGGER,hQaIWhluU7,KRX,162.54 
[22939] SELL,hQaIWhluU7,KES,484.48 
[23043] COMMIT_SELL,hQaIWhluU7 
[23077] DISPLAY_SUMMARY,hQaIWhluU7 
[23162] BUY,hQaIWhluU7,QXE,331.10 
[23270] CANCEL_BUY,hQaIWhluU7 
[23436] ADD,hQaIWhluU7,64990.86 
[23466] QUOTE,hQaIWhluU7,LLD 
[23486] BUY,hQaIWhluU7,VFH,466.91 
[23525] SELL,hQaIWhluU7,QJZ,571.59 
[23648] SET_BUY_TRIGGER,hQaIWhluU7,GHL,198.15 
[23685] QUOTE,hQaIWhluU7,MDZ 
[23724] ADD,hQaIWhluU7,63277.74 
[23797] BUY,hQaIWhluU7,GYT,682.70 
[23819] ADD,hQaIWhluU7,64924.29 
[23853] BUY,hQaIWhluU7,UJC,503.48 
[23921] SET_SELL_TRIGGER,hQaIWhluU7,JVT,105.73 
[23971] SET_SELL_TRIGGER,hQaIWhluU7,EMN,79.20 
[23992] ADD,hQaIWhluU7,55382.02 
[24039] QUOTE,hQaIWhluU7,PPW 
[24126] DISPLAY_SUMMARY,hQaIWhluU7 
[24217] QUOTE,hQaIWhluU7,LLE 
[24331] DISPLAY_SUMMARY,hQaIWhluU7 
[24469] SET_BUY_AMOUNT,hQaIWhluU7,OEY,658.91 
[24589] SET_BUY_TRIGGER,hQaIWhluU7,LRS,359.75 
[24611] COMMIT_BUY,hQaIWhluU7 
[24874] SELL,hQaIWhluU7,FQP,559.16 
[24935] COMMIT_SELL,hQaIWhluU7 
[25045] QUOTE,hQaIWhluU7,TUO 
[25169] ADD,hQaIWhluU7,77234.82 
[25174] BUY,hQaIWhluU7,KYT,484.28 
[25235] COMMIT_BUY,hQaIWhluU7 
[25251] SET_BUY_AMOUNT,hQaIWhluU7,JCQ,346.08 
[25612] SET_BUY_TRIGGER,hQaIWhluU7,KAF,307.86 
[25620] ADD,hQaIWhluU7,56326.93 
[25725] BUY,hQaIWhluU7,QOQ,181.31 
[25847] COMMIT_BUY,hQaIWhluU7 
[25885] SET_SELL_AMOUNT,hQaIWhluU7,KDA,652.30 
[25895] SET_SELL_TRIGGER,hQaIWhluU7,KDA,494.70 
[25907] DISPLAY_SUMMARY,hQaIWhluU7 
[25951] SET_BUY_TRIGGER,hQaIWhluU7,LVV,44.80 
[25973] ADD,hQaIWhluU7,85469.91 
[26115] BUY,hQaIWhluU7,OEY,5.60 
[26193] COMMIT_BUY,hQaIWhluU7 
[26568] SELL,hQaIWhluU7,KES,500.29 
[26651] COMMIT_SELL,hQaIWhluU7 
[27135] ADD,hQaIWhluU7,70819.07 
[27235] SET_BUY_TRIGGER,hQaIWhluU7,SYM,134.14 
[27308] CANCEL_SET_SELL,hQaIWhluU7,BSG 
[27328] SELL,hQaIWhluU7,KES,380.11 
[27539] QUOTE,hQaIWhluU7,LCP 
[27577] CANCEL_SET_SELL,hQaIWhluU7,VZB 
[27604] SELL,hQaIWhluU7,QJZ,227.81 
[27679] SET_SELL_TRIGGER,hQaIWhluU7,SIK,46.68 
[27956] ADD,hQaIWhluU7,79836.53 
[27962] CANCEL_BUY,hQaIWhluU7 
[28067] SET_SELL_TRIGGER,hQaIWhluU7,FZU,76.54 
[28133] DISPLAY_SUMMARY,hQaIWhluU7 
[28142] SET_BUY_TRIGGER,hQaIWhluU7,YBB,128.01 
[28269] ADD,hQaIWhluU7,58701.43 
[28465] BUY,hQaIWhluU7,UGG,102.16 
[28714] COMMIT_BUY,hQaIWhluU7 
[28784] QUOTE,hQaIWhluU7,YWK 
[28926] DISPLAY_SUMMARY,hQaIWhluU7 
[28947] SELL,hQaIWhluU7,GYF,110.89 
[29001] CANCEL_BUY,hQaIWhluU7 
[29065] DISPLAY_SUMMARY,hQaIWhluU7 
[29078] DISPLAY_SUMMARY,hQaIWhluU7 
[29149] DISPLAY_SUMMARY,hQaIWhluU7 
[29169] SET_BUY_AMOUNT,hQaIWhluU7,KDA,511.56 
[29208] SET_BUY_TRIGGER,hQaIWhluU7,ZQW,143.67 
[29293] ADD,hQaIWhluU7,66590.01 
[29789] QUOTE,hQaIWhluU7,NIR 
[29888] CANCEL_SELL,hQaIWhluU7 
[29891] ADD,hQaIWhluU7,62865.14 
[29987] BUY,hQaIWhluU7,LMB,714.86 
[30058] SELL,hQaIWhluU7,OEY,634.97 
[30492] SET_SELL_TRIGGER,hQaIWhluU7,UGG,142.08 
[30617] SELL,hQaIWhluU7,EBS,508.77 
[30624] CANCEL_SELL,hQaIWhluU7 
[30887] ADD,hQaIWhluU7,71630.03 
[30946] QUOTE,hQaIWhluU7,CVK 
[31045] QUOTE,hQaIWhluU7,MXD 
[31089] SET_BUY_AMOUNT,hQaIWhluU7,KES,699.91 
[31096] SET_BUY_TRIGGER,hQaIWhluU7,NLP,268.39 
[31135] ADD,hQaIWhluU7,82796.03 
[31216] SET_BUY_AMOUNT,hQaIWhluU7,JVT,553.47 
[31284] DISPLAY_SUMMARY,hQaIWhluU7 
[31563] SET_BUY_TRIGGER,hQaIWhluU7,PDX,391.65 
[31686] SET_BUY_TRIGGER,hQaIWhluU7,JCQ,63.70 
[31783] ADD,hQaIWhluU7,60489.15 
[31879] SELL,hQaIWhluU7,KDA,435.41 
[32018] COMMIT_SELL,hQaIWhluU7 
[32310] SET_SELL_TRIGGER,hQaIWhluU7,HPN,154.31 
[32475] SET_BUY_TRIGGER,hQaIWhluU7,JTX,136.99 
[32578] COMMIT_BUY,hQaIWhluU7 
[32849] ADD,hQaIWhluU7,93984.89 
[32962] BUY,hQaIWhluU7,CTT,461.55 
[33150] COMMIT_BUY,hQaIWhluU7 
[33353] DISPLAY_SUMMARY,hQaIWhluU7 
[33459] SELL,hQaIWhluU7,KDA,678.57 
[33882] COMMIT_SELL,hQaIWhluU7 
[33890] SET_BUY_TRIGGER,hQaIWhluU7,YOQ,89.08 
[33989] QUOTE,hQaIWhluU7,UHO 
[34141] ADD,hQaIWhluU7,76559.51 
[34154] QUOTE,hQaIWhluU7,MOS 
[34210] SET_BUY_TRIGGER,hQaIWhluU7,RVZ,97.29 
[34212] CANCEL_SELL,hQaIWhluU7 
[34309] BUY,hQaIWhluU7,GTX,241.06 
[34346] SET_SELL_AMOUNT,hQaIWhluU7,QAX,647.08 
[34527] SET_SELL_TRIGGER,hQaIWhluU7,QAX,583.43 
[34620] ADD,hQaIWhluU7,84230.98 
[34646] SET_SELL_TRIGGER,hQaIWhluU7,PUC,159.74 
[34701] SET_BUY_TRIGGER,hQaIWhluU7,VVW,115.88 
[34780] ADD,hQaIWhluU7,59682.34 
[35063] QUOTE,hQaIWhluU7,MAX 
[35143] QUOTE,hQaIWhluU7,MWV 
[35207] SET_BUY_TRIGGER,hQaIWhluU7,AHE,131.00 
[35238] SELL,hQaIWhluU7,EBS,457.81 
[35251] COMMIT_SELL,hQaIWhluU7 
[35261] DISPLAY_SUMMARY,hQaIWhluU7 
[35549] SET_SELL_AMOUNT,hQaIWhluU7,OEY,470.21 
[35710] SET_SELL_TRIGGER,hQaIWhluU7,OEY,337.95 
[35781] BUY,hQaIWhluU7,KLY,476.51 
[36013] SELL,hQaIWhluU7,KES,125.64 
[36069] COMMIT_SELL,hQaIWhluU7 
[36239] SET_SELL_AMOUNT,hQaIWhluU7,JQO,727.68 
[36300] QUOTE,hQaIWhluU7,MMY 
[36335] ADD,hQaIWhluU7,81118.94 
[36351] QUOTE,hQaIWhluU7,FQR 
[36498] SET_BUY_TRIGGER,hQaIWhluU7,LKK,64.22 
[36518] DISPLAY_SUMMARY,hQaIWhluU7 
[36776] SET_SELL_TRIGGER,hQaIWhluU7,JQO,47.87 
[36816] DISPLAY_SUMMARY,hQaIWhluU7 
[36863] SET_SELL_TRIGGER,hQaIWhluU7,WYO,31.80 
[36932] CANCEL_SET_SELL,hQaIWhluU7,NAR 
[37058] SET_BUY_TRIGGER,hQaIWhluU7,JIC,135.80 
[37204] DISPLAY_SUMMARY,hQaIWhluU7 
[37263] DISPLAY_SUMMARY,hQaIWhluU7 
[37406] SET_SELL_TRIGGER,hQaIWhluU7,GNY,173.56 
[37530] DISPLAY_SUMMARY,hQaIWhluU7 
[37552] DISPLAY_SUMMARY,hQaIWhluU7 
[37711] QUOTE,hQaIWhluU7,KAH 
[37851] QUOTE,hQaIWhluU7,PNP 
[37871] QUOTE,hQaIWhluU7,YBP 
[37887] QUOTE,hQaIWhluU7,PSJ 
[38046] QUOTE,hQaIWhluU7,DGA 
[38047] BUY,hQaIWhluU7,OGR,343.34 
[38262] COMMIT_BUY,hQaIWhluU7 
[38539] ADD,hQaIWhluU7,81060.63 
[38619] QUOTE,hQaIWhluU7,GGI 
[38636] SET_SELL_AMOUNT,hQaIWhluU7,QAX,397.92 
[38733] SET_SELL_TRIGGER,hQaIWhluU7,QAX,366.73 
[38817] BUY,hQaIWhluU7,DLQ,314.98 
[39112] COMMIT_BUY,hQaIWhluU7 
[39180] BUY,hQaIWhluU7,KJD,498.80 
[39319] CANCEL_SELL,hQaIWhluU7 
[39387] DISPLAY_SUMMARY,hQaIWhluU7 
[39640] ADD,hQaIWhluU7,50485.28 
[40106] BUY,hQaIWhluU7,XMA,735.11 
[40116] COMMIT_BUY,hQaIWhluU7 
[40139] SET_SELL_TRIGGER,hQaIWhluU7,WZM,79.17 
[40299] BUY,hQaIWhluU7,VBO,733.28 
[40374] COMMIT_BUY,hQaIWhluU7 
[40464] DISPLAY_SUMMARY,hQaIWhluU7 
[40568] ADD,hQaIWhluU7,81050.37 
[40587] BUY,hQaIWhluU7,XMA,739.92 
[40629] COMMIT_BUY,hQaIWhluU7 
[40741] QUOTE,hQaIWhluU7,DRP 
[40977] BUY,hQaIWhluU7,KMZ,266.59 
[41001] COMMIT_BUY,hQaIWhluU7 
[41170] SELL,hQaIWhluU7,RUN,451.38 
[41296] COMMIT_SELL,hQaIWhluU7 
[41313] BUY,hQaIWhluU7,RLS,513.82 
[41420] ADD,hQaIWhluU7,74104.36 
[41495] QUOTE,hQaIWhluU7,PXS 
[41562] ADD,hQaIWhluU7,84497.98 
[41572] SET_BUY_TRIGGER,hQaIWhluU7,JRY,197.95 
[41679] DISPLAY_SUMMARY,hQaIWhluU7 
[41710] SET_SELL_AMOUNT,hQaIWhluU7,NHG,529.03 
[41970] DISPLAY_SUMMARY,hQaIWhluU7 
[42007] QUOTE,hQaIWhluU7,KKI 
[42150] SET_BUY_AMOUNT,hQaIWhluU7,XXQ,605.55 
[42265] SET_BUY_TRIGGER,hQaIWhluU7,CVP,400.91 
[42326] SET_BUY_TRIGGER,hQaIWhluU7,OKK,167.92 
[42447] SET_BUY_AMOUNT,hQaIWhluU7,XXQ,292.74 
[42593] SELL,hQaIWhluU7,JRJ,494.60 
[42724] COMMIT_SELL,hQaIWhluU7 
[42763] ADD,hQaIWhluU7,97348.19 
[42850] QUOTE,hQaIWhluU7,LNJ 
[42874] BUY,hQaIWhluU7,JRY,329.58 
[42955] BUY,hQaIWhluU7,BRT,152.48 
[43007] COMMIT_BUY,hQaIWhluU7 
[43047] QUOTE,hQaIWhluU7,CLH 
[43062] BUY,hQaIWhluU7,CLH,461.17 
[43253] COMMIT_BUY,hQaIWhluU7 
[43256] DISPLAY_SUMMARY,hQaIWhluU7 
[43349] DISPLAY_SUMMARY,hQaIWhluU7 
[43510] DISPLAY_SUMMARY,hQaIWhluU7 
[43576] SET_SELL_TRIGGER,hQaIWhluU7,NHG,296.34 
[43646] ADD,hQaIWhluU7,73653.64 
[43654] BUY,hQaIWhluU7,ZMS,330.09 
[43815] COMMIT_BUY,hQaIWhluU7 
[43994] DISPLAY_SUMMARY,hQaIWhluU7 
[44010] ADD,hQaIWhluU7,65268.08 
[44217] BUY,hQaIWhluU7,BHP,315.85 
[44318] SELL,hQaIWhluU7,RUN,690.42 
[44475] CANCEL_SET_SELL,hQaIWhluU7,SEW 
[44509] ADD,hQaIWhluU7,74209.24 
[44541] CANCEL_SELL,hQaIWhluU7 
[44802] DISPLAY_SUMMARY,hQaIWhluU7 
[44837] BUY,hQaIWhluU7,ZMK,368.45 
[44884] COMMIT_BUY,hQaIWhluU7 
[44901] ADD,hQaIWhluU7,64938.44 
[44914] QUOTE,hQaIWhluU7,HSH 
[44991] BUY,hQaIWhluU7,UDM,16.60 
[44994] SET_SELL_TRIGGER,hQaIWhluU7,ZHB,36.42 
[45078] QUOTE,hQaIWhluU7,JZJ 
[45143] BUY,hQaIWhluU7,KZC,284.88 
[45150] SET_BUY_AMOUNT,hQaIWhluU7,QJZ,270.82 
[45182] QUOTE,hQaIWhluU7,ZYF 
[45448] QUOTE,hQaIWhluU7,PHJ 
[45534] CANCEL_SELL,hQaIWhluU7 
[45684] SELL,hQaIWhluU7,GYF,478.96 
[45862] COMMIT_SELL,hQaIWhluU7 
[45966] QUOTE,hQaIWhluU7,HHG 
[46019] BUY,hQaIWhluU7,VWU,685.08 
[46055] COMMIT_BUY,hQaIWhluU7 
[46443] SET_SELL_TRIGGER,hQaIWhluU7,OXV,195.30 
[46486] SET_SELL_AMOUNT,hQaIWhluU7,NHG,461.10 
[46502] SET_SELL_TRIGGER,hQaIWhluU7,NHG,336.22 
[46544] DISPLAY_SUMMARY,hQaIWhluU7 
[46629] ADD,hQaIWhluU7,77987.10 
[46759] CANCEL_SET_SELL,hQaIWhluU7,ECL 
[46853] SELL,hQaIWhluU7,BYA,214.51 
[46986] COMMIT_SELL,hQaIWhluU7 
[47002] DISPLAY_SUMMARY,hQaIWhluU7 
[47173] ADD,hQaIWhluU7,74414.56 
[47251] QUOTE,hQaIWhluU7,IDN 
[47417] SET_BUY_TRIGGER,hQaIWhluU7,LHC,193.53 
[47455] BUY,hQaIWhluU7,CZQ,683.11 
[47463] SELL,hQaIWhluU7,QJZ,732.10 
[47512] SELL,hQaIWhluU7,ZTI,337.45 
[47544] COMMIT_SELL,hQaIWhluU7 
[47729] SET_BUY_TRIGGER,hQaIWhluU7,NHB,175.87 
[47799] ADD,hQaIWhluU7,66226.80 
[47853] QUOTE,hQaIWhluU7,NFL 
