[89] ADD,FLeNlw500v,70440.20 
[16063] BUY,FLeNlw500v,KMV,272.33 
[16229] CANCEL_BUY,FLeNlw500v 
[16376] SET_BUY_AMOUNT,FLeNlw500v,JVT,336.43 
[16516] SET_BUY_TRIGGER,FLeNlw500v,XUH,259.48 
[16517] SET_BUY_TRIGGER,FLeNlw500v,PWK,40.84 
[16587] BUY,FLeNlw500v,ZNL,337.54 
[16611] COMMIT_BUY,FLeNlw500v 
[16687] DISPLAY_SUMMARY,FLeNlw500v 
[16823] COMMIT_SELL,FLeNlw500v 
[16937] DISPLAY_SUMMARY,FLeNlw500v 
[16959] DISPLAY_SUMMARY,FLeNlw500v 
[17400] BUY,FLeNlw500v,SJG,713.89 
[17563] COMMIT_BUY,FLeNlw500v 
[17590] SELL,FLeNlw500v,FQP,677.98 
[17617] QUOTE,FLeNlw500v,NJT 
[17780] QUOTE,FLeNlw500v,MWV 
[17887] ADD,FLeNlw500v,64971.62 
[18090] CANCEL_SET_SELL,FLeNlw500v,NDJ 
[18243] DISPLAY_SUMMARY,FLeNlw500v 
[18335] SET_BUY_TRIGGER,FLeNlw500v,VUS,17.45 
[18522] DISPLAY_SUMMARY,FLeNlw500v 
[18532] SET_SELL_AMOUNT,FLeNlw500v,KES,327.65 
[18691] CANCEL_SET_SELL,FLeNlw500v,KES 
[18740] BUY,FLeNlw500v,OTQ,198.68 
[18762] COMMIT_BUY,FLeNlw500v 
[18833] ADD,FLeNlw500v,63608.91 
[19254] BUY,FLeNlw500v,JQJ,51.87 
[19538] QUOTE,FLeNlw500v,SHP 
[19663] SET_BUY_TRIGGER,FLeNlw500v,PBV,163.90 
[19693] DISPLAY_SUMMARY,FLeNlw500v 
[19778] DISPLAY_SUMMARY,FLeNlw500v 
[19998] SELL,FLeNlw500v,QJZ,655.52 
[20441] COMMIT_SELL,FLeNlw500v 
[20650] SET_BUY_TRIGGER,FLeNlw500v,XZO,37.53 
[20709] SET_SELL_AMOUNT,FLeNlw500v,KES,265.33 
[20869] SET_SELL_TRIGGER,FLeNlw500v,KES,6.07 
[20906] SET_SELL_TRIGGER,FLeNlw500v,KMZ,117.60 
[20968] ADD,FLeNlw500v,63319.43 
[21291] QUOTE,FLeNlw500v,RGM 
[21698] QUOTE,FLeNlw500v,MWJ 
[21732] SET_BUY_AMOUNT,FLeNlw500v,KES,40.68 
[21742] SET_BUY_TRIGGER,FLeNlw500v,PMX,16.72 
[21921] ADD,FLeNlw500v,72000.17 
[22083] QUOTE,FLeNlw500v,FYR 
[22227] QUOTE,FLeNlw500v,SQO 
[22263] BUY,FLeNlw500v,QGN,280.40 
[22379] COMMIT_BUY,FLeNlw500v 
[22448] ADD,FLeNlw500v,112315.80 
[22460] BUY,FLeNlw500v,SCK,625.89 
[22604] DISPLAY_SUMMARY,FLeNlw500v 
[22759] DISPLAY_SUMMARY,FLeNlw500v 
[22861] ADD,FLeNlw500v,74253.31 
[23093] DISPLAY_SUMMARY,FLeNlw500v 
[23099] SELL,FLeNlw500v,EBS,706.00 
[23351] COMMIT_SELL,FLeNlw500v 
[23364] SET_BUY_TRIGGER,FLeNlw500v,VDP,174.15 
[23602] ADD,FLeNlw500v,58104.98 
[23677] QUOTE,FLeNlw500v,NOP 
[24221] CANCEL_BUY,FLeNlw500v 
[24272] SET_BUY_AMOUNT,FLeNlw500v,JRJ,94.39 
[24320] DISPLAY_SUMMARY,FLeNlw500v 
[24356] ADD,FLeNlw500v,81115.25 
[24387] QUOTE,FLeNlw500v,ZPD 
[24410] ADD,FLeNlw500v,77674.78 
[24786] BUY,FLeNlw500v,QOD,233.06 
[24971] COMMIT_SELL,FLeNlw500v 
[24991] SET_SELL_TRIGGER,FLeNlw500v,LVV,130.49 
[25022] ADD,FLeNlw500v,84534.55 
[25032] QUOTE,FLeNlw500v,VYQ 
[25102] CANCEL_SET_BUY,FLeNlw500v,RVU 
[25216] SET_SELL_AMOUNT,FLeNlw500v,JCQ,26.43 
[25222] SET_SELL_TRIGGER,FLeNlw500v,JCQ,23.68 
[25259] ADD,FLeNlw500v,84290.44 
[25428] BUY,FLeNlw500v,IWL,233.06 
[25516] CANCEL_BUY,FLeNlw500v 
[25546] SELL,FLeNlw500v,EBS,720.17 
[25781] COMMIT_SELL,FLeNlw500v 
[25913] SELL,FLeNlw500v,OEY,289.05 
[25991] COMMIT_SELL,FLeNlw500v 
[26014] SET_SELL_TRIGGER,FLeNlw500v,JDO,77.50 
[26079] SET_SELL_AMOUNT,FLeNlw500v,NHG,572.80 
[26202] QUOTE,FLeNlw500v,JIC 
[26340] SET_BUY_TRIGGER,FLeNlw500v,XQG,118.55 
[26381] SELL,FLeNlw500v,JQO,268.68 
[26436] COMMIT_SELL,FLeNlw500v 
[26451] ADD,FLeNlw500v,78854.70 
[26756] QUOTE,FLeNlw500v,VFH 
[26762] QUOTE,FLeNlw500v,CXW 
[26890] BUY,FLeNlw500v,XFW,461.41 
[26999] COMMIT_BUY,FLeNlw500v 
[27143] SELL,FLeNlw500v,QJZ,11.27 
[27217] SET_SELL_AMOUNT,FLeNlw500v,QAX,505.02 
[27721] SET_SELL_TRIGGER,FLeNlw500v,QAX,300.21 
[27870] SET_SELL_TRIGGER,FLeNlw500v,JTX,76.96 
[28018] ADD,FLeNlw500v,85021.20 
[28068] ADD,FLeNlw500v,75054.84 
[28211] BUY,FLeNlw500v,UGG,729.36 
[28419] COMMIT_BUY,FLeNlw500v 
[28478] SET_SELL_AMOUNT,FLeNlw500v,LFU,285.21 
[28487] SET_SELL_TRIGGER,FLeNlw500v,LFU,127.23 
[28559] ADD,FLeNlw500v,81680.64 
[28561] BUY,FLeNlw500v,AOU,215.85 
[28580] COMMIT_BUY,FLeNlw500v 
[28760] BUY,FLeNlw500v,YTO,72.05 
[28822] COMMIT_BUY,FLeNlw500v 
[28828] CANCEL_SET_SELL,FLeNlw500v,RRZ 
[28829] SET_SELL_TRIGGER,FLeNlw500v,GGI,53.34 
[28999] BUY,FLeNlw500v,JLO,701.03 
[29053] COMMIT_BUY,FLeNlw500v 
[29084] BUY,FLeNlw500v,KVJ,540.58 
[29175] SET_BUY_TRIGGER,FLeNlw500v,RRZ,106.93 
[29280] ADD,FLeNlw500v,72291.52 
[29537] CANCEL_SET_SELL,FLeNlw500v,TQE 
[29598] SET_BUY_AMOUNT,FLeNlw500v,JCQ,626.70 
[29632] SET_BUY_TRIGGER,FLeNlw500v,YRO,483.07 
[29644] SELL,FLeNlw500v,NHG,446.33 
[29680] QUOTE,FLeNlw500v,RRZ 
[29735] SET_BUY_TRIGGER,FLeNlw500v,GIK,9.08 
[29899] ADD,FLeNlw500v,55682.19 
[30047] QUOTE,FLeNlw500v,NNW 
[30081] SET_BUY_TRIGGER,FLeNlw500v,FFI,161.56 
[30268] QUOTE,FLeNlw500v,NOP 
[30269] ADD,FLeNlw500v,30230.96 
[30387] SET_SELL_AMOUNT,FLeNlw500v,EBS,668.58 
[30436] SET_SELL_TRIGGER,FLeNlw500v,EBS,8.01 
[30514] DISPLAY_SUMMARY,FLeNlw500v 
[30623] BUY,FLeNlw500v,FTJ,94.27 
[30642] COMMIT_BUY,FLeNlw500v 
[30768] QUOTE,FLeNlw500v,FTP 
[30777] QUOTE,FLeNlw500v,DPG 
[30885] QUOTE,FLeNlw500v,ASJ 
[31061] SET_BUY_AMOUNT,FLeNlw500v,FQP,527.76 
[31070] SELL,FLeNlw500v,CUZ,170.43 
[31145] COMMIT_SELL,FLeNlw500v 
[31229] ADD,FLeNlw500v,79042.90 
[31252] CANCEL_SET_SELL,FLeNlw500v,CBX 
[31281] DISPLAY_SUMMARY,FLeNlw500v 
[31515] DISPLAY_SUMMARY,FLeNlw500v 
[31547] COMMIT_SELL,FLeNlw500v 
[31659] ADD,FLeNlw500v,71802.15 
[31728] QUOTE,FLeNlw500v,JVE 
[31828] QUOTE,FLeNlw500v,JUN 
[31930] QUOTE,FLeNlw500v,EGB 
[32026] CANCEL_SET_SELL,FLeNlw500v,APU 
[32077] SET_SELL_AMOUNT,FLeNlw500v,UTV,65.11 
[32091] SET_SELL_TRIGGER,FLeNlw500v,UTV,53.24 
[32105] COMMIT_SELL,FLeNlw500v 
[32150] DISPLAY_SUMMARY,FLeNlw500v 
[32189] DISPLAY_SUMMARY,FLeNlw500v 
[32280] SELL,FLeNlw500v,FQP,232.28 
[32318] CANCEL_BUY,FLeNlw500v 
[32461] ADD,FLeNlw500v,72020.73 
[32505] DISPLAY_SUMMARY,FLeNlw500v 
[32559] DISPLAY_SUMMARY,FLeNlw500v 
[32615] DISPLAY_SUMMARY,FLeNlw500v 
[32720] ADD,FLeNlw500v,74757.90 
[32880] SELL,FLeNlw500v,EBS,674.44 
[32931] COMMIT_SELL,FLeNlw500v 
[32980] BUY,FLeNlw500v,YRL,257.47 
[33087] COMMIT_BUY,FLeNlw500v 
[33168] ADD,FLeNlw500v,34821.38 
[33452] QUOTE,FLeNlw500v,MWM 
[33501] SET_BUY_TRIGGER,FLeNlw500v,NKC,191.94 
[33671] SELL,FLeNlw500v,KES,720.22 
[33695] CANCEL_SET_BUY,FLeNlw500v,YXK 
[33760] ADD,FLeNlw500v,79054.36 
[33844] SET_SELL_AMOUNT,FLeNlw500v,JRJ,134.91 
[33896] SET_SELL_TRIGGER,FLeNlw500v,JRJ,87.01 
[33898] SET_SELL_AMOUNT,FLeNlw500v,XXQ,174.95 
[34571] SET_SELL_TRIGGER,FLeNlw500v,XXQ,26.25 
[34580] SET_SELL_AMOUNT,FLeNlw500v,GYF,645.07 
[34951] SET_SELL_TRIGGER,FLeNlw500v,GYF,24.66 
[34952] ADD,FLeNlw500v,66657.88 
[35075] BUY,FLeNlw500v,FQR,573.87 
[35159] COMMIT_BUY,FLeNlw500v 
[35307] SET_SELL_AMOUNT,FLeNlw500v,EBS,468.22 
[35429] SET_SELL_TRIGGER,FLeNlw500v,EBS,9.53 
[35520] SET_SELL_AMOUNT,FLeNlw500v,QAX,277.44 
[35880] SET_SELL_TRIGGER,FLeNlw500v,QAX,64.40 
[35963] ADD,FLeNlw500v,81045.25 
[35999] BUY,FLeNlw500v,TVI,175.80 
[36032] CANCEL_BUY,FLeNlw500v 
[36139] QUOTE,FLeNlw500v,WYR 
[36269] SET_SELL_TRIGGER,FLeNlw500v,LZV,159.66 
[36363] SET_SELL_TRIGGER,FLeNlw500v,LUT,41.43 
[36491] DISPLAY_SUMMARY,FLeNlw500v 
[36587] CANCEL_BUY,FLeNlw500v 
[36678] ADD,FLeNlw500v,60300.27 
[36794] QUOTE,FLeNlw500v,ULL 
[36802] BUY,FLeNlw500v,ZAM,660.34 
[36987] CANCEL_SET_SELL,FLeNlw500v,TTV 
[37006] SET_SELL_TRIGGER,FLeNlw500v,NAR,81.93 
[37181] COMMIT_BUY,FLeNlw500v 
[37238] SELL,FLeNlw500v,CUZ,95.43 
[37264] COMMIT_SELL,FLeNlw500v 
[37268] DISPLAY_SUMMARY,FLeNlw500v 
[37418] ADD,FLeNlw500v,101288.83 
[37435] BUY,FLeNlw500v,KRY,351.18 
[37490] QUOTE,FLeNlw500v,XBL 
[37594] SET_SELL_AMOUNT,FLeNlw500v,JRJ,434.60 
[37629] BUY,FLeNlw500v,PUC,693.41 
[37646] COMMIT_BUY,FLeNlw500v 
[37741] DISPLAY_SUMMARY,FLeNlw500v 
[38048] SELL,FLeNlw500v,JQO,460.22 
[38145] DISPLAY_SUMMARY,FLeNlw500v 
[38348] QUOTE,FLeNlw500v,UTD 
[38478] QUOTE,FLeNlw500v,DPG 
[38699] BUY,FLeNlw500v,OYW,101.69 
[38875] SET_SELL_TRIGGER,FLeNlw500v,JRJ,289.78 
[38935] SET_BUY_AMOUNT,FLeNlw500v,YJK,330.55 
[38973] SET_BUY_TRIGGER,FLeNlw500v,OEY,34.24 
[39037] SELL,FLeNlw500v,JVT,708.82 
[39051] SELL,FLeNlw500v,XXQ,344.50 
[39100] COMMIT_SELL,FLeNlw500v 
[39115] ADD,FLeNlw500v,67347.48 
[39142] BUY,FLeNlw500v,MXN,557.33 
[39179] CANCEL_SET_SELL,FLeNlw500v,PUO 
[39224] QUOTE,FLeNlw500v,XBL 
[39400] SET_BUY_TRIGGER,FLeNlw500v,NJT,172.05 
[39422] DISPLAY_SUMMARY,FLeNlw500v 
[39470] QUOTE,FLeNlw500v,BUL 
[39521] SET_SELL_TRIGGER,FLeNlw500v,ZMK,164.72 
[39620] SET_SELL_TRIGGER,FLeNlw500v,PUC,168.92 
[39701] SET_BUY_AMOUNT,FLeNlw500v,EBS,441.70 
[39908] SET_BUY_TRIGGER,FLeNlw500v,FUR,14.14 
[39997] SET_SELL_AMOUNT,FLeNlw500v,BYA,616.73 
[40195] SET_SELL_TRIGGER,FLeNlw500v,BYA,325.66 
[40371] DISPLAY_SUMMARY,FLeNlw500v 
[40396] ADD,FLeNlw500v,58610.19 
[40698] CANCEL_SELL,FLeNlw500v 
[40822] ADD,FLeNlw500v,73633.25 
[40918] BUY,FLeNlw500v,KLE,72.16 
[40949] COMMIT_BUY,FLeNlw500v 
[41073] DISPLAY_SUMMARY,FLeNlw500v 
[41219] ADD,FLeNlw500v,73244.37 
[41350] QUOTE,FLeNlw500v,OSC 
[41431] BUY,FLeNlw500v,DBS,231.19 
[41481] SELL,FLeNlw500v,CUZ,124.23 
[41521] COMMIT_SELL,FLeNlw500v 
[41617] BUY,FLeNlw500v,CXB,80.02 
[41789] CANCEL_SET_SELL,FLeNlw500v,JFF 
[41808] BUY,FLeNlw500v,SQO,116.63 
[41843] CANCEL_SET_SELL,FLeNlw500v,ZER 
[42006] DISPLAY_SUMMARY,FLeNlw500v 
[42047] SET_BUY_AMOUNT,FLeNlw500v,QJZ,111.19 
[42062] CANCEL_SET_BUY,FLeNlw500v,LKV 
[42257] SET_SELL_TRIGGER,FLeNlw500v,PMG,181.95 
[42279] DISPLAY_SUMMARY,FLeNlw500v 
[42295] DISPLAY_SUMMARY,FLeNlw500v 
[42375] SET_BUY_TRIGGER,FLeNlw500v,AVX,192.62 
[42566] QUOTE,FLeNlw500v,HBF 
[42587] QUOTE,FLeNlw500v,PBX 
[42661] QUOTE,FLeNlw500v,WZM 
[42739] CANCEL_SET_SELL,FLeNlw500v,GSW 
[42857] SET_BUY_TRIGGER,FLeNlw500v,PIE,126.09 
[43111] ADD,FLeNlw500v,54697.66 
[43254] BUY,FLeNlw500v,NFO,81.40 
[43303] COMMIT_BUY,FLeNlw500v 
[43392] SELL,FLeNlw500v,XXQ,646.19 
[43393] SET_SELL_AMOUNT,FLeNlw500v,OEY,474.10 
[43571] SET_SELL_TRIGGER,FLeNlw500v,OEY,262.02 
[43828] DISPLAY_SUMMARY,FLeNlw500v 
[43959] ADD,FLeNlw500v,59289.80 
[43991] BUY,FLeNlw500v,ZJG,11.56 
[43996] SET_BUY_TRIGGER,FLeNlw500v,DDH,123.41 
[44033] QUOTE,FLeNlw500v,ILT 
[44126] SET_SELL_AMOUNT,FLeNlw500v,JCQ,268.24 
[44163] BUY,FLeNlw500v,SYE,669.58 
[44225] COMMIT_BUY,FLeNlw500v 
[44762] DISPLAY_SUMMARY,FLeNlw500v 
[44882] BUY,FLeNlw500v,SMS,726.40 
[44891] COMMIT_BUY,FLeNlw500v 
[44930] ADD,FLeNlw500v,53754.21 
[44984] BUY,FLeNlw500v,XRK,422.56 
[45185] ADD,FLeNlw500v,94658.68 
[45301] BUY,FLeNlw500v,GYT,627.07 
[45324] COMMIT_BUY,FLeNlw500v 
[45413] SELL,FLeNlw500v,OPN,217.32 
[45415] CANCEL_SET_SELL,FLeNlw500v,JCQ 
[45422] SET_SELL_AMOUNT,FLeNlw500v,YJK,193.33 
[45530] SET_SELL_TRIGGER,FLeNlw500v,YJK,122.52 
[45535] SET_BUY_TRIGGER,FLeNlw500v,UHO,80.75 
[45575] BUY,FLeNlw500v,PVH,374.64 
[45649] SET_BUY_AMOUNT,FLeNlw500v,YJK,606.17 
[45703] SET_BUY_TRIGGER,FLeNlw500v,VIG,559.22 
[46018] CANCEL_SET_SELL,FLeNlw500v,VVV 
[46061] SELL,FLeNlw500v,UTV,375.10 
[46144] BUY,FLeNlw500v,LLF,554.86 
[46207] QUOTE,FLeNlw500v,ZAV 
[46341] SET_BUY_TRIGGER,FLeNlw500v,IGI,110.86 
[46470] ADD,FLeNlw500v,88751.33 
[46526] QUOTE,FLeNlw500v,OIV 
[46593] BUY,FLeNlw500v,PST,746.88 
[46594] COMMIT_BUY,FLeNlw500v 
[46801] DISPLAY_SUMMARY,FLeNlw500v 
[46862] SET_BUY_TRIGGER,FLeNlw500v,GIX,93.28 
[46935] BUY,FLeNlw500v,SYU,429.59 
[46952] COMMIT_BUY,FLeNlw500v 
[46969] QUOTE,FLeNlw500v,DHA 
[47215] DISPLAY_SUMMARY,FLeNlw500v 
[47260] ADD,FLeNlw500v,55440.48 
[47402] BUY,FLeNlw500v,QQI,121.60 
[47525] CANCEL_BUY,FLeNlw500v 
[47547] COMMIT_BUY,FLeNlw500v 
[47961] SET_BUY_TRIGGER,FLeNlw500v,MKE,98.87 
[48206] DISPLAY_SUMMARY,FLeNlw500v 
[48257] CANCEL_SET_SELL,FLeNlw500v,XFH 
[48408] CANCEL_BUY,FLeNlw500v 
[48636] SET_SELL_TRIGGER,FLeNlw500v,XBL,146.42 
[48959] BUY,FLeNlw500v,BCQ,282.83 
[48992] CANCEL_SET_BUY,FLeNlw500v,HSH 
[49258] QUOTE,FLeNlw500v,JVE 
[49288] DISPLAY_SUMMARY,FLeNlw500v 
[49292] SET_SELL_TRIGGER,FLeNlw500v,YRO,191.48 
[49360] QUOTE,FLeNlw500v,ZDB 
[49655] COMMIT_SELL,FLeNlw500v 
[49661] BUY,FLeNlw500v,ZOT,720.94 
[49849] COMMIT_SELL,FLeNlw500v 
[49901] QUOTE,FLeNlw500v,ZGN 
[49959] BUY,FLeNlw500v,IFC,568.88 
[50063] COMMIT_BUY,FLeNlw500v 
[50084] SET_SELL_AMOUNT,FLeNlw500v,ZAN,660.59 
[50233] SET_SELL_TRIGGER,FLeNlw500v,ZAN,54.63 
[50239] DISPLAY_SUMMARY,FLeNlw500v 
[50305] ADD,FLeNlw500v,78366.68 
