[28] ADD,0oVAF91nA3,79144.46 
[9465] BUY,0oVAF91nA3,CCH,529.15 
[9486] COMMIT_BUY,0oVAF91nA3 
[9561] SET_SELL_AMOUNT,0oVAF91nA3,KES,727.76 
[9648] SET_SELL_TRIGGER,0oVAF91nA3,KES,710.76 
[9661] BUY,0oVAF91nA3,JCQ,462.33 
[9770] DISPLAY_SUMMARY,0oVAF91nA3 
[9834] SELL,0oVAF91nA3,KDA,435.95 
[9893] COMMIT_SELL,0oVAF91nA3 
[9972] SET_BUY_TRIGGER,0oVAF91nA3,OBO,110.09 
[9977] ADD,0oVAF91nA3,73798.98 
[10100] BUY,0oVAF91nA3,MMY,520.76 
[10135] COMMIT_BUY,0oVAF91nA3 
[10269] SET_BUY_TRIGGER,0oVAF91nA3,KDA,42.26 
[10314] SET_BUY_AMOUNT,0oVAF91nA3,FQP,369.19 
[10317] SELL,0oVAF91nA3,KES,207.43 
[10400] BUY,0oVAF91nA3,FCM,363.45 
[10558] COMMIT_BUY,0oVAF91nA3 
[10703] SET_BUY_AMOUNT,0oVAF91nA3,QJZ,737.93 
[10952] SET_BUY_TRIGGER,0oVAF91nA3,VVO,518.62 
[10956] CANCEL_SET_SELL,0oVAF91nA3,MMY 
[10979] DISPLAY_SUMMARY,0oVAF91nA3 
[11043] SET_SELL_TRIGGER,0oVAF91nA3,SFR,22.50 
[11060] CANCEL_BUY,0oVAF91nA3 
[11131] ADD,0oVAF91nA3,59661.67 
[11217] QUOTE,0oVAF91nA3,VWU 
[11219] QUOTE,0oVAF91nA3,ENQ 
[11460] DISPLAY_SUMMARY,0oVAF91nA3 
[11614] SET_BUY_TRIGGER,0oVAF91nA3,MIU,2.99 
[11687] SET_BUY_TRIGGER,0oVAF91nA3,LVT,145.75 
[11701] QUOTE,0oVAF91nA3,TOL 
[11718] BUY,0oVAF91nA3,GJQ,470.27 
[11752] COMMIT_BUY,0oVAF91nA3 
[11864] ADD,0oVAF91nA3,69054.75 
[11918] QUOTE,0oVAF91nA3,HFI 
[12006] QUOTE,0oVAF91nA3,YTT 
[12119] SET_BUY_TRIGGER,0oVAF91nA3,TKV,184.94 
[12126] ADD,0oVAF91nA3,38363.84 
[12293] QUOTE,0oVAF91nA3,NZS 
[12503] DISPLAY_SUMMARY,0oVAF91nA3 
[12669] ADD,0oVAF91nA3,56455.08 
[12852] QUOTE,0oVAF91nA3,IFQ 
[13011] QUOTE,0oVAF91nA3,JMG 
[13091] BUY,0oVAF91nA3,TSS,159.89 
[13244] CANCEL_SELL,0oVAF91nA3 
[13412] QUOTE,0oVAF91nA3,KTU 
[13421] QUOTE,0oVAF91nA3,VMD 
[13548] QUOTE,0oVAF91nA3,HNW 
[13563] QUOTE,0oVAF91nA3,FIY 
[13962] BUY,0oVAF91nA3,QVK,310.08 
[14122] COMMIT_BUY,0oVAF91nA3 
[14497] ADD,0oVAF91nA3,62307.39 
[14566] BUY,0oVAF91nA3,EGB,140.23 
[14629] SET_BUY_TRIGGER,0oVAF91nA3,DBR,92.07 
[14684] ADD,0oVAF91nA3,72430.12 
[14733] QUOTE,0oVAF91nA3,ALV 
[14767] SET_BUY_AMOUNT,0oVAF91nA3,GYF,261.16 
[14983] SET_BUY_TRIGGER,0oVAF91nA3,KPE,198.95 
[15037] BUY,0oVAF91nA3,DLX,250.74 
[15042] SET_SELL_AMOUNT,0oVAF91nA3,QJZ,247.36 
[15134] SET_SELL_TRIGGER,0oVAF91nA3,QJZ,2.82 
[15148] SET_SELL_TRIGGER,0oVAF91nA3,PVZ,193.15 
[15210] ADD,0oVAF91nA3,36785.09 
[15313] QUOTE,0oVAF91nA3,YDD 
[15327] SELL,0oVAF91nA3,EBS,480.28 
[15354] COMMIT_SELL,0oVAF91nA3 
[15408] ADD,0oVAF91nA3,13999.68 
[15432] BUY,0oVAF91nA3,SKW,508.97 
[15509] COMMIT_BUY,0oVAF91nA3 
[15646] BUY,0oVAF91nA3,UDN,725.99 
[15851] COMMIT_BUY,0oVAF91nA3 
[15859] SET_BUY_TRIGGER,0oVAF91nA3,AZN,95.97 
[15934] SET_SELL_AMOUNT,0oVAF91nA3,GYF,427.31 
[16033] SET_SELL_TRIGGER,0oVAF91nA3,GYF,252.22 
[16079] SET_SELL_TRIGGER,0oVAF91nA3,CXB,76.92 
[16099] SELL,0oVAF91nA3,JCQ,470.83 
[16101] SET_BUY_TRIGGER,0oVAF91nA3,HTN,106.86 
[16124] ADD,0oVAF91nA3,78093.37 
[16266] BUY,0oVAF91nA3,EBS,84.34 
[16840] COMMIT_BUY,0oVAF91nA3 
[16925] ADD,0oVAF91nA3,48392.72 
[17249] BUY,0oVAF91nA3,FQR,641.15 
[17284] CANCEL_SET_BUY,0oVAF91nA3,URD 
[17417] QUOTE,0oVAF91nA3,XVK 
[17546] SET_BUY_AMOUNT,0oVAF91nA3,JVT,617.75 
[17619] SET_BUY_TRIGGER,0oVAF91nA3,ECX,213.81 
[17825] QUOTE,0oVAF91nA3,AHE 
[17857] QUOTE,0oVAF91nA3,AHO 
[17888] CANCEL_SELL,0oVAF91nA3 
[17975] QUOTE,0oVAF91nA3,SIK 
[18061] SELL,0oVAF91nA3,GYF,145.15 
[18247] CANCEL_BUY,0oVAF91nA3 
[18271] ADD,0oVAF91nA3,53349.82 
[18345] BUY,0oVAF91nA3,LSM,0.25 
[18651] SET_SELL_TRIGGER,0oVAF91nA3,RRE,94.65 
[18678] QUOTE,0oVAF91nA3,CJV 
[18709] BUY,0oVAF91nA3,RQS,107.31 
[18767] SELL,0oVAF91nA3,JCQ,337.94 
[18812] CANCEL_SET_SELL,0oVAF91nA3,ZAM 
[19026] CANCEL_SET_SELL,0oVAF91nA3,PST 
[19072] DISPLAY_SUMMARY,0oVAF91nA3 
[19143] SET_BUY_AMOUNT,0oVAF91nA3,EBS,148.20 
[19283] SET_BUY_TRIGGER,0oVAF91nA3,LGL,87.26 
[19627] SET_BUY_AMOUNT,0oVAF91nA3,UTV,727.89 
[19666] SET_BUY_TRIGGER,0oVAF91nA3,OLI,384.15 
[19833] SELL,0oVAF91nA3,JVT,742.35 
[19875] COMMIT_SELL,0oVAF91nA3 
[19932] CANCEL_SET_SELL,0oVAF91nA3,TUO 
[20019] ADD,0oVAF91nA3,56544.66 
[20232] BUY,0oVAF91nA3,KPP,166.61 
[20413] CANCEL_BUY,0oVAF91nA3 
[20422] CANCEL_BUY,0oVAF91nA3 
[20470] SET_SELL_AMOUNT,0oVAF91nA3,OEY,747.07 
[20653] CANCEL_SET_SELL,0oVAF91nA3,OEY 
[20793] BUY,0oVAF91nA3,ZRH,27.31 
[20815] CANCEL_SET_BUY,0oVAF91nA3,VJB 
[20875] QUOTE,0oVAF91nA3,NXU 
[20957] SELL,0oVAF91nA3,JCQ,91.78 
[20974] COMMIT_SELL,0oVAF91nA3 
[21092] ADD,0oVAF91nA3,74918.67 
[21100] QUOTE,0oVAF91nA3,OHG 
[21116] CANCEL_SELL,0oVAF91nA3 
[21186] ADD,0oVAF91nA3,72943.35 
[21221] BUY,0oVAF91nA3,VKP,369.27 
[21468] COMMIT_BUY,0oVAF91nA3 
[21545] BUY,0oVAF91nA3,FTB,126.36 
[21867] COMMIT_BUY,0oVAF91nA3 
[21900] QUOTE,0oVAF91nA3,WQE 
[22052] ADD,0oVAF91nA3,79049.13 
[22067] SELL,0oVAF91nA3,KES,186.29 
[22164] COMMIT_SELL,0oVAF91nA3 
[22250] SELL,0oVAF91nA3,KES,330.44 
[22290] COMMIT_SELL,0oVAF91nA3 
[22397] ADD,0oVAF91nA3,51920.52 
[22445] BUY,0oVAF91nA3,PIC,497.85 
[22641] COMMIT_BUY,0oVAF91nA3 
[22695] BUY,0oVAF91nA3,ZAO,141.52 
[22745] SELL,0oVAF91nA3,QAX,720.60 
[22754] CANCEL_SELL,0oVAF91nA3 
[22796] QUOTE,0oVAF91nA3,BTA 
[23091] BUY,0oVAF91nA3,AJR,98.21 
[23128] COMMIT_BUY,0oVAF91nA3 
[23170] SELL,0oVAF91nA3,QJZ,587.44 
[23226] SET_SELL_AMOUNT,0oVAF91nA3,JRJ,348.23 
[23405] SET_SELL_TRIGGER,0oVAF91nA3,JRJ,216.12 
[23528] BUY,0oVAF91nA3,GLO,360.64 
[23678] CANCEL_BUY,0oVAF91nA3 
[23725] QUOTE,0oVAF91nA3,MXD 
[23744] SET_BUY_TRIGGER,0oVAF91nA3,LAM,117.57 
[23828] QUOTE,0oVAF91nA3,AVH 
[23985] CANCEL_SET_SELL,0oVAF91nA3,ZFT 
[24021] SELL,0oVAF91nA3,ZAN,494.17 
[24102] COMMIT_SELL,0oVAF91nA3 
[24208] SET_SELL_TRIGGER,0oVAF91nA3,DWC,189.19 
[24212] ADD,0oVAF91nA3,73696.01 
[24434] CANCEL_SELL,0oVAF91nA3 
[24487] ADD,0oVAF91nA3,74416.74 
[24492] BUY,0oVAF91nA3,FKI,585.85 
[24493] ADD,0oVAF91nA3,68794.96 
[24790] BUY,0oVAF91nA3,GGY,586.01 
[24814] CANCEL_SET_SELL,0oVAF91nA3,LVV 
[24838] SELL,0oVAF91nA3,UTV,379.78 
[24903] COMMIT_SELL,0oVAF91nA3 
[24964] ADD,0oVAF91nA3,76803.52 
[25031] BUY,0oVAF91nA3,KGV,210.74 
[25049] SET_SELL_TRIGGER,0oVAF91nA3,LLE,102.08 
[25292] DISPLAY_SUMMARY,0oVAF91nA3 
[25456] ADD,0oVAF91nA3,42388.52 
[25755] QUOTE,0oVAF91nA3,FUR 
[25877] BUY,0oVAF91nA3,OOT,335.94 
[26165] COMMIT_BUY,0oVAF91nA3 
[26302] BUY,0oVAF91nA3,EGB,399.97 
[26535] CANCEL_SET_BUY,0oVAF91nA3,DOI 
[26621] BUY,0oVAF91nA3,IAV,15.02 
[26710] COMMIT_BUY,0oVAF91nA3 
[27041] SET_BUY_AMOUNT,0oVAF91nA3,OEY,427.34 
[27164] SET_BUY_TRIGGER,0oVAF91nA3,KAO,179.68 
[27415] SELL,0oVAF91nA3,FQP,637.44 
[27688] SELL,0oVAF91nA3,NHG,540.17 
[27815] CANCEL_BUY,0oVAF91nA3 
[28076] DISPLAY_SUMMARY,0oVAF91nA3 
[28330] ADD,0oVAF91nA3,79302.27 
[28368] QUOTE,0oVAF91nA3,LLD 
[28442] SET_BUY_TRIGGER,0oVAF91nA3,VTY,23.07 
[28449] SET_SELL_TRIGGER,0oVAF91nA3,FSD,3.91 
[28514] ADD,0oVAF91nA3,72640.18 
[28566] BUY,0oVAF91nA3,UGG,120.35 
[28610] QUOTE,0oVAF91nA3,WXV 
[28621] CANCEL_BUY,0oVAF91nA3 
[28715] DISPLAY_SUMMARY,0oVAF91nA3 
[28739] SELL,0oVAF91nA3,JRJ,578.39 
[28874] CANCEL_BUY,0oVAF91nA3 
[29232] ADD,0oVAF91nA3,75678.47 
[29303] BUY,0oVAF91nA3,MQF,562.83 
[29520] COMMIT_BUY,0oVAF91nA3 
[29571] ADD,0oVAF91nA3,92809.19 
[29675] DISPLAY_SUMMARY,0oVAF91nA3 
[29923] SET_SELL_TRIGGER,0oVAF91nA3,OZO,29.71 
[29927] BUY,0oVAF91nA3,HMR,265.16 
[30056] ADD,0oVAF91nA3,68716.97 
[30253] BUY,0oVAF91nA3,CBX,392.65 
[30273] COMMIT_BUY,0oVAF91nA3 
[30484] QUOTE,0oVAF91nA3,VWU 
[30655] CANCEL_SET_BUY,0oVAF91nA3,YMG 
[30672] COMMIT_BUY,0oVAF91nA3 
[30892] SET_SELL_AMOUNT,0oVAF91nA3,LFU,137.60 
[30939] QUOTE,0oVAF91nA3,ZFJ 
[31069] CANCEL_BUY,0oVAF91nA3 
[31120] DISPLAY_SUMMARY,0oVAF91nA3 
[31416] DISPLAY_SUMMARY,0oVAF91nA3 
[31583] SET_BUY_TRIGGER,0oVAF91nA3,PXF,23.65 
[31680] CANCEL_SET_BUY,0oVAF91nA3,OWH 
[31815] BUY,0oVAF91nA3,MPP,510.69 
[31969] CANCEL_SET_SELL,0oVAF91nA3,LFU 
[32003] ADD,0oVAF91nA3,71790.59 
[32119] BUY,0oVAF91nA3,MMF,40.93 
[32335] CANCEL_BUY,0oVAF91nA3 
[32366] SELL,0oVAF91nA3,CUZ,305.09 
[32371] COMMIT_SELL,0oVAF91nA3 
[32393] ADD,0oVAF91nA3,65665.54 
[32788] CANCEL_BUY,0oVAF91nA3 
[32929] DISPLAY_SUMMARY,0oVAF91nA3 
[33046] DISPLAY_SUMMARY,0oVAF91nA3 
[33103] DISPLAY_SUMMARY,0oVAF91nA3 
[33267] SET_SELL_AMOUNT,0oVAF91nA3,UTV,504.11 
[33405] SET_SELL_TRIGGER,0oVAF91nA3,UTV,172.26 
[33574] ADD,0oVAF91nA3,71284.25 
[33721] QUOTE,0oVAF91nA3,PUN 
[33733] COMMIT_BUY,0oVAF91nA3 
[34024] BUY,0oVAF91nA3,XCL,725.25 
[34128] COMMIT_BUY,0oVAF91nA3 
[34131] BUY,0oVAF91nA3,UXP,46.17 
[34371] COMMIT_BUY,0oVAF91nA3 
[34382] QUOTE,0oVAF91nA3,BWR 
[34416] QUOTE,0oVAF91nA3,VVO 
[34422] BUY,0oVAF91nA3,EUM,190.39 
[34428] COMMIT_BUY,0oVAF91nA3 
[34468] ADD,0oVAF91nA3,55833.47 
[34587] QUOTE,0oVAF91nA3,ATE 
[34639] BUY,0oVAF91nA3,NGZ,137.34 
[34869] CANCEL_BUY,0oVAF91nA3 
[34902] QUOTE,0oVAF91nA3,YVS 
[34992] QUOTE,0oVAF91nA3,OIY 
[35065] DISPLAY_SUMMARY,0oVAF91nA3 
[35066] DISPLAY_SUMMARY,0oVAF91nA3 
[35341] SELL,0oVAF91nA3,EBS,377.70 
[35344] CANCEL_SELL,0oVAF91nA3 
[35358] ADD,0oVAF91nA3,67850.72 
[35467] CANCEL_SELL,0oVAF91nA3 
[35508] SET_SELL_AMOUNT,0oVAF91nA3,ZAN,468.24 
[35544] CANCEL_SET_SELL,0oVAF91nA3,ZAN 
[35605] QUOTE,0oVAF91nA3,EED 
[35802] QUOTE,0oVAF91nA3,ZGC 
[35835] CANCEL_BUY,0oVAF91nA3 
[35937] SELL,0oVAF91nA3,GYF,243.98 
[35944] DISPLAY_SUMMARY,0oVAF91nA3 
[35985] SET_SELL_AMOUNT,0oVAF91nA3,RUN,171.76 
[36060] QUOTE,0oVAF91nA3,DLX 
[36063] SET_BUY_TRIGGER,0oVAF91nA3,SQI,113.39 
[36072] SET_BUY_AMOUNT,0oVAF91nA3,XXQ,413.35 
[36097] BUY,0oVAF91nA3,LPS,632.38 
[36146] BUY,0oVAF91nA3,TVI,618.22 
[36304] DISPLAY_SUMMARY,0oVAF91nA3 
[36346] SET_BUY_AMOUNT,0oVAF91nA3,GYF,24.30 
[36347] SET_BUY_TRIGGER,0oVAF91nA3,MFY,24.30 
[36558] CANCEL_SET_SELL,0oVAF91nA3,RUN 
[36608] BUY,0oVAF91nA3,LLZ,159.90 
[36647] COMMIT_BUY,0oVAF91nA3 
[36652] ADD,0oVAF91nA3,75026.36 
[36661] BUY,0oVAF91nA3,KZQ,346.55 
[36849] SET_BUY_AMOUNT,0oVAF91nA3,OEY,304.14 
[37212] SET_BUY_TRIGGER,0oVAF91nA3,OFP,296.21 
[37213] DISPLAY_SUMMARY,0oVAF91nA3 
[37329] DISPLAY_SUMMARY,0oVAF91nA3 
[37352] QUOTE,0oVAF91nA3,WDJ 
[37493] SET_SELL_AMOUNT,0oVAF91nA3,UTV,10.77 
[37521] SET_SELL_TRIGGER,0oVAF91nA3,UTV,5.00 
[37528] BUY,0oVAF91nA3,MRH,713.79 
[37670] DISPLAY_SUMMARY,0oVAF91nA3 
[37757] DISPLAY_SUMMARY,0oVAF91nA3 
[38008] ADD,0oVAF91nA3,49023.51 
[38433] BUY,0oVAF91nA3,YQC,690.19 
[38443] CANCEL_SELL,0oVAF91nA3 
[38452] ADD,0oVAF91nA3,54785.09 
[38468] SET_SELL_TRIGGER,0oVAF91nA3,CMA,119.89 
[38548] CANCEL_SET_BUY,0oVAF91nA3,HNW 
[38826] SET_SELL_TRIGGER,0oVAF91nA3,WTL,76.17 
[38898] BUY,0oVAF91nA3,LVT,74.96 
[39209] SELL,0oVAF91nA3,DFE,666.71 
[39262] CANCEL_BUY,0oVAF91nA3 
[39313] ADD,0oVAF91nA3,55844.56 
[39481] BUY,0oVAF91nA3,BEC,248.52 
[39513] COMMIT_BUY,0oVAF91nA3 
[39523] SET_BUY_TRIGGER,0oVAF91nA3,DHA,97.09 
[39542] COMMIT_BUY,0oVAF91nA3 
[39586] SELL,0oVAF91nA3,LFU,589.47 
[40026] COMMIT_SELL,0oVAF91nA3 
[40036] BUY,0oVAF91nA3,FGI,689.44 
[40142] CANCEL_SET_SELL,0oVAF91nA3,XUY 
[40165] SELL,0oVAF91nA3,XXQ,739.92 
[40258] CANCEL_SET_BUY,0oVAF91nA3,NBX 
[40265] DISPLAY_SUMMARY,0oVAF91nA3 
[40588] SELL,0oVAF91nA3,KES,128.04 
[40657] COMMIT_SELL,0oVAF91nA3 
[40763] QUOTE,0oVAF91nA3,IFQ 
[41093] BUY,0oVAF91nA3,ERF,283.57 
[41180] SET_BUY_TRIGGER,0oVAF91nA3,SSW,80.94 
[41208] DISPLAY_SUMMARY,0oVAF91nA3 
[41272] DISPLAY_SUMMARY,0oVAF91nA3 
[41287] SELL,0oVAF91nA3,CUZ,418.37 
[41434] CANCEL_SELL,0oVAF91nA3 
[41546] SELL,0oVAF91nA3,EBS,671.77 
[41563] CANCEL_SELL,0oVAF91nA3 
[41715] SELL,0oVAF91nA3,KDA,596.20 
[41776] SET_SELL_TRIGGER,0oVAF91nA3,WYD,148.27 
[42139] SET_BUY_TRIGGER,0oVAF91nA3,DBC,132.11 
[42149] SET_BUY_TRIGGER,0oVAF91nA3,JUE,106.83 
[42158] QUOTE,0oVAF91nA3,IFI 
[42308] BUY,0oVAF91nA3,MIQ,210.31 
[42325] QUOTE,0oVAF91nA3,CJV 
[42349] SET_BUY_AMOUNT,0oVAF91nA3,OEY,516.63 
[42623] SET_BUY_TRIGGER,0oVAF91nA3,WCR,185.79 
[42650] BUY,0oVAF91nA3,ZYF,733.05 
[42734] QUOTE,0oVAF91nA3,FVD 
[43063] DISPLAY_SUMMARY,0oVAF91nA3 
[43110] SET_SELL_AMOUNT,0oVAF91nA3,FQP,589.22 
[43113] DISPLAY_SUMMARY,0oVAF91nA3 
[43185] SET_BUY_TRIGGER,0oVAF91nA3,IDX,114.92 
[43378] BUY,0oVAF91nA3,GFN,506.53 
[43595] SET_SELL_AMOUNT,0oVAF91nA3,RUN,391.38 
[43801] DISPLAY_SUMMARY,0oVAF91nA3 
[43895] SET_BUY_TRIGGER,0oVAF91nA3,SXB,97.94 
[44149] SET_SELL_TRIGGER,0oVAF91nA3,RUN,340.42 
[44246] SET_BUY_AMOUNT,0oVAF91nA3,ZAN,336.07 
[44374] SET_BUY_TRIGGER,0oVAF91nA3,ZMA,53.93 
[44447] SET_SELL_TRIGGER,0oVAF91nA3,SCK,177.16 
[44486] CANCEL_BUY,0oVAF91nA3 
[44982] SET_SELL_AMOUNT,0oVAF91nA3,XXQ,462.20 
[45131] SET_SELL_TRIGGER,0oVAF91nA3,XXQ,219.80 
[45288] DISPLAY_SUMMARY,0oVAF91nA3 
[45470] SELL,0oVAF91nA3,KES,715.39 
[45546] ADD,0oVAF91nA3,66185.07 
[45609] BUY,0oVAF91nA3,PTP,259.68 
[45696] DISPLAY_SUMMARY,0oVAF91nA3 
[45759] DISPLAY_SUMMARY,0oVAF91nA3 
[45833] DISPLAY_SUMMARY,0oVAF91nA3 
[45953] SET_SELL_TRIGGER,0oVAF91nA3,KJH,100.57 
[46089] DISPLAY_SUMMARY,0oVAF91nA3 
[46151] SET_BUY_TRIGGER,0oVAF91nA3,APU,10.34 
[46219] SELL,0oVAF91nA3,NHG,215.18 
[46440] COMMIT_SELL,0oVAF91nA3 
[46456] SET_SELL_AMOUNT,0oVAF91nA3,LFU,248.45 
[46519] SET_SELL_TRIGGER,0oVAF91nA3,LFU,7.22 
[46533] SET_BUY_AMOUNT,0oVAF91nA3,EBS,186.04 
[46551] SELL,0oVAF91nA3,JVT,571.27 
[46744] COMMIT_SELL,0oVAF91nA3 
[46814] SET_BUY_TRIGGER,0oVAF91nA3,USW,132.33 
[46903] ADD,0oVAF91nA3,57679.01 
[46927] BUY,0oVAF91nA3,YJK,389.87 
[46962] COMMIT_BUY,0oVAF91nA3 
[47009] ADD,0oVAF91nA3,84731.54 
[47046] BUY,0oVAF91nA3,MHI,312.33 
[47130] COMMIT_BUY,0oVAF91nA3 
[47222] CANCEL_SET_SELL,0oVAF91nA3,KPE 
[47441] SET_BUY_TRIGGER,0oVAF91nA3,RWM,21.17 
[47560] DISPLAY_SUMMARY,0oVAF91nA3 
[47579] SET_BUY_AMOUNT,0oVAF91nA3,ZTI,260.77 
[47695] SET_BUY_TRIGGER,0oVAF91nA3,KTU,162.91 
[47761] DISPLAY_SUMMARY,0oVAF91nA3 
[47815] ADD,0oVAF91nA3,78712.18 
[47916] QUOTE,0oVAF91nA3,TVP 
[47929] ADD,0oVAF91nA3,61816.55 
[48053] BUY,0oVAF91nA3,IIX,302.83 
[48147] CANCEL_SET_SELL,0oVAF91nA3,WYR 
[48334] ADD,0oVAF91nA3,95219.17 
[48544] BUY,0oVAF91nA3,GIX,375.24 
[48656] SET_BUY_TRIGGER,0oVAF91nA3,ZJB,58.34 
[48793] DISPLAY_SUMMARY,0oVAF91nA3 
[48831] DISPLAY_SUMMARY,0oVAF91nA3 
[48855] SET_SELL_TRIGGER,0oVAF91nA3,HBF,65.64 
[48910] SET_BUY_AMOUNT,0oVAF91nA3,NHG,699.93 
[49005] SET_BUY_TRIGGER,0oVAF91nA3,OBR,590.00 
[49040] CANCEL_SELL,0oVAF91nA3 
[49113] DISPLAY_SUMMARY,0oVAF91nA3 
[49159] SELL,0oVAF91nA3,ZYR,245.98 
[49319] CANCEL_SELL,0oVAF91nA3 
[49347] QUOTE,0oVAF91nA3,YPL 
