[52] ADD,hrINHOrbWw,100431.52 
[7408] SET_SELL_AMOUNT,hrINHOrbWw,FQP,166.40 
[7486] SET_SELL_TRIGGER,hrINHOrbWw,FQP,100.45 
[7587] SET_BUY_AMOUNT,hrINHOrbWw,KDA,643.37 
[7711] QUOTE,hrINHOrbWw,TAR 
[7733] BUY,hrINHOrbWw,FPI,152.52 
[7754] COMMIT_BUY,hrINHOrbWw 
[7909] DISPLAY_SUMMARY,hrINHOrbWw 
[7981] BUY,hrINHOrbWw,QOQ,122.58 
[8206] CANCEL_SELL,hrINHOrbWw 
[8487] SET_SELL_TRIGGER,hrINHOrbWw,LJM,58.44 
[8630] QUOTE,hrINHOrbWw,HZA 
[8853] BUY,hrINHOrbWw,MZT,667.04 
[8872] COMMIT_SELL,hrINHOrbWw 
[8977] SET_SELL_TRIGGER,hrINHOrbWw,QID,199.88 
[9022] SELL,hrINHOrbWw,KES,652.73 
[9078] DISPLAY_SUMMARY,hrINHOrbWw 
[9193] QUOTE,hrINHOrbWw,PRJ 
[9232] BUY,hrINHOrbWw,YBO,15.72 
[9311] COMMIT_BUY,hrINHOrbWw 
[9460] BUY,hrINHOrbWw,MHQ,296.85 
[9538] COMMIT_BUY,hrINHOrbWw 
[9581] DISPLAY_SUMMARY,hrINHOrbWw 
[9647] DISPLAY_SUMMARY,hrINHOrbWw 
[9925] SET_SELL_TRIGGER,hrINHOrbWw,OBO,123.11 
[10010] ADD,hrINHOrbWw,66586.92 
[10065] DISPLAY_SUMMARY,hrINHOrbWw 
[10122] ADD,hrINHOrbWw,61719.32 
[10306] BUY,hrINHOrbWw,MKE,326.81 
[10806] COMMIT_BUY,hrINHOrbWw 
[10928] ADD,hrINHOrbWw,96241.74 
[10936] QUOTE,hrINHOrbWw,IZS 
[11123] BUY,hrINHOrbWw,GLJ,39.69 
[11134] COMMIT_BUY,hrINHOrbWw 
[11154] SET_SELL_AMOUNT,hrINHOrbWw,KDA,625.83 
[11209] SET_SELL_TRIGGER,hrINHOrbWw,KDA,132.45 
[11361] CANCEL_SET_SELL,hrINHOrbWw,YAZ 
[11544] DISPLAY_SUMMARY,hrINHOrbWw 
[11548] SET_SELL_AMOUNT,hrINHOrbWw,JCQ,565.36 
[11609] SET_SELL_TRIGGER,hrINHOrbWw,JCQ,206.24 
[12103] ADD,hrINHOrbWw,54667.42 
[12109] BUY,hrINHOrbWw,PFK,147.48 
[12204] CANCEL_SET_BUY,hrINHOrbWw,XXP 
[12265] DISPLAY_SUMMARY,hrINHOrbWw 
[12287] QUOTE,hrINHOrbWw,IQZ 
[12479] SET_BUY_AMOUNT,hrINHOrbWw,GYF,597.15 
[12592] SET_BUY_TRIGGER,hrINHOrbWw,ZCG,200.28 
[12786] SELL,hrINHOrbWw,KES,188.37 
[12788] DISPLAY_SUMMARY,hrINHOrbWw 
[12820] SET_SELL_TRIGGER,hrINHOrbWw,BEG,9.44 
[12934] SELL,hrINHOrbWw,GYF,347.78 
[12993] COMMIT_SELL,hrINHOrbWw 
[13067] QUOTE,hrINHOrbWw,KBN 
[13185] BUY,hrINHOrbWw,SQI,70.41 
[13255] COMMIT_BUY,hrINHOrbWw 
[13328] BUY,hrINHOrbWw,DJD,624.34 
[13436] COMMIT_BUY,hrINHOrbWw 
[13471] COMMIT_BUY,hrINHOrbWw 
[13481] COMMIT_BUY,hrINHOrbWw 
[13837] QUOTE,hrINHOrbWw,MOM 
[13840] QUOTE,hrINHOrbWw,JIO 
[13994] QUOTE,hrINHOrbWw,STO 
[14254] CANCEL_SELL,hrINHOrbWw 
[14926] SET_BUY_AMOUNT,hrINHOrbWw,QJZ,426.88 
[14944] SET_BUY_TRIGGER,hrINHOrbWw,FYA,113.00 
[15169] BUY,hrINHOrbWw,XFH,444.29 
[15224] CANCEL_SET_BUY,hrINHOrbWw,PYB 
[15306] CANCEL_BUY,hrINHOrbWw 
[15536] BUY,hrINHOrbWw,FUF,621.86 
[15683] CANCEL_BUY,hrINHOrbWw 
[15706] SET_BUY_AMOUNT,hrINHOrbWw,JVT,155.95 
[15833] SET_BUY_TRIGGER,hrINHOrbWw,EIK,82.37 
[15853] CANCEL_SELL,hrINHOrbWw 
[15941] QUOTE,hrINHOrbWw,SYN 
[15960] SET_BUY_AMOUNT,hrINHOrbWw,KDA,308.24 
[15989] SET_BUY_TRIGGER,hrINHOrbWw,PHJ,40.50 
[16001] SET_BUY_TRIGGER,hrINHOrbWw,IFQ,126.64 
[16070] SELL,hrINHOrbWw,KES,90.54 
[16208] COMMIT_SELL,hrINHOrbWw 
[16237] SET_BUY_TRIGGER,hrINHOrbWw,BHJ,141.65 
[16331] ADD,hrINHOrbWw,79484.32 
[16686] ADD,hrINHOrbWw,85192.23 
[16733] SET_BUY_AMOUNT,hrINHOrbWw,JRJ,60.36 
[16790] SELL,hrINHOrbWw,OEY,535.13 
[16814] COMMIT_BUY,hrINHOrbWw 
[16817] SET_BUY_AMOUNT,hrINHOrbWw,FQP,146.43 
[16887] SET_BUY_TRIGGER,hrINHOrbWw,BHQ,138.17 
[16978] SELL,hrINHOrbWw,FQP,268.34 
[17014] COMMIT_SELL,hrINHOrbWw 
[17096] SELL,hrINHOrbWw,JVT,96.02 
[17116] COMMIT_SELL,hrINHOrbWw 
[17281] SET_BUY_AMOUNT,hrINHOrbWw,JRJ,68.87 
[17363] SET_BUY_TRIGGER,hrINHOrbWw,YLZ,51.20 
[17393] BUY,hrINHOrbWw,XLK,730.22 
[17406] COMMIT_BUY,hrINHOrbWw 
[17459] SET_SELL_TRIGGER,hrINHOrbWw,FXT,142.55 
[17806] SET_BUY_TRIGGER,hrINHOrbWw,XXT,119.71 
[18060] DISPLAY_SUMMARY,hrINHOrbWw 
[18227] QUOTE,hrINHOrbWw,MVY 
[18288] BUY,hrINHOrbWw,KAR,748.65 
[18325] COMMIT_BUY,hrINHOrbWw 
[18666] SET_SELL_TRIGGER,hrINHOrbWw,ZFJ,159.33 
[18781] SET_BUY_AMOUNT,hrINHOrbWw,QAX,290.74 
[18783] SET_BUY_TRIGGER,hrINHOrbWw,AHO,244.92 
[19174] BUY,hrINHOrbWw,OXV,488.44 
[19258] COMMIT_BUY,hrINHOrbWw 
[19418] SET_SELL_TRIGGER,hrINHOrbWw,HZP,62.22 
[19455] CANCEL_SET_BUY,hrINHOrbWw,QLM 
[19715] SET_BUY_AMOUNT,hrINHOrbWw,KDA,473.89 
[19719] SET_BUY_TRIGGER,hrINHOrbWw,HNO,422.08 
[19758] COMMIT_BUY,hrINHOrbWw 
[19803] ADD,hrINHOrbWw,63919.72 
[19821] QUOTE,hrINHOrbWw,RVZ 
[19829] BUY,hrINHOrbWw,OLH,84.94 
[19948] SET_BUY_TRIGGER,hrINHOrbWw,BPE,127.86 
[19959] BUY,hrINHOrbWw,XYV,311.45 
[19969] COMMIT_BUY,hrINHOrbWw 
[20047] BUY,hrINHOrbWw,CLP,186.09 
[20172] COMMIT_BUY,hrINHOrbWw 
[20177] SELL,hrINHOrbWw,NHG,162.76 
[20208] QUOTE,hrINHOrbWw,QOD 
[20381] SET_BUY_AMOUNT,hrINHOrbWw,KDA,717.10 
[20384] SET_BUY_TRIGGER,hrINHOrbWw,AED,320.48 
[20436] COMMIT_BUY,hrINHOrbWw 
[20548] SET_SELL_TRIGGER,hrINHOrbWw,OKK,122.28 
[20730] SET_BUY_TRIGGER,hrINHOrbWw,PPY,61.89 
[20759] DISPLAY_SUMMARY,hrINHOrbWw 
[20829] ADD,hrINHOrbWw,69269.70 
[20878] QUOTE,hrINHOrbWw,YKB 
[20975] DISPLAY_SUMMARY,hrINHOrbWw 
[20978] SET_BUY_TRIGGER,hrINHOrbWw,ZNY,114.23 
[21411] SELL,hrINHOrbWw,LFU,350.98 
[21532] QUOTE,hrINHOrbWw,RXB 
[21567] QUOTE,hrINHOrbWw,JUG 
[21931] SET_SELL_AMOUNT,hrINHOrbWw,OEY,68.56 
[22070] DISPLAY_SUMMARY,hrINHOrbWw 
[22081] ADD,hrINHOrbWw,80250.93 
[22252] QUOTE,hrINHOrbWw,GKD 
[22273] QUOTE,hrINHOrbWw,ZMS 
[22343] DISPLAY_SUMMARY,hrINHOrbWw 
[22360] SELL,hrINHOrbWw,QAX,209.73 
[22495] COMMIT_SELL,hrINHOrbWw 
[22552] ADD,hrINHOrbWw,27763.57 
[22670] BUY,hrINHOrbWw,BTD,207.13 
[22779] QUOTE,hrINHOrbWw,CLP 
[22835] SET_BUY_TRIGGER,hrINHOrbWw,XII,112.61 
[23114] DISPLAY_SUMMARY,hrINHOrbWw 
[23153] SET_BUY_TRIGGER,hrINHOrbWw,NGZ,175.76 
[23224] BUY,hrINHOrbWw,HVE,594.72 
[23334] DISPLAY_SUMMARY,hrINHOrbWw 
[23370] ADD,hrINHOrbWw,85349.42 
[23703] ADD,hrINHOrbWw,47045.88 
[23708] QUOTE,hrINHOrbWw,VOY 
[23799] QUOTE,hrINHOrbWw,KMZ 
[23914] COMMIT_BUY,hrINHOrbWw 
[24000] SET_BUY_TRIGGER,hrINHOrbWw,LMB,127.24 
[24095] QUOTE,hrINHOrbWw,FQG 
[24122] SELL,hrINHOrbWw,KDA,162.73 
[24203] COMMIT_SELL,hrINHOrbWw 
[24359] SET_SELL_AMOUNT,hrINHOrbWw,QJZ,70.58 
[24547] BUY,hrINHOrbWw,FGF,580.35 
[24572] QUOTE,hrINHOrbWw,SCW 
[24587] ADD,hrINHOrbWw,79595.26 
[24634] BUY,hrINHOrbWw,KJM,205.08 
[24647] CANCEL_SET_BUY,hrINHOrbWw,GMS 
[24836] SET_BUY_AMOUNT,hrINHOrbWw,JQO,53.03 
[25024] SET_BUY_TRIGGER,hrINHOrbWw,ZWZ,26.45 
[25088] ADD,hrINHOrbWw,90411.31 
[25248] BUY,hrINHOrbWw,OSC,645.37 
[25278] COMMIT_BUY,hrINHOrbWw 
[25280] SET_BUY_TRIGGER,hrINHOrbWw,QGE,153.20 
[25284] ADD,hrINHOrbWw,57327.72 
[25319] BUY,hrINHOrbWw,UMN,437.70 
[25418] COMMIT_BUY,hrINHOrbWw 
[25549] BUY,hrINHOrbWw,LLD,193.58 
[25599] SET_SELL_AMOUNT,hrINHOrbWw,OEY,475.23 
[25678] SET_SELL_TRIGGER,hrINHOrbWw,OEY,28.32 
[25813] ADD,hrINHOrbWw,51267.99 
[26037] BUY,hrINHOrbWw,OOI,131.97 
[26146] CANCEL_SELL,hrINHOrbWw 
[26147] ADD,hrINHOrbWw,61647.28 
[26181] QUOTE,hrINHOrbWw,GHE 
[26199] SET_BUY_AMOUNT,hrINHOrbWw,UTV,439.35 
[26642] SET_BUY_TRIGGER,hrINHOrbWw,XRK,30.35 
[26658] SET_BUY_AMOUNT,hrINHOrbWw,RUN,108.97 
[26691] SET_BUY_TRIGGER,hrINHOrbWw,QLM,106.90 
[26723] DISPLAY_SUMMARY,hrINHOrbWw 
[26810] SELL,hrINHOrbWw,JVT,123.79 
[26873] BUY,hrINHOrbWw,SKY,147.14 
[26893] SET_BUY_AMOUNT,hrINHOrbWw,JRJ,419.24 
[26897] SET_BUY_TRIGGER,hrINHOrbWw,PFN,145.46 
[27068] ADD,hrINHOrbWw,55774.25 
[27200] SELL,hrINHOrbWw,BYA,650.51 
[27286] SET_SELL_TRIGGER,hrINHOrbWw,GFN,145.34 
[27371] BUY,hrINHOrbWw,STT,522.15 
[27401] COMMIT_BUY,hrINHOrbWw 
[27450] SELL,hrINHOrbWw,OEY,620.63 
[27598] COMMIT_SELL,hrINHOrbWw 
[27673] BUY,hrINHOrbWw,GAV,710.54 
[27828] SET_BUY_TRIGGER,hrINHOrbWw,CDF,56.11 
[27829] ADD,hrINHOrbWw,68696.05 
[27867] QUOTE,hrINHOrbWw,SEW 
[28104] COMMIT_SELL,hrINHOrbWw 
[28238] SET_BUY_TRIGGER,hrINHOrbWw,GCW,131.79 
[28378] COMMIT_SELL,hrINHOrbWw 
[28446] SET_SELL_TRIGGER,hrINHOrbWw,XQG,54.98 
[28476] ADD,hrINHOrbWw,97595.81 
[28628] CANCEL_BUY,hrINHOrbWw 
[28675] ADD,hrINHOrbWw,80013.57 
[28699] BUY,hrINHOrbWw,VKB,424.68 
[28806] COMMIT_BUY,hrINHOrbWw 
[28830] COMMIT_SELL,hrINHOrbWw 
[29193] DISPLAY_SUMMARY,hrINHOrbWw 
[29346] ADD,hrINHOrbWw,76257.71 
[29415] QUOTE,hrINHOrbWw,ZZN 
[29452] QUOTE,hrINHOrbWw,PPW 
[29517] BUY,hrINHOrbWw,AMI,746.59 
[29864] ADD,hrINHOrbWw,76187.35 
[29965] QUOTE,hrINHOrbWw,IWL 
[30033] SET_BUY_AMOUNT,hrINHOrbWw,GYF,168.99 
[30059] SET_BUY_TRIGGER,hrINHOrbWw,GKD,41.36 
[30239] BUY,hrINHOrbWw,RFI,383.28 
[30462] SET_BUY_TRIGGER,hrINHOrbWw,VEN,192.52 
[30487] DISPLAY_SUMMARY,hrINHOrbWw 
[30496] BUY,hrINHOrbWw,GNY,434.83 
[30506] COMMIT_BUY,hrINHOrbWw 
[30510] DISPLAY_SUMMARY,hrINHOrbWw 
[30539] SET_BUY_AMOUNT,hrINHOrbWw,JRJ,696.46 
[30549] SET_BUY_TRIGGER,hrINHOrbWw,MHI,98.70 
[30779] BUY,hrINHOrbWw,HYX,547.43 
[30794] COMMIT_BUY,hrINHOrbWw 
[30907] COMMIT_SELL,hrINHOrbWw 
[30976] SET_SELL_AMOUNT,hrINHOrbWw,LFU,387.97 
[31124] CANCEL_SET_SELL,hrINHOrbWw,LFU 
[31233] SET_SELL_TRIGGER,hrINHOrbWw,ZCQ,164.70 
[31242] DISPLAY_SUMMARY,hrINHOrbWw 
[31258] ADD,hrINHOrbWw,69240.69 
[31326] QUOTE,hrINHOrbWw,BHP 
[31387] SELL,hrINHOrbWw,LFU,469.83 
[31488] CANCEL_SET_BUY,hrINHOrbWw,CTI 
[31528] CANCEL_SELL,hrINHOrbWw 
[31678] SET_BUY_AMOUNT,hrINHOrbWw,FQP,684.99 
[31779] DISPLAY_SUMMARY,hrINHOrbWw 
[31860] ADD,hrINHOrbWw,60168.63 
[31890] BUY,hrINHOrbWw,BWL,384.36 
[32001] COMMIT_BUY,hrINHOrbWw 
[32065] SET_SELL_AMOUNT,hrINHOrbWw,FQP,267.90 
[32176] SET_SELL_TRIGGER,hrINHOrbWw,FQP,262.59 
[32182] DISPLAY_SUMMARY,hrINHOrbWw 
[32388] QUOTE,hrINHOrbWw,GDO 
[32503] QUOTE,hrINHOrbWw,QEO 
[32551] DISPLAY_SUMMARY,hrINHOrbWw 
[32552] ADD,hrINHOrbWw,85900.84 
[32638] CANCEL_SELL,hrINHOrbWw 
[32688] CANCEL_SET_SELL,hrINHOrbWw,BDX 
[32759] DISPLAY_SUMMARY,hrINHOrbWw 
[33100] CANCEL_BUY,hrINHOrbWw 
[33144] QUOTE,hrINHOrbWw,GJQ 
[33362] QUOTE,hrINHOrbWw,UBJ 
[33614] COMMIT_SELL,hrINHOrbWw 
[33651] SELL,hrINHOrbWw,JQO,349.90 
[33883] COMMIT_SELL,hrINHOrbWw 
[33954] QUOTE,hrINHOrbWw,VVV 
[34084] QUOTE,hrINHOrbWw,EOS 
[34111] SET_SELL_AMOUNT,hrINHOrbWw,JCQ,167.45 
[34336] SET_SELL_TRIGGER,hrINHOrbWw,JCQ,35.95 
[34486] BUY,hrINHOrbWw,LLD,695.76 
[34563] COMMIT_BUY,hrINHOrbWw 
[34603] DISPLAY_SUMMARY,hrINHOrbWw 
[34621] BUY,hrINHOrbWw,ECL,517.01 
[34762] CANCEL_BUY,hrINHOrbWw 
[34972] COMMIT_BUY,hrINHOrbWw 
[35079] SET_SELL_TRIGGER,hrINHOrbWw,CDF,161.90 
[35128] DISPLAY_SUMMARY,hrINHOrbWw 
[35190] SET_BUY_TRIGGER,hrINHOrbWw,BHH,35.73 
[35245] SET_SELL_AMOUNT,hrINHOrbWw,EBS,78.92 
[35277] SET_SELL_TRIGGER,hrINHOrbWw,EBS,27.56 
[35543] BUY,hrINHOrbWw,NGZ,485.81 
[35553] DISPLAY_SUMMARY,hrINHOrbWw 
[35574] BUY,hrINHOrbWw,MKE,179.27 
[35791] SELL,hrINHOrbWw,ZYR,267.40 
[35825] COMMIT_SELL,hrINHOrbWw 
[36090] CANCEL_SET_SELL,hrINHOrbWw,OEM 
[36153] SET_BUY_AMOUNT,hrINHOrbWw,YJK,502.12 
[36353] SET_BUY_TRIGGER,hrINHOrbWw,KIP,336.64 
[36466] ADD,hrINHOrbWw,76062.59 
[36696] BUY,hrINHOrbWw,JQO,674.29 
[36765] COMMIT_BUY,hrINHOrbWw 
[36768] SET_BUY_AMOUNT,hrINHOrbWw,BCQ,558.57 
[36812] SET_BUY_TRIGGER,hrINHOrbWw,PIE,80.43 
[36862] ADD,hrINHOrbWw,75241.30 
[37000] SET_BUY_AMOUNT,hrINHOrbWw,LFU,551.63 
[37191] SET_BUY_TRIGGER,hrINHOrbWw,BOS,498.20 
[37445] ADD,hrINHOrbWw,60283.30 
[37534] BUY,hrINHOrbWw,ZMA,210.85 
[37638] SET_SELL_AMOUNT,hrINHOrbWw,EBS,211.99 
[37816] SET_SELL_TRIGGER,hrINHOrbWw,EBS,158.15 
[37879] SET_SELL_AMOUNT,hrINHOrbWw,YJK,738.39 
[38004] SELL,hrINHOrbWw,DFE,191.18 
[38012] CANCEL_SELL,hrINHOrbWw 
[38285] SET_BUY_AMOUNT,hrINHOrbWw,JVT,553.37 
[38300] QUOTE,hrINHOrbWw,DHA 
[38345] SET_BUY_TRIGGER,hrINHOrbWw,XLI,70.22 
[38358] DISPLAY_SUMMARY,hrINHOrbWw 
[38377] BUY,hrINHOrbWw,QNW,297.56 
[38401] COMMIT_BUY,hrINHOrbWw 
[38474] BUY,hrINHOrbWw,TSF,188.98 
[38541] CANCEL_SELL,hrINHOrbWw 
[38595] SELL,hrINHOrbWw,CUZ,299.00 
[38736] COMMIT_SELL,hrINHOrbWw 
[38805] DISPLAY_SUMMARY,hrINHOrbWw 
[38843] SET_BUY_TRIGGER,hrINHOrbWw,EGX,24.94 
[38888] SELL,hrINHOrbWw,EBS,297.69 
[39143] COMMIT_SELL,hrINHOrbWw 
[39197] SELL,hrINHOrbWw,XXQ,220.80 
[39255] SELL,hrINHOrbWw,KDA,566.87 
[39341] QUOTE,hrINHOrbWw,HSH 
[39539] BUY,hrINHOrbWw,JIO,2.91 
[39690] COMMIT_BUY,hrINHOrbWw 
[39721] SET_BUY_AMOUNT,hrINHOrbWw,XXQ,403.66 
[39752] SET_BUY_TRIGGER,hrINHOrbWw,SHP,32.40 
[39762] BUY,hrINHOrbWw,ESN,172.50 
[39885] COMMIT_BUY,hrINHOrbWw 
[40066] SET_BUY_AMOUNT,hrINHOrbWw,YJK,35.07 
[40137] SET_BUY_TRIGGER,hrINHOrbWw,CXC,20.32 
[40514] QUOTE,hrINHOrbWw,NHG 
[40596] BUY,hrINHOrbWw,CTI,559.04 
[40670] QUOTE,hrINHOrbWw,OZO 
[40681] SET_BUY_TRIGGER,hrINHOrbWw,MQX,106.28 
[40692] ADD,hrINHOrbWw,62038.80 
[40828] BUY,hrINHOrbWw,WAO,213.59 
[40902] COMMIT_BUY,hrINHOrbWw 
[40922] QUOTE,hrINHOrbWw,QVK 
[41062] SET_BUY_TRIGGER,hrINHOrbWw,NXU,140.85 
[41088] SET_BUY_AMOUNT,hrINHOrbWw,JCQ,422.17 
[41114] BUY,hrINHOrbWw,DVA,667.43 
[41201] ADD,hrINHOrbWw,50347.68 
[41276] BUY,hrINHOrbWw,OBO,565.73 
[41471] CANCEL_SET_SELL,hrINHOrbWw,YJK 
[41654] SET_SELL_TRIGGER,hrINHOrbWw,NVX,69.03 
[41691] SET_BUY_TRIGGER,hrINHOrbWw,NVN,320.47 
[41867] QUOTE,hrINHOrbWw,RQT 
[42023] SET_BUY_TRIGGER,hrINHOrbWw,GCW,124.07 
[42207] CANCEL_SET_BUY,hrINHOrbWw,QPR 
[42236] BUY,hrINHOrbWw,MUN,110.64 
[42256] CANCEL_BUY,hrINHOrbWw 
[42263] QUOTE,hrINHOrbWw,XXN 
[42358] ADD,hrINHOrbWw,73293.66 
[42452] QUOTE,hrINHOrbWw,GSW 
[42490] ADD,hrINHOrbWw,61500.58 
[42506] QUOTE,hrINHOrbWw,IKK 
[42576] BUY,hrINHOrbWw,FTJ,326.56 
[42660] COMMIT_BUY,hrINHOrbWw 
[42800] ADD,hrINHOrbWw,60375.00 
[42821] QUOTE,hrINHOrbWw,URA 
[42836] BUY,hrINHOrbWw,ETB,255.18 
[42856] COMMIT_BUY,hrINHOrbWw 
[43000] SET_BUY_TRIGGER,hrINHOrbWw,RLS,148.96 
[43364] ADD,hrINHOrbWw,51484.09 
[43479] BUY,hrINHOrbWw,AJX,502.69 
[43652] COMMIT_BUY,hrINHOrbWw 
[43659] SET_SELL_TRIGGER,hrINHOrbWw,DVU,123.10 
[43756] ADD,hrINHOrbWw,75810.71 
[43833] BUY,hrINHOrbWw,VFH,133.05 
[43857] COMMIT_BUY,hrINHOrbWw 
[43916] ADD,hrINHOrbWw,85749.08 
[44003] CANCEL_SET_SELL,hrINHOrbWw,ULL 
[44118] BUY,hrINHOrbWw,BBD,144.58 
[44140] COMMIT_BUY,hrINHOrbWw 
[44280] ADD,hrINHOrbWw,75737.95 
[44366] QUOTE,hrINHOrbWw,QPR 
[44410] BUY,hrINHOrbWw,CNN,27.95 
[44450] COMMIT_BUY,hrINHOrbWw 
[44471] SET_SELL_AMOUNT,hrINHOrbWw,DFE,530.29 
[44529] SET_SELL_TRIGGER,hrINHOrbWw,DFE,120.16 
[44595] SET_BUY_AMOUNT,hrINHOrbWw,FDI,173.68 
[44599] SELL,hrINHOrbWw,YJK,135.22 
[44766] COMMIT_SELL,hrINHOrbWw 
[44995] SET_BUY_AMOUNT,hrINHOrbWw,ZAN,132.63 
[45009] SET_BUY_TRIGGER,hrINHOrbWw,URD,50.85 
[45012] DISPLAY_SUMMARY,hrINHOrbWw 
[45382] SET_SELL_AMOUNT,hrINHOrbWw,CSZ,459.60 
[45400] CANCEL_SET_SELL,hrINHOrbWw,CSZ 
[45512] QUOTE,hrINHOrbWw,JHY 
[45576] SET_BUY_AMOUNT,hrINHOrbWw,XLK,168.31 
[45595] SET_BUY_TRIGGER,hrINHOrbWw,IHA,123.52 
[45597] SET_SELL_TRIGGER,hrINHOrbWw,WXV,65.58 
[45982] SET_BUY_TRIGGER,hrINHOrbWw,FDI,61.65 
[46007] ADD,hrINHOrbWw,60853.12 
[46022] QUOTE,hrINHOrbWw,FFI 
[46147] CANCEL_SELL,hrINHOrbWw 
[46169] ADD,hrINHOrbWw,73991.63 
[46196] QUOTE,hrINHOrbWw,WJS 
[46223] SET_BUY_TRIGGER,hrINHOrbWw,JNO,158.84 
[46349] ADD,hrINHOrbWw,83132.17 
[46395] QUOTE,hrINHOrbWw,IOM 
[46566] BUY,hrINHOrbWw,GAL,533.74 
[46571] COMMIT_BUY,hrINHOrbWw 
[46789] DISPLAY_SUMMARY,hrINHOrbWw 
[46936] CANCEL_SELL,hrINHOrbWw 
[47240] ADD,hrINHOrbWw,50479.41 
[47409] BUY,hrINHOrbWw,UUJ,558.34 
[47702] QUOTE,hrINHOrbWw,UCG 
[47759] SET_BUY_AMOUNT,hrINHOrbWw,JZJ,101.55 
[47860] DISPLAY_SUMMARY,hrINHOrbWw 
[47925] CANCEL_SET_SELL,hrINHOrbWw,CNN 
[48041] ADD,hrINHOrbWw,86229.67 
[48058] CANCEL_SELL,hrINHOrbWw 
[48090] DISPLAY_SUMMARY,hrINHOrbWw 
[48332] DISPLAY_SUMMARY,hrINHOrbWw 
