[10] ADD,n9qniWnHrs,38784.26 
[9286] ADD,n9qniWnHrs,84763.61 
[9376] QUOTE,n9qniWnHrs,VTY 
[9410] BUY,n9qniWnHrs,HFI,317.44 
[9448] CANCEL_BUY,n9qniWnHrs 
[9505] SELL,n9qniWnHrs,GYF,40.94 
[9540] COMMIT_SELL,n9qniWnHrs 
[9552] BUY,n9qniWnHrs,WRJ,61.08 
[9708] QUOTE,n9qniWnHrs,MOM 
[9766] BUY,n9qniWnHrs,XFW,73.96 
[9830] QUOTE,n9qniWnHrs,PCK 
[9875] QUOTE,n9qniWnHrs,OYS 
[9964] SELL,n9qniWnHrs,QJZ,202.50 
[10018] SET_BUY_TRIGGER,n9qniWnHrs,ZGN,62.96 
[10132] QUOTE,n9qniWnHrs,CEC 
[10549] BUY,n9qniWnHrs,CDF,187.85 
[10581] CANCEL_BUY,n9qniWnHrs 
[10688] DISPLAY_SUMMARY,n9qniWnHrs 
[10976] BUY,n9qniWnHrs,KES,346.76 
[11369] CANCEL_BUY,n9qniWnHrs 
[11394] ADD,n9qniWnHrs,86091.07 
[11425] QUOTE,n9qniWnHrs,JNO 
[11448] ADD,n9qniWnHrs,97450.41 
[11588] BUY,n9qniWnHrs,MLU,412.93 
[11694] COMMIT_BUY,n9qniWnHrs 
[11714] SELL,n9qniWnHrs,EBS,355.59 
[11848] SET_BUY_TRIGGER,n9qniWnHrs,GDO,174.44 
[11922] SET_BUY_TRIGGER,n9qniWnHrs,ZOZ,187.93 
[12011] ADD,n9qniWnHrs,73385.09 
[12172] QUOTE,n9qniWnHrs,UBJ 
[12317] SET_BUY_AMOUNT,n9qniWnHrs,JRJ,551.46 
[12394] SET_BUY_TRIGGER,n9qniWnHrs,MXN,382.54 
[12488] BUY,n9qniWnHrs,FKZ,702.59 
[13199] COMMIT_BUY,n9qniWnHrs 
[13366] DISPLAY_SUMMARY,n9qniWnHrs 
[13432] BUY,n9qniWnHrs,QPR,375.94 
[13444] COMMIT_BUY,n9qniWnHrs 
[13478] ADD,n9qniWnHrs,60289.48 
[13502] QUOTE,n9qniWnHrs,FQG 
[13709] SET_BUY_TRIGGER,n9qniWnHrs,FGF,120.14 
[13869] CANCEL_SELL,n9qniWnHrs 
[14073] SET_SELL_TRIGGER,n9qniWnHrs,QXE,153.56 
[14103] DISPLAY_SUMMARY,n9qniWnHrs 
[14145] BUY,n9qniWnHrs,JUV,469.68 
[14241] COMMIT_SELL,n9qniWnHrs 
[14242] BUY,n9qniWnHrs,TTV,659.43 
[14265] COMMIT_BUY,n9qniWnHrs 
[14326] ADD,n9qniWnHrs,54981.62 
[14362] BUY,n9qniWnHrs,XYV,154.18 
[14381] COMMIT_BUY,n9qniWnHrs 
[14514] SET_SELL_TRIGGER,n9qniWnHrs,XUY,174.33 
[14637] BUY,n9qniWnHrs,ZTI,401.97 
[14775] COMMIT_BUY,n9qniWnHrs 
[14895] SET_BUY_AMOUNT,n9qniWnHrs,FQP,355.80 
[14934] SET_BUY_TRIGGER,n9qniWnHrs,XYV,92.32 
[14980] SET_SELL_TRIGGER,n9qniWnHrs,LAW,152.67 
[15031] SET_SELL_AMOUNT,n9qniWnHrs,KDA,401.83 
[15081] CANCEL_SET_SELL,n9qniWnHrs,KDA 
[15100] ADD,n9qniWnHrs,65744.95 
[15120] QUOTE,n9qniWnHrs,NDD 
[15261] SET_SELL_TRIGGER,n9qniWnHrs,YNH,181.00 
[15294] CANCEL_BUY,n9qniWnHrs 
[15330] COMMIT_BUY,n9qniWnHrs 
[15383] BUY,n9qniWnHrs,MVQ,40.45 
[15485] COMMIT_BUY,n9qniWnHrs 
[15522] SET_BUY_AMOUNT,n9qniWnHrs,UTV,702.21 
[15530] SET_BUY_TRIGGER,n9qniWnHrs,FQU,377.78 
[15540] QUOTE,n9qniWnHrs,KBI 
[15618] QUOTE,n9qniWnHrs,XFA 
[15623] QUOTE,n9qniWnHrs,FQP 
[15726] CANCEL_SET_SELL,n9qniWnHrs,BPE 
[15881] DISPLAY_SUMMARY,n9qniWnHrs 
[15882] ADD,n9qniWnHrs,86495.26 
[16137] QUOTE,n9qniWnHrs,MMY 
[16366] BUY,n9qniWnHrs,LAM,512.54 
[16493] CANCEL_BUY,n9qniWnHrs 
[16615] BUY,n9qniWnHrs,SXB,375.75 
[16645] COMMIT_BUY,n9qniWnHrs 
[16652] SET_SELL_AMOUNT,n9qniWnHrs,GYF,37.60 
[17137] SET_SELL_TRIGGER,n9qniWnHrs,GYF,19.09 
[17162] ADD,n9qniWnHrs,68728.84 
[17481] BUY,n9qniWnHrs,XLK,429.54 
[17549] COMMIT_BUY,n9qniWnHrs 
[17641] BUY,n9qniWnHrs,YBB,748.80 
[17643] COMMIT_BUY,n9qniWnHrs 
[17683] DISPLAY_SUMMARY,n9qniWnHrs 
[17695] SET_BUY_TRIGGER,n9qniWnHrs,VNN,14.51 
[17710] SELL,n9qniWnHrs,KES,240.14 
[17771] SET_SELL_AMOUNT,n9qniWnHrs,LFU,295.75 
[17832] SET_SELL_TRIGGER,n9qniWnHrs,LFU,226.21 
[17852] ADD,n9qniWnHrs,69236.04 
[17876] BUY,n9qniWnHrs,XDN,131.32 
[17908] COMMIT_SELL,n9qniWnHrs 
[17938] SELL,n9qniWnHrs,BYA,586.60 
[18082] CANCEL_BUY,n9qniWnHrs 
[18127] SET_SELL_TRIGGER,n9qniWnHrs,ADY,63.91 
[18258] SET_BUY_AMOUNT,n9qniWnHrs,QJZ,656.70 
[18295] CANCEL_SET_BUY,n9qniWnHrs,WFR 
[18392] QUOTE,n9qniWnHrs,PVH 
[18407] DISPLAY_SUMMARY,n9qniWnHrs 
[18418] ADD,n9qniWnHrs,64135.71 
[18549] BUY,n9qniWnHrs,JNO,204.59 
[18632] CANCEL_BUY,n9qniWnHrs 
[18773] SET_BUY_TRIGGER,n9qniWnHrs,RUN,129.53 
[18799] SET_SELL_AMOUNT,n9qniWnHrs,KES,645.12 
[18825] DISPLAY_SUMMARY,n9qniWnHrs 
[18928] DISPLAY_SUMMARY,n9qniWnHrs 
[18948] ADD,n9qniWnHrs,76789.86 
[19037] QUOTE,n9qniWnHrs,BXH 
[19053] BUY,n9qniWnHrs,AQO,328.81 
[19073] COMMIT_BUY,n9qniWnHrs 
[19078] SET_BUY_AMOUNT,n9qniWnHrs,JVT,489.87 
[19217] SET_BUY_TRIGGER,n9qniWnHrs,JQJ,416.70 
[19377] SET_BUY_TRIGGER,n9qniWnHrs,OSA,168.47 
[19524] SET_BUY_AMOUNT,n9qniWnHrs,GYF,143.44 
[19539] SET_BUY_TRIGGER,n9qniWnHrs,XOL,69.31 
[19703] ADD,n9qniWnHrs,71866.47 
[19779] BUY,n9qniWnHrs,CSZ,176.02 
[19782] CANCEL_SET_BUY,n9qniWnHrs,IHA 
[19793] QUOTE,n9qniWnHrs,WAO 
[19845] BUY,n9qniWnHrs,YAZ,221.83 
[20128] QUOTE,n9qniWnHrs,XQC 
[20219] QUOTE,n9qniWnHrs,YIQ 
[20274] ADD,n9qniWnHrs,53162.94 
[20344] QUOTE,n9qniWnHrs,WQC 
[20425] CANCEL_SET_SELL,n9qniWnHrs,KES 
[20434] SET_SELL_AMOUNT,n9qniWnHrs,JRJ,214.52 
[20551] SELL,n9qniWnHrs,ZAN,182.79 
[20579] COMMIT_SELL,n9qniWnHrs 
[20663] QUOTE,n9qniWnHrs,FQR 
[20847] ADD,n9qniWnHrs,73323.98 
[20872] SET_SELL_TRIGGER,n9qniWnHrs,JRJ,186.30 
[21052] SELL,n9qniWnHrs,EBS,211.64 
[21084] COMMIT_SELL,n9qniWnHrs 
[21130] SET_BUY_AMOUNT,n9qniWnHrs,ZAN,397.60 
[21500] DISPLAY_SUMMARY,n9qniWnHrs 
[21568] DISPLAY_SUMMARY,n9qniWnHrs 
[21667] QUOTE,n9qniWnHrs,PYM 
[21724] ADD,n9qniWnHrs,82256.77 
[21823] COMMIT_SELL,n9qniWnHrs 
[21894] ADD,n9qniWnHrs,84710.83 
[22034] BUY,n9qniWnHrs,IFU,723.65 
[22193] COMMIT_BUY,n9qniWnHrs 
[22218] SELL,n9qniWnHrs,DFE,617.00 
[22229] CANCEL_SELL,n9qniWnHrs 
[22330] SELL,n9qniWnHrs,JRJ,113.30 
[22660] CANCEL_SELL,n9qniWnHrs 
[22720] SET_BUY_AMOUNT,n9qniWnHrs,KDA,402.60 
[22899] SET_BUY_TRIGGER,n9qniWnHrs,BEC,52.51 
[23137] SELL,n9qniWnHrs,UTV,39.98 
[23169] CANCEL_BUY,n9qniWnHrs 
[23179] CANCEL_BUY,n9qniWnHrs 
[23424] ADD,n9qniWnHrs,54359.34 
[23429] BUY,n9qniWnHrs,RFI,335.59 
[23503] COMMIT_SELL,n9qniWnHrs 
[23653] DISPLAY_SUMMARY,n9qniWnHrs 
[23701] BUY,n9qniWnHrs,PMG,741.93 
[23859] QUOTE,n9qniWnHrs,VTY 
[23873] QUOTE,n9qniWnHrs,GIX 
[23880] SET_SELL_AMOUNT,n9qniWnHrs,CUZ,454.77 
[24175] SET_SELL_TRIGGER,n9qniWnHrs,CUZ,440.13 
[24227] SELL,n9qniWnHrs,CUZ,274.48 
[24309] COMMIT_SELL,n9qniWnHrs 
[24404] SET_SELL_AMOUNT,n9qniWnHrs,JVT,694.90 
[24412] SET_SELL_TRIGGER,n9qniWnHrs,JVT,200.49 
[24451] SET_BUY_AMOUNT,n9qniWnHrs,CUZ,404.81 
[24461] SET_BUY_TRIGGER,n9qniWnHrs,NUL,347.56 
[24598] SELL,n9qniWnHrs,DFE,540.80 
[24612] COMMIT_SELL,n9qniWnHrs 
[24808] ADD,n9qniWnHrs,66265.60 
[25218] BUY,n9qniWnHrs,LJY,457.59 
[25260] QUOTE,n9qniWnHrs,OEX 
[25431] CANCEL_SET_SELL,n9qniWnHrs,PUC 
[25449] SET_BUY_TRIGGER,n9qniWnHrs,GMS,196.70 
[25534] SET_BUY_AMOUNT,n9qniWnHrs,QAX,467.54 
[25785] QUOTE,n9qniWnHrs,ZQS 
[25863] SELL,n9qniWnHrs,UTV,241.83 
[25901] COMMIT_SELL,n9qniWnHrs 
[26167] DISPLAY_SUMMARY,n9qniWnHrs 
[26289] SET_SELL_TRIGGER,n9qniWnHrs,JMX,123.84 
[26422] QUOTE,n9qniWnHrs,ZJG 
[26464] SET_SELL_TRIGGER,n9qniWnHrs,URD,90.22 
[26488] SET_SELL_TRIGGER,n9qniWnHrs,LKV,7.13 
[26661] ADD,n9qniWnHrs,76373.82 
[26921] QUOTE,n9qniWnHrs,ZOT 
[27065] ADD,n9qniWnHrs,89960.64 
[27332] CANCEL_SET_BUY,n9qniWnHrs,VVW 
[27337] COMMIT_SELL,n9qniWnHrs 
[27340] CANCEL_SET_SELL,n9qniWnHrs,NAW 
[27506] DISPLAY_SUMMARY,n9qniWnHrs 
[27507] SET_SELL_AMOUNT,n9qniWnHrs,OEY,719.96 
[27538] SET_SELL_TRIGGER,n9qniWnHrs,OEY,414.96 
[27603] ADD,n9qniWnHrs,48255.83 
[27622] BUY,n9qniWnHrs,SJG,187.51 
[28044] COMMIT_BUY,n9qniWnHrs 
[28311] ADD,n9qniWnHrs,56883.89 
[28381] BUY,n9qniWnHrs,ATE,172.09 
[28397] COMMIT_BUY,n9qniWnHrs 
[28474] SELL,n9qniWnHrs,EBS,295.89 
[28501] COMMIT_SELL,n9qniWnHrs 
[28622] SET_SELL_TRIGGER,n9qniWnHrs,PVZ,79.29 
[28681] COMMIT_SELL,n9qniWnHrs 
[28718] SET_BUY_TRIGGER,n9qniWnHrs,KQZ,110.44 
[28735] SELL,n9qniWnHrs,JCQ,250.48 
[28799] COMMIT_SELL,n9qniWnHrs 
[28932] SET_SELL_TRIGGER,n9qniWnHrs,LSK,35.42 
[29096] BUY,n9qniWnHrs,RKY,352.71 
[29107] COMMIT_BUY,n9qniWnHrs 
[29147] DISPLAY_SUMMARY,n9qniWnHrs 
[29204] SET_BUY_AMOUNT,n9qniWnHrs,RUN,236.91 
[29379] SET_BUY_TRIGGER,n9qniWnHrs,GIX,42.83 
[29480] SET_BUY_AMOUNT,n9qniWnHrs,JCQ,6.98 
[29528] SET_BUY_TRIGGER,n9qniWnHrs,ZCG,3.01 
[29649] ADD,n9qniWnHrs,76384.65 
[29706] SET_SELL_TRIGGER,n9qniWnHrs,YDD,186.76 
[29816] ADD,n9qniWnHrs,52333.16 
[29853] BUY,n9qniWnHrs,JPD,116.26 
[29895] CANCEL_SET_BUY,n9qniWnHrs,QVA 
[29934] SET_BUY_AMOUNT,n9qniWnHrs,RUN,420.82 
[30085] BUY,n9qniWnHrs,XLV,543.67 
[30177] DISPLAY_SUMMARY,n9qniWnHrs 
[30248] DISPLAY_SUMMARY,n9qniWnHrs 
[30576] SET_SELL_TRIGGER,n9qniWnHrs,YPL,143.35 
[30599] ADD,n9qniWnHrs,69259.16 
[30630] BUY,n9qniWnHrs,OHS,641.53 
[30755] CANCEL_BUY,n9qniWnHrs 
[30798] QUOTE,n9qniWnHrs,PTP 
[30808] CANCEL_SET_SELL,n9qniWnHrs,MQH 
[31217] SET_BUY_TRIGGER,n9qniWnHrs,BEG,282.99 
[31292] DISPLAY_SUMMARY,n9qniWnHrs 
[31541] ADD,n9qniWnHrs,58924.60 
[31565] BUY,n9qniWnHrs,SKV,262.82 
[31597] COMMIT_BUY,n9qniWnHrs 
[31604] ADD,n9qniWnHrs,37627.34 
[31607] BUY,n9qniWnHrs,YZC,575.25 
[31805] COMMIT_BUY,n9qniWnHrs 
[31859] ADD,n9qniWnHrs,72874.52 
[31925] BUY,n9qniWnHrs,OOI,250.90 
[32042] COMMIT_BUY,n9qniWnHrs 
[32111] CANCEL_SET_BUY,n9qniWnHrs,QHF 
[32226] SET_SELL_TRIGGER,n9qniWnHrs,WAO,192.62 
[32269] BUY,n9qniWnHrs,IBT,137.51 
[32333] SET_BUY_TRIGGER,n9qniWnHrs,COE,178.11 
[32562] SET_BUY_AMOUNT,n9qniWnHrs,KDA,592.53 
[32575] CANCEL_SET_BUY,n9qniWnHrs,UDM 
[32585] SET_SELL_AMOUNT,n9qniWnHrs,RNK,104.70 
[32627] QUOTE,n9qniWnHrs,RKY 
[32779] SELL,n9qniWnHrs,CUZ,345.84 
[32786] SET_SELL_AMOUNT,n9qniWnHrs,NHG,223.66 
[32900] CANCEL_SET_SELL,n9qniWnHrs,NHG 
[33245] COMMIT_BUY,n9qniWnHrs 
[33301] ADD,n9qniWnHrs,79964.23 
[33567] QUOTE,n9qniWnHrs,GZU 
[33586] SET_BUY_AMOUNT,n9qniWnHrs,JQO,664.39 
[33620] SET_BUY_TRIGGER,n9qniWnHrs,QOQ,333.51 
[33639] ADD,n9qniWnHrs,94194.79 
[33693] DISPLAY_SUMMARY,n9qniWnHrs 
[33716] ADD,n9qniWnHrs,51762.46 
[33745] SELL,n9qniWnHrs,JVT,377.20 
[33774] COMMIT_SELL,n9qniWnHrs 
[34184] ADD,n9qniWnHrs,77177.73 
[34265] QUOTE,n9qniWnHrs,JLO 
[34438] BUY,n9qniWnHrs,FMJ,89.16 
[34472] ADD,n9qniWnHrs,49140.77 
[34481] QUOTE,n9qniWnHrs,JQJ 
[34514] BUY,n9qniWnHrs,SFR,448.78 
[34930] COMMIT_BUY,n9qniWnHrs 
[35043] DISPLAY_SUMMARY,n9qniWnHrs 
[35123] QUOTE,n9qniWnHrs,RJG 
[35499] QUOTE,n9qniWnHrs,IIX 
[35547] CANCEL_BUY,n9qniWnHrs 
[35679] ADD,n9qniWnHrs,63218.84 
[35821] BUY,n9qniWnHrs,SBT,624.84 
[36121] CANCEL_BUY,n9qniWnHrs 
[36245] SET_SELL_TRIGGER,n9qniWnHrs,MQP,62.70 
[36461] ADD,n9qniWnHrs,73941.40 
[36492] BUY,n9qniWnHrs,NTB,713.81 
[36549] CANCEL_SET_SELL,n9qniWnHrs,DXQ 
[36662] SELL,n9qniWnHrs,OPN,625.52 
[36878] SELL,n9qniWnHrs,KES,266.33 
[36895] BUY,n9qniWnHrs,FGI,621.52 
[36919] COMMIT_BUY,n9qniWnHrs 
[37067] ADD,n9qniWnHrs,63824.93 
[37149] QUOTE,n9qniWnHrs,CDF 
[37253] SET_BUY_TRIGGER,n9qniWnHrs,ZWZ,189.94 
[37472] SELL,n9qniWnHrs,FQP,215.66 
[37563] DISPLAY_SUMMARY,n9qniWnHrs 
[37885] CANCEL_SET_SELL,n9qniWnHrs,YBB 
[37978] BUY,n9qniWnHrs,CCH,731.20 
[38105] SET_SELL_TRIGGER,n9qniWnHrs,ECL,70.09 
[38223] ADD,n9qniWnHrs,88556.58 
[38238] QUOTE,n9qniWnHrs,FIC 
[38244] SELL,n9qniWnHrs,QAX,438.71 
[38245] SET_SELL_AMOUNT,n9qniWnHrs,ZTI,532.06 
[38258] SET_SELL_TRIGGER,n9qniWnHrs,ZTI,275.46 
[38466] DISPLAY_SUMMARY,n9qniWnHrs 
[38518] ADD,n9qniWnHrs,77929.88 
[38588] CANCEL_BUY,n9qniWnHrs 
[38621] QUOTE,n9qniWnHrs,SSW 
[38767] BUY,n9qniWnHrs,VBO,63.03 
[38771] CANCEL_SELL,n9qniWnHrs 
[38828] QUOTE,n9qniWnHrs,STO 
[39257] BUY,n9qniWnHrs,WNX,314.26 
[39273] COMMIT_BUY,n9qniWnHrs 
[39376] ADD,n9qniWnHrs,80540.31 
[39379] QUOTE,n9qniWnHrs,OTD 
[39627] ADD,n9qniWnHrs,80061.51 
[39850] BUY,n9qniWnHrs,GGI,48.57 
[40018] COMMIT_BUY,n9qniWnHrs 
[40024] ADD,n9qniWnHrs,93911.61 
[40073] BUY,n9qniWnHrs,XDN,727.66 
[40095] QUOTE,n9qniWnHrs,FOW 
[40194] QUOTE,n9qniWnHrs,MJU 
[40325] QUOTE,n9qniWnHrs,KCS 
[40360] QUOTE,n9qniWnHrs,MOF 
[40376] DISPLAY_SUMMARY,n9qniWnHrs 
[40411] SET_BUY_TRIGGER,n9qniWnHrs,KDA,173.99 
[40450] SET_SELL_AMOUNT,n9qniWnHrs,CSZ,20.78 
[40593] SET_SELL_TRIGGER,n9qniWnHrs,CSZ,9.58 
[40740] ADD,n9qniWnHrs,79990.74 
[40953] SET_SELL_AMOUNT,n9qniWnHrs,UTV,506.62 
[41086] SET_SELL_TRIGGER,n9qniWnHrs,UTV,468.09 
[41153] QUOTE,n9qniWnHrs,EJW 
[41173] QUOTE,n9qniWnHrs,XLK 
[41309] BUY,n9qniWnHrs,CJV,131.33 
[41345] CANCEL_BUY,n9qniWnHrs 
[41379] ADD,n9qniWnHrs,84062.32 
[41446] BUY,n9qniWnHrs,ATE,216.37 
[41507] COMMIT_BUY,n9qniWnHrs 
[41535] SELL,n9qniWnHrs,OPN,335.39 
[41584] QUOTE,n9qniWnHrs,XXQ 
[41810] QUOTE,n9qniWnHrs,ZAN 
[41815] QUOTE,n9qniWnHrs,IZJ 
[42042] SELL,n9qniWnHrs,KDA,558.39 
[42067] COMMIT_SELL,n9qniWnHrs 
[42102] BUY,n9qniWnHrs,KDG,615.26 
[42109] COMMIT_BUY,n9qniWnHrs 
[42213] DISPLAY_SUMMARY,n9qniWnHrs 
[42268] SET_BUY_AMOUNT,n9qniWnHrs,DFE,488.92 
[42474] SET_BUY_TRIGGER,n9qniWnHrs,RWM,443.32 
[42479] SET_BUY_AMOUNT,n9qniWnHrs,JVT,739.09 
[42629] DISPLAY_SUMMARY,n9qniWnHrs 
[42912] SET_BUY_TRIGGER,n9qniWnHrs,BTA,31.20 
[42981] ADD,n9qniWnHrs,64824.64 
[42986] QUOTE,n9qniWnHrs,BSG 
[43002] SET_BUY_TRIGGER,n9qniWnHrs,JGG,13.50 
[43100] BUY,n9qniWnHrs,TSS,536.36 
[43140] COMMIT_BUY,n9qniWnHrs 
[43170] QUOTE,n9qniWnHrs,BTA 
[43197] BUY,n9qniWnHrs,SHP,85.18 
[43250] COMMIT_BUY,n9qniWnHrs 
[43281] SET_SELL_AMOUNT,n9qniWnHrs,EBS,372.79 
[43288] QUOTE,n9qniWnHrs,ZYR 
[43360] QUOTE,n9qniWnHrs,JRY 
[43493] BUY,n9qniWnHrs,BLC,8.85 
[43522] CANCEL_BUY,n9qniWnHrs 
[43687] QUOTE,n9qniWnHrs,YZH 
[43823] BUY,n9qniWnHrs,JYV,563.25 
[44238] COMMIT_BUY,n9qniWnHrs 
[44344] ADD,n9qniWnHrs,56678.47 
[44722] BUY,n9qniWnHrs,CCH,695.53 
[44856] SET_SELL_AMOUNT,n9qniWnHrs,PTP,173.00 
[45112] SELL,n9qniWnHrs,CUZ,78.91 
[45138] COMMIT_SELL,n9qniWnHrs 
[45221] DISPLAY_SUMMARY,n9qniWnHrs 
[45275] DISPLAY_SUMMARY,n9qniWnHrs 
[45287] SET_BUY_AMOUNT,n9qniWnHrs,AVX,379.07 
[45374] SET_BUY_TRIGGER,n9qniWnHrs,YWC,28.83 
[45442] DISPLAY_SUMMARY,n9qniWnHrs 
[45515] SET_BUY_AMOUNT,n9qniWnHrs,JRJ,177.07 
[45610] SET_BUY_TRIGGER,n9qniWnHrs,KLE,98.79 
[45660] SET_SELL_AMOUNT,n9qniWnHrs,SSF,448.89 
[45721] CANCEL_SET_SELL,n9qniWnHrs,SSF 
[45744] BUY,n9qniWnHrs,XXN,186.46 
[45883] SET_BUY_TRIGGER,n9qniWnHrs,DBR,117.32 
[46110] DISPLAY_SUMMARY,n9qniWnHrs 
[46121] ADD,n9qniWnHrs,47090.28 
[46286] QUOTE,n9qniWnHrs,HSJ 
[46430] BUY,n9qniWnHrs,AOU,201.86 
[46431] COMMIT_BUY,n9qniWnHrs 
[46476] DISPLAY_SUMMARY,n9qniWnHrs 
[46636] ADD,n9qniWnHrs,56927.83 
[46648] QUOTE,n9qniWnHrs,EMN 
