[63] ADD,REUXfFUthD,73532.17 
[3654] SET_BUY_AMOUNT,REUXfFUthD,KDA,582.27 
[3657] SET_BUY_TRIGGER,REUXfFUthD,NJI,83.96 
[3670] ADD,REUXfFUthD,70202.43 
[3675] QUOTE,REUXfFUthD,RGM 
[3702] BUY,REUXfFUthD,CBO,238.80 
[3711] SET_SELL_TRIGGER,REUXfFUthD,PIE,128.68 
[3844] SET_BUY_AMOUNT,REUXfFUthD,FQP,66.59 
[3898] SET_BUY_TRIGGER,REUXfFUthD,RRT,23.19 
[3986] SET_SELL_AMOUNT,REUXfFUthD,FQP,566.59 
[4061] CANCEL_SET_SELL,REUXfFUthD,FQP 
[4083] DISPLAY_SUMMARY,REUXfFUthD 
[4321] DISPLAY_SUMMARY,REUXfFUthD 
[4349] SELL,REUXfFUthD,KDA,749.49 
[4433] CANCEL_BUY,REUXfFUthD 
[4557] COMMIT_SELL,REUXfFUthD 
[4689] QUOTE,REUXfFUthD,RWY 
[4791] BUY,REUXfFUthD,NKC,315.55 
[4797] CANCEL_SET_BUY,REUXfFUthD,PHJ 
[4872] ADD,REUXfFUthD,77424.99 
[4901] BUY,REUXfFUthD,AUX,206.59 
[4906] COMMIT_BUY,REUXfFUthD 
[5112] BUY,REUXfFUthD,LLZ,361.97 
[5292] SELL,REUXfFUthD,FQP,555.63 
[5351] SET_SELL_TRIGGER,REUXfFUthD,MOM,91.13 
[5377] SELL,REUXfFUthD,QJZ,595.49 
[5505] CANCEL_BUY,REUXfFUthD 
[5586] ADD,REUXfFUthD,67547.44 
[5617] QUOTE,REUXfFUthD,EMN 
[5640] SET_BUY_TRIGGER,REUXfFUthD,ZAV,150.91 
[5766] SELL,REUXfFUthD,QJZ,512.68 
[5827] ADD,REUXfFUthD,25994.25 
[5883] BUY,REUXfFUthD,JEA,506.69 
[6147] COMMIT_BUY,REUXfFUthD 
[6175] DISPLAY_SUMMARY,REUXfFUthD 
[6188] SET_SELL_AMOUNT,REUXfFUthD,QJZ,249.59 
[6216] SET_SELL_TRIGGER,REUXfFUthD,QJZ,202.56 
[6281] SET_SELL_TRIGGER,REUXfFUthD,IKK,111.98 
[6344] QUOTE,REUXfFUthD,JIO 
[6644] CANCEL_BUY,REUXfFUthD 
[6770] ADD,REUXfFUthD,86381.73 
[6822] QUOTE,REUXfFUthD,LHC 
[6909] ADD,REUXfFUthD,62285.21 
[6996] BUY,REUXfFUthD,VEX,61.26 
[7053] COMMIT_BUY,REUXfFUthD 
[7083] DISPLAY_SUMMARY,REUXfFUthD 
[7105] SET_BUY_AMOUNT,REUXfFUthD,JVT,309.94 
[7406] SET_BUY_TRIGGER,REUXfFUthD,ZWB,210.67 
[7602] SET_SELL_TRIGGER,REUXfFUthD,FYA,81.59 
[7617] DISPLAY_SUMMARY,REUXfFUthD 
[7777] CANCEL_SELL,REUXfFUthD 
[7851] SELL,REUXfFUthD,FQP,639.17 
[7862] CANCEL_BUY,REUXfFUthD 
[7903] ADD,REUXfFUthD,93942.57 
[8230] QUOTE,REUXfFUthD,SOA 
[8339] SET_BUY_AMOUNT,REUXfFUthD,QJZ,660.08 
[8432] SET_BUY_TRIGGER,REUXfFUthD,BBC,420.02 
[8584] QUOTE,REUXfFUthD,QNK 
[8589] BUY,REUXfFUthD,HWO,725.12 
[8776] COMMIT_BUY,REUXfFUthD 
[8848] QUOTE,REUXfFUthD,KYT 
[9069] BUY,REUXfFUthD,EOY,377.03 
[9157] COMMIT_BUY,REUXfFUthD 
[9283] CANCEL_SELL,REUXfFUthD 
[9423] SET_BUY_AMOUNT,REUXfFUthD,GYF,354.52 
[9428] SET_BUY_TRIGGER,REUXfFUthD,SAR,279.02 
[9453] QUOTE,REUXfFUthD,GSW 
[9695] SET_BUY_TRIGGER,REUXfFUthD,NZS,126.18 
[9790] ADD,REUXfFUthD,42376.41 
[9866] QUOTE,REUXfFUthD,AJR 
[9888] QUOTE,REUXfFUthD,FVA 
[9889] DISPLAY_SUMMARY,REUXfFUthD 
[9890] DISPLAY_SUMMARY,REUXfFUthD 
[9996] QUOTE,REUXfFUthD,YRO 
[10114] BUY,REUXfFUthD,KJH,686.24 
[10197] COMMIT_BUY,REUXfFUthD 
[10272] DISPLAY_SUMMARY,REUXfFUthD 
[10310] SELL,REUXfFUthD,GYF,473.65 
[10346] COMMIT_BUY,REUXfFUthD 
[10379] CANCEL_SELL,REUXfFUthD 
[10789] SET_SELL_AMOUNT,REUXfFUthD,QJZ,660.31 
[10958] SET_SELL_TRIGGER,REUXfFUthD,QJZ,175.42 
[11025] DISPLAY_SUMMARY,REUXfFUthD 
[11116] CANCEL_SET_SELL,REUXfFUthD,GTX 
[11337] QUOTE,REUXfFUthD,ILT 
[11672] DISPLAY_SUMMARY,REUXfFUthD 
[11745] SELL,REUXfFUthD,EBS,443.93 
[11938] DISPLAY_SUMMARY,REUXfFUthD 
[11946] SELL,REUXfFUthD,GYF,172.70 
[12014] COMMIT_SELL,REUXfFUthD 
[12162] BUY,REUXfFUthD,QLM,408.55 
[12199] COMMIT_BUY,REUXfFUthD 
[12277] DISPLAY_SUMMARY,REUXfFUthD 
[12343] CANCEL_BUY,REUXfFUthD 
[12366] DISPLAY_SUMMARY,REUXfFUthD 
[12381] QUOTE,REUXfFUthD,DWX 
[12403] SET_BUY_AMOUNT,REUXfFUthD,GYF,413.81 
[12562] SET_BUY_TRIGGER,REUXfFUthD,KVK,72.07 
[12577] CANCEL_SELL,REUXfFUthD 
[12848] QUOTE,REUXfFUthD,QVA 
[12905] CANCEL_SELL,REUXfFUthD 
[12920] SET_BUY_AMOUNT,REUXfFUthD,GYF,365.87 
[13023] SET_BUY_TRIGGER,REUXfFUthD,ZJG,164.01 
[13026] BUY,REUXfFUthD,VVV,253.98 
[13084] SET_BUY_AMOUNT,REUXfFUthD,JCQ,112.21 
[13440] SET_BUY_TRIGGER,REUXfFUthD,XXN,44.48 
[13623] DISPLAY_SUMMARY,REUXfFUthD 
[13875] ADD,REUXfFUthD,60156.22 
[13929] BUY,REUXfFUthD,CMA,348.80 
[13944] CANCEL_BUY,REUXfFUthD 
[14041] ADD,REUXfFUthD,84562.75 
[14102] QUOTE,REUXfFUthD,VGW 
[14360] QUOTE,REUXfFUthD,QTH 
[14477] BUY,REUXfFUthD,NLT,1.47 
[14500] COMMIT_BUY,REUXfFUthD 
[14522] SELL,REUXfFUthD,KDA,103.45 
[14622] CANCEL_SET_BUY,REUXfFUthD,MVQ 
[14889] QUOTE,REUXfFUthD,ZFK 
[14979] QUOTE,REUXfFUthD,FMJ 
[15047] BUY,REUXfFUthD,AHO,645.49 
[15079] SET_SELL_TRIGGER,REUXfFUthD,FMJ,9.88 
[15177] QUOTE,REUXfFUthD,CNN 
[15317] QUOTE,REUXfFUthD,MWM 
[15328] QUOTE,REUXfFUthD,EUM 
[15431] BUY,REUXfFUthD,LPS,436.51 
[15438] COMMIT_BUY,REUXfFUthD 
[15439] SET_BUY_TRIGGER,REUXfFUthD,EJW,118.25 
[15588] DISPLAY_SUMMARY,REUXfFUthD 
[15691] SET_BUY_TRIGGER,REUXfFUthD,ZGR,32.69 
[15813] DISPLAY_SUMMARY,REUXfFUthD 
[15964] SELL,REUXfFUthD,QJZ,601.19 
[15977] COMMIT_SELL,REUXfFUthD 
[16036] CANCEL_SET_SELL,REUXfFUthD,RJG 
[16235] SET_SELL_TRIGGER,REUXfFUthD,SKY,155.89 
[16299] BUY,REUXfFUthD,LLF,607.67 
[16371] QUOTE,REUXfFUthD,XOL 
[16776] BUY,REUXfFUthD,GDF,236.07 
[16892] SET_SELL_TRIGGER,REUXfFUthD,GAV,37.67 
[16914] SET_SELL_AMOUNT,REUXfFUthD,KES,24.33 
[17005] SET_SELL_TRIGGER,REUXfFUthD,KES,11.73 
[17054] ADD,REUXfFUthD,62115.74 
[17056] BUY,REUXfFUthD,ENQ,361.60 
[17185] CANCEL_BUY,REUXfFUthD 
[17244] ADD,REUXfFUthD,77688.74 
[17325] QUOTE,REUXfFUthD,JXR 
[17588] ADD,REUXfFUthD,84168.01 
[17757] CANCEL_BUY,REUXfFUthD 
[17820] ADD,REUXfFUthD,84569.98 
[18046] QUOTE,REUXfFUthD,HTD 
[18350] ADD,REUXfFUthD,67024.26 
[18492] BUY,REUXfFUthD,RVU,737.14 
[18600] COMMIT_BUY,REUXfFUthD 
[18664] QUOTE,REUXfFUthD,ZDB 
[18695] BUY,REUXfFUthD,QJC,55.91 
[18788] BUY,REUXfFUthD,MMF,88.92 
[18815] COMMIT_BUY,REUXfFUthD 
[18976] DISPLAY_SUMMARY,REUXfFUthD 
[19090] SET_BUY_TRIGGER,REUXfFUthD,ZTI,50.72 
[19185] CANCEL_BUY,REUXfFUthD 
[19247] ADD,REUXfFUthD,74170.87 
[19263] QUOTE,REUXfFUthD,PVH 
[19341] SET_BUY_TRIGGER,REUXfFUthD,WYD,115.34 
[19447] SET_BUY_TRIGGER,REUXfFUthD,OXV,81.71 
[19469] SELL,REUXfFUthD,OEY,251.21 
[19724] COMMIT_SELL,REUXfFUthD 
[19763] COMMIT_SELL,REUXfFUthD 
[19964] SET_BUY_AMOUNT,REUXfFUthD,KES,300.01 
[20113] SET_BUY_TRIGGER,REUXfFUthD,ZER,15.18 
[20147] ADD,REUXfFUthD,77479.15 
[20198] QUOTE,REUXfFUthD,BTD 
[20292] DISPLAY_SUMMARY,REUXfFUthD 
[20295] SELL,REUXfFUthD,JVT,307.47 
[20430] CANCEL_SELL,REUXfFUthD 
[20560] BUY,REUXfFUthD,DVA,241.45 
[20567] COMMIT_BUY,REUXfFUthD 
[20576] SELL,REUXfFUthD,OEY,488.94 
[20712] COMMIT_SELL,REUXfFUthD 
[20718] QUOTE,REUXfFUthD,RVZ 
[21044] ADD,REUXfFUthD,105931.52 
[21185] BUY,REUXfFUthD,ZGC,555.44 
[21538] BUY,REUXfFUthD,OWH,67.10 
[21543] CANCEL_BUY,REUXfFUthD 
[21755] ADD,REUXfFUthD,61648.96 
[21787] QUOTE,REUXfFUthD,FNY 
[21966] BUY,REUXfFUthD,QOQ,39.77 
[22031] COMMIT_BUY,REUXfFUthD 
[22080] SET_BUY_TRIGGER,REUXfFUthD,PMX,42.90 
[22271] SET_BUY_AMOUNT,REUXfFUthD,NHG,425.61 
[22293] BUY,REUXfFUthD,JDO,470.70 
[22305] SET_SELL_AMOUNT,REUXfFUthD,QAX,597.61 
[22336] SET_SELL_TRIGGER,REUXfFUthD,QAX,155.65 
[22494] ADD,REUXfFUthD,64381.02 
[22547] SELL,REUXfFUthD,UTV,739.08 
[22687] COMMIT_SELL,REUXfFUthD 
[22805] SET_SELL_TRIGGER,REUXfFUthD,HNO,16.76 
[22951] ADD,REUXfFUthD,80475.39 
[22982] BUY,REUXfFUthD,XNZ,534.08 
[23123] BUY,REUXfFUthD,FGF,363.52 
[23315] SET_SELL_AMOUNT,REUXfFUthD,JCQ,111.18 
[23666] SET_SELL_TRIGGER,REUXfFUthD,JCQ,68.66 
[23769] DISPLAY_SUMMARY,REUXfFUthD 
[23818] SET_SELL_TRIGGER,REUXfFUthD,ZWZ,188.24 
[23920] ADD,REUXfFUthD,62819.74 
[24037] BUY,REUXfFUthD,UGG,33.06 
[24071] COMMIT_BUY,REUXfFUthD 
[24295] SELL,REUXfFUthD,JCQ,452.71 
[24377] DISPLAY_SUMMARY,REUXfFUthD 
[24464] SELL,REUXfFUthD,JCQ,174.50 
[24482] COMMIT_SELL,REUXfFUthD 
[24510] SET_BUY_AMOUNT,REUXfFUthD,JRJ,197.20 
[24613] SET_BUY_TRIGGER,REUXfFUthD,IDN,107.38 
[24657] ADD,REUXfFUthD,35088.26 
[24673] BUY,REUXfFUthD,FYA,249.57 
[24777] COMMIT_BUY,REUXfFUthD 
[24803] QUOTE,REUXfFUthD,FYR 
[24876] DISPLAY_SUMMARY,REUXfFUthD 
[25044] BUY,REUXfFUthD,GHL,117.89 
[25491] COMMIT_BUY,REUXfFUthD 
[25651] ADD,REUXfFUthD,87469.15 
[25748] COMMIT_BUY,REUXfFUthD 
[25773] ADD,REUXfFUthD,72192.70 
[25953] QUOTE,REUXfFUthD,NGZ 
[25987] QUOTE,REUXfFUthD,ZGR 
[26040] BUY,REUXfFUthD,GPM,511.23 
[26060] COMMIT_BUY,REUXfFUthD 
[26203] SET_BUY_TRIGGER,REUXfFUthD,UXP,56.05 
[26263] SET_BUY_AMOUNT,REUXfFUthD,OEY,384.35 
[26350] SET_BUY_TRIGGER,REUXfFUthD,LUT,54.19 
[26663] QUOTE,REUXfFUthD,YNY 
[26795] BUY,REUXfFUthD,UUJ,696.21 
[26881] COMMIT_BUY,REUXfFUthD 
[26969] QUOTE,REUXfFUthD,BMW 
[27042] DISPLAY_SUMMARY,REUXfFUthD 
[27149] SET_BUY_AMOUNT,REUXfFUthD,RUN,291.87 
[27154] SET_BUY_TRIGGER,REUXfFUthD,AOU,158.27 
[27402] SET_BUY_AMOUNT,REUXfFUthD,KDA,715.35 
[27492] CANCEL_SET_BUY,REUXfFUthD,GTB 
[27597] BUY,REUXfFUthD,WAI,11.94 
[27732] COMMIT_BUY,REUXfFUthD 
[27941] SELL,REUXfFUthD,BYA,242.37 
[28334] COMMIT_BUY,REUXfFUthD 
[28342] SET_SELL_AMOUNT,REUXfFUthD,EBS,143.14 
[28506] SET_SELL_TRIGGER,REUXfFUthD,EBS,39.80 
[28770] BUY,REUXfFUthD,KES,373.26 
[28787] COMMIT_BUY,REUXfFUthD 
[28801] DISPLAY_SUMMARY,REUXfFUthD 
[29009] CANCEL_SET_SELL,REUXfFUthD,QPZ 
[29083] SET_SELL_TRIGGER,REUXfFUthD,CMD,156.84 
[29101] SET_BUY_AMOUNT,REUXfFUthD,GYF,559.44 
[29187] SET_BUY_TRIGGER,REUXfFUthD,AHO,71.35 
[29250] ADD,REUXfFUthD,70612.40 
[29463] BUY,REUXfFUthD,GQV,155.73 
[29533] COMMIT_BUY,REUXfFUthD 
[29564] DISPLAY_SUMMARY,REUXfFUthD 
[29630] COMMIT_BUY,REUXfFUthD 
[29901] QUOTE,REUXfFUthD,RXO 
[30026] DISPLAY_SUMMARY,REUXfFUthD 
[30063] SET_BUY_AMOUNT,REUXfFUthD,BYA,126.50 
[30118] SET_BUY_TRIGGER,REUXfFUthD,MPP,33.24 
[30156] SET_BUY_TRIGGER,REUXfFUthD,SFR,135.21 
[30198] ADD,REUXfFUthD,70270.07 
[30352] QUOTE,REUXfFUthD,MIY 
[30361] ADD,REUXfFUthD,74829.77 
[30398] BUY,REUXfFUthD,PCK,714.49 
[30528] QUOTE,REUXfFUthD,NRY 
[30666] BUY,REUXfFUthD,WZY,538.11 
[30772] COMMIT_BUY,REUXfFUthD 
[30865] SET_SELL_TRIGGER,REUXfFUthD,ZFT,24.16 
[30893] BUY,REUXfFUthD,EDM,53.64 
[30995] COMMIT_BUY,REUXfFUthD 
[31056] ADD,REUXfFUthD,86949.93 
[31234] BUY,REUXfFUthD,OHG,111.92 
[31276] CANCEL_BUY,REUXfFUthD 
[31409] ADD,REUXfFUthD,82387.50 
[31436] QUOTE,REUXfFUthD,HGG 
[31494] QUOTE,REUXfFUthD,KJD 
[31564] BUY,REUXfFUthD,RKY,452.47 
[31589] SET_SELL_TRIGGER,REUXfFUthD,QTH,75.53 
[31755] BUY,REUXfFUthD,DBC,691.93 
[31834] CANCEL_BUY,REUXfFUthD 
[31954] SET_BUY_TRIGGER,REUXfFUthD,WKT,141.73 
[32067] QUOTE,REUXfFUthD,CLQ 
[32134] CANCEL_BUY,REUXfFUthD 
[32385] QUOTE,REUXfFUthD,MIR 
[32596] SET_BUY_TRIGGER,REUXfFUthD,GWS,183.18 
[32604] SET_BUY_AMOUNT,REUXfFUthD,DFE,130.32 
[32669] BUY,REUXfFUthD,YMG,725.42 
[32674] SET_BUY_AMOUNT,REUXfFUthD,YJK,498.22 
[33024] SET_BUY_TRIGGER,REUXfFUthD,XZN,399.83 
[33163] QUOTE,REUXfFUthD,INB 
[33248] BUY,REUXfFUthD,XLK,697.14 
[33425] SET_BUY_AMOUNT,REUXfFUthD,QJZ,129.90 
[33445] SET_BUY_TRIGGER,REUXfFUthD,JRJ,63.92 
[33683] QUOTE,REUXfFUthD,OQW 
[33705] BUY,REUXfFUthD,MLU,239.35 
[33708] SET_BUY_AMOUNT,REUXfFUthD,ZYR,436.85 
[33867] QUOTE,REUXfFUthD,DLQ 
[33874] BUY,REUXfFUthD,UTL,4.50 
[33911] CANCEL_BUY,REUXfFUthD 
[33966] QUOTE,REUXfFUthD,KLE 
[34077] BUY,REUXfFUthD,POE,525.77 
[34234] COMMIT_BUY,REUXfFUthD 
[34370] SET_SELL_AMOUNT,REUXfFUthD,DFE,487.35 
[34457] SET_SELL_TRIGGER,REUXfFUthD,DFE,99.89 
[34548] SET_SELL_TRIGGER,REUXfFUthD,SEI,127.61 
[34552] BUY,REUXfFUthD,DRP,363.67 
[34613] CANCEL_BUY,REUXfFUthD 
[34647] ADD,REUXfFUthD,56448.03 
[34707] QUOTE,REUXfFUthD,AVH 
[34926] CANCEL_BUY,REUXfFUthD 
[34945] SELL,REUXfFUthD,FQP,430.74 
[34954] SET_SELL_TRIGGER,REUXfFUthD,IWL,169.83 
[34971] SET_SELL_TRIGGER,REUXfFUthD,ZAV,24.68 
[35332] DISPLAY_SUMMARY,REUXfFUthD 
[35400] DISPLAY_SUMMARY,REUXfFUthD 
[35498] ADD,REUXfFUthD,78382.37 
[35755] BUY,REUXfFUthD,OOV,4.01 
[35830] COMMIT_BUY,REUXfFUthD 
[36081] SET_BUY_TRIGGER,REUXfFUthD,ZWZ,33.68 
[36237] COMMIT_SELL,REUXfFUthD 
[36408] DISPLAY_SUMMARY,REUXfFUthD 
[36523] SET_SELL_AMOUNT,REUXfFUthD,JCQ,250.49 
[36695] BUY,REUXfFUthD,SYU,652.05 
[36719] COMMIT_BUY,REUXfFUthD 
[37136] SET_BUY_TRIGGER,REUXfFUthD,QWC,12.63 
[37175] DISPLAY_SUMMARY,REUXfFUthD 
[37353] CANCEL_SET_SELL,REUXfFUthD,JCQ 
[37396] SET_SELL_TRIGGER,REUXfFUthD,UMV,44.91 
[37496] DISPLAY_SUMMARY,REUXfFUthD 
[37718] BUY,REUXfFUthD,QHF,507.78 
[37720] COMMIT_BUY,REUXfFUthD 
[37722] QUOTE,REUXfFUthD,XOP 
[37797] ADD,REUXfFUthD,71509.87 
[37798] BUY,REUXfFUthD,XXP,435.22 
[37855] DISPLAY_SUMMARY,REUXfFUthD 
[37982] SELL,REUXfFUthD,BCQ,731.56 
[38003] QUOTE,REUXfFUthD,SFO 
[38038] BUY,REUXfFUthD,FNY,357.85 
[38114] COMMIT_SELL,REUXfFUthD 
[38176] DISPLAY_SUMMARY,REUXfFUthD 
[38483] DISPLAY_SUMMARY,REUXfFUthD 
[38555] BUY,REUXfFUthD,BSG,268.66 
[38587] COMMIT_BUY,REUXfFUthD 
[38821] ADD,REUXfFUthD,72753.06 
[38991] BUY,REUXfFUthD,JMG,617.47 
[39193] CANCEL_SET_BUY,REUXfFUthD,RJG 
[39210] ADD,REUXfFUthD,65216.68 
[39311] QUOTE,REUXfFUthD,NUL 
[39326] BUY,REUXfFUthD,AVX,348.55 
[39415] SET_BUY_TRIGGER,REUXfFUthD,KZZ,23.32 
[39507] BUY,REUXfFUthD,BYA,128.58 
[39642] DISPLAY_SUMMARY,REUXfFUthD 
[39832] SET_SELL_AMOUNT,REUXfFUthD,ZAN,444.22 
[39887] DISPLAY_SUMMARY,REUXfFUthD 
[40010] ADD,REUXfFUthD,57342.59 
[40037] BUY,REUXfFUthD,VNN,603.47 
[40274] QUOTE,REUXfFUthD,AEM 
[40377] QUOTE,REUXfFUthD,BHQ 
[40383] DISPLAY_SUMMARY,REUXfFUthD 
[40433] CANCEL_SET_BUY,REUXfFUthD,FCH 
[40474] QUOTE,REUXfFUthD,MWJ 
[40480] QUOTE,REUXfFUthD,IFU 
[40483] QUOTE,REUXfFUthD,ZDB 
[40491] SET_BUY_AMOUNT,REUXfFUthD,PTP,689.06 
[40621] SET_BUY_TRIGGER,REUXfFUthD,XXP,322.24 
[40906] SELL,REUXfFUthD,KES,421.50 
[41032] COMMIT_SELL,REUXfFUthD 
[41171] SET_BUY_TRIGGER,REUXfFUthD,GGI,121.69 
[41192] ADD,REUXfFUthD,85901.21 
[41212] BUY,REUXfFUthD,NLP,439.00 
[41479] COMMIT_BUY,REUXfFUthD 
[41581] SET_SELL_TRIGGER,REUXfFUthD,ZAN,343.46 
[41705] SELL,REUXfFUthD,UTV,302.58 
[41770] DISPLAY_SUMMARY,REUXfFUthD 
[41922] SET_BUY_TRIGGER,REUXfFUthD,NEV,148.03 
[42225] DISPLAY_SUMMARY,REUXfFUthD 
[42294] ADD,REUXfFUthD,109261.78 
[42492] BUY,REUXfFUthD,YDS,96.25 
[42561] COMMIT_BUY,REUXfFUthD 
[42570] SET_SELL_AMOUNT,REUXfFUthD,KES,172.61 
[42640] SELL,REUXfFUthD,XXQ,130.89 
[42958] COMMIT_SELL,REUXfFUthD 
[42963] BUY,REUXfFUthD,VWU,236.47 
[42991] CANCEL_BUY,REUXfFUthD 
[43038] SET_BUY_AMOUNT,REUXfFUthD,LFU,477.85 
[43149] SET_BUY_TRIGGER,REUXfFUthD,BRZ,114.89 
[43287] SET_BUY_AMOUNT,REUXfFUthD,QJZ,233.58 
[43354] SELL,REUXfFUthD,OEY,413.92 
[43441] COMMIT_SELL,REUXfFUthD 
[43920] SELL,REUXfFUthD,UTV,668.07 
[43988] COMMIT_SELL,REUXfFUthD 
[44382] SET_SELL_AMOUNT,REUXfFUthD,JVT,492.74 
[44451] SET_SELL_TRIGGER,REUXfFUthD,JVT,243.66 
[44538] SET_SELL_TRIGGER,REUXfFUthD,ZZN,59.39 
[44560] CANCEL_SET_SELL,REUXfFUthD,SPT 
[44649] SET_BUY_TRIGGER,REUXfFUthD,OZW,37.65 
[44785] SELL,REUXfFUthD,ZTI,461.54 
[44817] COMMIT_SELL,REUXfFUthD 
[45067] SET_SELL_TRIGGER,REUXfFUthD,RVZ,154.29 
[45214] SET_BUY_AMOUNT,REUXfFUthD,RNK,475.99 
[45248] CANCEL_SET_BUY,REUXfFUthD,DWU 
[45460] SET_BUY_TRIGGER,REUXfFUthD,DXL,167.98 
[45551] BUY,REUXfFUthD,OOT,652.31 
[45815] COMMIT_BUY,REUXfFUthD 
[45826] SET_BUY_AMOUNT,REUXfFUthD,LFU,704.73 
[45873] SET_BUY_TRIGGER,REUXfFUthD,ZMK,364.82 
[45980] SET_SELL_TRIGGER,REUXfFUthD,PPY,7.70 
[46164] QUOTE,REUXfFUthD,KVK 
[46253] BUY,REUXfFUthD,KRX,16.82 
[46326] COMMIT_BUY,REUXfFUthD 
[46366] SELL,REUXfFUthD,FQP,505.48 
[46369] COMMIT_BUY,REUXfFUthD 
[46441] BUY,REUXfFUthD,IWL,36.57 
[46448] CANCEL_SET_BUY,REUXfFUthD,WYA 
[46521] DISPLAY_SUMMARY,REUXfFUthD 
[46610] DISPLAY_SUMMARY,REUXfFUthD 
[46669] SET_BUY_TRIGGER,REUXfFUthD,STO,14.12 
[46777] SET_BUY_TRIGGER,REUXfFUthD,NGZ,68.86 
[46815] SET_BUY_AMOUNT,REUXfFUthD,XXQ,659.51 
[46929] SET_BUY_TRIGGER,REUXfFUthD,NDJ,170.63 
[47070] DISPLAY_SUMMARY,REUXfFUthD 
[47128] DISPLAY_SUMMARY,REUXfFUthD 
[47139] CANCEL_SET_SELL,REUXfFUthD,CBX 
[47160] QUOTE,REUXfFUthD,PMG 
[47524] SELL,REUXfFUthD,OEY,87.57 
[47528] CANCEL_SET_BUY,REUXfFUthD,KJM 
[47618] QUOTE,REUXfFUthD,UUJ 
[47944] BUY,REUXfFUthD,SDL,397.91 
[47956] COMMIT_SELL,REUXfFUthD 
[48092] BUY,REUXfFUthD,MVD,520.49 
[48177] COMMIT_BUY,REUXfFUthD 
[48339] SET_BUY_AMOUNT,REUXfFUthD,AVX,140.88 
[48577] SET_BUY_TRIGGER,REUXfFUthD,CAX,66.19 
[48598] SET_BUY_TRIGGER,REUXfFUthD,PCR,188.64 
[48913] SET_BUY_TRIGGER,REUXfFUthD,MZT,86.90 
[48933] ADD,REUXfFUthD,63977.08 
[48951] BUY,REUXfFUthD,EGB,397.14 
[49011] CANCEL_SELL,REUXfFUthD 
[49031] ADD,REUXfFUthD,57043.89 
[49035] BUY,REUXfFUthD,BDX,287.58 
[49126] SET_BUY_TRIGGER,REUXfFUthD,TOL,186.39 
[49330] QUOTE,REUXfFUthD,XCL 
[49576] QUOTE,REUXfFUthD,CJV 
[49604] QUOTE,REUXfFUthD,KAS 
[49799] QUOTE,REUXfFUthD,ETJ 
[49855] BUY,REUXfFUthD,NSW,376.62 
[50086] COMMIT_BUY,REUXfFUthD 
[50530] SET_SELL_TRIGGER,REUXfFUthD,VCN,44.31 
[50669] QUOTE,REUXfFUthD,SJZ 
[50689] ADD,REUXfFUthD,69285.46 
[50716] BUY,REUXfFUthD,DVA,10.35 
[50780] COMMIT_BUY,REUXfFUthD 
[50931] BUY,REUXfFUthD,SJH,67.93 
[51076] COMMIT_BUY,REUXfFUthD 
[51129] QUOTE,REUXfFUthD,ZFJ 
