[132] ADD,Rq5xFLYt6l,89274.02 
[5945] SET_BUY_TRIGGER,Rq5xFLYt6l,KQZ,141.21 
[5957] QUOTE,Rq5xFLYt6l,PUO 
[6077] BUY,Rq5xFLYt6l,FIW,77.51 
[6178] BUY,Rq5xFLYt6l,TSS,346.48 
[6220] SET_SELL_TRIGGER,Rq5xFLYt6l,LLD,49.02 
[6251] ADD,Rq5xFLYt6l,85450.74 
[6296] QUOTE,Rq5xFLYt6l,NVX 
[6975] CANCEL_SELL,Rq5xFLYt6l 
[7042] COMMIT_BUY,Rq5xFLYt6l 
[7190] SET_SELL_TRIGGER,Rq5xFLYt6l,QPR,55.03 
[7263] SET_BUY_TRIGGER,Rq5xFLYt6l,ZOW,16.50 
[7307] SET_BUY_AMOUNT,Rq5xFLYt6l,QJZ,573.53 
[7461] CANCEL_SET_BUY,Rq5xFLYt6l,STQ 
[7523] CANCEL_SET_BUY,Rq5xFLYt6l,FWW 
[7715] QUOTE,Rq5xFLYt6l,JQJ 
[7827] BUY,Rq5xFLYt6l,HEK,340.31 
[7865] CANCEL_SET_SELL,Rq5xFLYt6l,ZAN 
[8088] DISPLAY_SUMMARY,Rq5xFLYt6l 
[8093] SELL,Rq5xFLYt6l,QJZ,181.80 
[8106] COMMIT_SELL,Rq5xFLYt6l 
[8160] QUOTE,Rq5xFLYt6l,HMR 
[8184] SET_BUY_TRIGGER,Rq5xFLYt6l,GHL,57.12 
[8812] BUY,Rq5xFLYt6l,MGK,206.20 
[8825] COMMIT_SELL,Rq5xFLYt6l 
[9229] ADD,Rq5xFLYt6l,90105.97 
[9406] QUOTE,Rq5xFLYt6l,RWM 
[9433] CANCEL_SET_SELL,Rq5xFLYt6l,UZZ 
[9481] ADD,Rq5xFLYt6l,79931.84 
[9727] QUOTE,Rq5xFLYt6l,DWK 
[9768] ADD,Rq5xFLYt6l,76712.84 
[9793] COMMIT_BUY,Rq5xFLYt6l 
[10062] QUOTE,Rq5xFLYt6l,NRY 
[10279] BUY,Rq5xFLYt6l,GPW,159.37 
[10515] CANCEL_SET_BUY,Rq5xFLYt6l,MWJ 
[10728] BUY,Rq5xFLYt6l,QTU,391.24 
[10754] COMMIT_BUY,Rq5xFLYt6l 
[11082] SELL,Rq5xFLYt6l,JVT,538.94 
[11118] COMMIT_SELL,Rq5xFLYt6l 
[11150] BUY,Rq5xFLYt6l,EUM,485.52 
[11574] SET_BUY_TRIGGER,Rq5xFLYt6l,VJV,138.25 
[11664] CANCEL_BUY,Rq5xFLYt6l 
[11678] QUOTE,Rq5xFLYt6l,JNO 
[11684] BUY,Rq5xFLYt6l,SVV,394.24 
[11722] DISPLAY_SUMMARY,Rq5xFLYt6l 
[11758] DISPLAY_SUMMARY,Rq5xFLYt6l 
[11878] ADD,Rq5xFLYt6l,87157.67 
[12039] SET_SELL_AMOUNT,Rq5xFLYt6l,FQP,330.56 
[12047] SET_SELL_TRIGGER,Rq5xFLYt6l,FQP,261.97 
[12086] ADD,Rq5xFLYt6l,81815.20 
[12171] QUOTE,Rq5xFLYt6l,EBS 
[12178] BUY,Rq5xFLYt6l,ATW,427.96 
[12320] CANCEL_BUY,Rq5xFLYt6l 
[12429] SET_BUY_TRIGGER,Rq5xFLYt6l,TJL,127.33 
[12496] SET_BUY_TRIGGER,Rq5xFLYt6l,ZQS,106.60 
[12823] BUY,Rq5xFLYt6l,WJP,236.02 
[12895] SELL,Rq5xFLYt6l,KDA,549.45 
[12898] COMMIT_SELL,Rq5xFLYt6l 
[13070] SET_BUY_AMOUNT,Rq5xFLYt6l,JVT,644.48 
[13123] SET_BUY_TRIGGER,Rq5xFLYt6l,SJG,48.45 
[13158] CANCEL_SET_SELL,Rq5xFLYt6l,SPT 
[13593] SELL,Rq5xFLYt6l,OEY,716.23 
[13827] SET_SELL_TRIGGER,Rq5xFLYt6l,HTN,143.61 
[13873] SELL,Rq5xFLYt6l,KDA,312.20 
[13913] COMMIT_SELL,Rq5xFLYt6l 
[13975] BUY,Rq5xFLYt6l,NSN,15.51 
[14115] SET_SELL_TRIGGER,Rq5xFLYt6l,QHF,13.66 
[14235] ADD,Rq5xFLYt6l,64633.41 
[14432] QUOTE,Rq5xFLYt6l,XLV 
[14819] CANCEL_SET_SELL,Rq5xFLYt6l,VVV 
[14905] SET_BUY_AMOUNT,Rq5xFLYt6l,GYF,587.44 
[14960] BUY,Rq5xFLYt6l,LPS,175.24 
[15204] COMMIT_BUY,Rq5xFLYt6l 
[15256] SET_SELL_TRIGGER,Rq5xFLYt6l,RUN,151.69 
[15298] SELL,Rq5xFLYt6l,QJZ,8.15 
[15355] COMMIT_SELL,Rq5xFLYt6l 
[15385] QUOTE,Rq5xFLYt6l,KYT 
[15641] SET_SELL_AMOUNT,Rq5xFLYt6l,EBS,379.05 
[15782] SET_SELL_TRIGGER,Rq5xFLYt6l,EBS,279.84 
[15870] ADD,Rq5xFLYt6l,100032.36 
[15901] BUY,Rq5xFLYt6l,BSZ,466.69 
[15928] SET_BUY_AMOUNT,Rq5xFLYt6l,JVT,491.31 
[15947] SET_BUY_TRIGGER,Rq5xFLYt6l,IZU,457.51 
[16015] ADD,Rq5xFLYt6l,59999.44 
[16402] QUOTE,Rq5xFLYt6l,PNP 
[16441] CANCEL_SET_BUY,Rq5xFLYt6l,KMV 
[16563] BUY,Rq5xFLYt6l,IEQ,142.94 
[16590] COMMIT_BUY,Rq5xFLYt6l 
[16602] SET_BUY_TRIGGER,Rq5xFLYt6l,JPD,44.81 
[16663] ADD,Rq5xFLYt6l,80784.19 
[16714] BUY,Rq5xFLYt6l,HSH,240.90 
[16778] COMMIT_BUY,Rq5xFLYt6l 
[16827] DISPLAY_SUMMARY,Rq5xFLYt6l 
[16844] DISPLAY_SUMMARY,Rq5xFLYt6l 
[16896] SET_SELL_AMOUNT,Rq5xFLYt6l,JCQ,548.84 
[16900] SET_SELL_TRIGGER,Rq5xFLYt6l,JCQ,27.63 
[16938] BUY,Rq5xFLYt6l,LPR,686.78 
[17034] COMMIT_BUY,Rq5xFLYt6l 
[17060] ADD,Rq5xFLYt6l,63834.49 
[17184] BUY,Rq5xFLYt6l,ELQ,485.64 
[17324] CANCEL_BUY,Rq5xFLYt6l 
[17365] DISPLAY_SUMMARY,Rq5xFLYt6l 
[17395] ADD,Rq5xFLYt6l,73202.98 
[17474] BUY,Rq5xFLYt6l,XRK,352.23 
[17543] SET_BUY_TRIGGER,Rq5xFLYt6l,IJO,155.78 
[17595] DISPLAY_SUMMARY,Rq5xFLYt6l 
[17840] DISPLAY_SUMMARY,Rq5xFLYt6l 
[17893] SELL,Rq5xFLYt6l,EBS,273.56 
[18262] COMMIT_SELL,Rq5xFLYt6l 
[18356] QUOTE,Rq5xFLYt6l,ISQ 
[18417] BUY,Rq5xFLYt6l,YLZ,548.25 
[18438] SET_SELL_TRIGGER,Rq5xFLYt6l,UFX,84.57 
[18564] QUOTE,Rq5xFLYt6l,QZN 
[18660] QUOTE,Rq5xFLYt6l,SZI 
[18827] CANCEL_SET_SELL,Rq5xFLYt6l,RNK 
[18836] BUY,Rq5xFLYt6l,FQG,48.68 
[18920] COMMIT_BUY,Rq5xFLYt6l 
[18965] DISPLAY_SUMMARY,Rq5xFLYt6l 
[19024] ADD,Rq5xFLYt6l,68614.08 
[19150] BUY,Rq5xFLYt6l,XOM,252.84 
[19159] COMMIT_BUY,Rq5xFLYt6l 
[19230] SELL,Rq5xFLYt6l,UTV,152.45 
[19265] COMMIT_SELL,Rq5xFLYt6l 
[19347] SET_BUY_TRIGGER,Rq5xFLYt6l,LLO,194.18 
[19403] ADD,Rq5xFLYt6l,74309.60 
[19742] CANCEL_SELL,Rq5xFLYt6l 
[19777] DISPLAY_SUMMARY,Rq5xFLYt6l 
[19839] CANCEL_SELL,Rq5xFLYt6l 
[19880] ADD,Rq5xFLYt6l,48166.16 
[19954] SELL,Rq5xFLYt6l,FQP,62.80 
[20044] COMMIT_BUY,Rq5xFLYt6l 
[20063] SET_SELL_AMOUNT,Rq5xFLYt6l,EBS,282.51 
[20070] BUY,Rq5xFLYt6l,EEG,415.98 
[20124] COMMIT_BUY,Rq5xFLYt6l 
[20151] DISPLAY_SUMMARY,Rq5xFLYt6l 
[20194] SET_BUY_AMOUNT,Rq5xFLYt6l,KDA,593.09 
[20241] SET_BUY_TRIGGER,Rq5xFLYt6l,GFN,25.98 
[20306] ADD,Rq5xFLYt6l,62620.86 
[20510] SET_BUY_AMOUNT,Rq5xFLYt6l,JVT,157.36 
[20514] SET_BUY_TRIGGER,Rq5xFLYt6l,YZC,110.22 
[20588] SELL,Rq5xFLYt6l,KES,576.07 
[20676] ADD,Rq5xFLYt6l,55274.09 
[20901] CANCEL_SET_BUY,Rq5xFLYt6l,VAT 
[20921] SELL,Rq5xFLYt6l,UTV,53.18 
[20943] QUOTE,Rq5xFLYt6l,IKK 
[20951] SELL,Rq5xFLYt6l,QAX,39.00 
[20976] CANCEL_SELL,Rq5xFLYt6l 
[21055] QUOTE,Rq5xFLYt6l,PMX 
[21407] CANCEL_BUY,Rq5xFLYt6l 
[21426] SELL,Rq5xFLYt6l,QJZ,317.12 
[21429] COMMIT_SELL,Rq5xFLYt6l 
[21681] ADD,Rq5xFLYt6l,67262.04 
[21844] QUOTE,Rq5xFLYt6l,ECL 
[21853] ADD,Rq5xFLYt6l,54618.78 
[22057] BUY,Rq5xFLYt6l,YOQ,334.88 
[22064] COMMIT_BUY,Rq5xFLYt6l 
[22189] BUY,Rq5xFLYt6l,TOZ,110.58 
[22265] COMMIT_BUY,Rq5xFLYt6l 
[22280] SELL,Rq5xFLYt6l,NHG,345.29 
[22338] COMMIT_SELL,Rq5xFLYt6l 
[22528] ADD,Rq5xFLYt6l,61804.50 
[22543] DISPLAY_SUMMARY,Rq5xFLYt6l 
[22963] QUOTE,Rq5xFLYt6l,JMG 
[23310] BUY,Rq5xFLYt6l,EOS,543.94 
[23423] SELL,Rq5xFLYt6l,OEY,146.54 
[23529] CANCEL_SELL,Rq5xFLYt6l 
[23842] SET_BUY_AMOUNT,Rq5xFLYt6l,KES,170.86 
[23855] SET_BUY_TRIGGER,Rq5xFLYt6l,QSS,51.47 
[23969] DISPLAY_SUMMARY,Rq5xFLYt6l 
[24005] SELL,Rq5xFLYt6l,KES,386.87 
[24012] COMMIT_SELL,Rq5xFLYt6l 
[24137] BUY,Rq5xFLYt6l,MOM,645.99 
[24353] SET_SELL_TRIGGER,Rq5xFLYt6l,EBS,165.00 
[24500] ADD,Rq5xFLYt6l,63278.64 
[24539] QUOTE,Rq5xFLYt6l,HIN 
[24787] QUOTE,Rq5xFLYt6l,RGH 
[24789] BUY,Rq5xFLYt6l,JUG,741.10 
[24873] CANCEL_BUY,Rq5xFLYt6l 
[25026] ADD,Rq5xFLYt6l,77226.05 
[25046] BUY,Rq5xFLYt6l,ULL,549.93 
[25076] COMMIT_BUY,Rq5xFLYt6l 
[25082] CANCEL_SET_SELL,Rq5xFLYt6l,YTT 
[25136] SELL,Rq5xFLYt6l,KDA,671.80 
[25201] COMMIT_SELL,Rq5xFLYt6l 
[25298] SELL,Rq5xFLYt6l,JRJ,499.61 
[25458] SET_BUY_TRIGGER,Rq5xFLYt6l,XII,43.92 
[25598] BUY,Rq5xFLYt6l,SJG,379.48 
[25672] COMMIT_BUY,Rq5xFLYt6l 
[25689] ADD,Rq5xFLYt6l,84241.25 
[25758] QUOTE,Rq5xFLYt6l,FDI 
[26104] BUY,Rq5xFLYt6l,QWC,718.38 
[26121] BUY,Rq5xFLYt6l,ZHB,572.02 
[26158] BUY,Rq5xFLYt6l,PVH,335.16 
[26377] COMMIT_BUY,Rq5xFLYt6l 
[26468] SELL,Rq5xFLYt6l,GYF,194.98 
[26599] CANCEL_SELL,Rq5xFLYt6l 
[26616] DISPLAY_SUMMARY,Rq5xFLYt6l 
[26676] ADD,Rq5xFLYt6l,50943.26 
[26899] SELL,Rq5xFLYt6l,GYF,240.04 
[27258] CANCEL_SET_SELL,Rq5xFLYt6l,TKM 
[27344] SET_SELL_TRIGGER,Rq5xFLYt6l,PLA,5.64 
[27385] QUOTE,Rq5xFLYt6l,MLT 
[27510] CANCEL_SELL,Rq5xFLYt6l 
[27529] DISPLAY_SUMMARY,Rq5xFLYt6l 
[27535] BUY,Rq5xFLYt6l,XSS,673.65 
[27557] CANCEL_BUY,Rq5xFLYt6l 
[27602] DISPLAY_SUMMARY,Rq5xFLYt6l 
[27758] ADD,Rq5xFLYt6l,55542.92 
[27926] QUOTE,Rq5xFLYt6l,YEW 
[27946] SET_BUY_TRIGGER,Rq5xFLYt6l,GGY,92.11 
[27979] ADD,Rq5xFLYt6l,67246.62 
[28002] QUOTE,Rq5xFLYt6l,QTH 
[28188] SET_BUY_AMOUNT,Rq5xFLYt6l,FQP,740.63 
[28318] SET_BUY_TRIGGER,Rq5xFLYt6l,ZUV,285.62 
[28522] SET_SELL_AMOUNT,Rq5xFLYt6l,RUN,279.55 
[28704] QUOTE,Rq5xFLYt6l,YTO 
[28721] BUY,Rq5xFLYt6l,WKD,167.15 
[28749] COMMIT_BUY,Rq5xFLYt6l 
[28985] SET_SELL_AMOUNT,Rq5xFLYt6l,DFE,433.31 
[29089] SET_SELL_TRIGGER,Rq5xFLYt6l,DFE,78.79 
[29120] CANCEL_SET_SELL,Rq5xFLYt6l,MVQ 
[29521] QUOTE,Rq5xFLYt6l,OHG 
[29635] COMMIT_SELL,Rq5xFLYt6l 
[29697] SET_BUY_AMOUNT,Rq5xFLYt6l,EBS,479.35 
[29769] SET_BUY_TRIGGER,Rq5xFLYt6l,OTD,241.50 
[29770] SELL,Rq5xFLYt6l,XXQ,662.07 
[29844] CANCEL_SELL,Rq5xFLYt6l 
[30092] ADD,Rq5xFLYt6l,76715.62 
[30204] QUOTE,Rq5xFLYt6l,LLD 
[30320] DISPLAY_SUMMARY,Rq5xFLYt6l 
[30322] SET_SELL_TRIGGER,Rq5xFLYt6l,FIW,72.22 
[30525] SET_BUY_TRIGGER,Rq5xFLYt6l,LSM,85.51 
[30647] QUOTE,Rq5xFLYt6l,JPD 
[30677] BUY,Rq5xFLYt6l,GMS,245.33 
[30897] COMMIT_BUY,Rq5xFLYt6l 
[31377] DISPLAY_SUMMARY,Rq5xFLYt6l 
[31486] SET_SELL_TRIGGER,Rq5xFLYt6l,PSJ,26.10 
[31508] CANCEL_SET_SELL,Rq5xFLYt6l,OEX 
[31635] SET_BUY_TRIGGER,Rq5xFLYt6l,XBL,29.68 
[31657] SET_BUY_TRIGGER,Rq5xFLYt6l,EDM,82.95 
[31664] BUY,Rq5xFLYt6l,XVK,433.09 
[31702] SET_SELL_AMOUNT,Rq5xFLYt6l,KDA,553.36 
[31718] SET_SELL_TRIGGER,Rq5xFLYt6l,KDA,169.97 
[31800] SET_BUY_TRIGGER,Rq5xFLYt6l,LSW,183.91 
[31833] SET_BUY_AMOUNT,Rq5xFLYt6l,QJZ,115.57 
[32131] SET_BUY_TRIGGER,Rq5xFLYt6l,BUL,61.83 
[32252] BUY,Rq5xFLYt6l,JPP,584.17 
[32273] COMMIT_BUY,Rq5xFLYt6l 
[32341] DISPLAY_SUMMARY,Rq5xFLYt6l 
[32493] SELL,Rq5xFLYt6l,OEY,368.40 
[32690] COMMIT_SELL,Rq5xFLYt6l 
[32839] BUY,Rq5xFLYt6l,YTT,13.51 
[32926] CANCEL_BUY,Rq5xFLYt6l 
[32979] SET_BUY_TRIGGER,Rq5xFLYt6l,OHG,191.42 
[33067] QUOTE,Rq5xFLYt6l,WSG 
[33096] QUOTE,Rq5xFLYt6l,EAK 
[33196] SET_BUY_TRIGGER,Rq5xFLYt6l,CWA,55.39 
[33287] SET_BUY_AMOUNT,Rq5xFLYt6l,LFU,366.73 
[33329] SET_BUY_TRIGGER,Rq5xFLYt6l,OEX,276.14 
[33402] DISPLAY_SUMMARY,Rq5xFLYt6l 
[33513] QUOTE,Rq5xFLYt6l,PHU 
[33603] BUY,Rq5xFLYt6l,OOI,7.44 
[33834] SET_BUY_AMOUNT,Rq5xFLYt6l,RUN,495.04 
[33987] CANCEL_SET_BUY,Rq5xFLYt6l,OOI 
[34045] DISPLAY_SUMMARY,Rq5xFLYt6l 
[34145] CANCEL_BUY,Rq5xFLYt6l 
[34399] DISPLAY_SUMMARY,Rq5xFLYt6l 
[34424] QUOTE,Rq5xFLYt6l,ZAM 
[34537] SET_SELL_AMOUNT,Rq5xFLYt6l,CUZ,150.93 
[34599] SET_SELL_TRIGGER,Rq5xFLYt6l,CUZ,70.10 
[34637] ADD,Rq5xFLYt6l,67760.81 
[34705] QUOTE,Rq5xFLYt6l,MVY 
[34708] CANCEL_SET_BUY,Rq5xFLYt6l,LLE 
[34710] SET_SELL_AMOUNT,Rq5xFLYt6l,BCQ,353.18 
[34747] SET_SELL_TRIGGER,Rq5xFLYt6l,BCQ,352.62 
[34946] SET_SELL_TRIGGER,Rq5xFLYt6l,MOM,156.85 
[35003] DISPLAY_SUMMARY,Rq5xFLYt6l 
[35016] QUOTE,Rq5xFLYt6l,MPP 
[35028] SET_BUY_AMOUNT,Rq5xFLYt6l,JRJ,294.21 
[35051] SELL,Rq5xFLYt6l,BYA,115.27 
[35257] CANCEL_SELL,Rq5xFLYt6l 
[35287] ADD,Rq5xFLYt6l,72943.30 
[35394] DISPLAY_SUMMARY,Rq5xFLYt6l 
[35517] QUOTE,Rq5xFLYt6l,OXV 
[35565] QUOTE,Rq5xFLYt6l,DRO 
[35743] BUY,Rq5xFLYt6l,LKK,381.03 
[36031] CANCEL_SELL,Rq5xFLYt6l 
[36127] SET_BUY_TRIGGER,Rq5xFLYt6l,ISQ,83.51 
[36170] QUOTE,Rq5xFLYt6l,IRQ 
[36445] QUOTE,Rq5xFLYt6l,OZW 
[36489] DISPLAY_SUMMARY,Rq5xFLYt6l 
[36501] SET_SELL_AMOUNT,Rq5xFLYt6l,BYA,117.38 
[36772] SET_SELL_TRIGGER,Rq5xFLYt6l,BYA,82.57 
[36900] ADD,Rq5xFLYt6l,55713.33 
[36964] QUOTE,Rq5xFLYt6l,FNY 
[37023] QUOTE,Rq5xFLYt6l,NFV 
[37074] BUY,Rq5xFLYt6l,NSN,510.75 
[37084] COMMIT_BUY,Rq5xFLYt6l 
[37332] SELL,Rq5xFLYt6l,BYA,586.88 
[37381] COMMIT_SELL,Rq5xFLYt6l 
[37419] DISPLAY_SUMMARY,Rq5xFLYt6l 
[37434] DISPLAY_SUMMARY,Rq5xFLYt6l 
[37554] SET_SELL_AMOUNT,Rq5xFLYt6l,JCQ,325.33 
[37569] CANCEL_SET_SELL,Rq5xFLYt6l,JCQ 
[37596] SET_BUY_AMOUNT,Rq5xFLYt6l,OEY,267.53 
[37694] SET_BUY_TRIGGER,Rq5xFLYt6l,MIR,209.88 
[37850] COMMIT_SELL,Rq5xFLYt6l 
[37874] ADD,Rq5xFLYt6l,75645.15 
[37898] QUOTE,Rq5xFLYt6l,FLY 
[38073] ADD,Rq5xFLYt6l,74117.42 
[38102] SET_SELL_AMOUNT,Rq5xFLYt6l,LFU,164.60 
[38107] SET_SELL_TRIGGER,Rq5xFLYt6l,LFU,26.95 
[38411] BUY,Rq5xFLYt6l,QSS,46.32 
[38446] COMMIT_BUY,Rq5xFLYt6l 
[38549] SELL,Rq5xFLYt6l,KES,293.75 
[38580] CANCEL_SELL,Rq5xFLYt6l 
[38648] DISPLAY_SUMMARY,Rq5xFLYt6l 
[38674] SET_BUY_AMOUNT,Rq5xFLYt6l,CUZ,257.94 
[38900] CANCEL_SET_BUY,Rq5xFLYt6l,QJC 
[38908] CANCEL_SET_SELL,Rq5xFLYt6l,JGO 
[39283] SELL,Rq5xFLYt6l,KDA,263.58 
[39467] CANCEL_SET_SELL,Rq5xFLYt6l,USW 
[39525] SELL,Rq5xFLYt6l,DFE,219.95 
[39677] QUOTE,Rq5xFLYt6l,RQT 
[39693] ADD,Rq5xFLYt6l,75332.83 
[39770] QUOTE,Rq5xFLYt6l,CBO 
[39801] SET_BUY_AMOUNT,Rq5xFLYt6l,GYF,306.67 
[39900] SET_BUY_TRIGGER,Rq5xFLYt6l,KVK,215.68 
[39913] SET_SELL_AMOUNT,Rq5xFLYt6l,EBS,529.45 
[39958] CANCEL_SET_SELL,Rq5xFLYt6l,EBS 
[40205] DISPLAY_SUMMARY,Rq5xFLYt6l 
[40506] BUY,Rq5xFLYt6l,PFN,200.37 
[40600] COMMIT_BUY,Rq5xFLYt6l 
[40788] BUY,Rq5xFLYt6l,IZJ,382.09 
[40819] SELL,Rq5xFLYt6l,ZYR,8.72 
[40847] COMMIT_SELL,Rq5xFLYt6l 
[41064] SELL,Rq5xFLYt6l,RGH,690.19 
[41107] COMMIT_SELL,Rq5xFLYt6l 
[41147] ADD,Rq5xFLYt6l,71353.96 
[41231] QUOTE,Rq5xFLYt6l,BRT 
[41533] BUY,Rq5xFLYt6l,SXB,503.97 
[41585] COMMIT_BUY,Rq5xFLYt6l 
[41833] CANCEL_BUY,Rq5xFLYt6l 
[42045] QUOTE,Rq5xFLYt6l,OGB 
[42172] CANCEL_SET_BUY,Rq5xFLYt6l,BDX 
[42191] SELL,Rq5xFLYt6l,QAX,237.40 
[42219] COMMIT_SELL,Rq5xFLYt6l 
[42227] SET_BUY_TRIGGER,Rq5xFLYt6l,QNW,106.81 
[42351] SET_BUY_AMOUNT,Rq5xFLYt6l,RUN,596.90 
[42386] SET_BUY_TRIGGER,Rq5xFLYt6l,LEA,400.53 
[42395] BUY,Rq5xFLYt6l,ESN,135.49 
[42867] COMMIT_BUY,Rq5xFLYt6l 
[42890] BUY,Rq5xFLYt6l,UJC,111.56 
[42898] COMMIT_BUY,Rq5xFLYt6l 
[43089] DISPLAY_SUMMARY,Rq5xFLYt6l 
[43105] SET_BUY_TRIGGER,Rq5xFLYt6l,JUJ,172.60 
[43128] SET_BUY_AMOUNT,Rq5xFLYt6l,JVT,304.90 
[43244] CANCEL_SET_BUY,Rq5xFLYt6l,VOY 
[43252] ADD,Rq5xFLYt6l,83658.35 
[43295] COMMIT_BUY,Rq5xFLYt6l 
[43305] DISPLAY_SUMMARY,Rq5xFLYt6l 
[43337] SELL,Rq5xFLYt6l,ZYR,549.85 
[43525] SET_BUY_AMOUNT,Rq5xFLYt6l,QJZ,614.22 
[43603] SELL,Rq5xFLYt6l,CUZ,66.26 
[43621] COMMIT_SELL,Rq5xFLYt6l 
[43680] SET_BUY_TRIGGER,Rq5xFLYt6l,FFN,559.11 
[44001] SET_BUY_TRIGGER,Rq5xFLYt6l,GXT,41.19 
[44002] SET_BUY_AMOUNT,Rq5xFLYt6l,RUN,203.92 
[44038] DISPLAY_SUMMARY,Rq5xFLYt6l 
[44237] DISPLAY_SUMMARY,Rq5xFLYt6l 
[44301] BUY,Rq5xFLYt6l,HYX,27.61 
[44363] COMMIT_BUY,Rq5xFLYt6l 
[44497] BUY,Rq5xFLYt6l,NJB,248.63 
[44614] CANCEL_BUY,Rq5xFLYt6l 
[44619] DISPLAY_SUMMARY,Rq5xFLYt6l 
[44872] SELL,Rq5xFLYt6l,QAX,111.02 
[45167] COMMIT_SELL,Rq5xFLYt6l 
[45447] QUOTE,Rq5xFLYt6l,OSA 
[45613] QUOTE,Rq5xFLYt6l,FUR 
[45643] SET_BUY_AMOUNT,Rq5xFLYt6l,DFE,682.63 
[45814] SET_BUY_TRIGGER,Rq5xFLYt6l,XLK,35.76 
[45821] BUY,Rq5xFLYt6l,XII,575.75 
[45825] CANCEL_BUY,Rq5xFLYt6l 
[45852] SET_BUY_TRIGGER,Rq5xFLYt6l,GPC,148.64 
[45865] SELL,Rq5xFLYt6l,JCQ,567.14 
[46226] ADD,Rq5xFLYt6l,65041.59 
[46297] QUOTE,Rq5xFLYt6l,HIN 
[46346] CANCEL_SELL,Rq5xFLYt6l 
[46415] BUY,Rq5xFLYt6l,SMS,399.26 
[46418] COMMIT_BUY,Rq5xFLYt6l 
[46452] SET_SELL_TRIGGER,Rq5xFLYt6l,SAN,177.77 
[46501] ADD,Rq5xFLYt6l,61556.68 
