[138] ADD,F0mQHf8fev,74252.25 
[10191] SET_SELL_TRIGGER,F0mQHf8fev,LAW,171.93 
[10233] ADD,F0mQHf8fev,58481.19 
[10241] BUY,F0mQHf8fev,TCP,373.06 
[10249] COMMIT_BUY,F0mQHf8fev 
[10327] SET_SELL_TRIGGER,F0mQHf8fev,CDF,179.52 
[10330] BUY,F0mQHf8fev,STT,143.80 
[10536] COMMIT_SELL,F0mQHf8fev 
[10711] DISPLAY_SUMMARY,F0mQHf8fev 
[10780] SET_SELL_AMOUNT,F0mQHf8fev,JCQ,322.00 
[10782] SET_SELL_TRIGGER,F0mQHf8fev,JCQ,238.32 
[10870] QUOTE,F0mQHf8fev,MAX 
[10874] ADD,F0mQHf8fev,70903.83 
[10929] BUY,F0mQHf8fev,KDG,162.89 
[11007] COMMIT_BUY,F0mQHf8fev 
[11029] SET_BUY_AMOUNT,F0mQHf8fev,EBS,227.35 
[11051] SET_BUY_TRIGGER,F0mQHf8fev,MVI,131.41 
[11075] BUY,F0mQHf8fev,IFQ,154.86 
[11157] SET_BUY_AMOUNT,F0mQHf8fev,OEY,583.49 
[11331] SET_BUY_TRIGGER,F0mQHf8fev,OLH,324.55 
[11482] SET_BUY_AMOUNT,F0mQHf8fev,KES,348.97 
[11539] SET_BUY_TRIGGER,F0mQHf8fev,QPE,59.98 
[11728] QUOTE,F0mQHf8fev,SQO 
[11731] BUY,F0mQHf8fev,NHG,384.19 
[11979] CANCEL_BUY,F0mQHf8fev 
[12052] DISPLAY_SUMMARY,F0mQHf8fev 
[12242] ADD,F0mQHf8fev,69048.38 
[12659] BUY,F0mQHf8fev,WYD,182.92 
[12665] QUOTE,F0mQHf8fev,JSM 
[12705] QUOTE,F0mQHf8fev,VGW 
[12709] BUY,F0mQHf8fev,GHL,157.48 
[12751] COMMIT_BUY,F0mQHf8fev 
[12832] SET_BUY_TRIGGER,F0mQHf8fev,GHL,92.93 
[12968] SET_BUY_TRIGGER,F0mQHf8fev,DBS,73.13 
[13010] SELL,F0mQHf8fev,JCQ,437.93 
[13057] COMMIT_SELL,F0mQHf8fev 
[13068] ADD,F0mQHf8fev,68252.41 
[13093] QUOTE,F0mQHf8fev,WZM 
[13130] CANCEL_SELL,F0mQHf8fev 
[13170] CANCEL_SET_SELL,F0mQHf8fev,GHE 
[13265] ADD,F0mQHf8fev,58713.03 
[13289] BUY,F0mQHf8fev,SSL,372.69 
[13386] COMMIT_BUY,F0mQHf8fev 
[13492] SET_BUY_AMOUNT,F0mQHf8fev,UTV,479.20 
[13498] SET_BUY_TRIGGER,F0mQHf8fev,IOM,434.72 
[13508] DISPLAY_SUMMARY,F0mQHf8fev 
[13533] ADD,F0mQHf8fev,50022.44 
[13648] QUOTE,F0mQHf8fev,GPW 
[13651] ADD,F0mQHf8fev,61711.98 
[13726] BUY,F0mQHf8fev,DTG,108.36 
[13787] COMMIT_BUY,F0mQHf8fev 
[13788] ADD,F0mQHf8fev,98662.11 
[13852] BUY,F0mQHf8fev,CXW,655.68 
[13876] QUOTE,F0mQHf8fev,BWL 
[13911] BUY,F0mQHf8fev,IPH,22.49 
[14009] CANCEL_BUY,F0mQHf8fev 
[14034] CANCEL_SELL,F0mQHf8fev 
[14055] SET_SELL_AMOUNT,F0mQHf8fev,KDA,635.36 
[14100] CANCEL_SET_SELL,F0mQHf8fev,KDA 
[14196] QUOTE,F0mQHf8fev,PHJ 
[14336] COMMIT_SELL,F0mQHf8fev 
[14346] ADD,F0mQHf8fev,64491.74 
[14454] BUY,F0mQHf8fev,DWC,493.67 
[14685] QUOTE,F0mQHf8fev,OEM 
[14831] SET_BUY_TRIGGER,F0mQHf8fev,KBN,28.93 
[14910] DISPLAY_SUMMARY,F0mQHf8fev 
[15002] ADD,F0mQHf8fev,74268.81 
[15189] QUOTE,F0mQHf8fev,SDL 
[15272] CANCEL_BUY,F0mQHf8fev 
[15285] DISPLAY_SUMMARY,F0mQHf8fev 
[15454] SET_SELL_AMOUNT,F0mQHf8fev,QAX,363.77 
[15480] DISPLAY_SUMMARY,F0mQHf8fev 
[15502] QUOTE,F0mQHf8fev,CAX 
[15581] SET_BUY_TRIGGER,F0mQHf8fev,JXW,180.27 
[15596] BUY,F0mQHf8fev,DED,282.46 
[15640] SET_SELL_TRIGGER,F0mQHf8fev,QAX,323.63 
[15763] ADD,F0mQHf8fev,72492.14 
[15931] QUOTE,F0mQHf8fev,KBN 
[16060] SELL,F0mQHf8fev,KDA,521.49 
[16300] SET_SELL_AMOUNT,F0mQHf8fev,OEY,697.09 
[16332] SET_SELL_TRIGGER,F0mQHf8fev,OEY,155.48 
[16357] ADD,F0mQHf8fev,65842.11 
[16411] BUY,F0mQHf8fev,ENQ,12.77 
[16421] COMMIT_BUY,F0mQHf8fev 
[16478] CANCEL_SET_SELL,F0mQHf8fev,PPY 
[16738] ADD,F0mQHf8fev,87258.36 
[16781] BUY,F0mQHf8fev,KXF,343.57 
[17108] SET_SELL_TRIGGER,F0mQHf8fev,KAR,69.47 
[17225] SET_SELL_AMOUNT,F0mQHf8fev,EBS,571.51 
[17313] SET_SELL_TRIGGER,F0mQHf8fev,EBS,29.06 
[17392] ADD,F0mQHf8fev,62304.62 
[17519] QUOTE,F0mQHf8fev,IEQ 
[17574] QUOTE,F0mQHf8fev,UTD 
[17592] SET_BUY_TRIGGER,F0mQHf8fev,THH,3.87 
[17607] ADD,F0mQHf8fev,64712.24 
[17646] BUY,F0mQHf8fev,PPW,469.03 
[17649] QUOTE,F0mQHf8fev,PHU 
[17717] ADD,F0mQHf8fev,83375.27 
[17810] COMMIT_SELL,F0mQHf8fev 
[18017] CANCEL_SELL,F0mQHf8fev 
[18428] SET_BUY_TRIGGER,F0mQHf8fev,VEN,110.66 
[18504] QUOTE,F0mQHf8fev,KTU 
[18510] QUOTE,F0mQHf8fev,TQX 
[18557] BUY,F0mQHf8fev,RRZ,729.98 
[18607] COMMIT_BUY,F0mQHf8fev 
[18619] SET_SELL_AMOUNT,F0mQHf8fev,KES,259.24 
[18676] QUOTE,F0mQHf8fev,GIK 
[18839] CANCEL_BUY,F0mQHf8fev 
[18852] ADD,F0mQHf8fev,82029.10 
[18995] BUY,F0mQHf8fev,OWH,726.93 
[19235] SET_BUY_AMOUNT,F0mQHf8fev,KES,365.44 
[19242] SET_BUY_TRIGGER,F0mQHf8fev,HCN,180.91 
[19400] ADD,F0mQHf8fev,51495.36 
[19459] BUY,F0mQHf8fev,XQC,737.32 
[19562] QUOTE,F0mQHf8fev,NGH 
[19639] BUY,F0mQHf8fev,ZSV,712.23 
[19824] SELL,F0mQHf8fev,KDA,350.54 
[19930] COMMIT_SELL,F0mQHf8fev 
[20341] QUOTE,F0mQHf8fev,FRB 
[20354] CANCEL_SELL,F0mQHf8fev 
[20570] DISPLAY_SUMMARY,F0mQHf8fev 
[20645] SELL,F0mQHf8fev,QAX,10.68 
[20682] CANCEL_SET_SELL,F0mQHf8fev,KES 
[20689] SET_SELL_AMOUNT,F0mQHf8fev,UTV,613.42 
[20723] SET_SELL_TRIGGER,F0mQHf8fev,UTV,93.70 
[20811] QUOTE,F0mQHf8fev,OWH 
[20949] BUY,F0mQHf8fev,DVU,356.43 
[20997] SELL,F0mQHf8fev,ZAN,435.32 
[21122] COMMIT_SELL,F0mQHf8fev 
[21177] ADD,F0mQHf8fev,72450.97 
[21353] QUOTE,F0mQHf8fev,AVI 
[21355] QUOTE,F0mQHf8fev,RFI 
[21603] SET_SELL_TRIGGER,F0mQHf8fev,GWS,183.68 
[21613] ADD,F0mQHf8fev,95725.37 
[21808] BUY,F0mQHf8fev,LUT,397.34 
[21817] COMMIT_BUY,F0mQHf8fev 
[21856] SET_BUY_AMOUNT,F0mQHf8fev,OEY,688.10 
[21927] SET_BUY_TRIGGER,F0mQHf8fev,PXF,617.58 
[21988] SET_SELL_AMOUNT,F0mQHf8fev,OEY,632.69 
[22003] SET_SELL_TRIGGER,F0mQHf8fev,OEY,155.98 
[22058] SET_BUY_AMOUNT,F0mQHf8fev,NHG,711.33 
[22242] SET_BUY_TRIGGER,F0mQHf8fev,SPP,416.83 
[22308] DISPLAY_SUMMARY,F0mQHf8fev 
[22396] SET_BUY_TRIGGER,F0mQHf8fev,PVZ,86.87 
[22430] ADD,F0mQHf8fev,57911.88 
[22466] QUOTE,F0mQHf8fev,QNK 
[22577] BUY,F0mQHf8fev,WOJ,500.88 
[22696] SET_BUY_TRIGGER,F0mQHf8fev,HMR,166.91 
[22736] ADD,F0mQHf8fev,75395.53 
[22832] BUY,F0mQHf8fev,PUO,344.26 
[22918] DISPLAY_SUMMARY,F0mQHf8fev 
[23074] DISPLAY_SUMMARY,F0mQHf8fev 
[23122] CANCEL_SELL,F0mQHf8fev 
[23388] COMMIT_SELL,F0mQHf8fev 
[23658] SET_BUY_TRIGGER,F0mQHf8fev,GAN,119.24 
[24050] SET_SELL_AMOUNT,F0mQHf8fev,JRJ,663.16 
[24238] DISPLAY_SUMMARY,F0mQHf8fev 
[24267] ADD,F0mQHf8fev,73876.16 
[24335] BUY,F0mQHf8fev,IGI,747.25 
[24407] COMMIT_BUY,F0mQHf8fev 
[24507] SELL,F0mQHf8fev,JRJ,198.60 
[24515] DISPLAY_SUMMARY,F0mQHf8fev 
[24565] COMMIT_SELL,F0mQHf8fev 
[24585] QUOTE,F0mQHf8fev,DRO 
[24643] CANCEL_SET_BUY,F0mQHf8fev,NVX 
[24734] ADD,F0mQHf8fev,63279.19 
[24744] QUOTE,F0mQHf8fev,LSM 
[24867] CANCEL_SET_BUY,F0mQHf8fev,YTT 
[24932] DISPLAY_SUMMARY,F0mQHf8fev 
[24942] SET_BUY_TRIGGER,F0mQHf8fev,WDJ,25.16 
[24986] BUY,F0mQHf8fev,GWS,101.72 
[25114] COMMIT_BUY,F0mQHf8fev 
[25223] SELL,F0mQHf8fev,JRJ,406.48 
[25255] COMMIT_SELL,F0mQHf8fev 
[25258] DISPLAY_SUMMARY,F0mQHf8fev 
[25435] SELL,F0mQHf8fev,RUN,734.26 
[25621] CANCEL_SELL,F0mQHf8fev 
[25624] SET_BUY_TRIGGER,F0mQHf8fev,YZC,78.96 
[25670] CANCEL_BUY,F0mQHf8fev 
[25709] SELL,F0mQHf8fev,LFU,127.80 
[25807] COMMIT_SELL,F0mQHf8fev 
[26074] SET_BUY_AMOUNT,F0mQHf8fev,BYA,134.87 
[26183] SET_BUY_TRIGGER,F0mQHf8fev,AVH,0.12 
[26214] SELL,F0mQHf8fev,JRJ,92.82 
[26239] COMMIT_SELL,F0mQHf8fev 
[26257] CANCEL_SELL,F0mQHf8fev 
[26294] DISPLAY_SUMMARY,F0mQHf8fev 
[26465] ADD,F0mQHf8fev,59392.54 
[26475] BUY,F0mQHf8fev,WLT,323.64 
[26524] COMMIT_BUY,F0mQHf8fev 
[26561] SELL,F0mQHf8fev,KES,10.96 
[26589] COMMIT_SELL,F0mQHf8fev 
[26662] DISPLAY_SUMMARY,F0mQHf8fev 
[26687] QUOTE,F0mQHf8fev,VNF 
[26730] SET_BUY_AMOUNT,F0mQHf8fev,KES,478.37 
[26841] CANCEL_SET_BUY,F0mQHf8fev,AJR 
[26889] ADD,F0mQHf8fev,92024.44 
[26953] QUOTE,F0mQHf8fev,XXN 
[26988] SET_BUY_TRIGGER,F0mQHf8fev,SKC,67.82 
[27034] ADD,F0mQHf8fev,82244.60 
[27035] QUOTE,F0mQHf8fev,GLJ 
[27316] DISPLAY_SUMMARY,F0mQHf8fev 
[27394] SELL,F0mQHf8fev,LFU,16.94 
[27731] COMMIT_SELL,F0mQHf8fev 
[27776] ADD,F0mQHf8fev,84942.21 
[27861] SET_SELL_AMOUNT,F0mQHf8fev,QJZ,268.78 
[27865] SET_SELL_TRIGGER,F0mQHf8fev,QJZ,198.69 
[27928] SET_SELL_TRIGGER,F0mQHf8fev,AUX,193.39 
[28049] SET_SELL_AMOUNT,F0mQHf8fev,GYF,727.47 
[28086] QUOTE,F0mQHf8fev,YNH 
[28183] BUY,F0mQHf8fev,CBV,34.93 
[28505] COMMIT_BUY,F0mQHf8fev 
[28593] SELL,F0mQHf8fev,RUN,499.14 
[28727] COMMIT_SELL,F0mQHf8fev 
[28750] QUOTE,F0mQHf8fev,RRE 
[28893] QUOTE,F0mQHf8fev,CSZ 
[28929] SET_BUY_TRIGGER,F0mQHf8fev,VSE,106.13 
[28943] SELL,F0mQHf8fev,JQO,337.61 
[28950] COMMIT_SELL,F0mQHf8fev 
[28978] DISPLAY_SUMMARY,F0mQHf8fev 
[28981] ADD,F0mQHf8fev,70171.36 
[29191] CANCEL_SET_BUY,F0mQHf8fev,MXD 
[29271] SET_SELL_AMOUNT,F0mQHf8fev,JQO,142.52 
[29276] SET_SELL_TRIGGER,F0mQHf8fev,JQO,121.18 
[29326] SET_BUY_TRIGGER,F0mQHf8fev,GGI,95.67 
[29422] BUY,F0mQHf8fev,ZJB,92.81 
[29465] COMMIT_SELL,F0mQHf8fev 
[29512] BUY,F0mQHf8fev,BPP,530.01 
[29547] CANCEL_SET_SELL,F0mQHf8fev,MAX 
[29614] ADD,F0mQHf8fev,80255.36 
[29702] QUOTE,F0mQHf8fev,PBX 
[29787] BUY,F0mQHf8fev,HIN,175.92 
[29878] CANCEL_SET_BUY,F0mQHf8fev,APU 
[29939] BUY,F0mQHf8fev,GRD,195.04 
[30020] COMMIT_BUY,F0mQHf8fev 
[30158] ADD,F0mQHf8fev,62880.22 
[30213] SET_BUY_TRIGGER,F0mQHf8fev,PFN,83.05 
[30369] SET_SELL_TRIGGER,F0mQHf8fev,HGG,19.15 
[30544] SELL,F0mQHf8fev,CUZ,714.65 
[30782] COMMIT_SELL,F0mQHf8fev 
[30795] DISPLAY_SUMMARY,F0mQHf8fev 
[30806] QUOTE,F0mQHf8fev,IDN 
[30821] SET_SELL_TRIGGER,F0mQHf8fev,KMZ,153.86 
[30849] SET_SELL_TRIGGER,F0mQHf8fev,XDN,67.27 
[30956] BUY,F0mQHf8fev,JHY,642.36 
[31123] SET_BUY_TRIGGER,F0mQHf8fev,BMQ,58.77 
[31321] SELL,F0mQHf8fev,KES,24.52 
[31374] CANCEL_BUY,F0mQHf8fev 
[31608] SET_BUY_TRIGGER,F0mQHf8fev,OEM,66.31 
[31762] COMMIT_BUY,F0mQHf8fev 
[31862] DISPLAY_SUMMARY,F0mQHf8fev 
[31891] CANCEL_SET_SELL,F0mQHf8fev,QZN 
[32078] SELL,F0mQHf8fev,QAX,241.97 
[32117] SET_BUY_AMOUNT,F0mQHf8fev,UTV,211.62 
[32147] SET_BUY_TRIGGER,F0mQHf8fev,GZQ,145.35 
[32263] ADD,F0mQHf8fev,62715.78 
[32295] BUY,F0mQHf8fev,VEE,531.97 
[32406] COMMIT_BUY,F0mQHf8fev 
[32432] SET_SELL_AMOUNT,F0mQHf8fev,BCQ,70.59 
[32572] SET_SELL_TRIGGER,F0mQHf8fev,BCQ,24.46 
[32672] BUY,F0mQHf8fev,WGP,517.34 
[32694] CANCEL_SET_BUY,F0mQHf8fev,CBK 
[32709] SET_BUY_TRIGGER,F0mQHf8fev,IHW,73.75 
[32925] ADD,F0mQHf8fev,67551.41 
[32984] BUY,F0mQHf8fev,OYX,78.72 
[33109] COMMIT_SELL,F0mQHf8fev 
[33161] SELL,F0mQHf8fev,YJK,197.71 
[33243] COMMIT_SELL,F0mQHf8fev 
[33288] SELL,F0mQHf8fev,ZAN,337.38 
[33307] COMMIT_SELL,F0mQHf8fev 
[33401] SELL,F0mQHf8fev,OEY,449.58 
[33483] CANCEL_SET_SELL,F0mQHf8fev,GYF 
[33936] BUY,F0mQHf8fev,DBR,162.34 
[34297] COMMIT_BUY,F0mQHf8fev 
[34401] BUY,F0mQHf8fev,URI,437.19 
[34465] COMMIT_BUY,F0mQHf8fev 
[34553] DISPLAY_SUMMARY,F0mQHf8fev 
[34661] ADD,F0mQHf8fev,51766.34 
[34899] SET_BUY_TRIGGER,F0mQHf8fev,MOM,176.53 
[35088] SET_SELL_TRIGGER,F0mQHf8fev,BTD,180.53 
[35350] DISPLAY_SUMMARY,F0mQHf8fev 
[35410] QUOTE,F0mQHf8fev,ZFV 
[35476] SET_BUY_AMOUNT,F0mQHf8fev,RNK,62.80 
[35567] BUY,F0mQHf8fev,NGH,351.69 
[35868] CANCEL_BUY,F0mQHf8fev 
[35876] QUOTE,F0mQHf8fev,WSR 
[35892] CANCEL_BUY,F0mQHf8fev 
[35965] ADD,F0mQHf8fev,78196.65 
[36010] BUY,F0mQHf8fev,VJB,501.25 
[36122] COMMIT_BUY,F0mQHf8fev 
[36142] DISPLAY_SUMMARY,F0mQHf8fev 
[36213] ADD,F0mQHf8fev,77638.82 
[36287] BUY,F0mQHf8fev,ZQW,401.76 
[36315] COMMIT_BUY,F0mQHf8fev 
[36337] ADD,F0mQHf8fev,71165.86 
[36370] DISPLAY_SUMMARY,F0mQHf8fev 
[36554] ADD,F0mQHf8fev,53261.05 
[36805] BUY,F0mQHf8fev,KBI,255.06 
[36837] CANCEL_BUY,F0mQHf8fev 
[36975] SET_BUY_AMOUNT,F0mQHf8fev,PTP,643.20 
[37199] SET_BUY_TRIGGER,F0mQHf8fev,QNW,567.28 
[37216] SET_SELL_TRIGGER,F0mQHf8fev,DRP,182.10 
[37364] ADD,F0mQHf8fev,59087.09 
[37369] BUY,F0mQHf8fev,QPR,450.26 
[37582] COMMIT_BUY,F0mQHf8fev 
[37617] QUOTE,F0mQHf8fev,QBD 
[37628] BUY,F0mQHf8fev,ULL,406.20 
[37900] COMMIT_BUY,F0mQHf8fev 
[38058] QUOTE,F0mQHf8fev,NJF 
[38138] ADD,F0mQHf8fev,55744.31 
[38423] BUY,F0mQHf8fev,ZTR,700.42 
[38460] CANCEL_SET_SELL,F0mQHf8fev,XXT 
[38526] COMMIT_BUY,F0mQHf8fev 
[38538] BUY,F0mQHf8fev,MXD,678.98 
[38544] SET_SELL_AMOUNT,F0mQHf8fev,JQO,215.51 
[38647] SET_SELL_TRIGGER,F0mQHf8fev,JQO,139.63 
[38820] SET_BUY_AMOUNT,F0mQHf8fev,GYF,405.32 
[38896] SET_BUY_TRIGGER,F0mQHf8fev,AEM,348.93 
[38915] QUOTE,F0mQHf8fev,ZCO 
[39008] ADD,F0mQHf8fev,59511.45 
[39026] QUOTE,F0mQHf8fev,JEA 
[39082] BUY,F0mQHf8fev,VMT,215.99 
[39091] BUY,F0mQHf8fev,SOT,402.17 
[39107] SET_SELL_TRIGGER,F0mQHf8fev,IFI,79.83 
[39274] SET_BUY_AMOUNT,F0mQHf8fev,LFU,353.59 
[39280] SET_BUY_TRIGGER,F0mQHf8fev,DDA,92.29 
[39323] DISPLAY_SUMMARY,F0mQHf8fev 
[39347] BUY,F0mQHf8fev,MER,440.43 
[39440] COMMIT_BUY,F0mQHf8fev 
[39458] ADD,F0mQHf8fev,54329.82 
[39619] SET_SELL_AMOUNT,F0mQHf8fev,XLK,20.58 
[39670] SET_SELL_TRIGGER,F0mQHf8fev,XLK,20.37 
[39685] QUOTE,F0mQHf8fev,HGG 
[39747] DISPLAY_SUMMARY,F0mQHf8fev 
[40049] SET_BUY_AMOUNT,F0mQHf8fev,KES,456.29 
[40275] SET_BUY_TRIGGER,F0mQHf8fev,KJH,220.37 
[40425] QUOTE,F0mQHf8fev,HRJ 
[40440] CANCEL_SET_SELL,F0mQHf8fev,SDL 
[40606] CANCEL_SELL,F0mQHf8fev 
[40648] CANCEL_SET_SELL,F0mQHf8fev,YJK 
[40701] CANCEL_SELL,F0mQHf8fev 
[40789] SET_BUY_AMOUNT,F0mQHf8fev,BYA,236.61 
[40814] SET_BUY_TRIGGER,F0mQHf8fev,CMD,36.90 
[40888] BUY,F0mQHf8fev,QVK,710.55 
[41166] COMMIT_BUY,F0mQHf8fev 
[41249] QUOTE,F0mQHf8fev,FUF 
[41259] DISPLAY_SUMMARY,F0mQHf8fev 
[41365] SET_BUY_AMOUNT,F0mQHf8fev,GYF,523.35 
[41623] SET_BUY_TRIGGER,F0mQHf8fev,ZNW,517.21 
[41624] SET_SELL_TRIGGER,F0mQHf8fev,JKX,192.75 
[41625] BUY,F0mQHf8fev,WOJ,717.18 
[41662] CANCEL_SET_SELL,F0mQHf8fev,HNW 
[41861] SET_SELL_TRIGGER,F0mQHf8fev,OOV,192.11 
[41874] SET_BUY_TRIGGER,F0mQHf8fev,ZMA,194.56 
[42393] ADD,F0mQHf8fev,63166.68 
[42517] QUOTE,F0mQHf8fev,YZH 
[42522] SET_BUY_TRIGGER,F0mQHf8fev,PMG,11.20 
[42543] CANCEL_SET_SELL,F0mQHf8fev,FGI 
[42559] QUOTE,F0mQHf8fev,CMD 
[42598] BUY,F0mQHf8fev,ECI,574.74 
[42762] QUOTE,F0mQHf8fev,KAF 
[42870] ADD,F0mQHf8fev,63326.96 
[42878] BUY,F0mQHf8fev,XSS,488.61 
[42908] SET_BUY_AMOUNT,F0mQHf8fev,RNK,533.08 
[42982] SET_BUY_TRIGGER,F0mQHf8fev,NFL,276.28 
[42995] QUOTE,F0mQHf8fev,ZAN 
[43048] ADD,F0mQHf8fev,89387.80 
[43157] BUY,F0mQHf8fev,LCP,17.33 
[43178] COMMIT_BUY,F0mQHf8fev 
