[16] ADD,TViJpUe5JR,72037.44 
[19834] CANCEL_SELL,TViJpUe5JR 
[19915] SET_SELL_TRIGGER,TViJpUe5JR,PSJ,46.89 
[20256] CANCEL_SET_SELL,TViJpUe5JR,VEN 
[20324] DISPLAY_SUMMARY,TViJpUe5JR 
[20345] SET_SELL_AMOUNT,TViJpUe5JR,JVT,212.88 
[20373] SET_SELL_TRIGGER,TViJpUe5JR,JVT,209.60 
[20432] QUOTE,TViJpUe5JR,XVK 
[20530] SET_BUY_TRIGGER,TViJpUe5JR,MDZ,20.93 
[20583] ADD,TViJpUe5JR,88023.08 
[20594] BUY,TViJpUe5JR,YOQ,3.06 
[20629] CANCEL_BUY,TViJpUe5JR 
[20630] ADD,TViJpUe5JR,55551.74 
[20775] SET_BUY_TRIGGER,TViJpUe5JR,PLA,112.27 
[21043] SET_SELL_TRIGGER,TViJpUe5JR,ATW,178.14 
[21117] SELL,TViJpUe5JR,QAX,45.94 
[21145] COMMIT_SELL,TViJpUe5JR 
[21228] DISPLAY_SUMMARY,TViJpUe5JR 
[21338] DISPLAY_SUMMARY,TViJpUe5JR 
[21564] DISPLAY_SUMMARY,TViJpUe5JR 
[21652] ADD,TViJpUe5JR,59960.13 
[21689] QUOTE,TViJpUe5JR,BTA 
[21756] BUY,TViJpUe5JR,PJW,642.16 
[21802] COMMIT_BUY,TViJpUe5JR 
[21881] SET_BUY_TRIGGER,TViJpUe5JR,QHF,2.38 
[22023] SET_BUY_AMOUNT,TViJpUe5JR,QJZ,353.86 
[22046] SET_BUY_TRIGGER,TViJpUe5JR,MZT,345.46 
[22388] QUOTE,TViJpUe5JR,WUL 
[22418] QUOTE,TViJpUe5JR,STO 
[22476] QUOTE,TViJpUe5JR,LSW 
[22504] QUOTE,TViJpUe5JR,KDG 
[22513] CANCEL_SET_SELL,TViJpUe5JR,APU 
[22623] BUY,TViJpUe5JR,CLP,520.57 
[22666] CANCEL_BUY,TViJpUe5JR 
[22728] SELL,TViJpUe5JR,EBS,257.23 
[22850] COMMIT_SELL,TViJpUe5JR 
[22916] BUY,TViJpUe5JR,SDW,117.35 
[23234] QUOTE,TViJpUe5JR,EEG 
[23238] ADD,TViJpUe5JR,76488.85 
[23239] BUY,TViJpUe5JR,KCT,539.27 
[23383] SET_SELL_AMOUNT,TViJpUe5JR,NHG,287.53 
[23385] SET_SELL_TRIGGER,TViJpUe5JR,NHG,35.13 
[23622] CANCEL_SELL,TViJpUe5JR 
[23656] ADD,TViJpUe5JR,41190.37 
[23673] QUOTE,TViJpUe5JR,STQ 
[23681] BUY,TViJpUe5JR,TVI,380.01 
[23705] CANCEL_SET_BUY,TViJpUe5JR,XOL 
[23911] SET_SELL_AMOUNT,TViJpUe5JR,KES,587.56 
[23918] CANCEL_SET_SELL,TViJpUe5JR,KES 
[24014] DISPLAY_SUMMARY,TViJpUe5JR 
[24178] DISPLAY_SUMMARY,TViJpUe5JR 
[24280] SET_BUY_AMOUNT,TViJpUe5JR,KES,100.74 
[24294] QUOTE,TViJpUe5JR,QOD 
[24417] SET_BUY_AMOUNT,TViJpUe5JR,QJZ,470.00 
[24438] SET_BUY_TRIGGER,TViJpUe5JR,WBX,296.02 
[24557] BUY,TViJpUe5JR,OOR,627.08 
[24562] BUY,TViJpUe5JR,IGI,176.78 
[24622] COMMIT_BUY,TViJpUe5JR 
[24793] SET_SELL_AMOUNT,TViJpUe5JR,JQO,508.40 
[24999] SET_SELL_TRIGGER,TViJpUe5JR,JQO,78.03 
[25016] ADD,TViJpUe5JR,61539.90 
[25017] QUOTE,TViJpUe5JR,HQU 
[25205] QUOTE,TViJpUe5JR,GJR 
[25219] SET_SELL_AMOUNT,TViJpUe5JR,QJZ,136.70 
[25245] SET_SELL_TRIGGER,TViJpUe5JR,QJZ,14.18 
[25353] ADD,TViJpUe5JR,82611.40 
[25398] BUY,TViJpUe5JR,FQR,116.94 
[25597] COMMIT_BUY,TViJpUe5JR 
[25854] SET_SELL_TRIGGER,TViJpUe5JR,ISQ,89.82 
[25903] ADD,TViJpUe5JR,67297.77 
[26231] SELL,TViJpUe5JR,QJZ,107.56 
[26248] COMMIT_SELL,TViJpUe5JR 
[26267] DISPLAY_SUMMARY,TViJpUe5JR 
[26324] SET_SELL_TRIGGER,TViJpUe5JR,PUO,157.46 
[26565] ADD,TViJpUe5JR,74760.07 
[26635] QUOTE,TViJpUe5JR,IEQ 
[26695] QUOTE,TViJpUe5JR,BEC 
[26731] QUOTE,TViJpUe5JR,MWV 
[26817] CANCEL_SET_BUY,TViJpUe5JR,XLK 
[27098] SELL,TViJpUe5JR,GYF,65.54 
[27104] COMMIT_BUY,TViJpUe5JR 
[27191] DISPLAY_SUMMARY,TViJpUe5JR 
[27687] DISPLAY_SUMMARY,TViJpUe5JR 
[27794] CANCEL_SET_SELL,TViJpUe5JR,RQF 
[27808] SELL,TViJpUe5JR,UTV,175.34 
[27820] COMMIT_BUY,TViJpUe5JR 
[27921] ADD,TViJpUe5JR,100086.96 
[28090] QUOTE,TViJpUe5JR,WTD 
[28185] SET_BUY_AMOUNT,TViJpUe5JR,QJZ,721.14 
[28308] SET_BUY_TRIGGER,TViJpUe5JR,CBV,64.01 
[28414] DISPLAY_SUMMARY,TViJpUe5JR 
[28431] SET_BUY_AMOUNT,TViJpUe5JR,NHG,180.89 
[28455] SET_BUY_TRIGGER,TViJpUe5JR,ROW,151.96 
[28592] SET_BUY_AMOUNT,TViJpUe5JR,EBS,455.42 
[28596] SET_BUY_TRIGGER,TViJpUe5JR,OOT,254.58 
[28672] BUY,TViJpUe5JR,HZE,714.71 
[28814] COMMIT_BUY,TViJpUe5JR 
[28948] DISPLAY_SUMMARY,TViJpUe5JR 
[28964] ADD,TViJpUe5JR,56485.34 
[29129] SET_SELL_TRIGGER,TViJpUe5JR,WYD,191.92 
[29192] ADD,TViJpUe5JR,81827.57 
[29219] QUOTE,TViJpUe5JR,OYW 
[29638] QUOTE,TViJpUe5JR,CBQ 
[29790] CANCEL_SET_SELL,TViJpUe5JR,KNM 
[29884] BUY,TViJpUe5JR,SSL,15.21 
[29889] COMMIT_BUY,TViJpUe5JR 
[29896] BUY,TViJpUe5JR,NJT,658.08 
[29984] COMMIT_BUY,TViJpUe5JR 
[30035] BUY,TViJpUe5JR,JVT,268.78 
[30197] SET_SELL_AMOUNT,TViJpUe5JR,CUZ,275.32 
[30201] SET_SELL_TRIGGER,TViJpUe5JR,CUZ,275.26 
[30612] SELL,TViJpUe5JR,QJZ,112.03 
[30675] COMMIT_BUY,TViJpUe5JR 
[30700] ADD,TViJpUe5JR,67744.52 
[30827] QUOTE,TViJpUe5JR,TOZ 
[30929] BUY,TViJpUe5JR,SBT,224.97 
[31102] COMMIT_BUY,TViJpUe5JR 
[31158] SET_BUY_AMOUNT,TViJpUe5JR,GYF,318.14 
[31228] CANCEL_SET_BUY,TViJpUe5JR,ZAV 
[31315] ADD,TViJpUe5JR,60566.97 
[31469] BUY,TViJpUe5JR,PUC,490.03 
[31655] COMMIT_BUY,TViJpUe5JR 
[31683] ADD,TViJpUe5JR,65214.63 
[31853] QUOTE,TViJpUe5JR,BTD 
[31864] BUY,TViJpUe5JR,AVX,192.29 
[31898] COMMIT_BUY,TViJpUe5JR 
[31989] SET_SELL_AMOUNT,TViJpUe5JR,JQO,544.21 
[32079] CANCEL_SET_SELL,TViJpUe5JR,JQO 
[32244] ADD,TViJpUe5JR,67523.11 
[32261] QUOTE,TViJpUe5JR,UMV 
[32452] CANCEL_BUY,TViJpUe5JR 
[32804] SET_SELL_TRIGGER,TViJpUe5JR,JIO,25.89 
[32887] SET_BUY_TRIGGER,TViJpUe5JR,IQZ,114.37 
[32908] SET_BUY_AMOUNT,TViJpUe5JR,ZAN,275.15 
[33225] CANCEL_SET_BUY,TViJpUe5JR,KEO 
[33250] SELL,TViJpUe5JR,JCQ,33.15 
[33440] SET_BUY_TRIGGER,TViJpUe5JR,GUB,181.19 
[33611] SET_SELL_AMOUNT,TViJpUe5JR,ZAN,233.81 
[33625] SET_SELL_TRIGGER,TViJpUe5JR,ZAN,128.65 
[33686] ADD,TViJpUe5JR,72930.83 
[33835] QUOTE,TViJpUe5JR,TOZ 
[33904] BUY,TViJpUe5JR,BRT,43.50 
[34029] COMMIT_BUY,TViJpUe5JR 
[34043] QUOTE,TViJpUe5JR,ZNW 
[34302] QUOTE,TViJpUe5JR,PVZ 
[34308] BUY,TViJpUe5JR,QAX,113.29 
[34394] DISPLAY_SUMMARY,TViJpUe5JR 
[34495] SET_BUY_AMOUNT,TViJpUe5JR,BYA,728.66 
[34515] SET_BUY_TRIGGER,TViJpUe5JR,ZCG,410.18 
[34536] DISPLAY_SUMMARY,TViJpUe5JR 
[34555] SET_BUY_TRIGGER,TViJpUe5JR,ZKV,149.81 
[34991] ADD,TViJpUe5JR,82686.54 
[35019] BUY,TViJpUe5JR,PDB,705.51 
[35126] BUY,TViJpUe5JR,MLU,370.81 
[35133] COMMIT_BUY,TViJpUe5JR 
[35329] SET_SELL_TRIGGER,TViJpUe5JR,AHE,167.01 
[35367] SET_SELL_AMOUNT,TViJpUe5JR,QJZ,101.87 
[35590] SET_SELL_TRIGGER,TViJpUe5JR,QJZ,80.13 
[35609] QUOTE,TViJpUe5JR,NGG 
[35613] BUY,TViJpUe5JR,LVT,103.65 
[35672] SELL,TViJpUe5JR,GYF,284.65 
[35707] QUOTE,TViJpUe5JR,QPR 
[35716] QUOTE,TViJpUe5JR,HNO 
[35842] QUOTE,TViJpUe5JR,VOY 
[35948] QUOTE,TViJpUe5JR,QPX 
[36112] ADD,TViJpUe5JR,102336.52 
[36161] QUOTE,TViJpUe5JR,FDI 
[36275] SET_BUY_AMOUNT,TViJpUe5JR,NHG,116.11 
[36340] SET_BUY_TRIGGER,TViJpUe5JR,HSJ,82.05 
[36400] ADD,TViJpUe5JR,57875.98 
[36401] BUY,TViJpUe5JR,YKB,648.02 
[36813] COMMIT_BUY,TViJpUe5JR 
[36874] SET_SELL_TRIGGER,TViJpUe5JR,SMS,4.01 
[36937] BUY,TViJpUe5JR,QSS,156.64 
[36959] BUY,TViJpUe5JR,EAK,89.16 
[36995] COMMIT_BUY,TViJpUe5JR 
[37018] SET_BUY_TRIGGER,TViJpUe5JR,MFY,33.51 
[37055] SET_BUY_TRIGGER,TViJpUe5JR,QJC,81.17 
[37075] DISPLAY_SUMMARY,TViJpUe5JR 
[37346] SELL,TViJpUe5JR,NHG,35.83 
[37394] COMMIT_SELL,TViJpUe5JR 
[37441] QUOTE,TViJpUe5JR,EUC 
[37783] BUY,TViJpUe5JR,FOV,272.73 
[37937] CANCEL_BUY,TViJpUe5JR 
[37940] BUY,TViJpUe5JR,WYO,75.21 
[38010] COMMIT_BUY,TViJpUe5JR 
[38157] SET_SELL_AMOUNT,TViJpUe5JR,GYF,173.94 
[38200] SET_SELL_TRIGGER,TViJpUe5JR,GYF,54.17 
[38266] ADD,TViJpUe5JR,41023.25 
[38344] QUOTE,TViJpUe5JR,YRL 
[38444] BUY,TViJpUe5JR,BPP,259.29 
[38457] COMMIT_BUY,TViJpUe5JR 
[38590] SELL,TViJpUe5JR,QAX,265.51 
[38678] COMMIT_SELL,TViJpUe5JR 
[38778] SET_SELL_TRIGGER,TViJpUe5JR,AUX,51.90 
[38798] CANCEL_SET_SELL,TViJpUe5JR,KYX 
[38964] BUY,TViJpUe5JR,JPD,247.55 
[38978] DISPLAY_SUMMARY,TViJpUe5JR 
[39028] CANCEL_SET_SELL,TViJpUe5JR,FOW 
[39381] DISPLAY_SUMMARY,TViJpUe5JR 
[39397] DISPLAY_SUMMARY,TViJpUe5JR 
[39419] SET_BUY_TRIGGER,TViJpUe5JR,XME,32.68 
[39438] CANCEL_SELL,TViJpUe5JR 
[39472] SET_SELL_AMOUNT,TViJpUe5JR,LFU,234.40 
[39587] SET_SELL_TRIGGER,TViJpUe5JR,LFU,68.37 
[39923] BUY,TViJpUe5JR,OTQ,653.02 
[39929] CANCEL_BUY,TViJpUe5JR 
[39998] CANCEL_SET_BUY,TViJpUe5JR,LJM 
[40000] ADD,TViJpUe5JR,80664.77 
[40182] BUY,TViJpUe5JR,ERF,149.07 
[40224] COMMIT_BUY,TViJpUe5JR 
[40289] ADD,TViJpUe5JR,54668.38 
[40334] QUOTE,TViJpUe5JR,IJO 
[40489] DISPLAY_SUMMARY,TViJpUe5JR 
[40552] BUY,TViJpUe5JR,LZV,430.92 
[40980] COMMIT_BUY,TViJpUe5JR 
[41007] SET_SELL_TRIGGER,TViJpUe5JR,FOV,86.30 
[41010] DISPLAY_SUMMARY,TViJpUe5JR 
[41169] SET_BUY_AMOUNT,TViJpUe5JR,UTV,509.58 
[41315] SET_BUY_TRIGGER,TViJpUe5JR,VIK,416.89 
[41351] SET_BUY_AMOUNT,TViJpUe5JR,GYF,284.50 
[41368] SET_BUY_TRIGGER,TViJpUe5JR,JEA,265.26 
[41468] CANCEL_SELL,TViJpUe5JR 
[41490] ADD,TViJpUe5JR,70829.98 
[41577] QUOTE,TViJpUe5JR,BHJ 
[41618] QUOTE,TViJpUe5JR,NDO 
[41822] QUOTE,TViJpUe5JR,NFO 
[42084] QUOTE,TViJpUe5JR,VTY 
[42195] SET_BUY_AMOUNT,TViJpUe5JR,CSZ,726.41 
[42466] SET_BUY_TRIGGER,TViJpUe5JR,MSV,436.76 
[42534] SET_SELL_TRIGGER,TViJpUe5JR,YPW,53.28 
[42535] ADD,TViJpUe5JR,78625.36 
[42590] QUOTE,TViJpUe5JR,FCH 
[42820] BUY,TViJpUe5JR,OFP,742.48 
[42828] ADD,TViJpUe5JR,87622.96 
[42875] QUOTE,TViJpUe5JR,GRD 
[42929] SET_SELL_TRIGGER,TViJpUe5JR,XXN,52.46 
[43014] SET_SELL_TRIGGER,TViJpUe5JR,XBE,4.58 
[43029] QUOTE,TViJpUe5JR,CVV 
[43107] CANCEL_BUY,TViJpUe5JR 
[43235] QUOTE,TViJpUe5JR,HZA 
[43473] SET_SELL_AMOUNT,TViJpUe5JR,EBS,471.00 
[43507] SET_SELL_TRIGGER,TViJpUe5JR,EBS,322.94 
[43511] ADD,TViJpUe5JR,58437.65 
[43585] QUOTE,TViJpUe5JR,GTX 
[43831] QUOTE,TViJpUe5JR,XNZ 
[43839] BUY,TViJpUe5JR,AMI,575.41 
[43928] COMMIT_BUY,TViJpUe5JR 
[43992] SELL,TViJpUe5JR,CSZ,511.43 
[44191] CANCEL_SET_BUY,TViJpUe5JR,KBN 
[44210] ADD,TViJpUe5JR,50452.33 
[44331] QUOTE,TViJpUe5JR,WZM 
[44629] ADD,TViJpUe5JR,57146.30 
[44824] QUOTE,TViJpUe5JR,EGB 
[44958] BUY,TViJpUe5JR,BHJ,724.50 
[45355] SET_SELL_AMOUNT,TViJpUe5JR,ZYR,274.60 
[45414] SET_SELL_TRIGGER,TViJpUe5JR,ZYR,132.58 
[45580] SET_SELL_TRIGGER,TViJpUe5JR,XXP,21.74 
[45636] DISPLAY_SUMMARY,TViJpUe5JR 
[45658] SET_BUY_AMOUNT,TViJpUe5JR,JZJ,261.99 
[45718] QUOTE,TViJpUe5JR,WNX 
[45807] BUY,TViJpUe5JR,LMO,714.01 
[45808] COMMIT_BUY,TViJpUe5JR 
[45955] SET_BUY_TRIGGER,TViJpUe5JR,PST,29.69 
[45973] DISPLAY_SUMMARY,TViJpUe5JR 
[46290] SELL,TViJpUe5JR,UTV,139.83 
[46439] SET_SELL_AMOUNT,TViJpUe5JR,RGH,59.03 
[46500] SET_SELL_TRIGGER,TViJpUe5JR,RGH,56.11 
[46523] SELL,TViJpUe5JR,QJZ,232.57 
[46652] COMMIT_SELL,TViJpUe5JR 
[46869] DISPLAY_SUMMARY,TViJpUe5JR 
[46893] SET_SELL_TRIGGER,TViJpUe5JR,MPP,158.68 
[47109] ADD,TViJpUe5JR,61253.98 
[47216] QUOTE,TViJpUe5JR,LKK 
[47254] QUOTE,TViJpUe5JR,EIH 
[47712] CANCEL_SET_SELL,TViJpUe5JR,YTY 
