[24] ADD,eGGeSBtfEQ,53788.32 
[11364] COMMIT_BUY,eGGeSBtfEQ 
[11594] ADD,eGGeSBtfEQ,63903.34 
[11689] BUY,eGGeSBtfEQ,HZP,60.84 
[11845] SET_BUY_AMOUNT,eGGeSBtfEQ,FQP,289.98 
[12021] SET_BUY_TRIGGER,eGGeSBtfEQ,MFX,251.50 
[12026] QUOTE,eGGeSBtfEQ,KZZ 
[12134] ADD,eGGeSBtfEQ,89042.09 
[12165] QUOTE,eGGeSBtfEQ,CIP 
[12251] SET_BUY_AMOUNT,eGGeSBtfEQ,QJZ,130.44 
[12252] SET_BUY_TRIGGER,eGGeSBtfEQ,ZTR,128.24 
[12475] QUOTE,eGGeSBtfEQ,NGZ 
[12539] BUY,eGGeSBtfEQ,XUH,308.44 
[12569] COMMIT_BUY,eGGeSBtfEQ 
[12695] SET_SELL_AMOUNT,eGGeSBtfEQ,KDA,118.06 
[12772] SET_SELL_TRIGGER,eGGeSBtfEQ,KDA,32.58 
[12944] DISPLAY_SUMMARY,eGGeSBtfEQ 
[13036] SET_BUY_AMOUNT,eGGeSBtfEQ,JVT,673.51 
[13044] SET_BUY_TRIGGER,eGGeSBtfEQ,LZB,483.74 
[13131] SET_BUY_AMOUNT,eGGeSBtfEQ,JVT,34.51 
[13422] SET_BUY_TRIGGER,eGGeSBtfEQ,WZM,0.87 
[13645] SELL,eGGeSBtfEQ,GYF,145.89 
[13696] CANCEL_SELL,eGGeSBtfEQ 
[13729] QUOTE,eGGeSBtfEQ,OIY 
[13784] SET_SELL_AMOUNT,eGGeSBtfEQ,JCQ,735.83 
[13796] SET_SELL_TRIGGER,eGGeSBtfEQ,JCQ,726.28 
[13841] QUOTE,eGGeSBtfEQ,MLI 
[14186] CANCEL_SET_SELL,eGGeSBtfEQ,OOR 
[14228] SET_BUY_AMOUNT,eGGeSBtfEQ,OEY,408.75 
[14283] SET_BUY_TRIGGER,eGGeSBtfEQ,QLM,292.81 
[14331] DISPLAY_SUMMARY,eGGeSBtfEQ 
[14372] SELL,eGGeSBtfEQ,FQP,474.31 
[14435] SELL,eGGeSBtfEQ,OEY,22.40 
[14610] COMMIT_SELL,eGGeSBtfEQ 
[14829] SET_BUY_AMOUNT,eGGeSBtfEQ,KES,389.58 
[14990] CANCEL_SET_BUY,eGGeSBtfEQ,HIN 
[15136] SELL,eGGeSBtfEQ,JCQ,207.67 
[15160] CANCEL_SELL,eGGeSBtfEQ 
[15183] SET_SELL_TRIGGER,eGGeSBtfEQ,IJO,188.66 
[15225] CANCEL_BUY,eGGeSBtfEQ 
[15247] ADD,eGGeSBtfEQ,64794.37 
[15329] BUY,eGGeSBtfEQ,FVD,13.76 
[15343] CANCEL_BUY,eGGeSBtfEQ 
[15442] SET_BUY_TRIGGER,eGGeSBtfEQ,TSU,109.60 
[15482] CANCEL_SELL,eGGeSBtfEQ 
[15534] ADD,eGGeSBtfEQ,76689.71 
[15580] QUOTE,eGGeSBtfEQ,YIQ 
[15929] ADD,eGGeSBtfEQ,71837.94 
[16055] BUY,eGGeSBtfEQ,IPJ,748.23 
[16153] COMMIT_BUY,eGGeSBtfEQ 
[16220] QUOTE,eGGeSBtfEQ,NTB 
[16278] BUY,eGGeSBtfEQ,QPZ,640.21 
[16546] SET_BUY_AMOUNT,eGGeSBtfEQ,KES,149.49 
[16548] SET_BUY_TRIGGER,eGGeSBtfEQ,RYU,18.48 
[16603] DISPLAY_SUMMARY,eGGeSBtfEQ 
[16637] SET_BUY_AMOUNT,eGGeSBtfEQ,OEY,723.77 
[16646] SET_BUY_TRIGGER,eGGeSBtfEQ,PPY,666.72 
[16722] CANCEL_SELL,eGGeSBtfEQ 
[16760] BUY,eGGeSBtfEQ,PVZ,545.25 
[17094] SET_BUY_TRIGGER,eGGeSBtfEQ,RQL,132.48 
[17366] DISPLAY_SUMMARY,eGGeSBtfEQ 
[17415] SET_SELL_AMOUNT,eGGeSBtfEQ,JCQ,705.11 
[17554] BUY,eGGeSBtfEQ,IKK,263.61 
[17623] COMMIT_BUY,eGGeSBtfEQ 
[17715] SET_BUY_AMOUNT,eGGeSBtfEQ,EBS,649.41 
[17882] SELL,eGGeSBtfEQ,GYF,487.10 
[17906] CANCEL_SET_BUY,eGGeSBtfEQ,QXW 
[17916] ADD,eGGeSBtfEQ,70225.34 
[17953] BUY,eGGeSBtfEQ,TKM,377.23 
[18058] CANCEL_BUY,eGGeSBtfEQ 
[18078] COMMIT_SELL,eGGeSBtfEQ 
[18567] DISPLAY_SUMMARY,eGGeSBtfEQ 
[18603] ADD,eGGeSBtfEQ,46508.90 
[18835] QUOTE,eGGeSBtfEQ,BFL 
[18860] DISPLAY_SUMMARY,eGGeSBtfEQ 
[18922] BUY,eGGeSBtfEQ,LZV,173.89 
[18936] SET_BUY_TRIGGER,eGGeSBtfEQ,BLC,123.72 
[19120] BUY,eGGeSBtfEQ,NSN,490.02 
[19136] COMMIT_BUY,eGGeSBtfEQ 
[19211] SET_BUY_TRIGGER,eGGeSBtfEQ,MIU,65.48 
[19327] SELL,eGGeSBtfEQ,JVT,451.83 
[19356] COMMIT_SELL,eGGeSBtfEQ 
[19378] CANCEL_BUY,eGGeSBtfEQ 
[19383] SELL,eGGeSBtfEQ,JCQ,600.32 
[19413] COMMIT_SELL,eGGeSBtfEQ 
[19440] ADD,eGGeSBtfEQ,63724.01 
[19563] QUOTE,eGGeSBtfEQ,YNY 
[19772] QUOTE,eGGeSBtfEQ,KES 
[19972] QUOTE,eGGeSBtfEQ,BHJ 
[20155] QUOTE,eGGeSBtfEQ,XSS 
[20389] QUOTE,eGGeSBtfEQ,ZOT 
[20681] DISPLAY_SUMMARY,eGGeSBtfEQ 
[20741] ADD,eGGeSBtfEQ,65966.89 
[20880] BUY,eGGeSBtfEQ,SXB,323.86 
[21003] SELL,eGGeSBtfEQ,KES,683.32 
[21064] SET_SELL_AMOUNT,eGGeSBtfEQ,JRJ,288.13 
[21080] DISPLAY_SUMMARY,eGGeSBtfEQ 
[21283] SET_SELL_TRIGGER,eGGeSBtfEQ,JRJ,226.51 
[21378] ADD,eGGeSBtfEQ,52564.54 
[21688] QUOTE,eGGeSBtfEQ,NDD 
[21703] BUY,eGGeSBtfEQ,RDN,505.14 
[21799] SET_BUY_TRIGGER,eGGeSBtfEQ,ZUV,14.93 
[21901] ADD,eGGeSBtfEQ,82453.59 
[21972] QUOTE,eGGeSBtfEQ,XQG 
[22234] QUOTE,eGGeSBtfEQ,IHW 
[22356] QUOTE,eGGeSBtfEQ,RRE 
[22455] ADD,eGGeSBtfEQ,49003.54 
[22542] QUOTE,eGGeSBtfEQ,EDM 
[22605] CANCEL_SET_BUY,eGGeSBtfEQ,FYA 
[22733] CANCEL_SET_SELL,eGGeSBtfEQ,XQG 
[22772] ADD,eGGeSBtfEQ,66016.59 
[22789] BUY,eGGeSBtfEQ,OAV,605.58 
[22795] CANCEL_SELL,eGGeSBtfEQ 
[22910] SET_SELL_AMOUNT,eGGeSBtfEQ,QJZ,589.76 
[22958] SET_SELL_TRIGGER,eGGeSBtfEQ,QJZ,135.28 
[23024] DISPLAY_SUMMARY,eGGeSBtfEQ 
[23080] SET_BUY_AMOUNT,eGGeSBtfEQ,QAX,612.54 
[23403] CANCEL_SET_BUY,eGGeSBtfEQ,AOC 
[23411] SET_BUY_TRIGGER,eGGeSBtfEQ,LJY,151.08 
[23535] COMMIT_SELL,eGGeSBtfEQ 
[23548] SET_SELL_TRIGGER,eGGeSBtfEQ,OTQ,171.29 
[23652] BUY,eGGeSBtfEQ,IVV,143.41 
[24254] COMMIT_BUY,eGGeSBtfEQ 
[24287] ADD,eGGeSBtfEQ,81036.15 
[24386] SELL,eGGeSBtfEQ,QJZ,10.74 
[24457] COMMIT_SELL,eGGeSBtfEQ 
[24845] QUOTE,eGGeSBtfEQ,NHB 
[24912] BUY,eGGeSBtfEQ,WKE,34.12 
[25059] CANCEL_SELL,eGGeSBtfEQ 
[25140] COMMIT_BUY,eGGeSBtfEQ 
[25175] SELL,eGGeSBtfEQ,EBS,391.58 
[25295] SET_SELL_TRIGGER,eGGeSBtfEQ,DBS,141.63 
[25380] ADD,eGGeSBtfEQ,92182.73 
[25476] QUOTE,eGGeSBtfEQ,UDQ 
[25477] QUOTE,eGGeSBtfEQ,FKI 
[25613] CANCEL_SET_BUY,eGGeSBtfEQ,GCL 
[25677] BUY,eGGeSBtfEQ,EGX,69.41 
[25717] CANCEL_BUY,eGGeSBtfEQ 
[25757] SET_SELL_AMOUNT,eGGeSBtfEQ,KDA,336.34 
[25853] SET_SELL_TRIGGER,eGGeSBtfEQ,KDA,309.01 
[25964] ADD,eGGeSBtfEQ,87058.36 
[26062] QUOTE,eGGeSBtfEQ,VNF 
[26119] BUY,eGGeSBtfEQ,OGB,474.15 
[26135] SET_SELL_AMOUNT,eGGeSBtfEQ,JVT,47.51 
[26171] SET_SELL_TRIGGER,eGGeSBtfEQ,JVT,12.63 
[26187] BUY,eGGeSBtfEQ,SJH,264.76 
[26190] COMMIT_BUY,eGGeSBtfEQ 
[26438] QUOTE,eGGeSBtfEQ,TOL 
[26525] SET_SELL_TRIGGER,eGGeSBtfEQ,IEQ,29.35 
[26554] ADD,eGGeSBtfEQ,71238.31 
[26705] QUOTE,eGGeSBtfEQ,HRJ 
[26729] SELL,eGGeSBtfEQ,OEY,399.46 
[26809] SET_BUY_TRIGGER,eGGeSBtfEQ,KBI,198.14 
[26822] DISPLAY_SUMMARY,eGGeSBtfEQ 
[27064] QUOTE,eGGeSBtfEQ,LBC 
[27167] QUOTE,eGGeSBtfEQ,GDO 
[27194] SET_BUY_TRIGGER,eGGeSBtfEQ,LPB,185.35 
[27305] ADD,eGGeSBtfEQ,93508.84 
[27470] QUOTE,eGGeSBtfEQ,TVX 
[27627] DISPLAY_SUMMARY,eGGeSBtfEQ 
[27658] CANCEL_SET_SELL,eGGeSBtfEQ,ONI 
[27677] DISPLAY_SUMMARY,eGGeSBtfEQ 
[27690] SELL,eGGeSBtfEQ,JCQ,297.11 
[27691] CANCEL_BUY,eGGeSBtfEQ 
[27813] DISPLAY_SUMMARY,eGGeSBtfEQ 
[27840] SET_SELL_AMOUNT,eGGeSBtfEQ,EBS,726.09 
[27973] SET_SELL_TRIGGER,eGGeSBtfEQ,EBS,49.25 
[28284] SELL,eGGeSBtfEQ,KES,589.57 
[28366] QUOTE,eGGeSBtfEQ,KZZ 
[28372] BUY,eGGeSBtfEQ,YOQ,563.85 
[28591] COMMIT_BUY,eGGeSBtfEQ 
[28630] ADD,eGGeSBtfEQ,70823.85 
[28904] BUY,eGGeSBtfEQ,PGV,199.98 
[28979] BUY,eGGeSBtfEQ,AOC,6.69 
[28992] COMMIT_BUY,eGGeSBtfEQ 
[29323] QUOTE,eGGeSBtfEQ,RVU 
[29380] SET_BUY_AMOUNT,eGGeSBtfEQ,QJZ,487.78 
[29509] SET_BUY_TRIGGER,eGGeSBtfEQ,FRB,392.32 
[29583] BUY,eGGeSBtfEQ,VDP,305.04 
[29780] CANCEL_BUY,eGGeSBtfEQ 
[29839] QUOTE,eGGeSBtfEQ,JSM 
[29861] QUOTE,eGGeSBtfEQ,BLC 
[29960] SELL,eGGeSBtfEQ,LFU,353.68 
[30031] COMMIT_SELL,eGGeSBtfEQ 
[30167] ADD,eGGeSBtfEQ,84912.69 
[30292] CANCEL_SET_SELL,eGGeSBtfEQ,ZCQ 
[30476] SET_SELL_TRIGGER,eGGeSBtfEQ,WKD,74.31 
[30589] SET_BUY_TRIGGER,eGGeSBtfEQ,BPK,139.99 
[30605] ADD,eGGeSBtfEQ,69179.54 
[30625] QUOTE,eGGeSBtfEQ,DJD 
[30701] COMMIT_SELL,eGGeSBtfEQ 
[30836] ADD,eGGeSBtfEQ,62084.98 
[30908] BUY,eGGeSBtfEQ,OYS,415.71 
[31075] BUY,eGGeSBtfEQ,ESN,86.55 
[31107] CANCEL_BUY,eGGeSBtfEQ 
[31131] ADD,eGGeSBtfEQ,74174.31 
[31611] BUY,eGGeSBtfEQ,XEA,602.73 
[31650] QUOTE,eGGeSBtfEQ,YOQ 
[31717] BUY,eGGeSBtfEQ,PYB,736.64 
[31847] COMMIT_BUY,eGGeSBtfEQ 
[31863] SET_SELL_TRIGGER,eGGeSBtfEQ,LHC,185.96 
[32040] SET_BUY_AMOUNT,eGGeSBtfEQ,OEY,661.30 
[32107] SET_BUY_TRIGGER,eGGeSBtfEQ,AQO,362.93 
[32264] BUY,eGGeSBtfEQ,GTN,389.78 
[32376] ADD,eGGeSBtfEQ,92544.49 
[32458] QUOTE,eGGeSBtfEQ,NQU 
[32508] DISPLAY_SUMMARY,eGGeSBtfEQ 
[32579] ADD,eGGeSBtfEQ,103122.89 
[32803] BUY,eGGeSBtfEQ,NJB,632.53 
[32879] CANCEL_SET_BUY,eGGeSBtfEQ,LSW 
[33094] ADD,eGGeSBtfEQ,54901.55 
[33326] CANCEL_SET_BUY,eGGeSBtfEQ,HZP 
[33444] CANCEL_SET_SELL,eGGeSBtfEQ,BFB 
[33448] ADD,eGGeSBtfEQ,77815.84 
[33472] BUY,eGGeSBtfEQ,KAH,184.45 
[33593] CANCEL_BUY,eGGeSBtfEQ 
[33602] SET_SELL_TRIGGER,eGGeSBtfEQ,LUT,152.51 
[33629] QUOTE,eGGeSBtfEQ,IUN 
[33655] QUOTE,eGGeSBtfEQ,PSJ 
[33761] QUOTE,eGGeSBtfEQ,DBC 
[33856] SET_BUY_AMOUNT,eGGeSBtfEQ,ZAN,438.01 
[34075] SET_BUY_TRIGGER,eGGeSBtfEQ,GTN,323.97 
[34296] ADD,eGGeSBtfEQ,84055.44 
[34299] BUY,eGGeSBtfEQ,SYM,568.55 
[34387] SET_SELL_AMOUNT,eGGeSBtfEQ,JQO,679.75 
[34540] SET_SELL_TRIGGER,eGGeSBtfEQ,JQO,332.80 
[34610] SELL,eGGeSBtfEQ,BYA,438.36 
[34864] COMMIT_SELL,eGGeSBtfEQ 
[35052] SET_SELL_AMOUNT,eGGeSBtfEQ,JVT,283.13 
[35097] SET_SELL_TRIGGER,eGGeSBtfEQ,JVT,0.75 
[35132] SET_BUY_AMOUNT,eGGeSBtfEQ,BYA,687.33 
[35150] CANCEL_SET_BUY,eGGeSBtfEQ,XXQ 
[35240] SET_BUY_AMOUNT,eGGeSBtfEQ,BYA,334.99 
[35270] SET_BUY_TRIGGER,eGGeSBtfEQ,VYQ,270.19 
[35490] BUY,eGGeSBtfEQ,YMG,87.97 
[35504] ADD,eGGeSBtfEQ,73023.55 
[35555] BUY,eGGeSBtfEQ,YZC,365.63 
[35692] SET_BUY_AMOUNT,eGGeSBtfEQ,JCQ,293.21 
[35740] SET_BUY_TRIGGER,eGGeSBtfEQ,JIC,169.67 
[36029] SET_BUY_AMOUNT,eGGeSBtfEQ,JRJ,235.31 
[36098] SET_BUY_TRIGGER,eGGeSBtfEQ,YBO,130.48 
[36114] ADD,eGGeSBtfEQ,83530.39 
[36181] BUY,eGGeSBtfEQ,SPT,8.65 
[36211] CANCEL_BUY,eGGeSBtfEQ 
[36293] QUOTE,eGGeSBtfEQ,MWB 
[36568] BUY,eGGeSBtfEQ,MFX,240.35 
[36702] QUOTE,eGGeSBtfEQ,GDF 
[36717] QUOTE,eGGeSBtfEQ,FMJ 
[36722] CANCEL_SELL,eGGeSBtfEQ 
[36810] ADD,eGGeSBtfEQ,67985.44 
[36899] BUY,eGGeSBtfEQ,RFI,220.77 
[36969] COMMIT_BUY,eGGeSBtfEQ 
[37035] SET_BUY_AMOUNT,eGGeSBtfEQ,KES,327.47 
[37135] SET_BUY_TRIGGER,eGGeSBtfEQ,NHB,99.57 
[37286] ADD,eGGeSBtfEQ,74675.11 
[37313] COMMIT_BUY,eGGeSBtfEQ 
[37487] ADD,eGGeSBtfEQ,61897.48 
[37702] BUY,eGGeSBtfEQ,PIE,41.73 
[37723] CANCEL_BUY,eGGeSBtfEQ 
[37815] BUY,eGGeSBtfEQ,NGH,558.51 
[38067] COMMIT_BUY,eGGeSBtfEQ 
[38150] SELL,eGGeSBtfEQ,FQP,509.56 
[38170] CANCEL_SELL,eGGeSBtfEQ 
[38182] BUY,eGGeSBtfEQ,MQF,68.46 
[38234] COMMIT_BUY,eGGeSBtfEQ 
[38288] SET_SELL_AMOUNT,eGGeSBtfEQ,RUN,278.86 
[38343] SET_SELL_TRIGGER,eGGeSBtfEQ,RUN,15.41 
[38352] SET_SELL_AMOUNT,eGGeSBtfEQ,NHG,316.87 
[38387] CANCEL_SET_SELL,eGGeSBtfEQ,NHG 
[38655] ADD,eGGeSBtfEQ,98649.18 
[38693] QUOTE,eGGeSBtfEQ,MXN 
[38873] BUY,eGGeSBtfEQ,WHR,590.11 
[38936] COMMIT_BUY,eGGeSBtfEQ 
[39020] SET_BUY_TRIGGER,eGGeSBtfEQ,VMK,191.17 
[39205] SET_SELL_AMOUNT,eGGeSBtfEQ,FQP,515.92 
[39240] SELL,eGGeSBtfEQ,QAX,270.72 
[39530] CANCEL_SELL,eGGeSBtfEQ 
[39858] SET_SELL_AMOUNT,eGGeSBtfEQ,ZAN,498.33 
[40021] BUY,eGGeSBtfEQ,HHG,456.43 
[40133] CANCEL_BUY,eGGeSBtfEQ 
[40184] QUOTE,eGGeSBtfEQ,HZP 
[40230] ADD,eGGeSBtfEQ,88651.93 
[40233] QUOTE,eGGeSBtfEQ,VEX 
[40382] BUY,eGGeSBtfEQ,NHB,55.12 
[40472] CANCEL_SELL,eGGeSBtfEQ 
[40559] SET_SELL_TRIGGER,eGGeSBtfEQ,ZAN,359.95 
[40580] SELL,eGGeSBtfEQ,BYA,62.72 
[40678] COMMIT_SELL,eGGeSBtfEQ 
[40784] QUOTE,eGGeSBtfEQ,OOR 
[40786] SET_BUY_AMOUNT,eGGeSBtfEQ,OEY,551.04 
[40930] SET_BUY_TRIGGER,eGGeSBtfEQ,KMZ,151.43 
[40941] DISPLAY_SUMMARY,eGGeSBtfEQ 
[41044] SET_BUY_AMOUNT,eGGeSBtfEQ,JCQ,138.98 
[41061] SET_BUY_TRIGGER,eGGeSBtfEQ,WJP,106.54 
[41078] SET_SELL_TRIGGER,eGGeSBtfEQ,PFN,35.42 
[41432] SET_SELL_AMOUNT,eGGeSBtfEQ,RUN,77.57 
[41567] SELL,eGGeSBtfEQ,JQO,197.22 
[41676] QUOTE,eGGeSBtfEQ,ZEU 
[41689] SET_BUY_AMOUNT,eGGeSBtfEQ,FQP,390.81 
[41752] SET_BUY_TRIGGER,eGGeSBtfEQ,IHA,67.63 
[41945] BUY,eGGeSBtfEQ,ZCQ,247.37 
[41949] COMMIT_BUY,eGGeSBtfEQ 
[42016] BUY,eGGeSBtfEQ,OKK,631.65 
[42156] SET_SELL_TRIGGER,eGGeSBtfEQ,RUN,14.98 
[42187] CANCEL_BUY,eGGeSBtfEQ 
[42210] SET_BUY_TRIGGER,eGGeSBtfEQ,WSR,68.84 
[42224] SET_SELL_AMOUNT,eGGeSBtfEQ,NHG,94.02 
[42231] SET_SELL_TRIGGER,eGGeSBtfEQ,NHG,78.23 
[42289] DISPLAY_SUMMARY,eGGeSBtfEQ 
[42348] SET_BUY_AMOUNT,eGGeSBtfEQ,EBS,57.99 
[42539] DISPLAY_SUMMARY,eGGeSBtfEQ 
[42604] SET_SELL_AMOUNT,eGGeSBtfEQ,GYF,261.41 
[42808] SET_SELL_TRIGGER,eGGeSBtfEQ,GYF,167.39 
[42830] SELL,eGGeSBtfEQ,RUN,60.97 
[42855] SET_SELL_TRIGGER,eGGeSBtfEQ,BFL,184.93 
[42904] QUOTE,eGGeSBtfEQ,ZMS 
[42996] BUY,eGGeSBtfEQ,FPI,116.35 
[43068] COMMIT_BUY,eGGeSBtfEQ 
[43145] DISPLAY_SUMMARY,eGGeSBtfEQ 
[43196] SET_BUY_TRIGGER,eGGeSBtfEQ,DPG,21.50 
[43232] SELL,eGGeSBtfEQ,BYA,188.32 
[43333] COMMIT_SELL,eGGeSBtfEQ 
[43466] CANCEL_SET_SELL,eGGeSBtfEQ,NJI 
[43496] ADD,eGGeSBtfEQ,53258.13 
[43512] BUY,eGGeSBtfEQ,SIK,382.53 
[43560] BUY,eGGeSBtfEQ,PIE,448.66 
[43664] COMMIT_BUY,eGGeSBtfEQ 
[43807] QUOTE,eGGeSBtfEQ,GCL 
