[125] ADD,8xgyjkdphP,60498.96 
[24624] BUY,8xgyjkdphP,STT,347.64 
[24656] COMMIT_BUY,8xgyjkdphP 
[24682] ADD,8xgyjkdphP,93179.74 
[24811] BUY,8xgyjkdphP,DIX,552.46 
[24827] COMMIT_BUY,8xgyjkdphP 
[24862] SET_BUY_AMOUNT,8xgyjkdphP,OEY,420.53 
[24948] SET_BUY_TRIGGER,8xgyjkdphP,GFN,151.47 
[25209] ADD,8xgyjkdphP,50598.56 
[25257] BUY,8xgyjkdphP,YBB,320.69 
[25441] SELL,8xgyjkdphP,FQP,412.34 
[25666] COMMIT_SELL,8xgyjkdphP 
[25750] QUOTE,8xgyjkdphP,GHE 
[25958] QUOTE,8xgyjkdphP,ZJG 
[25980] QUOTE,8xgyjkdphP,CCH 
[26036] ADD,8xgyjkdphP,89010.19 
[26359] SELL,8xgyjkdphP,ZAN,86.96 
[26503] COMMIT_SELL,8xgyjkdphP 
[26780] SET_SELL_TRIGGER,8xgyjkdphP,ZAN,435.94 
[26804] SET_SELL_TRIGGER,8xgyjkdphP,KLY,77.45 
[27030] DISPLAY_SUMMARY,8xgyjkdphP 
[27050] ADD,8xgyjkdphP,78589.07 
[27127] QUOTE,8xgyjkdphP,SKC 
[27182] SET_BUY_AMOUNT,8xgyjkdphP,KES,333.74 
[27201] CANCEL_SET_BUY,8xgyjkdphP,RNE 
[27262] DISPLAY_SUMMARY,8xgyjkdphP 
[27270] SET_BUY_TRIGGER,8xgyjkdphP,OGR,47.71 
[27373] QUOTE,8xgyjkdphP,OKK 
[27391] SELL,8xgyjkdphP,JVT,153.93 
[27734] CANCEL_SET_SELL,8xgyjkdphP,AEM 
[27787] ADD,8xgyjkdphP,92252.74 
[27996] QUOTE,8xgyjkdphP,XOM 
[28105] COMMIT_BUY,8xgyjkdphP 
[28110] QUOTE,8xgyjkdphP,BTA 
[28165] CANCEL_SET_BUY,8xgyjkdphP,ZKV 
[28167] SELL,8xgyjkdphP,OEY,719.54 
[28215] DISPLAY_SUMMARY,8xgyjkdphP 
[28276] SET_BUY_AMOUNT,8xgyjkdphP,QJZ,676.98 
[28389] SET_BUY_TRIGGER,8xgyjkdphP,RWY,479.59 
[28579] ADD,8xgyjkdphP,58240.62 
[28667] QUOTE,8xgyjkdphP,JIC 
[28710] SET_SELL_AMOUNT,8xgyjkdphP,JQO,480.42 
[28736] SET_SELL_TRIGGER,8xgyjkdphP,JQO,76.02 
[28808] QUOTE,8xgyjkdphP,ALM 
[28906] SET_SELL_AMOUNT,8xgyjkdphP,GYF,127.10 
[28910] QUOTE,8xgyjkdphP,FFZ 
[29143] CANCEL_SELL,8xgyjkdphP 
[29177] DISPLAY_SUMMARY,8xgyjkdphP 
[29225] SET_SELL_TRIGGER,8xgyjkdphP,GYF,49.69 
[29397] SET_BUY_TRIGGER,8xgyjkdphP,MVQ,40.96 
[29412] CANCEL_SET_BUY,8xgyjkdphP,NXF 
[29540] SET_BUY_TRIGGER,8xgyjkdphP,NOP,13.41 
[29566] SET_SELL_TRIGGER,8xgyjkdphP,UTD,40.63 
[29612] COMMIT_SELL,8xgyjkdphP 
[29874] QUOTE,8xgyjkdphP,PBX 
[30078] DISPLAY_SUMMARY,8xgyjkdphP 
[30218] ADD,8xgyjkdphP,58745.77 
[30310] BUY,8xgyjkdphP,LAW,531.74 
[30495] COMMIT_BUY,8xgyjkdphP 
[30577] QUOTE,8xgyjkdphP,ALV 
[30688] BUY,8xgyjkdphP,MQP,594.41 
[30696] SELL,8xgyjkdphP,LFU,191.37 
[30820] COMMIT_SELL,8xgyjkdphP 
[30980] SET_BUY_AMOUNT,8xgyjkdphP,LFU,411.86 
[31153] SET_BUY_TRIGGER,8xgyjkdphP,CXC,178.11 
[31211] ADD,8xgyjkdphP,80331.38 
[31293] QUOTE,8xgyjkdphP,BYA 
[31457] CANCEL_SET_SELL,8xgyjkdphP,ATE 
[31527] DISPLAY_SUMMARY,8xgyjkdphP 
[31632] SELL,8xgyjkdphP,QAX,416.54 
[31915] CANCEL_SELL,8xgyjkdphP 
[32170] QUOTE,8xgyjkdphP,ENQ 
[32186] QUOTE,8xgyjkdphP,PIC 
[32213] SET_BUY_TRIGGER,8xgyjkdphP,YEW,91.15 
[32234] ADD,8xgyjkdphP,58569.77 
[32383] BUY,8xgyjkdphP,JPD,508.44 
[32437] COMMIT_BUY,8xgyjkdphP 
[32865] ADD,8xgyjkdphP,68646.06 
[32927] QUOTE,8xgyjkdphP,JGY 
[33072] SET_BUY_AMOUNT,8xgyjkdphP,NHG,683.23 
[33074] SET_BUY_TRIGGER,8xgyjkdphP,GXT,55.14 
[33088] SET_SELL_AMOUNT,8xgyjkdphP,OEY,535.41 
[33132] SET_SELL_TRIGGER,8xgyjkdphP,OEY,84.54 
[33157] BUY,8xgyjkdphP,FUR,391.74 
[33265] COMMIT_BUY,8xgyjkdphP 
[33368] BUY,8xgyjkdphP,XYV,112.18 
[33415] COMMIT_BUY,8xgyjkdphP 
[33426] SET_SELL_TRIGGER,8xgyjkdphP,DLX,33.96 
[33552] ADD,8xgyjkdphP,85706.11 
[33861] SET_SELL_AMOUNT,8xgyjkdphP,RUN,566.86 
[34232] SET_SELL_TRIGGER,8xgyjkdphP,RUN,502.99 
[34524] SELL,8xgyjkdphP,BYA,60.36 
[34616] COMMIT_SELL,8xgyjkdphP 
[34625] SET_BUY_AMOUNT,8xgyjkdphP,EBS,254.65 
[34722] SET_BUY_TRIGGER,8xgyjkdphP,FQR,200.95 
[34845] SET_BUY_AMOUNT,8xgyjkdphP,JCQ,74.17 
[34849] CANCEL_SET_BUY,8xgyjkdphP,WAO 
[34861] ADD,8xgyjkdphP,42664.25 
[34958] QUOTE,8xgyjkdphP,SEI 
[34983] DISPLAY_SUMMARY,8xgyjkdphP 
[35064] SET_SELL_AMOUNT,8xgyjkdphP,QAX,6.10 
[35072] SET_SELL_TRIGGER,8xgyjkdphP,QAX,1.72 
[35376] SET_SELL_AMOUNT,8xgyjkdphP,DFE,694.20 
[35433] SET_SELL_TRIGGER,8xgyjkdphP,DFE,55.36 
[35505] ADD,8xgyjkdphP,39221.83 
[35814] BUY,8xgyjkdphP,QPZ,100.00 
[35824] CANCEL_SET_BUY,8xgyjkdphP,VKP 
[35947] SELL,8xgyjkdphP,OEY,598.89 
[36123] COMMIT_SELL,8xgyjkdphP 
[36331] ADD,8xgyjkdphP,64876.70 
[36343] BUY,8xgyjkdphP,MIR,282.30 
[36440] COMMIT_BUY,8xgyjkdphP 
[36441] QUOTE,8xgyjkdphP,BJL 
[36572] QUOTE,8xgyjkdphP,LLO 
[36753] SET_BUY_AMOUNT,8xgyjkdphP,EBS,172.26 
[36821] SET_BUY_TRIGGER,8xgyjkdphP,WQC,95.84 
[36864] SELL,8xgyjkdphP,EBS,130.79 
[36865] COMMIT_SELL,8xgyjkdphP 
[36981] SET_SELL_AMOUNT,8xgyjkdphP,YJK,437.08 
[37004] SET_SELL_TRIGGER,8xgyjkdphP,YJK,422.49 
[37086] SET_BUY_TRIGGER,8xgyjkdphP,IAV,37.72 
[37236] BUY,8xgyjkdphP,EGX,645.70 
[37413] COMMIT_BUY,8xgyjkdphP 
[37451] SET_BUY_TRIGGER,8xgyjkdphP,SAJ,104.11 
[37453] SET_SELL_TRIGGER,8xgyjkdphP,ZYR,145.63 
[37471] BUY,8xgyjkdphP,MPP,226.34 
[37531] COMMIT_BUY,8xgyjkdphP 
[37545] DISPLAY_SUMMARY,8xgyjkdphP 
[37857] SELL,8xgyjkdphP,BCQ,674.75 
[37908] COMMIT_SELL,8xgyjkdphP 
[38089] SET_SELL_AMOUNT,8xgyjkdphP,BYA,25.75 
[38108] SET_SELL_TRIGGER,8xgyjkdphP,BYA,0.76 
[38188] QUOTE,8xgyjkdphP,JGG 
[38287] COMMIT_BUY,8xgyjkdphP 
[38304] ADD,8xgyjkdphP,67726.19 
[38528] BUY,8xgyjkdphP,YLZ,726.35 
[38569] COMMIT_BUY,8xgyjkdphP 
[38592] SET_SELL_TRIGGER,8xgyjkdphP,XBE,193.32 
[38673] SET_BUY_AMOUNT,8xgyjkdphP,XXQ,131.73 
[38763] SET_BUY_TRIGGER,8xgyjkdphP,LCP,121.64 
[39061] SET_SELL_TRIGGER,8xgyjkdphP,VOU,189.77 
[39078] CANCEL_SET_BUY,8xgyjkdphP,AOC 
[39109] QUOTE,8xgyjkdphP,XFA 
[39188] ADD,8xgyjkdphP,65108.68 
[39216] QUOTE,8xgyjkdphP,HGG 
[39236] BUY,8xgyjkdphP,IPJ,335.42 
[39266] SET_BUY_AMOUNT,8xgyjkdphP,OEY,725.24 
[39350] SET_BUY_TRIGGER,8xgyjkdphP,FZB,366.50 
[39503] SET_SELL_AMOUNT,8xgyjkdphP,UTV,676.23 
[39516] SET_SELL_TRIGGER,8xgyjkdphP,UTV,397.15 
[39517] CANCEL_SET_BUY,8xgyjkdphP,OYX 
[39651] SELL,8xgyjkdphP,BCQ,490.01 
[39660] BUY,8xgyjkdphP,RFI,233.02 
[39675] SET_BUY_TRIGGER,8xgyjkdphP,RRE,153.15 
[39702] QUOTE,8xgyjkdphP,FXT 
[39705] SET_BUY_TRIGGER,8xgyjkdphP,MXN,14.97 
[39737] ADD,8xgyjkdphP,63366.42 
[39817] BUY,8xgyjkdphP,KPE,31.21 
[39833] DISPLAY_SUMMARY,8xgyjkdphP 
[40141] COMMIT_SELL,8xgyjkdphP 
[40150] SELL,8xgyjkdphP,NHG,292.84 
[40174] QUOTE,8xgyjkdphP,PXF 
[40298] SET_BUY_AMOUNT,8xgyjkdphP,ZAN,24.24 
[40560] CANCEL_SET_BUY,8xgyjkdphP,JFF 
[40713] SET_SELL_AMOUNT,8xgyjkdphP,BYA,369.19 
[40938] SET_SELL_TRIGGER,8xgyjkdphP,BYA,176.01 
[41009] ADD,8xgyjkdphP,54830.25 
[41151] QUOTE,8xgyjkdphP,WRJ 
[41222] BUY,8xgyjkdphP,BRZ,388.07 
[41251] CANCEL_SET_BUY,8xgyjkdphP,EUC 
[41286] SET_SELL_TRIGGER,8xgyjkdphP,ZMK,127.80 
[41352] SET_BUY_AMOUNT,8xgyjkdphP,JRJ,172.13 
[41607] SET_BUY_TRIGGER,8xgyjkdphP,QNW,76.32 
[41777] ADD,8xgyjkdphP,44384.84 
[41796] CANCEL_SET_SELL,8xgyjkdphP,BPP 
[41838] SET_BUY_AMOUNT,8xgyjkdphP,KES,720.96 
[42011] SET_BUY_TRIGGER,8xgyjkdphP,JDO,413.52 
[42119] COMMIT_SELL,8xgyjkdphP 
[42142] SET_SELL_AMOUNT,8xgyjkdphP,QJZ,587.06 
[42459] SET_SELL_TRIGGER,8xgyjkdphP,QJZ,583.20 
[42568] SELL,8xgyjkdphP,JQO,504.33 
[42612] CANCEL_SELL,8xgyjkdphP 
[42667] SELL,8xgyjkdphP,DFE,410.03 
[42787] SET_SELL_AMOUNT,8xgyjkdphP,RGH,238.54 
[42865] SET_SELL_TRIGGER,8xgyjkdphP,RGH,194.71 
[42884] ADD,8xgyjkdphP,76062.46 
[42918] QUOTE,8xgyjkdphP,WTL 
[42936] ADD,8xgyjkdphP,76046.93 
[42960] QUOTE,8xgyjkdphP,YNH 
[42994] SELL,8xgyjkdphP,BYA,416.50 
[43036] SET_BUY_AMOUNT,8xgyjkdphP,RUN,515.43 
[43569] SELL,8xgyjkdphP,OEY,247.57 
[43745] ADD,8xgyjkdphP,60361.88 
[43754] SET_BUY_TRIGGER,8xgyjkdphP,AOU,129.38 
[43829] ADD,8xgyjkdphP,63383.22 
[44086] BUY,8xgyjkdphP,EUC,460.71 
[44172] COMMIT_BUY,8xgyjkdphP 
[44316] QUOTE,8xgyjkdphP,ZCQ 
[44425] SET_BUY_AMOUNT,8xgyjkdphP,OEY,260.26 
[44507] SET_BUY_TRIGGER,8xgyjkdphP,VJV,156.76 
[44638] BUY,8xgyjkdphP,MIR,188.76 
[44700] COMMIT_BUY,8xgyjkdphP 
[44717] SET_SELL_TRIGGER,8xgyjkdphP,YNH,93.53 
[44998] ADD,8xgyjkdphP,79403.08 
[45062] QUOTE,8xgyjkdphP,SQO 
[45188] BUY,8xgyjkdphP,QBD,374.48 
[45212] CANCEL_BUY,8xgyjkdphP 
[45346] QUOTE,8xgyjkdphP,IUN 
[45629] BUY,8xgyjkdphP,EAK,740.52 
[45770] COMMIT_BUY,8xgyjkdphP 
[45929] ADD,8xgyjkdphP,58619.28 
[46011] BUY,8xgyjkdphP,YZH,724.65 
[46162] QUOTE,8xgyjkdphP,TAR 
[46328] SELL,8xgyjkdphP,QJZ,530.61 
[46367] COMMIT_SELL,8xgyjkdphP 
[46377] ADD,8xgyjkdphP,68519.37 
[46472] BUY,8xgyjkdphP,COE,305.58 
[46503] COMMIT_BUY,8xgyjkdphP 
[47014] SET_BUY_TRIGGER,8xgyjkdphP,XBE,91.91 
[47027] ADD,8xgyjkdphP,79315.21 
[47175] CANCEL_SELL,8xgyjkdphP 
[47183] BUY,8xgyjkdphP,CVK,309.97 
[47327] ADD,8xgyjkdphP,68670.99 
[47418] BUY,8xgyjkdphP,ZFK,550.48 
[47637] SET_SELL_TRIGGER,8xgyjkdphP,YAV,167.60 
[48015] SET_SELL_AMOUNT,8xgyjkdphP,QAX,568.72 
[48063] DISPLAY_SUMMARY,8xgyjkdphP 
[48109] CANCEL_BUY,8xgyjkdphP 
[48228] SET_BUY_AMOUNT,8xgyjkdphP,BYA,720.57 
[48350] SET_BUY_TRIGGER,8xgyjkdphP,MPP,28.47 
[48388] SET_BUY_TRIGGER,8xgyjkdphP,HZP,192.32 
[48479] ADD,8xgyjkdphP,32841.71 
[48484] BUY,8xgyjkdphP,TFZ,73.13 
[49065] SELL,8xgyjkdphP,EBS,475.03 
[49277] COMMIT_SELL,8xgyjkdphP 
[49297] SET_BUY_TRIGGER,8xgyjkdphP,IOM,169.24 
[49304] SET_BUY_AMOUNT,8xgyjkdphP,FQP,441.89 
