[91] ADD,4vBuSX8YYJ,79340.05 
[3626] BUY,4vBuSX8YYJ,VAT,20.84 
[3708] COMMIT_BUY,4vBuSX8YYJ 
[3734] SELL,4vBuSX8YYJ,FQP,592.80 
[3764] SET_BUY_AMOUNT,4vBuSX8YYJ,FQP,117.67 
[3770] SET_BUY_TRIGGER,4vBuSX8YYJ,CVK,48.95 
[3806] ADD,4vBuSX8YYJ,72992.52 
[3939] BUY,4vBuSX8YYJ,KMV,358.09 
[4446] COMMIT_BUY,4vBuSX8YYJ 
[4521] ADD,4vBuSX8YYJ,67210.94 
[4587] BUY,4vBuSX8YYJ,ZGC,718.54 
[4668] COMMIT_BUY,4vBuSX8YYJ 
[4832] SET_SELL_TRIGGER,4vBuSX8YYJ,AOC,67.98 
[4857] ADD,4vBuSX8YYJ,45397.29 
[4919] BUY,4vBuSX8YYJ,DWU,407.91 
[4952] DISPLAY_SUMMARY,4vBuSX8YYJ 
[4954] DISPLAY_SUMMARY,4vBuSX8YYJ 
[4980] QUOTE,4vBuSX8YYJ,RVU 
[5026] CANCEL_SET_BUY,4vBuSX8YYJ,UTV 
[5111] ADD,4vBuSX8YYJ,78723.28 
[5202] QUOTE,4vBuSX8YYJ,DWC 
[5626] BUY,4vBuSX8YYJ,USW,635.20 
[5661] SET_BUY_TRIGGER,4vBuSX8YYJ,ALG,112.48 
[5841] SELL,4vBuSX8YYJ,KDA,630.11 
[5876] CANCEL_SELL,4vBuSX8YYJ 
[5886] SET_BUY_TRIGGER,4vBuSX8YYJ,KEV,74.13 
[5969] BUY,4vBuSX8YYJ,FLY,136.86 
[5977] COMMIT_BUY,4vBuSX8YYJ 
[5983] SELL,4vBuSX8YYJ,FQP,215.91 
[6032] SET_SELL_AMOUNT,4vBuSX8YYJ,KDA,412.97 
[6090] QUOTE,4vBuSX8YYJ,IHW 
[6427] SELL,4vBuSX8YYJ,KES,745.58 
[6610] COMMIT_SELL,4vBuSX8YYJ 
[6648] BUY,4vBuSX8YYJ,QAA,635.11 
[6727] COMMIT_BUY,4vBuSX8YYJ 
[6816] SET_BUY_TRIGGER,4vBuSX8YYJ,PJW,196.54 
[7032] BUY,4vBuSX8YYJ,FTJ,152.67 
[7046] CANCEL_SET_BUY,4vBuSX8YYJ,VGW 
[7077] SELL,4vBuSX8YYJ,FQP,697.89 
[7202] CANCEL_SELL,4vBuSX8YYJ 
[7281] SET_BUY_TRIGGER,4vBuSX8YYJ,FYR,16.40 
[7427] SELL,4vBuSX8YYJ,JVT,18.48 
[7430] QUOTE,4vBuSX8YYJ,VKB 
[7503] BUY,4vBuSX8YYJ,BEC,408.29 
[7507] COMMIT_BUY,4vBuSX8YYJ 
[7605] SET_SELL_TRIGGER,4vBuSX8YYJ,KDA,93.23 
[7639] SELL,4vBuSX8YYJ,FQP,306.90 
[7655] COMMIT_BUY,4vBuSX8YYJ 
[8009] ADD,4vBuSX8YYJ,85033.36 
[8019] QUOTE,4vBuSX8YYJ,RVZ 
[8240] SET_BUY_TRIGGER,4vBuSX8YYJ,ECX,119.99 
[8264] QUOTE,4vBuSX8YYJ,WCY 
[8369] BUY,4vBuSX8YYJ,YBB,282.85 
[8373] DISPLAY_SUMMARY,4vBuSX8YYJ 
[8390] DISPLAY_SUMMARY,4vBuSX8YYJ 
[8524] CANCEL_SET_BUY,4vBuSX8YYJ,CUZ 
[8549] ADD,4vBuSX8YYJ,61746.66 
[8612] QUOTE,4vBuSX8YYJ,HSH 
[8664] COMMIT_SELL,4vBuSX8YYJ 
[8721] SET_BUY_TRIGGER,4vBuSX8YYJ,IAV,107.53 
[8979] SELL,4vBuSX8YYJ,OEY,393.78 
[9013] CANCEL_SET_SELL,4vBuSX8YYJ,XOA 
[9176] SET_BUY_AMOUNT,4vBuSX8YYJ,KES,364.27 
[9411] QUOTE,4vBuSX8YYJ,JRY 
[9447] ADD,4vBuSX8YYJ,72633.76 
[9622] QUOTE,4vBuSX8YYJ,TCP 
[9722] COMMIT_SELL,4vBuSX8YYJ 
[9774] SET_SELL_AMOUNT,4vBuSX8YYJ,QJZ,282.22 
[9869] DISPLAY_SUMMARY,4vBuSX8YYJ 
[10000] SET_BUY_TRIGGER,4vBuSX8YYJ,VKP,230.74 
[10046] DISPLAY_SUMMARY,4vBuSX8YYJ 
[10174] QUOTE,4vBuSX8YYJ,KZC 
[10182] BUY,4vBuSX8YYJ,WKG,557.53 
[10345] COMMIT_BUY,4vBuSX8YYJ 
[10369] SET_SELL_AMOUNT,4vBuSX8YYJ,KDA,379.76 
[10676] SET_SELL_TRIGGER,4vBuSX8YYJ,KDA,176.64 
[11138] DISPLAY_SUMMARY,4vBuSX8YYJ 
[11290] SET_SELL_TRIGGER,4vBuSX8YYJ,HDR,180.03 
[11644] ADD,4vBuSX8YYJ,55309.74 
[11925] QUOTE,4vBuSX8YYJ,HDR 
[12002] BUY,4vBuSX8YYJ,ILT,484.41 
[12183] CANCEL_BUY,4vBuSX8YYJ 
[12200] QUOTE,4vBuSX8YYJ,TZJ 
[12238] CANCEL_BUY,4vBuSX8YYJ 
[12383] DISPLAY_SUMMARY,4vBuSX8YYJ 
[12437] BUY,4vBuSX8YYJ,GRD,216.36 
[12477] CANCEL_SET_SELL,4vBuSX8YYJ,TKV 
[12696] ADD,4vBuSX8YYJ,67409.91 
[12759] QUOTE,4vBuSX8YYJ,OWH 
[12789] DISPLAY_SUMMARY,4vBuSX8YYJ 
[12813] SELL,4vBuSX8YYJ,KDA,499.96 
[13063] COMMIT_SELL,4vBuSX8YYJ 
[13177] SELL,4vBuSX8YYJ,KES,407.69 
[13267] ADD,4vBuSX8YYJ,79224.40 
[13363] QUOTE,4vBuSX8YYJ,ULL 
[13416] ADD,4vBuSX8YYJ,57111.40 
[13485] QUOTE,4vBuSX8YYJ,OLI 
[13586] QUOTE,4vBuSX8YYJ,KDG 
[14107] QUOTE,4vBuSX8YYJ,MMF 
[14182] BUY,4vBuSX8YYJ,GPM,509.74 
[14340] CANCEL_BUY,4vBuSX8YYJ 
[14416] CANCEL_BUY,4vBuSX8YYJ 
[14552] SET_SELL_TRIGGER,4vBuSX8YYJ,ZCQ,53.10 
[14840] SELL,4vBuSX8YYJ,QJZ,355.08 
[15138] BUY,4vBuSX8YYJ,IHA,554.02 
[15287] COMMIT_BUY,4vBuSX8YYJ 
[15311] SELL,4vBuSX8YYJ,FQP,111.77 
[15316] QUOTE,4vBuSX8YYJ,OIY 
[15332] QUOTE,4vBuSX8YYJ,SPP 
[15498] SET_SELL_TRIGGER,4vBuSX8YYJ,SKC,98.49 
[15766] SET_SELL_AMOUNT,4vBuSX8YYJ,JVT,256.12 
[15780] SET_SELL_TRIGGER,4vBuSX8YYJ,JVT,139.74 
[15818] DISPLAY_SUMMARY,4vBuSX8YYJ 
[15830] SET_BUY_AMOUNT,4vBuSX8YYJ,KES,298.56 
[16019] CANCEL_SET_BUY,4vBuSX8YYJ,LAM 
[16129] SELL,4vBuSX8YYJ,KES,237.41 
[16218] BUY,4vBuSX8YYJ,TUO,339.62 
[16351] COMMIT_BUY,4vBuSX8YYJ 
[16400] DISPLAY_SUMMARY,4vBuSX8YYJ 
[16482] QUOTE,4vBuSX8YYJ,XQG 
[16617] SET_BUY_AMOUNT,4vBuSX8YYJ,GYF,375.54 
[16812] SET_BUY_TRIGGER,4vBuSX8YYJ,UEC,275.84 
[16871] SET_BUY_AMOUNT,4vBuSX8YYJ,GYF,249.72 
[16931] SET_BUY_TRIGGER,4vBuSX8YYJ,JQJ,125.55 
[16987] ADD,4vBuSX8YYJ,73061.85 
[17215] QUOTE,4vBuSX8YYJ,ZJG 
[17245] BUY,4vBuSX8YYJ,NFO,263.15 
[17349] CANCEL_SELL,4vBuSX8YYJ 
[17601] BUY,4vBuSX8YYJ,OSC,747.80 
[17609] COMMIT_BUY,4vBuSX8YYJ 
[17751] CANCEL_SELL,4vBuSX8YYJ 
[17754] DISPLAY_SUMMARY,4vBuSX8YYJ 
[17775] DISPLAY_SUMMARY,4vBuSX8YYJ 
[17781] SET_SELL_TRIGGER,4vBuSX8YYJ,SIK,87.65 
[18108] CANCEL_SET_SELL,4vBuSX8YYJ,QEO 
[18138] SET_BUY_TRIGGER,4vBuSX8YYJ,GWS,131.10 
[18218] ADD,4vBuSX8YYJ,81069.69 
[18310] QUOTE,4vBuSX8YYJ,EJW 
[18340] QUOTE,4vBuSX8YYJ,DHA 
[18402] ADD,4vBuSX8YYJ,81049.17 
[18616] SET_BUY_AMOUNT,4vBuSX8YYJ,QAX,199.17 
[18633] SET_BUY_TRIGGER,4vBuSX8YYJ,ZFJ,186.36 
[19155] DISPLAY_SUMMARY,4vBuSX8YYJ 
[19170] SET_BUY_AMOUNT,4vBuSX8YYJ,JCQ,698.20 
[19331] SET_BUY_TRIGGER,4vBuSX8YYJ,KRX,448.28 
[19451] CANCEL_BUY,4vBuSX8YYJ 
[19792] SET_SELL_AMOUNT,4vBuSX8YYJ,EBS,95.47 
[20259] SET_SELL_TRIGGER,4vBuSX8YYJ,EBS,59.95 
[20267] ADD,4vBuSX8YYJ,90192.41 
[20496] BUY,4vBuSX8YYJ,CBV,450.86 
[20499] CANCEL_BUY,4vBuSX8YYJ 
[20505] DISPLAY_SUMMARY,4vBuSX8YYJ 
[20626] ADD,4vBuSX8YYJ,49726.48 
[20747] QUOTE,4vBuSX8YYJ,ZTI 
[20763] SET_BUY_AMOUNT,4vBuSX8YYJ,QJZ,147.59 
[20797] CANCEL_SET_BUY,4vBuSX8YYJ,OAV 
[21007] DISPLAY_SUMMARY,4vBuSX8YYJ 
[21038] CANCEL_SELL,4vBuSX8YYJ 
[21057] SET_SELL_AMOUNT,4vBuSX8YYJ,KDA,529.06 
[21203] QUOTE,4vBuSX8YYJ,EOY 
[21204] SET_BUY_TRIGGER,4vBuSX8YYJ,MSV,162.10 
[21304] ADD,4vBuSX8YYJ,83425.08 
[21323] QUOTE,4vBuSX8YYJ,NEV 
[21470] QUOTE,4vBuSX8YYJ,DTG 
[21492] SET_SELL_AMOUNT,4vBuSX8YYJ,KES,351.41 
[21842] DISPLAY_SUMMARY,4vBuSX8YYJ 
[22204] QUOTE,4vBuSX8YYJ,KVK 
[22275] BUY,4vBuSX8YYJ,BWL,561.69 
[22283] CANCEL_BUY,4vBuSX8YYJ 
[22352] ADD,4vBuSX8YYJ,71822.43 
[22519] SELL,4vBuSX8YYJ,KDA,446.02 
[22587] SET_SELL_TRIGGER,4vBuSX8YYJ,KES,10.36 
[22589] QUOTE,4vBuSX8YYJ,FFN 
[22710] BUY,4vBuSX8YYJ,BSG,208.20 
[23017] DISPLAY_SUMMARY,4vBuSX8YYJ 
[23265] SET_SELL_TRIGGER,4vBuSX8YYJ,LRS,103.78 
[23303] SELL,4vBuSX8YYJ,JRJ,130.21 
[23794] SET_SELL_TRIGGER,4vBuSX8YYJ,ZPD,2.94 
[23833] BUY,4vBuSX8YYJ,PTP,458.09 
[24063] COMMIT_BUY,4vBuSX8YYJ 
[24163] ADD,4vBuSX8YYJ,67636.06 
[24172] BUY,4vBuSX8YYJ,AJL,311.88 
[24180] COMMIT_BUY,4vBuSX8YYJ 
[24183] DISPLAY_SUMMARY,4vBuSX8YYJ 
[24199] QUOTE,4vBuSX8YYJ,ALV 
[24293] QUOTE,4vBuSX8YYJ,FFZ 
[24352] BUY,4vBuSX8YYJ,LKK,454.80 
[24429] CANCEL_SET_BUY,4vBuSX8YYJ,YOQ 
[24472] SET_BUY_AMOUNT,4vBuSX8YYJ,JVT,557.12 
[24569] SET_BUY_TRIGGER,4vBuSX8YYJ,CTI,228.43 
[24586] QUOTE,4vBuSX8YYJ,RVU 
[24713] ADD,4vBuSX8YYJ,41602.69 
[24800] SET_BUY_TRIGGER,4vBuSX8YYJ,LJM,59.81 
[25106] DISPLAY_SUMMARY,4vBuSX8YYJ 
[25108] SET_BUY_AMOUNT,4vBuSX8YYJ,KDA,731.36 
[25322] SET_BUY_TRIGGER,4vBuSX8YYJ,FRB,151.25 
[25455] SET_SELL_TRIGGER,4vBuSX8YYJ,NFL,180.20 
[25462] SET_BUY_AMOUNT,4vBuSX8YYJ,EBS,164.08 
[25573] SET_BUY_TRIGGER,4vBuSX8YYJ,PHE,106.96 
[25615] QUOTE,4vBuSX8YYJ,QNK 
[25643] BUY,4vBuSX8YYJ,ETB,601.09 
[25650] QUOTE,4vBuSX8YYJ,FPP 
[25793] SELL,4vBuSX8YYJ,KDA,597.10 
[25799] COMMIT_SELL,4vBuSX8YYJ 
[25922] BUY,4vBuSX8YYJ,LSW,432.73 
[26131] BUY,4vBuSX8YYJ,EIK,427.59 
[26192] CANCEL_SET_SELL,4vBuSX8YYJ,SFO 
[26240] SET_BUY_TRIGGER,4vBuSX8YYJ,KBP,172.30 
[26246] SET_BUY_TRIGGER,4vBuSX8YYJ,TJL,194.95 
[26256] SET_BUY_AMOUNT,4vBuSX8YYJ,KES,353.03 
[26284] SET_BUY_TRIGGER,4vBuSX8YYJ,ZOZ,220.50 
[26458] SELL,4vBuSX8YYJ,EBS,399.05 
[26757] CANCEL_SELL,4vBuSX8YYJ 
[26944] SELL,4vBuSX8YYJ,JRJ,587.56 
[27077] SET_BUY_TRIGGER,4vBuSX8YYJ,RDN,43.20 
[27097] ADD,4vBuSX8YYJ,72526.06 
[27120] QUOTE,4vBuSX8YYJ,LMO 
[27132] CANCEL_BUY,4vBuSX8YYJ 
[27334] ADD,4vBuSX8YYJ,93135.15 
[27366] QUOTE,4vBuSX8YYJ,WDJ 
[27429] SET_BUY_AMOUNT,4vBuSX8YYJ,GYF,270.55 
[27433] SET_BUY_TRIGGER,4vBuSX8YYJ,BWL,128.87 
[27685] COMMIT_SELL,4vBuSX8YYJ 
[27837] SET_BUY_AMOUNT,4vBuSX8YYJ,FQP,278.87 
[27853] SET_BUY_TRIGGER,4vBuSX8YYJ,QLM,255.31 
[28053] BUY,4vBuSX8YYJ,SKW,470.26 
[28218] COMMIT_BUY,4vBuSX8YYJ 
[28226] QUOTE,4vBuSX8YYJ,VNF 
[28341] COMMIT_SELL,4vBuSX8YYJ 
[28513] ADD,4vBuSX8YYJ,90332.75 
[28538] BUY,4vBuSX8YYJ,PPW,408.80 
[28605] COMMIT_BUY,4vBuSX8YYJ 
[28617] SET_BUY_AMOUNT,4vBuSX8YYJ,JCQ,605.21 
[28748] SET_BUY_TRIGGER,4vBuSX8YYJ,CXW,154.71 
[28967] QUOTE,4vBuSX8YYJ,KCT 
[29240] COMMIT_SELL,4vBuSX8YYJ 
[29370] CANCEL_SET_SELL,4vBuSX8YYJ,YAV 
[29400] SELL,4vBuSX8YYJ,JQO,344.37 
[29436] COMMIT_SELL,4vBuSX8YYJ 
[29459] DISPLAY_SUMMARY,4vBuSX8YYJ 
[29505] BUY,4vBuSX8YYJ,IPJ,401.89 
[30170] SET_BUY_TRIGGER,4vBuSX8YYJ,HSH,119.10 
[30303] CANCEL_SELL,4vBuSX8YYJ 
[30331] ADD,4vBuSX8YYJ,81089.60 
[30383] QUOTE,4vBuSX8YYJ,TJL 
[30446] SET_SELL_AMOUNT,4vBuSX8YYJ,UTV,63.85 
[30535] SET_SELL_TRIGGER,4vBuSX8YYJ,UTV,41.03 
[30610] DISPLAY_SUMMARY,4vBuSX8YYJ 
[30931] QUOTE,4vBuSX8YYJ,NHG 
[30982] SET_BUY_TRIGGER,4vBuSX8YYJ,JGG,66.47 
[31100] DISPLAY_SUMMARY,4vBuSX8YYJ 
[31277] BUY,4vBuSX8YYJ,WRJ,12.13 
[31322] COMMIT_BUY,4vBuSX8YYJ 
[31442] DISPLAY_SUMMARY,4vBuSX8YYJ 
[31568] ADD,4vBuSX8YYJ,64643.46 
[31626] QUOTE,4vBuSX8YYJ,JRJ 
[31730] ADD,4vBuSX8YYJ,65614.07 
[31825] QUOTE,4vBuSX8YYJ,UDM 
[31846] SET_BUY_AMOUNT,4vBuSX8YYJ,GYF,612.37 
[31855] SET_BUY_TRIGGER,4vBuSX8YYJ,AEM,197.60 
[31899] SELL,4vBuSX8YYJ,QAX,556.56 
[32427] COMMIT_SELL,4vBuSX8YYJ 
[32459] SET_BUY_AMOUNT,4vBuSX8YYJ,JQO,496.12 
[32673] SET_BUY_TRIGGER,4vBuSX8YYJ,ENQ,492.19 
[32724] CANCEL_SELL,4vBuSX8YYJ 
[32756] SET_BUY_AMOUNT,4vBuSX8YYJ,NHG,671.13 
[33023] DISPLAY_SUMMARY,4vBuSX8YYJ 
[33294] ADD,4vBuSX8YYJ,39629.33 
[33310] QUOTE,4vBuSX8YYJ,PXF 
[33345] SET_BUY_AMOUNT,4vBuSX8YYJ,OEY,536.50 
[33660] SELL,4vBuSX8YYJ,LFU,371.38 
[33985] COMMIT_SELL,4vBuSX8YYJ 
[34155] CANCEL_SET_SELL,4vBuSX8YYJ,XXT 
[34298] SET_SELL_AMOUNT,4vBuSX8YYJ,KES,728.00 
[34363] SET_SELL_TRIGGER,4vBuSX8YYJ,KES,230.45 
[34488] BUY,4vBuSX8YYJ,JIC,439.44 
[34738] COMMIT_BUY,4vBuSX8YYJ 
[34806] QUOTE,4vBuSX8YYJ,CBX 
[34810] QUOTE,4vBuSX8YYJ,HWO 
[34827] QUOTE,4vBuSX8YYJ,HEK 
[35040] BUY,4vBuSX8YYJ,QZN,505.27 
[35054] COMMIT_BUY,4vBuSX8YYJ 
[35208] BUY,4vBuSX8YYJ,AZN,205.79 
[35309] CANCEL_BUY,4vBuSX8YYJ 
[35435] DISPLAY_SUMMARY,4vBuSX8YYJ 
[35557] SELL,4vBuSX8YYJ,JCQ,397.73 
[35580] CANCEL_SELL,4vBuSX8YYJ 
[35588] SET_BUY_TRIGGER,4vBuSX8YYJ,TOZ,350.57 
[35663] SELL,4vBuSX8YYJ,KES,172.99 
[35699] CANCEL_BUY,4vBuSX8YYJ 
[35742] DISPLAY_SUMMARY,4vBuSX8YYJ 
[36016] SELL,4vBuSX8YYJ,JQO,366.41 
[36055] COMMIT_SELL,4vBuSX8YYJ 
[36110] QUOTE,4vBuSX8YYJ,SVV 
[36196] CANCEL_SELL,4vBuSX8YYJ 
[36284] BUY,4vBuSX8YYJ,UDM,157.64 
[36521] COMMIT_BUY,4vBuSX8YYJ 
[36595] QUOTE,4vBuSX8YYJ,WDC 
[36641] BUY,4vBuSX8YYJ,ZWZ,606.10 
[36826] CANCEL_SET_SELL,4vBuSX8YYJ,ZMK 
[36906] SET_BUY_AMOUNT,4vBuSX8YYJ,JCQ,314.84 
[36915] SET_BUY_TRIGGER,4vBuSX8YYJ,FKI,67.79 
[37105] CANCEL_BUY,4vBuSX8YYJ 
[37148] BUY,4vBuSX8YYJ,BWL,519.47 
[37449] SET_SELL_TRIGGER,4vBuSX8YYJ,ZTR,121.00 
[37526] SELL,4vBuSX8YYJ,NHG,662.81 
[37813] CANCEL_SELL,4vBuSX8YYJ 
[38113] DISPLAY_SUMMARY,4vBuSX8YYJ 
[38123] DISPLAY_SUMMARY,4vBuSX8YYJ 
[38155] SELL,4vBuSX8YYJ,QAX,45.75 
[38158] COMMIT_SELL,4vBuSX8YYJ 
[38346] ADD,4vBuSX8YYJ,66942.38 
[38459] BUY,4vBuSX8YYJ,QVK,233.99 
[38664] CANCEL_SET_SELL,4vBuSX8YYJ,IPJ 
[38766] ADD,4vBuSX8YYJ,87709.60 
[38815] QUOTE,4vBuSX8YYJ,PPW 
[38899] BUY,4vBuSX8YYJ,XOL,107.48 
[39046] COMMIT_BUY,4vBuSX8YYJ 
[39089] SET_SELL_TRIGGER,4vBuSX8YYJ,WNX,2.59 
[39333] SET_SELL_AMOUNT,4vBuSX8YYJ,NHG,366.86 
[39403] SET_SELL_TRIGGER,4vBuSX8YYJ,NHG,48.56 
[39645] SET_BUY_AMOUNT,4vBuSX8YYJ,JCQ,267.31 
[39723] BUY,4vBuSX8YYJ,XXP,31.20 
[39894] COMMIT_BUY,4vBuSX8YYJ 
[39901] SELL,4vBuSX8YYJ,KES,511.50 
[40303] COMMIT_SELL,4vBuSX8YYJ 
[40521] ADD,4vBuSX8YYJ,98128.02 
[41104] QUOTE,4vBuSX8YYJ,WNX 
[41154] BUY,4vBuSX8YYJ,GPW,736.69 
[41258] COMMIT_BUY,4vBuSX8YYJ 
[41373] SELL,4vBuSX8YYJ,JVT,80.03 
[41428] SET_BUY_TRIGGER,4vBuSX8YYJ,JMG,233.39 
[41536] DISPLAY_SUMMARY,4vBuSX8YYJ 
[41721] DISPLAY_SUMMARY,4vBuSX8YYJ 
[41771] SET_BUY_AMOUNT,4vBuSX8YYJ,JQO,298.29 
[41780] SET_BUY_TRIGGER,4vBuSX8YYJ,IQJ,166.98 
[41836] QUOTE,4vBuSX8YYJ,SFO 
[41942] ADD,4vBuSX8YYJ,37913.65 
[42060] QUOTE,4vBuSX8YYJ,EEG 
[42074] BUY,4vBuSX8YYJ,WZY,73.99 
[42103] CANCEL_BUY,4vBuSX8YYJ 
[42253] SELL,4vBuSX8YYJ,JRJ,131.31 
[42341] SET_BUY_AMOUNT,4vBuSX8YYJ,NHG,82.67 
[42614] SET_BUY_TRIGGER,4vBuSX8YYJ,LTB,36.16 
[42687] SET_BUY_TRIGGER,4vBuSX8YYJ,OZO,117.41 
[42697] DISPLAY_SUMMARY,4vBuSX8YYJ 
[42717] ADD,4vBuSX8YYJ,85372.17 
[42741] COMMIT_BUY,4vBuSX8YYJ 
[42843] SET_SELL_TRIGGER,4vBuSX8YYJ,VXY,38.19 
[42853] DISPLAY_SUMMARY,4vBuSX8YYJ 
[42953] DISPLAY_SUMMARY,4vBuSX8YYJ 
[42962] CANCEL_BUY,4vBuSX8YYJ 
[42978] ADD,4vBuSX8YYJ,47185.81 
[43065] QUOTE,4vBuSX8YYJ,OQW 
[43255] BUY,4vBuSX8YYJ,FZU,570.46 
[43277] COMMIT_BUY,4vBuSX8YYJ 
[43297] ADD,4vBuSX8YYJ,46580.36 
[43591] BUY,4vBuSX8YYJ,PST,258.67 
[43607] COMMIT_BUY,4vBuSX8YYJ 
[43782] ADD,4vBuSX8YYJ,80895.65 
[43973] BUY,4vBuSX8YYJ,MIQ,208.28 
[44055] SET_SELL_AMOUNT,4vBuSX8YYJ,EBS,109.50 
[44260] SET_SELL_TRIGGER,4vBuSX8YYJ,EBS,46.90 
[44261] ADD,4vBuSX8YYJ,48593.72 
[44413] QUOTE,4vBuSX8YYJ,HHC 
[44421] BUY,4vBuSX8YYJ,NJI,692.41 
[44442] CANCEL_BUY,4vBuSX8YYJ 
[44530] SET_BUY_AMOUNT,4vBuSX8YYJ,XXQ,340.75 
[44878] DISPLAY_SUMMARY,4vBuSX8YYJ 
[44937] SET_SELL_AMOUNT,4vBuSX8YYJ,ZTI,307.41 
[44943] SET_SELL_TRIGGER,4vBuSX8YYJ,ZTI,167.55 
[45117] ADD,4vBuSX8YYJ,69188.96 
[45478] ADD,4vBuSX8YYJ,68738.63 
[45683] CANCEL_BUY,4vBuSX8YYJ 
[45800] BUY,4vBuSX8YYJ,VNO,548.50 
[45933] COMMIT_BUY,4vBuSX8YYJ 
[45941] SELL,4vBuSX8YYJ,JRJ,188.60 
[46057] CANCEL_SET_BUY,4vBuSX8YYJ,NTB 
[46157] QUOTE,4vBuSX8YYJ,EGB 
[46248] SET_BUY_TRIGGER,4vBuSX8YYJ,JTY,66.93 
[46254] ADD,4vBuSX8YYJ,81764.15 
[46580] BUY,4vBuSX8YYJ,VVO,230.92 
[46650] COMMIT_BUY,4vBuSX8YYJ 
[46731] CANCEL_SET_BUY,4vBuSX8YYJ,IHA 
[46802] SET_BUY_AMOUNT,4vBuSX8YYJ,JCQ,639.62 
[46912] SET_BUY_TRIGGER,4vBuSX8YYJ,ZHB,551.63 
[46970] ADD,4vBuSX8YYJ,66481.23 
[47151] CANCEL_SELL,4vBuSX8YYJ 
[47225] ADD,4vBuSX8YYJ,76246.25 
[47246] QUOTE,4vBuSX8YYJ,LJZ 
[47391] ADD,4vBuSX8YYJ,80941.66 
[47465] SELL,4vBuSX8YYJ,JQO,335.69 
[47517] SET_BUY_TRIGGER,4vBuSX8YYJ,DOI,156.29 
[47594] BUY,4vBuSX8YYJ,BYM,358.54 
[47614] SELL,4vBuSX8YYJ,LFU,466.29 
[47686] CANCEL_SET_BUY,4vBuSX8YYJ,QEO 
[47808] BUY,4vBuSX8YYJ,NVX,16.51 
[47856] COMMIT_BUY,4vBuSX8YYJ 
[47871] CANCEL_SET_BUY,4vBuSX8YYJ,HTD 
[47967] SET_SELL_TRIGGER,4vBuSX8YYJ,UDN,153.20 
[48032] ADD,4vBuSX8YYJ,81371.61 
[48325] QUOTE,4vBuSX8YYJ,LAW 
[48372] BUY,4vBuSX8YYJ,CBK,652.67 
[48651] COMMIT_BUY,4vBuSX8YYJ 
[48671] DISPLAY_SUMMARY,4vBuSX8YYJ 
[48788] SET_BUY_TRIGGER,4vBuSX8YYJ,PST,151.47 
[48806] SET_SELL_TRIGGER,4vBuSX8YYJ,HFS,78.10 
[49089] SELL,4vBuSX8YYJ,BYA,406.17 
[49167] COMMIT_SELL,4vBuSX8YYJ 
[49176] ADD,4vBuSX8YYJ,58745.08 
[49200] QUOTE,4vBuSX8YYJ,CBV 
[49637] BUY,4vBuSX8YYJ,RQS,320.00 
[49657] CANCEL_SET_SELL,4vBuSX8YYJ,YUR 
[49761] BUY,4vBuSX8YYJ,PFN,569.76 
[50476] COMMIT_BUY,4vBuSX8YYJ 
[50555] SET_SELL_TRIGGER,4vBuSX8YYJ,JDO,79.27 
[50624] BUY,4vBuSX8YYJ,YLZ,2.72 
