[227] ADD,xgci4T0tkO,58853.42 
[24818] CANCEL_SET_SELL,xgci4T0tkO,NVN 
[25000] ADD,xgci4T0tkO,76630.37 
[25117] QUOTE,xgci4T0tkO,BZH 
[25128] BUY,xgci4T0tkO,JFF,197.69 
[25157] DISPLAY_SUMMARY,xgci4T0tkO 
[25199] QUOTE,xgci4T0tkO,EMN 
[25331] BUY,xgci4T0tkO,JCL,162.55 
[25396] CANCEL_SET_BUY,xgci4T0tkO,ZQS 
[25450] CANCEL_BUY,xgci4T0tkO 
[25461] SELL,xgci4T0tkO,KES,623.05 
[25463] CANCEL_SELL,xgci4T0tkO 
[25488] SET_BUY_TRIGGER,xgci4T0tkO,OLI,54.84 
[25520] QUOTE,xgci4T0tkO,DBC 
[25657] SET_BUY_TRIGGER,xgci4T0tkO,HFI,17.11 
[26356] ADD,xgci4T0tkO,51953.80 
[26450] BUY,xgci4T0tkO,XPX,77.21 
[26518] QUOTE,xgci4T0tkO,CMA 
[27125] SET_SELL_AMOUNT,xgci4T0tkO,KES,238.95 
[27418] CANCEL_SET_SELL,xgci4T0tkO,KES 
[27524] DISPLAY_SUMMARY,xgci4T0tkO 
[27981] QUOTE,xgci4T0tkO,VNF 
[28056] SET_SELL_TRIGGER,xgci4T0tkO,SJZ,184.08 
[28129] SET_SELL_TRIGGER,xgci4T0tkO,ZFK,115.03 
[28172] ADD,xgci4T0tkO,42569.44 
[28208] QUOTE,xgci4T0tkO,PXF 
[28279] SET_BUY_AMOUNT,xgci4T0tkO,JRJ,588.89 
[28395] QUOTE,xgci4T0tkO,ZAN 
[28479] SELL,xgci4T0tkO,FQP,466.35 
[28590] CANCEL_SELL,xgci4T0tkO 
[28819] BUY,xgci4T0tkO,OBO,434.52 
[29103] SET_BUY_TRIGGER,xgci4T0tkO,VAT,499.24 
[29132] COMMIT_BUY,xgci4T0tkO 
[29233] SELL,xgci4T0tkO,JQO,269.60 
[29573] SET_SELL_TRIGGER,xgci4T0tkO,FVA,73.86 
[29726] BUY,xgci4T0tkO,WSR,133.35 
[29985] COMMIT_BUY,xgci4T0tkO 
[30077] SELL,xgci4T0tkO,KDA,141.55 
[30146] SET_BUY_AMOUNT,xgci4T0tkO,LFU,107.51 
[30257] DISPLAY_SUMMARY,xgci4T0tkO 
[30301] DISPLAY_SUMMARY,xgci4T0tkO 
[30327] SELL,xgci4T0tkO,OEY,215.90 
[30389] COMMIT_SELL,xgci4T0tkO 
[30405] DISPLAY_SUMMARY,xgci4T0tkO 
[30505] DISPLAY_SUMMARY,xgci4T0tkO 
[30591] DISPLAY_SUMMARY,xgci4T0tkO 
[30631] SET_SELL_TRIGGER,xgci4T0tkO,ZGC,194.75 
[30632] DISPLAY_SUMMARY,xgci4T0tkO 
[30854] SET_BUY_AMOUNT,xgci4T0tkO,QAX,411.56 
[30902] CANCEL_SET_BUY,xgci4T0tkO,CBX 
[30928] SELL,xgci4T0tkO,UTV,735.74 
[31057] SET_SELL_TRIGGER,xgci4T0tkO,SPT,88.53 
[31235] BUY,xgci4T0tkO,WYO,145.50 
[31370] COMMIT_BUY,xgci4T0tkO 
[31609] CANCEL_SELL,xgci4T0tkO 
[31663] ADD,xgci4T0tkO,78860.84 
[31706] DISPLAY_SUMMARY,xgci4T0tkO 
[31741] ADD,xgci4T0tkO,54110.75 
[31806] BUY,xgci4T0tkO,DIX,172.26 
[31832] CANCEL_SELL,xgci4T0tkO 
[31867] BUY,xgci4T0tkO,HEJ,113.41 
[31905] QUOTE,xgci4T0tkO,VWU 
[31917] QUOTE,xgci4T0tkO,BHJ 
[32014] BUY,xgci4T0tkO,IDN,392.92 
[32135] COMMIT_BUY,xgci4T0tkO 
[32183] DISPLAY_SUMMARY,xgci4T0tkO 
[32249] ADD,xgci4T0tkO,63372.28 
[32641] BUY,xgci4T0tkO,MOM,129.81 
[32794] COMMIT_BUY,xgci4T0tkO 
[32799] SELL,xgci4T0tkO,JQO,475.25 
[32850] CANCEL_BUY,xgci4T0tkO 
[33098] SET_SELL_AMOUNT,xgci4T0tkO,FQP,32.99 
[33165] CANCEL_SET_SELL,xgci4T0tkO,FQP 
[33176] SELL,xgci4T0tkO,BYA,430.19 
[33290] SELL,xgci4T0tkO,QAX,357.99 
[33400] SET_SELL_AMOUNT,xgci4T0tkO,FQP,346.61 
[33556] SET_SELL_TRIGGER,xgci4T0tkO,FQP,21.41 
[33585] ADD,xgci4T0tkO,63636.33 
[33687] COMMIT_SELL,xgci4T0tkO 
[34186] ADD,xgci4T0tkO,89998.74 
[34254] QUOTE,xgci4T0tkO,VTY 
[34362] BUY,xgci4T0tkO,DVA,643.78 
[34385] COMMIT_BUY,xgci4T0tkO 
[34441] SET_SELL_TRIGGER,xgci4T0tkO,TQE,157.32 
[34477] ADD,xgci4T0tkO,61909.67 
[34545] BUY,xgci4T0tkO,BZX,314.20 
[34770] COMMIT_BUY,xgci4T0tkO 
[34842] CANCEL_SET_SELL,xgci4T0tkO,NFL 
[34929] SET_BUY_TRIGGER,xgci4T0tkO,LPR,162.82 
[35008] BUY,xgci4T0tkO,OXV,221.44 
[35081] COMMIT_BUY,xgci4T0tkO 
[35084] DISPLAY_SUMMARY,xgci4T0tkO 
[35158] ADD,xgci4T0tkO,87846.43 
[35381] BUY,xgci4T0tkO,GTX,502.65 
[35389] COMMIT_SELL,xgci4T0tkO 
[35536] ADD,xgci4T0tkO,84699.22 
[35683] BUY,xgci4T0tkO,RQS,85.39 
[35702] SET_SELL_AMOUNT,xgci4T0tkO,JRJ,624.25 
[35792] QUOTE,xgci4T0tkO,TWJ 
[35801] QUOTE,xgci4T0tkO,PMX 
[35816] ADD,xgci4T0tkO,92316.93 
[35848] QUOTE,xgci4T0tkO,IWL 
[35950] BUY,xgci4T0tkO,GPC,22.99 
[35970] COMMIT_BUY,xgci4T0tkO 
[36144] ADD,xgci4T0tkO,47829.46 
[36175] QUOTE,xgci4T0tkO,GGI 
[36235] SET_BUY_AMOUNT,xgci4T0tkO,FQP,322.35 
[36386] SET_BUY_TRIGGER,xgci4T0tkO,YJK,92.78 
[36405] ADD,xgci4T0tkO,77307.65 
[36454] QUOTE,xgci4T0tkO,IKK 
[36502] CANCEL_SET_SELL,xgci4T0tkO,JRJ 
[36966] ADD,xgci4T0tkO,47616.99 
[37063] BUY,xgci4T0tkO,OHG,245.88 
[37356] COMMIT_BUY,xgci4T0tkO 
[37402] SET_BUY_TRIGGER,xgci4T0tkO,RJG,112.91 
[37478] ADD,xgci4T0tkO,111232.91 
[37584] QUOTE,xgci4T0tkO,PDB 
[37705] BUY,xgci4T0tkO,MIU,337.78 
[37708] COMMIT_BUY,xgci4T0tkO 
[37747] SET_BUY_TRIGGER,xgci4T0tkO,LJM,111.15 
[37773] SET_BUY_AMOUNT,xgci4T0tkO,JQO,321.94 
[37788] SET_BUY_TRIGGER,xgci4T0tkO,CJV,74.40 
[37854] QUOTE,xgci4T0tkO,EUM 
[37996] SET_BUY_AMOUNT,xgci4T0tkO,LFU,541.14 
[38066] SET_BUY_TRIGGER,xgci4T0tkO,MWV,30.91 
[38110] QUOTE,xgci4T0tkO,BRT 
[38116] BUY,xgci4T0tkO,WAO,508.47 
[38121] COMMIT_BUY,xgci4T0tkO 
[38135] DISPLAY_SUMMARY,xgci4T0tkO 
[38212] SET_SELL_AMOUNT,xgci4T0tkO,KDA,576.25 
[38322] CANCEL_SET_SELL,xgci4T0tkO,KDA 
[38338] SET_SELL_AMOUNT,xgci4T0tkO,UTV,251.22 
[38469] SET_SELL_TRIGGER,xgci4T0tkO,UTV,183.71 
[38582] QUOTE,xgci4T0tkO,TGY 
[38689] QUOTE,xgci4T0tkO,LZB 
[38796] COMMIT_BUY,xgci4T0tkO 
[38857] SET_SELL_AMOUNT,xgci4T0tkO,JRJ,205.44 
[38863] SET_SELL_TRIGGER,xgci4T0tkO,JRJ,133.95 
[38872] QUOTE,xgci4T0tkO,BRT 
[38886] QUOTE,xgci4T0tkO,CCH 
[38894] DISPLAY_SUMMARY,xgci4T0tkO 
[38903] SET_BUY_TRIGGER,xgci4T0tkO,GAN,163.38 
[38961] QUOTE,xgci4T0tkO,RYU 
[39047] ADD,xgci4T0tkO,70307.52 
[39215] BUY,xgci4T0tkO,XVK,352.91 
[39243] COMMIT_BUY,xgci4T0tkO 
[39289] SET_BUY_TRIGGER,xgci4T0tkO,JIO,147.65 
[39489] ADD,xgci4T0tkO,79971.99 
[39624] BUY,xgci4T0tkO,WBL,586.10 
[39669] COMMIT_BUY,xgci4T0tkO 
[39836] BUY,xgci4T0tkO,SEW,383.53 
[40012] SET_BUY_AMOUNT,xgci4T0tkO,DFE,719.09 
[40203] SET_BUY_TRIGGER,xgci4T0tkO,PFK,413.12 
[40204] QUOTE,xgci4T0tkO,XME 
[40715] SET_BUY_TRIGGER,xgci4T0tkO,QXE,30.17 
[40884] BUY,xgci4T0tkO,VDP,335.03 
[40891] CANCEL_BUY,xgci4T0tkO 
[40963] BUY,xgci4T0tkO,ECI,589.76 
[41084] COMMIT_BUY,xgci4T0tkO 
[41260] SET_BUY_TRIGGER,xgci4T0tkO,AXK,198.36 
[41526] DISPLAY_SUMMARY,xgci4T0tkO 
[41590] SET_BUY_TRIGGER,xgci4T0tkO,DWC,69.73 
[41895] BUY,xgci4T0tkO,CZQ,579.90 
[42036] COMMIT_SELL,xgci4T0tkO 
[42266] CANCEL_SET_BUY,xgci4T0tkO,WDC 
[42285] DISPLAY_SUMMARY,xgci4T0tkO 
[42489] DISPLAY_SUMMARY,xgci4T0tkO 
[42516] ADD,xgci4T0tkO,82258.65 
[42606] ADD,xgci4T0tkO,28688.72 
[42609] QUOTE,xgci4T0tkO,ILT 
[42655] SET_BUY_TRIGGER,xgci4T0tkO,MVD,115.52 
[42840] DISPLAY_SUMMARY,xgci4T0tkO 
[42951] SET_SELL_TRIGGER,xgci4T0tkO,SYN,13.76 
[43031] QUOTE,xgci4T0tkO,NEV 
[43076] SET_BUY_TRIGGER,xgci4T0tkO,RUN,196.28 
[43078] CANCEL_BUY,xgci4T0tkO 
[43159] DISPLAY_SUMMARY,xgci4T0tkO 
[43241] DISPLAY_SUMMARY,xgci4T0tkO 
[43279] SET_BUY_AMOUNT,xgci4T0tkO,QJZ,630.50 
[43501] SELL,xgci4T0tkO,EBS,623.37 
[43539] CANCEL_SELL,xgci4T0tkO 
[43586] DISPLAY_SUMMARY,xgci4T0tkO 
[43688] DISPLAY_SUMMARY,xgci4T0tkO 
[44109] ADD,xgci4T0tkO,74520.40 
[44155] CANCEL_SELL,xgci4T0tkO 
[44162] CANCEL_SET_SELL,xgci4T0tkO,URD 
[44276] SET_BUY_TRIGGER,xgci4T0tkO,ELQ,155.02 
[44281] SET_SELL_TRIGGER,xgci4T0tkO,WKT,92.53 
[44372] DISPLAY_SUMMARY,xgci4T0tkO 
[44499] DISPLAY_SUMMARY,xgci4T0tkO 
[44526] ADD,xgci4T0tkO,63196.05 
[44678] COMMIT_SELL,xgci4T0tkO 
[44724] SELL,xgci4T0tkO,ZTI,328.06 
[44850] COMMIT_SELL,xgci4T0tkO 
[45059] QUOTE,xgci4T0tkO,PSJ 
[45483] BUY,xgci4T0tkO,SSF,519.13 
[45504] COMMIT_BUY,xgci4T0tkO 
[45748] SELL,xgci4T0tkO,KDA,324.10 
[45769] COMMIT_SELL,xgci4T0tkO 
[45783] ADD,xgci4T0tkO,75951.87 
[45799] DISPLAY_SUMMARY,xgci4T0tkO 
[45803] DISPLAY_SUMMARY,xgci4T0tkO 
[45915] SET_SELL_TRIGGER,xgci4T0tkO,EVR,130.26 
[45967] DISPLAY_SUMMARY,xgci4T0tkO 
[46015] SET_BUY_TRIGGER,xgci4T0tkO,PLA,25.86 
[46181] ADD,xgci4T0tkO,90482.41 
[46307] QUOTE,xgci4T0tkO,KJD 
[46397] QUOTE,xgci4T0tkO,MVD 
[46409] QUOTE,xgci4T0tkO,DRO 
[46465] BUY,xgci4T0tkO,SON,185.75 
[46506] COMMIT_BUY,xgci4T0tkO 
[46764] SET_SELL_AMOUNT,xgci4T0tkO,OEY,212.15 
[47001] SET_SELL_TRIGGER,xgci4T0tkO,OEY,118.91 
[47140] SET_SELL_TRIGGER,xgci4T0tkO,NBX,84.71 
[47347] SELL,xgci4T0tkO,DFE,238.86 
[47430] COMMIT_SELL,xgci4T0tkO 
[47586] SET_SELL_AMOUNT,xgci4T0tkO,ZTI,719.96 
[47725] SET_SELL_TRIGGER,xgci4T0tkO,ZTI,272.40 
[48083] ADD,xgci4T0tkO,77257.59 
[48120] BUY,xgci4T0tkO,MLI,270.32 
[48277] CANCEL_SET_SELL,xgci4T0tkO,OPN 
[48528] ADD,xgci4T0tkO,59605.86 
[48719] BUY,xgci4T0tkO,KEO,280.66 
[48734] SET_BUY_AMOUNT,xgci4T0tkO,YJK,475.59 
[48755] SET_BUY_TRIGGER,xgci4T0tkO,TKM,86.76 
[48764] SELL,xgci4T0tkO,CUZ,677.17 
[48799] COMMIT_BUY,xgci4T0tkO 
[48981] SET_BUY_AMOUNT,xgci4T0tkO,BCQ,314.07 
[49006] SET_BUY_TRIGGER,xgci4T0tkO,OIY,180.29 
[49023] SET_BUY_AMOUNT,xgci4T0tkO,UTV,236.08 
[49036] CANCEL_SET_BUY,xgci4T0tkO,VBO 
[49405] SET_SELL_TRIGGER,xgci4T0tkO,GFN,112.02 
[49433] DISPLAY_SUMMARY,xgci4T0tkO 
[49497] SELL,xgci4T0tkO,ZTI,105.57 
[49498] CANCEL_SET_BUY,xgci4T0tkO,JVT 
[49509] SET_SELL_AMOUNT,xgci4T0tkO,QJZ,547.42 
[49557] SET_SELL_TRIGGER,xgci4T0tkO,QJZ,497.00 
[49589] SET_BUY_AMOUNT,xgci4T0tkO,NHG,442.96 
[49686] QUOTE,xgci4T0tkO,OZT 
[49730] SELL,xgci4T0tkO,PTP,726.23 
