[80] ADD,LX1FeVjg6k,58456.18 
[9277] SET_SELL_AMOUNT,LX1FeVjg6k,OEY,393.68 
[9464] CANCEL_SET_SELL,LX1FeVjg6k,OEY 
[9590] ADD,LX1FeVjg6k,98161.83 
[9599] QUOTE,LX1FeVjg6k,RXB 
[9741] QUOTE,LX1FeVjg6k,IFU 
[9882] BUY,LX1FeVjg6k,STT,619.24 
[10250] CANCEL_BUY,LX1FeVjg6k 
[10280] SET_SELL_AMOUNT,LX1FeVjg6k,GYF,482.55 
[10445] SET_SELL_TRIGGER,LX1FeVjg6k,GYF,27.65 
[10616] DISPLAY_SUMMARY,LX1FeVjg6k 
[10639] DISPLAY_SUMMARY,LX1FeVjg6k 
[10850] SET_BUY_AMOUNT,LX1FeVjg6k,OEY,9.72 
[10923] CANCEL_SET_BUY,LX1FeVjg6k,KZZ 
[11052] SET_BUY_TRIGGER,LX1FeVjg6k,WGP,183.32 
[11106] SET_SELL_TRIGGER,LX1FeVjg6k,YBP,103.99 
[11313] QUOTE,LX1FeVjg6k,KAS 
[11641] BUY,LX1FeVjg6k,SAN,117.84 
[11707] BUY,LX1FeVjg6k,QUT,206.06 
[11802] CANCEL_SELL,LX1FeVjg6k 
[11829] QUOTE,LX1FeVjg6k,LTB 
[11894] QUOTE,LX1FeVjg6k,PMX 
[12013] BUY,LX1FeVjg6k,QLM,693.89 
[12241] QUOTE,LX1FeVjg6k,UTD 
[12499] COMMIT_BUY,LX1FeVjg6k 
[12521] COMMIT_SELL,LX1FeVjg6k 
[12526] ADD,LX1FeVjg6k,69879.48 
[12606] QUOTE,LX1FeVjg6k,MQH 
[12953] ADD,LX1FeVjg6k,86094.58 
[13016] QUOTE,LX1FeVjg6k,JQG 
[13047] SET_SELL_AMOUNT,LX1FeVjg6k,JCQ,294.70 
[13110] SET_SELL_TRIGGER,LX1FeVjg6k,JCQ,149.90 
[13137] ADD,LX1FeVjg6k,84366.54 
[13175] BUY,LX1FeVjg6k,TCP,156.95 
[13241] COMMIT_BUY,LX1FeVjg6k 
[13343] ADD,LX1FeVjg6k,78822.27 
[13354] CANCEL_SET_BUY,LX1FeVjg6k,EUC 
[13400] SET_SELL_TRIGGER,LX1FeVjg6k,CWA,8.33 
[13413] CANCEL_SELL,LX1FeVjg6k 
[13674] SELL,LX1FeVjg6k,KES,56.91 
[13711] COMMIT_SELL,LX1FeVjg6k 
[13889] SET_BUY_TRIGGER,LX1FeVjg6k,TGY,109.81 
[14278] CANCEL_BUY,LX1FeVjg6k 
[14311] SELL,LX1FeVjg6k,FQP,134.76 
[14409] CANCEL_SET_BUY,LX1FeVjg6k,MSV 
[14453] DISPLAY_SUMMARY,LX1FeVjg6k 
[14591] BUY,LX1FeVjg6k,ENQ,743.98 
[14620] SELL,LX1FeVjg6k,KES,596.67 
[14668] COMMIT_SELL,LX1FeVjg6k 
[14780] ADD,LX1FeVjg6k,37269.53 
[14878] QUOTE,LX1FeVjg6k,GIX 
[14883] BUY,LX1FeVjg6k,KIP,131.58 
[15091] COMMIT_BUY,LX1FeVjg6k 
[15104] QUOTE,LX1FeVjg6k,VXY 
[15211] BUY,LX1FeVjg6k,QPZ,445.15 
[15252] CANCEL_SET_BUY,LX1FeVjg6k,DBR 
[15443] DISPLAY_SUMMARY,LX1FeVjg6k 
[15470] SET_SELL_TRIGGER,LX1FeVjg6k,RKQ,11.37 
[15513] SET_SELL_AMOUNT,LX1FeVjg6k,JVT,515.25 
[15637] SET_SELL_TRIGGER,LX1FeVjg6k,JVT,436.45 
[15837] ADD,LX1FeVjg6k,65255.91 
[16294] BUY,LX1FeVjg6k,GZQ,114.77 
[16393] CANCEL_BUY,LX1FeVjg6k 
[16443] CANCEL_SET_SELL,LX1FeVjg6k,NAW 
[16717] DISPLAY_SUMMARY,LX1FeVjg6k 
[16785] SELL,LX1FeVjg6k,FQP,2.31 
[16875] COMMIT_SELL,LX1FeVjg6k 
[16958] ADD,LX1FeVjg6k,45391.79 
[16973] BUY,LX1FeVjg6k,LSW,226.58 
[17198] COMMIT_BUY,LX1FeVjg6k 
[17246] SET_SELL_TRIGGER,LX1FeVjg6k,SDL,41.83 
[17376] SET_SELL_AMOUNT,LX1FeVjg6k,QAX,106.56 
[17517] SET_SELL_TRIGGER,LX1FeVjg6k,QAX,4.52 
[17605] ADD,LX1FeVjg6k,59166.24 
[17873] QUOTE,LX1FeVjg6k,RWY 
[18141] CANCEL_BUY,LX1FeVjg6k 
[18254] DISPLAY_SUMMARY,LX1FeVjg6k 
[18371] ADD,LX1FeVjg6k,63757.91 
[18440] DISPLAY_SUMMARY,LX1FeVjg6k 
[18472] QUOTE,LX1FeVjg6k,JQG 
[18649] CANCEL_SELL,LX1FeVjg6k 
[18739] DISPLAY_SUMMARY,LX1FeVjg6k 
[18914] DISPLAY_SUMMARY,LX1FeVjg6k 
[18932] BUY,LX1FeVjg6k,EDV,288.12 
[19006] DISPLAY_SUMMARY,LX1FeVjg6k 
[19044] ADD,LX1FeVjg6k,76957.90 
[19086] BUY,LX1FeVjg6k,KRX,265.41 
[19281] COMMIT_BUY,LX1FeVjg6k 
[19458] CANCEL_SELL,LX1FeVjg6k 
[19577] QUOTE,LX1FeVjg6k,RKY 
[20009] ADD,LX1FeVjg6k,66135.82 
[20058] CANCEL_SET_SELL,LX1FeVjg6k,OBO 
[20118] ADD,LX1FeVjg6k,57168.66 
[20339] CANCEL_BUY,LX1FeVjg6k 
[20411] CANCEL_SET_SELL,LX1FeVjg6k,UDQ 
[20438] SET_BUY_TRIGGER,LX1FeVjg6k,OTQ,127.30 
[20459] ADD,LX1FeVjg6k,37588.04 
[20464] QUOTE,LX1FeVjg6k,RUN 
[20465] QUOTE,LX1FeVjg6k,QGE 
[20517] SET_BUY_TRIGGER,LX1FeVjg6k,JGG,82.63 
[20543] ADD,LX1FeVjg6k,73568.00 
[20714] BUY,LX1FeVjg6k,TTV,438.92 
[20748] COMMIT_SELL,LX1FeVjg6k 
[20967] SET_BUY_TRIGGER,LX1FeVjg6k,LUD,193.44 
[21096] SET_BUY_TRIGGER,LX1FeVjg6k,QJC,141.23 
[21148] CANCEL_SET_BUY,LX1FeVjg6k,BYA 
[21282] SET_BUY_TRIGGER,LX1FeVjg6k,XBL,36.22 
[21393] QUOTE,LX1FeVjg6k,ZFV 
[21398] BUY,LX1FeVjg6k,NKC,723.03 
[21544] COMMIT_BUY,LX1FeVjg6k 
[21595] ADD,LX1FeVjg6k,57700.04 
[21734] QUOTE,LX1FeVjg6k,HNO 
[21782] CANCEL_SELL,LX1FeVjg6k 
[21880] SELL,LX1FeVjg6k,KES,429.58 
[21965] CANCEL_SET_BUY,LX1FeVjg6k,DMW 
[21969] DISPLAY_SUMMARY,LX1FeVjg6k 
[22054] CANCEL_SELL,LX1FeVjg6k 
[22069] SET_SELL_TRIGGER,LX1FeVjg6k,GGI,135.35 
[22178] SELL,LX1FeVjg6k,JVT,426.76 
[22201] COMMIT_SELL,LX1FeVjg6k 
[22523] DISPLAY_SUMMARY,LX1FeVjg6k 
[22544] DISPLAY_SUMMARY,LX1FeVjg6k 
[22664] COMMIT_SELL,LX1FeVjg6k 
[23160] DISPLAY_SUMMARY,LX1FeVjg6k 
[23172] SELL,LX1FeVjg6k,UTV,301.73 
[23366] COMMIT_SELL,LX1FeVjg6k 
[23391] BUY,LX1FeVjg6k,PJJ,448.34 
[23776] COMMIT_BUY,LX1FeVjg6k 
[23813] DISPLAY_SUMMARY,LX1FeVjg6k 
[23843] BUY,LX1FeVjg6k,GGY,307.86 
[23896] COMMIT_SELL,LX1FeVjg6k 
[23937] ADD,LX1FeVjg6k,85495.23 
[23964] QUOTE,LX1FeVjg6k,RQT 
[24067] CANCEL_SET_SELL,LX1FeVjg6k,ECI 
[24144] QUOTE,LX1FeVjg6k,FTB 
[24158] SET_BUY_AMOUNT,LX1FeVjg6k,FQP,161.57 
[24422] SET_BUY_TRIGGER,LX1FeVjg6k,ZQS,51.84 
[24592] DISPLAY_SUMMARY,LX1FeVjg6k 
[24680] SET_SELL_TRIGGER,LX1FeVjg6k,FQU,42.46 
[24688] DISPLAY_SUMMARY,LX1FeVjg6k 
[24759] CANCEL_SET_SELL,LX1FeVjg6k,EJW 
[24760] DISPLAY_SUMMARY,LX1FeVjg6k 
[24957] DISPLAY_SUMMARY,LX1FeVjg6k 
[25030] QUOTE,LX1FeVjg6k,RYU 
[25162] QUOTE,LX1FeVjg6k,XII 
[25366] COMMIT_BUY,LX1FeVjg6k 
[25381] DISPLAY_SUMMARY,LX1FeVjg6k 
[25406] DISPLAY_SUMMARY,LX1FeVjg6k 
[25580] DISPLAY_SUMMARY,LX1FeVjg6k 
[25640] COMMIT_BUY,LX1FeVjg6k 
[25747] SELL,LX1FeVjg6k,FQP,297.91 
[25818] SET_BUY_TRIGGER,LX1FeVjg6k,PIC,52.90 
[26180] DISPLAY_SUMMARY,LX1FeVjg6k 
[26251] SET_BUY_TRIGGER,LX1FeVjg6k,PYM,110.99 
[26431] DISPLAY_SUMMARY,LX1FeVjg6k 
[26480] DISPLAY_SUMMARY,LX1FeVjg6k 
[26537] ADD,LX1FeVjg6k,60540.76 
[26586] BUY,LX1FeVjg6k,PJW,552.10 
[26587] COMMIT_BUY,LX1FeVjg6k 
[26941] ADD,LX1FeVjg6k,106962.04 
[27091] QUOTE,LX1FeVjg6k,EGX 
[27252] QUOTE,LX1FeVjg6k,YBP 
[27338] ADD,LX1FeVjg6k,60869.02 
[27392] CANCEL_SET_SELL,LX1FeVjg6k,HTN 
[27413] DISPLAY_SUMMARY,LX1FeVjg6k 
[27453] ADD,LX1FeVjg6k,89119.76 
[27497] BUY,LX1FeVjg6k,VNN,652.76 
[27527] QUOTE,LX1FeVjg6k,XBL 
[27572] DISPLAY_SUMMARY,LX1FeVjg6k 
[27803] SET_SELL_AMOUNT,LX1FeVjg6k,ZAN,28.54 
[27911] CANCEL_SET_SELL,LX1FeVjg6k,ZAN 
[27922] SET_SELL_TRIGGER,LX1FeVjg6k,ZAO,127.38 
[28010] SET_SELL_TRIGGER,LX1FeVjg6k,FFI,60.19 
[28041] DISPLAY_SUMMARY,LX1FeVjg6k 
[28333] SET_BUY_TRIGGER,LX1FeVjg6k,GLO,44.62 
[28688] CANCEL_SELL,LX1FeVjg6k 
[28709] QUOTE,LX1FeVjg6k,XEA 
[28816] BUY,LX1FeVjg6k,YNH,641.28 
[28909] CANCEL_SET_SELL,LX1FeVjg6k,PYB 
[28956] ADD,LX1FeVjg6k,57940.75 
[28988] QUOTE,LX1FeVjg6k,KQZ 
[29097] BUY,LX1FeVjg6k,VEX,289.10 
[29104] COMMIT_BUY,LX1FeVjg6k 
[29112] SELL,LX1FeVjg6k,GYF,398.60 
[29210] SET_SELL_AMOUNT,LX1FeVjg6k,JCQ,152.08 
[29243] CANCEL_SET_SELL,LX1FeVjg6k,JCQ 
[29321] SET_BUY_AMOUNT,LX1FeVjg6k,NHG,593.73 
[29355] SET_BUY_TRIGGER,LX1FeVjg6k,LQN,379.63 
[29545] DISPLAY_SUMMARY,LX1FeVjg6k 
[29909] CANCEL_SET_BUY,LX1FeVjg6k,GPL 
[30032] ADD,LX1FeVjg6k,109514.91 
[30199] QUOTE,LX1FeVjg6k,BOS 
[30236] QUOTE,LX1FeVjg6k,CJV 
[30297] SELL,LX1FeVjg6k,ZAN,271.77 
[30376] COMMIT_SELL,LX1FeVjg6k 
[30531] SELL,LX1FeVjg6k,JVT,675.16 
[31190] COMMIT_SELL,LX1FeVjg6k 
[31201] QUOTE,LX1FeVjg6k,CDF 
[31208] SET_BUY_TRIGGER,LX1FeVjg6k,GRD,114.14 
[31250] QUOTE,LX1FeVjg6k,WZM 
[31314] ADD,LX1FeVjg6k,60502.16 
[31612] BUY,LX1FeVjg6k,GKD,638.03 
[31746] COMMIT_BUY,LX1FeVjg6k 
[31940] DISPLAY_SUMMARY,LX1FeVjg6k 
[31981] SELL,LX1FeVjg6k,JCQ,409.04 
[32074] COMMIT_SELL,LX1FeVjg6k 
[32103] SET_SELL_TRIGGER,LX1FeVjg6k,KVJ,131.65 
[32439] CANCEL_BUY,LX1FeVjg6k 
[32668] SET_SELL_AMOUNT,LX1FeVjg6k,JRJ,539.92 
[32853] SET_SELL_TRIGGER,LX1FeVjg6k,JRJ,164.42 
[33146] COMMIT_SELL,LX1FeVjg6k 
[33249] SELL,LX1FeVjg6k,UTV,113.69 
[33349] QUOTE,LX1FeVjg6k,FVS 
[33417] SET_BUY_TRIGGER,LX1FeVjg6k,FZU,2.53 
[33807] SET_BUY_AMOUNT,LX1FeVjg6k,OEY,497.38 
[33975] SET_BUY_TRIGGER,LX1FeVjg6k,SFR,396.20 
[34005] ADD,LX1FeVjg6k,94669.90 
[34100] BUY,LX1FeVjg6k,MOM,182.25 
[34170] ADD,LX1FeVjg6k,98976.28 
[34446] QUOTE,LX1FeVjg6k,MGK 
[34494] BUY,LX1FeVjg6k,NAW,49.79 
[34678] COMMIT_BUY,LX1FeVjg6k 
[34712] ADD,LX1FeVjg6k,85112.96 
[34848] QUOTE,LX1FeVjg6k,HHG 
[34855] QUOTE,LX1FeVjg6k,MXD 
[34948] BUY,LX1FeVjg6k,OOR,189.95 
[34963] COMMIT_BUY,LX1FeVjg6k 
[35035] CANCEL_SET_SELL,LX1FeVjg6k,TVI 
[35100] QUOTE,LX1FeVjg6k,FTB 
[35322] BUY,LX1FeVjg6k,PTP,512.74 
[35330] QUOTE,LX1FeVjg6k,NNW 
[35354] BUY,LX1FeVjg6k,OAV,228.94 
[35404] COMMIT_BUY,LX1FeVjg6k 
[35566] QUOTE,LX1FeVjg6k,ZYF 
[35873] BUY,LX1FeVjg6k,TSS,721.36 
[35934] COMMIT_SELL,LX1FeVjg6k 
[36003] BUY,LX1FeVjg6k,DDA,561.48 
[36022] SET_SELL_TRIGGER,LX1FeVjg6k,CUQ,36.45 
[36039] SET_SELL_TRIGGER,LX1FeVjg6k,SDW,81.54 
[36101] ADD,LX1FeVjg6k,74455.99 
[36113] QUOTE,LX1FeVjg6k,URA 
[36217] QUOTE,LX1FeVjg6k,SJH 
[36266] QUOTE,LX1FeVjg6k,BPE 
[36282] BUY,LX1FeVjg6k,ULL,26.95 
[36283] COMMIT_BUY,LX1FeVjg6k 
[36379] DISPLAY_SUMMARY,LX1FeVjg6k 
[36723] SET_BUY_TRIGGER,LX1FeVjg6k,MXD,193.92 
[36736] SELL,LX1FeVjg6k,JVT,208.33 
[36738] COMMIT_SELL,LX1FeVjg6k 
[36781] ADD,LX1FeVjg6k,81178.34 
[36801] SELL,LX1FeVjg6k,BCQ,172.91 
[36868] COMMIT_BUY,LX1FeVjg6k 
[37111] SET_BUY_TRIGGER,LX1FeVjg6k,VKP,161.85 
[37124] ADD,LX1FeVjg6k,78029.99 
[37153] BUY,LX1FeVjg6k,HHC,205.54 
[37173] CANCEL_BUY,LX1FeVjg6k 
[37290] BUY,LX1FeVjg6k,GCL,252.40 
[37395] COMMIT_BUY,LX1FeVjg6k 
[37450] QUOTE,LX1FeVjg6k,DBS 
[37886] SELL,LX1FeVjg6k,OEY,309.91 
[38000] CANCEL_SELL,LX1FeVjg6k 
[38171] DISPLAY_SUMMARY,LX1FeVjg6k 
[38290] SELL,LX1FeVjg6k,JVT,188.20 
[38902] SET_SELL_TRIGGER,LX1FeVjg6k,FFZ,75.53 
[39207] SET_SELL_AMOUNT,LX1FeVjg6k,CUZ,43.52 
[39327] SET_SELL_TRIGGER,LX1FeVjg6k,CUZ,35.59 
[39335] SELL,LX1FeVjg6k,BYA,44.98 
[39551] QUOTE,LX1FeVjg6k,OZT 
[39561] SET_SELL_TRIGGER,LX1FeVjg6k,ULL,17.91 
[39588] SET_BUY_TRIGGER,LX1FeVjg6k,DES,70.24 
[39696] DISPLAY_SUMMARY,LX1FeVjg6k 
[39930] SET_BUY_AMOUNT,LX1FeVjg6k,CUZ,683.11 
[40048] SET_BUY_TRIGGER,LX1FeVjg6k,CMA,100.92 
[40053] SET_BUY_AMOUNT,LX1FeVjg6k,QAX,590.80 
[40078] CANCEL_SET_BUY,LX1FeVjg6k,IOY 
[40176] SET_BUY_TRIGGER,LX1FeVjg6k,GLO,164.04 
[40246] ADD,LX1FeVjg6k,75396.45 
[40304] BUY,LX1FeVjg6k,NFL,336.87 
[40364] COMMIT_BUY,LX1FeVjg6k 
[40516] SELL,LX1FeVjg6k,CUZ,696.25 
[40529] DISPLAY_SUMMARY,LX1FeVjg6k 
[40576] BUY,LX1FeVjg6k,WYA,718.26 
[40592] COMMIT_BUY,LX1FeVjg6k 
[40644] DISPLAY_SUMMARY,LX1FeVjg6k 
[40737] QUOTE,LX1FeVjg6k,WZY 
[40880] BUY,LX1FeVjg6k,XBL,359.74 
[40883] COMMIT_BUY,LX1FeVjg6k 
[40982] ADD,LX1FeVjg6k,74021.91 
[41033] BUY,LX1FeVjg6k,VSE,114.26 
[41140] COMMIT_BUY,LX1FeVjg6k 
[41247] QUOTE,LX1FeVjg6k,VZB 
[41339] QUOTE,LX1FeVjg6k,MVD 
[41363] BUY,LX1FeVjg6k,MVI,608.55 
[41465] COMMIT_BUY,LX1FeVjg6k 
[41946] SELL,LX1FeVjg6k,JCQ,721.54 
[42015] SET_BUY_AMOUNT,LX1FeVjg6k,JRJ,731.23 
[42029] SET_BUY_TRIGGER,LX1FeVjg6k,QUT,611.42 
[42094] ADD,LX1FeVjg6k,90484.06 
[42353] BUY,LX1FeVjg6k,JNO,524.91 
[42360] QUOTE,LX1FeVjg6k,ECL 
[42420] QUOTE,LX1FeVjg6k,KRY 
[42471] BUY,LX1FeVjg6k,MSV,53.78 
[42504] COMMIT_BUY,LX1FeVjg6k 
[42651] DISPLAY_SUMMARY,LX1FeVjg6k 
[42779] SET_BUY_AMOUNT,LX1FeVjg6k,CUZ,208.15 
[42923] SET_BUY_TRIGGER,LX1FeVjg6k,OGR,155.73 
[42966] SET_SELL_TRIGGER,LX1FeVjg6k,PXX,77.71 
[42992] DISPLAY_SUMMARY,LX1FeVjg6k 
[43049] ADD,LX1FeVjg6k,62962.99 
[43103] QUOTE,LX1FeVjg6k,XII 
[43156] SET_BUY_AMOUNT,LX1FeVjg6k,ZAN,585.06 
[43198] CANCEL_SET_BUY,LX1FeVjg6k,MRH 
[43276] SET_SELL_AMOUNT,LX1FeVjg6k,BCQ,247.12 
[43289] SET_SELL_TRIGGER,LX1FeVjg6k,BCQ,155.61 
[43294] SET_BUY_TRIGGER,LX1FeVjg6k,HQU,40.49 
[43498] SELL,LX1FeVjg6k,ZTI,445.97 
[43557] QUOTE,LX1FeVjg6k,NZS 
[43564] SET_SELL_TRIGGER,LX1FeVjg6k,XOA,186.28 
[43573] QUOTE,LX1FeVjg6k,ATW 
[43631] SET_BUY_AMOUNT,LX1FeVjg6k,QJZ,49.71 
[43665] QUOTE,LX1FeVjg6k,NIR 
[43722] ADD,LX1FeVjg6k,72936.08 
[43783] QUOTE,LX1FeVjg6k,PJW 
[43883] BUY,LX1FeVjg6k,OLH,650.14 
[44063] COMMIT_BUY,LX1FeVjg6k 
[44072] SET_BUY_TRIGGER,LX1FeVjg6k,SIK,20.45 
[44184] SET_BUY_AMOUNT,LX1FeVjg6k,YJK,459.98 
[44241] SET_BUY_TRIGGER,LX1FeVjg6k,BHQ,189.60 
[44458] SET_BUY_AMOUNT,LX1FeVjg6k,UTV,50.20 
[44476] SELL,LX1FeVjg6k,BCQ,126.26 
[44553] CANCEL_SELL,LX1FeVjg6k 
[44769] SELL,LX1FeVjg6k,UTV,623.66 
[44777] COMMIT_SELL,LX1FeVjg6k 
[45069] DISPLAY_SUMMARY,LX1FeVjg6k 
[45115] SET_BUY_TRIGGER,LX1FeVjg6k,DJD,34.28 
[45282] ADD,LX1FeVjg6k,61987.26 
[45401] QUOTE,LX1FeVjg6k,ZWB 
[45482] BUY,LX1FeVjg6k,FUR,7.41 
[45491] COMMIT_BUY,LX1FeVjg6k 
[45563] SELL,LX1FeVjg6k,ZYR,87.97 
[45567] COMMIT_SELL,LX1FeVjg6k 
[45590] SET_SELL_TRIGGER,LX1FeVjg6k,POI,194.51 
[45699] SET_SELL_AMOUNT,LX1FeVjg6k,KDA,721.01 
[45772] CANCEL_SET_SELL,LX1FeVjg6k,KDA 
[45857] DISPLAY_SUMMARY,LX1FeVjg6k 
[45897] BUY,LX1FeVjg6k,JTX,38.18 
[45978] COMMIT_BUY,LX1FeVjg6k 
[46058] ADD,LX1FeVjg6k,72971.57 
[46237] BUY,LX1FeVjg6k,PXS,231.23 
[46371] COMMIT_BUY,LX1FeVjg6k 
[46379] SET_SELL_TRIGGER,LX1FeVjg6k,YGK,16.64 
[46477] SET_SELL_TRIGGER,LX1FeVjg6k,ESN,26.51 
[46671] BUY,LX1FeVjg6k,SDW,153.58 
[46796] QUOTE,LX1FeVjg6k,FVZ 
[46878] QUOTE,LX1FeVjg6k,KAF 
[47103] CANCEL_SET_SELL,LX1FeVjg6k,TKV 
[47136] ADD,LX1FeVjg6k,81308.46 
[47180] BUY,LX1FeVjg6k,MVY,212.48 
[47259] CANCEL_SET_SELL,LX1FeVjg6k,VEE 
[47405] SET_BUY_AMOUNT,LX1FeVjg6k,ZYR,419.23 
[47406] SET_BUY_TRIGGER,LX1FeVjg6k,GAN,149.00 
[47769] QUOTE,LX1FeVjg6k,KVJ 
[47795] SET_SELL_TRIGGER,LX1FeVjg6k,DJD,121.95 
[47839] BUY,LX1FeVjg6k,IOM,332.74 
[48039] COMMIT_BUY,LX1FeVjg6k 
[48103] SET_BUY_AMOUNT,LX1FeVjg6k,FQP,30.84 
[48253] CANCEL_SET_BUY,LX1FeVjg6k,OTD 
[48405] SET_SELL_TRIGGER,LX1FeVjg6k,LZB,10.69 
[48608] QUOTE,LX1FeVjg6k,VYQ 
[48640] CANCEL_BUY,LX1FeVjg6k 
[48863] ADD,LX1FeVjg6k,57630.08 
[48867] QUOTE,LX1FeVjg6k,NFV 
[48955] QUOTE,LX1FeVjg6k,JMG 
[48985] ADD,LX1FeVjg6k,80053.92 
[48987] BUY,LX1FeVjg6k,KHD,401.78 
[49107] COMMIT_BUY,LX1FeVjg6k 
[49149] CANCEL_SET_SELL,LX1FeVjg6k,YQC 
[49271] SET_SELL_AMOUNT,LX1FeVjg6k,LFU,398.58 
[49298] CANCEL_SET_SELL,LX1FeVjg6k,LFU 
