[22] ADD,wYQUhjq8PE,76865.00 
[7915] SET_BUY_AMOUNT,wYQUhjq8PE,KES,251.22 
[8028] DISPLAY_SUMMARY,wYQUhjq8PE 
[8057] SET_SELL_AMOUNT,wYQUhjq8PE,KES,327.23 
[8161] SET_SELL_TRIGGER,wYQUhjq8PE,KES,76.05 
[8207] QUOTE,wYQUhjq8PE,QUT 
[8222] SET_SELL_TRIGGER,wYQUhjq8PE,KZQ,141.99 
[8335] QUOTE,wYQUhjq8PE,KLE 
[8458] QUOTE,wYQUhjq8PE,IPH 
[8481] QUOTE,wYQUhjq8PE,SSF 
[8517] ADD,wYQUhjq8PE,55057.58 
[8522] QUOTE,wYQUhjq8PE,DWX 
[8570] BUY,wYQUhjq8PE,BMQ,537.32 
[8585] COMMIT_BUY,wYQUhjq8PE 
[8965] QUOTE,wYQUhjq8PE,CVP 
[8966] QUOTE,wYQUhjq8PE,VBO 
[8969] BUY,wYQUhjq8PE,JSM,76.74 
[9332] CANCEL_SELL,wYQUhjq8PE 
[9351] BUY,wYQUhjq8PE,HEJ,52.46 
[9429] CANCEL_BUY,wYQUhjq8PE 
[9435] SET_SELL_TRIGGER,wYQUhjq8PE,WJS,131.92 
[9726] ADD,wYQUhjq8PE,72268.48 
[9760] SET_SELL_TRIGGER,wYQUhjq8PE,FIY,139.02 
[10120] BUY,wYQUhjq8PE,NDD,528.67 
[10187] SET_BUY_TRIGGER,wYQUhjq8PE,YPL,66.76 
[10260] QUOTE,wYQUhjq8PE,OYS 
[10261] SET_BUY_AMOUNT,wYQUhjq8PE,QJZ,64.40 
[10278] SET_BUY_TRIGGER,wYQUhjq8PE,PLA,44.87 
[10411] SET_BUY_AMOUNT,wYQUhjq8PE,KDA,285.26 
[10477] SET_BUY_TRIGGER,wYQUhjq8PE,QID,102.15 
[10543] DISPLAY_SUMMARY,wYQUhjq8PE 
[10618] SET_SELL_TRIGGER,wYQUhjq8PE,WJP,161.62 
[10677] BUY,wYQUhjq8PE,AMI,258.95 
[11001] COMMIT_BUY,wYQUhjq8PE 
[11067] SET_BUY_AMOUNT,wYQUhjq8PE,KDA,710.83 
[11127] SET_BUY_TRIGGER,wYQUhjq8PE,DPG,130.08 
[11202] DISPLAY_SUMMARY,wYQUhjq8PE 
[11302] CANCEL_SET_SELL,wYQUhjq8PE,HMR 
[11401] SET_SELL_AMOUNT,wYQUhjq8PE,QJZ,217.39 
[11515] SET_SELL_TRIGGER,wYQUhjq8PE,QJZ,112.66 
[11591] SET_BUY_TRIGGER,wYQUhjq8PE,JGO,61.75 
[11654] SET_BUY_AMOUNT,wYQUhjq8PE,KES,276.73 
[11702] SET_BUY_TRIGGER,wYQUhjq8PE,XOP,114.61 
[11772] SET_BUY_AMOUNT,wYQUhjq8PE,JVT,521.04 
[12005] SET_BUY_TRIGGER,wYQUhjq8PE,GAL,354.97 
[12028] BUY,wYQUhjq8PE,SKV,629.07 
[12051] CANCEL_SET_BUY,wYQUhjq8PE,YRL 
[12112] CANCEL_SET_SELL,wYQUhjq8PE,ZMK 
[12163] DISPLAY_SUMMARY,wYQUhjq8PE 
[12177] SELL,wYQUhjq8PE,FQP,626.68 
[12274] CANCEL_SET_SELL,wYQUhjq8PE,CVP 
[12363] SET_SELL_AMOUNT,wYQUhjq8PE,KDA,417.57 
[12420] SET_SELL_TRIGGER,wYQUhjq8PE,KDA,400.32 
[12498] SELL,wYQUhjq8PE,KES,312.23 
[12566] COMMIT_SELL,wYQUhjq8PE 
[12585] SET_SELL_AMOUNT,wYQUhjq8PE,KDA,732.64 
[12708] SET_SELL_TRIGGER,wYQUhjq8PE,KDA,674.08 
[12741] DISPLAY_SUMMARY,wYQUhjq8PE 
[12749] SET_BUY_TRIGGER,wYQUhjq8PE,PZE,49.95 
[12874] SET_BUY_AMOUNT,wYQUhjq8PE,KES,205.58 
[12875] SET_BUY_TRIGGER,wYQUhjq8PE,IQZ,103.11 
[12906] ADD,wYQUhjq8PE,45927.39 
[12986] SET_BUY_TRIGGER,wYQUhjq8PE,JCL,174.14 
[13161] SET_BUY_TRIGGER,wYQUhjq8PE,XPX,168.53 
[13469] ADD,wYQUhjq8PE,43098.91 
[13516] BUY,wYQUhjq8PE,EOY,386.70 
[13551] SET_BUY_TRIGGER,wYQUhjq8PE,TTY,51.19 
[13676] ADD,wYQUhjq8PE,99811.93 
[13698] CANCEL_SET_SELL,wYQUhjq8PE,OZO 
[13757] DISPLAY_SUMMARY,wYQUhjq8PE 
[13843] BUY,wYQUhjq8PE,ZWC,107.19 
[14128] QUOTE,wYQUhjq8PE,IPH 
[14141] BUY,wYQUhjq8PE,DJD,352.99 
[14227] COMMIT_BUY,wYQUhjq8PE 
[14651] ADD,wYQUhjq8PE,73851.16 
[14760] QUOTE,wYQUhjq8PE,BTD 
[14776] COMMIT_BUY,wYQUhjq8PE 
[14835] DISPLAY_SUMMARY,wYQUhjq8PE 
[14906] BUY,wYQUhjq8PE,UGG,591.87 
[15011] CANCEL_BUY,wYQUhjq8PE 
[15172] ADD,wYQUhjq8PE,69605.30 
[15274] BUY,wYQUhjq8PE,KDA,93.42 
[15445] SET_SELL_TRIGGER,wYQUhjq8PE,MDZ,73.20 
[15614] SELL,wYQUhjq8PE,QJZ,446.11 
[15635] DISPLAY_SUMMARY,wYQUhjq8PE 
[15874] SELL,wYQUhjq8PE,KDA,507.42 
[15889] CANCEL_SELL,wYQUhjq8PE 
[15974] SET_SELL_AMOUNT,wYQUhjq8PE,OEY,680.74 
[16474] BUY,wYQUhjq8PE,FLY,728.70 
[16502] CANCEL_BUY,wYQUhjq8PE 
[16605] QUOTE,wYQUhjq8PE,LAM 
[16690] QUOTE,wYQUhjq8PE,UBJ 
[16699] BUY,wYQUhjq8PE,RUN,355.40 
[16711] COMMIT_BUY,wYQUhjq8PE 
[17032] ADD,wYQUhjq8PE,72875.77 
[17179] BUY,wYQUhjq8PE,AOH,576.77 
[17269] COMMIT_BUY,wYQUhjq8PE 
[17289] SET_SELL_AMOUNT,wYQUhjq8PE,KES,655.39 
[17332] SET_SELL_TRIGGER,wYQUhjq8PE,KES,639.10 
[17380] SET_BUY_AMOUNT,wYQUhjq8PE,GYF,238.72 
[17450] SET_BUY_TRIGGER,wYQUhjq8PE,TZJ,223.51 
[17556] SET_SELL_TRIGGER,wYQUhjq8PE,KCA,164.52 
[17636] SELL,wYQUhjq8PE,QJZ,565.28 
[17711] COMMIT_SELL,wYQUhjq8PE 
[17847] ADD,wYQUhjq8PE,80737.62 
[17942] QUOTE,wYQUhjq8PE,LJM 
[18011] BUY,wYQUhjq8PE,RVZ,357.23 
[18086] ADD,wYQUhjq8PE,59181.43 
[18233] BUY,wYQUhjq8PE,BDX,332.49 
[18711] COMMIT_BUY,wYQUhjq8PE 
[18877] COMMIT_BUY,wYQUhjq8PE 
[18966] ADD,wYQUhjq8PE,59743.67 
[18970] BUY,wYQUhjq8PE,QXE,701.68 
[19051] COMMIT_BUY,wYQUhjq8PE 
[19137] ADD,wYQUhjq8PE,77485.81 
[19200] QUOTE,wYQUhjq8PE,DVU 
[19201] QUOTE,wYQUhjq8PE,IIX 
[19280] BUY,wYQUhjq8PE,VVV,437.62 
[19605] SET_BUY_AMOUNT,wYQUhjq8PE,FQP,573.17 
[19643] CANCEL_SET_BUY,wYQUhjq8PE,BTD 
[19700] ADD,wYQUhjq8PE,84514.63 
[19783] QUOTE,wYQUhjq8PE,CXN 
[19806] SET_SELL_AMOUNT,wYQUhjq8PE,FQP,38.95 
[19815] BUY,wYQUhjq8PE,HDR,302.57 
[19900] ADD,wYQUhjq8PE,65858.18 
[20068] QUOTE,wYQUhjq8PE,MIY 
[20097] QUOTE,wYQUhjq8PE,XYV 
[20099] SET_SELL_TRIGGER,wYQUhjq8PE,FQP,9.58 
[20659] ADD,wYQUhjq8PE,94997.91 
[20790] QUOTE,wYQUhjq8PE,MVI 
[21036] BUY,wYQUhjq8PE,QQW,382.71 
[21062] COMMIT_BUY,wYQUhjq8PE 
[21105] SELL,wYQUhjq8PE,JVT,362.59 
[21386] SET_BUY_TRIGGER,wYQUhjq8PE,SJZ,135.68 
[21440] SET_SELL_TRIGGER,wYQUhjq8PE,KIP,38.83 
[21496] CANCEL_BUY,wYQUhjq8PE 
[21517] SET_BUY_AMOUNT,wYQUhjq8PE,FQP,739.19 
[21594] SET_BUY_TRIGGER,wYQUhjq8PE,NVN,446.53 
[21636] SET_SELL_AMOUNT,wYQUhjq8PE,UTV,105.94 
[21702] BUY,wYQUhjq8PE,BTA,252.86 
[21814] COMMIT_BUY,wYQUhjq8PE 
[22152] ADD,wYQUhjq8PE,36716.78 
[22303] SET_SELL_AMOUNT,wYQUhjq8PE,UTV,108.22 
[22334] QUOTE,wYQUhjq8PE,PNP 
[22357] SET_BUY_AMOUNT,wYQUhjq8PE,OEY,724.57 
[22387] SET_BUY_TRIGGER,wYQUhjq8PE,SQS,321.36 
[22409] DISPLAY_SUMMARY,wYQUhjq8PE 
[22454] CANCEL_SET_BUY,wYQUhjq8PE,GTX 
[22487] ADD,wYQUhjq8PE,63385.31 
[22498] QUOTE,wYQUhjq8PE,FYA 
[22624] BUY,wYQUhjq8PE,HMR,541.33 
[22700] COMMIT_BUY,wYQUhjq8PE 
[22846] BUY,wYQUhjq8PE,TSS,651.72 
[23083] COMMIT_BUY,wYQUhjq8PE 
[23204] DISPLAY_SUMMARY,wYQUhjq8PE 
[23205] BUY,wYQUhjq8PE,EOS,656.96 
[23377] SET_SELL_TRIGGER,wYQUhjq8PE,UTV,15.36 
[23459] SET_SELL_TRIGGER,wYQUhjq8PE,OZO,143.69 
[23491] ADD,wYQUhjq8PE,65955.87 
[23551] QUOTE,wYQUhjq8PE,VNN 
[23554] DISPLAY_SUMMARY,wYQUhjq8PE 
[23644] SET_SELL_AMOUNT,wYQUhjq8PE,EBS,586.16 
[23852] SET_SELL_TRIGGER,wYQUhjq8PE,EBS,30.64 
[23925] ADD,wYQUhjq8PE,74699.02 
[24041] ADD,wYQUhjq8PE,49549.05 
[24202] SET_SELL_TRIGGER,wYQUhjq8PE,WZM,61.96 
[24304] SELL,wYQUhjq8PE,KDA,182.45 
[24370] SELL,wYQUhjq8PE,KDA,606.84 
[24435] DISPLAY_SUMMARY,wYQUhjq8PE 
[24458] SELL,wYQUhjq8PE,LFU,333.56 
[24485] COMMIT_SELL,wYQUhjq8PE 
[24684] SET_SELL_TRIGGER,wYQUhjq8PE,BTP,151.13 
[24719] QUOTE,wYQUhjq8PE,OZW 
[24813] QUOTE,wYQUhjq8PE,LPR 
[24988] ADD,wYQUhjq8PE,68368.53 
[25083] QUOTE,wYQUhjq8PE,DGA 
[25107] BUY,wYQUhjq8PE,FUF,577.67 
[25159] CANCEL_SELL,wYQUhjq8PE 
[25263] QUOTE,wYQUhjq8PE,HDR 
[25329] QUOTE,wYQUhjq8PE,OOR 
[25364] BUY,wYQUhjq8PE,BHH,730.28 
[25401] SET_BUY_AMOUNT,wYQUhjq8PE,QJZ,50.59 
[25714] SET_BUY_TRIGGER,wYQUhjq8PE,BHP,28.56 
[25838] SET_BUY_AMOUNT,wYQUhjq8PE,QAX,544.87 
[26064] SET_BUY_TRIGGER,wYQUhjq8PE,GIX,26.80 
[26082] DISPLAY_SUMMARY,wYQUhjq8PE 
[26402] DISPLAY_SUMMARY,wYQUhjq8PE 
[26701] SET_SELL_AMOUNT,wYQUhjq8PE,LFU,65.01 
[26755] SET_SELL_TRIGGER,wYQUhjq8PE,LFU,24.84 
[26759] SET_SELL_TRIGGER,wYQUhjq8PE,XQG,199.61 
[26765] ADD,wYQUhjq8PE,80508.17 
[26815] BUY,wYQUhjq8PE,ZMK,623.27 
[26825] SET_SELL_AMOUNT,wYQUhjq8PE,GYF,462.02 
[26882] SET_SELL_TRIGGER,wYQUhjq8PE,GYF,35.51 
[26908] BUY,wYQUhjq8PE,FPV,265.53 
[27126] DISPLAY_SUMMARY,wYQUhjq8PE 
[27204] ADD,wYQUhjq8PE,90007.93 
[27253] SET_BUY_TRIGGER,wYQUhjq8PE,RQL,79.77 
[27607] ADD,wYQUhjq8PE,58974.90 
[27642] QUOTE,wYQUhjq8PE,BUL 
[27737] BUY,wYQUhjq8PE,ZEU,433.67 
[27751] QUOTE,wYQUhjq8PE,QPX 
[27818] QUOTE,wYQUhjq8PE,PXX 
[27845] BUY,wYQUhjq8PE,ZZD,665.43 
[27916] BUY,wYQUhjq8PE,JGF,23.14 
[27950] SET_BUY_AMOUNT,wYQUhjq8PE,JRJ,173.08 
[28162] SET_BUY_TRIGGER,wYQUhjq8PE,GDO,9.67 
[28241] BUY,wYQUhjq8PE,JSM,636.06 
[28332] COMMIT_BUY,wYQUhjq8PE 
[28362] BUY,wYQUhjq8PE,MPP,291.01 
[28376] COMMIT_BUY,wYQUhjq8PE 
[28418] SET_BUY_TRIGGER,wYQUhjq8PE,UTV,14.43 
[28432] DISPLAY_SUMMARY,wYQUhjq8PE 
[28451] ADD,wYQUhjq8PE,77409.11 
[28636] QUOTE,wYQUhjq8PE,OYS 
[28747] QUOTE,wYQUhjq8PE,DOI 
[28817] QUOTE,wYQUhjq8PE,SWJ 
[29130] DISPLAY_SUMMARY,wYQUhjq8PE 
[29289] ADD,wYQUhjq8PE,64124.49 
[29763] QUOTE,wYQUhjq8PE,JZJ 
[29924] BUY,wYQUhjq8PE,CUQ,658.47 
[29988] COMMIT_BUY,wYQUhjq8PE 
[30100] DISPLAY_SUMMARY,wYQUhjq8PE 
[30130] BUY,wYQUhjq8PE,GGI,316.71 
[30161] COMMIT_BUY,wYQUhjq8PE 
[30329] SELL,wYQUhjq8PE,ZAN,27.42 
[30380] SET_BUY_AMOUNT,wYQUhjq8PE,OEY,431.51 
[30509] SET_BUY_TRIGGER,wYQUhjq8PE,PVH,252.30 
[30545] DISPLAY_SUMMARY,wYQUhjq8PE 
[30640] SET_BUY_TRIGGER,wYQUhjq8PE,BOS,42.26 
[30727] SELL,wYQUhjq8PE,ZAN,84.40 
[30766] COMMIT_BUY,wYQUhjq8PE 
[30787] SELL,wYQUhjq8PE,LFU,186.08 
[31136] BUY,wYQUhjq8PE,UTD,580.63 
[31176] COMMIT_BUY,wYQUhjq8PE 
[31302] DISPLAY_SUMMARY,wYQUhjq8PE 
[31389] SET_BUY_AMOUNT,wYQUhjq8PE,NHG,22.93 
[31432] SET_BUY_TRIGGER,wYQUhjq8PE,LUT,20.86 
[31471] ADD,wYQUhjq8PE,55521.64 
[31536] BUY,wYQUhjq8PE,GPW,80.32 
[31734] COMMIT_BUY,wYQUhjq8PE 
[31798] SET_BUY_AMOUNT,wYQUhjq8PE,EBS,462.05 
[31831] SET_BUY_TRIGGER,wYQUhjq8PE,FCH,417.71 
[32172] SET_SELL_TRIGGER,wYQUhjq8PE,ZFT,113.18 
[32219] BUY,wYQUhjq8PE,ZGC,123.13 
[32350] COMMIT_BUY,wYQUhjq8PE 
[32472] DISPLAY_SUMMARY,wYQUhjq8PE 
[32507] ADD,wYQUhjq8PE,66557.72 
[32510] BUY,wYQUhjq8PE,VOU,60.88 
[32538] QUOTE,wYQUhjq8PE,IAV 
[32583] QUOTE,wYQUhjq8PE,NGZ 
[32619] BUY,wYQUhjq8PE,KAR,70.74 
[32643] SET_BUY_TRIGGER,wYQUhjq8PE,LSG,12.88 
[32846] DISPLAY_SUMMARY,wYQUhjq8PE 
[33095] QUOTE,wYQUhjq8PE,MGK 
[33107] ADD,wYQUhjq8PE,49792.05 
[33391] DISPLAY_SUMMARY,wYQUhjq8PE 
[33441] QUOTE,wYQUhjq8PE,TYV 
[33486] SELL,wYQUhjq8PE,KES,66.44 
[33561] COMMIT_SELL,wYQUhjq8PE 
[33575] SELL,wYQUhjq8PE,NHG,415.23 
[33818] COMMIT_SELL,wYQUhjq8PE 
[33851] SET_SELL_AMOUNT,wYQUhjq8PE,JQO,234.05 
[33924] BUY,wYQUhjq8PE,NFO,32.91 
[33927] COMMIT_BUY,wYQUhjq8PE 
[33939] SET_SELL_AMOUNT,wYQUhjq8PE,OEY,81.60 
[34008] SET_SELL_TRIGGER,wYQUhjq8PE,OEY,44.51 
[34060] SET_SELL_AMOUNT,wYQUhjq8PE,LFU,682.69 
[34112] DISPLAY_SUMMARY,wYQUhjq8PE 
[34185] ADD,wYQUhjq8PE,71486.08 
[34432] QUOTE,wYQUhjq8PE,KVJ 
[34544] SET_SELL_AMOUNT,wYQUhjq8PE,BCQ,28.62 
[34719] SET_SELL_TRIGGER,wYQUhjq8PE,BCQ,8.35 
[34737] SELL,wYQUhjq8PE,QJZ,273.00 
[34756] CANCEL_BUY,wYQUhjq8PE 
[34818] DISPLAY_SUMMARY,wYQUhjq8PE 
[34997] BUY,wYQUhjq8PE,GWS,424.68 
[35266] COMMIT_BUY,wYQUhjq8PE 
[35533] SELL,wYQUhjq8PE,NHG,315.07 
[35541] COMMIT_SELL,wYQUhjq8PE 
[35652] DISPLAY_SUMMARY,wYQUhjq8PE 
[35891] QUOTE,wYQUhjq8PE,GGY 
[35940] BUY,wYQUhjq8PE,AQO,749.76 
[36012] CANCEL_BUY,wYQUhjq8PE 
[36248] SET_BUY_TRIGGER,wYQUhjq8PE,WLT,174.19 
[36280] QUOTE,wYQUhjq8PE,VOY 
[36348] QUOTE,wYQUhjq8PE,CBV 
[36374] QUOTE,wYQUhjq8PE,EUM 
[36646] ADD,wYQUhjq8PE,89355.49 
[36705] BUY,wYQUhjq8PE,HTN,238.36 
[36760] SET_BUY_TRIGGER,wYQUhjq8PE,NUL,145.84 
[36829] SET_SELL_AMOUNT,wYQUhjq8PE,JCQ,81.14 
[36891] SET_SELL_TRIGGER,wYQUhjq8PE,JCQ,1.29 
[36942] DISPLAY_SUMMARY,wYQUhjq8PE 
[36991] BUY,wYQUhjq8PE,LRS,189.91 
[37085] COMMIT_BUY,wYQUhjq8PE 
[37109] ADD,wYQUhjq8PE,86084.40 
[37179] QUOTE,wYQUhjq8PE,WJB 
[37243] QUOTE,wYQUhjq8PE,QUT 
[37407] BUY,wYQUhjq8PE,GPL,210.40 
[37623] SET_SELL_TRIGGER,wYQUhjq8PE,UTD,97.64 
[37786] SET_SELL_AMOUNT,wYQUhjq8PE,FQP,234.80 
[37841] CANCEL_SET_SELL,wYQUhjq8PE,FQP 
[37970] SET_SELL_AMOUNT,wYQUhjq8PE,UTV,340.74 
[38006] SET_SELL_TRIGGER,wYQUhjq8PE,UTV,39.33 
[38041] SET_BUY_AMOUNT,wYQUhjq8PE,GYF,376.66 
[38075] SET_BUY_TRIGGER,wYQUhjq8PE,CBV,327.55 
[38122] ADD,wYQUhjq8PE,84346.16 
[38164] QUOTE,wYQUhjq8PE,GNY 
[38307] QUOTE,wYQUhjq8PE,ESN 
[38463] BUY,wYQUhjq8PE,LAM,358.15 
[38487] SET_BUY_AMOUNT,wYQUhjq8PE,JQO,245.94 
[38685] SET_BUY_TRIGGER,wYQUhjq8PE,FTJ,0.92 
[38709] SET_BUY_AMOUNT,wYQUhjq8PE,JVT,702.38 
[38711] SET_BUY_TRIGGER,wYQUhjq8PE,EAK,460.11 
[38816] SET_BUY_AMOUNT,wYQUhjq8PE,NHG,171.85 
[38994] SET_BUY_TRIGGER,wYQUhjq8PE,VBO,161.29 
[39053] DISPLAY_SUMMARY,wYQUhjq8PE 
[39060] QUOTE,wYQUhjq8PE,BRT 
[39074] QUOTE,wYQUhjq8PE,ATW 
[39185] QUOTE,wYQUhjq8PE,CBO 
[39226] DISPLAY_SUMMARY,wYQUhjq8PE 
[39444] SET_SELL_TRIGGER,wYQUhjq8PE,ILT,186.85 
[39495] SELL,wYQUhjq8PE,JQO,267.45 
[39789] SET_SELL_TRIGGER,wYQUhjq8PE,ISQ,193.07 
[39796] SET_BUY_TRIGGER,wYQUhjq8PE,ELQ,149.20 
[39805] BUY,wYQUhjq8PE,LLD,210.77 
[39926] COMMIT_BUY,wYQUhjq8PE 
[40178] BUY,wYQUhjq8PE,GNY,664.36 
[40316] SET_SELL_AMOUNT,wYQUhjq8PE,CUZ,674.02 
[40404] SET_SELL_TRIGGER,wYQUhjq8PE,CUZ,167.14 
[40658] SELL,wYQUhjq8PE,OEY,370.95 
[40719] COMMIT_SELL,wYQUhjq8PE 
[40738] SET_BUY_TRIGGER,wYQUhjq8PE,ILT,134.73 
[40761] ADD,wYQUhjq8PE,85245.10 
[40831] BUY,wYQUhjq8PE,LLO,272.59 
[40835] CANCEL_SET_SELL,wYQUhjq8PE,LUT 
[41047] QUOTE,wYQUhjq8PE,AQO 
[41152] SET_BUY_AMOUNT,wYQUhjq8PE,QAX,25.49 
[41195] DISPLAY_SUMMARY,wYQUhjq8PE 
[41326] CANCEL_SET_SELL,wYQUhjq8PE,HZP 
[41470] SELL,wYQUhjq8PE,GYF,6.02 
[41524] COMMIT_SELL,wYQUhjq8PE 
[41620] SELL,wYQUhjq8PE,LFU,719.06 
[41742] COMMIT_SELL,wYQUhjq8PE 
[42200] SET_BUY_TRIGGER,wYQUhjq8PE,DWK,6.10 
[42240] ADD,wYQUhjq8PE,58356.29 
[42319] QUOTE,wYQUhjq8PE,WQC 
[42378] BUY,wYQUhjq8PE,TAR,395.44 
[42407] COMMIT_BUY,wYQUhjq8PE 
[42414] SET_SELL_TRIGGER,wYQUhjq8PE,ZUV,184.43 
[42417] COMMIT_SELL,wYQUhjq8PE 
[42425] SET_SELL_TRIGGER,wYQUhjq8PE,QGN,140.75 
[42470] QUOTE,wYQUhjq8PE,FRB 
[42618] ADD,wYQUhjq8PE,77018.80 
[42792] QUOTE,wYQUhjq8PE,YNY 
[42835] BUY,wYQUhjq8PE,NFV,33.05 
[42989] COMMIT_BUY,wYQUhjq8PE 
[43025] SET_BUY_AMOUNT,wYQUhjq8PE,QAX,215.48 
[43086] SET_BUY_TRIGGER,wYQUhjq8PE,FRB,8.83 
[43359] ADD,wYQUhjq8PE,77038.95 
[43446] BUY,wYQUhjq8PE,ELQ,117.78 
[43675] COMMIT_BUY,wYQUhjq8PE 
[43824] QUOTE,wYQUhjq8PE,JSM 
[43910] QUOTE,wYQUhjq8PE,NEV 
[44466] BUY,wYQUhjq8PE,ZOW,402.63 
[44484] COMMIT_BUY,wYQUhjq8PE 
[44521] ADD,wYQUhjq8PE,31667.79 
[44681] BUY,wYQUhjq8PE,MVY,653.63 
