[48] ADD,FOsYiQU5Qk,72884.59 
[8147] QUOTE,FOsYiQU5Qk,BPP 
[8203] SELL,FOsYiQU5Qk,KDA,685.91 
[8573] CANCEL_SELL,FOsYiQU5Qk 
[8579] ADD,FOsYiQU5Qk,66850.19 
[8714] BUY,FOsYiQU5Qk,ZGR,638.92 
[8814] COMMIT_BUY,FOsYiQU5Qk 
[8864] QUOTE,FOsYiQU5Qk,DWU 
[8957] BUY,FOsYiQU5Qk,MIY,363.11 
[8989] COMMIT_BUY,FOsYiQU5Qk 
[9110] DISPLAY_SUMMARY,FOsYiQU5Qk 
[9146] SET_BUY_AMOUNT,FOsYiQU5Qk,KES,134.72 
[9149] SET_BUY_TRIGGER,FOsYiQU5Qk,PPY,94.91 
[9394] SET_SELL_AMOUNT,FOsYiQU5Qk,KDA,511.79 
[9413] SET_SELL_TRIGGER,FOsYiQU5Qk,KDA,372.40 
[9426] BUY,FOsYiQU5Qk,HCN,351.48 
[9495] CANCEL_SET_BUY,FOsYiQU5Qk,PYB 
[9533] CANCEL_SELL,FOsYiQU5Qk 
[9668] SELL,FOsYiQU5Qk,KES,420.67 
[9813] CANCEL_SELL,FOsYiQU5Qk 
[10128] DISPLAY_SUMMARY,FOsYiQU5Qk 
[10207] DISPLAY_SUMMARY,FOsYiQU5Qk 
[10420] DISPLAY_SUMMARY,FOsYiQU5Qk 
[10458] SET_BUY_TRIGGER,FOsYiQU5Qk,IBT,35.15 
[10539] DISPLAY_SUMMARY,FOsYiQU5Qk 
[10556] SELL,FOsYiQU5Qk,FQP,148.23 
[10655] COMMIT_SELL,FOsYiQU5Qk 
[10745] SET_BUY_AMOUNT,FOsYiQU5Qk,JVT,406.42 
[10790] QUOTE,FOsYiQU5Qk,EED 
[10818] QUOTE,FOsYiQU5Qk,BHJ 
[11068] SET_BUY_TRIGGER,FOsYiQU5Qk,SSL,329.47 
[11207] BUY,FOsYiQU5Qk,WRJ,241.00 
[11213] DISPLAY_SUMMARY,FOsYiQU5Qk 
[11354] SELL,FOsYiQU5Qk,GYF,279.13 
[11399] CANCEL_SELL,FOsYiQU5Qk 
[11474] DISPLAY_SUMMARY,FOsYiQU5Qk 
[11551] SELL,FOsYiQU5Qk,JVT,269.01 
[11584] COMMIT_SELL,FOsYiQU5Qk 
[11712] SELL,FOsYiQU5Qk,KDA,183.68 
[11746] COMMIT_SELL,FOsYiQU5Qk 
[11797] QUOTE,FOsYiQU5Qk,TKM 
[12139] BUY,FOsYiQU5Qk,ASJ,616.73 
[12272] SET_SELL_AMOUNT,FOsYiQU5Qk,KES,239.65 
[12314] CANCEL_SET_SELL,FOsYiQU5Qk,KES 
[12321] SET_SELL_TRIGGER,FOsYiQU5Qk,BBD,45.48 
[12573] BUY,FOsYiQU5Qk,AOH,628.24 
[12770] ADD,FOsYiQU5Qk,87309.16 
[12795] QUOTE,FOsYiQU5Qk,DMW 
[12803] SET_BUY_TRIGGER,FOsYiQU5Qk,LNJ,7.76 
[12815] COMMIT_BUY,FOsYiQU5Qk 
[12940] ADD,FOsYiQU5Qk,57353.57 
[12979] BUY,FOsYiQU5Qk,FUF,657.65 
[12989] COMMIT_BUY,FOsYiQU5Qk 
[13183] SET_SELL_AMOUNT,FOsYiQU5Qk,JRJ,25.24 
[13216] CANCEL_SET_SELL,FOsYiQU5Qk,JRJ 
[13219] SET_BUY_AMOUNT,FOsYiQU5Qk,OEY,75.93 
[13231] SET_BUY_TRIGGER,FOsYiQU5Qk,HFI,71.71 
[13346] ADD,FOsYiQU5Qk,73950.24 
[13597] BUY,FOsYiQU5Qk,JPP,635.24 
[13668] COMMIT_BUY,FOsYiQU5Qk 
[13673] BUY,FOsYiQU5Qk,GIX,428.62 
[13767] CANCEL_BUY,FOsYiQU5Qk 
[13789] BUY,FOsYiQU5Qk,HFI,223.78 
[13805] COMMIT_BUY,FOsYiQU5Qk 
[13866] ADD,FOsYiQU5Qk,76006.16 
[13920] BUY,FOsYiQU5Qk,LLE,455.65 
[13946] COMMIT_BUY,FOsYiQU5Qk 
[13953] SELL,FOsYiQU5Qk,GYF,735.49 
[13974] COMMIT_SELL,FOsYiQU5Qk 
[13982] BUY,FOsYiQU5Qk,FIC,661.89 
[14013] COMMIT_BUY,FOsYiQU5Qk 
[14029] SET_BUY_AMOUNT,FOsYiQU5Qk,JCQ,496.74 
[14036] SET_BUY_TRIGGER,FOsYiQU5Qk,QNK,222.06 
[14075] DISPLAY_SUMMARY,FOsYiQU5Qk 
[14111] ADD,FOsYiQU5Qk,45427.08 
[14174] QUOTE,FOsYiQU5Qk,NOP 
[14213] BUY,FOsYiQU5Qk,MVI,392.83 
[14230] DISPLAY_SUMMARY,FOsYiQU5Qk 
[14295] SET_SELL_AMOUNT,FOsYiQU5Qk,JRJ,302.60 
[14462] DISPLAY_SUMMARY,FOsYiQU5Qk 
[14581] QUOTE,FOsYiQU5Qk,IHW 
[14692] SET_BUY_AMOUNT,FOsYiQU5Qk,JRJ,195.83 
[14726] SET_BUY_TRIGGER,FOsYiQU5Qk,AHE,65.95 
[14796] SET_SELL_AMOUNT,FOsYiQU5Qk,GYF,397.53 
[14925] SET_SELL_TRIGGER,FOsYiQU5Qk,GYF,395.08 
[15412] SET_BUY_TRIGGER,FOsYiQU5Qk,KCT,35.88 
[15466] SET_BUY_TRIGGER,FOsYiQU5Qk,OTI,28.56 
[15647] DISPLAY_SUMMARY,FOsYiQU5Qk 
[15831] CANCEL_BUY,FOsYiQU5Qk 
[16084] SET_SELL_TRIGGER,FOsYiQU5Qk,VIK,17.26 
[16096] SET_BUY_TRIGGER,FOsYiQU5Qk,WOJ,6.83 
[16115] BUY,FOsYiQU5Qk,IPH,672.13 
[16204] COMMIT_BUY,FOsYiQU5Qk 
[16423] ADD,FOsYiQU5Qk,67389.30 
[16532] DISPLAY_SUMMARY,FOsYiQU5Qk 
[16571] SELL,FOsYiQU5Qk,JCQ,723.42 
[16591] COMMIT_SELL,FOsYiQU5Qk 
[16833] SET_BUY_AMOUNT,FOsYiQU5Qk,QJZ,443.00 
[16889] SELL,FOsYiQU5Qk,UTV,249.64 
[16950] COMMIT_SELL,FOsYiQU5Qk 
[16961] DISPLAY_SUMMARY,FOsYiQU5Qk 
[16984] SET_BUY_AMOUNT,FOsYiQU5Qk,JRJ,487.01 
[17084] SET_BUY_TRIGGER,FOsYiQU5Qk,NXU,419.76 
[17139] ADD,FOsYiQU5Qk,97786.54 
[17258] SELL,FOsYiQU5Qk,UTV,452.81 
[17358] QUOTE,FOsYiQU5Qk,RUN 
[17504] BUY,FOsYiQU5Qk,BJL,336.17 
[17613] COMMIT_BUY,FOsYiQU5Qk 
[17668] SET_SELL_TRIGGER,FOsYiQU5Qk,CBO,54.14 
[17834] SET_BUY_TRIGGER,FOsYiQU5Qk,WUF,47.63 
[17860] CANCEL_SET_SELL,FOsYiQU5Qk,DRO 
[17875] BUY,FOsYiQU5Qk,GNY,18.94 
[17914] COMMIT_BUY,FOsYiQU5Qk 
[18059] ADD,FOsYiQU5Qk,83373.20 
[18383] QUOTE,FOsYiQU5Qk,IIX 
[18426] DISPLAY_SUMMARY,FOsYiQU5Qk 
[18441] SET_BUY_TRIGGER,FOsYiQU5Qk,DMS,117.65 
[18526] ADD,FOsYiQU5Qk,69901.19 
[18609] BUY,FOsYiQU5Qk,FTJ,380.93 
[18645] COMMIT_BUY,FOsYiQU5Qk 
[18806] BUY,FOsYiQU5Qk,CBO,537.88 
[18846] ADD,FOsYiQU5Qk,85223.87 
[18972] DISPLAY_SUMMARY,FOsYiQU5Qk 
[19076] DISPLAY_SUMMARY,FOsYiQU5Qk 
[19334] SET_SELL_TRIGGER,FOsYiQU5Qk,BRZ,14.37 
[19396] SET_SELL_TRIGGER,FOsYiQU5Qk,BPE,101.15 
[19718] SET_SELL_AMOUNT,FOsYiQU5Qk,EBS,634.00 
[19774] SELL,FOsYiQU5Qk,KES,362.75 
[19913] COMMIT_SELL,FOsYiQU5Qk 
[20091] QUOTE,FOsYiQU5Qk,NJT 
[20102] SET_BUY_AMOUNT,FOsYiQU5Qk,JRJ,475.11 
[20121] SET_BUY_TRIGGER,FOsYiQU5Qk,MQH,467.88 
[20137] SET_SELL_AMOUNT,FOsYiQU5Qk,KES,424.32 
[20139] SET_SELL_TRIGGER,FOsYiQU5Qk,KES,329.44 
[20173] DISPLAY_SUMMARY,FOsYiQU5Qk 
[20227] SET_BUY_TRIGGER,FOsYiQU5Qk,KNM,168.44 
[20429] QUOTE,FOsYiQU5Qk,HTD 
[20484] ADD,FOsYiQU5Qk,61483.38 
[20507] QUOTE,FOsYiQU5Qk,FWW 
[20582] BUY,FOsYiQU5Qk,KBP,727.77 
[20658] COMMIT_BUY,FOsYiQU5Qk 
[20695] BUY,FOsYiQU5Qk,DES,613.77 
[20696] COMMIT_SELL,FOsYiQU5Qk 
[20698] DISPLAY_SUMMARY,FOsYiQU5Qk 
[20876] BUY,FOsYiQU5Qk,KQZ,237.49 
[21014] COMMIT_BUY,FOsYiQU5Qk 
[21215] ADD,FOsYiQU5Qk,69969.41 
[21230] BUY,FOsYiQU5Qk,TXB,653.53 
[21287] COMMIT_SELL,FOsYiQU5Qk 
[21381] QUOTE,FOsYiQU5Qk,QXW 
[21509] SET_BUY_AMOUNT,FOsYiQU5Qk,FQP,672.53 
[21682] SET_BUY_TRIGGER,FOsYiQU5Qk,WRJ,369.10 
[21776] ADD,FOsYiQU5Qk,59146.21 
[22500] BUY,FOsYiQU5Qk,STQ,295.89 
[22651] COMMIT_BUY,FOsYiQU5Qk 
[22743] ADD,FOsYiQU5Qk,67130.54 
[22786] SET_SELL_TRIGGER,FOsYiQU5Qk,LPW,4.25 
[22975] QUOTE,FOsYiQU5Qk,NUV 
[22991] BUY,FOsYiQU5Qk,YWC,470.25 
[23086] COMMIT_BUY,FOsYiQU5Qk 
[23098] ADD,FOsYiQU5Qk,60130.63 
[23295] BUY,FOsYiQU5Qk,YCH,399.73 
[23355] CANCEL_SET_BUY,FOsYiQU5Qk,FTP 
[23439] DISPLAY_SUMMARY,FOsYiQU5Qk 
[23447] ADD,FOsYiQU5Qk,74928.05 
[23460] QUOTE,FOsYiQU5Qk,MQP 
[23476] CANCEL_BUY,FOsYiQU5Qk 
[23497] SET_BUY_AMOUNT,FOsYiQU5Qk,NHG,190.85 
[23748] SET_BUY_TRIGGER,FOsYiQU5Qk,YZC,85.79 
[23796] ADD,FOsYiQU5Qk,66168.47 
[23805] QUOTE,FOsYiQU5Qk,LCP 
[23844] COMMIT_BUY,FOsYiQU5Qk 
[23847] SET_SELL_AMOUNT,FOsYiQU5Qk,QAX,96.02 
[24004] QUOTE,FOsYiQU5Qk,HIN 
[24154] QUOTE,FOsYiQU5Qk,WGV 
[24271] BUY,FOsYiQU5Qk,LUD,385.45 
[24506] DISPLAY_SUMMARY,FOsYiQU5Qk 
[24511] ADD,FOsYiQU5Qk,64222.18 
[24618] QUOTE,FOsYiQU5Qk,TJL 
[24649] QUOTE,FOsYiQU5Qk,PUU 
[24677] SET_BUY_AMOUNT,FOsYiQU5Qk,JRJ,425.64 
[24685] CANCEL_SET_BUY,FOsYiQU5Qk,PHZ 
[24757] DISPLAY_SUMMARY,FOsYiQU5Qk 
[24834] SET_BUY_TRIGGER,FOsYiQU5Qk,VJB,8.45 
[24909] DISPLAY_SUMMARY,FOsYiQU5Qk 
[24916] COMMIT_SELL,FOsYiQU5Qk 
[24993] SET_BUY_AMOUNT,FOsYiQU5Qk,JQO,100.53 
[25146] SET_BUY_TRIGGER,FOsYiQU5Qk,BTD,63.30 
[25490] ADD,FOsYiQU5Qk,86611.21 
[25565] QUOTE,FOsYiQU5Qk,GXT 
[25646] BUY,FOsYiQU5Qk,EWP,363.27 
[25703] COMMIT_BUY,FOsYiQU5Qk 
[25713] SET_SELL_TRIGGER,FOsYiQU5Qk,QAX,60.23 
[25948] DISPLAY_SUMMARY,FOsYiQU5Qk 
[25984] DISPLAY_SUMMARY,FOsYiQU5Qk 
[26269] SET_BUY_AMOUNT,FOsYiQU5Qk,YJK,471.30 
[26378] BUY,FOsYiQU5Qk,OAS,414.03 
[26495] COMMIT_BUY,FOsYiQU5Qk 
[26517] SELL,FOsYiQU5Qk,XXQ,413.14 
[26600] COMMIT_BUY,FOsYiQU5Qk 
[26850] ADD,FOsYiQU5Qk,77268.71 
[26880] BUY,FOsYiQU5Qk,ELQ,482.20 
[26931] ADD,FOsYiQU5Qk,66251.89 
[26939] QUOTE,FOsYiQU5Qk,RRE 
[27008] QUOTE,FOsYiQU5Qk,GKD 
[27070] DISPLAY_SUMMARY,FOsYiQU5Qk 
[27121] BUY,FOsYiQU5Qk,SDL,187.84 
[27178] COMMIT_BUY,FOsYiQU5Qk 
[27197] SELL,FOsYiQU5Qk,KDA,279.19 
[27268] COMMIT_BUY,FOsYiQU5Qk 
[27271] SET_SELL_TRIGGER,FOsYiQU5Qk,AED,194.18 
[27294] ADD,FOsYiQU5Qk,92654.19 
[27304] SET_BUY_TRIGGER,FOsYiQU5Qk,CUZ,297.44 
[27559] DISPLAY_SUMMARY,FOsYiQU5Qk 
[27760] SET_SELL_AMOUNT,FOsYiQU5Qk,QAX,659.79 
[27770] SET_SELL_TRIGGER,FOsYiQU5Qk,QAX,17.65 
[27896] SELL,FOsYiQU5Qk,YJK,454.37 
[27964] COMMIT_SELL,FOsYiQU5Qk 
[27980] QUOTE,FOsYiQU5Qk,VTY 
[28026] SET_BUY_TRIGGER,FOsYiQU5Qk,YPL,113.29 
[28052] CANCEL_SET_BUY,FOsYiQU5Qk,IZS 
[28170] DISPLAY_SUMMARY,FOsYiQU5Qk 
[28595] DISPLAY_SUMMARY,FOsYiQU5Qk 
[28632] DISPLAY_SUMMARY,FOsYiQU5Qk 
[28887] ADD,FOsYiQU5Qk,60130.92 
[28899] BUY,FOsYiQU5Qk,HSH,469.61 
[28944] QUOTE,FOsYiQU5Qk,NNW 
[29043] SELL,FOsYiQU5Qk,UTV,90.80 
[29106] COMMIT_SELL,FOsYiQU5Qk 
[29345] QUOTE,FOsYiQU5Qk,SYU 
[29477] ADD,FOsYiQU5Qk,45523.50 
[29552] BUY,FOsYiQU5Qk,JCL,442.72 
[29804] COMMIT_BUY,FOsYiQU5Qk 
[29836] ADD,FOsYiQU5Qk,72766.22 
[29897] SET_SELL_TRIGGER,FOsYiQU5Qk,ONI,85.90 
[29913] DISPLAY_SUMMARY,FOsYiQU5Qk 
[30023] DISPLAY_SUMMARY,FOsYiQU5Qk 
[30133] DISPLAY_SUMMARY,FOsYiQU5Qk 
[30176] QUOTE,FOsYiQU5Qk,KQZ 
[30263] SET_BUY_AMOUNT,FOsYiQU5Qk,ZAN,262.41 
[30296] CANCEL_SET_BUY,FOsYiQU5Qk,MGK 
[30313] SET_BUY_AMOUNT,FOsYiQU5Qk,ZTI,126.29 
[30338] SELL,FOsYiQU5Qk,ZAN,402.27 
[30705] CANCEL_SET_SELL,FOsYiQU5Qk,LBC 
[30952] BUY,FOsYiQU5Qk,GTN,710.48 
[31573] COMMIT_BUY,FOsYiQU5Qk 
[31699] SET_BUY_TRIGGER,FOsYiQU5Qk,HYX,49.77 
[31871] BUY,FOsYiQU5Qk,GRD,388.55 
[31876] COMMIT_BUY,FOsYiQU5Qk 
[31887] ADD,FOsYiQU5Qk,84807.62 
[32124] BUY,FOsYiQU5Qk,HHC,276.10 
[32254] COMMIT_BUY,FOsYiQU5Qk 
[32325] DISPLAY_SUMMARY,FOsYiQU5Qk 
[32464] BUY,FOsYiQU5Qk,QQI,353.56 
[32477] COMMIT_BUY,FOsYiQU5Qk 
[32479] CANCEL_SELL,FOsYiQU5Qk 
[32555] SET_SELL_AMOUNT,FOsYiQU5Qk,JVT,322.76 
[32748] SET_SELL_TRIGGER,FOsYiQU5Qk,JVT,294.90 
[32852] SELL,FOsYiQU5Qk,PTP,142.53 
[32871] COMMIT_SELL,FOsYiQU5Qk 
[32983] SELL,FOsYiQU5Qk,FQP,333.79 
[33061] SET_SELL_TRIGGER,FOsYiQU5Qk,JRJ,3.20 
[33108] SET_SELL_AMOUNT,FOsYiQU5Qk,FQP,188.49 
[33213] SET_SELL_TRIGGER,FOsYiQU5Qk,FQP,87.96 
[33604] SET_SELL_TRIGGER,FOsYiQU5Qk,YNH,59.51 
[33658] DISPLAY_SUMMARY,FOsYiQU5Qk 
[33700] BUY,FOsYiQU5Qk,YKB,135.76 
[33787] COMMIT_BUY,FOsYiQU5Qk 
[33996] DISPLAY_SUMMARY,FOsYiQU5Qk 
[34058] DISPLAY_SUMMARY,FOsYiQU5Qk 
[34134] BUY,FOsYiQU5Qk,EYY,299.35 
[34156] SET_BUY_TRIGGER,FOsYiQU5Qk,ZFT,146.33 
[34365] ADD,FOsYiQU5Qk,53710.12 
[34429] BUY,FOsYiQU5Qk,HIW,166.84 
[34444] SET_BUY_TRIGGER,FOsYiQU5Qk,MFX,111.25 
[34579] QUOTE,FOsYiQU5Qk,GUW 
[34694] BUY,FOsYiQU5Qk,ZJG,257.10 
[34857] COMMIT_BUY,FOsYiQU5Qk 
[34862] SELL,FOsYiQU5Qk,ZTI,717.90 
[34964] COMMIT_SELL,FOsYiQU5Qk 
[34988] DISPLAY_SUMMARY,FOsYiQU5Qk 
[35031] DISPLAY_SUMMARY,FOsYiQU5Qk 
[35197] ADD,FOsYiQU5Qk,76715.49 
[35302] QUOTE,FOsYiQU5Qk,SJZ 
[35518] ADD,FOsYiQU5Qk,62322.50 
[35744] COMMIT_BUY,FOsYiQU5Qk 
[36385] SELL,FOsYiQU5Qk,QAX,639.18 
[36577] QUOTE,FOsYiQU5Qk,XXT 
[36747] QUOTE,FOsYiQU5Qk,KPP 
[36920] SET_BUY_AMOUNT,FOsYiQU5Qk,OEY,395.66 
[37066] SET_BUY_TRIGGER,FOsYiQU5Qk,KAH,286.09 
[37184] COMMIT_SELL,FOsYiQU5Qk 
[37225] SET_SELL_TRIGGER,FOsYiQU5Qk,QID,106.29 
[37265] DISPLAY_SUMMARY,FOsYiQU5Qk 
[37455] SELL,FOsYiQU5Qk,LFU,721.83 
[37470] COMMIT_SELL,FOsYiQU5Qk 
[37557] BUY,FOsYiQU5Qk,VIG,450.93 
[37560] COMMIT_BUY,FOsYiQU5Qk 
[37652] BUY,FOsYiQU5Qk,IOM,406.84 
[37673] COMMIT_BUY,FOsYiQU5Qk 
[37793] SET_SELL_TRIGGER,FOsYiQU5Qk,RRE,95.84 
[37905] SELL,FOsYiQU5Qk,RGH,428.52 
[37963] CANCEL_SET_BUY,FOsYiQU5Qk,CMA 
[37966] ADD,FOsYiQU5Qk,85162.54 
[37969] QUOTE,FOsYiQU5Qk,ZQW 
[38094] QUOTE,FOsYiQU5Qk,XFA 
[38120] SET_BUY_AMOUNT,FOsYiQU5Qk,KES,135.51 
[38133] QUOTE,FOsYiQU5Qk,APU 
[38180] ADD,FOsYiQU5Qk,86917.03 
[38189] SELL,FOsYiQU5Qk,FQP,311.47 
[38198] CANCEL_SELL,FOsYiQU5Qk 
[38242] ADD,FOsYiQU5Qk,76688.81 
[38331] QUOTE,FOsYiQU5Qk,VTY 
[38369] BUY,FOsYiQU5Qk,PXY,506.63 
[38399] COMMIT_BUY,FOsYiQU5Qk 
[38520] BUY,FOsYiQU5Qk,KPE,563.49 
[38864] CANCEL_BUY,FOsYiQU5Qk 
[38879] ADD,FOsYiQU5Qk,95044.90 
[38885] BUY,FOsYiQU5Qk,JPD,518.09 
[39285] SET_SELL_TRIGGER,FOsYiQU5Qk,MPP,92.31 
[39344] ADD,FOsYiQU5Qk,87594.54 
[39473] BUY,FOsYiQU5Qk,MFX,214.53 
[39482] CANCEL_SELL,FOsYiQU5Qk 
[39511] QUOTE,FOsYiQU5Qk,MDZ 
[39595] SET_BUY_AMOUNT,FOsYiQU5Qk,RGH,398.17 
[39612] SELL,FOsYiQU5Qk,JCQ,658.57 
[39890] COMMIT_SELL,FOsYiQU5Qk 
[39968] QUOTE,FOsYiQU5Qk,KRX 
[40093] SET_SELL_TRIGGER,FOsYiQU5Qk,SJG,40.80 
[40152] CANCEL_BUY,FOsYiQU5Qk 
[40166] SET_SELL_TRIGGER,FOsYiQU5Qk,CBK,63.13 
[40173] SELL,FOsYiQU5Qk,YJK,646.17 
[40291] COMMIT_SELL,FOsYiQU5Qk 
[40341] SET_SELL_AMOUNT,FOsYiQU5Qk,FDI,238.46 
[40348] SET_SELL_TRIGGER,FOsYiQU5Qk,FDI,130.11 
[40475] SET_BUY_TRIGGER,FOsYiQU5Qk,BEG,84.72 
[40717] ADD,FOsYiQU5Qk,84236.88 
[40718] CANCEL_SELL,FOsYiQU5Qk 
[40770] SELL,FOsYiQU5Qk,ZTI,602.41 
[40943] COMMIT_SELL,FOsYiQU5Qk 
[40961] SET_BUY_TRIGGER,FOsYiQU5Qk,QID,3.36 
[41082] ADD,FOsYiQU5Qk,93943.71 
[41242] QUOTE,FOsYiQU5Qk,VJV 
[41295] QUOTE,FOsYiQU5Qk,HEJ 
[41418] BUY,FOsYiQU5Qk,TVI,658.76 
[41462] COMMIT_BUY,FOsYiQU5Qk 
[41729] SET_BUY_TRIGGER,FOsYiQU5Qk,ALG,139.45 
[41882] ADD,FOsYiQU5Qk,85109.09 
[42113] BUY,FOsYiQU5Qk,CAX,186.09 
[42166] BUY,FOsYiQU5Qk,BVN,495.22 
[42215] SET_SELL_TRIGGER,FOsYiQU5Qk,VZB,49.38 
[42243] SELL,FOsYiQU5Qk,GYF,99.52 
[42332] COMMIT_SELL,FOsYiQU5Qk 
[42340] QUOTE,FOsYiQU5Qk,LKK 
[42445] BUY,FOsYiQU5Qk,HHG,209.38 
[42532] COMMIT_BUY,FOsYiQU5Qk 
[42555] QUOTE,FOsYiQU5Qk,BPE 
[42695] SET_BUY_TRIGGER,FOsYiQU5Qk,MGK,98.04 
[42797] DISPLAY_SUMMARY,FOsYiQU5Qk 
[42813] SET_BUY_AMOUNT,FOsYiQU5Qk,JRJ,489.18 
[42832] DISPLAY_SUMMARY,FOsYiQU5Qk 
[42985] BUY,FOsYiQU5Qk,YIQ,717.09 
[43214] COMMIT_BUY,FOsYiQU5Qk 
[43280] SET_BUY_AMOUNT,FOsYiQU5Qk,RGH,489.85 
[43304] SET_BUY_TRIGGER,FOsYiQU5Qk,AVX,19.50 
[43323] QUOTE,FOsYiQU5Qk,OSC 
[43338] BUY,FOsYiQU5Qk,CBY,516.01 
[43469] COMMIT_BUY,FOsYiQU5Qk 
[43518] SET_SELL_AMOUNT,FOsYiQU5Qk,XXQ,613.36 
[43530] SELL,FOsYiQU5Qk,UTV,574.83 
[43552] CANCEL_SELL,FOsYiQU5Qk 
[43721] SET_BUY_AMOUNT,FOsYiQU5Qk,RGH,135.62 
[43742] QUOTE,FOsYiQU5Qk,MSV 
[43795] SET_BUY_AMOUNT,FOsYiQU5Qk,KES,667.74 
[43799] SET_BUY_TRIGGER,FOsYiQU5Qk,WPG,188.88 
[43822] ADD,FOsYiQU5Qk,44988.90 
[43859] BUY,FOsYiQU5Qk,XQG,474.15 
[43946] COMMIT_BUY,FOsYiQU5Qk 
[44026] DISPLAY_SUMMARY,FOsYiQU5Qk 
