[31] ADD,TRCadzjH8F,81383.21 
[6232] QUOTE,TRCadzjH8F,JUN 
[6411] ADD,TRCadzjH8F,56452.55 
[6442] BUY,TRCadzjH8F,YTO,341.41 
[6571] SET_SELL_TRIGGER,TRCadzjH8F,MVI,189.51 
[6671] DISPLAY_SUMMARY,TRCadzjH8F 
[6672] QUOTE,TRCadzjH8F,CSZ 
[6885] SET_BUY_TRIGGER,TRCadzjH8F,RGM,111.24 
[7055] SET_SELL_TRIGGER,TRCadzjH8F,WPG,71.12 
[7078] ADD,TRCadzjH8F,70178.22 
[7300] COMMIT_BUY,TRCadzjH8F 
[7343] ADD,TRCadzjH8F,62967.98 
[7359] BUY,TRCadzjH8F,YVX,549.21 
[7435] COMMIT_BUY,TRCadzjH8F 
[7441] DISPLAY_SUMMARY,TRCadzjH8F 
[7573] SELL,TRCadzjH8F,KDA,622.39 
[7743] COMMIT_SELL,TRCadzjH8F 
[7941] CANCEL_BUY,TRCadzjH8F 
[8120] DISPLAY_SUMMARY,TRCadzjH8F 
[8143] SET_BUY_TRIGGER,TRCadzjH8F,IZJ,123.89 
[8172] SET_BUY_AMOUNT,TRCadzjH8F,OEY,625.29 
[8269] CANCEL_SET_BUY,TRCadzjH8F,MOS 
[8276] ADD,TRCadzjH8F,64571.61 
[8283] BUY,TRCadzjH8F,UGT,556.27 
[8423] SELL,TRCadzjH8F,KES,465.66 
[8525] SET_SELL_AMOUNT,TRCadzjH8F,JVT,657.14 
[8765] SET_SELL_TRIGGER,TRCadzjH8F,JVT,246.11 
[8797] ADD,TRCadzjH8F,83240.24 
[8952] QUOTE,TRCadzjH8F,JTY 
[9054] BUY,TRCadzjH8F,NBX,446.04 
[9145] COMMIT_BUY,TRCadzjH8F 
[9172] SELL,TRCadzjH8F,OEY,423.09 
[9246] COMMIT_SELL,TRCadzjH8F 
[9263] ADD,TRCadzjH8F,51494.53 
[9269] QUOTE,TRCadzjH8F,OOT 
[9327] BUY,TRCadzjH8F,YEW,246.20 
[9397] COMMIT_BUY,TRCadzjH8F 
[9425] ADD,TRCadzjH8F,75380.91 
[9449] QUOTE,TRCadzjH8F,FCM 
[9459] ADD,TRCadzjH8F,65632.38 
[9605] BUY,TRCadzjH8F,QAX,299.63 
[10008] QUOTE,TRCadzjH8F,MWM 
[10139] QUOTE,TRCadzjH8F,CSZ 
[10300] ADD,TRCadzjH8F,61851.52 
[10421] QUOTE,TRCadzjH8F,CXW 
[10682] BUY,TRCadzjH8F,WHR,418.31 
[10832] COMMIT_BUY,TRCadzjH8F 
[10846] ADD,TRCadzjH8F,69129.30 
[11145] BUY,TRCadzjH8F,ZCO,722.31 
[11176] CANCEL_BUY,TRCadzjH8F 
[11218] ADD,TRCadzjH8F,91318.92 
[11253] BUY,TRCadzjH8F,BFU,167.03 
[11320] COMMIT_BUY,TRCadzjH8F 
[11324] DISPLAY_SUMMARY,TRCadzjH8F 
[11346] SET_SELL_AMOUNT,TRCadzjH8F,QJZ,617.92 
[11360] SET_SELL_TRIGGER,TRCadzjH8F,QJZ,70.82 
[11536] ADD,TRCadzjH8F,71757.75 
[11570] SELL,TRCadzjH8F,QJZ,211.76 
[11573] BUY,TRCadzjH8F,GTB,54.74 
[11763] COMMIT_BUY,TRCadzjH8F 
[11779] SELL,TRCadzjH8F,EBS,108.01 
[11990] SET_BUY_AMOUNT,TRCadzjH8F,FQP,394.67 
[12023] SET_BUY_TRIGGER,TRCadzjH8F,CXB,119.01 
[12104] SET_SELL_AMOUNT,TRCadzjH8F,JVT,552.46 
[12211] SET_SELL_TRIGGER,TRCadzjH8F,JVT,10.99 
[12245] SET_SELL_AMOUNT,TRCadzjH8F,FQP,65.81 
[12260] QUOTE,TRCadzjH8F,SKV 
[12332] BUY,TRCadzjH8F,JZJ,681.58 
[12371] QUOTE,TRCadzjH8F,GRD 
[12545] QUOTE,TRCadzjH8F,YWC 
[12603] BUY,TRCadzjH8F,XVK,719.06 
[12637] COMMIT_BUY,TRCadzjH8F 
[13055] SELL,TRCadzjH8F,GYF,24.86 
[13102] COMMIT_SELL,TRCadzjH8F 
[13129] BUY,TRCadzjH8F,SSW,109.55 
[13136] COMMIT_SELL,TRCadzjH8F 
[13178] SET_SELL_AMOUNT,TRCadzjH8F,OEY,398.39 
[13437] SET_SELL_TRIGGER,TRCadzjH8F,OEY,139.26 
[13438] ADD,TRCadzjH8F,99865.98 
[13454] BUY,TRCadzjH8F,OBO,168.75 
[13575] SET_BUY_TRIGGER,TRCadzjH8F,SSW,10.88 
[13705] SET_BUY_AMOUNT,TRCadzjH8F,JCQ,670.88 
[13714] QUOTE,TRCadzjH8F,HYX 
[13795] QUOTE,TRCadzjH8F,LTB 
[13798] BUY,TRCadzjH8F,MJU,426.37 
[14078] BUY,TRCadzjH8F,WKG,596.32 
[14106] COMMIT_BUY,TRCadzjH8F 
[14193] ADD,TRCadzjH8F,57195.62 
[14225] QUOTE,TRCadzjH8F,ROW 
[14428] QUOTE,TRCadzjH8F,TJL 
[14596] SET_BUY_AMOUNT,TRCadzjH8F,UTV,257.72 
[14702] SET_BUY_TRIGGER,TRCadzjH8F,GAL,96.14 
[14750] SELL,TRCadzjH8F,JVT,65.24 
[14757] QUOTE,TRCadzjH8F,XLI 
[14778] BUY,TRCadzjH8F,YGK,0.85 
[14785] SELL,TRCadzjH8F,JCQ,376.26 
[14799] COMMIT_SELL,TRCadzjH8F 
[14806] QUOTE,TRCadzjH8F,QNK 
[14866] ADD,TRCadzjH8F,83557.64 
[15122] SELL,TRCadzjH8F,UTV,245.49 
[15141] CANCEL_SELL,TRCadzjH8F 
[15276] ADD,TRCadzjH8F,76582.45 
[15282] QUOTE,TRCadzjH8F,PVZ 
[15296] BUY,TRCadzjH8F,XCL,464.21 
[15387] SET_BUY_TRIGGER,TRCadzjH8F,KWP,15.40 
[15388] DISPLAY_SUMMARY,TRCadzjH8F 
[15574] SET_SELL_TRIGGER,TRCadzjH8F,XQC,26.43 
[15750] DISPLAY_SUMMARY,TRCadzjH8F 
[15841] SET_BUY_AMOUNT,TRCadzjH8F,QJZ,330.15 
[15843] SET_BUY_TRIGGER,TRCadzjH8F,XUH,252.98 
[15845] BUY,TRCadzjH8F,ZRH,617.57 
[15850] SET_BUY_TRIGGER,TRCadzjH8F,NXF,193.65 
[16046] SET_SELL_TRIGGER,TRCadzjH8F,NHB,175.93 
[16053] ADD,TRCadzjH8F,111946.47 
[16066] BUY,TRCadzjH8F,AED,684.09 
[16145] COMMIT_BUY,TRCadzjH8F 
[16215] BUY,TRCadzjH8F,WCR,91.01 
[16259] COMMIT_BUY,TRCadzjH8F 
[16261] BUY,TRCadzjH8F,PTC,89.13 
[16265] CANCEL_BUY,TRCadzjH8F 
[16374] DISPLAY_SUMMARY,TRCadzjH8F 
[16396] SET_BUY_TRIGGER,TRCadzjH8F,SYM,174.83 
[16456] COMMIT_SELL,TRCadzjH8F 
[16595] BUY,TRCadzjH8F,PHE,128.82 
[16630] CANCEL_BUY,TRCadzjH8F 
[16685] ADD,TRCadzjH8F,96480.73 
[16694] QUOTE,TRCadzjH8F,ULL 
[16710] DISPLAY_SUMMARY,TRCadzjH8F 
[16765] DISPLAY_SUMMARY,TRCadzjH8F 
[16826] SELL,TRCadzjH8F,JVT,656.05 
[16835] DISPLAY_SUMMARY,TRCadzjH8F 
[16839] SELL,TRCadzjH8F,JRJ,417.09 
[16851] SET_BUY_AMOUNT,TRCadzjH8F,NHG,198.21 
[16967] SET_BUY_TRIGGER,TRCadzjH8F,XSS,147.79 
[17021] CANCEL_SET_BUY,TRCadzjH8F,WUL 
[17146] DISPLAY_SUMMARY,TRCadzjH8F 
[17307] DISPLAY_SUMMARY,TRCadzjH8F 
[17560] SELL,TRCadzjH8F,FQP,357.97 
[17743] CANCEL_SET_BUY,TRCadzjH8F,CTI 
[17819] BUY,TRCadzjH8F,VGW,17.44 
[17858] COMMIT_BUY,TRCadzjH8F 
[18015] ADD,TRCadzjH8F,78586.12 
[18039] BUY,TRCadzjH8F,KPU,154.94 
[18436] CANCEL_SET_BUY,TRCadzjH8F,GLO 
[18515] ADD,TRCadzjH8F,85097.32 
[18650] SET_BUY_AMOUNT,TRCadzjH8F,LFU,246.16 
[18674] DISPLAY_SUMMARY,TRCadzjH8F 
[18734] SET_SELL_AMOUNT,TRCadzjH8F,JRJ,557.21 
[18819] SET_SELL_TRIGGER,TRCadzjH8F,JRJ,192.48 
[19061] ADD,TRCadzjH8F,98226.11 
[19163] CANCEL_SET_BUY,TRCadzjH8F,KBP 
[19349] SET_SELL_AMOUNT,TRCadzjH8F,NHG,181.14 
[19620] SET_SELL_TRIGGER,TRCadzjH8F,NHG,113.21 
[19625] SET_BUY_TRIGGER,TRCadzjH8F,HFS,80.70 
[19629] SET_SELL_AMOUNT,TRCadzjH8F,UTV,533.76 
[19634] CANCEL_SET_SELL,TRCadzjH8F,UTV 
[19732] SELL,TRCadzjH8F,JVT,456.31 
[19831] COMMIT_SELL,TRCadzjH8F 
[19843] SET_BUY_TRIGGER,TRCadzjH8F,VGW,92.14 
[19907] DISPLAY_SUMMARY,TRCadzjH8F 
[20171] DISPLAY_SUMMARY,TRCadzjH8F 
[20235] COMMIT_SELL,TRCadzjH8F 
[20260] SET_SELL_AMOUNT,TRCadzjH8F,NHG,459.21 
[20278] CANCEL_SET_SELL,TRCadzjH8F,NHG 
[20286] SELL,TRCadzjH8F,EBS,47.15 
[20308] SELL,TRCadzjH8F,KES,516.66 
[20456] COMMIT_SELL,TRCadzjH8F 
[20817] QUOTE,TRCadzjH8F,EDM 
[20958] QUOTE,TRCadzjH8F,QAX 
[21069] BUY,TRCadzjH8F,KDA,90.51 
[21246] CANCEL_SET_SELL,TRCadzjH8F,CWA 
[21309] DISPLAY_SUMMARY,TRCadzjH8F 
[21602] SELL,TRCadzjH8F,QAX,417.94 
[21718] COMMIT_SELL,TRCadzjH8F 
[21719] SELL,TRCadzjH8F,EBS,654.05 
[21796] QUOTE,TRCadzjH8F,WKD 
[21840] BUY,TRCadzjH8F,JQO,503.63 
[21859] COMMIT_BUY,TRCadzjH8F 
[21970] SET_SELL_TRIGGER,TRCadzjH8F,KHD,183.30 
[22185] SELL,TRCadzjH8F,ZAN,264.13 
[22328] COMMIT_SELL,TRCadzjH8F 
[22394] SELL,TRCadzjH8F,GYF,40.65 
[22628] COMMIT_SELL,TRCadzjH8F 
[22915] SELL,TRCadzjH8F,CUZ,364.54 
[23054] COMMIT_SELL,TRCadzjH8F 
[23060] SET_SELL_AMOUNT,TRCadzjH8F,KDA,40.25 
[23062] SET_SELL_TRIGGER,TRCadzjH8F,KDA,0.05 
[23157] ADD,TRCadzjH8F,76758.05 
[23277] BUY,TRCadzjH8F,FTB,742.29 
[23288] COMMIT_BUY,TRCadzjH8F 
[23345] SET_BUY_AMOUNT,TRCadzjH8F,QAX,425.93 
[23463] SET_BUY_TRIGGER,TRCadzjH8F,OOR,251.00 
[23564] SET_SELL_TRIGGER,TRCadzjH8F,MVD,53.57 
[23585] DISPLAY_SUMMARY,TRCadzjH8F 
[23710] BUY,TRCadzjH8F,KDG,352.33 
[23729] SELL,TRCadzjH8F,EBS,397.90 
[24052] COMMIT_SELL,TRCadzjH8F 
[24241] ADD,TRCadzjH8F,61711.37 
[24668] BUY,TRCadzjH8F,QUT,434.22 
[24945] SELL,TRCadzjH8F,QJZ,698.14 
[24947] COMMIT_SELL,TRCadzjH8F 
[25048] CANCEL_SELL,TRCadzjH8F 
[25124] ADD,TRCadzjH8F,75043.03 
[25200] BUY,TRCadzjH8F,XME,111.69 
[25347] CANCEL_BUY,TRCadzjH8F 
[25374] SELL,TRCadzjH8F,GYF,71.85 
[25405] COMMIT_SELL,TRCadzjH8F 
[25519] ADD,TRCadzjH8F,65791.12 
[25618] BUY,TRCadzjH8F,TOL,636.48 
[25686] COMMIT_SELL,TRCadzjH8F 
[25880] SET_SELL_AMOUNT,TRCadzjH8F,EBS,472.21 
[25986] SET_SELL_TRIGGER,TRCadzjH8F,EBS,44.13 
[26143] SET_SELL_TRIGGER,TRCadzjH8F,XRK,151.65 
[26222] QUOTE,TRCadzjH8F,JGO 
[26252] ADD,TRCadzjH8F,50642.97 
[26349] QUOTE,TRCadzjH8F,LMB 
[26549] QUOTE,TRCadzjH8F,KAR 
[26574] SET_BUY_AMOUNT,TRCadzjH8F,KDA,293.58 
[26657] SET_BUY_TRIGGER,TRCadzjH8F,TAR,240.73 
[26754] SET_BUY_AMOUNT,TRCadzjH8F,QAX,716.82 
[27000] SET_BUY_TRIGGER,TRCadzjH8F,GNY,379.30 
[27048] ADD,TRCadzjH8F,78211.65 
[27058] QUOTE,TRCadzjH8F,UJC 
[27063] BUY,TRCadzjH8F,KDG,653.29 
[27081] CANCEL_BUY,TRCadzjH8F 
[27166] ADD,TRCadzjH8F,75153.36 
[27202] BUY,TRCadzjH8F,VDP,711.20 
[27212] COMMIT_BUY,TRCadzjH8F 
[27257] DISPLAY_SUMMARY,TRCadzjH8F 
[27324] ADD,TRCadzjH8F,49619.44 
[27446] BUY,TRCadzjH8F,AIN,517.48 
[27515] BUY,TRCadzjH8F,AOC,35.78 
[27531] COMMIT_BUY,TRCadzjH8F 
[27749] DISPLAY_SUMMARY,TRCadzjH8F 
[27872] SET_BUY_TRIGGER,TRCadzjH8F,DRP,41.84 
[28061] ADD,TRCadzjH8F,68006.84 
[28072] BUY,TRCadzjH8F,ZNZ,303.29 
[28205] CANCEL_SET_SELL,TRCadzjH8F,XBE 
[28243] SET_BUY_AMOUNT,TRCadzjH8F,KES,97.14 
[28293] SET_BUY_TRIGGER,TRCadzjH8F,DRO,40.86 
[28353] ADD,TRCadzjH8F,52773.87 
[28382] BUY,TRCadzjH8F,ARP,297.34 
[28585] COMMIT_BUY,TRCadzjH8F 
[28660] BUY,TRCadzjH8F,CBY,288.18 
[28670] COMMIT_BUY,TRCadzjH8F 
[28873] ADD,TRCadzjH8F,72432.33 
[28908] BUY,TRCadzjH8F,MFX,185.45 
[29255] COMMIT_BUY,TRCadzjH8F 
[29267] QUOTE,TRCadzjH8F,OYS 
[29296] SET_SELL_AMOUNT,TRCadzjH8F,JCQ,328.18 
[29305] QUOTE,TRCadzjH8F,TTY 
[29421] BUY,TRCadzjH8F,XOP,485.42 
[29431] CANCEL_SELL,TRCadzjH8F 
[29530] DISPLAY_SUMMARY,TRCadzjH8F 
[29549] ADD,TRCadzjH8F,71083.81 
[29684] BUY,TRCadzjH8F,RKY,80.72 
[29688] COMMIT_BUY,TRCadzjH8F 
[29724] SET_BUY_AMOUNT,TRCadzjH8F,CUZ,427.08 
[29741] CANCEL_SET_BUY,TRCadzjH8F,XMA 
[29935] ADD,TRCadzjH8F,63564.38 
[30073] BUY,TRCadzjH8F,PUO,255.25 
[30119] COMMIT_BUY,TRCadzjH8F 
[30160] DISPLAY_SUMMARY,TRCadzjH8F 
[30349] SET_SELL_TRIGGER,TRCadzjH8F,JCQ,251.00 
[30381] SET_SELL_TRIGGER,TRCadzjH8F,HTD,28.95 
[30530] SELL,TRCadzjH8F,FQP,435.51 
[30733] COMMIT_SELL,TRCadzjH8F 
[30800] SET_SELL_AMOUNT,TRCadzjH8F,UTV,471.00 
[30804] SET_SELL_TRIGGER,TRCadzjH8F,UTV,36.78 
[30872] SET_BUY_TRIGGER,TRCadzjH8F,QZN,151.99 
[31355] DISPLAY_SUMMARY,TRCadzjH8F 
[31408] QUOTE,TRCadzjH8F,MOF 
[31521] QUOTE,TRCadzjH8F,SDL 
[31555] BUY,TRCadzjH8F,DJD,498.05 
[31598] BUY,TRCadzjH8F,GUW,367.68 
[31842] SET_BUY_AMOUNT,TRCadzjH8F,JQO,6.14 
[31849] SET_BUY_TRIGGER,TRCadzjH8F,GNY,3.06 
[31865] QUOTE,TRCadzjH8F,VXY 
[31932] BUY,TRCadzjH8F,NZS,386.46 
[31992] QUOTE,TRCadzjH8F,LZV 
[32007] BUY,TRCadzjH8F,YDS,285.72 
[32322] CANCEL_SET_SELL,TRCadzjH8F,ZTR 
[32490] CANCEL_BUY,TRCadzjH8F 
[32492] SELL,TRCadzjH8F,JVT,663.87 
[32654] COMMIT_SELL,TRCadzjH8F 
[32684] SET_BUY_TRIGGER,TRCadzjH8F,SPL,124.94 
[32811] DISPLAY_SUMMARY,TRCadzjH8F 
[32838] ADD,TRCadzjH8F,72581.48 
[33053] QUOTE,TRCadzjH8F,LSW 
[33125] DISPLAY_SUMMARY,TRCadzjH8F 
[33152] BUY,TRCadzjH8F,KEO,92.10 
[33190] BUY,TRCadzjH8F,QHF,723.55 
[33201] COMMIT_BUY,TRCadzjH8F 
[33334] QUOTE,TRCadzjH8F,APU 
[33363] BUY,TRCadzjH8F,MOF,51.27 
[33370] COMMIT_BUY,TRCadzjH8F 
[33461] ADD,TRCadzjH8F,72635.92 
[33669] QUOTE,TRCadzjH8F,MJU 
[33689] QUOTE,TRCadzjH8F,NDD 
[33831] SET_SELL_TRIGGER,TRCadzjH8F,WNU,104.54 
[33894] SELL,TRCadzjH8F,ZAN,383.93 
[34023] COMMIT_SELL,TRCadzjH8F 
[34067] QUOTE,TRCadzjH8F,KEV 
[34207] BUY,TRCadzjH8F,PTP,390.71 
[34560] CANCEL_BUY,TRCadzjH8F 
[34688] ADD,TRCadzjH8F,75370.62 
[34739] CANCEL_SELL,TRCadzjH8F 
[34788] BUY,TRCadzjH8F,KJM,688.47 
[34917] QUOTE,TRCadzjH8F,DLQ 
[34999] SET_BUY_TRIGGER,TRCadzjH8F,SYE,174.81 
[35205] SET_BUY_TRIGGER,TRCadzjH8F,ZHB,132.48 
[35246] SET_SELL_TRIGGER,TRCadzjH8F,CBO,69.99 
[35289] BUY,TRCadzjH8F,IZS,704.56 
[35411] CANCEL_SET_BUY,TRCadzjH8F,PSJ 
[35503] SELL,TRCadzjH8F,ZAN,577.04 
[35577] CANCEL_SET_BUY,TRCadzjH8F,HQU 
[35765] DISPLAY_SUMMARY,TRCadzjH8F 
[35811] BUY,TRCadzjH8F,BFU,511.63 
[35858] COMMIT_BUY,TRCadzjH8F 
[35897] CANCEL_SET_SELL,TRCadzjH8F,ZER 
[35961] SET_BUY_TRIGGER,TRCadzjH8F,LKV,12.74 
[35977] CANCEL_SET_SELL,TRCadzjH8F,LLF 
[36307] SET_SELL_AMOUNT,TRCadzjH8F,YJK,308.28 
[36350] SET_SELL_TRIGGER,TRCadzjH8F,YJK,84.54 
[36383] SET_BUY_AMOUNT,TRCadzjH8F,GYF,104.32 
[36411] SET_BUY_TRIGGER,TRCadzjH8F,YRL,13.11 
[36439] DISPLAY_SUMMARY,TRCadzjH8F 
[36536] SET_SELL_AMOUNT,TRCadzjH8F,KDA,336.90 
[36551] SET_SELL_TRIGGER,TRCadzjH8F,KDA,107.03 
[36739] BUY,TRCadzjH8F,FQG,575.71 
[36762] CANCEL_SELL,TRCadzjH8F 
[36767] BUY,TRCadzjH8F,VKB,471.93 
[36832] COMMIT_BUY,TRCadzjH8F 
[36893] SET_SELL_AMOUNT,TRCadzjH8F,DFE,506.26 
[36965] CANCEL_SET_SELL,TRCadzjH8F,DFE 
[37278] SET_BUY_TRIGGER,TRCadzjH8F,KNM,147.73 
[37359] SELL,TRCadzjH8F,JQO,495.63 
[37415] COMMIT_SELL,TRCadzjH8F 
[37462] SET_BUY_AMOUNT,TRCadzjH8F,ZTI,108.66 
[37701] SET_BUY_TRIGGER,TRCadzjH8F,FTP,81.88 
[37740] BUY,TRCadzjH8F,QPE,350.85 
[37956] COMMIT_BUY,TRCadzjH8F 
[38079] COMMIT_BUY,TRCadzjH8F 
[38185] ADD,TRCadzjH8F,45631.79 
[38251] COMMIT_BUY,TRCadzjH8F 
[38303] DISPLAY_SUMMARY,TRCadzjH8F 
[38448] ADD,TRCadzjH8F,62351.16 
[38481] QUOTE,TRCadzjH8F,RUN 
[38506] SET_SELL_TRIGGER,TRCadzjH8F,JUJ,193.54 
[38534] SET_SELL_TRIGGER,TRCadzjH8F,VYQ,181.45 
[38574] ADD,TRCadzjH8F,84165.89 
[38631] DISPLAY_SUMMARY,TRCadzjH8F 
[38723] SET_SELL_TRIGGER,TRCadzjH8F,NGG,3.74 
[38795] SELL,TRCadzjH8F,YJK,519.67 
[38807] COMMIT_SELL,TRCadzjH8F 
[38981] SET_SELL_AMOUNT,TRCadzjH8F,UTV,146.28 
[39101] SET_SELL_TRIGGER,TRCadzjH8F,UTV,90.49 
[39195] SET_SELL_TRIGGER,TRCadzjH8F,BHJ,8.44 
[39242] SELL,TRCadzjH8F,UTV,315.29 
[39340] QUOTE,TRCadzjH8F,BWL 
[39363] QUOTE,TRCadzjH8F,VOY 
[39364] ADD,TRCadzjH8F,90659.86 
[39378] QUOTE,TRCadzjH8F,SQO 
[39416] CANCEL_BUY,TRCadzjH8F 
[39426] QUOTE,TRCadzjH8F,GXT 
[39510] QUOTE,TRCadzjH8F,MMF 
[39522] QUOTE,TRCadzjH8F,DPG 
[39567] CANCEL_SELL,TRCadzjH8F 
[39828] ADD,TRCadzjH8F,86517.98 
[39853] QUOTE,TRCadzjH8F,WDJ 
[39873] BUY,TRCadzjH8F,RQS,259.66 
[39940] CANCEL_SELL,TRCadzjH8F 
[40070] DISPLAY_SUMMARY,TRCadzjH8F 
[40160] QUOTE,TRCadzjH8F,SEI 
[40214] SET_BUY_AMOUNT,TRCadzjH8F,CUZ,727.43 
[40259] SELL,TRCadzjH8F,BYA,649.45 
[40420] COMMIT_SELL,TRCadzjH8F 
[40652] BUY,TRCadzjH8F,QEO,622.31 
[40693] COMMIT_BUY,TRCadzjH8F 
[40710] ADD,TRCadzjH8F,44639.23 
[40806] QUOTE,TRCadzjH8F,RVU 
[40956] BUY,TRCadzjH8F,UHO,105.95 
[41034] COMMIT_BUY,TRCadzjH8F 
[41505] ADD,TRCadzjH8F,90403.34 
[41720] BUY,TRCadzjH8F,MPP,149.38 
[41879] SET_SELL_TRIGGER,TRCadzjH8F,NAW,50.07 
[41886] ADD,TRCadzjH8F,70577.52 
[42001] BUY,TRCadzjH8F,DTG,739.80 
[42108] COMMIT_BUY,TRCadzjH8F 
[42169] DISPLAY_SUMMARY,TRCadzjH8F 
[42202] QUOTE,TRCadzjH8F,EIH 
[42318] DISPLAY_SUMMARY,TRCadzjH8F 
[42499] SET_BUY_AMOUNT,TRCadzjH8F,YJK,700.49 
[42666] CANCEL_SET_BUY,TRCadzjH8F,JUE 
[42728] DISPLAY_SUMMARY,TRCadzjH8F 
[42809] ADD,TRCadzjH8F,63846.46 
[42873] BUY,TRCadzjH8F,KBP,212.11 
[42879] CANCEL_BUY,TRCadzjH8F 
[42969] ADD,TRCadzjH8F,82786.96 
[42970] COMMIT_SELL,TRCadzjH8F 
[42972] CANCEL_SELL,TRCadzjH8F 
[43051] BUY,TRCadzjH8F,YVX,28.66 
[43055] CANCEL_SELL,TRCadzjH8F 
[43085] SET_SELL_TRIGGER,TRCadzjH8F,DVU,151.16 
[43108] ADD,TRCadzjH8F,49203.52 
[43121] QUOTE,TRCadzjH8F,QQI 
[43168] SET_BUY_AMOUNT,TRCadzjH8F,BYA,700.84 
[43269] SET_BUY_TRIGGER,TRCadzjH8F,EEG,655.09 
[43644] SET_SELL_AMOUNT,TRCadzjH8F,XXQ,324.86 
[43696] SET_SELL_TRIGGER,TRCadzjH8F,XXQ,324.18 
[43730] ADD,TRCadzjH8F,86917.52 
[43998] QUOTE,TRCadzjH8F,KYX 
[44035] SELL,TRCadzjH8F,BYA,317.67 
[44037] COMMIT_SELL,TRCadzjH8F 
[44077] DISPLAY_SUMMARY,TRCadzjH8F 
[44205] SET_SELL_AMOUNT,TRCadzjH8F,QAX,24.64 
[44291] CANCEL_SET_SELL,TRCadzjH8F,QAX 
[44322] QUOTE,TRCadzjH8F,FZB 
[44336] SET_BUY_AMOUNT,TRCadzjH8F,GYF,223.56 
[44381] SET_BUY_TRIGGER,TRCadzjH8F,YOQ,38.65 
[44416] COMMIT_BUY,TRCadzjH8F 
[44443] DISPLAY_SUMMARY,TRCadzjH8F 
[44576] QUOTE,TRCadzjH8F,YMG 
