[174] ADD,FjKEXA3hdZ,66541.76 
[6300] SET_SELL_AMOUNT,FjKEXA3hdZ,OEY,24.18 
[6423] CANCEL_SET_SELL,FjKEXA3hdZ,OEY 
[6479] CANCEL_SET_SELL,FjKEXA3hdZ,IDN 
[6594] SET_SELL_TRIGGER,FjKEXA3hdZ,XII,162.38 
[6623] CANCEL_SET_SELL,FjKEXA3hdZ,NJI 
[6861] SELL,FjKEXA3hdZ,EBS,547.70 
[6899] CANCEL_SELL,FjKEXA3hdZ 
[6938] ADD,FjKEXA3hdZ,66571.41 
[7045] COMMIT_BUY,FjKEXA3hdZ 
[7057] DISPLAY_SUMMARY,FjKEXA3hdZ 
[7137] SET_SELL_TRIGGER,FjKEXA3hdZ,LRS,127.01 
[7173] SET_SELL_TRIGGER,FjKEXA3hdZ,KYT,87.24 
[7270] CANCEL_SET_SELL,FjKEXA3hdZ,IIX 
[7329] ADD,FjKEXA3hdZ,59604.27 
[7366] BUY,FjKEXA3hdZ,PCK,272.20 
[7447] COMMIT_BUY,FjKEXA3hdZ 
[7553] CANCEL_SET_BUY,FjKEXA3hdZ,CMA 
[7581] DISPLAY_SUMMARY,FjKEXA3hdZ 
[7615] COMMIT_SELL,FjKEXA3hdZ 
[7864] SET_SELL_AMOUNT,FjKEXA3hdZ,EBS,631.04 
[7971] SET_SELL_TRIGGER,FjKEXA3hdZ,EBS,474.38 
[8037] SET_SELL_AMOUNT,FjKEXA3hdZ,OEY,183.95 
[8072] SET_SELL_TRIGGER,FjKEXA3hdZ,OEY,87.91 
[8135] QUOTE,FjKEXA3hdZ,ZEU 
[8575] BUY,FjKEXA3hdZ,PTP,654.10 
[8581] COMMIT_BUY,FjKEXA3hdZ 
[8764] ADD,FjKEXA3hdZ,82488.95 
[8787] BUY,FjKEXA3hdZ,IJO,387.82 
[9063] COMMIT_BUY,FjKEXA3hdZ 
[9381] DISPLAY_SUMMARY,FjKEXA3hdZ 
[9405] ADD,FjKEXA3hdZ,41764.85 
[9522] COMMIT_BUY,FjKEXA3hdZ 
[9548] SET_SELL_TRIGGER,FjKEXA3hdZ,VEE,16.41 
[9684] SELL,FjKEXA3hdZ,JQO,541.61 
[9916] COMMIT_SELL,FjKEXA3hdZ 
[10153] SELL,FjKEXA3hdZ,KDA,352.75 
[10308] COMMIT_SELL,FjKEXA3hdZ 
[10511] DISPLAY_SUMMARY,FjKEXA3hdZ 
[10640] ADD,FjKEXA3hdZ,55401.62 
[10721] QUOTE,FjKEXA3hdZ,OIV 
[10778] BUY,FjKEXA3hdZ,ZNL,596.77 
[10877] SET_BUY_AMOUNT,FjKEXA3hdZ,EBS,166.65 
[11011] QUOTE,FjKEXA3hdZ,UGG 
[11032] SET_BUY_TRIGGER,FjKEXA3hdZ,BVN,165.66 
[11080] SELL,FjKEXA3hdZ,QJZ,298.15 
[11172] CANCEL_SELL,FjKEXA3hdZ 
[11199] SELL,FjKEXA3hdZ,QAX,125.85 
[11272] QUOTE,FjKEXA3hdZ,ESN 
[11367] QUOTE,FjKEXA3hdZ,CMA 
[11371] SET_BUY_AMOUNT,FjKEXA3hdZ,UTV,728.68 
[11416] SET_BUY_TRIGGER,FjKEXA3hdZ,JGY,629.09 
[11423] SET_BUY_AMOUNT,FjKEXA3hdZ,JRJ,222.06 
[11500] DISPLAY_SUMMARY,FjKEXA3hdZ 
[11585] ADD,FjKEXA3hdZ,77612.31 
[11747] CANCEL_SET_BUY,FjKEXA3hdZ,MRK 
[11844] DISPLAY_SUMMARY,FjKEXA3hdZ 
[11941] ADD,FjKEXA3hdZ,61996.95 
[12090] BUY,FjKEXA3hdZ,NFQ,439.48 
[12105] COMMIT_BUY,FjKEXA3hdZ 
[12114] SET_BUY_AMOUNT,FjKEXA3hdZ,UTV,267.02 
[12135] SET_BUY_TRIGGER,FjKEXA3hdZ,NJT,67.71 
[12161] SET_SELL_AMOUNT,FjKEXA3hdZ,UTV,207.28 
[12257] SET_SELL_TRIGGER,FjKEXA3hdZ,UTV,8.68 
[12266] SELL,FjKEXA3hdZ,NHG,83.11 
[12441] BUY,FjKEXA3hdZ,MWM,384.72 
[12504] ADD,FjKEXA3hdZ,67670.25 
[12524] QUOTE,FjKEXA3hdZ,WHR 
[12568] SET_SELL_AMOUNT,FjKEXA3hdZ,FQP,694.91 
[12604] SELL,FjKEXA3hdZ,KES,1.46 
[12611] COMMIT_BUY,FjKEXA3hdZ 
[12731] ADD,FjKEXA3hdZ,73366.99 
[12754] DISPLAY_SUMMARY,FjKEXA3hdZ 
[12818] ADD,FjKEXA3hdZ,65762.71 
[13066] QUOTE,FjKEXA3hdZ,PUU 
[13072] DISPLAY_SUMMARY,FjKEXA3hdZ 
[13269] QUOTE,FjKEXA3hdZ,UEC 
[13327] SET_BUY_TRIGGER,FjKEXA3hdZ,XII,40.21 
[13500] DISPLAY_SUMMARY,FjKEXA3hdZ 
[13577] BUY,FjKEXA3hdZ,LJY,128.45 
[13717] COMMIT_BUY,FjKEXA3hdZ 
[13896] ADD,FjKEXA3hdZ,49995.70 
[13906] BUY,FjKEXA3hdZ,YOQ,311.16 
[13938] COMMIT_BUY,FjKEXA3hdZ 
[13951] ADD,FjKEXA3hdZ,66569.80 
[13952] BUY,FjKEXA3hdZ,FKX,469.16 
[14108] COMMIT_SELL,FjKEXA3hdZ 
[14192] SET_BUY_AMOUNT,FjKEXA3hdZ,JRJ,350.04 
[14209] SET_BUY_TRIGGER,FjKEXA3hdZ,OBO,210.00 
[14258] SELL,FjKEXA3hdZ,GYF,654.03 
[14324] COMMIT_SELL,FjKEXA3hdZ 
[14395] BUY,FjKEXA3hdZ,JVT,684.11 
[14410] CANCEL_BUY,FjKEXA3hdZ 
[14438] DISPLAY_SUMMARY,FjKEXA3hdZ 
[14493] SET_BUY_AMOUNT,FjKEXA3hdZ,UTV,713.86 
[14553] SET_BUY_TRIGGER,FjKEXA3hdZ,IIX,532.53 
[14619] DISPLAY_SUMMARY,FjKEXA3hdZ 
[14741] COMMIT_BUY,FjKEXA3hdZ 
[14842] ADD,FjKEXA3hdZ,78713.28 
[14931] CANCEL_SELL,FjKEXA3hdZ 
[14999] SET_BUY_AMOUNT,FjKEXA3hdZ,JRJ,644.44 
[15024] SET_BUY_TRIGGER,FjKEXA3hdZ,NGG,22.92 
[15082] DISPLAY_SUMMARY,FjKEXA3hdZ 
[15097] BUY,FjKEXA3hdZ,WUL,33.07 
[15255] QUOTE,FjKEXA3hdZ,JLO 
[15392] BUY,FjKEXA3hdZ,QGL,508.60 
[15402] COMMIT_BUY,FjKEXA3hdZ 
[15686] DISPLAY_SUMMARY,FjKEXA3hdZ 
[15792] SET_BUY_TRIGGER,FjKEXA3hdZ,EED,142.09 
[16031] CANCEL_SELL,FjKEXA3hdZ 
[16051] ADD,FjKEXA3hdZ,69498.45 
[16061] QUOTE,FjKEXA3hdZ,WCR 
[16103] QUOTE,FjKEXA3hdZ,BZH 
[16638] QUOTE,FjKEXA3hdZ,JXR 
[16703] SELL,FjKEXA3hdZ,ZAN,148.64 
[16779] COMMIT_SELL,FjKEXA3hdZ 
[16793] BUY,FjKEXA3hdZ,XXP,391.48 
[16890] CANCEL_SET_BUY,FjKEXA3hdZ,WKL 
[16895] DISPLAY_SUMMARY,FjKEXA3hdZ 
[16922] ADD,FjKEXA3hdZ,70085.71 
[16933] BUY,FjKEXA3hdZ,YNH,96.95 
[16951] SET_SELL_TRIGGER,FjKEXA3hdZ,FQP,420.32 
[16974] DISPLAY_SUMMARY,FjKEXA3hdZ 
[17017] BUY,FjKEXA3hdZ,RQF,97.01 
[17490] COMMIT_BUY,FjKEXA3hdZ 
[17499] BUY,FjKEXA3hdZ,QXW,248.46 
[17522] SET_BUY_TRIGGER,FjKEXA3hdZ,SOA,116.13 
[17575] QUOTE,FjKEXA3hdZ,ZEG 
[17602] SET_BUY_TRIGGER,FjKEXA3hdZ,URI,4.89 
[17776] ADD,FjKEXA3hdZ,70241.86 
[17901] COMMIT_SELL,FjKEXA3hdZ 
[18285] SET_SELL_AMOUNT,FjKEXA3hdZ,FQP,460.30 
[18303] SET_SELL_TRIGGER,FjKEXA3hdZ,FQP,154.33 
[18410] SET_SELL_TRIGGER,FjKEXA3hdZ,PTP,56.28 
[18487] SET_SELL_AMOUNT,FjKEXA3hdZ,NHG,101.00 
[18499] DISPLAY_SUMMARY,FjKEXA3hdZ 
[18569] DISPLAY_SUMMARY,FjKEXA3hdZ 
[18622] DISPLAY_SUMMARY,FjKEXA3hdZ 
[18625] DISPLAY_SUMMARY,FjKEXA3hdZ 
[18636] SET_SELL_AMOUNT,FjKEXA3hdZ,LFU,95.76 
[18726] SET_SELL_TRIGGER,FjKEXA3hdZ,LFU,29.99 
[18824] SET_BUY_AMOUNT,FjKEXA3hdZ,GYF,192.08 
[18907] SET_BUY_TRIGGER,FjKEXA3hdZ,LPW,122.00 
[18912] BUY,FjKEXA3hdZ,SDW,50.02 
[18945] QUOTE,FjKEXA3hdZ,LGL 
[19068] DISPLAY_SUMMARY,FjKEXA3hdZ 
[19103] QUOTE,FjKEXA3hdZ,LLE 
[19105] SET_SELL_TRIGGER,FjKEXA3hdZ,MER,136.64 
[19207] DISPLAY_SUMMARY,FjKEXA3hdZ 
[19246] DISPLAY_SUMMARY,FjKEXA3hdZ 
[19288] ADD,FjKEXA3hdZ,66645.15 
[19323] QUOTE,FjKEXA3hdZ,ZGC 
[19338] CANCEL_SET_BUY,FjKEXA3hdZ,FOV 
[19348] SET_SELL_TRIGGER,FjKEXA3hdZ,DJD,50.62 
[19357] DISPLAY_SUMMARY,FjKEXA3hdZ 
[19559] DISPLAY_SUMMARY,FjKEXA3hdZ 
[19614] BUY,FjKEXA3hdZ,OYX,547.72 
[19637] COMMIT_BUY,FjKEXA3hdZ 
[19659] SET_SELL_AMOUNT,FjKEXA3hdZ,JRJ,86.29 
[20001] CANCEL_SET_SELL,FjKEXA3hdZ,JRJ 
[20078] CANCEL_SET_SELL,FjKEXA3hdZ,SSW 
[20085] ADD,FjKEXA3hdZ,79651.01 
[20179] BUY,FjKEXA3hdZ,SPT,456.72 
[20522] COMMIT_BUY,FjKEXA3hdZ 
[20678] ADD,FjKEXA3hdZ,73159.24 
[20686] SELL,FjKEXA3hdZ,KES,480.88 
[20765] BUY,FjKEXA3hdZ,BTD,724.13 
[20772] BUY,FjKEXA3hdZ,WKL,276.74 
[20774] SET_SELL_TRIGGER,FjKEXA3hdZ,WKL,64.49 
[20806] SELL,FjKEXA3hdZ,JCQ,182.38 
[21012] CANCEL_BUY,FjKEXA3hdZ 
[21087] SELL,FjKEXA3hdZ,RUN,567.03 
[21125] COMMIT_SELL,FjKEXA3hdZ 
[21207] SET_SELL_AMOUNT,FjKEXA3hdZ,FQP,737.30 
[21279] SET_SELL_TRIGGER,FjKEXA3hdZ,FQP,668.12 
[21343] ADD,FjKEXA3hdZ,66495.32 
[21431] QUOTE,FjKEXA3hdZ,JDO 
[21519] CANCEL_SET_SELL,FjKEXA3hdZ,BXH 
[21552] CANCEL_SET_BUY,FjKEXA3hdZ,TKV 
[21664] ADD,FjKEXA3hdZ,73154.48 
[21786] ADD,FjKEXA3hdZ,53831.21 
[21922] CANCEL_SET_BUY,FjKEXA3hdZ,IOM 
[21944] QUOTE,FjKEXA3hdZ,QZN 
[21957] CANCEL_SELL,FjKEXA3hdZ 
[22211] SELL,FjKEXA3hdZ,QAX,405.94 
[22240] COMMIT_SELL,FjKEXA3hdZ 
[22245] BUY,FjKEXA3hdZ,SUS,403.71 
[22377] COMMIT_BUY,FjKEXA3hdZ 
[22578] CANCEL_SET_SELL,FjKEXA3hdZ,GWF 
[22622] DISPLAY_SUMMARY,FjKEXA3hdZ 
[22631] ADD,FjKEXA3hdZ,78048.86 
[22685] BUY,FjKEXA3hdZ,CBO,219.33 
[22917] COMMIT_BUY,FjKEXA3hdZ 
[23069] BUY,FjKEXA3hdZ,WAO,408.17 
[23125] COMMIT_BUY,FjKEXA3hdZ 
[23244] BUY,FjKEXA3hdZ,MIU,735.55 
[23332] CANCEL_BUY,FjKEXA3hdZ 
[23456] SET_SELL_TRIGGER,FjKEXA3hdZ,AMI,97.11 
[23534] BUY,FjKEXA3hdZ,CXB,570.53 
[23583] COMMIT_SELL,FjKEXA3hdZ 
[23597] ADD,FjKEXA3hdZ,78728.99 
[23664] QUOTE,FjKEXA3hdZ,VFH 
[23667] BUY,FjKEXA3hdZ,LLZ,433.52 
[24036] COMMIT_BUY,FjKEXA3hdZ 
[24056] QUOTE,FjKEXA3hdZ,OOR 
[24065] SELL,FjKEXA3hdZ,GYF,350.70 
[24251] COMMIT_SELL,FjKEXA3hdZ 
[24346] DISPLAY_SUMMARY,FjKEXA3hdZ 
[24419] SET_SELL_TRIGGER,FjKEXA3hdZ,TFZ,177.70 
[24524] SET_SELL_AMOUNT,FjKEXA3hdZ,JQO,425.12 
[24560] SELL,FjKEXA3hdZ,KDA,11.85 
[24833] CANCEL_SET_BUY,FjKEXA3hdZ,WYO 
[24837] SET_BUY_AMOUNT,FjKEXA3hdZ,BYA,659.08 
[25043] CANCEL_SET_BUY,FjKEXA3hdZ,EVR 
[25116] COMMIT_BUY,FjKEXA3hdZ 
[25238] SET_BUY_AMOUNT,FjKEXA3hdZ,YJK,83.05 
[25357] SET_BUY_TRIGGER,FjKEXA3hdZ,TYV,73.90 
[25363] SET_SELL_TRIGGER,FjKEXA3hdZ,JQO,70.22 
[25377] ADD,FjKEXA3hdZ,63251.74 
[25484] QUOTE,FjKEXA3hdZ,JDO 
[25594] QUOTE,FjKEXA3hdZ,DDH 
[25746] BUY,FjKEXA3hdZ,QTH,651.45 
[25805] COMMIT_BUY,FjKEXA3hdZ 
[25845] SET_BUY_TRIGGER,FjKEXA3hdZ,WZY,55.74 
[25974] ADD,FjKEXA3hdZ,59865.00 
[26029] QUOTE,FjKEXA3hdZ,NGG 
[26030] QUOTE,FjKEXA3hdZ,UEC 
[26071] CANCEL_BUY,FjKEXA3hdZ 
[26110] ADD,FjKEXA3hdZ,50769.51 
[26232] BUY,FjKEXA3hdZ,LFU,404.69 
[26247] SET_SELL_AMOUNT,FjKEXA3hdZ,XXQ,197.52 
[26291] DISPLAY_SUMMARY,FjKEXA3hdZ 
[26362] DISPLAY_SUMMARY,FjKEXA3hdZ 
[26403] SET_BUY_TRIGGER,FjKEXA3hdZ,CUZ,120.25 
[26466] SET_BUY_AMOUNT,FjKEXA3hdZ,DFE,300.22 
[26615] SET_BUY_TRIGGER,FjKEXA3hdZ,FMJ,21.91 
[26622] ADD,FjKEXA3hdZ,67235.04 
[26652] QUOTE,FjKEXA3hdZ,WCR 
[26668] SET_SELL_AMOUNT,FjKEXA3hdZ,EBS,398.87 
[26690] BUY,FjKEXA3hdZ,SQO,382.13 
[26704] SELL,FjKEXA3hdZ,JQO,70.60 
[26717] ADD,FjKEXA3hdZ,77022.38 
[26845] BUY,FjKEXA3hdZ,QXE,541.47 
[26872] CANCEL_BUY,FjKEXA3hdZ 
[26888] BUY,FjKEXA3hdZ,CDF,52.72 
[26942] ADD,FjKEXA3hdZ,73990.58 
[27080] QUOTE,FjKEXA3hdZ,MDZ 
[27214] BUY,FjKEXA3hdZ,FPP,363.54 
[27275] COMMIT_BUY,FjKEXA3hdZ 
[27586] BUY,FjKEXA3hdZ,GAL,68.45 
[27615] COMMIT_BUY,FjKEXA3hdZ 
[27730] DISPLAY_SUMMARY,FjKEXA3hdZ 
[27935] ADD,FjKEXA3hdZ,69464.43 
[28004] SET_SELL_AMOUNT,FjKEXA3hdZ,EBS,76.51 
[28047] SET_SELL_TRIGGER,FjKEXA3hdZ,EBS,27.85 
[28080] DISPLAY_SUMMARY,FjKEXA3hdZ 
[28115] COMMIT_BUY,FjKEXA3hdZ 
[28212] BUY,FjKEXA3hdZ,IOM,694.45 
[28338] COMMIT_BUY,FjKEXA3hdZ 
[28370] SET_SELL_AMOUNT,FjKEXA3hdZ,NHG,356.05 
[28387] SET_SELL_TRIGGER,FjKEXA3hdZ,NHG,248.24 
[28391] DISPLAY_SUMMARY,FjKEXA3hdZ 
[28427] QUOTE,FjKEXA3hdZ,YCH 
[28642] BUY,FjKEXA3hdZ,WGP,679.27 
[28693] COMMIT_BUY,FjKEXA3hdZ 
[28804] SET_BUY_AMOUNT,FjKEXA3hdZ,BCQ,174.82 
[28869] SET_BUY_TRIGGER,FjKEXA3hdZ,IFC,82.80 
[28918] SELL,FjKEXA3hdZ,OPN,477.23 
[28928] BUY,FjKEXA3hdZ,IPH,230.91 
[29011] COMMIT_BUY,FjKEXA3hdZ 
[29109] ADD,FjKEXA3hdZ,81947.77 
[29186] QUOTE,FjKEXA3hdZ,KXF 
[29392] QUOTE,FjKEXA3hdZ,NDD 
[29457] SET_BUY_AMOUNT,FjKEXA3hdZ,BYA,81.44 
[29577] SET_BUY_TRIGGER,FjKEXA3hdZ,IIX,49.14 
[29776] ADD,FjKEXA3hdZ,86916.76 
[30207] BUY,FjKEXA3hdZ,ZYR,351.43 
[30302] COMMIT_BUY,FjKEXA3hdZ 
[30537] QUOTE,FjKEXA3hdZ,GJR 
[30564] CANCEL_BUY,FjKEXA3hdZ 
[30594] ADD,FjKEXA3hdZ,86412.59 
[30765] CANCEL_SET_BUY,FjKEXA3hdZ,NFQ 
[30815] DISPLAY_SUMMARY,FjKEXA3hdZ 
[30840] ADD,FjKEXA3hdZ,35329.84 
[30858] BUY,FjKEXA3hdZ,ZNZ,157.33 
[30870] COMMIT_BUY,FjKEXA3hdZ 
[31328] ADD,FjKEXA3hdZ,43597.51 
[31353] BUY,FjKEXA3hdZ,IFN,336.40 
[31369] SET_SELL_AMOUNT,FjKEXA3hdZ,XXQ,309.66 
[31549] SET_SELL_TRIGGER,FjKEXA3hdZ,XXQ,19.24 
[31623] SET_BUY_AMOUNT,FjKEXA3hdZ,FQP,150.41 
[31715] SET_BUY_TRIGGER,FjKEXA3hdZ,GGY,97.50 
[31721] ADD,FjKEXA3hdZ,97154.85 
[31895] BUY,FjKEXA3hdZ,GAL,398.33 
[32072] COMMIT_BUY,FjKEXA3hdZ 
[32113] ADD,FjKEXA3hdZ,98413.84 
[32193] QUOTE,FjKEXA3hdZ,BEC 
[32204] SET_BUY_TRIGGER,FjKEXA3hdZ,YWK,157.29 
[32301] SET_SELL_TRIGGER,FjKEXA3hdZ,LSW,20.17 
[32307] COMMIT_SELL,FjKEXA3hdZ 
[32309] ADD,FjKEXA3hdZ,64052.47 
[32355] BUY,FjKEXA3hdZ,AHE,247.71 
[32364] COMMIT_BUY,FjKEXA3hdZ 
[32401] SELL,FjKEXA3hdZ,ZTI,235.94 
[32413] CANCEL_SELL,FjKEXA3hdZ 
[32547] SET_SELL_TRIGGER,FjKEXA3hdZ,JRJ,181.62 
[32646] SET_BUY_AMOUNT,FjKEXA3hdZ,ZTI,615.75 
[32687] SET_BUY_TRIGGER,FjKEXA3hdZ,WZM,98.11 
[32706] QUOTE,FjKEXA3hdZ,BSG 
[32729] BUY,FjKEXA3hdZ,YBO,439.33 
[32783] SET_SELL_TRIGGER,FjKEXA3hdZ,MHR,165.92 
[32877] DISPLAY_SUMMARY,FjKEXA3hdZ 
[33116] DISPLAY_SUMMARY,FjKEXA3hdZ 
[33128] BUY,FjKEXA3hdZ,JNO,329.20 
[33178] COMMIT_BUY,FjKEXA3hdZ 
[33184] QUOTE,FjKEXA3hdZ,XBL 
[33208] SELL,FjKEXA3hdZ,ZAN,665.23 
[33209] DISPLAY_SUMMARY,FjKEXA3hdZ 
[33238] BUY,FjKEXA3hdZ,NJF,408.49 
[33261] DISPLAY_SUMMARY,FjKEXA3hdZ 
[33266] SET_BUY_TRIGGER,FjKEXA3hdZ,MQP,18.33 
[33308] QUOTE,FjKEXA3hdZ,OEN 
[33335] QUOTE,FjKEXA3hdZ,OLI 
[33338] QUOTE,FjKEXA3hdZ,NLT 
[33433] BUY,FjKEXA3hdZ,MIR,532.13 
[33492] COMMIT_BUY,FjKEXA3hdZ 
[33494] SET_BUY_TRIGGER,FjKEXA3hdZ,WQE,162.82 
[33512] SET_BUY_AMOUNT,FjKEXA3hdZ,QAX,567.95 
[33580] SET_BUY_TRIGGER,FjKEXA3hdZ,SJH,330.54 
[33591] ADD,FjKEXA3hdZ,80669.89 
[33726] QUOTE,FjKEXA3hdZ,ZDB 
[33803] BUY,FjKEXA3hdZ,TUO,99.43 
[33876] COMMIT_BUY,FjKEXA3hdZ 
[33978] BUY,FjKEXA3hdZ,DFE,536.55 
[34092] SET_SELL_TRIGGER,FjKEXA3hdZ,HIW,55.15 
[34109] SELL,FjKEXA3hdZ,DFE,106.27 
[34120] COMMIT_SELL,FjKEXA3hdZ 
[34233] SET_SELL_AMOUNT,FjKEXA3hdZ,CSZ,447.70 
[34246] SET_SELL_TRIGGER,FjKEXA3hdZ,CSZ,281.95 
[34292] QUOTE,FjKEXA3hdZ,DVU 
[34357] BUY,FjKEXA3hdZ,RRT,463.96 
[34425] CANCEL_BUY,FjKEXA3hdZ 
[34541] QUOTE,FjKEXA3hdZ,TYV 
[34547] BUY,FjKEXA3hdZ,ZTI,732.69 
[34584] COMMIT_BUY,FjKEXA3hdZ 
[34673] SELL,FjKEXA3hdZ,ZTI,243.94 
[34730] COMMIT_SELL,FjKEXA3hdZ 
[34736] SET_SELL_AMOUNT,FjKEXA3hdZ,AVX,107.63 
[34817] SET_SELL_TRIGGER,FjKEXA3hdZ,AVX,94.92 
[34832] ADD,FjKEXA3hdZ,58789.80 
[34949] QUOTE,FjKEXA3hdZ,MVI 
[35033] QUOTE,FjKEXA3hdZ,ZKV 
[35293] ADD,FjKEXA3hdZ,53141.29 
[35453] BUY,FjKEXA3hdZ,AQO,499.18 
[35572] DISPLAY_SUMMARY,FjKEXA3hdZ 
[35633] SET_SELL_TRIGGER,FjKEXA3hdZ,FVS,160.92 
[35676] SELL,FjKEXA3hdZ,XLK,482.66 
[35725] QUOTE,FjKEXA3hdZ,SYU 
[35872] BUY,FjKEXA3hdZ,IFQ,363.59 
[35885] COMMIT_BUY,FjKEXA3hdZ 
[35942] DISPLAY_SUMMARY,FjKEXA3hdZ 
[35953] COMMIT_BUY,FjKEXA3hdZ 
[36004] ADD,FjKEXA3hdZ,68479.95 
[36026] QUOTE,FjKEXA3hdZ,YNH 
[36027] SET_BUY_TRIGGER,FjKEXA3hdZ,HBF,125.43 
[36177] SELL,FjKEXA3hdZ,KDA,745.07 
[36233] CANCEL_BUY,FjKEXA3hdZ 
[36249] SELL,FjKEXA3hdZ,OEY,498.60 
[36314] QUOTE,FjKEXA3hdZ,ZWZ 
[36442] ADD,FjKEXA3hdZ,79676.73 
[36443] CANCEL_SET_SELL,FjKEXA3hdZ,UZZ 
[36458] SELL,FjKEXA3hdZ,QJZ,694.74 
[36581] COMMIT_SELL,FjKEXA3hdZ 
[36591] ADD,FjKEXA3hdZ,57269.44 
[36724] BUY,FjKEXA3hdZ,AUX,433.75 
[36777] COMMIT_BUY,FjKEXA3hdZ 
[37110] DISPLAY_SUMMARY,FjKEXA3hdZ 
[37231] QUOTE,FjKEXA3hdZ,IRQ 
[37283] SET_BUY_TRIGGER,FjKEXA3hdZ,OGB,163.70 
[37323] SET_BUY_AMOUNT,FjKEXA3hdZ,EBS,253.57 
[37327] DISPLAY_SUMMARY,FjKEXA3hdZ 
[37354] SET_SELL_AMOUNT,FjKEXA3hdZ,UBJ,387.28 
