[137] ADD,hPnf9OsmbW,69908.07 
[5647] SET_SELL_AMOUNT,hPnf9OsmbW,FQP,50.30 
[5772] SET_SELL_TRIGGER,hPnf9OsmbW,FQP,0.92 
[5917] QUOTE,hPnf9OsmbW,FTP 
[5934] BUY,hPnf9OsmbW,RQS,503.28 
[6033] COMMIT_BUY,hPnf9OsmbW 
[6038] DISPLAY_SUMMARY,hPnf9OsmbW 
[6071] CANCEL_SET_BUY,hPnf9OsmbW,QVA 
[6079] SELL,hPnf9OsmbW,JVT,244.19 
[6171] COMMIT_SELL,hPnf9OsmbW 
[6219] SET_BUY_AMOUNT,hPnf9OsmbW,QJZ,430.83 
[6252] SET_BUY_TRIGGER,hPnf9OsmbW,ONI,416.40 
[6371] ADD,hPnf9OsmbW,95910.04 
[6453] BUY,hPnf9OsmbW,XTH,91.05 
[6577] COMMIT_BUY,hPnf9OsmbW 
[6860] QUOTE,hPnf9OsmbW,JLK 
[7071] BUY,hPnf9OsmbW,AAC,301.30 
[7125] SELL,hPnf9OsmbW,JVT,397.76 
[7325] SET_BUY_AMOUNT,hPnf9OsmbW,JVT,21.53 
[7417] SET_BUY_TRIGGER,hPnf9OsmbW,MHQ,3.56 
[7466] SELL,hPnf9OsmbW,OEY,284.05 
[7478] COMMIT_SELL,hPnf9OsmbW 
[7488] SET_SELL_AMOUNT,hPnf9OsmbW,JVT,274.40 
[7518] SET_SELL_TRIGGER,hPnf9OsmbW,JVT,172.15 
[7631] DISPLAY_SUMMARY,hPnf9OsmbW 
[7778] ADD,hPnf9OsmbW,70676.67 
[7801] QUOTE,hPnf9OsmbW,AOH 
[7916] ADD,hPnf9OsmbW,68555.63 
[7922] QUOTE,hPnf9OsmbW,LPS 
[7974] QUOTE,hPnf9OsmbW,XOP 
[8036] ADD,hPnf9OsmbW,51221.51 
[8053] QUOTE,hPnf9OsmbW,AMI 
[8136] SELL,hPnf9OsmbW,KDA,454.93 
[8191] COMMIT_SELL,hPnf9OsmbW 
[8322] SELL,hPnf9OsmbW,JVT,520.33 
[8352] COMMIT_SELL,hPnf9OsmbW 
[8508] BUY,hPnf9OsmbW,ALG,506.97 
[8514] SELL,hPnf9OsmbW,JVT,455.62 
[8830] COMMIT_BUY,hPnf9OsmbW 
[8890] DISPLAY_SUMMARY,hPnf9OsmbW 
[9138] SET_BUY_TRIGGER,hPnf9OsmbW,OZO,55.48 
[9210] QUOTE,hPnf9OsmbW,VXY 
[9297] BUY,hPnf9OsmbW,XPX,623.31 
[9342] SET_SELL_AMOUNT,hPnf9OsmbW,KDA,567.89 
[9412] SET_SELL_TRIGGER,hPnf9OsmbW,KDA,493.26 
[9496] SELL,hPnf9OsmbW,FQP,143.04 
[9501] SET_SELL_TRIGGER,hPnf9OsmbW,WNU,141.35 
[9859] DISPLAY_SUMMARY,hPnf9OsmbW 
[9903] QUOTE,hPnf9OsmbW,NLT 
[10068] DISPLAY_SUMMARY,hPnf9OsmbW 
[10171] ADD,hPnf9OsmbW,101267.68 
[10259] BUY,hPnf9OsmbW,EEG,293.61 
[10263] CANCEL_SELL,hPnf9OsmbW 
[10303] QUOTE,hPnf9OsmbW,JEA 
[10428] SET_SELL_AMOUNT,hPnf9OsmbW,QJZ,555.13 
[10630] BUY,hPnf9OsmbW,VMK,535.35 
[10876] COMMIT_BUY,hPnf9OsmbW 
[10977] SELL,hPnf9OsmbW,OEY,689.96 
[11022] COMMIT_SELL,hPnf9OsmbW 
[11070] QUOTE,hPnf9OsmbW,VBO 
[11137] QUOTE,hPnf9OsmbW,ZER 
[11260] SELL,hPnf9OsmbW,KDA,560.13 
[11321] QUOTE,hPnf9OsmbW,GAL 
[11332] BUY,hPnf9OsmbW,KJD,193.83 
[11985] CANCEL_SELL,hPnf9OsmbW 
[12079] ADD,hPnf9OsmbW,57940.62 
[12118] QUOTE,hPnf9OsmbW,ECX 
[12263] SELL,hPnf9OsmbW,KDA,38.26 
[12402] CANCEL_SET_BUY,hPnf9OsmbW,IGT 
[12421] BUY,hPnf9OsmbW,SPL,698.79 
[12528] COMMIT_BUY,hPnf9OsmbW 
[12558] QUOTE,hPnf9OsmbW,JYV 
[12563] SELL,hPnf9OsmbW,GYF,32.12 
[12657] ADD,hPnf9OsmbW,69502.15 
[12790] COMMIT_BUY,hPnf9OsmbW 
[12793] ADD,hPnf9OsmbW,84042.26 
[12985] QUOTE,hPnf9OsmbW,IAV 
[13035] SET_BUY_AMOUNT,hPnf9OsmbW,QJZ,603.77 
[13579] SET_BUY_TRIGGER,hPnf9OsmbW,SEI,89.78 
[13656] SET_SELL_AMOUNT,hPnf9OsmbW,QJZ,679.32 
[13688] SET_SELL_TRIGGER,hPnf9OsmbW,QJZ,288.72 
[13968] ADD,hPnf9OsmbW,74060.66 
[14017] QUOTE,hPnf9OsmbW,OSA 
[14028] BUY,hPnf9OsmbW,LLF,412.37 
[14211] SET_BUY_AMOUNT,hPnf9OsmbW,EBS,9.10 
[14358] SELL,hPnf9OsmbW,JCQ,107.20 
[14424] SET_BUY_AMOUNT,hPnf9OsmbW,QJZ,304.44 
[14431] DISPLAY_SUMMARY,hPnf9OsmbW 
[14626] SET_SELL_AMOUNT,hPnf9OsmbW,JVT,483.69 
[14643] SET_SELL_TRIGGER,hPnf9OsmbW,JVT,194.51 
[14951] ADD,hPnf9OsmbW,57470.23 
[14972] QUOTE,hPnf9OsmbW,CXB 
[14978] BUY,hPnf9OsmbW,OYW,343.47 
[15001] COMMIT_BUY,hPnf9OsmbW 
[15234] ADD,hPnf9OsmbW,57669.33 
[15351] CANCEL_SET_SELL,hPnf9OsmbW,OQZ 
[15393] DISPLAY_SUMMARY,hPnf9OsmbW 
[15504] DISPLAY_SUMMARY,hPnf9OsmbW 
[15610] QUOTE,hPnf9OsmbW,KJD 
[15695] BUY,hPnf9OsmbW,OYX,196.27 
[16021] COMMIT_BUY,hPnf9OsmbW 
[16140] SET_BUY_TRIGGER,hPnf9OsmbW,HIW,222.96 
[16182] SET_SELL_TRIGGER,hPnf9OsmbW,VDP,189.98 
[16286] ADD,hPnf9OsmbW,65953.97 
[16427] QUOTE,hPnf9OsmbW,TOL 
[16682] COMMIT_SELL,hPnf9OsmbW 
[16716] QUOTE,hPnf9OsmbW,OHG 
[16759] BUY,hPnf9OsmbW,DLQ,431.43 
[17002] COMMIT_BUY,hPnf9OsmbW 
[17039] SET_BUY_TRIGGER,hPnf9OsmbW,SAJ,16.42 
[17050] SELL,hPnf9OsmbW,QAX,327.42 
[17082] COMMIT_BUY,hPnf9OsmbW 
[17159] ADD,hPnf9OsmbW,60456.73 
[17229] SELL,hPnf9OsmbW,JRJ,272.12 
[17468] CANCEL_SELL,hPnf9OsmbW 
[17654] QUOTE,hPnf9OsmbW,XWZ 
[17674] CANCEL_BUY,hPnf9OsmbW 
[18038] COMMIT_SELL,hPnf9OsmbW 
[18071] BUY,hPnf9OsmbW,BZX,531.09 
[18280] COMMIT_SELL,hPnf9OsmbW 
[18315] QUOTE,hPnf9OsmbW,VOU 
[18400] SET_BUY_AMOUNT,hPnf9OsmbW,JVT,168.38 
[18493] SET_BUY_TRIGGER,hPnf9OsmbW,RRT,40.70 
[18577] QUOTE,hPnf9OsmbW,YLZ 
[18980] BUY,hPnf9OsmbW,XYV,281.87 
[19010] COMMIT_BUY,hPnf9OsmbW 
[19038] SET_BUY_TRIGGER,hPnf9OsmbW,QOD,96.18 
[19190] BUY,hPnf9OsmbW,BRT,89.21 
[19293] SET_SELL_TRIGGER,hPnf9OsmbW,MVY,156.58 
[19299] DISPLAY_SUMMARY,hPnf9OsmbW 
[19441] BUY,hPnf9OsmbW,TUO,251.82 
[19466] CANCEL_BUY,hPnf9OsmbW 
[19630] SET_SELL_AMOUNT,hPnf9OsmbW,FQP,115.61 
[19645] SET_SELL_TRIGGER,hPnf9OsmbW,FQP,115.42 
[19689] DISPLAY_SUMMARY,hPnf9OsmbW 
[19813] ADD,hPnf9OsmbW,82443.32 
[19836] QUOTE,hPnf9OsmbW,SJG 
[19876] QUOTE,hPnf9OsmbW,FTJ 
[19878] ADD,hPnf9OsmbW,83891.22 
[19897] BUY,hPnf9OsmbW,LUD,418.43 
[19989] COMMIT_BUY,hPnf9OsmbW 
[20133] DISPLAY_SUMMARY,hPnf9OsmbW 
[20138] SELL,hPnf9OsmbW,JVT,305.97 
[20193] CANCEL_BUY,hPnf9OsmbW 
[20390] SET_BUY_TRIGGER,hPnf9OsmbW,ZNL,31.30 
[20461] BUY,hPnf9OsmbW,QPR,711.56 
[20541] COMMIT_SELL,hPnf9OsmbW 
[20692] SET_SELL_AMOUNT,hPnf9OsmbW,JCQ,176.16 
[20711] SET_SELL_TRIGGER,hPnf9OsmbW,JCQ,100.13 
[20808] SET_BUY_TRIGGER,hPnf9OsmbW,NOP,42.56 
[21330] SET_SELL_TRIGGER,hPnf9OsmbW,IQJ,39.28 
[21520] QUOTE,hPnf9OsmbW,QPR 
[21712] BUY,hPnf9OsmbW,XCL,180.59 
[22121] COMMIT_BUY,hPnf9OsmbW 
[22226] SET_BUY_TRIGGER,hPnf9OsmbW,JNO,38.80 
[22249] SELL,hPnf9OsmbW,JQO,512.60 
[22312] COMMIT_SELL,hPnf9OsmbW 
[22337] SET_SELL_AMOUNT,hPnf9OsmbW,UTV,482.52 
[22808] SET_SELL_TRIGGER,hPnf9OsmbW,UTV,306.22 
[22810] ADD,hPnf9OsmbW,75951.79 
[22859] BUY,hPnf9OsmbW,PVH,287.45 
[22895] COMMIT_SELL,hPnf9OsmbW 
[22935] SET_SELL_TRIGGER,hPnf9OsmbW,NTB,59.14 
[23070] QUOTE,hPnf9OsmbW,KZQ 
[23213] SET_BUY_AMOUNT,hPnf9OsmbW,NHG,525.70 
[23236] SET_BUY_TRIGGER,hPnf9OsmbW,NDD,433.34 
[23298] SELL,hPnf9OsmbW,LFU,748.87 
[23306] CANCEL_SET_BUY,hPnf9OsmbW,KJD 
[23339] ADD,hPnf9OsmbW,74350.90 
[23389] QUOTE,hPnf9OsmbW,VMK 
[23645] SET_SELL_TRIGGER,hPnf9OsmbW,IAV,7.08 
[23808] SELL,hPnf9OsmbW,JVT,410.32 
[23884] COMMIT_SELL,hPnf9OsmbW 
[24015] BUY,hPnf9OsmbW,ASJ,317.77 
[24047] COMMIT_BUY,hPnf9OsmbW 
[24348] DISPLAY_SUMMARY,hPnf9OsmbW 
[24595] COMMIT_BUY,hPnf9OsmbW 
[24621] QUOTE,hPnf9OsmbW,KDA 
[24728] SET_BUY_AMOUNT,hPnf9OsmbW,FQP,560.55 
[25028] QUOTE,hPnf9OsmbW,KPE 
[25105] ADD,hPnf9OsmbW,64711.57 
[25438] BUY,hPnf9OsmbW,DQW,22.79 
[25790] COMMIT_BUY,hPnf9OsmbW 
[25985] BUY,hPnf9OsmbW,PUN,596.30 
[26017] COMMIT_BUY,hPnf9OsmbW 
[26090] SET_BUY_AMOUNT,hPnf9OsmbW,KDA,583.05 
[26148] SET_BUY_TRIGGER,hPnf9OsmbW,VCN,255.38 
[26254] DISPLAY_SUMMARY,hPnf9OsmbW 
[26282] DISPLAY_SUMMARY,hPnf9OsmbW 
[26351] BUY,hPnf9OsmbW,VTY,109.16 
[26418] COMMIT_BUY,hPnf9OsmbW 
[26567] DISPLAY_SUMMARY,hPnf9OsmbW 
[26628] QUOTE,hPnf9OsmbW,MZT 
[26636] BUY,hPnf9OsmbW,WAO,555.84 
[26734] SET_SELL_TRIGGER,hPnf9OsmbW,GKD,67.41 
[26761] QUOTE,hPnf9OsmbW,OAV 
[26776] BUY,hPnf9OsmbW,PXY,145.42 
[26857] COMMIT_BUY,hPnf9OsmbW 
[26929] SET_SELL_TRIGGER,hPnf9OsmbW,CVP,1.70 
[26984] ADD,hPnf9OsmbW,68560.47 
[27036] BUY,hPnf9OsmbW,IGT,268.97 
[27043] COMMIT_BUY,hPnf9OsmbW 
[27111] SET_BUY_TRIGGER,hPnf9OsmbW,MZT,35.59 
[27112] SET_BUY_TRIGGER,hPnf9OsmbW,JPD,195.17 
[27207] DISPLAY_SUMMARY,hPnf9OsmbW 
[27222] DISPLAY_SUMMARY,hPnf9OsmbW 
[27315] CANCEL_SELL,hPnf9OsmbW 
[27341] QUOTE,hPnf9OsmbW,KZQ 
[27388] SET_SELL_TRIGGER,hPnf9OsmbW,WNU,105.31 
[27547] SELL,hPnf9OsmbW,XXQ,495.13 
[27561] SET_SELL_AMOUNT,hPnf9OsmbW,XXQ,392.93 
[27593] CANCEL_SET_SELL,hPnf9OsmbW,XXQ 
[27638] ADD,hPnf9OsmbW,54936.91 
[27905] QUOTE,hPnf9OsmbW,ECX 
[27945] QUOTE,hPnf9OsmbW,ENQ 
[28019] QUOTE,hPnf9OsmbW,FFI 
[28050] BUY,hPnf9OsmbW,LZB,81.14 
[28148] COMMIT_BUY,hPnf9OsmbW 
[28246] DISPLAY_SUMMARY,hPnf9OsmbW 
[28255] SET_BUY_AMOUNT,hPnf9OsmbW,JCQ,731.10 
[28470] SET_BUY_TRIGGER,hPnf9OsmbW,ZUV,107.15 
[28511] DISPLAY_SUMMARY,hPnf9OsmbW 
[28553] ADD,hPnf9OsmbW,48456.42 
[28645] BUY,hPnf9OsmbW,NGH,48.17 
[28724] COMMIT_BUY,hPnf9OsmbW 
[28790] BUY,hPnf9OsmbW,XLV,600.18 
[28871] COMMIT_BUY,hPnf9OsmbW 
[29200] COMMIT_BUY,hPnf9OsmbW 
[29202] DISPLAY_SUMMARY,hPnf9OsmbW 
[29297] SELL,hPnf9OsmbW,DFE,132.48 
[29359] CANCEL_SET_BUY,hPnf9OsmbW,ONI 
[29389] SET_SELL_TRIGGER,hPnf9OsmbW,YBP,24.41 
[29503] SET_SELL_AMOUNT,hPnf9OsmbW,JVT,745.22 
[29654] SET_SELL_TRIGGER,hPnf9OsmbW,JVT,492.59 
[29826] ADD,hPnf9OsmbW,71388.16 
[29859] QUOTE,hPnf9OsmbW,LPR 
[29904] BUY,hPnf9OsmbW,FVA,625.64 
[29928] SET_BUY_TRIGGER,hPnf9OsmbW,FOW,119.27 
[29991] SET_BUY_TRIGGER,hPnf9OsmbW,ZGC,40.88 
[30286] SELL,hPnf9OsmbW,JCQ,578.49 
[30293] COMMIT_SELL,hPnf9OsmbW 
[30343] DISPLAY_SUMMARY,hPnf9OsmbW 
[30366] DISPLAY_SUMMARY,hPnf9OsmbW 
[30526] SET_BUY_AMOUNT,hPnf9OsmbW,LFU,294.56 
[30685] SET_BUY_TRIGGER,hPnf9OsmbW,MVD,225.06 
[30719] DISPLAY_SUMMARY,hPnf9OsmbW 
[30742] SELL,hPnf9OsmbW,XXQ,485.37 
[30748] CANCEL_SELL,hPnf9OsmbW 
[30881] SET_BUY_AMOUNT,hPnf9OsmbW,FQP,600.15 
[30906] CANCEL_SET_BUY,hPnf9OsmbW,INB 
[30954] BUY,hPnf9OsmbW,NZS,190.64 
[31298] QUOTE,hPnf9OsmbW,VBO 
[31441] CANCEL_BUY,hPnf9OsmbW 
[31468] ADD,hPnf9OsmbW,59945.53 
[31526] COMMIT_BUY,hPnf9OsmbW 
[31546] SET_BUY_TRIGGER,hPnf9OsmbW,ALM,174.13 
[31760] QUOTE,hPnf9OsmbW,TFZ 
[31803] SET_BUY_TRIGGER,hPnf9OsmbW,UFX,182.67 
[31822] ADD,hPnf9OsmbW,54459.22 
[31906] QUOTE,hPnf9OsmbW,ERF 
[32017] SET_BUY_TRIGGER,hPnf9OsmbW,GAL,18.30 
[32096] CANCEL_BUY,hPnf9OsmbW 
[32129] BUY,hPnf9OsmbW,OYS,294.50 
[32180] SELL,hPnf9OsmbW,QJZ,698.48 
[32228] CANCEL_BUY,hPnf9OsmbW 
[32272] COMMIT_BUY,hPnf9OsmbW 
[32498] SET_SELL_AMOUNT,hPnf9OsmbW,LFU,134.95 
[32666] SET_SELL_TRIGGER,hPnf9OsmbW,LFU,63.74 
[32705] QUOTE,hPnf9OsmbW,SMS 
[32753] BUY,hPnf9OsmbW,WLT,676.02 
[32878] CANCEL_BUY,hPnf9OsmbW 
[32906] SELL,hPnf9OsmbW,QAX,176.92 
[32960] COMMIT_SELL,hPnf9OsmbW 
[33010] SET_SELL_TRIGGER,hPnf9OsmbW,SYT,79.40 
[33047] SELL,hPnf9OsmbW,ZYR,25.39 
[33113] QUOTE,hPnf9OsmbW,GAN 
[33143] SET_BUY_TRIGGER,hPnf9OsmbW,OTD,167.27 
[33281] QUOTE,hPnf9OsmbW,TKV 
[33309] QUOTE,hPnf9OsmbW,HTD 
[33577] QUOTE,hPnf9OsmbW,CJV 
[33617] QUOTE,hPnf9OsmbW,ERF 
[33659] SET_BUY_TRIGGER,hPnf9OsmbW,CAX,119.13 
[33728] SET_SELL_TRIGGER,hPnf9OsmbW,KNM,156.41 
[33776] SET_SELL_TRIGGER,hPnf9OsmbW,CSZ,114.63 
[33922] BUY,hPnf9OsmbW,CIP,689.31 
[33998] SET_SELL_TRIGGER,hPnf9OsmbW,HGG,185.00 
[34014] QUOTE,hPnf9OsmbW,URY 
[34091] BUY,hPnf9OsmbW,OPN,445.53 
[34115] COMMIT_BUY,hPnf9OsmbW 
[34377] SET_BUY_AMOUNT,hPnf9OsmbW,JCQ,486.37 
[34392] QUOTE,hPnf9OsmbW,JII 
[34665] SET_BUY_TRIGGER,hPnf9OsmbW,MJU,24.51 
[34757] ADD,hPnf9OsmbW,74591.60 
[34814] BUY,hPnf9OsmbW,NXF,601.91 
[34881] COMMIT_BUY,hPnf9OsmbW 
[35042] ADD,hPnf9OsmbW,57874.91 
[35146] BUY,hPnf9OsmbW,LKV,134.83 
[35343] COMMIT_BUY,hPnf9OsmbW 
[35405] QUOTE,hPnf9OsmbW,OTI 
[35462] DISPLAY_SUMMARY,hPnf9OsmbW 
[35525] SET_SELL_AMOUNT,hPnf9OsmbW,OEY,544.59 
[35556] SET_SELL_TRIGGER,hPnf9OsmbW,OEY,119.16 
[35561] ADD,hPnf9OsmbW,63033.88 
[35769] BUY,hPnf9OsmbW,EDW,202.46 
[35793] COMMIT_BUY,hPnf9OsmbW 
[35853] SET_BUY_TRIGGER,hPnf9OsmbW,DKV,159.56 
[35865] QUOTE,hPnf9OsmbW,SBT 
[35987] BUY,hPnf9OsmbW,PVH,458.40 
[36080] CANCEL_SELL,hPnf9OsmbW 
[36124] ADD,hPnf9OsmbW,74024.88 
[36143] BUY,hPnf9OsmbW,UFX,293.67 
[36327] SET_BUY_TRIGGER,hPnf9OsmbW,TUO,182.26 
[36368] DISPLAY_SUMMARY,hPnf9OsmbW 
[36478] DISPLAY_SUMMARY,hPnf9OsmbW 
[36524] SET_BUY_AMOUNT,hPnf9OsmbW,RGH,119.00 
[36593] SET_BUY_TRIGGER,hPnf9OsmbW,GFN,34.78 
[36632] SET_SELL_TRIGGER,hPnf9OsmbW,UEC,5.31 
[36708] BUY,hPnf9OsmbW,FOV,174.39 
[36734] COMMIT_BUY,hPnf9OsmbW 
[36949] DISPLAY_SUMMARY,hPnf9OsmbW 
[37044] SET_BUY_TRIGGER,hPnf9OsmbW,UEC,4.21 
[37064] QUOTE,hPnf9OsmbW,POI 
[37205] QUOTE,hPnf9OsmbW,DWK 
[37426] SET_BUY_AMOUNT,hPnf9OsmbW,ZTI,515.07 
[37427] SET_BUY_TRIGGER,hPnf9OsmbW,KBN,204.54 
[37428] ADD,hPnf9OsmbW,85152.96 
[37443] QUOTE,hPnf9OsmbW,NGH 
[37750] ADD,hPnf9OsmbW,93687.60 
[37780] BUY,hPnf9OsmbW,PIC,658.57 
[37971] CANCEL_BUY,hPnf9OsmbW 
[38069] SELL,hPnf9OsmbW,ZTI,65.29 
[38104] COMMIT_SELL,hPnf9OsmbW 
[38130] ADD,hPnf9OsmbW,63285.68 
[38143] QUOTE,hPnf9OsmbW,FRB 
[38413] QUOTE,hPnf9OsmbW,WOJ 
[38418] DISPLAY_SUMMARY,hPnf9OsmbW 
[38424] SELL,hPnf9OsmbW,ZTI,382.06 
[38540] SET_BUY_AMOUNT,hPnf9OsmbW,JZJ,633.63 
[38635] SET_BUY_TRIGGER,hPnf9OsmbW,GCW,436.06 
[38742] ADD,hPnf9OsmbW,61239.05 
[38824] SET_BUY_AMOUNT,hPnf9OsmbW,QAX,586.82 
[38846] QUOTE,hPnf9OsmbW,TVI 
[38893] BUY,hPnf9OsmbW,CCH,577.34 
[38928] COMMIT_BUY,hPnf9OsmbW 
[38980] SET_BUY_AMOUNT,hPnf9OsmbW,EBS,739.36 
[39064] SET_BUY_TRIGGER,hPnf9OsmbW,IRQ,81.17 
[39070] SET_SELL_TRIGGER,hPnf9OsmbW,DFE,159.86 
[39182] SET_SELL_TRIGGER,hPnf9OsmbW,PLA,101.54 
[39212] QUOTE,hPnf9OsmbW,CEC 
[39223] ADD,hPnf9OsmbW,59995.05 
[39298] BUY,hPnf9OsmbW,VVO,362.64 
[39372] COMMIT_BUY,hPnf9OsmbW 
[39377] DISPLAY_SUMMARY,hPnf9OsmbW 
[39428] BUY,hPnf9OsmbW,PHE,208.71 
[39604] COMMIT_BUY,hPnf9OsmbW 
[39639] ADD,hPnf9OsmbW,47196.00 
[39726] QUOTE,hPnf9OsmbW,JLO 
[39878] BUY,hPnf9OsmbW,RFC,440.81 
[39946] DISPLAY_SUMMARY,hPnf9OsmbW 
[40213] DISPLAY_SUMMARY,hPnf9OsmbW 
[40217] ADD,hPnf9OsmbW,56583.70 
[40283] QUOTE,hPnf9OsmbW,EIK 
[40422] QUOTE,hPnf9OsmbW,CSZ 
[40498] COMMIT_SELL,hPnf9OsmbW 
[40532] SET_BUY_TRIGGER,hPnf9OsmbW,LVV,170.48 
[40712] QUOTE,hPnf9OsmbW,RXB 
[40749] BUY,hPnf9OsmbW,GGI,69.69 
[40765] COMMIT_BUY,hPnf9OsmbW 
[40810] COMMIT_SELL,hPnf9OsmbW 
[40924] SET_BUY_TRIGGER,hPnf9OsmbW,JTY,31.09 
[41297] SELL,hPnf9OsmbW,XXQ,644.86 
[41312] CANCEL_SELL,hPnf9OsmbW 
[41364] SELL,hPnf9OsmbW,BYA,278.55 
[41612] SET_BUY_TRIGGER,hPnf9OsmbW,MVD,80.38 
[41665] SET_SELL_AMOUNT,hPnf9OsmbW,EBS,236.16 
[41911] SET_SELL_TRIGGER,hPnf9OsmbW,EBS,185.68 
[41914] DISPLAY_SUMMARY,hPnf9OsmbW 
[41915] ADD,hPnf9OsmbW,89836.89 
[42071] QUOTE,hPnf9OsmbW,CBQ 
[42140] QUOTE,hPnf9OsmbW,NVX 
[42199] COMMIT_BUY,hPnf9OsmbW 
[42329] SET_BUY_TRIGGER,hPnf9OsmbW,VNF,13.08 
[42431] ADD,hPnf9OsmbW,64949.24 
[42525] BUY,hPnf9OsmbW,OHS,186.87 
[42633] COMMIT_BUY,hPnf9OsmbW 
[42725] CANCEL_SET_BUY,hPnf9OsmbW,IFC 
[42827] SET_SELL_TRIGGER,hPnf9OsmbW,ETB,54.73 
[42922] ADD,hPnf9OsmbW,33561.65 
[42945] BUY,hPnf9OsmbW,HZP,37.19 
[42979] COMMIT_BUY,hPnf9OsmbW 
[43144] ADD,hPnf9OsmbW,68354.73 
[43282] BUY,hPnf9OsmbW,WKE,0.94 
[43380] COMMIT_BUY,hPnf9OsmbW 
[43668] ADD,hPnf9OsmbW,87321.61 
[43714] QUOTE,hPnf9OsmbW,QVK 
[43848] BUY,hPnf9OsmbW,PDB,174.10 
[44044] COMMIT_BUY,hPnf9OsmbW 
[44212] DISPLAY_SUMMARY,hPnf9OsmbW 
[44377] DISPLAY_SUMMARY,hPnf9OsmbW 
[44531] ADD,hPnf9OsmbW,56020.60 
[44559] QUOTE,hPnf9OsmbW,UDN 
[44723] QUOTE,hPnf9OsmbW,POI 
[44818] BUY,hPnf9OsmbW,EDV,455.46 
[44819] SELL,hPnf9OsmbW,JRJ,113.42 
[44823] CANCEL_SET_SELL,hPnf9OsmbW,LPB 
[45156] QUOTE,hPnf9OsmbW,RWY 
[45165] ADD,hPnf9OsmbW,69471.61 
[45252] QUOTE,hPnf9OsmbW,XEA 
[45266] SET_SELL_TRIGGER,hPnf9OsmbW,FFZ,20.53 
[45424] BUY,hPnf9OsmbW,HDR,653.19 
[45436] COMMIT_SELL,hPnf9OsmbW 
[45469] QUOTE,hPnf9OsmbW,VUS 
[45472] BUY,hPnf9OsmbW,FKI,732.86 
[45508] ADD,hPnf9OsmbW,70944.98 
[45514] BUY,hPnf9OsmbW,HZP,245.66 
[45569] BUY,hPnf9OsmbW,OOI,698.44 
[45612] COMMIT_BUY,hPnf9OsmbW 
