[51] ADD,t56BLlGu3K,46692.99 
[6973] DISPLAY_SUMMARY,t56BLlGu3K 
[7006] SET_SELL_TRIGGER,t56BLlGu3K,RGM,33.66 
[7122] DISPLAY_SUMMARY,t56BLlGu3K 
[7328] DISPLAY_SUMMARY,t56BLlGu3K 
[7378] SET_BUY_AMOUNT,t56BLlGu3K,JVT,268.11 
[7549] SET_BUY_TRIGGER,t56BLlGu3K,NFQ,44.56 
[7595] SELL,t56BLlGu3K,JVT,593.11 
[7606] COMMIT_SELL,t56BLlGu3K 
[7621] BUY,t56BLlGu3K,DIX,531.83 
[7849] DISPLAY_SUMMARY,t56BLlGu3K 
[7880] SET_BUY_AMOUNT,t56BLlGu3K,QJZ,530.85 
[8035] CANCEL_SET_BUY,t56BLlGu3K,FLY 
[8145] QUOTE,t56BLlGu3K,CWA 
[8241] BUY,t56BLlGu3K,MIY,156.96 
[8327] SELL,t56BLlGu3K,JVT,65.06 
[8563] QUOTE,t56BLlGu3K,YWC 
[8687] BUY,t56BLlGu3K,SWD,36.27 
[8733] SET_SELL_TRIGGER,t56BLlGu3K,VDP,9.69 
[9068] COMMIT_BUY,t56BLlGu3K 
[9165] SELL,t56BLlGu3K,FQP,572.56 
[9235] COMMIT_SELL,t56BLlGu3K 
[9239] SET_SELL_AMOUNT,t56BLlGu3K,OEY,506.36 
[9370] SET_SELL_TRIGGER,t56BLlGu3K,OEY,146.79 
[9528] SET_SELL_TRIGGER,t56BLlGu3K,RYU,169.80 
[9555] CANCEL_SET_BUY,t56BLlGu3K,PFN 
[9709] ADD,t56BLlGu3K,87931.56 
[9735] BUY,t56BLlGu3K,DQW,395.84 
[9740] COMMIT_SELL,t56BLlGu3K 
[9789] SET_BUY_TRIGGER,t56BLlGu3K,BTD,14.64 
[9803] ADD,t56BLlGu3K,72819.89 
[9849] BUY,t56BLlGu3K,NHB,694.67 
[9986] CANCEL_BUY,t56BLlGu3K 
[10015] SET_BUY_TRIGGER,t56BLlGu3K,ZER,70.36 
[10055] ADD,t56BLlGu3K,44394.59 
[10074] QUOTE,t56BLlGu3K,PBX 
[10075] BUY,t56BLlGu3K,RWM,137.52 
[10079] COMMIT_BUY,t56BLlGu3K 
[10176] SET_BUY_TRIGGER,t56BLlGu3K,LJZ,11.63 
[10714] COMMIT_SELL,t56BLlGu3K 
[10841] DISPLAY_SUMMARY,t56BLlGu3K 
[11057] DISPLAY_SUMMARY,t56BLlGu3K 
[11071] SET_SELL_AMOUNT,t56BLlGu3K,FQP,29.00 
[11083] SET_SELL_TRIGGER,t56BLlGu3K,FQP,6.28 
[11126] DISPLAY_SUMMARY,t56BLlGu3K 
[11194] SET_SELL_AMOUNT,t56BLlGu3K,JVT,128.13 
[11221] SET_SELL_TRIGGER,t56BLlGu3K,JVT,31.51 
[11227] ADD,t56BLlGu3K,79415.61 
[11261] SET_SELL_AMOUNT,t56BLlGu3K,KDA,700.68 
[11300] SET_SELL_TRIGGER,t56BLlGu3K,KDA,378.09 
[11483] BUY,t56BLlGu3K,CSZ,518.85 
[11528] BUY,t56BLlGu3K,DDH,611.56 
[11810] COMMIT_SELL,t56BLlGu3K 
[11854] SELL,t56BLlGu3K,KDA,514.77 
[12072] COMMIT_SELL,t56BLlGu3K 
[12152] SELL,t56BLlGu3K,KES,474.87 
[12419] SET_SELL_AMOUNT,t56BLlGu3K,KDA,533.39 
[12791] SET_SELL_TRIGGER,t56BLlGu3K,KDA,120.80 
[12831] SET_BUY_AMOUNT,t56BLlGu3K,FQP,8.74 
[13099] SET_BUY_TRIGGER,t56BLlGu3K,RQS,3.65 
[13156] SELL,t56BLlGu3K,OEY,182.44 
[13292] CANCEL_SET_SELL,t56BLlGu3K,NRY 
[13689] ADD,t56BLlGu3K,76605.72 
[13836] QUOTE,t56BLlGu3K,OQZ 
[14333] DISPLAY_SUMMARY,t56BLlGu3K 
[14342] SET_SELL_AMOUNT,t56BLlGu3K,OEY,298.56 
[14565] SET_SELL_TRIGGER,t56BLlGu3K,OEY,114.04 
[14569] BUY,t56BLlGu3K,HHC,186.65 
[14571] SET_BUY_AMOUNT,t56BLlGu3K,KES,577.34 
[14639] QUOTE,t56BLlGu3K,NGH 
[14706] BUY,t56BLlGu3K,SQO,464.63 
[14755] COMMIT_BUY,t56BLlGu3K 
[14873] SET_BUY_AMOUNT,t56BLlGu3K,JCQ,233.78 
[14896] SET_BUY_TRIGGER,t56BLlGu3K,AOC,189.09 
[15038] ADD,t56BLlGu3K,51728.28 
[15116] QUOTE,t56BLlGu3K,DWU 
[15230] QUOTE,t56BLlGu3K,PUN 
[15308] BUY,t56BLlGu3K,CBX,261.52 
[15413] ADD,t56BLlGu3K,55108.76 
[15462] QUOTE,t56BLlGu3K,VTY 
[15487] SET_SELL_AMOUNT,t56BLlGu3K,GYF,318.81 
[15595] SET_SELL_TRIGGER,t56BLlGu3K,GYF,110.59 
[15678] ADD,t56BLlGu3K,67178.32 
[15730] SET_BUY_TRIGGER,t56BLlGu3K,GYF,0.61 
[15732] DISPLAY_SUMMARY,t56BLlGu3K 
[15814] SET_BUY_TRIGGER,t56BLlGu3K,WKD,170.78 
[15898] BUY,t56BLlGu3K,GAL,286.35 
[16314] DISPLAY_SUMMARY,t56BLlGu3K 
[16348] BUY,t56BLlGu3K,SSL,604.09 
[16467] COMMIT_BUY,t56BLlGu3K 
[16541] SET_BUY_TRIGGER,t56BLlGu3K,KWP,53.11 
[16643] ADD,t56BLlGu3K,63636.17 
[16654] BUY,t56BLlGu3K,VND,306.83 
[16813] SET_BUY_AMOUNT,t56BLlGu3K,EBS,739.84 
[16824] SET_BUY_TRIGGER,t56BLlGu3K,XFA,56.15 
[16885] DISPLAY_SUMMARY,t56BLlGu3K 
[16995] QUOTE,t56BLlGu3K,XZO 
[17247] BUY,t56BLlGu3K,FTJ,550.07 
[17677] COMMIT_BUY,t56BLlGu3K 
[17925] SET_BUY_TRIGGER,t56BLlGu3K,GTN,9.82 
[18008] COMMIT_SELL,t56BLlGu3K 
[18322] ADD,t56BLlGu3K,61235.37 
[18362] BUY,t56BLlGu3K,IBT,188.14 
[18638] COMMIT_BUY,t56BLlGu3K 
[18753] SELL,t56BLlGu3K,KES,601.73 
[18910] COMMIT_SELL,t56BLlGu3K 
[19439] DISPLAY_SUMMARY,t56BLlGu3K 
[19532] BUY,t56BLlGu3K,XAN,241.47 
[19602] COMMIT_BUY,t56BLlGu3K 
[19891] DISPLAY_SUMMARY,t56BLlGu3K 
[20021] SET_BUY_TRIGGER,t56BLlGu3K,GTX,112.28 
[20144] DISPLAY_SUMMARY,t56BLlGu3K 
[20383] ADD,t56BLlGu3K,56659.88 
[20403] BUY,t56BLlGu3K,FZB,723.76 
[20532] COMMIT_SELL,t56BLlGu3K 
[20666] SET_BUY_AMOUNT,t56BLlGu3K,EBS,398.97 
[20729] SET_BUY_TRIGGER,t56BLlGu3K,HQU,364.33 
[20833] BUY,t56BLlGu3K,WAO,702.05 
[20917] COMMIT_BUY,t56BLlGu3K 
[20919] COMMIT_SELL,t56BLlGu3K 
[20956] DISPLAY_SUMMARY,t56BLlGu3K 
[21120] CANCEL_BUY,t56BLlGu3K 
[21121] SET_BUY_AMOUNT,t56BLlGu3K,FQP,369.56 
[21171] SET_BUY_TRIGGER,t56BLlGu3K,ZGC,308.48 
[21241] DISPLAY_SUMMARY,t56BLlGu3K 
[21307] DISPLAY_SUMMARY,t56BLlGu3K 
[21417] CANCEL_SET_SELL,t56BLlGu3K,FIC 
[21428] BUY,t56BLlGu3K,KDG,183.11 
[21505] DISPLAY_SUMMARY,t56BLlGu3K 
[21549] ADD,t56BLlGu3K,82162.22 
[21575] BUY,t56BLlGu3K,WHR,669.95 
[21713] CANCEL_SET_SELL,t56BLlGu3K,ZMK 
[21762] DISPLAY_SUMMARY,t56BLlGu3K 
[21878] ADD,t56BLlGu3K,50123.32 
[21987] QUOTE,t56BLlGu3K,WSG 
[22018] QUOTE,t56BLlGu3K,IFN 
[22033] SET_BUY_TRIGGER,t56BLlGu3K,BFL,198.64 
[22065] SELL,t56BLlGu3K,JVT,520.43 
[22093] COMMIT_SELL,t56BLlGu3K 
[22156] ADD,t56BLlGu3K,70546.80 
[22291] QUOTE,t56BLlGu3K,MOM 
[22392] ADD,t56BLlGu3K,43944.08 
[22432] COMMIT_SELL,t56BLlGu3K 
[22444] SELL,t56BLlGu3K,UTV,2.75 
[22488] SET_BUY_TRIGGER,t56BLlGu3K,UMN,27.23 
[22576] BUY,t56BLlGu3K,PUC,554.48 
[22694] CANCEL_BUY,t56BLlGu3K 
[22722] SET_SELL_TRIGGER,t56BLlGu3K,CUQ,84.37 
[22724] ADD,t56BLlGu3K,79065.42 
[22831] SET_SELL_TRIGGER,t56BLlGu3K,TOL,195.32 
[22881] DISPLAY_SUMMARY,t56BLlGu3K 
[22887] SET_BUY_TRIGGER,t56BLlGu3K,KJH,22.38 
[22919] ADD,t56BLlGu3K,64144.06 
[23033] QUOTE,t56BLlGu3K,AUX 
[23055] QUOTE,t56BLlGu3K,NVX 
[23296] SET_BUY_TRIGGER,t56BLlGu3K,FVD,31.95 
[23509] SET_SELL_AMOUNT,t56BLlGu3K,KDA,388.30 
[23578] SELL,t56BLlGu3K,JRJ,582.29 
[23669] SELL,t56BLlGu3K,GYF,18.14 
[23756] CANCEL_BUY,t56BLlGu3K 
[24059] SET_SELL_AMOUNT,t56BLlGu3K,JCQ,221.39 
[24097] BUY,t56BLlGu3K,YEH,743.29 
[24143] COMMIT_BUY,t56BLlGu3K 
[24152] SET_BUY_AMOUNT,t56BLlGu3K,UTV,352.14 
[24314] QUOTE,t56BLlGu3K,HVE 
[24326] CANCEL_SELL,t56BLlGu3K 
[24327] DISPLAY_SUMMARY,t56BLlGu3K 
[24343] SET_SELL_TRIGGER,t56BLlGu3K,JCQ,73.37 
[24350] SELL,t56BLlGu3K,KDA,260.59 
[24441] COMMIT_SELL,t56BLlGu3K 
[24528] DISPLAY_SUMMARY,t56BLlGu3K 
[24727] BUY,t56BLlGu3K,IZJ,304.89 
[24884] SET_SELL_TRIGGER,t56BLlGu3K,VYQ,17.10 
[24907] DISPLAY_SUMMARY,t56BLlGu3K 
[24996] QUOTE,t56BLlGu3K,YWK 
[25262] QUOTE,t56BLlGu3K,FCH 
[25267] SELL,t56BLlGu3K,EBS,465.24 
[25417] CANCEL_BUY,t56BLlGu3K 
[25479] SET_SELL_AMOUNT,t56BLlGu3K,JCQ,376.52 
[25522] SET_SELL_TRIGGER,t56BLlGu3K,JCQ,155.41 
[25545] SELL,t56BLlGu3K,JVT,392.47 
[25724] COMMIT_SELL,t56BLlGu3K 
[25737] ADD,t56BLlGu3K,86636.66 
[25899] BUY,t56BLlGu3K,SSF,397.13 
[25942] CANCEL_BUY,t56BLlGu3K 
[26022] ADD,t56BLlGu3K,77815.59 
[26026] BUY,t56BLlGu3K,EEG,511.90 
[26059] COMMIT_BUY,t56BLlGu3K 
[26092] COMMIT_SELL,t56BLlGu3K 
[26105] ADD,t56BLlGu3K,102225.40 
[26153] BUY,t56BLlGu3K,JRY,263.47 
[26209] SET_SELL_AMOUNT,t56BLlGu3K,JCQ,352.25 
[26236] SET_SELL_TRIGGER,t56BLlGu3K,JCQ,76.84 
[26390] SET_BUY_AMOUNT,t56BLlGu3K,OEY,336.88 
[26398] SET_BUY_TRIGGER,t56BLlGu3K,JGG,218.62 
[26408] SET_BUY_AMOUNT,t56BLlGu3K,LFU,357.23 
[26412] SET_BUY_TRIGGER,t56BLlGu3K,WKG,211.87 
[26467] SET_SELL_TRIGGER,t56BLlGu3K,JCQ,98.43 
[26605] ADD,t56BLlGu3K,87111.18 
[26637] CANCEL_SET_BUY,t56BLlGu3K,BXH 
[26684] QUOTE,t56BLlGu3K,FOV 
[26718] SET_BUY_AMOUNT,t56BLlGu3K,NHG,252.08 
[26793] SET_BUY_TRIGGER,t56BLlGu3K,NVX,245.22 
[26868] SELL,t56BLlGu3K,KDA,326.56 
[26891] SET_SELL_AMOUNT,t56BLlGu3K,KDA,107.88 
[26906] CANCEL_SET_SELL,t56BLlGu3K,KDA 
[27150] QUOTE,t56BLlGu3K,NUL 
[27219] QUOTE,t56BLlGu3K,TUO 
[27282] CANCEL_SELL,t56BLlGu3K 
[27459] SET_BUY_TRIGGER,t56BLlGu3K,OQW,89.83 
[27496] SET_BUY_AMOUNT,t56BLlGu3K,KES,276.21 
[27533] SET_BUY_TRIGGER,t56BLlGu3K,MHQ,41.95 
[27534] SET_SELL_TRIGGER,t56BLlGu3K,JUE,36.95 
[27605] QUOTE,t56BLlGu3K,HDR 
[27660] SET_SELL_TRIGGER,t56BLlGu3K,XQG,134.76 
[27939] SET_SELL_TRIGGER,t56BLlGu3K,DRO,88.57 
[28017] BUY,t56BLlGu3K,DXL,426.64 
[28025] CANCEL_BUY,t56BLlGu3K 
[28093] BUY,t56BLlGu3K,CVP,564.90 
[28379] COMMIT_BUY,t56BLlGu3K 
[28426] DISPLAY_SUMMARY,t56BLlGu3K 
[28497] SET_SELL_AMOUNT,t56BLlGu3K,FQP,529.50 
[28500] SET_SELL_TRIGGER,t56BLlGu3K,FQP,321.79 
[28598] DISPLAY_SUMMARY,t56BLlGu3K 
[28611] ADD,t56BLlGu3K,90798.09 
[28616] CANCEL_SET_SELL,t56BLlGu3K,LNJ 
[28635] SELL,t56BLlGu3K,UTV,78.06 
[28683] COMMIT_SELL,t56BLlGu3K 
[28813] BUY,t56BLlGu3K,HRJ,582.76 
[28870] ADD,t56BLlGu3K,50352.07 
[28884] BUY,t56BLlGu3K,ROW,266.35 
[29068] COMMIT_SELL,t56BLlGu3K 
[29069] SELL,t56BLlGu3K,FQP,705.08 
[29131] COMMIT_SELL,t56BLlGu3K 
[29134] ADD,t56BLlGu3K,53238.14 
[29168] SET_BUY_AMOUNT,t56BLlGu3K,JRJ,129.54 
[29184] SET_BUY_TRIGGER,t56BLlGu3K,AOC,52.45 
[29299] CANCEL_SET_BUY,t56BLlGu3K,JQG 
[29364] QUOTE,t56BLlGu3K,JDW 
[29424] QUOTE,t56BLlGu3K,GPM 
[29639] BUY,t56BLlGu3K,HSH,334.33 
[29670] COMMIT_BUY,t56BLlGu3K 
[29683] SELL,t56BLlGu3K,QAX,59.57 
[29794] COMMIT_SELL,t56BLlGu3K 
[29828] ADD,t56BLlGu3K,42481.02 
[29915] BUY,t56BLlGu3K,PTP,680.55 
[30096] COMMIT_BUY,t56BLlGu3K 
[30222] DISPLAY_SUMMARY,t56BLlGu3K 
[30246] DISPLAY_SUMMARY,t56BLlGu3K 
[30430] SET_BUY_TRIGGER,t56BLlGu3K,TYV,77.86 
[30450] SET_BUY_TRIGGER,t56BLlGu3K,YTT,148.64 
[30457] SELL,t56BLlGu3K,UTV,410.39 
[30639] SET_BUY_AMOUNT,t56BLlGu3K,KES,262.17 
[30720] SET_BUY_TRIGGER,t56BLlGu3K,OIV,27.55 
[30760] BUY,t56BLlGu3K,TAR,136.62 
[30830] CANCEL_SELL,t56BLlGu3K 
[30832] SET_BUY_TRIGGER,t56BLlGu3K,ZCO,143.60 
[31046] QUOTE,t56BLlGu3K,OAV 
[31072] SET_SELL_AMOUNT,t56BLlGu3K,ZAN,611.94 
[31095] SET_SELL_TRIGGER,t56BLlGu3K,ZAN,67.59 
[31139] BUY,t56BLlGu3K,UCG,714.43 
[31180] COMMIT_BUY,t56BLlGu3K 
[31426] SELL,t56BLlGu3K,QJZ,425.69 
[31490] QUOTE,t56BLlGu3K,NSW 
[31500] BUY,t56BLlGu3K,ZJB,284.75 
[31579] COMMIT_BUY,t56BLlGu3K 
[31585] ADD,t56BLlGu3K,62485.49 
[31622] CANCEL_SET_SELL,t56BLlGu3K,NDJ 
[31838] QUOTE,t56BLlGu3K,AVH 
[31918] ADD,t56BLlGu3K,106710.56 
[32087] QUOTE,t56BLlGu3K,RNK 
[32224] SELL,t56BLlGu3K,QJZ,279.08 
[32438] COMMIT_SELL,t56BLlGu3K 
[32866] SET_BUY_AMOUNT,t56BLlGu3K,KDA,429.96 
[33014] SET_BUY_TRIGGER,t56BLlGu3K,ERF,125.36 
[33050] SET_BUY_AMOUNT,t56BLlGu3K,KDA,626.82 
[33118] SET_BUY_TRIGGER,t56BLlGu3K,JTX,554.16 
[33121] ADD,t56BLlGu3K,59899.45 
[33193] QUOTE,t56BLlGu3K,STO 
[33387] BUY,t56BLlGu3K,WSR,25.34 
[33508] COMMIT_BUY,t56BLlGu3K 
[33878] CANCEL_SET_SELL,t56BLlGu3K,USW 
[33884] DISPLAY_SUMMARY,t56BLlGu3K 
[33910] COMMIT_SELL,t56BLlGu3K 
[33959] SELL,t56BLlGu3K,ZAN,508.71 
[34118] SELL,t56BLlGu3K,QJZ,415.79 
[34249] COMMIT_SELL,t56BLlGu3K 
[34275] BUY,t56BLlGu3K,JRY,21.36 
[34280] COMMIT_BUY,t56BLlGu3K 
[34282] ADD,t56BLlGu3K,64184.74 
[34353] BUY,t56BLlGu3K,NVN,492.46 
[34487] QUOTE,t56BLlGu3K,WKE 
[34538] CANCEL_SET_BUY,t56BLlGu3K,GIX 
[34656] SELL,t56BLlGu3K,GYF,510.45 
[34676] COMMIT_SELL,t56BLlGu3K 
[34734] QUOTE,t56BLlGu3K,OIV 
[34765] SELL,t56BLlGu3K,KDA,556.62 
[34829] COMMIT_SELL,t56BLlGu3K 
[34933] DISPLAY_SUMMARY,t56BLlGu3K 
[34942] ADD,t56BLlGu3K,85432.69 
[35129] BUY,t56BLlGu3K,KCS,595.09 
[35202] COMMIT_BUY,t56BLlGu3K 
[35316] SELL,t56BLlGu3K,LFU,356.63 
[35333] COMMIT_SELL,t56BLlGu3K 
[35337] DISPLAY_SUMMARY,t56BLlGu3K 
[35510] SET_SELL_AMOUNT,t56BLlGu3K,DFE,729.49 
[35550] QUOTE,t56BLlGu3K,JOJ 
[35654] QUOTE,t56BLlGu3K,UDQ 
[35739] QUOTE,t56BLlGu3K,MWM 
[35789] BUY,t56BLlGu3K,SFO,650.78 
[35983] COMMIT_BUY,t56BLlGu3K 
[36015] BUY,t56BLlGu3K,BEG,132.67 
[36503] COMMIT_BUY,t56BLlGu3K 
[36823] BUY,t56BLlGu3K,AMI,56.00 
[36833] COMMIT_BUY,t56BLlGu3K 
[36835] CANCEL_SET_SELL,t56BLlGu3K,DFE 
[36842] SELL,t56BLlGu3K,BCQ,161.97 
[36851] DISPLAY_SUMMARY,t56BLlGu3K 
[36854] QUOTE,t56BLlGu3K,CCH 
[36860] QUOTE,t56BLlGu3K,KPE 
[37081] SET_BUY_TRIGGER,t56BLlGu3K,AOU,36.22 
[37180] SET_BUY_AMOUNT,t56BLlGu3K,QJZ,93.65 
[37195] SET_BUY_TRIGGER,t56BLlGu3K,DLQ,12.57 
[37391] BUY,t56BLlGu3K,ASJ,554.43 
[37430] CANCEL_BUY,t56BLlGu3K 
[37550] BUY,t56BLlGu3K,JQJ,273.86 
[37578] CANCEL_BUY,t56BLlGu3K 
[37585] SELL,t56BLlGu3K,NHG,636.82 
[37710] SET_BUY_TRIGGER,t56BLlGu3K,IIX,88.50 
[37805] SET_SELL_AMOUNT,t56BLlGu3K,NHG,441.19 
[37981] SET_SELL_TRIGGER,t56BLlGu3K,NHG,329.38 
[38144] SET_SELL_AMOUNT,t56BLlGu3K,ZTI,634.07 
[38147] CANCEL_SET_SELL,t56BLlGu3K,ZTI 
[38256] QUOTE,t56BLlGu3K,DJD 
[38691] CANCEL_SELL,t56BLlGu3K 
[38744] SET_BUY_AMOUNT,t56BLlGu3K,QAX,289.56 
[38745] SET_BUY_TRIGGER,t56BLlGu3K,BBD,199.86 
[38851] ADD,t56BLlGu3K,46836.24 
[39410] QUOTE,t56BLlGu3K,WNH 
[39451] COMMIT_BUY,t56BLlGu3K 
[39465] ADD,t56BLlGu3K,70971.81 
[39630] BUY,t56BLlGu3K,YBP,737.76 
[39653] COMMIT_BUY,t56BLlGu3K 
[39659] ADD,t56BLlGu3K,69100.07 
[39687] QUOTE,t56BLlGu3K,HZA 
[39782] SET_BUY_AMOUNT,t56BLlGu3K,QJZ,255.35 
[39845] SET_BUY_TRIGGER,t56BLlGu3K,GMF,196.44 
[39871] SELL,t56BLlGu3K,DFE,164.81 
[39896] COMMIT_SELL,t56BLlGu3K 
[39912] ADD,t56BLlGu3K,58634.88 
[39922] BUY,t56BLlGu3K,XWZ,198.08 
[39960] DISPLAY_SUMMARY,t56BLlGu3K 
[40059] ADD,t56BLlGu3K,73668.62 
[40149] QUOTE,t56BLlGu3K,CTT 
[40200] COMMIT_BUY,t56BLlGu3K 
[40397] QUOTE,t56BLlGu3K,DWF 
[40412] BUY,t56BLlGu3K,XOM,720.31 
[40468] SET_BUY_TRIGGER,t56BLlGu3K,MQH,47.85 
[40515] SET_BUY_TRIGGER,t56BLlGu3K,QTH,123.02 
[40599] ADD,t56BLlGu3K,41771.86 
[40769] BUY,t56BLlGu3K,AEM,444.51 
[40933] COMMIT_BUY,t56BLlGu3K 
[41018] QUOTE,t56BLlGu3K,OGR 
[41089] SET_SELL_AMOUNT,t56BLlGu3K,CUZ,21.98 
[41411] SELL,t56BLlGu3K,OPN,114.16 
[41636] CANCEL_SELL,t56BLlGu3K 
[41672] DISPLAY_SUMMARY,t56BLlGu3K 
[41801] SET_BUY_AMOUNT,t56BLlGu3K,EBS,0.94 
[42110] DISPLAY_SUMMARY,t56BLlGu3K 
[42226] SET_SELL_AMOUNT,t56BLlGu3K,ZTI,4.14 
[42272] SET_SELL_TRIGGER,t56BLlGu3K,ZTI,1.54 
[42441] SET_SELL_AMOUNT,t56BLlGu3K,KES,25.70 
[42508] SET_SELL_TRIGGER,t56BLlGu3K,KES,20.62 
[42524] ADD,t56BLlGu3K,82335.80 
[42569] BUY,t56BLlGu3K,RYU,341.82 
[42621] COMMIT_BUY,t56BLlGu3K 
[42782] DISPLAY_SUMMARY,t56BLlGu3K 
[42942] CANCEL_SET_SELL,t56BLlGu3K,PUU 
[43020] ADD,t56BLlGu3K,94089.56 
[43125] BUY,t56BLlGu3K,YWK,671.93 
[43132] COMMIT_BUY,t56BLlGu3K 
[43164] SET_SELL_TRIGGER,t56BLlGu3K,LCP,151.71 
[43386] SET_SELL_AMOUNT,t56BLlGu3K,JRJ,299.62 
[43628] SET_SELL_TRIGGER,t56BLlGu3K,JRJ,111.51 
[43708] SET_SELL_AMOUNT,t56BLlGu3K,LFU,142.34 
[43936] SET_SELL_TRIGGER,t56BLlGu3K,LFU,140.34 
[44020] SET_BUY_AMOUNT,t56BLlGu3K,NHG,236.42 
[44039] SET_BUY_TRIGGER,t56BLlGu3K,AJR,20.68 
[44125] ADD,t56BLlGu3K,55337.11 
[44295] QUOTE,t56BLlGu3K,GAV 
[44341] CANCEL_SELL,t56BLlGu3K 
[44437] ADD,t56BLlGu3K,65180.32 
[44605] QUOTE,t56BLlGu3K,NJF 
[44622] SET_BUY_TRIGGER,t56BLlGu3K,FXT,18.21 
[44832] SELL,t56BLlGu3K,JZJ,466.53 
[44847] CANCEL_SELL,t56BLlGu3K 
[45175] SELL,t56BLlGu3K,YJK,92.63 
[45365] COMMIT_SELL,t56BLlGu3K 
[45558] BUY,t56BLlGu3K,OLI,413.30 
[45615] DISPLAY_SUMMARY,t56BLlGu3K 
[46047] DISPLAY_SUMMARY,t56BLlGu3K 
[46085] DISPLAY_SUMMARY,t56BLlGu3K 
[46249] SELL,t56BLlGu3K,RGH,593.33 
[46400] CANCEL_SET_BUY,t56BLlGu3K,BWR 
[46534] SET_BUY_TRIGGER,t56BLlGu3K,HEJ,36.69 
[46612] QUOTE,t56BLlGu3K,ILT 
