[122] ADD,8pCSyzEP5L,80601.28 
[31308] BUY,8pCSyzEP5L,CCH,678.84 
[31352] COMMIT_BUY,8pCSyzEP5L 
[31423] DISPLAY_SUMMARY,8pCSyzEP5L 
[31466] CANCEL_BUY,8pCSyzEP5L 
[31495] CANCEL_SET_BUY,8pCSyzEP5L,LKK 
[31674] ADD,8pCSyzEP5L,84062.78 
[31705] QUOTE,8pCSyzEP5L,RLS 
[31823] ADD,8pCSyzEP5L,49578.64 
[31856] SET_BUY_TRIGGER,8pCSyzEP5L,VKP,190.30 
[31973] ADD,8pCSyzEP5L,86363.60 
[31977] QUOTE,8pCSyzEP5L,XZO 
[32038] BUY,8pCSyzEP5L,TOZ,514.10 
[32089] COMMIT_BUY,8pCSyzEP5L 
[32294] ADD,8pCSyzEP5L,93283.16 
[32349] QUOTE,8pCSyzEP5L,MMY 
[32396] CANCEL_SET_SELL,8pCSyzEP5L,UDM 
[32411] SET_BUY_AMOUNT,8pCSyzEP5L,RUN,712.40 
[32489] BUY,8pCSyzEP5L,WNH,556.20 
[32570] CANCEL_BUY,8pCSyzEP5L 
[32595] DISPLAY_SUMMARY,8pCSyzEP5L 
[32606] BUY,8pCSyzEP5L,VJV,687.41 
[32716] COMMIT_BUY,8pCSyzEP5L 
[32780] BUY,8pCSyzEP5L,RRE,601.87 
[32896] COMMIT_BUY,8pCSyzEP5L 
[33004] ADD,8pCSyzEP5L,87199.12 
[33385] QUOTE,8pCSyzEP5L,YCH 
[33432] BUY,8pCSyzEP5L,PSJ,158.37 
[33496] COMMIT_BUY,8pCSyzEP5L 
[33906] BUY,8pCSyzEP5L,BEG,503.73 
[33971] CANCEL_BUY,8pCSyzEP5L 
[34096] QUOTE,8pCSyzEP5L,WKE 
[34314] BUY,8pCSyzEP5L,UTV,160.13 
[34325] SET_BUY_TRIGGER,8pCSyzEP5L,DJD,364.96 
[34334] ADD,8pCSyzEP5L,106632.22 
[34549] BUY,8pCSyzEP5L,RKQ,18.52 
[34685] DISPLAY_SUMMARY,8pCSyzEP5L 
[34790] QUOTE,8pCSyzEP5L,UMV 
[34977] BUY,8pCSyzEP5L,FIW,361.91 
[35023] SET_BUY_AMOUNT,8pCSyzEP5L,RGH,222.26 
[35044] DISPLAY_SUMMARY,8pCSyzEP5L 
[35111] BUY,8pCSyzEP5L,ZCG,515.83 
[35145] QUOTE,8pCSyzEP5L,KVK 
[35285] BUY,8pCSyzEP5L,JZJ,210.29 
[35363] COMMIT_BUY,8pCSyzEP5L 
[35393] SET_SELL_AMOUNT,8pCSyzEP5L,FQP,719.83 
[35443] SET_SELL_TRIGGER,8pCSyzEP5L,FQP,424.25 
[35494] ADD,8pCSyzEP5L,68897.13 
[35622] BUY,8pCSyzEP5L,CXW,143.48 
[35635] COMMIT_BUY,8pCSyzEP5L 
[35651] SET_SELL_TRIGGER,8pCSyzEP5L,HCN,15.62 
[35733] ADD,8pCSyzEP5L,75730.91 
[35988] BUY,8pCSyzEP5L,MPP,341.40 
[36070] CANCEL_BUY,8pCSyzEP5L 
[36095] QUOTE,8pCSyzEP5L,MVQ 
[36141] BUY,8pCSyzEP5L,TQE,78.07 
[36158] COMMIT_BUY,8pCSyzEP5L 
[36197] CANCEL_BUY,8pCSyzEP5L 
[36222] ADD,8pCSyzEP5L,52112.85 
[36244] BUY,8pCSyzEP5L,BBD,23.78 
[36481] COMMIT_BUY,8pCSyzEP5L 
[36486] DISPLAY_SUMMARY,8pCSyzEP5L 
[36676] SET_BUY_AMOUNT,8pCSyzEP5L,BCQ,741.37 
[36714] SET_BUY_TRIGGER,8pCSyzEP5L,PJJ,170.54 
[36807] SELL,8pCSyzEP5L,BYA,747.06 
[36817] COMMIT_SELL,8pCSyzEP5L 
[36886] ADD,8pCSyzEP5L,90266.36 
[37042] BUY,8pCSyzEP5L,URY,128.54 
[37045] COMMIT_BUY,8pCSyzEP5L 
[37054] DISPLAY_SUMMARY,8pCSyzEP5L 
[37198] DISPLAY_SUMMARY,8pCSyzEP5L 
[37235] BUY,8pCSyzEP5L,AHO,126.59 
[37355] COMMIT_BUY,8pCSyzEP5L 
[37743] QUOTE,8pCSyzEP5L,HTD 
[37843] BUY,8pCSyzEP5L,TKM,665.52 
[37845] CANCEL_SET_BUY,8pCSyzEP5L,LRS 
[38039] BUY,8pCSyzEP5L,UEC,606.77 
[38052] CANCEL_SELL,8pCSyzEP5L 
[38282] SET_BUY_TRIGGER,8pCSyzEP5L,SWD,184.02 
[38642] CANCEL_SELL,8pCSyzEP5L 
[38701] ADD,8pCSyzEP5L,36157.01 
[38754] BUY,8pCSyzEP5L,JCQ,523.81 
[39173] COMMIT_BUY,8pCSyzEP5L 
[39279] ADD,8pCSyzEP5L,85246.95 
[39417] BUY,8pCSyzEP5L,HHG,719.34 
[39506] CANCEL_BUY,8pCSyzEP5L 
[39531] ADD,8pCSyzEP5L,87692.98 
[39576] QUOTE,8pCSyzEP5L,TSU 
[39673] QUOTE,8pCSyzEP5L,BLC 
[39733] SET_SELL_AMOUNT,8pCSyzEP5L,UTV,728.58 
[39804] CANCEL_SET_SELL,8pCSyzEP5L,UTV 
[39891] CANCEL_SET_BUY,8pCSyzEP5L,ZEG 
[39910] QUOTE,8pCSyzEP5L,DLX 
[40098] CANCEL_SET_BUY,8pCSyzEP5L,TZJ 
[40105] SET_SELL_TRIGGER,8pCSyzEP5L,BTD,37.83 
[40126] QUOTE,8pCSyzEP5L,IPJ 
[40170] SELL,8pCSyzEP5L,RNK,572.64 
[40189] COMMIT_SELL,8pCSyzEP5L 
[40391] BUY,8pCSyzEP5L,PHJ,743.99 
[40431] CANCEL_BUY,8pCSyzEP5L 
[40547] BUY,8pCSyzEP5L,PBV,166.43 
[40564] SET_BUY_AMOUNT,8pCSyzEP5L,XXQ,237.94 
[40746] SET_BUY_TRIGGER,8pCSyzEP5L,VTY,135.49 
[40826] ADD,8pCSyzEP5L,67274.59 
[40909] SET_SELL_AMOUNT,8pCSyzEP5L,RGH,258.48 
[40916] SET_SELL_TRIGGER,8pCSyzEP5L,RGH,199.28 
[41081] ADD,8pCSyzEP5L,88951.68 
[41559] QUOTE,8pCSyzEP5L,CLP 
[41564] ADD,8pCSyzEP5L,69497.03 
[41602] BUY,8pCSyzEP5L,AMI,412.52 
[41744] QUOTE,8pCSyzEP5L,BOS 
[41799] SET_BUY_AMOUNT,8pCSyzEP5L,JCQ,610.06 
[41819] QUOTE,8pCSyzEP5L,LGL 
[41858] BUY,8pCSyzEP5L,XPX,420.81 
[41977] COMMIT_BUY,8pCSyzEP5L 
[42063] QUOTE,8pCSyzEP5L,QNW 
[42152] SELL,8pCSyzEP5L,KDA,439.13 
[42428] QUOTE,8pCSyzEP5L,BPE 
[42523] ADD,8pCSyzEP5L,68890.81 
[42765] QUOTE,8pCSyzEP5L,MMY 
[43183] QUOTE,8pCSyzEP5L,KYX 
[43351] SET_BUY_AMOUNT,8pCSyzEP5L,KES,1.71 
[43452] CANCEL_SET_BUY,8pCSyzEP5L,OOR 
[43520] SET_BUY_AMOUNT,8pCSyzEP5L,NHG,642.47 
[43553] SET_BUY_TRIGGER,8pCSyzEP5L,FWW,158.63 
[43608] COMMIT_SELL,8pCSyzEP5L 
[43787] ADD,8pCSyzEP5L,77179.12 
[43887] BUY,8pCSyzEP5L,PSJ,525.80 
[43947] SET_BUY_AMOUNT,8pCSyzEP5L,JZJ,466.18 
[43981] SET_BUY_TRIGGER,8pCSyzEP5L,ZOW,96.53 
[44000] SET_SELL_AMOUNT,8pCSyzEP5L,RGH,296.57 
[44223] DISPLAY_SUMMARY,8pCSyzEP5L 
[44330] DISPLAY_SUMMARY,8pCSyzEP5L 
[44707] DISPLAY_SUMMARY,8pCSyzEP5L 
[44730] DISPLAY_SUMMARY,8pCSyzEP5L 
[44883] SET_BUY_TRIGGER,8pCSyzEP5L,LLE,157.83 
[44918] SET_BUY_TRIGGER,8pCSyzEP5L,GRD,124.81 
[44979] DISPLAY_SUMMARY,8pCSyzEP5L 
[45038] SELL,8pCSyzEP5L,ZYR,708.37 
[45159] COMMIT_BUY,8pCSyzEP5L 
[45198] ADD,8pCSyzEP5L,73704.59 
[45211] BUY,8pCSyzEP5L,JII,164.32 
[45242] DISPLAY_SUMMARY,8pCSyzEP5L 
[45366] ADD,8pCSyzEP5L,59093.59 
[45495] BUY,8pCSyzEP5L,ZOT,277.54 
[45511] COMMIT_BUY,8pCSyzEP5L 
[45592] SELL,8pCSyzEP5L,GYF,364.62 
[45641] COMMIT_SELL,8pCSyzEP5L 
[45656] SET_SELL_TRIGGER,8pCSyzEP5L,RGH,237.07 
[45733] ADD,8pCSyzEP5L,61953.53 
[45970] QUOTE,8pCSyzEP5L,KDG 
[46012] BUY,8pCSyzEP5L,GGY,617.85 
[46095] COMMIT_SELL,8pCSyzEP5L 
[46112] SET_SELL_AMOUNT,8pCSyzEP5L,AVX,329.97 
[46180] SET_SELL_TRIGGER,8pCSyzEP5L,AVX,55.40 
[46220] QUOTE,8pCSyzEP5L,JRY 
[46318] QUOTE,8pCSyzEP5L,CLH 
[46530] BUY,8pCSyzEP5L,LMB,30.35 
[46735] CANCEL_SET_SELL,8pCSyzEP5L,HIW 
[46971] ADD,8pCSyzEP5L,76793.15 
