[20] ADD,HPxIuj9S6A,62213.48 
[31148] SET_SELL_TRIGGER,HPxIuj9S6A,IIX,37.55 
[31194] DISPLAY_SUMMARY,HPxIuj9S6A 
[31197] DISPLAY_SUMMARY,HPxIuj9S6A 
[31231] ADD,HPxIuj9S6A,62490.04 
[31320] QUOTE,HPxIuj9S6A,ZQC 
[31351] BUY,HPxIuj9S6A,XFH,451.37 
[31371] BUY,HPxIuj9S6A,ZNY,441.83 
[31378] COMMIT_BUY,HPxIuj9S6A 
[31405] SET_SELL_AMOUNT,HPxIuj9S6A,OEY,585.89 
[31591] SET_SELL_TRIGGER,HPxIuj9S6A,OEY,282.98 
[31704] BUY,HPxIuj9S6A,JMG,236.75 
[32051] COMMIT_BUY,HPxIuj9S6A 
[32056] BUY,HPxIuj9S6A,LMO,687.07 
[32061] CANCEL_SELL,HPxIuj9S6A 
[32092] SET_BUY_TRIGGER,HPxIuj9S6A,GIK,59.03 
[32178] DISPLAY_SUMMARY,HPxIuj9S6A 
[32227] ADD,HPxIuj9S6A,61144.47 
[32380] QUOTE,HPxIuj9S6A,LPS 
[32410] QUOTE,HPxIuj9S6A,LVT 
[32416] COMMIT_BUY,HPxIuj9S6A 
[32448] SET_SELL_TRIGGER,HPxIuj9S6A,MZT,58.17 
[32532] QUOTE,HPxIuj9S6A,XOM 
[32545] BUY,HPxIuj9S6A,PNP,731.74 
[32591] BUY,HPxIuj9S6A,QID,386.00 
[32608] SET_BUY_TRIGGER,HPxIuj9S6A,JMG,122.10 
[32678] DISPLAY_SUMMARY,HPxIuj9S6A 
[32861] BUY,HPxIuj9S6A,WBX,477.35 
[33085] DISPLAY_SUMMARY,HPxIuj9S6A 
[33263] DISPLAY_SUMMARY,HPxIuj9S6A 
[33292] SET_BUY_AMOUNT,HPxIuj9S6A,JQO,118.31 
[33350] DISPLAY_SUMMARY,HPxIuj9S6A 
[33595] DISPLAY_SUMMARY,HPxIuj9S6A 
[33951] SET_BUY_AMOUNT,HPxIuj9S6A,BCQ,233.68 
[33965] SET_BUY_TRIGGER,HPxIuj9S6A,KPP,189.28 
[34139] SET_SELL_TRIGGER,HPxIuj9S6A,QAX,109.61 
[34285] SET_SELL_TRIGGER,HPxIuj9S6A,CBV,31.17 
[34347] CANCEL_SELL,HPxIuj9S6A 
[34360] SET_BUY_AMOUNT,HPxIuj9S6A,JCQ,169.38 
[34439] SET_BUY_TRIGGER,HPxIuj9S6A,XOL,166.29 
[34635] DISPLAY_SUMMARY,HPxIuj9S6A 
[34704] SET_SELL_AMOUNT,HPxIuj9S6A,OEY,715.81 
[34852] SET_SELL_TRIGGER,HPxIuj9S6A,OEY,435.36 
[34879] CANCEL_BUY,HPxIuj9S6A 
[34880] ADD,HPxIuj9S6A,56600.47 
[35073] SELL,HPxIuj9S6A,DFE,511.96 
[35130] COMMIT_SELL,HPxIuj9S6A 
[35231] SET_SELL_AMOUNT,HPxIuj9S6A,JVT,419.33 
[35427] SET_SELL_TRIGGER,HPxIuj9S6A,JVT,191.31 
[35571] BUY,HPxIuj9S6A,ZOW,285.78 
[35673] COMMIT_BUY,HPxIuj9S6A 
[35701] CANCEL_SET_SELL,HPxIuj9S6A,SCW 
[36079] DISPLAY_SUMMARY,HPxIuj9S6A 
[36116] BUY,HPxIuj9S6A,MOS,168.90 
[36187] COMMIT_BUY,HPxIuj9S6A 
[36193] DISPLAY_SUMMARY,HPxIuj9S6A 
[36223] SET_SELL_AMOUNT,HPxIuj9S6A,QJZ,24.55 
[36224] SET_SELL_TRIGGER,HPxIuj9S6A,QJZ,11.40 
[36468] BUY,HPxIuj9S6A,BRT,462.07 
[36744] CANCEL_BUY,HPxIuj9S6A 
[36769] BUY,HPxIuj9S6A,QID,646.70 
[36843] SET_BUY_AMOUNT,HPxIuj9S6A,JQO,409.45 
[36892] CANCEL_SET_BUY,HPxIuj9S6A,SON 
[37046] QUOTE,HPxIuj9S6A,WKD 
[37104] SET_SELL_AMOUNT,HPxIuj9S6A,JCQ,636.72 
[37152] SET_SELL_TRIGGER,HPxIuj9S6A,JCQ,46.54 
[37214] SET_BUY_TRIGGER,HPxIuj9S6A,DRP,122.11 
[37357] QUOTE,HPxIuj9S6A,GUW 
[37408] BUY,HPxIuj9S6A,SKV,548.52 
[37595] CANCEL_SELL,HPxIuj9S6A 
[37901] SET_BUY_TRIGGER,HPxIuj9S6A,DWC,81.26 
[37910] BUY,HPxIuj9S6A,JKX,390.75 
[37952] CANCEL_SET_BUY,HPxIuj9S6A,MIU 
[37954] DISPLAY_SUMMARY,HPxIuj9S6A 
[37984] SET_BUY_AMOUNT,HPxIuj9S6A,UTV,276.95 
[38175] SET_BUY_TRIGGER,HPxIuj9S6A,ERF,154.14 
[38326] ADD,HPxIuj9S6A,70633.70 
[38716] BUY,HPxIuj9S6A,QQI,527.97 
[38762] COMMIT_BUY,HPxIuj9S6A 
[38963] COMMIT_SELL,HPxIuj9S6A 
[39017] SELL,HPxIuj9S6A,ZYR,557.57 
[39167] COMMIT_SELL,HPxIuj9S6A 
[39217] CANCEL_SELL,HPxIuj9S6A 
[39594] ADD,HPxIuj9S6A,73237.02 
[39605] QUOTE,HPxIuj9S6A,VTY 
[39692] ADD,HPxIuj9S6A,50786.81 
[39773] BUY,HPxIuj9S6A,GPL,557.96 
[39815] DISPLAY_SUMMARY,HPxIuj9S6A 
[39840] SET_BUY_AMOUNT,HPxIuj9S6A,CUZ,417.73 
[40004] SET_BUY_TRIGGER,HPxIuj9S6A,ALV,297.64 
[40121] BUY,HPxIuj9S6A,WUL,331.58 
[40292] SET_SELL_TRIGGER,HPxIuj9S6A,LRS,124.11 
[40300] SET_SELL_AMOUNT,HPxIuj9S6A,LFU,71.16 
[40424] DISPLAY_SUMMARY,HPxIuj9S6A 
[40601] SET_SELL_AMOUNT,HPxIuj9S6A,OEY,495.37 
[40607] SET_SELL_TRIGGER,HPxIuj9S6A,OEY,236.97 
[40663] SET_BUY_AMOUNT,HPxIuj9S6A,KDA,199.70 
[40726] SET_BUY_TRIGGER,HPxIuj9S6A,EOS,69.22 
[40736] DISPLAY_SUMMARY,HPxIuj9S6A 
[40899] QUOTE,HPxIuj9S6A,LGL 
[41325] QUOTE,HPxIuj9S6A,JNO 
[41395] ADD,HPxIuj9S6A,58196.21 
[41509] BUY,HPxIuj9S6A,ZNY,536.40 
[41527] SET_SELL_AMOUNT,HPxIuj9S6A,OEY,19.08 
[41569] SET_SELL_TRIGGER,HPxIuj9S6A,OEY,5.61 
[41644] BUY,HPxIuj9S6A,PVZ,34.20 
[41753] CANCEL_SELL,HPxIuj9S6A 
[41912] QUOTE,HPxIuj9S6A,UDM 
[41988] QUOTE,HPxIuj9S6A,MOM 
[42124] QUOTE,HPxIuj9S6A,RFC 
[42148] ADD,HPxIuj9S6A,71697.52 
[42300] COMMIT_SELL,HPxIuj9S6A 
[42399] BUY,HPxIuj9S6A,CDF,308.48 
[42562] COMMIT_BUY,HPxIuj9S6A 
[42677] QUOTE,HPxIuj9S6A,RLS 
[42896] SELL,HPxIuj9S6A,JRJ,294.29 
[42924] SET_BUY_AMOUNT,HPxIuj9S6A,YJK,593.05 
[43012] SET_BUY_TRIGGER,HPxIuj9S6A,MOM,57.72 
[43060] COMMIT_BUY,HPxIuj9S6A 
[43224] ADD,HPxIuj9S6A,61683.82 
[43371] QUOTE,HPxIuj9S6A,JXW 
[43396] ADD,HPxIuj9S6A,72744.05 
[43561] CANCEL_BUY,HPxIuj9S6A 
[43609] ADD,HPxIuj9S6A,84859.20 
[43625] QUOTE,HPxIuj9S6A,MOM 
[43637] BUY,HPxIuj9S6A,VVO,719.14 
[43849] COMMIT_BUY,HPxIuj9S6A 
[44059] SET_BUY_AMOUNT,HPxIuj9S6A,ZAN,55.95 
[44114] SET_BUY_TRIGGER,HPxIuj9S6A,OYS,21.06 
[44229] DISPLAY_SUMMARY,HPxIuj9S6A 
[44251] DISPLAY_SUMMARY,HPxIuj9S6A 
[44662] CANCEL_SET_BUY,HPxIuj9S6A,MVY 
[44752] DISPLAY_SUMMARY,HPxIuj9S6A 
[44778] SET_BUY_AMOUNT,HPxIuj9S6A,RUN,147.68 
[44809] SET_BUY_TRIGGER,HPxIuj9S6A,OEY,137.26 
[44876] SET_BUY_TRIGGER,HPxIuj9S6A,YWC,159.68 
[44926] BUY,HPxIuj9S6A,ARP,303.06 
[44931] CANCEL_BUY,HPxIuj9S6A 
[45118] SET_BUY_AMOUNT,HPxIuj9S6A,OEY,104.24 
[45168] BUY,HPxIuj9S6A,OTQ,295.15 
[45238] COMMIT_BUY,HPxIuj9S6A 
[45318] SET_SELL_TRIGGER,HPxIuj9S6A,NFO,122.77 
[46040] SET_BUY_TRIGGER,HPxIuj9S6A,BHJ,76.65 
[46138] DISPLAY_SUMMARY,HPxIuj9S6A 
[46194] CANCEL_SET_BUY,HPxIuj9S6A,SON 
[46229] BUY,HPxIuj9S6A,CVP,583.60 
[46489] COMMIT_BUY,HPxIuj9S6A 
[46642] ADD,HPxIuj9S6A,75675.83 
[46647] BUY,HPxIuj9S6A,DJD,130.97 
[46666] CANCEL_SET_BUY,HPxIuj9S6A,GWF 
[46688] DISPLAY_SUMMARY,HPxIuj9S6A 
[46959] SET_BUY_TRIGGER,HPxIuj9S6A,OBR,107.98 
[46967] DISPLAY_SUMMARY,HPxIuj9S6A 
[47007] ADD,HPxIuj9S6A,65179.60 
[47043] BUY,HPxIuj9S6A,ETJ,197.90 
[47086] COMMIT_BUY,HPxIuj9S6A 
[47189] SELL,HPxIuj9S6A,LFU,363.61 
[47193] COMMIT_SELL,HPxIuj9S6A 
[47268] BUY,HPxIuj9S6A,ZFK,619.18 
[47334] BUY,HPxIuj9S6A,GTX,630.10 
[47340] SELL,HPxIuj9S6A,ZTI,206.46 
[47392] CANCEL_SELL,HPxIuj9S6A 
[47415] BUY,HPxIuj9S6A,STT,372.94 
[47734] COMMIT_BUY,HPxIuj9S6A 
[47784] DISPLAY_SUMMARY,HPxIuj9S6A 
[48237] DISPLAY_SUMMARY,HPxIuj9S6A 
[48252] BUY,HPxIuj9S6A,CXW,230.96 
[48258] COMMIT_BUY,HPxIuj9S6A 
[48318] QUOTE,HPxIuj9S6A,TCP 
[48335] QUOTE,HPxIuj9S6A,NDJ 
[48343] SET_BUY_AMOUNT,HPxIuj9S6A,JVT,201.62 
[48356] CANCEL_SET_BUY,HPxIuj9S6A,LAM 
[48529] SELL,HPxIuj9S6A,JRJ,211.85 
[48645] QUOTE,HPxIuj9S6A,AUT 
[48752] CANCEL_BUY,HPxIuj9S6A 
[48820] ADD,HPxIuj9S6A,71857.18 
[48829] BUY,HPxIuj9S6A,ZZD,300.80 
[48950] ADD,HPxIuj9S6A,82960.01 
[49016] SET_SELL_AMOUNT,HPxIuj9S6A,YJK,383.85 
[49169] SET_SELL_TRIGGER,HPxIuj9S6A,YJK,176.62 
