[59] ADD,dALWhJa374,26637.85 
[7739] BUY,dALWhJa374,PVZ,539.24 
[7815] CANCEL_BUY,dALWhJa374 
[7888] DISPLAY_SUMMARY,dALWhJa374 
[7914] QUOTE,dALWhJa374,LNJ 
[7980] SET_BUY_TRIGGER,dALWhJa374,FZB,60.47 
[8022] SET_BUY_TRIGGER,dALWhJa374,OIY,142.76 
[8090] SET_BUY_TRIGGER,dALWhJa374,IGI,141.17 
[8117] BUY,dALWhJa374,EBS,689.88 
[8158] COMMIT_BUY,dALWhJa374 
[8318] DISPLAY_SUMMARY,dALWhJa374 
[8454] SELL,dALWhJa374,JVT,19.68 
[8510] COMMIT_SELL,dALWhJa374 
[8640] ADD,dALWhJa374,66609.87 
[8677] QUOTE,dALWhJa374,GAN 
[8881] BUY,dALWhJa374,HTN,358.85 
[8945] SET_SELL_AMOUNT,dALWhJa374,JCQ,188.31 
[8991] SELL,dALWhJa374,JVT,333.21 
[9113] CANCEL_BUY,dALWhJa374 
[9227] COMMIT_SELL,dALWhJa374 
[9264] QUOTE,dALWhJa374,TVI 
[9457] CANCEL_SELL,dALWhJa374 
[9462] ADD,dALWhJa374,80016.92 
[9739] QUOTE,dALWhJa374,ZHB 
[9769] SET_BUY_AMOUNT,dALWhJa374,KDA,646.22 
[9929] SET_BUY_TRIGGER,dALWhJa374,WPG,207.82 
[9936] SET_BUY_AMOUNT,dALWhJa374,JVT,525.82 
[10083] SET_BUY_TRIGGER,dALWhJa374,LUD,158.26 
[10131] SET_BUY_TRIGGER,dALWhJa374,FRB,149.79 
[10243] ADD,dALWhJa374,69281.43 
[10339] CANCEL_SELL,dALWhJa374 
[10371] DISPLAY_SUMMARY,dALWhJa374 
[10410] SET_BUY_AMOUNT,dALWhJa374,GYF,582.57 
[10425] SET_BUY_TRIGGER,dALWhJa374,NSW,520.67 
[10647] ADD,dALWhJa374,89689.20 
[10652] SET_SELL_TRIGGER,dALWhJa374,JCQ,102.55 
[10665] SELL,dALWhJa374,KES,551.08 
[10671] COMMIT_SELL,dALWhJa374 
[10960] BUY,dALWhJa374,JHY,414.98 
[10971] COMMIT_BUY,dALWhJa374 
[11044] ADD,dALWhJa374,85438.53 
[11285] CANCEL_SELL,dALWhJa374 
[11356] SET_BUY_AMOUNT,dALWhJa374,KDA,130.06 
[11459] SET_BUY_TRIGGER,dALWhJa374,VDP,81.17 
[11461] SET_BUY_TRIGGER,dALWhJa374,QJC,93.54 
[11727] SET_SELL_TRIGGER,dALWhJa374,WNU,130.05 
[11764] ADD,dALWhJa374,58727.45 
[11950] QUOTE,dALWhJa374,VND 
[12004] QUOTE,dALWhJa374,ZQW 
[12175] BUY,dALWhJa374,VVW,2.48 
[12351] COMMIT_BUY,dALWhJa374 
[12462] SELL,dALWhJa374,JCQ,448.48 
[12588] COMMIT_SELL,dALWhJa374 
[12697] CANCEL_SET_BUY,dALWhJa374,FPI 
[12752] QUOTE,dALWhJa374,KEV 
[12779] QUOTE,dALWhJa374,CBX 
[12825] BUY,dALWhJa374,URY,620.30 
[12841] COMMIT_BUY,dALWhJa374 
[12859] ADD,dALWhJa374,47315.36 
[12892] QUOTE,dALWhJa374,HIW 
[13005] BUY,dALWhJa374,XWZ,365.02 
[13101] DISPLAY_SUMMARY,dALWhJa374 
[13311] DISPLAY_SUMMARY,dALWhJa374 
[13384] ADD,dALWhJa374,93167.23 
[13425] QUOTE,dALWhJa374,NBX 
[13517] BUY,dALWhJa374,JXW,653.18 
[13536] COMMIT_BUY,dALWhJa374 
[13541] SET_SELL_TRIGGER,dALWhJa374,BWL,150.24 
[13604] QUOTE,dALWhJa374,WAI 
[13816] SET_BUY_TRIGGER,dALWhJa374,EWP,21.81 
[14005] SET_BUY_TRIGGER,dALWhJa374,SZI,114.00 
[14006] SET_BUY_TRIGGER,dALWhJa374,IAV,143.16 
[14109] DISPLAY_SUMMARY,dALWhJa374 
[14183] ADD,dALWhJa374,72369.27 
[14314] BUY,dALWhJa374,WQC,394.17 
[14339] COMMIT_BUY,dALWhJa374 
[14382] QUOTE,dALWhJa374,XQC 
[14407] DISPLAY_SUMMARY,dALWhJa374 
[14546] ADD,dALWhJa374,82831.42 
[14562] QUOTE,dALWhJa374,QOD 
[14662] SET_BUY_AMOUNT,dALWhJa374,GYF,575.70 
[14853] CANCEL_SET_BUY,dALWhJa374,QLM 
[14968] ADD,dALWhJa374,68689.12 
[15057] BUY,dALWhJa374,YVS,627.63 
[15121] SET_SELL_TRIGGER,dALWhJa374,FFZ,160.54 
[15196] SET_SELL_AMOUNT,dALWhJa374,OEY,496.96 
[15310] SET_SELL_TRIGGER,dALWhJa374,OEY,440.55 
[15604] DISPLAY_SUMMARY,dALWhJa374 
[15629] DISPLAY_SUMMARY,dALWhJa374 
[15735] DISPLAY_SUMMARY,dALWhJa374 
[15857] ADD,dALWhJa374,44351.05 
[15944] QUOTE,dALWhJa374,ROW 
[15986] BUY,dALWhJa374,EUM,131.08 
[16050] CANCEL_BUY,dALWhJa374 
[16078] BUY,dALWhJa374,ZTI,419.66 
[16226] CANCEL_BUY,dALWhJa374 
[16305] ADD,dALWhJa374,57208.59 
[16310] BUY,dALWhJa374,PIC,459.38 
[16519] SET_SELL_AMOUNT,dALWhJa374,UTV,699.30 
[16705] SET_SELL_TRIGGER,dALWhJa374,UTV,395.54 
[16788] CANCEL_SET_SELL,dALWhJa374,MZT 
[17010] SET_BUY_AMOUNT,dALWhJa374,KES,60.03 
[17226] CANCEL_SET_BUY,dALWhJa374,UMV 
[17311] COMMIT_BUY,dALWhJa374 
[17364] CANCEL_SET_SELL,dALWhJa374,ERF 
[17484] SET_BUY_TRIGGER,dALWhJa374,CEC,24.38 
[17603] ADD,dALWhJa374,88626.07 
[17626] BUY,dALWhJa374,WUF,374.81 
[17664] COMMIT_SELL,dALWhJa374 
[17778] QUOTE,dALWhJa374,MER 
[17787] QUOTE,dALWhJa374,HQU 
[17792] SET_BUY_TRIGGER,dALWhJa374,DWX,182.84 
[17812] ADD,dALWhJa374,54698.74 
[17979] BUY,dALWhJa374,ATE,179.38 
[18222] QUOTE,dALWhJa374,UTL 
[18305] COMMIT_SELL,dALWhJa374 
[18578] DISPLAY_SUMMARY,dALWhJa374 
[19173] ADD,dALWhJa374,61277.99 
[19385] QUOTE,dALWhJa374,WNX 
[19399] BUY,dALWhJa374,DWC,216.66 
[19552] SET_SELL_TRIGGER,dALWhJa374,WFR,41.27 
[19574] QUOTE,dALWhJa374,RWM 
[19624] QUOTE,dALWhJa374,ZQS 
[19628] QUOTE,dALWhJa374,YVS 
[19717] QUOTE,dALWhJa374,DDH 
[19807] QUOTE,dALWhJa374,RQS 
[19838] ADD,dALWhJa374,93614.11 
[20134] QUOTE,dALWhJa374,PFN 
[20162] ADD,dALWhJa374,74251.94 
[20423] QUOTE,dALWhJa374,OHS 
[20657] BUY,dALWhJa374,ALV,520.18 
[20693] BUY,dALWhJa374,KRY,297.46 
[20778] COMMIT_BUY,dALWhJa374 
[20830] ADD,dALWhJa374,77401.29 
[20904] DISPLAY_SUMMARY,dALWhJa374 
[21002] SET_SELL_AMOUNT,dALWhJa374,QAX,699.98 
[21037] SET_SELL_TRIGGER,dALWhJa374,QAX,579.47 
[21081] BUY,dALWhJa374,GPC,72.91 
[21174] COMMIT_BUY,dALWhJa374 
[21297] SELL,dALWhJa374,UTV,184.55 
[21461] SET_SELL_AMOUNT,dALWhJa374,QJZ,174.20 
[21466] SET_SELL_TRIGGER,dALWhJa374,QJZ,155.04 
[21476] QUOTE,dALWhJa374,JUV 
[21607] BUY,dALWhJa374,LZB,46.26 
[21679] CANCEL_BUY,dALWhJa374 
[21764] BUY,dALWhJa374,QQI,745.75 
[21925] COMMIT_BUY,dALWhJa374 
[21977] QUOTE,dALWhJa374,JLK 
[22101] BUY,dALWhJa374,KJH,390.33 
[22391] SET_SELL_TRIGGER,dALWhJa374,NVN,94.68 
[22417] ADD,dALWhJa374,80065.09 
[22556] BUY,dALWhJa374,JEA,25.76 
[22591] DISPLAY_SUMMARY,dALWhJa374 
[22725] QUOTE,dALWhJa374,NEV 
[22734] CANCEL_BUY,dALWhJa374 
[22774] QUOTE,dALWhJa374,NXU 
[23145] DISPLAY_SUMMARY,dALWhJa374 
[23152] SET_BUY_AMOUNT,dALWhJa374,OEY,718.15 
[23378] SET_BUY_TRIGGER,dALWhJa374,SFR,624.55 
[23495] ADD,dALWhJa374,83211.07 
[23517] BUY,dALWhJa374,WQC,559.90 
[23575] COMMIT_BUY,dALWhJa374 
[23902] SET_SELL_AMOUNT,dALWhJa374,FQP,624.34 
[23913] QUOTE,dALWhJa374,YPW 
[23922] QUOTE,dALWhJa374,ZAN 
[24197] CANCEL_BUY,dALWhJa374 
[24396] SET_BUY_AMOUNT,dALWhJa374,JRJ,725.56 
[24479] SET_BUY_TRIGGER,dALWhJa374,OXK,159.07 
[24483] QUOTE,dALWhJa374,SKV 
[24594] DISPLAY_SUMMARY,dALWhJa374 
[24678] DISPLAY_SUMMARY,dALWhJa374 
[24706] SET_BUY_TRIGGER,dALWhJa374,KQZ,49.82 
[24775] SET_SELL_TRIGGER,dALWhJa374,FQP,359.34 
[24863] COMMIT_SELL,dALWhJa374 
[25176] DISPLAY_SUMMARY,dALWhJa374 
[25270] ADD,dALWhJa374,70430.65 
[25274] BUY,dALWhJa374,IKK,96.24 
[25276] COMMIT_BUY,dALWhJa374 
[25335] SET_BUY_AMOUNT,dALWhJa374,ZAN,43.46 
[25528] QUOTE,dALWhJa374,IZS 
[25564] DISPLAY_SUMMARY,dALWhJa374 
[25865] SET_SELL_AMOUNT,dALWhJa374,ZAN,47.85 
[26067] SET_SELL_TRIGGER,dALWhJa374,ZAN,1.43 
[26108] SELL,dALWhJa374,KDA,636.15 
[26118] COMMIT_SELL,dALWhJa374 
[26292] CANCEL_SELL,dALWhJa374 
[26387] DISPLAY_SUMMARY,dALWhJa374 
[26456] DISPLAY_SUMMARY,dALWhJa374 
[26507] SET_SELL_TRIGGER,dALWhJa374,XFW,162.48 
[26608] SET_SELL_TRIGGER,dALWhJa374,GPC,38.55 
[26707] DISPLAY_SUMMARY,dALWhJa374 
[26728] ADD,dALWhJa374,54999.42 
[26834] BUY,dALWhJa374,ILT,508.47 
[26851] COMMIT_BUY,dALWhJa374 
[27014] SET_SELL_TRIGGER,dALWhJa374,MRH,127.25 
[27057] ADD,dALWhJa374,46005.74 
[27404] BUY,dALWhJa374,JGG,733.78 
[27475] ADD,dALWhJa374,54235.32 
[27623] SET_SELL_TRIGGER,dALWhJa374,TOZ,13.30 
[27705] ADD,dALWhJa374,72269.51 
[27777] QUOTE,dALWhJa374,OXV 
[27972] BUY,dALWhJa374,EAK,33.35 
[28078] COMMIT_BUY,dALWhJa374 
[28083] SET_SELL_TRIGGER,dALWhJa374,HTN,66.15 
[28126] ADD,dALWhJa374,88502.84 
[28405] QUOTE,dALWhJa374,TVX 
[28410] CANCEL_SELL,dALWhJa374 
[28430] SET_BUY_AMOUNT,dALWhJa374,QJZ,456.43 
[28535] SET_BUY_TRIGGER,dALWhJa374,HEK,257.57 
[28682] DISPLAY_SUMMARY,dALWhJa374 
[28794] SET_BUY_AMOUNT,dALWhJa374,QAX,489.03 
[28983] SET_BUY_TRIGGER,dALWhJa374,VEX,403.00 
[29128] SELL,dALWhJa374,EBS,439.68 
[29145] COMMIT_SELL,dALWhJa374 
[29166] DISPLAY_SUMMARY,dALWhJa374 
[29366] DISPLAY_SUMMARY,dALWhJa374 
[29444] SELL,dALWhJa374,ZAN,205.54 
[29475] COMMIT_SELL,dALWhJa374 
[29568] QUOTE,dALWhJa374,PYB 
[29731] CANCEL_SELL,dALWhJa374 
[29972] DISPLAY_SUMMARY,dALWhJa374 
[30120] SET_BUY_TRIGGER,dALWhJa374,JLK,91.64 
[30155] QUOTE,dALWhJa374,NLT 
[30238] BUY,dALWhJa374,MLT,148.61 
[30255] SET_SELL_TRIGGER,dALWhJa374,PHZ,188.60 
[30359] SET_SELL_AMOUNT,dALWhJa374,JCQ,458.38 
[30391] SET_SELL_TRIGGER,dALWhJa374,JCQ,197.95 
[30635] SET_SELL_AMOUNT,dALWhJa374,FQP,61.72 
[30643] SET_SELL_TRIGGER,dALWhJa374,FQP,29.38 
[30680] SELL,dALWhJa374,FQP,178.13 
[30730] SELL,dALWhJa374,RUN,645.74 
[30749] COMMIT_SELL,dALWhJa374 
[30770] BUY,dALWhJa374,CSZ,295.72 
[30780] COMMIT_BUY,dALWhJa374 
[31015] ADD,dALWhJa374,54569.41 
[31033] BUY,dALWhJa374,XPX,470.64 
[31035] CANCEL_SELL,dALWhJa374 
[31079] ADD,dALWhJa374,97147.28 
[31109] BUY,dALWhJa374,SEW,497.94 
[31166] COMMIT_BUY,dALWhJa374 
[31271] SELL,dALWhJa374,JVT,8.93 
[31335] COMMIT_SELL,dALWhJa374 
[31407] SET_BUY_AMOUNT,dALWhJa374,CUZ,220.95 
[31415] SET_BUY_TRIGGER,dALWhJa374,CVV,184.13 
[31419] SELL,dALWhJa374,FQP,587.06 
[31473] QUOTE,dALWhJa374,FVA 
[31489] ADD,dALWhJa374,63966.69 
[31740] SELL,dALWhJa374,ZAN,195.20 
[31750] SELL,dALWhJa374,JQO,316.16 
[31772] COMMIT_SELL,dALWhJa374 
[31796] BUY,dALWhJa374,XXT,356.27 
[31912] COMMIT_BUY,dALWhJa374 
[32070] CANCEL_SET_SELL,dALWhJa374,UTV 
[32467] SET_BUY_AMOUNT,dALWhJa374,DFE,357.88 
[32499] CANCEL_SET_BUY,dALWhJa374,LSM 
[32649] CANCEL_SET_BUY,dALWhJa374,NKC 
[32778] BUY,dALWhJa374,OZO,337.87 
[32824] COMMIT_BUY,dALWhJa374 
[33183] QUOTE,dALWhJa374,NFO 
[33390] BUY,dALWhJa374,OZW,542.08 
[33491] CANCEL_SELL,dALWhJa374 
[33525] SET_SELL_AMOUNT,dALWhJa374,NHG,318.15 
[33621] SET_SELL_TRIGGER,dALWhJa374,NHG,198.01 
[33773] CANCEL_SET_SELL,dALWhJa374,VOY 
[34041] SET_SELL_AMOUNT,dALWhJa374,KDA,521.56 
[34137] SET_SELL_TRIGGER,dALWhJa374,KDA,382.56 
[34319] ADD,dALWhJa374,79816.05 
[34349] QUOTE,dALWhJa374,JDW 
[34355] SET_SELL_AMOUNT,dALWhJa374,RUN,433.01 
[34470] SET_SELL_TRIGGER,dALWhJa374,RUN,204.64 
[34803] SET_SELL_TRIGGER,dALWhJa374,MHR,69.12 
[34886] ADD,dALWhJa374,74992.49 
[34901] BUY,dALWhJa374,WGP,74.39 
[35055] SET_BUY_AMOUNT,dALWhJa374,JCQ,442.75 
[35056] SET_BUY_TRIGGER,dALWhJa374,BZH,76.96 
[35067] QUOTE,dALWhJa374,YLZ 
[35134] QUOTE,dALWhJa374,BDX 
[35167] CANCEL_BUY,dALWhJa374 
[35195] SET_SELL_AMOUNT,dALWhJa374,OEY,81.39 
[35658] CANCEL_SET_SELL,dALWhJa374,OEY 
[35704] SET_BUY_TRIGGER,dALWhJa374,AOC,173.14 
[35753] SELL,dALWhJa374,BYA,712.06 
[35759] DISPLAY_SUMMARY,dALWhJa374 
[35909] ADD,dALWhJa374,64579.20 
[36000] BUY,dALWhJa374,JEO,554.00 
[36168] QUOTE,dALWhJa374,SWD 
[36186] BUY,dALWhJa374,WYR,509.15 
[36257] COMMIT_BUY,dALWhJa374 
[36305] SELL,dALWhJa374,QJZ,699.70 
[36575] COMMIT_SELL,dALWhJa374 
[36654] DISPLAY_SUMMARY,dALWhJa374 
[36735] QUOTE,dALWhJa374,HHG 
[36746] BUY,dALWhJa374,CGW,409.47 
[37032] COMMIT_BUY,dALWhJa374 
[37095] ADD,dALWhJa374,73414.33 
[37171] BUY,dALWhJa374,YGK,530.23 
[37174] COMMIT_BUY,dALWhJa374 
[37183] DISPLAY_SUMMARY,dALWhJa374 
[37358] ADD,dALWhJa374,62921.55 
[37481] BUY,dALWhJa374,KXF,357.82 
[37583] COMMIT_BUY,dALWhJa374 
[37658] ADD,dALWhJa374,58425.90 
[37692] BUY,dALWhJa374,XZO,122.39 
[37719] COMMIT_BUY,dALWhJa374 
[37897] SET_BUY_TRIGGER,dALWhJa374,RJG,124.52 
[38045] SET_BUY_TRIGGER,dALWhJa374,UTL,183.43 
[38131] ADD,dALWhJa374,68973.78 
[38252] QUOTE,dALWhJa374,LZV 
[38426] SELL,dALWhJa374,CUZ,116.16 
[38527] COMMIT_BUY,dALWhJa374 
[38633] SET_SELL_TRIGGER,dALWhJa374,EWP,3.87 
[38698] SET_BUY_AMOUNT,dALWhJa374,KES,565.68 
[38760] SET_BUY_TRIGGER,dALWhJa374,NLP,298.32 
[38773] QUOTE,dALWhJa374,WJP 
[38862] BUY,dALWhJa374,SQO,718.58 
[39083] CANCEL_SELL,dALWhJa374 
[39106] DISPLAY_SUMMARY,dALWhJa374 
[39281] DISPLAY_SUMMARY,dALWhJa374 
[39353] SELL,dALWhJa374,FQP,207.89 
[39388] COMMIT_SELL,dALWhJa374 
[39608] BUY,dALWhJa374,SON,676.83 
[39720] COMMIT_BUY,dALWhJa374 
[39834] DISPLAY_SUMMARY,dALWhJa374 
[39886] ADD,dALWhJa374,104936.84 
[39995] QUOTE,dALWhJa374,FNY 
[40067] QUOTE,dALWhJa374,WTL 
[40168] BUY,dALWhJa374,ZWB,457.29 
[40220] CANCEL_SELL,dALWhJa374 
[40252] DISPLAY_SUMMARY,dALWhJa374 
[40268] SET_BUY_TRIGGER,dALWhJa374,ZEU,114.19 
[40314] SELL,dALWhJa374,OPN,662.19 
[40366] SET_BUY_TRIGGER,dALWhJa374,OYS,58.18 
[40400] QUOTE,dALWhJa374,AOU 
[40473] BUY,dALWhJa374,RUN,58.38 
[40479] DISPLAY_SUMMARY,dALWhJa374 
[40517] DISPLAY_SUMMARY,dALWhJa374 
[40527] SELL,dALWhJa374,NHG,499.72 
[40641] BUY,dALWhJa374,VVW,724.95 
[40673] QUOTE,dALWhJa374,NRY 
[40679] BUY,dALWhJa374,YUR,447.84 
[40832] COMMIT_BUY,dALWhJa374 
[40913] SET_BUY_AMOUNT,dALWhJa374,LFU,344.06 
[41063] CANCEL_SET_BUY,dALWhJa374,EED 
[41130] QUOTE,dALWhJa374,PNP 
[41210] QUOTE,dALWhJa374,HSJ 
[41401] BUY,dALWhJa374,APU,702.00 
[41502] ADD,dALWhJa374,70534.28 
[41555] QUOTE,dALWhJa374,WKG 
[41853] DISPLAY_SUMMARY,dALWhJa374 
[41951] SET_BUY_TRIGGER,dALWhJa374,JQO,98.73 
[41985] CANCEL_SELL,dALWhJa374 
[42027] SET_SELL_TRIGGER,dALWhJa374,CLQ,101.56 
[42237] DISPLAY_SUMMARY,dALWhJa374 
[42264] QUOTE,dALWhJa374,XMA 
[42552] DISPLAY_SUMMARY,dALWhJa374 
[42565] DISPLAY_SUMMARY,dALWhJa374 
[42585] SET_SELL_TRIGGER,dALWhJa374,MSV,92.85 
[42627] DISPLAY_SUMMARY,dALWhJa374 
[42802] BUY,dALWhJa374,XME,724.85 
[42899] COMMIT_BUY,dALWhJa374 
[42944] QUOTE,dALWhJa374,SJZ 
[43161] QUOTE,dALWhJa374,FTP 
[43328] COMMIT_SELL,dALWhJa374 
[43345] DISPLAY_SUMMARY,dALWhJa374 
[43465] DISPLAY_SUMMARY,dALWhJa374 
[43660] SET_BUY_TRIGGER,dALWhJa374,BFB,63.67 
[43705] ADD,dALWhJa374,77081.07 
[43775] ADD,dALWhJa374,34859.89 
[43781] BUY,dALWhJa374,WUL,571.24 
[44197] COMMIT_BUY,dALWhJa374 
[44422] ADD,dALWhJa374,92197.44 
[44505] SET_BUY_AMOUNT,dALWhJa374,YJK,747.82 
[44508] SET_BUY_TRIGGER,dALWhJa374,BOS,518.77 
[44708] SELL,dALWhJa374,ZTI,747.60 
[44712] COMMIT_SELL,dALWhJa374 
[44786] QUOTE,dALWhJa374,VZB 
[44898] QUOTE,dALWhJa374,PUO 
[44960] BUY,dALWhJa374,BBD,273.71 
[45121] CANCEL_SET_BUY,dALWhJa374,FLD 
[45277] ADD,dALWhJa374,46923.32 
[45320] BUY,dALWhJa374,HHC,177.35 
[45352] CANCEL_BUY,dALWhJa374 
[45437] DISPLAY_SUMMARY,dALWhJa374 
[45488] SET_SELL_AMOUNT,dALWhJa374,KDA,147.64 
[45631] SET_SELL_TRIGGER,dALWhJa374,KDA,142.55 
[45724] ADD,dALWhJa374,35603.87 
[45777] SET_BUY_TRIGGER,dALWhJa374,MAX,86.90 
[45819] BUY,dALWhJa374,ZUV,525.68 
[45830] ADD,dALWhJa374,76255.31 
[45961] QUOTE,dALWhJa374,ZNW 
[46003] ADD,dALWhJa374,88813.94 
[46006] QUOTE,dALWhJa374,LHC 
[46067] CANCEL_SET_SELL,dALWhJa374,PCK 
[46077] QUOTE,dALWhJa374,PDX 
[46129] BUY,dALWhJa374,WGP,267.53 
[46152] SET_SELL_TRIGGER,dALWhJa374,NSN,29.64 
[46158] SET_SELL_AMOUNT,dALWhJa374,DFE,718.12 
[46165] SET_SELL_TRIGGER,dALWhJa374,DFE,507.57 
[46271] SELL,dALWhJa374,NHG,535.99 
[46541] QUOTE,dALWhJa374,GSW 
[46595] SET_BUY_AMOUNT,dALWhJa374,JVT,333.64 
[46693] SET_BUY_TRIGGER,dALWhJa374,MAX,12.70 
[46771] CANCEL_SET_BUY,dALWhJa374,KPE 
[46850] BUY,dALWhJa374,KCA,107.09 
[46998] CANCEL_BUY,dALWhJa374 
[47037] ADD,dALWhJa374,81008.75 
[47091] SET_SELL_AMOUNT,dALWhJa374,BCQ,614.05 
[47162] SET_SELL_TRIGGER,dALWhJa374,BCQ,605.07 
[47314] QUOTE,dALWhJa374,PJJ 
[47526] SET_BUY_TRIGGER,dALWhJa374,ZNY,109.28 
[47741] ADD,dALWhJa374,89022.04 
[47819] QUOTE,dALWhJa374,OOR 
[48096] ADD,dALWhJa374,86880.95 
[48118] BUY,dALWhJa374,KGV,734.51 
[48217] COMMIT_BUY,dALWhJa374 
[48331] ADD,dALWhJa374,101270.76 
[48468] QUOTE,dALWhJa374,DHA 
[48660] BUY,dALWhJa374,PST,558.32 
[48854] COMMIT_BUY,dALWhJa374 
[48898] QUOTE,dALWhJa374,QPR 
[48986] SELL,dALWhJa374,ZAN,352.92 
[49143] QUOTE,dALWhJa374,YDD 
[49170] QUOTE,dALWhJa374,QPX 
[49224] SET_BUY_TRIGGER,dALWhJa374,LNJ,59.41 
[49331] SELL,dALWhJa374,JQO,198.72 
[49644] COMMIT_SELL,dALWhJa374 
[49667] DISPLAY_SUMMARY,dALWhJa374 
[49702] ADD,dALWhJa374,52313.41 
[49707] SET_BUY_AMOUNT,dALWhJa374,RUN,737.37 
[49811] SET_BUY_TRIGGER,dALWhJa374,BFU,451.29 
[49817] ADD,dALWhJa374,62755.75 
[49976] SET_SELL_TRIGGER,dALWhJa374,TQE,104.41 
[50280] BUY,dALWhJa374,OYX,563.92 
[50362] COMMIT_BUY,dALWhJa374 
[50375] CANCEL_SELL,dALWhJa374 
[50422] ADD,dALWhJa374,58761.15 
[50514] QUOTE,dALWhJa374,PCK 
[50606] QUOTE,dALWhJa374,UUJ 
[50736] ADD,dALWhJa374,63381.01 
[50754] BUY,dALWhJa374,ZQS,232.31 
[50813] CANCEL_SET_SELL,dALWhJa374,LPS 
[50963] BUY,dALWhJa374,PFN,578.25 
[51125] COMMIT_BUY,dALWhJa374 
[51203] SET_SELL_AMOUNT,dALWhJa374,RUN,673.89 
[51315] SET_SELL_TRIGGER,dALWhJa374,RUN,41.92 
[51475] ADD,dALWhJa374,70766.26 
[51624] BUY,dALWhJa374,JDO,563.73 
[52225] COMMIT_BUY,dALWhJa374 
[52243] SET_BUY_TRIGGER,dALWhJa374,UDQ,163.56 
[52336] SET_BUY_AMOUNT,dALWhJa374,ZYR,553.60 
[52437] DISPLAY_SUMMARY,dALWhJa374 
[52478] SET_BUY_TRIGGER,dALWhJa374,IDX,122.62 
[52483] BUY,dALWhJa374,KBN,142.07 
