[60] ADD,HGsodwsfKO,62261.42 
[9544] CANCEL_SET_SELL,HGsodwsfKO,FWW 
[9547] ADD,HGsodwsfKO,86257.40 
[9783] CANCEL_SET_SELL,HGsodwsfKO,LGL 
[9892] SET_BUY_TRIGGER,HGsodwsfKO,FCH,165.26 
[10091] DISPLAY_SUMMARY,HGsodwsfKO 
[10315] ADD,HGsodwsfKO,97725.67 
[10392] BUY,HGsodwsfKO,WJB,460.14 
[10560] COMMIT_BUY,HGsodwsfKO 
[10663] SET_BUY_AMOUNT,HGsodwsfKO,FQP,293.98 
[10760] CANCEL_SET_BUY,HGsodwsfKO,KAO 
[10880] SET_BUY_TRIGGER,HGsodwsfKO,QSS,55.06 
[10986] QUOTE,HGsodwsfKO,BMQ 
[11013] BUY,HGsodwsfKO,WBX,206.59 
[11094] COMMIT_BUY,HGsodwsfKO 
[11102] BUY,HGsodwsfKO,KMZ,478.11 
[11149] ADD,HGsodwsfKO,56099.94 
[11301] CANCEL_SET_SELL,HGsodwsfKO,GYF 
[11330] SET_BUY_TRIGGER,HGsodwsfKO,GDO,168.55 
[11335] SET_BUY_AMOUNT,HGsodwsfKO,KES,408.65 
[11383] SET_BUY_TRIGGER,HGsodwsfKO,MIY,176.98 
[11404] ADD,HGsodwsfKO,80269.85 
[11601] BUY,HGsodwsfKO,CUQ,597.69 
[11668] SET_BUY_TRIGGER,HGsodwsfKO,NVX,70.78 
[11726] SET_SELL_AMOUNT,HGsodwsfKO,KDA,687.58 
[11791] SET_SELL_TRIGGER,HGsodwsfKO,KDA,560.23 
[11807] SET_BUY_AMOUNT,HGsodwsfKO,KES,490.50 
[11962] SET_BUY_TRIGGER,HGsodwsfKO,BDX,317.98 
[11989] BUY,HGsodwsfKO,GFN,549.11 
[12089] CANCEL_SELL,HGsodwsfKO 
[12240] QUOTE,HGsodwsfKO,UBJ 
[12311] SELL,HGsodwsfKO,KDA,333.11 
[12313] SET_SELL_AMOUNT,HGsodwsfKO,JVT,380.57 
[12349] DISPLAY_SUMMARY,HGsodwsfKO 
[12385] SET_BUY_AMOUNT,HGsodwsfKO,JVT,349.66 
[12398] DISPLAY_SUMMARY,HGsodwsfKO 
[12418] BUY,HGsodwsfKO,UGG,548.09 
[12447] QUOTE,HGsodwsfKO,HBF 
[12550] QUOTE,HGsodwsfKO,IZU 
[12614] SET_SELL_TRIGGER,HGsodwsfKO,JVT,177.97 
[12817] SELL,HGsodwsfKO,JVT,123.01 
[12827] CANCEL_SELL,HGsodwsfKO 
[12845] SET_BUY_TRIGGER,HGsodwsfKO,LJY,99.33 
[12858] SET_SELL_TRIGGER,HGsodwsfKO,UJC,94.23 
[12951] SET_SELL_AMOUNT,HGsodwsfKO,OEY,683.40 
[12990] SET_SELL_TRIGGER,HGsodwsfKO,OEY,130.12 
[13052] SET_BUY_AMOUNT,HGsodwsfKO,QJZ,589.48 
[13145] SET_BUY_TRIGGER,HGsodwsfKO,MVD,232.09 
[13272] ADD,HGsodwsfKO,38771.43 
[13378] SET_SELL_AMOUNT,HGsodwsfKO,OEY,652.49 
[13470] SET_SELL_TRIGGER,HGsodwsfKO,OEY,403.06 
[13477] QUOTE,HGsodwsfKO,FUF 
[13509] BUY,HGsodwsfKO,PHJ,604.40 
[13512] COMMIT_BUY,HGsodwsfKO 
[13679] ADD,HGsodwsfKO,68661.62 
[13813] BUY,HGsodwsfKO,CVV,720.87 
[13927] SELL,HGsodwsfKO,JCQ,240.63 
[13954] COMMIT_BUY,HGsodwsfKO 
[14011] BUY,HGsodwsfKO,RXO,224.07 
[14072] ADD,HGsodwsfKO,75956.89 
[14216] QUOTE,HGsodwsfKO,SKC 
[14231] SET_BUY_TRIGGER,HGsodwsfKO,BFL,31.88 
[14504] SET_BUY_TRIGGER,HGsodwsfKO,LKV,8.78 
[14606] DISPLAY_SUMMARY,HGsodwsfKO 
[14711] QUOTE,HGsodwsfKO,ENQ 
[14993] BUY,HGsodwsfKO,QWC,387.87 
[15003] QUOTE,HGsodwsfKO,MRH 
[15093] SET_BUY_TRIGGER,HGsodwsfKO,SCW,9.61 
[15094] ADD,HGsodwsfKO,82997.34 
[15414] BUY,HGsodwsfKO,UGT,219.66 
[15587] COMMIT_BUY,HGsodwsfKO 
[15600] DISPLAY_SUMMARY,HGsodwsfKO 
[15938] DISPLAY_SUMMARY,HGsodwsfKO 
[16016] CANCEL_SET_SELL,HGsodwsfKO,LLF 
[16024] QUOTE,HGsodwsfKO,VKP 
[16041] SET_BUY_AMOUNT,HGsodwsfKO,QAX,531.08 
[16139] SET_BUY_TRIGGER,HGsodwsfKO,MHI,77.61 
[16500] ADD,HGsodwsfKO,69077.11 
[16515] BUY,HGsodwsfKO,RRE,7.62 
[16544] COMMIT_BUY,HGsodwsfKO 
[16766] ADD,HGsodwsfKO,67633.50 
[16934] QUOTE,HGsodwsfKO,AHO 
[17081] ADD,HGsodwsfKO,92679.31 
[17260] BUY,HGsodwsfKO,MPP,48.41 
[17402] SET_BUY_AMOUNT,HGsodwsfKO,QAX,727.55 
[17435] SET_BUY_TRIGGER,HGsodwsfKO,RQF,491.74 
[17581] ADD,HGsodwsfKO,55866.16 
[17586] BUY,HGsodwsfKO,JSM,408.55 
[17724] COMMIT_BUY,HGsodwsfKO 
[17770] QUOTE,HGsodwsfKO,MMF 
[17859] BUY,HGsodwsfKO,DXQ,748.93 
[17864] SET_SELL_TRIGGER,HGsodwsfKO,WBL,199.74 
[17933] ADD,HGsodwsfKO,74679.14 
[18032] BUY,HGsodwsfKO,YNH,78.47 
[18209] QUOTE,HGsodwsfKO,SUS 
[18267] BUY,HGsodwsfKO,LVT,517.94 
[18324] QUOTE,HGsodwsfKO,OHG 
[18488] SET_BUY_AMOUNT,HGsodwsfKO,JCQ,218.14 
[18605] CANCEL_SET_BUY,HGsodwsfKO,FKX 
[18698] ADD,HGsodwsfKO,34469.98 
[18988] BUY,HGsodwsfKO,WBL,112.00 
[19231] COMMIT_BUY,HGsodwsfKO 
[19232] SET_BUY_TRIGGER,HGsodwsfKO,LLE,191.57 
[19289] ADD,HGsodwsfKO,69230.89 
[19494] BUY,HGsodwsfKO,IWL,90.93 
[19600] QUOTE,HGsodwsfKO,LLZ 
[19879] QUOTE,HGsodwsfKO,APY 
[19926] QUOTE,HGsodwsfKO,QSS 
[20222] QUOTE,HGsodwsfKO,FLD 
[20230] ADD,HGsodwsfKO,52951.57 
[20327] BUY,HGsodwsfKO,TKG,549.15 
[20347] COMMIT_BUY,HGsodwsfKO 
[20349] DISPLAY_SUMMARY,HGsodwsfKO 
[20482] ADD,HGsodwsfKO,82169.61 
[20675] BUY,HGsodwsfKO,BSG,229.23 
[20697] COMMIT_BUY,HGsodwsfKO 
[20959] CANCEL_SELL,HGsodwsfKO 
[21172] BUY,HGsodwsfKO,GED,252.05 
[21180] CANCEL_BUY,HGsodwsfKO 
[21288] CANCEL_SET_SELL,HGsodwsfKO,YRL 
[21290] SET_SELL_TRIGGER,HGsodwsfKO,IAV,23.80 
[21333] QUOTE,HGsodwsfKO,WUF 
[21569] SELL,HGsodwsfKO,QJZ,276.06 
[21695] ADD,HGsodwsfKO,68882.76 
[21795] QUOTE,HGsodwsfKO,QNK 
[21933] BUY,HGsodwsfKO,WZM,313.01 
[21959] COMMIT_BUY,HGsodwsfKO 
[21963] SET_BUY_TRIGGER,HGsodwsfKO,GZU,121.88 
[22085] SELL,HGsodwsfKO,UTV,474.95 
[22258] COMMIT_SELL,HGsodwsfKO 
[22274] SET_BUY_TRIGGER,HGsodwsfKO,IQZ,24.52 
[22287] SET_SELL_TRIGGER,HGsodwsfKO,QVA,49.95 
[22341] SELL,HGsodwsfKO,KES,604.49 
[22474] QUOTE,HGsodwsfKO,ZQS 
[22483] BUY,HGsodwsfKO,XRK,571.18 
[22491] CANCEL_BUY,HGsodwsfKO 
[22607] SET_SELL_TRIGGER,HGsodwsfKO,IJO,53.35 
[22643] QUOTE,HGsodwsfKO,FIW 
[22704] SET_BUY_TRIGGER,HGsodwsfKO,MXD,15.17 
[22742] CANCEL_BUY,HGsodwsfKO 
[22901] SET_BUY_TRIGGER,HGsodwsfKO,KQZ,15.56 
[22923] SET_BUY_AMOUNT,HGsodwsfKO,ZAN,312.43 
[23271] SET_BUY_TRIGGER,HGsodwsfKO,ZNL,0.90 
[23359] SELL,HGsodwsfKO,OEY,157.11 
[23375] COMMIT_SELL,HGsodwsfKO 
[23431] ADD,HGsodwsfKO,57924.71 
[23501] QUOTE,HGsodwsfKO,IGI 
[23519] QUOTE,HGsodwsfKO,RVZ 
[23589] COMMIT_SELL,HGsodwsfKO 
[23627] BUY,HGsodwsfKO,SJH,545.52 
[23838] SET_BUY_TRIGGER,HGsodwsfKO,CUZ,80.52 
[23901] DISPLAY_SUMMARY,HGsodwsfKO 
[23954] BUY,HGsodwsfKO,SFO,598.85 
[24013] COMMIT_BUY,HGsodwsfKO 
[24094] SET_BUY_AMOUNT,HGsodwsfKO,EBS,509.67 
[24179] SET_BUY_TRIGGER,HGsodwsfKO,CXW,460.64 
[24200] SET_SELL_AMOUNT,HGsodwsfKO,JCQ,485.72 
[24447] CANCEL_SET_SELL,HGsodwsfKO,JCQ 
[24828] SELL,HGsodwsfKO,JVT,384.50 
[24839] SET_SELL_AMOUNT,HGsodwsfKO,KDA,7.86 
[24877] CANCEL_SET_SELL,HGsodwsfKO,KDA 
[25054] BUY,HGsodwsfKO,WYA,123.87 
[25077] COMMIT_BUY,HGsodwsfKO 
[25220] ADD,HGsodwsfKO,49403.16 
[25543] DISPLAY_SUMMARY,HGsodwsfKO 
[25614] BUY,HGsodwsfKO,QJC,431.55 
[25742] COMMIT_BUY,HGsodwsfKO 
[25898] SET_SELL_TRIGGER,HGsodwsfKO,FCM,193.56 
[26086] SET_SELL_AMOUNT,HGsodwsfKO,RUN,702.20 
[26097] SET_SELL_TRIGGER,HGsodwsfKO,RUN,581.43 
[26164] CANCEL_BUY,HGsodwsfKO 
[26410] BUY,HGsodwsfKO,XRK,190.41 
[26476] COMMIT_BUY,HGsodwsfKO 
[26709] BUY,HGsodwsfKO,RWM,644.47 
[26842] CANCEL_SELL,HGsodwsfKO 
[26902] CANCEL_SET_SELL,HGsodwsfKO,EGX 
[26905] SET_SELL_TRIGGER,HGsodwsfKO,WKG,58.36 
[26936] SET_SELL_TRIGGER,HGsodwsfKO,ZFJ,66.05 
[26972] ADD,HGsodwsfKO,67851.67 
[27071] BUY,HGsodwsfKO,DPG,147.17 
[27108] CANCEL_SET_SELL,HGsodwsfKO,SKY 
[27261] SELL,HGsodwsfKO,OEY,58.82 
[27423] CANCEL_BUY,HGsodwsfKO 
[27447] SET_BUY_AMOUNT,HGsodwsfKO,KDA,737.46 
[27448] SET_BUY_TRIGGER,HGsodwsfKO,ZQC,453.99 
[27487] SET_SELL_TRIGGER,HGsodwsfKO,SYL,166.93 
[27491] DISPLAY_SUMMARY,HGsodwsfKO 
[27888] SELL,HGsodwsfKO,QJZ,203.05 
[27927] COMMIT_SELL,HGsodwsfKO 
[28161] ADD,HGsodwsfKO,64126.83 
[28471] BUY,HGsodwsfKO,JMX,734.79 
[28521] COMMIT_BUY,HGsodwsfKO 
[28656] ADD,HGsodwsfKO,69654.97 
[28713] COMMIT_BUY,HGsodwsfKO 
[29171] SET_BUY_AMOUNT,HGsodwsfKO,GYF,118.92 
[29247] SET_BUY_TRIGGER,HGsodwsfKO,LUT,43.46 
[29450] SELL,HGsodwsfKO,JVT,134.67 
[29519] QUOTE,HGsodwsfKO,GKD 
[29642] BUY,HGsodwsfKO,FKI,79.78 
[29761] COMMIT_BUY,HGsodwsfKO 
[29811] SET_BUY_AMOUNT,HGsodwsfKO,BCQ,414.24 
[30101] SET_BUY_TRIGGER,HGsodwsfKO,HMR,51.83 
[30422] COMMIT_SELL,HGsodwsfKO 
[30474] ADD,HGsodwsfKO,68842.66 
[30500] QUOTE,HGsodwsfKO,NBX 
[30687] SET_BUY_AMOUNT,HGsodwsfKO,BCQ,48.46 
[30763] CANCEL_SET_BUY,HGsodwsfKO,DIX 
[30978] ADD,HGsodwsfKO,42809.37 
[31040] BUY,HGsodwsfKO,GLO,150.24 
[31230] QUOTE,HGsodwsfKO,JRY 
[31278] SELL,HGsodwsfKO,GYF,310.08 
[31280] COMMIT_SELL,HGsodwsfKO 
[31311] CANCEL_SET_SELL,HGsodwsfKO,FFI 
[31325] DISPLAY_SUMMARY,HGsodwsfKO 
[31354] SET_SELL_TRIGGER,HGsodwsfKO,TKV,64.69 
[31633] CANCEL_SELL,HGsodwsfKO 
[31764] SET_SELL_TRIGGER,HGsodwsfKO,YTO,167.07 
[31787] DISPLAY_SUMMARY,HGsodwsfKO 
[32185] SET_BUY_TRIGGER,HGsodwsfKO,ALV,94.72 
[32217] ADD,HGsodwsfKO,53143.21 
[32229] QUOTE,HGsodwsfKO,WSR 
[32245] SET_BUY_AMOUNT,HGsodwsfKO,JCQ,398.30 
[32379] CANCEL_SET_BUY,HGsodwsfKO,OTD 
[32407] SET_SELL_TRIGGER,HGsodwsfKO,OYX,1.40 
[32710] BUY,HGsodwsfKO,NGB,727.64 
[32738] SET_SELL_TRIGGER,HGsodwsfKO,JMX,184.73 
[32775] ADD,HGsodwsfKO,93582.55 
[32827] BUY,HGsodwsfKO,DNJ,30.09 
[32946] BUY,HGsodwsfKO,WCR,462.13 
[33079] CANCEL_SET_BUY,HGsodwsfKO,GAV 
[33192] DISPLAY_SUMMARY,HGsodwsfKO 
[33514] DISPLAY_SUMMARY,HGsodwsfKO 
[33526] SELL,HGsodwsfKO,UTV,567.02 
[33647] CANCEL_SET_SELL,HGsodwsfKO,AJL 
[33740] SET_BUY_AMOUNT,HGsodwsfKO,LFU,332.75 
[33838] BUY,HGsodwsfKO,YRO,599.31 
[33841] COMMIT_BUY,HGsodwsfKO 
[33846] ADD,HGsodwsfKO,92420.04 
[34069] CANCEL_SET_SELL,HGsodwsfKO,ZMS 
[34293] SET_SELL_AMOUNT,HGsodwsfKO,QAX,692.34 
[34310] SET_SELL_TRIGGER,HGsodwsfKO,QAX,523.55 
[34593] ADD,HGsodwsfKO,46024.44 
[34683] BUY,HGsodwsfKO,ZKV,738.33 
[34721] CANCEL_BUY,HGsodwsfKO 
[34867] QUOTE,HGsodwsfKO,BTP 
[34876] SET_SELL_AMOUNT,HGsodwsfKO,BCQ,719.69 
[34980] DISPLAY_SUMMARY,HGsodwsfKO 
[34994] DISPLAY_SUMMARY,HGsodwsfKO 
[35183] SET_BUY_AMOUNT,HGsodwsfKO,DFE,151.28 
[35193] SET_BUY_TRIGGER,HGsodwsfKO,GHL,144.48 
[35249] SELL,HGsodwsfKO,RUN,561.68 
[35280] CANCEL_SET_BUY,HGsodwsfKO,LUT 
[35538] SET_SELL_TRIGGER,HGsodwsfKO,BCQ,495.58 
[35767] SET_SELL_AMOUNT,HGsodwsfKO,ZYR,611.07 
[35936] SET_SELL_TRIGGER,HGsodwsfKO,ZYR,208.39 
[35972] DISPLAY_SUMMARY,HGsodwsfKO 
[36019] SET_BUY_TRIGGER,HGsodwsfKO,KWP,4.75 
[36042] SET_BUY_TRIGGER,HGsodwsfKO,NUV,150.23 
[36100] DISPLAY_SUMMARY,HGsodwsfKO 
[36107] SET_BUY_AMOUNT,HGsodwsfKO,KES,440.00 
[36154] QUOTE,HGsodwsfKO,NZS 
[36188] SET_BUY_TRIGGER,HGsodwsfKO,AUT,4.81 
[36194] ADD,HGsodwsfKO,34573.22 
[36272] QUOTE,HGsodwsfKO,BYA 
[36352] BUY,HGsodwsfKO,LJM,466.93 
[36358] CANCEL_BUY,HGsodwsfKO 
[36778] DISPLAY_SUMMARY,HGsodwsfKO 
[36881] SET_BUY_AMOUNT,HGsodwsfKO,BCQ,87.04 
[36976] SELL,HGsodwsfKO,BYA,185.33 
[37071] QUOTE,HGsodwsfKO,LRS 
[37187] SET_SELL_AMOUNT,HGsodwsfKO,LFU,181.45 
[37192] SET_SELL_TRIGGER,HGsodwsfKO,LFU,18.71 
[37257] SET_SELL_AMOUNT,HGsodwsfKO,JQO,88.22 
[37311] SET_SELL_TRIGGER,HGsodwsfKO,JQO,49.87 
[37504] SET_BUY_TRIGGER,HGsodwsfKO,BBC,62.03 
[37564] SET_BUY_AMOUNT,HGsodwsfKO,EBS,325.58 
[37579] CANCEL_SET_BUY,HGsodwsfKO,WPG 
[37581] ADD,HGsodwsfKO,53056.51 
[37662] QUOTE,HGsodwsfKO,PJW 
[37681] BUY,HGsodwsfKO,AZN,722.06 
[37684] SELL,HGsodwsfKO,BYA,398.39 
[37768] CANCEL_SET_SELL,HGsodwsfKO,DKV 
[37830] SET_SELL_AMOUNT,HGsodwsfKO,JQO,721.67 
[37836] SET_SELL_TRIGGER,HGsodwsfKO,JQO,41.16 
[38093] SELL,HGsodwsfKO,JCQ,307.42 
[38267] COMMIT_SELL,HGsodwsfKO 
[38272] ADD,HGsodwsfKO,52502.13 
[38473] BUY,HGsodwsfKO,QPR,441.33 
[38497] COMMIT_BUY,HGsodwsfKO 
[38764] ADD,HGsodwsfKO,65767.02 
[39145] BUY,HGsodwsfKO,BDX,421.36 
[39359] CANCEL_SET_BUY,HGsodwsfKO,NFV 
[39424] SELL,HGsodwsfKO,UTV,541.59 
[39501] SELL,HGsodwsfKO,ZAN,659.60 
[39526] COMMIT_SELL,HGsodwsfKO 
[39848] BUY,HGsodwsfKO,VNF,315.41 
[39863] CANCEL_BUY,HGsodwsfKO 
[39884] QUOTE,HGsodwsfKO,FIW 
[40030] QUOTE,HGsodwsfKO,OYX 
[40099] BUY,HGsodwsfKO,ZTI,355.32 
[40222] CANCEL_SELL,HGsodwsfKO 
[40321] DISPLAY_SUMMARY,HGsodwsfKO 
[40452] SET_SELL_TRIGGER,HGsodwsfKO,ZJQ,195.95 
[40533] ADD,HGsodwsfKO,47807.58 
[40577] BUY,HGsodwsfKO,NZS,5.28 
[40714] CANCEL_BUY,HGsodwsfKO 
[40800] SET_SELL_TRIGGER,HGsodwsfKO,HZP,73.21 
[40928] SET_BUY_AMOUNT,HGsodwsfKO,BCQ,334.71 
[40931] SET_BUY_TRIGGER,HGsodwsfKO,ASJ,226.81 
[41402] DISPLAY_SUMMARY,HGsodwsfKO 
[41461] DISPLAY_SUMMARY,HGsodwsfKO 
[41498] SET_BUY_AMOUNT,HGsodwsfKO,KDA,441.73 
[41622] SET_BUY_TRIGGER,HGsodwsfKO,KVK,112.97 
[41782] BUY,HGsodwsfKO,XXN,135.42 
[41835] SET_SELL_AMOUNT,HGsodwsfKO,ZAN,2.10 
[41883] BUY,HGsodwsfKO,UXP,73.52 
[42083] CANCEL_SET_SELL,HGsodwsfKO,ZAN 
[42087] BUY,HGsodwsfKO,OEX,406.48 
[42136] BUY,HGsodwsfKO,VNF,13.50 
[42167] COMMIT_BUY,HGsodwsfKO 
[42546] DISPLAY_SUMMARY,HGsodwsfKO 
[42900] SET_SELL_TRIGGER,HGsodwsfKO,YXK,142.62 
[43018] QUOTE,HGsodwsfKO,NLP 
[43033] CANCEL_BUY,HGsodwsfKO 
[43039] SET_SELL_AMOUNT,HGsodwsfKO,QAX,56.62 
[43407] CANCEL_SET_SELL,HGsodwsfKO,QAX 
[43566] COMMIT_SELL,HGsodwsfKO 
[43638] CANCEL_SET_SELL,HGsodwsfKO,ZTR 
[43695] SET_SELL_TRIGGER,HGsodwsfKO,NJB,129.06 
[43702] SET_BUY_AMOUNT,HGsodwsfKO,RGH,277.33 
[43703] SET_BUY_TRIGGER,HGsodwsfKO,OYX,230.91 
[43967] SET_BUY_AMOUNT,HGsodwsfKO,CUZ,383.64 
[43971] SET_BUY_TRIGGER,HGsodwsfKO,XLV,345.41 
[43984] COMMIT_BUY,HGsodwsfKO 
[44015] ADD,HGsodwsfKO,98226.00 
[44168] SET_BUY_TRIGGER,HGsodwsfKO,NXF,27.07 
[44190] SET_BUY_TRIGGER,HGsodwsfKO,RUN,96.22 
[44273] SET_SELL_TRIGGER,HGsodwsfKO,QAA,27.01 
[44275] SELL,HGsodwsfKO,KDA,12.31 
[44545] COMMIT_SELL,HGsodwsfKO 
[44642] ADD,HGsodwsfKO,89047.43 
[45056] QUOTE,HGsodwsfKO,OQW 
[45092] QUOTE,HGsodwsfKO,QTU 
[45107] COMMIT_BUY,HGsodwsfKO 
[45225] SELL,HGsodwsfKO,KES,280.22 
[45243] COMMIT_SELL,HGsodwsfKO 
[45315] DISPLAY_SUMMARY,HGsodwsfKO 
[45458] BUY,HGsodwsfKO,QTH,14.90 
[45486] COMMIT_BUY,HGsodwsfKO 
[45690] DISPLAY_SUMMARY,HGsodwsfKO 
[45710] SELL,HGsodwsfKO,JCQ,109.60 
[46026] COMMIT_SELL,HGsodwsfKO 
[46086] CANCEL_SET_SELL,HGsodwsfKO,APY 
[46362] ADD,HGsodwsfKO,83119.75 
[46474] CANCEL_SELL,HGsodwsfKO 
[46482] BUY,HGsodwsfKO,IFU,266.33 
[46696] COMMIT_BUY,HGsodwsfKO 
[46719] QUOTE,HGsodwsfKO,PJW 
[46782] QUOTE,HGsodwsfKO,MMF 
[46922] SET_BUY_TRIGGER,HGsodwsfKO,PTP,34.98 
[47182] DISPLAY_SUMMARY,HGsodwsfKO 
[47226] DISPLAY_SUMMARY,HGsodwsfKO 
[47255] SET_BUY_AMOUNT,HGsodwsfKO,JRJ,394.23 
[47338] SET_BUY_TRIGGER,HGsodwsfKO,LHC,10.42 
[47445] ADD,HGsodwsfKO,43497.38 
[47461] BUY,HGsodwsfKO,JKX,206.55 
[47516] COMMIT_BUY,HGsodwsfKO 
[47534] DISPLAY_SUMMARY,HGsodwsfKO 
[47576] BUY,HGsodwsfKO,SKY,520.46 
[47624] COMMIT_BUY,HGsodwsfKO 
[47886] BUY,HGsodwsfKO,UFX,667.84 
[47892] SET_SELL_AMOUNT,HGsodwsfKO,ZYR,249.49 
[47901] SET_SELL_TRIGGER,HGsodwsfKO,ZYR,201.94 
[47946] CANCEL_SET_SELL,HGsodwsfKO,BTA 
[47990] SET_BUY_TRIGGER,HGsodwsfKO,MRK,107.72 
[47995] SELL,HGsodwsfKO,QAX,4.62 
[48064] QUOTE,HGsodwsfKO,ZGN 
[48174] QUOTE,HGsodwsfKO,MIR 
[48176] ADD,HGsodwsfKO,86321.29 
[48223] QUOTE,HGsodwsfKO,GAV 
[48270] DISPLAY_SUMMARY,HGsodwsfKO 
[48626] ADD,HGsodwsfKO,73968.56 
[48800] SET_SELL_TRIGGER,HGsodwsfKO,VEX,79.29 
[48926] ADD,HGsodwsfKO,61817.43 
[49087] QUOTE,HGsodwsfKO,RNK 
[49163] BUY,HGsodwsfKO,WBL,206.93 
[49261] CANCEL_SELL,HGsodwsfKO 
