[162] ADD,gou39c5KlQ,59853.64 
[17940] DISPLAY_SUMMARY,gou39c5KlQ 
[17941] SET_SELL_TRIGGER,gou39c5KlQ,CBV,123.75 
[17994] DISPLAY_SUMMARY,gou39c5KlQ 
[17998] SET_SELL_AMOUNT,gou39c5KlQ,JRJ,616.01 
[18159] SET_SELL_TRIGGER,gou39c5KlQ,JRJ,303.38 
[18240] DISPLAY_SUMMARY,gou39c5KlQ 
[18270] ADD,gou39c5KlQ,77982.85 
[18477] QUOTE,gou39c5KlQ,UEC 
[18581] SET_SELL_AMOUNT,gou39c5KlQ,JQO,60.52 
[18699] QUOTE,gou39c5KlQ,VNF 
[18764] QUOTE,gou39c5KlQ,TGY 
[18925] SET_SELL_AMOUNT,gou39c5KlQ,QAX,205.81 
[19119] QUOTE,gou39c5KlQ,WKG 
[19362] QUOTE,gou39c5KlQ,JTY 
[19678] QUOTE,gou39c5KlQ,IFU 
[19705] QUOTE,gou39c5KlQ,SYT 
[19862] SET_SELL_AMOUNT,gou39c5KlQ,KES,558.02 
[19922] SET_SELL_TRIGGER,gou39c5KlQ,KES,405.65 
[19977] SET_BUY_TRIGGER,gou39c5KlQ,YVX,103.36 
[20014] SET_SELL_TRIGGER,gou39c5KlQ,EED,104.07 
[20079] ADD,gou39c5KlQ,74736.59 
[20228] BUY,gou39c5KlQ,LSG,353.89 
[20282] COMMIT_BUY,gou39c5KlQ 
[20301] SET_BUY_TRIGGER,gou39c5KlQ,SSW,194.74 
[20433] ADD,gou39c5KlQ,99757.48 
[20442] BUY,gou39c5KlQ,SCK,265.70 
[20492] CANCEL_BUY,gou39c5KlQ 
[20621] DISPLAY_SUMMARY,gou39c5KlQ 
[20652] DISPLAY_SUMMARY,gou39c5KlQ 
[20798] QUOTE,gou39c5KlQ,PXS 
[20856] BUY,gou39c5KlQ,TQE,663.47 
[21138] COMMIT_BUY,gou39c5KlQ 
[21158] SELL,gou39c5KlQ,JRJ,222.27 
[21262] COMMIT_SELL,gou39c5KlQ 
[21506] DISPLAY_SUMMARY,gou39c5KlQ 
[21550] DISPLAY_SUMMARY,gou39c5KlQ 
[21574] QUOTE,gou39c5KlQ,CAX 
[21621] SET_SELL_AMOUNT,gou39c5KlQ,ZAN,275.75 
[21668] SET_SELL_TRIGGER,gou39c5KlQ,ZAN,77.37 
[21685] ADD,gou39c5KlQ,98026.91 
[21884] QUOTE,gou39c5KlQ,MVD 
[21891] BUY,gou39c5KlQ,JCL,57.31 
[21999] CANCEL_SET_SELL,gou39c5KlQ,PLB 
[22118] SET_SELL_AMOUNT,gou39c5KlQ,ZAN,325.39 
[22122] CANCEL_SET_SELL,gou39c5KlQ,ZAN 
[22281] ADD,gou39c5KlQ,57368.78 
[22320] CANCEL_BUY,gou39c5KlQ 
[22428] ADD,gou39c5KlQ,93987.78 
[22688] BUY,gou39c5KlQ,DWU,14.40 
[22902] COMMIT_BUY,gou39c5KlQ 
[23088] ADD,gou39c5KlQ,75353.98 
[23267] CANCEL_SET_BUY,gou39c5KlQ,NHB 
[23307] SET_SELL_AMOUNT,gou39c5KlQ,OEY,705.32 
[23471] BUY,gou39c5KlQ,OZW,1.34 
[23541] SET_BUY_TRIGGER,gou39c5KlQ,HQU,43.51 
[23633] SET_BUY_TRIGGER,gou39c5KlQ,YIU,38.55 
[23655] ADD,gou39c5KlQ,101092.75 
[23692] BUY,gou39c5KlQ,CVK,681.19 
[23732] QUOTE,gou39c5KlQ,CBK 
[23788] SET_BUY_AMOUNT,gou39c5KlQ,KDA,569.12 
[23821] SET_BUY_TRIGGER,gou39c5KlQ,OTI,503.27 
[23835] ADD,gou39c5KlQ,59992.62 
[23851] DISPLAY_SUMMARY,gou39c5KlQ 
[24245] BUY,gou39c5KlQ,NGG,582.67 
[24378] COMMIT_BUY,gou39c5KlQ 
[24406] ADD,gou39c5KlQ,61280.09 
[24544] QUOTE,gou39c5KlQ,DRP 
[24601] SET_BUY_TRIGGER,gou39c5KlQ,KQZ,103.60 
[24795] ADD,gou39c5KlQ,62819.84 
[24844] BUY,gou39c5KlQ,VTY,392.57 
[25062] COMMIT_BUY,gou39c5KlQ 
[25096] ADD,gou39c5KlQ,82744.75 
[25130] QUOTE,gou39c5KlQ,SVV 
[25249] BUY,gou39c5KlQ,XRK,31.75 
[25343] COMMIT_BUY,gou39c5KlQ 
[25760] SET_BUY_TRIGGER,gou39c5KlQ,JIC,53.88 
[25828] ADD,gou39c5KlQ,70597.05 
[25834] BUY,gou39c5KlQ,BJL,76.94 
[25888] DISPLAY_SUMMARY,gou39c5KlQ 
[25946] SET_BUY_AMOUNT,gou39c5KlQ,CUZ,279.02 
[25957] SET_BUY_TRIGGER,gou39c5KlQ,JUN,162.63 
[26000] CANCEL_SET_SELL,gou39c5KlQ,OEY 
[26031] DISPLAY_SUMMARY,gou39c5KlQ 
[26333] SET_SELL_AMOUNT,gou39c5KlQ,YJK,600.94 
[26441] SET_SELL_TRIGGER,gou39c5KlQ,YJK,305.91 
[26584] SET_SELL_AMOUNT,gou39c5KlQ,NHG,353.49 
[26598] SELL,gou39c5KlQ,EBS,203.12 
[26760] COMMIT_SELL,gou39c5KlQ 
[26861] COMMIT_BUY,gou39c5KlQ 
[27033] BUY,gou39c5KlQ,ZYF,501.08 
[27055] QUOTE,gou39c5KlQ,CLP 
[27059] CANCEL_BUY,gou39c5KlQ 
[27066] ADD,gou39c5KlQ,50775.21 
[27101] QUOTE,gou39c5KlQ,QEO 
[27225] DISPLAY_SUMMARY,gou39c5KlQ 
[27367] BUY,gou39c5KlQ,RWM,638.71 
[27443] CANCEL_BUY,gou39c5KlQ 
[27545] SELL,gou39c5KlQ,ZAN,611.69 
[27774] COMMIT_SELL,gou39c5KlQ 
[27793] ADD,gou39c5KlQ,67853.31 
[27869] QUOTE,gou39c5KlQ,OSC 
[27975] BUY,gou39c5KlQ,TVX,115.72 
[28084] SET_SELL_AMOUNT,gou39c5KlQ,JQO,560.31 
[28193] SET_SELL_TRIGGER,gou39c5KlQ,JQO,97.25 
[28222] ADD,gou39c5KlQ,66684.23 
[28234] BUY,gou39c5KlQ,JGO,64.90 
[28355] QUOTE,gou39c5KlQ,IGT 
[28386] QUOTE,gou39c5KlQ,ZAM 
[28403] SET_BUY_TRIGGER,gou39c5KlQ,IZS,22.10 
[28459] BUY,gou39c5KlQ,SBT,735.97 
[28510] CANCEL_SET_SELL,gou39c5KlQ,KYT 
[28755] SET_SELL_TRIGGER,gou39c5KlQ,DVA,105.98 
[28764] CANCEL_SET_SELL,gou39c5KlQ,FIW 
[28827] COMMIT_SELL,gou39c5KlQ 
[28843] QUOTE,gou39c5KlQ,KZQ 
[29017] QUOTE,gou39c5KlQ,RDN 
[29023] BUY,gou39c5KlQ,ALG,80.03 
[29220] ADD,gou39c5KlQ,77484.51 
[29426] BUY,gou39c5KlQ,KYX,745.56 
[29454] COMMIT_BUY,gou39c5KlQ 
[29502] SET_BUY_AMOUNT,gou39c5KlQ,ZAN,241.05 
[29532] SET_BUY_TRIGGER,gou39c5KlQ,OLH,75.96 
[29534] DISPLAY_SUMMARY,gou39c5KlQ 
[29575] CANCEL_SELL,gou39c5KlQ 
[29611] SET_SELL_TRIGGER,gou39c5KlQ,TGY,160.95 
[29637] QUOTE,gou39c5KlQ,ETJ 
[29669] QUOTE,gou39c5KlQ,WYR 
[29685] QUOTE,gou39c5KlQ,EGX 
[29751] QUOTE,gou39c5KlQ,AVH 
[29902] ADD,gou39c5KlQ,66589.73 
[29954] CANCEL_SET_SELL,gou39c5KlQ,QPZ 
[30045] QUOTE,gou39c5KlQ,TWJ 
[30046] BUY,gou39c5KlQ,ZDB,37.27 
[30126] COMMIT_BUY,gou39c5KlQ 
[30194] QUOTE,gou39c5KlQ,VYQ 
[30345] COMMIT_SELL,gou39c5KlQ 
[30463] CANCEL_SET_SELL,gou39c5KlQ,BMQ 
[30493] DISPLAY_SUMMARY,gou39c5KlQ 
[30498] ADD,gou39c5KlQ,53474.45 
[30607] QUOTE,gou39c5KlQ,TSS 
[30621] QUOTE,gou39c5KlQ,GJR 
[30650] SET_BUY_TRIGGER,gou39c5KlQ,ZMK,88.54 
[30732] BUY,gou39c5KlQ,BFB,496.63 
[30823] COMMIT_BUY,gou39c5KlQ 
[30923] QUOTE,gou39c5KlQ,YBP 
[30973] BUY,gou39c5KlQ,WZM,740.91 
[31122] SELL,gou39c5KlQ,ZTI,356.77 
[31137] COMMIT_SELL,gou39c5KlQ 
[31336] SET_BUY_TRIGGER,gou39c5KlQ,OYS,37.22 
[31357] SET_SELL_TRIGGER,gou39c5KlQ,RRT,145.26 
[31392] ADD,gou39c5KlQ,86967.14 
[31570] SET_BUY_TRIGGER,gou39c5KlQ,RXB,190.41 
[31821] ADD,gou39c5KlQ,59011.14 
[32031] CANCEL_SET_BUY,gou39c5KlQ,QAX 
[32068] SET_SELL_AMOUNT,gou39c5KlQ,JVT,623.18 
[32081] DISPLAY_SUMMARY,gou39c5KlQ 
[32293] QUOTE,gou39c5KlQ,JZJ 
[32300] BUY,gou39c5KlQ,JHY,23.16 
[32313] COMMIT_BUY,gou39c5KlQ 
[32426] DISPLAY_SUMMARY,gou39c5KlQ 
[32476] SELL,gou39c5KlQ,YJK,363.17 
[32564] COMMIT_SELL,gou39c5KlQ 
[32631] SET_BUY_TRIGGER,gou39c5KlQ,MMF,115.92 
[32657] DISPLAY_SUMMARY,gou39c5KlQ 
[32723] BUY,gou39c5KlQ,KPU,128.02 
[32894] DISPLAY_SUMMARY,gou39c5KlQ 
[32995] SELL,gou39c5KlQ,ZTI,111.83 
[33016] COMMIT_SELL,gou39c5KlQ 
[33065] QUOTE,gou39c5KlQ,ZZN 
[33180] SET_SELL_AMOUNT,gou39c5KlQ,RNK,25.18 
[33194] SET_SELL_TRIGGER,gou39c5KlQ,RNK,3.14 
[33197] SELL,gou39c5KlQ,GYF,345.23 
[33298] COMMIT_SELL,gou39c5KlQ 
[33431] QUOTE,gou39c5KlQ,PTP 
[33518] BUY,gou39c5KlQ,WNH,739.14 
[33542] CANCEL_BUY,gou39c5KlQ 
[33624] SET_BUY_AMOUNT,gou39c5KlQ,ZAN,404.43 
[33697] BUY,gou39c5KlQ,KLY,589.77 
[33763] COMMIT_BUY,gou39c5KlQ 
[33899] SELL,gou39c5KlQ,EBS,171.91 
[33960] CANCEL_SELL,gou39c5KlQ 
[34366] DISPLAY_SUMMARY,gou39c5KlQ 
[34556] ADD,gou39c5KlQ,62559.96 
[34569] QUOTE,gou39c5KlQ,OYS 
[34833] BUY,gou39c5KlQ,ZJQ,732.74 
[34925] COMMIT_BUY,gou39c5KlQ 
[34939] ADD,gou39c5KlQ,65256.53 
[34967] ADD,gou39c5KlQ,78491.33 
[34989] BUY,gou39c5KlQ,OHG,641.41 
[35118] COMMIT_BUY,gou39c5KlQ 
[35122] SET_BUY_TRIGGER,gou39c5KlQ,PFN,147.54 
[35174] BUY,gou39c5KlQ,NVX,89.69 
[35391] SET_BUY_AMOUNT,gou39c5KlQ,ZAN,273.99 
[35451] SET_BUY_TRIGGER,gou39c5KlQ,BYA,17.18 
[35627] SET_SELL_AMOUNT,gou39c5KlQ,ZYR,393.53 
[35756] SET_SELL_TRIGGER,gou39c5KlQ,ZYR,173.77 
[35975] SET_SELL_AMOUNT,gou39c5KlQ,OEY,187.43 
[36083] SET_SELL_TRIGGER,gou39c5KlQ,OEY,120.76 
[36103] DISPLAY_SUMMARY,gou39c5KlQ 
[36183] CANCEL_SET_SELL,gou39c5KlQ,FVA 
[36336] SET_SELL_AMOUNT,gou39c5KlQ,JCQ,489.44 
[36621] SET_SELL_TRIGGER,gou39c5KlQ,JCQ,456.23 
[36629] ADD,gou39c5KlQ,81981.12 
[36680] QUOTE,gou39c5KlQ,APU 
[36697] QUOTE,gou39c5KlQ,XME 
[36712] QUOTE,gou39c5KlQ,OTD 
[36808] BUY,gou39c5KlQ,XAN,422.44 
[36834] BUY,gou39c5KlQ,ZYF,652.56 
[36916] COMMIT_BUY,gou39c5KlQ 
[36956] ADD,gou39c5KlQ,93820.07 
[36978] BUY,gou39c5KlQ,IIX,104.15 
[37028] SET_BUY_AMOUNT,gou39c5KlQ,JVT,326.16 
[37200] SET_BUY_TRIGGER,gou39c5KlQ,GIK,154.32 
[37345] SET_SELL_AMOUNT,gou39c5KlQ,QJZ,461.35 
[37420] DISPLAY_SUMMARY,gou39c5KlQ 
[37533] COMMIT_BUY,gou39c5KlQ 
[37605] SET_BUY_TRIGGER,gou39c5KlQ,JII,176.28 
[37618] ADD,gou39c5KlQ,68450.83 
[37716] BUY,gou39c5KlQ,JFJ,207.83 
[37868] COMMIT_BUY,gou39c5KlQ 
[37880] ADD,gou39c5KlQ,83080.79 
[38097] QUOTE,gou39c5KlQ,QJZ 
[38203] ADD,gou39c5KlQ,80328.14 
[38356] QUOTE,gou39c5KlQ,HCN 
[38406] BUY,gou39c5KlQ,AOH,452.37 
[38606] CANCEL_SET_SELL,gou39c5KlQ,QJZ 
[38614] DISPLAY_SUMMARY,gou39c5KlQ 
[38703] SET_SELL_AMOUNT,gou39c5KlQ,CSZ,437.68 
[38704] SET_SELL_TRIGGER,gou39c5KlQ,CSZ,338.21 
[38728] SET_SELL_TRIGGER,gou39c5KlQ,QGE,159.74 
[38748] SELL,gou39c5KlQ,QJZ,79.67 
[39099] DISPLAY_SUMMARY,gou39c5KlQ 
[39228] SET_BUY_TRIGGER,gou39c5KlQ,NVN,194.10 
[39578] DISPLAY_SUMMARY,gou39c5KlQ 
[39771] QUOTE,gou39c5KlQ,UDM 
[39865] SET_BUY_TRIGGER,gou39c5KlQ,MQF,87.15 
[39907] SET_SELL_AMOUNT,gou39c5KlQ,JQO,461.09 
[39964] DISPLAY_SUMMARY,gou39c5KlQ 
[40015] QUOTE,gou39c5KlQ,OWH 
[40089] DISPLAY_SUMMARY,gou39c5KlQ 
[40119] ADD,gou39c5KlQ,81905.68 
[40120] QUOTE,gou39c5KlQ,RRE 
[40127] BUY,gou39c5KlQ,LLF,322.60 
[40225] QUOTE,gou39c5KlQ,OWH 
[40284] COMMIT_SELL,gou39c5KlQ 
[40418] SET_BUY_TRIGGER,gou39c5KlQ,FKI,104.82 
[40584] SET_BUY_TRIGGER,gou39c5KlQ,OSC,181.51 
[40590] DISPLAY_SUMMARY,gou39c5KlQ 
[40844] ADD,gou39c5KlQ,84784.35 
[40868] BUY,gou39c5KlQ,BVN,655.17 
[41111] COMMIT_BUY,gou39c5KlQ 
[41125] ADD,gou39c5KlQ,35668.46 
[41209] QUOTE,gou39c5KlQ,XMA 
[41355] BUY,gou39c5KlQ,YWK,380.13 
[41413] COMMIT_BUY,gou39c5KlQ 
[41460] SET_SELL_AMOUNT,gou39c5KlQ,PTP,467.06 
[41651] SET_SELL_TRIGGER,gou39c5KlQ,PTP,283.91 
[41708] ADD,gou39c5KlQ,104555.17 
[41933] QUOTE,gou39c5KlQ,IHW 
[41982] SET_SELL_TRIGGER,gou39c5KlQ,ZAO,44.34 
[42019] BUY,gou39c5KlQ,SPL,607.54 
[42254] COMMIT_BUY,gou39c5KlQ 
[42482] SET_SELL_AMOUNT,gou39c5KlQ,LFU,511.76 
[42680] SET_SELL_TRIGGER,gou39c5KlQ,LFU,236.32 
[42715] SELL,gou39c5KlQ,LFU,485.97 
[42726] COMMIT_SELL,gou39c5KlQ 
[42744] SELL,gou39c5KlQ,FQP,78.66 
[42754] COMMIT_SELL,gou39c5KlQ 
[42862] CANCEL_SELL,gou39c5KlQ 
[42975] ADD,gou39c5KlQ,72013.23 
[43212] QUOTE,gou39c5KlQ,XZO 
[43259] CANCEL_SET_BUY,gou39c5KlQ,PBX 
[43301] SET_BUY_TRIGGER,gou39c5KlQ,CMA,31.69 
[43440] SET_BUY_AMOUNT,gou39c5KlQ,JRJ,153.12 
[43532] SET_BUY_TRIGGER,gou39c5KlQ,ATW,142.10 
[43548] BUY,gou39c5KlQ,YTO,158.12 
[43551] SET_BUY_AMOUNT,gou39c5KlQ,JCQ,400.36 
[43605] SELL,gou39c5KlQ,JCQ,290.01 
[43666] COMMIT_SELL,gou39c5KlQ 
[43729] BUY,gou39c5KlQ,ZTI,101.47 
[43800] COMMIT_BUY,gou39c5KlQ 
[43922] SELL,gou39c5KlQ,UTV,401.97 
[43987] SELL,gou39c5KlQ,SUS,478.62 
[44096] COMMIT_SELL,gou39c5KlQ 
[44271] SET_BUY_TRIGGER,gou39c5KlQ,PJW,72.51 
[44305] DISPLAY_SUMMARY,gou39c5KlQ 
[44438] ADD,gou39c5KlQ,59491.67 
[44482] QUOTE,gou39c5KlQ,JCL 
[44488] BUY,gou39c5KlQ,KXF,194.97 
[44546] COMMIT_BUY,gou39c5KlQ 
