[14] ADD,kESyNMCJeA,44598.11 
[6697] SELL,kESyNMCJeA,KES,199.87 
[6698] CANCEL_SET_BUY,kESyNMCJeA,AJL 
[6740] ADD,kESyNMCJeA,67168.68 
[6798] QUOTE,kESyNMCJeA,KVK 
[7010] SET_SELL_AMOUNT,kESyNMCJeA,KDA,647.32 
[7031] SET_SELL_TRIGGER,kESyNMCJeA,KDA,443.35 
[7039] BUY,kESyNMCJeA,QTU,93.50 
[7265] COMMIT_BUY,kESyNMCJeA 
[7331] COMMIT_BUY,kESyNMCJeA 
[7341] BUY,kESyNMCJeA,HHG,348.16 
[7344] CANCEL_BUY,kESyNMCJeA 
[7871] CANCEL_SET_SELL,kESyNMCJeA,YIQ 
[8274] BUY,kESyNMCJeA,GGI,573.44 
[8280] SET_SELL_TRIGGER,kESyNMCJeA,OZO,175.56 
[8337] CANCEL_SELL,kESyNMCJeA 
[8394] SET_BUY_TRIGGER,kESyNMCJeA,FPP,103.34 
[8691] SELL,kESyNMCJeA,OEY,587.04 
[8708] SELL,kESyNMCJeA,FQP,138.98 
[8753] QUOTE,kESyNMCJeA,QEO 
[8815] ADD,kESyNMCJeA,62990.28 
[8880] BUY,kESyNMCJeA,GSW,125.79 
[8932] SET_SELL_AMOUNT,kESyNMCJeA,KES,613.00 
[9212] SET_SELL_TRIGGER,kESyNMCJeA,KES,251.15 
[9280] ADD,kESyNMCJeA,85970.69 
[9575] BUY,kESyNMCJeA,DHA,441.85 
[9624] COMMIT_BUY,kESyNMCJeA 
[9626] BUY,kESyNMCJeA,IZU,375.74 
[9702] COMMIT_BUY,kESyNMCJeA 
[9706] SET_BUY_AMOUNT,kESyNMCJeA,OEY,418.25 
[9920] SET_BUY_TRIGGER,kESyNMCJeA,EYY,88.65 
[10049] DISPLAY_SUMMARY,kESyNMCJeA 
[10169] ADD,kESyNMCJeA,91775.45 
[10212] QUOTE,kESyNMCJeA,LCP 
[10375] CANCEL_SET_BUY,kESyNMCJeA,OXV 
[10437] SET_BUY_AMOUNT,kESyNMCJeA,JCQ,528.10 
[10444] SET_BUY_TRIGGER,kESyNMCJeA,ETJ,59.27 
[10502] QUOTE,kESyNMCJeA,RVU 
[10599] BUY,kESyNMCJeA,CNN,71.03 
[10942] COMMIT_SELL,kESyNMCJeA 
[10953] QUOTE,kESyNMCJeA,GMS 
[10980] BUY,kESyNMCJeA,KDA,354.23 
[11046] COMMIT_BUY,kESyNMCJeA 
[11103] SET_BUY_AMOUNT,kESyNMCJeA,KDA,147.87 
[11197] QUOTE,kESyNMCJeA,ALV 
[11281] SET_BUY_TRIGGER,kESyNMCJeA,CVK,80.94 
[11429] BUY,kESyNMCJeA,OHG,109.15 
[11531] COMMIT_BUY,kESyNMCJeA 
[11535] DISPLAY_SUMMARY,kESyNMCJeA 
[11597] DISPLAY_SUMMARY,kESyNMCJeA 
[11777] BUY,kESyNMCJeA,DVU,614.67 
[11883] COMMIT_BUY,kESyNMCJeA 
[11905] COMMIT_BUY,kESyNMCJeA 
[11947] DISPLAY_SUMMARY,kESyNMCJeA 
[11960] ADD,kESyNMCJeA,73542.08 
[11994] QUOTE,kESyNMCJeA,UCG 
[12180] BUY,kESyNMCJeA,JRY,277.27 
[12181] CANCEL_BUY,kESyNMCJeA 
[12308] DISPLAY_SUMMARY,kESyNMCJeA 
[12430] SET_BUY_AMOUNT,kESyNMCJeA,KES,511.52 
[12591] SET_BUY_TRIGGER,kESyNMCJeA,LAM,140.32 
[12650] DISPLAY_SUMMARY,kESyNMCJeA 
[12700] SET_SELL_AMOUNT,kESyNMCJeA,EBS,450.50 
[12765] QUOTE,kESyNMCJeA,IIX 
[12769] SET_SELL_TRIGGER,kESyNMCJeA,EBS,343.70 
[12804] SET_BUY_TRIGGER,kESyNMCJeA,WYA,94.69 
[12873] CANCEL_SET_BUY,kESyNMCJeA,EVR 
[12978] DISPLAY_SUMMARY,kESyNMCJeA 
[13009] BUY,kESyNMCJeA,GHL,399.62 
[13040] COMMIT_BUY,kESyNMCJeA 
[13134] BUY,kESyNMCJeA,UDN,114.42 
[13197] QUOTE,kESyNMCJeA,EED 
[13198] BUY,kESyNMCJeA,GLJ,169.68 
[13339] SET_SELL_TRIGGER,kESyNMCJeA,FVA,119.51 
[13372] DISPLAY_SUMMARY,kESyNMCJeA 
[13396] QUOTE,kESyNMCJeA,NIR 
[13561] SET_BUY_TRIGGER,kESyNMCJeA,DLX,159.78 
[13603] SET_BUY_AMOUNT,kESyNMCJeA,JVT,671.50 
[13680] QUOTE,kESyNMCJeA,WQC 
[13743] SET_BUY_TRIGGER,kESyNMCJeA,UHO,139.79 
[13777] SET_BUY_AMOUNT,kESyNMCJeA,JRJ,238.70 
[13861] SET_BUY_TRIGGER,kESyNMCJeA,FSD,96.24 
[14399] ADD,kESyNMCJeA,87610.12 
[14436] QUOTE,kESyNMCJeA,ISQ 
[14464] BUY,kESyNMCJeA,SFR,453.70 
[14499] COMMIT_BUY,kESyNMCJeA 
[14503] DISPLAY_SUMMARY,kESyNMCJeA 
[14781] QUOTE,kESyNMCJeA,JDW 
[14782] BUY,kESyNMCJeA,YIQ,630.40 
[14786] CANCEL_SET_BUY,kESyNMCJeA,YJK 
[14888] BUY,kESyNMCJeA,FPP,45.25 
[15110] COMMIT_BUY,kESyNMCJeA 
[15248] BUY,kESyNMCJeA,OOV,562.13 
[15499] COMMIT_BUY,kESyNMCJeA 
[15531] SELL,kESyNMCJeA,OEY,639.69 
[15559] COMMIT_SELL,kESyNMCJeA 
[15737] SET_BUY_TRIGGER,kESyNMCJeA,XFW,25.16 
[15802] SET_BUY_TRIGGER,kESyNMCJeA,RVU,83.92 
[15825] SET_BUY_TRIGGER,kESyNMCJeA,KHY,11.87 
[16260] QUOTE,kESyNMCJeA,YBP 
[16313] QUOTE,kESyNMCJeA,SEI 
[16504] QUOTE,kESyNMCJeA,SFR 
[16580] QUOTE,kESyNMCJeA,LAM 
[16750] QUOTE,kESyNMCJeA,JYV 
[16782] QUOTE,kESyNMCJeA,QOQ 
[16921] SET_BUY_TRIGGER,kESyNMCJeA,BJL,141.19 
[17211] QUOTE,kESyNMCJeA,VND 
[17274] SET_BUY_AMOUNT,kESyNMCJeA,QAX,243.39 
[17282] SET_BUY_TRIGGER,kESyNMCJeA,ZOZ,63.97 
[17300] ADD,kESyNMCJeA,45549.49 
[17361] QUOTE,kESyNMCJeA,LKK 
[17388] BUY,kESyNMCJeA,RWM,458.24 
[17591] COMMIT_BUY,kESyNMCJeA 
[17639] BUY,kESyNMCJeA,IZJ,378.34 
[17807] COMMIT_BUY,kESyNMCJeA 
[17870] BUY,kESyNMCJeA,SYT,91.02 
[17886] COMMIT_BUY,kESyNMCJeA 
[18114] SET_SELL_AMOUNT,kESyNMCJeA,OEY,50.90 
[18257] CANCEL_SET_SELL,kESyNMCJeA,OEY 
[18346] QUOTE,kESyNMCJeA,KBN 
[18419] CANCEL_BUY,kESyNMCJeA 
[18598] QUOTE,kESyNMCJeA,RUN 
[18601] BUY,kESyNMCJeA,WBX,407.92 
[18614] COMMIT_BUY,kESyNMCJeA 
[18641] DISPLAY_SUMMARY,kESyNMCJeA 
[18829] BUY,kESyNMCJeA,HZP,618.01 
[18834] CANCEL_BUY,kESyNMCJeA 
[18873] SET_SELL_TRIGGER,kESyNMCJeA,DWC,41.30 
[18903] QUOTE,kESyNMCJeA,WHR 
[19164] BUY,kESyNMCJeA,SEI,486.15 
[19274] COMMIT_BUY,kESyNMCJeA 
[19282] CANCEL_BUY,kESyNMCJeA 
[19333] ADD,kESyNMCJeA,82239.71 
[19877] CANCEL_SET_SELL,kESyNMCJeA,ZSV 
[19904] BUY,kESyNMCJeA,HZE,617.03 
[20017] COMMIT_BUY,kESyNMCJeA 
[20029] ADD,kESyNMCJeA,67821.90 
[20042] QUOTE,kESyNMCJeA,WQC 
[20205] BUY,kESyNMCJeA,WQC,24.84 
[20248] SET_BUY_AMOUNT,kESyNMCJeA,LFU,4.25 
[20268] DISPLAY_SUMMARY,kESyNMCJeA 
[20290] SELL,kESyNMCJeA,QJZ,437.98 
[20407] CANCEL_SELL,kESyNMCJeA 
[20623] ADD,kESyNMCJeA,72334.76 
[20655] QUOTE,kESyNMCJeA,GCL 
[20802] BUY,kESyNMCJeA,JPD,565.95 
[20831] COMMIT_BUY,kESyNMCJeA 
[20938] SET_BUY_AMOUNT,kESyNMCJeA,OEY,126.41 
[20979] SET_BUY_TRIGGER,kESyNMCJeA,XAN,51.33 
[21006] BUY,kESyNMCJeA,ZGC,146.68 
[21023] ADD,kESyNMCJeA,69953.20 
[21072] QUOTE,kESyNMCJeA,JSM 
[21165] BUY,kESyNMCJeA,ZER,341.37 
[21418] CANCEL_SET_BUY,kESyNMCJeA,UDM 
[21472] QUOTE,kESyNMCJeA,EMN 
[21490] ADD,kESyNMCJeA,78787.67 
[21639] QUOTE,kESyNMCJeA,IPH 
[21701] ADD,kESyNMCJeA,49698.23 
[22077] QUOTE,kESyNMCJeA,TSU 
[22113] BUY,kESyNMCJeA,TTV,285.09 
[22127] CANCEL_SELL,kESyNMCJeA 
[22167] CANCEL_SET_SELL,kESyNMCJeA,SQO 
[22298] SELL,kESyNMCJeA,BCQ,481.44 
[22327] COMMIT_SELL,kESyNMCJeA 
[22381] QUOTE,kESyNMCJeA,VMD 
[22416] SET_BUY_AMOUNT,kESyNMCJeA,BYA,116.33 
[22425] SET_BUY_TRIGGER,kESyNMCJeA,KPU,10.00 
[22478] SET_SELL_AMOUNT,kESyNMCJeA,JQO,143.25 
[22553] SET_SELL_TRIGGER,kESyNMCJeA,JQO,16.36 
[22649] SET_SELL_AMOUNT,kESyNMCJeA,GYF,96.45 
[22711] SELL,kESyNMCJeA,DFE,702.10 
[22761] COMMIT_SELL,kESyNMCJeA 
[22969] ADD,kESyNMCJeA,85811.31 
[23019] QUOTE,kESyNMCJeA,SDL 
[23242] DISPLAY_SUMMARY,kESyNMCJeA 
[23323] SET_SELL_TRIGGER,kESyNMCJeA,GYF,69.90 
[23412] BUY,kESyNMCJeA,BTD,720.85 
[23549] COMMIT_BUY,kESyNMCJeA 
[23586] SET_SELL_AMOUNT,kESyNMCJeA,EBS,560.65 
[23595] SET_SELL_TRIGGER,kESyNMCJeA,EBS,216.16 
[23721] COMMIT_BUY,kESyNMCJeA 
[23836] BUY,kESyNMCJeA,IRQ,209.53 
[23854] COMMIT_BUY,kESyNMCJeA 
[24243] SET_BUY_TRIGGER,kESyNMCJeA,ONI,135.06 
[24305] DISPLAY_SUMMARY,kESyNMCJeA 
[24502] SET_SELL_TRIGGER,kESyNMCJeA,NTT,138.24 
[24566] SET_BUY_TRIGGER,kESyNMCJeA,IJO,78.40 
[24576] SET_SELL_TRIGGER,kESyNMCJeA,WCY,17.67 
[24606] BUY,kESyNMCJeA,PHU,239.23 
[24628] SELL,kESyNMCJeA,CUZ,627.01 
[24653] COMMIT_SELL,kESyNMCJeA 
[24878] SET_SELL_AMOUNT,kESyNMCJeA,YJK,277.15 
[24894] SET_SELL_TRIGGER,kESyNMCJeA,YJK,195.88 
[24901] BUY,kESyNMCJeA,HTD,111.35 
[25277] COMMIT_BUY,kESyNMCJeA 
[25300] SET_BUY_TRIGGER,kESyNMCJeA,PLB,88.61 
[25391] ADD,kESyNMCJeA,84280.28 
[25415] BUY,kESyNMCJeA,GHL,16.43 
[25466] CANCEL_SELL,kESyNMCJeA 
[26128] QUOTE,kESyNMCJeA,EJW 
[26136] SET_BUY_TRIGGER,kESyNMCJeA,FVZ,82.77 
[26337] CANCEL_SET_SELL,kESyNMCJeA,SFR 
[26400] SET_BUY_AMOUNT,kESyNMCJeA,YJK,429.28 
[26417] SET_BUY_TRIGGER,kESyNMCJeA,TAR,411.00 
[26455] BUY,kESyNMCJeA,FVD,472.09 
[26553] SET_SELL_AMOUNT,kESyNMCJeA,GYF,658.08 
[26581] SET_SELL_TRIGGER,kESyNMCJeA,GYF,259.44 
[26610] ADD,kESyNMCJeA,83427.22 
[26638] QUOTE,kESyNMCJeA,SKY 
[26904] SET_BUY_TRIGGER,kESyNMCJeA,QXE,35.13 
[27009] CANCEL_SET_SELL,kESyNMCJeA,OXV 
[27022] COMMIT_SELL,kESyNMCJeA 
[27052] SET_BUY_TRIGGER,kESyNMCJeA,KGV,138.29 
[27189] QUOTE,kESyNMCJeA,ZNW 
[27215] SET_BUY_AMOUNT,kESyNMCJeA,RUN,503.20 
[27220] SET_BUY_TRIGGER,kESyNMCJeA,MQF,307.31 
[27403] BUY,kESyNMCJeA,YEH,718.43 
[27461] QUOTE,kESyNMCJeA,BFU 
[27546] SET_BUY_AMOUNT,kESyNMCJeA,GYF,61.58 
[27756] SET_BUY_TRIGGER,kESyNMCJeA,QZN,42.53 
[27778] SELL,kESyNMCJeA,UTV,550.00 
[27988] BUY,kESyNMCJeA,FXT,177.29 
[28069] COMMIT_BUY,kESyNMCJeA 
[28216] SELL,kESyNMCJeA,CUZ,252.10 
[28256] COMMIT_SELL,kESyNMCJeA 
[28363] QUOTE,kESyNMCJeA,FVZ 
[28441] QUOTE,kESyNMCJeA,NDJ 
[28469] SET_BUY_TRIGGER,kESyNMCJeA,RNE,18.29 
[28648] SET_SELL_TRIGGER,kESyNMCJeA,ZOZ,64.35 
[29151] QUOTE,kESyNMCJeA,EHF 
[29322] ADD,kESyNMCJeA,66757.74 
[29331] BUY,kESyNMCJeA,WOJ,308.32 
[29395] QUOTE,kESyNMCJeA,QPE 
[29507] QUOTE,kESyNMCJeA,TVX 
[29653] ADD,kESyNMCJeA,53129.21 
[29693] QUOTE,kESyNMCJeA,SWD 
[29717] BUY,kESyNMCJeA,ZFK,633.53 
[29795] CANCEL_BUY,kESyNMCJeA 
[29855] DISPLAY_SUMMARY,kESyNMCJeA 
[29857] QUOTE,kESyNMCJeA,BPP 
[29978] SET_BUY_AMOUNT,kESyNMCJeA,JCQ,217.58 
[29993] SET_BUY_TRIGGER,kESyNMCJeA,DPG,216.05 
[30030] COMMIT_BUY,kESyNMCJeA 
[30074] QUOTE,kESyNMCJeA,QOD 
[30139] BUY,kESyNMCJeA,WLT,570.70 
[30149] COMMIT_BUY,kESyNMCJeA 
[30230] DISPLAY_SUMMARY,kESyNMCJeA 
[30241] SELL,kESyNMCJeA,BYA,427.68 
[30256] COMMIT_SELL,kESyNMCJeA 
[30351] DISPLAY_SUMMARY,kESyNMCJeA 
[30382] ADD,kESyNMCJeA,66948.90 
[30420] BUY,kESyNMCJeA,ZJB,740.75 
[30479] SET_BUY_TRIGGER,kESyNMCJeA,AAC,102.24 
[30560] QUOTE,kESyNMCJeA,OBO 
[30574] SET_BUY_TRIGGER,kESyNMCJeA,KVK,136.54 
[31288] BUY,kESyNMCJeA,BPE,693.28 
[31309] ADD,kESyNMCJeA,75797.78 
[31323] BUY,kESyNMCJeA,RWM,327.40 
[31400] COMMIT_BUY,kESyNMCJeA 
[31449] ADD,kESyNMCJeA,57952.27 
[31534] BUY,kESyNMCJeA,FTB,515.79 
[31588] COMMIT_BUY,kESyNMCJeA 
[31679] QUOTE,kESyNMCJeA,DJD 
[31744] CANCEL_SET_BUY,kESyNMCJeA,WJB 
[31753] SET_BUY_TRIGGER,kESyNMCJeA,JSM,58.57 
[31757] ADD,kESyNMCJeA,61226.17 
[31770] BUY,kESyNMCJeA,CTS,64.80 
[31811] COMMIT_BUY,kESyNMCJeA 
[31974] SELL,kESyNMCJeA,OPN,661.68 
[32005] COMMIT_SELL,kESyNMCJeA 
[32114] SET_BUY_AMOUNT,kESyNMCJeA,DFE,287.00 
[32201] SET_BUY_TRIGGER,kESyNMCJeA,RYU,146.76 
[32240] SET_BUY_AMOUNT,kESyNMCJeA,JCQ,557.41 
[32354] SET_BUY_TRIGGER,kESyNMCJeA,NFO,210.61 
[32367] SET_BUY_TRIGGER,kESyNMCJeA,YUR,124.36 
[32418] BUY,kESyNMCJeA,HYX,122.00 
[32433] SET_SELL_TRIGGER,kESyNMCJeA,IJO,174.48 
[32525] ADD,kESyNMCJeA,57118.16 
[32616] BUY,kESyNMCJeA,NEV,487.27 
[32689] QUOTE,kESyNMCJeA,BWR 
[32691] CANCEL_SET_BUY,kESyNMCJeA,CXW 
[32819] ADD,kESyNMCJeA,92386.54 
[33011] BUY,kESyNMCJeA,GGY,101.65 
[33063] SET_SELL_TRIGGER,kESyNMCJeA,URI,59.37 
[33111] SELL,kESyNMCJeA,GYF,356.98 
[33346] COMMIT_SELL,kESyNMCJeA 
[33408] SET_SELL_AMOUNT,kESyNMCJeA,ZYR,237.34 
[33572] DISPLAY_SUMMARY,kESyNMCJeA 
[33619] CANCEL_SET_SELL,kESyNMCJeA,ZYR 
[33648] ADD,kESyNMCJeA,68069.96 
[33746] BUY,kESyNMCJeA,KVJ,253.25 
[33937] COMMIT_BUY,kESyNMCJeA 
[33958] QUOTE,kESyNMCJeA,JUG 
[34516] QUOTE,kESyNMCJeA,FLD 
[34594] ADD,kESyNMCJeA,61185.10 
[34617] SET_SELL_TRIGGER,kESyNMCJeA,FPV,45.13 
[34622] SET_BUY_AMOUNT,kESyNMCJeA,KES,585.05 
[34658] SET_BUY_TRIGGER,kESyNMCJeA,JUE,530.22 
[34684] COMMIT_SELL,kESyNMCJeA 
[34789] DISPLAY_SUMMARY,kESyNMCJeA 
[34819] COMMIT_BUY,kESyNMCJeA 
[34921] CANCEL_SELL,kESyNMCJeA 
[35020] DISPLAY_SUMMARY,kESyNMCJeA 
[35144] BUY,kESyNMCJeA,DJD,24.76 
[35560] COMMIT_BUY,kESyNMCJeA 
[35581] BUY,kESyNMCJeA,FLD,142.74 
[35583] COMMIT_BUY,kESyNMCJeA 
[35926] SET_SELL_TRIGGER,kESyNMCJeA,ZCG,7.47 
[35997] BUY,kESyNMCJeA,FWW,437.73 
[36062] COMMIT_BUY,kESyNMCJeA 
[36078] DISPLAY_SUMMARY,kESyNMCJeA 
[36178] ADD,kESyNMCJeA,76617.19 
[36205] QUOTE,kESyNMCJeA,GTN 
[36334] SET_BUY_AMOUNT,kESyNMCJeA,RGH,195.60 
[36427] SET_BUY_TRIGGER,kESyNMCJeA,NDO,28.31 
[36477] CANCEL_SELL,kESyNMCJeA 
[36511] QUOTE,kESyNMCJeA,DWU 
[36582] QUOTE,kESyNMCJeA,PUC 
[36617] DISPLAY_SUMMARY,kESyNMCJeA 
[36745] QUOTE,kESyNMCJeA,WKE 
[37008] QUOTE,kESyNMCJeA,ZUV 
[37057] ADD,kESyNMCJeA,76976.40 
[37398] ADD,kESyNMCJeA,81632.86 
[37432] QUOTE,kESyNMCJeA,RQS 
[37522] ADD,kESyNMCJeA,79746.84 
[37589] SET_SELL_AMOUNT,kESyNMCJeA,XLK,403.38 
[37639] BUY,kESyNMCJeA,QXW,127.18 
[37663] BUY,kESyNMCJeA,HDR,487.55 
[37726] CANCEL_BUY,kESyNMCJeA 
[37727] SET_BUY_AMOUNT,kESyNMCJeA,NHG,666.26 
[37838] SET_BUY_TRIGGER,kESyNMCJeA,NUV,611.59 
[38142] DISPLAY_SUMMARY,kESyNMCJeA 
[38231] SET_BUY_TRIGGER,kESyNMCJeA,CBO,180.98 
[38431] SELL,kESyNMCJeA,RUN,210.28 
[38505] SET_SELL_AMOUNT,kESyNMCJeA,FDI,97.18 
[38634] QUOTE,kESyNMCJeA,ECL 
[38834] BUY,kESyNMCJeA,OYX,383.48 
[38844] CANCEL_BUY,kESyNMCJeA 
[38911] SET_BUY_AMOUNT,kESyNMCJeA,ZTI,419.44 
[39122] SET_BUY_TRIGGER,kESyNMCJeA,VDP,381.93 
[39152] SET_BUY_TRIGGER,kESyNMCJeA,WYA,42.00 
[39272] BUY,kESyNMCJeA,CDF,47.21 
[39385] SELL,kESyNMCJeA,CUZ,390.05 
[39599] CANCEL_SELL,kESyNMCJeA 
[39844] CANCEL_BUY,kESyNMCJeA 
[39914] SELL,kESyNMCJeA,OEY,699.21 
[39937] CANCEL_SELL,kESyNMCJeA 
[40524] CANCEL_BUY,kESyNMCJeA 
[40747] DISPLAY_SUMMARY,kESyNMCJeA 
[40771] ADD,kESyNMCJeA,85477.06 
[40837] BUY,kESyNMCJeA,KAS,539.76 
[41146] COMMIT_BUY,kESyNMCJeA 
[41310] ADD,kESyNMCJeA,79071.04 
[41361] BUY,kESyNMCJeA,YWK,714.16 
[41544] SET_BUY_AMOUNT,kESyNMCJeA,BCQ,741.24 
[41588] QUOTE,kESyNMCJeA,YCH 
[41741] BUY,kESyNMCJeA,KPE,550.90 
[41834] SET_BUY_TRIGGER,kESyNMCJeA,KHY,492.51 
[41892] ADD,kESyNMCJeA,52050.97 
[42065] BUY,kESyNMCJeA,MVQ,137.93 
[42078] QUOTE,kESyNMCJeA,QPE 
[42192] SET_SELL_AMOUNT,kESyNMCJeA,CUZ,709.39 
[42691] SET_SELL_TRIGGER,kESyNMCJeA,CUZ,656.64 
[42721] SET_SELL_TRIGGER,kESyNMCJeA,PUC,58.59 
[42771] SELL,kESyNMCJeA,EBS,569.01 
[42849] BUY,kESyNMCJeA,TFZ,81.30 
[42869] COMMIT_BUY,kESyNMCJeA 
[42894] SET_SELL_TRIGGER,kESyNMCJeA,NFQ,3.14 
[42895] ADD,kESyNMCJeA,62659.98 
[42914] SET_BUY_TRIGGER,kESyNMCJeA,XMA,90.04 
[42949] SET_SELL_AMOUNT,kESyNMCJeA,PTP,144.56 
[43151] SET_SELL_TRIGGER,kESyNMCJeA,PTP,117.94 
[43193] SET_SELL_TRIGGER,kESyNMCJeA,OXK,152.89 
[43296] BUY,kESyNMCJeA,UDN,55.60 
[43541] CANCEL_BUY,kESyNMCJeA 
[43789] DISPLAY_SUMMARY,kESyNMCJeA 
[43860] ADD,kESyNMCJeA,80482.09 
[43892] QUOTE,kESyNMCJeA,BXH 
[43952] SET_BUY_AMOUNT,kESyNMCJeA,NHG,495.87 
[43982] QUOTE,kESyNMCJeA,KZZ 
[44178] BUY,kESyNMCJeA,YNY,694.01 
[44180] COMMIT_SELL,kESyNMCJeA 
[44247] SET_BUY_TRIGGER,kESyNMCJeA,VVV,7.22 
[44557] BUY,kESyNMCJeA,LAM,455.39 
[44764] COMMIT_BUY,kESyNMCJeA 
[44815] ADD,kESyNMCJeA,53282.42 
[45170] QUOTE,kESyNMCJeA,URD 
[45174] SET_BUY_AMOUNT,kESyNMCJeA,FDI,697.00 
[45393] SET_BUY_TRIGGER,kESyNMCJeA,MXN,258.69 
[45697] QUOTE,kESyNMCJeA,MOF 
[45750] SELL,kESyNMCJeA,ZTI,185.50 
[45761] CANCEL_SELL,kESyNMCJeA 
[45797] QUOTE,kESyNMCJeA,IVV 
[45895] SELL,kESyNMCJeA,RNK,289.23 
[46178] COMMIT_SELL,kESyNMCJeA 
[46294] SET_BUY_AMOUNT,kESyNMCJeA,BCQ,384.84 
[46302] SET_BUY_TRIGGER,kESyNMCJeA,PMG,94.57 
[46435] QUOTE,kESyNMCJeA,LKV 
[46539] BUY,kESyNMCJeA,OXK,185.88 
[46639] COMMIT_BUY,kESyNMCJeA 
[46709] DISPLAY_SUMMARY,kESyNMCJeA 
[46821] SELL,kESyNMCJeA,RGH,240.85 
[46982] CANCEL_SELL,kESyNMCJeA 
[47231] QUOTE,kESyNMCJeA,KMZ 
[47433] BUY,kESyNMCJeA,DFE,472.71 
[47473] COMMIT_BUY,kESyNMCJeA 
[47632] COMMIT_BUY,kESyNMCJeA 
[47757] SELL,kESyNMCJeA,XLK,340.42 
[48068] DISPLAY_SUMMARY,kESyNMCJeA 
[48142] DISPLAY_SUMMARY,kESyNMCJeA 
[48224] DISPLAY_SUMMARY,kESyNMCJeA 
[48376] SET_BUY_AMOUNT,kESyNMCJeA,QGE,173.12 
[48407] SELL,kESyNMCJeA,OEY,657.14 
[48538] COMMIT_SELL,kESyNMCJeA 
[48689] SET_SELL_TRIGGER,kESyNMCJeA,VAT,195.88 
[48742] SELL,kESyNMCJeA,NHG,259.23 
[48747] CANCEL_SELL,kESyNMCJeA 
[48885] SET_SELL_AMOUNT,kESyNMCJeA,FQP,12.32 
[48914] CANCEL_SET_SELL,kESyNMCJeA,FQP 
