[188] ADD,uWX4TGhR6O,77184.30 
[5733] COMMIT_BUY,uWX4TGhR6O 
[5734] DISPLAY_SUMMARY,uWX4TGhR6O 
[5777] DISPLAY_SUMMARY,uWX4TGhR6O 
[5972] SET_SELL_TRIGGER,uWX4TGhR6O,XQC,60.78 
[6085] ADD,uWX4TGhR6O,91713.31 
[6086] QUOTE,uWX4TGhR6O,YLZ 
[6164] BUY,uWX4TGhR6O,KVK,506.20 
[6280] COMMIT_BUY,uWX4TGhR6O 
[6284] SELL,uWX4TGhR6O,FQP,253.12 
[6286] COMMIT_SELL,uWX4TGhR6O 
[6357] DISPLAY_SUMMARY,uWX4TGhR6O 
[6369] ADD,uWX4TGhR6O,71351.24 
[6400] BUY,uWX4TGhR6O,IPH,519.01 
[6535] COMMIT_BUY,uWX4TGhR6O 
[6621] BUY,uWX4TGhR6O,ZOW,16.21 
[6830] COMMIT_BUY,uWX4TGhR6O 
[6862] SET_SELL_TRIGGER,uWX4TGhR6O,RDN,99.97 
[6944] SET_BUY_AMOUNT,uWX4TGhR6O,KES,196.43 
[7056] CANCEL_SET_BUY,uWX4TGhR6O,SJH 
[7322] ADD,uWX4TGhR6O,73219.25 
[7326] QUOTE,uWX4TGhR6O,YVX 
[7403] BUY,uWX4TGhR6O,APU,738.11 
[7420] COMMIT_BUY,uWX4TGhR6O 
[7485] SET_BUY_TRIGGER,uWX4TGhR6O,AVI,111.58 
[8020] BUY,uWX4TGhR6O,OQW,194.70 
[8023] COMMIT_BUY,uWX4TGhR6O 
[8122] BUY,uWX4TGhR6O,SNU,60.66 
[8281] CANCEL_SET_SELL,uWX4TGhR6O,QLM 
[8328] QUOTE,uWX4TGhR6O,KAO 
[8358] BUY,uWX4TGhR6O,CTI,524.14 
[8362] COMMIT_SELL,uWX4TGhR6O 
[8592] DISPLAY_SUMMARY,uWX4TGhR6O 
[8635] SET_BUY_TRIGGER,uWX4TGhR6O,OTI,161.00 
[8660] ADD,uWX4TGhR6O,90516.34 
[8769] QUOTE,uWX4TGhR6O,MGO 
[8946] CANCEL_SET_BUY,uWX4TGhR6O,KNM 
[9167] SELL,uWX4TGhR6O,QJZ,445.17 
[9190] COMMIT_SELL,uWX4TGhR6O 
[9377] SET_BUY_AMOUNT,uWX4TGhR6O,OEY,184.90 
[9443] CANCEL_SET_BUY,uWX4TGhR6O,ZAV 
[9606] CANCEL_BUY,uWX4TGhR6O 
[9679] ADD,uWX4TGhR6O,73755.61 
[9767] BUY,uWX4TGhR6O,YZC,692.46 
[9828] COMMIT_BUY,uWX4TGhR6O 
[9904] BUY,uWX4TGhR6O,MIY,154.65 
[10177] QUOTE,uWX4TGhR6O,ONI 
[10324] SET_BUY_AMOUNT,uWX4TGhR6O,JVT,233.08 
[10374] SELL,uWX4TGhR6O,EBS,634.65 
[10385] COMMIT_SELL,uWX4TGhR6O 
[10442] BUY,uWX4TGhR6O,RDK,591.24 
[10659] COMMIT_BUY,uWX4TGhR6O 
[10687] BUY,uWX4TGhR6O,KQZ,107.06 
[10793] COMMIT_BUY,uWX4TGhR6O 
[10796] ADD,uWX4TGhR6O,73568.89 
[10932] CANCEL_SELL,uWX4TGhR6O 
[11027] SELL,uWX4TGhR6O,EBS,637.91 
[11036] COMMIT_SELL,uWX4TGhR6O 
[11289] ADD,uWX4TGhR6O,70902.38 
[11319] QUOTE,uWX4TGhR6O,YZC 
[11652] QUOTE,uWX4TGhR6O,XER 
[11732] BUY,uWX4TGhR6O,FGF,556.55 
[11804] COMMIT_BUY,uWX4TGhR6O 
[11818] DISPLAY_SUMMARY,uWX4TGhR6O 
[11884] ADD,uWX4TGhR6O,41785.62 
[11937] COMMIT_SELL,uWX4TGhR6O 
[11998] ADD,uWX4TGhR6O,64179.03 
[12009] BUY,uWX4TGhR6O,WQC,734.37 
[12174] CANCEL_SELL,uWX4TGhR6O 
[12176] QUOTE,uWX4TGhR6O,SEW 
[12413] BUY,uWX4TGhR6O,BHH,306.83 
[12436] COMMIT_BUY,uWX4TGhR6O 
[12688] QUOTE,uWX4TGhR6O,YUL 
[12729] BUY,uWX4TGhR6O,QTU,690.02 
[12828] CANCEL_BUY,uWX4TGhR6O 
[12890] ADD,uWX4TGhR6O,81415.55 
[12907] QUOTE,uWX4TGhR6O,SXB 
[12996] BUY,uWX4TGhR6O,JCL,724.23 
[13071] SET_BUY_TRIGGER,uWX4TGhR6O,WTD,30.20 
[13139] SELL,uWX4TGhR6O,QAX,486.55 
[13213] SET_BUY_AMOUNT,uWX4TGhR6O,NHG,605.64 
[13235] SET_BUY_TRIGGER,uWX4TGhR6O,KKI,142.12 
[13240] SET_BUY_AMOUNT,uWX4TGhR6O,KES,367.10 
[13278] SELL,uWX4TGhR6O,QJZ,156.51 
[13360] COMMIT_SELL,uWX4TGhR6O 
[13375] SELL,uWX4TGhR6O,KES,617.36 
[13476] COMMIT_SELL,uWX4TGhR6O 
[13480] ADD,uWX4TGhR6O,80204.48 
[13534] QUOTE,uWX4TGhR6O,BWL 
[13583] QUOTE,uWX4TGhR6O,SPP 
[13687] SET_BUY_AMOUNT,uWX4TGhR6O,JCQ,717.61 
[13716] SET_BUY_TRIGGER,uWX4TGhR6O,OOV,385.30 
[13897] SET_SELL_TRIGGER,uWX4TGhR6O,OKK,137.68 
[13956] DISPLAY_SUMMARY,uWX4TGhR6O 
[14082] CANCEL_SET_SELL,uWX4TGhR6O,TSS 
[14131] DISPLAY_SUMMARY,uWX4TGhR6O 
[14150] COMMIT_BUY,uWX4TGhR6O 
[14276] ADD,uWX4TGhR6O,52039.21 
[14465] BUY,uWX4TGhR6O,SYN,572.45 
[14509] SET_SELL_TRIGGER,uWX4TGhR6O,IOM,189.11 
[14588] DISPLAY_SUMMARY,uWX4TGhR6O 
[14647] ADD,uWX4TGhR6O,65837.79 
[14954] BUY,uWX4TGhR6O,WAI,545.63 
[15050] COMMIT_BUY,uWX4TGhR6O 
[15054] BUY,uWX4TGhR6O,NAW,356.80 
[15062] SET_SELL_AMOUNT,uWX4TGhR6O,ZAN,57.67 
[15064] SET_SELL_TRIGGER,uWX4TGhR6O,ZAN,53.84 
[15098] SET_BUY_AMOUNT,uWX4TGhR6O,ZAN,150.30 
[15181] SET_BUY_TRIGGER,uWX4TGhR6O,SBT,57.43 
[15347] BUY,uWX4TGhR6O,NGG,472.26 
[15380] COMMIT_BUY,uWX4TGhR6O 
[15430] BUY,uWX4TGhR6O,FMJ,621.96 
[15570] COMMIT_BUY,uWX4TGhR6O 
[15692] BUY,uWX4TGhR6O,UGG,374.60 
[16048] SET_BUY_AMOUNT,uWX4TGhR6O,QAX,151.20 
[16460] SET_BUY_TRIGGER,uWX4TGhR6O,SSL,10.71 
[16470] BUY,uWX4TGhR6O,YEH,236.55 
[16675] COMMIT_BUY,uWX4TGhR6O 
[16676] CANCEL_BUY,uWX4TGhR6O 
[16704] DISPLAY_SUMMARY,uWX4TGhR6O 
[16730] SET_SELL_TRIGGER,uWX4TGhR6O,LLO,16.54 
[16743] DISPLAY_SUMMARY,uWX4TGhR6O 
[16831] SET_BUY_TRIGGER,uWX4TGhR6O,LZV,6.64 
[17290] SELL,uWX4TGhR6O,GYF,228.33 
[17367] SET_SELL_AMOUNT,uWX4TGhR6O,NHG,346.01 
[17437] SET_SELL_TRIGGER,uWX4TGhR6O,NHG,140.40 
[18024] DISPLAY_SUMMARY,uWX4TGhR6O 
[18073] ADD,uWX4TGhR6O,65857.17 
[18076] SET_SELL_AMOUNT,uWX4TGhR6O,NHG,117.02 
[18096] SET_SELL_TRIGGER,uWX4TGhR6O,NHG,48.40 
[18112] DISPLAY_SUMMARY,uWX4TGhR6O 
[18297] BUY,uWX4TGhR6O,ZHB,55.70 
[18405] CANCEL_SET_BUY,uWX4TGhR6O,XLV 
[18585] ADD,uWX4TGhR6O,63175.95 
[18738] SELL,uWX4TGhR6O,KES,271.90 
[18752] QUOTE,uWX4TGhR6O,KTU 
[18768] SET_BUY_TRIGGER,uWX4TGhR6O,ZCO,123.50 
[18935] SELL,uWX4TGhR6O,EBS,125.83 
[18994] COMMIT_SELL,uWX4TGhR6O 
[19001] DISPLAY_SUMMARY,uWX4TGhR6O 
[19122] SELL,uWX4TGhR6O,KES,109.03 
[19127] BUY,uWX4TGhR6O,MGO,574.55 
[19387] CANCEL_BUY,uWX4TGhR6O 
[19408] SET_SELL_TRIGGER,uWX4TGhR6O,CIP,113.54 
[19512] DISPLAY_SUMMARY,uWX4TGhR6O 
[19540] SET_SELL_TRIGGER,uWX4TGhR6O,FVD,5.14 
[19590] SET_BUY_TRIGGER,uWX4TGhR6O,MWB,122.07 
[19646] SET_SELL_AMOUNT,uWX4TGhR6O,EBS,401.99 
[19675] SET_SELL_TRIGGER,uWX4TGhR6O,EBS,236.79 
[19736] SET_BUY_TRIGGER,uWX4TGhR6O,NKC,179.07 
[19820] BUY,uWX4TGhR6O,KRX,59.03 
[19976] COMMIT_BUY,uWX4TGhR6O 
[20045] SET_SELL_AMOUNT,uWX4TGhR6O,LFU,196.12 
[20094] SET_SELL_TRIGGER,uWX4TGhR6O,LFU,101.20 
[20101] SET_SELL_AMOUNT,uWX4TGhR6O,FQP,253.11 
[20132] DISPLAY_SUMMARY,uWX4TGhR6O 
[20182] SELL,uWX4TGhR6O,QJZ,718.36 
[20200] COMMIT_SELL,uWX4TGhR6O 
[20263] DISPLAY_SUMMARY,uWX4TGhR6O 
[20283] BUY,uWX4TGhR6O,LSW,590.97 
[20323] COMMIT_BUY,uWX4TGhR6O 
[20480] SET_BUY_TRIGGER,uWX4TGhR6O,GJQ,95.68 
[20528] BUY,uWX4TGhR6O,VNN,165.13 
[20617] BUY,uWX4TGhR6O,KPE,494.37 
[20677] COMMIT_BUY,uWX4TGhR6O 
[20813] CANCEL_SET_BUY,uWX4TGhR6O,RGM 
[20989] SET_SELL_AMOUNT,uWX4TGhR6O,LFU,412.25 
[21097] QUOTE,uWX4TGhR6O,OIY 
[21704] DISPLAY_SUMMARY,uWX4TGhR6O 
[22135] QUOTE,uWX4TGhR6O,DWX 
[22398] BUY,uWX4TGhR6O,EBS,225.13 
[22438] COMMIT_BUY,uWX4TGhR6O 
[22443] BUY,uWX4TGhR6O,AJX,438.10 
[22572] CANCEL_BUY,uWX4TGhR6O 
[22626] SET_SELL_AMOUNT,uWX4TGhR6O,KDA,43.29 
[22647] CANCEL_SET_SELL,uWX4TGhR6O,KDA 
[22673] SELL,uWX4TGhR6O,RUN,130.03 
[22723] COMMIT_SELL,uWX4TGhR6O 
[22894] SET_BUY_AMOUNT,uWX4TGhR6O,QAX,704.95 
[23051] SET_BUY_TRIGGER,uWX4TGhR6O,DWK,215.98 
[23105] COMMIT_SELL,uWX4TGhR6O 
[23191] SELL,uWX4TGhR6O,GYF,392.71 
[23266] COMMIT_SELL,uWX4TGhR6O 
[23301] QUOTE,uWX4TGhR6O,GLJ 
[23331] ADD,uWX4TGhR6O,102279.97 
[23452] BUY,uWX4TGhR6O,OTD,619.34 
[23504] COMMIT_BUY,uWX4TGhR6O 
[23560] SET_SELL_AMOUNT,uWX4TGhR6O,ZAN,235.51 
[23680] SET_SELL_TRIGGER,uWX4TGhR6O,ZAN,51.44 
[23845] CANCEL_SET_SELL,uWX4TGhR6O,WOJ 
[23846] SET_BUY_TRIGGER,uWX4TGhR6O,VEX,2.20 
[23867] BUY,uWX4TGhR6O,RQT,67.66 
[23946] COMMIT_BUY,uWX4TGhR6O 
[24010] SET_SELL_AMOUNT,uWX4TGhR6O,RUN,327.72 
[24226] SET_SELL_TRIGGER,uWX4TGhR6O,RUN,183.62 
[24349] ADD,uWX4TGhR6O,49068.47 
[24397] QUOTE,uWX4TGhR6O,QAX 
[24401] ADD,uWX4TGhR6O,59484.44 
[24486] BUY,uWX4TGhR6O,DBR,662.69 
[24541] QUOTE,uWX4TGhR6O,QSS 
[24575] ADD,uWX4TGhR6O,77041.00 
[24758] BUY,uWX4TGhR6O,IUN,95.22 
[25103] SET_SELL_AMOUNT,uWX4TGhR6O,JRJ,534.01 
[25148] SET_SELL_TRIGGER,uWX4TGhR6O,JRJ,387.37 
[25342] BUY,uWX4TGhR6O,NDD,545.14 
[25439] CANCEL_SELL,uWX4TGhR6O 
[25506] DISPLAY_SUMMARY,uWX4TGhR6O 
[25527] SET_SELL_TRIGGER,uWX4TGhR6O,WKD,198.76 
[25707] SET_SELL_TRIGGER,uWX4TGhR6O,TCP,98.60 
[25869] QUOTE,uWX4TGhR6O,TSF 
[26084] ADD,uWX4TGhR6O,52515.24 
[26093] CANCEL_SET_SELL,uWX4TGhR6O,URI 
[26200] BUY,uWX4TGhR6O,PJJ,439.52 
[26429] COMMIT_BUY,uWX4TGhR6O 
[26686] QUOTE,uWX4TGhR6O,QTU 
[26779] BUY,uWX4TGhR6O,LJY,620.20 
[26787] COMMIT_BUY,uWX4TGhR6O 
[26976] ADD,uWX4TGhR6O,44815.30 
[27021] CANCEL_SELL,uWX4TGhR6O 
[27054] ADD,uWX4TGhR6O,77354.11 
[27180] BUY,uWX4TGhR6O,WXV,500.20 
[27206] SET_BUY_AMOUNT,uWX4TGhR6O,OEY,739.41 
[27523] QUOTE,uWX4TGhR6O,OZT 
[27635] QUOTE,uWX4TGhR6O,APU 
[27647] BUY,uWX4TGhR6O,MWM,661.04 
[27662] COMMIT_BUY,uWX4TGhR6O 
[27684] SET_BUY_AMOUNT,uWX4TGhR6O,GYF,52.15 
[27736] SET_BUY_TRIGGER,uWX4TGhR6O,OYX,40.41 
[27784] ADD,uWX4TGhR6O,52890.88 
[27895] QUOTE,uWX4TGhR6O,QQW 
[28036] COMMIT_BUY,uWX4TGhR6O 
[28085] SET_BUY_AMOUNT,uWX4TGhR6O,KES,723.53 
[28124] SET_BUY_TRIGGER,uWX4TGhR6O,VVW,676.36 
[28184] SELL,uWX4TGhR6O,LFU,35.38 
[28192] COMMIT_SELL,uWX4TGhR6O 
[28209] DISPLAY_SUMMARY,uWX4TGhR6O 
[28409] QUOTE,uWX4TGhR6O,UTL 
[28504] SET_BUY_AMOUNT,uWX4TGhR6O,RUN,567.40 
[28526] SET_BUY_TRIGGER,uWX4TGhR6O,AED,276.96 
[28533] SELL,uWX4TGhR6O,ZTI,677.69 
[28547] CANCEL_SELL,uWX4TGhR6O 
[28594] DISPLAY_SUMMARY,uWX4TGhR6O 
[28658] CANCEL_SELL,uWX4TGhR6O 
[28775] SET_SELL_TRIGGER,uWX4TGhR6O,DRP,146.12 
[28847] QUOTE,uWX4TGhR6O,TZJ 
[28946] BUY,uWX4TGhR6O,FRB,423.84 
[29025] CANCEL_BUY,uWX4TGhR6O 
[29051] BUY,uWX4TGhR6O,ULL,343.31 
[29154] CANCEL_SET_SELL,uWX4TGhR6O,LLD 
[29160] ADD,uWX4TGhR6O,75655.67 
[29254] BUY,uWX4TGhR6O,LZB,682.28 
[29335] CANCEL_BUY,uWX4TGhR6O 
[29349] COMMIT_SELL,uWX4TGhR6O 
[29404] SELL,uWX4TGhR6O,EBS,490.45 
[29410] COMMIT_SELL,uWX4TGhR6O 
[29418] ADD,uWX4TGhR6O,68723.66 
[29430] BUY,uWX4TGhR6O,AUT,72.48 
[29887] SET_SELL_AMOUNT,uWX4TGhR6O,YJK,16.95 
[30048] SET_SELL_TRIGGER,uWX4TGhR6O,YJK,12.00 
[30344] QUOTE,uWX4TGhR6O,ZGC 
[30396] ADD,uWX4TGhR6O,76476.16 
[30465] CANCEL_SET_BUY,uWX4TGhR6O,EUM 
[30522] SELL,uWX4TGhR6O,RNK,501.36 
[30678] SELL,uWX4TGhR6O,RNK,531.53 
[30693] SELL,uWX4TGhR6O,ZTI,314.45 
[30913] CANCEL_SELL,uWX4TGhR6O 
[31073] QUOTE,uWX4TGhR6O,BFU 
[31160] SET_BUY_AMOUNT,uWX4TGhR6O,QJZ,195.85 
[31213] SET_BUY_TRIGGER,uWX4TGhR6O,MHQ,165.27 
[31261] SET_BUY_AMOUNT,uWX4TGhR6O,KDA,511.02 
[31448] QUOTE,uWX4TGhR6O,PYB 
[31516] DISPLAY_SUMMARY,uWX4TGhR6O 
[31571] ADD,uWX4TGhR6O,71948.11 
[31866] QUOTE,uWX4TGhR6O,ZJQ 
[31868] QUOTE,uWX4TGhR6O,SAR 
[31894] BUY,uWX4TGhR6O,MQX,2.63 
[31979] SET_SELL_AMOUNT,uWX4TGhR6O,GYF,8.85 
[32102] BUY,uWX4TGhR6O,XWZ,123.35 
[32144] COMMIT_BUY,uWX4TGhR6O 
[32233] SET_BUY_TRIGGER,uWX4TGhR6O,WYA,396.17 
[32243] SELL,uWX4TGhR6O,YJK,201.36 
[32470] COMMIT_SELL,uWX4TGhR6O 
[32487] ADD,uWX4TGhR6O,73543.55 
[32624] BUY,uWX4TGhR6O,XCL,619.72 
[32636] COMMIT_BUY,uWX4TGhR6O 
[32782] COMMIT_BUY,uWX4TGhR6O 
[33030] BUY,uWX4TGhR6O,MWB,106.42 
[33137] COMMIT_BUY,uWX4TGhR6O 
[33242] ADD,uWX4TGhR6O,72969.33 
[33295] QUOTE,uWX4TGhR6O,ZCQ 
[33507] SET_BUY_AMOUNT,uWX4TGhR6O,LFU,241.13 
[33637] SET_BUY_TRIGGER,uWX4TGhR6O,AUT,43.19 
[33792] CANCEL_SET_BUY,uWX4TGhR6O,CTI 
[33826] DISPLAY_SUMMARY,uWX4TGhR6O 
[34203] ADD,uWX4TGhR6O,67828.98 
[34834] SET_BUY_TRIGGER,uWX4TGhR6O,MVD,70.20 
[35299] ADD,uWX4TGhR6O,71934.34 
[35415] QUOTE,uWX4TGhR6O,NJT 
[35595] QUOTE,uWX4TGhR6O,WAI 
[35614] ADD,uWX4TGhR6O,67255.04 
[36064] BUY,uWX4TGhR6O,GCL,170.60 
[36180] CANCEL_SELL,uWX4TGhR6O 
[36218] SELL,uWX4TGhR6O,OEY,367.83 
[36302] COMMIT_SELL,uWX4TGhR6O 
[36321] BUY,uWX4TGhR6O,NFO,277.91 
[36339] CANCEL_BUY,uWX4TGhR6O 
[36428] COMMIT_SELL,uWX4TGhR6O 
[36515] SET_SELL_AMOUNT,uWX4TGhR6O,BCQ,266.85 
[36522] SET_SELL_TRIGGER,uWX4TGhR6O,BCQ,50.13 
[36550] ADD,uWX4TGhR6O,64640.16 
[36698] QUOTE,uWX4TGhR6O,ZMA 
[36704] BUY,uWX4TGhR6O,ZNZ,438.49 
[36725] COMMIT_BUY,uWX4TGhR6O 
[36779] DISPLAY_SUMMARY,uWX4TGhR6O 
[36827] SET_SELL_TRIGGER,uWX4TGhR6O,ETJ,102.47 
[36911] SET_BUY_AMOUNT,uWX4TGhR6O,QJZ,467.53 
[36984] SET_BUY_TRIGGER,uWX4TGhR6O,MSV,208.07 
[37142] QUOTE,uWX4TGhR6O,QPR 
[37209] SET_BUY_AMOUNT,uWX4TGhR6O,JRJ,563.59 
[37314] SET_BUY_TRIGGER,uWX4TGhR6O,KXF,158.26 
[37397] QUOTE,uWX4TGhR6O,OAS 
[37457] QUOTE,uWX4TGhR6O,WYA 
[37497] CANCEL_SELL,uWX4TGhR6O 
[37748] COMMIT_BUY,uWX4TGhR6O 
[37758] ADD,uWX4TGhR6O,64944.84 
[37837] QUOTE,uWX4TGhR6O,LSW 
[38011] BUY,uWX4TGhR6O,OYW,385.15 
[38148] COMMIT_BUY,uWX4TGhR6O 
[38221] ADD,uWX4TGhR6O,74833.06 
[38269] QUOTE,uWX4TGhR6O,YTT 
[38293] BUY,uWX4TGhR6O,HIW,327.59 
[38482] COMMIT_BUY,uWX4TGhR6O 
[38571] ADD,uWX4TGhR6O,53057.26 
[38840] CANCEL_SET_SELL,uWX4TGhR6O,LMO 
[39010] QUOTE,uWX4TGhR6O,RVU 
[39029] QUOTE,uWX4TGhR6O,CGW 
[39250] SELL,uWX4TGhR6O,YJK,53.36 
[39421] SET_SELL_TRIGGER,uWX4TGhR6O,EVR,79.61 
[39454] DISPLAY_SUMMARY,uWX4TGhR6O 
[39625] ADD,uWX4TGhR6O,71088.37 
[39650] QUOTE,uWX4TGhR6O,VVV 
[39711] QUOTE,uWX4TGhR6O,TSF 
[39769] SET_BUY_TRIGGER,uWX4TGhR6O,TZJ,75.38 
[39982] DISPLAY_SUMMARY,uWX4TGhR6O 
[40050] CANCEL_SELL,uWX4TGhR6O 
[40084] SET_BUY_TRIGGER,uWX4TGhR6O,SXB,2.02 
[40302] ADD,uWX4TGhR6O,74522.67 
[40328] QUOTE,uWX4TGhR6O,JDO 
[40413] CANCEL_SET_BUY,uWX4TGhR6O,UCG 
[40414] SET_BUY_TRIGGER,uWX4TGhR6O,SON,107.15 
[40484] DISPLAY_SUMMARY,uWX4TGhR6O 
[40573] SET_SELL_AMOUNT,uWX4TGhR6O,BYA,691.18 
[40731] SET_SELL_TRIGGER,uWX4TGhR6O,BYA,160.29 
[40752] SET_BUY_AMOUNT,uWX4TGhR6O,QAX,77.02 
[40783] SET_BUY_TRIGGER,uWX4TGhR6O,ALG,68.35 
[40785] ADD,uWX4TGhR6O,41929.51 
[40979] QUOTE,uWX4TGhR6O,SNU 
[41046] BUY,uWX4TGhR6O,FLY,678.29 
[41132] COMMIT_BUY,uWX4TGhR6O 
[41198] SET_SELL_TRIGGER,uWX4TGhR6O,DNJ,54.82 
[41396] ADD,uWX4TGhR6O,54965.85 
[41701] QUOTE,uWX4TGhR6O,DBT 
[41785] BUY,uWX4TGhR6O,CLQ,717.39 
[41891] CANCEL_SELL,uWX4TGhR6O 
[42118] ADD,uWX4TGhR6O,61315.78 
[42498] CANCEL_SELL,uWX4TGhR6O 
[42531] BUY,uWX4TGhR6O,WYD,184.97 
[42584] COMMIT_BUY,uWX4TGhR6O 
[42605] QUOTE,uWX4TGhR6O,BTD 
[42736] CANCEL_SELL,uWX4TGhR6O 
[42770] DISPLAY_SUMMARY,uWX4TGhR6O 
[43028] DISPLAY_SUMMARY,uWX4TGhR6O 
[43064] QUOTE,uWX4TGhR6O,DWK 
[43851] SET_BUY_AMOUNT,uWX4TGhR6O,SUS,383.40 
[43896] SELL,uWX4TGhR6O,RGH,484.63 
[44131] COMMIT_SELL,uWX4TGhR6O 
[44297] ADD,uWX4TGhR6O,74689.52 
[44300] QUOTE,uWX4TGhR6O,GDO 
[44365] BUY,uWX4TGhR6O,LKK,350.08 
[44604] COMMIT_BUY,uWX4TGhR6O 
[44934] ADD,uWX4TGhR6O,62010.03 
[44967] COMMIT_SELL,uWX4TGhR6O 
[45128] SET_SELL_AMOUNT,uWX4TGhR6O,DFE,544.85 
[45187] SET_SELL_TRIGGER,uWX4TGhR6O,DFE,295.97 
[45334] BUY,uWX4TGhR6O,VTY,493.22 
[45367] QUOTE,uWX4TGhR6O,AVI 
[45376] QUOTE,uWX4TGhR6O,FMJ 
[45399] QUOTE,uWX4TGhR6O,WTD 
[45738] SET_BUY_TRIGGER,uWX4TGhR6O,XEA,107.67 
[45874] DISPLAY_SUMMARY,uWX4TGhR6O 
[45932] ADD,uWX4TGhR6O,51437.10 
[46010] BUY,uWX4TGhR6O,GUB,687.84 
[46134] COMMIT_BUY,uWX4TGhR6O 
[46205] BUY,uWX4TGhR6O,SYL,749.45 
[46293] CANCEL_SET_SELL,uWX4TGhR6O,LPS 
[46520] SET_SELL_AMOUNT,uWX4TGhR6O,YJK,250.92 
[46528] QUOTE,uWX4TGhR6O,NXU 
[46537] CANCEL_SET_BUY,uWX4TGhR6O,UGT 
[46630] BUY,uWX4TGhR6O,ZFJ,317.50 
[46847] COMMIT_BUY,uWX4TGhR6O 
[47018] SET_BUY_TRIGGER,uWX4TGhR6O,XYV,167.77 
[47141] DISPLAY_SUMMARY,uWX4TGhR6O 
[47243] DISPLAY_SUMMARY,uWX4TGhR6O 
[47282] COMMIT_SELL,uWX4TGhR6O 
[47303] ADD,uWX4TGhR6O,83918.18 
[47345] BUY,uWX4TGhR6O,YBP,42.13 
[47857] COMMIT_BUY,uWX4TGhR6O 
[48004] DISPLAY_SUMMARY,uWX4TGhR6O 
[48025] SET_BUY_AMOUNT,uWX4TGhR6O,QJZ,179.33 
