[71] ADD,XeYo2ezKey,68257.18 
[5911] CANCEL_BUY,XeYo2ezKey 
[6024] DISPLAY_SUMMARY,XeYo2ezKey 
[6127] SELL,XeYo2ezKey,QJZ,708.15 
[6314] COMMIT_SELL,XeYo2ezKey 
[6454] SET_BUY_AMOUNT,XeYo2ezKey,QJZ,598.24 
[6483] BUY,XeYo2ezKey,OTQ,240.24 
[6685] CANCEL_BUY,XeYo2ezKey 
[6773] SET_BUY_TRIGGER,XeYo2ezKey,ZCQ,400.18 
[7001] DISPLAY_SUMMARY,XeYo2ezKey 
[7023] ADD,XeYo2ezKey,71116.50 
[7058] BUY,XeYo2ezKey,MIU,46.75 
[7219] SET_BUY_AMOUNT,XeYo2ezKey,JVT,487.94 
[7292] SET_BUY_TRIGGER,XeYo2ezKey,TXB,2.23 
[7710] SET_BUY_AMOUNT,XeYo2ezKey,KDA,171.10 
[7874] SET_BUY_TRIGGER,XeYo2ezKey,VCN,110.71 
[7882] DISPLAY_SUMMARY,XeYo2ezKey 
[8102] CANCEL_SET_SELL,XeYo2ezKey,XFA 
[8114] QUOTE,XeYo2ezKey,EOY 
[8116] BUY,XeYo2ezKey,BZX,619.68 
[8141] CANCEL_BUY,XeYo2ezKey 
[8177] ADD,XeYo2ezKey,86875.81 
[8181] QUOTE,XeYo2ezKey,AJL 
[8210] CANCEL_SET_SELL,XeYo2ezKey,ZWC 
[8221] DISPLAY_SUMMARY,XeYo2ezKey 
[8259] ADD,XeYo2ezKey,63679.15 
[8317] QUOTE,XeYo2ezKey,BZH 
[8482] SET_BUY_TRIGGER,XeYo2ezKey,JXW,47.08 
[8541] SET_SELL_TRIGGER,XeYo2ezKey,QVA,196.37 
[8783] QUOTE,XeYo2ezKey,QNK 
[8874] BUY,XeYo2ezKey,WJB,526.79 
[8944] COMMIT_BUY,XeYo2ezKey 
[9043] SET_BUY_AMOUNT,XeYo2ezKey,KES,167.31 
[9126] SET_BUY_TRIGGER,XeYo2ezKey,SUS,71.17 
[9139] SET_BUY_TRIGGER,XeYo2ezKey,KWP,0.66 
[9140] SET_SELL_AMOUNT,XeYo2ezKey,KES,131.37 
[9197] SET_SELL_TRIGGER,XeYo2ezKey,KES,32.93 
[9202] SELL,XeYo2ezKey,QJZ,20.55 
[9224] COMMIT_SELL,XeYo2ezKey 
[9312] DISPLAY_SUMMARY,XeYo2ezKey 
[9536] DISPLAY_SUMMARY,XeYo2ezKey 
[9601] CANCEL_SET_SELL,XeYo2ezKey,WKT 
[9643] SET_BUY_AMOUNT,XeYo2ezKey,FQP,684.21 
[9710] BUY,XeYo2ezKey,WJS,155.66 
[9877] COMMIT_BUY,XeYo2ezKey 
[10028] SET_SELL_AMOUNT,XeYo2ezKey,GYF,615.56 
[10039] SET_SELL_TRIGGER,XeYo2ezKey,GYF,102.67 
[10102] SET_SELL_AMOUNT,XeYo2ezKey,KES,723.88 
[10170] SET_SELL_TRIGGER,XeYo2ezKey,KES,245.25 
[10319] ADD,XeYo2ezKey,53462.66 
[10463] SET_SELL_TRIGGER,XeYo2ezKey,DBC,184.19 
[10540] ADD,XeYo2ezKey,75725.85 
[10732] COMMIT_BUY,XeYo2ezKey 
[10762] SET_BUY_AMOUNT,XeYo2ezKey,JCQ,66.76 
[10902] SET_BUY_TRIGGER,XeYo2ezKey,YTT,8.78 
[10949] BUY,XeYo2ezKey,KJD,415.43 
[11245] COMMIT_BUY,XeYo2ezKey 
[11287] ADD,XeYo2ezKey,57174.54 
[11567] BUY,XeYo2ezKey,ZYR,540.83 
[11755] COMMIT_BUY,XeYo2ezKey 
[11909] DISPLAY_SUMMARY,XeYo2ezKey 
[11956] ADD,XeYo2ezKey,71796.68 
[12077] BUY,XeYo2ezKey,KBP,231.77 
[12087] COMMIT_BUY,XeYo2ezKey 
[12309] SET_BUY_TRIGGER,XeYo2ezKey,KZC,111.48 
[12361] QUOTE,XeYo2ezKey,KZC 
[12513] BUY,XeYo2ezKey,YPW,276.72 
[12781] SET_BUY_TRIGGER,XeYo2ezKey,FFI,76.07 
[12922] SET_BUY_TRIGGER,XeYo2ezKey,PXX,170.14 
[13144] CANCEL_SET_SELL,XeYo2ezKey,PVZ 
[13153] BUY,XeYo2ezKey,DBT,488.01 
[13280] SELL,XeYo2ezKey,QAX,409.25 
[13282] COMMIT_SELL,XeYo2ezKey 
[13314] SET_BUY_AMOUNT,XeYo2ezKey,QJZ,557.02 
[13380] SET_BUY_TRIGGER,XeYo2ezKey,PDB,110.70 
[13393] SET_BUY_TRIGGER,XeYo2ezKey,SKV,141.77 
[13531] ADD,XeYo2ezKey,72146.52 
[13544] BUY,XeYo2ezKey,WBX,346.00 
[13659] QUOTE,XeYo2ezKey,CUZ 
[13802] SET_BUY_AMOUNT,XeYo2ezKey,QJZ,403.68 
[13838] BUY,XeYo2ezKey,ZRJ,16.54 
[13905] COMMIT_BUY,XeYo2ezKey 
[13925] SELL,XeYo2ezKey,QJZ,405.39 
[14138] CANCEL_BUY,XeYo2ezKey 
[14313] SET_SELL_TRIGGER,XeYo2ezKey,HRJ,40.42 
[14470] DISPLAY_SUMMARY,XeYo2ezKey 
[14496] SET_BUY_AMOUNT,XeYo2ezKey,FQP,433.50 
[14646] SET_BUY_TRIGGER,XeYo2ezKey,FTP,308.89 
[14774] ADD,XeYo2ezKey,91952.68 
[14884] CANCEL_SET_SELL,XeYo2ezKey,NSW 
[14956] DISPLAY_SUMMARY,XeYo2ezKey 
[15163] DISPLAY_SUMMARY,XeYo2ezKey 
[15215] SET_BUY_AMOUNT,XeYo2ezKey,QJZ,574.84 
[15226] DISPLAY_SUMMARY,XeYo2ezKey 
[15576] SET_BUY_TRIGGER,XeYo2ezKey,QPX,303.13 
[15718] ADD,XeYo2ezKey,80043.56 
[15821] BUY,XeYo2ezKey,SSW,717.83 
[15968] COMMIT_BUY,XeYo2ezKey 
[15983] SET_SELL_AMOUNT,XeYo2ezKey,JQO,122.02 
[16114] SET_SELL_TRIGGER,XeYo2ezKey,JQO,56.43 
[16224] ADD,XeYo2ezKey,102298.13 
[16361] QUOTE,XeYo2ezKey,FMJ 
[16447] ADD,XeYo2ezKey,83986.47 
[16529] BUY,XeYo2ezKey,DWK,50.74 
[16555] COMMIT_BUY,XeYo2ezKey 
[16558] SELL,XeYo2ezKey,QAX,701.86 
[16559] ADD,XeYo2ezKey,83551.11 
[16625] SELL,XeYo2ezKey,JCQ,271.41 
[16680] CANCEL_SET_SELL,XeYo2ezKey,MVD 
[16692] SET_BUY_AMOUNT,XeYo2ezKey,JVT,565.14 
[16721] CANCEL_SET_BUY,XeYo2ezKey,WKD 
[16729] SET_SELL_TRIGGER,XeYo2ezKey,WUF,75.19 
[16731] ADD,XeYo2ezKey,79662.79 
[16853] BUY,XeYo2ezKey,SKY,133.40 
[16867] COMMIT_BUY,XeYo2ezKey 
[16906] SET_SELL_TRIGGER,XeYo2ezKey,KKI,101.51 
[16932] SET_BUY_AMOUNT,XeYo2ezKey,KES,79.62 
[17098] SET_BUY_TRIGGER,XeYo2ezKey,ZAV,20.57 
[17223] ADD,XeYo2ezKey,66351.79 
[17235] SET_SELL_AMOUNT,XeYo2ezKey,UTV,266.39 
[17302] CANCEL_SET_SELL,XeYo2ezKey,UTV 
[17338] SELL,XeYo2ezKey,GYF,623.66 
[17527] COMMIT_SELL,XeYo2ezKey 
[17627] BUY,XeYo2ezKey,VNF,35.00 
[17686] CANCEL_BUY,XeYo2ezKey 
[17744] SET_SELL_TRIGGER,XeYo2ezKey,VVV,54.19 
[17921] DISPLAY_SUMMARY,XeYo2ezKey 
[18013] BUY,XeYo2ezKey,ADY,422.96 
[18034] SET_BUY_TRIGGER,XeYo2ezKey,COE,34.18 
[18088] SET_BUY_AMOUNT,XeYo2ezKey,KES,581.46 
[18207] SET_BUY_TRIGGER,XeYo2ezKey,SPL,291.88 
[18214] SET_BUY_AMOUNT,XeYo2ezKey,EBS,247.02 
[18281] SET_BUY_TRIGGER,XeYo2ezKey,FIY,152.24 
[18530] ADD,XeYo2ezKey,44208.53 
[18544] QUOTE,XeYo2ezKey,CBK 
[18758] QUOTE,XeYo2ezKey,FRB 
[18832] QUOTE,XeYo2ezKey,AVI 
[19145] QUOTE,XeYo2ezKey,GPW 
[19471] SET_SELL_TRIGGER,XeYo2ezKey,HCN,135.06 
[19655] BUY,XeYo2ezKey,KMV,366.67 
[19748] COMMIT_SELL,XeYo2ezKey 
[19812] SELL,XeYo2ezKey,JQO,745.28 
[19850] QUOTE,XeYo2ezKey,VOU 
[19853] BUY,XeYo2ezKey,WKD,613.25 
[19927] COMMIT_BUY,XeYo2ezKey 
[19946] DISPLAY_SUMMARY,XeYo2ezKey 
[19960] ADD,XeYo2ezKey,63863.93 
[20076] BUY,XeYo2ezKey,LKK,517.62 
[20357] COMMIT_BUY,XeYo2ezKey 
[20546] DISPLAY_SUMMARY,XeYo2ezKey 
[20633] SET_SELL_AMOUNT,XeYo2ezKey,GYF,537.05 
[20679] SET_SELL_TRIGGER,XeYo2ezKey,GYF,501.90 
[20870] SET_BUY_TRIGGER,XeYo2ezKey,IQJ,199.28 
[20871] ADD,XeYo2ezKey,71805.01 
[21182] ADD,XeYo2ezKey,59407.77 
[21281] BUY,XeYo2ezKey,ZJB,51.15 
[21419] CANCEL_SET_BUY,XeYo2ezKey,AXK 
[21495] DISPLAY_SUMMARY,XeYo2ezKey 
[21590] SELL,XeYo2ezKey,OEY,182.66 
[21662] COMMIT_SELL,XeYo2ezKey 
[21717] SET_BUY_AMOUNT,XeYo2ezKey,KES,581.12 
[21737] SET_BUY_TRIGGER,XeYo2ezKey,RNE,155.40 
[21793] SELL,XeYo2ezKey,KES,183.56 
[21803] COMMIT_SELL,XeYo2ezKey 
[21868] ADD,XeYo2ezKey,60723.10 
[21875] QUOTE,XeYo2ezKey,OIV 
[21895] CANCEL_SELL,XeYo2ezKey 
[21924] ADD,XeYo2ezKey,86189.02 
[21994] SET_SELL_AMOUNT,XeYo2ezKey,QJZ,667.37 
[22300] SET_SELL_TRIGGER,XeYo2ezKey,QJZ,310.74 
[22351] DISPLAY_SUMMARY,XeYo2ezKey 
[22385] ADD,XeYo2ezKey,82150.82 
[22726] BUY,XeYo2ezKey,IDN,262.56 
[22930] COMMIT_BUY,XeYo2ezKey 
[23049] SET_BUY_AMOUNT,XeYo2ezKey,UTV,459.37 
[23067] SET_BUY_TRIGGER,XeYo2ezKey,KAS,160.82 
[23075] BUY,XeYo2ezKey,ZRH,13.72 
[23151] COMMIT_BUY,XeYo2ezKey 
[23199] SET_SELL_TRIGGER,XeYo2ezKey,XMA,145.53 
[23289] DISPLAY_SUMMARY,XeYo2ezKey 
[23381] DISPLAY_SUMMARY,XeYo2ezKey 
[23387] SET_BUY_TRIGGER,XeYo2ezKey,KHY,99.54 
[23689] QUOTE,XeYo2ezKey,OAS 
[24046] BUY,XeYo2ezKey,XLI,254.17 
[24083] SELL,XeYo2ezKey,CUZ,585.21 
[24284] SET_SELL_AMOUNT,XeYo2ezKey,JVT,722.95 
[24339] CANCEL_SET_SELL,XeYo2ezKey,JVT 
[24409] SET_BUY_TRIGGER,XeYo2ezKey,VDP,183.69 
[24532] BUY,XeYo2ezKey,FZB,9.93 
[24779] COMMIT_BUY,XeYo2ezKey 
[24785] ADD,XeYo2ezKey,71547.09 
[24826] BUY,XeYo2ezKey,IIX,197.09 
[25038] COMMIT_BUY,XeYo2ezKey 
[25095] SELL,XeYo2ezKey,DFE,570.27 
[25325] COMMIT_SELL,XeYo2ezKey 
[25337] SET_SELL_TRIGGER,XeYo2ezKey,INB,0.23 
[25375] ADD,XeYo2ezKey,90374.60 
[25447] QUOTE,XeYo2ezKey,OOR 
[25508] ADD,XeYo2ezKey,60222.13 
[25542] QUOTE,XeYo2ezKey,MQH 
[25544] BUY,XeYo2ezKey,HDR,742.82 
[25637] COMMIT_BUY,XeYo2ezKey 
[25656] ADD,XeYo2ezKey,84708.96 
[25959] QUOTE,XeYo2ezKey,SQS 
[26076] BUY,XeYo2ezKey,FTB,200.71 
[26273] COMMIT_BUY,XeYo2ezKey 
[26552] BUY,XeYo2ezKey,KBN,282.89 
[26617] CANCEL_SET_BUY,XeYo2ezKey,BWL 
[26699] ADD,XeYo2ezKey,71842.73 
[26736] BUY,XeYo2ezKey,DBS,397.93 
[26769] SET_SELL_AMOUNT,XeYo2ezKey,RUN,162.64 
[26826] SET_SELL_TRIGGER,XeYo2ezKey,RUN,150.44 
[26955] ADD,XeYo2ezKey,80407.00 
[27153] CANCEL_SELL,XeYo2ezKey 
[27234] SET_BUY_AMOUNT,XeYo2ezKey,XXQ,232.64 
[27353] SET_BUY_TRIGGER,XeYo2ezKey,RKY,179.57 
[27377] SET_SELL_AMOUNT,XeYo2ezKey,JRJ,73.41 
[27499] BUY,XeYo2ezKey,FRB,535.52 
[27505] CANCEL_SELL,XeYo2ezKey 
[27564] BUY,XeYo2ezKey,ZDB,634.34 
[27624] COMMIT_BUY,XeYo2ezKey 
[27640] QUOTE,XeYo2ezKey,JRJ 
[27666] SET_BUY_TRIGGER,XeYo2ezKey,APU,75.29 
[27795] SELL,XeYo2ezKey,FQP,499.39 
[27819] SET_BUY_TRIGGER,XeYo2ezKey,MQF,154.67 
[28054] QUOTE,XeYo2ezKey,NSW 
[28097] BUY,XeYo2ezKey,JLO,178.07 
[28266] COMMIT_BUY,XeYo2ezKey 
[28326] BUY,XeYo2ezKey,WRJ,430.69 
[28377] QUOTE,XeYo2ezKey,XQG 
[28454] SET_BUY_AMOUNT,XeYo2ezKey,ZTI,295.46 
[28570] DISPLAY_SUMMARY,XeYo2ezKey 
[28835] QUOTE,XeYo2ezKey,KZZ 
[28942] DISPLAY_SUMMARY,XeYo2ezKey 
[29287] SELL,XeYo2ezKey,QAX,693.59 
[29371] COMMIT_SELL,XeYo2ezKey 
[29470] QUOTE,XeYo2ezKey,PRJ 
[29617] CANCEL_BUY,XeYo2ezKey 
[29736] SET_SELL_TRIGGER,XeYo2ezKey,JRJ,70.41 
[29970] SET_SELL_AMOUNT,XeYo2ezKey,ZYR,490.53 
[30095] SELL,XeYo2ezKey,JRJ,191.08 
[30152] COMMIT_SELL,XeYo2ezKey 
[30162] BUY,XeYo2ezKey,JLO,389.82 
[30272] SET_BUY_AMOUNT,XeYo2ezKey,RUN,685.01 
[30346] CANCEL_SET_BUY,XeYo2ezKey,OHG 
[30353] BUY,XeYo2ezKey,CXN,21.49 
[30375] COMMIT_BUY,XeYo2ezKey 
[30454] ADD,XeYo2ezKey,61739.11 
[30467] BUY,XeYo2ezKey,ENQ,204.24 
[30618] CANCEL_SET_SELL,XeYo2ezKey,ZYR 
[30868] SET_SELL_AMOUNT,XeYo2ezKey,KDA,216.70 
[31088] SET_SELL_TRIGGER,XeYo2ezKey,KDA,141.77 
[31167] CANCEL_SET_SELL,XeYo2ezKey,DVU 
[31200] SET_BUY_TRIGGER,XeYo2ezKey,GCL,143.91 
[31286] SET_SELL_TRIGGER,XeYo2ezKey,FLY,72.33 
[31334] SET_SELL_AMOUNT,XeYo2ezKey,FQP,599.59 
[31376] DISPLAY_SUMMARY,XeYo2ezKey 
[31580] BUY,XeYo2ezKey,VND,36.99 
[31613] COMMIT_BUY,XeYo2ezKey 
[31643] SET_BUY_AMOUNT,XeYo2ezKey,DFE,139.22 
[31731] SET_BUY_TRIGGER,XeYo2ezKey,ZMA,105.35 
[31889] SET_BUY_TRIGGER,XeYo2ezKey,GKD,5.41 
[31897] SET_SELL_TRIGGER,XeYo2ezKey,FQP,312.13 
[32002] DISPLAY_SUMMARY,XeYo2ezKey 
[32035] ADD,XeYo2ezKey,73422.77 
[32208] DISPLAY_SUMMARY,XeYo2ezKey 
[32338] ADD,XeYo2ezKey,72039.36 
[32430] QUOTE,XeYo2ezKey,PST 
[32445] SET_BUY_AMOUNT,XeYo2ezKey,KES,448.13 
[32667] DISPLAY_SUMMARY,XeYo2ezKey 
[32681] CANCEL_SET_BUY,XeYo2ezKey,EVR 
[32737] ADD,XeYo2ezKey,79791.01 
[32836] CANCEL_SELL,XeYo2ezKey 
[32986] SET_BUY_AMOUNT,XeYo2ezKey,JQO,87.26 
[33520] SET_BUY_TRIGGER,XeYo2ezKey,EOY,62.18 
[33743] SET_SELL_AMOUNT,XeYo2ezKey,KES,96.57 
[33909] SET_SELL_TRIGGER,XeYo2ezKey,KES,51.56 
[33949] ADD,XeYo2ezKey,74448.90 
[33990] BUY,XeYo2ezKey,NXU,686.61 
[34021] COMMIT_BUY,XeYo2ezKey 
[34105] SET_BUY_AMOUNT,XeYo2ezKey,NHG,575.73 
[34236] BUY,XeYo2ezKey,IHA,208.59 
[34727] QUOTE,XeYo2ezKey,QQI 
[35227] BUY,XeYo2ezKey,GMS,117.29 
[35312] COMMIT_BUY,XeYo2ezKey 
[35331] DISPLAY_SUMMARY,XeYo2ezKey 
[35431] QUOTE,XeYo2ezKey,PJW 
[35439] CANCEL_BUY,XeYo2ezKey 
[35584] ADD,XeYo2ezKey,59102.82 
[35603] BUY,XeYo2ezKey,FZB,522.91 
[35746] CANCEL_SELL,XeYo2ezKey 
[35832] QUOTE,XeYo2ezKey,FTB 
[35884] BUY,XeYo2ezKey,BUL,485.84 
[36089] CANCEL_BUY,XeYo2ezKey 
[36382] BUY,XeYo2ezKey,LHC,249.54 
[36421] COMMIT_BUY,XeYo2ezKey 
[36681] ADD,XeYo2ezKey,107491.64 
[36688] QUOTE,XeYo2ezKey,PRJ 
[37317] BUY,XeYo2ezKey,KMZ,601.42 
[37361] SET_BUY_AMOUNT,XeYo2ezKey,KES,112.56 
[37642] SELL,XeYo2ezKey,BCQ,166.92 
[37809] ADD,XeYo2ezKey,100132.33 
[37856] QUOTE,XeYo2ezKey,XEA 
[37923] CANCEL_SELL,XeYo2ezKey 
[38014] SET_SELL_AMOUNT,XeYo2ezKey,OEY,659.62 
[38081] SET_SELL_TRIGGER,XeYo2ezKey,OEY,231.66 
[38126] SET_SELL_AMOUNT,XeYo2ezKey,ZAN,133.59 
[38214] BUY,XeYo2ezKey,SYM,270.25 
[38257] COMMIT_BUY,XeYo2ezKey 
[38626] QUOTE,XeYo2ezKey,SDW 
[38765] QUOTE,XeYo2ezKey,KAH 
[38869] BUY,XeYo2ezKey,HNW,352.28 
[38895] COMMIT_BUY,XeYo2ezKey 
[38989] SET_BUY_AMOUNT,XeYo2ezKey,CSZ,540.98 
[39278] SET_BUY_TRIGGER,XeYo2ezKey,PUU,440.81 
[39360] ADD,XeYo2ezKey,80355.52 
[39621] QUOTE,XeYo2ezKey,WXV 
[39648] BUY,XeYo2ezKey,OYS,638.12 
[39819] SET_SELL_TRIGGER,XeYo2ezKey,ZAN,111.46 
[39852] DISPLAY_SUMMARY,XeYo2ezKey 
[39855] BUY,XeYo2ezKey,IHW,128.94 
[40056] COMMIT_BUY,XeYo2ezKey 
[40086] SET_SELL_AMOUNT,XeYo2ezKey,CSZ,580.58 
[40169] SET_SELL_TRIGGER,XeYo2ezKey,CSZ,530.94 
[40346] SELL,XeYo2ezKey,ZYR,468.51 
[40421] SET_SELL_TRIGGER,XeYo2ezKey,ZFT,179.78 
[40426] SET_SELL_AMOUNT,XeYo2ezKey,JVT,357.76 
[40497] QUOTE,XeYo2ezKey,FXT 
[40639] SET_BUY_AMOUNT,XeYo2ezKey,PTP,33.60 
[40706] QUOTE,XeYo2ezKey,LFU 
[40745] SET_BUY_AMOUNT,XeYo2ezKey,ZTI,10.98 
[40762] SET_BUY_TRIGGER,XeYo2ezKey,ASJ,6.44 
[40908] SET_SELL_AMOUNT,XeYo2ezKey,OEY,710.59 
[40932] CANCEL_SET_SELL,XeYo2ezKey,OEY 
[40994] DISPLAY_SUMMARY,XeYo2ezKey 
[41053] SET_BUY_AMOUNT,XeYo2ezKey,BYA,663.58 
[41167] SET_BUY_TRIGGER,XeYo2ezKey,WTD,182.57 
[41294] BUY,XeYo2ezKey,EHF,667.16 
[41551] COMMIT_BUY,XeYo2ezKey 
[41560] ADD,XeYo2ezKey,69453.13 
[41649] COMMIT_BUY,XeYo2ezKey 
[41653] SET_SELL_AMOUNT,XeYo2ezKey,QAX,662.33 
[41697] SET_SELL_TRIGGER,XeYo2ezKey,QAX,564.67 
[41889] ADD,XeYo2ezKey,87539.96 
[42002] BUY,XeYo2ezKey,KVK,419.33 
[42122] COMMIT_BUY,XeYo2ezKey 
[42194] BUY,XeYo2ezKey,WQC,352.13 
[42293] QUOTE,XeYo2ezKey,OSC 
[42323] QUOTE,XeYo2ezKey,OYW 
[42520] BUY,XeYo2ezKey,XBL,438.67 
[42812] COMMIT_BUY,XeYo2ezKey 
[42823] CANCEL_SELL,XeYo2ezKey 
[42841] DISPLAY_SUMMARY,XeYo2ezKey 
[42864] DISPLAY_SUMMARY,XeYo2ezKey 
[42927] SET_BUY_TRIGGER,XeYo2ezKey,TQE,61.43 
[42931] DISPLAY_SUMMARY,XeYo2ezKey 
[43081] SET_BUY_TRIGGER,XeYo2ezKey,SPL,163.39 
[43444] QUOTE,XeYo2ezKey,OOR 
[43464] CANCEL_SELL,XeYo2ezKey 
[43663] BUY,XeYo2ezKey,NJI,664.33 
[43719] CANCEL_SET_SELL,XeYo2ezKey,BHQ 
[43726] SET_BUY_AMOUNT,XeYo2ezKey,ZTI,605.29 
[43761] SELL,XeYo2ezKey,GYF,729.72 
[43934] BUY,XeYo2ezKey,YAV,474.34 
[44041] COMMIT_BUY,XeYo2ezKey 
[44099] ADD,XeYo2ezKey,80586.89 
[44243] QUOTE,XeYo2ezKey,KDA 
[44402] QUOTE,XeYo2ezKey,ARP 
[44522] CANCEL_SET_BUY,XeYo2ezKey,HHC 
[44667] SET_SELL_AMOUNT,XeYo2ezKey,JRJ,345.48 
[44881] DISPLAY_SUMMARY,XeYo2ezKey 
[45024] DISPLAY_SUMMARY,XeYo2ezKey 
[45204] DISPLAY_SUMMARY,XeYo2ezKey 
[45319] BUY,XeYo2ezKey,AXK,391.69 
[45485] CANCEL_BUY,XeYo2ezKey 
[45706] ADD,XeYo2ezKey,39319.96 
[45789] BUY,XeYo2ezKey,GJQ,537.52 
[45798] COMMIT_BUY,XeYo2ezKey 
[45813] QUOTE,XeYo2ezKey,PFN 
[45930] SET_BUY_AMOUNT,XeYo2ezKey,JVT,184.47 
[45951] DISPLAY_SUMMARY,XeYo2ezKey 
[46132] ADD,XeYo2ezKey,64296.52 
[46462] BUY,XeYo2ezKey,YBP,548.63 
[46510] COMMIT_SELL,XeYo2ezKey 
[46645] SET_BUY_TRIGGER,XeYo2ezKey,IFU,58.65 
[46817] SET_BUY_TRIGGER,XeYo2ezKey,TYV,187.30 
[46837] QUOTE,XeYo2ezKey,PJW 
[47052] QUOTE,XeYo2ezKey,VJB 
[47143] QUOTE,XeYo2ezKey,WAO 
[47170] QUOTE,XeYo2ezKey,IUN 
[47179] BUY,XeYo2ezKey,NFO,78.97 
[47214] COMMIT_BUY,XeYo2ezKey 
[47304] SET_BUY_AMOUNT,XeYo2ezKey,DFE,312.14 
[47454] BUY,XeYo2ezKey,CTS,117.65 
[47482] SELL,XeYo2ezKey,QJZ,52.28 
[47523] COMMIT_SELL,XeYo2ezKey 
[47619] DISPLAY_SUMMARY,XeYo2ezKey 
[47638] ADD,XeYo2ezKey,76875.73 
[47703] BUY,XeYo2ezKey,XQG,352.78 
[47818] SET_SELL_TRIGGER,XeYo2ezKey,JRJ,127.45 
[48182] CANCEL_SET_SELL,XeYo2ezKey,TVX 
[48188] ADD,XeYo2ezKey,74322.36 
[48469] QUOTE,XeYo2ezKey,UMN 
[48475] BUY,XeYo2ezKey,RNE,525.02 
[48481] COMMIT_BUY,XeYo2ezKey 
[48513] DISPLAY_SUMMARY,XeYo2ezKey 
[48627] SET_BUY_AMOUNT,XeYo2ezKey,CUZ,729.40 
[48663] SET_BUY_TRIGGER,XeYo2ezKey,VMT,357.40 
[48668] QUOTE,XeYo2ezKey,GIK 
[48766] BUY,XeYo2ezKey,GKD,277.60 
[48856] ADD,XeYo2ezKey,78672.92 
[49007] COMMIT_BUY,XeYo2ezKey 
[49194] ADD,XeYo2ezKey,87832.76 
[49204] ADD,XeYo2ezKey,53347.73 
[49215] BUY,XeYo2ezKey,BPP,596.27 
[49253] COMMIT_BUY,XeYo2ezKey 
[49265] DISPLAY_SUMMARY,XeYo2ezKey 
[49281] COMMIT_SELL,XeYo2ezKey 
[49369] QUOTE,XeYo2ezKey,FGF 
