[39] ADD,JZJCffUI5S,78018.97 
[4536] DISPLAY_SUMMARY,JZJCffUI5S 
[4577] SET_SELL_AMOUNT,JZJCffUI5S,KDA,182.82 
[4834] QUOTE,JZJCffUI5S,MWV 
[4975] BUY,JZJCffUI5S,HFI,212.05 
[5011] CANCEL_BUY,JZJCffUI5S 
[5044] SET_BUY_AMOUNT,JZJCffUI5S,JVT,542.44 
[5239] SET_BUY_TRIGGER,JZJCffUI5S,UDN,409.93 
[5497] ADD,JZJCffUI5S,66737.06 
[5512] QUOTE,JZJCffUI5S,GFN 
[5591] SET_BUY_TRIGGER,JZJCffUI5S,WPG,143.60 
[5643] SET_BUY_TRIGGER,JZJCffUI5S,WZY,17.84 
[5670] ADD,JZJCffUI5S,83227.58 
[5673] BUY,JZJCffUI5S,QVK,543.88 
[5685] CANCEL_SELL,JZJCffUI5S 
[5708] ADD,JZJCffUI5S,107951.34 
[5710] BUY,JZJCffUI5S,XFA,186.32 
[5729] COMMIT_BUY,JZJCffUI5S 
[5770] ADD,JZJCffUI5S,50199.80 
[5885] BUY,JZJCffUI5S,ENQ,223.30 
[5892] COMMIT_BUY,JZJCffUI5S 
[5909] BUY,JZJCffUI5S,FDI,615.83 
[5929] COMMIT_BUY,JZJCffUI5S 
[5950] ADD,JZJCffUI5S,83820.69 
[5971] BUY,JZJCffUI5S,PXF,240.87 
[6228] CANCEL_BUY,JZJCffUI5S 
[6256] SET_BUY_AMOUNT,JZJCffUI5S,KES,564.88 
[6269] DISPLAY_SUMMARY,JZJCffUI5S 
[6464] ADD,JZJCffUI5S,92863.78 
[6481] QUOTE,JZJCffUI5S,FGF 
[6530] ADD,JZJCffUI5S,71211.46 
[6651] DISPLAY_SUMMARY,JZJCffUI5S 
[6690] SET_SELL_AMOUNT,JZJCffUI5S,EBS,291.35 
[6747] SET_SELL_TRIGGER,JZJCffUI5S,EBS,236.56 
[6783] ADD,JZJCffUI5S,68357.42 
[7003] QUOTE,JZJCffUI5S,RQT 
[7121] ADD,JZJCffUI5S,66355.78 
[7301] DISPLAY_SUMMARY,JZJCffUI5S 
[7360] BUY,JZJCffUI5S,CLH,442.01 
[7411] COMMIT_BUY,JZJCffUI5S 
[7483] SET_SELL_AMOUNT,JZJCffUI5S,JVT,528.55 
[7570] SET_SELL_TRIGGER,JZJCffUI5S,JVT,468.61 
[8078] DISPLAY_SUMMARY,JZJCffUI5S 
[8463] SET_SELL_TRIGGER,JZJCffUI5S,KWP,61.50 
[8722] ADD,JZJCffUI5S,74008.98 
[8852] BUY,JZJCffUI5S,XXQ,149.25 
[8861] COMMIT_BUY,JZJCffUI5S 
[8951] ADD,JZJCffUI5S,85390.42 
[9060] QUOTE,JZJCffUI5S,PNP 
[9070] SET_BUY_AMOUNT,JZJCffUI5S,GYF,625.84 
[9119] SET_BUY_TRIGGER,JZJCffUI5S,WGP,591.99 
[9181] QUOTE,JZJCffUI5S,XLK 
[9205] BUY,JZJCffUI5S,QLM,64.83 
[9221] CANCEL_BUY,JZJCffUI5S 
[9244] SET_BUY_TRIGGER,JZJCffUI5S,YWK,75.84 
[9588] ADD,JZJCffUI5S,87721.05 
[9776] ADD,JZJCffUI5S,78349.45 
[9917] QUOTE,JZJCffUI5S,IGT 
[9982] QUOTE,JZJCffUI5S,THH 
[10031] BUY,JZJCffUI5S,SOA,337.15 
[10085] CANCEL_BUY,JZJCffUI5S 
[10215] CANCEL_SELL,JZJCffUI5S 
[10235] SET_BUY_AMOUNT,JZJCffUI5S,JVT,28.26 
[10312] SET_BUY_TRIGGER,JZJCffUI5S,PUC,19.17 
[10578] DISPLAY_SUMMARY,JZJCffUI5S 
[10592] BUY,JZJCffUI5S,APY,719.83 
[10631] COMMIT_BUY,JZJCffUI5S 
[10710] SET_BUY_TRIGGER,JZJCffUI5S,YUL,59.66 
[10849] DISPLAY_SUMMARY,JZJCffUI5S 
[10901] BUY,JZJCffUI5S,GCW,278.31 
[10930] SELL,JZJCffUI5S,UTV,713.52 
[11136] COMMIT_SELL,JZJCffUI5S 
[11257] QUOTE,JZJCffUI5S,RVZ 
[11398] SET_BUY_TRIGGER,JZJCffUI5S,VXY,151.53 
[11435] SET_BUY_TRIGGER,JZJCffUI5S,OQW,74.85 
[11458] DISPLAY_SUMMARY,JZJCffUI5S 
[11516] SET_SELL_AMOUNT,JZJCffUI5S,FQP,281.73 
[11518] SET_SELL_TRIGGER,JZJCffUI5S,FQP,196.80 
[11592] DISPLAY_SUMMARY,JZJCffUI5S 
[11631] ADD,JZJCffUI5S,95431.91 
[11750] COMMIT_SELL,JZJCffUI5S 
[11951] BUY,JZJCffUI5S,EBS,382.07 
[11984] COMMIT_BUY,JZJCffUI5S 
[12097] SET_SELL_AMOUNT,JZJCffUI5S,OEY,534.79 
[12137] SET_SELL_TRIGGER,JZJCffUI5S,OEY,411.10 
[12151] DISPLAY_SUMMARY,JZJCffUI5S 
[12359] BUY,JZJCffUI5S,AJR,210.26 
[12392] CANCEL_BUY,JZJCffUI5S 
[12597] QUOTE,JZJCffUI5S,BOS 
[12618] ADD,JZJCffUI5S,63165.65 
[12879] QUOTE,JZJCffUI5S,UMN 
[13045] BUY,JZJCffUI5S,ATW,290.99 
[13243] COMMIT_BUY,JZJCffUI5S 
[13429] QUOTE,JZJCffUI5S,TXB 
[13610] SET_SELL_TRIGGER,JZJCffUI5S,PTP,73.20 
[13686] DISPLAY_SUMMARY,JZJCffUI5S 
[13708] QUOTE,JZJCffUI5S,BWL 
[13712] SET_SELL_TRIGGER,JZJCffUI5S,YKB,52.64 
[13845] SET_SELL_TRIGGER,JZJCffUI5S,JVT,180.69 
[13849] ADD,JZJCffUI5S,63587.60 
[13859] QUOTE,JZJCffUI5S,MIY 
[14263] DISPLAY_SUMMARY,JZJCffUI5S 
[14526] SELL,JZJCffUI5S,QAX,361.92 
[14674] COMMIT_SELL,JZJCffUI5S 
[14823] SET_BUY_AMOUNT,JZJCffUI5S,QJZ,22.22 
[14845] SET_BUY_TRIGGER,JZJCffUI5S,BJL,6.38 
[14897] SET_BUY_AMOUNT,JZJCffUI5S,UTV,487.38 
[14904] SET_BUY_TRIGGER,JZJCffUI5S,UTL,417.14 
[15075] ADD,JZJCffUI5S,62096.50 
[15078] QUOTE,JZJCffUI5S,WCR 
[15191] BUY,JZJCffUI5S,JIO,671.46 
[15374] COMMIT_BUY,JZJCffUI5S 
[15471] SET_BUY_TRIGGER,JZJCffUI5S,EDM,87.05 
[15546] QUOTE,JZJCffUI5S,NJF 
[15547] DISPLAY_SUMMARY,JZJCffUI5S 
[15555] SET_SELL_AMOUNT,JZJCffUI5S,KES,46.44 
[15694] SET_SELL_TRIGGER,JZJCffUI5S,KES,7.43 
[15788] DISPLAY_SUMMARY,JZJCffUI5S 
[15880] DISPLAY_SUMMARY,JZJCffUI5S 
[16097] SET_SELL_AMOUNT,JZJCffUI5S,FQP,67.33 
[16102] SET_SELL_TRIGGER,JZJCffUI5S,FQP,2.82 
[16110] DISPLAY_SUMMARY,JZJCffUI5S 
[16295] DISPLAY_SUMMARY,JZJCffUI5S 
[16382] QUOTE,JZJCffUI5S,BEG 
[16480] BUY,JZJCffUI5S,QWC,206.64 
[16598] COMMIT_BUY,JZJCffUI5S 
[16653] ADD,JZJCffUI5S,65144.03 
[16732] BUY,JZJCffUI5S,SCK,19.88 
[16804] SELL,JZJCffUI5S,JVT,370.68 
[16838] QUOTE,JZJCffUI5S,TKV 
[16857] QUOTE,JZJCffUI5S,PFK 
[16979] QUOTE,JZJCffUI5S,AZN 
[16989] SET_SELL_TRIGGER,JZJCffUI5S,XBL,136.71 
[17120] QUOTE,JZJCffUI5S,MWB 
[17341] QUOTE,JZJCffUI5S,IGT 
[17382] QUOTE,JZJCffUI5S,LJZ 
[17401] SET_BUY_TRIGGER,JZJCffUI5S,GYF,25.46 
[17408] SET_BUY_TRIGGER,JZJCffUI5S,DRO,159.40 
[17536] DISPLAY_SUMMARY,JZJCffUI5S 
[17570] SET_SELL_AMOUNT,JZJCffUI5S,JRJ,370.81 
[17604] DISPLAY_SUMMARY,JZJCffUI5S 
[17877] SET_BUY_TRIGGER,JZJCffUI5S,APU,147.67 
[17968] ADD,JZJCffUI5S,50029.56 
[18036] BUY,JZJCffUI5S,SIK,323.32 
[18043] COMMIT_BUY,JZJCffUI5S 
[18130] SET_SELL_TRIGGER,JZJCffUI5S,JRJ,157.87 
[18186] ADD,JZJCffUI5S,71435.37 
[18352] QUOTE,JZJCffUI5S,FRB 
[18363] QUOTE,JZJCffUI5S,ZPD 
[18513] SET_SELL_AMOUNT,JZJCffUI5S,JRJ,146.21 
[18529] CANCEL_SET_SELL,JZJCffUI5S,JRJ 
[18538] QUOTE,JZJCffUI5S,HEK 
[18555] QUOTE,JZJCffUI5S,GQV 
[18693] QUOTE,JZJCffUI5S,LLO 
[18721] SET_BUY_TRIGGER,JZJCffUI5S,NZS,179.60 
[18958] ADD,JZJCffUI5S,79378.17 
[19011] DISPLAY_SUMMARY,JZJCffUI5S 
[19019] SET_BUY_AMOUNT,JZJCffUI5S,NHG,77.24 
[19102] SET_BUY_TRIGGER,JZJCffUI5S,TKM,75.10 
[19132] SET_BUY_AMOUNT,JZJCffUI5S,QJZ,705.60 
[19140] BUY,JZJCffUI5S,IZS,276.03 
[19407] CANCEL_SET_BUY,JZJCffUI5S,QPR 
[19426] SET_BUY_TRIGGER,JZJCffUI5S,LCP,167.19 
[19699] ADD,JZJCffUI5S,65522.81 
[19872] BUY,JZJCffUI5S,PYB,661.47 
[19941] COMMIT_BUY,JZJCffUI5S 
[19981] QUOTE,JZJCffUI5S,RQT 
[20170] QUOTE,JZJCffUI5S,CXN 
[20176] ADD,JZJCffUI5S,54041.63 
[20213] QUOTE,JZJCffUI5S,PDB 
[20370] SELL,JZJCffUI5S,LFU,315.63 
[20400] CANCEL_SELL,JZJCffUI5S 
[20511] CANCEL_SET_BUY,JZJCffUI5S,BSZ 
[20722] ADD,JZJCffUI5S,79695.20 
[20752] DISPLAY_SUMMARY,JZJCffUI5S 
[21095] SET_BUY_TRIGGER,JZJCffUI5S,VCN,159.98 
[21109] SET_SELL_AMOUNT,JZJCffUI5S,KES,461.50 
[21110] SET_SELL_TRIGGER,JZJCffUI5S,KES,290.81 
[21176] SET_BUY_TRIGGER,JZJCffUI5S,XOL,139.63 
[21395] SELL,JZJCffUI5S,KDA,438.01 
[21531] SELL,JZJCffUI5S,FQP,464.48 
[21697] COMMIT_SELL,JZJCffUI5S 
[21771] SET_BUY_TRIGGER,JZJCffUI5S,OTQ,147.35 
[21989] SET_BUY_AMOUNT,JZJCffUI5S,LFU,489.49 
[22182] SET_BUY_TRIGGER,JZJCffUI5S,NGB,283.57 
[22254] DISPLAY_SUMMARY,JZJCffUI5S 
[22311] CANCEL_SELL,JZJCffUI5S 
[22344] DISPLAY_SUMMARY,JZJCffUI5S 
[22538] QUOTE,JZJCffUI5S,JVT 
[22548] SET_SELL_TRIGGER,JZJCffUI5S,OFP,83.65 
[22713] BUY,JZJCffUI5S,BFU,137.11 
[22746] COMMIT_BUY,JZJCffUI5S 
[22767] DISPLAY_SUMMARY,JZJCffUI5S 
[22940] COMMIT_BUY,JZJCffUI5S 
[23200] ADD,JZJCffUI5S,60442.94 
[23219] QUOTE,JZJCffUI5S,NFO 
[23443] QUOTE,JZJCffUI5S,GHE 
[23646] SET_BUY_TRIGGER,JZJCffUI5S,KES,168.79 
[23668] BUY,JZJCffUI5S,WNH,68.77 
[23771] BUY,JZJCffUI5S,PFN,596.73 
[23787] COMMIT_BUY,JZJCffUI5S 
[23801] QUOTE,JZJCffUI5S,KCA 
[24105] BUY,JZJCffUI5S,OXK,375.89 
[24250] COMMIT_BUY,JZJCffUI5S 
[24600] ADD,JZJCffUI5S,48743.68 
[24933] QUOTE,JZJCffUI5S,QGN 
[25092] QUOTE,JZJCffUI5S,DLQ 
[25291] SET_BUY_TRIGGER,JZJCffUI5S,INB,155.16 
[25414] SET_BUY_TRIGGER,JZJCffUI5S,HEJ,44.72 
[25706] SET_SELL_TRIGGER,JZJCffUI5S,SYM,26.71 
[25751] QUOTE,JZJCffUI5S,JLO 
[25889] BUY,JZJCffUI5S,HCN,417.19 
[25967] SET_BUY_TRIGGER,JZJCffUI5S,QJZ,76.15 
[26033] ADD,JZJCffUI5S,65670.85 
[26043] CANCEL_SET_SELL,JZJCffUI5S,JUV 
[26102] DISPLAY_SUMMARY,JZJCffUI5S 
[26163] QUOTE,JZJCffUI5S,CMD 
[26497] DISPLAY_SUMMARY,JZJCffUI5S 
[26619] SET_SELL_AMOUNT,JZJCffUI5S,LFU,99.22 
[26648] CANCEL_SET_SELL,JZJCffUI5S,LFU 
[26669] SET_BUY_TRIGGER,JZJCffUI5S,VCN,83.69 
[26967] ADD,JZJCffUI5S,73172.83 
[26993] QUOTE,JZJCffUI5S,QPX 
[27129] BUY,JZJCffUI5S,QNW,18.33 
[27230] SET_BUY_TRIGGER,JZJCffUI5S,QOD,92.60 
[27368] DISPLAY_SUMMARY,JZJCffUI5S 
[27384] SET_BUY_AMOUNT,JZJCffUI5S,JCQ,109.81 
[27398] SET_BUY_TRIGGER,JZJCffUI5S,WYD,47.20 
[27440] SET_BUY_AMOUNT,JZJCffUI5S,RUN,263.30 
[27445] SET_BUY_TRIGGER,JZJCffUI5S,ASJ,109.14 
[27594] BUY,JZJCffUI5S,JJW,463.79 
[27613] COMMIT_BUY,JZJCffUI5S 
[27740] BUY,JZJCffUI5S,FRB,331.09 
[27835] SET_BUY_TRIGGER,JZJCffUI5S,XME,65.41 
[27857] DISPLAY_SUMMARY,JZJCffUI5S 
[28022] SET_SELL_TRIGGER,JZJCffUI5S,YOQ,73.61 
[28131] SET_SELL_TRIGGER,JZJCffUI5S,PPY,155.94 
[28249] ADD,JZJCffUI5S,90039.31 
[28544] COMMIT_BUY,JZJCffUI5S 
[28626] ADD,JZJCffUI5S,62873.79 
[28639] QUOTE,JZJCffUI5S,PSJ 
[28789] QUOTE,JZJCffUI5S,AHO 
[28865] SET_BUY_TRIGGER,JZJCffUI5S,QAX,188.81 
[28922] BUY,JZJCffUI5S,ZMA,543.45 
[28924] COMMIT_BUY,JZJCffUI5S 
[28960] QUOTE,JZJCffUI5S,CUZ 
[29124] BUY,JZJCffUI5S,KYT,543.08 
[29148] COMMIT_BUY,JZJCffUI5S 
[29216] QUOTE,JZJCffUI5S,TOL 
[29236] SET_BUY_AMOUNT,JZJCffUI5S,GYF,225.23 
[29279] SET_BUY_TRIGGER,JZJCffUI5S,WQC,35.30 
[29314] DISPLAY_SUMMARY,JZJCffUI5S 
[29387] SELL,JZJCffUI5S,JVT,36.07 
[29429] COMMIT_SELL,JZJCffUI5S 
[29514] ADD,JZJCffUI5S,60298.01 
[29554] CANCEL_SET_SELL,JZJCffUI5S,LLE 
[29626] SET_SELL_AMOUNT,JZJCffUI5S,XXQ,272.23 
[29713] SET_SELL_TRIGGER,JZJCffUI5S,XXQ,270.40 
[29840] SET_BUY_AMOUNT,JZJCffUI5S,LFU,312.56 
[29980] SET_BUY_TRIGGER,JZJCffUI5S,DOI,115.72 
[30037] SET_SELL_AMOUNT,JZJCffUI5S,JRJ,573.90 
[30041] DISPLAY_SUMMARY,JZJCffUI5S 
[30267] BUY,JZJCffUI5S,NOP,398.19 
[30494] COMMIT_BUY,JZJCffUI5S 
[30517] SET_SELL_AMOUNT,JZJCffUI5S,GYF,144.06 
[30818] SET_SELL_TRIGGER,JZJCffUI5S,GYF,26.39 
[31084] SET_BUY_TRIGGER,JZJCffUI5S,PVZ,11.06 
[31132] BUY,JZJCffUI5S,GTB,604.57 
[31239] COMMIT_BUY,JZJCffUI5S 
[31519] SET_SELL_TRIGGER,JZJCffUI5S,YDS,85.04 
[31540] SET_BUY_AMOUNT,JZJCffUI5S,BYA,553.13 
[31618] CANCEL_SET_BUY,JZJCffUI5S,YGK 
[31665] CANCEL_SET_SELL,JZJCffUI5S,SNU 
[31695] QUOTE,JZJCffUI5S,CMD 
[31909] ADD,JZJCffUI5S,70169.59 
[32057] QUOTE,JZJCffUI5S,RRE 
[32093] BUY,JZJCffUI5S,UHO,650.15 
[32148] BUY,JZJCffUI5S,WSG,559.95 
[32256] SELL,JZJCffUI5S,KES,70.73 
[32297] COMMIT_SELL,JZJCffUI5S 
[32353] ADD,JZJCffUI5S,75620.12 
[32529] BUY,JZJCffUI5S,LLO,574.66 
[32550] COMMIT_BUY,JZJCffUI5S 
[32560] DISPLAY_SUMMARY,JZJCffUI5S 
[32601] SET_SELL_TRIGGER,JZJCffUI5S,FVS,150.13 
[32711] COMMIT_SELL,JZJCffUI5S 
[32740] ADD,JZJCffUI5S,64120.19 
[32881] BUY,JZJCffUI5S,KZC,26.85 
[33216] SET_BUY_TRIGGER,JZJCffUI5S,LAM,143.20 
[33279] SET_SELL_AMOUNT,JZJCffUI5S,QJZ,723.07 
[33418] QUOTE,JZJCffUI5S,MOF 
[33730] QUOTE,JZJCffUI5S,CXC 
[33934] SET_SELL_AMOUNT,JZJCffUI5S,BCQ,626.85 
[33952] CANCEL_SET_SELL,JZJCffUI5S,BCQ 
[34030] CANCEL_SET_SELL,JZJCffUI5S,IZJ 
[34035] ADD,JZJCffUI5S,50745.81 
[34068] BUY,JZJCffUI5S,XEA,279.44 
[34110] QUOTE,JZJCffUI5S,JGY 
[34199] SELL,JZJCffUI5S,LFU,571.78 
[34226] BUY,JZJCffUI5S,BEC,614.20 
[34380] COMMIT_BUY,JZJCffUI5S 
[34418] SET_BUY_AMOUNT,JZJCffUI5S,JRJ,395.94 
[34534] SET_BUY_TRIGGER,JZJCffUI5S,YCH,282.86 
[34648] SELL,JZJCffUI5S,RUN,411.24 
[34699] COMMIT_SELL,JZJCffUI5S 
[35018] CANCEL_BUY,JZJCffUI5S 
[35086] ADD,JZJCffUI5S,78156.70 
[35361] QUOTE,JZJCffUI5S,SJH 
[35452] SET_BUY_TRIGGER,JZJCffUI5S,PRJ,62.92 
[35690] SELL,JZJCffUI5S,GYF,705.07 
[36094] DISPLAY_SUMMARY,JZJCffUI5S 
[36126] SELL,JZJCffUI5S,UTV,331.14 
[36316] COMMIT_SELL,JZJCffUI5S 
[36369] DISPLAY_SUMMARY,JZJCffUI5S 
[36758] BUY,JZJCffUI5S,AQO,462.21 
[36955] ADD,JZJCffUI5S,40255.91 
[36989] BUY,JZJCffUI5S,OYS,356.76 
[37190] COMMIT_BUY,JZJCffUI5S 
[37273] SET_BUY_TRIGGER,JZJCffUI5S,MFY,137.97 
[37412] BUY,JZJCffUI5S,ELQ,251.55 
[37446] COMMIT_BUY,JZJCffUI5S 
[37447] SET_SELL_TRIGGER,JZJCffUI5S,QPE,184.55 
[37820] QUOTE,JZJCffUI5S,CXW 
[37849] QUOTE,JZJCffUI5S,JUV 
[37941] CANCEL_SELL,JZJCffUI5S 
[37943] CANCEL_SELL,JZJCffUI5S 
[37991] DISPLAY_SUMMARY,JZJCffUI5S 
[38026] BUY,JZJCffUI5S,TQX,142.80 
[38281] SET_SELL_TRIGGER,JZJCffUI5S,URD,18.82 
[38296] ADD,JZJCffUI5S,82579.69 
[38313] BUY,JZJCffUI5S,CCH,469.29 
[38361] CANCEL_SELL,JZJCffUI5S 
[38553] QUOTE,JZJCffUI5S,SYU 
[38613] BUY,JZJCffUI5S,CMA,126.03 
[38822] COMMIT_BUY,JZJCffUI5S 
[38892] CANCEL_SET_SELL,JZJCffUI5S,OEX 
[38975] SELL,JZJCffUI5S,GYF,503.44 
[39052] SET_SELL_TRIGGER,JZJCffUI5S,PJJ,102.59 
[39068] QUOTE,JZJCffUI5S,NDJ 
[39134] DISPLAY_SUMMARY,JZJCffUI5S 
[39146] BUY,JZJCffUI5S,ZMK,263.85 
[39198] CANCEL_SELL,JZJCffUI5S 
[39271] ADD,JZJCffUI5S,73018.23 
[39638] QUOTE,JZJCffUI5S,BTP 
[39792] DISPLAY_SUMMARY,JZJCffUI5S 
[39915] SET_SELL_AMOUNT,JZJCffUI5S,BYA,347.64 
[39947] SET_SELL_TRIGGER,JZJCffUI5S,BYA,175.58 
[40180] SET_SELL_AMOUNT,JZJCffUI5S,ZTI,552.40 
[40185] SET_SELL_TRIGGER,JZJCffUI5S,ZTI,493.93 
[40353] ADD,JZJCffUI5S,82584.20 
[40650] QUOTE,JZJCffUI5S,ZGC 
[40725] BUY,JZJCffUI5S,NTT,583.45 
[40851] COMMIT_BUY,JZJCffUI5S 
[40907] DISPLAY_SUMMARY,JZJCffUI5S 
[41016] SET_SELL_TRIGGER,JZJCffUI5S,ZMK,22.64 
[41019] CANCEL_SET_BUY,JZJCffUI5S,GUW 
[41163] SELL,JZJCffUI5S,FDI,144.78 
[41216] QUOTE,JZJCffUI5S,TVX 
[41415] SET_SELL_AMOUNT,JZJCffUI5S,DFE,443.41 
[41492] SET_SELL_TRIGGER,JZJCffUI5S,DFE,223.36 
[41500] ADD,JZJCffUI5S,69396.30 
[41670] BUY,JZJCffUI5S,KRX,253.70 
[41811] COMMIT_BUY,JZJCffUI5S 
[41812] ADD,JZJCffUI5S,76957.48 
[41868] QUOTE,JZJCffUI5S,HGG 
[41980] QUOTE,JZJCffUI5S,SOA 
[42248] BUY,JZJCffUI5S,MLT,181.71 
[42303] COMMIT_BUY,JZJCffUI5S 
[42373] SET_SELL_AMOUNT,JZJCffUI5S,RNK,133.45 
[42380] SET_SELL_TRIGGER,JZJCffUI5S,RNK,76.96 
[42409] DISPLAY_SUMMARY,JZJCffUI5S 
[42540] BUY,JZJCffUI5S,TVI,158.94 
[42591] QUOTE,JZJCffUI5S,RUN 
[42831] SET_BUY_TRIGGER,JZJCffUI5S,CGW,27.58 
[42847] QUOTE,JZJCffUI5S,YDS 
[42910] BUY,JZJCffUI5S,PXS,26.17 
[42934] CANCEL_BUY,JZJCffUI5S 
[43058] CANCEL_SELL,JZJCffUI5S 
[43300] BUY,JZJCffUI5S,JUE,464.54 
[43324] SELL,JZJCffUI5S,YJK,470.07 
[43340] CANCEL_BUY,JZJCffUI5S 
[43387] QUOTE,JZJCffUI5S,HBF 
[43410] QUOTE,JZJCffUI5S,XBE 
[43577] BUY,JZJCffUI5S,UCG,344.23 
[43785] CANCEL_SET_SELL,JZJCffUI5S,MVQ 
[43972] CANCEL_SET_BUY,JZJCffUI5S,GDF 
[44076] SET_BUY_AMOUNT,JZJCffUI5S,YJK,385.85 
[44145] QUOTE,JZJCffUI5S,JTY 
[44222] SET_BUY_TRIGGER,JZJCffUI5S,QNK,369.72 
[44274] SET_BUY_AMOUNT,JZJCffUI5S,JVT,5.72 
[44492] SET_BUY_TRIGGER,JZJCffUI5S,ZJQ,0.55 
[44512] SET_SELL_AMOUNT,JZJCffUI5S,ZAN,66.76 
[44532] SET_SELL_TRIGGER,JZJCffUI5S,ZAN,41.47 
[44577] DISPLAY_SUMMARY,JZJCffUI5S 
[44615] DISPLAY_SUMMARY,JZJCffUI5S 
[44645] ADD,JZJCffUI5S,48087.81 
[44725] BUY,JZJCffUI5S,CTT,496.79 
[44755] COMMIT_BUY,JZJCffUI5S 
[44799] SELL,JZJCffUI5S,SUS,525.66 
[44946] SET_BUY_TRIGGER,JZJCffUI5S,IFI,143.05 
[44953] DISPLAY_SUMMARY,JZJCffUI5S 
[44974] QUOTE,JZJCffUI5S,SCK 
[45011] QUOTE,JZJCffUI5S,DBS 
[45123] QUOTE,JZJCffUI5S,PPW 
[45257] BUY,JZJCffUI5S,DWX,211.20 
[45589] QUOTE,JZJCffUI5S,MQH 
[45625] BUY,JZJCffUI5S,DWK,283.22 
[46104] ADD,JZJCffUI5S,70823.58 
[46322] SET_BUY_TRIGGER,JZJCffUI5S,ZNY,102.59 
[46357] DISPLAY_SUMMARY,JZJCffUI5S 
[46370] QUOTE,JZJCffUI5S,ZOW 
[46494] BUY,JZJCffUI5S,YXK,155.50 
[46556] COMMIT_BUY,JZJCffUI5S 
[46607] DISPLAY_SUMMARY,JZJCffUI5S 
[46635] QUOTE,JZJCffUI5S,ZTI 
[46714] BUY,JZJCffUI5S,DWU,611.93 
[46724] COMMIT_BUY,JZJCffUI5S 
[46765] BUY,JZJCffUI5S,PHZ,358.88 
[46839] CANCEL_SET_BUY,JZJCffUI5S,GIK 
[46866] SELL,JZJCffUI5S,SSF,246.85 
[46975] CANCEL_SELL,JZJCffUI5S 
[47053] DISPLAY_SUMMARY,JZJCffUI5S 
[47057] SET_SELL_AMOUNT,JZJCffUI5S,XLK,677.37 
[47294] SET_SELL_TRIGGER,JZJCffUI5S,XLK,220.26 
[47341] SET_BUY_AMOUNT,JZJCffUI5S,AVX,465.66 
[47556] DISPLAY_SUMMARY,JZJCffUI5S 
[47581] ADD,JZJCffUI5S,76263.22 
[47642] QUOTE,JZJCffUI5S,VGW 
[47650] BUY,JZJCffUI5S,XYV,424.33 
[47655] COMMIT_BUY,JZJCffUI5S 
[47777] DISPLAY_SUMMARY,JZJCffUI5S 
[47829] QUOTE,JZJCffUI5S,UXP 
[47927] QUOTE,JZJCffUI5S,WKT 
[48031] BUY,JZJCffUI5S,TTY,670.94 
