[47] ADD,unNg5XYq8A,55953.24 
[9921] CANCEL_SET_SELL,unNg5XYq8A,ZNZ 
[10058] CANCEL_SET_BUY,unNg5XYq8A,XAB 
[10140] SET_BUY_TRIGGER,unNg5XYq8A,OTQ,62.31 
[10199] SELL,unNg5XYq8A,FQP,400.68 
[10225] COMMIT_SELL,unNg5XYq8A 
[10296] ADD,unNg5XYq8A,45382.36 
[10472] SET_BUY_AMOUNT,unNg5XYq8A,KDA,517.04 
[10583] SET_BUY_TRIGGER,unNg5XYq8A,UMN,495.88 
[10587] CANCEL_BUY,unNg5XYq8A 
[10623] BUY,unNg5XYq8A,OAS,32.13 
[10651] QUOTE,unNg5XYq8A,SKV 
[10718] SET_BUY_AMOUNT,unNg5XYq8A,OEY,305.42 
[10786] SET_BUY_TRIGGER,unNg5XYq8A,GRD,303.59 
[10860] DISPLAY_SUMMARY,unNg5XYq8A 
[10922] BUY,unNg5XYq8A,GXT,249.16 
[11132] COMMIT_BUY,unNg5XYq8A 
[11390] CANCEL_BUY,unNg5XYq8A 
[11488] SELL,unNg5XYq8A,JVT,286.05 
[11659] BUY,unNg5XYq8A,UTD,682.47 
[11744] SET_SELL_AMOUNT,unNg5XYq8A,KES,525.55 
[11849] SET_SELL_TRIGGER,unNg5XYq8A,KES,216.77 
[11862] SET_SELL_AMOUNT,unNg5XYq8A,KDA,392.79 
[12033] SET_SELL_TRIGGER,unNg5XYq8A,KDA,254.40 
[12229] CANCEL_BUY,unNg5XYq8A 
[12288] DISPLAY_SUMMARY,unNg5XYq8A 
[12347] BUY,unNg5XYq8A,FMJ,515.33 
[12433] CANCEL_BUY,unNg5XYq8A 
[12486] ADD,unNg5XYq8A,54483.30 
[12701] QUOTE,unNg5XYq8A,MJU 
[12763] QUOTE,unNg5XYq8A,BTD 
[12833] SET_BUY_TRIGGER,unNg5XYq8A,QEO,67.99 
[12943] SELL,unNg5XYq8A,KES,500.37 
[13041] COMMIT_SELL,unNg5XYq8A 
[13065] ADD,unNg5XYq8A,80893.82 
[13105] BUY,unNg5XYq8A,KJH,629.80 
[13192] COMMIT_BUY,unNg5XYq8A 
[13215] QUOTE,unNg5XYq8A,SEW 
[13228] BUY,unNg5XYq8A,SXB,446.83 
[13253] COMMIT_BUY,unNg5XYq8A 
[13326] SELL,unNg5XYq8A,JRJ,38.66 
[13499] CANCEL_SELL,unNg5XYq8A 
[13514] DISPLAY_SUMMARY,unNg5XYq8A 
[13578] DISPLAY_SUMMARY,unNg5XYq8A 
[13741] SELL,unNg5XYq8A,JRJ,228.72 
[13791] CANCEL_SELL,unNg5XYq8A 
[14190] DISPLAY_SUMMARY,unNg5XYq8A 
[14284] SELL,unNg5XYq8A,KDA,481.87 
[14320] COMMIT_SELL,unNg5XYq8A 
[14357] SET_BUY_TRIGGER,unNg5XYq8A,GUW,183.88 
[14563] SET_SELL_AMOUNT,unNg5XYq8A,JCQ,265.02 
[14617] SET_SELL_TRIGGER,unNg5XYq8A,JCQ,186.86 
[14798] SELL,unNg5XYq8A,JVT,483.63 
[14804] COMMIT_SELL,unNg5XYq8A 
[14813] COMMIT_SELL,unNg5XYq8A 
[14821] DISPLAY_SUMMARY,unNg5XYq8A 
[14841] SET_BUY_TRIGGER,unNg5XYq8A,VKB,27.23 
[14938] SELL,unNg5XYq8A,FQP,13.57 
[14943] COMMIT_SELL,unNg5XYq8A 
[14964] DISPLAY_SUMMARY,unNg5XYq8A 
[14997] SELL,unNg5XYq8A,JRJ,150.47 
[15048] COMMIT_SELL,unNg5XYq8A 
[15173] DISPLAY_SUMMARY,unNg5XYq8A 
[15188] ADD,unNg5XYq8A,61781.67 
[15360] QUOTE,unNg5XYq8A,LPW 
[15489] BUY,unNg5XYq8A,PXF,658.48 
[15519] SET_SELL_AMOUNT,unNg5XYq8A,GYF,703.47 
[15557] SET_SELL_TRIGGER,unNg5XYq8A,GYF,493.27 
[15704] ADD,unNg5XYq8A,79451.72 
[15768] BUY,unNg5XYq8A,KEV,542.43 
[16025] COMMIT_BUY,unNg5XYq8A 
[16126] CANCEL_SET_SELL,unNg5XYq8A,CMD 
[16136] SET_BUY_AMOUNT,unNg5XYq8A,KDA,40.62 
[16318] SET_BUY_TRIGGER,unNg5XYq8A,MZT,13.78 
[16320] SET_SELL_TRIGGER,unNg5XYq8A,BXH,154.15 
[16323] ADD,unNg5XYq8A,87885.75 
[16530] BUY,unNg5XYq8A,MRK,279.24 
[16543] COMMIT_BUY,unNg5XYq8A 
[16684] DISPLAY_SUMMARY,unNg5XYq8A 
[16708] SET_SELL_TRIGGER,unNg5XYq8A,ETJ,199.23 
[16808] ADD,unNg5XYq8A,58788.57 
[16888] QUOTE,unNg5XYq8A,CVP 
[16966] CANCEL_BUY,unNg5XYq8A 
[16998] SET_BUY_AMOUNT,unNg5XYq8A,JVT,363.66 
[17009] SET_BUY_TRIGGER,unNg5XYq8A,LJZ,343.35 
[17149] SET_BUY_TRIGGER,unNg5XYq8A,INB,58.08 
[17396] SET_SELL_TRIGGER,unNg5XYq8A,MOM,14.84 
[17420] QUOTE,unNg5XYq8A,SOT 
[17465] DISPLAY_SUMMARY,unNg5XYq8A 
[17525] BUY,unNg5XYq8A,OEM,562.88 
[17688] COMMIT_BUY,unNg5XYq8A 
[17761] SET_BUY_TRIGGER,unNg5XYq8A,EVR,78.11 
[17830] BUY,unNg5XYq8A,LBC,158.43 
[17880] COMMIT_BUY,unNg5XYq8A 
[18004] SET_SELL_AMOUNT,unNg5XYq8A,UTV,727.50 
[18049] SET_SELL_TRIGGER,unNg5XYq8A,UTV,54.92 
[18089] SET_SELL_AMOUNT,unNg5XYq8A,QJZ,262.17 
[18100] SET_SELL_TRIGGER,unNg5XYq8A,QJZ,10.77 
[18133] SET_BUY_AMOUNT,unNg5XYq8A,KDA,146.29 
[18175] SET_BUY_TRIGGER,unNg5XYq8A,VJB,115.92 
[18176] BUY,unNg5XYq8A,TJL,649.47 
[18184] COMMIT_BUY,unNg5XYq8A 
[18547] DISPLAY_SUMMARY,unNg5XYq8A 
[18553] DISPLAY_SUMMARY,unNg5XYq8A 
[18736] SET_SELL_TRIGGER,unNg5XYq8A,XBL,195.32 
[18805] SET_BUY_TRIGGER,unNg5XYq8A,CCH,130.99 
[19060] BUY,unNg5XYq8A,URY,44.63 
[19096] COMMIT_BUY,unNg5XYq8A 
[19149] DISPLAY_SUMMARY,unNg5XYq8A 
[19244] SET_SELL_AMOUNT,unNg5XYq8A,QAX,137.20 
[19506] SET_SELL_TRIGGER,unNg5XYq8A,QAX,125.38 
[19530] DISPLAY_SUMMARY,unNg5XYq8A 
[19635] DISPLAY_SUMMARY,unNg5XYq8A 
[19648] SET_SELL_TRIGGER,unNg5XYq8A,AVX,135.64 
[19849] ADD,unNg5XYq8A,66357.73 
[19958] QUOTE,unNg5XYq8A,WNH 
[20104] SET_SELL_TRIGGER,unNg5XYq8A,KJH,122.68 
[20165] SET_SELL_TRIGGER,unNg5XYq8A,BFU,19.02 
[20312] QUOTE,unNg5XYq8A,FVD 
[20362] BUY,unNg5XYq8A,WYR,396.90 
[20377] SET_SELL_TRIGGER,unNg5XYq8A,KMZ,48.89 
[20572] BUY,unNg5XYq8A,MZT,455.53 
[20573] QUOTE,unNg5XYq8A,KZZ 
[20624] SET_BUY_TRIGGER,unNg5XYq8A,LVV,35.41 
[20840] BUY,unNg5XYq8A,IHW,277.17 
[20899] COMMIT_BUY,unNg5XYq8A 
[20915] BUY,unNg5XYq8A,OLI,406.80 
[20954] COMMIT_BUY,unNg5XYq8A 
[21163] SELL,unNg5XYq8A,RUN,344.27 
[21313] COMMIT_SELL,unNg5XYq8A 
[21334] CANCEL_SELL,unNg5XYq8A 
[21752] SET_SELL_AMOUNT,unNg5XYq8A,KES,225.46 
[21773] QUOTE,unNg5XYq8A,LJM 
[21854] CANCEL_SET_SELL,unNg5XYq8A,KES 
[21883] SELL,unNg5XYq8A,GYF,533.51 
[21980] COMMIT_SELL,unNg5XYq8A 
[22005] SET_BUY_TRIGGER,unNg5XYq8A,VVW,21.76 
[22166] BUY,unNg5XYq8A,STT,320.42 
[22194] COMMIT_BUY,unNg5XYq8A 
[22306] DISPLAY_SUMMARY,unNg5XYq8A 
[22314] SET_SELL_TRIGGER,unNg5XYq8A,KQZ,26.93 
[22321] ADD,unNg5XYq8A,66471.64 
[22475] QUOTE,unNg5XYq8A,BOS 
[22549] ADD,unNg5XYq8A,92451.49 
[22567] BUY,unNg5XYq8A,YEW,320.43 
[22590] SELL,unNg5XYq8A,JRJ,373.34 
[22709] COMMIT_SELL,unNg5XYq8A 
[22791] SET_BUY_AMOUNT,unNg5XYq8A,JRJ,148.09 
[22867] SET_BUY_TRIGGER,unNg5XYq8A,LJM,85.21 
[23008] CANCEL_SET_SELL,unNg5XYq8A,MWB 
[23382] DISPLAY_SUMMARY,unNg5XYq8A 
[23445] SET_BUY_AMOUNT,unNg5XYq8A,GYF,299.40 
[23478] QUOTE,unNg5XYq8A,WJB 
[23543] COMMIT_BUY,unNg5XYq8A 
[23953] SET_BUY_TRIGGER,unNg5XYq8A,MIY,73.60 
[23965] SET_SELL_AMOUNT,unNg5XYq8A,CUZ,220.56 
[24112] SET_SELL_TRIGGER,unNg5XYq8A,CUZ,116.35 
[24135] SELL,unNg5XYq8A,EBS,192.33 
[24195] COMMIT_SELL,unNg5XYq8A 
[24393] SELL,unNg5XYq8A,BYA,659.89 
[24584] COMMIT_SELL,unNg5XYq8A 
[24694] DISPLAY_SUMMARY,unNg5XYq8A 
[24769] SET_BUY_TRIGGER,unNg5XYq8A,STT,154.57 
[25110] SELL,unNg5XYq8A,CUZ,208.75 
[25192] CANCEL_SET_BUY,unNg5XYq8A,MXN 
[25217] DISPLAY_SUMMARY,unNg5XYq8A 
[25394] SET_BUY_AMOUNT,unNg5XYq8A,NHG,292.29 
[25617] SET_BUY_TRIGGER,unNg5XYq8A,TZJ,191.47 
[25630] QUOTE,unNg5XYq8A,MMF 
[25631] SET_SELL_AMOUNT,unNg5XYq8A,KDA,93.05 
[25720] QUOTE,unNg5XYq8A,BFL 
[25727] QUOTE,unNg5XYq8A,SVV 
[25806] ADD,unNg5XYq8A,87801.71 
[25908] BUY,unNg5XYq8A,ZAM,638.58 
[25983] BUY,unNg5XYq8A,SUS,656.04 
[26219] COMMIT_BUY,unNg5XYq8A 
[26331] DISPLAY_SUMMARY,unNg5XYq8A 
[26528] SET_BUY_AMOUNT,unNg5XYq8A,GYF,207.77 
[26609] SET_BUY_TRIGGER,unNg5XYq8A,SJZ,80.24 
[26655] SET_SELL_AMOUNT,unNg5XYq8A,FQP,335.84 
[26656] CANCEL_SET_SELL,unNg5XYq8A,FQP 
[26744] SET_SELL_AMOUNT,unNg5XYq8A,ZAN,439.94 
[26885] SELL,unNg5XYq8A,JCQ,692.40 
[26956] COMMIT_BUY,unNg5XYq8A 
[27107] ADD,unNg5XYq8A,91517.14 
[27151] BUY,unNg5XYq8A,XLV,380.63 
[27192] QUOTE,unNg5XYq8A,ULL 
[27706] BUY,unNg5XYq8A,DLX,6.97 
[27898] SET_SELL_TRIGGER,unNg5XYq8A,ZAN,426.81 
[28168] DISPLAY_SUMMARY,unNg5XYq8A 
[28199] SELL,unNg5XYq8A,OEY,150.20 
[28393] ADD,unNg5XYq8A,65583.03 
[28453] BUY,unNg5XYq8A,UGT,388.14 
[28515] COMMIT_BUY,unNg5XYq8A 
[28696] BUY,unNg5XYq8A,WNH,102.01 
[28697] COMMIT_BUY,unNg5XYq8A 
[28840] ADD,unNg5XYq8A,41657.84 
[28846] QUOTE,unNg5XYq8A,DOI 
[29110] QUOTE,unNg5XYq8A,EJW 
[29353] SET_BUY_AMOUNT,unNg5XYq8A,XXQ,333.54 
[29377] SET_BUY_TRIGGER,unNg5XYq8A,LBC,93.98 
[29550] BUY,unNg5XYq8A,HDR,561.49 
[29695] COMMIT_BUY,unNg5XYq8A 
[29708] DISPLAY_SUMMARY,unNg5XYq8A 
[29793] ADD,unNg5XYq8A,59891.49 
[29814] BUY,unNg5XYq8A,ZJQ,324.45 
[29971] COMMIT_BUY,unNg5XYq8A 
[30066] SET_BUY_AMOUNT,unNg5XYq8A,BYA,500.42 
[30070] DISPLAY_SUMMARY,unNg5XYq8A 
[30110] SELL,unNg5XYq8A,XXQ,546.95 
[30314] COMMIT_SELL,unNg5XYq8A 
[30519] DISPLAY_SUMMARY,unNg5XYq8A 
[30550] SET_SELL_TRIGGER,unNg5XYq8A,QTH,132.98 
[30754] SELL,unNg5XYq8A,DFE,456.50 
[30829] COMMIT_SELL,unNg5XYq8A 
[30942] DISPLAY_SUMMARY,unNg5XYq8A 
[30983] QUOTE,unNg5XYq8A,QVK 
[30991] BUY,unNg5XYq8A,XER,416.18 
[31021] COMMIT_BUY,unNg5XYq8A 
[31152] SELL,unNg5XYq8A,BYA,512.44 
[31185] QUOTE,unNg5XYq8A,BHH 
[31189] SET_BUY_AMOUNT,unNg5XYq8A,CUZ,385.75 
[31331] SET_BUY_TRIGGER,unNg5XYq8A,HFS,310.05 
[31337] SELL,unNg5XYq8A,YJK,387.34 
[31778] COMMIT_SELL,unNg5XYq8A 
[31943] SET_BUY_AMOUNT,unNg5XYq8A,JCQ,503.41 
[31945] SET_BUY_TRIGGER,unNg5XYq8A,KBN,471.87 
[32152] SET_BUY_TRIGGER,unNg5XYq8A,CBX,134.13 
[32242] BUY,unNg5XYq8A,ZQW,147.78 
[32290] COMMIT_BUY,unNg5XYq8A 
[32302] SET_BUY_TRIGGER,unNg5XYq8A,ETB,101.07 
[32446] QUOTE,unNg5XYq8A,ISQ 
[32516] BUY,unNg5XYq8A,GRD,727.62 
[32629] COMMIT_BUY,unNg5XYq8A 
[32703] SET_BUY_AMOUNT,unNg5XYq8A,RGH,91.51 
[32744] SET_BUY_TRIGGER,unNg5XYq8A,XFH,68.29 
[33038] SET_SELL_TRIGGER,unNg5XYq8A,BSZ,10.94 
[33170] DISPLAY_SUMMARY,unNg5XYq8A 
[33204] BUY,unNg5XYq8A,YWK,605.34 
[33315] BUY,unNg5XYq8A,WNX,480.53 
[33473] COMMIT_BUY,unNg5XYq8A 
[33489] CANCEL_SET_BUY,unNg5XYq8A,WQE 
[33597] DISPLAY_SUMMARY,unNg5XYq8A 
[33754] DISPLAY_SUMMARY,unNg5XYq8A 
[33915] SET_BUY_TRIGGER,unNg5XYq8A,MVI,30.65 
[34206] DISPLAY_SUMMARY,unNg5XYq8A 
[34221] SELL,unNg5XYq8A,ZAN,10.89 
[34241] COMMIT_SELL,unNg5XYq8A 
[34267] DISPLAY_SUMMARY,unNg5XYq8A 
[34521] SET_BUY_TRIGGER,unNg5XYq8A,JUN,145.67 
[34554] SET_SELL_TRIGGER,unNg5XYq8A,AVI,103.63 
[34588] DISPLAY_SUMMARY,unNg5XYq8A 
[34651] QUOTE,unNg5XYq8A,VND 
[34654] QUOTE,unNg5XYq8A,AMI 
[34670] BUY,unNg5XYq8A,AVI,19.54 
[34937] COMMIT_BUY,unNg5XYq8A 
[34950] ADD,unNg5XYq8A,42385.45 
[34973] BUY,unNg5XYq8A,YVS,576.11 
[35006] ADD,unNg5XYq8A,76417.82 
[35059] BUY,unNg5XYq8A,RUN,676.06 
[35076] COMMIT_BUY,unNg5XYq8A 
[35094] DISPLAY_SUMMARY,unNg5XYq8A 
[35196] SET_SELL_AMOUNT,unNg5XYq8A,QAX,110.83 
[35221] SET_SELL_TRIGGER,unNg5XYq8A,QAX,56.47 
[35437] SET_SELL_TRIGGER,unNg5XYq8A,GGY,39.87 
[35669] ADD,unNg5XYq8A,54707.58 
[35705] QUOTE,unNg5XYq8A,KIP 
[35717] SELL,unNg5XYq8A,KES,12.29 
[35779] CANCEL_SELL,unNg5XYq8A 
[35833] SET_BUY_TRIGGER,unNg5XYq8A,IDX,158.42 
[35863] ADD,unNg5XYq8A,74763.17 
[36009] QUOTE,unNg5XYq8A,XXT 
[36297] SET_BUY_AMOUNT,unNg5XYq8A,BYA,486.72 
[36462] SET_BUY_TRIGGER,unNg5XYq8A,LLE,453.89 
[36597] SELL,unNg5XYq8A,JZJ,95.26 
[36638] COMMIT_SELL,unNg5XYq8A 
[36657] DISPLAY_SUMMARY,unNg5XYq8A 
[36792] BUY,unNg5XYq8A,KYT,110.33 
[37048] COMMIT_BUY,unNg5XYq8A 
[37108] DISPLAY_SUMMARY,unNg5XYq8A 
[37116] SELL,unNg5XYq8A,JZJ,126.69 
[37210] SET_BUY_TRIGGER,unNg5XYq8A,URD,90.30 
[37277] ADD,unNg5XYq8A,75526.90 
[37565] BUY,unNg5XYq8A,JFJ,551.34 
[37734] SELL,unNg5XYq8A,XLK,745.42 
[37911] COMMIT_SELL,unNg5XYq8A 
[37938] DISPLAY_SUMMARY,unNg5XYq8A 
[38013] ADD,unNg5XYq8A,90412.65 
[38232] BUY,unNg5XYq8A,FMJ,246.69 
[38378] COMMIT_BUY,unNg5XYq8A 
[38380] BUY,unNg5XYq8A,GUB,74.75 
[38554] COMMIT_BUY,unNg5XYq8A 
[38599] SET_BUY_AMOUNT,unNg5XYq8A,BYA,333.33 
[38677] SET_BUY_TRIGGER,unNg5XYq8A,RWM,33.74 
[38686] BUY,unNg5XYq8A,DWC,597.54 
[38854] CANCEL_SET_SELL,unNg5XYq8A,NGB 
[38919] QUOTE,unNg5XYq8A,NDD 
[39004] CANCEL_BUY,unNg5XYq8A 
[39043] DISPLAY_SUMMARY,unNg5XYq8A 
[39048] ADD,unNg5XYq8A,80257.01 
[39092] QUOTE,unNg5XYq8A,PST 
[39124] CANCEL_BUY,unNg5XYq8A 
[39178] DISPLAY_SUMMARY,unNg5XYq8A 
[39194] ADD,unNg5XYq8A,46580.50 
[39547] BUY,unNg5XYq8A,VOU,635.12 
[39581] COMMIT_BUY,unNg5XYq8A 
[39628] CANCEL_SET_BUY,unNg5XYq8A,NBX 
[39636] SET_SELL_AMOUNT,unNg5XYq8A,OPN,171.54 
[39644] SELL,unNg5XYq8A,ZTI,721.20 
[39714] COMMIT_SELL,unNg5XYq8A 
[39722] SELL,unNg5XYq8A,GYF,62.30 
[39763] BUY,unNg5XYq8A,XLI,359.50 
[39893] COMMIT_BUY,unNg5XYq8A 
[39904] ADD,unNg5XYq8A,102153.19 
[39942] BUY,unNg5XYq8A,AAC,159.52 
[40100] COMMIT_BUY,unNg5XYq8A 
[40124] CANCEL_SET_SELL,unNg5XYq8A,OPN 
[40235] QUOTE,unNg5XYq8A,PTP 
[40294] COMMIT_BUY,unNg5XYq8A 
[40324] BUY,unNg5XYq8A,YRO,622.21 
[40337] COMMIT_BUY,unNg5XYq8A 
[40352] ADD,unNg5XYq8A,79228.72 
[40511] QUOTE,unNg5XYq8A,JMG 
[40582] ADD,unNg5XYq8A,64504.53 
[40643] QUOTE,unNg5XYq8A,SCK 
[40654] COMMIT_SELL,unNg5XYq8A 
[40704] DISPLAY_SUMMARY,unNg5XYq8A 
[40858] ADD,unNg5XYq8A,70780.68 
[40903] BUY,unNg5XYq8A,LAW,648.25 
[40991] COMMIT_BUY,unNg5XYq8A 
[41105] SELL,unNg5XYq8A,CSZ,379.08 
[41131] COMMIT_SELL,unNg5XYq8A 
[41215] ADD,unNg5XYq8A,73858.97 
[41314] BUY,unNg5XYq8A,HHG,719.90 
[41322] CANCEL_BUY,unNg5XYq8A 
[41394] DISPLAY_SUMMARY,unNg5XYq8A 
[41538] DISPLAY_SUMMARY,unNg5XYq8A 
[41543] SET_BUY_TRIGGER,unNg5XYq8A,ZHB,166.30 
[41570] SET_SELL_AMOUNT,unNg5XYq8A,FDI,202.53 
[41591] SET_SELL_TRIGGER,unNg5XYq8A,FDI,108.01 
[41688] BUY,unNg5XYq8A,OTQ,647.63 
[41749] COMMIT_SELL,unNg5XYq8A 
[41888] ADD,unNg5XYq8A,73820.05 
[41898] QUOTE,unNg5XYq8A,KZZ 
[42307] SET_BUY_AMOUNT,unNg5XYq8A,LFU,287.91 
[42403] CANCEL_SET_BUY,unNg5XYq8A,RDK 
[42412] BUY,unNg5XYq8A,KXF,52.26 
[42530] COMMIT_BUY,unNg5XYq8A 
[42556] QUOTE,unNg5XYq8A,ROW 
[42575] QUOTE,unNg5XYq8A,VJB 
[42816] CANCEL_SET_SELL,unNg5XYq8A,FLY 
[42885] SET_SELL_TRIGGER,unNg5XYq8A,SWJ,167.41 
