[11] ADD,hBEPbg75Qp,80180.01 
[3743] ADD,hBEPbg75Qp,65726.65 
[4030] BUY,hBEPbg75Qp,IVV,614.63 
[4042] COMMIT_BUY,hBEPbg75Qp 
[4117] SET_SELL_AMOUNT,hBEPbg75Qp,KES,241.53 
[4501] SET_SELL_TRIGGER,hBEPbg75Qp,KES,59.64 
[4514] DISPLAY_SUMMARY,hBEPbg75Qp 
[4528] DISPLAY_SUMMARY,hBEPbg75Qp 
[4678] QUOTE,hBEPbg75Qp,CXC 
[4798] QUOTE,hBEPbg75Qp,BMW 
[5087] BUY,hBEPbg75Qp,FPP,612.92 
[5095] SET_BUY_TRIGGER,hBEPbg75Qp,QVA,41.69 
[5311] BUY,hBEPbg75Qp,YIU,428.12 
[5435] COMMIT_BUY,hBEPbg75Qp 
[5638] ADD,hBEPbg75Qp,74861.80 
[5702] QUOTE,hBEPbg75Qp,OGB 
[5715] QUOTE,hBEPbg75Qp,DBR 
[5757] BUY,hBEPbg75Qp,HZP,612.93 
[5814] QUOTE,hBEPbg75Qp,OXK 
[6156] ADD,hBEPbg75Qp,71323.39 
[6238] QUOTE,hBEPbg75Qp,FIY 
[6297] SET_BUY_TRIGGER,hBEPbg75Qp,BHP,93.49 
[6366] SET_BUY_TRIGGER,hBEPbg75Qp,POI,159.03 
[6399] CANCEL_SET_SELL,hBEPbg75Qp,DNJ 
[6422] DISPLAY_SUMMARY,hBEPbg75Qp 
[6476] DISPLAY_SUMMARY,hBEPbg75Qp 
[6694] DISPLAY_SUMMARY,hBEPbg75Qp 
[6711] QUOTE,hBEPbg75Qp,CLQ 
[6819] BUY,hBEPbg75Qp,EUM,54.76 
[6932] COMMIT_BUY,hBEPbg75Qp 
[7011] ADD,hBEPbg75Qp,97526.55 
[7235] BUY,hBEPbg75Qp,PST,525.80 
[7333] SET_BUY_AMOUNT,hBEPbg75Qp,FQP,303.88 
[7415] SELL,hBEPbg75Qp,QJZ,39.37 
[7451] SET_BUY_AMOUNT,hBEPbg75Qp,KDA,40.50 
[7555] SET_BUY_TRIGGER,hBEPbg75Qp,CBY,11.85 
[7693] SELL,hBEPbg75Qp,JVT,0.33 
[7704] SET_SELL_AMOUNT,hBEPbg75Qp,KES,648.98 
[7706] SET_SELL_TRIGGER,hBEPbg75Qp,KES,490.25 
[7732] COMMIT_BUY,hBEPbg75Qp 
[7781] SET_SELL_TRIGGER,hBEPbg75Qp,LAW,71.17 
[7788] DISPLAY_SUMMARY,hBEPbg75Qp 
[7900] SELL,hBEPbg75Qp,JVT,675.05 
[8107] CANCEL_SELL,hBEPbg75Qp 
[8125] DISPLAY_SUMMARY,hBEPbg75Qp 
[8219] QUOTE,hBEPbg75Qp,NHG 
[8706] SET_BUY_AMOUNT,hBEPbg75Qp,KDA,286.54 
[8715] BUY,hBEPbg75Qp,MPP,456.08 
[8869] SET_SELL_TRIGGER,hBEPbg75Qp,CDF,120.24 
[8879] SET_SELL_TRIGGER,hBEPbg75Qp,YRL,152.99 
[9048] DISPLAY_SUMMARY,hBEPbg75Qp 
[9061] BUY,hBEPbg75Qp,WZY,292.60 
[9067] SET_SELL_TRIGGER,hBEPbg75Qp,WJS,10.29 
[9160] SET_SELL_AMOUNT,hBEPbg75Qp,KES,543.24 
[9166] SET_SELL_TRIGGER,hBEPbg75Qp,KES,248.74 
[9331] ADD,hBEPbg75Qp,61738.75 
[9338] SET_SELL_AMOUNT,hBEPbg75Qp,FQP,491.21 
[9520] CANCEL_SET_SELL,hBEPbg75Qp,FQP 
[9627] CANCEL_SET_BUY,hBEPbg75Qp,LUT 
[9657] CANCEL_SET_BUY,hBEPbg75Qp,CZQ 
[9666] SET_BUY_TRIGGER,hBEPbg75Qp,AIN,149.55 
[9753] SET_SELL_AMOUNT,hBEPbg75Qp,FQP,210.66 
[9757] SET_SELL_TRIGGER,hBEPbg75Qp,FQP,128.18 
[9784] DISPLAY_SUMMARY,hBEPbg75Qp 
[10109] QUOTE,hBEPbg75Qp,NUL 
[10190] BUY,hBEPbg75Qp,NTB,92.24 
[10223] COMMIT_BUY,hBEPbg75Qp 
[10404] SET_SELL_AMOUNT,hBEPbg75Qp,GYF,405.15 
[10667] SET_SELL_TRIGGER,hBEPbg75Qp,GYF,205.32 
[10791] ADD,hBEPbg75Qp,78277.18 
[10826] DISPLAY_SUMMARY,hBEPbg75Qp 
[10955] QUOTE,hBEPbg75Qp,IWL 
[11088] SET_BUY_TRIGGER,hBEPbg75Qp,GYT,46.72 
[11130] QUOTE,hBEPbg75Qp,KVJ 
[11282] CANCEL_SET_BUY,hBEPbg75Qp,TOZ 
[11294] QUOTE,hBEPbg75Qp,ZTR 
[11421] DISPLAY_SUMMARY,hBEPbg75Qp 
[11520] SET_SELL_AMOUNT,hBEPbg75Qp,OEY,629.85 
[11565] SET_SELL_TRIGGER,hBEPbg75Qp,OEY,301.93 
[11613] SELL,hBEPbg75Qp,JVT,70.39 
[11621] COMMIT_SELL,hBEPbg75Qp 
[11646] ADD,hBEPbg75Qp,55257.05 
[11762] QUOTE,hBEPbg75Qp,GCL 
[11903] SET_SELL_AMOUNT,hBEPbg75Qp,OEY,232.84 
[12295] SET_SELL_TRIGGER,hBEPbg75Qp,OEY,75.53 
[12306] BUY,hBEPbg75Qp,KQZ,315.76 
[12345] COMMIT_BUY,hBEPbg75Qp 
[12380] SET_BUY_TRIGGER,hBEPbg75Qp,MIU,16.63 
[12464] ADD,hBEPbg75Qp,44465.10 
[12677] BUY,hBEPbg75Qp,IEQ,365.48 
[12959] COMMIT_BUY,hBEPbg75Qp 
[13034] SET_BUY_TRIGGER,hBEPbg75Qp,HIW,105.84 
[13039] ADD,hBEPbg75Qp,71970.18 
[13074] QUOTE,hBEPbg75Qp,AJL 
[13115] BUY,hBEPbg75Qp,JDO,639.02 
[13206] QUOTE,hBEPbg75Qp,MXD 
[13238] ADD,hBEPbg75Qp,97552.38 
[13270] SET_SELL_AMOUNT,hBEPbg75Qp,QJZ,536.36 
[13298] SET_SELL_TRIGGER,hBEPbg75Qp,QJZ,384.81 
[13539] SET_BUY_AMOUNT,hBEPbg75Qp,KDA,78.56 
[13592] QUOTE,hBEPbg75Qp,LLF 
[13627] SET_BUY_AMOUNT,hBEPbg75Qp,KDA,185.52 
[13727] SET_BUY_TRIGGER,hBEPbg75Qp,QTU,3.66 
[13863] CANCEL_SET_BUY,hBEPbg75Qp,UDM 
[14018] BUY,hBEPbg75Qp,PGV,693.39 
[14031] COMMIT_BUY,hBEPbg75Qp 
[14327] QUOTE,hBEPbg75Qp,WPG 
[14573] QUOTE,hBEPbg75Qp,YBP 
[14579] SET_SELL_AMOUNT,hBEPbg75Qp,FQP,231.61 
[14759] SET_SELL_TRIGGER,hBEPbg75Qp,FQP,139.70 
[14966] ADD,hBEPbg75Qp,70372.28 
[15259] QUOTE,hBEPbg75Qp,OYS 
[15394] ADD,hBEPbg75Qp,53573.38 
[15415] BUY,hBEPbg75Qp,KPE,479.11 
[15494] COMMIT_BUY,hBEPbg75Qp 
[15511] ADD,hBEPbg75Qp,55519.50 
[15514] BUY,hBEPbg75Qp,JGY,601.41 
[15569] COMMIT_BUY,hBEPbg75Qp 
[15626] SET_BUY_TRIGGER,hBEPbg75Qp,SJZ,180.02 
[16013] QUOTE,hBEPbg75Qp,MLT 
[16141] DISPLAY_SUMMARY,hBEPbg75Qp 
[16186] BUY,hBEPbg75Qp,YTO,115.29 
[16407] COMMIT_BUY,hBEPbg75Qp 
[16466] DISPLAY_SUMMARY,hBEPbg75Qp 
[16535] DISPLAY_SUMMARY,hBEPbg75Qp 
[16644] BUY,hBEPbg75Qp,JDO,366.00 
[16666] CANCEL_BUY,hBEPbg75Qp 
[16842] ADD,hBEPbg75Qp,59275.67 
[16846] BUY,hBEPbg75Qp,CAX,481.13 
[17074] CANCEL_SET_BUY,hBEPbg75Qp,WCY 
[17187] QUOTE,hBEPbg75Qp,URI 
[17264] SET_SELL_AMOUNT,hBEPbg75Qp,KDA,267.28 
[17552] SET_SELL_TRIGGER,hBEPbg75Qp,KDA,35.84 
[17763] BUY,hBEPbg75Qp,NNW,291.28 
[17848] COMMIT_BUY,hBEPbg75Qp 
[18025] DISPLAY_SUMMARY,hBEPbg75Qp 
[18156] SELL,hBEPbg75Qp,QAX,205.33 
[18395] COMMIT_SELL,hBEPbg75Qp 
[18451] DISPLAY_SUMMARY,hBEPbg75Qp 
[18511] COMMIT_SELL,hBEPbg75Qp 
[18542] QUOTE,hBEPbg75Qp,GZQ 
[18572] QUOTE,hBEPbg75Qp,ADY 
[18573] QUOTE,hBEPbg75Qp,KDA 
[18673] BUY,hBEPbg75Qp,FMJ,566.23 
[18845] BUY,hBEPbg75Qp,WJB,679.55 
[18927] CANCEL_SET_SELL,hBEPbg75Qp,IDX 
[18973] SELL,hBEPbg75Qp,EBS,249.96 
[19032] COMMIT_SELL,hBEPbg75Qp 
[19034] DISPLAY_SUMMARY,hBEPbg75Qp 
[19216] DISPLAY_SUMMARY,hBEPbg75Qp 
[19257] SET_SELL_TRIGGER,hBEPbg75Qp,PFK,37.72 
[19586] DISPLAY_SUMMARY,hBEPbg75Qp 
[19810] BUY,hBEPbg75Qp,DHA,727.08 
[19832] COMMIT_BUY,hBEPbg75Qp 
[19873] SET_BUY_AMOUNT,hBEPbg75Qp,GYF,333.16 
[19910] SET_BUY_TRIGGER,hBEPbg75Qp,JIC,251.72 
[19935] ADD,hBEPbg75Qp,50451.02 
[19940] BUY,hBEPbg75Qp,ARP,114.84 
[20034] QUOTE,hBEPbg75Qp,SMS 
[20035] ADD,hBEPbg75Qp,93681.27 
[20043] BUY,hBEPbg75Qp,NJF,300.29 
[20117] SET_SELL_AMOUNT,hBEPbg75Qp,QJZ,554.70 
[20331] SET_SELL_TRIGGER,hBEPbg75Qp,QJZ,231.17 
[20391] BUY,hBEPbg75Qp,WYD,269.28 
[20472] SET_SELL_TRIGGER,hBEPbg75Qp,XYV,32.82 
[20516] DISPLAY_SUMMARY,hBEPbg75Qp 
[20529] DISPLAY_SUMMARY,hBEPbg75Qp 
[20727] DISPLAY_SUMMARY,hBEPbg75Qp 
[20740] SET_SELL_TRIGGER,hBEPbg75Qp,MIY,69.43 
[20784] SET_SELL_TRIGGER,hBEPbg75Qp,RRZ,60.64 
[20792] SET_BUY_TRIGGER,hBEPbg75Qp,QGL,184.27 
[21321] ADD,hBEPbg75Qp,63184.50 
[21361] QUOTE,hBEPbg75Qp,MFY 
[21397] QUOTE,hBEPbg75Qp,FIY 
[21514] BUY,hBEPbg75Qp,FSD,617.29 
[21600] COMMIT_BUY,hBEPbg75Qp 
[21608] QUOTE,hBEPbg75Qp,QVA 
[21609] BUY,hBEPbg75Qp,CJV,493.09 
[21745] ADD,hBEPbg75Qp,49389.80 
[21847] ADD,hBEPbg75Qp,70570.08 
[22137] BUY,hBEPbg75Qp,VAT,708.98 
[22173] COMMIT_BUY,hBEPbg75Qp 
[22600] QUOTE,hBEPbg75Qp,SFO 
[22621] ADD,hBEPbg75Qp,101911.60 
[22705] BUY,hBEPbg75Qp,UEC,141.58 
[22821] CANCEL_BUY,hBEPbg75Qp 
[22822] SELL,hBEPbg75Qp,JCQ,342.41 
[23129] CANCEL_SET_SELL,hBEPbg75Qp,ZCO 
[23165] QUOTE,hBEPbg75Qp,TCP 
[23279] QUOTE,hBEPbg75Qp,BFU 
[23291] QUOTE,hBEPbg75Qp,FDI 
[23297] BUY,hBEPbg75Qp,PHJ,523.17 
[23309] QUOTE,hBEPbg75Qp,YMG 
[23341] BUY,hBEPbg75Qp,HCN,182.49 
[23386] COMMIT_BUY,hBEPbg75Qp 
[23638] DISPLAY_SUMMARY,hBEPbg75Qp 
[23975] BUY,hBEPbg75Qp,BHH,398.36 
[24044] CANCEL_BUY,hBEPbg75Qp 
[24073] ADD,hBEPbg75Qp,72980.61 
[24100] QUOTE,hBEPbg75Qp,PUO 
[24133] SET_SELL_AMOUNT,hBEPbg75Qp,JQO,397.98 
[24302] SET_SELL_TRIGGER,hBEPbg75Qp,JQO,13.71 
[24518] SELL,hBEPbg75Qp,ZAN,296.50 
[24825] QUOTE,hBEPbg75Qp,QID 
[24872] SET_BUY_AMOUNT,hBEPbg75Qp,NHG,254.27 
[24889] SET_BUY_TRIGGER,hBEPbg75Qp,ZSV,226.64 
[24896] SET_BUY_AMOUNT,hBEPbg75Qp,JCQ,454.74 
[24930] QUOTE,hBEPbg75Qp,ZTR 
[25003] BUY,hBEPbg75Qp,RVU,573.63 
[25227] COMMIT_BUY,hBEPbg75Qp 
[25332] BUY,hBEPbg75Qp,OAV,527.55 
[25378] CANCEL_SELL,hBEPbg75Qp 
[25530] BUY,hBEPbg75Qp,VNN,693.34 
[25921] SELL,hBEPbg75Qp,CUZ,464.39 
[26439] SET_SELL_TRIGGER,hBEPbg75Qp,LLO,151.29 
[26471] ADD,hBEPbg75Qp,56773.78 
[26532] QUOTE,hBEPbg75Qp,NAW 
[26767] BUY,hBEPbg75Qp,WKG,7.48 
[26839] CANCEL_BUY,hBEPbg75Qp 
[26992] ADD,hBEPbg75Qp,80279.81 
[27106] SET_SELL_AMOUNT,hBEPbg75Qp,NHG,528.60 
[27237] SET_SELL_TRIGGER,hBEPbg75Qp,NHG,297.18 
[27307] BUY,hBEPbg75Qp,MVY,242.27 
[27553] COMMIT_BUY,hBEPbg75Qp 
[27574] SET_BUY_TRIGGER,hBEPbg75Qp,SSF,419.19 
[27575] SELL,hBEPbg75Qp,QAX,175.79 
[27767] QUOTE,hBEPbg75Qp,OAS 
[27887] DISPLAY_SUMMARY,hBEPbg75Qp 
[27907] ADD,hBEPbg75Qp,59274.64 
[28008] QUOTE,hBEPbg75Qp,JGF 
[28178] BUY,hBEPbg75Qp,LJZ,35.34 
[28196] QUOTE,hBEPbg75Qp,BFL 
[28545] CANCEL_SET_BUY,hBEPbg75Qp,IFN 
[28711] ADD,hBEPbg75Qp,74469.09 
[28712] BUY,hBEPbg75Qp,KHY,306.22 
[28949] CANCEL_BUY,hBEPbg75Qp 
[29063] DISPLAY_SUMMARY,hBEPbg75Qp 
[29167] SELL,hBEPbg75Qp,KDA,660.14 
[29213] SELL,hBEPbg75Qp,JVT,449.12 
[29217] CANCEL_SELL,hBEPbg75Qp 
[29468] SET_SELL_TRIGGER,hBEPbg75Qp,YGK,3.66 
[29582] QUOTE,hBEPbg75Qp,SWJ 
[29593] SET_SELL_TRIGGER,hBEPbg75Qp,DXL,191.98 
[29818] SET_SELL_AMOUNT,hBEPbg75Qp,DFE,299.51 
[29944] SET_SELL_TRIGGER,hBEPbg75Qp,DFE,157.64 
[29982] SET_BUY_TRIGGER,hBEPbg75Qp,KYX,23.19 
[30024] SELL,hBEPbg75Qp,CUZ,321.42 
[30123] COMMIT_SELL,hBEPbg75Qp 
[30171] ADD,hBEPbg75Qp,71041.12 
[30379] QUOTE,hBEPbg75Qp,MIU 
[30397] BUY,hBEPbg75Qp,CEC,178.81 
[30411] CANCEL_SELL,hBEPbg75Qp 
[30442] SET_BUY_TRIGGER,hBEPbg75Qp,AJX,21.36 
[30518] DISPLAY_SUMMARY,hBEPbg75Qp 
[30556] SET_SELL_AMOUNT,hBEPbg75Qp,GYF,28.30 
[30681] QUOTE,hBEPbg75Qp,HSJ 
[30707] SET_BUY_AMOUNT,hBEPbg75Qp,NHG,161.49 
[30725] QUOTE,hBEPbg75Qp,KMZ 
[30915] SET_BUY_AMOUNT,hBEPbg75Qp,JRJ,630.39 
[30916] SET_BUY_TRIGGER,hBEPbg75Qp,ERF,309.52 
[30977] QUOTE,hBEPbg75Qp,MER 
[31178] ADD,hBEPbg75Qp,70675.08 
[31251] QUOTE,hBEPbg75Qp,QAX 
[31359] BUY,hBEPbg75Qp,OIV,87.90 
[31533] COMMIT_BUY,hBEPbg75Qp 
[31857] SET_BUY_TRIGGER,hBEPbg75Qp,NJB,107.77 
[31951] COMMIT_BUY,hBEPbg75Qp 
[32010] BUY,hBEPbg75Qp,LPR,491.48 
[32094] COMMIT_BUY,hBEPbg75Qp 
[32097] ADD,hBEPbg75Qp,65698.79 
[32222] BUY,hBEPbg75Qp,IPJ,264.96 
[32500] ADD,hBEPbg75Qp,50033.92 
[32536] BUY,hBEPbg75Qp,DOI,489.29 
[32589] COMMIT_BUY,hBEPbg75Qp 
[32755] DISPLAY_SUMMARY,hBEPbg75Qp 
[33133] CANCEL_BUY,hBEPbg75Qp 
[33270] DISPLAY_SUMMARY,hBEPbg75Qp 
[33311] DISPLAY_SUMMARY,hBEPbg75Qp 
[33379] DISPLAY_SUMMARY,hBEPbg75Qp 
[33578] BUY,hBEPbg75Qp,JUN,23.83 
[33654] COMMIT_BUY,hBEPbg75Qp 
[33804] BUY,hBEPbg75Qp,ETJ,672.39 
[33812] COMMIT_BUY,hBEPbg75Qp 
[33886] ADD,hBEPbg75Qp,81156.97 
[33908] CANCEL_SET_SELL,hBEPbg75Qp,GYF 
[34010] SET_SELL_AMOUNT,hBEPbg75Qp,KDA,162.18 
[34080] SET_SELL_TRIGGER,hBEPbg75Qp,KDA,70.40 
[34243] BUY,hBEPbg75Qp,QZN,259.05 
[34306] CANCEL_SELL,hBEPbg75Qp 
[34435] SET_BUY_AMOUNT,hBEPbg75Qp,QJZ,238.48 
[34436] DISPLAY_SUMMARY,hBEPbg75Qp 
[34570] SET_SELL_AMOUNT,hBEPbg75Qp,LFU,180.08 
[34703] CANCEL_SET_SELL,hBEPbg75Qp,LFU 
[34773] BUY,hBEPbg75Qp,OOT,282.66 
[34781] SET_SELL_TRIGGER,hBEPbg75Qp,LMO,143.95 
[34786] DISPLAY_SUMMARY,hBEPbg75Qp 
[34924] ADD,hBEPbg75Qp,56126.31 
[34996] QUOTE,hBEPbg75Qp,CMA 
[35263] BUY,hBEPbg75Qp,ULL,653.28 
[35366] COMMIT_BUY,hBEPbg75Qp 
[35385] SET_BUY_AMOUNT,hBEPbg75Qp,NHG,86.39 
[35450] SET_BUY_TRIGGER,hBEPbg75Qp,SJZ,68.43 
[35656] SET_SELL_TRIGGER,hBEPbg75Qp,SQS,84.66 
[35706] SET_BUY_AMOUNT,hBEPbg75Qp,RNK,3.48 
[35758] SET_BUY_TRIGGER,hBEPbg75Qp,BTD,2.96 
[35790] ADD,hBEPbg75Qp,91269.02 
[35874] BUY,hBEPbg75Qp,SCK,89.03 
[36082] COMMIT_BUY,hBEPbg75Qp 
[36376] BUY,hBEPbg75Qp,RVU,576.29 
[36525] COMMIT_BUY,hBEPbg75Qp 
[36527] SET_SELL_TRIGGER,hBEPbg75Qp,DTG,140.13 
[36594] SELL,hBEPbg75Qp,KDA,212.06 
[36653] COMMIT_SELL,hBEPbg75Qp 
[36731] SELL,hBEPbg75Qp,LFU,153.98 
[36873] SET_BUY_AMOUNT,hBEPbg75Qp,ZTI,679.01 
[36896] QUOTE,hBEPbg75Qp,JGF 
[37473] BUY,hBEPbg75Qp,IZS,176.96 
[37492] COMMIT_BUY,hBEPbg75Qp 
[37951] ADD,hBEPbg75Qp,54968.66 
[38002] QUOTE,hBEPbg75Qp,NUV 
[38192] SET_BUY_TRIGGER,hBEPbg75Qp,JCL,268.26 
[38329] SET_BUY_TRIGGER,hBEPbg75Qp,GSW,189.97 
[38630] SET_BUY_AMOUNT,hBEPbg75Qp,JQO,453.84 
[38650] SET_BUY_TRIGGER,hBEPbg75Qp,YIQ,99.59 
[38726] SET_SELL_TRIGGER,hBEPbg75Qp,WDJ,61.87 
[38747] DISPLAY_SUMMARY,hBEPbg75Qp 
[38776] SELL,hBEPbg75Qp,JVT,421.32 
[38777] CANCEL_SELL,hBEPbg75Qp 
[38957] SET_BUY_TRIGGER,hBEPbg75Qp,UUJ,35.62 
[38971] DISPLAY_SUMMARY,hBEPbg75Qp 
[39032] BUY,hBEPbg75Qp,FTB,15.95 
[39135] DISPLAY_SUMMARY,hBEPbg75Qp 
[39155] ADD,hBEPbg75Qp,36911.72 
[39172] BUY,hBEPbg75Qp,OOR,495.86 
[39199] COMMIT_BUY,hBEPbg75Qp 
[39306] SELL,hBEPbg75Qp,QJZ,465.84 
[39343] COMMIT_SELL,hBEPbg75Qp 
[39615] ADD,hBEPbg75Qp,84866.10 
[39679] SELL,hBEPbg75Qp,OPN,534.17 
[39861] CANCEL_SELL,hBEPbg75Qp 
[40111] SELL,hBEPbg75Qp,PTP,652.83 
[40147] SELL,hBEPbg75Qp,EBS,488.04 
[40201] COMMIT_SELL,hBEPbg75Qp 
[40231] COMMIT_BUY,hBEPbg75Qp 
[40279] BUY,hBEPbg75Qp,SFR,546.94 
[40344] CANCEL_BUY,hBEPbg75Qp 
[40365] SET_SELL_AMOUNT,hBEPbg75Qp,CUZ,474.36 
[40434] SET_SELL_TRIGGER,hBEPbg75Qp,CUZ,135.30 
[40444] QUOTE,hBEPbg75Qp,YNY 
[40454] BUY,hBEPbg75Qp,JXW,58.34 
[40707] COMMIT_BUY,hBEPbg75Qp 
[40840] SELL,hBEPbg75Qp,NHG,671.11 
[40892] COMMIT_BUY,hBEPbg75Qp 
[41029] ADD,hBEPbg75Qp,70269.40 
[41155] QUOTE,hBEPbg75Qp,EVR 
[41177] QUOTE,hBEPbg75Qp,HRJ 
[41217] SET_BUY_AMOUNT,hBEPbg75Qp,CSZ,722.75 
[41412] SET_BUY_TRIGGER,hBEPbg75Qp,CDF,199.57 
[41514] SET_SELL_AMOUNT,hBEPbg75Qp,XLK,490.98 
[41851] SET_SELL_TRIGGER,hBEPbg75Qp,XLK,360.63 
[41872] DISPLAY_SUMMARY,hBEPbg75Qp 
[41927] BUY,hBEPbg75Qp,FUR,740.93 
[41976] QUOTE,hBEPbg75Qp,NDO 
[42041] BUY,hBEPbg75Qp,PLA,714.84 
[42491] COMMIT_BUY,hBEPbg75Qp 
[42533] ADD,hBEPbg75Qp,72275.82 
[42858] QUOTE,hBEPbg75Qp,UHO 
[43024] QUOTE,hBEPbg75Qp,DMW 
[43046] BUY,hBEPbg75Qp,OOR,662.41 
[43122] COMMIT_BUY,hBEPbg75Qp 
[43138] CANCEL_SELL,hBEPbg75Qp 
[43172] ADD,hBEPbg75Qp,78189.15 
[43184] BUY,hBEPbg75Qp,ZRJ,284.58 
[43219] COMMIT_BUY,hBEPbg75Qp 
[43257] SELL,hBEPbg75Qp,LFU,63.74 
[43458] COMMIT_SELL,hBEPbg75Qp 
[43483] SELL,hBEPbg75Qp,KES,461.87 
[43492] CANCEL_SET_SELL,hBEPbg75Qp,ISQ 
[43567] SET_SELL_AMOUNT,hBEPbg75Qp,NHG,589.74 
[43811] SET_SELL_TRIGGER,hBEPbg75Qp,NHG,278.69 
[43842] SET_SELL_TRIGGER,hBEPbg75Qp,FVS,170.61 
[43921] BUY,hBEPbg75Qp,FFZ,709.40 
[43926] COMMIT_BUY,hBEPbg75Qp 
[43983] SELL,hBEPbg75Qp,SUS,375.60 
[44005] SET_SELL_TRIGGER,hBEPbg75Qp,WOJ,79.57 
[44012] ADD,hBEPbg75Qp,62483.57 
[44161] QUOTE,hBEPbg75Qp,EGX 
[44221] DISPLAY_SUMMARY,hBEPbg75Qp 
[44248] DISPLAY_SUMMARY,hBEPbg75Qp 
[44307] SET_SELL_TRIGGER,hBEPbg75Qp,OXK,165.27 
[44343] DISPLAY_SUMMARY,hBEPbg75Qp 
[44452] QUOTE,hBEPbg75Qp,BWL 
[44455] BUY,hBEPbg75Qp,OOV,714.03 
[44513] COMMIT_BUY,hBEPbg75Qp 
[44677] SET_BUY_AMOUNT,hBEPbg75Qp,QJZ,741.42 
[44698] SET_BUY_TRIGGER,hBEPbg75Qp,IPJ,323.09 
[45135] SET_BUY_AMOUNT,hBEPbg75Qp,RUN,577.92 
[45219] SET_BUY_TRIGGER,hBEPbg75Qp,FVA,558.86 
[45249] SET_SELL_TRIGGER,hBEPbg75Qp,PTP,188.19 
[45262] DISPLAY_SUMMARY,hBEPbg75Qp 
[45309] SET_SELL_TRIGGER,hBEPbg75Qp,NJT,187.66 
[45338] BUY,hBEPbg75Qp,JUG,740.96 
[45655] SET_SELL_AMOUNT,hBEPbg75Qp,RNK,34.66 
[45662] DISPLAY_SUMMARY,hBEPbg75Qp 
[45749] ADD,hBEPbg75Qp,73268.67 
[45853] BUY,hBEPbg75Qp,WZM,424.85 
[45979] CANCEL_BUY,hBEPbg75Qp 
[46126] BUY,hBEPbg75Qp,KZZ,595.27 
[46208] CANCEL_BUY,hBEPbg75Qp 
[46313] CANCEL_SET_BUY,hBEPbg75Qp,VTY 
[46411] ADD,hBEPbg75Qp,45554.71 
[46583] QUOTE,hBEPbg75Qp,WRN 
[46601] SET_BUY_AMOUNT,hBEPbg75Qp,AVX,131.40 
[46605] SET_BUY_TRIGGER,hBEPbg75Qp,JVE,38.16 
[46677] SET_SELL_AMOUNT,hBEPbg75Qp,JVT,715.44 
[46804] SET_SELL_TRIGGER,hBEPbg75Qp,JVT,383.48 
[46885] ADD,hBEPbg75Qp,82884.53 
[46996] QUOTE,hBEPbg75Qp,EOS 
[47020] ADD,hBEPbg75Qp,63574.98 
[47025] SET_BUY_AMOUNT,hBEPbg75Qp,RUN,706.98 
[47074] SET_BUY_TRIGGER,hBEPbg75Qp,EAK,231.28 
[47145] SELL,hBEPbg75Qp,JZJ,417.17 
[47210] COMMIT_SELL,hBEPbg75Qp 
[47211] DISPLAY_SUMMARY,hBEPbg75Qp 
[47224] SET_SELL_TRIGGER,hBEPbg75Qp,AUX,92.28 
[47438] BUY,hBEPbg75Qp,QSS,392.29 
[47453] COMMIT_BUY,hBEPbg75Qp 
[47536] QUOTE,hBEPbg75Qp,VND 
[47752] BUY,hBEPbg75Qp,FKI,740.92 
