[90] ADD,kcrL7pVjFP,67187.33 
[22580] SET_SELL_TRIGGER,kcrL7pVjFP,ZAN,65.27 
[22613] ADD,kcrL7pVjFP,76846.82 
[22797] BUY,kcrL7pVjFP,SKW,331.85 
[22825] CANCEL_BUY,kcrL7pVjFP 
[22855] BUY,kcrL7pVjFP,MHQ,100.10 
[22932] SET_BUY_TRIGGER,kcrL7pVjFP,BEC,61.39 
[23136] DISPLAY_SUMMARY,kcrL7pVjFP 
[23185] BUY,kcrL7pVjFP,FFI,461.41 
[23336] COMMIT_BUY,kcrL7pVjFP 
[23353] BUY,kcrL7pVjFP,QJZ,45.32 
[23395] COMMIT_BUY,kcrL7pVjFP 
[23542] SELL,kcrL7pVjFP,CUZ,546.77 
[23587] COMMIT_SELL,kcrL7pVjFP 
[23594] DISPLAY_SUMMARY,kcrL7pVjFP 
[23712] ADD,kcrL7pVjFP,86562.20 
[23860] COMMIT_SELL,kcrL7pVjFP 
[23978] SET_BUY_TRIGGER,kcrL7pVjFP,TZJ,94.56 
[24024] SET_SELL_TRIGGER,kcrL7pVjFP,VDP,57.42 
[24247] DISPLAY_SUMMARY,kcrL7pVjFP 
[24248] QUOTE,kcrL7pVjFP,DTG 
[24329] BUY,kcrL7pVjFP,BWR,285.52 
[24366] COMMIT_BUY,kcrL7pVjFP 
[24505] SET_SELL_AMOUNT,kcrL7pVjFP,OEY,248.11 
[24926] SET_SELL_TRIGGER,kcrL7pVjFP,OEY,235.22 
[24944] ADD,kcrL7pVjFP,76874.10 
[24987] QUOTE,kcrL7pVjFP,HHG 
[25111] ADD,kcrL7pVjFP,93649.17 
[25372] CANCEL_SET_BUY,kcrL7pVjFP,RRZ 
[25570] SET_SELL_TRIGGER,kcrL7pVjFP,SXB,32.76 
[25721] DISPLAY_SUMMARY,kcrL7pVjFP 
[25749] SET_BUY_AMOUNT,kcrL7pVjFP,KDA,691.17 
[25850] SET_BUY_TRIGGER,kcrL7pVjFP,OLH,248.39 
[25971] ADD,kcrL7pVjFP,67608.65 
[26323] DISPLAY_SUMMARY,kcrL7pVjFP 
[26541] CANCEL_SELL,kcrL7pVjFP 
[27020] SET_SELL_AMOUNT,kcrL7pVjFP,FQP,53.18 
[27131] SET_SELL_TRIGGER,kcrL7pVjFP,FQP,22.47 
[27357] CANCEL_SELL,kcrL7pVjFP 
[27407] DISPLAY_SUMMARY,kcrL7pVjFP 
[27567] ADD,kcrL7pVjFP,71776.03 
[27578] SET_BUY_TRIGGER,kcrL7pVjFP,AOC,140.51 
[27983] QUOTE,kcrL7pVjFP,KIP 
[27984] SET_BUY_AMOUNT,kcrL7pVjFP,LFU,522.32 
[28248] SET_BUY_TRIGGER,kcrL7pVjFP,FIW,232.14 
[28270] DISPLAY_SUMMARY,kcrL7pVjFP 
[28461] DISPLAY_SUMMARY,kcrL7pVjFP 
[28652] SET_SELL_TRIGGER,kcrL7pVjFP,JQJ,96.77 
[28719] SET_BUY_TRIGGER,kcrL7pVjFP,QQI,111.98 
[28809] ADD,kcrL7pVjFP,82737.61 
[28889] BUY,kcrL7pVjFP,NIR,720.54 
[28896] SET_BUY_AMOUNT,kcrL7pVjFP,QJZ,385.34 
[28972] SET_BUY_TRIGGER,kcrL7pVjFP,TOL,254.42 
[29005] ADD,kcrL7pVjFP,48487.75 
[29042] SET_SELL_AMOUNT,kcrL7pVjFP,FQP,713.10 
[29044] SET_SELL_TRIGGER,kcrL7pVjFP,FQP,153.65 
[29281] QUOTE,kcrL7pVjFP,PST 
[29413] COMMIT_BUY,kcrL7pVjFP 
[29483] CANCEL_SET_BUY,kcrL7pVjFP,TFZ 
[29852] SET_SELL_TRIGGER,kcrL7pVjFP,SKY,171.41 
[30000] QUOTE,kcrL7pVjFP,ZZD 
[30169] SET_SELL_AMOUNT,kcrL7pVjFP,KDA,267.16 
[30178] SELL,kcrL7pVjFP,OEY,92.11 
[30228] QUOTE,kcrL7pVjFP,OBR 
[30274] BUY,kcrL7pVjFP,TCP,180.86 
[30419] COMMIT_BUY,kcrL7pVjFP 
[30524] SET_SELL_AMOUNT,kcrL7pVjFP,DFE,119.02 
[30585] SET_SELL_TRIGGER,kcrL7pVjFP,DFE,32.88 
[30659] ADD,kcrL7pVjFP,59401.21 
[30676] BUY,kcrL7pVjFP,FVZ,70.71 
[30747] COMMIT_BUY,kcrL7pVjFP 
[30789] SET_SELL_AMOUNT,kcrL7pVjFP,KDA,671.83 
[30837] SET_SELL_TRIGGER,kcrL7pVjFP,KDA,462.73 
[30855] DISPLAY_SUMMARY,kcrL7pVjFP 
[30898] SET_BUY_TRIGGER,kcrL7pVjFP,OSC,39.23 
[31260] SET_SELL_AMOUNT,kcrL7pVjFP,CUZ,668.47 
[31380] SET_SELL_TRIGGER,kcrL7pVjFP,CUZ,291.29 
[31487] SET_BUY_AMOUNT,kcrL7pVjFP,KES,12.54 
[31593] SET_BUY_TRIGGER,kcrL7pVjFP,MXD,1.91 
[31619] SELL,kcrL7pVjFP,OEY,581.18 
[31621] QUOTE,kcrL7pVjFP,DDA 
[31642] BUY,kcrL7pVjFP,ZOW,446.92 
[31854] COMMIT_SELL,kcrL7pVjFP 
[31883] SELL,kcrL7pVjFP,KDA,735.33 
[31914] CANCEL_SET_BUY,kcrL7pVjFP,JUE 
[31916] ADD,kcrL7pVjFP,49801.11 
[31935] ADD,kcrL7pVjFP,86272.96 
[32046] QUOTE,kcrL7pVjFP,APY 
[32203] QUOTE,kcrL7pVjFP,NGH 
[32241] COMMIT_BUY,kcrL7pVjFP 
[32344] DISPLAY_SUMMARY,kcrL7pVjFP 
[32375] ADD,kcrL7pVjFP,88698.36 
[32391] QUOTE,kcrL7pVjFP,IDN 
[32502] QUOTE,kcrL7pVjFP,KTU 
[32680] SET_BUY_TRIGGER,kcrL7pVjFP,DMS,56.46 
[32719] ADD,kcrL7pVjFP,69122.79 
[32750] QUOTE,kcrL7pVjFP,CLQ 
[33083] BUY,kcrL7pVjFP,PTP,417.73 
[33218] DISPLAY_SUMMARY,kcrL7pVjFP 
[33253] SET_SELL_AMOUNT,kcrL7pVjFP,ZTI,192.32 
[33324] SET_SELL_TRIGGER,kcrL7pVjFP,ZTI,115.30 
[33328] QUOTE,kcrL7pVjFP,PUN 
[33394] COMMIT_BUY,kcrL7pVjFP 
[33398] COMMIT_BUY,kcrL7pVjFP 
[33519] DISPLAY_SUMMARY,kcrL7pVjFP 
[33892] DISPLAY_SUMMARY,kcrL7pVjFP 
[33935] SET_SELL_AMOUNT,kcrL7pVjFP,KES,662.90 
[33986] SET_SELL_TRIGGER,kcrL7pVjFP,KES,607.27 
[34190] BUY,kcrL7pVjFP,IPH,282.54 
[34228] CANCEL_BUY,kcrL7pVjFP 
[34262] CANCEL_BUY,kcrL7pVjFP 
[34277] BUY,kcrL7pVjFP,FRB,288.69 
[34342] SELL,kcrL7pVjFP,EBS,410.36 
[34409] COMMIT_SELL,kcrL7pVjFP 
[34443] ADD,kcrL7pVjFP,79223.39 
[34831] CANCEL_SELL,kcrL7pVjFP 
[34903] COMMIT_SELL,kcrL7pVjFP 
[34970] DISPLAY_SUMMARY,kcrL7pVjFP 
[34998] BUY,kcrL7pVjFP,KBN,603.94 
[35058] COMMIT_SELL,kcrL7pVjFP 
[35070] ADD,kcrL7pVjFP,52335.13 
[35098] QUOTE,kcrL7pVjFP,ZNW 
[35423] SET_BUY_AMOUNT,kcrL7pVjFP,NHG,141.58 
[35474] SET_BUY_TRIGGER,kcrL7pVjFP,YBO,134.67 
[35496] DISPLAY_SUMMARY,kcrL7pVjFP 
[35745] QUOTE,kcrL7pVjFP,NDO 
[35784] BUY,kcrL7pVjFP,WGV,169.11 
[35854] COMMIT_BUY,kcrL7pVjFP 
[35933] DISPLAY_SUMMARY,kcrL7pVjFP 
[35992] ADD,kcrL7pVjFP,52619.34 
[36111] BUY,kcrL7pVjFP,DPG,431.64 
[36357] SET_BUY_AMOUNT,kcrL7pVjFP,FQP,727.85 
[36402] SET_BUY_TRIGGER,kcrL7pVjFP,ZGC,75.54 
[36627] BUY,kcrL7pVjFP,URA,209.09 
[36640] CANCEL_BUY,kcrL7pVjFP 
[36675] CANCEL_BUY,kcrL7pVjFP 
[36944] DISPLAY_SUMMARY,kcrL7pVjFP 
[37039] SET_SELL_TRIGGER,kcrL7pVjFP,LQN,159.51 
[37072] SET_SELL_TRIGGER,kcrL7pVjFP,RRE,46.29 
[37113] BUY,kcrL7pVjFP,QZN,310.16 
[37436] ADD,kcrL7pVjFP,84528.22 
[37619] BUY,kcrL7pVjFP,NVX,300.21 
[37714] CANCEL_BUY,kcrL7pVjFP 
[37889] COMMIT_BUY,kcrL7pVjFP 
[37949] SELL,kcrL7pVjFP,EBS,605.92 
[38007] QUOTE,kcrL7pVjFP,DVU 
[38205] CANCEL_SET_SELL,kcrL7pVjFP,YDS 
[38260] SET_BUY_TRIGGER,kcrL7pVjFP,ZCO,42.04 
[38325] DISPLAY_SUMMARY,kcrL7pVjFP 
[38470] SELL,kcrL7pVjFP,OEY,40.63 
[38542] SET_BUY_TRIGGER,kcrL7pVjFP,KCS,188.04 
[38563] SET_BUY_TRIGGER,kcrL7pVjFP,AEM,175.20 
[38578] SELL,kcrL7pVjFP,QAX,364.89 
[38611] SET_BUY_TRIGGER,kcrL7pVjFP,XLI,6.01 
[38616] SET_SELL_AMOUNT,kcrL7pVjFP,JQO,230.11 
[38638] SET_SELL_TRIGGER,kcrL7pVjFP,JQO,36.10 
[38743] DISPLAY_SUMMARY,kcrL7pVjFP 
[38749] ADD,kcrL7pVjFP,59525.52 
[38814] BUY,kcrL7pVjFP,JEA,231.38 
[38958] CANCEL_SELL,kcrL7pVjFP 
[39019] SET_SELL_TRIGGER,kcrL7pVjFP,CMD,128.34 
[39063] BUY,kcrL7pVjFP,KAF,87.71 
[39354] COMMIT_BUY,kcrL7pVjFP 
[39442] QUOTE,kcrL7pVjFP,YDS 
[39574] BUY,kcrL7pVjFP,ZFV,122.59 
[39603] COMMIT_BUY,kcrL7pVjFP 
[39654] QUOTE,kcrL7pVjFP,LZV 
[39741] BUY,kcrL7pVjFP,URA,287.77 
[39750] SET_BUY_AMOUNT,kcrL7pVjFP,JZJ,209.52 
[39951] SET_BUY_TRIGGER,kcrL7pVjFP,XLK,73.97 
[40083] DISPLAY_SUMMARY,kcrL7pVjFP 
[40181] SET_SELL_AMOUNT,kcrL7pVjFP,DFE,137.94 
[40311] BUY,kcrL7pVjFP,PJJ,446.99 
[40423] ADD,kcrL7pVjFP,75042.04 
[40549] BUY,kcrL7pVjFP,UTL,131.54 
[40557] COMMIT_BUY,kcrL7pVjFP 
[40625] SET_SELL_TRIGGER,kcrL7pVjFP,DFE,123.91 
[40687] DISPLAY_SUMMARY,kcrL7pVjFP 
[40753] DISPLAY_SUMMARY,kcrL7pVjFP 
[40939] BUY,kcrL7pVjFP,QGN,576.83 
[41091] BUY,kcrL7pVjFP,FFN,257.22 
[41092] QUOTE,kcrL7pVjFP,SCW 
[41139] SET_BUY_TRIGGER,kcrL7pVjFP,DWC,103.33 
[41274] ADD,kcrL7pVjFP,56465.29 
[41319] BUY,kcrL7pVjFP,UXP,216.45 
[41390] DISPLAY_SUMMARY,kcrL7pVjFP 
[41403] DISPLAY_SUMMARY,kcrL7pVjFP 
[41793] DISPLAY_SUMMARY,kcrL7pVjFP 
[41931] DISPLAY_SUMMARY,kcrL7pVjFP 
[42327] SELL,kcrL7pVjFP,RNK,496.07 
[42434] COMMIT_SELL,kcrL7pVjFP 
[42817] BUY,kcrL7pVjFP,XVK,616.00 
[42974] BUY,kcrL7pVjFP,MDZ,570.38 
[43019] QUOTE,kcrL7pVjFP,SYN 
[43092] CANCEL_SELL,kcrL7pVjFP 
[43217] SET_BUY_AMOUNT,kcrL7pVjFP,CUZ,180.36 
[43239] SELL,kcrL7pVjFP,PTP,3.75 
[43245] CANCEL_SET_BUY,kcrL7pVjFP,SWD 
[43500] SET_BUY_TRIGGER,kcrL7pVjFP,LJY,2.23 
[43536] DISPLAY_SUMMARY,kcrL7pVjFP 
[43580] ADD,kcrL7pVjFP,85158.33 
[43694] QUOTE,kcrL7pVjFP,ZAV 
[43765] SET_BUY_AMOUNT,kcrL7pVjFP,EBS,415.21 
[43956] SET_BUY_TRIGGER,kcrL7pVjFP,KZQ,398.36 
[44009] ADD,kcrL7pVjFP,75376.72 
[44206] BUY,kcrL7pVjFP,BWR,241.74 
[44216] COMMIT_BUY,kcrL7pVjFP 
[44290] DISPLAY_SUMMARY,kcrL7pVjFP 
[44299] ADD,kcrL7pVjFP,68923.34 
[44310] QUOTE,kcrL7pVjFP,OIY 
[44544] ADD,kcrL7pVjFP,95304.19 
[44597] QUOTE,kcrL7pVjFP,THH 
[44664] DISPLAY_SUMMARY,kcrL7pVjFP 
[44746] SELL,kcrL7pVjFP,EBS,501.32 
[44821] QUOTE,kcrL7pVjFP,JIO 
[44870] COMMIT_BUY,kcrL7pVjFP 
[44875] SET_BUY_AMOUNT,kcrL7pVjFP,OPN,310.78 
[44944] BUY,kcrL7pVjFP,IOY,82.24 
[44961] COMMIT_BUY,kcrL7pVjFP 
[45007] QUOTE,kcrL7pVjFP,VFH 
[45051] QUOTE,kcrL7pVjFP,KZQ 
[45083] COMMIT_BUY,kcrL7pVjFP 
[45279] ADD,kcrL7pVjFP,88948.57 
[45349] QUOTE,kcrL7pVjFP,EUM 
[45585] SET_SELL_AMOUNT,kcrL7pVjFP,RGH,322.35 
[45801] SET_SELL_TRIGGER,kcrL7pVjFP,RGH,120.88 
[45822] SELL,kcrL7pVjFP,EBS,452.61 
[45824] COMMIT_SELL,kcrL7pVjFP 
[45832] DISPLAY_SUMMARY,kcrL7pVjFP 
[45834] BUY,kcrL7pVjFP,DPG,688.59 
[45945] COMMIT_BUY,kcrL7pVjFP 
[46114] SET_BUY_AMOUNT,kcrL7pVjFP,EBS,321.19 
[46201] SET_BUY_TRIGGER,kcrL7pVjFP,IFC,54.16 
[46555] SET_BUY_AMOUNT,kcrL7pVjFP,SUS,384.91 
