[2] ADD,7UUhSRHInh,94529.05 
[4004] DISPLAY_SUMMARY,7UUhSRHInh 
[4134] BUY,7UUhSRHInh,HTD,307.11 
[4149] CANCEL_BUY,7UUhSRHInh 
[4164] CANCEL_SET_BUY,7UUhSRHInh,PFN 
[4222] DISPLAY_SUMMARY,7UUhSRHInh 
[4342] DISPLAY_SUMMARY,7UUhSRHInh 
[4450] QUOTE,7UUhSRHInh,PUC 
[4476] BUY,7UUhSRHInh,OZW,582.70 
[4617] COMMIT_BUY,7UUhSRHInh 
[4627] DISPLAY_SUMMARY,7UUhSRHInh 
[4649] CANCEL_SET_SELL,7UUhSRHInh,ZAV 
[4733] COMMIT_SELL,7UUhSRHInh 
[4767] DISPLAY_SUMMARY,7UUhSRHInh 
[4787] SET_SELL_AMOUNT,7UUhSRHInh,FQP,516.50 
[5062] CANCEL_SET_SELL,7UUhSRHInh,FQP 
[5146] DISPLAY_SUMMARY,7UUhSRHInh 
[5153] BUY,7UUhSRHInh,CXC,236.08 
[5236] SET_SELL_TRIGGER,7UUhSRHInh,AVH,115.32 
[5243] SET_SELL_AMOUNT,7UUhSRHInh,QJZ,686.29 
[5255] SET_SELL_TRIGGER,7UUhSRHInh,QJZ,610.90 
[5304] SET_SELL_AMOUNT,7UUhSRHInh,FQP,165.25 
[5432] SET_SELL_TRIGGER,7UUhSRHInh,FQP,109.10 
[5527] SELL,7UUhSRHInh,QJZ,637.76 
[5649] COMMIT_SELL,7UUhSRHInh 
[5667] SET_BUY_AMOUNT,7UUhSRHInh,FQP,619.16 
[5695] SET_BUY_TRIGGER,7UUhSRHInh,DXL,377.17 
[6107] DISPLAY_SUMMARY,7UUhSRHInh 
[6430] ADD,7UUhSRHInh,87596.87 
[6564] CANCEL_SET_BUY,7UUhSRHInh,KHD 
[6705] COMMIT_SELL,7UUhSRHInh 
[6836] SET_BUY_TRIGGER,7UUhSRHInh,PUU,107.26 
[6849] SET_SELL_TRIGGER,7UUhSRHInh,QXW,156.13 
[6901] SET_SELL_AMOUNT,7UUhSRHInh,QJZ,429.47 
[7167] BUY,7UUhSRHInh,OZT,640.12 
[7223] BUY,7UUhSRHInh,NFO,196.04 
[7386] DISPLAY_SUMMARY,7UUhSRHInh 
[7594] SET_BUY_AMOUNT,7UUhSRHInh,FQP,137.76 
[7636] SET_BUY_TRIGGER,7UUhSRHInh,RLS,47.93 
[7652] ADD,7UUhSRHInh,70319.97 
[7675] QUOTE,7UUhSRHInh,RKQ 
[7700] BUY,7UUhSRHInh,KZC,65.88 
[7837] COMMIT_BUY,7UUhSRHInh 
[7887] SET_SELL_AMOUNT,7UUhSRHInh,QJZ,712.04 
[8003] SET_SELL_TRIGGER,7UUhSRHInh,QJZ,118.84 
[8048] SET_SELL_AMOUNT,7UUhSRHInh,KDA,732.61 
[8163] BUY,7UUhSRHInh,WJP,220.98 
[8382] COMMIT_BUY,7UUhSRHInh 
[8488] DISPLAY_SUMMARY,7UUhSRHInh 
[8624] DISPLAY_SUMMARY,7UUhSRHInh 
[8678] CANCEL_BUY,7UUhSRHInh 
[8904] SET_SELL_AMOUNT,7UUhSRHInh,FQP,213.43 
[8930] SET_SELL_TRIGGER,7UUhSRHInh,FQP,110.04 
[9247] BUY,7UUhSRHInh,BBD,501.88 
[9248] COMMIT_BUY,7UUhSRHInh 
[9316] QUOTE,7UUhSRHInh,ZFK 
[9320] SET_BUY_TRIGGER,7UUhSRHInh,POE,68.84 
[9361] DISPLAY_SUMMARY,7UUhSRHInh 
[9560] COMMIT_SELL,7UUhSRHInh 
[9729] SET_SELL_TRIGGER,7UUhSRHInh,BLC,19.79 
[9800] ADD,7UUhSRHInh,59851.62 
[9861] BUY,7UUhSRHInh,BZH,420.51 
[9899] CANCEL_SET_BUY,7UUhSRHInh,JLK 
[9940] SET_BUY_AMOUNT,7UUhSRHInh,QJZ,231.34 
[9954] SET_BUY_TRIGGER,7UUhSRHInh,EEG,26.06 
[9965] QUOTE,7UUhSRHInh,ZMS 
[10089] BUY,7UUhSRHInh,KPE,325.92 
[10456] COMMIT_BUY,7UUhSRHInh 
[10519] BUY,7UUhSRHInh,WOJ,601.79 
[10575] SELL,7UUhSRHInh,QJZ,116.77 
[10700] ADD,7UUhSRHInh,71384.60 
[10742] BUY,7UUhSRHInh,SKC,16.96 
[10872] COMMIT_BUY,7UUhSRHInh 
[10919] DISPLAY_SUMMARY,7UUhSRHInh 
[10964] DISPLAY_SUMMARY,7UUhSRHInh 
[11000] ADD,7UUhSRHInh,55582.06 
[11347] QUOTE,7UUhSRHInh,JXR 
[11379] CANCEL_SET_SELL,7UUhSRHInh,ZNY 
[11428] ADD,7UUhSRHInh,78472.53 
[11436] BUY,7UUhSRHInh,FGI,410.59 
[11523] SET_SELL_TRIGGER,7UUhSRHInh,ZQW,53.36 
[11859] QUOTE,7UUhSRHInh,BLC 
[11929] SET_BUY_AMOUNT,7UUhSRHInh,FQP,575.58 
[11975] SET_BUY_TRIGGER,7UUhSRHInh,SJH,566.06 
[11978] CANCEL_SELL,7UUhSRHInh 
[11987] SET_BUY_AMOUNT,7UUhSRHInh,QJZ,8.90 
[12076] SELL,7UUhSRHInh,QJZ,461.06 
[12095] COMMIT_SELL,7UUhSRHInh 
[12291] DISPLAY_SUMMARY,7UUhSRHInh 
[12294] COMMIT_SELL,7UUhSRHInh 
[12410] SET_SELL_AMOUNT,7UUhSRHInh,FQP,382.64 
[12582] SELL,7UUhSRHInh,KDA,460.44 
[12712] COMMIT_SELL,7UUhSRHInh 
[12721] SELL,7UUhSRHInh,QJZ,423.79 
[12843] SET_SELL_TRIGGER,7UUhSRHInh,FQP,351.96 
[12917] SET_SELL_AMOUNT,7UUhSRHInh,GYF,725.15 
[13154] SET_SELL_TRIGGER,7UUhSRHInh,GYF,438.22 
[13166] SELL,7UUhSRHInh,KDA,587.38 
[13341] SET_BUY_AMOUNT,7UUhSRHInh,KDA,530.67 
[13479] SET_BUY_TRIGGER,7UUhSRHInh,GZU,482.97 
[13596] SET_SELL_AMOUNT,7UUhSRHInh,QJZ,542.29 
[13908] SELL,7UUhSRHInh,FQP,669.31 
[14063] SET_SELL_TRIGGER,7UUhSRHInh,QJZ,18.68 
[14110] BUY,7UUhSRHInh,GJQ,218.82 
[14116] CANCEL_BUY,7UUhSRHInh 
[14184] ADD,7UUhSRHInh,113089.70 
[14188] QUOTE,7UUhSRHInh,WYR 
[14323] BUY,7UUhSRHInh,JEO,80.25 
[14337] COMMIT_BUY,7UUhSRHInh 
[14468] ADD,7UUhSRHInh,62859.68 
[14548] SELL,7UUhSRHInh,JCQ,401.03 
[14572] CANCEL_SELL,7UUhSRHInh 
[14666] BUY,7UUhSRHInh,OXV,396.51 
[14672] COMMIT_BUY,7UUhSRHInh 
[14738] ADD,7UUhSRHInh,65079.50 
[14882] QUOTE,7UUhSRHInh,FNY 
[14899] SET_SELL_AMOUNT,7UUhSRHInh,JCQ,355.45 
[14962] SET_SELL_TRIGGER,7UUhSRHInh,JCQ,57.13 
[15086] ADD,7UUhSRHInh,69997.09 
[15130] QUOTE,7UUhSRHInh,LSK 
[15345] BUY,7UUhSRHInh,XFA,27.51 
[15390] BUY,7UUhSRHInh,AOU,682.63 
[15410] BUY,7UUhSRHInh,WSR,617.61 
[15464] COMMIT_BUY,7UUhSRHInh 
[15475] ADD,7UUhSRHInh,73388.66 
[15524] QUOTE,7UUhSRHInh,OGB 
[15705] DISPLAY_SUMMARY,7UUhSRHInh 
[15746] DISPLAY_SUMMARY,7UUhSRHInh 
[16011] QUOTE,7UUhSRHInh,SPT 
[16012] SET_SELL_TRIGGER,7UUhSRHInh,AJX,13.24 
[16080] SET_BUY_TRIGGER,7UUhSRHInh,WRJ,23.12 
[16169] QUOTE,7UUhSRHInh,JPP 
[16192] SET_BUY_TRIGGER,7UUhSRHInh,ASJ,156.96 
[16219] ADD,7UUhSRHInh,49740.11 
[16534] BUY,7UUhSRHInh,SOA,121.66 
[16539] CANCEL_BUY,7UUhSRHInh 
[16648] SET_BUY_TRIGGER,7UUhSRHInh,OIV,36.93 
[16667] ADD,7UUhSRHInh,70267.19 
[16745] SET_BUY_TRIGGER,7UUhSRHInh,KZC,151.97 
[17040] SET_SELL_AMOUNT,7UUhSRHInh,KDA,83.20 
[17077] SET_SELL_TRIGGER,7UUhSRHInh,KDA,64.30 
[17127] ADD,7UUhSRHInh,74992.07 
[17170] QUOTE,7UUhSRHInh,GPL 
[17255] QUOTE,7UUhSRHInh,VOU 
[17328] SET_BUY_AMOUNT,7UUhSRHInh,KDA,314.17 
[17412] SET_BUY_TRIGGER,7UUhSRHInh,OEN,85.23 
[17496] SELL,7UUhSRHInh,KES,733.04 
[17497] COMMIT_SELL,7UUhSRHInh 
[17656] BUY,7UUhSRHInh,WTD,150.99 
[17773] SET_SELL_AMOUNT,7UUhSRHInh,GYF,111.55 
[17841] SET_SELL_TRIGGER,7UUhSRHInh,GYF,2.33 
[18022] DISPLAY_SUMMARY,7UUhSRHInh 
[18120] DISPLAY_SUMMARY,7UUhSRHInh 
[18142] CANCEL_SET_BUY,7UUhSRHInh,WDC 
[18151] DISPLAY_SUMMARY,7UUhSRHInh 
[18170] ADD,7UUhSRHInh,70909.92 
[18294] QUOTE,7UUhSRHInh,COE 
[18353] QUOTE,7UUhSRHInh,OEX 
[18437] DISPLAY_SUMMARY,7UUhSRHInh 
[18461] ADD,7UUhSRHInh,59564.19 
[18623] BUY,7UUhSRHInh,SQO,356.39 
[18635] COMMIT_BUY,7UUhSRHInh 
[18793] BUY,7UUhSRHInh,ZQW,112.39 
[18820] COMMIT_BUY,7UUhSRHInh 
[18891] ADD,7UUhSRHInh,59618.46 
[18896] SET_SELL_AMOUNT,7UUhSRHInh,KES,18.77 
[18975] SET_SELL_TRIGGER,7UUhSRHInh,KES,14.69 
[19104] SET_SELL_TRIGGER,7UUhSRHInh,ZSV,157.62 
[19204] ADD,7UUhSRHInh,60361.05 
[19214] QUOTE,7UUhSRHInh,XRK 
[19255] BUY,7UUhSRHInh,DED,690.72 
[19268] CANCEL_BUY,7UUhSRHInh 
[19543] BUY,7UUhSRHInh,JFF,146.89 
[19549] COMMIT_BUY,7UUhSRHInh 
[19651] SET_SELL_AMOUNT,7UUhSRHInh,QAX,312.70 
[19711] BUY,7UUhSRHInh,FPP,697.79 
[19728] COMMIT_BUY,7UUhSRHInh 
[19893] SELL,7UUhSRHInh,EBS,222.42 
[20016] CANCEL_SELL,7UUhSRHInh 
[20156] SELL,7UUhSRHInh,KES,490.04 
[20191] CANCEL_SET_SELL,7UUhSRHInh,QAX 
[20328] SELL,7UUhSRHInh,EBS,628.51 
[20367] COMMIT_SELL,7UUhSRHInh 
[20491] ADD,7UUhSRHInh,46677.79 
[20724] QUOTE,7UUhSRHInh,KEV 
[20739] ADD,7UUhSRHInh,85551.58 
[20761] ADD,7UUhSRHInh,60249.35 
[20912] BUY,7UUhSRHInh,RQF,390.32 
[21394] BUY,7UUhSRHInh,MVQ,403.89 
[21465] COMMIT_SELL,7UUhSRHInh 
[21475] DISPLAY_SUMMARY,7UUhSRHInh 
[21551] ADD,7UUhSRHInh,69315.90 
[21585] QUOTE,7UUhSRHInh,GGI 
[21727] ADD,7UUhSRHInh,66754.81 
[21747] COMMIT_BUY,7UUhSRHInh 
[21749] SELL,7UUhSRHInh,UTV,324.97 
[21831] COMMIT_SELL,7UUhSRHInh 
[21898] DISPLAY_SUMMARY,7UUhSRHInh 
[21929] QUOTE,7UUhSRHInh,SON 
[22103] COMMIT_BUY,7UUhSRHInh 
[22420] ADD,7UUhSRHInh,87022.01 
[22433] BUY,7UUhSRHInh,HSJ,279.26 
[22551] QUOTE,7UUhSRHInh,OKK 
[22693] DISPLAY_SUMMARY,7UUhSRHInh 
[22830] ADD,7UUhSRHInh,59496.33 
[22900] QUOTE,7UUhSRHInh,GED 
[22994] BUY,7UUhSRHInh,XLK,9.56 
[23020] COMMIT_BUY,7UUhSRHInh 
[23066] SET_SELL_TRIGGER,7UUhSRHInh,SIK,144.53 
[23186] SELL,7UUhSRHInh,UTV,492.25 
[23261] COMMIT_SELL,7UUhSRHInh 
[23290] SET_BUY_AMOUNT,7UUhSRHInh,JVT,241.80 
[23437] SET_BUY_TRIGGER,7UUhSRHInh,LSW,155.58 
[23806] SET_SELL_AMOUNT,7UUhSRHInh,QAX,599.45 
[23810] CANCEL_SET_SELL,7UUhSRHInh,QAX 
[23892] SELL,7UUhSRHInh,ZAN,344.32 
[23915] COMMIT_SELL,7UUhSRHInh 
[23951] SET_BUY_AMOUNT,7UUhSRHInh,JRJ,697.59 
[23998] CANCEL_SET_BUY,7UUhSRHInh,VZB 
[24042] SET_BUY_TRIGGER,7UUhSRHInh,JPP,111.07 
[24074] SET_SELL_AMOUNT,7UUhSRHInh,OEY,215.94 
[24191] SET_SELL_TRIGGER,7UUhSRHInh,OEY,144.52 
[24196] SELL,7UUhSRHInh,GYF,604.31 
[24347] CANCEL_SET_SELL,7UUhSRHInh,LPW 
[24433] SET_SELL_TRIGGER,7UUhSRHInh,KPE,75.22 
[24523] DISPLAY_SUMMARY,7UUhSRHInh 
[24526] SET_BUY_TRIGGER,7UUhSRHInh,QGN,193.19 
[24632] ADD,7UUhSRHInh,58085.06 
[24655] QUOTE,7UUhSRHInh,RKY 
[24691] DISPLAY_SUMMARY,7UUhSRHInh 
[24692] COMMIT_SELL,7UUhSRHInh 
[24764] DISPLAY_SUMMARY,7UUhSRHInh 
[24858] SET_SELL_AMOUNT,7UUhSRHInh,QJZ,666.45 
[25051] SET_SELL_TRIGGER,7UUhSRHInh,QJZ,628.30 
[25118] ADD,7UUhSRHInh,62672.26 
[25310] QUOTE,7UUhSRHInh,ZFV 
[25315] ADD,7UUhSRHInh,91321.15 
[25324] QUOTE,7UUhSRHInh,WSG 
[25639] BUY,7UUhSRHInh,AOH,21.65 
[25978] SET_BUY_AMOUNT,7UUhSRHInh,GYF,333.35 
[26123] SET_BUY_TRIGGER,7UUhSRHInh,QOQ,48.50 
[26186] DISPLAY_SUMMARY,7UUhSRHInh 
[26508] SET_SELL_TRIGGER,7UUhSRHInh,GTX,154.14 
[26660] ADD,7UUhSRHInh,97798.40 
[26666] QUOTE,7UUhSRHInh,KPU 
[26702] BUY,7UUhSRHInh,AED,54.37 
[26784] QUOTE,7UUhSRHInh,NUL 
[26823] BUY,7UUhSRHInh,ZZD,619.60 
[26932] COMMIT_BUY,7UUhSRHInh 
[26974] SET_BUY_TRIGGER,7UUhSRHInh,FLD,74.09 
[27096] SET_BUY_AMOUNT,7UUhSRHInh,OEY,196.88 
[27239] SET_BUY_TRIGGER,7UUhSRHInh,ZOT,18.52 
[27313] BUY,7UUhSRHInh,LUD,641.08 
[27352] COMMIT_BUY,7UUhSRHInh 
[27393] BUY,7UUhSRHInh,WBL,215.62 
[27500] DISPLAY_SUMMARY,7UUhSRHInh 
[27541] CANCEL_SET_BUY,7UUhSRHInh,ATE 
[27554] SELL,7UUhSRHInh,QAX,713.09 
[27631] COMMIT_SELL,7UUhSRHInh 
[27855] SET_BUY_AMOUNT,7UUhSRHInh,NHG,307.82 
[28013] SET_BUY_TRIGGER,7UUhSRHInh,IDX,15.78 
[28117] SET_BUY_AMOUNT,7UUhSRHInh,FQP,351.99 
[28319] BUY,7UUhSRHInh,ZOT,315.72 
[28359] CANCEL_BUY,7UUhSRHInh 
[28523] DISPLAY_SUMMARY,7UUhSRHInh 
[28575] ADD,7UUhSRHInh,79098.53 
[28586] BUY,7UUhSRHInh,QUT,524.38 
[28650] COMMIT_BUY,7UUhSRHInh 
[28722] ADD,7UUhSRHInh,63363.33 
[28892] BUY,7UUhSRHInh,JXW,133.48 
[28977] SET_SELL_AMOUNT,7UUhSRHInh,JRJ,318.42 
[29027] DISPLAY_SUMMARY,7UUhSRHInh 
[29048] DISPLAY_SUMMARY,7UUhSRHInh 
[29070] ADD,7UUhSRHInh,68615.98 
[29275] BUY,7UUhSRHInh,PXY,140.00 
[29286] COMMIT_BUY,7UUhSRHInh 
[29446] BUY,7UUhSRHInh,FYA,503.47 
[29752] COMMIT_BUY,7UUhSRHInh 
[29796] SET_BUY_TRIGGER,7UUhSRHInh,PMX,180.32 
[29797] ADD,7UUhSRHInh,53199.45 
[30021] BUY,7UUhSRHInh,ECL,539.59 
[30202] COMMIT_BUY,7UUhSRHInh 
[30203] QUOTE,7UUhSRHInh,KES 
[30235] SET_SELL_TRIGGER,7UUhSRHInh,JRJ,258.42 
[30291] SET_SELL_AMOUNT,7UUhSRHInh,QJZ,570.66 
[30312] CANCEL_SET_SELL,7UUhSRHInh,QJZ 
[30362] SET_SELL_TRIGGER,7UUhSRHInh,LJY,148.42 
[30425] DISPLAY_SUMMARY,7UUhSRHInh 
[30477] ADD,7UUhSRHInh,79375.18 
[30673] CANCEL_SET_BUY,7UUhSRHInh,DWX 
[30753] SET_SELL_AMOUNT,7UUhSRHInh,JCQ,165.33 
[30853] SET_SELL_TRIGGER,7UUhSRHInh,JCQ,1.03 
[31049] SELL,7UUhSRHInh,BCQ,475.84 
[31050] COMMIT_SELL,7UUhSRHInh 
[31054] SET_BUY_TRIGGER,7UUhSRHInh,PTP,142.65 
[31218] QUOTE,7UUhSRHInh,VQA 
[31350] BUY,7UUhSRHInh,RKQ,69.44 
[31641] COMMIT_BUY,7UUhSRHInh 
[31955] DISPLAY_SUMMARY,7UUhSRHInh 
[31978] BUY,7UUhSRHInh,ZMA,121.36 
[32246] COMMIT_BUY,7UUhSRHInh 
[32618] COMMIT_BUY,7UUhSRHInh 
[32699] SET_BUY_AMOUNT,7UUhSRHInh,LFU,445.40 
[32701] SET_BUY_TRIGGER,7UUhSRHInh,WDJ,136.42 
[32949] BUY,7UUhSRHInh,RWM,454.00 
[32985] COMMIT_SELL,7UUhSRHInh 
[33049] SET_SELL_TRIGGER,7UUhSRHInh,BLC,138.24 
[33169] BUY,7UUhSRHInh,ZNW,558.15 
[33212] CANCEL_SET_SELL,7UUhSRHInh,QXW 
[33271] BUY,7UUhSRHInh,HMR,122.27 
[33316] CANCEL_BUY,7UUhSRHInh 
[33463] CANCEL_SET_SELL,7UUhSRHInh,JTY 
[33782] ADD,7UUhSRHInh,59050.36 
[33810] QUOTE,7UUhSRHInh,DBR 
[34003] BUY,7UUhSRHInh,CTS,197.70 
[34284] CANCEL_BUY,7UUhSRHInh 
[34408] ADD,7UUhSRHInh,84678.18 
[34453] ADD,7UUhSRHInh,68671.22 
[34489] CANCEL_SELL,7UUhSRHInh 
[34585] ADD,7UUhSRHInh,85998.72 
[34662] BUY,7UUhSRHInh,ALG,168.59 
[34840] COMMIT_BUY,7UUhSRHInh 
[34856] QUOTE,7UUhSRHInh,SQI 
[34878] CANCEL_BUY,7UUhSRHInh 
[34968] SELL,7UUhSRHInh,JRJ,183.67 
[35034] COMMIT_SELL,7UUhSRHInh 
[35216] SELL,7UUhSRHInh,DFE,174.26 
[35420] COMMIT_SELL,7UUhSRHInh 
[35491] SET_BUY_AMOUNT,7UUhSRHInh,OEY,237.43 
[35506] SET_BUY_TRIGGER,7UUhSRHInh,HGG,145.28 
[35645] BUY,7UUhSRHInh,GIX,642.29 
[35838] COMMIT_BUY,7UUhSRHInh 
[36048] QUOTE,7UUhSRHInh,URY 
[36172] SET_BUY_AMOUNT,7UUhSRHInh,LFU,426.86 
[36389] SET_BUY_TRIGGER,7UUhSRHInh,KCT,129.49 
[36448] SET_BUY_AMOUNT,7UUhSRHInh,EBS,588.08 
[36467] SET_BUY_TRIGGER,7UUhSRHInh,TQE,216.97 
[36493] SET_BUY_AMOUNT,7UUhSRHInh,JQO,448.58 
[36635] SET_BUY_TRIGGER,7UUhSRHInh,MHR,423.04 
[36643] DISPLAY_SUMMARY,7UUhSRHInh 
[36649] QUOTE,7UUhSRHInh,FTP 
[36692] DISPLAY_SUMMARY,7UUhSRHInh 
[36729] DISPLAY_SUMMARY,7UUhSRHInh 
[36785] ADD,7UUhSRHInh,46153.60 
[36990] QUOTE,7UUhSRHInh,EUM 
[37096] BUY,7UUhSRHInh,PYB,399.06 
[37097] COMMIT_BUY,7UUhSRHInh 
[37202] DISPLAY_SUMMARY,7UUhSRHInh 
[37227] SET_BUY_AMOUNT,7UUhSRHInh,XXQ,307.83 
[37284] QUOTE,7UUhSRHInh,FVD 
[37371] SET_SELL_AMOUNT,7UUhSRHInh,RGH,98.12 
[37464] SET_SELL_TRIGGER,7UUhSRHInh,RGH,14.04 
[37467] SELL,7UUhSRHInh,JQO,619.84 
[37609] COMMIT_SELL,7UUhSRHInh 
[37649] CANCEL_BUY,7UUhSRHInh 
[37699] ADD,7UUhSRHInh,96911.19 
[37847] QUOTE,7UUhSRHInh,CEC 
[37942] BUY,7UUhSRHInh,KZC,25.36 
[38128] SET_BUY_TRIGGER,7UUhSRHInh,EIK,28.22 
[38156] DISPLAY_SUMMARY,7UUhSRHInh 
[38174] ADD,7UUhSRHInh,69433.88 
[38183] BUY,7UUhSRHInh,DWC,286.35 
[38235] SET_BUY_TRIGGER,7UUhSRHInh,SJZ,114.18 
[38254] SET_SELL_TRIGGER,7UUhSRHInh,EWP,42.75 
[38306] DISPLAY_SUMMARY,7UUhSRHInh 
[38330] BUY,7UUhSRHInh,XOL,93.30 
[38355] COMMIT_BUY,7UUhSRHInh 
[38425] SET_BUY_AMOUNT,7UUhSRHInh,UTV,331.62 
[38513] SET_BUY_TRIGGER,7UUhSRHInh,IFU,326.49 
[38705] CANCEL_BUY,7UUhSRHInh 
[39204] ADD,7UUhSRHInh,76387.81 
[39256] BUY,7UUhSRHInh,JII,158.79 
[39478] COMMIT_BUY,7UUhSRHInh 
[39536] SET_SELL_TRIGGER,7UUhSRHInh,TGY,49.18 
[39700] DISPLAY_SUMMARY,7UUhSRHInh 
[39742] ADD,7UUhSRHInh,56573.52 
[39835] COMMIT_SELL,7UUhSRHInh 
[39875] SET_SELL_AMOUNT,7UUhSRHInh,JQO,667.57 
[39898] SET_SELL_TRIGGER,7UUhSRHInh,JQO,654.08 
[40052] SET_BUY_AMOUNT,7UUhSRHInh,KDA,268.91 
[40054] SET_BUY_TRIGGER,7UUhSRHInh,ZFT,26.60 
[40202] SET_BUY_TRIGGER,7UUhSRHInh,QZN,144.36 
[40282] ADD,7UUhSRHInh,57252.97 
[40406] QUOTE,7UUhSRHInh,DJD 
[40507] SET_BUY_AMOUNT,7UUhSRHInh,ZAN,538.45 
[40544] SET_BUY_TRIGGER,7UUhSRHInh,XBL,489.96 
[40597] BUY,7UUhSRHInh,SYT,377.69 
[40642] COMMIT_BUY,7UUhSRHInh 
[40727] DISPLAY_SUMMARY,7UUhSRHInh 
[40841] BUY,7UUhSRHInh,DQW,101.73 
[40952] COMMIT_BUY,7UUhSRHInh 
[41000] DISPLAY_SUMMARY,7UUhSRHInh 
[41196] CANCEL_SELL,7UUhSRHInh 
[41218] SET_BUY_AMOUNT,7UUhSRHInh,OPN,559.58 
[41270] SET_BUY_TRIGGER,7UUhSRHInh,CXW,513.40 
[41506] DISPLAY_SUMMARY,7UUhSRHInh 
[41547] SELL,7UUhSRHInh,NHG,292.21 
[41586] COMMIT_SELL,7UUhSRHInh 
[41773] CANCEL_SET_BUY,7UUhSRHInh,SQO 
[41814] DISPLAY_SUMMARY,7UUhSRHInh 
[41981] QUOTE,7UUhSRHInh,WZY 
[42100] QUOTE,7UUhSRHInh,SJG 
[42162] BUY,7UUhSRHInh,AVX,56.72 
[42291] COMMIT_BUY,7UUhSRHInh 
[42374] SELL,7UUhSRHInh,YJK,549.89 
[42537] COMMIT_SELL,7UUhSRHInh 
[42538] QUOTE,7UUhSRHInh,IIX 
[42653] CANCEL_SELL,7UUhSRHInh 
[42712] SET_BUY_TRIGGER,7UUhSRHInh,MWM,108.66 
[42730] SET_SELL_AMOUNT,7UUhSRHInh,BYA,265.73 
[42768] SET_SELL_TRIGGER,7UUhSRHInh,BYA,113.96 
[42807] ADD,7UUhSRHInh,87355.21 
[42811] BUY,7UUhSRHInh,URY,421.48 
[42814] COMMIT_BUY,7UUhSRHInh 
[42824] ADD,7UUhSRHInh,61384.27 
[42954] QUOTE,7UUhSRHInh,WUL 
[43115] CANCEL_SET_SELL,7UUhSRHInh,FFZ 
[43160] ADD,7UUhSRHInh,48533.31 
[43237] QUOTE,7UUhSRHInh,IOY 
[43403] BUY,7UUhSRHInh,MMY,478.51 
[43504] COMMIT_BUY,7UUhSRHInh 
[43733] QUOTE,7UUhSRHInh,LJZ 
[43803] DISPLAY_SUMMARY,7UUhSRHInh 
[43818] ADD,7UUhSRHInh,38224.98 
[43878] BUY,7UUhSRHInh,QAA,263.07 
[44079] COMMIT_BUY,7UUhSRHInh 
[44133] SET_SELL_TRIGGER,7UUhSRHInh,MQP,151.99 
[44135] QUOTE,7UUhSRHInh,XOL 
[44373] QUOTE,7UUhSRHInh,EWP 
[44403] DISPLAY_SUMMARY,7UUhSRHInh 
[44535] SELL,7UUhSRHInh,KDA,659.18 
[44633] SELL,7UUhSRHInh,BCQ,700.25 
[44670] SET_SELL_TRIGGER,7UUhSRHInh,PBX,83.99 
[44720] DISPLAY_SUMMARY,7UUhSRHInh 
[44830] DISPLAY_SUMMARY,7UUhSRHInh 
