[15] ADD,AnPcs8yTdQ,79054.85 
[7949] SET_SELL_TRIGGER,AnPcs8yTdQ,PXX,51.40 
[8115] DISPLAY_SUMMARY,AnPcs8yTdQ 
[8288] ADD,AnPcs8yTdQ,68865.51 
[8828] QUOTE,AnPcs8yTdQ,YLZ 
[8935] BUY,AnPcs8yTdQ,OLH,477.26 
[8962] COMMIT_BUY,AnPcs8yTdQ 
[9000] SET_BUY_AMOUNT,AnPcs8yTdQ,FQP,217.28 
[9125] BUY,AnPcs8yTdQ,APY,569.80 
[9352] SET_BUY_TRIGGER,AnPcs8yTdQ,XOL,140.61 
[9391] ADD,AnPcs8yTdQ,77574.09 
[9662] COMMIT_BUY,AnPcs8yTdQ 
[9689] QUOTE,AnPcs8yTdQ,IOY 
[9814] DISPLAY_SUMMARY,AnPcs8yTdQ 
[10003] SET_SELL_TRIGGER,AnPcs8yTdQ,ILT,194.51 
[10007] SELL,AnPcs8yTdQ,KDA,361.64 
[10082] SET_BUY_AMOUNT,AnPcs8yTdQ,QJZ,193.79 
[10086] SET_BUY_TRIGGER,AnPcs8yTdQ,MLU,31.23 
[10107] CANCEL_BUY,AnPcs8yTdQ 
[10188] QUOTE,AnPcs8yTdQ,MZT 
[10217] QUOTE,AnPcs8yTdQ,DDH 
[10301] QUOTE,AnPcs8yTdQ,PVH 
[10381] QUOTE,AnPcs8yTdQ,ALM 
[10544] BUY,AnPcs8yTdQ,ZCG,584.71 
[10559] COMMIT_BUY,AnPcs8yTdQ 
[10609] ADD,AnPcs8yTdQ,29057.05 
[10720] BUY,AnPcs8yTdQ,JLO,245.12 
[10866] COMMIT_BUY,AnPcs8yTdQ 
[10927] SET_BUY_TRIGGER,AnPcs8yTdQ,RDK,48.25 
[10972] QUOTE,AnPcs8yTdQ,EDV 
[10989] BUY,AnPcs8yTdQ,PDB,558.76 
[11156] COMMIT_BUY,AnPcs8yTdQ 
[11182] DISPLAY_SUMMARY,AnPcs8yTdQ 
[11424] DISPLAY_SUMMARY,AnPcs8yTdQ 
[11541] QUOTE,AnPcs8yTdQ,ASJ 
[11559] DISPLAY_SUMMARY,AnPcs8yTdQ 
[11799] ADD,AnPcs8yTdQ,48697.66 
[12148] QUOTE,AnPcs8yTdQ,JOJ 
[12399] QUOTE,AnPcs8yTdQ,SCK 
[12423] BUY,AnPcs8yTdQ,UMV,210.12 
[12635] COMMIT_BUY,AnPcs8yTdQ 
[12744] ADD,AnPcs8yTdQ,71894.34 
[12954] QUOTE,AnPcs8yTdQ,LLF 
[13042] ADD,AnPcs8yTdQ,95595.85 
[13122] BUY,AnPcs8yTdQ,TSU,559.53 
[13212] SET_BUY_AMOUNT,AnPcs8yTdQ,GYF,427.15 
[13290] DISPLAY_SUMMARY,AnPcs8yTdQ 
[13323] SET_SELL_TRIGGER,AnPcs8yTdQ,MGO,115.93 
[13617] BUY,AnPcs8yTdQ,GPL,264.32 
[13693] COMMIT_SELL,AnPcs8yTdQ 
[13961] SET_SELL_TRIGGER,AnPcs8yTdQ,VNN,111.55 
[13969] ADD,AnPcs8yTdQ,52292.01 
[14023] BUY,AnPcs8yTdQ,VJB,491.24 
[14097] COMMIT_BUY,AnPcs8yTdQ 
[14105] CANCEL_BUY,AnPcs8yTdQ 
[14140] DISPLAY_SUMMARY,AnPcs8yTdQ 
[14177] ADD,AnPcs8yTdQ,86583.11 
[14486] BUY,AnPcs8yTdQ,QJZ,280.43 
[14515] COMMIT_BUY,AnPcs8yTdQ 
[14863] ADD,AnPcs8yTdQ,48788.32 
[15018] QUOTE,AnPcs8yTdQ,BYA 
[15065] QUOTE,AnPcs8yTdQ,TGY 
[15112] QUOTE,AnPcs8yTdQ,ZGN 
[15170] BUY,AnPcs8yTdQ,CVP,300.44 
[15477] COMMIT_BUY,AnPcs8yTdQ 
[15584] BUY,AnPcs8yTdQ,IPH,702.83 
[15603] BUY,AnPcs8yTdQ,HZE,38.82 
[15775] SET_SELL_TRIGGER,AnPcs8yTdQ,DWK,1.15 
[15926] QUOTE,AnPcs8yTdQ,TTY 
[15965] SELL,AnPcs8yTdQ,QJZ,308.98 
[16052] COMMIT_SELL,AnPcs8yTdQ 
[16128] DISPLAY_SUMMARY,AnPcs8yTdQ 
[16336] ADD,AnPcs8yTdQ,65060.56 
[16538] BUY,AnPcs8yTdQ,CVV,390.02 
[16606] SET_BUY_TRIGGER,AnPcs8yTdQ,WNX,377.37 
[16665] DISPLAY_SUMMARY,AnPcs8yTdQ 
[16668] SELL,AnPcs8yTdQ,JCQ,336.67 
[16841] CANCEL_BUY,AnPcs8yTdQ 
[16843] ADD,AnPcs8yTdQ,61013.44 
[16862] QUOTE,AnPcs8yTdQ,VOU 
[16917] BUY,AnPcs8yTdQ,GRM,548.56 
[17012] SET_BUY_AMOUNT,AnPcs8yTdQ,QJZ,566.06 
[17049] BUY,AnPcs8yTdQ,ZCQ,230.95 
[17076] DISPLAY_SUMMARY,AnPcs8yTdQ 
[17117] QUOTE,AnPcs8yTdQ,GLO 
[17598] SET_SELL_TRIGGER,AnPcs8yTdQ,GXT,124.80 
[17926] SET_BUY_AMOUNT,AnPcs8yTdQ,EBS,383.80 
[17981] SET_BUY_TRIGGER,AnPcs8yTdQ,KHD,153.95 
[18019] SET_SELL_TRIGGER,AnPcs8yTdQ,ALV,1.98 
[18095] BUY,AnPcs8yTdQ,NDJ,688.35 
[18140] CANCEL_BUY,AnPcs8yTdQ 
[18238] BUY,AnPcs8yTdQ,HNW,171.66 
[18425] BUY,AnPcs8yTdQ,STO,580.55 
[18646] COMMIT_BUY,AnPcs8yTdQ 
[18720] SET_SELL_AMOUNT,AnPcs8yTdQ,QJZ,26.50 
[18814] DISPLAY_SUMMARY,AnPcs8yTdQ 
[18840] SET_BUY_AMOUNT,AnPcs8yTdQ,OEY,689.99 
[18898] SET_BUY_TRIGGER,AnPcs8yTdQ,YVX,472.91 
[19003] SELL,AnPcs8yTdQ,QAX,56.72 
[19028] SET_BUY_TRIGGER,AnPcs8yTdQ,MIR,185.55 
[19234] QUOTE,AnPcs8yTdQ,DQW 
[19276] BUY,AnPcs8yTdQ,EOY,373.19 
[19507] COMMIT_BUY,AnPcs8yTdQ 
[19685] SET_SELL_TRIGGER,AnPcs8yTdQ,QJZ,8.55 
[19771] SET_SELL_TRIGGER,AnPcs8yTdQ,IKK,13.73 
[19818] QUOTE,AnPcs8yTdQ,EIH 
[19846] COMMIT_BUY,AnPcs8yTdQ 
[19899] QUOTE,AnPcs8yTdQ,FCM 
[19924] BUY,AnPcs8yTdQ,QPX,227.68 
[19985] COMMIT_BUY,AnPcs8yTdQ 
[20244] ADD,AnPcs8yTdQ,42607.03 
[20309] COMMIT_SELL,AnPcs8yTdQ 
[20350] ADD,AnPcs8yTdQ,101528.20 
[20481] CANCEL_SET_BUY,AnPcs8yTdQ,NJF 
[20493] ADD,AnPcs8yTdQ,61678.07 
[20500] BUY,AnPcs8yTdQ,NUV,147.93 
[20504] COMMIT_BUY,AnPcs8yTdQ 
[20523] ADD,AnPcs8yTdQ,81837.60 
[20703] BUY,AnPcs8yTdQ,RVU,619.76 
[20742] QUOTE,AnPcs8yTdQ,DNJ 
[20934] ADD,AnPcs8yTdQ,81915.49 
[21161] BUY,AnPcs8yTdQ,IGI,639.06 
[21247] CANCEL_BUY,AnPcs8yTdQ 
[21285] SET_BUY_AMOUNT,AnPcs8yTdQ,KES,246.52 
[21345] SET_BUY_TRIGGER,AnPcs8yTdQ,WHR,15.30 
[21488] SET_BUY_TRIGGER,AnPcs8yTdQ,VDP,149.54 
[21508] SET_SELL_AMOUNT,AnPcs8yTdQ,EBS,318.24 
[21510] SET_SELL_TRIGGER,AnPcs8yTdQ,EBS,253.97 
[21565] ADD,AnPcs8yTdQ,72988.21 
[21591] QUOTE,AnPcs8yTdQ,AXK 
[21640] SET_BUY_AMOUNT,AnPcs8yTdQ,FQP,659.08 
[21723] SET_BUY_TRIGGER,AnPcs8yTdQ,EED,644.36 
[21871] DISPLAY_SUMMARY,AnPcs8yTdQ 
[21997] ADD,AnPcs8yTdQ,86119.77 
[22051] QUOTE,AnPcs8yTdQ,PPY 
[22108] BUY,AnPcs8yTdQ,ZAM,201.52 
[22124] SET_BUY_TRIGGER,AnPcs8yTdQ,YDS,40.08 
[22146] SET_SELL_TRIGGER,AnPcs8yTdQ,ASJ,145.81 
[22225] SET_SELL_AMOUNT,AnPcs8yTdQ,KDA,247.04 
[22284] SET_SELL_TRIGGER,AnPcs8yTdQ,KDA,125.91 
[22348] SET_BUY_AMOUNT,AnPcs8yTdQ,KES,298.66 
[22395] SET_BUY_TRIGGER,AnPcs8yTdQ,TSS,279.31 
[22439] SET_SELL_AMOUNT,AnPcs8yTdQ,QAX,546.62 
[22635] SET_SELL_TRIGGER,AnPcs8yTdQ,QAX,387.66 
[22655] QUOTE,AnPcs8yTdQ,ZAM 
[22780] ADD,AnPcs8yTdQ,69544.53 
[22879] SELL,AnPcs8yTdQ,EBS,348.35 
[22914] SET_BUY_TRIGGER,AnPcs8yTdQ,UGT,61.99 
[22929] SET_BUY_AMOUNT,AnPcs8yTdQ,OEY,262.83 
[23192] SET_BUY_TRIGGER,AnPcs8yTdQ,HYX,201.49 
[23246] DISPLAY_SUMMARY,AnPcs8yTdQ 
[23268] SET_BUY_TRIGGER,AnPcs8yTdQ,ZZN,157.97 
[23637] DISPLAY_SUMMARY,AnPcs8yTdQ 
[23699] ADD,AnPcs8yTdQ,63830.58 
[23716] QUOTE,AnPcs8yTdQ,YNY 
[23800] BUY,AnPcs8yTdQ,YGK,310.57 
[23814] CANCEL_SET_SELL,AnPcs8yTdQ,HIN 
[23850] SELL,AnPcs8yTdQ,JCQ,579.09 
[23989] CANCEL_SET_SELL,AnPcs8yTdQ,JII 
[24374] CANCEL_SET_SELL,AnPcs8yTdQ,NEV 
[24405] SET_BUY_TRIGGER,AnPcs8yTdQ,ZJB,3.72 
[24591] ADD,AnPcs8yTdQ,59521.46 
[24667] SET_BUY_TRIGGER,AnPcs8yTdQ,JIC,161.39 
[24750] SELL,AnPcs8yTdQ,GYF,741.04 
[24915] COMMIT_SELL,AnPcs8yTdQ 
[24917] ADD,AnPcs8yTdQ,112700.84 
[24968] QUOTE,AnPcs8yTdQ,MQH 
[25173] BUY,AnPcs8yTdQ,KZZ,350.92 
[25256] COMMIT_BUY,AnPcs8yTdQ 
[25286] SET_SELL_TRIGGER,AnPcs8yTdQ,VFH,126.49 
[25577] QUOTE,AnPcs8yTdQ,CBX 
[25581] ADD,AnPcs8yTdQ,72862.42 
[25695] BUY,AnPcs8yTdQ,MOS,516.78 
[25771] QUOTE,AnPcs8yTdQ,GED 
[25902] BUY,AnPcs8yTdQ,CBO,523.42 
[26113] COMMIT_BUY,AnPcs8yTdQ 
[26352] BUY,AnPcs8yTdQ,WNU,331.59 
[26399] COMMIT_BUY,AnPcs8yTdQ 
[26414] ADD,AnPcs8yTdQ,78638.93 
[26430] QUOTE,AnPcs8yTdQ,KJH 
[26540] SET_BUY_AMOUNT,AnPcs8yTdQ,KES,34.92 
[26749] BUY,AnPcs8yTdQ,NUL,407.30 
[27229] SET_SELL_TRIGGER,AnPcs8yTdQ,GSW,160.46 
[27293] ADD,AnPcs8yTdQ,92384.84 
[27548] QUOTE,AnPcs8yTdQ,BRZ 
[27573] COMMIT_BUY,AnPcs8yTdQ 
[27646] DISPLAY_SUMMARY,AnPcs8yTdQ 
[27718] SET_SELL_TRIGGER,AnPcs8yTdQ,FLD,108.29 
[27799] CANCEL_BUY,AnPcs8yTdQ 
[27821] DISPLAY_SUMMARY,AnPcs8yTdQ 
[27936] ADD,AnPcs8yTdQ,84561.77 
[28063] BUY,AnPcs8yTdQ,YAZ,344.42 
[28071] ADD,AnPcs8yTdQ,61006.66 
[28191] SET_BUY_TRIGGER,AnPcs8yTdQ,KPE,19.38 
[28290] ADD,AnPcs8yTdQ,43254.69 
[28312] BUY,AnPcs8yTdQ,NTB,100.52 
[28327] CANCEL_SET_BUY,AnPcs8yTdQ,PSJ 
[28364] SELL,AnPcs8yTdQ,JVT,378.80 
[28490] COMMIT_SELL,AnPcs8yTdQ 
[28668] SET_SELL_TRIGGER,AnPcs8yTdQ,QVA,114.70 
[28740] SET_BUY_AMOUNT,AnPcs8yTdQ,UTV,218.25 
[28769] CANCEL_SET_BUY,AnPcs8yTdQ,IFC 
[28773] SET_BUY_AMOUNT,AnPcs8yTdQ,NHG,491.31 
[28855] CANCEL_SET_BUY,AnPcs8yTdQ,PXY 
[28962] COMMIT_SELL,AnPcs8yTdQ 
[28969] SET_BUY_AMOUNT,AnPcs8yTdQ,JVT,351.92 
[29153] SET_BUY_TRIGGER,AnPcs8yTdQ,NSN,56.45 
[29486] SET_SELL_TRIGGER,AnPcs8yTdQ,VWU,68.50 
[29621] CANCEL_BUY,AnPcs8yTdQ 
[29645] SET_BUY_TRIGGER,AnPcs8yTdQ,KJM,44.96 
[29951] SET_BUY_TRIGGER,AnPcs8yTdQ,ZWZ,168.53 
[30050] SET_SELL_TRIGGER,AnPcs8yTdQ,QXE,163.23 
[30098] ADD,AnPcs8yTdQ,53006.86 
[30124] QUOTE,AnPcs8yTdQ,GMF 
[30138] CANCEL_BUY,AnPcs8yTdQ 
[30277] SELL,AnPcs8yTdQ,UTV,244.59 
[30321] COMMIT_SELL,AnPcs8yTdQ 
[30356] BUY,AnPcs8yTdQ,JQG,332.24 
[30393] BUY,AnPcs8yTdQ,GDO,438.61 
[30512] COMMIT_BUY,AnPcs8yTdQ 
[30513] DISPLAY_SUMMARY,AnPcs8yTdQ 
[30559] QUOTE,AnPcs8yTdQ,ARP 
[30740] CANCEL_SET_BUY,AnPcs8yTdQ,MXN 
[31013] BUY,AnPcs8yTdQ,KJH,746.64 
[31265] CANCEL_BUY,AnPcs8yTdQ 
[31267] SET_SELL_AMOUNT,AnPcs8yTdQ,QJZ,194.99 
[31287] SET_SELL_TRIGGER,AnPcs8yTdQ,QJZ,31.35 
[31289] DISPLAY_SUMMARY,AnPcs8yTdQ 
[31662] ADD,AnPcs8yTdQ,55119.31 
[31716] BUY,AnPcs8yTdQ,BBD,534.32 
[31767] CANCEL_SET_SELL,AnPcs8yTdQ,BOS 
[31794] BUY,AnPcs8yTdQ,WDC,252.56 
[31808] COMMIT_SELL,AnPcs8yTdQ 
[31819] SELL,AnPcs8yTdQ,QJZ,222.79 
[31958] CANCEL_SELL,AnPcs8yTdQ 
[32048] SET_BUY_AMOUNT,AnPcs8yTdQ,LFU,130.86 
[32169] SET_BUY_TRIGGER,AnPcs8yTdQ,QVK,41.42 
[32315] SET_BUY_TRIGGER,AnPcs8yTdQ,VMK,78.86 
[32324] SELL,AnPcs8yTdQ,JCQ,372.03 
[32443] CANCEL_SELL,AnPcs8yTdQ 
[32483] SELL,AnPcs8yTdQ,OEY,462.25 
[32491] SET_SELL_AMOUNT,AnPcs8yTdQ,OEY,518.22 
[32617] SET_SELL_TRIGGER,AnPcs8yTdQ,OEY,384.40 
[32700] BUY,AnPcs8yTdQ,SXB,399.18 
[32717] CANCEL_SET_SELL,AnPcs8yTdQ,QLM 
[32911] SET_BUY_AMOUNT,AnPcs8yTdQ,RUN,523.72 
[33003] SELL,AnPcs8yTdQ,EBS,583.24 
[33104] ADD,AnPcs8yTdQ,75489.15 
[33217] BUY,AnPcs8yTdQ,NGB,219.94 
[33427] COMMIT_BUY,AnPcs8yTdQ 
[33467] SET_BUY_TRIGGER,AnPcs8yTdQ,KJH,271.75 
[33663] SELL,AnPcs8yTdQ,QJZ,372.93 
[33666] BUY,AnPcs8yTdQ,NUV,532.01 
[33685] DISPLAY_SUMMARY,AnPcs8yTdQ 
[33701] COMMIT_SELL,AnPcs8yTdQ 
[33786] DISPLAY_SUMMARY,AnPcs8yTdQ 
[33829] ADD,AnPcs8yTdQ,85903.60 
[33902] BUY,AnPcs8yTdQ,BJL,126.95 
[33983] DISPLAY_SUMMARY,AnPcs8yTdQ 
[34123] BUY,AnPcs8yTdQ,CTS,439.02 
[34130] CANCEL_BUY,AnPcs8yTdQ 
[34136] QUOTE,AnPcs8yTdQ,WUL 
[34142] BUY,AnPcs8yTdQ,OGB,20.90 
[34261] COMMIT_BUY,AnPcs8yTdQ 
[34352] QUOTE,AnPcs8yTdQ,RFI 
[34383] ADD,AnPcs8yTdQ,39666.41 
[34386] QUOTE,AnPcs8yTdQ,CEC 
[34458] SET_SELL_AMOUNT,AnPcs8yTdQ,KDA,617.41 
[34459] SET_SELL_TRIGGER,AnPcs8yTdQ,KDA,245.64 
[34643] ADD,AnPcs8yTdQ,81468.93 
[34750] QUOTE,AnPcs8yTdQ,GYT 
[34801] SET_BUY_TRIGGER,AnPcs8yTdQ,MRH,80.17 
[35045] ADD,AnPcs8yTdQ,53932.43 
[35131] QUOTE,AnPcs8yTdQ,JEO 
[35278] CANCEL_SET_SELL,AnPcs8yTdQ,HIN 
[35351] BUY,AnPcs8yTdQ,PLB,315.71 
[35364] COMMIT_BUY,AnPcs8yTdQ 
[35370] SET_SELL_TRIGGER,AnPcs8yTdQ,GED,48.87 
[35377] ADD,AnPcs8yTdQ,72691.22 
[35482] SET_BUY_AMOUNT,AnPcs8yTdQ,ZAN,708.99 
[35554] DISPLAY_SUMMARY,AnPcs8yTdQ 
[35642] DISPLAY_SUMMARY,AnPcs8yTdQ 
[35668] CANCEL_SET_SELL,AnPcs8yTdQ,OLH 
[35721] SET_BUY_AMOUNT,AnPcs8yTdQ,JRJ,458.56 
[35840] SET_BUY_TRIGGER,AnPcs8yTdQ,WHR,307.08 
[35844] SET_BUY_TRIGGER,AnPcs8yTdQ,RXB,160.24 
[35905] SELL,AnPcs8yTdQ,FQP,57.77 
[36028] COMMIT_SELL,AnPcs8yTdQ 
[36325] SELL,AnPcs8yTdQ,JVT,674.08 
[36371] COMMIT_SELL,AnPcs8yTdQ 
[36390] DISPLAY_SUMMARY,AnPcs8yTdQ 
[36422] BUY,AnPcs8yTdQ,DBT,300.39 
[36431] COMMIT_BUY,AnPcs8yTdQ 
[36483] QUOTE,AnPcs8yTdQ,NTB 
[36569] SET_BUY_TRIGGER,AnPcs8yTdQ,SCW,0.77 
[36606] SET_BUY_TRIGGER,AnPcs8yTdQ,YTY,112.32 
[36761] DISPLAY_SUMMARY,AnPcs8yTdQ 
[36853] QUOTE,AnPcs8yTdQ,KAH 
[37150] SET_BUY_AMOUNT,AnPcs8yTdQ,XXQ,344.92 
[37151] CANCEL_SET_BUY,AnPcs8yTdQ,PVH 
[37186] DISPLAY_SUMMARY,AnPcs8yTdQ 
[37292] SET_SELL_AMOUNT,AnPcs8yTdQ,BCQ,548.95 
[37542] SET_SELL_TRIGGER,AnPcs8yTdQ,BCQ,442.95 
[37566] COMMIT_BUY,AnPcs8yTdQ 
[37599] DISPLAY_SUMMARY,AnPcs8yTdQ 
[37796] BUY,AnPcs8yTdQ,TAR,674.87 
[37933] QUOTE,AnPcs8yTdQ,SQO 
[38263] BUY,AnPcs8yTdQ,LFU,272.20 
[38593] COMMIT_BUY,AnPcs8yTdQ 
[38802] BUY,AnPcs8yTdQ,BBD,167.56 
[38929] COMMIT_BUY,AnPcs8yTdQ 
[39003] SELL,AnPcs8yTdQ,ZAN,325.75 
[39592] COMMIT_SELL,AnPcs8yTdQ 
[39713] SELL,AnPcs8yTdQ,XXQ,257.96 
[39860] CANCEL_BUY,AnPcs8yTdQ 
[40047] ADD,AnPcs8yTdQ,88734.84 
[40063] BUY,AnPcs8yTdQ,NUV,367.72 
[40065] SELL,AnPcs8yTdQ,QJZ,227.02 
[40104] CANCEL_SET_BUY,AnPcs8yTdQ,PVZ 
[40253] SET_BUY_AMOUNT,AnPcs8yTdQ,JRJ,169.41 
[40262] SET_BUY_TRIGGER,AnPcs8yTdQ,JNO,33.45 
[40264] SET_SELL_AMOUNT,AnPcs8yTdQ,ZAN,230.75 
[40296] SET_SELL_TRIGGER,AnPcs8yTdQ,ZAN,73.41 
[40830] SET_BUY_AMOUNT,AnPcs8yTdQ,KES,532.98 
[40905] BUY,AnPcs8yTdQ,JCL,334.78 
[40970] SET_SELL_TRIGGER,AnPcs8yTdQ,IRQ,11.73 
[41042] SET_SELL_TRIGGER,AnPcs8yTdQ,CAX,143.55 
[41122] CANCEL_BUY,AnPcs8yTdQ 
[41266] QUOTE,AnPcs8yTdQ,NDO 
[41285] SET_BUY_AMOUNT,AnPcs8yTdQ,JVT,106.36 
[41337] SET_BUY_TRIGGER,AnPcs8yTdQ,ONI,67.01 
[41423] ADD,AnPcs8yTdQ,68874.40 
[41597] QUOTE,AnPcs8yTdQ,QZN 
[41890] SELL,AnPcs8yTdQ,ZAN,560.96 
[41907] CANCEL_SELL,AnPcs8yTdQ 
[41917] DISPLAY_SUMMARY,AnPcs8yTdQ 
[42051] ADD,AnPcs8yTdQ,56342.14 
[42234] QUOTE,AnPcs8yTdQ,KLY 
[42296] CANCEL_BUY,AnPcs8yTdQ 
[42365] SELL,AnPcs8yTdQ,CUZ,11.00 
[42384] ADD,AnPcs8yTdQ,112222.63 
[42541] BUY,AnPcs8yTdQ,CZQ,472.55 
[42643] COMMIT_BUY,AnPcs8yTdQ 
[42702] SELL,AnPcs8yTdQ,RGH,583.63 
[42718] CANCEL_SELL,AnPcs8yTdQ 
[42733] ADD,AnPcs8yTdQ,59680.86 
[43352] QUOTE,AnPcs8yTdQ,DXL 
[43555] QUOTE,AnPcs8yTdQ,KCS 
[43889] BUY,AnPcs8yTdQ,ROW,610.11 
[44006] COMMIT_BUY,AnPcs8yTdQ 
[44151] SET_SELL_AMOUNT,AnPcs8yTdQ,RNK,672.03 
[44400] SET_SELL_TRIGGER,AnPcs8yTdQ,RNK,613.11 
[44407] SET_SELL_TRIGGER,AnPcs8yTdQ,QPE,126.98 
[44593] BUY,AnPcs8yTdQ,ZOZ,477.60 
[44756] SET_SELL_TRIGGER,AnPcs8yTdQ,QWC,91.64 
[45050] DISPLAY_SUMMARY,AnPcs8yTdQ 
[45417] DISPLAY_SUMMARY,AnPcs8yTdQ 
[45506] BUY,AnPcs8yTdQ,XFH,512.34 
[45539] COMMIT_BUY,AnPcs8yTdQ 
[45593] SET_SELL_AMOUNT,AnPcs8yTdQ,UTV,288.98 
[45674] DISPLAY_SUMMARY,AnPcs8yTdQ 
[45820] SET_BUY_TRIGGER,AnPcs8yTdQ,PWK,26.39 
[46276] SET_BUY_AMOUNT,AnPcs8yTdQ,OPN,560.65 
[46449] SET_BUY_TRIGGER,AnPcs8yTdQ,WZY,49.94 
[46516] SET_BUY_AMOUNT,AnPcs8yTdQ,RGH,454.74 
[46531] CANCEL_SET_BUY,AnPcs8yTdQ,WKG 
[46637] DISPLAY_SUMMARY,AnPcs8yTdQ 
[46964] ADD,AnPcs8yTdQ,52902.58 
[46979] BUY,AnPcs8yTdQ,ZCO,475.90 
[47106] DISPLAY_SUMMARY,AnPcs8yTdQ 
[47252] COMMIT_SELL,AnPcs8yTdQ 
[47527] ADD,AnPcs8yTdQ,63590.41 
[47657] SET_BUY_AMOUNT,AnPcs8yTdQ,RUN,26.00 
[47733] SET_BUY_TRIGGER,AnPcs8yTdQ,EDV,0.12 
[47879] BUY,AnPcs8yTdQ,HSJ,588.05 
[47889] COMMIT_BUY,AnPcs8yTdQ 
