[147] ADD,pIkIgs3Y8E,65033.99 
[4059] CANCEL_SET_BUY,pIkIgs3Y8E,MOM 
[4383] BUY,pIkIgs3Y8E,IGT,123.23 
[4437] CANCEL_SET_BUY,pIkIgs3Y8E,FQR 
[4563] SET_BUY_TRIGGER,pIkIgs3Y8E,VKP,190.22 
[4759] CANCEL_SET_BUY,pIkIgs3Y8E,YZC 
[4761] ADD,pIkIgs3Y8E,83218.09 
[4789] QUOTE,pIkIgs3Y8E,GRD 
[4990] QUOTE,pIkIgs3Y8E,XME 
[5049] BUY,pIkIgs3Y8E,EIK,678.71 
[5078] COMMIT_BUY,pIkIgs3Y8E 
[5103] SET_BUY_AMOUNT,pIkIgs3Y8E,KDA,464.44 
[5315] SET_BUY_TRIGGER,pIkIgs3Y8E,PVZ,11.21 
[5337] QUOTE,pIkIgs3Y8E,MLI 
[5355] QUOTE,pIkIgs3Y8E,EHF 
[5381] SET_BUY_AMOUNT,pIkIgs3Y8E,QJZ,749.55 
[5427] SET_BUY_TRIGGER,pIkIgs3Y8E,ENQ,207.38 
[5575] SELL,pIkIgs3Y8E,FQP,228.90 
[5655] COMMIT_SELL,pIkIgs3Y8E 
[5805] DISPLAY_SUMMARY,pIkIgs3Y8E 
[5808] ADD,pIkIgs3Y8E,63420.28 
[5881] BUY,pIkIgs3Y8E,HVE,325.07 
[5926] BUY,pIkIgs3Y8E,ZYF,626.01 
[6063] COMMIT_BUY,pIkIgs3Y8E 
[6125] DISPLAY_SUMMARY,pIkIgs3Y8E 
[6240] ADD,pIkIgs3Y8E,70166.82 
[6254] CANCEL_BUY,pIkIgs3Y8E 
[6291] SELL,pIkIgs3Y8E,KDA,425.56 
[6302] SET_SELL_TRIGGER,pIkIgs3Y8E,SMS,131.49 
[6343] ADD,pIkIgs3Y8E,70367.01 
[6351] QUOTE,pIkIgs3Y8E,OEN 
[6379] SELL,pIkIgs3Y8E,KDA,574.67 
[6523] CANCEL_SET_BUY,pIkIgs3Y8E,IWL 
[6531] CANCEL_SET_SELL,pIkIgs3Y8E,CMA 
[6543] SELL,pIkIgs3Y8E,FQP,202.19 
[6782] CANCEL_SET_SELL,pIkIgs3Y8E,FKI 
[6937] DISPLAY_SUMMARY,pIkIgs3Y8E 
[7116] COMMIT_BUY,pIkIgs3Y8E 
[7118] ADD,pIkIgs3Y8E,79226.92 
[7221] BUY,pIkIgs3Y8E,FGF,572.58 
[7247] CANCEL_SET_BUY,pIkIgs3Y8E,JJW 
[7401] QUOTE,pIkIgs3Y8E,CVP 
[7514] COMMIT_BUY,pIkIgs3Y8E 
[7536] DISPLAY_SUMMARY,pIkIgs3Y8E 
[7658] DISPLAY_SUMMARY,pIkIgs3Y8E 
[7742] SET_BUY_AMOUNT,pIkIgs3Y8E,KDA,93.49 
[7775] CANCEL_SET_BUY,pIkIgs3Y8E,NLP 
[8063] SET_BUY_TRIGGER,pIkIgs3Y8E,VVV,59.71 
[8266] QUOTE,pIkIgs3Y8E,YAV 
[8320] QUOTE,pIkIgs3Y8E,NGB 
[8332] QUOTE,pIkIgs3Y8E,AED 
[8388] BUY,pIkIgs3Y8E,PPW,186.83 
[8507] SET_BUY_AMOUNT,pIkIgs3Y8E,FQP,567.44 
[8569] SET_BUY_TRIGGER,pIkIgs3Y8E,KAO,308.86 
[8586] DISPLAY_SUMMARY,pIkIgs3Y8E 
[8610] ADD,pIkIgs3Y8E,77825.08 
[8772] BUY,pIkIgs3Y8E,ETB,70.00 
[8993] QUOTE,pIkIgs3Y8E,SQS 
[9042] ADD,pIkIgs3Y8E,53396.12 
[9298] QUOTE,pIkIgs3Y8E,WDC 
[9339] SET_BUY_TRIGGER,pIkIgs3Y8E,OOI,89.69 
[9513] SET_BUY_TRIGGER,pIkIgs3Y8E,OYS,105.83 
[9523] SET_SELL_TRIGGER,pIkIgs3Y8E,JQO,172.65 
[9579] DISPLAY_SUMMARY,pIkIgs3Y8E 
[9625] ADD,pIkIgs3Y8E,103250.77 
[9637] BUY,pIkIgs3Y8E,JVE,313.83 
[9765] QUOTE,pIkIgs3Y8E,ILT 
[10034] SET_BUY_AMOUNT,pIkIgs3Y8E,KES,58.35 
[10043] SELL,pIkIgs3Y8E,KES,584.76 
[10347] COMMIT_SELL,pIkIgs3Y8E 
[10414] SET_SELL_AMOUNT,pIkIgs3Y8E,QJZ,319.13 
[10459] SET_SELL_TRIGGER,pIkIgs3Y8E,QJZ,196.24 
[10588] SELL,pIkIgs3Y8E,KES,139.69 
[10613] COMMIT_SELL,pIkIgs3Y8E 
[10817] DISPLAY_SUMMARY,pIkIgs3Y8E 
[11062] BUY,pIkIgs3Y8E,EVR,105.79 
[11091] COMMIT_BUY,pIkIgs3Y8E 
[11125] SET_BUY_TRIGGER,pIkIgs3Y8E,MOF,47.88 
[11189] SET_BUY_AMOUNT,pIkIgs3Y8E,KDA,225.38 
[11206] CANCEL_SET_BUY,pIkIgs3Y8E,VYQ 
[11312] QUOTE,pIkIgs3Y8E,QNW 
[11316] COMMIT_SELL,pIkIgs3Y8E 
[11366] DISPLAY_SUMMARY,pIkIgs3Y8E 
[11475] BUY,pIkIgs3Y8E,PXF,238.22 
[11519] COMMIT_BUY,pIkIgs3Y8E 
[11931] SELL,pIkIgs3Y8E,GYF,585.83 
[12070] CANCEL_SET_SELL,pIkIgs3Y8E,TSS 
[12231] ADD,pIkIgs3Y8E,58599.32 
[12369] QUOTE,pIkIgs3Y8E,BPP 
[12387] SET_SELL_TRIGGER,pIkIgs3Y8E,ZSV,143.54 
[12470] CANCEL_BUY,pIkIgs3Y8E 
[12583] SELL,pIkIgs3Y8E,FQP,508.01 
[12630] COMMIT_SELL,pIkIgs3Y8E 
[12776] DISPLAY_SUMMARY,pIkIgs3Y8E 
[12780] COMMIT_BUY,pIkIgs3Y8E 
[12891] BUY,pIkIgs3Y8E,YVX,540.13 
[12916] SET_BUY_AMOUNT,pIkIgs3Y8E,KES,238.70 
[12963] SET_BUY_TRIGGER,pIkIgs3Y8E,XSS,99.92 
[13018] ADD,pIkIgs3Y8E,62578.60 
[13064] BUY,pIkIgs3Y8E,GFN,711.89 
[13087] SET_BUY_AMOUNT,pIkIgs3Y8E,QJZ,630.18 
[13124] SET_BUY_TRIGGER,pIkIgs3Y8E,ZCO,223.66 
[13260] SELL,pIkIgs3Y8E,OEY,254.09 
[13594] CANCEL_SET_SELL,pIkIgs3Y8E,MWM 
[13658] QUOTE,pIkIgs3Y8E,SJH 
[13662] SET_BUY_AMOUNT,pIkIgs3Y8E,OEY,214.72 
[13691] CANCEL_SET_BUY,pIkIgs3Y8E,OZO 
[13738] SELL,pIkIgs3Y8E,KDA,419.79 
[13831] CANCEL_SET_BUY,pIkIgs3Y8E,FYA 
[14060] QUOTE,pIkIgs3Y8E,BTA 
[14095] QUOTE,pIkIgs3Y8E,ZAN 
[14180] CANCEL_SELL,pIkIgs3Y8E 
[14305] SET_SELL_AMOUNT,pIkIgs3Y8E,QJZ,250.54 
[14412] CANCEL_SET_SELL,pIkIgs3Y8E,QJZ 
[14516] ADD,pIkIgs3Y8E,78358.85 
[14518] CANCEL_SET_SELL,pIkIgs3Y8E,OTQ 
[14549] DISPLAY_SUMMARY,pIkIgs3Y8E 
[14649] BUY,pIkIgs3Y8E,QAA,581.16 
[14701] COMMIT_BUY,pIkIgs3Y8E 
[14710] BUY,pIkIgs3Y8E,MXD,456.70 
[15034] ADD,pIkIgs3Y8E,100174.66 
[15206] CANCEL_SET_SELL,pIkIgs3Y8E,PLA 
[15231] SET_SELL_AMOUNT,pIkIgs3Y8E,JCQ,552.77 
[15283] SET_SELL_TRIGGER,pIkIgs3Y8E,JCQ,257.44 
[15409] SET_SELL_TRIGGER,pIkIgs3Y8E,PHE,184.97 
[15503] QUOTE,pIkIgs3Y8E,SON 
[15553] QUOTE,pIkIgs3Y8E,KPU 
[15568] SET_BUY_AMOUNT,pIkIgs3Y8E,GYF,630.76 
[15779] SET_BUY_TRIGGER,pIkIgs3Y8E,ZNZ,157.47 
[15801] DISPLAY_SUMMARY,pIkIgs3Y8E 
[15943] ADD,pIkIgs3Y8E,104814.83 
[15948] SET_BUY_TRIGGER,pIkIgs3Y8E,FFI,42.38 
[15998] DISPLAY_SUMMARY,pIkIgs3Y8E 
[16047] DISPLAY_SUMMARY,pIkIgs3Y8E 
[16076] ADD,pIkIgs3Y8E,81168.48 
[16106] BUY,pIkIgs3Y8E,MGK,618.92 
[16149] COMMIT_SELL,pIkIgs3Y8E 
[16150] ADD,pIkIgs3Y8E,62352.78 
[16250] QUOTE,pIkIgs3Y8E,PWK 
[16277] ADD,pIkIgs3Y8E,89646.64 
[16283] BUY,pIkIgs3Y8E,LPW,311.95 
[16333] SET_BUY_TRIGGER,pIkIgs3Y8E,MXN,187.01 
[16387] SELL,pIkIgs3Y8E,JCQ,331.40 
[16552] SET_BUY_TRIGGER,pIkIgs3Y8E,NVX,194.93 
[16695] QUOTE,pIkIgs3Y8E,AJR 
[16723] QUOTE,pIkIgs3Y8E,FOW 
[16736] SET_SELL_TRIGGER,pIkIgs3Y8E,NDJ,30.20 
[16801] ADD,pIkIgs3Y8E,51082.05 
[16992] BUY,pIkIgs3Y8E,VYQ,156.81 
[17088] COMMIT_BUY,pIkIgs3Y8E 
[17104] ADD,pIkIgs3Y8E,53810.07 
[17152] BUY,pIkIgs3Y8E,ZMA,256.00 
[17157] BUY,pIkIgs3Y8E,JVT,608.67 
[17206] SET_SELL_TRIGGER,pIkIgs3Y8E,DDH,41.48 
[17254] DISPLAY_SUMMARY,pIkIgs3Y8E 
[17268] SET_SELL_AMOUNT,pIkIgs3Y8E,GYF,116.75 
[17428] BUY,pIkIgs3Y8E,SPT,249.92 
[17599] SET_BUY_AMOUNT,pIkIgs3Y8E,JVT,186.73 
[17665] CANCEL_SET_BUY,pIkIgs3Y8E,DXL 
[17670] ADD,pIkIgs3Y8E,69237.14 
[17865] QUOTE,pIkIgs3Y8E,OLH 
[17869] BUY,pIkIgs3Y8E,SVV,219.68 
[17909] COMMIT_BUY,pIkIgs3Y8E 
[18063] QUOTE,pIkIgs3Y8E,JXW 
[18252] DISPLAY_SUMMARY,pIkIgs3Y8E 
[18343] SELL,pIkIgs3Y8E,JCQ,158.26 
[18387] SET_SELL_TRIGGER,pIkIgs3Y8E,GYF,8.82 
[18584] DISPLAY_SUMMARY,pIkIgs3Y8E 
[18587] SET_SELL_AMOUNT,pIkIgs3Y8E,JRJ,379.95 
[18658] CANCEL_SET_SELL,pIkIgs3Y8E,JRJ 
[18661] ADD,pIkIgs3Y8E,66694.62 
[18707] QUOTE,pIkIgs3Y8E,MOF 
[18729] BUY,pIkIgs3Y8E,EIK,673.65 
[18760] CANCEL_SET_BUY,pIkIgs3Y8E,TXB 
[18801] BUY,pIkIgs3Y8E,ZAV,621.29 
[19063] DISPLAY_SUMMARY,pIkIgs3Y8E 
[19067] CANCEL_SET_SELL,pIkIgs3Y8E,OIY 
[19070] DISPLAY_SUMMARY,pIkIgs3Y8E 
[19074] DISPLAY_SUMMARY,pIkIgs3Y8E 
[19184] QUOTE,pIkIgs3Y8E,NGB 
[19262] DISPLAY_SUMMARY,pIkIgs3Y8E 
[19496] COMMIT_BUY,pIkIgs3Y8E 
[19822] SET_SELL_TRIGGER,pIkIgs3Y8E,ETJ,134.28 
[19925] QUOTE,pIkIgs3Y8E,MAX 
[20053] QUOTE,pIkIgs3Y8E,IQZ 
[20158] BUY,pIkIgs3Y8E,JVE,461.91 
[20159] CANCEL_SET_SELL,pIkIgs3Y8E,BVN 
[20188] SET_BUY_TRIGGER,pIkIgs3Y8E,FKX,80.29 
[20199] DISPLAY_SUMMARY,pIkIgs3Y8E 
[20202] ADD,pIkIgs3Y8E,57690.79 
[20206] CANCEL_SELL,pIkIgs3Y8E 
[20215] CANCEL_BUY,pIkIgs3Y8E 
[20217] SET_SELL_TRIGGER,pIkIgs3Y8E,LLE,161.67 
[20317] SET_SELL_AMOUNT,pIkIgs3Y8E,KES,724.76 
[20379] SET_SELL_TRIGGER,pIkIgs3Y8E,KES,513.73 
[20455] ADD,pIkIgs3Y8E,65813.57 
[20544] BUY,pIkIgs3Y8E,MLU,562.72 
[20710] COMMIT_BUY,pIkIgs3Y8E 
[20822] ADD,pIkIgs3Y8E,67363.00 
[21019] QUOTE,pIkIgs3Y8E,SCK 
[21240] DISPLAY_SUMMARY,pIkIgs3Y8E 
[21337] ADD,pIkIgs3Y8E,70353.86 
[21945] SET_BUY_AMOUNT,pIkIgs3Y8E,QJZ,354.35 
[22358] SET_BUY_TRIGGER,pIkIgs3Y8E,HBF,257.14 
[22404] BUY,pIkIgs3Y8E,YNH,110.97 
[22642] CANCEL_SET_BUY,pIkIgs3Y8E,NNW 
[22809] SET_SELL_TRIGGER,pIkIgs3Y8E,PHU,140.10 
[23158] BUY,pIkIgs3Y8E,GYT,382.71 
[23163] SET_BUY_AMOUNT,pIkIgs3Y8E,KES,151.72 
[23182] BUY,pIkIgs3Y8E,PXY,257.19 
[23440] CANCEL_BUY,pIkIgs3Y8E 
[23526] CANCEL_SELL,pIkIgs3Y8E 
[23609] ADD,pIkIgs3Y8E,72358.27 
[23773] BUY,pIkIgs3Y8E,MGO,726.32 
[24061] COMMIT_BUY,pIkIgs3Y8E 
[24292] SELL,pIkIgs3Y8E,UTV,256.73 
[24301] COMMIT_SELL,pIkIgs3Y8E 
[24455] BUY,pIkIgs3Y8E,XXT,704.24 
[24489] SET_SELL_TRIGGER,pIkIgs3Y8E,ZYR,196.56 
[24761] SELL,pIkIgs3Y8E,FQP,527.80 
[24978] CANCEL_SELL,pIkIgs3Y8E 
[25012] DISPLAY_SUMMARY,pIkIgs3Y8E 
[25239] ADD,pIkIgs3Y8E,70140.23 
[25261] BUY,pIkIgs3Y8E,GYF,213.81 
[25271] COMMIT_BUY,pIkIgs3Y8E 
[25327] ADD,pIkIgs3Y8E,87786.50 
[25454] BUY,pIkIgs3Y8E,DFE,662.78 
[25496] SET_SELL_TRIGGER,pIkIgs3Y8E,JRJ,35.96 
[25680] COMMIT_SELL,pIkIgs3Y8E 
[25738] SET_BUY_AMOUNT,pIkIgs3Y8E,KDA,228.47 
[25764] SET_BUY_TRIGGER,pIkIgs3Y8E,OWH,227.08 
[25774] SET_SELL_AMOUNT,pIkIgs3Y8E,JCQ,367.04 
[25791] SET_SELL_TRIGGER,pIkIgs3Y8E,JCQ,246.15 
[25798] DISPLAY_SUMMARY,pIkIgs3Y8E 
[25802] ADD,pIkIgs3Y8E,78643.30 
[25830] BUY,pIkIgs3Y8E,JUE,183.14 
[25875] COMMIT_BUY,pIkIgs3Y8E 
[25963] SELL,pIkIgs3Y8E,GYF,669.34 
[26109] COMMIT_SELL,pIkIgs3Y8E 
[26224] DISPLAY_SUMMARY,pIkIgs3Y8E 
[26504] SET_SELL_TRIGGER,pIkIgs3Y8E,AZN,57.74 
[26606] QUOTE,pIkIgs3Y8E,XBL 
[26623] COMMIT_BUY,pIkIgs3Y8E 
[26770] ADD,pIkIgs3Y8E,53616.75 
[26832] QUOTE,pIkIgs3Y8E,VOY 
[27049] SET_BUY_AMOUNT,pIkIgs3Y8E,KDA,583.76 
[27245] SET_BUY_TRIGGER,pIkIgs3Y8E,TSS,141.24 
[27319] SELL,pIkIgs3Y8E,JCQ,210.01 
[27356] COMMIT_SELL,pIkIgs3Y8E 
[27378] SELL,pIkIgs3Y8E,JRJ,540.21 
[27419] BUY,pIkIgs3Y8E,DVA,345.63 
[27476] COMMIT_BUY,pIkIgs3Y8E 
[27513] BUY,pIkIgs3Y8E,IQJ,137.13 
[27556] COMMIT_BUY,pIkIgs3Y8E 
[27934] SET_SELL_TRIGGER,pIkIgs3Y8E,XVK,72.53 
[28201] DISPLAY_SUMMARY,pIkIgs3Y8E 
[28254] ADD,pIkIgs3Y8E,57213.03 
[28271] QUOTE,pIkIgs3Y8E,VZB 
[28316] QUOTE,pIkIgs3Y8E,WNU 
[28684] ADD,pIkIgs3Y8E,49957.34 
[28726] QUOTE,pIkIgs3Y8E,XPX 
[28745] BUY,pIkIgs3Y8E,OBO,417.44 
[28761] COMMIT_BUY,pIkIgs3Y8E 
[28803] DISPLAY_SUMMARY,pIkIgs3Y8E 
[28839] ADD,pIkIgs3Y8E,72856.37 
[28971] CANCEL_SET_SELL,pIkIgs3Y8E,CUZ 
[29061] DISPLAY_SUMMARY,pIkIgs3Y8E 
[29144] BUY,pIkIgs3Y8E,ISQ,708.81 
[29194] COMMIT_BUY,pIkIgs3Y8E 
[29224] DISPLAY_SUMMARY,pIkIgs3Y8E 
[29282] SET_SELL_TRIGGER,pIkIgs3Y8E,UHO,119.82 
[29408] SET_SELL_TRIGGER,pIkIgs3Y8E,QLM,133.78 
[29428] SET_SELL_TRIGGER,pIkIgs3Y8E,VAT,186.03 
[29441] SELL,pIkIgs3Y8E,JVT,101.61 
[29482] CANCEL_SELL,pIkIgs3Y8E 
[29538] DISPLAY_SUMMARY,pIkIgs3Y8E 
[29563] ADD,pIkIgs3Y8E,96221.18 
[29762] BUY,pIkIgs3Y8E,SFR,476.51 
[29773] COMMIT_BUY,pIkIgs3Y8E 
[29779] SET_BUY_AMOUNT,pIkIgs3Y8E,KDA,644.77 
[30017] SET_BUY_TRIGGER,pIkIgs3Y8E,RNE,14.58 
[30129] QUOTE,pIkIgs3Y8E,FFI 
[30220] SET_SELL_AMOUNT,pIkIgs3Y8E,FQP,229.00 
[30409] CANCEL_SET_SELL,pIkIgs3Y8E,FQP 
[30529] SELL,pIkIgs3Y8E,KDA,591.20 
[30552] SET_SELL_TRIGGER,pIkIgs3Y8E,BBC,42.82 
[30616] SET_BUY_AMOUNT,pIkIgs3Y8E,KES,537.87 
[30665] SET_BUY_TRIGGER,pIkIgs3Y8E,VMT,244.41 
[30691] DISPLAY_SUMMARY,pIkIgs3Y8E 
[30752] QUOTE,pIkIgs3Y8E,DWX 
[31018] BUY,pIkIgs3Y8E,XOA,165.23 
[31038] CANCEL_BUY,pIkIgs3Y8E 
[31393] DISPLAY_SUMMARY,pIkIgs3Y8E 
[31462] QUOTE,pIkIgs3Y8E,KNM 
[31464] SET_BUY_AMOUNT,pIkIgs3Y8E,JVT,571.07 
[31651] SET_BUY_TRIGGER,pIkIgs3Y8E,WSR,343.03 
[31911] QUOTE,pIkIgs3Y8E,XII 
[31953] CANCEL_BUY,pIkIgs3Y8E 
[32027] SELL,pIkIgs3Y8E,JVT,281.13 
[32287] COMMIT_SELL,pIkIgs3Y8E 
[32360] SET_BUY_TRIGGER,pIkIgs3Y8E,OOI,108.62 
[32653] SET_SELL_AMOUNT,pIkIgs3Y8E,LFU,579.45 
[32973] SET_SELL_TRIGGER,pIkIgs3Y8E,LFU,400.54 
[33077] ADD,pIkIgs3Y8E,55432.29 
[33233] ADD,pIkIgs3Y8E,70709.51 
[33254] SET_BUY_TRIGGER,pIkIgs3Y8E,ZZN,171.88 
[33258] DISPLAY_SUMMARY,pIkIgs3Y8E 
[33449] SELL,pIkIgs3Y8E,EBS,222.35 
[33460] CANCEL_SET_SELL,pIkIgs3Y8E,KZC 
[33481] SET_BUY_TRIGGER,pIkIgs3Y8E,IGI,19.09 
[33484] CANCEL_BUY,pIkIgs3Y8E 
[33539] QUOTE,pIkIgs3Y8E,MVQ 
[33808] ADD,pIkIgs3Y8E,55040.42 
[33967] QUOTE,pIkIgs3Y8E,GPW 
[34044] QUOTE,pIkIgs3Y8E,XXN 
[34074] COMMIT_BUY,pIkIgs3Y8E 
[34124] SELL,pIkIgs3Y8E,OEY,371.63 
[34317] COMMIT_SELL,pIkIgs3Y8E 
[34456] ADD,pIkIgs3Y8E,75807.76 
[34866] DISPLAY_SUMMARY,pIkIgs3Y8E 
[35024] DISPLAY_SUMMARY,pIkIgs3Y8E 
[35172] DISPLAY_SUMMARY,pIkIgs3Y8E 
[35181] SET_BUY_AMOUNT,pIkIgs3Y8E,KDA,745.94 
[35218] SELL,pIkIgs3Y8E,JRJ,378.00 
[35308] COMMIT_SELL,pIkIgs3Y8E 
[35346] SET_SELL_AMOUNT,pIkIgs3Y8E,OEY,112.21 
[35387] SET_SELL_TRIGGER,pIkIgs3Y8E,OEY,95.54 
[35655] SELL,pIkIgs3Y8E,JQO,648.80 
[35728] COMMIT_SELL,pIkIgs3Y8E 
[35774] ADD,pIkIgs3Y8E,87256.18 
[35782] BUY,pIkIgs3Y8E,NAW,723.44 
[35866] COMMIT_BUY,pIkIgs3Y8E 
[35887] ADD,pIkIgs3Y8E,57041.93 
[35990] QUOTE,pIkIgs3Y8E,WJP 
[36200] SELL,pIkIgs3Y8E,NHG,424.72 
[36202] CANCEL_SET_SELL,pIkIgs3Y8E,NGB 
[36295] BUY,pIkIgs3Y8E,TZJ,560.16 
[36306] COMMIT_BUY,pIkIgs3Y8E 
[36310] BUY,pIkIgs3Y8E,UMN,409.09 
[36312] QUOTE,pIkIgs3Y8E,MVI 
[36344] QUOTE,pIkIgs3Y8E,IPH 
[36373] ADD,pIkIgs3Y8E,86651.59 
[36414] QUOTE,pIkIgs3Y8E,ZAO 
[36465] BUY,pIkIgs3Y8E,CJV,540.19 
[36579] COMMIT_BUY,pIkIgs3Y8E 
[36775] ADD,pIkIgs3Y8E,93594.85 
[36838] BUY,pIkIgs3Y8E,YWK,200.30 
[36924] CANCEL_BUY,pIkIgs3Y8E 
[36970] SET_BUY_TRIGGER,pIkIgs3Y8E,CXB,318.08 
[36972] ADD,pIkIgs3Y8E,41642.48 
[37014] DISPLAY_SUMMARY,pIkIgs3Y8E 
[37043] BUY,pIkIgs3Y8E,RUN,678.26 
[37316] COMMIT_BUY,pIkIgs3Y8E 
[37625] QUOTE,pIkIgs3Y8E,WGP 
[37693] SET_SELL_TRIGGER,pIkIgs3Y8E,GGY,86.68 
[37717] ADD,pIkIgs3Y8E,67286.01 
[37767] QUOTE,pIkIgs3Y8E,GDF 
[38208] ADD,pIkIgs3Y8E,60743.11 
[38434] BUY,pIkIgs3Y8E,WBX,120.15 
[38741] CANCEL_BUY,pIkIgs3Y8E 
[38785] SET_SELL_TRIGGER,pIkIgs3Y8E,UDM,67.02 
[38916] QUOTE,pIkIgs3Y8E,HCN 
[38933] BUY,pIkIgs3Y8E,YBB,102.27 
[39007] SET_SELL_AMOUNT,pIkIgs3Y8E,OEY,576.70 
[39235] CANCEL_SET_SELL,pIkIgs3Y8E,OEY 
[39384] SET_SELL_TRIGGER,pIkIgs3Y8E,KLY,45.57 
[39405] SET_BUY_AMOUNT,pIkIgs3Y8E,JRJ,159.30 
[39490] SELL,pIkIgs3Y8E,CUZ,293.56 
[39632] DISPLAY_SUMMARY,pIkIgs3Y8E 
[39756] QUOTE,pIkIgs3Y8E,FKX 
[39765] QUOTE,pIkIgs3Y8E,UXP 
[39820] ADD,pIkIgs3Y8E,63843.75 
[39837] CANCEL_SET_SELL,pIkIgs3Y8E,ESN 
[39880] SET_SELL_TRIGGER,pIkIgs3Y8E,PHZ,132.44 
[40031] DISPLAY_SUMMARY,pIkIgs3Y8E 
[40076] QUOTE,pIkIgs3Y8E,KQZ 
[40157] QUOTE,pIkIgs3Y8E,FVD 
[40227] ADD,pIkIgs3Y8E,64836.75 
[40380] QUOTE,pIkIgs3Y8E,CTI 
[40453] SET_BUY_AMOUNT,pIkIgs3Y8E,ZAN,361.95 
[40508] SET_BUY_TRIGGER,pIkIgs3Y8E,QGN,311.89 
[40519] ADD,pIkIgs3Y8E,85624.65 
[40647] QUOTE,pIkIgs3Y8E,KGV 
[40782] SET_SELL_AMOUNT,pIkIgs3Y8E,BYA,284.34 
[41119] CANCEL_SET_SELL,pIkIgs3Y8E,BYA 
[41298] BUY,pIkIgs3Y8E,YKB,293.77 
[41347] COMMIT_BUY,pIkIgs3Y8E 
[41354] QUOTE,pIkIgs3Y8E,ZDB 
[41372] QUOTE,pIkIgs3Y8E,NJB 
[41480] BUY,pIkIgs3Y8E,CBK,566.87 
[41497] DISPLAY_SUMMARY,pIkIgs3Y8E 
[41774] BUY,pIkIgs3Y8E,XXT,550.86 
[41779] CANCEL_SET_SELL,pIkIgs3Y8E,DKV 
[41828] BUY,pIkIgs3Y8E,JTY,463.92 
[41923] COMMIT_BUY,pIkIgs3Y8E 
[42228] DISPLAY_SUMMARY,pIkIgs3Y8E 
[42379] SET_SELL_AMOUNT,pIkIgs3Y8E,JVT,465.32 
[42435] SET_SELL_TRIGGER,pIkIgs3Y8E,JVT,2.56 
[42542] DISPLAY_SUMMARY,pIkIgs3Y8E 
[42656] SET_SELL_TRIGGER,pIkIgs3Y8E,BBD,77.92 
[42793] ADD,pIkIgs3Y8E,73400.08 
[42977] BUY,pIkIgs3Y8E,GRD,558.83 
[42993] COMMIT_BUY,pIkIgs3Y8E 
[43117] SELL,pIkIgs3Y8E,KDA,384.89 
[43129] DISPLAY_SUMMARY,pIkIgs3Y8E 
[43216] ADD,pIkIgs3Y8E,49640.37 
[43467] BUY,pIkIgs3Y8E,IPJ,444.83 
[43471] COMMIT_BUY,pIkIgs3Y8E 
[43513] SET_BUY_TRIGGER,pIkIgs3Y8E,WOJ,57.21 
[43732] SET_SELL_AMOUNT,pIkIgs3Y8E,CUZ,589.49 
