[101] ADD,2xvOQRaMMK,33291.44 
[18580] ADD,2xvOQRaMMK,90124.63 
[18672] BUY,2xvOQRaMMK,IAV,401.14 
[18770] COMMIT_BUY,2xvOQRaMMK 
[18786] SET_BUY_TRIGGER,2xvOQRaMMK,ZWC,159.72 
[19167] BUY,2xvOQRaMMK,ILT,294.80 
[19194] SET_BUY_AMOUNT,2xvOQRaMMK,FQP,382.43 
[19238] CANCEL_SET_BUY,2xvOQRaMMK,PFK 
[19476] SET_SELL_TRIGGER,2xvOQRaMMK,URA,101.20 
[19710] QUOTE,2xvOQRaMMK,PWK 
[19739] ADD,2xvOQRaMMK,78227.19 
[19982] BUY,2xvOQRaMMK,XOM,509.94 
[20233] COMMIT_BUY,2xvOQRaMMK 
[20460] SET_BUY_TRIGGER,2xvOQRaMMK,IWL,81.66 
[20680] QUOTE,2xvOQRaMMK,TVX 
[20684] BUY,2xvOQRaMMK,GLJ,56.21 
[20754] COMMIT_BUY,2xvOQRaMMK 
[20796] SELL,2xvOQRaMMK,JVT,670.80 
[20892] COMMIT_SELL,2xvOQRaMMK 
[20914] ADD,2xvOQRaMMK,80965.83 
[21054] QUOTE,2xvOQRaMMK,VUS 
[21152] SET_BUY_AMOUNT,2xvOQRaMMK,OEY,717.29 
[21224] BUY,2xvOQRaMMK,APY,377.06 
[21245] SET_SELL_TRIGGER,2xvOQRaMMK,ZLY,32.66 
[21577] SET_BUY_TRIGGER,2xvOQRaMMK,IRQ,241.37 
[21644] QUOTE,2xvOQRaMMK,OEN 
[21650] SET_BUY_AMOUNT,2xvOQRaMMK,QJZ,3.02 
[21706] DISPLAY_SUMMARY,2xvOQRaMMK 
[21829] SET_SELL_TRIGGER,2xvOQRaMMK,FFZ,138.00 
[21892] ADD,2xvOQRaMMK,50200.30 
[21917] COMMIT_BUY,2xvOQRaMMK 
[21981] QUOTE,2xvOQRaMMK,DMS 
[22032] BUY,2xvOQRaMMK,MIU,540.36 
[22102] COMMIT_BUY,2xvOQRaMMK 
[22145] SELL,2xvOQRaMMK,JVT,235.48 
[22429] CANCEL_SELL,2xvOQRaMMK 
[22451] BUY,2xvOQRaMMK,YGK,94.24 
[22462] BUY,2xvOQRaMMK,RRT,54.39 
[22557] CANCEL_SET_SELL,2xvOQRaMMK,IOM 
[22583] SELL,2xvOQRaMMK,JCQ,35.09 
[22804] DISPLAY_SUMMARY,2xvOQRaMMK 
[22942] COMMIT_BUY,2xvOQRaMMK 
[22956] SELL,2xvOQRaMMK,QJZ,506.77 
[23194] SET_BUY_TRIGGER,2xvOQRaMMK,YWC,1.61 
[23604] DISPLAY_SUMMARY,2xvOQRaMMK 
[23641] DISPLAY_SUMMARY,2xvOQRaMMK 
[23815] ADD,2xvOQRaMMK,91556.15 
[23891] BUY,2xvOQRaMMK,FOV,462.04 
[24082] CANCEL_BUY,2xvOQRaMMK 
[24170] DISPLAY_SUMMARY,2xvOQRaMMK 
[24220] ADD,2xvOQRaMMK,76679.84 
[24234] QUOTE,2xvOQRaMMK,IGT 
[24413] CANCEL_SET_SELL,2xvOQRaMMK,OHG 
[24519] SET_BUY_AMOUNT,2xvOQRaMMK,QJZ,65.12 
[24658] CANCEL_SET_BUY,2xvOQRaMMK,MUN 
[24925] BUY,2xvOQRaMMK,ZUV,11.63 
[24965] COMMIT_BUY,2xvOQRaMMK 
[25094] SET_BUY_AMOUNT,2xvOQRaMMK,FQP,166.34 
[25161] QUOTE,2xvOQRaMMK,ZCQ 
[25390] SET_BUY_TRIGGER,2xvOQRaMMK,YBO,22.52 
[25499] DISPLAY_SUMMARY,2xvOQRaMMK 
[25611] COMMIT_BUY,2xvOQRaMMK 
[25723] BUY,2xvOQRaMMK,KVK,537.69 
[25832] COMMIT_BUY,2xvOQRaMMK 
[25882] SET_SELL_TRIGGER,2xvOQRaMMK,ZYR,58.28 
[25900] ADD,2xvOQRaMMK,66916.31 
[25950] COMMIT_BUY,2xvOQRaMMK 
[25965] SET_SELL_AMOUNT,2xvOQRaMMK,JQO,706.97 
[26054] SET_SELL_TRIGGER,2xvOQRaMMK,JQO,77.74 
[26133] DISPLAY_SUMMARY,2xvOQRaMMK 
[26262] CANCEL_SET_SELL,2xvOQRaMMK,HDR 
[26306] SET_SELL_TRIGGER,2xvOQRaMMK,KAO,140.91 
[26371] SET_BUY_AMOUNT,2xvOQRaMMK,FQP,115.25 
[26452] SET_BUY_TRIGGER,2xvOQRaMMK,KLY,46.20 
[26459] SELL,2xvOQRaMMK,QJZ,547.48 
[26485] COMMIT_SELL,2xvOQRaMMK 
[26493] BUY,2xvOQRaMMK,HCN,723.78 
[26505] CANCEL_SELL,2xvOQRaMMK 
[26726] SET_SELL_AMOUNT,2xvOQRaMMK,ZAN,98.75 
[26805] SET_SELL_TRIGGER,2xvOQRaMMK,ZAN,93.69 
[26848] BUY,2xvOQRaMMK,IQZ,708.24 
[27039] COMMIT_BUY,2xvOQRaMMK 
[27325] DISPLAY_SUMMARY,2xvOQRaMMK 
[27342] ADD,2xvOQRaMMK,73438.79 
[27395] CANCEL_SET_SELL,2xvOQRaMMK,TOL 
[27441] SET_BUY_TRIGGER,2xvOQRaMMK,VMD,87.26 
[27581] CANCEL_SET_BUY,2xvOQRaMMK,DBR 
[27665] SELL,2xvOQRaMMK,GYF,588.70 
[27724] QUOTE,2xvOQRaMMK,YWK 
[27989] COMMIT_BUY,2xvOQRaMMK 
[28000] CANCEL_BUY,2xvOQRaMMK 
[28003] BUY,2xvOQRaMMK,XPX,89.44 
[28006] COMMIT_BUY,2xvOQRaMMK 
[28070] ADD,2xvOQRaMMK,59562.61 
[28128] BUY,2xvOQRaMMK,EED,453.52 
[28187] SET_BUY_TRIGGER,2xvOQRaMMK,HZA,111.01 
[28217] BUY,2xvOQRaMMK,CVP,643.72 
[28357] ADD,2xvOQRaMMK,67938.58 
[28458] QUOTE,2xvOQRaMMK,GJQ 
[28546] DISPLAY_SUMMARY,2xvOQRaMMK 
[28614] DISPLAY_SUMMARY,2xvOQRaMMK 
[28695] QUOTE,2xvOQRaMMK,IWL 
[28866] BUY,2xvOQRaMMK,JUN,367.45 
[28882] COMMIT_BUY,2xvOQRaMMK 
[29173] SET_BUY_TRIGGER,2xvOQRaMMK,BWR,84.82 
[29351] ADD,2xvOQRaMMK,65006.35 
[29374] CANCEL_SELL,2xvOQRaMMK 
[29398] DISPLAY_SUMMARY,2xvOQRaMMK 
[29427] SET_BUY_AMOUNT,2xvOQRaMMK,NHG,151.46 
[29439] SET_BUY_TRIGGER,2xvOQRaMMK,NTT,5.35 
[29591] SET_BUY_AMOUNT,2xvOQRaMMK,OEY,479.23 
[29595] SET_BUY_TRIGGER,2xvOQRaMMK,WBL,329.37 
[29663] COMMIT_BUY,2xvOQRaMMK 
[29764] ADD,2xvOQRaMMK,73510.44 
[29877] BUY,2xvOQRaMMK,OIV,132.58 
[30039] COMMIT_BUY,2xvOQRaMMK 
[30054] QUOTE,2xvOQRaMMK,WGV 
[30086] SET_BUY_AMOUNT,2xvOQRaMMK,QJZ,252.99 
[30561] SET_BUY_TRIGGER,2xvOQRaMMK,VIG,86.48 
[30580] BUY,2xvOQRaMMK,CDF,654.52 
[30711] COMMIT_BUY,2xvOQRaMMK 
[30769] ADD,2xvOQRaMMK,63687.82 
[30824] BUY,2xvOQRaMMK,FKI,218.76 
[30847] COMMIT_BUY,2xvOQRaMMK 
[30933] SET_BUY_TRIGGER,2xvOQRaMMK,BPE,181.40 
[30936] SET_BUY_TRIGGER,2xvOQRaMMK,TYV,86.21 
[31191] ADD,2xvOQRaMMK,107303.17 
[31204] QUOTE,2xvOQRaMMK,VDP 
[31343] QUOTE,2xvOQRaMMK,YVS 
[31403] CANCEL_SELL,2xvOQRaMMK 
[31503] SELL,2xvOQRaMMK,NHG,8.13 
[31639] COMMIT_SELL,2xvOQRaMMK 
[31777] DISPLAY_SUMMARY,2xvOQRaMMK 
[32071] ADD,2xvOQRaMMK,46034.80 
[32139] QUOTE,2xvOQRaMMK,URI 
[32140] BUY,2xvOQRaMMK,NVX,33.61 
[32485] COMMIT_BUY,2xvOQRaMMK 
[32494] SELL,2xvOQRaMMK,QJZ,728.39 
[32496] CANCEL_SELL,2xvOQRaMMK 
[32537] SELL,2xvOQRaMMK,BCQ,453.56 
[32642] COMMIT_SELL,2xvOQRaMMK 
[32693] CANCEL_BUY,2xvOQRaMMK 
[32785] SET_BUY_AMOUNT,2xvOQRaMMK,EBS,103.59 
[32789] SET_BUY_TRIGGER,2xvOQRaMMK,QQI,48.02 
[32796] BUY,2xvOQRaMMK,CWA,177.33 
[33080] COMMIT_BUY,2xvOQRaMMK 
[33162] BUY,2xvOQRaMMK,GWF,575.91 
[33464] CANCEL_SET_BUY,2xvOQRaMMK,JTY 
[33521] ADD,2xvOQRaMMK,78876.18 
[33657] QUOTE,2xvOQRaMMK,BHP 
[33734] ADD,2xvOQRaMMK,65747.34 
[34018] QUOTE,2xvOQRaMMK,JQG 
[34160] CANCEL_SELL,2xvOQRaMMK 
[34174] SET_BUY_TRIGGER,2xvOQRaMMK,EVR,124.64 
[34437] DISPLAY_SUMMARY,2xvOQRaMMK 
[34577] SET_BUY_AMOUNT,2xvOQRaMMK,UTV,171.56 
[34745] BUY,2xvOQRaMMK,QAX,60.13 
[34928] CANCEL_SET_BUY,2xvOQRaMMK,LSW 
[35002] QUOTE,2xvOQRaMMK,ZFV 
[35022] ADD,2xvOQRaMMK,76568.25 
[35082] BUY,2xvOQRaMMK,PHE,564.14 
[35112] COMMIT_BUY,2xvOQRaMMK 
[35142] QUOTE,2xvOQRaMMK,EBS 
[35237] BUY,2xvOQRaMMK,KWP,26.40 
[35265] COMMIT_BUY,2xvOQRaMMK 
[35731] DISPLAY_SUMMARY,2xvOQRaMMK 
[35748] ADD,2xvOQRaMMK,44012.80 
[35773] BUY,2xvOQRaMMK,MVD,573.39 
[35787] COMMIT_BUY,2xvOQRaMMK 
[35882] SELL,2xvOQRaMMK,JRJ,262.99 
[35899] SET_SELL_TRIGGER,2xvOQRaMMK,JJW,111.33 
[35967] BUY,2xvOQRaMMK,IDN,689.54 
[36001] DISPLAY_SUMMARY,2xvOQRaMMK 
[36065] QUOTE,2xvOQRaMMK,TSU 
[36067] SET_BUY_AMOUNT,2xvOQRaMMK,RUN,548.60 
[36184] SET_BUY_TRIGGER,2xvOQRaMMK,BYA,26.92 
[36243] ADD,2xvOQRaMMK,100047.41 
[36318] QUOTE,2xvOQRaMMK,SKV 
[36392] BUY,2xvOQRaMMK,VVO,457.36 
[36463] COMMIT_BUY,2xvOQRaMMK 
[36542] SET_SELL_TRIGGER,2xvOQRaMMK,UXP,160.10 
[36618] DISPLAY_SUMMARY,2xvOQRaMMK 
[36828] ADD,2xvOQRaMMK,70628.23 
[37041] QUOTE,2xvOQRaMMK,XXN 
[37158] ADD,2xvOQRaMMK,71597.99 
[37159] BUY,2xvOQRaMMK,AOC,369.05 
[37244] COMMIT_BUY,2xvOQRaMMK 
[37439] SET_SELL_TRIGGER,2xvOQRaMMK,SCW,130.32 
[37675] SELL,2xvOQRaMMK,LFU,568.21 
[37713] SELL,2xvOQRaMMK,JVT,301.90 
[37864] SELL,2xvOQRaMMK,ZYR,514.19 
[37931] SET_BUY_TRIGGER,2xvOQRaMMK,ZOW,16.87 
[38016] ADD,2xvOQRaMMK,88411.31 
[38068] BUY,2xvOQRaMMK,LJZ,7.13 
[38169] COMMIT_BUY,2xvOQRaMMK 
[38225] ADD,2xvOQRaMMK,76814.96 
[38237] BUY,2xvOQRaMMK,IGT,72.51 
[38359] COMMIT_BUY,2xvOQRaMMK 
[38488] ADD,2xvOQRaMMK,39052.32 
[38559] ADD,2xvOQRaMMK,67549.83 
[38610] BUY,2xvOQRaMMK,WGV,85.17 
[38651] COMMIT_BUY,2xvOQRaMMK 
[38708] ADD,2xvOQRaMMK,72242.57 
[38713] QUOTE,2xvOQRaMMK,DBC 
[38730] BUY,2xvOQRaMMK,VNN,415.60 
[38737] COMMIT_BUY,2xvOQRaMMK 
[38791] QUOTE,2xvOQRaMMK,IGT 
[38794] BUY,2xvOQRaMMK,XXN,549.64 
[38806] QUOTE,2xvOQRaMMK,LPR 
[38880] QUOTE,2xvOQRaMMK,AXK 
[38979] ADD,2xvOQRaMMK,53941.47 
[38985] BUY,2xvOQRaMMK,LLF,316.92 
[38990] DISPLAY_SUMMARY,2xvOQRaMMK 
[39030] QUOTE,2xvOQRaMMK,NVX 
[39148] BUY,2xvOQRaMMK,JGO,347.74 
[39480] QUOTE,2xvOQRaMMK,XBE 
[39607] BUY,2xvOQRaMMK,QJZ,651.16 
[39777] COMMIT_BUY,2xvOQRaMMK 
[39824] CANCEL_SET_BUY,2xvOQRaMMK,IFU 
[39948] QUOTE,2xvOQRaMMK,YRO 
[40075] QUOTE,2xvOQRaMMK,GYT 
[40212] SET_BUY_TRIGGER,2xvOQRaMMK,GQV,171.36 
[40266] ADD,2xvOQRaMMK,87604.00 
[40456] BUY,2xvOQRaMMK,LKV,740.38 
[40476] COMMIT_BUY,2xvOQRaMMK 
[40656] DISPLAY_SUMMARY,2xvOQRaMMK 
[40729] ADD,2xvOQRaMMK,82205.18 
[40744] BUY,2xvOQRaMMK,PFN,256.34 
[40988] SET_SELL_TRIGGER,2xvOQRaMMK,MVI,138.02 
[41052] SET_BUY_TRIGGER,2xvOQRaMMK,THH,4.39 
[41070] BUY,2xvOQRaMMK,TFZ,472.39 
[41142] COMMIT_BUY,2xvOQRaMMK 
[41236] SELL,2xvOQRaMMK,OPN,243.07 
[41283] CANCEL_SELL,2xvOQRaMMK 
[41290] ADD,2xvOQRaMMK,65204.32 
[41389] QUOTE,2xvOQRaMMK,GJR 
[41417] BUY,2xvOQRaMMK,ECI,511.94 
[41826] ADD,2xvOQRaMMK,55020.16 
[41913] BUY,2xvOQRaMMK,OTQ,604.31 
[42106] COMMIT_BUY,2xvOQRaMMK 
[42182] QUOTE,2xvOQRaMMK,XQG 
[42230] SET_SELL_AMOUNT,2xvOQRaMMK,EBS,381.69 
[42247] SET_SELL_TRIGGER,2xvOQRaMMK,EBS,95.36 
[42269] SET_SELL_TRIGGER,2xvOQRaMMK,FDI,22.56 
[42276] SET_BUY_AMOUNT,2xvOQRaMMK,KDA,565.96 
[42636] CANCEL_SET_BUY,2xvOQRaMMK,FVZ 
[42663] DISPLAY_SUMMARY,2xvOQRaMMK 
[42819] SET_SELL_AMOUNT,2xvOQRaMMK,FDI,370.10 
[42844] SET_SELL_TRIGGER,2xvOQRaMMK,FDI,329.58 
[42935] SELL,2xvOQRaMMK,ZYR,126.77 
[43189] CANCEL_SELL,2xvOQRaMMK 
[43497] DISPLAY_SUMMARY,2xvOQRaMMK 
[43647] ADD,2xvOQRaMMK,76665.55 
[43955] QUOTE,2xvOQRaMMK,KJH 
[43977] QUOTE,2xvOQRaMMK,ZYR 
[44016] SET_BUY_TRIGGER,2xvOQRaMMK,NTT,173.61 
[44214] BUY,2xvOQRaMMK,ROW,742.15 
[44230] COMMIT_BUY,2xvOQRaMMK 
[44412] SET_SELL_TRIGGER,2xvOQRaMMK,CTT,163.50 
[44684] DISPLAY_SUMMARY,2xvOQRaMMK 
[44806] BUY,2xvOQRaMMK,CLP,158.68 
[44853] BUY,2xvOQRaMMK,PMX,198.28 
[44925] SET_BUY_TRIGGER,2xvOQRaMMK,KEV,175.29 
[45046] SET_SELL_AMOUNT,2xvOQRaMMK,RGH,69.52 
[45087] SET_SELL_TRIGGER,2xvOQRaMMK,RGH,19.06 
[45467] CANCEL_SELL,2xvOQRaMMK 
[45484] SET_BUY_AMOUNT,2xvOQRaMMK,XXQ,13.68 
[45503] SET_BUY_TRIGGER,2xvOQRaMMK,KZQ,9.36 
[45526] ADD,2xvOQRaMMK,72089.06 
[45561] BUY,2xvOQRaMMK,DQW,204.10 
[45616] COMMIT_BUY,2xvOQRaMMK 
[45679] SET_SELL_AMOUNT,2xvOQRaMMK,GYF,438.60 
[45746] SET_SELL_TRIGGER,2xvOQRaMMK,GYF,296.80 
[45836] DISPLAY_SUMMARY,2xvOQRaMMK 
[45965] SET_BUY_TRIGGER,2xvOQRaMMK,GJR,91.39 
[45981] SET_BUY_AMOUNT,2xvOQRaMMK,UBJ,248.96 
[45992] SELL,2xvOQRaMMK,JZJ,533.50 
[46023] ADD,2xvOQRaMMK,34059.61 
[46048] BUY,2xvOQRaMMK,NFO,372.89 
[46056] COMMIT_BUY,2xvOQRaMMK 
[46097] SET_SELL_AMOUNT,2xvOQRaMMK,SUS,536.52 
[46120] DISPLAY_SUMMARY,2xvOQRaMMK 
[46150] CANCEL_SET_BUY,2xvOQRaMMK,USW 
[46232] ADD,2xvOQRaMMK,74876.87 
[46281] BUY,2xvOQRaMMK,SKV,527.86 
[46304] SET_BUY_AMOUNT,2xvOQRaMMK,JVT,476.51 
[46335] SET_BUY_TRIGGER,2xvOQRaMMK,IAV,1.33 
[46405] DISPLAY_SUMMARY,2xvOQRaMMK 
[46483] DISPLAY_SUMMARY,2xvOQRaMMK 
[46490] DISPLAY_SUMMARY,2xvOQRaMMK 
[46787] CANCEL_SET_SELL,2xvOQRaMMK,SUS 
[46928] SELL,2xvOQRaMMK,JZJ,49.55 
[46944] QUOTE,2xvOQRaMMK,SCK 
[47134] BUY,2xvOQRaMMK,ASJ,169.33 
[47253] SELL,2xvOQRaMMK,FDI,739.16 
[47302] COMMIT_SELL,2xvOQRaMMK 
[47329] SET_BUY_TRIGGER,2xvOQRaMMK,QPR,162.53 
[47365] SET_BUY_TRIGGER,2xvOQRaMMK,YBP,27.16 
[47613] SET_BUY_TRIGGER,2xvOQRaMMK,AOC,128.99 
[47631] SET_SELL_AMOUNT,2xvOQRaMMK,XLK,65.77 
[48011] SET_SELL_TRIGGER,2xvOQRaMMK,XLK,55.69 
[48281] BUY,2xvOQRaMMK,XOA,609.66 
[48554] COMMIT_BUY,2xvOQRaMMK 
[48687] ADD,2xvOQRaMMK,85098.79 
[48777] QUOTE,2xvOQRaMMK,OGR 
[48830] QUOTE,2xvOQRaMMK,UIE 
[48887] ADD,2xvOQRaMMK,78497.09 
