[158] ADD,mR1GL8In4q,76336.49 
[17494] BUY,mR1GL8In4q,KZQ,701.01 
[17557] COMMIT_BUY,mR1GL8In4q 
[17579] ADD,mR1GL8In4q,86025.57 
[17645] BUY,mR1GL8In4q,WJB,659.15 
[17700] COMMIT_BUY,mR1GL8In4q 
[18023] COMMIT_BUY,mR1GL8In4q 
[18101] ADD,mR1GL8In4q,62637.34 
[18169] BUY,mR1GL8In4q,GUW,716.54 
[18180] DISPLAY_SUMMARY,mR1GL8In4q 
[18215] ADD,mR1GL8In4q,78170.92 
[18475] BUY,mR1GL8In4q,GGI,624.33 
[18550] COMMIT_BUY,mR1GL8In4q 
[18747] DISPLAY_SUMMARY,mR1GL8In4q 
[18766] COMMIT_SELL,mR1GL8In4q 
[18850] BUY,mR1GL8In4q,ZFJ,540.10 
[18897] COMMIT_BUY,mR1GL8In4q 
[18905] DISPLAY_SUMMARY,mR1GL8In4q 
[18990] QUOTE,mR1GL8In4q,AIN 
[19052] QUOTE,mR1GL8In4q,LAW 
[19099] SET_BUY_TRIGGER,mR1GL8In4q,LLE,71.57 
[19267] BUY,mR1GL8In4q,RQS,133.56 
[19308] CANCEL_BUY,mR1GL8In4q 
[19330] ADD,mR1GL8In4q,71100.47 
[19386] QUOTE,mR1GL8In4q,ZQC 
[19417] CANCEL_SET_SELL,mR1GL8In4q,EIH 
[19462] SELL,mR1GL8In4q,JQO,172.26 
[19677] COMMIT_SELL,mR1GL8In4q 
[19835] SET_SELL_TRIGGER,mR1GL8In4q,IFI,177.63 
[19917] DISPLAY_SUMMARY,mR1GL8In4q 
[20025] QUOTE,mR1GL8In4q,EHF 
[20261] BUY,mR1GL8In4q,TGY,133.58 
[20343] CANCEL_BUY,mR1GL8In4q 
[20378] SET_BUY_AMOUNT,mR1GL8In4q,QAX,741.56 
[20855] SET_BUY_TRIGGER,mR1GL8In4q,ZEU,315.91 
[20966] CANCEL_SET_SELL,mR1GL8In4q,FIW 
[21113] ADD,mR1GL8In4q,98265.63 
[21357] BUY,mR1GL8In4q,IZJ,602.96 
[21366] COMMIT_BUY,mR1GL8In4q 
[21410] CANCEL_SET_SELL,mR1GL8In4q,KKI 
[21449] ADD,mR1GL8In4q,62953.33 
[21528] BUY,mR1GL8In4q,ZWB,23.05 
[21533] CANCEL_BUY,mR1GL8In4q 
[21913] SELL,mR1GL8In4q,NHG,617.40 
[21943] COMMIT_SELL,mR1GL8In4q 
[21993] SET_SELL_TRIGGER,mR1GL8In4q,ZJB,180.98 
[22050] SET_SELL_TRIGGER,mR1GL8In4q,BUL,127.83 
[22187] BUY,mR1GL8In4q,VFH,697.35 
[22264] COMMIT_BUY,mR1GL8In4q 
[22286] DISPLAY_SUMMARY,mR1GL8In4q 
[22347] ADD,mR1GL8In4q,67456.12 
[22497] COMMIT_SELL,mR1GL8In4q 
[22811] ADD,mR1GL8In4q,71715.86 
[22889] QUOTE,mR1GL8In4q,YDS 
[22985] SET_BUY_AMOUNT,mR1GL8In4q,JCQ,174.09 
[23135] SET_BUY_TRIGGER,mR1GL8In4q,RQF,77.41 
[23188] SET_BUY_TRIGGER,mR1GL8In4q,NSW,9.94 
[23218] COMMIT_SELL,mR1GL8In4q 
[23282] SELL,mR1GL8In4q,QJZ,297.64 
[23417] COMMIT_SELL,mR1GL8In4q 
[23617] SET_SELL_TRIGGER,mR1GL8In4q,YTY,97.09 
[23626] ADD,mR1GL8In4q,71319.12 
[23878] CANCEL_SELL,mR1GL8In4q 
[24006] SET_SELL_AMOUNT,mR1GL8In4q,XXQ,574.62 
[24201] SET_SELL_TRIGGER,mR1GL8In4q,XXQ,124.12 
[24398] SELL,mR1GL8In4q,JVT,9.87 
[24423] COMMIT_SELL,mR1GL8In4q 
[24553] CANCEL_SET_SELL,mR1GL8In4q,DXQ 
[24766] DISPLAY_SUMMARY,mR1GL8In4q 
[24768] DISPLAY_SUMMARY,mR1GL8In4q 
[24771] ADD,mR1GL8In4q,81365.76 
[25007] SET_BUY_AMOUNT,mR1GL8In4q,KES,197.88 
[25244] SET_BUY_TRIGGER,mR1GL8In4q,JQJ,112.40 
[25318] ADD,mR1GL8In4q,66877.97 
[25330] BUY,mR1GL8In4q,VYQ,676.58 
[25568] CANCEL_BUY,mR1GL8In4q 
[25593] ADD,mR1GL8In4q,56688.32 
[25625] QUOTE,mR1GL8In4q,VKP 
[25675] QUOTE,mR1GL8In4q,ZEG 
[25740] SET_BUY_AMOUNT,mR1GL8In4q,KDA,326.49 
[25917] QUOTE,mR1GL8In4q,JIO 
[26052] ADD,mR1GL8In4q,61999.80 
[26149] COMMIT_BUY,mR1GL8In4q 
[26154] SET_BUY_TRIGGER,mR1GL8In4q,IUN,173.01 
[26194] QUOTE,mR1GL8In4q,ZER 
[26225] SET_BUY_TRIGGER,mR1GL8In4q,JUV,50.70 
[26433] COMMIT_SELL,mR1GL8In4q 
[26484] ADD,mR1GL8In4q,67867.06 
[26564] BUY,mR1GL8In4q,PTC,374.94 
[26700] CANCEL_BUY,mR1GL8In4q 
[26753] ADD,mR1GL8In4q,79010.79 
[26837] QUOTE,mR1GL8In4q,GHL 
[27013] BUY,mR1GL8In4q,UGT,313.65 
[27664] SET_BUY_TRIGGER,mR1GL8In4q,SKY,57.85 
[27725] SET_BUY_TRIGGER,mR1GL8In4q,QPZ,52.76 
[27993] SET_SELL_TRIGGER,mR1GL8In4q,OEX,187.04 
[28305] SET_BUY_TRIGGER,mR1GL8In4q,KHD,91.63 
[28627] BUY,mR1GL8In4q,YAZ,593.35 
[28643] COMMIT_BUY,mR1GL8In4q 
[28852] SET_BUY_AMOUNT,mR1GL8In4q,JQO,552.16 
[28955] SET_BUY_TRIGGER,mR1GL8In4q,RKQ,178.40 
[29451] DISPLAY_SUMMARY,mR1GL8In4q 
[29628] SET_SELL_AMOUNT,mR1GL8In4q,JVT,167.55 
[29798] SET_SELL_TRIGGER,mR1GL8In4q,JVT,31.58 
[29856] ADD,mR1GL8In4q,71825.93 
[29941] QUOTE,mR1GL8In4q,BWR 
[29966] DISPLAY_SUMMARY,mR1GL8In4q 
[30042] BUY,mR1GL8In4q,ZDB,0.96 
[30051] CANCEL_BUY,mR1GL8In4q 
[30079] BUY,mR1GL8In4q,VEX,150.63 
[30088] ADD,mR1GL8In4q,93668.97 
[30113] BUY,mR1GL8In4q,CZQ,183.53 
[30305] DISPLAY_SUMMARY,mR1GL8In4q 
[30426] DISPLAY_SUMMARY,mR1GL8In4q 
[30646] SET_SELL_TRIGGER,mR1GL8In4q,QVA,110.77 
[30698] SET_SELL_TRIGGER,mR1GL8In4q,IRQ,167.38 
[30731] ADD,mR1GL8In4q,57720.79 
[30802] CANCEL_SELL,mR1GL8In4q 
[30948] SET_SELL_AMOUNT,mR1GL8In4q,EBS,672.12 
[30963] SET_SELL_TRIGGER,mR1GL8In4q,EBS,501.24 
[31099] SELL,mR1GL8In4q,BCQ,217.64 
[31155] BUY,mR1GL8In4q,JLK,60.12 
[31184] QUOTE,mR1GL8In4q,WKL 
[31255] SET_BUY_AMOUNT,mR1GL8In4q,KDA,522.65 
[31259] SET_BUY_TRIGGER,mR1GL8In4q,MWM,22.02 
[31270] SET_BUY_TRIGGER,mR1GL8In4q,SQI,63.72 
[31273] ADD,mR1GL8In4q,81747.89 
[31381] BUY,mR1GL8In4q,LJY,17.35 
[31439] COMMIT_BUY,mR1GL8In4q 
[31491] DISPLAY_SUMMARY,mR1GL8In4q 
[31523] DISPLAY_SUMMARY,mR1GL8In4q 
[31538] DISPLAY_SUMMARY,mR1GL8In4q 
[31647] ADD,mR1GL8In4q,83668.83 
[31682] BUY,mR1GL8In4q,CMD,637.76 
[31703] COMMIT_BUY,mR1GL8In4q 
[31761] ADD,mR1GL8In4q,64390.83 
[31852] BUY,mR1GL8In4q,MKE,246.37 
[31928] COMMIT_BUY,mR1GL8In4q 
[31929] ADD,mR1GL8In4q,88336.31 
[32053] QUOTE,mR1GL8In4q,CJV 
[32138] BUY,mR1GL8In4q,LSG,122.19 
[32146] COMMIT_BUY,mR1GL8In4q 
[32232] SET_BUY_TRIGGER,mR1GL8In4q,ZYF,173.11 
[32250] SET_BUY_AMOUNT,mR1GL8In4q,ZAN,587.27 
[32259] SET_BUY_TRIGGER,mR1GL8In4q,QWC,444.42 
[32381] SET_BUY_AMOUNT,mR1GL8In4q,UTV,583.39 
[32614] CANCEL_SET_BUY,mR1GL8In4q,YWK 
[32621] CANCEL_BUY,mR1GL8In4q 
[32632] SELL,mR1GL8In4q,JRJ,414.18 
[32683] SELL,mR1GL8In4q,QAX,547.28 
[32872] BUY,mR1GL8In4q,PMX,271.43 
[32942] COMMIT_BUY,mR1GL8In4q 
[33068] SELL,mR1GL8In4q,ZYR,298.05 
[34042] SELL,mR1GL8In4q,QAX,280.49 
[34061] QUOTE,mR1GL8In4q,YLZ 
[34104] DISPLAY_SUMMARY,mR1GL8In4q 
[34121] ADD,mR1GL8In4q,66015.32 
[34376] QUOTE,mR1GL8In4q,ULL 
[34434] SET_SELL_TRIGGER,mR1GL8In4q,PHZ,15.39 
[34628] DISPLAY_SUMMARY,mR1GL8In4q 
[34800] QUOTE,mR1GL8In4q,JXR 
[34895] QUOTE,mR1GL8In4q,LUD 
[34906] QUOTE,mR1GL8In4q,VOU 
[35378] ADD,mR1GL8In4q,79408.79 
[35428] BUY,mR1GL8In4q,ZEG,26.35 
[35489] DISPLAY_SUMMARY,mR1GL8In4q 
[35521] DISPLAY_SUMMARY,mR1GL8In4q 
[35559] BUY,mR1GL8In4q,VVO,227.58 
[36173] COMMIT_BUY,mR1GL8In4q 
[36278] SET_BUY_AMOUNT,mR1GL8In4q,RUN,392.75 
[36281] SET_BUY_TRIGGER,mR1GL8In4q,MRH,18.46 
[36435] QUOTE,mR1GL8In4q,QEO 
[36574] QUOTE,mR1GL8In4q,URA 
[36596] ADD,mR1GL8In4q,77566.76 
[36634] DISPLAY_SUMMARY,mR1GL8In4q 
[36636] CANCEL_SET_SELL,mR1GL8In4q,PSJ 
[36667] SET_BUY_TRIGGER,mR1GL8In4q,QHF,44.47 
[36857] SET_BUY_TRIGGER,mR1GL8In4q,SON,132.92 
[36994] ADD,mR1GL8In4q,52008.22 
[36998] BUY,mR1GL8In4q,MPP,475.21 
[37009] QUOTE,mR1GL8In4q,XII 
[37350] DISPLAY_SUMMARY,mR1GL8In4q 
[37516] BUY,mR1GL8In4q,UGG,402.21 
[37561] COMMIT_BUY,mR1GL8In4q 
[37800] BUY,mR1GL8In4q,EUM,371.19 
[37807] QUOTE,mR1GL8In4q,BJL 
[37822] ADD,mR1GL8In4q,65702.71 
[37950] BUY,mR1GL8In4q,ZOT,738.90 
[37989] ADD,mR1GL8In4q,87969.96 
[38042] BUY,mR1GL8In4q,OEX,358.52 
[38084] CANCEL_SET_BUY,mR1GL8In4q,BSZ 
[38087] DISPLAY_SUMMARY,mR1GL8In4q 
[38103] SELL,mR1GL8In4q,QJZ,147.87 
[38187] SET_SELL_AMOUNT,mR1GL8In4q,RGH,68.26 
[38462] SET_SELL_TRIGGER,mR1GL8In4q,RGH,53.03 
[38507] ADD,mR1GL8In4q,99070.58 
[38715] QUOTE,mR1GL8In4q,WZY 
[38877] ADD,mR1GL8In4q,68048.77 
[39186] CANCEL_SET_BUY,mR1GL8In4q,UTD 
[39202] SET_SELL_TRIGGER,mR1GL8In4q,LPR,107.27 
[39365] SELL,mR1GL8In4q,RUN,617.22 
[39708] COMMIT_SELL,mR1GL8In4q 
[39849] BUY,mR1GL8In4q,LVT,129.72 
[39987] COMMIT_BUY,mR1GL8In4q 
[40011] SELL,mR1GL8In4q,LFU,95.00 
[40087] SET_SELL_TRIGGER,mR1GL8In4q,FPV,119.90 
[40115] BUY,mR1GL8In4q,IRQ,144.83 
[40156] COMMIT_BUY,mR1GL8In4q 
[40242] QUOTE,mR1GL8In4q,XBL 
[40305] BUY,mR1GL8In4q,YWK,223.37 
[40385] COMMIT_BUY,mR1GL8In4q 
[40392] SET_BUY_TRIGGER,mR1GL8In4q,TWJ,102.19 
[40435] SELL,mR1GL8In4q,OEY,376.09 
[40451] QUOTE,mR1GL8In4q,WZY 
[40548] SET_BUY_TRIGGER,mR1GL8In4q,GUB,188.14 
[40795] ADD,mR1GL8In4q,74143.34 
[40823] QUOTE,mR1GL8In4q,MFX 
[40875] BUY,mR1GL8In4q,HTN,241.26 
[40981] COMMIT_BUY,mR1GL8In4q 
[41020] SELL,mR1GL8In4q,JQO,548.53 
[41204] BUY,mR1GL8In4q,ZRH,473.06 
[41292] COMMIT_BUY,mR1GL8In4q 
[41331] SELL,mR1GL8In4q,JCQ,55.83 
[41392] COMMIT_SELL,mR1GL8In4q 
[41565] SET_BUY_TRIGGER,mR1GL8In4q,WZY,131.67 
[41593] ADD,mR1GL8In4q,84747.14 
[41594] QUOTE,mR1GL8In4q,NVX 
[41805] BUY,mR1GL8In4q,ZAN,583.22 
[41852] SET_SELL_TRIGGER,mR1GL8In4q,XSS,165.24 
[41863] ADD,mR1GL8In4q,86250.66 
[41908] BUY,mR1GL8In4q,SWJ,223.69 
[42229] CANCEL_BUY,mR1GL8In4q 
[42451] SET_SELL_TRIGGER,mR1GL8In4q,GJR,160.04 
[42485] SELL,mR1GL8In4q,FQP,56.55 
[42515] DISPLAY_SUMMARY,mR1GL8In4q 
[42617] BUY,mR1GL8In4q,YZH,29.22 
[42737] COMMIT_BUY,mR1GL8In4q 
[42746] QUOTE,mR1GL8In4q,JCL 
[42753] QUOTE,mR1GL8In4q,VUS 
[42804] ADD,mR1GL8In4q,64363.19 
[42839] DISPLAY_SUMMARY,mR1GL8In4q 
[43040] SELL,mR1GL8In4q,ZYR,370.01 
[43409] SET_SELL_TRIGGER,mR1GL8In4q,MHI,47.96 
[43426] SET_BUY_AMOUNT,mR1GL8In4q,ZYR,720.92 
[43506] SET_BUY_TRIGGER,mR1GL8In4q,HHC,368.04 
[43584] ADD,mR1GL8In4q,58975.10 
[43670] QUOTE,mR1GL8In4q,MWJ 
[43809] BUY,mR1GL8In4q,ULL,476.77 
[43816] COMMIT_BUY,mR1GL8In4q 
[43837] SET_BUY_TRIGGER,mR1GL8In4q,OHG,75.79 
[43907] SELL,mR1GL8In4q,SUS,78.11 
[44040] COMMIT_SELL,mR1GL8In4q 
[44069] SET_BUY_TRIGGER,mR1GL8In4q,YWC,181.04 
[44112] SET_SELL_TRIGGER,mR1GL8In4q,KPP,87.28 
[44262] ADD,mR1GL8In4q,54601.48 
[44396] QUOTE,mR1GL8In4q,PVZ 
[44453] QUOTE,mR1GL8In4q,BTD 
[44562] QUOTE,mR1GL8In4q,VIG 
[44895] ADD,mR1GL8In4q,72149.56 
[44909] BUY,mR1GL8In4q,FIY,290.17 
[44956] QUOTE,mR1GL8In4q,YEW 
[45068] BUY,mR1GL8In4q,OEX,231.08 
[45208] COMMIT_BUY,mR1GL8In4q 
[45428] SET_SELL_TRIGGER,mR1GL8In4q,BMW,3.89 
[45875] SET_SELL_AMOUNT,mR1GL8In4q,XLK,249.12 
[46569] CANCEL_SET_SELL,mR1GL8In4q,XLK 
[46676] SET_SELL_AMOUNT,mR1GL8In4q,QAX,114.42 
[46707] SET_SELL_TRIGGER,mR1GL8In4q,QAX,42.36 
[46710] DISPLAY_SUMMARY,mR1GL8In4q 
[46851] QUOTE,mR1GL8In4q,LGL 
[46934] SET_BUY_AMOUNT,mR1GL8In4q,SSF,542.60 
[46947] SET_BUY_TRIGGER,mR1GL8In4q,ZOT,129.83 
[46956] SET_BUY_AMOUNT,mR1GL8In4q,OEY,549.13 
[47266] SELL,mR1GL8In4q,RUN,477.23 
[47300] COMMIT_SELL,mR1GL8In4q 
[47520] SET_SELL_AMOUNT,mR1GL8In4q,OPN,200.39 
[47608] QUOTE,mR1GL8In4q,MAX 
[47862] QUOTE,mR1GL8In4q,EJW 
[47991] BUY,mR1GL8In4q,OYW,738.54 
[48065] COMMIT_BUY,mR1GL8In4q 
[48149] DISPLAY_SUMMARY,mR1GL8In4q 
[48208] SET_SELL_AMOUNT,mR1GL8In4q,BYA,741.83 
[48269] BUY,mR1GL8In4q,CCH,238.59 
[48374] DISPLAY_SUMMARY,mR1GL8In4q 
[48518] ADD,mR1GL8In4q,62982.90 
[48665] BUY,mR1GL8In4q,RVU,509.57 
[48911] COMMIT_BUY,mR1GL8In4q 
[49055] SELL,mR1GL8In4q,RNK,168.32 
[49389] SET_SELL_AMOUNT,mR1GL8In4q,ZYR,644.32 
[49404] SET_SELL_TRIGGER,mR1GL8In4q,ZYR,193.39 
[49406] ADD,mR1GL8In4q,44651.35 
[49422] ADD,mR1GL8In4q,54002.77 
[49499] BUY,mR1GL8In4q,WLT,318.03 
[49523] BUY,mR1GL8In4q,PBX,251.80 
[49839] SELL,mR1GL8In4q,XLK,567.10 
[49863] COMMIT_SELL,mR1GL8In4q 
[49997] ADD,mR1GL8In4q,91154.61 
[50052] QUOTE,mR1GL8In4q,JUE 
[50186] SET_BUY_TRIGGER,mR1GL8In4q,MQX,472.09 
[50257] SET_BUY_TRIGGER,mR1GL8In4q,ZFV,79.79 
[50274] SET_BUY_TRIGGER,mR1GL8In4q,AED,82.37 
[50511] DISPLAY_SUMMARY,mR1GL8In4q 
[50636] BUY,mR1GL8In4q,ZRH,480.17 
[51003] COMMIT_BUY,mR1GL8In4q 
[51232] ADD,mR1GL8In4q,51469.01 
[51390] BUY,mR1GL8In4q,OYW,95.42 
[51643] COMMIT_BUY,mR1GL8In4q 
[51717] ADD,mR1GL8In4q,77379.61 
[51936] SET_SELL_AMOUNT,mR1GL8In4q,GYF,118.83 
