[186] ADD,OO6PWyjuYk,66650.27 
[19481] QUOTE,OO6PWyjuYk,ZAN 
[19504] BUY,OO6PWyjuYk,FOV,650.40 
[19611] COMMIT_BUY,OO6PWyjuYk 
[19706] DISPLAY_SUMMARY,OO6PWyjuYk 
[19798] DISPLAY_SUMMARY,OO6PWyjuYk 
[19871] SET_BUY_TRIGGER,OO6PWyjuYk,LLD,21.88 
[19916] ADD,OO6PWyjuYk,101966.96 
[19967] BUY,OO6PWyjuYk,BDX,384.61 
[19979] SET_SELL_TRIGGER,OO6PWyjuYk,NAR,39.03 
[19991] DISPLAY_SUMMARY,OO6PWyjuYk 
[20122] ADD,OO6PWyjuYk,66312.23 
[20231] BUY,OO6PWyjuYk,KAS,311.48 
[20302] CANCEL_SELL,OO6PWyjuYk 
[20473] DISPLAY_SUMMARY,OO6PWyjuYk 
[20557] BUY,OO6PWyjuYk,USW,125.83 
[20610] COMMIT_BUY,OO6PWyjuYk 
[20751] SET_BUY_TRIGGER,OO6PWyjuYk,BRZ,182.97 
[20766] ADD,OO6PWyjuYk,64246.01 
[20910] QUOTE,OO6PWyjuYk,KZZ 
[21123] SET_BUY_AMOUNT,OO6PWyjuYk,JRJ,629.01 
[21274] SET_BUY_TRIGGER,OO6PWyjuYk,FNY,555.41 
[21503] ADD,OO6PWyjuYk,81348.67 
[21511] BUY,OO6PWyjuYk,URY,17.20 
[21576] COMMIT_BUY,OO6PWyjuYk 
[21806] DISPLAY_SUMMARY,OO6PWyjuYk 
[22017] SELL,OO6PWyjuYk,OEY,169.44 
[22078] COMMIT_SELL,OO6PWyjuYk 
[22133] BUY,OO6PWyjuYk,HFS,574.46 
[22209] COMMIT_BUY,OO6PWyjuYk 
[22376] BUY,OO6PWyjuYk,STT,609.77 
[22632] SET_BUY_TRIGGER,OO6PWyjuYk,OTD,42.03 
[22661] SET_BUY_TRIGGER,OO6PWyjuYk,JGO,51.74 
[22741] DISPLAY_SUMMARY,OO6PWyjuYk 
[22824] DISPLAY_SUMMARY,OO6PWyjuYk 
[22964] SET_BUY_TRIGGER,OO6PWyjuYk,XOL,0.89 
[23316] SET_SELL_AMOUNT,OO6PWyjuYk,ZAN,574.75 
[23344] SET_SELL_TRIGGER,OO6PWyjuYk,ZAN,220.97 
[23374] SET_SELL_AMOUNT,OO6PWyjuYk,LFU,466.14 
[23470] SET_SELL_TRIGGER,OO6PWyjuYk,LFU,241.91 
[23490] DISPLAY_SUMMARY,OO6PWyjuYk 
[23533] ADD,OO6PWyjuYk,47314.63 
[23579] QUOTE,OO6PWyjuYk,RNK 
[23610] QUOTE,OO6PWyjuYk,KGV 
[23735] COMMIT_SELL,OO6PWyjuYk 
[23857] BUY,OO6PWyjuYk,VTY,589.09 
[23907] COMMIT_BUY,OO6PWyjuYk 
[24124] DISPLAY_SUMMARY,OO6PWyjuYk 
[24256] CANCEL_SET_BUY,OO6PWyjuYk,YPW 
[24383] ADD,OO6PWyjuYk,60844.69 
[24460] SELL,OO6PWyjuYk,JRJ,55.94 
[24552] ADD,OO6PWyjuYk,93239.86 
[24776] QUOTE,OO6PWyjuYk,EIH 
[24886] BUY,OO6PWyjuYk,OZW,9.26 
[24953] ADD,OO6PWyjuYk,74619.41 
[24973] BUY,OO6PWyjuYk,JEO,48.95 
[25015] COMMIT_BUY,OO6PWyjuYk 
[25123] SET_SELL_AMOUNT,OO6PWyjuYk,JVT,557.15 
[25168] CANCEL_SET_SELL,OO6PWyjuYk,JVT 
[25654] ADD,OO6PWyjuYk,54842.19 
[25668] DISPLAY_SUMMARY,OO6PWyjuYk 
[25708] SET_BUY_AMOUNT,OO6PWyjuYk,LFU,585.98 
[25732] SET_BUY_TRIGGER,OO6PWyjuYk,UTV,479.30 
[25833] ADD,OO6PWyjuYk,67638.09 
[25839] SELL,OO6PWyjuYk,ZAN,248.06 
[25956] COMMIT_SELL,OO6PWyjuYk 
[25990] ADD,OO6PWyjuYk,56694.09 
[26170] BUY,OO6PWyjuYk,DJD,349.55 
[26174] CANCEL_SET_BUY,OO6PWyjuYk,MVY 
[26198] SET_SELL_TRIGGER,OO6PWyjuYk,TXB,158.91 
[26216] CANCEL_BUY,OO6PWyjuYk 
[26481] SET_SELL_AMOUNT,OO6PWyjuYk,OEY,88.86 
[26516] SET_SELL_TRIGGER,OO6PWyjuYk,OEY,88.56 
[26560] SET_SELL_AMOUNT,OO6PWyjuYk,EBS,198.76 
[26738] SET_SELL_TRIGGER,OO6PWyjuYk,EBS,62.35 
[26852] ADD,OO6PWyjuYk,80281.72 
[26871] BUY,OO6PWyjuYk,FTB,666.12 
[26926] CANCEL_BUY,OO6PWyjuYk 
[27082] BUY,OO6PWyjuYk,XBE,94.72 
[27170] CANCEL_BUY,OO6PWyjuYk 
[27339] ADD,OO6PWyjuYk,48902.96 
[27396] BUY,OO6PWyjuYk,RGM,42.07 
[27576] COMMIT_BUY,OO6PWyjuYk 
[27644] SET_SELL_AMOUNT,OO6PWyjuYk,XXQ,157.93 
[27701] BUY,OO6PWyjuYk,MQH,225.22 
[27768] QUOTE,OO6PWyjuYk,ZZD 
[27807] CANCEL_BUY,OO6PWyjuYk 
[27858] BUY,OO6PWyjuYk,EDV,4.99 
[27879] BUY,OO6PWyjuYk,NGG,374.05 
[27894] DISPLAY_SUMMARY,OO6PWyjuYk 
[28020] SET_SELL_AMOUNT,OO6PWyjuYk,EBS,110.69 
[28190] CANCEL_SET_SELL,OO6PWyjuYk,EBS 
[28569] SELL,OO6PWyjuYk,OEY,723.02 
[28577] COMMIT_SELL,OO6PWyjuYk 
[28746] QUOTE,OO6PWyjuYk,GFN 
[28782] SET_BUY_TRIGGER,OO6PWyjuYk,VUS,5.56 
[28826] DISPLAY_SUMMARY,OO6PWyjuYk 
[28957] BUY,OO6PWyjuYk,JUG,182.18 
[29033] COMMIT_BUY,OO6PWyjuYk 
[29062] SET_SELL_TRIGGER,OO6PWyjuYk,URI,93.45 
[29064] CANCEL_SET_BUY,OO6PWyjuYk,FNY 
[29259] SET_BUY_TRIGGER,OO6PWyjuYk,CLQ,64.85 
[29307] ADD,OO6PWyjuYk,61861.36 
[29357] CANCEL_SET_BUY,OO6PWyjuYk,MZT 
[29525] SET_SELL_TRIGGER,OO6PWyjuYk,GJR,60.14 
[29659] DISPLAY_SUMMARY,OO6PWyjuYk 
[29727] DISPLAY_SUMMARY,OO6PWyjuYk 
[29819] CANCEL_SET_SELL,OO6PWyjuYk,OXV 
[29929] DISPLAY_SUMMARY,OO6PWyjuYk 
[30164] BUY,OO6PWyjuYk,IDN,426.00 
[30483] ADD,OO6PWyjuYk,43382.27 
[30557] BUY,OO6PWyjuYk,FKZ,690.18 
[30565] CANCEL_SET_BUY,OO6PWyjuYk,IFQ 
[30569] SET_BUY_AMOUNT,OO6PWyjuYk,LFU,271.27 
[30739] SET_BUY_TRIGGER,OO6PWyjuYk,KMV,146.47 
[30796] CANCEL_SET_BUY,OO6PWyjuYk,SYL 
[30825] SET_SELL_TRIGGER,OO6PWyjuYk,NXF,20.96 
[30861] QUOTE,OO6PWyjuYk,IEQ 
[30960] BUY,OO6PWyjuYk,XMA,459.02 
[31062] COMMIT_BUY,OO6PWyjuYk 
[31138] SET_SELL_TRIGGER,OO6PWyjuYk,ZRH,57.86 
[31319] DISPLAY_SUMMARY,OO6PWyjuYk 
[31363] SELL,OO6PWyjuYk,RUN,159.21 
[31551] COMMIT_SELL,OO6PWyjuYk 
[31575] BUY,OO6PWyjuYk,MAX,341.19 
[31900] COMMIT_BUY,OO6PWyjuYk 
[31937] ADD,OO6PWyjuYk,100820.59 
[32133] QUOTE,OO6PWyjuYk,PTC 
[32168] BUY,OO6PWyjuYk,KAR,227.97 
[32265] COMMIT_BUY,OO6PWyjuYk 
[32305] SELL,OO6PWyjuYk,OEY,179.94 
[32337] SET_BUY_TRIGGER,OO6PWyjuYk,KJD,49.31 
[32473] ADD,OO6PWyjuYk,57243.28 
[32548] SET_SELL_TRIGGER,OO6PWyjuYk,MMY,153.69 
[32577] QUOTE,OO6PWyjuYk,JYV 
[32584] SELL,OO6PWyjuYk,EBS,577.01 
[32630] COMMIT_SELL,OO6PWyjuYk 
[32650] DISPLAY_SUMMARY,OO6PWyjuYk 
[32855] BUY,OO6PWyjuYk,ZNW,445.80 
[33020] SET_BUY_AMOUNT,OO6PWyjuYk,LFU,372.47 
[33099] SET_BUY_TRIGGER,OO6PWyjuYk,OIY,35.35 
[33142] DISPLAY_SUMMARY,OO6PWyjuYk 
[33151] BUY,OO6PWyjuYk,LUD,482.97 
[33251] QUOTE,OO6PWyjuYk,UTL 
[33336] SET_BUY_TRIGGER,OO6PWyjuYk,IHA,1.83 
[33411] BUY,OO6PWyjuYk,OYX,518.42 
[33412] COMMIT_BUY,OO6PWyjuYk 
[33458] SET_SELL_TRIGGER,OO6PWyjuYk,RGH,163.51 
[33583] SELL,OO6PWyjuYk,EBS,113.40 
[33735] DISPLAY_SUMMARY,OO6PWyjuYk 
[33847] SELL,OO6PWyjuYk,UTV,434.58 
[33901] SET_SELL_TRIGGER,OO6PWyjuYk,LGL,148.84 
[33929] SET_SELL_AMOUNT,OO6PWyjuYk,JVT,534.92 
[34063] DISPLAY_SUMMARY,OO6PWyjuYk 
[34193] BUY,OO6PWyjuYk,JIC,84.01 
[34196] COMMIT_BUY,OO6PWyjuYk 
[34273] ADD,OO6PWyjuYk,86559.28 
[34322] BUY,OO6PWyjuYk,NUV,152.42 
[34378] COMMIT_BUY,OO6PWyjuYk 
[34423] ADD,OO6PWyjuYk,51656.93 
[34445] BUY,OO6PWyjuYk,PVH,214.72 
[34499] COMMIT_BUY,OO6PWyjuYk 
[34632] SET_SELL_TRIGGER,OO6PWyjuYk,JVT,445.92 
[35009] SET_SELL_TRIGGER,OO6PWyjuYk,CTI,106.17 
[35047] ADD,OO6PWyjuYk,73893.14 
[35204] QUOTE,OO6PWyjuYk,TCP 
[35212] BUY,OO6PWyjuYk,XWZ,562.15 
[35296] COMMIT_BUY,OO6PWyjuYk 
[35357] ADD,OO6PWyjuYk,54923.75 
[35446] BUY,OO6PWyjuYk,UFX,631.49 
[35531] COMMIT_BUY,OO6PWyjuYk 
[35576] CANCEL_SET_SELL,OO6PWyjuYk,VSE 
[35685] SELL,OO6PWyjuYk,ZTI,528.89 
[35777] COMMIT_SELL,OO6PWyjuYk 
[35946] DISPLAY_SUMMARY,OO6PWyjuYk 
[35993] SET_SELL_AMOUNT,OO6PWyjuYk,RNK,164.74 
[36137] SET_SELL_TRIGGER,OO6PWyjuYk,RNK,161.77 
[36290] SET_BUY_AMOUNT,OO6PWyjuYk,OPN,550.71 
[36388] SET_BUY_TRIGGER,OO6PWyjuYk,VKP,303.76 
[36404] QUOTE,OO6PWyjuYk,SJG 
[36545] QUOTE,OO6PWyjuYk,GPW 
[36564] SET_BUY_TRIGGER,OO6PWyjuYk,NJI,67.71 
[36583] BUY,OO6PWyjuYk,LAW,29.38 
[36699] COMMIT_BUY,OO6PWyjuYk 
[36928] DISPLAY_SUMMARY,OO6PWyjuYk 
[36961] SET_BUY_AMOUNT,OO6PWyjuYk,CSZ,254.74 
[37031] CANCEL_SET_BUY,OO6PWyjuYk,MWV 
[37060] CANCEL_SELL,OO6PWyjuYk 
[37089] DISPLAY_SUMMARY,OO6PWyjuYk 
[37118] SELL,OO6PWyjuYk,BCQ,39.14 
[37266] ADD,OO6PWyjuYk,55579.62 
[37403] BUY,OO6PWyjuYk,JCQ,216.83 
[37463] COMMIT_BUY,OO6PWyjuYk 
[37509] COMMIT_BUY,OO6PWyjuYk 
[37687] ADD,OO6PWyjuYk,60386.50 
[37865] QUOTE,OO6PWyjuYk,CTS 
[37883] BUY,OO6PWyjuYk,CMA,396.49 
[38070] SET_BUY_AMOUNT,OO6PWyjuYk,XLK,727.96 
[38320] SET_BUY_TRIGGER,OO6PWyjuYk,NVX,433.68 
[38373] QUOTE,OO6PWyjuYk,UDQ 
[38451] CANCEL_SET_SELL,OO6PWyjuYk,HTD 
[38461] BUY,OO6PWyjuYk,WYA,626.59 
[38499] ADD,OO6PWyjuYk,58754.72 
[38523] QUOTE,OO6PWyjuYk,XFW 
[38533] SET_BUY_TRIGGER,OO6PWyjuYk,XPX,43.49 
[38774] SET_BUY_AMOUNT,OO6PWyjuYk,CUZ,9.91 
[38801] SET_BUY_TRIGGER,OO6PWyjuYk,TZJ,8.43 
[38852] SET_SELL_AMOUNT,OO6PWyjuYk,CSZ,210.30 
[38878] SET_SELL_TRIGGER,OO6PWyjuYk,CSZ,46.82 
[38982] SET_SELL_TRIGGER,OO6PWyjuYk,VCN,138.26 
[39085] SELL,OO6PWyjuYk,FDI,240.26 
[39245] COMMIT_SELL,OO6PWyjuYk 
[39411] DISPLAY_SUMMARY,OO6PWyjuYk 
[39672] DISPLAY_SUMMARY,OO6PWyjuYk 
[39727] COMMIT_BUY,OO6PWyjuYk 
[39734] QUOTE,OO6PWyjuYk,CBO 
[39754] BUY,OO6PWyjuYk,BTA,605.54 
[39936] BUY,OO6PWyjuYk,GTB,346.71 
[40046] CANCEL_BUY,OO6PWyjuYk 
[40110] SET_SELL_AMOUNT,OO6PWyjuYk,PTP,704.66 
[40118] SET_SELL_TRIGGER,OO6PWyjuYk,PTP,670.84 
[40130] SET_BUY_TRIGGER,OO6PWyjuYk,FKZ,25.49 
[40172] ADD,OO6PWyjuYk,80443.49 
[40175] BUY,OO6PWyjuYk,FGI,254.09 
[40193] COMMIT_BUY,OO6PWyjuYk 
[40228] SET_BUY_TRIGGER,OO6PWyjuYk,MUN,86.84 
[40261] SET_SELL_TRIGGER,OO6PWyjuYk,IIX,167.44 
[40486] QUOTE,OO6PWyjuYk,SYU 
[40526] DISPLAY_SUMMARY,OO6PWyjuYk 
[40665] SET_BUY_TRIGGER,OO6PWyjuYk,QEO,120.71 
[40732] DISPLAY_SUMMARY,OO6PWyjuYk 
[40966] SET_SELL_TRIGGER,OO6PWyjuYk,SBT,81.32 
[40992] ADD,OO6PWyjuYk,62870.05 
[41080] BUY,OO6PWyjuYk,ZGR,198.40 
[41359] COMMIT_BUY,OO6PWyjuYk 
[41377] BUY,OO6PWyjuYk,ZKV,279.83 
[41464] COMMIT_BUY,OO6PWyjuYk 
[41574] SELL,OO6PWyjuYk,PTP,629.12 
[41712] CANCEL_SET_BUY,OO6PWyjuYk,SEW 
[41794] DISPLAY_SUMMARY,OO6PWyjuYk 
[41821] ADD,OO6PWyjuYk,63309.92 
[41847] QUOTE,OO6PWyjuYk,YNY 
[41902] SET_SELL_AMOUNT,OO6PWyjuYk,ZTI,282.04 
[41941] DISPLAY_SUMMARY,OO6PWyjuYk 
[41950] SELL,OO6PWyjuYk,PTP,29.88 
[42043] DISPLAY_SUMMARY,OO6PWyjuYk 
[42216] DISPLAY_SUMMARY,OO6PWyjuYk 
[42408] QUOTE,OO6PWyjuYk,NGB 
[42588] COMMIT_SELL,OO6PWyjuYk 
[42838] SET_BUY_AMOUNT,OO6PWyjuYk,ZYR,334.42 
[42851] DISPLAY_SUMMARY,OO6PWyjuYk 
[42902] DISPLAY_SUMMARY,OO6PWyjuYk 
[42973] SET_BUY_AMOUNT,OO6PWyjuYk,PTP,417.46 
[43003] DISPLAY_SUMMARY,OO6PWyjuYk 
[43006] SET_BUY_TRIGGER,OO6PWyjuYk,QXW,237.02 
[43054] SELL,OO6PWyjuYk,DFE,212.14 
[43082] BUY,OO6PWyjuYk,MWB,278.42 
[43120] CANCEL_BUY,OO6PWyjuYk 
[43165] QUOTE,OO6PWyjuYk,LSK 
[43199] SET_BUY_AMOUNT,OO6PWyjuYk,UTV,745.84 
[43203] BUY,OO6PWyjuYk,URY,166.00 
[43247] SELL,OO6PWyjuYk,PTP,481.11 
[43374] QUOTE,OO6PWyjuYk,MIU 
[43414] BUY,OO6PWyjuYk,OPN,57.45 
[43429] CANCEL_SET_SELL,OO6PWyjuYk,ZTI 
[43587] SET_BUY_AMOUNT,OO6PWyjuYk,JQO,387.80 
[43604] DISPLAY_SUMMARY,OO6PWyjuYk 
[43669] ADD,OO6PWyjuYk,96441.89 
[43678] BUY,OO6PWyjuYk,WDC,584.31 
[43773] COMMIT_BUY,OO6PWyjuYk 
[43776] SET_SELL_AMOUNT,OO6PWyjuYk,OEY,460.37 
[43855] SET_SELL_TRIGGER,OO6PWyjuYk,OEY,459.13 
[44027] QUOTE,OO6PWyjuYk,VOY 
[44235] QUOTE,OO6PWyjuYk,LPS 
[44287] SET_BUY_AMOUNT,OO6PWyjuYk,RNK,152.57 
[44685] SET_BUY_TRIGGER,OO6PWyjuYk,DBR,152.44 
