[69] ADD,BOvGL2MRxg,83682.38 
[3033] CANCEL_SET_BUY,BOvGL2MRxg,YTT 
[3096] DISPLAY_SUMMARY,BOvGL2MRxg 
[3115] ADD,BOvGL2MRxg,74034.22 
[3172] QUOTE,BOvGL2MRxg,MHR 
[3197] BUY,BOvGL2MRxg,XUH,312.26 
[3214] COMMIT_BUY,BOvGL2MRxg 
[3225] SET_SELL_AMOUNT,BOvGL2MRxg,FQP,579.42 
[3258] SET_SELL_TRIGGER,BOvGL2MRxg,FQP,198.75 
[3276] ADD,BOvGL2MRxg,60295.85 
[3463] QUOTE,BOvGL2MRxg,JLK 
[3728] BUY,BOvGL2MRxg,OGB,446.66 
[3811] COMMIT_BUY,BOvGL2MRxg 
[3873] ADD,BOvGL2MRxg,78563.77 
[3874] SET_SELL_AMOUNT,BOvGL2MRxg,KDA,331.27 
[3955] BUY,BOvGL2MRxg,XPX,312.52 
[4094] COMMIT_BUY,BOvGL2MRxg 
[4280] SET_BUY_TRIGGER,BOvGL2MRxg,KEO,138.09 
[4352] DISPLAY_SUMMARY,BOvGL2MRxg 
[4393] ADD,BOvGL2MRxg,73536.93 
[4439] QUOTE,BOvGL2MRxg,YXK 
[4443] BUY,BOvGL2MRxg,XLK,63.98 
[4461] CANCEL_BUY,BOvGL2MRxg 
[4530] SET_BUY_AMOUNT,BOvGL2MRxg,KES,56.92 
[4690] CANCEL_SET_BUY,BOvGL2MRxg,RQF 
[4706] CANCEL_SET_SELL,BOvGL2MRxg,KDA 
[4920] SET_BUY_TRIGGER,BOvGL2MRxg,AOU,193.68 
[4957] DISPLAY_SUMMARY,BOvGL2MRxg 
[4987] SET_SELL_AMOUNT,BOvGL2MRxg,JVT,203.01 
[5098] CANCEL_SET_SELL,BOvGL2MRxg,JVT 
[5177] ADD,BOvGL2MRxg,69310.44 
[5334] BUY,BOvGL2MRxg,YTY,415.37 
[5444] COMMIT_BUY,BOvGL2MRxg 
[5855] ADD,BOvGL2MRxg,84879.07 
[5967] SELL,BOvGL2MRxg,KES,557.07 
[5985] COMMIT_SELL,BOvGL2MRxg 
[6037] ADD,BOvGL2MRxg,82294.68 
[6106] BUY,BOvGL2MRxg,VAT,666.92 
[6227] COMMIT_BUY,BOvGL2MRxg 
[6429] ADD,BOvGL2MRxg,77648.18 
[6554] BUY,BOvGL2MRxg,OHS,500.40 
[6674] QUOTE,BOvGL2MRxg,YEW 
[6797] QUOTE,BOvGL2MRxg,OKK 
[6934] QUOTE,BOvGL2MRxg,IAV 
[6978] ADD,BOvGL2MRxg,58316.04 
[7156] BUY,BOvGL2MRxg,SHP,172.38 
[7296] CANCEL_BUY,BOvGL2MRxg 
[7390] ADD,BOvGL2MRxg,78440.75 
[7454] QUOTE,BOvGL2MRxg,NTB 
[7460] BUY,BOvGL2MRxg,EGB,41.74 
[7511] SET_BUY_TRIGGER,BOvGL2MRxg,PPY,150.29 
[7768] ADD,BOvGL2MRxg,86663.43 
[7872] BUY,BOvGL2MRxg,MOM,459.75 
[7879] SELL,BOvGL2MRxg,KES,99.74 
[8032] DISPLAY_SUMMARY,BOvGL2MRxg 
[8071] SET_SELL_AMOUNT,BOvGL2MRxg,JVT,30.55 
[8098] SET_SELL_TRIGGER,BOvGL2MRxg,JVT,2.00 
[8153] SET_SELL_TRIGGER,BOvGL2MRxg,ARP,71.04 
[8298] CANCEL_SET_SELL,BOvGL2MRxg,AIN 
[8343] SET_SELL_AMOUNT,BOvGL2MRxg,GYF,480.97 
[8374] QUOTE,BOvGL2MRxg,PLA 
[8559] DISPLAY_SUMMARY,BOvGL2MRxg 
[8615] DISPLAY_SUMMARY,BOvGL2MRxg 
[8964] SET_SELL_AMOUNT,BOvGL2MRxg,KDA,83.14 
[9052] SET_SELL_TRIGGER,BOvGL2MRxg,KDA,68.37 
[9101] SET_BUY_AMOUNT,BOvGL2MRxg,GYF,250.86 
[9380] DISPLAY_SUMMARY,BOvGL2MRxg 
[9665] ADD,BOvGL2MRxg,67640.59 
[9694] QUOTE,BOvGL2MRxg,MJU 
[9811] CANCEL_BUY,BOvGL2MRxg 
[9846] SET_SELL_AMOUNT,BOvGL2MRxg,FQP,16.18 
[9851] QUOTE,BOvGL2MRxg,FVA 
[9857] COMMIT_BUY,BOvGL2MRxg 
[9872] ADD,BOvGL2MRxg,47427.39 
[9912] COMMIT_BUY,BOvGL2MRxg 
[9973] CANCEL_SET_BUY,BOvGL2MRxg,PPW 
[9978] DISPLAY_SUMMARY,BOvGL2MRxg 
[10006] SET_SELL_AMOUNT,BOvGL2MRxg,JVT,475.87 
[10045] SET_SELL_TRIGGER,BOvGL2MRxg,JVT,184.00 
[10202] SET_SELL_TRIGGER,BOvGL2MRxg,YTY,49.93 
[10433] ADD,BOvGL2MRxg,71610.54 
[10482] QUOTE,BOvGL2MRxg,VJB 
[10541] BUY,BOvGL2MRxg,ZJB,671.01 
[10802] SET_BUY_AMOUNT,BOvGL2MRxg,JCQ,216.71 
[11031] SET_BUY_TRIGGER,BOvGL2MRxg,YTT,28.08 
[11105] QUOTE,BOvGL2MRxg,LKK 
[11374] BUY,BOvGL2MRxg,PRJ,588.24 
[11447] CANCEL_BUY,BOvGL2MRxg 
[11477] SET_SELL_AMOUNT,BOvGL2MRxg,JVT,492.92 
[11572] SELL,BOvGL2MRxg,EBS,241.93 
[11650] CANCEL_SET_BUY,BOvGL2MRxg,YTY 
[11705] ADD,BOvGL2MRxg,84830.64 
[11771] QUOTE,BOvGL2MRxg,JHY 
[11885] BUY,BOvGL2MRxg,KLE,279.04 
[11907] SELL,BOvGL2MRxg,JVT,354.54 
[11967] BUY,BOvGL2MRxg,YBP,323.06 
[11977] COMMIT_BUY,BOvGL2MRxg 
[12007] QUOTE,BOvGL2MRxg,IOM 
[12065] SET_BUY_AMOUNT,BOvGL2MRxg,EBS,214.19 
[12091] SET_BUY_TRIGGER,BOvGL2MRxg,ZSV,83.78 
[12248] BUY,BOvGL2MRxg,KJH,366.39 
[12315] COMMIT_BUY,BOvGL2MRxg 
[12337] SET_BUY_AMOUNT,BOvGL2MRxg,QJZ,97.11 
[12480] SET_BUY_TRIGGER,BOvGL2MRxg,PZE,42.03 
[12567] DISPLAY_SUMMARY,BOvGL2MRxg 
[12710] SET_BUY_TRIGGER,BOvGL2MRxg,XER,167.22 
[12738] SELL,BOvGL2MRxg,QAX,31.68 
[12850] COMMIT_SELL,BOvGL2MRxg 
[12998] ADD,BOvGL2MRxg,61889.83 
[13056] BUY,BOvGL2MRxg,JUV,271.65 
[13246] CANCEL_BUY,BOvGL2MRxg 
[13266] SET_SELL_TRIGGER,BOvGL2MRxg,JVT,285.90 
[13337] ADD,BOvGL2MRxg,61226.54 
[13490] BUY,BOvGL2MRxg,CMA,396.26 
[13540] CANCEL_BUY,BOvGL2MRxg 
[13616] DISPLAY_SUMMARY,BOvGL2MRxg 
[13620] BUY,BOvGL2MRxg,YTT,272.41 
[13959] COMMIT_BUY,BOvGL2MRxg 
[14054] ADD,BOvGL2MRxg,60896.66 
[14068] QUOTE,BOvGL2MRxg,ZQW 
[14087] CANCEL_SET_SELL,BOvGL2MRxg,FPP 
[14144] ADD,BOvGL2MRxg,85006.57 
[14166] QUOTE,BOvGL2MRxg,AMI 
[14171] ADD,BOvGL2MRxg,89054.08 
[14286] SELL,BOvGL2MRxg,OEY,623.44 
[14479] COMMIT_SELL,BOvGL2MRxg 
[14550] DISPLAY_SUMMARY,BOvGL2MRxg 
[14612] ADD,BOvGL2MRxg,61222.06 
[14834] CANCEL_SET_SELL,BOvGL2MRxg,JRJ 
[15004] ADD,BOvGL2MRxg,58404.29 
[15008] CANCEL_SET_BUY,BOvGL2MRxg,KMZ 
[15070] BUY,BOvGL2MRxg,DJD,315.72 
[15117] COMMIT_BUY,BOvGL2MRxg 
[15401] SET_BUY_AMOUNT,BOvGL2MRxg,JRJ,570.74 
[15455] SET_BUY_TRIGGER,BOvGL2MRxg,SCK,237.09 
[15473] BUY,BOvGL2MRxg,QID,408.90 
[15545] CANCEL_BUY,BOvGL2MRxg 
[15562] SET_BUY_TRIGGER,BOvGL2MRxg,YCH,110.58 
[15599] SELL,BOvGL2MRxg,QAX,189.07 
[15758] CANCEL_SELL,BOvGL2MRxg 
[15937] SELL,BOvGL2MRxg,UTV,207.67 
[15945] ADD,BOvGL2MRxg,56116.66 
[15997] QUOTE,BOvGL2MRxg,JQJ 
[16132] DISPLAY_SUMMARY,BOvGL2MRxg 
[16223] DISPLAY_SUMMARY,BOvGL2MRxg 
[16297] QUOTE,BOvGL2MRxg,VYQ 
[16350] SET_SELL_AMOUNT,BOvGL2MRxg,JQO,142.02 
[16472] SET_SELL_TRIGGER,BOvGL2MRxg,JQO,68.91 
[16570] SET_BUY_AMOUNT,BOvGL2MRxg,EBS,316.43 
[16713] QUOTE,BOvGL2MRxg,YKB 
[16728] BUY,BOvGL2MRxg,PNP,99.38 
[16783] CANCEL_SET_SELL,BOvGL2MRxg,IVV 
[16947] ADD,BOvGL2MRxg,57092.27 
[17007] QUOTE,BOvGL2MRxg,BEC 
[17330] BUY,BOvGL2MRxg,OLH,247.86 
[17502] CANCEL_BUY,BOvGL2MRxg 
[17503] SET_SELL_AMOUNT,BOvGL2MRxg,JRJ,738.81 
[17573] CANCEL_SET_SELL,BOvGL2MRxg,JRJ 
[17808] ADD,BOvGL2MRxg,77228.86 
[18044] QUOTE,BOvGL2MRxg,BYA 
[18064] BUY,BOvGL2MRxg,LJZ,448.82 
[18286] DISPLAY_SUMMARY,BOvGL2MRxg 
[18778] SET_BUY_AMOUNT,BOvGL2MRxg,JRJ,336.38 
[18784] BUY,BOvGL2MRxg,DRO,580.10 
[18800] COMMIT_BUY,BOvGL2MRxg 
[19113] SET_SELL_AMOUNT,BOvGL2MRxg,GYF,562.50 
[19237] CANCEL_SET_SELL,BOvGL2MRxg,GYF 
[19326] ADD,BOvGL2MRxg,80563.85 
[19502] QUOTE,BOvGL2MRxg,ZZD 
[19571] QUOTE,BOvGL2MRxg,UCG 
[19583] QUOTE,BOvGL2MRxg,NOP 
[19641] ADD,BOvGL2MRxg,83390.94 
[19809] QUOTE,BOvGL2MRxg,WTL 
[19971] SET_BUY_TRIGGER,BOvGL2MRxg,PUC,152.33 
[20115] SELL,BOvGL2MRxg,OEY,18.33 
[20237] COMMIT_SELL,BOvGL2MRxg 
[20334] ADD,BOvGL2MRxg,34003.40 
[20399] QUOTE,BOvGL2MRxg,IOM 
[20537] SET_BUY_TRIGGER,BOvGL2MRxg,KZQ,77.25 
[20553] SET_BUY_AMOUNT,BOvGL2MRxg,FQP,536.58 
[20618] SET_BUY_TRIGGER,BOvGL2MRxg,QPR,39.72 
[20671] SELL,BOvGL2MRxg,QJZ,302.38 
[20750] COMMIT_SELL,BOvGL2MRxg 
[21071] SELL,BOvGL2MRxg,OEY,218.60 
[21319] SET_SELL_AMOUNT,BOvGL2MRxg,JCQ,36.23 
[21597] SET_SELL_TRIGGER,BOvGL2MRxg,JCQ,25.19 
[21642] SET_SELL_AMOUNT,BOvGL2MRxg,JRJ,332.46 
[21648] SET_SELL_TRIGGER,BOvGL2MRxg,JRJ,297.23 
[21657] DISPLAY_SUMMARY,BOvGL2MRxg 
[21716] ADD,BOvGL2MRxg,71101.62 
[21869] BUY,BOvGL2MRxg,NUL,61.23 
[21967] COMMIT_BUY,BOvGL2MRxg 
[22294] ADD,BOvGL2MRxg,72368.68 
[22325] BUY,BOvGL2MRxg,YAZ,593.19 
[22672] COMMIT_BUY,BOvGL2MRxg 
[22729] ADD,BOvGL2MRxg,83052.57 
[23124] QUOTE,BOvGL2MRxg,MQX 
[23161] QUOTE,BOvGL2MRxg,NQU 
[23293] CANCEL_SELL,BOvGL2MRxg 
[23397] BUY,BOvGL2MRxg,MVI,458.83 
[23404] QUOTE,BOvGL2MRxg,ZWB 
[23438] SET_SELL_TRIGGER,BOvGL2MRxg,MPP,5.87 
[23441] ADD,BOvGL2MRxg,81083.55 
[23500] BUY,BOvGL2MRxg,OQW,345.21 
[23524] CANCEL_BUY,BOvGL2MRxg 
[23647] QUOTE,BOvGL2MRxg,ZDB 
[23707] BUY,BOvGL2MRxg,KJD,304.37 
[23720] CANCEL_BUY,BOvGL2MRxg 
[23993] ADD,BOvGL2MRxg,72963.04 
[24131] COMMIT_BUY,BOvGL2MRxg 
[24189] ADD,BOvGL2MRxg,80787.57 
[24328] QUOTE,BOvGL2MRxg,NGH 
[24428] BUY,BOvGL2MRxg,HHC,392.51 
[24707] SET_SELL_AMOUNT,BOvGL2MRxg,GYF,456.89 
[24721] SET_SELL_TRIGGER,BOvGL2MRxg,GYF,322.61 
[24762] QUOTE,BOvGL2MRxg,CBQ 
[24883] DISPLAY_SUMMARY,BOvGL2MRxg 
[25004] SET_SELL_TRIGGER,BOvGL2MRxg,FCM,162.77 
[25101] SET_BUY_TRIGGER,BOvGL2MRxg,VAT,32.52 
[25190] BUY,BOvGL2MRxg,EDM,379.93 
[25386] COMMIT_BUY,BOvGL2MRxg 
[25635] ADD,BOvGL2MRxg,58845.02 
[25663] BUY,BOvGL2MRxg,JXW,87.82 
[25712] QUOTE,BOvGL2MRxg,KJD 
[25763] BUY,BOvGL2MRxg,UMN,435.89 
[25811] ADD,BOvGL2MRxg,67315.42 
[25870] QUOTE,BOvGL2MRxg,UCG 
[26126] SET_SELL_TRIGGER,BOvGL2MRxg,YZC,122.35 
[26152] ADD,BOvGL2MRxg,88644.52 
[26243] BUY,BOvGL2MRxg,JNO,580.79 
[26428] COMMIT_BUY,BOvGL2MRxg 
[26447] ADD,BOvGL2MRxg,45172.07 
[26774] QUOTE,BOvGL2MRxg,JXW 
[27243] SET_BUY_TRIGGER,BOvGL2MRxg,CTT,14.42 
[27244] ADD,BOvGL2MRxg,50345.39 
[27486] CANCEL_SELL,BOvGL2MRxg 
[27579] SET_SELL_TRIGGER,BOvGL2MRxg,ZOW,199.24 
[27704] SET_BUY_AMOUNT,BOvGL2MRxg,UTV,732.54 
[27920] SET_BUY_TRIGGER,BOvGL2MRxg,ECL,669.21 
[28121] SET_BUY_AMOUNT,BOvGL2MRxg,JQO,335.36 
[28144] SET_BUY_TRIGGER,BOvGL2MRxg,JGG,104.46 
[28145] ADD,BOvGL2MRxg,75741.63 
[28227] BUY,BOvGL2MRxg,YEH,594.43 
[28411] COMMIT_BUY,BOvGL2MRxg 
[28486] SET_BUY_AMOUNT,BOvGL2MRxg,XXQ,657.80 
[28519] SET_BUY_TRIGGER,BOvGL2MRxg,KZQ,50.57 
[28657] SET_SELL_AMOUNT,BOvGL2MRxg,LFU,12.93 
[28674] CANCEL_SET_SELL,BOvGL2MRxg,LFU 
[28680] ADD,BOvGL2MRxg,40505.02 
[28823] BUY,BOvGL2MRxg,PHZ,589.20 
[29031] COMMIT_BUY,BOvGL2MRxg 
[29056] QUOTE,BOvGL2MRxg,FFZ 
[29059] BUY,BOvGL2MRxg,TKV,615.09 
[29265] SET_BUY_AMOUNT,BOvGL2MRxg,DFE,132.69 
[29337] SET_BUY_TRIGGER,BOvGL2MRxg,CJV,126.58 
[29447] DISPLAY_SUMMARY,BOvGL2MRxg 
[29589] SELL,BOvGL2MRxg,NHG,346.75 
[29740] COMMIT_SELL,BOvGL2MRxg 
[29783] SET_BUY_AMOUNT,BOvGL2MRxg,QJZ,690.46 
[29843] SET_BUY_TRIGGER,BOvGL2MRxg,YAV,417.36 
[30001] SELL,BOvGL2MRxg,LFU,141.34 
[30122] COMMIT_SELL,BOvGL2MRxg 
[30348] ADD,BOvGL2MRxg,36939.94 
[30374] QUOTE,BOvGL2MRxg,NNW 
[30461] BUY,BOvGL2MRxg,EWP,313.06 
[30482] QUOTE,BOvGL2MRxg,LLO 
[30571] QUOTE,BOvGL2MRxg,BSZ 
[30637] BUY,BOvGL2MRxg,YBP,433.43 
[30713] DISPLAY_SUMMARY,BOvGL2MRxg 
[30724] DISPLAY_SUMMARY,BOvGL2MRxg 
[30775] CANCEL_SET_BUY,BOvGL2MRxg,TSS 
[30790] QUOTE,BOvGL2MRxg,BFL 
[30940] BUY,BOvGL2MRxg,DXQ,623.50 
[30988] COMMIT_BUY,BOvGL2MRxg 
[31186] CANCEL_SELL,BOvGL2MRxg 
[31214] SET_BUY_TRIGGER,BOvGL2MRxg,UDN,47.14 
[31232] ADD,BOvGL2MRxg,80726.29 
[31483] BUY,BOvGL2MRxg,GTB,621.80 
[31544] COMMIT_BUY,BOvGL2MRxg 
[31581] CANCEL_SET_BUY,BOvGL2MRxg,MSV 
[31645] QUOTE,BOvGL2MRxg,QSS 
[31646] DISPLAY_SUMMARY,BOvGL2MRxg 
[31661] CANCEL_SET_BUY,BOvGL2MRxg,VTY 
[31700] SET_BUY_TRIGGER,BOvGL2MRxg,DXQ,51.28 
[31743] COMMIT_SELL,BOvGL2MRxg 
[31771] SET_BUY_TRIGGER,BOvGL2MRxg,JJW,155.26 
[31874] QUOTE,BOvGL2MRxg,SYU 
[31968] QUOTE,BOvGL2MRxg,QGE 
[31985] ADD,BOvGL2MRxg,61826.73 
[32336] SET_SELL_AMOUNT,BOvGL2MRxg,KES,487.04 
[32358] SET_SELL_TRIGGER,BOvGL2MRxg,KES,69.82 
[32746] SELL,BOvGL2MRxg,BYA,665.07 
[32916] COMMIT_SELL,BOvGL2MRxg 
[32971] SET_BUY_TRIGGER,BOvGL2MRxg,PXS,141.78 
[33013] DISPLAY_SUMMARY,BOvGL2MRxg 
[33064] SET_BUY_AMOUNT,BOvGL2MRxg,ZAN,385.84 
[33106] SET_BUY_TRIGGER,BOvGL2MRxg,PTP,331.08 
[33141] DISPLAY_SUMMARY,BOvGL2MRxg 
[33174] SELL,BOvGL2MRxg,QAX,554.85 
[33241] CANCEL_SET_SELL,BOvGL2MRxg,DPG 
[33423] QUOTE,BOvGL2MRxg,TTY 
[33490] QUOTE,BOvGL2MRxg,ZFT 
[33503] CANCEL_SET_SELL,BOvGL2MRxg,IFN 
[33732] BUY,BOvGL2MRxg,NDO,423.79 
[34007] CANCEL_BUY,BOvGL2MRxg 
[34237] SET_SELL_TRIGGER,BOvGL2MRxg,DQW,197.41 
[34245] ADD,BOvGL2MRxg,62703.97 
[34266] BUY,BOvGL2MRxg,SYL,531.22 
[34367] COMMIT_BUY,BOvGL2MRxg 
[34379] ADD,BOvGL2MRxg,61739.61 
[34427] QUOTE,BOvGL2MRxg,MWJ 
[34431] DISPLAY_SUMMARY,BOvGL2MRxg 
[34539] ADD,BOvGL2MRxg,68504.06 
[34629] BUY,BOvGL2MRxg,QWC,18.29 
[34660] SET_SELL_AMOUNT,BOvGL2MRxg,QAX,712.88 
[34664] SET_SELL_TRIGGER,BOvGL2MRxg,QAX,681.97 
[34702] SELL,BOvGL2MRxg,LFU,644.16 
[34709] COMMIT_SELL,BOvGL2MRxg 
[34883] ADD,BOvGL2MRxg,62505.45 
[35021] BUY,BOvGL2MRxg,NVX,649.86 
[35295] COMMIT_BUY,BOvGL2MRxg 
[35340] ADD,BOvGL2MRxg,59175.67 
[35464] BUY,BOvGL2MRxg,ZEU,590.08 
[35545] COMMIT_BUY,BOvGL2MRxg 
[35641] SET_BUY_AMOUNT,BOvGL2MRxg,XXQ,203.96 
[36228] SET_BUY_TRIGGER,BOvGL2MRxg,BZX,196.49 
[36229] ADD,BOvGL2MRxg,74834.22 
[36231] BUY,BOvGL2MRxg,VNF,81.50 
[36317] COMMIT_BUY,BOvGL2MRxg 
[36510] SET_SELL_TRIGGER,BOvGL2MRxg,YZC,49.60 
[36539] QUOTE,BOvGL2MRxg,DXL 
[36547] SELL,BOvGL2MRxg,DFE,297.17 
[36867] QUOTE,BOvGL2MRxg,FIY 
[37070] BUY,BOvGL2MRxg,RQS,60.97 
[37127] CANCEL_SET_SELL,BOvGL2MRxg,KBP 
[37155] COMMIT_BUY,BOvGL2MRxg 
[37600] SET_SELL_AMOUNT,BOvGL2MRxg,JRJ,469.46 
[37790] SET_SELL_TRIGGER,BOvGL2MRxg,JRJ,35.69 
[37810] ADD,BOvGL2MRxg,89324.13 
[38134] SELL,BOvGL2MRxg,ZYR,692.49 
[38146] COMMIT_SELL,BOvGL2MRxg 
[38310] DISPLAY_SUMMARY,BOvGL2MRxg 
[38419] SET_SELL_TRIGGER,BOvGL2MRxg,BZH,87.55 
[38435] SET_SELL_TRIGGER,BOvGL2MRxg,CTT,179.48 
[38503] SET_SELL_AMOUNT,BOvGL2MRxg,ZYR,100.85 
[38667] SET_SELL_TRIGGER,BOvGL2MRxg,ZYR,91.34 
[38850] SET_BUY_TRIGGER,BOvGL2MRxg,URI,37.74 
[38940] DISPLAY_SUMMARY,BOvGL2MRxg 
[39103] SET_SELL_AMOUNT,BOvGL2MRxg,RUN,435.32 
[39277] SET_SELL_TRIGGER,BOvGL2MRxg,RUN,237.26 
[39420] SELL,BOvGL2MRxg,ZAN,192.58 
[39611] CANCEL_SET_BUY,BOvGL2MRxg,ZTR 
[39617] SET_SELL_AMOUNT,BOvGL2MRxg,QAX,748.96 
[39623] DISPLAY_SUMMARY,BOvGL2MRxg 
[40509] DISPLAY_SUMMARY,BOvGL2MRxg 
[40666] CANCEL_SET_SELL,BOvGL2MRxg,QAX 
[40705] DISPLAY_SUMMARY,BOvGL2MRxg 
[40921] CANCEL_SET_SELL,BOvGL2MRxg,MSV 
[40975] SET_SELL_AMOUNT,BOvGL2MRxg,JVT,298.82 
[41024] SELL,BOvGL2MRxg,ZTI,450.11 
[41194] COMMIT_SELL,BOvGL2MRxg 
[41404] QUOTE,BOvGL2MRxg,PLA 
[41443] SET_SELL_TRIGGER,BOvGL2MRxg,JVT,205.88 
[41466] BUY,BOvGL2MRxg,IBT,346.52 
[41474] COMMIT_SELL,BOvGL2MRxg 
[41548] ADD,BOvGL2MRxg,51093.24 
[41595] QUOTE,BOvGL2MRxg,TUO 
[41787] BUY,BOvGL2MRxg,YJK,195.47 
[42125] COMMIT_BUY,BOvGL2MRxg 
[43035] SET_SELL_AMOUNT,BOvGL2MRxg,JQO,486.47 
[43152] SET_SELL_TRIGGER,BOvGL2MRxg,JQO,23.38 
[43182] ADD,BOvGL2MRxg,85141.43 
[43192] BUY,BOvGL2MRxg,ZTR,636.74 
[43209] SET_BUY_TRIGGER,BOvGL2MRxg,CSZ,136.00 
[43489] SET_SELL_AMOUNT,BOvGL2MRxg,JRJ,325.62 
[43581] BUY,BOvGL2MRxg,EVR,725.38 
[43597] COMMIT_BUY,BOvGL2MRxg 
[43598] DISPLAY_SUMMARY,BOvGL2MRxg 
[43804] SET_SELL_TRIGGER,BOvGL2MRxg,JRJ,235.21 
[43832] CANCEL_SELL,BOvGL2MRxg 
[44021] SET_BUY_AMOUNT,BOvGL2MRxg,ZYR,627.59 
[44064] SET_BUY_TRIGGER,BOvGL2MRxg,LJZ,358.74 
[44089] QUOTE,BOvGL2MRxg,OEY 
[44121] BUY,BOvGL2MRxg,HWO,324.73 
[44148] CANCEL_SET_BUY,BOvGL2MRxg,CSZ 
[44364] QUOTE,BOvGL2MRxg,FKX 
[44501] BUY,BOvGL2MRxg,UMV,748.91 
[44602] COMMIT_BUY,BOvGL2MRxg 
[44612] COMMIT_BUY,BOvGL2MRxg 
[44848] ADD,BOvGL2MRxg,75028.96 
[44922] BUY,BOvGL2MRxg,ZGR,150.92 
[44941] SET_SELL_AMOUNT,BOvGL2MRxg,JZJ,106.97 
[45066] SET_SELL_TRIGGER,BOvGL2MRxg,JZJ,47.99 
[45089] BUY,BOvGL2MRxg,MMY,44.52 
[45254] COMMIT_BUY,BOvGL2MRxg 
[45317] DISPLAY_SUMMARY,BOvGL2MRxg 
[45378] ADD,BOvGL2MRxg,84198.10 
[45430] BUY,BOvGL2MRxg,XLI,305.17 
[45435] CANCEL_SET_BUY,BOvGL2MRxg,SXB 
[45571] ADD,BOvGL2MRxg,47754.20 
[45869] QUOTE,BOvGL2MRxg,KDG 
[45896] BUY,BOvGL2MRxg,KBI,293.92 
[46130] SELL,BOvGL2MRxg,RNK,424.51 
[46143] DISPLAY_SUMMARY,BOvGL2MRxg 
[46420] DISPLAY_SUMMARY,BOvGL2MRxg 
[46422] ADD,BOvGL2MRxg,75718.70 
[46488] BUY,BOvGL2MRxg,KPU,703.35 
[46570] COMMIT_BUY,BOvGL2MRxg 
[46770] ADD,BOvGL2MRxg,92134.33 
[46772] BUY,BOvGL2MRxg,MWJ,440.43 
[46900] COMMIT_BUY,BOvGL2MRxg 
[46943] SELL,BOvGL2MRxg,UTV,258.80 
[46993] COMMIT_SELL,BOvGL2MRxg 
[47069] ADD,BOvGL2MRxg,75666.19 
[47147] BUY,BOvGL2MRxg,MIU,257.53 
[47171] COMMIT_BUY,BOvGL2MRxg 
[47273] SET_BUY_AMOUNT,BOvGL2MRxg,BYA,416.80 
[47335] SET_BUY_TRIGGER,BOvGL2MRxg,ZGN,61.32 
[47428] BUY,BOvGL2MRxg,XPX,182.18 
[47770] ADD,BOvGL2MRxg,62917.06 
[47817] QUOTE,BOvGL2MRxg,VNF 
[47831] BUY,BOvGL2MRxg,SQS,433.13 
[47957] COMMIT_BUY,BOvGL2MRxg 
[47976] QUOTE,BOvGL2MRxg,JLK 
[47986] BUY,BOvGL2MRxg,CMA,278.76 
[48042] QUOTE,BOvGL2MRxg,ZMA 
[48190] ADD,BOvGL2MRxg,72670.94 
[48303] BUY,BOvGL2MRxg,YLZ,102.75 
[48309] QUOTE,BOvGL2MRxg,LRS 
[48493] BUY,BOvGL2MRxg,JQJ,24.68 
[48632] SET_BUY_AMOUNT,BOvGL2MRxg,KES,222.68 
[48724] SET_BUY_TRIGGER,BOvGL2MRxg,UZZ,94.77 
