[265] ADD,v2iT5RAbiA,57923.86 
[14439] SET_BUY_TRIGGER,v2iT5RAbiA,MQP,80.70 
[14492] SET_SELL_TRIGGER,v2iT5RAbiA,PJJ,164.45 
[14530] QUOTE,v2iT5RAbiA,ALV 
[14531] CANCEL_SET_SELL,v2iT5RAbiA,ULL 
[14807] ADD,v2iT5RAbiA,55836.38 
[15126] CANCEL_SET_SELL,v2iT5RAbiA,ZMK 
[15238] BUY,v2iT5RAbiA,WSR,672.33 
[15397] COMMIT_BUY,v2iT5RAbiA 
[15585] SET_BUY_AMOUNT,v2iT5RAbiA,OEY,404.56 
[15710] SET_BUY_TRIGGER,v2iT5RAbiA,CDF,11.74 
[15812] SELL,v2iT5RAbiA,EBS,224.48 
[15855] COMMIT_SELL,v2iT5RAbiA 
[15936] QUOTE,v2iT5RAbiA,MJU 
[15975] CANCEL_BUY,v2iT5RAbiA 
[15982] SET_BUY_TRIGGER,v2iT5RAbiA,FOV,142.25 
[16058] SELL,v2iT5RAbiA,QJZ,5.11 
[16264] SET_SELL_TRIGGER,v2iT5RAbiA,HSJ,69.62 
[16270] CANCEL_BUY,v2iT5RAbiA 
[16272] BUY,v2iT5RAbiA,QOQ,394.33 
[16349] COMMIT_BUY,v2iT5RAbiA 
[16471] SELL,v2iT5RAbiA,GYF,352.67 
[16501] CANCEL_SELL,v2iT5RAbiA 
[16621] SET_BUY_AMOUNT,v2iT5RAbiA,QJZ,701.02 
[16632] SELL,v2iT5RAbiA,JVT,222.57 
[17042] COMMIT_SELL,v2iT5RAbiA 
[17111] COMMIT_SELL,v2iT5RAbiA 
[17373] ADD,v2iT5RAbiA,51368.50 
[17414] QUOTE,v2iT5RAbiA,XWZ 
[17501] ADD,v2iT5RAbiA,89976.80 
[17539] ADD,v2iT5RAbiA,60479.00 
[17720] BUY,v2iT5RAbiA,SQO,544.19 
[17843] CANCEL_BUY,v2iT5RAbiA 
[17917] SET_SELL_TRIGGER,v2iT5RAbiA,DDH,4.45 
[18052] DISPLAY_SUMMARY,v2iT5RAbiA 
[18164] SET_BUY_TRIGGER,v2iT5RAbiA,LKK,172.91 
[18306] QUOTE,v2iT5RAbiA,CBX 
[18379] CANCEL_SELL,v2iT5RAbiA 
[18409] BUY,v2iT5RAbiA,ZEU,169.72 
[18741] SET_BUY_AMOUNT,v2iT5RAbiA,QAX,232.60 
[18772] SET_BUY_TRIGGER,v2iT5RAbiA,YWK,169.05 
[18779] SET_SELL_AMOUNT,v2iT5RAbiA,GYF,576.21 
[19016] SET_SELL_TRIGGER,v2iT5RAbiA,GYF,144.14 
[19047] QUOTE,v2iT5RAbiA,URD 
[19059] SET_BUY_AMOUNT,v2iT5RAbiA,QAX,599.60 
[19328] SET_BUY_TRIGGER,v2iT5RAbiA,JGF,352.19 
[19373] SELL,v2iT5RAbiA,KES,409.78 
[19425] COMMIT_SELL,v2iT5RAbiA 
[19456] SET_BUY_AMOUNT,v2iT5RAbiA,EBS,657.16 
[19550] SET_BUY_TRIGGER,v2iT5RAbiA,NHB,304.01 
[19653] DISPLAY_SUMMARY,v2iT5RAbiA 
[19680] BUY,v2iT5RAbiA,WRN,311.72 
[19811] COMMIT_BUY,v2iT5RAbiA 
[19848] QUOTE,v2iT5RAbiA,RVU 
[19857] COMMIT_BUY,v2iT5RAbiA 
[19903] SET_BUY_TRIGGER,v2iT5RAbiA,FOW,106.57 
[19957] BUY,v2iT5RAbiA,WJS,169.49 
[19966] COMMIT_BUY,v2iT5RAbiA 
[20163] DISPLAY_SUMMARY,v2iT5RAbiA 
[20207] ADD,v2iT5RAbiA,65691.83 
[20214] BUY,v2iT5RAbiA,FIY,514.80 
[20266] DISPLAY_SUMMARY,v2iT5RAbiA 
[20364] DISPLAY_SUMMARY,v2iT5RAbiA 
[20502] QUOTE,v2iT5RAbiA,KZZ 
[20886] QUOTE,v2iT5RAbiA,JUV 
[21035] SET_SELL_AMOUNT,v2iT5RAbiA,KES,441.15 
[21050] SET_SELL_TRIGGER,v2iT5RAbiA,KES,436.04 
[21220] DISPLAY_SUMMARY,v2iT5RAbiA 
[21326] SET_SELL_TRIGGER,v2iT5RAbiA,SSL,60.04 
[21342] SET_SELL_TRIGGER,v2iT5RAbiA,VZB,169.79 
[21464] SET_SELL_TRIGGER,v2iT5RAbiA,SEW,89.39 
[21563] SELL,v2iT5RAbiA,QAX,557.82 
[21570] COMMIT_SELL,v2iT5RAbiA 
[21583] ADD,v2iT5RAbiA,35285.67 
[21647] CANCEL_SELL,v2iT5RAbiA 
[21838] ADD,v2iT5RAbiA,105379.70 
[21890] SELL,v2iT5RAbiA,UTV,309.31 
[21916] COMMIT_SELL,v2iT5RAbiA 
[22180] SET_SELL_AMOUNT,v2iT5RAbiA,KDA,263.18 
[22251] SET_SELL_TRIGGER,v2iT5RAbiA,KDA,227.68 
[22362] DISPLAY_SUMMARY,v2iT5RAbiA 
[22569] DISPLAY_SUMMARY,v2iT5RAbiA 
[22573] SET_BUY_AMOUNT,v2iT5RAbiA,JRJ,47.84 
[22646] SET_BUY_TRIGGER,v2iT5RAbiA,UCG,8.06 
[22654] QUOTE,v2iT5RAbiA,XER 
[22845] BUY,v2iT5RAbiA,IZU,126.43 
[23038] CANCEL_SET_SELL,v2iT5RAbiA,SWJ 
[23097] SET_BUY_TRIGGER,v2iT5RAbiA,BWL,3.73 
[23257] SELL,v2iT5RAbiA,QJZ,667.93 
[23426] QUOTE,v2iT5RAbiA,AQO 
[23496] SET_BUY_TRIGGER,v2iT5RAbiA,JLK,190.36 
[23518] DISPLAY_SUMMARY,v2iT5RAbiA 
[23570] SELL,v2iT5RAbiA,JCQ,91.16 
[23639] COMMIT_BUY,v2iT5RAbiA 
[23700] CANCEL_SET_SELL,v2iT5RAbiA,WJP 
[23785] QUOTE,v2iT5RAbiA,MIU 
[23875] ADD,v2iT5RAbiA,77701.75 
[24018] BUY,v2iT5RAbiA,VBO,644.61 
[24040] COMMIT_BUY,v2iT5RAbiA 
[24092] DISPLAY_SUMMARY,v2iT5RAbiA 
[24223] DISPLAY_SUMMARY,v2iT5RAbiA 
[24568] QUOTE,v2iT5RAbiA,ZQS 
[24593] DISPLAY_SUMMARY,v2iT5RAbiA 
[24615] DISPLAY_SUMMARY,v2iT5RAbiA 
[24705] QUOTE,v2iT5RAbiA,VNN 
[24866] QUOTE,v2iT5RAbiA,QZN 
[25180] ADD,v2iT5RAbiA,52975.57 
[25365] BUY,v2iT5RAbiA,ELQ,5.43 
[25419] COMMIT_BUY,v2iT5RAbiA 
[25425] ADD,v2iT5RAbiA,77996.96 
[25433] DISPLAY_SUMMARY,v2iT5RAbiA 
[25444] CANCEL_BUY,v2iT5RAbiA 
[25529] QUOTE,v2iT5RAbiA,YZC 
[25540] BUY,v2iT5RAbiA,XOP,90.09 
[25562] COMMIT_BUY,v2iT5RAbiA 
[25681] SET_BUY_AMOUNT,v2iT5RAbiA,OEY,745.53 
[25756] SELL,v2iT5RAbiA,CUZ,200.78 
[25784] SET_BUY_TRIGGER,v2iT5RAbiA,MQF,676.55 
[25962] DISPLAY_SUMMARY,v2iT5RAbiA 
[26141] DISPLAY_SUMMARY,v2iT5RAbiA 
[26197] DISPLAY_SUMMARY,v2iT5RAbiA 
[26482] SELL,v2iT5RAbiA,QJZ,629.07 
[26534] COMMIT_SELL,v2iT5RAbiA 
[26716] SET_SELL_TRIGGER,v2iT5RAbiA,FSD,74.94 
[26775] SET_BUY_AMOUNT,v2iT5RAbiA,LFU,661.53 
[26947] SET_BUY_TRIGGER,v2iT5RAbiA,FNY,204.15 
[26991] SELL,v2iT5RAbiA,JCQ,425.38 
[27038] BUY,v2iT5RAbiA,DVU,52.88 
[27148] QUOTE,v2iT5RAbiA,SCW 
[27156] BUY,v2iT5RAbiA,FTJ,431.24 
[27174] COMMIT_BUY,v2iT5RAbiA 
[27196] SELL,v2iT5RAbiA,JVT,653.16 
[27616] SET_SELL_TRIGGER,v2iT5RAbiA,EOS,48.81 
[27707] SET_SELL_AMOUNT,v2iT5RAbiA,QAX,390.00 
[27729] SET_SELL_TRIGGER,v2iT5RAbiA,QAX,315.24 
[27745] BUY,v2iT5RAbiA,OWH,207.96 
[27786] CANCEL_SET_SELL,v2iT5RAbiA,SDL 
[27806] SET_SELL_AMOUNT,v2iT5RAbiA,JRJ,672.24 
[27969] SET_SELL_TRIGGER,v2iT5RAbiA,JRJ,319.87 
[28239] SET_BUY_AMOUNT,v2iT5RAbiA,GYF,235.67 
[28260] SET_BUY_TRIGGER,v2iT5RAbiA,QPR,8.45 
[28415] SELL,v2iT5RAbiA,UTV,176.29 
[28417] BUY,v2iT5RAbiA,JII,519.71 
[28443] COMMIT_SELL,v2iT5RAbiA 
[28448] SELL,v2iT5RAbiA,LFU,728.20 
[28603] SET_BUY_TRIGGER,v2iT5RAbiA,CNN,163.94 
[28633] QUOTE,v2iT5RAbiA,ZFV 
[28752] ADD,v2iT5RAbiA,50176.32 
[28812] QUOTE,v2iT5RAbiA,RRZ 
[28850] BUY,v2iT5RAbiA,XAB,70.92 
[28937] COMMIT_BUY,v2iT5RAbiA 
[29091] SET_SELL_AMOUNT,v2iT5RAbiA,QJZ,555.02 
[29121] SET_SELL_TRIGGER,v2iT5RAbiA,QJZ,84.57 
[29146] DISPLAY_SUMMARY,v2iT5RAbiA 
[29155] SELL,v2iT5RAbiA,JRJ,188.08 
[29206] COMMIT_SELL,v2iT5RAbiA 
[29340] DISPLAY_SUMMARY,v2iT5RAbiA 
[29423] BUY,v2iT5RAbiA,GED,247.08 
[29572] COMMIT_BUY,v2iT5RAbiA 
[29701] BUY,v2iT5RAbiA,LSG,618.59 
[29756] SET_BUY_AMOUNT,v2iT5RAbiA,ZAN,570.20 
[29875] SET_BUY_TRIGGER,v2iT5RAbiA,CSZ,435.95 
[29894] SELL,v2iT5RAbiA,JRJ,73.04 
[29995] QUOTE,v2iT5RAbiA,WSG 
[30010] BUY,v2iT5RAbiA,SJG,561.19 
[30406] COMMIT_BUY,v2iT5RAbiA 
[30421] SET_BUY_AMOUNT,v2iT5RAbiA,BYA,399.49 
[30581] DISPLAY_SUMMARY,v2iT5RAbiA 
[30735] SELL,v2iT5RAbiA,CUZ,486.72 
[30793] QUOTE,v2iT5RAbiA,SYL 
[30886] SET_BUY_AMOUNT,v2iT5RAbiA,UTV,262.74 
[30924] SET_BUY_TRIGGER,v2iT5RAbiA,ZER,102.85 
[31212] SET_BUY_TRIGGER,v2iT5RAbiA,VND,27.73 
[31306] SET_BUY_AMOUNT,v2iT5RAbiA,JQO,417.18 
[31368] SET_BUY_TRIGGER,v2iT5RAbiA,JGY,324.13 
[31482] ADD,v2iT5RAbiA,51568.59 
[31499] QUOTE,v2iT5RAbiA,WKT 
[31600] CANCEL_SET_SELL,v2iT5RAbiA,OHS 
[31602] SET_SELL_TRIGGER,v2iT5RAbiA,PJJ,162.90 
[32034] BUY,v2iT5RAbiA,HRJ,25.28 
[32216] SELL,v2iT5RAbiA,QAX,565.67 
[32521] CANCEL_SELL,v2iT5RAbiA 
[32602] SELL,v2iT5RAbiA,GYF,122.56 
[32882] COMMIT_SELL,v2iT5RAbiA 
[32953] SET_SELL_TRIGGER,v2iT5RAbiA,BPK,180.75 
[33093] SET_BUY_AMOUNT,v2iT5RAbiA,QAX,609.59 
[33195] CANCEL_SET_BUY,v2iT5RAbiA,URA 
[33280] BUY,v2iT5RAbiA,UTV,579.26 
[33331] COMMIT_BUY,v2iT5RAbiA 
[33676] SET_BUY_AMOUNT,v2iT5RAbiA,BYA,749.02 
[33772] CANCEL_SET_BUY,v2iT5RAbiA,NGZ 
[33783] COMMIT_BUY,v2iT5RAbiA 
[33921] DISPLAY_SUMMARY,v2iT5RAbiA 
[33928] ADD,v2iT5RAbiA,68849.88 
[33931] QUOTE,v2iT5RAbiA,MQX 
[33955] SET_SELL_TRIGGER,v2iT5RAbiA,MQP,11.64 
[33963] COMMIT_BUY,v2iT5RAbiA 
[34161] ADD,v2iT5RAbiA,79445.28 
[34411] QUOTE,v2iT5RAbiA,PSJ 
[34502] SET_SELL_AMOUNT,v2iT5RAbiA,JQO,203.74 
[34653] SET_SELL_TRIGGER,v2iT5RAbiA,JQO,62.54 
[34686] DISPLAY_SUMMARY,v2iT5RAbiA 
[34717] DISPLAY_SUMMARY,v2iT5RAbiA 
[34744] SET_BUY_AMOUNT,v2iT5RAbiA,FQP,355.90 
[34793] SET_BUY_TRIGGER,v2iT5RAbiA,YBB,332.91 
[34847] DISPLAY_SUMMARY,v2iT5RAbiA 
[34976] ADD,v2iT5RAbiA,62207.82 
[35085] BUY,v2iT5RAbiA,YAZ,718.21 
[35096] COMMIT_BUY,v2iT5RAbiA 
[35228] DISPLAY_SUMMARY,v2iT5RAbiA 
[35250] SET_SELL_AMOUNT,v2iT5RAbiA,NHG,266.56 
[35492] SET_SELL_TRIGGER,v2iT5RAbiA,NHG,143.68 
[36002] CANCEL_BUY,v2iT5RAbiA 
[36056] ADD,v2iT5RAbiA,56934.96 
[36057] QUOTE,v2iT5RAbiA,ZJB 
[36086] DISPLAY_SUMMARY,v2iT5RAbiA 
[36152] ADD,v2iT5RAbiA,75594.22 
[36209] QUOTE,v2iT5RAbiA,GTX 
[36296] BUY,v2iT5RAbiA,PXS,24.64 
[36323] COMMIT_BUY,v2iT5RAbiA 
[36512] SET_SELL_AMOUNT,v2iT5RAbiA,RUN,638.81 
[36541] DISPLAY_SUMMARY,v2iT5RAbiA 
[36848] ADD,v2iT5RAbiA,55072.65 
[36859] QUOTE,v2iT5RAbiA,OTI 
[36999] QUOTE,v2iT5RAbiA,QID 
[37025] BUY,v2iT5RAbiA,DTG,735.90 
[37092] COMMIT_BUY,v2iT5RAbiA 
[37240] DISPLAY_SUMMARY,v2iT5RAbiA 
[37328] BUY,v2iT5RAbiA,YXK,114.05 
[37330] COMMIT_BUY,v2iT5RAbiA 
[37404] QUOTE,v2iT5RAbiA,KXF 
[37442] ADD,v2iT5RAbiA,65337.61 
[37568] QUOTE,v2iT5RAbiA,BTD 
[37593] QUOTE,v2iT5RAbiA,OGB 
[37650] QUOTE,v2iT5RAbiA,RNK 
[37683] QUOTE,v2iT5RAbiA,UMN 
[37912] CANCEL_SET_BUY,v2iT5RAbiA,LKV 
[37957] DISPLAY_SUMMARY,v2iT5RAbiA 
[37964] ADD,v2iT5RAbiA,71681.23 
[38152] COMMIT_SELL,v2iT5RAbiA 
[38160] SELL,v2iT5RAbiA,JCQ,335.29 
[38213] COMMIT_SELL,v2iT5RAbiA 
[38402] SET_BUY_AMOUNT,v2iT5RAbiA,NHG,529.43 
[38561] SET_BUY_TRIGGER,v2iT5RAbiA,XLI,342.45 
[38758] QUOTE,v2iT5RAbiA,LVV 
[38909] QUOTE,v2iT5RAbiA,MER 
[39054] BUY,v2iT5RAbiA,BLC,62.54 
[39159] CANCEL_BUY,v2iT5RAbiA 
[39357] ADD,v2iT5RAbiA,88168.48 
[39549] SELL,v2iT5RAbiA,CUZ,602.40 
[39779] COMMIT_SELL,v2iT5RAbiA 
[39944] SET_BUY_AMOUNT,v2iT5RAbiA,LFU,427.91 
[39952] SET_BUY_TRIGGER,v2iT5RAbiA,QWC,355.67 
[40143] ADD,v2iT5RAbiA,81870.79 
[40159] QUOTE,v2iT5RAbiA,MXD 
[40388] BUY,v2iT5RAbiA,VIK,65.96 
[40535] SET_BUY_AMOUNT,v2iT5RAbiA,JQO,223.17 
[40748] SET_BUY_TRIGGER,v2iT5RAbiA,YPW,177.10 
[40754] DISPLAY_SUMMARY,v2iT5RAbiA 
[41087] SET_SELL_TRIGGER,v2iT5RAbiA,RUN,116.35 
[41118] BUY,v2iT5RAbiA,PXX,346.09 
[41137] DISPLAY_SUMMARY,v2iT5RAbiA 
[41157] SET_BUY_TRIGGER,v2iT5RAbiA,UMN,120.71 
[41463] COMMIT_BUY,v2iT5RAbiA 
[41485] DISPLAY_SUMMARY,v2iT5RAbiA 
[41501] ADD,v2iT5RAbiA,52673.55 
[41579] QUOTE,v2iT5RAbiA,VNO 
[41596] SET_BUY_TRIGGER,v2iT5RAbiA,HEJ,29.52 
[41616] QUOTE,v2iT5RAbiA,WHR 
[41630] QUOTE,v2iT5RAbiA,QHF 
[41652] QUOTE,v2iT5RAbiA,SEW 
[41661] SET_BUY_AMOUNT,v2iT5RAbiA,YJK,12.72 
[41709] CANCEL_SET_BUY,v2iT5RAbiA,NUL 
[41818] ADD,v2iT5RAbiA,74585.78 
[41850] BUY,v2iT5RAbiA,CXC,557.21 
[41897] COMMIT_BUY,v2iT5RAbiA 
[42026] DISPLAY_SUMMARY,v2iT5RAbiA 
[42174] QUOTE,v2iT5RAbiA,WRJ 
[42205] BUY,v2iT5RAbiA,XDN,250.46 
[42233] COMMIT_BUY,v2iT5RAbiA 
[42250] ADD,v2iT5RAbiA,60557.43 
[42362] BUY,v2iT5RAbiA,HZP,584.82 
[42439] COMMIT_BUY,v2iT5RAbiA 
[42510] SET_SELL_TRIGGER,v2iT5RAbiA,DWX,40.70 
[42758] SELL,v2iT5RAbiA,GYF,210.93 
[43057] CANCEL_SELL,v2iT5RAbiA 
[43200] QUOTE,v2iT5RAbiA,BRT 
[43221] BUY,v2iT5RAbiA,OWH,686.36 
[43321] SET_SELL_AMOUNT,v2iT5RAbiA,ZYR,687.37 
[43370] SET_SELL_TRIGGER,v2iT5RAbiA,ZYR,89.38 
[43427] SET_BUY_TRIGGER,v2iT5RAbiA,ZLY,10.88 
[43433] ADD,v2iT5RAbiA,63932.57 
[43535] BUY,v2iT5RAbiA,AMI,14.76 
[43655] COMMIT_BUY,v2iT5RAbiA 
[43718] SET_BUY_AMOUNT,v2iT5RAbiA,LFU,464.80 
[43840] SET_BUY_TRIGGER,v2iT5RAbiA,RUN,266.75 
[43941] BUY,v2iT5RAbiA,TWJ,624.01 
[43965] CANCEL_SELL,v2iT5RAbiA 
[43976] SELL,v2iT5RAbiA,BCQ,720.24 
[44431] SET_SELL_TRIGGER,v2iT5RAbiA,PVZ,177.67 
[44536] CANCEL_SET_SELL,v2iT5RAbiA,BBC 
[44618] SET_BUY_AMOUNT,v2iT5RAbiA,LFU,61.68 
[44745] CANCEL_SET_BUY,v2iT5RAbiA,ZFV 
[44792] SET_SELL_AMOUNT,v2iT5RAbiA,OEY,650.92 
[44874] SET_SELL_TRIGGER,v2iT5RAbiA,OEY,61.40 
[44972] ADD,v2iT5RAbiA,66256.14 
[45097] QUOTE,v2iT5RAbiA,CTI 
[45098] SET_SELL_AMOUNT,v2iT5RAbiA,UTV,440.12 
[45152] SET_SELL_TRIGGER,v2iT5RAbiA,UTV,71.25 
[45209] DISPLAY_SUMMARY,v2iT5RAbiA 
[45210] ADD,v2iT5RAbiA,85376.99 
[45263] QUOTE,v2iT5RAbiA,XAB 
[45323] QUOTE,v2iT5RAbiA,CIP 
[45406] SET_BUY_TRIGGER,v2iT5RAbiA,AHO,163.25 
[45899] SET_BUY_TRIGGER,v2iT5RAbiA,WYA,134.65 
[45962] SET_BUY_AMOUNT,v2iT5RAbiA,ZTI,278.64 
[46073] SET_BUY_TRIGGER,v2iT5RAbiA,LVT,200.34 
[46224] DISPLAY_SUMMARY,v2iT5RAbiA 
[46274] SET_SELL_TRIGGER,v2iT5RAbiA,ZAM,145.34 
[46300] SET_SELL_AMOUNT,v2iT5RAbiA,RNK,44.59 
[46419] SET_SELL_TRIGGER,v2iT5RAbiA,RNK,28.40 
[46445] QUOTE,v2iT5RAbiA,PYM 
[46557] BUY,v2iT5RAbiA,XQC,5.79 
[46891] CANCEL_SELL,v2iT5RAbiA 
[46937] DISPLAY_SUMMARY,v2iT5RAbiA 
[47038] ADD,v2iT5RAbiA,51776.79 
[47284] QUOTE,v2iT5RAbiA,FPV 
[47364] ADD,v2iT5RAbiA,56878.66 
[47397] BUY,v2iT5RAbiA,XBL,316.06 
[47460] CANCEL_SELL,v2iT5RAbiA 
[47487] ADD,v2iT5RAbiA,74759.15 
[47519] QUOTE,v2iT5RAbiA,EYY 
