[9] ADD,xKgBJKhIlx,79140.22 
[5077] SET_BUY_TRIGGER,xKgBJKhIlx,NVN,63.58 
[5339] BUY,xKgBJKhIlx,CTT,75.96 
[5618] COMMIT_BUY,xKgBJKhIlx 
[5961] DISPLAY_SUMMARY,xKgBJKhIlx 
[5999] DISPLAY_SUMMARY,xKgBJKhIlx 
[6084] BUY,xKgBJKhIlx,UIE,186.62 
[6116] DISPLAY_SUMMARY,xKgBJKhIlx 
[6210] QUOTE,xKgBJKhIlx,WDC 
[6234] QUOTE,xKgBJKhIlx,KRX 
[6242] CANCEL_SELL,xKgBJKhIlx 
[6244] BUY,xKgBJKhIlx,YAZ,661.14 
[6510] COMMIT_BUY,xKgBJKhIlx 
[6524] ADD,xKgBJKhIlx,73046.87 
[6552] BUY,xKgBJKhIlx,ADY,544.29 
[6771] CANCEL_SET_BUY,xKgBJKhIlx,DWX 
[6826] QUOTE,xKgBJKhIlx,XLI 
[6895] SET_BUY_AMOUNT,xKgBJKhIlx,KES,159.97 
[6906] BUY,xKgBJKhIlx,IGT,648.44 
[7002] BUY,xKgBJKhIlx,TSS,216.02 
[7075] CANCEL_SET_SELL,xKgBJKhIlx,EIH 
[7089] QUOTE,xKgBJKhIlx,ALV 
[7163] QUOTE,xKgBJKhIlx,PTC 
[7286] BUY,xKgBJKhIlx,NAR,363.46 
[7638] COMMIT_BUY,xKgBJKhIlx 
[8015] ADD,xKgBJKhIlx,47873.85 
[8065] BUY,xKgBJKhIlx,CEC,110.57 
[8097] COMMIT_BUY,xKgBJKhIlx 
[8111] DISPLAY_SUMMARY,xKgBJKhIlx 
[8179] ADD,xKgBJKhIlx,89726.98 
[8246] BUY,xKgBJKhIlx,WUL,614.59 
[8330] COMMIT_BUY,xKgBJKhIlx 
[8348] ADD,xKgBJKhIlx,67874.81 
[8399] CANCEL_SELL,xKgBJKhIlx 
[8551] CANCEL_SELL,xKgBJKhIlx 
[8646] ADD,xKgBJKhIlx,71930.53 
[8693] SET_SELL_AMOUNT,xKgBJKhIlx,JVT,712.47 
[8837] CANCEL_SET_SELL,xKgBJKhIlx,JVT 
[8866] ADD,xKgBJKhIlx,49992.35 
[9106] QUOTE,xKgBJKhIlx,BPE 
[9135] BUY,xKgBJKhIlx,INB,743.76 
[9393] CANCEL_SET_BUY,xKgBJKhIlx,ILT 
[9498] BUY,xKgBJKhIlx,HNW,502.37 
[9614] SET_SELL_AMOUNT,xKgBJKhIlx,GYF,22.59 
[9805] SET_SELL_TRIGGER,xKgBJKhIlx,GYF,11.51 
[10070] ADD,xKgBJKhIlx,101277.27 
[10090] QUOTE,xKgBJKhIlx,WHR 
[10206] BUY,xKgBJKhIlx,VQA,486.01 
[10332] CANCEL_BUY,xKgBJKhIlx 
[10366] ADD,xKgBJKhIlx,45754.17 
[10394] BUY,xKgBJKhIlx,QVA,688.89 
[10526] COMMIT_BUY,xKgBJKhIlx 
[10580] SET_BUY_AMOUNT,xKgBJKhIlx,KDA,402.23 
[10708] SET_BUY_TRIGGER,xKgBJKhIlx,JCL,64.13 
[10816] SET_BUY_TRIGGER,xKgBJKhIlx,WAO,180.99 
[10892] QUOTE,xKgBJKhIlx,WQC 
[10946] QUOTE,xKgBJKhIlx,WKT 
[10963] QUOTE,xKgBJKhIlx,PFK 
[11023] CANCEL_SET_BUY,xKgBJKhIlx,ZOZ 
[11110] SET_BUY_AMOUNT,xKgBJKhIlx,JCQ,182.48 
[11173] SET_BUY_TRIGGER,xKgBJKhIlx,RRT,6.51 
[11452] SET_BUY_AMOUNT,xKgBJKhIlx,KES,407.92 
[11547] SET_BUY_TRIGGER,xKgBJKhIlx,PFN,273.20 
[11554] ADD,xKgBJKhIlx,58909.36 
[11697] BUY,xKgBJKhIlx,JVT,470.56 
[11733] COMMIT_BUY,xKgBJKhIlx 
[11784] BUY,xKgBJKhIlx,KZQ,125.40 
[11881] COMMIT_BUY,xKgBJKhIlx 
[12197] ADD,xKgBJKhIlx,94064.83 
[12259] QUOTE,xKgBJKhIlx,KCT 
[12261] BUY,xKgBJKhIlx,MWB,161.71 
[12282] QUOTE,xKgBJKhIlx,LNJ 
[12289] CANCEL_SET_SELL,xKgBJKhIlx,CXC 
[12516] CANCEL_BUY,xKgBJKhIlx 
[12783] DISPLAY_SUMMARY,xKgBJKhIlx 
[12921] SET_SELL_TRIGGER,xKgBJKhIlx,PMG,44.78 
[13086] DISPLAY_SUMMARY,xKgBJKhIlx 
[13088] QUOTE,xKgBJKhIlx,OOV 
[13150] SELL,xKgBJKhIlx,QJZ,348.60 
[13201] COMMIT_SELL,xKgBJKhIlx 
[13217] SET_SELL_TRIGGER,xKgBJKhIlx,RVU,65.42 
[13264] DISPLAY_SUMMARY,xKgBJKhIlx 
[13293] QUOTE,xKgBJKhIlx,DWU 
[13453] SET_BUY_TRIGGER,xKgBJKhIlx,NNW,195.65 
[13462] ADD,xKgBJKhIlx,81219.00 
[13678] SELL,xKgBJKhIlx,JCQ,690.54 
[13809] BUY,xKgBJKhIlx,FDI,528.63 
[13935] COMMIT_SELL,xKgBJKhIlx 
[14051] ADD,xKgBJKhIlx,71138.84 
[14081] QUOTE,xKgBJKhIlx,AUT 
[14084] QUOTE,xKgBJKhIlx,KGA 
[14118] BUY,xKgBJKhIlx,ZER,580.41 
[14197] CANCEL_BUY,xKgBJKhIlx 
[14279] ADD,xKgBJKhIlx,67986.65 
[14325] ADD,xKgBJKhIlx,45759.82 
[14744] QUOTE,xKgBJKhIlx,NZS 
[14890] SET_BUY_AMOUNT,xKgBJKhIlx,JCQ,219.33 
[15007] SELL,xKgBJKhIlx,QAX,411.82 
[15101] CANCEL_SELL,xKgBJKhIlx 
[15129] DISPLAY_SUMMARY,xKgBJKhIlx 
[15200] SET_BUY_AMOUNT,xKgBJKhIlx,UTV,666.82 
[15208] SET_BUY_TRIGGER,xKgBJKhIlx,MWV,501.96 
[15269] ADD,xKgBJKhIlx,65291.31 
[15339] QUOTE,xKgBJKhIlx,FTP 
[15518] ADD,xKgBJKhIlx,82330.82 
[15591] QUOTE,xKgBJKhIlx,FVS 
[16207] BUY,xKgBJKhIlx,NFQ,383.54 
[16413] CANCEL_BUY,xKgBJKhIlx 
[16607] SET_SELL_AMOUNT,xKgBJKhIlx,JVT,683.52 
[16664] SET_SELL_TRIGGER,xKgBJKhIlx,JVT,450.99 
[16697] ADD,xKgBJKhIlx,76148.50 
[17238] BUY,xKgBJKhIlx,XNZ,675.44 
[17343] COMMIT_BUY,xKgBJKhIlx 
[17798] DISPLAY_SUMMARY,xKgBJKhIlx 
[17934] SELL,xKgBJKhIlx,QJZ,298.89 
[18077] SET_BUY_AMOUNT,xKgBJKhIlx,UTV,292.77 
[18129] SET_BUY_TRIGGER,xKgBJKhIlx,JEO,80.13 
[18162] ADD,xKgBJKhIlx,88875.41 
[18181] BUY,xKgBJKhIlx,RWY,187.38 
[18190] CANCEL_SET_BUY,xKgBJKhIlx,HZE 
[18384] ADD,xKgBJKhIlx,57151.84 
[18415] BUY,xKgBJKhIlx,KBP,540.11 
[18452] CANCEL_BUY,xKgBJKhIlx 
[18861] SELL,xKgBJKhIlx,QAX,386.82 
[18874] ADD,xKgBJKhIlx,102179.46 
[18911] QUOTE,xKgBJKhIlx,YWC 
[18947] ADD,xKgBJKhIlx,96994.26 
[19135] QUOTE,xKgBJKhIlx,XOM 
[19141] SET_BUY_AMOUNT,xKgBJKhIlx,GYF,24.95 
[19291] SET_BUY_TRIGGER,xKgBJKhIlx,HSH,19.12 
[19313] DISPLAY_SUMMARY,xKgBJKhIlx 
[19411] DISPLAY_SUMMARY,xKgBJKhIlx 
[19422] QUOTE,xKgBJKhIlx,WAO 
[19467] SET_BUY_TRIGGER,xKgBJKhIlx,MOM,55.43 
[19573] QUOTE,xKgBJKhIlx,FYA 
[19599] BUY,xKgBJKhIlx,BXH,105.66 
[19881] COMMIT_BUY,xKgBJKhIlx 
[19953] QUOTE,xKgBJKhIlx,YQC 
[19973] SET_BUY_AMOUNT,xKgBJKhIlx,JCQ,480.25 
[20022] SET_BUY_TRIGGER,xKgBJKhIlx,YNY,80.49 
[20052] SET_SELL_AMOUNT,xKgBJKhIlx,GYF,135.07 
[20167] SET_SELL_TRIGGER,xKgBJKhIlx,GYF,48.97 
[20273] ADD,xKgBJKhIlx,75520.96 
[20335] BUY,xKgBJKhIlx,KGV,76.02 
[20933] COMMIT_BUY,xKgBJKhIlx 
[21022] SET_SELL_TRIGGER,xKgBJKhIlx,ZYR,192.17 
[21206] SET_SELL_TRIGGER,xKgBJKhIlx,QTH,110.88 
[21225] SET_BUY_TRIGGER,xKgBJKhIlx,OTQ,58.69 
[21273] ADD,xKgBJKhIlx,53023.31 
[21351] BUY,xKgBJKhIlx,FQU,330.23 
[21459] CANCEL_BUY,xKgBJKhIlx 
[21523] DISPLAY_SUMMARY,xKgBJKhIlx 
[21596] ADD,xKgBJKhIlx,65812.97 
[21643] BUY,xKgBJKhIlx,QUT,366.05 
[21683] COMMIT_BUY,xKgBJKhIlx 
[21926] ADD,xKgBJKhIlx,57111.35 
[21975] QUOTE,xKgBJKhIlx,SXB 
[22148] QUOTE,xKgBJKhIlx,FTB 
[22717] BUY,xKgBJKhIlx,GUB,360.93 
[22925] COMMIT_BUY,xKgBJKhIlx 
[22974] SET_SELL_TRIGGER,xKgBJKhIlx,YAZ,199.40 
[23047] QUOTE,xKgBJKhIlx,JQO 
[23168] BUY,xKgBJKhIlx,TTV,474.09 
[23232] CANCEL_SET_SELL,xKgBJKhIlx,UTD 
[23264] ADD,xKgBJKhIlx,93645.47 
[23593] QUOTE,xKgBJKhIlx,LJZ 
[23686] DISPLAY_SUMMARY,xKgBJKhIlx 
[23990] DISPLAY_SUMMARY,xKgBJKhIlx 
[23997] DISPLAY_SUMMARY,xKgBJKhIlx 
[24033] SET_SELL_TRIGGER,xKgBJKhIlx,CCH,172.29 
[24045] SET_BUY_TRIGGER,xKgBJKhIlx,ZJG,145.08 
[24054] CANCEL_BUY,xKgBJKhIlx 
[24079] DISPLAY_SUMMARY,xKgBJKhIlx 
[24098] SELL,xKgBJKhIlx,CUZ,688.51 
[24210] BUY,xKgBJKhIlx,JCQ,420.14 
[24312] COMMIT_BUY,xKgBJKhIlx 
[24509] BUY,xKgBJKhIlx,NXU,687.66 
[24540] COMMIT_BUY,xKgBJKhIlx 
[24555] SET_BUY_TRIGGER,xKgBJKhIlx,GPW,22.66 
[24573] SET_SELL_AMOUNT,xKgBJKhIlx,JQO,183.29 
[24669] SET_SELL_TRIGGER,xKgBJKhIlx,JQO,72.80 
[24773] SET_BUY_AMOUNT,xKgBJKhIlx,NHG,241.92 
[25279] SET_BUY_TRIGGER,xKgBJKhIlx,BZH,181.99 
[25607] QUOTE,xKgBJKhIlx,SWD 
[25762] SET_BUY_TRIGGER,xKgBJKhIlx,GUB,193.69 
[25810] BUY,xKgBJKhIlx,PLB,493.21 
[25849] CANCEL_BUY,xKgBJKhIlx 
[26001] DISPLAY_SUMMARY,xKgBJKhIlx 
[26094] ADD,xKgBJKhIlx,71693.00 
[26125] BUY,xKgBJKhIlx,ADY,548.48 
[26177] CANCEL_SELL,xKgBJKhIlx 
[26270] DISPLAY_SUMMARY,xKgBJKhIlx 
[26293] ADD,xKgBJKhIlx,84559.82 
[26435] QUOTE,xKgBJKhIlx,GAL 
[26477] DISPLAY_SUMMARY,xKgBJKhIlx 
[26712] ADD,xKgBJKhIlx,94722.97 
[26771] QUOTE,xKgBJKhIlx,XOP 
[26820] ADD,xKgBJKhIlx,76298.84 
[26879] QUOTE,xKgBJKhIlx,DXL 
[27160] ADD,xKgBJKhIlx,68711.29 
[27188] QUOTE,xKgBJKhIlx,LTB 
[27238] BUY,xKgBJKhIlx,OOI,409.23 
[27409] COMMIT_BUY,xKgBJKhIlx 
[27802] SET_SELL_TRIGGER,xKgBJKhIlx,WQE,127.42 
[27877] DISPLAY_SUMMARY,xKgBJKhIlx 
[27960] CANCEL_SET_SELL,xKgBJKhIlx,CLQ 
[28252] SELL,xKgBJKhIlx,JVT,43.10 
[28375] COMMIT_SELL,xKgBJKhIlx 
[28400] ADD,xKgBJKhIlx,75433.29 
[28499] QUOTE,xKgBJKhIlx,GDO 
[28554] SET_BUY_AMOUNT,xKgBJKhIlx,NHG,124.04 
[28686] SET_BUY_TRIGGER,xKgBJKhIlx,RQL,59.90 
[28876] CANCEL_SET_SELL,xKgBJKhIlx,CBY 
[29007] SET_BUY_AMOUNT,xKgBJKhIlx,BYA,187.78 
[29040] SET_BUY_TRIGGER,xKgBJKhIlx,PXF,131.99 
[29111] SELL,xKgBJKhIlx,BYA,345.78 
[29118] COMMIT_SELL,xKgBJKhIlx 
[29185] SELL,xKgBJKhIlx,XXQ,356.34 
[29304] SET_BUY_TRIGGER,xKgBJKhIlx,RLS,19.35 
[29316] SELL,xKgBJKhIlx,XXQ,682.29 
[29317] CANCEL_SET_SELL,xKgBJKhIlx,BPP 
[29390] ADD,xKgBJKhIlx,60088.68 
[29420] QUOTE,xKgBJKhIlx,JEO 
[29608] ADD,xKgBJKhIlx,62013.25 
[29846] SELL,xKgBJKhIlx,JCQ,634.74 
[29865] COMMIT_SELL,xKgBJKhIlx 
[29962] DISPLAY_SUMMARY,xKgBJKhIlx 
[30038] ADD,xKgBJKhIlx,73523.74 
[30075] QUOTE,xKgBJKhIlx,URI 
[30145] BUY,xKgBJKhIlx,GHL,111.43 
[30232] CANCEL_SET_BUY,xKgBJKhIlx,ILT 
[30416] SET_SELL_TRIGGER,xKgBJKhIlx,RWM,73.96 
[30627] SET_BUY_TRIGGER,xKgBJKhIlx,RFC,23.49 
[30776] DISPLAY_SUMMARY,xKgBJKhIlx 
[31245] SET_SELL_TRIGGER,xKgBJKhIlx,QQW,82.58 
[31295] QUOTE,xKgBJKhIlx,JII 
[31329] SET_BUY_TRIGGER,xKgBJKhIlx,OEY,197.44 
[31529] SELL,xKgBJKhIlx,OEY,517.74 
[31560] BUY,xKgBJKhIlx,QID,319.55 
[31561] COMMIT_SELL,xKgBJKhIlx 
[31586] SET_BUY_AMOUNT,xKgBJKhIlx,UTV,138.47 
[31880] SET_BUY_TRIGGER,xKgBJKhIlx,DKV,46.88 
[31980] ADD,xKgBJKhIlx,87135.61 
[32306] CANCEL_BUY,xKgBJKhIlx 
[32481] DISPLAY_SUMMARY,xKgBJKhIlx 
[32504] QUOTE,xKgBJKhIlx,MHI 
[32549] COMMIT_BUY,xKgBJKhIlx 
[32567] ADD,xKgBJKhIlx,60008.08 
[32659] QUOTE,xKgBJKhIlx,ELQ 
[32686] BUY,xKgBJKhIlx,BPP,46.35 
[32760] COMMIT_BUY,xKgBJKhIlx 
[32938] SET_SELL_AMOUNT,xKgBJKhIlx,EBS,578.90 
[33039] SET_SELL_TRIGGER,xKgBJKhIlx,EBS,95.89 
[33097] DISPLAY_SUMMARY,xKgBJKhIlx 
[33114] SET_BUY_TRIGGER,xKgBJKhIlx,OEX,145.58 
[33199] DISPLAY_SUMMARY,xKgBJKhIlx 
[33377] QUOTE,xKgBJKhIlx,IOM 
[33756] ADD,xKgBJKhIlx,62602.01 
[33781] DISPLAY_SUMMARY,xKgBJKhIlx 
[34017] SET_SELL_AMOUNT,xKgBJKhIlx,OEY,439.93 
[34078] SET_SELL_TRIGGER,xKgBJKhIlx,OEY,21.00 
[34151] CANCEL_SET_BUY,xKgBJKhIlx,RUN 
[34217] SET_BUY_AMOUNT,xKgBJKhIlx,RUN,178.73 
[34229] SET_BUY_TRIGGER,xKgBJKhIlx,WSG,117.76 
[34242] DISPLAY_SUMMARY,xKgBJKhIlx 
[34358] SET_BUY_AMOUNT,xKgBJKhIlx,DFE,547.54 
[34505] SET_BUY_TRIGGER,xKgBJKhIlx,PDX,270.17 
[34551] SET_SELL_TRIGGER,xKgBJKhIlx,BCQ,159.61 
[34624] CANCEL_SET_SELL,xKgBJKhIlx,RWY 
[34700] SELL,xKgBJKhIlx,QJZ,628.61 
[35117] ADD,xKgBJKhIlx,90663.97 
[35223] BUY,xKgBJKhIlx,BMW,81.98 
[35235] CANCEL_SELL,xKgBJKhIlx 
[35348] CANCEL_SET_SELL,xKgBJKhIlx,BUL 
[35624] DISPLAY_SUMMARY,xKgBJKhIlx 
[35657] BUY,xKgBJKhIlx,ALM,205.63 
[35778] QUOTE,xKgBJKhIlx,ISQ 
[35796] QUOTE,xKgBJKhIlx,FPV 
[35808] QUOTE,xKgBJKhIlx,KXF 
[35855] BUY,xKgBJKhIlx,FGI,232.58 
[36131] SELL,xKgBJKhIlx,RUN,325.47 
[36182] QUOTE,xKgBJKhIlx,QNW 
[36276] BUY,xKgBJKhIlx,TJL,401.39 
[36277] COMMIT_BUY,xKgBJKhIlx 
[36279] ADD,xKgBJKhIlx,87439.08 
[36298] BUY,xKgBJKhIlx,BCQ,418.29 
[36472] CANCEL_BUY,xKgBJKhIlx 
[36566] ADD,xKgBJKhIlx,53761.82 
[36689] SET_BUY_AMOUNT,xKgBJKhIlx,JRJ,425.15 
[36751] QUOTE,xKgBJKhIlx,FQR 
[36844] SET_BUY_TRIGGER,xKgBJKhIlx,GQV,131.11 
[36877] DISPLAY_SUMMARY,xKgBJKhIlx 
[36905] SET_BUY_TRIGGER,xKgBJKhIlx,CLQ,194.27 
[36938] ADD,xKgBJKhIlx,51269.65 
[37027] BUY,xKgBJKhIlx,CBY,441.44 
[37091] CANCEL_BUY,xKgBJKhIlx 
[37193] SET_BUY_TRIGGER,xKgBJKhIlx,SOT,177.27 
[37226] QUOTE,xKgBJKhIlx,RRT 
[37262] BUY,xKgBJKhIlx,STQ,284.88 
[37307] COMMIT_BUY,xKgBJKhIlx 
[37523] DISPLAY_SUMMARY,xKgBJKhIlx 
[37525] QUOTE,xKgBJKhIlx,DVU 
[37571] SET_SELL_TRIGGER,xKgBJKhIlx,VTY,29.30 
[38076] ADD,xKgBJKhIlx,70063.81 
[38159] QUOTE,xKgBJKhIlx,PUU 
[38194] SET_SELL_AMOUNT,xKgBJKhIlx,NHG,653.90 
[38265] SET_SELL_TRIGGER,xKgBJKhIlx,NHG,495.23 
[38390] ADD,xKgBJKhIlx,51921.27 
[38405] BUY,xKgBJKhIlx,SSF,392.02 
[38453] COMMIT_BUY,xKgBJKhIlx 
[38564] SELL,xKgBJKhIlx,KDA,694.87 
[38829] CANCEL_SELL,xKgBJKhIlx 
[38865] SET_SELL_TRIGGER,xKgBJKhIlx,WKL,8.11 
[38949] DISPLAY_SUMMARY,xKgBJKhIlx 
[39013] SET_SELL_TRIGGER,xKgBJKhIlx,WNH,126.76 
[39307] SET_SELL_AMOUNT,xKgBJKhIlx,EBS,152.38 
[39461] SET_SELL_TRIGGER,xKgBJKhIlx,EBS,147.68 
[39555] DISPLAY_SUMMARY,xKgBJKhIlx 
[39674] BUY,xKgBJKhIlx,JHY,231.43 
[39718] DISPLAY_SUMMARY,xKgBJKhIlx 
[39807] SET_BUY_TRIGGER,xKgBJKhIlx,XII,169.40 
[39921] SELL,xKgBJKhIlx,EBS,217.88 
[39981] COMMIT_SELL,xKgBJKhIlx 
[40028] ADD,xKgBJKhIlx,85898.44 
[40096] SET_BUY_AMOUNT,xKgBJKhIlx,RUN,445.12 
[40237] SELL,xKgBJKhIlx,ZAN,255.57 
[40313] DISPLAY_SUMMARY,xKgBJKhIlx 
[40319] ADD,xKgBJKhIlx,40109.39 
[40326] BUY,xKgBJKhIlx,CDF,29.86 
[40351] COMMIT_BUY,xKgBJKhIlx 
[40469] ADD,xKgBJKhIlx,66122.17 
[40492] QUOTE,xKgBJKhIlx,LSG 
[40530] QUOTE,xKgBJKhIlx,HZP 
[40637] ADD,xKgBJKhIlx,77009.63 
[40659] QUOTE,xKgBJKhIlx,RWY 
[40668] ADD,xKgBJKhIlx,81422.12 
[40691] QUOTE,xKgBJKhIlx,GZU 
[40817] BUY,xKgBJKhIlx,MIQ,269.95 
[41008] CANCEL_BUY,xKgBJKhIlx 
[41048] SET_SELL_AMOUNT,xKgBJKhIlx,ZAN,559.81 
[41100] SET_SELL_TRIGGER,xKgBJKhIlx,ZAN,137.16 
[41181] SELL,xKgBJKhIlx,JRJ,225.76 
[41234] BUY,xKgBJKhIlx,IWL,412.62 
[41444] COMMIT_BUY,xKgBJKhIlx 
[41445] DISPLAY_SUMMARY,xKgBJKhIlx 
[41582] DISPLAY_SUMMARY,xKgBJKhIlx 
[41655] ADD,xKgBJKhIlx,77729.41 
[41864] QUOTE,xKgBJKhIlx,JYV 
[41905] QUOTE,xKgBJKhIlx,VJV 
[42209] SET_BUY_TRIGGER,xKgBJKhIlx,MOM,223.54 
[42424] DISPLAY_SUMMARY,xKgBJKhIlx 
[42630] ADD,xKgBJKhIlx,53887.32 
[42761] COMMIT_BUY,xKgBJKhIlx 
[42866] ADD,xKgBJKhIlx,57566.16 
[42967] QUOTE,xKgBJKhIlx,ZCO 
[43011] QUOTE,xKgBJKhIlx,JEO 
[43093] SET_SELL_TRIGGER,xKgBJKhIlx,XLK,83.39 
[43174] ADD,xKgBJKhIlx,75554.58 
[43314] COMMIT_BUY,xKgBJKhIlx 
[43346] SELL,xKgBJKhIlx,KES,325.37 
[43735] QUOTE,xKgBJKhIlx,MGK 
[43932] CANCEL_SELL,xKgBJKhIlx 
[43957] SELL,xKgBJKhIlx,UTV,520.09 
[44193] CANCEL_SELL,xKgBJKhIlx 
[44361] SELL,xKgBJKhIlx,LFU,387.41 
[44439] COMMIT_SELL,xKgBJKhIlx 
[44547] ADD,xKgBJKhIlx,91518.44 
[44580] QUOTE,xKgBJKhIlx,ZEG 
[44588] SET_BUY_AMOUNT,xKgBJKhIlx,JVT,234.34 
[44628] CANCEL_SET_BUY,xKgBJKhIlx,SWD 
[44674] DISPLAY_SUMMARY,xKgBJKhIlx 
[44676] SET_BUY_TRIGGER,xKgBJKhIlx,NVX,89.08 
[44714] SET_BUY_AMOUNT,xKgBJKhIlx,KDA,73.83 
[45072] SET_BUY_TRIGGER,xKgBJKhIlx,ULL,61.21 
[45074] CANCEL_SET_SELL,xKgBJKhIlx,GMF 
[45101] QUOTE,xKgBJKhIlx,JMG 
[45140] DISPLAY_SUMMARY,xKgBJKhIlx 
[45274] QUOTE,xKgBJKhIlx,FQR 
[45412] ADD,xKgBJKhIlx,114947.66 
[45427] DISPLAY_SUMMARY,xKgBJKhIlx 
[45541] QUOTE,xKgBJKhIlx,SPP 
[45602] BUY,xKgBJKhIlx,KPU,542.63 
[45731] CANCEL_SET_SELL,xKgBJKhIlx,TVP 
[45732] ADD,xKgBJKhIlx,48292.59 
[45890] BUY,xKgBJKhIlx,OZT,282.57 
[46044] COMMIT_BUY,xKgBJKhIlx 
[46272] ADD,xKgBJKhIlx,108528.67 
[46319] QUOTE,xKgBJKhIlx,QPE 
[46338] SET_BUY_AMOUNT,xKgBJKhIlx,UTV,454.42 
[46416] SET_BUY_TRIGGER,xKgBJKhIlx,ILT,53.18 
[46433] ADD,xKgBJKhIlx,52452.94 
[46588] QUOTE,xKgBJKhIlx,KPP 
[46738] QUOTE,xKgBJKhIlx,HHC 
[46844] CANCEL_SET_SELL,xKgBJKhIlx,WPG 
[46992] DISPLAY_SUMMARY,xKgBJKhIlx 
[47101] DISPLAY_SUMMARY,xKgBJKhIlx 
[47203] SET_SELL_TRIGGER,xKgBJKhIlx,OTD,123.82 
[47371] SELL,xKgBJKhIlx,QAX,581.47 
[47389] COMMIT_SELL,xKgBJKhIlx 
[47466] DISPLAY_SUMMARY,xKgBJKhIlx 
[47549] ADD,xKgBJKhIlx,50822.37 
[47627] SET_BUY_AMOUNT,xKgBJKhIlx,JCQ,619.60 
[47666] SET_BUY_TRIGGER,xKgBJKhIlx,YTY,191.96 
[47753] ADD,xKgBJKhIlx,75616.56 
[47791] SELL,xKgBJKhIlx,ZAN,691.45 
[47876] COMMIT_SELL,xKgBJKhIlx 
[48125] DISPLAY_SUMMARY,xKgBJKhIlx 
[48164] BUY,xKgBJKhIlx,FNY,176.05 
[48173] BUY,xKgBJKhIlx,KCT,47.31 
[48399] CANCEL_BUY,xKgBJKhIlx 
[48562] ADD,xKgBJKhIlx,70048.95 
[48658] QUOTE,xKgBJKhIlx,GRM 
[49184] SET_BUY_AMOUNT,xKgBJKhIlx,YJK,548.80 
