[25] ADD,9Z89FNPK7B,50356.08 
[5943] CANCEL_BUY,9Z89FNPK7B 
[6121] DISPLAY_SUMMARY,9Z89FNPK7B 
[6168] SET_BUY_TRIGGER,9Z89FNPK7B,SDW,79.98 
[6335] ADD,9Z89FNPK7B,79685.03 
[6463] CANCEL_SELL,9Z89FNPK7B 
[6477] DISPLAY_SUMMARY,9Z89FNPK7B 
[6529] SET_BUY_TRIGGER,9Z89FNPK7B,GXT,144.81 
[6547] BUY,9Z89FNPK7B,QGL,349.76 
[6570] COMMIT_BUY,9Z89FNPK7B 
[6589] SET_SELL_TRIGGER,9Z89FNPK7B,FKI,32.02 
[6600] QUOTE,9Z89FNPK7B,ZQW 
[6835] SET_SELL_AMOUNT,9Z89FNPK7B,QJZ,226.93 
[6995] SET_SELL_TRIGGER,9Z89FNPK7B,QJZ,9.32 
[6997] SET_SELL_TRIGGER,9Z89FNPK7B,JSM,186.47 
[7060] ADD,9Z89FNPK7B,85256.21 
[7153] BUY,9Z89FNPK7B,SON,556.14 
[7277] COMMIT_BUY,9Z89FNPK7B 
[7432] DISPLAY_SUMMARY,9Z89FNPK7B 
[7680] BUY,9Z89FNPK7B,LPR,708.63 
[7758] COMMIT_BUY,9Z89FNPK7B 
[7805] SET_BUY_AMOUNT,9Z89FNPK7B,QJZ,668.48 
[7812] SET_BUY_TRIGGER,9Z89FNPK7B,VMD,82.73 
[7843] SELL,9Z89FNPK7B,FQP,184.09 
[7953] CANCEL_BUY,9Z89FNPK7B 
[7972] ADD,9Z89FNPK7B,62359.00 
[8034] SET_SELL_AMOUNT,9Z89FNPK7B,JVT,220.41 
[8044] SET_SELL_TRIGGER,9Z89FNPK7B,JVT,135.25 
[8326] DISPLAY_SUMMARY,9Z89FNPK7B 
[8427] SET_SELL_AMOUNT,9Z89FNPK7B,JVT,166.52 
[8644] SELL,9Z89FNPK7B,KDA,507.54 
[8653] CANCEL_SET_BUY,9Z89FNPK7B,URA 
[8673] ADD,9Z89FNPK7B,79423.30 
[8700] BUY,9Z89FNPK7B,LJZ,504.77 
[8702] COMMIT_BUY,9Z89FNPK7B 
[8736] SELL,9Z89FNPK7B,JCQ,152.67 
[8799] COMMIT_SELL,9Z89FNPK7B 
[8834] SET_BUY_TRIGGER,9Z89FNPK7B,ZMS,125.61 
[9004] SET_SELL_AMOUNT,9Z89FNPK7B,JCQ,241.88 
[9035] SET_SELL_TRIGGER,9Z89FNPK7B,JCQ,96.90 
[9046] BUY,9Z89FNPK7B,OZO,70.07 
[9240] SET_BUY_AMOUNT,9Z89FNPK7B,JCQ,335.60 
[9256] SET_BUY_TRIGGER,9Z89FNPK7B,KES,308.90 
[9386] ADD,9Z89FNPK7B,75418.36 
[9445] BUY,9Z89FNPK7B,ZYR,73.21 
[9504] CANCEL_BUY,9Z89FNPK7B 
[9807] DISPLAY_SUMMARY,9Z89FNPK7B 
[9819] SET_SELL_TRIGGER,9Z89FNPK7B,KDG,39.80 
[9867] SET_SELL_TRIGGER,9Z89FNPK7B,ISQ,112.95 
[9880] ADD,9Z89FNPK7B,57104.53 
[10096] COMMIT_SELL,9Z89FNPK7B 
[10159] DISPLAY_SUMMARY,9Z89FNPK7B 
[10167] SET_BUY_TRIGGER,9Z89FNPK7B,YIQ,0.50 
[10416] QUOTE,9Z89FNPK7B,ZAV 
[10629] SET_BUY_TRIGGER,9Z89FNPK7B,TVX,8.96 
[11002] SET_SELL_AMOUNT,9Z89FNPK7B,JVT,415.85 
[11203] SET_SELL_TRIGGER,9Z89FNPK7B,JVT,373.21 
[11310] SET_BUY_TRIGGER,9Z89FNPK7B,PCK,177.47 
[11343] SELL,9Z89FNPK7B,KDA,450.52 
[11358] COMMIT_SELL,9Z89FNPK7B 
[11566] SELL,9Z89FNPK7B,JCQ,584.21 
[11628] CANCEL_SET_SELL,9Z89FNPK7B,PFN 
[11633] DISPLAY_SUMMARY,9Z89FNPK7B 
[11812] ADD,9Z89FNPK7B,90488.29 
[11853] BUY,9Z89FNPK7B,NKC,152.54 
[11914] CANCEL_BUY,9Z89FNPK7B 
[11926] ADD,9Z89FNPK7B,52218.22 
[12049] BUY,9Z89FNPK7B,GRM,384.21 
[12214] CANCEL_SET_BUY,9Z89FNPK7B,CBV 
[12232] SET_BUY_AMOUNT,9Z89FNPK7B,JCQ,117.28 
[12254] SELL,9Z89FNPK7B,FQP,274.91 
[12269] QUOTE,9Z89FNPK7B,GYF 
[12467] ADD,9Z89FNPK7B,38025.24 
[12541] QUOTE,9Z89FNPK7B,MIU 
[12802] SELL,9Z89FNPK7B,GYF,506.40 
[12847] SET_BUY_TRIGGER,9Z89FNPK7B,LCP,75.05 
[12935] DISPLAY_SUMMARY,9Z89FNPK7B 
[12939] DISPLAY_SUMMARY,9Z89FNPK7B 
[13172] DISPLAY_SUMMARY,9Z89FNPK7B 
[13218] QUOTE,9Z89FNPK7B,SMS 
[13281] QUOTE,9Z89FNPK7B,NGG 
[13486] QUOTE,9Z89FNPK7B,MHQ 
[13641] ADD,9Z89FNPK7B,49664.93 
[13739] BUY,9Z89FNPK7B,AAC,603.73 
[13752] COMMIT_BUY,9Z89FNPK7B 
[13851] SET_SELL_AMOUNT,9Z89FNPK7B,JCQ,108.71 
[13957] SET_SELL_TRIGGER,9Z89FNPK7B,JCQ,36.56 
[14046] BUY,9Z89FNPK7B,ZEG,360.30 
[14074] COMMIT_BUY,9Z89FNPK7B 
[14112] QUOTE,9Z89FNPK7B,BPP 
[14240] SET_BUY_AMOUNT,9Z89FNPK7B,JCQ,378.04 
[14354] SET_BUY_TRIGGER,9Z89FNPK7B,CLP,64.88 
[14385] COMMIT_SELL,9Z89FNPK7B 
[14430] DISPLAY_SUMMARY,9Z89FNPK7B 
[14443] SELL,9Z89FNPK7B,EBS,414.27 
[14460] COMMIT_SELL,9Z89FNPK7B 
[14536] ADD,9Z89FNPK7B,85652.99 
[14580] BUY,9Z89FNPK7B,NJI,188.64 
[14751] ADD,9Z89FNPK7B,62449.32 
[14809] QUOTE,9Z89FNPK7B,WAI 
[14913] SELL,9Z89FNPK7B,KES,411.15 
[14989] CANCEL_SET_BUY,9Z89FNPK7B,MER 
[15232] SELL,9Z89FNPK7B,KES,140.89 
[15242] COMMIT_SELL,9Z89FNPK7B 
[15268] DISPLAY_SUMMARY,9Z89FNPK7B 
[15369] ADD,9Z89FNPK7B,69245.59 
[15507] QUOTE,9Z89FNPK7B,WBX 
[15592] SET_BUY_AMOUNT,9Z89FNPK7B,FQP,22.02 
[15627] SET_BUY_TRIGGER,9Z89FNPK7B,BFB,17.18 
[15675] DISPLAY_SUMMARY,9Z89FNPK7B 
[15681] QUOTE,9Z89FNPK7B,APU 
[15688] CANCEL_SET_SELL,9Z89FNPK7B,RLS 
[15864] DISPLAY_SUMMARY,9Z89FNPK7B 
[15908] DISPLAY_SUMMARY,9Z89FNPK7B 
[15923] DISPLAY_SUMMARY,9Z89FNPK7B 
[15990] SET_BUY_AMOUNT,9Z89FNPK7B,KES,2.74 
[16091] SET_BUY_TRIGGER,9Z89FNPK7B,LPW,1.84 
[16239] SET_BUY_TRIGGER,9Z89FNPK7B,GHL,152.62 
[16343] ADD,9Z89FNPK7B,102643.57 
[16461] BUY,9Z89FNPK7B,XXP,235.38 
[16679] CANCEL_SET_SELL,9Z89FNPK7B,MIQ 
[16725] DISPLAY_SUMMARY,9Z89FNPK7B 
[16775] SET_BUY_AMOUNT,9Z89FNPK7B,EBS,12.91 
[17069] SET_BUY_TRIGGER,9Z89FNPK7B,PZE,5.23 
[17272] DISPLAY_SUMMARY,9Z89FNPK7B 
[17294] CANCEL_SET_SELL,9Z89FNPK7B,AHE 
[17379] BUY,9Z89FNPK7B,FIY,568.90 
[17679] SELL,9Z89FNPK7B,JVT,263.87 
[17758] SET_BUY_TRIGGER,9Z89FNPK7B,KEO,173.40 
[17844] DISPLAY_SUMMARY,9Z89FNPK7B 
[17922] SET_BUY_TRIGGER,9Z89FNPK7B,DMW,124.59 
[17927] ADD,9Z89FNPK7B,76985.31 
[18117] COMMIT_BUY,9Z89FNPK7B 
[18196] DISPLAY_SUMMARY,9Z89FNPK7B 
[18208] SET_SELL_AMOUNT,9Z89FNPK7B,QAX,436.28 
[18236] SELL,9Z89FNPK7B,KES,284.74 
[18246] ADD,9Z89FNPK7B,68467.88 
[18386] BUY,9Z89FNPK7B,WOJ,212.67 
[18501] COMMIT_BUY,9Z89FNPK7B 
[18503] SET_BUY_AMOUNT,9Z89FNPK7B,KES,646.18 
[19020] SET_BUY_TRIGGER,9Z89FNPK7B,EBS,66.58 
[19048] DISPLAY_SUMMARY,9Z89FNPK7B 
[19091] ADD,9Z89FNPK7B,73582.14 
[19302] QUOTE,9Z89FNPK7B,PJJ 
[19354] SELL,9Z89FNPK7B,OEY,11.00 
[19379] COMMIT_SELL,9Z89FNPK7B 
[19542] ADD,9Z89FNPK7B,48970.94 
[19588] QUOTE,9Z89FNPK7B,NIR 
[19626] SET_BUY_AMOUNT,9Z89FNPK7B,QAX,241.51 
[19788] SET_BUY_TRIGGER,9Z89FNPK7B,SPL,45.47 
[19790] ADD,9Z89FNPK7B,72539.29 
[19861] BUY,9Z89FNPK7B,FSD,707.44 
[20056] COMMIT_BUY,9Z89FNPK7B 
[20280] ADD,9Z89FNPK7B,80539.62 
[20303] CANCEL_SET_SELL,9Z89FNPK7B,QAX 
[20402] SELL,9Z89FNPK7B,QAX,289.78 
[20535] COMMIT_SELL,9Z89FNPK7B 
[20664] SET_BUY_AMOUNT,9Z89FNPK7B,JVT,701.87 
[20713] SET_BUY_TRIGGER,9Z89FNPK7B,ZAV,341.68 
[20788] BUY,9Z89FNPK7B,EIH,10.81 
[20848] COMMIT_BUY,9Z89FNPK7B 
[20887] CANCEL_SET_SELL,9Z89FNPK7B,RRZ 
[21102] SET_SELL_AMOUNT,9Z89FNPK7B,NHG,213.52 
[21255] SET_SELL_TRIGGER,9Z89FNPK7B,NHG,34.66 
[21270] BUY,9Z89FNPK7B,PZE,698.85 
[21370] SET_BUY_AMOUNT,9Z89FNPK7B,KES,23.09 
[21374] DISPLAY_SUMMARY,9Z89FNPK7B 
[21455] SET_BUY_TRIGGER,9Z89FNPK7B,FOV,18.07 
[21474] SET_BUY_AMOUNT,9Z89FNPK7B,JVT,706.57 
[21521] SELL,9Z89FNPK7B,JVT,649.35 
[21735] SET_SELL_TRIGGER,9Z89FNPK7B,NTT,73.57 
[21825] DISPLAY_SUMMARY,9Z89FNPK7B 
[21992] DISPLAY_SUMMARY,9Z89FNPK7B 
[22019] SELL,9Z89FNPK7B,JRJ,282.78 
[22084] CANCEL_SELL,9Z89FNPK7B 
[22097] CANCEL_SET_SELL,9Z89FNPK7B,QNW 
[22139] SELL,9Z89FNPK7B,JQO,664.34 
[22170] COMMIT_SELL,9Z89FNPK7B 
[22190] COMMIT_SELL,9Z89FNPK7B 
[22205] DISPLAY_SUMMARY,9Z89FNPK7B 
[22221] DISPLAY_SUMMARY,9Z89FNPK7B 
[22241] SET_SELL_AMOUNT,9Z89FNPK7B,JVT,287.44 
[22257] SET_SELL_TRIGGER,9Z89FNPK7B,JVT,171.11 
[22316] QUOTE,9Z89FNPK7B,OQZ 
[22399] SET_BUY_AMOUNT,9Z89FNPK7B,UTV,419.33 
[22403] SET_BUY_TRIGGER,9Z89FNPK7B,ZGC,266.33 
[22465] ADD,9Z89FNPK7B,73192.33 
[22645] COMMIT_BUY,9Z89FNPK7B 
[22706] SET_BUY_TRIGGER,9Z89FNPK7B,PZE,22.48 
[22854] BUY,9Z89FNPK7B,SAN,519.93 
[22893] COMMIT_BUY,9Z89FNPK7B 
[22962] SET_BUY_AMOUNT,9Z89FNPK7B,OEY,423.59 
[23026] SET_BUY_TRIGGER,9Z89FNPK7B,GRM,150.46 
[23046] QUOTE,9Z89FNPK7B,TCP 
[23057] BUY,9Z89FNPK7B,RUN,661.08 
[23249] COMMIT_BUY,9Z89FNPK7B 
[23314] ADD,9Z89FNPK7B,95711.99 
[23399] QUOTE,9Z89FNPK7B,OYW 
[23618] SET_BUY_TRIGGER,9Z89FNPK7B,SAR,124.26 
[23706] COMMIT_SELL,9Z89FNPK7B 
[23802] ADD,9Z89FNPK7B,62656.00 
[23870] CANCEL_SET_SELL,9Z89FNPK7B,CTT 
[23928] CANCEL_SELL,9Z89FNPK7B 
[24002] QUOTE,9Z89FNPK7B,RVU 
[24129] ADD,9Z89FNPK7B,78615.35 
[24288] CANCEL_SELL,9Z89FNPK7B 
[24354] SET_SELL_AMOUNT,9Z89FNPK7B,CUZ,144.15 
[24521] SELL,9Z89FNPK7B,NHG,232.58 
[24567] SET_BUY_AMOUNT,9Z89FNPK7B,JVT,112.12 
[24626] SET_BUY_TRIGGER,9Z89FNPK7B,VVW,2.95 
[24663] ADD,9Z89FNPK7B,97668.60 
[24914] QUOTE,9Z89FNPK7B,VVW 
[25023] ADD,9Z89FNPK7B,75605.70 
[25065] BUY,9Z89FNPK7B,WHR,433.05 
[25288] BUY,9Z89FNPK7B,QOQ,568.21 
[25376] CANCEL_SELL,9Z89FNPK7B 
[25397] SET_BUY_AMOUNT,9Z89FNPK7B,LFU,154.63 
[25403] SET_BUY_TRIGGER,9Z89FNPK7B,IFN,51.26 
[25457] SET_BUY_AMOUNT,9Z89FNPK7B,KES,27.90 
[25629] DISPLAY_SUMMARY,9Z89FNPK7B 
[25788] SET_SELL_TRIGGER,9Z89FNPK7B,CUZ,83.71 
[25884] QUOTE,9Z89FNPK7B,BHH 
[25892] ADD,9Z89FNPK7B,61803.59 
[25923] SET_SELL_AMOUNT,9Z89FNPK7B,CUZ,481.87 
[25931] SET_SELL_TRIGGER,9Z89FNPK7B,CUZ,227.30 
[25936] SET_BUY_TRIGGER,9Z89FNPK7B,KDG,17.11 
[26088] ADD,9Z89FNPK7B,90908.13 
[26297] BUY,9Z89FNPK7B,BSG,106.05 
[26342] QUOTE,9Z89FNPK7B,GZU 
[26388] ADD,9Z89FNPK7B,65308.04 
[26409] QUOTE,9Z89FNPK7B,ZQS 
[26739] DISPLAY_SUMMARY,9Z89FNPK7B 
[26816] QUOTE,9Z89FNPK7B,IQZ 
[26975] SELL,9Z89FNPK7B,KES,49.14 
[27007] COMMIT_SELL,9Z89FNPK7B 
[27017] SET_SELL_AMOUNT,9Z89FNPK7B,JVT,557.44 
[27093] SELL,9Z89FNPK7B,FQP,173.35 
[27142] CANCEL_SELL,9Z89FNPK7B 
[27231] QUOTE,9Z89FNPK7B,XTH 
[27283] BUY,9Z89FNPK7B,RRZ,712.18 
[27424] CANCEL_SET_SELL,9Z89FNPK7B,JVT 
[27460] SET_SELL_AMOUNT,9Z89FNPK7B,QJZ,323.27 
[27479] SET_SELL_TRIGGER,9Z89FNPK7B,QJZ,4.32 
[27588] ADD,9Z89FNPK7B,87137.72 
[27661] BUY,9Z89FNPK7B,JUG,543.03 
[27812] COMMIT_BUY,9Z89FNPK7B 
[27931] SET_SELL_TRIGGER,9Z89FNPK7B,KKI,119.85 
[28103] BUY,9Z89FNPK7B,NTT,270.47 
[28176] BUY,9Z89FNPK7B,UTV,454.79 
[28181] COMMIT_BUY,9Z89FNPK7B 
[28296] ADD,9Z89FNPK7B,42929.68 
[28320] BUY,9Z89FNPK7B,YZH,153.68 
[28689] CANCEL_SET_BUY,9Z89FNPK7B,KPU 
[28838] SET_SELL_AMOUNT,9Z89FNPK7B,LFU,629.38 
[28898] SET_SELL_TRIGGER,9Z89FNPK7B,LFU,87.42 
[28933] SET_BUY_TRIGGER,9Z89FNPK7B,RRZ,179.65 
[29264] ADD,9Z89FNPK7B,66494.29 
[29306] BUY,9Z89FNPK7B,EIK,124.71 
[29464] ADD,9Z89FNPK7B,50773.22 
[29476] QUOTE,9Z89FNPK7B,VVW 
[29579] QUOTE,9Z89FNPK7B,MLI 
[29610] QUOTE,9Z89FNPK7B,PVZ 
[29615] SET_SELL_AMOUNT,9Z89FNPK7B,BYA,21.07 
[29707] SET_SELL_TRIGGER,9Z89FNPK7B,BYA,8.86 
[29755] ADD,9Z89FNPK7B,77627.62 
[29833] QUOTE,9Z89FNPK7B,JEO 
[30036] SET_SELL_AMOUNT,9Z89FNPK7B,JQO,193.62 
[30275] SET_SELL_TRIGGER,9Z89FNPK7B,JQO,4.87 
[30871] ADD,9Z89FNPK7B,67489.54 
[30890] BUY,9Z89FNPK7B,SQO,355.46 
[31170] COMMIT_BUY,9Z89FNPK7B 
[31196] DISPLAY_SUMMARY,9Z89FNPK7B 
[31236] ADD,9Z89FNPK7B,56774.71 
[31406] QUOTE,9Z89FNPK7B,OEM 
[31567] BUY,9Z89FNPK7B,DDA,537.13 
[31596] COMMIT_BUY,9Z89FNPK7B 
[31667] DISPLAY_SUMMARY,9Z89FNPK7B 
[31670] SELL,9Z89FNPK7B,QAX,343.88 
[31754] CANCEL_SET_BUY,9Z89FNPK7B,KCA 
[32110] SET_BUY_TRIGGER,9Z89FNPK7B,TKM,95.10 
[32321] BUY,9Z89FNPK7B,DFE,333.39 
[32754] COMMIT_SELL,9Z89FNPK7B 
[32888] SET_BUY_TRIGGER,9Z89FNPK7B,YVS,34.94 
[32902] SELL,9Z89FNPK7B,KDA,500.34 
[32957] COMMIT_SELL,9Z89FNPK7B 
[33076] QUOTE,9Z89FNPK7B,PVH 
[33126] QUOTE,9Z89FNPK7B,DLQ 
[33322] ADD,9Z89FNPK7B,54259.28 
[33354] QUOTE,9Z89FNPK7B,YIQ 
[33506] SET_BUY_TRIGGER,9Z89FNPK7B,MGO,189.22 
[33634] SET_SELL_TRIGGER,9Z89FNPK7B,JKX,49.75 
[33764] DISPLAY_SUMMARY,9Z89FNPK7B 
[33866] SELL,9Z89FNPK7B,DFE,16.58 
[33953] CANCEL_SET_SELL,9Z89FNPK7B,DJD 
[34278] SELL,9Z89FNPK7B,OEY,146.90 
[34341] COMMIT_SELL,9Z89FNPK7B 
[34369] SELL,9Z89FNPK7B,JQO,47.91 
[34476] DISPLAY_SUMMARY,9Z89FNPK7B 
[34550] ADD,9Z89FNPK7B,61849.92 
[34725] QUOTE,9Z89FNPK7B,TSF 
[34753] QUOTE,9Z89FNPK7B,PCR 
[34758] QUOTE,9Z89FNPK7B,AHE 
[34846] CANCEL_BUY,9Z89FNPK7B 
[34877] ADD,9Z89FNPK7B,102878.11 
[35083] QUOTE,9Z89FNPK7B,DMW 
[35292] BUY,9Z89FNPK7B,AOU,206.10 
[35369] COMMIT_BUY,9Z89FNPK7B 
[35434] BUY,9Z89FNPK7B,AJR,366.83 
[35502] QUOTE,9Z89FNPK7B,PIC 
[35670] QUOTE,9Z89FNPK7B,JQO 
[35675] BUY,9Z89FNPK7B,OSC,303.70 
[35803] CANCEL_SELL,9Z89FNPK7B 
[35860] ADD,9Z89FNPK7B,78782.71 
[35917] CANCEL_SET_SELL,9Z89FNPK7B,DWU 
[35929] DISPLAY_SUMMARY,9Z89FNPK7B 
[36061] ADD,9Z89FNPK7B,57315.45 
[36077] QUOTE,9Z89FNPK7B,EED 
[36319] ADD,9Z89FNPK7B,84360.60 
[36534] QUOTE,9Z89FNPK7B,OGB 
[36674] SET_BUY_AMOUNT,9Z89FNPK7B,JCQ,191.20 
[36897] SET_BUY_TRIGGER,9Z89FNPK7B,NIR,37.91 
[36910] BUY,9Z89FNPK7B,DBC,35.79 
[36958] CANCEL_SET_BUY,9Z89FNPK7B,JUN 
[36963] ADD,9Z89FNPK7B,59219.37 
[37034] BUY,9Z89FNPK7B,TZJ,564.19 
[37099] COMMIT_BUY,9Z89FNPK7B 
[37315] ADD,9Z89FNPK7B,65356.60 
[37320] BUY,9Z89FNPK7B,KVK,111.29 
[37348] BUY,9Z89FNPK7B,NLT,102.62 
[37372] QUOTE,9Z89FNPK7B,CBK 
[37483] BUY,9Z89FNPK7B,LSK,195.14 
[37551] COMMIT_BUY,9Z89FNPK7B 
[37915] BUY,9Z89FNPK7B,PIE,665.18 
[38375] COMMIT_BUY,9Z89FNPK7B 
[38422] DISPLAY_SUMMARY,9Z89FNPK7B 
[38751] SELL,9Z89FNPK7B,JCQ,60.91 
[39057] COMMIT_SELL,9Z89FNPK7B 
[39084] SELL,9Z89FNPK7B,KDA,329.43 
[39087] CANCEL_SELL,9Z89FNPK7B 
[39260] ADD,9Z89FNPK7B,87884.03 
[39303] BUY,9Z89FNPK7B,MKE,217.64 
[39355] QUOTE,9Z89FNPK7B,EUC 
[39370] BUY,9Z89FNPK7B,YWK,136.45 
[39398] COMMIT_BUY,9Z89FNPK7B 
[39407] BUY,9Z89FNPK7B,OBO,11.74 
[39666] CANCEL_BUY,9Z89FNPK7B 
[39818] SELL,9Z89FNPK7B,OEY,739.80 
[39847] CANCEL_SELL,9Z89FNPK7B 
[39959] CANCEL_SET_SELL,9Z89FNPK7B,PJW 
[39984] SET_BUY_AMOUNT,9Z89FNPK7B,FQP,322.58 
[40006] SET_BUY_TRIGGER,9Z89FNPK7B,SPT,305.67 
[40088] SET_SELL_TRIGGER,9Z89FNPK7B,LLE,96.81 
[40207] QUOTE,9Z89FNPK7B,BDX 
[40395] BUY,9Z89FNPK7B,PUN,489.93 
[40446] COMMIT_BUY,9Z89FNPK7B 
[40556] CANCEL_SET_SELL,9Z89FNPK7B,DNJ 
[40805] QUOTE,9Z89FNPK7B,FRB 
[40929] SELL,9Z89FNPK7B,FQP,232.12 
[40940] COMMIT_SELL,9Z89FNPK7B 
[40962] SET_BUY_AMOUNT,9Z89FNPK7B,JVT,364.43 
[41409] CANCEL_SET_BUY,9Z89FNPK7B,ZOW 
[41558] ADD,9Z89FNPK7B,54069.96 
[41739] BUY,9Z89FNPK7B,AHO,209.42 
[41817] CANCEL_BUY,9Z89FNPK7B 
[41880] ADD,9Z89FNPK7B,82579.72 
[42081] QUOTE,9Z89FNPK7B,BVN 
[42179] BUY,9Z89FNPK7B,MFX,54.77 
[42223] SET_SELL_AMOUNT,9Z89FNPK7B,RNK,307.11 
[42421] SET_SELL_TRIGGER,9Z89FNPK7B,RNK,84.02 
[42481] SET_SELL_TRIGGER,9Z89FNPK7B,DBC,32.39 
[42507] ADD,9Z89FNPK7B,57683.55 
[42756] CANCEL_SELL,9Z89FNPK7B 
[42759] SET_SELL_AMOUNT,9Z89FNPK7B,NHG,9.91 
[42803] SELL,9Z89FNPK7B,GYF,328.48 
[42930] CANCEL_SET_BUY,9Z89FNPK7B,DDA 
[43130] ADD,9Z89FNPK7B,56574.53 
[43218] QUOTE,9Z89FNPK7B,MFY 
[43382] BUY,9Z89FNPK7B,WBX,495.15 
[43485] COMMIT_BUY,9Z89FNPK7B 
[43579] ADD,9Z89FNPK7B,64298.92 
[43589] BUY,9Z89FNPK7B,RLS,672.20 
[43634] CANCEL_SET_BUY,9Z89FNPK7B,ERF 
[43704] QUOTE,9Z89FNPK7B,JGO 
[43716] QUOTE,9Z89FNPK7B,NJB 
[43841] QUOTE,9Z89FNPK7B,CDF 
[43914] SET_BUY_AMOUNT,9Z89FNPK7B,ZYR,606.69 
[44017] SET_BUY_TRIGGER,9Z89FNPK7B,LKV,389.35 
[44049] SET_SELL_AMOUNT,9Z89FNPK7B,GYF,328.09 
[44182] SET_SELL_TRIGGER,9Z89FNPK7B,GYF,117.56 
[44187] DISPLAY_SUMMARY,9Z89FNPK7B 
[44427] CANCEL_SET_SELL,9Z89FNPK7B,MVQ 
[44502] ADD,9Z89FNPK7B,80817.12 
[44686] BUY,9Z89FNPK7B,ZTR,389.35 
[44734] QUOTE,9Z89FNPK7B,EOY 
[44908] QUOTE,9Z89FNPK7B,OEX 
[45004] ADD,9Z89FNPK7B,60775.26 
[45144] QUOTE,9Z89FNPK7B,QZN 
[45149] SET_SELL_AMOUNT,9Z89FNPK7B,RNK,447.56 
[45291] QUOTE,9Z89FNPK7B,QTH 
[45490] SET_BUY_AMOUNT,9Z89FNPK7B,JRJ,566.06 
[45632] SET_BUY_TRIGGER,9Z89FNPK7B,OYS,533.12 
[45714] CANCEL_SET_BUY,9Z89FNPK7B,EED 
[45751] SELL,9Z89FNPK7B,LFU,472.80 
[45847] COMMIT_BUY,9Z89FNPK7B 
[45854] SET_BUY_TRIGGER,9Z89FNPK7B,PJW,38.95 
[45871] DISPLAY_SUMMARY,9Z89FNPK7B 
[45999] CANCEL_SET_BUY,9Z89FNPK7B,XDN 
[46074] SET_SELL_TRIGGER,9Z89FNPK7B,RNK,192.00 
[46210] SELL,9Z89FNPK7B,JRJ,540.11 
[46289] CANCEL_SELL,9Z89FNPK7B 
[46363] DISPLAY_SUMMARY,9Z89FNPK7B 
[46705] SELL,9Z89FNPK7B,QJZ,399.06 
[46779] COMMIT_SELL,9Z89FNPK7B 
[47056] QUOTE,9Z89FNPK7B,UGT 
[47178] QUOTE,9Z89FNPK7B,VNF 
[47533] SET_SELL_AMOUNT,9Z89FNPK7B,RUN,221.57 
[47563] SET_SELL_TRIGGER,9Z89FNPK7B,RUN,132.90 
[47778] SET_BUY_AMOUNT,9Z89FNPK7B,RUN,713.41 
[48037] CANCEL_SET_BUY,9Z89FNPK7B,WPG 
[48045] DISPLAY_SUMMARY,9Z89FNPK7B 
[48220] ADD,9Z89FNPK7B,78829.42 
[48248] BUY,9Z89FNPK7B,LPW,271.00 
