[152] ADD,cehNQrvm7R,82398.33 
[21235] ADD,cehNQrvm7R,48202.18 
[21561] BUY,cehNQrvm7R,QGN,562.99 
[21624] SET_SELL_AMOUNT,cehNQrvm7R,KES,610.34 
[21731] SET_SELL_TRIGGER,cehNQrvm7R,KES,589.70 
[21861] SET_BUY_TRIGGER,cehNQrvm7R,XLV,142.80 
[22011] ADD,cehNQrvm7R,60705.73 
[22339] BUY,cehNQrvm7R,JEA,270.94 
[22350] CANCEL_BUY,cehNQrvm7R 
[22372] BUY,cehNQrvm7R,QBD,223.79 
[22449] COMMIT_BUY,cehNQrvm7R 
[22457] SELL,cehNQrvm7R,QJZ,59.44 
[22563] SET_BUY_AMOUNT,cehNQrvm7R,LFU,3.49 
[22575] SET_BUY_TRIGGER,cehNQrvm7R,VEX,2.16 
[22636] QUOTE,cehNQrvm7R,VDP 
[22689] BUY,cehNQrvm7R,URY,741.57 
[22833] CANCEL_BUY,cehNQrvm7R 
[22862] ADD,cehNQrvm7R,81673.46 
[22912] BUY,cehNQrvm7R,EEG,101.99 
[22955] COMMIT_BUY,cehNQrvm7R 
[23131] SET_SELL_AMOUNT,cehNQrvm7R,UTV,578.97 
[23229] SET_SELL_TRIGGER,cehNQrvm7R,UTV,25.81 
[23269] DISPLAY_SUMMARY,cehNQrvm7R 
[23299] SET_SELL_AMOUNT,cehNQrvm7R,JCQ,325.21 
[23472] SET_SELL_TRIGGER,cehNQrvm7R,JCQ,100.34 
[23537] CANCEL_BUY,cehNQrvm7R 
[23555] BUY,cehNQrvm7R,MHI,237.72 
[23684] CANCEL_BUY,cehNQrvm7R 
[23702] SET_SELL_TRIGGER,cehNQrvm7R,ADY,192.82 
[23715] SET_SELL_TRIGGER,cehNQrvm7R,KAO,107.30 
[23731] SELL,cehNQrvm7R,JRJ,390.81 
[23784] CANCEL_SET_BUY,cehNQrvm7R,UTD 
[23792] QUOTE,cehNQrvm7R,AQO 
[23840] CANCEL_SET_BUY,cehNQrvm7R,VWU 
[23900] SELL,cehNQrvm7R,UTV,130.52 
[24051] SET_BUY_AMOUNT,cehNQrvm7R,BYA,180.48 
[24184] SET_BUY_TRIGGER,cehNQrvm7R,MRH,78.28 
[24545] ADD,cehNQrvm7R,75869.91 
[24745] BUY,cehNQrvm7R,AED,678.50 
[24770] COMMIT_BUY,cehNQrvm7R 
[24783] BUY,cehNQrvm7R,ZFV,262.26 
[24861] QUOTE,cehNQrvm7R,OSC 
[24950] DISPLAY_SUMMARY,cehNQrvm7R 
[25240] SELL,cehNQrvm7R,RUN,731.76 
[25349] COMMIT_SELL,cehNQrvm7R 
[25370] SELL,cehNQrvm7R,GYF,615.06 
[25382] SET_SELL_TRIGGER,cehNQrvm7R,NNW,60.94 
[25524] BUY,cehNQrvm7R,EVR,719.83 
[25690] COMMIT_BUY,cehNQrvm7R 
[25701] SET_SELL_AMOUNT,cehNQrvm7R,QJZ,605.69 
[25719] QUOTE,cehNQrvm7R,VEN 
[25904] DISPLAY_SUMMARY,cehNQrvm7R 
[26151] QUOTE,cehNQrvm7R,JXR 
[26401] SET_BUY_AMOUNT,cehNQrvm7R,XXQ,23.17 
[26470] SET_BUY_TRIGGER,cehNQrvm7R,ZLY,12.41 
[26602] DISPLAY_SUMMARY,cehNQrvm7R 
[26781] SET_BUY_AMOUNT,cehNQrvm7R,ZAN,550.13 
[27274] CANCEL_SET_BUY,cehNQrvm7R,MGK 
[27326] SET_BUY_AMOUNT,cehNQrvm7R,UTV,609.82 
[27349] SET_BUY_TRIGGER,cehNQrvm7R,DWK,413.25 
[27351] BUY,cehNQrvm7R,ZMK,238.11 
[27425] COMMIT_BUY,cehNQrvm7R 
[27480] DISPLAY_SUMMARY,cehNQrvm7R 
[27610] BUY,cehNQrvm7R,HFS,696.77 
[27716] COMMIT_BUY,cehNQrvm7R 
[28035] DISPLAY_SUMMARY,cehNQrvm7R 
[28174] SET_BUY_TRIGGER,cehNQrvm7R,UXP,177.06 
[28214] SET_SELL_AMOUNT,cehNQrvm7R,CUZ,555.94 
[28331] SET_SELL_TRIGGER,cehNQrvm7R,CUZ,113.25 
[28440] CANCEL_SELL,cehNQrvm7R 
[28445] DISPLAY_SUMMARY,cehNQrvm7R 
[28691] ADD,cehNQrvm7R,64869.69 
[28931] BUY,cehNQrvm7R,WQE,159.82 
[29079] COMMIT_BUY,cehNQrvm7R 
[29127] SELL,cehNQrvm7R,JCQ,653.84 
[29141] SET_SELL_AMOUNT,cehNQrvm7R,LFU,192.09 
[29342] SET_SELL_TRIGGER,cehNQrvm7R,LFU,178.14 
[29373] DISPLAY_SUMMARY,cehNQrvm7R 
[29385] SELL,cehNQrvm7R,YJK,611.73 
[29569] COMMIT_SELL,cehNQrvm7R 
[29592] CANCEL_SELL,cehNQrvm7R 
[29651] QUOTE,cehNQrvm7R,UJC 
[29705] SET_BUY_AMOUNT,cehNQrvm7R,OEY,590.80 
[29871] SET_BUY_TRIGGER,cehNQrvm7R,HCN,407.79 
[30028] CANCEL_SELL,cehNQrvm7R 
[30373] BUY,cehNQrvm7R,PHU,527.96 
[30538] CANCEL_BUY,cehNQrvm7R 
[30563] ADD,cehNQrvm7R,86789.91 
[30641] QUOTE,cehNQrvm7R,IZU 
[30712] QUOTE,cehNQrvm7R,MSV 
[30920] BUY,cehNQrvm7R,HYX,685.87 
[31115] CANCEL_BUY,cehNQrvm7R 
[31263] COMMIT_SELL,cehNQrvm7R 
[31275] SET_BUY_AMOUNT,cehNQrvm7R,BCQ,209.44 
[31327] SET_BUY_TRIGGER,cehNQrvm7R,ULL,144.21 
[31330] ADD,cehNQrvm7R,63858.38 
[31398] BUY,cehNQrvm7R,GIX,93.28 
[31732] COMMIT_BUY,cehNQrvm7R 
[31733] ADD,cehNQrvm7R,48949.05 
[31775] QUOTE,cehNQrvm7R,JHY 
[31888] ADD,cehNQrvm7R,79974.63 
[31994] QUOTE,cehNQrvm7R,TOL 
[32378] BUY,cehNQrvm7R,FPV,522.42 
[32415] COMMIT_BUY,cehNQrvm7R 
[32424] DISPLAY_SUMMARY,cehNQrvm7R 
[32451] ADD,cehNQrvm7R,55813.32 
[32511] BUY,cehNQrvm7R,XBL,621.87 
[32543] COMMIT_BUY,cehNQrvm7R 
[32640] SET_BUY_AMOUNT,cehNQrvm7R,NHG,46.88 
[32698] SET_BUY_TRIGGER,cehNQrvm7R,WKE,27.13 
[32845] SET_BUY_AMOUNT,cehNQrvm7R,BYA,128.08 
[32847] SET_BUY_TRIGGER,cehNQrvm7R,CMA,22.51 
[32920] ADD,cehNQrvm7R,79169.41 
[33070] ADD,cehNQrvm7R,74575.93 
[33131] BUY,cehNQrvm7R,CXW,347.89 
[33523] SET_SELL_AMOUNT,cehNQrvm7R,EBS,359.38 
[33587] SET_SELL_TRIGGER,cehNQrvm7R,EBS,44.16 
[33631] QUOTE,cehNQrvm7R,OEX 
[33703] BUY,cehNQrvm7R,EDW,239.21 
[33785] QUOTE,cehNQrvm7R,WGV 
[33845] SET_BUY_TRIGGER,cehNQrvm7R,NHB,186.17 
[33923] SELL,cehNQrvm7R,JVT,446.39 
[34202] COMMIT_SELL,cehNQrvm7R 
[34214] SET_SELL_AMOUNT,cehNQrvm7R,JQO,185.40 
[34257] SET_SELL_TRIGGER,cehNQrvm7R,JQO,9.30 
[34258] SET_BUY_AMOUNT,cehNQrvm7R,RGH,515.67 
[34395] SET_BUY_TRIGGER,cehNQrvm7R,MGK,63.16 
[34464] QUOTE,cehNQrvm7R,RVZ 
[34480] BUY,cehNQrvm7R,RYU,544.07 
[34590] SET_SELL_AMOUNT,cehNQrvm7R,LFU,549.29 
[34761] QUOTE,cehNQrvm7R,XBL 
[34808] QUOTE,cehNQrvm7R,IFQ 
[34868] BUY,cehNQrvm7R,ZSV,644.55 
[34891] CANCEL_SET_SELL,cehNQrvm7R,LFU 
[35069] SELL,cehNQrvm7R,JVT,282.56 
[35071] SET_BUY_AMOUNT,cehNQrvm7R,JVT,606.21 
[35160] SET_BUY_TRIGGER,cehNQrvm7R,VXY,370.50 
[35413] DISPLAY_SUMMARY,cehNQrvm7R 
[35552] ADD,cehNQrvm7R,68614.30 
[35563] QUOTE,cehNQrvm7R,CIP 
[35687] COMMIT_BUY,cehNQrvm7R 
[35819] DISPLAY_SUMMARY,cehNQrvm7R 
[35856] ADD,cehNQrvm7R,73933.63 
[36034] BUY,cehNQrvm7R,ZOW,590.28 
[36046] COMMIT_BUY,cehNQrvm7R 
[36253] ADD,cehNQrvm7R,82091.42 
[36256] BUY,cehNQrvm7R,JEO,482.05 
[36271] COMMIT_BUY,cehNQrvm7R 
[36482] SET_SELL_TRIGGER,cehNQrvm7R,FVA,139.20 
[36658] SET_SELL_TRIGGER,cehNQrvm7R,PLA,107.23 
[36803] SET_BUY_TRIGGER,cehNQrvm7R,YTY,22.31 
[36811] ADD,cehNQrvm7R,54810.66 
[37038] CANCEL_SELL,cehNQrvm7R 
[37163] DISPLAY_SUMMARY,cehNQrvm7R 
[37501] ADD,cehNQrvm7R,93733.29 
[37511] SELL,cehNQrvm7R,LFU,23.14 
[37953] COMMIT_SELL,cehNQrvm7R 
[38124] ADD,cehNQrvm7R,50258.12 
[38332] BUY,cehNQrvm7R,ZRJ,172.32 
[38420] COMMIT_BUY,cehNQrvm7R 
[38492] QUOTE,cehNQrvm7R,DVU 
[38690] BUY,cehNQrvm7R,BMQ,612.29 
[38761] CANCEL_SELL,cehNQrvm7R 
[38836] ADD,cehNQrvm7R,69527.13 
[38934] QUOTE,cehNQrvm7R,JQO 
[38947] SET_BUY_TRIGGER,cehNQrvm7R,THH,51.38 
[39025] SET_BUY_AMOUNT,cehNQrvm7R,NHG,170.30 
[39055] SET_BUY_TRIGGER,cehNQrvm7R,NZS,58.58 
[39062] SET_BUY_AMOUNT,cehNQrvm7R,XXQ,572.43 
[39126] CANCEL_SET_BUY,cehNQrvm7R,LZB 
[39128] ADD,cehNQrvm7R,82212.37 
[39129] BUY,cehNQrvm7R,DIX,489.33 
[39141] COMMIT_BUY,cehNQrvm7R 
[39284] DISPLAY_SUMMARY,cehNQrvm7R 
[39441] DISPLAY_SUMMARY,cehNQrvm7R 
[39512] SET_SELL_AMOUNT,cehNQrvm7R,XLK,152.87 
[39641] SET_SELL_TRIGGER,cehNQrvm7R,XLK,73.97 
[39665] DISPLAY_SUMMARY,cehNQrvm7R 
[39831] SET_BUY_AMOUNT,cehNQrvm7R,YJK,34.21 
[39872] SET_BUY_TRIGGER,cehNQrvm7R,FXT,18.68 
[40041] ADD,cehNQrvm7R,50901.82 
[40097] SET_SELL_TRIGGER,cehNQrvm7R,JQO,123.33 
[40223] SELL,cehNQrvm7R,XXQ,248.50 
[40270] BUY,cehNQrvm7R,CBO,148.25 
[40493] COMMIT_BUY,cehNQrvm7R 
[40540] CANCEL_BUY,cehNQrvm7R 
[40697] DISPLAY_SUMMARY,cehNQrvm7R 
[40969] SET_BUY_TRIGGER,cehNQrvm7R,ELQ,66.29 
[41110] ADD,cehNQrvm7R,80423.24 
[41182] BUY,cehNQrvm7R,ADY,9.64 
[41255] QUOTE,cehNQrvm7R,PUO 
[41342] BUY,cehNQrvm7R,AZN,277.12 
[41382] COMMIT_BUY,cehNQrvm7R 
[41499] BUY,cehNQrvm7R,NAW,384.18 
[41522] COMMIT_BUY,cehNQrvm7R 
[41719] BUY,cehNQrvm7R,NXU,317.38 
[41757] COMMIT_BUY,cehNQrvm7R 
[41924] ADD,cehNQrvm7R,44695.60 
[42107] QUOTE,cehNQrvm7R,QSS 
[42114] SET_SELL_AMOUNT,cehNQrvm7R,RNK,56.48 
[42145] QUOTE,cehNQrvm7R,QAX 
[42284] SET_BUY_TRIGGER,cehNQrvm7R,SJZ,132.75 
[42357] SET_BUY_AMOUNT,cehNQrvm7R,KDA,211.08 
[42387] SET_BUY_TRIGGER,cehNQrvm7R,PZE,106.52 
[42449] ADD,cehNQrvm7R,51187.53 
[42669] QUOTE,cehNQrvm7R,YBP 
[42701] BUY,cehNQrvm7R,UDQ,116.58 
[42781] COMMIT_BUY,cehNQrvm7R 
[42915] ADD,cehNQrvm7R,82529.98 
[43023] BUY,cehNQrvm7R,SEI,319.25 
[43097] QUOTE,cehNQrvm7R,GCL 
[43116] QUOTE,cehNQrvm7R,BBC 
[43126] BUY,cehNQrvm7R,NFQ,520.26 
[43171] COMMIT_BUY,cehNQrvm7R 
[43205] SELL,cehNQrvm7R,JRJ,58.87 
[43229] COMMIT_SELL,cehNQrvm7R 
[43234] CANCEL_SET_BUY,cehNQrvm7R,ASJ 
[43383] SET_SELL_AMOUNT,cehNQrvm7R,SUS,76.99 
[43435] QUOTE,cehNQrvm7R,YBP 
[43578] BUY,cehNQrvm7R,GYT,688.16 
[43596] CANCEL_SET_SELL,cehNQrvm7R,SUS 
[43900] DISPLAY_SUMMARY,cehNQrvm7R 
[44091] ADD,cehNQrvm7R,72024.05 
[44146] BUY,cehNQrvm7R,IGI,616.96 
[44360] SET_SELL_TRIGGER,cehNQrvm7R,ZCQ,3.29 
[44417] DISPLAY_SUMMARY,cehNQrvm7R 
[44749] BUY,cehNQrvm7R,NFL,171.17 
[45033] COMMIT_BUY,cehNQrvm7R 
[45037] ADD,cehNQrvm7R,45570.78 
[45233] CANCEL_SET_BUY,cehNQrvm7R,QJZ 
[45255] SELL,cehNQrvm7R,UBJ,664.00 
[45300] SET_BUY_TRIGGER,cehNQrvm7R,KQZ,131.07 
[45386] DISPLAY_SUMMARY,cehNQrvm7R 
[45410] ADD,cehNQrvm7R,85266.54 
[45459] QUOTE,cehNQrvm7R,STQ 
[45536] BUY,cehNQrvm7R,WDC,401.77 
[45730] CANCEL_SET_SELL,cehNQrvm7R,SCK 
[45768] SET_BUY_AMOUNT,cehNQrvm7R,JZJ,612.26 
[45809] SET_BUY_TRIGGER,cehNQrvm7R,BWR,384.96 
[45842] QUOTE,cehNQrvm7R,DWC 
[45864] QUOTE,cehNQrvm7R,GQV 
[45964] BUY,cehNQrvm7R,SKC,575.86 
[46239] COMMIT_BUY,cehNQrvm7R 
[46354] ADD,cehNQrvm7R,70743.14 
[46615] SET_SELL_AMOUNT,cehNQrvm7R,FDI,571.39 
[46689] QUOTE,cehNQrvm7R,XAN 
[46807] BUY,cehNQrvm7R,WKE,729.78 
[46813] ADD,cehNQrvm7R,51420.68 
[46835] QUOTE,cehNQrvm7R,KBP 
[47024] QUOTE,cehNQrvm7R,PGV 
[47133] BUY,cehNQrvm7R,JSM,242.20 
[47571] COMMIT_BUY,cehNQrvm7R 
[47673] SELL,cehNQrvm7R,CUZ,113.29 
[47782] SET_BUY_AMOUNT,cehNQrvm7R,RGH,724.21 
[47801] DISPLAY_SUMMARY,cehNQrvm7R 
[47894] SET_BUY_TRIGGER,cehNQrvm7R,LHC,386.64 
[48024] SELL,cehNQrvm7R,ZYR,253.11 
[48088] COMMIT_SELL,cehNQrvm7R 
[48200] SET_BUY_TRIGGER,cehNQrvm7R,ZMS,60.56 
[48239] DISPLAY_SUMMARY,cehNQrvm7R 
[48265] DISPLAY_SUMMARY,cehNQrvm7R 
[48294] SET_BUY_TRIGGER,cehNQrvm7R,BBD,136.54 
[48362] ADD,cehNQrvm7R,74553.56 
[48641] BUY,cehNQrvm7R,FVZ,634.00 
[48982] SET_SELL_AMOUNT,cehNQrvm7R,RUN,626.61 
[49112] SET_SELL_TRIGGER,cehNQrvm7R,RUN,384.70 
[49361] SET_SELL_AMOUNT,cehNQrvm7R,MFX,529.47 
