[113] ADD,NcGvD9d4mj,88082.66 
[14725] BUY,NcGvD9d4mj,IOY,668.58 
[14739] COMMIT_BUY,NcGvD9d4mj 
[14822] ADD,NcGvD9d4mj,75118.95 
[14998] CANCEL_SET_SELL,NcGvD9d4mj,VDP 
[15009] SET_BUY_AMOUNT,NcGvD9d4mj,GYF,53.20 
[15119] BUY,NcGvD9d4mj,WNU,468.56 
[15218] COMMIT_BUY,NcGvD9d4mj 
[15240] SET_SELL_TRIGGER,NcGvD9d4mj,AOH,19.07 
[15406] SET_BUY_TRIGGER,NcGvD9d4mj,FKI,27.95 
[15542] SET_SELL_AMOUNT,NcGvD9d4mj,JVT,662.38 
[15552] SET_SELL_TRIGGER,NcGvD9d4mj,JVT,479.09 
[15703] BUY,NcGvD9d4mj,NHB,512.42 
[15723] COMMIT_BUY,NcGvD9d4mj 
[15729] SELL,NcGvD9d4mj,NHG,621.22 
[15778] SET_BUY_TRIGGER,NcGvD9d4mj,LKV,141.84 
[15781] SELL,NcGvD9d4mj,QJZ,398.30 
[15790] COMMIT_BUY,NcGvD9d4mj 
[15803] SET_BUY_AMOUNT,NcGvD9d4mj,JRJ,273.70 
[15909] SET_BUY_TRIGGER,NcGvD9d4mj,KAH,269.93 
[15985] QUOTE,NcGvD9d4mj,MUN 
[16238] SET_BUY_AMOUNT,NcGvD9d4mj,JCQ,32.03 
[16381] SET_BUY_TRIGGER,NcGvD9d4mj,PDB,3.11 
[16451] BUY,NcGvD9d4mj,XME,360.93 
[16600] SET_SELL_TRIGGER,NcGvD9d4mj,SQO,68.97 
[16734] SELL,NcGvD9d4mj,JRJ,353.83 
[16787] QUOTE,NcGvD9d4mj,JQJ 
[16789] QUOTE,NcGvD9d4mj,WRJ 
[16952] DISPLAY_SUMMARY,NcGvD9d4mj 
[17161] SET_SELL_TRIGGER,NcGvD9d4mj,UTV,108.69 
[17237] SET_SELL_AMOUNT,NcGvD9d4mj,GYF,185.30 
[17439] SET_SELL_TRIGGER,NcGvD9d4mj,GYF,167.28 
[17505] DISPLAY_SUMMARY,NcGvD9d4mj 
[17657] QUOTE,NcGvD9d4mj,KJH 
[17879] SET_BUY_AMOUNT,NcGvD9d4mj,JVT,598.46 
[17919] SET_BUY_TRIGGER,NcGvD9d4mj,MWM,516.53 
[17939] ADD,NcGvD9d4mj,66866.50 
[17962] BUY,NcGvD9d4mj,PJW,560.55 
[18040] CANCEL_BUY,NcGvD9d4mj 
[18199] DISPLAY_SUMMARY,NcGvD9d4mj 
[18312] DISPLAY_SUMMARY,NcGvD9d4mj 
[18385] SET_SELL_AMOUNT,NcGvD9d4mj,JVT,459.31 
[18536] SET_SELL_TRIGGER,NcGvD9d4mj,JVT,28.18 
[18643] SET_SELL_AMOUNT,NcGvD9d4mj,QJZ,199.63 
[18883] DISPLAY_SUMMARY,NcGvD9d4mj 
[18953] DISPLAY_SUMMARY,NcGvD9d4mj 
[18959] CANCEL_SET_BUY,NcGvD9d4mj,QEO 
[19057] SET_SELL_AMOUNT,NcGvD9d4mj,EBS,277.04 
[19130] SET_SELL_TRIGGER,NcGvD9d4mj,EBS,234.46 
[19420] SET_SELL_TRIGGER,NcGvD9d4mj,VXY,198.97 
[19518] SELL,NcGvD9d4mj,JRJ,272.75 
[19712] COMMIT_SELL,NcGvD9d4mj 
[19769] BUY,NcGvD9d4mj,QGN,490.37 
[19800] COMMIT_BUY,NcGvD9d4mj 
[20048] BUY,NcGvD9d4mj,EJW,578.49 
[20209] CANCEL_SET_SELL,NcGvD9d4mj,JSM 
[20329] SET_BUY_TRIGGER,NcGvD9d4mj,OYS,119.33 
[20393] ADD,NcGvD9d4mj,72026.38 
[20426] QUOTE,NcGvD9d4mj,ZTR 
[20435] BUY,NcGvD9d4mj,EOY,268.05 
[20501] SET_BUY_TRIGGER,NcGvD9d4mj,QBD,175.55 
[20637] DISPLAY_SUMMARY,NcGvD9d4mj 
[20732] QUOTE,NcGvD9d4mj,INB 
[20753] DISPLAY_SUMMARY,NcGvD9d4mj 
[20960] BUY,NcGvD9d4mj,FGI,132.20 
[21382] SET_BUY_AMOUNT,NcGvD9d4mj,CUZ,104.00 
[21458] CANCEL_SET_BUY,NcGvD9d4mj,FFN 
[21484] DISPLAY_SUMMARY,NcGvD9d4mj 
[21525] BUY,NcGvD9d4mj,OBO,380.64 
[21560] QUOTE,NcGvD9d4mj,ILT 
[21606] BUY,NcGvD9d4mj,GJR,291.64 
[21692] COMMIT_BUY,NcGvD9d4mj 
[21759] DISPLAY_SUMMARY,NcGvD9d4mj 
[22110] ADD,NcGvD9d4mj,59642.86 
[22112] QUOTE,NcGvD9d4mj,MQH 
[22333] SET_SELL_AMOUNT,NcGvD9d4mj,JQO,338.72 
[22346] SELL,NcGvD9d4mj,KDA,465.78 
[22349] COMMIT_SELL,NcGvD9d4mj 
[22434] ADD,NcGvD9d4mj,79620.55 
[22568] BUY,NcGvD9d4mj,WYR,255.03 
[22634] CANCEL_BUY,NcGvD9d4mj 
[22684] QUOTE,NcGvD9d4mj,APU 
[22794] BUY,NcGvD9d4mj,NEV,519.88 
[22838] QUOTE,NcGvD9d4mj,PHJ 
[22965] BUY,NcGvD9d4mj,AHO,621.73 
[23133] DISPLAY_SUMMARY,NcGvD9d4mj 
[23198] QUOTE,NcGvD9d4mj,YQC 
[23223] SET_BUY_TRIGGER,NcGvD9d4mj,IHW,65.74 
[23373] SELL,NcGvD9d4mj,KDA,670.72 
[23462] COMMIT_BUY,NcGvD9d4mj 
[23581] BUY,NcGvD9d4mj,VND,657.84 
[23588] COMMIT_BUY,NcGvD9d4mj 
[23687] SET_BUY_TRIGGER,NcGvD9d4mj,BPP,151.14 
[23718] SET_SELL_AMOUNT,NcGvD9d4mj,JRJ,503.26 
[23816] QUOTE,NcGvD9d4mj,RXO 
[23974] CANCEL_SET_SELL,NcGvD9d4mj,JRJ 
[24031] ADD,NcGvD9d4mj,73303.29 
[24306] QUOTE,NcGvD9d4mj,XAB 
[24313] ADD,NcGvD9d4mj,76118.23 
[24358] BUY,NcGvD9d4mj,XZN,604.94 
[24364] COMMIT_BUY,NcGvD9d4mj 
[24437] SELL,NcGvD9d4mj,QAX,389.14 
[24440] DISPLAY_SUMMARY,NcGvD9d4mj 
[24465] DISPLAY_SUMMARY,NcGvD9d4mj 
[24563] ADD,NcGvD9d4mj,71073.47 
[24664] BUY,NcGvD9d4mj,HYX,484.24 
[25061] COMMIT_BUY,NcGvD9d4mj 
[25177] ADD,NcGvD9d4mj,57070.84 
[25282] COMMIT_BUY,NcGvD9d4mj 
[25341] SET_SELL_AMOUNT,NcGvD9d4mj,BCQ,477.28 
[25453] SET_SELL_TRIGGER,NcGvD9d4mj,BCQ,169.98 
[25699] SET_BUY_TRIGGER,NcGvD9d4mj,LRS,167.96 
[25776] DISPLAY_SUMMARY,NcGvD9d4mj 
[25933] SET_BUY_AMOUNT,NcGvD9d4mj,JVT,678.94 
[25949] SET_BUY_TRIGGER,NcGvD9d4mj,SOA,320.34 
[26003] DISPLAY_SUMMARY,NcGvD9d4mj 
[26276] SELL,NcGvD9d4mj,QAX,605.60 
[26487] COMMIT_SELL,NcGvD9d4mj 
[26538] ADD,NcGvD9d4mj,89280.91 
[26575] BUY,NcGvD9d4mj,PMX,614.24 
[26607] QUOTE,NcGvD9d4mj,MFX 
[26665] ADD,NcGvD9d4mj,57881.78 
[26693] CANCEL_SELL,NcGvD9d4mj 
[26698] SET_SELL_TRIGGER,NcGvD9d4mj,NGB,163.53 
[26743] DISPLAY_SUMMARY,NcGvD9d4mj 
[26747] DISPLAY_SUMMARY,NcGvD9d4mj 
[26859] DISPLAY_SUMMARY,NcGvD9d4mj 
[27029] SET_SELL_TRIGGER,NcGvD9d4mj,ZFT,64.24 
[27040] SET_BUY_AMOUNT,NcGvD9d4mj,JVT,476.50 
[27090] SET_BUY_TRIGGER,NcGvD9d4mj,ZMA,15.56 
[27146] CANCEL_SELL,NcGvD9d4mj 
[27210] QUOTE,NcGvD9d4mj,FDI 
[27267] CANCEL_SET_SELL,NcGvD9d4mj,OAV 
[27279] SET_BUY_TRIGGER,NcGvD9d4mj,FVA,149.04 
[27375] ADD,NcGvD9d4mj,74488.37 
[27442] QUOTE,NcGvD9d4mj,WYO 
[27452] CANCEL_BUY,NcGvD9d4mj 
[27619] ADD,NcGvD9d4mj,80075.60 
[27717] QUOTE,NcGvD9d4mj,ZTR 
[27805] QUOTE,NcGvD9d4mj,MGK 
[27814] BUY,NcGvD9d4mj,LSW,255.45 
[27917] COMMIT_BUY,NcGvD9d4mj 
[27976] DISPLAY_SUMMARY,NcGvD9d4mj 
[27991] BUY,NcGvD9d4mj,PLA,723.92 
[27997] CANCEL_SELL,NcGvD9d4mj 
[28037] SELL,NcGvD9d4mj,QJZ,226.91 
[28263] CANCEL_SET_SELL,NcGvD9d4mj,DVU 
[28664] DISPLAY_SUMMARY,NcGvD9d4mj 
[28758] ADD,NcGvD9d4mj,60454.94 
[28763] BUY,NcGvD9d4mj,ASJ,168.18 
[29362] COMMIT_SELL,NcGvD9d4mj 
[29455] ADD,NcGvD9d4mj,69034.56 
[29524] CANCEL_SELL,NcGvD9d4mj 
[29535] SET_SELL_AMOUNT,NcGvD9d4mj,GYF,231.44 
[29567] SET_SELL_TRIGGER,NcGvD9d4mj,GYF,79.96 
[29613] ADD,NcGvD9d4mj,74191.93 
[29691] QUOTE,NcGvD9d4mj,ROW 
[29753] BUY,NcGvD9d4mj,YCH,725.33 
[29766] SET_BUY_TRIGGER,NcGvD9d4mj,HIW,34.60 
[29768] QUOTE,NcGvD9d4mj,KQZ 
[29946] QUOTE,NcGvD9d4mj,NVX 
[30384] QUOTE,NcGvD9d4mj,BOS 
[30533] SET_SELL_TRIGGER,NcGvD9d4mj,ZCG,67.81 
[30662] ADD,NcGvD9d4mj,62031.34 
[30709] BUY,NcGvD9d4mj,LMO,506.52 
[30828] COMMIT_BUY,NcGvD9d4mj 
[31149] SET_BUY_TRIGGER,NcGvD9d4mj,MOM,15.25 
[31151] QUOTE,NcGvD9d4mj,AUX 
[31264] QUOTE,NcGvD9d4mj,XAB 
[31307] DISPLAY_SUMMARY,NcGvD9d4mj 
[31480] BUY,NcGvD9d4mj,AAC,102.06 
[31512] CANCEL_BUY,NcGvD9d4mj 
[31535] BUY,NcGvD9d4mj,ZZN,511.68 
[31629] COMMIT_BUY,NcGvD9d4mj 
[31946] CANCEL_BUY,NcGvD9d4mj 
[31972] SET_BUY_TRIGGER,NcGvD9d4mj,SWD,127.08 
[32011] QUOTE,NcGvD9d4mj,IFC 
[32210] SET_BUY_TRIGGER,NcGvD9d4mj,LUT,104.74 
[32253] SET_BUY_AMOUNT,NcGvD9d4mj,CUZ,423.80 
[32377] SET_BUY_TRIGGER,NcGvD9d4mj,MUN,147.81 
[32766] SET_SELL_TRIGGER,NcGvD9d4mj,SOA,9.73 
[32928] SET_SELL_TRIGGER,NcGvD9d4mj,EED,22.68 
[32952] ADD,NcGvD9d4mj,54968.46 
[32958] QUOTE,NcGvD9d4mj,AXK 
[33059] SET_BUY_TRIGGER,NcGvD9d4mj,LZV,185.58 
[33102] DISPLAY_SUMMARY,NcGvD9d4mj 
[33105] SET_BUY_AMOUNT,NcGvD9d4mj,ZAN,696.54 
[33154] SET_BUY_TRIGGER,NcGvD9d4mj,RUN,327.04 
[33179] SELL,NcGvD9d4mj,JCQ,494.10 
[33211] COMMIT_SELL,NcGvD9d4mj 
[33333] DISPLAY_SUMMARY,NcGvD9d4mj 
[33360] DISPLAY_SUMMARY,NcGvD9d4mj 
[33375] ADD,NcGvD9d4mj,58155.99 
[33517] BUY,NcGvD9d4mj,ULL,167.03 
[33563] SET_BUY_TRIGGER,NcGvD9d4mj,EAK,142.01 
[33579] QUOTE,NcGvD9d4mj,JZJ 
[33622] ADD,NcGvD9d4mj,54286.29 
[33707] QUOTE,NcGvD9d4mj,MOS 
[33900] QUOTE,NcGvD9d4mj,IPH 
[33941] SET_BUY_TRIGGER,NcGvD9d4mj,HZA,68.38 
[33957] SET_BUY_TRIGGER,NcGvD9d4mj,XRK,85.62 
[33977] ADD,NcGvD9d4mj,62039.90 
[34054] BUY,NcGvD9d4mj,QSS,534.11 
[34146] COMMIT_SELL,NcGvD9d4mj 
[34454] QUOTE,NcGvD9d4mj,RVZ 
[34462] CANCEL_SET_SELL,NcGvD9d4mj,WPG 
[34466] BUY,NcGvD9d4mj,WKT,430.37 
[34492] COMMIT_BUY,NcGvD9d4mj 
[34498] ADD,NcGvD9d4mj,70590.67 
[34518] QUOTE,NcGvD9d4mj,BCQ 
[34679] SET_BUY_AMOUNT,NcGvD9d4mj,FQP,121.78 
[34776] SET_BUY_TRIGGER,NcGvD9d4mj,RYU,44.86 
[35105] SET_SELL_TRIGGER,NcGvD9d4mj,ZEG,128.27 
[35175] ADD,NcGvD9d4mj,63739.37 
[35209] SET_BUY_AMOUNT,NcGvD9d4mj,JQO,125.31 
[35334] SET_BUY_TRIGGER,NcGvD9d4mj,FQG,94.71 
[35353] DISPLAY_SUMMARY,NcGvD9d4mj 
[35390] DISPLAY_SUMMARY,NcGvD9d4mj 
[35409] CANCEL_SET_BUY,NcGvD9d4mj,JRY 
[35522] ADD,NcGvD9d4mj,77239.51 
[35713] QUOTE,NcGvD9d4mj,SDL 
[35727] DISPLAY_SUMMARY,NcGvD9d4mj 
[35734] DISPLAY_SUMMARY,NcGvD9d4mj 
[35839] DISPLAY_SUMMARY,NcGvD9d4mj 
[36059] SET_SELL_TRIGGER,NcGvD9d4mj,XOL,29.25 
[36160] ADD,NcGvD9d4mj,65538.61 
[36176] BUY,NcGvD9d4mj,JIC,486.58 
[36210] SET_SELL_AMOUNT,NcGvD9d4mj,LFU,251.26 
[36251] QUOTE,NcGvD9d4mj,VVV 
[36285] QUOTE,NcGvD9d4mj,SCW 
[36299] QUOTE,NcGvD9d4mj,LBC 
[36423] QUOTE,NcGvD9d4mj,ZRJ 
[36432] CANCEL_SET_SELL,NcGvD9d4mj,LFU 
[36496] BUY,NcGvD9d4mj,IZS,221.99 
[36573] CANCEL_BUY,NcGvD9d4mj 
[36914] QUOTE,NcGvD9d4mj,GRD 
[36974] QUOTE,NcGvD9d4mj,TQE 
[37083] BUY,NcGvD9d4mj,YDD,354.65 
[37106] COMMIT_BUY,NcGvD9d4mj 
[37139] SET_BUY_TRIGGER,NcGvD9d4mj,UDN,199.22 
[37252] SET_BUY_TRIGGER,NcGvD9d4mj,JGO,177.56 
[37289] QUOTE,NcGvD9d4mj,WUL 
[37294] BUY,NcGvD9d4mj,IFN,407.54 
[37385] ADD,NcGvD9d4mj,43393.98 
[37387] BUY,NcGvD9d4mj,TSU,182.20 
[37454] COMMIT_BUY,NcGvD9d4mj 
[37488] SET_SELL_AMOUNT,NcGvD9d4mj,QJZ,737.82 
[37745] BUY,NcGvD9d4mj,EBS,139.33 
[37903] SET_BUY_AMOUNT,NcGvD9d4mj,KES,168.95 
[37975] QUOTE,NcGvD9d4mj,JFF 
[38028] SET_BUY_AMOUNT,NcGvD9d4mj,PTP,445.21 
[38250] SET_BUY_TRIGGER,NcGvD9d4mj,XME,186.31 
[38603] SELL,NcGvD9d4mj,ZAN,545.52 
[38620] COMMIT_SELL,NcGvD9d4mj 
[38792] BUY,NcGvD9d4mj,ZJG,580.55 
[38922] COMMIT_BUY,NcGvD9d4mj 
[38926] QUOTE,NcGvD9d4mj,QNK 
[38972] SET_SELL_TRIGGER,NcGvD9d4mj,QJZ,232.49 
[39024] QUOTE,NcGvD9d4mj,VOY 
[39139] SET_BUY_AMOUNT,NcGvD9d4mj,EBS,412.16 
[39164] SET_BUY_TRIGGER,NcGvD9d4mj,XAN,70.50 
[39187] DISPLAY_SUMMARY,NcGvD9d4mj 
[39414] SELL,NcGvD9d4mj,RNK,641.97 
[39455] QUOTE,NcGvD9d4mj,PBV 
[39790] SET_BUY_TRIGGER,NcGvD9d4mj,IWL,147.11 
[39902] DISPLAY_SUMMARY,NcGvD9d4mj 
[40055] SELL,NcGvD9d4mj,CUZ,85.97 
[40177] COMMIT_SELL,NcGvD9d4mj 
[40363] BUY,NcGvD9d4mj,CNN,704.27 
[40386] COMMIT_BUY,NcGvD9d4mj 
[40401] SET_SELL_TRIGGER,NcGvD9d4mj,QOD,71.52 
[40407] QUOTE,NcGvD9d4mj,LJM 
[40461] QUOTE,NcGvD9d4mj,NDO 
[40558] SET_BUY_AMOUNT,NcGvD9d4mj,EBS,62.10 
[40655] SET_BUY_TRIGGER,NcGvD9d4mj,ZOZ,61.19 
[40802] BUY,NcGvD9d4mj,OOI,331.26 
[41191] COMMIT_BUY,NcGvD9d4mj 
[41199] QUOTE,NcGvD9d4mj,LUD 
[41223] BUY,NcGvD9d4mj,DMW,746.43 
[41240] CANCEL_SELL,NcGvD9d4mj 
[41386] BUY,NcGvD9d4mj,ZZN,711.87 
[41475] COMMIT_BUY,NcGvD9d4mj 
[41660] BUY,NcGvD9d4mj,URI,547.04 
[41693] CANCEL_BUY,NcGvD9d4mj 
[41952] BUY,NcGvD9d4mj,PFN,110.28 
[41953] COMMIT_BUY,NcGvD9d4mj 
[41964] BUY,NcGvD9d4mj,BHQ,126.12 
[42217] COMMIT_BUY,NcGvD9d4mj 
[42274] SET_BUY_AMOUNT,NcGvD9d4mj,RGH,18.48 
[42367] CANCEL_SET_BUY,NcGvD9d4mj,TZJ 
[42497] ADD,NcGvD9d4mj,74490.76 
[42512] QUOTE,NcGvD9d4mj,JMX 
[42600] BUY,NcGvD9d4mj,TTY,327.09 
[42603] CANCEL_BUY,NcGvD9d4mj 
[42607] DISPLAY_SUMMARY,NcGvD9d4mj 
[43061] QUOTE,NcGvD9d4mj,VMD 
[43079] SET_BUY_TRIGGER,NcGvD9d4mj,GNY,139.35 
[43220] BUY,NcGvD9d4mj,HZA,682.43 
[43278] COMMIT_BUY,NcGvD9d4mj 
[43316] QUOTE,NcGvD9d4mj,RXB 
[43356] BUY,NcGvD9d4mj,WRN,619.76 
[43366] COMMIT_BUY,NcGvD9d4mj 
[43681] BUY,NcGvD9d4mj,NOP,579.26 
[43753] COMMIT_BUY,NcGvD9d4mj 
[44030] SET_BUY_TRIGGER,NcGvD9d4mj,CUZ,148.44 
[44194] CANCEL_SELL,NcGvD9d4mj 
