[70] ADD,HBbyhPrKJi,83795.16 
[4481] BUY,HBbyhPrKJi,QAX,568.20 
[4527] COMMIT_BUY,HBbyhPrKJi 
[4679] DISPLAY_SUMMARY,HBbyhPrKJi 
[4701] SET_BUY_AMOUNT,HBbyhPrKJi,KES,525.89 
[4823] SET_BUY_TRIGGER,HBbyhPrKJi,YBO,49.20 
[4961] DISPLAY_SUMMARY,HBbyhPrKJi 
[5072] SET_BUY_AMOUNT,HBbyhPrKJi,FQP,573.61 
[5234] CANCEL_SET_BUY,HBbyhPrKJi,HIN 
[5288] BUY,HBbyhPrKJi,JDW,293.82 
[5452] COMMIT_BUY,HBbyhPrKJi 
[5558] SET_BUY_AMOUNT,HBbyhPrKJi,KDA,237.50 
[5601] SET_BUY_TRIGGER,HBbyhPrKJi,YTT,42.13 
[5682] ADD,HBbyhPrKJi,48612.93 
[5767] QUOTE,HBbyhPrKJi,GGY 
[5796] ADD,HBbyhPrKJi,47735.52 
[5990] BUY,HBbyhPrKJi,LMO,617.68 
[6126] SET_SELL_TRIGGER,HBbyhPrKJi,JUN,160.70 
[6134] QUOTE,HBbyhPrKJi,JXW 
[6212] QUOTE,HBbyhPrKJi,POI 
[6248] BUY,HBbyhPrKJi,KZQ,50.17 
[6289] DISPLAY_SUMMARY,HBbyhPrKJi 
[6469] QUOTE,HBbyhPrKJi,CTT 
[6746] SET_BUY_TRIGGER,HBbyhPrKJi,CWA,17.00 
[6753] SELL,HBbyhPrKJi,OEY,473.51 
[6926] SET_BUY_TRIGGER,HBbyhPrKJi,JGY,123.23 
[7014] SELL,HBbyhPrKJi,KES,542.74 
[7136] COMMIT_SELL,HBbyhPrKJi 
[7217] QUOTE,HBbyhPrKJi,PCR 
[7224] ADD,HBbyhPrKJi,50548.21 
[7445] BUY,HBbyhPrKJi,PPW,93.00 
[7496] QUOTE,HBbyhPrKJi,VKP 
[7667] BUY,HBbyhPrKJi,LUD,502.86 
[7790] COMMIT_BUY,HBbyhPrKJi 
[7970] SET_BUY_AMOUNT,HBbyhPrKJi,FQP,565.48 
[7982] SET_BUY_TRIGGER,HBbyhPrKJi,SUS,230.48 
[8075] ADD,HBbyhPrKJi,71907.70 
[8270] QUOTE,HBbyhPrKJi,OLH 
[8310] SET_BUY_AMOUNT,HBbyhPrKJi,OEY,170.86 
[8438] CANCEL_SET_BUY,HBbyhPrKJi,SON 
[8543] SET_BUY_AMOUNT,HBbyhPrKJi,OEY,6.74 
[8594] CANCEL_SET_BUY,HBbyhPrKJi,KDA 
[8716] SET_SELL_AMOUNT,HBbyhPrKJi,OEY,311.70 
[8756] SET_SELL_TRIGGER,HBbyhPrKJi,OEY,160.76 
[8767] BUY,HBbyhPrKJi,JSM,344.35 
[8770] COMMIT_BUY,HBbyhPrKJi 
[8839] SELL,HBbyhPrKJi,JVT,232.15 
[9363] COMMIT_BUY,HBbyhPrKJi 
[9517] SELL,HBbyhPrKJi,GYF,295.67 
[9591] CANCEL_BUY,HBbyhPrKJi 
[9736] SET_BUY_TRIGGER,HBbyhPrKJi,YBB,45.94 
[9810] SET_SELL_AMOUNT,HBbyhPrKJi,KES,460.22 
[9820] SET_SELL_TRIGGER,HBbyhPrKJi,KES,302.93 
[9864] SET_SELL_TRIGGER,HBbyhPrKJi,MVY,138.57 
[9930] COMMIT_SELL,HBbyhPrKJi 
[9985] ADD,HBbyhPrKJi,76228.26 
[10073] BUY,HBbyhPrKJi,ZFV,226.86 
[10092] CANCEL_BUY,HBbyhPrKJi 
[10236] ADD,HBbyhPrKJi,66782.97 
[10252] QUOTE,HBbyhPrKJi,PIC 
[10307] COMMIT_SELL,HBbyhPrKJi 
[10401] BUY,HBbyhPrKJi,GSW,285.71 
[10419] COMMIT_BUY,HBbyhPrKJi 
[10506] SELL,HBbyhPrKJi,FQP,120.03 
[10597] BUY,HBbyhPrKJi,WKT,133.20 
[10669] SET_BUY_AMOUNT,HBbyhPrKJi,FQP,626.13 
[10670] SET_BUY_TRIGGER,HBbyhPrKJi,TKG,233.04 
[10709] ADD,HBbyhPrKJi,56036.30 
[10792] BUY,HBbyhPrKJi,MHI,740.79 
[10854] COMMIT_SELL,HBbyhPrKJi 
[10889] BUY,HBbyhPrKJi,AUX,370.10 
[10906] ADD,HBbyhPrKJi,103188.38 
[11035] CANCEL_SELL,HBbyhPrKJi 
[11048] ADD,HBbyhPrKJi,98776.00 
[11097] SET_BUY_TRIGGER,HBbyhPrKJi,LUT,56.35 
[11099] SELL,HBbyhPrKJi,QJZ,309.13 
[11295] BUY,HBbyhPrKJi,FOV,328.72 
[11303] SET_SELL_TRIGGER,HBbyhPrKJi,PSJ,2.72 
[11339] CANCEL_SET_SELL,HBbyhPrKJi,SYM 
[11432] SET_SELL_AMOUNT,HBbyhPrKJi,FQP,230.76 
[11491] CANCEL_SET_SELL,HBbyhPrKJi,FQP 
[11527] SET_BUY_TRIGGER,HBbyhPrKJi,RKQ,74.70 
[11600] DISPLAY_SUMMARY,HBbyhPrKJi 
[11620] SET_SELL_AMOUNT,HBbyhPrKJi,QJZ,288.02 
[11656] SET_SELL_TRIGGER,HBbyhPrKJi,QJZ,115.98 
[12041] SET_BUY_AMOUNT,HBbyhPrKJi,KES,517.93 
[12063] SET_BUY_TRIGGER,HBbyhPrKJi,JGG,491.56 
[12258] BUY,HBbyhPrKJi,LRS,232.08 
[12267] QUOTE,HBbyhPrKJi,JTX 
[12472] DISPLAY_SUMMARY,HBbyhPrKJi 
[12514] SET_SELL_TRIGGER,HBbyhPrKJi,KPU,9.69 
[12527] ADD,HBbyhPrKJi,43290.20 
[12761] BUY,HBbyhPrKJi,QQW,608.38 
[12991] QUOTE,HBbyhPrKJi,KLY 
[12994] ADD,HBbyhPrKJi,58725.42 
[13078] QUOTE,HBbyhPrKJi,YNH 
[13184] ADD,HBbyhPrKJi,74304.44 
[13188] CANCEL_SELL,HBbyhPrKJi 
[13306] SET_SELL_AMOUNT,HBbyhPrKJi,KES,493.01 
[13406] SET_SELL_TRIGGER,HBbyhPrKJi,KES,46.50 
[13501] ADD,HBbyhPrKJi,58850.40 
[13625] SET_BUY_AMOUNT,HBbyhPrKJi,EBS,214.73 
[13819] SET_BUY_TRIGGER,HBbyhPrKJi,YUR,138.44 
[13833] SET_BUY_AMOUNT,HBbyhPrKJi,KES,181.98 
[14014] QUOTE,HBbyhPrKJi,PIC 
[14079] COMMIT_SELL,HBbyhPrKJi 
[14161] CANCEL_SET_SELL,HBbyhPrKJi,ECL 
[14229] ADD,HBbyhPrKJi,67502.24 
[14631] QUOTE,HBbyhPrKJi,GAN 
[14705] BUY,HBbyhPrKJi,FYA,166.67 
[14875] COMMIT_BUY,HBbyhPrKJi 
[14877] SET_SELL_TRIGGER,HBbyhPrKJi,WJP,86.20 
[14958] CANCEL_SET_BUY,HBbyhPrKJi,JQG 
[14977] SELL,HBbyhPrKJi,KDA,176.67 
[15202] CANCEL_SELL,HBbyhPrKJi 
[15220] DISPLAY_SUMMARY,HBbyhPrKJi 
[15245] ADD,HBbyhPrKJi,59824.30 
[15315] QUOTE,HBbyhPrKJi,WGV 
[15320] BUY,HBbyhPrKJi,KZC,713.38 
[15772] COMMIT_BUY,HBbyhPrKJi 
[15895] DISPLAY_SUMMARY,HBbyhPrKJi 
[16203] SET_BUY_AMOUNT,HBbyhPrKJi,JRJ,63.75 
[16267] SET_BUY_TRIGGER,HBbyhPrKJi,BBD,48.80 
[16309] DISPLAY_SUMMARY,HBbyhPrKJi 
[16406] ADD,HBbyhPrKJi,49558.48 
[16522] CANCEL_SET_SELL,HBbyhPrKJi,GCL 
[16770] SELL,HBbyhPrKJi,JVT,476.00 
[16825] COMMIT_SELL,HBbyhPrKJi 
[17023] ADD,HBbyhPrKJi,72448.34 
[17142] QUOTE,HBbyhPrKJi,XBL 
[17276] DISPLAY_SUMMARY,HBbyhPrKJi 
[17385] SET_SELL_TRIGGER,HBbyhPrKJi,JMX,164.10 
[17423] SET_BUY_AMOUNT,HBbyhPrKJi,FQP,56.63 
[17523] CANCEL_SET_BUY,HBbyhPrKJi,SCW 
[17647] SET_SELL_AMOUNT,HBbyhPrKJi,JVT,191.45 
[17662] SET_SELL_TRIGGER,HBbyhPrKJi,JVT,66.22 
[17714] BUY,HBbyhPrKJi,FVS,164.51 
[17721] COMMIT_BUY,HBbyhPrKJi 
[17762] QUOTE,HBbyhPrKJi,AVI 
[17765] BUY,HBbyhPrKJi,KZQ,320.39 
[18104] COMMIT_BUY,HBbyhPrKJi 
[18137] SET_BUY_TRIGGER,HBbyhPrKJi,QBD,147.97 
[18182] ADD,HBbyhPrKJi,75430.77 
[18308] SELL,HBbyhPrKJi,GYF,339.28 
[18393] CANCEL_SELL,HBbyhPrKJi 
[18439] SET_SELL_AMOUNT,HBbyhPrKJi,FQP,617.96 
[18469] QUOTE,HBbyhPrKJi,PXX 
[18489] COMMIT_BUY,HBbyhPrKJi 
[18692] SET_SELL_TRIGGER,HBbyhPrKJi,FQP,181.75 
[18724] SET_BUY_TRIGGER,HBbyhPrKJi,DMS,122.48 
[18742] QUOTE,HBbyhPrKJi,WFR 
[18838] BUY,HBbyhPrKJi,DOI,187.24 
[18991] SET_BUY_TRIGGER,HBbyhPrKJi,VEE,111.78 
[19098] SET_SELL_TRIGGER,HBbyhPrKJi,QPX,180.68 
[19489] ADD,HBbyhPrKJi,63237.41 
[19515] QUOTE,HBbyhPrKJi,KGV 
[19517] SET_BUY_TRIGGER,HBbyhPrKJi,SJG,62.34 
[19567] CANCEL_SET_SELL,HBbyhPrKJi,ZFV 
[19996] ADD,HBbyhPrKJi,58096.63 
[20100] BUY,HBbyhPrKJi,JCQ,747.69 
[20143] CANCEL_BUY,HBbyhPrKJi 
[20223] ADD,HBbyhPrKJi,68300.53 
[20366] CANCEL_SET_SELL,HBbyhPrKJi,DES 
[20428] QUOTE,HBbyhPrKJi,WRN 
[20639] ADD,HBbyhPrKJi,82260.23 
[20643] QUOTE,HBbyhPrKJi,FWW 
[20688] QUOTE,HBbyhPrKJi,QNW 
[20841] BUY,HBbyhPrKJi,YIU,167.11 
[20936] COMMIT_BUY,HBbyhPrKJi 
[21065] ADD,HBbyhPrKJi,94226.52 
[21144] QUOTE,HBbyhPrKJi,ECI 
[21254] SET_BUY_AMOUNT,HBbyhPrKJi,FQP,727.33 
[21278] SET_BUY_TRIGGER,HBbyhPrKJi,VWU,691.50 
[21588] SET_BUY_AMOUNT,HBbyhPrKJi,QJZ,180.52 
[21733] SET_BUY_TRIGGER,HBbyhPrKJi,DJD,159.30 
[21753] SELL,HBbyhPrKJi,JCQ,201.46 
[21769] CANCEL_SELL,HBbyhPrKJi 
[21788] SET_SELL_TRIGGER,HBbyhPrKJi,IDX,38.93 
[22066] CANCEL_SET_SELL,HBbyhPrKJi,HEJ 
[22105] SET_BUY_AMOUNT,HBbyhPrKJi,QAX,536.69 
[22467] SET_BUY_TRIGGER,HBbyhPrKJi,JRJ,466.22 
[22516] DISPLAY_SUMMARY,HBbyhPrKJi 
[22524] SET_BUY_AMOUNT,HBbyhPrKJi,GYF,341.02 
[22560] CANCEL_SET_BUY,HBbyhPrKJi,EAK 
[22562] ADD,HBbyhPrKJi,61904.57 
[22588] BUY,HBbyhPrKJi,QOQ,157.97 
[22737] QUOTE,HBbyhPrKJi,PDX 
[22782] BUY,HBbyhPrKJi,ZWC,219.98 
[23018] CANCEL_BUY,HBbyhPrKJi 
[23039] SET_SELL_AMOUNT,HBbyhPrKJi,NHG,663.53 
[23313] SET_SELL_TRIGGER,HBbyhPrKJi,NHG,370.20 
[23321] SET_BUY_AMOUNT,HBbyhPrKJi,NHG,378.26 
[23446] SET_BUY_TRIGGER,HBbyhPrKJi,DMW,54.77 
[23531] SELL,HBbyhPrKJi,UTV,483.36 
[23550] COMMIT_SELL,HBbyhPrKJi 
[23563] ADD,HBbyhPrKJi,73314.44 
[23573] BUY,HBbyhPrKJi,OZO,367.54 
[23723] SELL,HBbyhPrKJi,QAX,94.62 
[23746] SET_BUY_AMOUNT,HBbyhPrKJi,KES,674.39 
[23941] SET_BUY_TRIGGER,HBbyhPrKJi,GJR,474.99 
[23956] DISPLAY_SUMMARY,HBbyhPrKJi 
[24157] SET_SELL_AMOUNT,HBbyhPrKJi,QAX,333.63 
[24206] SET_SELL_TRIGGER,HBbyhPrKJi,QAX,116.52 
[24337] SET_SELL_TRIGGER,HBbyhPrKJi,SCK,179.59 
[24384] DISPLAY_SUMMARY,HBbyhPrKJi 
[24522] ADD,HBbyhPrKJi,83015.37 
[24629] BUY,HBbyhPrKJi,ZGN,315.51 
[24723] CANCEL_BUY,HBbyhPrKJi 
[24747] SET_SELL_AMOUNT,HBbyhPrKJi,NHG,451.92 
[24798] CANCEL_SET_SELL,HBbyhPrKJi,NHG 
[24831] ADD,HBbyhPrKJi,81137.53 
[24865] QUOTE,HBbyhPrKJi,MMF 
[25078] DISPLAY_SUMMARY,HBbyhPrKJi 
[25583] SET_SELL_TRIGGER,HBbyhPrKJi,XQG,33.47 
[25697] DISPLAY_SUMMARY,HBbyhPrKJi 
[25702] DISPLAY_SUMMARY,HBbyhPrKJi 
[25792] DISPLAY_SUMMARY,HBbyhPrKJi 
[25960] QUOTE,HBbyhPrKJi,ZGC 
[25968] ADD,HBbyhPrKJi,99586.74 
[26085] SET_SELL_TRIGGER,HBbyhPrKJi,IRQ,49.74 
[26215] ADD,HBbyhPrKJi,89417.20 
[26245] QUOTE,HBbyhPrKJi,OEX 
[26286] QUOTE,HBbyhPrKJi,GYT 
[26305] SET_BUY_TRIGGER,HBbyhPrKJi,XQG,159.21 
[26310] BUY,HBbyhPrKJi,IPH,738.74 
[26329] COMMIT_BUY,HBbyhPrKJi 
[26335] SET_SELL_AMOUNT,HBbyhPrKJi,KES,570.42 
[26348] SET_SELL_TRIGGER,HBbyhPrKJi,KES,559.23 
[26365] SET_SELL_AMOUNT,HBbyhPrKJi,QJZ,733.72 
[26367] CANCEL_SET_SELL,HBbyhPrKJi,QJZ 
[26432] SET_SELL_AMOUNT,HBbyhPrKJi,QAX,415.94 
[26766] SET_SELL_TRIGGER,HBbyhPrKJi,QAX,103.56 
[26829] DISPLAY_SUMMARY,HBbyhPrKJi 
[26876] SET_SELL_TRIGGER,HBbyhPrKJi,FVS,64.71 
[26894] DISPLAY_SUMMARY,HBbyhPrKJi 
[26960] SET_BUY_TRIGGER,HBbyhPrKJi,MWM,4.67 
[27076] ADD,HBbyhPrKJi,104531.48 
[27100] BUY,HBbyhPrKJi,ZCO,13.14 
[27102] COMMIT_BUY,HBbyhPrKJi 
[27242] ADD,HBbyhPrKJi,60301.19 
[27277] CANCEL_SELL,HBbyhPrKJi 
[27374] QUOTE,HBbyhPrKJi,BHJ 
[27386] DISPLAY_SUMMARY,HBbyhPrKJi 
[27455] ADD,HBbyhPrKJi,58500.00 
[27518] CANCEL_SELL,HBbyhPrKJi 
[27923] SELL,HBbyhPrKJi,KES,544.80 
[27998] COMMIT_SELL,HBbyhPrKJi 
[28039] DISPLAY_SUMMARY,HBbyhPrKJi 
[28051] SET_SELL_TRIGGER,HBbyhPrKJi,GNY,185.15 
[28102] SET_SELL_AMOUNT,HBbyhPrKJi,KES,230.76 
[28119] CANCEL_SET_SELL,HBbyhPrKJi,KES 
[28153] ADD,HBbyhPrKJi,61396.81 
[28267] BUY,HBbyhPrKJi,DJD,76.41 
[28374] COMMIT_BUY,HBbyhPrKJi 
[28543] SET_SELL_TRIGGER,HBbyhPrKJi,PFK,56.61 
[28905] COMMIT_BUY,HBbyhPrKJi 
[29030] SELL,HBbyhPrKJi,OEY,457.55 
[29075] QUOTE,HBbyhPrKJi,VOY 
[29338] QUOTE,HBbyhPrKJi,PJW 
[29350] SET_BUY_AMOUNT,HBbyhPrKJi,NHG,734.78 
[29433] SET_BUY_TRIGGER,HBbyhPrKJi,CMD,464.71 
[29440] CANCEL_SELL,HBbyhPrKJi 
[29479] SELL,HBbyhPrKJi,JCQ,273.89 
[29581] COMMIT_SELL,HBbyhPrKJi 
[29631] DISPLAY_SUMMARY,HBbyhPrKJi 
[29737] ADD,HBbyhPrKJi,64185.98 
[29760] BUY,HBbyhPrKJi,WUL,128.36 
[29792] COMMIT_BUY,HBbyhPrKJi 
[29942] BUY,HBbyhPrKJi,GAN,297.73 
[29961] COMMIT_BUY,HBbyhPrKJi 
[30250] ADD,HBbyhPrKJi,54858.66 
[30281] BUY,HBbyhPrKJi,YEH,179.76 
[30300] COMMIT_BUY,HBbyhPrKJi 
[30458] SET_BUY_TRIGGER,HBbyhPrKJi,ZJG,27.38 
[30542] SET_SELL_AMOUNT,HBbyhPrKJi,UTV,665.21 
[30774] SET_SELL_TRIGGER,HBbyhPrKJi,UTV,250.41 
[30877] DISPLAY_SUMMARY,HBbyhPrKJi 
[30905] DISPLAY_SUMMARY,HBbyhPrKJi 
[30964] SET_SELL_TRIGGER,HBbyhPrKJi,SAR,127.95 
[31163] SET_BUY_TRIGGER,HBbyhPrKJi,YGK,194.29 
[31199] CANCEL_SELL,HBbyhPrKJi 
[31360] ADD,HBbyhPrKJi,46081.73 
[31550] BUY,HBbyhPrKJi,YEH,409.03 
[31584] COMMIT_BUY,HBbyhPrKJi 
[31620] BUY,HBbyhPrKJi,GHE,479.77 
[31624] SET_SELL_AMOUNT,HBbyhPrKJi,UTV,183.84 
[31696] SET_SELL_TRIGGER,HBbyhPrKJi,UTV,142.52 
[31774] SET_BUY_AMOUNT,HBbyhPrKJi,XXQ,734.77 
[31784] QUOTE,HBbyhPrKJi,JPD 
[31841] BUY,HBbyhPrKJi,GED,486.31 
[31959] COMMIT_BUY,HBbyhPrKJi 
[32088] ADD,HBbyhPrKJi,86709.23 
[32184] BUY,HBbyhPrKJi,HIN,6.79 
[32370] COMMIT_BUY,HBbyhPrKJi 
[32384] SET_SELL_TRIGGER,HBbyhPrKJi,HZA,195.77 
[32607] COMMIT_SELL,HBbyhPrKJi 
[32612] DISPLAY_SUMMARY,HBbyhPrKJi 
[32644] SET_BUY_AMOUNT,HBbyhPrKJi,UTV,287.69 
[32651] SET_BUY_TRIGGER,HBbyhPrKJi,UUJ,39.06 
[32685] SELL,HBbyhPrKJi,JCQ,104.46 
[32752] BUY,HBbyhPrKJi,JTY,189.12 
[33234] SET_SELL_TRIGGER,HBbyhPrKJi,AED,172.32 
[33451] SELL,HBbyhPrKJi,DFE,352.15 
[33581] SET_SELL_TRIGGER,HBbyhPrKJi,RRZ,149.86 
[33699] SELL,HBbyhPrKJi,KDA,164.34 
[33748] COMMIT_SELL,HBbyhPrKJi 
[33779] DISPLAY_SUMMARY,HBbyhPrKJi 
[34116] SET_BUY_TRIGGER,HBbyhPrKJi,GIK,66.06 
[34149] ADD,HBbyhPrKJi,84218.63 
[34164] QUOTE,HBbyhPrKJi,DRO 
[34179] BUY,HBbyhPrKJi,AJR,18.52 
[34225] CANCEL_SET_BUY,HBbyhPrKJi,CCH 
[34303] CANCEL_SET_SELL,HBbyhPrKJi,OIY 
[34449] SET_SELL_TRIGGER,HBbyhPrKJi,CXW,81.47 
[34501] COMMIT_BUY,HBbyhPrKJi 
[34778] CANCEL_SELL,HBbyhPrKJi 
[34782] DISPLAY_SUMMARY,HBbyhPrKJi 
[34872] DISPLAY_SUMMARY,HBbyhPrKJi 
[35026] QUOTE,HBbyhPrKJi,GDF 
[35078] SET_BUY_TRIGGER,HBbyhPrKJi,ALV,62.21 
[35286] DISPLAY_SUMMARY,HBbyhPrKJi 
[35456] SET_SELL_AMOUNT,HBbyhPrKJi,UTV,254.73 
[35501] DISPLAY_SUMMARY,HBbyhPrKJi 
[35600] DISPLAY_SUMMARY,HBbyhPrKJi 
[35689] ADD,HBbyhPrKJi,72130.47 
[35804] COMMIT_BUY,HBbyhPrKJi 
[35810] SET_BUY_TRIGGER,HBbyhPrKJi,RUN,1.09 
[35817] CANCEL_SET_SELL,HBbyhPrKJi,UTV 
[35966] CANCEL_SET_SELL,HBbyhPrKJi,MHR 
[35994] SET_BUY_AMOUNT,HBbyhPrKJi,JVT,632.49 
[36033] SET_BUY_TRIGGER,HBbyhPrKJi,GCW,211.08 
[36073] SET_SELL_TRIGGER,HBbyhPrKJi,GZU,155.78 
[36084] BUY,HBbyhPrKJi,GRM,376.52 
[36247] COMMIT_BUY,HBbyhPrKJi 
[36322] DISPLAY_SUMMARY,HBbyhPrKJi 
[36528] ADD,HBbyhPrKJi,85238.86 
[36535] CANCEL_SET_BUY,HBbyhPrKJi,ZWZ 
[36613] ADD,HBbyhPrKJi,86720.31 
[36672] BUY,HBbyhPrKJi,PXS,289.64 
[36771] CANCEL_BUY,HBbyhPrKJi 
[36882] SET_BUY_TRIGGER,HBbyhPrKJi,ALV,66.77 
[36902] SET_BUY_AMOUNT,HBbyhPrKJi,CUZ,230.05 
[37052] SELL,HBbyhPrKJi,BCQ,501.30 
[37082] COMMIT_BUY,HBbyhPrKJi 
[37133] COMMIT_SELL,HBbyhPrKJi 
[37143] DISPLAY_SUMMARY,HBbyhPrKJi 
[37207] QUOTE,HBbyhPrKJi,DES 
[37295] CANCEL_SET_BUY,HBbyhPrKJi,WKL 
[37575] SET_SELL_AMOUNT,HBbyhPrKJi,JVT,604.56 
[37700] SET_SELL_TRIGGER,HBbyhPrKJi,JVT,239.28 
[37973] SELL,HBbyhPrKJi,QAX,119.46 
[38035] COMMIT_SELL,HBbyhPrKJi 
[38061] SET_BUY_AMOUNT,HBbyhPrKJi,GYF,517.43 
[38196] SET_BUY_TRIGGER,HBbyhPrKJi,ZWZ,363.91 
[38202] DISPLAY_SUMMARY,HBbyhPrKJi 
[38239] DISPLAY_SUMMARY,HBbyhPrKJi 
[38299] ADD,HBbyhPrKJi,106546.97 
[38350] BUY,HBbyhPrKJi,YXK,344.43 
[38365] COMMIT_BUY,HBbyhPrKJi 
[38441] SET_SELL_TRIGGER,HBbyhPrKJi,MFX,145.02 
[38477] SET_SELL_TRIGGER,HBbyhPrKJi,EGX,45.48 
[38504] QUOTE,HBbyhPrKJi,GPC 
[38557] QUOTE,HBbyhPrKJi,GZQ 
[38718] SET_BUY_TRIGGER,HBbyhPrKJi,IFI,78.13 
[38786] SELL,HBbyhPrKJi,DFE,1.89 
[38871] CANCEL_SELL,HBbyhPrKJi 
[38883] QUOTE,HBbyhPrKJi,YDS 
[38968] SET_BUY_TRIGGER,HBbyhPrKJi,CMA,154.00 
[38995] ADD,HBbyhPrKJi,77539.39 
[39293] BUY,HBbyhPrKJi,CMA,332.56 
[39304] CANCEL_SET_SELL,HBbyhPrKJi,WBL 
[39399] CANCEL_SET_BUY,HBbyhPrKJi,NJI 
[39413] SELL,HBbyhPrKJi,BCQ,278.15 
[39498] COMMIT_SELL,HBbyhPrKJi 
[39524] QUOTE,HBbyhPrKJi,JRY 
[39719] SET_BUY_TRIGGER,HBbyhPrKJi,VQA,57.87 
[40027] SET_SELL_TRIGGER,HBbyhPrKJi,CBX,165.10 
[40342] DISPLAY_SUMMARY,HBbyhPrKJi 
[40349] DISPLAY_SUMMARY,HBbyhPrKJi 
[40350] SET_BUY_AMOUNT,HBbyhPrKJi,FQP,583.02 
[40669] SET_BUY_TRIGGER,HBbyhPrKJi,QVK,362.82 
[40734] CANCEL_BUY,HBbyhPrKJi 
[40742] ADD,HBbyhPrKJi,84922.99 
[40776] QUOTE,HBbyhPrKJi,PBV 
[40866] SET_BUY_AMOUNT,HBbyhPrKJi,JVT,346.69 
[41040] SET_BUY_TRIGGER,HBbyhPrKJi,OZT,200.78 
[41176] SET_BUY_AMOUNT,HBbyhPrKJi,LFU,149.37 
[41214] DISPLAY_SUMMARY,HBbyhPrKJi 
[41282] SET_SELL_AMOUNT,HBbyhPrKJi,RUN,282.52 
[41425] SET_SELL_TRIGGER,HBbyhPrKJi,RUN,61.45 
[41441] CANCEL_SET_SELL,HBbyhPrKJi,LPR 
[41554] SET_BUY_TRIGGER,HBbyhPrKJi,AQO,81.60 
[41619] SET_BUY_AMOUNT,HBbyhPrKJi,EBS,624.54 
[41633] SET_BUY_TRIGGER,HBbyhPrKJi,ZRJ,599.10 
[41658] SET_SELL_TRIGGER,HBbyhPrKJi,VIG,151.01 
[41994] ADD,HBbyhPrKJi,54576.07 
[42035] QUOTE,HBbyhPrKJi,RFI 
[42133] BUY,HBbyhPrKJi,SXB,588.49 
[42135] QUOTE,HBbyhPrKJi,WYD 
[42201] SET_SELL_TRIGGER,HBbyhPrKJi,ZOT,97.76 
[42259] DISPLAY_SUMMARY,HBbyhPrKJi 
[42345] SET_SELL_AMOUNT,HBbyhPrKJi,DFE,178.42 
[42432] SET_SELL_TRIGGER,HBbyhPrKJi,DFE,24.65 
[42456] SET_BUY_TRIGGER,HBbyhPrKJi,BUL,179.02 
[42551] SET_SELL_TRIGGER,HBbyhPrKJi,QID,53.18 
[42696] DISPLAY_SUMMARY,HBbyhPrKJi 
[42907] SET_SELL_AMOUNT,HBbyhPrKJi,XXQ,457.99 
[42913] SET_SELL_TRIGGER,HBbyhPrKJi,XXQ,145.29 
[42997] BUY,HBbyhPrKJi,FSD,600.41 
[43026] COMMIT_BUY,HBbyhPrKJi 
[43106] SELL,HBbyhPrKJi,EBS,247.67 
[43211] COMMIT_SELL,HBbyhPrKJi 
[43330] BUY,HBbyhPrKJi,UXP,134.64 
[43388] CANCEL_SELL,HBbyhPrKJi 
