[62] ADD,p876fU7BEx,69684.38 
[9444] BUY,p876fU7BEx,OPN,515.55 
[9681] BUY,p876fU7BEx,NJI,112.65 
[9764] COMMIT_BUY,p876fU7BEx 
[9817] SET_SELL_AMOUNT,p876fU7BEx,EBS,403.26 
[9914] CANCEL_SET_SELL,p876fU7BEx,EBS 
[9994] SET_SELL_TRIGGER,p876fU7BEx,YIQ,12.18 
[10025] SET_SELL_AMOUNT,p876fU7BEx,QJZ,344.32 
[10076] CANCEL_SET_SELL,p876fU7BEx,QJZ 
[10406] ADD,p876fU7BEx,44373.59 
[10431] QUOTE,p876fU7BEx,WQE 
[10505] COMMIT_BUY,p876fU7BEx 
[10627] SELL,p876fU7BEx,JRJ,52.76 
[10814] CANCEL_SET_BUY,p876fU7BEx,MDZ 
[10945] DISPLAY_SUMMARY,p876fU7BEx 
[11195] SELL,p876fU7BEx,JRJ,542.96 
[11235] ADD,p876fU7BEx,78153.81 
[11242] QUOTE,p876fU7BEx,LEA 
[11412] QUOTE,p876fU7BEx,SYN 
[11415] BUY,p876fU7BEx,XFA,734.71 
[11418] SET_SELL_TRIGGER,p876fU7BEx,YDD,105.66 
[11420] SET_BUY_AMOUNT,p876fU7BEx,QJZ,35.92 
[11465] SET_BUY_TRIGGER,p876fU7BEx,NLT,9.98 
[11481] DISPLAY_SUMMARY,p876fU7BEx 
[11593] SET_BUY_AMOUNT,p876fU7BEx,QJZ,150.21 
[11598] SET_BUY_TRIGGER,p876fU7BEx,IIX,41.85 
[11749] ADD,p876fU7BEx,74801.82 
[11972] QUOTE,p876fU7BEx,GMS 
[12064] QUOTE,p876fU7BEx,BEC 
[12273] QUOTE,p876fU7BEx,JXW 
[12279] SET_SELL_TRIGGER,p876fU7BEx,EWP,73.53 
[12469] QUOTE,p876fU7BEx,JVE 
[12725] BUY,p876fU7BEx,PSJ,476.65 
[12819] CANCEL_SELL,p876fU7BEx 
[12903] QUOTE,p876fU7BEx,WQC 
[13257] SELL,p876fU7BEx,JVT,658.30 
[13336] COMMIT_SELL,p876fU7BEx 
[13340] SELL,p876fU7BEx,JVT,17.27 
[13388] QUOTE,p876fU7BEx,MLT 
[13398] BUY,p876fU7BEx,ZUV,395.71 
[13446] CANCEL_BUY,p876fU7BEx 
[13614] ADD,p876fU7BEx,38885.61 
[13632] BUY,p876fU7BEx,VIG,249.65 
[13643] QUOTE,p876fU7BEx,WBX 
[13916] DISPLAY_SUMMARY,p876fU7BEx 
[13937] BUY,p876fU7BEx,CXW,457.32 
[14121] COMMIT_BUY,p876fU7BEx 
[14185] SELL,p876fU7BEx,JCQ,236.33 
[14239] QUOTE,p876fU7BEx,GYT 
[14513] QUOTE,p876fU7BEx,YTO 
[14543] QUOTE,p876fU7BEx,ATE 
[14618] DISPLAY_SUMMARY,p876fU7BEx 
[14636] SET_SELL_AMOUNT,p876fU7BEx,EBS,453.37 
[14790] SET_SELL_TRIGGER,p876fU7BEx,EBS,218.94 
[14826] ADD,p876fU7BEx,65285.43 
[14880] BUY,p876fU7BEx,VYQ,368.88 
[15073] COMMIT_BUY,p876fU7BEx 
[15463] DISPLAY_SUMMARY,p876fU7BEx 
[15476] ADD,p876fU7BEx,40189.59 
[15537] QUOTE,p876fU7BEx,JPP 
[15561] QUOTE,p876fU7BEx,NVN 
[15609] SET_SELL_TRIGGER,p876fU7BEx,OEX,59.30 
[15644] BUY,p876fU7BEx,GPC,242.30 
[15751] BUY,p876fU7BEx,OZT,443.41 
[15754] COMMIT_BUY,p876fU7BEx 
[15932] DISPLAY_SUMMARY,p876fU7BEx 
[15950] SET_SELL_AMOUNT,p876fU7BEx,KES,332.33 
[16113] DISPLAY_SUMMARY,p876fU7BEx 
[16284] ADD,p876fU7BEx,62036.59 
[16304] QUOTE,p876fU7BEx,FUR 
[16424] SET_BUY_TRIGGER,p876fU7BEx,RUN,91.77 
[16476] SET_SELL_TRIGGER,p876fU7BEx,KES,293.70 
[16589] SET_SELL_AMOUNT,p876fU7BEx,KES,603.80 
[16920] SET_SELL_TRIGGER,p876fU7BEx,KES,355.03 
[16924] DISPLAY_SUMMARY,p876fU7BEx 
[17011] CANCEL_SET_BUY,p876fU7BEx,KHY 
[17095] DISPLAY_SUMMARY,p876fU7BEx 
[17106] SELL,p876fU7BEx,KES,581.29 
[17322] COMMIT_SELL,p876fU7BEx 
[17544] BUY,p876fU7BEx,PXX,124.03 
[17587] ADD,p876fU7BEx,81925.37 
[17612] QUOTE,p876fU7BEx,MOM 
[17624] SET_SELL_TRIGGER,p876fU7BEx,FTB,97.54 
[17708] BUY,p876fU7BEx,SQS,398.96 
[17788] COMMIT_BUY,p876fU7BEx 
[18145] ADD,p876fU7BEx,76979.37 
[18200] QUOTE,p876fU7BEx,KXF 
[18376] BUY,p876fU7BEx,IOY,429.64 
[18500] COMMIT_SELL,p876fU7BEx 
[18531] SET_SELL_TRIGGER,p876fU7BEx,IJO,17.29 
[18579] CANCEL_SET_BUY,p876fU7BEx,PBV 
[18624] QUOTE,p876fU7BEx,NXF 
[18659] COMMIT_BUY,p876fU7BEx 
[18744] SELL,p876fU7BEx,JCQ,718.20 
[18904] COMMIT_SELL,p876fU7BEx 
[18908] SET_SELL_TRIGGER,p876fU7BEx,XPX,35.44 
[18986] SET_BUY_TRIGGER,p876fU7BEx,LPS,163.10 
[19133] ADD,p876fU7BEx,64013.37 
[19193] CANCEL_SET_SELL,p876fU7BEx,WXV 
[19306] SET_SELL_TRIGGER,p876fU7BEx,LGL,170.88 
[19335] SET_SELL_AMOUNT,p876fU7BEx,GYF,269.02 
[19479] CANCEL_SET_SELL,p876fU7BEx,GYF 
[19558] CANCEL_SELL,p876fU7BEx 
[19598] SELL,p876fU7BEx,FQP,14.92 
[19650] SET_BUY_TRIGGER,p876fU7BEx,BHJ,160.18 
[19702] SET_SELL_AMOUNT,p876fU7BEx,FQP,575.67 
[19762] SET_SELL_TRIGGER,p876fU7BEx,FQP,103.32 
[19795] SET_BUY_TRIGGER,p876fU7BEx,DJD,123.93 
[19823] ADD,p876fU7BEx,68222.07 
[19842] BUY,p876fU7BEx,JNO,375.07 
[19890] COMMIT_BUY,p876fU7BEx 
[19901] ADD,p876fU7BEx,58844.66 
[19943] QUOTE,p876fU7BEx,JMX 
[20027] BUY,p876fU7BEx,LZV,417.25 
[20075] COMMIT_BUY,p876fU7BEx 
[20110] BUY,p876fU7BEx,OYS,293.59 
[20126] COMMIT_SELL,p876fU7BEx 
[20131] DISPLAY_SUMMARY,p876fU7BEx 
[20342] DISPLAY_SUMMARY,p876fU7BEx 
[20571] DISPLAY_SUMMARY,p876fU7BEx 
[20640] SET_SELL_AMOUNT,p876fU7BEx,ZAN,741.36 
[20648] SET_SELL_TRIGGER,p876fU7BEx,ZAN,124.49 
[20725] QUOTE,p876fU7BEx,RKY 
[20769] QUOTE,p876fU7BEx,OXK 
[20804] BUY,p876fU7BEx,TFZ,105.19 
[20986] CANCEL_BUY,p876fU7BEx 
[21107] SET_BUY_AMOUNT,p876fU7BEx,GYF,102.73 
[21482] SET_BUY_TRIGGER,p876fU7BEx,VNF,74.12 
[21483] BUY,p876fU7BEx,DBT,237.81 
[21529] COMMIT_BUY,p876fU7BEx 
[21548] ADD,p876fU7BEx,82033.51 
[21556] QUOTE,p876fU7BEx,NDJ 
[21610] BUY,p876fU7BEx,YMG,335.43 
[21628] CANCEL_SET_BUY,p876fU7BEx,MHR 
[21641] SET_BUY_TRIGGER,p876fU7BEx,VOU,69.22 
[21846] CANCEL_SET_SELL,p876fU7BEx,EED 
[21851] ADD,p876fU7BEx,64745.13 
[21955] QUOTE,p876fU7BEx,JZJ 
[22008] CANCEL_SELL,p876fU7BEx 
[22120] CANCEL_SET_SELL,p876fU7BEx,SQI 
[22278] SET_BUY_TRIGGER,p876fU7BEx,URD,79.98 
[22380] SET_SELL_AMOUNT,p876fU7BEx,EBS,311.85 
[22407] SET_SELL_TRIGGER,p876fU7BEx,EBS,261.22 
[22751] SET_SELL_TRIGGER,p876fU7BEx,AUT,83.41 
[22760] ADD,p876fU7BEx,78235.28 
[22818] SET_SELL_AMOUNT,p876fU7BEx,LFU,160.49 
[22841] QUOTE,p876fU7BEx,DXQ 
[22980] BUY,p876fU7BEx,GDF,444.18 
[23149] COMMIT_SELL,p876fU7BEx 
[23276] ADD,p876fU7BEx,52750.11 
[23572] QUOTE,p876fU7BEx,DMW 
[23574] SET_BUY_TRIGGER,p876fU7BEx,SFO,161.32 
[23930] ADD,p876fU7BEx,62751.13 
[24011] BUY,p876fU7BEx,HSJ,110.97 
[24053] SELL,p876fU7BEx,ZAN,598.10 
[24107] COMMIT_BUY,p876fU7BEx 
[24120] SET_BUY_AMOUNT,p876fU7BEx,CUZ,238.29 
[24282] SET_BUY_TRIGGER,p876fU7BEx,IJO,52.21 
[24291] BUY,p876fU7BEx,LUD,144.93 
[24315] COMMIT_BUY,p876fU7BEx 
[24476] ADD,p876fU7BEx,31929.93 
[24625] QUOTE,p876fU7BEx,DLX 
[24788] QUOTE,p876fU7BEx,SON 
[24975] COMMIT_BUY,p876fU7BEx 
[25011] DISPLAY_SUMMARY,p876fU7BEx 
[25072] CANCEL_SET_BUY,p876fU7BEx,TJL 
[25084] ADD,p876fU7BEx,64621.96 
[25129] ADD,p876fU7BEx,82966.18 
[25246] COMMIT_BUY,p876fU7BEx 
[25297] SET_BUY_AMOUNT,p876fU7BEx,UTV,436.29 
[25430] SET_BUY_TRIGGER,p876fU7BEx,VVO,79.65 
[25434] SET_SELL_AMOUNT,p876fU7BEx,GYF,166.90 
[25860] CANCEL_SET_SELL,p876fU7BEx,GYF 
[25937] DISPLAY_SUMMARY,p876fU7BEx 
[25940] ADD,p876fU7BEx,55998.56 
[25982] BUY,p876fU7BEx,ALV,722.87 
[26004] COMMIT_BUY,p876fU7BEx 
[26261] QUOTE,p876fU7BEx,KCS 
[26266] QUOTE,p876fU7BEx,JFJ 
[26285] CANCEL_SELL,p876fU7BEx 
[26318] COMMIT_BUY,p876fU7BEx 
[26341] SET_BUY_TRIGGER,p876fU7BEx,GJR,148.83 
[26379] DISPLAY_SUMMARY,p876fU7BEx 
[26404] QUOTE,p876fU7BEx,GTX 
[26659] BUY,p876fU7BEx,QXW,461.87 
[26714] COMMIT_BUY,p876fU7BEx 
[26733] SET_SELL_TRIGGER,p876fU7BEx,KNM,150.63 
[26814] SET_BUY_TRIGGER,p876fU7BEx,XTH,34.31 
[26980] ADD,p876fU7BEx,87944.67 
[26985] QUOTE,p876fU7BEx,CXN 
[26994] QUOTE,p876fU7BEx,SYN 
[27056] SET_BUY_AMOUNT,p876fU7BEx,GYF,576.15 
[27088] CANCEL_SET_BUY,p876fU7BEx,BLC 
[27254] QUOTE,p876fU7BEx,LAW 
[27432] ADD,p876fU7BEx,70432.33 
[27667] SET_SELL_AMOUNT,p876fU7BEx,EBS,185.92 
[27672] DISPLAY_SUMMARY,p876fU7BEx 
[27711] ADD,p876fU7BEx,57941.74 
[27904] BUY,p876fU7BEx,JZJ,63.79 
[28014] SET_BUY_TRIGGER,p876fU7BEx,AQO,35.85 
[28059] SET_BUY_AMOUNT,p876fU7BEx,QJZ,93.98 
[28224] SET_BUY_TRIGGER,p876fU7BEx,OGR,11.05 
[28518] ADD,p876fU7BEx,101602.87 
[28587] BUY,p876fU7BEx,XFA,655.00 
[28609] COMMIT_BUY,p876fU7BEx 
[28654] ADD,p876fU7BEx,81110.84 
[28679] SET_BUY_AMOUNT,p876fU7BEx,NHG,486.64 
[28911] SET_BUY_TRIGGER,p876fU7BEx,FUF,344.82 
[28915] CANCEL_SET_BUY,p876fU7BEx,QTU 
[29072] ADD,p876fU7BEx,59778.20 
[29211] QUOTE,p876fU7BEx,FRB 
[29496] ADD,p876fU7BEx,52286.47 
[29498] BUY,p876fU7BEx,KVJ,138.08 
[29668] COMMIT_BUY,p876fU7BEx 
[29745] QUOTE,p876fU7BEx,VKP 
[29952] BUY,p876fU7BEx,ZAN,323.46 
[29977] DISPLAY_SUMMARY,p876fU7BEx 
[30004] BUY,p876fU7BEx,SYE,408.79 
[30191] COMMIT_BUY,p876fU7BEx 
[30219] QUOTE,p876fU7BEx,USW 
[30285] SET_BUY_TRIGGER,p876fU7BEx,CMA,93.65 
[30337] DISPLAY_SUMMARY,p876fU7BEx 
[30340] SET_BUY_TRIGGER,p876fU7BEx,MKE,31.85 
[30427] SET_SELL_AMOUNT,p876fU7BEx,JRJ,293.60 
[30475] SET_SELL_TRIGGER,p876fU7BEx,JRJ,251.75 
[30558] CANCEL_SET_BUY,p876fU7BEx,IPH 
[30614] ADD,p876fU7BEx,60347.26 
[30737] BUY,p876fU7BEx,VJV,124.20 
[30811] CANCEL_SET_BUY,p876fU7BEx,ZYF 
[30900] SET_SELL_AMOUNT,p876fU7BEx,JCQ,401.73 
[30961] SET_SELL_TRIGGER,p876fU7BEx,JCQ,374.34 
[30997] SET_SELL_AMOUNT,p876fU7BEx,QJZ,351.17 
[31028] BUY,p876fU7BEx,CIP,340.62 
[31036] DISPLAY_SUMMARY,p876fU7BEx 
[31092] SET_BUY_TRIGGER,p876fU7BEx,HFI,41.18 
[31110] SELL,p876fU7BEx,LFU,620.61 
[31147] SET_SELL_AMOUNT,p876fU7BEx,GYF,453.15 
[31206] CANCEL_SET_SELL,p876fU7BEx,GYF 
[31237] ADD,p876fU7BEx,70173.88 
[31297] QUOTE,p876fU7BEx,IGI 
[31445] BUY,p876fU7BEx,MOF,415.35 
[31484] COMMIT_SELL,p876fU7BEx 
[31837] SELL,p876fU7BEx,QAX,28.55 
[32022] CANCEL_SELL,p876fU7BEx 
[32064] BUY,p876fU7BEx,GPW,260.14 
[32076] QUOTE,p876fU7BEx,MLU 
[32118] BUY,p876fU7BEx,PUN,389.44 
[32179] COMMIT_BUY,p876fU7BEx 
[32255] DISPLAY_SUMMARY,p876fU7BEx 
[32412] CANCEL_SELL,p876fU7BEx 
[32422] ADD,p876fU7BEx,62099.38 
[32428] COMMIT_SELL,p876fU7BEx 
[32540] BUY,p876fU7BEx,XFH,324.80 
[32580] ADD,p876fU7BEx,80428.68 
[32742] QUOTE,p876fU7BEx,CGW 
[32812] QUOTE,p876fU7BEx,ZNL 
[33042] SET_SELL_TRIGGER,p876fU7BEx,ZUV,2.71 
[33043] DISPLAY_SUMMARY,p876fU7BEx 
[33129] DISPLAY_SUMMARY,p876fU7BEx 
[33223] ADD,p876fU7BEx,61689.24 
[33383] CANCEL_SET_SELL,p876fU7BEx,MVQ 
[33548] DISPLAY_SUMMARY,p876fU7BEx 
[33715] SELL,p876fU7BEx,LFU,695.58 
[33869] COMMIT_SELL,p876fU7BEx 
[34144] SET_BUY_TRIGGER,p876fU7BEx,XOL,31.45 
[34166] SELL,p876fU7BEx,BYA,64.00 
[34335] COMMIT_SELL,p876fU7BEx 
[34419] QUOTE,p876fU7BEx,PSJ 
[34811] BUY,p876fU7BEx,HNW,231.37 
[34927] COMMIT_BUY,p876fU7BEx 
[34975] DISPLAY_SUMMARY,p876fU7BEx 
[35037] SET_BUY_TRIGGER,p876fU7BEx,CDF,113.79 
[35062] SELL,p876fU7BEx,LFU,442.02 
[35074] SET_BUY_AMOUNT,p876fU7BEx,ZAN,737.10 
[35164] SET_BUY_TRIGGER,p876fU7BEx,GRD,380.83 
[35460] DISPLAY_SUMMARY,p876fU7BEx 
[35468] DISPLAY_SUMMARY,p876fU7BEx 
[35524] QUOTE,p876fU7BEx,ULL 
[35877] BUY,p876fU7BEx,PPY,500.98 
[35920] COMMIT_BUY,p876fU7BEx 
[36106] SELL,p876fU7BEx,FQP,95.33 
[36133] COMMIT_SELL,p876fU7BEx 
[36332] SET_BUY_AMOUNT,p876fU7BEx,ZYR,71.78 
[36345] SET_BUY_TRIGGER,p876fU7BEx,IKK,67.69 
[36394] SELL,p876fU7BEx,DFE,200.49 
[36456] COMMIT_SELL,p876fU7BEx 
[36460] SET_SELL_TRIGGER,p876fU7BEx,LSK,111.50 
[36497] SET_SELL_AMOUNT,p876fU7BEx,DFE,487.03 
[36611] QUOTE,p876fU7BEx,AHO 
[36790] BUY,p876fU7BEx,BBD,619.55 
[36883] SET_SELL_AMOUNT,p876fU7BEx,BCQ,546.18 
[37017] QUOTE,p876fU7BEx,VKB 
[37119] SET_BUY_TRIGGER,p876fU7BEx,JZJ,139.56 
[37274] DISPLAY_SUMMARY,p876fU7BEx 
[37498] QUOTE,p876fU7BEx,NTB 
[37668] BUY,p876fU7BEx,NDD,387.24 
[37682] QUOTE,p876fU7BEx,XLK 
[37728] BUY,p876fU7BEx,LSM,244.21 
[37752] COMMIT_BUY,p876fU7BEx 
[37826] SET_BUY_TRIGGER,p876fU7BEx,YGK,30.79 
[37894] SET_SELL_AMOUNT,p876fU7BEx,CUZ,589.41 
[37936] SET_SELL_TRIGGER,p876fU7BEx,CUZ,229.06 
[38054] QUOTE,p876fU7BEx,ALG 
[38364] ADD,p876fU7BEx,79499.30 
[38517] CANCEL_SET_SELL,p876fU7BEx,PXY 
[38819] SET_SELL_TRIGGER,p876fU7BEx,ZLY,57.49 
[38920] SET_BUY_AMOUNT,p876fU7BEx,BCQ,627.76 
[38944] SET_BUY_TRIGGER,p876fU7BEx,IGI,20.39 
[39015] BUY,p876fU7BEx,JJW,531.49 
[39021] COMMIT_BUY,p876fU7BEx 
[39042] SET_SELL_AMOUNT,p876fU7BEx,UTV,606.05 
[39065] CANCEL_SET_SELL,p876fU7BEx,UTV 
[39166] SET_BUY_TRIGGER,p876fU7BEx,UDM,143.30 
[39251] ADD,p876fU7BEx,94929.08 
[39337] BUY,p876fU7BEx,KES,119.21 
[39349] SET_BUY_AMOUNT,p876fU7BEx,RGH,54.59 
[39361] SET_BUY_TRIGGER,p876fU7BEx,XAB,2.25 
[39375] ADD,p876fU7BEx,68929.94 
[39383] BUY,p876fU7BEx,YXK,324.48 
[39390] SET_SELL_AMOUNT,p876fU7BEx,ZTI,449.05 
[39494] CANCEL_SET_SELL,p876fU7BEx,ZTI 
[39570] QUOTE,p876fU7BEx,XER 
[39788] BUY,p876fU7BEx,QJZ,342.08 
[39795] COMMIT_BUY,p876fU7BEx 
[39814] SET_SELL_AMOUNT,p876fU7BEx,JCQ,608.23 
[39854] SET_SELL_TRIGGER,p876fU7BEx,JCQ,41.29 
[39870] ADD,p876fU7BEx,57616.58 
[40281] QUOTE,p876fU7BEx,KLY 
[40297] ADD,p876fU7BEx,54255.21 
[40301] QUOTE,p876fU7BEx,JEO 
[40416] CANCEL_SET_BUY,p876fU7BEx,QJZ 
[40550] SET_BUY_AMOUNT,p876fU7BEx,FQP,240.66 
[40676] SET_BUY_TRIGGER,p876fU7BEx,SOT,121.08 
[40910] BUY,p876fU7BEx,UMN,86.20 
[41138] COMMIT_BUY,p876fU7BEx 
[41388] SELL,p876fU7BEx,ZTI,510.80 
[41541] CANCEL_SELL,p876fU7BEx 
[41685] SET_SELL_TRIGGER,p876fU7BEx,RUN,155.21 
[41837] SET_BUY_TRIGGER,p876fU7BEx,NIR,145.74 
[41916] DISPLAY_SUMMARY,p876fU7BEx 
[41932] DISPLAY_SUMMARY,p876fU7BEx 
[42008] SELL,p876fU7BEx,KDA,401.75 
[42330] SET_SELL_AMOUNT,p876fU7BEx,XXQ,688.40 
[42426] SET_SELL_TRIGGER,p876fU7BEx,XXQ,412.91 
[42446] ADD,p876fU7BEx,43697.29 
[42464] BUY,p876fU7BEx,EEG,671.06 
[42637] COMMIT_BUY,p876fU7BEx 
[42749] BUY,p876fU7BEx,PLB,392.88 
[42917] CANCEL_SET_BUY,p876fU7BEx,YEH 
[43072] SELL,p876fU7BEx,JVT,76.65 
[43180] COMMIT_SELL,p876fU7BEx 
[43408] DISPLAY_SUMMARY,p876fU7BEx 
[43517] ADD,p876fU7BEx,103316.18 
[43554] BUY,p876fU7BEx,GMS,704.77 
[43658] CANCEL_SET_BUY,p876fU7BEx,SSL 
[44448] DISPLAY_SUMMARY,p876fU7BEx 
[44596] DISPLAY_SUMMARY,p876fU7BEx 
[44636] DISPLAY_SUMMARY,p876fU7BEx 
[44692] ADD,p876fU7BEx,85197.65 
[44693] QUOTE,p876fU7BEx,JFF 
[44713] DISPLAY_SUMMARY,p876fU7BEx 
[44740] ADD,p876fU7BEx,82830.39 
[44805] QUOTE,p876fU7BEx,RXO 
[44959] BUY,p876fU7BEx,PFK,275.22 
[44963] COMMIT_BUY,p876fU7BEx 
[44966] SET_BUY_AMOUNT,p876fU7BEx,EBS,80.89 
[45002] CANCEL_SET_BUY,p876fU7BEx,XUH 
[45054] SET_SELL_AMOUNT,p876fU7BEx,UTV,692.54 
[45070] SET_SELL_TRIGGER,p876fU7BEx,UTV,589.56 
[45129] ADD,p876fU7BEx,78431.14 
[45160] CANCEL_BUY,p876fU7BEx 
[45180] SET_SELL_AMOUNT,p876fU7BEx,NHG,319.63 
[45202] SET_SELL_TRIGGER,p876fU7BEx,NHG,57.28 
[45394] SET_SELL_TRIGGER,p876fU7BEx,URD,189.10 
[45425] SET_SELL_TRIGGER,p876fU7BEx,EHF,58.16 
[45471] SET_BUY_TRIGGER,p876fU7BEx,SCW,104.95 
[45487] SELL,p876fU7BEx,BYA,38.92 
[45600] COMMIT_SELL,p876fU7BEx 
[45694] SET_BUY_TRIGGER,p876fU7BEx,KRY,69.60 
[45827] SET_SELL_AMOUNT,p876fU7BEx,ZTI,104.57 
[45889] DISPLAY_SUMMARY,p876fU7BEx 
[45976] BUY,p876fU7BEx,PXX,601.15 
[46031] CANCEL_BUY,p876fU7BEx 
[46256] BUY,p876fU7BEx,VNO,699.54 
[46339] COMMIT_BUY,p876fU7BEx 
[46404] ADD,p876fU7BEx,67921.64 
[46517] BUY,p876fU7BEx,UTL,550.11 
[46522] COMMIT_BUY,p876fU7BEx 
[46596] SET_BUY_TRIGGER,p876fU7BEx,QPX,87.50 
[46720] ADD,p876fU7BEx,51854.82 
[46732] QUOTE,p876fU7BEx,VKP 
[46742] SET_BUY_TRIGGER,p876fU7BEx,KVJ,87.36 
[46792] SET_BUY_AMOUNT,p876fU7BEx,RUN,709.17 
[46904] SET_BUY_TRIGGER,p876fU7BEx,LMB,313.97 
[47021] QUOTE,p876fU7BEx,YTY 
[47039] BUY,p876fU7BEx,JEA,58.70 
[47184] COMMIT_BUY,p876fU7BEx 
[47209] QUOTE,p876fU7BEx,CTT 
[47221] SET_BUY_TRIGGER,p876fU7BEx,BFB,155.08 
[47245] ADD,p876fU7BEx,60276.77 
[47446] SELL,p876fU7BEx,JQO,638.75 
[47464] COMMIT_SELL,p876fU7BEx 
[47540] SET_SELL_TRIGGER,p876fU7BEx,ZTI,54.66 
[47670] QUOTE,p876fU7BEx,WUF 
[47688] QUOTE,p876fU7BEx,DED 
[47715] BUY,p876fU7BEx,QPX,326.94 
[47742] DISPLAY_SUMMARY,p876fU7BEx 
