[32] ADD,VEusTtq5S7,52553.43 
[16379] BUY,VEusTtq5S7,AHE,505.82 
[16718] COMMIT_BUY,VEusTtq5S7 
[16758] SET_SELL_TRIGGER,VEusTtq5S7,EBS,69.93 
[16940] DISPLAY_SUMMARY,VEusTtq5S7 
[16941] ADD,VEusTtq5S7,89387.23 
[17027] BUY,VEusTtq5S7,LBC,261.84 
[17122] CANCEL_BUY,VEusTtq5S7 
[17191] BUY,VEusTtq5S7,GMS,558.56 
[17197] SELL,VEusTtq5S7,JVT,610.67 
[17277] SET_BUY_AMOUNT,VEusTtq5S7,JVT,688.61 
[17283] SET_BUY_TRIGGER,VEusTtq5S7,MLI,25.49 
[17304] ADD,VEusTtq5S7,70098.11 
[17486] BUY,VEusTtq5S7,JUN,162.49 
[17531] CANCEL_BUY,VEusTtq5S7 
[17561] CANCEL_SET_SELL,VEusTtq5S7,IIX 
[17589] ADD,VEusTtq5S7,56265.53 
[17782] QUOTE,VEusTtq5S7,MWM 
[17822] ADD,VEusTtq5S7,74104.05 
[17831] DISPLAY_SUMMARY,VEusTtq5S7 
[18149] ADD,VEusTtq5S7,85171.99 
[18197] QUOTE,VEusTtq5S7,CMA 
[18232] SET_SELL_AMOUNT,VEusTtq5S7,QAX,358.98 
[18289] CANCEL_SET_SELL,VEusTtq5S7,QAX 
[18431] SET_BUY_AMOUNT,VEusTtq5S7,KDA,73.61 
[18446] SET_BUY_TRIGGER,VEusTtq5S7,QPR,49.46 
[18460] ADD,VEusTtq5S7,76204.19 
[18559] QUOTE,VEusTtq5S7,KPE 
[18590] DISPLAY_SUMMARY,VEusTtq5S7 
[18613] ADD,VEusTtq5S7,61927.52 
[18642] QUOTE,VEusTtq5S7,OOI 
[18701] SET_BUY_AMOUNT,VEusTtq5S7,OEY,188.55 
[18798] SELL,VEusTtq5S7,OEY,77.92 
[18870] COMMIT_SELL,VEusTtq5S7 
[18923] SET_BUY_AMOUNT,VEusTtq5S7,OEY,524.73 
[18940] SET_BUY_TRIGGER,VEusTtq5S7,XVK,184.92 
[19088] SET_SELL_TRIGGER,VEusTtq5S7,PCK,143.21 
[19227] DISPLAY_SUMMARY,VEusTtq5S7 
[19429] QUOTE,VEusTtq5S7,SPP 
[19608] SET_BUY_TRIGGER,VEusTtq5S7,POE,53.43 
[19741] DISPLAY_SUMMARY,VEusTtq5S7 
[19781] SET_SELL_TRIGGER,VEusTtq5S7,OZW,127.13 
[19912] DISPLAY_SUMMARY,VEusTtq5S7 
[19956] SET_BUY_TRIGGER,VEusTtq5S7,FOW,32.72 
[20024] DISPLAY_SUMMARY,VEusTtq5S7 
[20038] CANCEL_SELL,VEusTtq5S7 
[20180] CANCEL_SET_BUY,VEusTtq5S7,ZAN 
[20203] DISPLAY_SUMMARY,VEusTtq5S7 
[20321] SET_BUY_AMOUNT,VEusTtq5S7,UTV,97.90 
[20614] SET_BUY_TRIGGER,VEusTtq5S7,OZW,14.06 
[20641] QUOTE,VEusTtq5S7,ZWZ 
[20706] CANCEL_SELL,VEusTtq5S7 
[20837] DISPLAY_SUMMARY,VEusTtq5S7 
[20865] SET_SELL_TRIGGER,VEusTtq5S7,ELQ,119.69 
[20907] SET_BUY_TRIGGER,VEusTtq5S7,JEA,106.63 
[21009] SELL,VEusTtq5S7,OEY,724.87 
[21011] COMMIT_SELL,VEusTtq5S7 
[21034] SET_SELL_TRIGGER,VEusTtq5S7,YEH,173.51 
[21132] DISPLAY_SUMMARY,VEusTtq5S7 
[21183] SET_BUY_TRIGGER,VEusTtq5S7,UFX,154.21 
[21197] SET_SELL_AMOUNT,VEusTtq5S7,OEY,553.29 
[21341] CANCEL_SET_SELL,VEusTtq5S7,OEY 
[21388] SET_BUY_TRIGGER,VEusTtq5S7,GYF,122.48 
[21736] SELL,VEusTtq5S7,FQP,471.20 
[21824] DISPLAY_SUMMARY,VEusTtq5S7 
[21843] SET_BUY_TRIGGER,VEusTtq5S7,ZUV,95.07 
[21874] QUOTE,VEusTtq5S7,MWJ 
[21914] BUY,VEusTtq5S7,SBT,734.19 
[22013] CANCEL_SET_BUY,VEusTtq5S7,SFO 
[22043] DISPLAY_SUMMARY,VEusTtq5S7 
[22049] SET_SELL_TRIGGER,VEusTtq5S7,TTY,89.24 
[22202] SET_BUY_AMOUNT,VEusTtq5S7,UTV,243.28 
[22268] CANCEL_SET_BUY,VEusTtq5S7,IPH 
[22282] ADD,VEusTtq5S7,96089.90 
[22570] QUOTE,VEusTtq5S7,CZQ 
[22669] SET_BUY_TRIGGER,VEusTtq5S7,ZFJ,70.05 
[22674] SET_SELL_TRIGGER,VEusTtq5S7,ILT,11.15 
[22703] ADD,VEusTtq5S7,79752.83 
[22727] SELL,VEusTtq5S7,GYF,708.62 
[22928] SET_SELL_AMOUNT,VEusTtq5S7,GYF,116.30 
[22986] SET_SELL_TRIGGER,VEusTtq5S7,GYF,22.75 
[23034] SET_SELL_TRIGGER,VEusTtq5S7,CGW,57.29 
[23040] QUOTE,VEusTtq5S7,LVT 
[23090] BUY,VEusTtq5S7,LVT,628.61 
[23110] CANCEL_BUY,VEusTtq5S7 
[23317] SELL,VEusTtq5S7,KDA,149.24 
[23612] COMMIT_SELL,VEusTtq5S7 
[23820] SET_SELL_TRIGGER,VEusTtq5S7,GJR,91.29 
[23858] ADD,VEusTtq5S7,84804.28 
[23991] QUOTE,VEusTtq5S7,JRJ 
[24139] COMMIT_SELL,VEusTtq5S7 
[24536] ADD,VEusTtq5S7,55025.97 
[24662] COMMIT_SELL,VEusTtq5S7 
[24743] ADD,VEusTtq5S7,90935.38 
[24841] BUY,VEusTtq5S7,JIC,485.97 
[24842] CANCEL_SET_SELL,VEusTtq5S7,XXQ 
[24870] BUY,VEusTtq5S7,FVZ,662.66 
[24959] SELL,VEusTtq5S7,JCQ,556.71 
[24960] COMMIT_SELL,VEusTtq5S7 
[25069] BUY,VEusTtq5S7,QOQ,370.51 
[25134] CANCEL_SET_BUY,VEusTtq5S7,RYU 
[25141] CANCEL_SET_SELL,VEusTtq5S7,HHC 
[25269] SET_BUY_TRIGGER,VEusTtq5S7,TSS,31.42 
[25384] DISPLAY_SUMMARY,VEusTtq5S7 
[25606] DISPLAY_SUMMARY,VEusTtq5S7 
[25890] ADD,VEusTtq5S7,68890.00 
[25935] BUY,VEusTtq5S7,ONI,424.37 
[26027] CANCEL_BUY,VEusTtq5S7 
[26063] SET_BUY_TRIGGER,VEusTtq5S7,MMF,19.49 
[26308] SET_SELL_AMOUNT,VEusTtq5S7,JRJ,232.60 
[26364] BUY,VEusTtq5S7,JRJ,151.64 
[26368] SET_BUY_TRIGGER,VEusTtq5S7,QOQ,70.59 
[26380] SELL,VEusTtq5S7,KDA,329.56 
[26585] CANCEL_SELL,VEusTtq5S7 
[26643] SET_BUY_TRIGGER,VEusTtq5S7,FCM,66.09 
[26732] ADD,VEusTtq5S7,59605.60 
[26838] QUOTE,VEusTtq5S7,WHR 
[26862] BUY,VEusTtq5S7,KJH,331.49 
[27379] SET_SELL_AMOUNT,VEusTtq5S7,QJZ,258.07 
[27408] BUY,VEusTtq5S7,BBD,193.42 
[27503] COMMIT_BUY,VEusTtq5S7 
[27514] SET_BUY_TRIGGER,VEusTtq5S7,SCW,65.43 
[27612] CANCEL_SET_SELL,VEusTtq5S7,QJZ 
[27639] BUY,VEusTtq5S7,YQC,522.95 
[27708] COMMIT_BUY,VEusTtq5S7 
[27932] SET_SELL_AMOUNT,VEusTtq5S7,KDA,352.16 
[28122] SELL,VEusTtq5S7,KDA,733.84 
[28194] SET_BUY_AMOUNT,VEusTtq5S7,QJZ,342.99 
[28229] SET_BUY_TRIGGER,VEusTtq5S7,AUT,342.29 
[28280] SET_SELL_AMOUNT,VEusTtq5S7,EBS,92.59 
[28291] SET_SELL_TRIGGER,VEusTtq5S7,EBS,26.65 
[28354] DISPLAY_SUMMARY,VEusTtq5S7 
[28390] DISPLAY_SUMMARY,VEusTtq5S7 
[28398] ADD,VEusTtq5S7,56004.95 
[28420] BUY,VEusTtq5S7,DGA,319.94 
[28651] COMMIT_BUY,VEusTtq5S7 
[28723] CANCEL_SET_SELL,VEusTtq5S7,OSC 
[28733] COMMIT_SELL,VEusTtq5S7 
[28815] DISPLAY_SUMMARY,VEusTtq5S7 
[28836] SET_SELL_AMOUNT,VEusTtq5S7,EBS,618.36 
[28862] BUY,VEusTtq5S7,TYV,347.18 
[28878] COMMIT_BUY,VEusTtq5S7 
[29000] SET_SELL_AMOUNT,VEusTtq5S7,JCQ,118.59 
[29080] SET_SELL_TRIGGER,VEusTtq5S7,JCQ,88.16 
[29126] DISPLAY_SUMMARY,VEusTtq5S7 
[29174] DISPLAY_SUMMARY,VEusTtq5S7 
[29238] SELL,VEusTtq5S7,JVT,299.27 
[29252] COMMIT_SELL,VEusTtq5S7 
[29332] DISPLAY_SUMMARY,VEusTtq5S7 
[29341] QUOTE,VEusTtq5S7,ZPD 
[29399] BUY,VEusTtq5S7,NAR,218.45 
[29497] CANCEL_SELL,VEusTtq5S7 
[29504] SET_SELL_TRIGGER,VEusTtq5S7,JEO,55.31 
[29757] SET_SELL_TRIGGER,VEusTtq5S7,ETB,16.61 
[29772] SET_SELL_TRIGGER,VEusTtq5S7,FPV,93.52 
[29830] SET_SELL_TRIGGER,VEusTtq5S7,YMG,59.20 
[29950] SET_SELL_AMOUNT,VEusTtq5S7,KDA,396.88 
[30029] SET_SELL_TRIGGER,VEusTtq5S7,KDA,293.60 
[30150] SET_BUY_AMOUNT,VEusTtq5S7,JRJ,632.40 
[30205] SET_BUY_TRIGGER,VEusTtq5S7,IFQ,561.76 
[30342] SET_BUY_AMOUNT,VEusTtq5S7,QJZ,593.11 
[30408] SET_BUY_TRIGGER,VEusTtq5S7,HSJ,124.86 
[30452] DISPLAY_SUMMARY,VEusTtq5S7 
[30489] SET_SELL_AMOUNT,VEusTtq5S7,KES,98.96 
[30520] SET_SELL_TRIGGER,VEusTtq5S7,KES,36.47 
[30546] DISPLAY_SUMMARY,VEusTtq5S7 
[30579] QUOTE,VEusTtq5S7,MIU 
[30598] SET_SELL_AMOUNT,VEusTtq5S7,JRJ,464.67 
[30689] QUOTE,VEusTtq5S7,SPL 
[31009] SET_BUY_AMOUNT,VEusTtq5S7,FQP,466.26 
[31117] SET_BUY_TRIGGER,VEusTtq5S7,WKD,455.93 
[31126] SELL,VEusTtq5S7,JVT,407.21 
[31140] SET_BUY_AMOUNT,VEusTtq5S7,ZAN,32.85 
[31226] DISPLAY_SUMMARY,VEusTtq5S7 
[31421] SET_BUY_AMOUNT,VEusTtq5S7,OEY,364.51 
[31726] SET_BUY_TRIGGER,VEusTtq5S7,FQG,118.48 
[31795] SET_SELL_TRIGGER,VEusTtq5S7,JRJ,60.92 
[31990] BUY,VEusTtq5S7,MVQ,205.38 
[32047] QUOTE,VEusTtq5S7,ETB 
[32049] CANCEL_SET_SELL,VEusTtq5S7,ONI 
[32161] SET_BUY_AMOUNT,VEusTtq5S7,KES,488.90 
[32162] QUOTE,VEusTtq5S7,URI 
[32258] BUY,VEusTtq5S7,COE,20.08 
[32312] COMMIT_BUY,VEusTtq5S7 
[32340] ADD,VEusTtq5S7,47135.01 
[32541] CANCEL_SET_SELL,VEusTtq5S7,VEX 
[32947] SET_BUY_AMOUNT,VEusTtq5S7,GYF,555.92 
[32982] SET_BUY_TRIGGER,VEusTtq5S7,GDF,284.32 
[33033] SET_BUY_AMOUNT,VEusTtq5S7,NHG,554.16 
[33078] SET_BUY_TRIGGER,VEusTtq5S7,IPJ,513.07 
[33618] SET_SELL_TRIGGER,VEusTtq5S7,JTX,37.31 
[33653] SET_SELL_TRIGGER,VEusTtq5S7,GAL,79.43 
[33809] BUY,VEusTtq5S7,DNJ,31.60 
[33852] COMMIT_BUY,VEusTtq5S7 
[34056] ADD,VEusTtq5S7,55941.50 
[34117] QUOTE,VEusTtq5S7,VVW 
[34255] QUOTE,VEusTtq5S7,SMS 
[34361] QUOTE,VEusTtq5S7,OTQ 
[34520] SET_SELL_TRIGGER,VEusTtq5S7,SEI,42.79 
[34607] BUY,VEusTtq5S7,OTD,501.76 
[34742] SET_BUY_TRIGGER,VEusTtq5S7,BZX,186.07 
[34870] SET_BUY_TRIGGER,VEusTtq5S7,ZEG,43.48 
[35050] ADD,VEusTtq5S7,57712.58 
[35137] QUOTE,VEusTtq5S7,HIW 
[35271] QUOTE,VEusTtq5S7,UDQ 
[35579] BUY,VEusTtq5S7,QZN,262.37 
[35620] COMMIT_BUY,VEusTtq5S7 
[35648] ADD,VEusTtq5S7,60785.69 
[36040] BUY,VEusTtq5S7,QOD,347.71 
[36242] COMMIT_BUY,VEusTtq5S7 
[36255] QUOTE,VEusTtq5S7,AEM 
[36444] SET_SELL_AMOUNT,VEusTtq5S7,EBS,9.92 
[36508] SELL,VEusTtq5S7,KDA,647.77 
[36519] COMMIT_SELL,VEusTtq5S7 
[36685] COMMIT_BUY,VEusTtq5S7 
[36836] DISPLAY_SUMMARY,VEusTtq5S7 
[36856] SELL,VEusTtq5S7,QAX,745.12 
[36934] ADD,VEusTtq5S7,103024.26 
[37015] QUOTE,VEusTtq5S7,TJL 
[37239] BUY,VEusTtq5S7,TVX,341.04 
[37456] CANCEL_SET_SELL,VEusTtq5S7,EBS 
[37576] ADD,VEusTtq5S7,68788.73 
[38015] QUOTE,VEusTtq5S7,HIN 
[38229] SET_SELL_AMOUNT,VEusTtq5S7,NHG,643.32 
[38243] SET_SELL_TRIGGER,VEusTtq5S7,NHG,85.94 
[38510] ADD,VEusTtq5S7,52473.11 
[38663] SET_SELL_AMOUNT,VEusTtq5S7,JVT,561.44 
[38712] BUY,VEusTtq5S7,JRY,562.26 
[38910] QUOTE,VEusTtq5S7,ZMK 
[38952] BUY,VEusTtq5S7,TTV,57.55 
[39018] CANCEL_SELL,VEusTtq5S7 
[39157] QUOTE,VEusTtq5S7,GLJ 
[39325] BUY,VEusTtq5S7,KAO,448.91 
[39559] COMMIT_BUY,VEusTtq5S7 
[39954] SET_BUY_AMOUNT,VEusTtq5S7,LFU,642.48 
[39979] SET_BUY_TRIGGER,VEusTtq5S7,CWA,520.60 
[40077] QUOTE,VEusTtq5S7,XFH 
[40155] BUY,VEusTtq5S7,RUN,695.47 
[40238] QUOTE,VEusTtq5S7,NOP 
[40254] SET_SELL_TRIGGER,VEusTtq5S7,JVT,459.06 
[40571] SET_BUY_TRIGGER,VEusTtq5S7,BMQ,136.62 
[40690] SET_BUY_TRIGGER,VEusTtq5S7,RQT,179.97 
[40838] SET_BUY_TRIGGER,VEusTtq5S7,KJD,160.94 
[40877] SELL,VEusTtq5S7,ZAN,595.00 
[40925] COMMIT_SELL,VEusTtq5S7 
[40945] SET_BUY_AMOUNT,VEusTtq5S7,JVT,588.55 
[40950] SET_BUY_TRIGGER,VEusTtq5S7,GPW,199.35 
[41012] SET_BUY_AMOUNT,VEusTtq5S7,BYA,319.72 
[41066] SET_BUY_TRIGGER,VEusTtq5S7,RQT,242.45 
[41158] ADD,VEusTtq5S7,61654.05 
[41220] QUOTE,VEusTtq5S7,MVY 
[41335] BUY,VEusTtq5S7,OHS,271.70 
[41371] SET_SELL_AMOUNT,VEusTtq5S7,NHG,578.66 
[41383] SET_SELL_TRIGGER,VEusTtq5S7,NHG,212.25 
[41561] BUY,VEusTtq5S7,MJU,100.27 
[41573] SET_BUY_TRIGGER,VEusTtq5S7,DQW,149.61 
[41641] ADD,VEusTtq5S7,75222.68 
[41702] QUOTE,VEusTtq5S7,PIE 
[41823] DISPLAY_SUMMARY,VEusTtq5S7 
[41827] DISPLAY_SUMMARY,VEusTtq5S7 
[41849] CANCEL_BUY,VEusTtq5S7 
[41866] QUOTE,VEusTtq5S7,CVV 
[41997] COMMIT_BUY,VEusTtq5S7 
[42009] SET_SELL_AMOUNT,VEusTtq5S7,BYA,684.40 
[42299] SET_SELL_TRIGGER,VEusTtq5S7,BYA,354.61 
[42344] SET_BUY_TRIGGER,VEusTtq5S7,PUO,46.29 
[42390] BUY,VEusTtq5S7,DPG,644.77 
[42509] CANCEL_BUY,VEusTtq5S7 
[42760] DISPLAY_SUMMARY,VEusTtq5S7 
[42783] ADD,VEusTtq5S7,88515.34 
[42834] BUY,VEusTtq5S7,OFP,249.81 
[43286] COMMIT_BUY,VEusTtq5S7 
[43439] DISPLAY_SUMMARY,VEusTtq5S7 
[43448] ADD,VEusTtq5S7,49600.13 
[43537] BUY,VEusTtq5S7,TVP,156.10 
[43572] CANCEL_BUY,VEusTtq5S7 
[43701] ADD,VEusTtq5S7,48125.46 
[43827] QUOTE,VEusTtq5S7,IFN 
[43834] ADD,VEusTtq5S7,37069.35 
[43986] DISPLAY_SUMMARY,VEusTtq5S7 
[44053] BUY,VEusTtq5S7,OWH,195.06 
[44263] COMMIT_BUY,VEusTtq5S7 
[44272] SET_BUY_AMOUNT,VEusTtq5S7,JQO,46.00 
[44660] SET_BUY_TRIGGER,VEusTtq5S7,ULL,30.73 
[44683] SET_BUY_TRIGGER,VEusTtq5S7,NHB,73.14 
[44787] ADD,VEusTtq5S7,52633.17 
[44873] QUOTE,VEusTtq5S7,WCY 
[45057] BUY,VEusTtq5S7,FRB,581.98 
[45108] COMMIT_BUY,VEusTtq5S7 
[45360] SET_SELL_AMOUNT,VEusTtq5S7,ZYR,35.87 
[45579] SET_SELL_TRIGGER,VEusTtq5S7,ZYR,6.42 
[45673] SET_SELL_AMOUNT,VEusTtq5S7,ZYR,307.99 
[45802] SET_SELL_TRIGGER,VEusTtq5S7,ZYR,265.91 
[45877] CANCEL_BUY,VEusTtq5S7 
[45892] BUY,VEusTtq5S7,DIX,42.85 
[45904] SELL,VEusTtq5S7,ZAN,371.38 
[45950] COMMIT_SELL,VEusTtq5S7 
[46051] SELL,VEusTtq5S7,FQP,135.48 
[46204] COMMIT_SELL,VEusTtq5S7 
[46269] DISPLAY_SUMMARY,VEusTtq5S7 
[46280] SET_SELL_TRIGGER,VEusTtq5S7,EGX,27.15 
[46380] COMMIT_BUY,VEusTtq5S7 
[46399] SET_SELL_TRIGGER,VEusTtq5S7,CVV,25.62 
[46414] QUOTE,VEusTtq5S7,GWF 
[46458] ADD,VEusTtq5S7,51555.30 
[46679] BUY,VEusTtq5S7,XZO,565.50 
[46699] COMMIT_BUY,VEusTtq5S7 
[46760] SET_SELL_TRIGGER,VEusTtq5S7,ECX,137.75 
