[50] ADD,qE6dGnwk51,50924.98 
[10844] QUOTE,qE6dGnwk51,YOG 
[10939] BUY,qE6dGnwk51,SJZ,472.67 
[11004] COMMIT_BUY,qE6dGnwk51 
[11151] ADD,qE6dGnwk51,68470.75 
[11171] CANCEL_SET_SELL,qE6dGnwk51,BTA 
[11328] DISPLAY_SUMMARY,qE6dGnwk51 
[11445] QUOTE,qE6dGnwk51,WYO 
[11517] BUY,qE6dGnwk51,OYW,346.11 
[11662] CANCEL_BUY,qE6dGnwk51 
[11665] DISPLAY_SUMMARY,qE6dGnwk51 
[11840] DISPLAY_SUMMARY,qE6dGnwk51 
[11904] ADD,qE6dGnwk51,47462.33 
[11910] QUOTE,qE6dGnwk51,LRS 
[12296] BUY,qE6dGnwk51,MVQ,572.47 
[12494] COMMIT_BUY,qE6dGnwk51 
[12854] SET_SELL_AMOUNT,qE6dGnwk51,JCQ,190.94 
[12964] DISPLAY_SUMMARY,qE6dGnwk51 
[13146] BUY,qE6dGnwk51,JEO,70.70 
[13569] CANCEL_BUY,qE6dGnwk51 
[13820] DISPLAY_SUMMARY,qE6dGnwk51 
[13874] CANCEL_SET_SELL,qE6dGnwk51,JCQ 
[13885] DISPLAY_SUMMARY,qE6dGnwk51 
[13887] ADD,qE6dGnwk51,55102.48 
[14129] SET_SELL_AMOUNT,qE6dGnwk51,EBS,622.35 
[14164] SET_SELL_TRIGGER,qE6dGnwk51,EBS,444.48 
[14200] CANCEL_SELL,qE6dGnwk51 
[14401] SELL,qE6dGnwk51,QJZ,615.43 
[14540] CANCEL_SELL,qE6dGnwk51 
[14568] SET_SELL_AMOUNT,qE6dGnwk51,UTV,418.49 
[14590] SET_SELL_TRIGGER,qE6dGnwk51,UTV,246.58 
[14634] BUY,qE6dGnwk51,PJJ,703.69 
[14653] CANCEL_BUY,qE6dGnwk51 
[14847] SET_SELL_AMOUNT,qE6dGnwk51,GYF,699.97 
[14929] SELL,qE6dGnwk51,LFU,83.78 
[14941] ADD,qE6dGnwk51,55499.56 
[15015] BUY,qE6dGnwk51,BMW,621.68 
[15028] CANCEL_BUY,qE6dGnwk51 
[15044] SELL,qE6dGnwk51,KES,269.46 
[15108] COMMIT_SELL,qE6dGnwk51 
[15133] ADD,qE6dGnwk51,52058.94 
[15241] SELL,qE6dGnwk51,OEY,263.48 
[15389] COMMIT_SELL,qE6dGnwk51 
[15816] SELL,qE6dGnwk51,QAX,52.06 
[16000] COMMIT_SELL,qE6dGnwk51 
[16119] QUOTE,qE6dGnwk51,XTH 
[16134] DISPLAY_SUMMARY,qE6dGnwk51 
[16211] DISPLAY_SUMMARY,qE6dGnwk51 
[16355] ADD,qE6dGnwk51,63488.76 
[16521] SET_BUY_TRIGGER,qE6dGnwk51,HIW,108.33 
[16696] SET_BUY_AMOUNT,qE6dGnwk51,FQP,199.79 
[16864] SET_BUY_TRIGGER,qE6dGnwk51,ROW,189.77 
[16919] SET_SELL_AMOUNT,qE6dGnwk51,LFU,664.10 
[16927] QUOTE,qE6dGnwk51,IFC 
[16935] BUY,qE6dGnwk51,DBC,567.30 
[16943] COMMIT_BUY,qE6dGnwk51 
[16965] ADD,qE6dGnwk51,85081.04 
[17105] CANCEL_BUY,qE6dGnwk51 
[17295] QUOTE,qE6dGnwk51,XOP 
[17339] QUOTE,qE6dGnwk51,HTN 
[17483] QUOTE,qE6dGnwk51,UIE 
[17545] QUOTE,qE6dGnwk51,PBX 
[17824] QUOTE,qE6dGnwk51,IZS 
[17855] BUY,qE6dGnwk51,LJZ,58.74 
[17912] COMMIT_BUY,qE6dGnwk51 
[17992] QUOTE,qE6dGnwk51,TUO 
[18097] QUOTE,qE6dGnwk51,CTI 
[18119] BUY,qE6dGnwk51,YPL,55.18 
[18220] COMMIT_BUY,qE6dGnwk51 
[18244] SET_BUY_TRIGGER,qE6dGnwk51,PHE,7.86 
[18264] DISPLAY_SUMMARY,qE6dGnwk51 
[18302] SET_BUY_TRIGGER,qE6dGnwk51,PGV,191.73 
[18394] QUOTE,qE6dGnwk51,UFX 
[18708] QUOTE,qE6dGnwk51,XXN 
[18749] DISPLAY_SUMMARY,qE6dGnwk51 
[18795] SET_SELL_AMOUNT,qE6dGnwk51,JVT,361.58 
[18876] SET_SELL_TRIGGER,qE6dGnwk51,JVT,117.96 
[19066] BUY,qE6dGnwk51,NFQ,122.19 
[19071] COMMIT_BUY,qE6dGnwk51 
[19152] DISPLAY_SUMMARY,qE6dGnwk51 
[19182] BUY,qE6dGnwk51,WSG,407.09 
[19219] CANCEL_SET_SELL,qE6dGnwk51,YNY 
[19317] DISPLAY_SUMMARY,qE6dGnwk51 
[19319] SELL,qE6dGnwk51,LFU,81.27 
[19565] COMMIT_SELL,qE6dGnwk51 
[19595] SET_SELL_TRIGGER,qE6dGnwk51,YDD,94.00 
[19866] DISPLAY_SUMMARY,qE6dGnwk51 
[19914] ADD,qE6dGnwk51,61939.00 
[20164] QUOTE,qE6dGnwk51,GAN 
[20252] BUY,qE6dGnwk51,HNW,146.16 
[20376] CANCEL_BUY,qE6dGnwk51 
[20590] DISPLAY_SUMMARY,qE6dGnwk51 
[20701] ADD,qE6dGnwk51,66731.77 
[20756] QUOTE,qE6dGnwk51,ZMS 
[20812] BUY,qE6dGnwk51,CBV,661.39 
[20835] COMMIT_BUY,qE6dGnwk51 
[20866] SET_SELL_AMOUNT,qE6dGnwk51,EBS,13.54 
[20893] CANCEL_SET_SELL,qE6dGnwk51,EBS 
[20937] SELL,qE6dGnwk51,GYF,746.64 
[21075] SET_SELL_AMOUNT,qE6dGnwk51,FQP,248.48 
[21104] CANCEL_SET_SELL,qE6dGnwk51,FQP 
[21124] ADD,qE6dGnwk51,88210.64 
[21306] BUY,qE6dGnwk51,KHD,669.12 
[21412] COMMIT_SELL,qE6dGnwk51 
[21530] SET_SELL_TRIGGER,qE6dGnwk51,YDD,32.47 
[21587] QUOTE,qE6dGnwk51,QJC 
[21634] SELL,qE6dGnwk51,UTV,117.63 
[21804] SET_BUY_AMOUNT,qE6dGnwk51,RUN,535.54 
[22094] CANCEL_SET_BUY,qE6dGnwk51,OEM 
[22345] ADD,qE6dGnwk51,97079.04 
[22490] QUOTE,qE6dGnwk51,SAN 
[22558] DISPLAY_SUMMARY,qE6dGnwk51 
[22609] DISPLAY_SUMMARY,qE6dGnwk51 
[22620] ADD,qE6dGnwk51,56479.01 
[22750] BUY,qE6dGnwk51,MLU,614.44 
[22864] COMMIT_SELL,qE6dGnwk51 
[22868] DISPLAY_SUMMARY,qE6dGnwk51 
[22960] SET_BUY_AMOUNT,qE6dGnwk51,RUN,104.38 
[22967] SET_BUY_TRIGGER,qE6dGnwk51,LPS,25.07 
[23003] QUOTE,qE6dGnwk51,NXU 
[23027] ADD,qE6dGnwk51,69538.76 
[23458] BUY,qE6dGnwk51,ZFV,696.85 
[23482] SET_BUY_TRIGGER,qE6dGnwk51,HTN,86.88 
[23697] SELL,qE6dGnwk51,JVT,261.36 
[23966] CANCEL_SELL,qE6dGnwk51 
[23987] QUOTE,qE6dGnwk51,QEO 
[24119] CANCEL_SELL,qE6dGnwk51 
[24192] DISPLAY_SUMMARY,qE6dGnwk51 
[24214] QUOTE,qE6dGnwk51,QTU 
[24232] ADD,qE6dGnwk51,78101.67 
[24415] QUOTE,qE6dGnwk51,RFI 
[24449] DISPLAY_SUMMARY,qE6dGnwk51 
[24462] SELL,qE6dGnwk51,QAX,656.32 
[24514] COMMIT_SELL,qE6dGnwk51 
[24641] CANCEL_BUY,qE6dGnwk51 
[24843] QUOTE,qE6dGnwk51,APY 
[24848] CANCEL_BUY,qE6dGnwk51 
[24913] COMMIT_BUY,qE6dGnwk51 
[25039] QUOTE,qE6dGnwk51,LAM 
[25769] QUOTE,qE6dGnwk51,WUF 
[25825] QUOTE,qE6dGnwk51,KGA 
[25918] CANCEL_BUY,qE6dGnwk51 
[26395] ADD,qE6dGnwk51,85798.48 
[26494] BUY,qE6dGnwk51,KJH,357.84 
[26579] COMMIT_BUY,qE6dGnwk51 
[26794] SET_SELL_AMOUNT,qE6dGnwk51,DFE,668.47 
[26813] SET_SELL_TRIGGER,qE6dGnwk51,DFE,154.78 
[26870] SELL,qE6dGnwk51,NHG,717.02 
[26952] COMMIT_SELL,qE6dGnwk51 
[26961] ADD,qE6dGnwk51,74247.19 
[27024] BUY,qE6dGnwk51,GMS,469.47 
[27110] SET_SELL_TRIGGER,qE6dGnwk51,SPT,198.81 
[27228] SET_SELL_AMOUNT,qE6dGnwk51,JCQ,697.06 
[27260] SET_SELL_TRIGGER,qE6dGnwk51,JCQ,441.87 
[27358] DISPLAY_SUMMARY,qE6dGnwk51 
[27364] COMMIT_BUY,qE6dGnwk51 
[27651] QUOTE,qE6dGnwk51,ARP 
[27657] BUY,qE6dGnwk51,IPH,605.84 
[27694] QUOTE,qE6dGnwk51,EED 
[27891] SET_BUY_TRIGGER,qE6dGnwk51,WKT,174.05 
[28282] QUOTE,qE6dGnwk51,ZUV 
[28396] SET_BUY_TRIGGER,qE6dGnwk51,XUY,14.84 
[28644] ADD,qE6dGnwk51,92567.79 
[28728] BUY,qE6dGnwk51,LUD,318.94 
[28759] SET_SELL_AMOUNT,qE6dGnwk51,UTV,19.32 
[28903] SET_SELL_TRIGGER,qE6dGnwk51,UTV,15.13 
[28961] SET_SELL_AMOUNT,qE6dGnwk51,BYA,728.20 
[28989] SELL,qE6dGnwk51,RUN,455.06 
[29035] COMMIT_SELL,qE6dGnwk51 
[29052] ADD,qE6dGnwk51,45813.05 
[29324] BUY,qE6dGnwk51,NFL,475.80 
[29329] CANCEL_BUY,qE6dGnwk51 
[29604] SET_BUY_TRIGGER,qE6dGnwk51,NTB,132.82 
[29686] SELL,qE6dGnwk51,JVT,621.33 
[29712] CANCEL_SELL,qE6dGnwk51 
[29758] ADD,qE6dGnwk51,76385.27 
[29778] QUOTE,qE6dGnwk51,GTB 
[29823] BUY,qE6dGnwk51,BRT,481.97 
[29868] COMMIT_BUY,qE6dGnwk51 
[29876] SELL,qE6dGnwk51,QJZ,168.44 
[30140] DISPLAY_SUMMARY,qE6dGnwk51 
[30181] ADD,qE6dGnwk51,60793.21 
[30223] BUY,qE6dGnwk51,MDZ,409.13 
[30270] CANCEL_BUY,qE6dGnwk51 
[30360] SET_BUY_AMOUNT,qE6dGnwk51,XXQ,31.74 
[30532] SET_BUY_TRIGGER,qE6dGnwk51,WTD,18.67 
[30573] BUY,qE6dGnwk51,AZN,641.70 
[30588] CANCEL_BUY,qE6dGnwk51 
[30597] SELL,qE6dGnwk51,QAX,285.58 
[30619] COMMIT_SELL,qE6dGnwk51 
[30654] SET_SELL_AMOUNT,qE6dGnwk51,CUZ,655.15 
[30718] SET_SELL_TRIGGER,qE6dGnwk51,CUZ,387.88 
[30882] BUY,qE6dGnwk51,SPP,205.15 
[30947] COMMIT_BUY,qE6dGnwk51 
[31005] ADD,qE6dGnwk51,74812.48 
[31119] QUOTE,qE6dGnwk51,XBL 
[31341] BUY,qE6dGnwk51,YOG,22.79 
[31458] CANCEL_SET_SELL,qE6dGnwk51,AXK 
[31577] SET_SELL_AMOUNT,qE6dGnwk51,UTV,476.00 
[31654] SET_SELL_TRIGGER,qE6dGnwk51,UTV,240.92 
[31766] SET_BUY_TRIGGER,qE6dGnwk51,PCK,152.57 
[31840] SET_SELL_TRIGGER,qE6dGnwk51,ZFV,116.06 
[31882] ADD,qE6dGnwk51,63575.43 
[31908] BUY,qE6dGnwk51,NFQ,448.66 
[31938] QUOTE,qE6dGnwk51,GMS 
[31961] BUY,qE6dGnwk51,RQT,231.79 
[32006] COMMIT_BUY,qE6dGnwk51 
[32073] QUOTE,qE6dGnwk51,XXN 
[32122] DISPLAY_SUMMARY,qE6dGnwk51 
[32202] QUOTE,qE6dGnwk51,EGX 
[32434] QUOTE,qE6dGnwk51,DWX 
[32620] CANCEL_SET_SELL,qE6dGnwk51,CMA 
[32733] ADD,qE6dGnwk51,85499.16 
[32747] QUOTE,qE6dGnwk51,SYM 
[32757] BUY,qE6dGnwk51,WBL,442.92 
[32885] COMMIT_BUY,qE6dGnwk51 
[32969] SELL,qE6dGnwk51,ZAN,249.94 
[32978] ADD,qE6dGnwk51,64891.80 
[32996] QUOTE,qE6dGnwk51,OLH 
[32997] QUOTE,qE6dGnwk51,CAX 
[33221] BUY,qE6dGnwk51,QGN,194.97 
[33269] QUOTE,qE6dGnwk51,DBR 
[33367] DISPLAY_SUMMARY,qE6dGnwk51 
[33504] ADD,qE6dGnwk51,54844.38 
[33538] BUY,qE6dGnwk51,MVI,321.50 
[33711] SET_SELL_AMOUNT,qE6dGnwk51,KDA,322.95 
[33765] CANCEL_SET_SELL,qE6dGnwk51,KDA 
[33797] BUY,qE6dGnwk51,MKE,677.15 
[33813] COMMIT_BUY,qE6dGnwk51 
[33836] ADD,qE6dGnwk51,57389.20 
[33837] QUOTE,qE6dGnwk51,MRK 
[33945] QUOTE,qE6dGnwk51,FFN 
[34099] DISPLAY_SUMMARY,qE6dGnwk51 
[34113] ADD,qE6dGnwk51,52578.15 
[34158] BUY,qE6dGnwk51,VOU,394.21 
[34169] COMMIT_BUY,qE6dGnwk51 
[34373] SET_BUY_TRIGGER,qE6dGnwk51,QWC,72.36 
[34374] QUOTE,qE6dGnwk51,JCL 
[34522] BUY,qE6dGnwk51,DVA,448.15 
[34566] SET_BUY_TRIGGER,qE6dGnwk51,MHR,52.69 
[34724] BUY,qE6dGnwk51,WRN,257.12 
[34733] CANCEL_SELL,qE6dGnwk51 
[34794] SELL,qE6dGnwk51,JQO,218.15 
[34898] COMMIT_SELL,qE6dGnwk51 
[35136] SET_SELL_AMOUNT,qE6dGnwk51,KES,318.03 
[35139] SELL,qE6dGnwk51,JQO,121.78 
[35192] SET_BUY_TRIGGER,qE6dGnwk51,OZT,84.63 
[35283] SET_SELL_TRIGGER,qE6dGnwk51,KES,38.23 
[35327] DISPLAY_SUMMARY,qE6dGnwk51 
[35414] QUOTE,qE6dGnwk51,KLY 
[35596] CANCEL_SET_BUY,qE6dGnwk51,PHU 
[35678] DISPLAY_SUMMARY,qE6dGnwk51 
[35700] SET_BUY_TRIGGER,qE6dGnwk51,SCK,47.58 
[35775] QUOTE,qE6dGnwk51,MVD 
[35859] SET_SELL_TRIGGER,qE6dGnwk51,PNP,75.03 
[35916] DISPLAY_SUMMARY,qE6dGnwk51 
[36047] ADD,qE6dGnwk51,63139.74 
[36195] BUY,qE6dGnwk51,SAN,195.65 
[36288] COMMIT_BUY,qE6dGnwk51 
[36563] SET_SELL_AMOUNT,qE6dGnwk51,BYA,537.88 
[36690] CANCEL_SET_SELL,qE6dGnwk51,BYA 
[36693] ADD,qE6dGnwk51,73678.53 
[36730] BUY,qE6dGnwk51,UDM,381.79 
[36787] COMMIT_BUY,qE6dGnwk51 
[36809] CANCEL_SET_SELL,qE6dGnwk51,PJW 
[36898] DISPLAY_SUMMARY,qE6dGnwk51 
[37005] ADD,qE6dGnwk51,51695.27 
[37197] BUY,qE6dGnwk51,PDX,694.65 
[37298] SET_SELL_TRIGGER,qE6dGnwk51,PJJ,87.14 
[37366] ADD,qE6dGnwk51,74960.57 
[37374] BUY,qE6dGnwk51,AAC,717.31 
[37423] COMMIT_BUY,qE6dGnwk51 
[37527] BUY,qE6dGnwk51,JNO,739.91 
[37548] SET_BUY_TRIGGER,qE6dGnwk51,CMA,30.79 
[37591] QUOTE,qE6dGnwk51,NQU 
[37626] SET_BUY_AMOUNT,qE6dGnwk51,JCQ,137.63 
[37674] SET_BUY_TRIGGER,qE6dGnwk51,NDD,67.51 
[37733] DISPLAY_SUMMARY,qE6dGnwk51 
[37828] CANCEL_BUY,qE6dGnwk51 
[37992] SET_SELL_AMOUNT,qE6dGnwk51,ZTI,224.32 
[38372] SET_SELL_TRIGGER,qE6dGnwk51,ZTI,129.94 
[38567] ADD,qE6dGnwk51,94579.66 
[38924] QUOTE,qE6dGnwk51,FLY 
[39232] QUOTE,qE6dGnwk51,NVX 
[39351] QUOTE,qE6dGnwk51,FQG 
[39367] BUY,qE6dGnwk51,OXV,684.63 
[39683] BUY,qE6dGnwk51,NFV,347.98 
[39694] COMMIT_BUY,qE6dGnwk51 
[39766] CANCEL_SET_BUY,qE6dGnwk51,JRJ 
[39808] SET_SELL_TRIGGER,qE6dGnwk51,FMJ,80.12 
[39895] SELL,qE6dGnwk51,QJZ,419.23 
[39943] CANCEL_BUY,qE6dGnwk51 
[40131] ADD,qE6dGnwk51,51725.01 
[40132] QUOTE,qE6dGnwk51,NSW 
[40260] SET_BUY_AMOUNT,qE6dGnwk51,LFU,576.18 
[40862] SET_BUY_TRIGGER,qE6dGnwk51,ZOW,395.55 
[40879] SET_BUY_TRIGGER,qE6dGnwk51,WAI,106.89 
[41232] SET_BUY_TRIGGER,qE6dGnwk51,ESN,112.98 
[41320] ADD,qE6dGnwk51,71379.21 
[41336] QUOTE,qE6dGnwk51,GCW 
[41369] COMMIT_SELL,qE6dGnwk51 
[41410] SET_SELL_AMOUNT,qE6dGnwk51,XXQ,464.29 
[41483] SET_SELL_TRIGGER,qE6dGnwk51,XXQ,365.80 
[41523] ADD,qE6dGnwk51,76654.22 
[41583] QUOTE,qE6dGnwk51,ZGR 
[41646] DISPLAY_SUMMARY,qE6dGnwk51 
[41674] QUOTE,qE6dGnwk51,ZNZ 
[41806] QUOTE,qE6dGnwk51,VVV 
[41935] QUOTE,qE6dGnwk51,CIP 
[41936] ADD,qE6dGnwk51,64570.95 
[41938] BUY,qE6dGnwk51,KPU,586.18 
[42137] COMMIT_BUY,qE6dGnwk51 
[42171] QUOTE,qE6dGnwk51,KQZ 
[42252] QUOTE,qE6dGnwk51,JUG 
[42258] SET_BUY_AMOUNT,qE6dGnwk51,XLK,730.34 
[42275] SELL,qE6dGnwk51,DFE,716.43 
[42310] COMMIT_SELL,qE6dGnwk51 
[42389] SET_BUY_TRIGGER,qE6dGnwk51,TSF,226.24 
[42401] COMMIT_SELL,qE6dGnwk51 
[42764] SELL,qE6dGnwk51,OPN,404.12 
[42794] SET_BUY_TRIGGER,qE6dGnwk51,YZC,183.61 
[43267] SET_BUY_AMOUNT,qE6dGnwk51,JRJ,647.83 
[43428] SET_BUY_TRIGGER,qE6dGnwk51,LSW,468.92 
[43622] DISPLAY_SUMMARY,qE6dGnwk51 
[43650] ADD,qE6dGnwk51,58412.37 
[43830] BUY,qE6dGnwk51,CXC,362.46 
[43845] COMMIT_BUY,qE6dGnwk51 
[43902] DISPLAY_SUMMARY,qE6dGnwk51 
[44293] QUOTE,qE6dGnwk51,SAR 
[44387] BUY,qE6dGnwk51,AUX,286.90 
[44470] SELL,qE6dGnwk51,UTV,113.74 
[44479] COMMIT_SELL,qE6dGnwk51 
[44594] CANCEL_SET_SELL,qE6dGnwk51,HFS 
[44690] ADD,qE6dGnwk51,73577.49 
[44739] CANCEL_SELL,qE6dGnwk51 
[44783] BUY,qE6dGnwk51,FFZ,297.91 
[44796] COMMIT_BUY,qE6dGnwk51 
[44838] ADD,qE6dGnwk51,68777.77 
[45256] QUOTE,qE6dGnwk51,TWJ 
[45372] BUY,qE6dGnwk51,YXK,37.49 
[45384] COMMIT_BUY,qE6dGnwk51 
[45525] SET_SELL_TRIGGER,qE6dGnwk51,YPL,15.47 
[45628] SET_SELL_AMOUNT,qE6dGnwk51,CUZ,125.20 
[45741] SET_SELL_TRIGGER,qE6dGnwk51,CUZ,30.70 
[45831] ADD,qE6dGnwk51,88762.23 
[46066] QUOTE,qE6dGnwk51,GTN 
[46258] BUY,qE6dGnwk51,SVV,280.77 
[46270] COMMIT_BUY,qE6dGnwk51 
[46285] ADD,qE6dGnwk51,31211.16 
[46298] BUY,qE6dGnwk51,JUJ,94.86 
[46329] SET_SELL_TRIGGER,qE6dGnwk51,IPH,25.33 
[46352] SELL,qE6dGnwk51,RUN,465.20 
[46546] SET_BUY_TRIGGER,qE6dGnwk51,IDX,68.26 
[46602] SET_BUY_AMOUNT,qE6dGnwk51,QJZ,553.14 
[46663] SET_BUY_TRIGGER,qE6dGnwk51,GZQ,170.04 
[46670] SELL,qE6dGnwk51,UBJ,391.56 
[46828] COMMIT_SELL,qE6dGnwk51 
[46949] QUOTE,qE6dGnwk51,MWV 
[47059] BUY,qE6dGnwk51,ECI,17.58 
[47080] CANCEL_BUY,qE6dGnwk51 
[47205] SET_SELL_TRIGGER,qE6dGnwk51,FZB,113.31 
[47378] DISPLAY_SUMMARY,qE6dGnwk51 
[47381] QUOTE,qE6dGnwk51,KAR 
[47456] SET_SELL_AMOUNT,qE6dGnwk51,UTV,515.25 
[47489] QUOTE,qE6dGnwk51,YAV 
[47507] DISPLAY_SUMMARY,qE6dGnwk51 
[47675] SET_SELL_AMOUNT,qE6dGnwk51,BYA,602.74 
[47766] SET_SELL_TRIGGER,qE6dGnwk51,BYA,516.13 
[47926] ADD,qE6dGnwk51,40447.07 
[47989] BUY,qE6dGnwk51,JUG,619.09 
[48055] COMMIT_BUY,qE6dGnwk51 
[48315] SET_SELL_TRIGGER,qE6dGnwk51,YBO,139.65 
[48382] DISPLAY_SUMMARY,qE6dGnwk51 
[48412] DISPLAY_SUMMARY,qE6dGnwk51 
[48502] DISPLAY_SUMMARY,qE6dGnwk51 
[48548] SELL,qE6dGnwk51,RGH,454.78 
[48582] CANCEL_SET_SELL,qE6dGnwk51,VKB 
[48623] DISPLAY_SUMMARY,qE6dGnwk51 
[48798] ADD,qE6dGnwk51,73148.43 
[48819] QUOTE,qE6dGnwk51,ZNZ 
[48824] SET_BUY_AMOUNT,qE6dGnwk51,UTV,31.43 
[48861] SET_BUY_TRIGGER,qE6dGnwk51,RWM,21.22 
[48874] SET_BUY_TRIGGER,qE6dGnwk51,BZH,10.21 
[49014] BUY,qE6dGnwk51,EVR,136.96 
[49177] COMMIT_BUY,qE6dGnwk51 
