[160] ADD,xka9Jdr7ac,85039.82 
[6842] DISPLAY_SUMMARY,xka9Jdr7ac 
[6874] SELL,xka9Jdr7ac,KES,465.07 
[6907] CANCEL_SELL,xka9Jdr7ac 
[7069] SET_SELL_TRIGGER,xka9Jdr7ac,PRJ,130.22 
[7074] SET_SELL_TRIGGER,xka9Jdr7ac,LLD,3.39 
[7088] SET_SELL_AMOUNT,xka9Jdr7ac,JVT,356.64 
[7141] SET_SELL_TRIGGER,xka9Jdr7ac,JVT,52.38 
[7311] ADD,xka9Jdr7ac,75792.13 
[7396] BUY,xka9Jdr7ac,GHL,736.61 
[7434] SET_BUY_TRIGGER,xka9Jdr7ac,FLD,108.84 
[7773] SET_SELL_AMOUNT,xka9Jdr7ac,QJZ,471.56 
[7816] SET_SELL_TRIGGER,xka9Jdr7ac,QJZ,388.77 
[7886] DISPLAY_SUMMARY,xka9Jdr7ac 
[7944] DISPLAY_SUMMARY,xka9Jdr7ac 
[8316] SET_BUY_AMOUNT,xka9Jdr7ac,OEY,117.12 
[8364] SET_BUY_TRIGGER,xka9Jdr7ac,CTI,30.30 
[8368] ADD,xka9Jdr7ac,78706.46 
[8506] BUY,xka9Jdr7ac,AHO,134.03 
[8639] COMMIT_BUY,xka9Jdr7ac 
[8910] CANCEL_SET_BUY,xka9Jdr7ac,ZRJ 
[9163] ADD,xka9Jdr7ac,84920.61 
[9318] BUY,xka9Jdr7ac,JVE,134.99 
[9554] DISPLAY_SUMMARY,xka9Jdr7ac 
[9734] ADD,xka9Jdr7ac,82082.89 
[10125] QUOTE,xka9Jdr7ac,MZT 
[10218] CANCEL_BUY,xka9Jdr7ac 
[10386] ADD,xka9Jdr7ac,76577.19 
[10443] CANCEL_SELL,xka9Jdr7ac 
[10476] ADD,xka9Jdr7ac,101473.45 
[10894] QUOTE,xka9Jdr7ac,LBC 
[10969] ADD,xka9Jdr7ac,53928.30 
[11006] QUOTE,xka9Jdr7ac,CDF 
[11041] BUY,xka9Jdr7ac,RKY,325.12 
[11096] SELL,xka9Jdr7ac,FQP,727.07 
[11230] COMMIT_SELL,xka9Jdr7ac 
[11326] SELL,xka9Jdr7ac,FQP,496.30 
[11462] CANCEL_BUY,xka9Jdr7ac 
[11635] SET_BUY_AMOUNT,xka9Jdr7ac,OEY,249.90 
[11729] SET_BUY_TRIGGER,xka9Jdr7ac,WBL,70.62 
[11851] ADD,xka9Jdr7ac,53776.97 
[11865] DISPLAY_SUMMARY,xka9Jdr7ac 
[12042] BUY,xka9Jdr7ac,ZUV,474.03 
[12132] CANCEL_BUY,xka9Jdr7ac 
[12268] DISPLAY_SUMMARY,xka9Jdr7ac 
[12276] DISPLAY_SUMMARY,xka9Jdr7ac 
[12286] COMMIT_BUY,xka9Jdr7ac 
[12307] BUY,xka9Jdr7ac,URD,479.68 
[12417] COMMIT_SELL,xka9Jdr7ac 
[12465] SELL,xka9Jdr7ac,OEY,221.37 
[12471] BUY,xka9Jdr7ac,PLA,166.57 
[12561] COMMIT_BUY,xka9Jdr7ac 
[12699] BUY,xka9Jdr7ac,IEQ,264.57 
[12735] COMMIT_BUY,xka9Jdr7ac 
[12911] DISPLAY_SUMMARY,xka9Jdr7ac 
[12933] DISPLAY_SUMMARY,xka9Jdr7ac 
[13096] DISPLAY_SUMMARY,xka9Jdr7ac 
[13108] QUOTE,xka9Jdr7ac,PLA 
[13261] SET_SELL_TRIGGER,xka9Jdr7ac,BLC,186.86 
[13288] ADD,xka9Jdr7ac,53019.40 
[13352] QUOTE,xka9Jdr7ac,BMW 
[13370] COMMIT_BUY,xka9Jdr7ac 
[13376] ADD,xka9Jdr7ac,75932.76 
[13401] QUOTE,xka9Jdr7ac,RWY 
[13507] BUY,xka9Jdr7ac,GED,130.00 
[13730] COMMIT_BUY,xka9Jdr7ac 
[13899] SET_SELL_TRIGGER,xka9Jdr7ac,PUU,51.69 
[13934] SET_BUY_AMOUNT,xka9Jdr7ac,KES,284.18 
[13990] DISPLAY_SUMMARY,xka9Jdr7ac 
[14253] ADD,xka9Jdr7ac,92091.72 
[14264] BUY,xka9Jdr7ac,FPP,271.11 
[14271] COMMIT_BUY,xka9Jdr7ac 
[14445] SET_BUY_TRIGGER,xka9Jdr7ac,OWH,127.87 
[14527] QUOTE,xka9Jdr7ac,PDB 
[14584] ADD,xka9Jdr7ac,90093.87 
[14686] DISPLAY_SUMMARY,xka9Jdr7ac 
[14716] SELL,xka9Jdr7ac,UTV,195.46 
[14886] DISPLAY_SUMMARY,xka9Jdr7ac 
[14921] SET_BUY_TRIGGER,xka9Jdr7ac,WLT,99.98 
[15005] SET_SELL_TRIGGER,xka9Jdr7ac,RQS,22.06 
[15145] SET_SELL_TRIGGER,xka9Jdr7ac,SJG,190.75 
[15280] SET_SELL_AMOUNT,xka9Jdr7ac,JVT,148.27 
[15451] SET_SELL_TRIGGER,xka9Jdr7ac,JVT,115.45 
[15622] QUOTE,xka9Jdr7ac,KEO 
[15752] COMMIT_BUY,xka9Jdr7ac 
[15806] QUOTE,xka9Jdr7ac,SWD 
[15835] DISPLAY_SUMMARY,xka9Jdr7ac 
[15906] SELL,xka9Jdr7ac,UTV,546.32 
[16005] COMMIT_SELL,xka9Jdr7ac 
[16130] SET_SELL_TRIGGER,xka9Jdr7ac,FNY,17.55 
[16321] SELL,xka9Jdr7ac,JRJ,199.80 
[16565] SET_SELL_AMOUNT,xka9Jdr7ac,JCQ,523.86 
[16719] SET_SELL_TRIGGER,xka9Jdr7ac,JCQ,322.07 
[16832] SET_BUY_TRIGGER,xka9Jdr7ac,MOM,11.77 
[16912] SET_SELL_AMOUNT,xka9Jdr7ac,JRJ,512.62 
[17015] CANCEL_SET_SELL,xka9Jdr7ac,JRJ 
[17181] DISPLAY_SUMMARY,xka9Jdr7ac 
[17461] CANCEL_BUY,xka9Jdr7ac 
[17492] DISPLAY_SUMMARY,xka9Jdr7ac 
[17500] SELL,xka9Jdr7ac,JVT,734.23 
[17510] COMMIT_SELL,xka9Jdr7ac 
[17541] SET_SELL_TRIGGER,xka9Jdr7ac,YOG,69.95 
[17566] SET_BUY_TRIGGER,xka9Jdr7ac,URA,7.45 
[17871] ADD,xka9Jdr7ac,104127.32 
[18002] BUY,xka9Jdr7ac,MIY,227.80 
[18056] BUY,xka9Jdr7ac,DED,171.11 
[18057] CANCEL_BUY,xka9Jdr7ac 
[18094] SET_BUY_AMOUNT,xka9Jdr7ac,QJZ,724.23 
[18174] SET_BUY_TRIGGER,xka9Jdr7ac,EUC,636.84 
[18484] SELL,xka9Jdr7ac,UTV,600.96 
[18519] CANCEL_SET_BUY,xka9Jdr7ac,ZAM 
[18562] DISPLAY_SUMMARY,xka9Jdr7ac 
[18571] ADD,xka9Jdr7ac,60132.23 
[18596] BUY,xka9Jdr7ac,RYU,483.63 
[18745] COMMIT_BUY,xka9Jdr7ac 
[19007] ADD,xka9Jdr7ac,54712.71 
[19031] COMMIT_BUY,xka9Jdr7ac 
[19548] QUOTE,xka9Jdr7ac,ALM 
[19837] SET_SELL_AMOUNT,xka9Jdr7ac,JVT,134.39 
[19888] SET_SELL_TRIGGER,xka9Jdr7ac,JVT,38.44 
[19980] SET_BUY_TRIGGER,xka9Jdr7ac,JII,25.82 
[20080] SET_SELL_TRIGGER,xka9Jdr7ac,IHW,160.69 
[20096] ADD,xka9Jdr7ac,39553.06 
[20524] COMMIT_BUY,xka9Jdr7ac 
[20575] DISPLAY_SUMMARY,xka9Jdr7ac 
[20667] DISPLAY_SUMMARY,xka9Jdr7ac 
[20708] SELL,xka9Jdr7ac,UTV,74.82 
[20773] COMMIT_SELL,xka9Jdr7ac 
[20868] BUY,xka9Jdr7ac,ZOZ,594.41 
[21082] COMMIT_BUY,xka9Jdr7ac 
[21137] SET_BUY_AMOUNT,xka9Jdr7ac,JRJ,18.39 
[21356] SET_BUY_TRIGGER,xka9Jdr7ac,VTY,4.39 
[21385] QUOTE,xka9Jdr7ac,GXT 
[21699] SET_BUY_AMOUNT,xka9Jdr7ac,EBS,60.82 
[22159] SET_BUY_TRIGGER,xka9Jdr7ac,RUN,53.35 
[22260] QUOTE,xka9Jdr7ac,TKV 
[22506] BUY,xka9Jdr7ac,WRN,415.85 
[22546] SELL,xka9Jdr7ac,JQO,520.03 
[22627] COMMIT_SELL,xka9Jdr7ac 
[22992] SET_BUY_AMOUNT,xka9Jdr7ac,QAX,648.06 
[23079] SET_BUY_TRIGGER,xka9Jdr7ac,ZZN,175.92 
[23275] SET_SELL_TRIGGER,xka9Jdr7ac,HCN,132.34 
[23372] ADD,xka9Jdr7ac,47809.24 
[23485] BUY,xka9Jdr7ac,XLI,240.53 
[23670] SET_BUY_AMOUNT,xka9Jdr7ac,JVT,495.01 
[23750] SET_BUY_TRIGGER,xka9Jdr7ac,APU,417.14 
[23817] DISPLAY_SUMMARY,xka9Jdr7ac 
[24088] ADD,xka9Jdr7ac,71528.06 
[24117] BUY,xka9Jdr7ac,NDD,108.17 
[24229] DISPLAY_SUMMARY,xka9Jdr7ac 
[24231] SET_BUY_AMOUNT,xka9Jdr7ac,JCQ,701.24 
[24709] SET_BUY_TRIGGER,xka9Jdr7ac,YIQ,506.62 
[24746] BUY,xka9Jdr7ac,OYS,533.77 
[24871] SET_BUY_TRIGGER,xka9Jdr7ac,WNU,70.51 
[24940] ADD,xka9Jdr7ac,52329.32 
[25036] QUOTE,xka9Jdr7ac,LCP 
[25113] BUY,xka9Jdr7ac,AJR,507.59 
[25388] QUOTE,xka9Jdr7ac,BBD 
[25440] CANCEL_SELL,xka9Jdr7ac 
[25448] CANCEL_SET_SELL,xka9Jdr7ac,JGY 
[25485] BUY,xka9Jdr7ac,XWZ,219.70 
[25647] SET_SELL_TRIGGER,xka9Jdr7ac,SUS,42.74 
[25744] ADD,xka9Jdr7ac,90410.62 
[25789] QUOTE,xka9Jdr7ac,JFJ 
[25836] DISPLAY_SUMMARY,xka9Jdr7ac 
[26066] SET_SELL_TRIGGER,xka9Jdr7ac,XXP,20.74 
[26070] ADD,xka9Jdr7ac,70687.29 
[26172] SELL,xka9Jdr7ac,OEY,385.48 
[26223] COMMIT_SELL,xka9Jdr7ac 
[26345] BUY,xka9Jdr7ac,CLP,152.25 
[26363] SET_SELL_AMOUNT,xka9Jdr7ac,QJZ,596.63 
[26547] SET_SELL_TRIGGER,xka9Jdr7ac,QJZ,89.21 
[26741] QUOTE,xka9Jdr7ac,KMZ 
[26797] QUOTE,xka9Jdr7ac,EHF 
[27074] BUY,xka9Jdr7ac,XXT,419.33 
[27162] COMMIT_BUY,xka9Jdr7ac 
[27383] SELL,xka9Jdr7ac,QJZ,256.19 
[27755] COMMIT_SELL,xka9Jdr7ac 
[27790] BUY,xka9Jdr7ac,PDB,131.58 
[27843] COMMIT_BUY,xka9Jdr7ac 
[28029] CANCEL_SET_BUY,xka9Jdr7ac,WKE 
[28087] BUY,xka9Jdr7ac,WXV,522.95 
[28175] CANCEL_BUY,xka9Jdr7ac 
[28235] SET_BUY_AMOUNT,xka9Jdr7ac,UTV,83.39 
[28351] SET_BUY_TRIGGER,xka9Jdr7ac,AJX,5.06 
[28811] ADD,xka9Jdr7ac,69717.17 
[28868] QUOTE,xka9Jdr7ac,UCG 
[29034] BUY,xka9Jdr7ac,MXN,626.10 
[29150] CANCEL_BUY,xka9Jdr7ac 
[29234] SET_BUY_AMOUNT,xka9Jdr7ac,FQP,687.28 
[29378] SET_BUY_TRIGGER,xka9Jdr7ac,DJD,269.06 
[29539] SET_SELL_TRIGGER,xka9Jdr7ac,BYM,123.83 
[29555] DISPLAY_SUMMARY,xka9Jdr7ac 
[29679] DISPLAY_SUMMARY,xka9Jdr7ac 
[29681] SET_SELL_TRIGGER,xka9Jdr7ac,MRH,38.02 
[29723] SELL,xka9Jdr7ac,JVT,739.15 
[29749] DISPLAY_SUMMARY,xka9Jdr7ac 
[29922] ADD,xka9Jdr7ac,68591.42 
[30068] COMMIT_BUY,xka9Jdr7ac 
[30097] SELL,xka9Jdr7ac,JCQ,231.57 
[30136] DISPLAY_SUMMARY,xka9Jdr7ac 
[30221] ADD,xka9Jdr7ac,74228.31 
[30245] QUOTE,xka9Jdr7ac,LQN 
[30261] SET_BUY_TRIGGER,xka9Jdr7ac,GAN,179.24 
[30316] SET_BUY_TRIGGER,xka9Jdr7ac,XPX,86.23 
[30417] ADD,xka9Jdr7ac,48902.60 
[30499] BUY,xka9Jdr7ac,APU,344.17 
[30586] CANCEL_BUY,xka9Jdr7ac 
[30609] SET_SELL_TRIGGER,xka9Jdr7ac,OWH,127.32 
[30634] SET_SELL_AMOUNT,xka9Jdr7ac,OEY,48.84 
[30728] SET_SELL_TRIGGER,xka9Jdr7ac,OEY,48.40 
[30736] BUY,xka9Jdr7ac,SEW,531.69 
[30738] BUY,xka9Jdr7ac,XRK,387.17 
[30875] DISPLAY_SUMMARY,xka9Jdr7ac 
[31090] BUY,xka9Jdr7ac,IZJ,589.40 
[31207] COMMIT_BUY,xka9Jdr7ac 
[31362] SET_BUY_TRIGGER,xka9Jdr7ac,ERF,199.83 
[31478] DISPLAY_SUMMARY,xka9Jdr7ac 
[31606] SET_SELL_TRIGGER,xka9Jdr7ac,VEE,62.21 
[31684] BUY,xka9Jdr7ac,KZZ,101.53 
[31729] COMMIT_BUY,xka9Jdr7ac 
[32084] DISPLAY_SUMMARY,xka9Jdr7ac 
[32106] SET_BUY_TRIGGER,xka9Jdr7ac,PHU,96.06 
[32127] DISPLAY_SUMMARY,xka9Jdr7ac 
[32149] ADD,xka9Jdr7ac,54512.22 
[32205] QUOTE,xka9Jdr7ac,QOD 
[32369] BUY,xka9Jdr7ac,WRJ,14.04 
[32486] COMMIT_BUY,xka9Jdr7ac 
[32675] BUY,xka9Jdr7ac,MHQ,137.41 
[32800] COMMIT_BUY,xka9Jdr7ac 
[32802] ADD,xka9Jdr7ac,73901.91 
[32842] BUY,xka9Jdr7ac,VNO,400.79 
[33123] COMMIT_BUY,xka9Jdr7ac 
[33203] ADD,xka9Jdr7ac,95616.68 
[33246] BUY,xka9Jdr7ac,LLD,685.15 
[33282] SET_SELL_TRIGGER,xka9Jdr7ac,CBK,73.82 
[33320] BUY,xka9Jdr7ac,POI,351.55 
[33356] COMMIT_BUY,xka9Jdr7ac 
[33443] DISPLAY_SUMMARY,xka9Jdr7ac 
[33468] CANCEL_SET_SELL,xka9Jdr7ac,PRJ 
[33527] ADD,xka9Jdr7ac,71349.35 
[33616] QUOTE,xka9Jdr7ac,WUL 
[33719] SET_SELL_AMOUNT,xka9Jdr7ac,OEY,602.13 
[33961] SET_SELL_TRIGGER,xka9Jdr7ac,OEY,514.32 
[34038] SELL,xka9Jdr7ac,BCQ,154.41 
[34095] COMMIT_BUY,xka9Jdr7ac 
[34097] DISPLAY_SUMMARY,xka9Jdr7ac 
[34235] CANCEL_SET_BUY,xka9Jdr7ac,MOF 
[34509] SET_SELL_AMOUNT,xka9Jdr7ac,GYF,347.14 
[34543] CANCEL_SET_SELL,xka9Jdr7ac,GYF 
[34574] BUY,xka9Jdr7ac,VNN,413.43 
[34591] CANCEL_BUY,xka9Jdr7ac 
[34713] ADD,xka9Jdr7ac,73913.84 
[34726] BUY,xka9Jdr7ac,HSH,355.51 
[34785] CANCEL_BUY,xka9Jdr7ac 
[34805] CANCEL_SET_SELL,xka9Jdr7ac,SAJ 
[34813] ADD,xka9Jdr7ac,57273.08 
[34815] QUOTE,xka9Jdr7ac,GWS 
[34821] QUOTE,xka9Jdr7ac,NUL 
[34824] BUY,xka9Jdr7ac,VEN,19.00 
[34887] SET_SELL_TRIGGER,xka9Jdr7ac,DDH,89.05 
[34894] ADD,xka9Jdr7ac,105480.41 
[35162] BUY,xka9Jdr7ac,RRE,599.28 
[35166] COMMIT_BUY,xka9Jdr7ac 
[35169] ADD,xka9Jdr7ac,87518.98 
[35320] QUOTE,xka9Jdr7ac,SHP 
[35323] SET_BUY_TRIGGER,xka9Jdr7ac,UJC,65.07 
[35339] QUOTE,xka9Jdr7ac,GGI 
[35375] ADD,xka9Jdr7ac,47492.32 
[35398] BUY,xka9Jdr7ac,JXR,517.46 
[35475] CANCEL_BUY,xka9Jdr7ac 
[35617] ADD,xka9Jdr7ac,94359.87 
[35797] BUY,xka9Jdr7ac,YQC,591.46 
[35952] COMMIT_BUY,xka9Jdr7ac 
[35954] SET_SELL_AMOUNT,xka9Jdr7ac,JRJ,30.90 
[36201] SET_SELL_TRIGGER,xka9Jdr7ac,JRJ,8.53 
[36234] ADD,xka9Jdr7ac,84262.63 
[36417] BUY,xka9Jdr7ac,RVZ,285.08 
[36447] COMMIT_SELL,xka9Jdr7ac 
[36474] ADD,xka9Jdr7ac,93051.75 
[37094] QUOTE,xka9Jdr7ac,AMI 
[37178] CANCEL_SET_SELL,xka9Jdr7ac,KJM 
[37344] SET_BUY_AMOUNT,xka9Jdr7ac,BYA,351.64 
[37362] SET_BUY_TRIGGER,xka9Jdr7ac,QVK,10.94 
[37539] ADD,xka9Jdr7ac,61978.29 
[37556] BUY,xka9Jdr7ac,JNO,436.22 
[37604] CANCEL_SET_SELL,xka9Jdr7ac,ULL 
[37695] SET_SELL_TRIGGER,xka9Jdr7ac,OTQ,24.87 
[37842] DISPLAY_SUMMARY,xka9Jdr7ac 
[37947] SET_SELL_AMOUNT,xka9Jdr7ac,DFE,94.69 
[38092] SET_SELL_TRIGGER,xka9Jdr7ac,DFE,66.14 
[38271] SELL,xka9Jdr7ac,YJK,60.33 
[38301] BUY,xka9Jdr7ac,LLO,165.86 
[38551] BUY,xka9Jdr7ac,JJW,205.28 
[38645] COMMIT_BUY,xka9Jdr7ac 
[38657] SET_SELL_TRIGGER,xka9Jdr7ac,STT,33.56 
[38681] ADD,xka9Jdr7ac,87689.23 
[38735] BUY,xka9Jdr7ac,VEE,149.89 
[39069] COMMIT_BUY,xka9Jdr7ac 
[39140] SET_BUY_AMOUNT,xka9Jdr7ac,QJZ,155.50 
[39206] SET_BUY_TRIGGER,xka9Jdr7ac,FKZ,56.99 
[39408] SET_SELL_AMOUNT,xka9Jdr7ac,JCQ,52.33 
[39541] SET_SELL_TRIGGER,xka9Jdr7ac,JCQ,44.78 
[39667] SET_SELL_AMOUNT,xka9Jdr7ac,QJZ,444.01 
[39827] SELL,xka9Jdr7ac,OEY,170.57 
[40023] COMMIT_SELL,xka9Jdr7ac 
[40171] BUY,xka9Jdr7ac,YPL,140.18 
[40318] CANCEL_BUY,xka9Jdr7ac 
[40323] SELL,xka9Jdr7ac,BCQ,242.88 
[40428] ADD,xka9Jdr7ac,58974.51 
[40760] CANCEL_SET_SELL,xka9Jdr7ac,QJZ 
[40976] BUY,xka9Jdr7ac,GPW,373.85 
[40983] CANCEL_BUY,xka9Jdr7ac 
[41165] ADD,xka9Jdr7ac,58134.09 
[41184] COMMIT_SELL,xka9Jdr7ac 
[41346] SET_BUY_TRIGGER,xka9Jdr7ac,FFI,25.55 
[41519] ADD,xka9Jdr7ac,72892.06 
[41566] BUY,xka9Jdr7ac,GPC,530.89 
[41578] CANCEL_BUY,xka9Jdr7ac 
[41615] SET_BUY_AMOUNT,xka9Jdr7ac,JVT,464.88 
[41621] SET_BUY_TRIGGER,xka9Jdr7ac,ZPD,92.60 
[41635] ADD,xka9Jdr7ac,78096.94 
[41671] QUOTE,xka9Jdr7ac,BEC 
[41733] BUY,xka9Jdr7ac,KBP,549.01 
[41839] DISPLAY_SUMMARY,xka9Jdr7ac 
[42040] DISPLAY_SUMMARY,xka9Jdr7ac 
[42073] DISPLAY_SUMMARY,xka9Jdr7ac 
[42079] QUOTE,xka9Jdr7ac,BWL 
[42170] SET_BUY_TRIGGER,xka9Jdr7ac,DWC,171.61 
[42305] ADD,xka9Jdr7ac,81471.81 
[42547] BUY,xka9Jdr7ac,IFN,661.62 
[43045] COMMIT_BUY,xka9Jdr7ac 
[43136] DISPLAY_SUMMARY,xka9Jdr7ac 
[43243] SET_SELL_AMOUNT,xka9Jdr7ac,CUZ,153.81 
[43443] SET_SELL_TRIGGER,xka9Jdr7ac,CUZ,8.36 
[43468] DISPLAY_SUMMARY,xka9Jdr7ac 
[43472] SET_BUY_TRIGGER,xka9Jdr7ac,FOW,0.44 
[43490] SET_SELL_TRIGGER,xka9Jdr7ac,YTY,47.82 
[43531] QUOTE,xka9Jdr7ac,HQU 
[43568] QUOTE,xka9Jdr7ac,RNE 
[43592] ADD,xka9Jdr7ac,63304.47 
[43602] CANCEL_SET_SELL,xka9Jdr7ac,HFI 
[43613] SET_SELL_AMOUNT,xka9Jdr7ac,CUZ,213.66 
[43943] SET_SELL_TRIGGER,xka9Jdr7ac,CUZ,99.35 
[44100] SET_SELL_TRIGGER,xka9Jdr7ac,JLO,119.15 
[44195] SELL,xka9Jdr7ac,LFU,524.78 
[44211] COMMIT_SELL,xka9Jdr7ac 
[44213] DISPLAY_SUMMARY,xka9Jdr7ac 
[44321] CANCEL_SET_BUY,xka9Jdr7ac,ZER 
[44329] SET_SELL_TRIGGER,xka9Jdr7ac,VKB,66.97 
[44498] SELL,xka9Jdr7ac,JVT,231.57 
[44549] COMMIT_SELL,xka9Jdr7ac 
[44589] CANCEL_SET_BUY,xka9Jdr7ac,ZDB 
[44623] ADD,xka9Jdr7ac,65118.36 
[44866] QUOTE,xka9Jdr7ac,TVX 
[44951] SET_BUY_AMOUNT,xka9Jdr7ac,YJK,11.61 
[45259] SET_BUY_TRIGGER,xka9Jdr7ac,BPK,6.50 
[45611] SET_SELL_AMOUNT,xka9Jdr7ac,ZYR,111.53 
[45740] CANCEL_SET_SELL,xka9Jdr7ac,ZYR 
[45760] SELL,xka9Jdr7ac,JVT,362.95 
[45775] DISPLAY_SUMMARY,xka9Jdr7ac 
[45791] SET_BUY_TRIGGER,xka9Jdr7ac,HTN,8.66 
[45811] ADD,xka9Jdr7ac,96298.18 
[45926] BUY,xka9Jdr7ac,VEX,493.12 
[45943] COMMIT_BUY,xka9Jdr7ac 
[46025] SELL,xka9Jdr7ac,JQO,157.71 
[46221] SET_SELL_AMOUNT,xka9Jdr7ac,JQO,581.14 
[46386] SET_SELL_TRIGGER,xka9Jdr7ac,JQO,204.61 
[46603] SET_SELL_TRIGGER,xka9Jdr7ac,PXS,52.54 
[46651] DISPLAY_SUMMARY,xka9Jdr7ac 
[46687] ADD,xka9Jdr7ac,70175.18 
[46865] BUY,xka9Jdr7ac,PYB,170.57 
[46997] COMMIT_BUY,xka9Jdr7ac 
[47067] SET_SELL_AMOUNT,xka9Jdr7ac,CSZ,651.31 
[47267] SET_SELL_TRIGGER,xka9Jdr7ac,CSZ,347.43 
[47352] SET_SELL_AMOUNT,xka9Jdr7ac,RGH,251.78 
[47421] CANCEL_SET_SELL,xka9Jdr7ac,RGH 
[47677] CANCEL_SELL,xka9Jdr7ac 
[47709] SET_SELL_AMOUNT,xka9Jdr7ac,JVT,492.60 
[47718] SET_SELL_TRIGGER,xka9Jdr7ac,JVT,75.74 
[47781] CANCEL_SET_SELL,xka9Jdr7ac,DFE 
[47794] QUOTE,xka9Jdr7ac,QBD 
