[30] ADD,QXEQWDUSMg,76386.84 
[4540] BUY,QXEQWDUSMg,PUO,261.80 
[4578] CANCEL_BUY,QXEQWDUSMg 
[4756] QUOTE,QXEQWDUSMg,PWK 
[4763] BUY,QXEQWDUSMg,ZKV,640.29 
[4773] COMMIT_BUY,QXEQWDUSMg 
[4887] SELL,QXEQWDUSMg,KES,693.33 
[5003] CANCEL_SET_BUY,QXEQWDUSMg,WGP 
[5312] ADD,QXEQWDUSMg,54441.34 
[5396] SET_BUY_TRIGGER,QXEQWDUSMg,FFZ,128.08 
[5450] DISPLAY_SUMMARY,QXEQWDUSMg 
[5491] SET_BUY_TRIGGER,QXEQWDUSMg,ALV,20.77 
[5587] SET_SELL_AMOUNT,QXEQWDUSMg,JVT,497.10 
[5727] SET_SELL_TRIGGER,QXEQWDUSMg,JVT,372.13 
[5838] CANCEL_SET_SELL,QXEQWDUSMg,PWK 
[5887] ADD,QXEQWDUSMg,79684.62 
[5944] BUY,QXEQWDUSMg,AVX,446.33 
[6030] COMMIT_BUY,QXEQWDUSMg 
[6096] SET_BUY_AMOUNT,QXEQWDUSMg,QJZ,241.98 
[6103] SET_BUY_TRIGGER,QXEQWDUSMg,XOP,165.82 
[6112] BUY,QXEQWDUSMg,ZTR,270.27 
[6137] COMMIT_BUY,QXEQWDUSMg 
[6191] SELL,QXEQWDUSMg,KDA,743.10 
[6279] CANCEL_SELL,QXEQWDUSMg 
[6368] SET_BUY_AMOUNT,QXEQWDUSMg,GYF,651.94 
[6435] SET_BUY_TRIGGER,QXEQWDUSMg,YOG,614.05 
[6567] ADD,QXEQWDUSMg,102102.62 
[6640] QUOTE,QXEQWDUSMg,OAV 
[6730] BUY,QXEQWDUSMg,HNW,10.02 
[6755] COMMIT_BUY,QXEQWDUSMg 
[6955] QUOTE,QXEQWDUSMg,EIH 
[6971] BUY,QXEQWDUSMg,IDN,489.05 
[7170] SET_BUY_AMOUNT,QXEQWDUSMg,JCQ,569.54 
[7203] SET_BUY_TRIGGER,QXEQWDUSMg,LZB,19.89 
[7205] ADD,QXEQWDUSMg,87383.19 
[7245] BUY,QXEQWDUSMg,LLZ,314.25 
[7297] COMMIT_BUY,QXEQWDUSMg 
[7578] ADD,QXEQWDUSMg,75186.52 
[7730] QUOTE,QXEQWDUSMg,NRY 
[7933] BUY,QXEQWDUSMg,ZEG,683.95 
[7987] SET_SELL_TRIGGER,QXEQWDUSMg,OAV,92.04 
[8087] DISPLAY_SUMMARY,QXEQWDUSMg 
[8123] DISPLAY_SUMMARY,QXEQWDUSMg 
[8129] CANCEL_SET_SELL,QXEQWDUSMg,JMG 
[8139] BUY,QXEQWDUSMg,ZWZ,394.12 
[8354] SET_SELL_TRIGGER,QXEQWDUSMg,UHO,55.15 
[8726] SET_BUY_TRIGGER,QXEQWDUSMg,ZNZ,197.38 
[8842] QUOTE,QXEQWDUSMg,XOL 
[8971] BUY,QXEQWDUSMg,ULL,290.35 
[8987] COMMIT_BUY,QXEQWDUSMg 
[9114] SELL,QXEQWDUSMg,EBS,189.43 
[9148] CANCEL_BUY,QXEQWDUSMg 
[9228] ADD,QXEQWDUSMg,74502.29 
[9267] QUOTE,QXEQWDUSMg,SNU 
[9335] BUY,QXEQWDUSMg,YEH,611.28 
[9341] CANCEL_BUY,QXEQWDUSMg 
[9455] DISPLAY_SUMMARY,QXEQWDUSMg 
[9602] DISPLAY_SUMMARY,QXEQWDUSMg 
[9823] ADD,QXEQWDUSMg,63130.46 
[9843] CANCEL_BUY,QXEQWDUSMg 
[10059] SET_SELL_AMOUNT,QXEQWDUSMg,UTV,295.23 
[10292] SET_SELL_TRIGGER,QXEQWDUSMg,UTV,221.72 
[10295] SET_BUY_AMOUNT,QXEQWDUSMg,JVT,377.64 
[10322] SET_BUY_TRIGGER,QXEQWDUSMg,KYX,180.34 
[10380] ADD,QXEQWDUSMg,92391.64 
[10387] BUY,QXEQWDUSMg,BZH,298.11 
[10447] SET_SELL_AMOUNT,QXEQWDUSMg,GYF,712.77 
[10453] SET_SELL_TRIGGER,QXEQWDUSMg,GYF,458.80 
[10551] SELL,QXEQWDUSMg,KES,450.81 
[10601] COMMIT_SELL,QXEQWDUSMg 
[10615] DISPLAY_SUMMARY,QXEQWDUSMg 
[10684] SELL,QXEQWDUSMg,JRJ,192.27 
[10743] SET_SELL_AMOUNT,QXEQWDUSMg,KDA,717.43 
[10857] BUY,QXEQWDUSMg,YNH,340.69 
[10883] COMMIT_BUY,QXEQWDUSMg 
[10909] CANCEL_SET_SELL,QXEQWDUSMg,KDA 
[11028] BUY,QXEQWDUSMg,RXB,732.51 
[11058] CANCEL_BUY,QXEQWDUSMg 
[11341] ADD,QXEQWDUSMg,98221.49 
[11384] CANCEL_SET_SELL,QXEQWDUSMg,BVN 
[11391] SET_SELL_AMOUNT,QXEQWDUSMg,EBS,479.70 
[11400] SET_SELL_TRIGGER,QXEQWDUSMg,EBS,362.75 
[11579] SET_BUY_AMOUNT,QXEQWDUSMg,OEY,572.48 
[11590] SET_BUY_TRIGGER,QXEQWDUSMg,ZRJ,247.34 
[11632] DISPLAY_SUMMARY,QXEQWDUSMg 
[11683] QUOTE,QXEQWDUSMg,TKV 
[11955] DISPLAY_SUMMARY,QXEQWDUSMg 
[12053] BUY,QXEQWDUSMg,XOM,470.11 
[12164] COMMIT_BUY,QXEQWDUSMg 
[12237] BUY,QXEQWDUSMg,PFN,127.51 
[12353] COMMIT_BUY,QXEQWDUSMg 
[12453] SET_SELL_TRIGGER,QXEQWDUSMg,TFZ,161.08 
[12456] SET_SELL_TRIGGER,QXEQWDUSMg,VCN,112.88 
[12493] SET_BUY_AMOUNT,QXEQWDUSMg,KDA,419.82 
[12512] SET_BUY_TRIGGER,QXEQWDUSMg,QJZ,223.88 
[12522] QUOTE,QXEQWDUSMg,BVN 
[12587] BUY,QXEQWDUSMg,BRT,239.06 
[12839] COMMIT_BUY,QXEQWDUSMg 
[13263] DISPLAY_SUMMARY,QXEQWDUSMg 
[13320] ADD,QXEQWDUSMg,41851.85 
[13373] QUOTE,QXEQWDUSMg,JNO 
[13394] SET_BUY_TRIGGER,QXEQWDUSMg,SDL,184.07 
[13433] COMMIT_BUY,QXEQWDUSMg 
[13559] ADD,QXEQWDUSMg,97997.76 
[13562] QUOTE,QXEQWDUSMg,JVT 
[13649] DISPLAY_SUMMARY,QXEQWDUSMg 
[13682] SELL,QXEQWDUSMg,LFU,425.70 
[13747] COMMIT_SELL,QXEQWDUSMg 
[14066] DISPLAY_SUMMARY,QXEQWDUSMg 
[14098] SELL,QXEQWDUSMg,ZAN,247.81 
[14191] CANCEL_SELL,QXEQWDUSMg 
[14208] CANCEL_BUY,QXEQWDUSMg 
[14222] SELL,QXEQWDUSMg,UTV,676.71 
[14310] COMMIT_SELL,QXEQWDUSMg 
[14524] DISPLAY_SUMMARY,QXEQWDUSMg 
[14564] DISPLAY_SUMMARY,QXEQWDUSMg 
[14828] SET_BUY_AMOUNT,QXEQWDUSMg,GYF,532.23 
[14945] SET_BUY_TRIGGER,QXEQWDUSMg,GFN,226.30 
[15023] BUY,QXEQWDUSMg,YNH,562.87 
[15228] SET_BUY_TRIGGER,QXEQWDUSMg,YPL,134.73 
[15459] QUOTE,QXEQWDUSMg,SBT 
[15486] SET_BUY_AMOUNT,QXEQWDUSMg,JVT,572.60 
[15544] SET_BUY_TRIGGER,QXEQWDUSMg,LPB,90.71 
[15560] ADD,QXEQWDUSMg,85620.84 
[15736] QUOTE,QXEQWDUSMg,VVV 
[15756] SET_BUY_TRIGGER,QXEQWDUSMg,CNN,44.11 
[15796] SELL,QXEQWDUSMg,KES,680.19 
[15888] COMMIT_SELL,QXEQWDUSMg 
[15917] SET_SELL_AMOUNT,QXEQWDUSMg,QAX,14.99 
[15957] SET_SELL_TRIGGER,QXEQWDUSMg,QAX,5.71 
[16172] SET_BUY_AMOUNT,QXEQWDUSMg,KDA,616.41 
[16194] SET_BUY_TRIGGER,QXEQWDUSMg,RQT,582.68 
[16324] BUY,QXEQWDUSMg,LZV,460.89 
[16408] COMMIT_BUY,QXEQWDUSMg 
[16418] ADD,QXEQWDUSMg,76250.14 
[16641] QUOTE,QXEQWDUSMg,BZH 
[17043] ADD,QXEQWDUSMg,90930.11 
[17102] BUY,QXEQWDUSMg,CBQ,542.66 
[17143] BUY,QXEQWDUSMg,SOA,414.24 
[17370] CANCEL_BUY,QXEQWDUSMg 
[17489] DISPLAY_SUMMARY,QXEQWDUSMg 
[17526] QUOTE,QXEQWDUSMg,HHC 
[17625] QUOTE,QXEQWDUSMg,XME 
[17709] CANCEL_SELL,QXEQWDUSMg 
[17833] SET_SELL_TRIGGER,QXEQWDUSMg,AEM,10.34 
[17874] ADD,QXEQWDUSMg,61760.78 
[17924] QUOTE,QXEQWDUSMg,IFI 
[18020] ADD,QXEQWDUSMg,89294.58 
[18272] SET_SELL_AMOUNT,QXEQWDUSMg,NHG,237.18 
[18512] SET_SELL_TRIGGER,QXEQWDUSMg,NHG,147.96 
[18694] CANCEL_SET_SELL,QXEQWDUSMg,WTL 
[18982] SELL,QXEQWDUSMg,UTV,410.84 
[19042] COMMIT_BUY,QXEQWDUSMg 
[19049] SET_SELL_AMOUNT,QXEQWDUSMg,KES,516.79 
[19337] SET_SELL_TRIGGER,QXEQWDUSMg,KES,97.37 
[19405] ADD,QXEQWDUSMg,69817.42 
[19701] BUY,QXEQWDUSMg,IGI,487.04 
[19744] COMMIT_BUY,QXEQWDUSMg 
[19746] SELL,QXEQWDUSMg,GYF,51.72 
[19902] BUY,QXEQWDUSMg,LEA,441.94 
[20077] CANCEL_BUY,QXEQWDUSMg 
[20149] SELL,QXEQWDUSMg,NHG,72.31 
[20262] COMMIT_SELL,QXEQWDUSMg 
[20326] DISPLAY_SUMMARY,QXEQWDUSMg 
[20408] SET_SELL_TRIGGER,QXEQWDUSMg,JPP,95.93 
[20489] QUOTE,QXEQWDUSMg,AEM 
[20518] SET_BUY_AMOUNT,QXEQWDUSMg,JCQ,582.62 
[20525] SET_BUY_TRIGGER,QXEQWDUSMg,UDM,288.47 
[20803] ADD,QXEQWDUSMg,52880.66 
[20843] BUY,QXEQWDUSMg,IFQ,450.25 
[20952] COMMIT_BUY,QXEQWDUSMg 
[21141] SET_BUY_AMOUNT,QXEQWDUSMg,UTV,430.59 
[21236] SET_BUY_TRIGGER,QXEQWDUSMg,MGO,135.81 
[21237] DISPLAY_SUMMARY,QXEQWDUSMg 
[21318] CANCEL_SET_SELL,QXEQWDUSMg,XFH 
[21348] DISPLAY_SUMMARY,QXEQWDUSMg 
[21360] SET_BUY_AMOUNT,QXEQWDUSMg,LFU,83.48 
[21424] SELL,QXEQWDUSMg,JCQ,612.20 
[21637] COMMIT_SELL,QXEQWDUSMg 
[21700] SELL,QXEQWDUSMg,CUZ,403.29 
[21725] COMMIT_SELL,QXEQWDUSMg 
[21852] ADD,QXEQWDUSMg,60898.53 
[21906] BUY,QXEQWDUSMg,SPP,746.50 
[22210] COMMIT_BUY,QXEQWDUSMg 
[22239] SET_BUY_TRIGGER,QXEQWDUSMg,DJD,54.71 
[22248] ADD,QXEQWDUSMg,90344.54 
[22279] QUOTE,QXEQWDUSMg,ERF 
[22355] BUY,QXEQWDUSMg,EUM,646.41 
[22482] QUOTE,QXEQWDUSMg,KRY 
[22484] SET_SELL_AMOUNT,QXEQWDUSMg,CUZ,478.82 
[22503] SET_SELL_TRIGGER,QXEQWDUSMg,CUZ,91.06 
[22718] SET_SELL_TRIGGER,QXEQWDUSMg,MKE,69.54 
[22735] SET_BUY_TRIGGER,QXEQWDUSMg,PFN,34.90 
[22896] ADD,QXEQWDUSMg,87932.19 
[22904] SET_SELL_TRIGGER,QXEQWDUSMg,OLH,188.22 
[22941] SET_BUY_AMOUNT,QXEQWDUSMg,QAX,78.82 
[23030] CANCEL_SET_BUY,QXEQWDUSMg,SAJ 
[23059] SET_SELL_AMOUNT,QXEQWDUSMg,UTV,629.08 
[23358] SET_SELL_TRIGGER,QXEQWDUSMg,UTV,596.53 
[23479] SET_SELL_TRIGGER,QXEQWDUSMg,SMS,76.33 
[23540] QUOTE,QXEQWDUSMg,HZA 
[23577] ADD,QXEQWDUSMg,46137.16 
[23762] BUY,QXEQWDUSMg,PFN,568.69 
[23827] COMMIT_BUY,QXEQWDUSMg 
[24151] SET_BUY_AMOUNT,QXEQWDUSMg,NHG,496.76 
[24307] SET_BUY_TRIGGER,QXEQWDUSMg,QTU,9.10 
[24344] ADD,QXEQWDUSMg,73906.44 
[24372] SET_SELL_AMOUNT,QXEQWDUSMg,XXQ,516.94 
[24414] SET_SELL_TRIGGER,QXEQWDUSMg,XXQ,154.88 
[24579] SET_BUY_AMOUNT,QXEQWDUSMg,XXQ,742.97 
[24737] SET_BUY_TRIGGER,QXEQWDUSMg,GAV,59.16 
[24815] BUY,QXEQWDUSMg,RXO,66.00 
[24920] QUOTE,QXEQWDUSMg,SON 
[25207] COMMIT_BUY,QXEQWDUSMg 
[25509] CANCEL_SELL,QXEQWDUSMg 
[25525] BUY,QXEQWDUSMg,LJM,745.02 
[25538] COMMIT_BUY,QXEQWDUSMg 
[25596] SET_BUY_TRIGGER,QXEQWDUSMg,SAR,185.83 
[25683] SET_SELL_AMOUNT,QXEQWDUSMg,OEY,159.17 
[25840] SET_SELL_TRIGGER,QXEQWDUSMg,OEY,21.12 
[25896] SET_BUY_TRIGGER,QXEQWDUSMg,GXT,123.30 
[26009] SET_BUY_AMOUNT,QXEQWDUSMg,EBS,532.83 
[26057] SET_BUY_TRIGGER,QXEQWDUSMg,XZN,349.78 
[26075] SELL,QXEQWDUSMg,JCQ,556.42 
[26116] COMMIT_BUY,QXEQWDUSMg 
[26166] QUOTE,QXEQWDUSMg,SAN 
[26176] SET_BUY_TRIGGER,QXEQWDUSMg,WJP,124.48 
[26220] ADD,QXEQWDUSMg,82239.34 
[26244] COMMIT_SELL,QXEQWDUSMg 
[26275] ADD,QXEQWDUSMg,74865.48 
[26322] QUOTE,QXEQWDUSMg,SDW 
[26366] QUOTE,QXEQWDUSMg,CBY 
[26633] QUOTE,QXEQWDUSMg,PUU 
[26737] DISPLAY_SUMMARY,QXEQWDUSMg 
[26748] QUOTE,QXEQWDUSMg,SEW 
[26808] BUY,QXEQWDUSMg,NBX,304.33 
[26812] COMMIT_BUY,QXEQWDUSMg 
[26878] ADD,QXEQWDUSMg,66792.00 
[27002] QUOTE,QXEQWDUSMg,DTG 
[27136] QUOTE,QXEQWDUSMg,QAX 
[27171] CANCEL_SET_BUY,QXEQWDUSMg,SMS 
[27477] COMMIT_BUY,QXEQWDUSMg 
[27508] SELL,QXEQWDUSMg,JQO,602.38 
[27525] COMMIT_SELL,QXEQWDUSMg 
[27552] DISPLAY_SUMMARY,QXEQWDUSMg 
[27558] QUOTE,QXEQWDUSMg,PUN 
[27621] SELL,QXEQWDUSMg,UTV,131.40 
[27712] COMMIT_SELL,QXEQWDUSMg 
[27739] DISPLAY_SUMMARY,QXEQWDUSMg 
[27769] ADD,QXEQWDUSMg,72911.47 
[27844] QUOTE,QXEQWDUSMg,JKX 
[28108] BUY,QXEQWDUSMg,FTP,681.91 
[28112] CANCEL_BUY,QXEQWDUSMg 
[28116] DISPLAY_SUMMARY,QXEQWDUSMg 
[28228] SET_BUY_AMOUNT,QXEQWDUSMg,JVT,517.03 
[28369] SET_BUY_TRIGGER,QXEQWDUSMg,AOH,181.64 
[28416] ADD,QXEQWDUSMg,72266.60 
[28456] QUOTE,QXEQWDUSMg,SBT 
[28525] ADD,QXEQWDUSMg,62485.67 
[28705] QUOTE,QXEQWDUSMg,SKY 
[28731] SET_BUY_TRIGGER,QXEQWDUSMg,CUZ,37.92 
[28781] SELL,QXEQWDUSMg,JVT,43.39 
[28851] DISPLAY_SUMMARY,QXEQWDUSMg 
[28891] CANCEL_SELL,QXEQWDUSMg 
[29046] COMMIT_SELL,QXEQWDUSMg 
[29138] DISPLAY_SUMMARY,QXEQWDUSMg 
[29189] SET_SELL_TRIGGER,QXEQWDUSMg,IPH,128.10 
[29245] BUY,QXEQWDUSMg,BUL,590.04 
[29260] SET_BUY_AMOUNT,QXEQWDUSMg,JVT,588.30 
[29285] SET_BUY_TRIGGER,QXEQWDUSMg,KJD,538.72 
[29655] BUY,QXEQWDUSMg,UIE,546.83 
[29660] COMMIT_BUY,QXEQWDUSMg 
[29933] QUOTE,QXEQWDUSMg,ZQC 
[29967] SET_BUY_AMOUNT,QXEQWDUSMg,QJZ,534.85 
[30094] SET_BUY_TRIGGER,QXEQWDUSMg,ALM,521.48 
[30104] DISPLAY_SUMMARY,QXEQWDUSMg 
[30258] QUOTE,QXEQWDUSMg,EBS 
[30271] DISPLAY_SUMMARY,QXEQWDUSMg 
[30386] DISPLAY_SUMMARY,QXEQWDUSMg 
[30440] ADD,QXEQWDUSMg,86693.65 
[30568] QUOTE,QXEQWDUSMg,XOA 
[30697] QUOTE,QXEQWDUSMg,XWZ 
[30721] SET_BUY_AMOUNT,QXEQWDUSMg,QAX,506.24 
[30797] SET_BUY_TRIGGER,QXEQWDUSMg,ZQS,184.21 
[30934] SELL,QXEQWDUSMg,GYF,718.09 
[31112] COMMIT_SELL,QXEQWDUSMg 
[31143] SET_SELL_TRIGGER,QXEQWDUSMg,XFW,161.44 
[31159] ADD,QXEQWDUSMg,92211.18 
[31181] BUY,QXEQWDUSMg,ZNZ,502.43 
[31481] SET_BUY_AMOUNT,QXEQWDUSMg,KDA,312.25 
[31676] SET_BUY_TRIGGER,QXEQWDUSMg,GZQ,40.70 
[31786] SET_BUY_AMOUNT,QXEQWDUSMg,NHG,394.43 
[31923] SET_BUY_TRIGGER,QXEQWDUSMg,XXN,316.99 
[31956] SELL,QXEQWDUSMg,YJK,2.29 
[32112] QUOTE,QXEQWDUSMg,OOT 
[32167] QUOTE,QXEQWDUSMg,FVZ 
[32347] BUY,QXEQWDUSMg,YEH,28.93 
[32373] QUOTE,QXEQWDUSMg,JUV 
[32414] BUY,QXEQWDUSMg,IFI,338.45 
[32834] DISPLAY_SUMMARY,QXEQWDUSMg 
[32934] SELL,QXEQWDUSMg,JRJ,43.03 
[32945] COMMIT_SELL,QXEQWDUSMg 
[33227] ADD,QXEQWDUSMg,86371.79 
[33339] BUY,QXEQWDUSMg,LLZ,516.71 
[33372] COMMIT_BUY,QXEQWDUSMg 
[33499] DISPLAY_SUMMARY,QXEQWDUSMg 
[33592] SET_BUY_TRIGGER,QXEQWDUSMg,XNZ,50.73 
[33608] SET_BUY_TRIGGER,QXEQWDUSMg,TQE,143.75 
[33641] SELL,QXEQWDUSMg,JVT,314.41 
[33652] QUOTE,QXEQWDUSMg,CBY 
[33668] QUOTE,QXEQWDUSMg,JJW 
[33729] QUOTE,QXEQWDUSMg,GED 
[33747] QUOTE,QXEQWDUSMg,BPK 
[33855] QUOTE,QXEQWDUSMg,VZB 
[34004] BUY,QXEQWDUSMg,PLA,375.72 
[34094] QUOTE,QXEQWDUSMg,ATE 
[34106] SET_SELL_TRIGGER,QXEQWDUSMg,CEC,156.14 
[34177] SELL,QXEQWDUSMg,OEY,728.35 
[34218] COMMIT_SELL,QXEQWDUSMg 
[34276] SET_SELL_TRIGGER,QXEQWDUSMg,RKQ,30.90 
[34430] CANCEL_SELL,QXEQWDUSMg 
[34504] DISPLAY_SUMMARY,QXEQWDUSMg 
[34754] QUOTE,QXEQWDUSMg,OLH 
[34918] SET_BUY_AMOUNT,QXEQWDUSMg,JQO,157.26 
[34922] BUY,QXEQWDUSMg,MVQ,88.97 
[34936] CANCEL_SET_BUY,QXEQWDUSMg,BTP 
[34940] DISPLAY_SUMMARY,QXEQWDUSMg 
[35107] ADD,QXEQWDUSMg,91618.65 
[35125] SET_SELL_AMOUNT,QXEQWDUSMg,QAX,505.81 
[35186] SET_SELL_TRIGGER,QXEQWDUSMg,QAX,294.93 
[35188] SET_SELL_AMOUNT,QXEQWDUSMg,ZYR,403.28 
[35623] SET_SELL_TRIGGER,QXEQWDUSMg,ZYR,25.52 
[35698] DISPLAY_SUMMARY,QXEQWDUSMg 
[35908] SET_BUY_AMOUNT,QXEQWDUSMg,KES,311.03 
[36005] SET_BUY_TRIGGER,QXEQWDUSMg,TOL,296.40 
[36099] DISPLAY_SUMMARY,QXEQWDUSMg 
[36216] SET_SELL_TRIGGER,QXEQWDUSMg,NVN,186.13 
[36487] SET_SELL_AMOUNT,QXEQWDUSMg,FQP,471.16 
[37172] CANCEL_SET_SELL,QXEQWDUSMg,FQP 
[37182] SET_SELL_AMOUNT,QXEQWDUSMg,ZAN,722.25 
[37237] SET_SELL_TRIGGER,QXEQWDUSMg,ZAN,84.56 
[37669] ADD,QXEQWDUSMg,64788.91 
[37762] SET_SELL_AMOUNT,QXEQWDUSMg,JQO,333.95 
[37774] SET_SELL_TRIGGER,QXEQWDUSMg,JQO,276.81 
[37859] SELL,QXEQWDUSMg,CUZ,671.15 
[37906] SET_BUY_AMOUNT,QXEQWDUSMg,JCQ,530.18 
[37935] CANCEL_SET_BUY,QXEQWDUSMg,DWK 
[37979] BUY,QXEQWDUSMg,DDH,128.05 
[38230] SET_SELL_AMOUNT,QXEQWDUSMg,BYA,693.72 
[38454] BUY,QXEQWDUSMg,VIK,628.76 
[38467] CANCEL_SET_BUY,QXEQWDUSMg,JYV 
[38535] CANCEL_BUY,QXEQWDUSMg 
[38717] BUY,QXEQWDUSMg,CBQ,467.67 
[38750] COMMIT_BUY,QXEQWDUSMg 
[38788] SET_BUY_TRIGGER,QXEQWDUSMg,WOJ,195.68 
[39038] QUOTE,QXEQWDUSMg,TTY 
[39366] BUY,QXEQWDUSMg,ZFK,611.66 
[39391] CANCEL_BUY,QXEQWDUSMg 
[39445] ADD,QXEQWDUSMg,68242.19 
[39468] QUOTE,QXEQWDUSMg,KXF 
[39573] BUY,QXEQWDUSMg,ZOW,3.45 
[39695] SET_SELL_TRIGGER,QXEQWDUSMg,BYA,139.82 
[39856] ADD,QXEQWDUSMg,89008.17 
[40035] QUOTE,QXEQWDUSMg,EUM 
[40064] COMMIT_BUY,QXEQWDUSMg 
[40069] DISPLAY_SUMMARY,QXEQWDUSMg 
[40094] QUOTE,QXEQWDUSMg,LLE 
[40419] COMMIT_BUY,QXEQWDUSMg 
[40566] BUY,QXEQWDUSMg,KHD,724.42 
[40581] COMMIT_BUY,QXEQWDUSMg 
[40722] BUY,QXEQWDUSMg,MHR,80.18 
[40798] CANCEL_BUY,QXEQWDUSMg 
[40876] CANCEL_SELL,QXEQWDUSMg 
[40947] SET_SELL_TRIGGER,QXEQWDUSMg,UDM,173.59 
[41071] SET_BUY_TRIGGER,QXEQWDUSMg,CXN,144.58 
[41211] BUY,QXEQWDUSMg,LJZ,524.64 
[41398] COMMIT_BUY,QXEQWDUSMg 
[41424] ADD,QXEQWDUSMg,62931.37 
[41663] ADD,QXEQWDUSMg,58380.48 
[41678] QUOTE,QXEQWDUSMg,QPE 
[41788] ADD,QXEQWDUSMg,54641.16 
[41910] BUY,QXEQWDUSMg,HEJ,156.37 
[41939] COMMIT_BUY,QXEQWDUSMg 
[41958] QUOTE,QXEQWDUSMg,DJD 
[42014] COMMIT_SELL,QXEQWDUSMg 
[42315] DISPLAY_SUMMARY,QXEQWDUSMg 
[42331] ADD,QXEQWDUSMg,62530.09 
[42350] BUY,QXEQWDUSMg,HWO,359.20 
[42406] SET_BUY_AMOUNT,QXEQWDUSMg,JVT,117.95 
[42438] QUOTE,QXEQWDUSMg,PVH 
[42554] SET_SELL_AMOUNT,QXEQWDUSMg,JQO,258.13 
[42665] SET_SELL_TRIGGER,QXEQWDUSMg,JQO,34.22 
[42859] SET_BUY_AMOUNT,QXEQWDUSMg,JCQ,664.43 
[42959] SET_BUY_TRIGGER,QXEQWDUSMg,CGW,405.31 
[43030] SET_SELL_TRIGGER,QXEQWDUSMg,MDZ,96.88 
[43187] QUOTE,QXEQWDUSMg,XFW 
[43395] QUOTE,QXEQWDUSMg,INB 
[43499] QUOTE,QXEQWDUSMg,ILT 
[43514] SET_BUY_AMOUNT,QXEQWDUSMg,RUN,447.86 
[43746] SET_BUY_TRIGGER,QXEQWDUSMg,XXN,275.37 
[43911] SET_BUY_AMOUNT,QXEQWDUSMg,BYA,21.14 
[43918] SELL,QXEQWDUSMg,XXQ,250.43 
[44028] COMMIT_SELL,QXEQWDUSMg 
[44070] SET_SELL_AMOUNT,QXEQWDUSMg,ZYR,538.99 
[44226] SET_SELL_TRIGGER,QXEQWDUSMg,ZYR,471.26 
[44283] ADD,QXEQWDUSMg,82548.00 
[44345] BUY,QXEQWDUSMg,ZQS,602.17 
[44369] COMMIT_BUY,QXEQWDUSMg 
[44527] DISPLAY_SUMMARY,QXEQWDUSMg 
[44550] ADD,QXEQWDUSMg,72842.10 
[44626] SET_BUY_TRIGGER,QXEQWDUSMg,JDO,19.88 
[44903] DISPLAY_SUMMARY,QXEQWDUSMg 
[45029] QUOTE,QXEQWDUSMg,VYQ 
[45045] SELL,QXEQWDUSMg,ZYR,615.85 
