[79] ADD,Z5Z6RJO7ho,85370.45 
[7452] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[7630] QUOTE,Z5Z6RJO7ho,FNY 
[7821] BUY,Z5Z6RJO7ho,FWW,297.22 
[7853] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[7938] CANCEL_SET_BUY,Z5Z6RJO7ho,YZC 
[8188] ADD,Z5Z6RJO7ho,78034.51 
[8227] QUOTE,Z5Z6RJO7ho,SEI 
[8260] QUOTE,Z5Z6RJO7ho,FOW 
[8329] SET_BUY_AMOUNT,Z5Z6RJO7ho,JVT,185.82 
[8375] SET_BUY_TRIGGER,Z5Z6RJO7ho,CAX,143.86 
[8405] CANCEL_SET_SELL,Z5Z6RJO7ho,MGK 
[8425] SET_SELL_TRIGGER,Z5Z6RJO7ho,FMJ,168.29 
[8505] SET_SELL_TRIGGER,Z5Z6RJO7ho,ZTI,115.52 
[8548] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[8735] SET_SELL_AMOUNT,Z5Z6RJO7ho,QJZ,731.01 
[8773] CANCEL_SET_SELL,Z5Z6RJO7ho,QJZ 
[9001] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[9082] CANCEL_SET_BUY,Z5Z6RJO7ho,PUN 
[9122] ADD,Z5Z6RJO7ho,79174.35 
[9219] COMMIT_BUY,Z5Z6RJO7ho 
[9257] SET_SELL_AMOUNT,Z5Z6RJO7ho,JVT,498.79 
[9321] SET_SELL_TRIGGER,Z5Z6RJO7ho,JVT,303.69 
[9454] ADD,Z5Z6RJO7ho,90432.01 
[9516] SET_SELL_AMOUNT,Z5Z6RJO7ho,FQP,109.39 
[9553] SET_SELL_TRIGGER,Z5Z6RJO7ho,FQP,75.66 
[9650] SET_SELL_TRIGGER,Z5Z6RJO7ho,WGP,15.03 
[9669] ADD,Z5Z6RJO7ho,70308.07 
[9682] BUY,Z5Z6RJO7ho,WKT,348.52 
[9826] COMMIT_BUY,Z5Z6RJO7ho 
[9879] QUOTE,Z5Z6RJO7ho,KEV 
[10029] ADD,Z5Z6RJO7ho,85743.64 
[10219] BUY,Z5Z6RJO7ho,OZW,346.26 
[10352] COMMIT_BUY,Z5Z6RJO7ho 
[10391] SET_BUY_TRIGGER,Z5Z6RJO7ho,ZQS,174.00 
[10495] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[10510] SET_SELL_AMOUNT,Z5Z6RJO7ho,OEY,711.07 
[10727] SET_SELL_TRIGGER,Z5Z6RJO7ho,OEY,561.45 
[10756] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[10887] ADD,Z5Z6RJO7ho,85184.89 
[10940] BUY,Z5Z6RJO7ho,GDF,385.65 
[11049] QUOTE,Z5Z6RJO7ho,BLC 
[11386] SET_BUY_TRIGGER,Z5Z6RJO7ho,OYS,160.31 
[11441] SET_BUY_TRIGGER,Z5Z6RJO7ho,ZWC,21.02 
[11770] QUOTE,Z5Z6RJO7ho,PTP 
[11782] QUOTE,Z5Z6RJO7ho,QUT 
[11783] ADD,Z5Z6RJO7ho,60187.48 
[11789] QUOTE,Z5Z6RJO7ho,RWY 
[11858] BUY,Z5Z6RJO7ho,QXW,538.71 
[12216] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[12219] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[12223] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[12243] SET_BUY_TRIGGER,Z5Z6RJO7ho,OWH,169.84 
[12328] ADD,Z5Z6RJO7ho,84630.92 
[12461] BUY,Z5Z6RJO7ho,NFL,89.80 
[12509] CANCEL_SELL,Z5Z6RJO7ho 
[12647] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[12719] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[12806] QUOTE,Z5Z6RJO7ho,QGN 
[13315] SET_SELL_AMOUNT,Z5Z6RJO7ho,OEY,60.58 
[13374] SELL,Z5Z6RJO7ho,GYF,719.61 
[13395] CANCEL_SET_BUY,Z5Z6RJO7ho,TVI 
[13463] CANCEL_SET_SELL,Z5Z6RJO7ho,OEY 
[13525] SET_BUY_AMOUNT,Z5Z6RJO7ho,QJZ,571.07 
[13557] SET_BUY_TRIGGER,Z5Z6RJO7ho,DXQ,416.88 
[13844] SET_BUY_TRIGGER,Z5Z6RJO7ho,VFH,46.83 
[13846] ADD,Z5Z6RJO7ho,75774.64 
[13973] QUOTE,Z5Z6RJO7ho,URY 
[14364] SET_SELL_TRIGGER,Z5Z6RJO7ho,FVA,177.89 
[14459] ADD,Z5Z6RJO7ho,84313.40 
[14678] SET_BUY_TRIGGER,Z5Z6RJO7ho,YOQ,187.13 
[14689] BUY,Z5Z6RJO7ho,OAS,704.12 
[14742] COMMIT_BUY,Z5Z6RJO7ho 
[14817] BUY,Z5Z6RJO7ho,VOU,353.51 
[14838] COMMIT_BUY,Z5Z6RJO7ho 
[14967] ADD,Z5Z6RJO7ho,64248.16 
[15006] CANCEL_SET_SELL,Z5Z6RJO7ho,SCW 
[15074] CANCEL_SELL,Z5Z6RJO7ho 
[15137] SELL,Z5Z6RJO7ho,OEY,83.84 
[15333] CANCEL_SET_BUY,Z5Z6RJO7ho,XXT 
[15384] QUOTE,Z5Z6RJO7ho,GTB 
[15676] BUY,Z5Z6RJO7ho,ECI,622.41 
[15918] BUY,Z5Z6RJO7ho,NTB,537.58 
[15930] BUY,Z5Z6RJO7ho,RKQ,445.06 
[15972] CANCEL_BUY,Z5Z6RJO7ho 
[15981] QUOTE,Z5Z6RJO7ho,FPV 
[16030] SET_SELL_AMOUNT,Z5Z6RJO7ho,KES,576.17 
[16442] CANCEL_SET_SELL,Z5Z6RJO7ho,KES 
[16490] SET_BUY_AMOUNT,Z5Z6RJO7ho,JRJ,283.12 
[16837] SET_BUY_TRIGGER,Z5Z6RJO7ho,YVS,199.14 
[16909] CANCEL_SELL,Z5Z6RJO7ho 
[16983] SET_SELL_TRIGGER,Z5Z6RJO7ho,HNO,198.22 
[17089] BUY,Z5Z6RJO7ho,HBF,192.79 
[17160] CANCEL_BUY,Z5Z6RJO7ho 
[17169] SET_SELL_AMOUNT,Z5Z6RJO7ho,QJZ,429.77 
[17189] SET_SELL_TRIGGER,Z5Z6RJO7ho,QJZ,374.40 
[17427] SELL,Z5Z6RJO7ho,JVT,384.64 
[17516] COMMIT_SELL,Z5Z6RJO7ho 
[17640] ADD,Z5Z6RJO7ho,84705.75 
[17735] QUOTE,Z5Z6RJO7ho,PTC 
[17805] QUOTE,Z5Z6RJO7ho,YOG 
[17954] BUY,Z5Z6RJO7ho,FVD,617.39 
[17986] COMMIT_BUY,Z5Z6RJO7ho 
[18085] ADD,Z5Z6RJO7ho,63040.45 
[18139] QUOTE,Z5Z6RJO7ho,IGT 
[18217] CANCEL_BUY,Z5Z6RJO7ho 
[18251] SET_SELL_AMOUNT,Z5Z6RJO7ho,GYF,473.95 
[18279] SET_SELL_TRIGGER,Z5Z6RJO7ho,GYF,311.06 
[18336] ADD,Z5Z6RJO7ho,58694.26 
[18351] SET_BUY_AMOUNT,Z5Z6RJO7ho,KES,131.60 
[18408] SET_BUY_TRIGGER,Z5Z6RJO7ho,GMF,120.46 
[18456] CANCEL_SELL,Z5Z6RJO7ho 
[19144] QUOTE,Z5Z6RJO7ho,XOP 
[19264] BUY,Z5Z6RJO7ho,BTP,51.75 
[19398] COMMIT_BUY,Z5Z6RJO7ho 
[19516] ADD,Z5Z6RJO7ho,82614.25 
[20226] CANCEL_SET_BUY,Z5Z6RJO7ho,IZU 
[20483] SELL,Z5Z6RJO7ho,OEY,173.29 
[20605] CANCEL_SET_SELL,Z5Z6RJO7ho,FTJ 
[20634] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[20965] QUOTE,Z5Z6RJO7ho,KJM 
[20992] SET_BUY_TRIGGER,Z5Z6RJO7ho,ZGN,74.72 
[21106] CANCEL_SET_SELL,Z5Z6RJO7ho,FYR 
[21159] SET_BUY_TRIGGER,Z5Z6RJO7ho,LVV,64.05 
[21191] SET_BUY_AMOUNT,Z5Z6RJO7ho,KES,748.86 
[21423] SET_BUY_TRIGGER,Z5Z6RJO7ho,UCG,638.90 
[21478] ADD,Z5Z6RJO7ho,85640.81 
[21501] BUY,Z5Z6RJO7ho,XNZ,664.17 
[21598] CANCEL_BUY,Z5Z6RJO7ho 
[21763] SET_BUY_AMOUNT,Z5Z6RJO7ho,FQP,101.67 
[21983] SET_BUY_TRIGGER,Z5Z6RJO7ho,PSJ,43.02 
[22244] SET_SELL_AMOUNT,Z5Z6RJO7ho,QAX,165.53 
[22329] SET_SELL_TRIGGER,Z5Z6RJO7ho,QAX,5.04 
[22369] SET_SELL_TRIGGER,Z5Z6RJO7ho,EGB,107.62 
[22459] BUY,Z5Z6RJO7ho,NQU,441.14 
[22502] COMMIT_BUY,Z5Z6RJO7ho 
[22581] ADD,Z5Z6RJO7ho,83753.19 
[22950] QUOTE,Z5Z6RJO7ho,WYR 
[23130] BUY,Z5Z6RJO7ho,LPW,142.70 
[23408] COMMIT_BUY,Z5Z6RJO7ho 
[23430] BUY,Z5Z6RJO7ho,QGE,444.98 
[23435] COMMIT_BUY,Z5Z6RJO7ho 
[23512] ADD,Z5Z6RJO7ho,69213.61 
[23546] CANCEL_SET_BUY,Z5Z6RJO7ho,BHQ 
[23628] SELL,Z5Z6RJO7ho,KES,374.38 
[23807] COMMIT_SELL,Z5Z6RJO7ho 
[23876] SET_SELL_TRIGGER,Z5Z6RJO7ho,MZT,196.06 
[23887] ADD,Z5Z6RJO7ho,89459.17 
[24268] QUOTE,Z5Z6RJO7ho,TOL 
[24334] BUY,Z5Z6RJO7ho,NRY,146.36 
[24463] ADD,Z5Z6RJO7ho,73278.55 
[24697] CANCEL_SELL,Z5Z6RJO7ho 
[24754] ADD,Z5Z6RJO7ho,87559.89 
[24812] BUY,Z5Z6RJO7ho,MDZ,151.05 
[24924] COMMIT_BUY,Z5Z6RJO7ho 
[24976] COMMIT_SELL,Z5Z6RJO7ho 
[25313] SELL,Z5Z6RJO7ho,LFU,77.94 
[25504] CANCEL_SET_SELL,Z5Z6RJO7ho,RVZ 
[25512] ADD,Z5Z6RJO7ho,75066.76 
[25552] BUY,Z5Z6RJO7ho,DHA,263.11 
[25649] COMMIT_BUY,Z5Z6RJO7ho 
[25728] ADD,Z5Z6RJO7ho,64843.31 
[25909] QUOTE,Z5Z6RJO7ho,YTY 
[25912] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[25952] SET_SELL_AMOUNT,Z5Z6RJO7ho,JVT,377.65 
[25961] SET_SELL_TRIGGER,Z5Z6RJO7ho,JVT,89.36 
[25966] ADD,Z5Z6RJO7ho,77663.23 
[25979] QUOTE,Z5Z6RJO7ho,XBE 
[26065] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[26140] ADD,Z5Z6RJO7ho,68069.07 
[26446] BUY,Z5Z6RJO7ho,NAR,194.31 
[26486] COMMIT_BUY,Z5Z6RJO7ho 
[26566] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[26592] BUY,Z5Z6RJO7ho,ELQ,651.87 
[26981] COMMIT_BUY,Z5Z6RJO7ho 
[26996] BUY,Z5Z6RJO7ho,RRT,292.82 
[27028] QUOTE,Z5Z6RJO7ho,IQJ 
[27046] SET_SELL_AMOUNT,Z5Z6RJO7ho,GYF,155.65 
[27438] SET_SELL_TRIGGER,Z5Z6RJO7ho,GYF,111.55 
[27521] ADD,Z5Z6RJO7ho,68974.33 
[27592] BUY,Z5Z6RJO7ho,PUC,99.14 
[27682] QUOTE,Z5Z6RJO7ho,ZDB 
[27699] BUY,Z5Z6RJO7ho,WGP,618.87 
[28021] QUOTE,Z5Z6RJO7ho,HZE 
[28127] BUY,Z5Z6RJO7ho,OZO,653.92 
[28328] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[28707] SET_SELL_TRIGGER,Z5Z6RJO7ho,QWC,47.26 
[29221] SET_BUY_AMOUNT,Z5Z6RJO7ho,NHG,490.50 
[29248] SET_BUY_TRIGGER,Z5Z6RJO7ho,TKV,183.75 
[29251] COMMIT_BUY,Z5Z6RJO7ho 
[29386] SET_BUY_TRIGGER,Z5Z6RJO7ho,OOI,87.67 
[29401] SELL,Z5Z6RJO7ho,ZAN,526.48 
[29518] COMMIT_SELL,Z5Z6RJO7ho 
[29588] ADD,Z5Z6RJO7ho,61422.03 
[29765] QUOTE,Z5Z6RJO7ho,LCP 
[29775] ADD,Z5Z6RJO7ho,51783.83 
[29822] SET_BUY_AMOUNT,Z5Z6RJO7ho,OEY,441.37 
[30025] SET_BUY_TRIGGER,Z5Z6RJO7ho,DBT,83.33 
[30071] BUY,Z5Z6RJO7ho,SSW,522.01 
[30127] COMMIT_BUY,Z5Z6RJO7ho 
[30163] SET_BUY_TRIGGER,Z5Z6RJO7ho,FIY,111.89 
[30183] SET_SELL_TRIGGER,Z5Z6RJO7ho,STT,157.50 
[30276] CANCEL_BUY,Z5Z6RJO7ho 
[30339] ADD,Z5Z6RJO7ho,80827.75 
[30481] QUOTE,Z5Z6RJO7ho,ADY 
[30592] QUOTE,Z5Z6RJO7ho,GZU 
[30859] BUY,Z5Z6RJO7ho,UDN,88.39 
[31022] COMMIT_BUY,Z5Z6RJO7ho 
[31034] SET_SELL_TRIGGER,Z5Z6RJO7ho,EDV,193.21 
[31065] BUY,Z5Z6RJO7ho,CLQ,461.51 
[31548] CANCEL_BUY,Z5Z6RJO7ho 
[31578] SET_SELL_TRIGGER,Z5Z6RJO7ho,IRQ,164.62 
[31773] SET_BUY_TRIGGER,Z5Z6RJO7ho,HTN,120.72 
[31907] ADD,Z5Z6RJO7ho,65956.11 
[31941] QUOTE,Z5Z6RJO7ho,SDL 
[31984] BUY,Z5Z6RJO7ho,NZS,88.54 
[32145] SET_SELL_TRIGGER,Z5Z6RJO7ho,ZFT,51.18 
[32209] SET_BUY_TRIGGER,Z5Z6RJO7ho,NVX,166.12 
[32282] QUOTE,Z5Z6RJO7ho,ATW 
[32386] SET_SELL_AMOUNT,Z5Z6RJO7ho,QJZ,92.83 
[32469] SELL,Z5Z6RJO7ho,FQP,312.40 
[32517] COMMIT_SELL,Z5Z6RJO7ho 
[32518] SELL,Z5Z6RJO7ho,XXQ,213.89 
[32524] CANCEL_BUY,Z5Z6RJO7ho 
[32736] SET_SELL_AMOUNT,Z5Z6RJO7ho,UTV,649.99 
[32777] SET_SELL_TRIGGER,Z5Z6RJO7ho,UTV,84.28 
[32795] ADD,Z5Z6RJO7ho,81733.78 
[32851] BUY,Z5Z6RJO7ho,MAX,169.19 
[32941] COMMIT_BUY,Z5Z6RJO7ho 
[33220] SELL,Z5Z6RJO7ho,FQP,599.15 
[33259] CANCEL_SET_SELL,Z5Z6RJO7ho,GWF 
[33291] SET_SELL_TRIGGER,Z5Z6RJO7ho,FKX,80.81 
[33380] ADD,Z5Z6RJO7ho,73435.91 
[33465] QUOTE,Z5Z6RJO7ho,QWC 
[33551] ADD,Z5Z6RJO7ho,59794.99 
[33605] COMMIT_SELL,Z5Z6RJO7ho 
[33632] ADD,Z5Z6RJO7ho,66422.94 
[33645] QUOTE,Z5Z6RJO7ho,HZA 
[33727] ADD,Z5Z6RJO7ho,41731.58 
[33777] QUOTE,Z5Z6RJO7ho,TKV 
[33820] SET_BUY_AMOUNT,Z5Z6RJO7ho,BCQ,167.71 
[33871] SET_BUY_TRIGGER,Z5Z6RJO7ho,VIK,108.59 
[33969] SET_SELL_AMOUNT,Z5Z6RJO7ho,UTV,442.57 
[34059] SELL,Z5Z6RJO7ho,CUZ,220.38 
[34102] COMMIT_SELL,Z5Z6RJO7ho 
[34573] ADD,Z5Z6RJO7ho,86100.99 
[34609] BUY,Z5Z6RJO7ho,IFU,48.80 
[34716] SET_BUY_AMOUNT,Z5Z6RJO7ho,JVT,303.06 
[34854] SET_BUY_TRIGGER,Z5Z6RJO7ho,LPR,299.16 
[35386] QUOTE,Z5Z6RJO7ho,BTD 
[35436] SET_BUY_AMOUNT,Z5Z6RJO7ho,FQP,524.66 
[35881] SET_BUY_TRIGGER,Z5Z6RJO7ho,NVX,234.41 
[35898] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[35918] SELL,Z5Z6RJO7ho,QAX,323.07 
[36093] COMMIT_SELL,Z5Z6RJO7ho 
[36136] ADD,Z5Z6RJO7ho,54921.70 
[36163] BUY,Z5Z6RJO7ho,MDZ,192.60 
[36165] COMMIT_BUY,Z5Z6RJO7ho 
[36471] SET_SELL_AMOUNT,Z5Z6RJO7ho,ZAN,421.66 
[36732] CANCEL_SET_SELL,Z5Z6RJO7ho,ZAN 
[36824] ADD,Z5Z6RJO7ho,92943.18 
[37138] BUY,Z5Z6RJO7ho,JJW,314.85 
[37176] COMMIT_BUY,Z5Z6RJO7ho 
[37270] SET_SELL_TRIGGER,Z5Z6RJO7ho,UHO,100.12 
[37363] ADD,Z5Z6RJO7ho,105529.96 
[37378] QUOTE,Z5Z6RJO7ho,GTX 
[37518] BUY,Z5Z6RJO7ho,SZI,393.86 
[37574] COMMIT_BUY,Z5Z6RJO7ho 
[37643] SET_BUY_TRIGGER,Z5Z6RJO7ho,PUC,160.61 
[37755] ADD,Z5Z6RJO7ho,74801.98 
[37778] QUOTE,Z5Z6RJO7ho,HNW 
[37909] BUY,Z5Z6RJO7ho,GTX,661.71 
[37961] COMMIT_BUY,Z5Z6RJO7ho 
[38141] QUOTE,Z5Z6RJO7ho,PLA 
[38181] BUY,Z5Z6RJO7ho,TKG,234.19 
[38319] SET_SELL_TRIGGER,Z5Z6RJO7ho,YNH,115.13 
[38351] CANCEL_BUY,Z5Z6RJO7ho 
[38515] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[38524] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[38594] BUY,Z5Z6RJO7ho,IDX,186.84 
[38679] COMMIT_BUY,Z5Z6RJO7ho 
[38797] SELL,Z5Z6RJO7ho,ZTI,241.97 
[38799] SET_BUY_TRIGGER,Z5Z6RJO7ho,DJD,145.98 
[38849] BUY,Z5Z6RJO7ho,JRJ,199.46 
[38998] SET_SELL_AMOUNT,Z5Z6RJO7ho,RGH,282.50 
[39088] SET_SELL_TRIGGER,Z5Z6RJO7ho,RGH,142.55 
[39111] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[39339] ADD,Z5Z6RJO7ho,69868.81 
[39463] BUY,Z5Z6RJO7ho,XLI,573.86 
[39883] CANCEL_SET_SELL,Z5Z6RJO7ho,PST 
[39920] QUOTE,Z5Z6RJO7ho,AHO 
[40135] QUOTE,Z5Z6RJO7ho,KCA 
[40211] SET_SELL_TRIGGER,Z5Z6RJO7ho,RNK,191.70 
[40306] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[40393] SET_SELL_AMOUNT,Z5Z6RJO7ho,GYF,309.53 
[40541] SET_SELL_TRIGGER,Z5Z6RJO7ho,GYF,198.84 
[40563] ADD,Z5Z6RJO7ho,91332.21 
[40570] BUY,Z5Z6RJO7ho,GRM,371.63 
[40574] CANCEL_BUY,Z5Z6RJO7ho 
[40578] SET_BUY_AMOUNT,Z5Z6RJO7ho,JQO,742.69 
[40608] SET_BUY_TRIGGER,Z5Z6RJO7ho,LPW,370.53 
[40620] ADD,Z5Z6RJO7ho,64508.32 
[40700] QUOTE,Z5Z6RJO7ho,IFI 
[40764] ADD,Z5Z6RJO7ho,63695.36 
[40944] QUOTE,Z5Z6RJO7ho,NLP 
[40990] BUY,Z5Z6RJO7ho,MRH,614.70 
[41003] COMMIT_SELL,Z5Z6RJO7ho 
[41045] QUOTE,Z5Z6RJO7ho,KKI 
[41049] CANCEL_SELL,Z5Z6RJO7ho 
[41098] ADD,Z5Z6RJO7ho,46551.51 
[41116] QUOTE,Z5Z6RJO7ho,PPY 
[41148] SET_BUY_AMOUNT,Z5Z6RJO7ho,JVT,137.98 
[41252] SET_BUY_TRIGGER,Z5Z6RJO7ho,RRZ,102.07 
[41275] SET_SELL_TRIGGER,Z5Z6RJO7ho,JTX,55.83 
[41328] SET_SELL_TRIGGER,Z5Z6RJO7ho,WKD,100.17 
[41419] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[41478] ADD,Z5Z6RJO7ho,57009.54 
[41503] BUY,Z5Z6RJO7ho,ISQ,337.73 
[41696] COMMIT_BUY,Z5Z6RJO7ho 
[41725] SET_SELL_AMOUNT,Z5Z6RJO7ho,YJK,205.65 
[41769] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[41800] BUY,Z5Z6RJO7ho,ERF,587.66 
[41877] SELL,Z5Z6RJO7ho,ZYR,73.28 
[41930] COMMIT_SELL,Z5Z6RJO7ho 
[42017] ADD,Z5Z6RJO7ho,61740.68 
[42306] QUOTE,Z5Z6RJO7ho,OFP 
[42366] SET_BUY_AMOUNT,Z5Z6RJO7ho,ZTI,413.42 
[42370] CANCEL_SET_BUY,Z5Z6RJO7ho,LNJ 
[42433] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[42467] ADD,Z5Z6RJO7ho,57261.81 
[42486] BUY,Z5Z6RJO7ho,VQA,128.42 
[42536] COMMIT_BUY,Z5Z6RJO7ho 
[42610] SET_BUY_AMOUNT,Z5Z6RJO7ho,ZTI,349.65 
[42774] BUY,Z5Z6RJO7ho,CXW,649.30 
[42785] SELL,Z5Z6RJO7ho,JCQ,189.08 
[42789] SET_SELL_TRIGGER,Z5Z6RJO7ho,YJK,116.77 
[42943] SET_BUY_TRIGGER,Z5Z6RJO7ho,RWY,319.09 
[43077] CANCEL_SELL,Z5Z6RJO7ho 
[43186] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[43290] BUY,Z5Z6RJO7ho,NZS,7.40 
[43326] COMMIT_BUY,Z5Z6RJO7ho 
[43341] SET_BUY_AMOUNT,Z5Z6RJO7ho,XXQ,133.96 
[43342] QUOTE,Z5Z6RJO7ho,JIO 
[43431] SET_BUY_AMOUNT,Z5Z6RJO7ho,JCQ,230.90 
[43574] SET_BUY_TRIGGER,Z5Z6RJO7ho,AOH,77.57 
[43617] BUY,Z5Z6RJO7ho,PWK,455.61 
[43760] CANCEL_BUY,Z5Z6RJO7ho 
[44083] BUY,Z5Z6RJO7ho,JQG,197.07 
[44097] CANCEL_SET_SELL,Z5Z6RJO7ho,SCK 
[44150] SELL,Z5Z6RJO7ho,BCQ,247.06 
[44254] COMMIT_SELL,Z5Z6RJO7ho 
[44268] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[44457] ADD,Z5Z6RJO7ho,87963.94 
[44511] BUY,Z5Z6RJO7ho,MXD,24.29 
[44606] CANCEL_SET_BUY,Z5Z6RJO7ho,LLF 
[44652] ADD,Z5Z6RJO7ho,87902.54 
[45035] BUY,Z5Z6RJO7ho,BMQ,601.24 
[45104] ADD,Z5Z6RJO7ho,77700.74 
[45176] BUY,Z5Z6RJO7ho,BWL,568.20 
[45191] COMMIT_BUY,Z5Z6RJO7ho 
[45201] ADD,Z5Z6RJO7ho,56410.54 
[45307] BUY,Z5Z6RJO7ho,YQC,426.37 
[45344] SET_BUY_TRIGGER,Z5Z6RJO7ho,RUN,104.14 
[45522] SET_BUY_AMOUNT,Z5Z6RJO7ho,EBS,242.53 
[45698] SELL,Z5Z6RJO7ho,ZAN,493.34 
[45787] CANCEL_SELL,Z5Z6RJO7ho 
[45886] SELL,Z5Z6RJO7ho,DFE,198.51 
[45954] COMMIT_SELL,Z5Z6RJO7ho 
[46214] CANCEL_SET_SELL,Z5Z6RJO7ho,FTP 
[46497] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[46558] SET_SELL_TRIGGER,Z5Z6RJO7ho,QXW,135.28 
[46767] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[46781] SET_SELL_AMOUNT,Z5Z6RJO7ho,JRJ,690.37 
[47078] SELL,Z5Z6RJO7ho,LFU,156.23 
